Orthogroup	Nomia_melanderi	Bombus_terrestris
OG0000897	XP_031825298.1	XP_012163893.1
OG0000898	XP_031849925.1, XP_031849924.1, XP_031849922.1	XP_003398954.1
OG0000899	XP_031843834.1	XP_020720629.1
OG0000900	XP_031833680.1	XP_020718671.1, XP_020718669.1, XP_020718668.1, XP_020718667.1, XP_020718666.1, XP_020718665.1, XP_020718670.1
OG0000901	XP_031832840.1	XP_003400682.1
OG0000902	XP_031833075.1, XP_031833076.1, XP_031833074.1	XP_020722016.1, XP_020722014.1, XP_020722017.1, XP_020722015.1
OG0000903	XP_031834474.1, XP_031834475.1	XP_012163414.1, XP_012163417.1, XP_012163416.1
OG0000904	XP_031835905.1, XP_031835907.1	XP_012167990.1
OG0000905	XP_031849250.1, XP_031849249.1	XP_020721017.1, XP_012169271.1
OG0000907	XP_031842276.1	XP_012163292.1
OG0000908	XP_031845352.1	XP_012163216.1
OG0000909	XP_031848747.1	XP_012163973.1, XP_003395529.1
OG0000910	XP_031825331.1, XP_031825328.1, XP_031825330.1	XP_012164243.1, XP_003395719.1
OG0000911	XP_031826578.1, XP_031826577.1, XP_031826573.1, XP_031826572.1, XP_031826576.1, XP_031826574.1	XP_003396969.1
OG0000912	XP_031826039.1, XP_031826033.1	XP_020719246.1, XP_020719248.1, XP_020719249.1, XP_020719247.1
OG0000913	XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840398.1, XP_031840401.1, XP_031840400.1, XP_031840396.1, XP_031840397.1, XP_031840395.1	XP_003396274.1
OG0000914	XP_031828541.1	XP_020724114.1
OG0000915	XP_031834274.1, XP_031834272.1, XP_031834271.1, XP_031834275.1, XP_031834276.1, XP_031834273.1	XP_003394181.1
OG0000916	XP_031839471.1	XP_012168881.1, XP_012168856.1, XP_012168871.1, XP_012168863.1, XP_012168878.1
OG0000917	XP_031846809.1, XP_031846808.1, XP_031846806.1	XP_003392983.2
OG0000918	XP_031827303.1	XP_012168435.1
OG0000918	XP_031827306.1	XP_020718924.1
OG0000919	XP_031831021.1, XP_031831018.1, XP_031831020.1, XP_031831019.1, XP_031831017.1	XP_012175398.1, XP_012175396.1
OG0000920	XP_031836832.1	XP_003399205.2, XP_012174888.2
OG0000921	XP_031839452.1	XP_020720744.1
OG0000922	XP_031839183.1	XP_012164139.1, XP_012164147.1, XP_012164160.1, XP_012164154.1
OG0000923	XP_031845248.1, XP_031845246.1, XP_031845247.1	XP_003394892.1
OG0000924	XP_031836568.1	XP_003395973.1, XP_020718992.1, XP_020718993.1
OG0000925	XP_031840154.1	XP_020723644.1, XP_020723645.1
OG0000926	XP_031849077.1, XP_031849076.1, XP_031849079.1, XP_031849078.1, XP_031849081.1, XP_031849080.1, XP_031849082.1, XP_031849075.1	XP_012175297.1
OG0000927	XP_031829797.1	XP_020722862.1, XP_012173157.1, XP_012173158.1, XP_003401783.1
OG0000928	XP_031841824.1, XP_031841825.1	XP_020719845.1, XP_003397044.1
OG0000929	XP_031828829.1	XP_020718338.1
OG0000930	XP_031835256.1	XP_012166799.1, XP_012166800.1, XP_012166798.1
OG0000931	XP_031842223.1, XP_031842231.1	XP_020720291.1
OG0000932	XP_031835816.1	XP_020720633.1
OG0000933	XP_031829015.1, XP_031829012.1, XP_031829014.1	XP_020720969.1, XP_020720970.1, XP_020720971.1
OG0000934	XP_031838528.1, XP_031838529.1	XP_003402568.1
OG0000935	XP_031849889.1, XP_031849887.1, XP_031849891.1, XP_031849890.1, XP_031849893.1, XP_031849888.1	XP_003398957.1
OG0000936	XP_031843977.1	XP_012165340.1, XP_003393261.1, XP_012165362.1, XP_012165355.1, XP_020720886.1
OG0000937	XP_031826528.1, XP_031826527.1, XP_031826526.1	XP_012165307.2
OG0000938	XP_031825799.1, XP_031825794.1	XP_012172784.1, XP_012172782.1
OG0000939	XP_031842589.1, XP_031842580.1	XP_020722497.1, XP_020722496.1
OG0000940	XP_031839278.1, XP_031839281.1, XP_031839279.1, XP_031839280.1, XP_031839277.1	XP_020720925.1
OG0000941	XP_031828237.1	XP_012165837.1
OG0000942	XP_031839433.1	XP_012163127.1
OG0000943	XP_031840452.1	XP_003396253.1, XP_012165166.1
OG0000944	XP_031837199.1, XP_031837198.1, XP_031837197.1	XP_003400911.1, XP_020722087.1
OG0000946	XP_031839837.1	XP_003393760.1
OG0000948	XP_031839580.1	XP_012173301.1
OG0000949	XP_031832569.1	XP_020723250.1
OG0000950	XP_031843741.1	XP_012168354.1
OG0000951	XP_031833247.1	XP_003394829.1
OG0000952	XP_031833933.1	XP_012164488.1
OG0000953	XP_031833612.1, XP_031833613.1	XP_003395493.1
OG0000954	XP_031833478.1, XP_031833476.1, XP_031833473.1, XP_031833471.1, XP_031833472.1, XP_031833475.1, XP_031833477.1	XP_003395799.1
OG0000955	XP_031847685.1, XP_031842054.1	XP_020723310.1
OG0000956	XP_031831321.1	XP_003395495.1, XP_003395486.1
OG0000957	XP_031838760.1	XP_020719001.1
OG0000958	XP_031826540.1	XP_012165560.1
OG0000958	XP_031826539.1	XP_003396982.1
OG0000959	XP_031829922.1	XP_012173022.1, XP_012173027.1
OG0000960	XP_031830193.1	XP_003401730.1, XP_020722941.1
OG0000961	XP_031830390.1	XP_003401613.1
OG0000961	XP_031830394.1	XP_003401614.3
OG0000962	XP_031830325.1	XP_012175203.2
OG0000963	XP_031830327.1	XP_003403218.1, XP_020723818.1, XP_020723817.1, XP_020723815.1, XP_012174982.1, XP_020723816.1, XP_012174981.1
OG0000964	XP_031831929.1	XP_003397103.1, XP_012166414.1, XP_012166415.1, XP_012166416.1, XP_003397102.1
OG0000965	XP_031834127.1	XP_020719824.1
OG0000966	XP_031830344.1	XP_012174971.1
OG0000967	XP_031838053.1	XP_003397935.2
OG0000969	XP_031837635.1, XP_031837634.1, XP_031837633.1, XP_031837632.1, XP_031837640.1, XP_031837637.1, XP_031837636.1, XP_031837641.1, XP_031837639.1	XP_003397687.1
OG0000970	XP_031830789.1, XP_031830790.1	XP_003403354.1, XP_020723920.1, XP_020723921.1, XP_020723918.1, XP_020723919.1, XP_020723916.1, XP_020723917.1
OG0000971	XP_031835539.1, XP_031835538.1	XP_020721164.1, XP_012168644.1, XP_020721165.1
OG0000972	XP_031848863.1, XP_031849784.1, XP_031849785.1, XP_031849782.1, XP_031849787.1, XP_031849786.1, XP_031849783.1	XP_020720975.1, XP_012169181.1
OG0000973	XP_031841319.1	XP_003399480.1
OG0000974	XP_031838273.1	XP_020722479.1, XP_020722478.1
OG0000976	XP_031829632.1, XP_031829633.1, XP_031829634.1, XP_031829635.1, XP_031829631.1	XP_012171700.1
OG0000977	XP_031837571.1	XP_003400846.1, XP_020721992.1
OG0000980	XP_031847536.1, XP_031847534.1, XP_031847537.1, XP_031847538.1, XP_031842187.1	XP_020722762.1
OG0000981	XP_031832556.1	XP_003392991.1
OG0000982	XP_031844990.1	XP_020724015.1, XP_020724014.1, XP_020724009.1, XP_020724010.1, XP_020724011.1, XP_020724012.1, XP_003393627.1, XP_020724013.1
OG0000984	XP_031843772.1, XP_031843771.1, XP_031843770.1	XP_012168350.1
OG0000985	XP_031849797.1, XP_031849798.1	XP_003398732.1
OG0000986	XP_031850485.1, XP_031850484.1	XP_003402872.1, XP_012174597.1, XP_012174596.1, XP_012174598.1
OG0000987	XP_031827291.1	XP_020721593.1, XP_012170026.1
OG0000989	XP_031845736.1, XP_031845646.1	XP_020723864.1, XP_003403254.1
OG0000990	XP_031830021.1	XP_012173271.1
OG0000991	XP_031840243.1	XP_003402944.1
OG0000992	XP_031842630.1, XP_031842631.1	XP_012172501.1
OG0000993	XP_031835952.1	XP_003398481.1, XP_003398482.1
OG0000994	XP_031834628.1	XP_012170923.1, XP_012170929.1, XP_003393752.1
OG0000995	XP_031838671.1	XP_003396093.1
OG0000995	XP_031838672.1	XP_003396094.1
OG0000996	XP_031836354.1, XP_031836352.1, XP_031836355.1	XP_003402512.1
OG0000997	XP_031832296.1	XP_003397026.1
OG0000998	XP_031846275.1	XP_012166142.1, XP_020719314.1, XP_020719313.1, XP_020719315.1, XP_003396980.1
OG0000999	XP_031830745.1	XP_020720626.1, XP_003398057.1
OG0001000	XP_031843333.1	XP_012164376.1, XP_012164375.1, XP_012164374.1, XP_003395843.1
OG0001001	XP_031826248.1, XP_031826251.1, XP_031826249.1	XP_003396873.1
OG0001002	XP_031848227.1, XP_031848226.1	XP_020723064.1
OG0001003	XP_031838069.1, XP_031838064.1, XP_031838063.1, XP_031838062.1, XP_031838067.1, XP_031838066.1, XP_031838065.1, XP_031838061.1	XP_003397397.1
OG0001004	XP_031826078.1, XP_031826114.1, XP_031826063.1, XP_031826104.1, XP_031826096.1, XP_031826087.1, XP_031826069.1	XP_003399824.1
OG0001005	XP_031849435.1, XP_031849437.1, XP_031849433.1, XP_031849436.1, XP_031849438.1	XP_012168568.1
OG0001006	XP_031837818.1	XP_003397628.1
OG0001007	XP_031831897.1	XP_012166572.2
OG0001008	XP_031847044.1, XP_031847043.1, XP_031847045.1	XP_020721287.1, XP_012169631.1, XP_012169630.1, XP_003399301.1
OG0001009	XP_031839930.1	XP_003397599.1
OG0001010	XP_031827924.1	XP_003396516.2
OG0001011	XP_031840261.1	XP_012173377.1, XP_012173380.1, XP_003402094.1, XP_012173378.1, XP_012173379.1
OG0001012	XP_031832072.1, XP_031832077.1, XP_031832076.1, XP_031832079.1, XP_031832073.1, XP_031832078.1, XP_031832074.1, XP_031832075.1	XP_003397220.1, XP_012166565.1
OG0001013	XP_031831265.1, XP_031831266.1, XP_031831264.1	XP_003395283.1, XP_020718741.1
OG0001014	XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1, XP_031826904.1	XP_012173728.1
OG0001015	XP_031835375.1, XP_031835385.1	XP_012170496.1
OG0001016	XP_031826432.1	XP_003396679.1
OG0001017	XP_031839004.1	XP_020719044.1, XP_020719045.1, XP_020719043.1
OG0001018	XP_031841266.1, XP_031841265.1	XP_003398213.1
OG0001019	XP_031834154.1, XP_031834152.1, XP_031834151.1, XP_031834153.1	XP_020719819.1, XP_012166676.1, XP_012166675.1, XP_012166674.1, XP_012166673.1, XP_020719820.1
OG0001020	XP_031827614.1, XP_031827616.1, XP_031827617.1, XP_031827615.1	XP_012170604.1, XP_003399958.1
OG0001021	XP_031840004.1, XP_031840003.1, XP_031840001.1, XP_031840002.1	XP_012175528.1, XP_003403421.2, XP_012175461.1, XP_012175513.1
OG0001022	XP_031848468.1	XP_012174872.2, XP_020723967.1, XP_012176285.1, XP_012173645.1
OG0001029	XP_031839722.1	XP_003393818.1
OG0001030	XP_031837678.1	XP_020723113.1
OG0001031	XP_031848768.1, XP_031848710.1	XP_003396832.1, XP_003396833.1
OG0001032	XP_031842330.1	XP_012163597.1, XP_012163598.1, XP_012163596.1, XP_003395149.2, XP_012163600.1
OG0001033	XP_031835972.1	XP_020721869.1, XP_003400279.1
OG0001034	XP_031835036.1	XP_020720472.1, XP_020720471.1
OG0001035	XP_031843554.1	XP_003397967.1
OG0001036	XP_031845843.1	XP_020720038.1
OG0001037	XP_031833070.1	XP_003400394.1, XP_020722005.1
OG0001038	XP_031845478.1	XP_003395067.1, XP_003395066.1
OG0001039	XP_031835220.1	XP_012176769.1
OG0001040	XP_031829031.1	XP_012169168.1
OG0001041	XP_031839527.1	XP_003393655.1
OG0001042	XP_031849451.1	XP_020721291.1, XP_020721290.1, XP_020721289.1
OG0001043	XP_031838052.1	XP_003401948.1
OG0001044	XP_031838451.1	XP_012169128.1
OG0001045	XP_031829672.1	XP_012169456.1, XP_003399179.1
OG0001046	XP_031850366.1	XP_012175920.1, XP_003394378.2
OG0001047	XP_031838491.1	XP_012169030.1
OG0001048	XP_031846681.1	XP_012166028.1
OG0001048	XP_031837450.1, XP_031826064.1	XP_012166027.1
OG0001049	XP_031835667.1, XP_031835668.1	XP_012169758.1, XP_003399377.1
OG0001050	XP_031847871.1, XP_031847870.1, XP_031847869.1	XP_003398248.1
OG0001051	XP_031837028.1	XP_020718367.1
OG0001052	XP_031838674.1	XP_003398027.1, XP_012167650.1
OG0001053	XP_031835989.1, XP_031835988.1, XP_031835987.1	XP_003400184.1
OG0001054	XP_031826495.1, XP_031826493.1, XP_031826494.1	XP_003396955.1, XP_003396956.1
OG0001056	XP_031834187.1, XP_031834186.1	XP_003397054.1
OG0001057	XP_031838987.1	XP_003395935.1, XP_003395936.1
OG0001058	XP_031837659.1, XP_031837652.1	XP_003400850.1
OG0001059	XP_031838706.1, XP_031838707.1	XP_012164940.1
OG0001060	XP_031828975.1	XP_003402363.1, XP_012173977.1
OG0001060	XP_031837823.1	XP_012170586.1, XP_012170583.1
OG0001061	XP_031834010.1	XP_020723077.1
OG0001062	XP_031833408.1, XP_031833406.1	XP_012163958.1
OG0001063	XP_031839323.1	XP_012176591.1
OG0001064	XP_031844700.1, XP_031844701.1	XP_012165930.1
OG0001065	XP_031844734.1	XP_020719715.1, XP_003393199.1
OG0001066	XP_031831567.1	XP_012165951.1
OG0001067	XP_031826763.1, XP_031826766.1, XP_031826765.1, XP_031826762.1, XP_031826767.1, XP_031826764.1	XP_003399948.1
OG0001068	XP_031827272.1, XP_031827271.1, XP_031827270.1, XP_031827276.1, XP_031827275.1, XP_031827274.1, XP_031827277.1, XP_031827278.1	XP_012173614.1
OG0001069	XP_031835977.1	XP_020721751.1
OG0001070	XP_031836523.1	XP_003395974.1, XP_020718989.1
OG0001071	XP_031839525.1, XP_031839524.1	XP_003393658.1
OG0001072	XP_031838836.1	XP_012167179.1, XP_012167180.1
OG0001073	XP_031846227.1	XP_003396848.3
OG0001074	XP_031828489.1, XP_031828490.1	XP_012169550.1, XP_012169549.1, XP_012169548.1
OG0001075	XP_031845275.1	XP_012163521.1, XP_003395096.1
OG0001076	XP_031839534.1	XP_012172302.1, XP_012172298.1
OG0001077	XP_031837902.1	XP_003397626.1, XP_020720007.1
OG0001078	XP_031836304.1, XP_031836303.1	XP_020724042.1, XP_012170049.1
OG0001079	XP_031826989.1	XP_020721401.1
OG0001079	XP_031826944.1	XP_012169861.1
OG0001080	XP_031841874.1	XP_012166332.1, XP_020719846.1
OG0001081	XP_031848448.1, XP_031848447.1	XP_003394444.1
OG0001082	XP_031833668.1	XP_003395796.2
OG0001082	XP_031833663.1	XP_020718684.1
OG0001083	XP_031845777.1	XP_020719955.1
OG0001083	XP_031845776.1	XP_003397370.1
OG0001084	XP_031832966.1, XP_031832965.1	XP_012171801.1
OG0001086	XP_031845107.1	XP_012163516.1, XP_020718442.1, XP_020718441.1, XP_020718287.1, NP_001267823.1, XP_012163168.1
OG0001087	XP_031832317.1, XP_031832316.1	XP_003397032.1, XP_012166303.1
OG0001088	XP_031838244.1	XP_020723252.1, XP_012173898.1, XP_020723253.1
OG0001089	XP_031834203.1	XP_020719731.1, XP_012166715.1
OG0001090	XP_031837731.1	XP_003397956.3
OG0001091	XP_031825621.1	XP_003395439.1
OG0001094	XP_031828535.1	XP_003399752.1, XP_012170070.1, XP_012170069.1
OG0001095	XP_031846984.1, XP_031846981.1, XP_031846982.1, XP_031846983.1	XP_012168843.1
OG0001096	XP_031834352.1, XP_031834355.1, XP_031834354.1, XP_031834356.1, XP_031834353.1	XP_003395028.1
OG0001097	XP_031846169.1	XP_003402708.1
OG0001098	XP_031843576.1	XP_012174425.1, XP_012174424.1, XP_003402727.1, XP_012174426.1
OG0001099	XP_031844308.1	XP_003394623.1, XP_012176589.1, XP_012176588.1, XP_020724112.1, XP_020724111.1
OG0001100	XP_031840738.1	XP_012176497.1, XP_012176503.1, XP_012176502.1, XP_012176498.1
OG0001101	XP_031829064.1	XP_012168781.1
OG0001102	XP_031838695.1	XP_012164925.1, XP_003396084.1, XP_020719028.1
OG0001103	XP_031831004.1	XP_020720601.1
OG0001104	XP_031829957.1, XP_031829959.1, XP_031829958.1, XP_031829960.1	XP_003401696.1
OG0001105	XP_031833532.1, XP_031833534.1, XP_031833531.1, XP_031833535.1, XP_031833533.1	XP_012164003.1, XP_003395569.1, XP_012164005.1, XP_012164004.1
OG0001106	XP_031846672.1	XP_003396887.1, XP_003396886.1
OG0001107	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_020723251.1
OG0001108	XP_031833123.1, XP_031833115.1, XP_031833116.1, XP_031833120.1, XP_031833121.1, XP_031833122.1, XP_031833119.1, XP_031833118.1	XP_012171163.2
OG0001109	XP_031838555.1	XP_003398913.1, XP_012169017.1
OG0001110	XP_031849876.1, XP_031849877.1	XP_012169614.1, XP_012169615.1
OG0001112	XP_031849270.1	XP_003399090.1
OG0001113	XP_031841727.1, XP_031841726.1	XP_020721358.1, XP_003399739.1
OG0001114	XP_031835190.1, XP_031835191.1	XP_012167039.1
OG0001115	XP_031833732.1, XP_031833729.1, XP_031833733.1, XP_031833730.1	XP_012164344.1, XP_012164346.1, XP_012164347.1
OG0001116	XP_031836830.1, XP_031836828.1, XP_031836831.1, XP_031836829.1	XP_012169487.1, XP_003399206.1, XP_012169486.1
OG0001117	XP_031828275.1, XP_031828274.1, XP_031828271.1, XP_031828272.1, XP_031828276.1	XP_012165841.1, XP_003396741.1
OG0001118	XP_031839733.1	XP_003393761.1
OG0001119	XP_031839836.1	XP_003402684.1, XP_012174351.1
OG0001120	XP_031839918.1	XP_003393777.1
OG0001121	XP_031830949.1	XP_003398069.1
OG0001122	XP_031829308.1	XP_003402425.1
OG0001124	XP_031849119.1, XP_031849122.1, XP_031849121.1, XP_031849120.1	XP_012164863.1
OG0001125	XP_031826043.1	XP_012165311.1, XP_012165312.1, XP_003396333.1
OG0001126	XP_031826254.1, XP_031826252.1	XP_012165290.1, XP_003396315.2
OG0001128	XP_031826716.1, XP_031826715.1, XP_031826719.1, XP_031826718.1, XP_031826720.1, XP_031826717.1	XP_003399756.2
OG0001129	XP_031835435.1, XP_031835434.1	XP_020721166.1
OG0001130	XP_031846912.1, XP_031846913.1	XP_020718769.1
OG0001131	XP_031841940.1, XP_031841939.1	XP_003393256.1, XP_003393207.1
OG0001132	XP_031842022.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0001134	XP_031831643.1	XP_020718785.1, XP_020718784.1, XP_020718783.1, XP_003395304.1
OG0001135	XP_031834906.1, XP_031834907.1	XP_020723334.1
OG0001136	XP_031844874.1, XP_031844875.1, XP_031844872.1, XP_031844873.1	XP_003393631.1, XP_012171830.1
OG0001137	XP_031847547.1	XP_020723395.1, XP_020723398.1
OG0001138	XP_031825302.1	XP_020718881.1
OG0001139	XP_031845650.1	XP_012163981.1
OG0001140	XP_031847779.1, XP_031847807.1	XP_012164764.1, XP_012164760.1
OG0001141	XP_031838885.1	XP_003395933.1
OG0001142	XP_031836962.1	XP_003396986.1
OG0001143	XP_031846370.1	XP_003401633.1
OG0001144	XP_031841211.1	XP_012167578.1
OG0001145	XP_031835908.1	XP_003398289.1
OG0001146	XP_031830621.1	XP_012167750.1
OG0001147	XP_031849992.1, XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849990.1	XP_003398933.2
OG0001148	XP_031832957.1	XP_020722053.1, XP_020722051.1
OG0001149	XP_031842722.1	XP_020722405.1
OG0001150	XP_031827045.1	XP_012170145.1
OG0001151	XP_031847163.1	XP_003393190.1
OG0001152	XP_031828132.1	XP_003396785.1
OG0001153	XP_031839632.1	XP_003393670.1, XP_012172500.1
OG0001154	XP_031836183.1	XP_003393615.1, XP_020722754.1
OG0001155	XP_031848663.1	XP_003393728.1
OG0001156	XP_031845137.1, XP_031845136.1, XP_031845132.1, XP_031845133.1, XP_031845134.1, XP_031845135.1	XP_012176709.1
OG0001157	XP_031839349.1	XP_012164301.1, XP_012164306.1, XP_020718377.1, XP_003393116.1, XP_012164295.1
OG0001158	XP_031833173.1	XP_012169541.1, XP_012175271.1
OG0001159	XP_031838416.1	XP_003401963.1
OG0001160	XP_031831646.1, XP_031831648.1	XP_012164437.1, XP_012164436.1, XP_012164435.1
OG0001161	XP_031848979.1	XP_003402897.1
OG0001162	XP_031828771.1	XP_020720216.1
OG0001163	XP_031828233.1, XP_031828235.1, XP_031828234.1, XP_031828236.1	XP_012165843.1
OG0001164	XP_031836984.1	XP_020719426.1, XP_012166123.1
OG0001165	XP_031826385.1	XP_012165675.1, XP_012165676.1, XP_012165674.1, XP_012165673.1
OG0001166	XP_031832213.1	XP_012166488.1
OG0001167	XP_031846762.1, XP_031846763.1	XP_003396929.1, XP_012166091.1
OG0001168	XP_031826011.1	XP_003396914.1
OG0001169	XP_031841172.1	XP_012175120.1
OG0001170	XP_031837166.1	XP_003397488.1, XP_012167004.1, XP_012167003.1, XP_012167001.1
OG0001171	XP_031832233.1	XP_012166541.1, XP_012166542.1
OG0001172	XP_031830055.1, XP_031830054.1, XP_031830052.1	XP_012175108.1
OG0001173	XP_031841058.1	XP_012173213.1, XP_012173212.1, XP_012173211.1
OG0001174	XP_031838046.1	XP_020720241.1
OG0001174	XP_031838041.1	XP_003397396.1
OG0001175	XP_031835177.1, XP_031835178.1, XP_031835179.1	XP_012166847.1, XP_012166846.1, XP_012166849.1, XP_012166845.1, XP_012166848.1
OG0001176	XP_031838952.1	XP_020720427.1
OG0001176	XP_031841621.1	XP_003397614.1
OG0001177	XP_031842946.1, XP_031842962.1, XP_031842952.1, XP_031843041.1, XP_031842978.1, XP_031842971.1, XP_031843033.1, XP_031843023.1, XP_031843012.1, XP_031842988.1, XP_031843007.1, XP_031842998.1	XP_020720252.1
OG0001178	XP_031844031.1	XP_003393251.1
OG0001179	XP_031838027.1, XP_031838028.1, XP_031838026.1	XP_003401930.1
OG0001180	XP_031841342.1, XP_031841354.1	XP_003397852.1
OG0001181	XP_031830523.1	XP_012168213.1, XP_012168212.1, XP_012168215.1, XP_012168214.1, XP_012168217.1, XP_012168216.1, XP_020720602.1
OG0001182	XP_031849760.1	XP_003399407.1
OG0001183	XP_031849335.1	XP_012169247.1, XP_012169246.1
OG0001184	XP_031827989.1	XP_003397002.1, XP_020719469.1, XP_020719470.1
OG0001185	XP_031829790.1, XP_031829791.1, XP_031829792.1, XP_031829788.1, XP_031829786.1, XP_031829789.1	XP_020718454.1
OG0001186	XP_031850239.1, XP_031850242.1	XP_020720893.1
OG0001187	XP_031850167.1, XP_031850166.1	XP_003399142.1, XP_020721145.1
OG0001188	XP_031835788.1, XP_031835787.1	XP_012169367.1, XP_012169366.1, XP_012169365.1
OG0001189	XP_031846668.1	XP_020719414.1
OG0001190	XP_031835509.1, XP_031835510.1, XP_031835508.1	XP_012169730.1
OG0001191	XP_031845835.1, XP_031845830.1	XP_012175447.1, XP_012175521.2
OG0001192	XP_031848070.1	XP_012171252.1, XP_012171244.1
OG0001193	XP_031832905.1, XP_031832906.1	XP_003400768.1
OG0001194	XP_031829636.1, XP_031829638.1, XP_031829637.1	XP_003400709.1, XP_012171687.1, XP_012171686.1
OG0001195	XP_031842784.1	XP_012172761.1, XP_003401506.1, XP_012172760.1
OG0001196	XP_031829514.1, XP_031829516.1, XP_031829515.1	XP_012172004.1
OG0001198	XP_031830078.1	XP_020722890.1, XP_012173131.1, XP_012173132.1
OG0001199	XP_031840115.1	XP_012173863.1
OG0001200	XP_031833687.1, XP_031833686.1, XP_031833685.1, XP_031833684.1	XP_003395546.2
OG0001201	XP_031832206.1, XP_031832208.1	XP_003397300.2
OG0001202	XP_031838909.1, XP_031838913.1, XP_031838912.1, XP_031838910.1, XP_031838915.1, XP_031838914.1, XP_031838916.1	XP_003395955.1
OG0001203	XP_031843800.1, XP_031843797.1	XP_003398242.2, XP_012167913.1, XP_012167914.1
OG0001204	XP_031850172.1	XP_003399280.1
OG0001205	XP_031833126.1, XP_031833125.1, XP_031833128.1, XP_031833130.1, XP_031833129.1	XP_020722117.1, XP_020722116.1
OG0001206	XP_031828137.1	XP_003396294.1
OG0001207	XP_031834580.1, XP_031834582.1, XP_031834583.1, XP_031834581.1	XP_003393925.1, XP_012173919.1
OG0001208	XP_031840888.1, XP_031840892.1	XP_020724338.1, XP_020724339.1
OG0001209	XP_031849737.1, XP_031849736.1	XP_012175968.1, XP_020724189.1, XP_003394189.1
OG0001210	XP_031833404.1, XP_031833405.1	XP_003395499.1
OG0001211	XP_031828693.1, XP_031828691.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_012163118.1
OG0001212	XP_031847129.1, XP_031847128.1, XP_031847130.1, XP_031847132.1, XP_031847131.1, XP_031847127.1	XP_003393017.1
OG0001213	XP_031833288.1	XP_012175823.1
OG0001214	XP_031838470.1, XP_031838471.1	XP_012169115.1, XP_012169114.1, XP_003398965.1
OG0001215	XP_031827401.1	XP_003402120.1
OG0001216	XP_031842741.1	XP_003401031.1, XP_020722507.1
OG0001217	XP_031850238.1	XP_003398692.1
OG0001218	XP_031843808.1, XP_031843810.1, XP_031843805.1, XP_031843807.1, XP_031843811.1, XP_031843806.1	XP_012167829.1, XP_012167830.1
OG0001219	XP_031831623.1, XP_031831624.1	XP_003397480.1
OG0001220	XP_031844663.1, XP_031844664.1	XP_003394548.1, XP_003394549.1
OG0001221	XP_031827248.1	XP_012170277.1, XP_012170281.1, XP_012170278.1, XP_003399733.1
OG0001222	XP_031846385.1	XP_003403063.1
OG0001223	XP_031834094.1, XP_031834048.1	XP_003397075.2
OG0001224	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1	XP_003400968.1
OG0001225	XP_031841216.1, XP_031841219.1, XP_031841218.1	XP_003398521.2
OG0001226	XP_031849171.1, XP_031849172.1	XP_003399251.2
OG0001227	XP_031843190.1, XP_031843189.1	XP_020722689.1, XP_020722688.1
OG0001228	XP_031842497.1	XP_003401279.1, XP_003401278.1
OG0001229	XP_031847159.1	XP_003393159.2
OG0001231	XP_031825538.1	XP_003395441.1, XP_012163864.1
OG0001232	XP_031832250.1	XP_003397204.1
OG0001233	XP_031848520.1, XP_031848522.1, XP_031848523.1	XP_012171732.1, XP_012171733.1, XP_003400887.1
OG0001235	XP_031827348.1	XP_020722979.1, XP_020722978.1, XP_003401671.1, XP_012172966.1, XP_012172965.1, XP_012172964.1, XP_012172963.1, XP_012172962.1, XP_020722980.1
OG0001236	XP_031840357.1, XP_031840356.1	XP_012165174.1, XP_020719222.1, XP_012165173.1
OG0001240	XP_031829252.1, XP_031829251.1, XP_031829250.1	NP_001267850.1
OG0001241	XP_031832292.1, XP_031832293.1	XP_012166300.1, XP_012166301.1, XP_012166299.1, XP_003397025.1
OG0001242	XP_031839148.1, XP_031839149.1, XP_031839150.1	XP_012175128.2
OG0001243	XP_031840070.1, XP_031840071.1	XP_020720026.1
OG0001244	XP_031829966.1	XP_012173261.1, XP_003401858.1, XP_012173260.1
OG0001245	XP_031838795.1, XP_031838797.1	XP_012164960.1
OG0001247	XP_031848295.1	XP_012176387.1
OG0001249	XP_031837870.1	XP_003400916.1
OG0001250	XP_031845957.1	XP_020720272.1, XP_020720273.1, XP_003397466.1
OG0001252	XP_031836316.1	XP_003400160.1
OG0001253	XP_031825436.1	XP_012164095.1, XP_012164094.1, XP_020718886.1, XP_020718887.1, XP_003395628.1, XP_012164096.1
OG0001254	XP_031829337.1	XP_012174118.1
OG0001255	XP_031837305.1, XP_031837306.1, XP_031837304.1	XP_003400838.2
OG0001256	XP_031829841.1	XP_020721313.1, XP_020721315.1
OG0001257	XP_031847660.1, XP_031847663.1	XP_003392920.1
OG0001258	XP_031835316.1	XP_012169677.1
OG0001260	XP_031842866.1, XP_031842868.1, XP_031842865.1, XP_031842863.1, XP_031842864.1	XP_003401497.1
OG0001261	XP_031837919.1, XP_031837912.1, XP_031837904.1	XP_003400844.1
OG0001262	XP_031832118.1, XP_031832117.1, XP_031832116.1	XP_003397119.1
OG0001263	XP_031843673.1	XP_012167433.1
