Orthogroup	Nomia_melanderi	Apis_mellifera
OG0001670	XP_031850277.1	XP_006570391.1, XP_016770284.1
OG0001671	XP_031835448.1, XP_031835451.1, XP_031835446.1, XP_031835449.1, XP_031835445.1, XP_031835450.1	XP_006570433.2
OG0001673	XP_031840280.1, XP_031840285.1, XP_031840283.1	XP_006570746.1, XP_006570749.1
OG0001674	XP_031828889.1	XP_016768088.1, XP_006570947.2, XP_006570946.1, XP_016768089.1, XP_016768090.1
OG0001675	XP_031847666.1	XP_006571593.2, XP_016771656.2
OG0001676	XP_031837473.1	XP_006571672.1, XP_394261.3, XP_006571671.1
OG0001677	XP_031843964.1	XP_006571701.2, XP_624577.2
OG0001678	XP_031848373.1	XP_393064.5, XP_016772735.2, XP_006571932.2
OG0001679	XP_031837973.1, XP_031837972.1, XP_031837971.1, XP_031837974.1	XP_006572022.1
OG0001680	XP_031834002.1, XP_031834003.1, XP_031834005.1	XP_006572049.1
OG0001681	XP_031839088.1	XP_006572431.2
OG0001682	XP_031846345.1	XP_016766188.2
OG0001683	XP_031836036.1, XP_031836031.1	XP_016766225.1, XP_016766222.1
OG0001684	XP_031834943.1	XP_016766426.1
OG0001685	XP_031846328.1	XP_016766513.2, XP_026294932.1
OG0001686	XP_031845082.1	XP_016767198.1
OG0001687	XP_031829366.1, XP_031829365.1	XP_016767213.1
OG0001688	XP_031846136.1	XP_016767443.2
OG0001689	XP_031842280.1	XP_016767483.1, XP_392445.3
OG0001690	XP_031833703.1, XP_031833700.1, XP_031833701.1, XP_031833702.1	XP_016767638.2
OG0001691	XP_031825616.1, XP_031825612.1	XP_016767937.1, XP_392575.3
OG0001692	XP_031845697.1, XP_031845696.1	XP_016768465.1, XP_016768466.1, XP_016768464.1
OG0001693	XP_031834009.1	XP_016768578.1
OG0001694	XP_031826644.1	XP_016768660.2, XP_016768664.2
OG0001695	XP_031836945.1, XP_031836943.1, XP_031836946.1, XP_031836942.1	XP_016768770.2
OG0001696	XP_031846498.1	XP_016768990.1
OG0001697	XP_031827083.1	XP_016769119.1
OG0001698	XP_031830307.1	XP_016769141.2
OG0001699	XP_031846210.1	XP_016769587.1
OG0001700	XP_031830785.1	XP_016769797.1
OG0001701	XP_031847855.1, XP_031847854.1	XP_016769925.1
OG0001702	XP_031830583.1, XP_031830596.1, XP_031830587.1, XP_031830580.1, XP_031830581.1	XP_016769933.1, XP_016769932.1
OG0001703	XP_031830479.1	XP_016770011.2
OG0001704	XP_031835373.1	XP_016770407.1
OG0001705	XP_031828845.1	XP_016770549.2, XP_016770554.2, XP_026299860.1
OG0001706	XP_031849769.1, XP_031849767.1, XP_031849768.1	XP_016770706.1
OG0001707	XP_031827557.1	XP_016771061.1, XP_396670.3
OG0001708	XP_031827761.1	XP_016771297.2
OG0001709	XP_031827704.1	XP_016771313.1
OG0001710	XP_031836145.1, XP_031836144.1, XP_031836320.1	XP_016771320.1
OG0001711	XP_031844403.1	XP_016771331.1, XP_016771334.1
OG0001712	XP_031844360.1	XP_016771335.1, XP_016771336.1, XP_026300595.1
OG0001713	XP_031837099.1	XP_026300877.1, XP_016771484.1
OG0001715	XP_031832649.1, XP_031832660.1	XP_016771568.2
OG0001716	XP_031837195.1	XP_396377.3, XP_016771703.1
OG0001717	XP_031832993.1	XP_026300734.1, XP_016771842.1
OG0001718	XP_031828751.1	XP_026300051.1, XP_016771899.1
OG0001719	XP_031847414.1	XP_625215.4, XP_016772001.1
OG0001720	XP_031825735.1	XP_016772335.1
OG0001721	XP_031827109.1	XP_016772413.1, XP_026301646.1
OG0001723	XP_031826003.1	XP_016772926.2, XP_026299027.1
OG0001724	XP_031839144.1	XP_016772983.2
OG0001725	XP_031847504.1	XP_016773117.2
OG0001725	XP_031847491.1	XP_625121.3
OG0001726	XP_031831102.1	XP_016773550.1
OG0001727	XP_031839732.1	XP_394280.3, XP_016773614.1
OG0001728	XP_031847282.1, XP_031847281.1, XP_031847284.1, XP_031847283.1, XP_031847279.1	XP_026294846.1
OG0001729	XP_031839610.1	XP_026294961.1
OG0001730	XP_031839630.1, XP_031839631.1	XP_026294994.1, XP_026294996.1
OG0001731	XP_031839883.1	XP_026294997.1, XP_026295003.1
OG0001732	XP_031849630.1, XP_031849627.1	XP_026295183.1
OG0001733	XP_031844147.1	XP_026295324.1, XP_026295325.1
OG0001734	XP_031844286.1	XP_026295427.1
OG0001735	XP_031839420.1	XP_026295549.1
OG0001736	XP_031844452.1, XP_031844451.1	XP_026295581.1, XP_026295572.1
OG0001737	XP_031834445.1, XP_031834444.1	XP_026295876.1
OG0001739	XP_031833215.1, XP_031833214.1	XP_026295986.1
OG0001740	XP_031845993.1, XP_031845992.1	XP_026295992.1, XP_026295991.1
OG0001741	XP_031845069.1, XP_031845033.1	XP_026296077.1, XP_026296074.1
OG0001742	XP_031836716.1	XP_026296135.1
OG0001743	XP_031846041.1	XP_026296212.1
OG0001744	XP_031833176.1	XP_026296300.1
OG0001745	XP_031831479.1, XP_031831478.1	XP_026296430.1
OG0001746	XP_031831412.1	XP_026296485.1
OG0001747	XP_031826710.1	XP_026296488.1
OG0001748	XP_031825332.1, XP_031825333.1	XP_026296535.1
OG0001749	XP_031831230.1	XP_026296631.1
OG0001750	XP_031831249.1	XP_026296701.1
OG0001751	XP_031833671.1, XP_031833673.1	XP_026296729.1, XP_026296731.1
OG0001752	XP_031831406.1, XP_031831407.1, XP_031831405.1	XP_026296861.1
OG0001753	XP_031831790.1	XP_026296872.1, XP_026296873.1
OG0001754	XP_031840225.1, XP_031840224.1	XP_026297019.1
OG0001755	XP_031829211.1	XP_026297049.1
OG0001756	XP_031836502.1	XP_026297205.1, XP_026297206.1
OG0001757	XP_031836552.1	XP_026297323.1
OG0001758	XP_031846741.1, XP_031846742.1	XP_026297491.1
OG0001759	XP_031826591.1	XP_026297520.1
OG0001760	XP_031837822.1	XP_026297815.1
OG0001761	XP_031836220.1, XP_031836222.1	XP_026297873.1
OG0001762	XP_031829656.1	XP_026297892.1, XP_026297900.1
OG0001763	XP_031841887.1, XP_031841886.1	XP_026297917.1
OG0001764	XP_031831994.1, XP_031831993.1, XP_031831992.1, XP_031831995.1, XP_031831996.1, XP_031831997.1	XP_026297973.1
OG0001765	XP_031835197.1, XP_031835206.1	XP_026297975.1
OG0001766	XP_031829728.1	XP_026298354.1
OG0001767	XP_031838073.1	XP_026298558.1
OG0001768	XP_031837903.1	XP_026298664.1, XP_026298663.1
OG0001769	XP_031837958.1	XP_026298731.1
OG0001770	XP_031831095.1	XP_026298886.1
OG0001771	XP_031828537.1	XP_026298941.1, XP_026298938.1, XP_026298939.1, XP_026298936.1, XP_026298937.1, XP_026298940.1
OG0001772	XP_031830482.1	XP_026299097.1, XP_026299098.1
OG0001773	XP_031830619.1	XP_026299099.1
OG0001774	XP_031847022.1, XP_031847021.1	XP_026299115.1
OG0001775	XP_031831128.1	XP_026299138.1, XP_026299137.1, XP_026299136.1, XP_026299135.1, XP_026299139.1
OG0001776	XP_031830543.1, XP_031830541.1, XP_031830542.1	XP_026299298.1
OG0001777	XP_031831619.1	XP_026299381.1
OG0001778	XP_031839217.1	XP_026299413.1
OG0001779	XP_031833741.1, XP_031833743.1, XP_031833742.1	XP_026299482.1
OG0001780	XP_031835637.1	XP_026299741.1
OG0001781	XP_031828839.1, XP_031828838.1	XP_026299659.1
OG0001782	XP_031828294.1, XP_031828307.1	XP_026299833.1, XP_026299834.1
OG0001783	XP_031838458.1	XP_026299850.1
OG0001783	XP_031838469.1	XP_026299854.1
OG0001784	XP_031829746.1	XP_026299872.1, XP_026299874.1, XP_026299875.1
OG0001785	XP_031828243.1, XP_031828254.1	XP_026300196.1, XP_026300199.1
OG0001787	XP_031848832.1	XP_026300432.1, XP_026300434.1
OG0001788	XP_031827818.1, XP_031827817.1	XP_026300438.1
OG0001789	XP_031832372.1, XP_031832373.1, XP_031832371.1	XP_026300546.1
OG0001790	XP_031836233.1, XP_031836232.1, XP_031836231.1	XP_026300552.1, XP_026300554.1, XP_026300553.1
OG0001791	XP_031845831.1	XP_026300580.1
OG0001792	XP_031844371.1, XP_031844368.1	XP_026300612.1
OG0001793	XP_031846849.1	XP_026300682.1, XP_026300697.1
OG0001794	XP_031848877.1, XP_031848878.1, XP_031845954.1	XP_026300716.1, XP_026300717.1
OG0001795	XP_031837244.1	XP_026300792.1
OG0001796	XP_031832614.1, XP_031832613.1	XP_026300967.1
OG0001797	XP_031837943.1	XP_026300909.1
OG0001798	XP_031836227.1	XP_026300914.1
OG0001799	XP_031837110.1	XP_026300939.1
OG0001800	XP_031832932.1	XP_026300952.1
OG0001801	XP_031848133.1	XP_026300976.1
OG0001801	XP_031848132.1	XP_026300978.1
OG0001802	XP_031844027.1, XP_031844030.1, XP_031844028.1, XP_031844029.1	XP_026300987.1
OG0001803	XP_031843244.1	XP_026301150.1
OG0001804	XP_031843251.1	XP_026301304.1
OG0001805	XP_031843246.1	XP_026301314.1
OG0001806	XP_031838199.1, XP_031838198.1	XP_026301320.1
OG0001807	XP_031846406.1	XP_026301335.1, XP_026301334.1
OG0001808	XP_031847317.1	XP_026301408.1
OG0001809	XP_031825802.1, XP_031825801.1	XP_026301457.1, XP_026301458.1
OG0001810	XP_031826684.1	XP_026301564.1, XP_026301563.1
OG0001811	XP_031827319.1	XP_026301895.1, XP_026301894.1
OG0001812	XP_031846317.1, XP_031846315.1, XP_031846313.1, XP_031846318.1, XP_031846316.1, XP_031846312.1	XP_026301979.1
OG0001813	XP_031840555.1	XP_026302010.1
OG0001814	XP_031839039.1	XP_026302051.1
OG0001815	XP_031828165.1	XP_391929.5
OG0001816	XP_031837645.1	XP_392534.3
OG0001818	XP_031848338.1	XP_392655.2
OG0001819	XP_031843221.1	XP_392953.3
OG0001820	XP_031842533.1	XP_393237.4
OG0001821	XP_031829217.1	XP_393467.3
OG0001822	XP_031847778.1	XP_393684.4
OG0001823	XP_031850548.1, XP_031850547.1, XP_031850543.1, XP_031850545.1, XP_031850544.1, XP_031850546.1	XP_394382.2
OG0001824	XP_031845557.1	XP_394479.4
OG0001825	XP_031831788.1, XP_031831787.1	XP_394554.1
OG0001826	XP_031833908.1, XP_031833907.1, XP_031833909.1	XP_394574.3
OG0001827	XP_031846760.1	XP_394621.2
OG0001828	XP_031841161.1	XP_394765.2
OG0001829	XP_031849543.1, XP_031849544.1	XP_394877.3
OG0001830	XP_031829566.1	XP_395324.2
OG0001831	XP_031842789.1, XP_031842788.1, XP_031842790.1	XP_395370.1
OG0001832	XP_031836555.1	XP_395437.4
OG0001833	XP_031833195.1, XP_031833194.1, XP_031833196.1, XP_031833197.1	XP_395689.6
OG0001834	XP_031836923.1, XP_031836922.1	XP_395877.1
OG0001835	XP_031827180.1, XP_031827177.1	XP_396192.5
OG0001836	XP_031838534.1, XP_031838535.1	XP_396203.4
OG0001837	XP_031826331.1	XP_396259.1
OG0001838	XP_031835868.1	XP_396365.1
OG0001839	XP_031835472.1	XP_396547.5
OG0001840	XP_031826782.1, XP_031826779.1, XP_031826780.1, XP_031826781.1	XP_396630.2
OG0001841	XP_031827906.1	XP_396686.2
OG0001842	XP_031833736.1	XP_396862.5
OG0001843	XP_031828602.1, XP_031828603.1	XP_396914.2
OG0001844	XP_031833290.1	XP_397095.3
OG0001845	XP_031833762.1, XP_031833759.1, XP_031833758.1, XP_031833764.1, XP_031833765.1, XP_031833763.1, XP_031833760.1, XP_031833761.1	XP_397125.5
OG0001846	XP_031834117.1, XP_031834116.1	XP_397160.3
OG0001847	XP_031828671.1	XP_397220.3
OG0001848	XP_031826776.1	XP_397291.2
OG0001849	XP_031840236.1	XP_623500.2
OG0001851	XP_031829640.1	XP_623589.2
OG0001852	XP_031836088.1	XP_623644.3
OG0001853	XP_031832559.1	XP_623847.3
OG0001854	XP_031841883.1	XP_623941.1
OG0001855	XP_031847141.1	XP_623954.1
OG0001856	XP_031849751.1	XP_623996.3
OG0001857	XP_031846360.1, XP_031846362.1, XP_031846361.1	XP_624087.2
OG0001858	XP_031847136.1	XP_624179.3
OG0001859	XP_031844502.1, XP_031844505.1, XP_031844503.1, XP_031844504.1	XP_624215.4
OG0001860	XP_031850002.1, XP_031849999.1	XP_624287.2
OG0001861	XP_031830033.1	XP_624417.1
OG0001862	XP_031849021.1, XP_031849030.1	XP_624429.2
OG0001863	XP_031844089.1	XP_624449.2
OG0001864	XP_031843775.1	XP_624479.1
OG0001865	XP_031828927.1	XP_624584.4
OG0001866	XP_031826928.1	XP_624933.3
OG0001867	XP_031842132.1	XP_624943.3
OG0001868	XP_031826162.1, XP_031826155.1	XP_625084.1
OG0001869	XP_031835814.1, XP_031835813.1, XP_031835812.1	XP_625100.1
OG0001870	XP_031835195.1	XP_625156.2
OG0001871	XP_031827545.1, XP_031848206.1, XP_031848203.1, XP_031848202.1, XP_031848205.1	XP_625250.4
OG0001893	XP_031835297.1	NP_001011604.2, XP_006561561.1
OG0001894	XP_031836766.1	NP_001011616.2
OG0001895	XP_031837103.1	XP_026300655.1, NP_001011621.1
OG0001896	XP_031835480.1, XP_031835479.1	NP_001094493.1, XP_016770154.2
OG0001897	XP_031825453.1	XP_026300314.1, NP_001098419.1
OG0001898	XP_031847984.1	NP_001104725.1
OG0001899	XP_031827659.1, XP_031827667.1	NP_001170961.1
OG0001900	XP_031833052.1	NP_001171374.1, XP_026300673.1
OG0001901	XP_031834105.1	NP_001177350.1, XP_026302146.1
OG0001902	XP_031845873.1	NP_001229508.1, XP_026301738.1
OG0001904	XP_031833558.1	XP_006568757.1, NP_001233596.1
OG0001905	XP_031827215.1, XP_031827214.1, XP_031827213.1	NP_001257750.1
OG0001906	XP_031825881.1	XP_016769703.1, NP_001263356.1, XP_026298954.1
OG0001907	XP_031839994.1, XP_031839985.1	NP_001301008.1, XP_623081.1
OG0001908	XP_031839784.1, XP_031839785.1, XP_031839786.1, XP_031839783.1, XP_031839787.1	NP_001306198.1
OG0001909	XP_031829043.1	XP_001119879.1
OG0001910	XP_031847738.1	XP_001119908.1
OG0001911	XP_031849754.1	XP_001119910.3
OG0001912	XP_031838315.1	XP_001119929.2
OG0001913	XP_031828397.1	XP_001119937.1
OG0001914	XP_031840496.1, XP_031840497.1	XP_001119992.2
OG0001915	XP_031837582.1	XP_006571060.1, XP_001120030.2, XP_006571059.1
OG0001916	XP_031825910.1	XP_001120034.1
OG0001917	XP_031845893.1	XP_001120159.2
OG0001918	XP_031829743.1	XP_001120227.2
OG0001919	XP_031833105.1, XP_031833101.1	XP_001120276.2
OG0001920	XP_031842034.1, XP_031842036.1	XP_001120360.1
OG0001921	XP_031834291.1	XP_001120364.1
OG0001923	XP_031825417.1	XP_026296684.1, XP_001120503.2
OG0001924	XP_031828218.1, XP_031828217.1, XP_031828219.1	XP_001120526.3
OG0001925	XP_031829400.1	XP_001120611.1
OG0001926	XP_031848092.1	XP_001120644.2
OG0001927	XP_031844950.1, XP_031844949.1, XP_031844948.1, XP_031844947.1, XP_031844946.1, XP_031844951.1	XP_001120674.3
OG0001928	XP_031833628.1	XP_001120695.1
OG0001929	XP_031835582.1	XP_001120710.2
OG0001930	XP_031833608.1	XP_001120760.2
OG0001931	XP_031826846.1	XP_001120770.1
OG0001932	XP_031839459.1	XP_016767124.1, XP_026300906.1, XP_001120845.2, XP_026300902.1, XP_016767121.1
OG0001933	XP_031843339.1	XP_001120848.2
OG0001934	XP_031829772.1	XP_016769298.2, XP_001120879.2
OG0001935	XP_031846297.1	XP_001120937.2
OG0001936	XP_031845501.1	XP_001120943.2, XP_006566059.1
OG0001937	XP_031839973.1	XP_001120965.1
OG0001938	XP_031828505.1	XP_001121025.1
OG0001939	XP_031826959.1, XP_031826960.1, XP_031826961.1, XP_031826962.1	XP_001121123.3
OG0001940	XP_031842250.1	XP_001121347.2
OG0001941	XP_031833875.1, XP_031833871.1	XP_001121441.3, XP_016770595.2
OG0001942	XP_031844332.1, XP_031844331.1	XP_001121552.2
OG0001943	XP_031839090.1	XP_001121574.3
OG0001944	XP_031837245.1	XP_001121913.2
OG0001945	XP_031830982.1	XP_001122025.2
OG0001946	XP_031842421.1	XP_001122053.2, XP_026295972.1
OG0001947	XP_031828009.1, XP_031828008.1, XP_031828010.1	XP_026299730.1, XP_001122178.2
OG0001948	XP_031847457.1, XP_031847458.1	XP_001122341.1
OG0001949	XP_031842487.1, XP_031842486.1, XP_031842485.1	XP_001122466.1
OG0001950	XP_031835477.1	XP_001122467.1
OG0001951	XP_031832386.1	XP_001122511.2
OG0001952	XP_031827700.1	XP_001122536.1
OG0001953	XP_031834579.1	XP_001122558.1
OG0001954	XP_031842141.1	XP_001122741.2
OG0001955	XP_031833096.1	XP_001123003.1
OG0001956	XP_031846745.1, XP_031846746.1, XP_031846747.1	XP_003249123.2, XP_006557475.2, XP_006557476.2
OG0001957	XP_031834112.1	XP_003249152.1
OG0001958	XP_031845110.1, XP_031845111.1	XP_003249383.1
OG0001959	XP_031829480.1	XP_003249400.1
OG0001960	XP_031840310.1	XP_003249451.1
OG0001961	XP_031835971.1	XP_003249477.1, XP_006559389.1
OG0001962	XP_031829807.1	XP_003249515.1
OG0001963	XP_031842627.1	XP_016772141.2, XP_003249733.2
OG0001964	XP_031830629.1	XP_003249834.2
OG0001965	XP_031848096.1	XP_003249988.1
OG0001966	XP_031846795.1	XP_016768244.1, XP_016768243.1, XP_003250114.1
OG0001967	XP_031847449.1, XP_031847451.1	XP_003250290.2
OG0001968	XP_031828968.1	XP_003250447.1, XP_016770394.1
OG0001969	XP_031828821.1	XP_003250507.1
OG0001970	XP_031834770.1, XP_031834615.1	XP_026294905.1, XP_003250769.3, XP_026294912.1
OG0001971	XP_031836779.1	XP_003250796.2
OG0001972	XP_031835372.1, XP_031835371.1	XP_003250895.2
OG0001973	XP_031833666.1	XP_026296634.1, XP_003251129.1
OG0001974	XP_031827900.1, XP_031827901.1	XP_003251506.2
OG0001975	XP_031848652.1	XP_003251580.2
OG0001976	XP_031847146.1, XP_031847147.1	XP_003251593.1, XP_006570675.1
OG0001977	XP_031848434.1	XP_003251848.1
OG0001978	XP_031834506.1	XP_006557395.1
OG0001979	XP_031846759.1	XP_394141.2, XP_006557452.1, XP_006557451.1, XP_026299679.1
OG0001980	XP_031846782.1	XP_006557469.1
OG0001981	XP_031826501.1	XP_006557487.1, XP_016770518.1
OG0001982	XP_031836944.1	XP_393658.4, XP_006557619.1
OG0001983	XP_031844808.1, XP_031844807.1	XP_395910.3, XP_006557644.1
OG0001984	XP_031848655.1	XP_006557714.2, XP_026294844.1
OG0001985	XP_031826881.1	XP_393344.3, XP_006557750.1
OG0001986	XP_031826866.1	XP_006557753.2
OG0001987	XP_031827227.1	XP_016772579.1, XP_006557799.1, XP_026301710.1
OG0001988	XP_031827233.1, XP_031827232.1	XP_006557802.1
OG0001989	XP_031827089.1, XP_031827090.1	XP_006557806.1
OG0001990	XP_031847655.1	XP_016771418.2, XP_006557875.2
OG0001991	XP_031832368.1	XP_016771212.1, XP_006557901.1
OG0001992	XP_031832407.1, XP_031832408.1, XP_031832409.1	XP_006557903.3
OG0001993	XP_031832399.1	XP_006557906.2
OG0001994	XP_031834425.1	XP_006557981.1, XP_016767419.1
OG0001995	XP_031831631.1, XP_031831630.1	XP_006558096.1
OG0001996	XP_031848482.1	XP_006558267.2
OG0001997	XP_031839067.1	XP_006558279.1, XP_016768968.1
OG0001998	XP_031848790.1	XP_006558486.2
OG0001999	XP_031844396.1	XP_006558575.2
OG0002000	XP_031844438.1, XP_031844441.1, XP_031844440.1	XP_006558585.2
OG0002001	XP_031846311.1	XP_006558646.1
OG0002002	XP_031828487.1	XP_006558669.1, XP_393487.3
OG0002003	XP_031842266.1, XP_031842268.1	XP_006558726.1
OG0002004	XP_031845768.1	XP_006558871.1
OG0002005	XP_031830189.1, XP_031830188.1	XP_393071.3, XP_006558911.1
OG0002006	XP_031846566.1, XP_031846565.1, XP_031846567.1, XP_031846569.1	XP_006558939.1
OG0002007	XP_031830820.1, XP_031830823.1	XP_006559127.1, XP_026299296.1
OG0002008	XP_031836064.1, XP_031836065.1	XP_006559200.2
OG0002009	XP_031842786.1	XP_016772337.1, XP_006559263.1
OG0002010	XP_031825719.1	XP_026301224.1, XP_026301223.1, XP_006559268.1
OG0002011	XP_031841826.1	XP_006559675.1
OG0002012	XP_031844580.1	XP_624978.4, XP_006559788.2
OG0002013	XP_031837289.1	XP_006560053.1, XP_006560054.1, XP_006560052.1
OG0002014	XP_031827737.1, XP_031827734.1	XP_006560139.1
OG0002015	XP_031837544.1, XP_031837628.1	XP_006560249.3, XP_026300958.1, XP_026300959.1, XP_026300957.1
OG0002016	XP_031833341.1, XP_031833340.1	XP_006560675.1
OG0002017	XP_031825771.1	XP_006560707.1
OG0002018	XP_031844605.1, XP_031844606.1, XP_031844604.1	XP_016766754.1, XP_006560948.1
OG0002019	XP_031839079.1	XP_006561540.1
OG0002020	XP_031835273.1	XP_006561742.1, XP_006561743.1, XP_006561741.1
OG0002021	XP_031838099.1	XP_006561876.1, XP_016769550.1
OG0002022	XP_031843505.1	XP_006561935.1
OG0002023	XP_031828774.1	XP_006561985.2
OG0002024	XP_031831529.1, XP_031831528.1	XP_006562180.1
OG0002025	XP_031831600.1, XP_031831601.1, XP_031831599.1	XP_006562255.1
OG0002026	XP_031847932.1	XP_006562493.2
OG0002027	XP_031837027.1, XP_031837039.1	XP_006562571.1
OG0002028	XP_031846204.1	XP_006562607.1, XP_016769534.1, XP_006562610.1, XP_016769540.1
OG0002029	XP_031845997.1	XP_026295912.1, XP_016767422.1, XP_006562782.1
OG0002030	XP_031846174.1, XP_031846175.1	XP_006562841.1
OG0002031	XP_031843856.1	XP_006562865.1
OG0002032	XP_031843881.1	XP_016769811.1, XP_006562871.1
OG0002033	XP_031830912.1	XP_006562933.1
OG0002034	XP_031830490.1	XP_006562948.1
OG0002035	XP_031830970.1	XP_006562950.1
OG0002036	XP_031832705.1	XP_006562995.1, XP_026300696.1
OG0002037	XP_031825707.1	XP_006563164.1
OG0002038	XP_031841790.1, XP_031841789.1	XP_006563197.1
OG0002039	XP_031835011.1	XP_006563337.2
OG0002040	XP_031842933.1, XP_031842931.1, XP_031842934.1	XP_006563433.2
OG0002041	XP_031843279.1	XP_006563499.1, XP_006563500.1
OG0002042	XP_031847456.1, XP_031847454.1, XP_031847455.1	XP_006563636.2
OG0002043	XP_031841200.1, XP_031841202.1	XP_006563759.1
OG0002044	XP_031828648.1	XP_006563852.2
OG0002045	XP_031828717.1	XP_006563856.1, XP_016768897.1
OG0002046	XP_031838302.1	XP_006563927.2
OG0002047	XP_031841041.1	XP_006563942.2
OG0002048	XP_031840847.1, XP_031840846.1, XP_031840845.1	XP_006564032.3
OG0002049	XP_031840182.1	XP_006564152.1
OG0002050	XP_031831539.1	XP_006564233.1
OG0002051	XP_031833648.1	XP_006564273.1
OG0002052	XP_031826288.1	XP_006564353.1
OG0002053	XP_031838586.1, XP_031838585.1	XP_006564451.1, XP_006564452.1, XP_016770529.1, XP_006564450.1
OG0002054	XP_031825840.1	XP_006564536.1, XP_026299114.1
OG0002055	XP_031828884.1	XP_006564577.2
OG0002056	XP_031830226.1	XP_006564642.1
OG0002056	XP_031830233.1	XP_006564650.1
OG0002057	XP_031830239.1	XP_006564658.1
OG0002058	XP_031830157.1	XP_006564685.2
OG0002059	XP_031829871.1	XP_006564745.1
OG0002060	XP_031831278.1	XP_006564855.1
OG0002061	XP_031833019.1, XP_031833020.1	XP_006564887.1, XP_006564886.1
OG0002062	XP_031833158.1	XP_006564911.3
OG0002063	XP_031836360.1, XP_031836371.1	XP_006565104.1
OG0002064	XP_031825958.1, XP_031825966.1	XP_396742.2, XP_006565263.1
OG0002065	XP_031840212.1	XP_006565420.1
OG0002066	XP_031838701.1	XP_006565434.1, XP_006565435.1, XP_026297144.1
OG0002067	XP_031838979.1	XP_006565447.1
OG0002068	XP_031826201.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0002069	XP_031835823.1	XP_006565614.1
OG0002070	XP_031845941.1, XP_031845939.1, XP_031845940.1, XP_031845937.1	XP_006565668.1
OG0002071	XP_031832920.1	XP_006565854.1, XP_006565855.1, XP_006565856.1
OG0002072	XP_031848264.1	XP_006566140.1, XP_026298928.1
OG0002073	XP_031830793.1	XP_026299084.1, XP_006566196.1
OG0002074	XP_031850140.1	XP_006566574.1
OG0002075	XP_031850213.1	XP_016770465.2, XP_006566579.1
OG0002076	XP_031849214.1	XP_006566737.2
OG0002077	XP_031845374.1	XP_006567226.1
OG0002078	XP_031845086.1	XP_016767405.1, XP_016767404.1, XP_006567305.1
OG0002079	XP_031835052.1, XP_031835051.1	XP_006567413.1, XP_026298569.1
OG0002080	XP_031835192.1, XP_031835194.1	XP_006567531.1
OG0002081	XP_031838407.1	XP_006567764.1
OG0002082	XP_031833775.1	XP_006567826.2
OG0002083	XP_031843335.1, XP_031843336.1	XP_006567899.1
OG0002084	XP_031833456.1	XP_006567938.1
OG0002085	XP_031839713.1, XP_031839710.1	XP_006568278.2, XP_006568277.2
OG0002086	XP_031836986.1	XP_006568337.1
OG0002087	XP_031826521.1	XP_006568372.3
OG0002088	XP_031825969.1, XP_031825975.1	XP_006568419.2, XP_026297399.1
OG0002089	XP_031829854.1	XP_006568573.1
OG0002090	XP_031827892.1	XP_393070.4, XP_006568660.1
OG0002091	XP_031828025.1, XP_031828026.1	XP_006568666.1
OG0002092	XP_031827965.1	XP_006568678.1
OG0002093	XP_031828084.1	XP_006568702.1, XP_394204.2
OG0002094	XP_031844906.1	XP_026302239.1, XP_006568843.1
OG0002095	XP_031839648.1	XP_026302282.1, XP_006568989.1, XP_624698.2, XP_006568988.1
OG0002096	XP_031839615.1, XP_031839616.1, XP_031839618.1, XP_031839617.1	XP_006568993.1, XP_006568995.1, XP_006568992.1
OG0002097	XP_031839626.1, XP_031839624.1, XP_031839623.1, XP_031839625.1, XP_031839627.1	XP_006569056.2
OG0002098	XP_031827621.1	XP_006569200.1
OG0002099	XP_031829353.1, XP_031829352.1, XP_031829350.1	XP_006569370.1
OG0002100	XP_031845416.1, XP_031845417.1, XP_031845419.1, XP_031845415.1	XP_006569396.1
OG0002101	XP_031833212.1	XP_006569438.1, XP_006569437.1, XP_397486.2
OG0002102	XP_031827285.1	XP_006569563.1
OG0002103	XP_031828066.1, XP_031828067.1	XP_006569656.1, XP_393231.4
OG0002104	XP_031829826.1, XP_031829828.1	XP_006569759.1, XP_006569756.1
OG0002105	XP_031826472.1	XP_006570054.1
OG0002106	XP_031849424.1, XP_031849421.1	XP_006570363.1
OG0002107	XP_031835744.1, XP_031835743.1	XP_006570480.1, XP_006570481.1, XP_391875.3
OG0002109	XP_031846818.1, XP_031846821.1	XP_016770474.1, XP_006570778.1
OG0002110	XP_031839484.1, XP_031839485.1	XP_006570860.1
OG0002111	XP_031828910.1	XP_006570938.1
OG0002112	XP_031840208.1	XP_006570978.1
OG0002113	XP_031849136.1	XP_006571016.1
OG0002114	XP_031844019.1, XP_031844018.1	XP_006571571.1, XP_026300038.1, XP_026300047.1
OG0002115	XP_031844080.1, XP_031844079.1	XP_006571695.2
OG0002116	XP_031829799.1	XP_006571900.1
OG0002117	XP_031838060.1	XP_006572051.3
OG0002118	XP_031836591.1	XP_006572304.1
OG0002119	XP_031836619.1	XP_006572320.1
OG0002120	XP_031836529.1, XP_031836527.1, XP_031836528.1	XP_006572325.1
OG0002121	XP_031841005.1	XP_016766547.1
OG0002122	XP_031836882.1	XP_016766647.1
OG0002123	XP_031848753.1, XP_031847040.1	XP_016766704.2
OG0002124	XP_031844482.1, XP_031844483.1	XP_016766719.1, XP_394432.3
OG0002126	XP_031849478.1	XP_016766928.1
OG0002127	XP_031846032.1	XP_016767070.2, XP_026295946.1
