GO.ID,Term,Annotated,Significant,Expected,classicFisher
GO:0006726,eye pigment biosynthetic process,38,3,0.62,0.02330
GO:0032874,positive regulation of stress-activated ...,38,3,0.62,0.02330
GO:0070304,positive regulation of stress-activated ...,38,3,0.62,0.02330
GO:0080135,regulation of cellular response to stres...,138,6,2.24,0.02473
GO:0000302,response to reactive oxygen species,39,3,0.63,0.02495
GO:0010212,response to ionizing radiation,39,3,0.63,0.02495
GO:0035010,encapsulation of foreign target,39,3,0.63,0.02495
GO:0019827,stem cell population maintenance,102,5,1.65,0.02495
GO:0098727,maintenance of cell number,102,5,1.65,0.02495
GO:0008258,head involution,40,3,0.65,0.02666
GO:0042441,eye pigment metabolic process,40,3,0.65,0.02666
GO:0043324,pigment metabolic process involved in de...,40,3,0.65,0.02666
GO:0043474,pigment metabolic process involved in pi...,40,3,0.65,0.02666
GO:0034249,negative regulation of cellular amide me...,70,4,1.13,0.02671
GO:0035206,regulation of hemocyte proliferation,41,3,0.66,0.02843
GO:0001934,positive regulation of protein phosphory...,143,6,2.32,0.02880
GO:0043065,positive regulation of apoptotic process,72,4,1.17,0.02924
GO:0045860,positive regulation of protein kinase ac...,72,4,1.17,0.02924
GO:0048546,digestive tract morphogenesis,72,4,1.17,0.02924
GO:0007525,somatic muscle development,107,5,1.73,0.02988
GO:0007455,eye-antennal disc morphogenesis,42,3,0.68,0.03026
GO:0048569,post-embryonic animal organ development,495,14,8.02,0.03044
GO:0007028,cytoplasm organization,74,4,1.2,0.03190
GO:0016319,mushroom body development,74,4,1.2,0.03190
GO:0043043,peptide biosynthetic process,501,14,8.12,0.03322
GO:0002164,larval development,188,7,3.05,0.03336
GO:0007367,segment polarity determination,44,3,0.71,0.03410
GO:0043408,regulation of MAPK cascade,149,6,2.41,0.03423
GO:0048609,multicellular organismal reproductive pr...,1161,27,18.81,0.03461
GO:0042325,regulation of phosphorylation,319,10,5.17,0.03492
GO:0001932,regulation of protein phosphorylation,275,9,4.45,0.03508
GO:0031399,regulation of protein modification proce...,412,12,6.67,0.03590
GO:0071902,positive regulation of protein serine/th...,45,3,0.73,0.03612
GO:1905879,regulation of oogenesis,77,4,1.25,0.03616
GO:0019953,sexual reproduction,1167,27,18.9,0.03658
GO:0007155,cell adhesion,234,8,3.79,0.03673
GO:0044703,multi-organism reproductive process,1168,27,18.92,0.03692
GO:0099172,presynapse organization,46,3,0.75,0.03819
GO:0046626,regulation of insulin receptor signaling...,47,3,0.76,0.04032
GO:0051302,regulation of cell division,47,3,0.76,0.04032
GO:1900076,regulation of cellular response to insul...,47,3,0.76,0.04032
GO:1903320,regulation of protein modification by sm...,47,3,0.76,0.04032
GO:0002009,morphogenesis of an epithelium,613,16,9.93,0.04058
GO:0009799,specification of symmetry,20,2,0.32,0.04096
GO:0009855,determination of bilateral symmetry,20,2,0.32,0.04096
GO:0034587,piRNA metabolic process,20,2,0.32,0.04096
GO:0030718,germ-line stem cell population maintenan...,81,4,1.31,0.04233
GO:0022610,biological adhesion,242,8,3.92,0.04336
GO:0022613,ribonucleoprotein complex biogenesis,333,10,5.39,0.04460
GO:0008039,synaptic target recognition,49,3,0.79,0.04476
GO:0046777,protein autophosphorylation,49,3,0.79,0.04476
GO:0000737,"DNA catabolic process, endonucleolytic",21,2,0.34,0.04480
GO:0007390,germ-band shortening,21,2,0.34,0.04480
GO:0007413,axonal fasciculation,21,2,0.34,0.04480
GO:0031398,positive regulation of protein ubiquitin...,21,2,0.34,0.04480
GO:0005975,carbohydrate metabolic process,288,9,4.67,0.04487
GO:0000578,embryonic axis specification,120,5,1.94,0.04542
GO:2000241,regulation of reproductive process,120,5,1.94,0.04542
GO:0043410,positive regulation of MAPK cascade,83,4,1.34,0.04562
GO:0022603,regulation of anatomical structure morph...,289,9,4.68,0.04569
GO:0006417,regulation of translation,161,6,2.61,0.04698
GO:0071702,organic substance transport,932,22,15.1,0.04730
GO:0031644,regulation of nervous system process,22,2,0.36,0.04877
GO:0106030,neuron projection fasciculation,22,2,0.36,0.04877
GO:0007314,oocyte anterior/posterior axis specifica...,85,4,1.38,0.04906
GO:0048069,eye pigmentation,51,3,0.83,0.04944
GO:0007309,oocyte axis specification,123,5,1.99,0.04957
GO:0009581,detection of external stimulus,86,4,1.39,0.05083
GO:0009582,detection of abiotic stimulus,86,4,1.39,0.05083
GO:0042592,homeostatic process,533,14,8.63,0.05120
GO:0048729,tissue morphogenesis,633,16,10.25,0.05159
GO:0035166,post-embryonic hemopoiesis,52,3,0.84,0.05186
GO:0035167,larval lymph gland hemopoiesis,52,3,0.84,0.05186
GO:0007306,eggshell chorion assembly,87,4,1.41,0.05263
GO:0045229,external encapsulating structure organiz...,87,4,1.41,0.05263
GO:0015931,nucleobase-containing compound transport,166,6,2.69,0.05306
GO:0042327,positive regulation of phosphorylation,166,6,2.69,0.05306
GO:0042127,regulation of cell population proliferat...,253,8,4.1,0.05370
GO:0007308,oocyte construction,126,5,2.04,0.05395
GO:0030703,eggshell formation,126,5,2.04,0.05395
GO:0002065,columnar/cuboidal epithelial cell differ...,345,10,5.59,0.05424
GO:0048513,animal organ development,1266,28,20.51,0.05426
GO:1905269,positive regulation of chromatin organiz...,53,3,0.86,0.05434
GO:0007472,wing disc morphogenesis,299,9,4.84,0.05446
GO:0008358,maternal determination of anterior/poste...,88,4,1.43,0.05447
GO:0034976,response to endoplasmic reticulum stress,88,4,1.43,0.05447
GO:0098813,nuclear chromosome segregation,211,7,3.42,0.05594
GO:0042060,wound healing,89,4,1.44,0.05634
GO:0007431,salivary gland development,128,5,2.07,0.05699
GO:0035272,exocrine system development,128,5,2.07,0.05699
GO:1902532,negative regulation of intracellular sig...,128,5,2.07,0.05699
GO:0014065,phosphatidylinositol 3-kinase signaling,24,2,0.39,0.05707
GO:0032465,regulation of cytokinesis,24,2,0.39,0.05707
GO:0033209,tumor necrosis factor-mediated signaling...,24,2,0.39,0.05707
GO:0034612,response to tumor necrosis factor,24,2,0.39,0.05707
GO:0071356,cellular response to tumor necrosis fact...,24,2,0.39,0.05707
GO:1900425,negative regulation of defense response ...,24,2,0.39,0.05707
GO:1903322,positive regulation of protein modificat...,24,2,0.39,0.05707
GO:2001233,regulation of apoptotic signaling pathwa...,24,2,0.39,0.05707
GO:0006091,generation of precursor metabolites and ...,257,8,4.16,0.05782
GO:0000165,MAPK cascade,170,6,2.75,0.05825
GO:0006468,protein phosphorylation,494,13,8,0.05828
GO:0007316,pole plasm RNA localization,55,3,0.89,0.05947
GO:0006518,peptide metabolic process,597,15,9.67,0.06082
GO:0001700,embryonic development via the syncytial ...,172,6,2.79,0.06096
GO:0007317,regulation of pole plasm oskar mRNA loca...,25,2,0.4,0.06139
GO:0043901,negative regulation of multi-organism pr...,25,2,0.4,0.06139
GO:0060281,regulation of oocyte development,25,2,0.4,0.06139
GO:0110110,positive regulation of animal organ morp...,25,2,0.4,0.06139
GO:2000331,regulation of terminal button organizati...,25,2,0.4,0.06139
GO:0030182,neuron differentiation,805,19,13.04,0.06287
GO:0032989,cellular component morphogenesis,601,15,9.74,0.06366
GO:0023014,signal transduction by protein phosphory...,174,6,2.82,0.06374
GO:0033674,positive regulation of kinase activity,93,4,1.51,0.06417
GO:0007442,hindgut morphogenesis,57,3,0.92,0.06481
GO:0000904,cell morphogenesis involved in different...,503,13,8.15,0.06527
GO:0099174,regulation of presynapse organization,26,2,0.42,0.06581
GO:0043604,amide biosynthetic process,554,14,8.97,0.06616
GO:0019220,regulation of phosphate metabolic proces...,362,10,5.86,0.07012
GO:0051174,regulation of phosphorus metabolic proce...,362,10,5.86,0.07012
GO:0006308,DNA catabolic process,27,2,0.44,0.07034
GO:0010507,negative regulation of autophagy,27,2,0.44,0.07034
GO:0045456,ecdysteroid biosynthetic process,27,2,0.44,0.07034
GO:0061983,meiosis II cell cycle process,27,2,0.44,0.07034
GO:0120178,steroid hormone biosynthetic process,27,2,0.44,0.07034
GO:1904580,regulation of intracellular mRNA localiz...,27,2,0.44,0.07034
GO:0008284,positive regulation of cell population p...,96,4,1.56,0.07040
GO:0140014,mitotic nuclear division,179,6,2.9,0.07101
GO:0000819,sister chromatid segregation,137,5,2.22,0.07185
GO:0048066,developmental pigmentation,97,4,1.57,0.07254
GO:0002064,epithelial cell development,365,10,5.91,0.07320
GO:0061525,hindgut development,60,3,0.97,0.07323
GO:0060627,regulation of vesicle-mediated transport,138,5,2.24,0.07362
GO:0051179,localization,2604,51,42.18,0.07396
GO:0010562,positive regulation of phosphorus metabo...,181,6,2.93,0.07405
GO:0045937,positive regulation of phosphate metabol...,181,6,2.93,0.07405
GO:0001775,cell activation,28,2,0.45,0.07497
GO:0007614,short-term memory,28,2,0.45,0.07497
GO:0046627,negative regulation of insulin receptor ...,28,2,0.45,0.07497
GO:0097193,intrinsic apoptotic signaling pathway,28,2,0.45,0.07497
GO:1900077,negative regulation of cellular response...,28,2,0.45,0.07497
GO:1903706,regulation of hemopoiesis,28,2,0.45,0.07497
GO:0009792,embryo development ending in birth or eg...,183,6,2.96,0.07716
GO:0007297,ovarian follicle cell migration,140,5,2.27,0.07723
GO:0048599,oocyte development,140,5,2.27,0.07723
GO:0045595,regulation of cell differentiation,467,12,7.56,0.07724
GO:0018108,peptidyl-tyrosine phosphorylation,62,3,1,0.07910
GO:1901566,organonitrogen compound biosynthetic pro...,1043,23,16.9,0.07928
GO:0010324,membrane invagination,29,2,0.47,0.07969
GO:0036335,intestinal stem cell homeostasis,29,2,0.47,0.07969
GO:0071396,cellular response to lipid,29,2,0.47,0.07969
GO:0099024,plasma membrane invagination,29,2,0.47,0.07969
GO:0030855,epithelial cell differentiation,422,11,6.84,0.08179
GO:0042067,establishment of ommatidial planar polar...,63,3,1.02,0.08211
GO:0045596,negative regulation of cell differentiat...,143,5,2.32,0.08283
GO:0006323,DNA packaging,232,7,3.76,0.08331
GO:0000209,protein polyubiquitination,102,4,1.65,0.08374
GO:0007498,mesoderm development,102,4,1.65,0.08374
GO:0048015,phosphatidylinositol-mediated signaling,30,2,0.49,0.08450
GO:0018212,peptidyl-tyrosine modification,64,3,1.04,0.08516
GO:0033993,response to lipid,64,3,1.04,0.08516
GO:0017145,stem cell division,103,4,1.67,0.08608
GO:0007626,locomotory behavior,189,6,3.06,0.08694
GO:0030707,ovarian follicle cell development,329,9,5.33,0.08707
GO:0007059,chromosome segregation,235,7,3.81,0.08776
GO:0051321,meiotic cell cycle,282,8,4.57,0.08808
GO:0002066,columnar/cuboidal epithelial cell develo...,330,9,5.35,0.08832
GO:0048017,inositol lipid-mediated signaling,31,2,0.5,0.08940
GO:0070050,neuron cellular homeostasis,31,2,0.5,0.08940
GO:0051347,positive regulation of transferase activ...,105,4,1.7,0.09085
GO:0051301,cell division,381,10,6.17,0.09105
GO:0051050,positive regulation of transport,148,5,2.4,0.09263
GO:0007391,dorsal closure,106,4,1.72,0.09328
GO:0016476,regulation of embryonic cell shape,32,2,0.52,0.09438
GO:0046425,regulation of receptor signaling pathway...,32,2,0.52,0.09438
GO:1904892,regulation of receptor signaling pathway...,32,2,0.52,0.09438
GO:0035214,eye-antennal disc development,67,3,1.09,0.09462
GO:0010817,regulation of hormone levels,107,4,1.73,0.09574
GO:0043473,pigmentation,107,4,1.73,0.09574
GO:0048542,lymph gland development,68,3,1.1,0.09787
GO:2001252,positive regulation of chromosome organi...,68,3,1.1,0.09787
GO:0010821,regulation of mitochondrion organization,33,2,0.53,0.09944
GO:0048814,regulation of dendrite morphogenesis,33,2,0.53,0.09944
GO:0061058,regulation of peptidoglycan recognition ...,33,2,0.53,0.09944
GO:0000902,cell morphogenesis,593,14,9.61,0.10112
GO:0090307,mitotic spindle assembly,34,2,0.55,0.10457
GO:0045475,locomotor rhythm,71,3,1.15,0.10787
GO:0006325,chromatin organization,548,13,8.88,0.10847
GO:0035220,wing disc development,395,10,6.4,0.10865
GO:0007530,sex determination,35,2,0.57,0.10978
GO:1903046,meiotic cell cycle process,249,7,4.03,0.11025
GO:0048565,digestive tract development,113,4,1.83,0.11114
GO:0055123,digestive system development,113,4,1.83,0.11114
GO:0042180,cellular ketone metabolic process,72,3,1.17,0.11129
GO:0050793,regulation of developmental process,817,18,13.23,0.11307
GO:0061982,meiosis I cell cycle process,114,4,1.85,0.11381
GO:0022604,regulation of cell morphogenesis,158,5,2.56,0.11391
GO:1903362,regulation of cellular protein catabolic...,73,3,1.18,0.11475
GO:0035159,"regulation of tube length, open tracheal...",36,2,0.58,0.11505
GO:0045910,negative regulation of DNA recombination,36,2,0.58,0.11505
GO:0043085,positive regulation of catalytic activit...,301,8,4.88,0.11626
GO:1901701,cellular response to oxygen-containing c...,206,6,3.34,0.11812
GO:0042446,hormone biosynthetic process,37,2,0.6,0.12038
GO:0044093,positive regulation of molecular functio...,354,9,5.73,0.12158
GO:0007351,tripartite regional subdivision,117,4,1.9,0.12199
GO:0008595,"anterior/posterior axis specification, e...",117,4,1.9,0.12199
GO:2000027,regulation of animal organ morphogenesis,117,4,1.9,0.12199
GO:0048667,cell morphogenesis involved in neuron di...,456,11,7.39,0.12216
GO:0032879,regulation of localization,560,13,9.07,0.12234
GO:0007420,brain development,118,4,1.91,0.12477
GO:0008345,larval locomotory behavior,38,2,0.62,0.12577
GO:0006935,chemotaxis,307,8,4.97,0.12606
GO:0044089,positive regulation of cellular componen...,164,5,2.66,0.12771
GO:0007560,imaginal disc morphogenesis,409,10,6.63,0.12807
GO:0048563,post-embryonic animal organ morphogenesi...,409,10,6.63,0.12807
GO:0008286,insulin receptor signaling pathway,77,3,1.25,0.12898
GO:0055088,lipid homeostasis,77,3,1.25,0.12898
GO:0048812,neuron projection morphogenesis,462,11,7.48,0.13028
GO:0051053,negative regulation of DNA metabolic pro...,39,2,0.63,0.13122
GO:0120192,tight junction assembly,39,2,0.63,0.13122
GO:0120193,tight junction organization,39,2,0.63,0.13122
GO:0120039,plasma membrane bounded cell projection ...,463,11,7.5,0.13166
GO:0040017,positive regulation of locomotion,78,3,1.26,0.13263
GO:0000070,mitotic sister chromatid segregation,121,4,1.96,0.13326
GO:0019725,cellular homeostasis,262,7,4.24,0.13362
GO:0048858,cell projection morphogenesis,465,11,7.53,0.13445
GO:0006810,transport,2023,39,32.77,0.13457
GO:0006694,steroid biosynthetic process,40,2,0.65,0.13673
GO:0042078,germ-line stem cell division,40,2,0.65,0.13673
GO:1903429,regulation of cell maturation,40,2,0.65,0.13673
GO:0010638,positive regulation of organelle organiz...,168,5,2.72,0.13731
GO:0016331,morphogenesis of embryonic epithelium,123,4,1.99,0.13906
GO:0051272,positive regulation of cellular componen...,80,3,1.3,0.14005
GO:0007304,chorion-containing eggshell formation,124,4,2.01,0.14199
GO:0042330,taxis,367,9,5.94,0.14209
GO:0000018,regulation of DNA recombination,41,2,0.66,0.14228
GO:0009612,response to mechanical stimulus,41,2,0.66,0.14228
GO:2000647,negative regulation of stem cell prolife...,41,2,0.66,0.14228
GO:0035556,intracellular signal transduction,684,15,11.08,0.14349
GO:0030261,chromosome condensation,81,3,1.31,0.14380
GO:0035239,tube morphogenesis,526,12,8.52,0.14643
GO:0032990,cell part morphogenesis,474,11,7.68,0.14739
GO:0042181,ketone biosynthetic process,42,2,0.68,0.14788
GO:0045448,"mitotic cell cycle, embryonic",42,2,0.68,0.14788
GO:0045455,ecdysteroid metabolic process,42,2,0.68,0.14788
GO:0043549,regulation of kinase activity,173,5,2.8,0.14976
GO:0048699,generation of neurons,908,19,14.71,0.14987
GO:0007298,border follicle cell migration,127,4,2.06,0.15095
GO:0042445,hormone metabolic process,83,3,1.34,0.15142
GO:0071900,regulation of protein serine/threonine k...,83,3,1.34,0.15142
GO:1901214,regulation of neuron death,43,2,0.7,0.15353
GO:0009948,anterior/posterior axis specification,128,4,2.07,0.15398
GO:0007444,imaginal disc development,585,13,9.48,0.15437
GO:0060562,epithelial tube morphogenesis,480,11,7.78,0.15637
GO:0010631,epithelial cell migration,176,5,2.85,0.15745
GO:2000026,regulation of multicellular organismal d...,642,14,10.4,0.15863
GO:0010720,positive regulation of cell development,177,5,2.87,0.16004
GO:0090132,epithelium migration,177,5,2.87,0.16004
GO:0060284,regulation of cell development,378,9,6.12,0.16074
GO:0008298,intracellular mRNA localization,86,3,1.39,0.16308
GO:0065008,regulation of biological quality,1428,28,23.13,0.16380
GO:0010468,regulation of gene expression,1716,33,27.8,0.16481
GO:0008355,olfactory learning,45,2,0.73,0.16494
GO:0051259,protein complex oligomerization,45,2,0.73,0.16494
GO:0070997,neuron death,45,2,0.73,0.16494
GO:0006996,organelle organization,2125,40,34.42,0.16714
GO:0043603,cellular amide metabolic process,706,15,11.44,0.17130
GO:0006338,chromatin remodeling,134,4,2.17,0.17263
GO:1902275,regulation of chromatin organization,134,4,2.17,0.17263
GO:0034329,cell junction assembly,233,6,3.77,0.17736
GO:0071103,DNA conformation change,284,7,4.6,0.17821
GO:0031175,neuron projection development,494,11,8,0.17837
GO:0051234,establishment of localization,2081,39,33.71,0.17874
GO:0008285,negative regulation of cell population p...,90,3,1.46,0.17902
GO:0051239,regulation of multicellular organismal p...,823,17,13.33,0.17993
GO:0090130,tissue migration,185,5,3,0.18145
GO:0009887,animal organ morphogenesis,769,16,12.46,0.18178
GO:0007156,homophilic cell adhesion via plasma memb...,48,2,0.78,0.18232
GO:0010035,response to inorganic substance,91,3,1.47,0.18307
GO:0007411,axon guidance,287,7,4.65,0.18473
GO:0045892,"negative regulation of transcription, DN...",498,11,8.07,0.18492
GO:0050773,regulation of dendrite development,49,2,0.79,0.18817
GO:0045597,positive regulation of cell differentiat...,188,5,3.05,0.18974
GO:0010721,negative regulation of cell development,93,3,1.51,0.19125
GO:0051093,negative regulation of developmental pro...,239,6,3.87,0.19194
GO:0060322,head development,140,4,2.27,0.19202
GO:0031330,negative regulation of cellular cataboli...,50,2,0.81,0.19405
GO:0035151,"regulation of tube size, open tracheal s...",50,2,0.81,0.19405
GO:0040014,regulation of multicellular organism gro...,50,2,0.81,0.19405
GO:0045451,pole plasm oskar mRNA localization,50,2,0.81,0.19405
GO:0009314,response to radiation,190,5,3.08,0.19534
GO:0051338,regulation of transferase activity,191,5,3.09,0.19816
GO:1902679,negative regulation of RNA biosynthetic ...,506,11,8.2,0.19835
GO:1903507,negative regulation of nucleic acid-temp...,506,11,8.2,0.19835
GO:0022008,neurogenesis,950,19,15.39,0.19885
GO:0042176,regulation of protein catabolic process,95,3,1.54,0.19951
GO:0048598,embryonic morphogenesis,243,6,3.94,0.20190
GO:0097485,neuron projection guidance,295,7,4.78,0.20262
GO:0032869,cellular response to insulin stimulus,96,3,1.56,0.20368
GO:0045859,regulation of protein kinase activity,144,4,2.33,0.20532
GO:0009895,negative regulation of catabolic process,52,2,0.84,0.20588
GO:0010769,regulation of cell morphogenesis involve...,97,3,1.57,0.20786
GO:0050804,modulation of chemical synaptic transmis...,145,4,2.35,0.20868
GO:0099177,regulation of trans-synaptic signaling,145,4,2.35,0.20868
GO:0071375,cellular response to peptide hormone sti...,98,3,1.59,0.21207
GO:1901653,cellular response to peptide,98,3,1.59,0.21207
GO:0044087,regulation of cellular component biogene...,352,8,5.7,0.21210
GO:0007424,open tracheal system development,248,6,4.02,0.21462
GO:0051276,chromosome organization,793,16,12.85,0.21471
GO:0000280,nuclear division,354,8,5.73,0.21638
GO:0019094,pole plasm mRNA localization,54,2,0.87,0.21778
GO:0030537,larval behavior,54,2,0.87,0.21778
GO:0035150,regulation of tube size,54,2,0.87,0.21778
GO:0035264,multicellular organism growth,54,2,0.87,0.21778
GO:0001667,ameboidal-type cell migration,199,5,3.22,0.22123
GO:0040011,locomotion,686,14,11.11,0.22225
GO:0032868,response to insulin,101,3,1.64,0.22479
GO:0045132,meiotic chromosome segregation,102,3,1.65,0.22906
GO:0010927,cellular component assembly involved in ...,151,4,2.45,0.22920
GO:0008306,associative learning,56,2,0.91,0.22974
GO:0000278,mitotic cell cycle,525,11,8.5,0.23189
GO:0051253,negative regulation of RNA metabolic pro...,525,11,8.5,0.23189
GO:0008356,asymmetric cell division,103,3,1.67,0.23335
GO:0043434,response to peptide hormone,103,3,1.67,0.23335
GO:1901652,response to peptide,103,3,1.67,0.23335
GO:0030155,regulation of cell adhesion,57,2,0.92,0.23574
GO:0060541,respiratory system development,257,6,4.16,0.23819
GO:0016043,cellular component organization,3105,55,50.3,0.24118
GO:0007446,imaginal disc growth,58,2,0.94,0.24175
GO:0030335,positive regulation of cell migration,58,2,0.94,0.24175
GO:1903364,positive regulation of cellular protein ...,58,2,0.94,0.24175
GO:0016049,cell growth,156,4,2.53,0.24666
GO:0001745,compound eye morphogenesis,314,7,5.09,0.24755
GO:0008104,protein localization,875,17,14.17,0.25152
GO:0016071,mRNA metabolic process,425,9,6.88,0.25209
GO:0031327,negative regulation of cellular biosynth...,593,12,9.61,0.25412
GO:0016567,protein ubiquitination,317,7,5.14,0.25492
GO:0045934,negative regulation of nucleobase-contai...,538,11,8.71,0.25604
GO:0009891,positive regulation of biosynthetic proc...,708,14,11.47,0.25769
GO:0031328,positive regulation of cellular biosynth...,708,14,11.47,0.25769
GO:0048285,organelle fission,373,8,6.04,0.25854
GO:1902850,microtubule cytoskeleton organization in...,109,3,1.77,0.25937
GO:0009890,negative regulation of biosynthetic proc...,596,12,9.65,0.25953
GO:0006611,protein export from nucleus,61,2,0.99,0.25980
GO:0007043,cell-cell junction assembly,61,2,0.99,0.25980
GO:0008202,steroid metabolic process,61,2,0.99,0.25980
GO:0017148,negative regulation of translation,61,2,0.99,0.25980
GO:0006464,cellular protein modification process,1580,29,25.59,0.26183
GO:0036211,protein modification process,1580,29,25.59,0.26183
GO:0034330,cell junction organization,376,8,6.09,0.26543
GO:0001894,tissue homeostasis,62,2,1,0.26582
GO:0007602,phototransduction,62,2,1,0.26582
GO:0034754,cellular hormone metabolic process,62,2,1,0.26582
GO:2000147,positive regulation of cell motility,62,2,1,0.26582
GO:0050807,regulation of synapse organization,163,4,2.64,0.27158
GO:0060811,intracellular mRNA localization involved...,63,2,1.02,0.27185
GO:0010243,response to organonitrogen compound,217,5,3.52,0.27576
GO:0001736,establishment of planar polarity,113,3,1.83,0.27693
GO:0007164,establishment of tissue polarity,113,3,1.83,0.27693
GO:0048592,eye morphogenesis,326,7,5.28,0.27740
GO:0090596,sensory organ morphogenesis,326,7,5.28,0.27740
GO:0006405,RNA export from nucleus,64,2,1.04,0.27787
GO:0043902,positive regulation of multi-organism pr...,64,2,1.04,0.27787
GO:2000243,positive regulation of reproductive proc...,64,2,1.04,0.27787
GO:0031497,chromatin assembly,165,4,2.67,0.27878
GO:0007288,sperm axoneme assembly,20,1,0.32,0.27884
GO:0035019,somatic stem cell population maintenance,20,1,0.32,0.27884
GO:0042493,response to drug,20,1,0.32,0.27884
GO:0043491,protein kinase B signaling,20,1,0.32,0.27884
GO:0048678,response to axon injury,20,1,0.32,0.27884
GO:0050714,positive regulation of protein secretion,20,1,0.32,0.27884
GO:0051101,regulation of DNA binding,20,1,0.32,0.27884
GO:0048749,compound eye development,382,8,6.19,0.27936
GO:0035330,regulation of hippo signaling,65,2,1.05,0.28389
GO:0007163,establishment or maintenance of cell pol...,220,5,3.56,0.28513
GO:0048512,circadian behavior,115,3,1.86,0.28575
GO:0051674,localization of cell,385,8,6.24,0.28640
GO:0051130,positive regulation of cellular componen...,330,7,5.35,0.28756
GO:1901698,response to nitrogen compound,221,5,3.58,0.28826
GO:0044057,regulation of system process,66,2,1.07,0.28990
GO:0050770,regulation of axonogenesis,66,2,1.07,0.28990
GO:0060810,intracellular mRNA localization involved...,66,2,1.07,0.28990
GO:0051049,regulation of transport,331,7,5.36,0.29011
GO:0050684,regulation of mRNA processing,116,3,1.88,0.29017
GO:0000184,nuclear-transcribed mRNA catabolic proce...,21,1,0.34,0.29054
GO:0006900,vesicle budding from membrane,21,1,0.34,0.29054
GO:0010977,negative regulation of neuron projection...,21,1,0.34,0.29054
GO:0030308,negative regulation of cell growth,21,1,0.34,0.29054
GO:0034502,protein localization to chromosome,21,1,0.34,0.29054
GO:0035112,genitalia morphogenesis,21,1,0.34,0.29054
GO:0043488,regulation of mRNA stability,21,1,0.34,0.29054
GO:0046883,regulation of hormone secretion,21,1,0.34,0.29054
GO:0061060,negative regulation of peptidoglycan rec...,21,1,0.34,0.29054
GO:0098728,germline stem cell asymmetric division,21,1,0.34,0.29054
GO:0051241,negative regulation of multicellular org...,223,5,3.61,0.29455
GO:0007622,rhythmic behavior,117,3,1.9,0.29460
GO:0009583,detection of light stimulus,67,2,1.09,0.29591
GO:0045165,cell fate commitment,335,7,5.43,0.30038
GO:0007612,learning,68,2,1.1,0.30191
GO:0008360,regulation of cell shape,68,2,1.1,0.30191
GO:0006623,protein targeting to vacuole,22,1,0.36,0.30205
GO:0007483,genital disc morphogenesis,22,1,0.36,0.30205
GO:0034331,cell junction maintenance,22,1,0.36,0.30205
GO:0043523,regulation of neuron apoptotic process,22,1,0.36,0.30205
GO:0051445,regulation of meiotic cell cycle,22,1,0.36,0.30205
GO:0085029,extracellular matrix assembly,22,1,0.36,0.30205
GO:1903036,positive regulation of response to wound...,22,1,0.36,0.30205
GO:0035295,tube development,736,14,11.92,0.30555
GO:0006333,chromatin assembly or disassembly,173,4,2.8,0.30787
GO:0032880,regulation of protein localization,120,3,1.94,0.30790
GO:1904396,regulation of neuromuscular junction dev...,120,3,1.94,0.30790
GO:0051223,regulation of protein transport,69,2,1.12,0.30791
GO:0071478,cellular response to radiation,69,2,1.12,0.30791
GO:1903050,regulation of proteolysis involved in ce...,69,2,1.12,0.30791
GO:0060249,anatomical structure homeostasis,174,4,2.82,0.31153
GO:0010975,regulation of neuron projection developm...,121,3,1.96,0.31234
GO:0097305,response to alcohol,121,3,1.96,0.31234
GO:0002793,positive regulation of peptide secretion,23,1,0.37,0.31338
GO:0006721,terpenoid metabolic process,23,1,0.37,0.31338
GO:0009826,unidimensional cell growth,23,1,0.37,0.31338
GO:0030539,male genitalia development,23,1,0.37,0.31338
GO:0035002,"liquid clearance, open tracheal system",23,1,0.37,0.31338
GO:0043277,apoptotic cell clearance,23,1,0.37,0.31338
GO:0045785,positive regulation of cell adhesion,23,1,0.37,0.31338
GO:0046879,hormone secretion,23,1,0.37,0.31338
GO:0071711,basement membrane organization,23,1,0.37,0.31338
GO:2000113,negative regulation of cellular macromol...,569,11,9.22,0.31680
GO:0048871,multicellular organismal homeostasis,71,2,1.15,0.31986
GO:0040012,regulation of locomotion,123,3,1.99,0.32122
GO:0007416,synapse assembly,177,4,2.87,0.32253
GO:0000132,establishment of mitotic spindle orienta...,24,1,0.39,0.32453
GO:0002052,positive regulation of neuroblast prolif...,24,1,0.39,0.32453
GO:0007289,spermatid nucleus differentiation,24,1,0.39,0.32453
GO:0009914,hormone transport,24,1,0.39,0.32453
GO:0032007,negative regulation of TOR signaling,24,1,0.39,0.32453
GO:0043487,regulation of RNA stability,24,1,0.39,0.32453
GO:0048489,synaptic vesicle transport,24,1,0.39,0.32453
GO:0050919,negative chemotaxis,24,1,0.39,0.32453
GO:0051402,neuron apoptotic process,24,1,0.39,0.32453
GO:0070983,dendrite guidance,24,1,0.39,0.32453
GO:1903707,negative regulation of hemopoiesis,24,1,0.39,0.32453
GO:0001738,morphogenesis of a polarized epithelium,124,3,2.01,0.32566
GO:0051052,regulation of DNA metabolic process,72,2,1.17,0.32582
GO:0070201,regulation of establishment of protein l...,72,2,1.17,0.32582
GO:0051270,regulation of cellular component movemen...,125,3,2.02,0.33011
GO:0035329,hippo signaling,73,2,1.18,0.33177
GO:0072091,regulation of stem cell proliferation,73,2,1.18,0.33177
GO:0051606,detection of stimulus,291,6,4.71,0.33288
GO:0010558,negative regulation of macromolecule bio...,577,11,9.35,0.33304
