Orthogroup	Eufriesea_mexicana	Aedes_aegypti
OG0001288	XP_017756651.1	XP_021706525.1, XP_001659242.1
OG0001289	XP_017754288.1	XP_021694157.1
OG0001290	XP_017752241.1	XP_001660794.2, XP_021695080.1
OG0001291	XP_017752866.1	XP_001655206.2, XP_021712045.1
OG0001293	XP_017756478.1, XP_017756477.1	XP_001658202.2
OG0001294	XP_017761845.1	XP_001662562.1, XP_021712306.1
OG0001295	XP_017753974.1	XP_001655925.2, XP_021699425.1
OG0001298	XP_017758815.1	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1
OG0001300	XP_017761048.1	XP_001650130.2
OG0001301	XP_017753627.1	XP_021696109.1
OG0001302	XP_017765983.1	XP_021695397.1
OG0001302	XP_017765970.1	XP_021704073.1
OG0001303	XP_017761306.1, XP_017761305.1	XP_021709459.1, XP_021709460.1
OG0001304	XP_017765103.1, XP_017765104.1	XP_001649076.2
OG0001305	XP_017763749.1	XP_021712565.1, XP_021696722.1
OG0001305	XP_017763740.1	XP_021696724.1
OG0001306	XP_017767510.1, XP_017767507.1	XP_021705682.1
OG0001307	XP_017765806.1, XP_017755947.1	XP_021695213.1
OG0001308	XP_017762509.1	XP_021706251.1
OG0001310	XP_017755662.1	XP_001647946.2
OG0001312	XP_017759522.1, XP_017759523.1	XP_001654151.1
OG0001314	XP_017759938.1, XP_017759948.1	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1
OG0001315	XP_017757079.1	XP_001663877.1, XP_021699529.1
OG0001316	XP_017761141.1	XP_021698705.1
OG0001317	XP_017763687.1	XP_021699168.1
OG0001318	XP_017755036.1	XP_021702414.1
OG0001319	XP_017767594.1, XP_017767595.1	XP_021704855.1
OG0001320	XP_017763319.1	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1
OG0001321	XP_017752532.1, XP_017752531.1	XP_021710244.1
OG0001322	XP_017767745.1, XP_017767744.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001328	XP_017765380.1, XP_017765379.1, XP_017765381.1	XP_021709467.1
OG0001329	XP_017765141.1	XP_001657589.2
OG0001330	XP_017760084.1	XP_001652750.1
OG0001331	XP_017761638.1	XP_001654299.1
OG0001332	XP_017759266.1	XP_001652269.1
OG0001333	XP_017755779.1	XP_001651256.1
OG0001334	XP_017755525.1	XP_001650222.1, XP_001654443.1
OG0001335	XP_017758150.1	XP_001649624.2, XP_001649625.2
OG0001336	XP_017766979.1	XP_021703688.1, XP_021703684.1
OG0001337	XP_017763157.1, XP_017763167.1	XP_021707110.1
OG0001338	XP_017760926.1	XP_001660476.2
OG0001339	XP_017752428.1, XP_017752429.1, XP_017752430.1	XP_001654036.2
OG0001340	XP_017765534.1, XP_017765533.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	XP_017758419.1	XP_021695378.1
OG0001342	XP_017756280.1, XP_017754627.1	XP_021707182.1
OG0001343	XP_017759887.1, XP_017759393.1	XP_001662179.2
OG0001344	XP_017756908.1	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1
OG0001345	XP_017757449.1	XP_001661090.1
OG0001346	XP_017756311.1	XP_001648900.1, XP_021707707.1
OG0001347	XP_017756778.1	XP_001659204.1
OG0001348	XP_017761641.1	XP_001661832.1
OG0001349	XP_017753826.1, XP_017753827.1	XP_001654544.1
OG0001350	XP_017757672.1	XP_001655317.2
OG0001351	XP_017761846.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_017756186.1, XP_017756187.1	XP_021705226.1
OG0001353	XP_017759250.1	XP_001656906.2
OG0001354	XP_017763889.1	XP_001663103.2
OG0001355	XP_017757783.1	XP_021710337.1
OG0001356	XP_017762245.1, XP_017762244.1	XP_021696915.1
OG0001357	XP_017753228.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_017764402.1	XP_001655316.1
OG0001361	XP_017762194.1	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	XP_017753681.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	XP_017752314.1, XP_017763590.1	XP_001659788.1
OG0001364	XP_017757141.1, XP_017757142.1	XP_021704232.1
OG0001365	XP_017760678.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001366	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1	XP_001659892.2
OG0001367	XP_017759984.1	XP_001648364.2, XP_001657924.1, XP_001654932.2, XP_001654934.2, XP_001660482.1, XP_001660484.1, XP_001660483.1, XP_021701594.1, XP_001657925.2
OG0001368	XP_017759611.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_017763758.1	XP_001661015.2
OG0001370	XP_017763355.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_017766099.1, XP_017766100.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	XP_017755643.1, XP_017755581.1	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	XP_017764445.1	XP_021694453.1
OG0001374	XP_017760626.1	XP_001657485.1
OG0001375	XP_017762914.1, XP_017762913.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_017757954.1	XP_021704527.1
OG0001377	XP_017754364.1	XP_001664237.1
OG0001378	XP_017759669.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_017764081.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_017762347.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_017763595.1	XP_001648807.1
OG0001382	XP_017753653.1, XP_017753654.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_017759982.1	XP_001662373.2
OG0001384	XP_017758831.1	XP_001660023.2
OG0001385	XP_017758729.1	XP_021698595.1
OG0001386	XP_017760536.1	XP_021698247.1
OG0001387	XP_017762035.1, XP_017762037.1	XP_001656936.1
OG0001388	XP_017760732.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_017761960.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_017766560.1	XP_021700843.1
OG0001391	XP_017762560.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_017764296.1, XP_017764293.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	XP_017762706.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_017763507.1	XP_001650424.1
OG0001395	XP_017766691.1, XP_017766687.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_017766073.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_017759609.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_017757284.1, XP_017757283.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_017754171.1, XP_017754172.1	XP_001651707.1
OG0001400	XP_017760497.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_017753798.1	XP_001660577.1
OG0001402	XP_017767447.1	XP_001664062.1
OG0001403	XP_017765652.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_017760903.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_017766949.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_017761098.1	XP_021712670.1
OG0001407	XP_017760890.1	XP_021704231.1, XP_021704230.1
OG0001408	XP_017759170.1	XP_021713401.1
OG0001409	XP_017766302.1, XP_017766308.1, XP_017766305.1	XP_021711099.1
OG0001410	XP_017765486.1, XP_017755897.1	XP_021708563.1
OG0001413	XP_017763469.1	XP_021694446.1
OG0001414	XP_017763368.1, XP_017763367.1, XP_017763366.1	XP_021702146.1
OG0001415	XP_017753459.1	XP_021699093.1
OG0001416	XP_017756217.1, XP_017760198.1	XP_021712252.1, XP_021700673.1
OG0001417	XP_017758796.1	XP_021695666.1
OG0001418	XP_017764513.1	XP_021702027.1
OG0001419	XP_017763375.1	XP_021703807.1
OG0001420	XP_017762536.1	XP_001655783.1, XP_001652599.2
OG0001421	XP_017758330.1, XP_017758328.1	XP_001657115.1
OG0001422	XP_017754408.1, XP_017754409.1	XP_001650075.2
OG0001423	XP_017766027.1	XP_001659271.2
OG0001424	XP_017761320.1	XP_001648513.1
OG0001425	XP_017754057.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1	XP_021701495.1
OG0001427	XP_017761887.1	XP_001660203.1
OG0001428	XP_017755325.1, XP_017755328.1, XP_017755327.1	XP_001647790.2
OG0001429	XP_017755795.1	XP_001650121.1
OG0001433	XP_017758980.1, XP_017758981.1	XP_001662331.2
OG0001434	XP_017754540.1	XP_001663415.1
OG0001436	XP_017759912.1	XP_021697897.1
OG0001437	XP_017761418.1	XP_021700178.1
OG0001438	XP_017759626.1	XP_021708714.1, XP_021704285.1
OG0001439	XP_017763370.1	XP_021705419.1, XP_021711772.1
OG0001440	XP_017752342.1	XP_021706240.1
OG0001441	XP_017764328.1	XP_021706835.1, XP_021706838.1, XP_021712543.1, XP_021706836.1
OG0001442	XP_017760859.1	XP_021706881.1
OG0001443	XP_017756347.1	XP_021706948.1, XP_021711425.1
OG0001444	XP_017763241.1, XP_017755299.1	XP_021708725.1
OG0001445	XP_017767740.1	XP_021712815.1
OG0001446	XP_017767505.1, XP_017767504.1	XP_021713062.1, XP_021713058.1
OG0001453	XP_017753197.1, XP_017753196.1	XP_001652827.1, XP_001652828.1, XP_001652829.1
OG0001455	XP_017763637.1	XP_001659135.1, XP_001649843.1
OG0001456	XP_017759747.1	XP_021706989.1
OG0001457	XP_017759608.1	XP_001656531.1
OG0001458	XP_017760601.1	XP_021709031.1
OG0001459	XP_017753350.1	XP_001649804.1, XP_001658793.2
OG0001460	XP_017755991.1	XP_001663584.2
OG0001461	XP_017757457.1	XP_001649395.2
OG0001462	XP_017759124.1, XP_017759121.1	XP_021710250.1, XP_021710252.1
OG0001463	XP_017754385.1	XP_021706165.1, XP_021706164.1
OG0001464	XP_017760160.1	XP_001656398.1, XP_001664152.2, XP_001651087.1, XP_001651086.1
OG0001465	XP_017759749.1	XP_011493120.1, XP_021707681.1, XP_021707682.1, XP_021707683.1
OG0001466	XP_017756736.1, XP_017756880.1	XP_001652327.1
OG0001467	XP_017765138.1	XP_001649724.2
OG0001468	XP_017764233.1, XP_017764238.1	XP_001648269.1
OG0001469	XP_017761902.1	XP_001655637.2, XP_021694126.1, XP_021712662.1, XP_021712661.1, XP_021694127.1, XP_021712660.1
OG0001470	XP_017759624.1	XP_001650785.1, XP_001650784.1, XP_001652204.1
OG0001471	XP_017755440.1, XP_017755439.1	XP_001657926.1
OG0001472	XP_017766187.1	XP_001656628.1
OG0001473	XP_017756349.1	XP_021699212.1
OG0001474	XP_017767410.1	XP_001662447.1
OG0001475	XP_017754101.1	XP_001664045.2
OG0001476	XP_017752906.1	XP_021705887.1
OG0001477	XP_017766251.1, XP_017766252.1	XP_001654194.2
OG0001478	XP_017753140.1	XP_021711922.1, XP_021699182.1
OG0001479	XP_017762331.1	XP_001655863.1
OG0001480	XP_017761101.1	XP_021708351.1
OG0001481	XP_017757923.1, XP_017757922.1, XP_017757921.1	XP_021711458.1, XP_021711459.1, XP_021711454.1, XP_021711457.1, XP_021711456.1, XP_021711455.1
OG0001482	XP_017764469.1	XP_021694591.1, XP_021694590.1, XP_021694592.1, XP_021694593.1, XP_021694594.1, XP_021694595.1, XP_001661357.2
OG0001483	XP_017764678.1	XP_021713037.1, XP_021710729.1, XP_021711353.1, XP_021713109.1, XP_021712820.1, XP_021713247.1, XP_021713178.1, XP_021711820.1, XP_021712986.1, XP_021710117.1, XP_021712319.1
OG0001484	XP_017760649.1	XP_021713154.1, XP_021707140.1, XP_021707142.1, XP_021707144.1, XP_021707145.1, XP_021707146.1, XP_021707138.1, XP_021707137.1, XP_021707141.1, XP_021707139.1, XP_021707143.1
OG0001485	XP_017752870.1	XP_021700466.1
OG0001486	XP_017754790.1	XP_001648831.2, XP_021701667.1, XP_001659833.2
OG0001487	XP_017766230.1	XP_021697348.1, XP_021697349.1, XP_021697346.1, XP_021697347.1, XP_021697353.1, XP_021697354.1, XP_021697351.1, XP_021697352.1, XP_021697355.1
OG0001488	XP_017758917.1, XP_017758921.1	XP_021710667.1
OG0001489	XP_017762007.1, XP_017762006.1	XP_021696755.1, XP_021696757.1, XP_021696756.1, XP_021696759.1, XP_021696758.1, XP_021696752.1, XP_021696753.1, XP_021696750.1, XP_021696751.1, XP_021696749.1, XP_021696754.1
OG0001490	XP_017767672.1	XP_021701945.1, XP_021701935.1
OG0001492	XP_017764410.1	XP_001662155.1, XP_001654105.1, XP_021713033.1
OG0001493	XP_017767529.1, XP_017767531.1	XP_021698974.1
OG0001494	XP_017759665.1, XP_017761795.1	XP_021697267.1, XP_021697268.1, XP_021697269.1
OG0001495	XP_017767625.1	XP_021707805.1
OG0001496	XP_017764506.1	XP_021695727.1, XP_011493651.1, XP_001655836.1
OG0001497	XP_017763430.1	XP_021707615.1
OG0001498	XP_017760266.1	XP_021697831.1
OG0001499	XP_017753427.1, XP_017764078.1	XP_001651889.2
OG0001500	XP_017755043.1	XP_021705614.1, XP_021705612.1, XP_021705613.1, XP_021705610.1, XP_021705611.1, XP_021705609.1
OG0001501	XP_017762834.1, XP_017762836.1	XP_021712753.1, XP_021699608.1
OG0001502	XP_017762806.1	XP_021699619.1
OG0001503	XP_017760737.1, XP_017760736.1	XP_021702842.1, XP_021702843.1, XP_021702844.1
OG0001504	XP_017755365.1	XP_001658122.1, XP_021698045.1, XP_021698047.1, XP_021698046.1, XP_021698048.1
OG0001505	XP_017755310.1	XP_001660600.2, XP_021704345.1
OG0001506	XP_017759286.1	XP_021702222.1, XP_021702224.1, XP_021702223.1, XP_001663031.1
OG0001507	XP_017758151.1	XP_021713312.1
OG0001508	XP_017759047.1	XP_001658818.2
OG0001509	XP_017759499.1	XP_021708146.1, XP_021708145.1, XP_021708148.1, XP_021708147.1, XP_021708149.1, XP_021708142.1, XP_021708144.1, XP_021708143.1
OG0001510	XP_017761959.1, XP_017762325.1	XP_021707687.1
OG0001511	XP_017762814.1	XP_001654598.1, XP_021697822.1
OG0001512	XP_017755103.1, XP_017755081.1	XP_021705417.1, XP_021705418.1, XP_021705415.1, XP_021705416.1, XP_021705414.1
OG0001513	XP_017755577.1	XP_001654919.1, XP_021709538.1, XP_021709542.1, XP_021709539.1, XP_021709540.1, XP_021709543.1, XP_021709541.1, XP_001654920.1, XP_021709544.1
OG0001514	XP_017764218.1, XP_017764217.1	XP_001655385.1, XP_021705456.1
OG0001515	XP_017753282.1	XP_021703402.1, XP_021703403.1, XP_021703404.1, XP_021703405.1
OG0001516	XP_017763820.1	XP_001657534.2
OG0001517	XP_017762483.1	XP_021712247.1
OG0001518	XP_017756219.1	XP_021702663.1
OG0001519	XP_017754789.1	XP_021695723.1, XP_021695724.1
OG0001520	XP_017756288.1	XP_001659529.1
OG0001521	XP_017752636.1	XP_001663347.2
OG0001522	XP_017765001.1	XP_021710700.1
OG0001523	XP_017752703.1	XP_021693518.1
OG0001524	XP_017762681.1	XP_021693893.1, XP_021693937.1
OG0001525	XP_017753796.1	XP_021706611.1, XP_021706609.1, XP_021706610.1
OG0001526	XP_017756923.1	XP_021699965.1, XP_021699966.1, XP_021699961.1
OG0001527	XP_017756866.1, XP_017756865.1	XP_021705511.1, XP_001659060.1
OG0001529	XP_017757336.1	XP_001653365.2, XP_001653366.2
OG0001530	XP_017754040.1, XP_017754041.1, XP_017754042.1	XP_001659200.1
OG0001531	XP_017757528.1	XP_001654172.1, XP_021711999.1
OG0001532	XP_017754297.1	XP_021705174.1
OG0001533	XP_017757893.1	XP_021697618.1
OG0001534	XP_017762184.1	XP_021707804.1
OG0001535	XP_017765727.1	XP_001654088.2
OG0001536	XP_017752631.1	XP_021698558.1, XP_021698552.1
OG0001537	XP_017756128.1	XP_021710074.1, XP_001655561.2
OG0001539	XP_017764641.1	XP_001655433.2
OG0001540	XP_017764661.1	XP_021711753.1, XP_021698365.1, XP_021698362.1, XP_021698363.1, XP_021698361.1, XP_021698364.1
OG0001541	XP_017761035.1	XP_021698640.1, XP_021698641.1, XP_021698643.1, XP_021698642.1, XP_021698644.1
OG0001542	XP_017755216.1	XP_021703912.1
OG0001543	XP_017760035.1	XP_021695126.1, XP_021695125.1, XP_021695123.1, XP_001656251.2
OG0001545	XP_017752308.1	XP_021703178.1
OG0001546	XP_017767699.1	XP_021694031.1
OG0001547	XP_017756116.1	XP_021696774.1, XP_021696775.1, XP_021696776.1, XP_021696777.1, XP_021696778.1
OG0001548	XP_017765675.1	XP_021709810.1
OG0001550	XP_017756522.1, XP_017756495.1	XP_021707016.1, XP_021707017.1
OG0001551	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1	XP_001649247.2
OG0001552	XP_017765484.1	XP_021709518.1, XP_021709510.1
OG0001553	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1	XP_001649155.2
OG0001554	XP_017761029.1	XP_021699256.1
OG0001555	XP_017755605.1	XP_021708369.1
OG0001556	XP_017766589.1	XP_021698930.1
OG0001557	XP_017754844.1	XP_021703099.1
OG0001558	XP_017759570.1	XP_001650847.2, XP_021712862.1, XP_021698214.1, XP_021698215.1
OG0001559	XP_017755086.1	XP_021709809.1
OG0001560	XP_017761824.1	XP_021700177.1
OG0001561	XP_017762996.1	XP_001659517.1
OG0001562	XP_017759839.1	XP_021699829.1, XP_021699830.1
OG0001563	XP_017753860.1, XP_017753861.1	XP_021707780.1
OG0001565	XP_017758432.1, XP_017758431.1	XP_001654340.2, XP_021699250.1, XP_021699255.1, XP_021699253.1, XP_021699252.1, XP_021699251.1
OG0001567	XP_017762421.1	XP_021705207.1
OG0001568	XP_017757468.1	XP_021707976.1, XP_001649607.2, XP_021707970.1
OG0001569	XP_017759896.1	XP_001653986.2
OG0001570	XP_017766275.1	XP_021697701.1
OG0001571	XP_017757811.1, XP_017757812.1, XP_017757813.1	XP_021701795.1, XP_021711966.1
OG0001572	XP_017765781.1, XP_017765780.1	XP_001661833.2, XP_001661834.1
OG0001575	XP_017755712.1	XP_001662131.2, XP_001648863.2
OG0001576	XP_017755963.1	XP_021700231.1
OG0001577	XP_017753933.1	XP_021694857.1
OG0001579	XP_017766242.1	XP_021697228.1
OG0001580	XP_017756269.1, XP_017756265.1	XP_021708412.1
OG0001581	XP_017757870.1	XP_021701022.1, XP_021701021.1, XP_021701019.1, XP_021701020.1, XP_021701017.1, XP_021701018.1, XP_021701015.1, XP_021701016.1, XP_021701023.1
OG0001582	XP_017752328.1	XP_021693418.1
OG0001583	XP_017753734.1	XP_001653136.2
OG0001584	XP_017754014.1, XP_017754016.1	XP_021697527.1
OG0001585	XP_017752444.1, XP_017752441.1	XP_021699005.1
OG0001586	XP_017756326.1	XP_021704945.1, XP_001654729.2
OG0001587	XP_017765123.1	XP_001659266.1
OG0001588	XP_017754884.1	XP_021708908.1
OG0001589	XP_017757481.1	XP_021705121.1, XP_001657326.1
OG0001590	XP_017760242.1	XP_001648508.2, XP_021709476.1, XP_001662559.2, XP_001658622.2, XP_001662400.2, XP_001662401.2
OG0001591	XP_017754902.1, XP_017754900.1, XP_017754898.1, XP_017754899.1, XP_017754897.1	XP_001649539.2
OG0001592	XP_017765453.1	XP_001652031.2, XP_001652030.2
OG0001593	XP_017765071.1	XP_021706070.1, XP_021706066.1, XP_021706068.1, XP_021706069.1, XP_021706060.1, XP_021706061.1, XP_021706062.1, XP_021706063.1, XP_021706065.1, XP_021706067.1, XP_001652228.1
OG0001594	XP_017760183.1	XP_001652589.2
OG0001595	XP_017759837.1, XP_017759838.1	XP_001654339.2
OG0001596	XP_017762763.1	XP_001655002.2
OG0001597	XP_017754584.1	XP_001655545.1
OG0001598	XP_017765923.1	XP_001657509.1, XP_001660818.2, XP_001657506.2
OG0001599	XP_017756408.1, XP_017756407.1	XP_001659709.2
OG0001600	XP_017754958.1	XP_001662110.1, XP_021699697.1, XP_021699698.1
OG0001601	XP_017754165.1, XP_017754157.1	XP_021693003.1, XP_021693005.1, XP_021712673.1
OG0001602	XP_017761399.1, XP_017761400.1	XP_021711854.1, XP_021693787.1
OG0001603	XP_017753131.1	XP_021694636.1
OG0001604	XP_017758901.1, XP_017758903.1	XP_021698607.1, XP_021698608.1
OG0001605	XP_017764105.1	XP_021698633.1
OG0001606	XP_017763286.1	XP_021698821.1, XP_021698822.1
OG0001607	XP_017760123.1	XP_021701306.1
OG0001608	XP_017761482.1, XP_017761480.1	XP_021701802.1, XP_021701803.1, XP_021701800.1, XP_021701801.1
OG0001609	XP_017753524.1	XP_021710794.1, XP_021710793.1, XP_021710792.1
OG0001614	XP_017754529.1	XP_001661445.1
OG0001615	XP_017764935.1	XP_001649059.1, XP_001649058.1
OG0001616	XP_017761466.1	XP_021712922.1, XP_001654033.1
OG0001617	XP_017755975.1, XP_017755969.1	XP_021712041.1, XP_001651134.1
OG0001619	XP_017753400.1	XP_001659711.1
OG0001620	XP_017764518.1, XP_017764519.1	XP_001650713.1
OG0001621	XP_017754496.1	XP_001653624.2
OG0001622	XP_017757970.1	XP_001660625.1
OG0001623	XP_017761094.1	XP_001653270.2
OG0001624	XP_017766541.1, XP_017766625.1	XP_001656550.2
OG0001625	XP_017758985.1	XP_001661087.1
OG0001626	XP_017764714.1	XP_001649135.1
OG0001627	XP_017759581.1	XP_021707044.1, XP_011493541.1, XP_001654478.1
OG0001628	XP_017757209.1	XP_021693961.1
OG0001629	XP_017762481.1, XP_017762480.1	XP_001660169.1
OG0001630	XP_017765400.1	XP_021699215.1, XP_021699214.1
OG0001631	XP_017760386.1, XP_017760383.1	XP_021704306.1
OG0001633	XP_017766798.1	XP_021698387.1, XP_021698388.1, XP_021698385.1, XP_021698386.1, XP_021698396.1, XP_021698395.1, XP_021698391.1, XP_021698392.1, XP_021698389.1, XP_021698393.1, XP_021698394.1, XP_021698390.1
OG0001634	XP_017753601.1	XP_021707434.1, XP_021707433.1, XP_001649577.2
OG0001635	XP_017753595.1	XP_001660621.2
OG0001636	XP_017755485.1	XP_001661101.1
OG0001637	XP_017758517.1	XP_001658256.1
OG0001638	XP_017753528.1, XP_017753540.1	XP_001662068.2
OG0001639	XP_017767221.1, XP_017767222.1, XP_017767220.1	XP_021706741.1
OG0001640	XP_017752461.1	XP_021711928.1, XP_001660977.2
OG0001641	XP_017753665.1	XP_001649767.2, XP_021710563.1, XP_001649763.2, XP_021710569.1
OG0001642	XP_017766423.1	XP_021704630.1, XP_021704631.1, XP_001648127.2
OG0001644	XP_017761257.1	XP_021706333.1, XP_001654366.1
OG0001645	XP_017764307.1	XP_021713239.1
OG0001646	XP_017766339.1	XP_001651173.2
OG0001647	XP_017759307.1	XP_021710653.1, XP_021710277.1
OG0001648	XP_017754092.1	XP_001651963.2
OG0001649	XP_017754651.1, XP_017754499.1, XP_017754574.1	XP_021699402.1
OG0001650	XP_017757914.1	XP_001660443.2
OG0001651	XP_017761487.1, XP_017761488.1, XP_017761490.1	XP_021712338.1
OG0001652	XP_017762622.1, XP_017762621.1	XP_021709162.1
OG0001653	XP_017757704.1	XP_021704764.1, XP_021704765.1
OG0001655	XP_017753209.1	XP_021712934.1, XP_021695115.1
OG0001656	XP_017764215.1	XP_001660613.1
OG0001657	XP_017753268.1, XP_017753267.1, XP_017753269.1	XP_001650988.2
OG0001658	XP_017767207.1	XP_021701909.1
OG0001659	XP_017765105.1	XP_001649004.2, XP_021712038.1
OG0001660	XP_017758922.1	XP_021710671.1
OG0001662	XP_017765231.1	XP_001661416.2, XP_021712562.1
OG0001663	XP_017756451.1	XP_021708803.1
OG0001664	XP_017761351.1	XP_021712961.1
OG0001665	XP_017761496.1	XP_021711561.1, XP_001654204.2, XP_001651001.2, XP_021693638.1
OG0001666	XP_017753192.1	XP_021695946.1
OG0001667	XP_017755242.1	XP_021699681.1
OG0001668	XP_017762420.1	XP_021705214.1
OG0001669	XP_017765749.1	XP_021703010.1, XP_021703012.1, XP_021703011.1, XP_021703006.1, XP_021703008.1, XP_021703009.1, XP_021703007.1
OG0001670	XP_017760237.1, XP_017760238.1	XP_001663817.1
OG0001671	XP_017759383.1	XP_021708990.1
OG0001672	XP_017762492.1, XP_017762490.1, XP_017762491.1	XP_021709521.1, XP_021709522.1, XP_021709520.1
OG0001673	XP_017764841.1	XP_001660487.1
OG0001674	XP_017754048.1	XP_021702429.1, XP_021702434.1, XP_021702435.1, XP_021702430.1, XP_021702431.1, XP_021702432.1, XP_021702433.1
OG0001675	XP_017759347.1	XP_021699206.1, XP_021699205.1, XP_021699208.1, XP_021699207.1
OG0001676	XP_017753315.1	XP_001652395.2
OG0001677	XP_017767775.1	XP_001652096.1
OG0001678	XP_017753352.1, XP_017753353.1	XP_001652786.2
OG0001679	XP_017761497.1	XP_021712412.1, XP_001660326.1
OG0001680	XP_017761407.1	XP_021700806.1, XP_021712519.1
OG0001681	XP_017766594.1, XP_017766596.1	XP_001658183.2
OG0001682	XP_017755769.1	XP_021710725.1, XP_021710723.1, XP_021710727.1
OG0001683	XP_017754253.1	XP_001657224.1
OG0001684	XP_017752134.1	XP_021694318.1
OG0001685	XP_017752369.1	XP_021696569.1
OG0001686	XP_017761307.1	XP_021693026.1, XP_021693027.1, XP_021693024.1, XP_021693025.1, XP_021693022.1
OG0001687	XP_017766513.1	XP_001648656.2
OG0001688	XP_017759903.1	XP_001655654.1
OG0001689	XP_017766782.1	XP_021695340.1, XP_021702951.1, XP_001654676.1, XP_001652436.1, XP_021702788.1, XP_021702787.1
OG0001690	XP_017759401.1	XP_001652822.2
OG0001691	XP_017752762.1, XP_017752761.1	XP_021697807.1, XP_021711737.1
OG0001693	XP_017754267.1	XP_021699846.1, XP_021699847.1, XP_021699845.1
OG0001694	XP_017767028.1	XP_001657811.1
OG0001695	XP_017765096.1, XP_017765097.1, XP_017765098.1, XP_017765094.1, XP_017765095.1	XP_021695027.1
OG0001696	XP_017755693.1	XP_021707171.1
OG0001697	XP_017753829.1	XP_001655183.2
OG0001699	XP_017752266.1	XP_021706338.1, XP_001652000.1
OG0001700	XP_017761179.1	XP_021709327.1, XP_021709333.1, XP_021709340.1
OG0001701	XP_017763828.1, XP_017763827.1	XP_021709749.1
OG0001702	XP_017763377.1	XP_001657404.2
OG0001703	XP_017766294.1	XP_021694077.1, XP_021694076.1
OG0001704	XP_017753412.1	XP_021695754.1, XP_021695753.1
OG0001706	XP_017767583.1	XP_021703194.1
OG0001707	XP_017759082.1	XP_021710585.1, XP_021710586.1
OG0001708	XP_017752268.1	XP_021705236.1
OG0001709	XP_017757351.1, XP_017757271.1	XP_021692980.1
OG0001711	XP_017760099.1	XP_001650198.2
OG0001712	XP_017752985.1	XP_021711134.1
