Orthogroup	Eufriesea_mexicana	Bombyx_mori
OG0001038	XP_017755256.1, XP_017755255.1	XP_012549948.1
OG0001039	XP_017753135.1, XP_017753127.1	XP_004921977.2, XP_037877272.1
OG0001040	XP_017754064.1, XP_017754062.1, XP_017754063.1	XP_021204516.2
OG0001041	XP_017758940.1	XP_004932148.1
OG0001042	XP_017766417.1, XP_017766416.1	XP_037876973.1, XP_037876972.1, XP_037876971.1
OG0001043	XP_017762824.1	XP_012549082.1, XP_012549083.1
OG0001044	XP_017756235.1	XP_037868906.1, XP_021208939.1
OG0001045	XP_017763075.1	XP_004923807.1, XP_004923839.3, XP_037871303.1
OG0001046	XP_017767132.1, XP_017767127.1	XP_004929883.1, XP_004929882.1
OG0001048	XP_017757794.1, XP_017757790.1, XP_017757792.1, XP_017757793.1	XP_037876905.1, XP_037876906.1
OG0001049	XP_017758906.1, XP_017758904.1	XP_037866893.1, XP_037866897.1, XP_021207763.2
OG0001050	XP_017754865.1, XP_017754866.1	NP_001037042.1
OG0001052	XP_017755618.1	XP_004926923.1
OG0001053	XP_017759184.1, XP_017759183.1	NP_001036970.1, XP_021203004.2
OG0001054	XP_017754649.1	XP_037877208.1, XP_037872743.1
OG0001055	XP_017766546.1, XP_017766548.1, XP_017766547.1, XP_017766549.1	XP_037874322.1
OG0001056	XP_017754483.1	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1
OG0001057	XP_017757527.1	XP_012546102.1
OG0001058	XP_017760052.1, XP_017760051.1	XP_037869696.1
OG0001059	XP_017760755.1, XP_017756946.1	NP_001165393.1, XP_037873012.1
OG0001060	XP_017760067.1	XP_037874163.1, XP_037874164.1, XP_037874165.1
OG0001061	XP_017767375.1, XP_017767376.1, XP_017767378.1	XP_012544018.2
OG0001062	XP_017759675.1, XP_017761781.1	XP_004927760.2, XP_037875315.1
OG0001063	XP_017756576.1	XP_012545541.3
OG0001064	XP_017762679.1, XP_017763583.1	XP_012548764.2
OG0001065	XP_017764749.1, XP_017764748.1	NP_001106139.1, XP_012544167.1
OG0001066	XP_017760959.1	XP_004929225.1
OG0001067	XP_017763431.1	XP_012549214.1
OG0001068	XP_017754412.1, XP_017754418.1	XP_037876252.1, XP_021208008.2, XP_012551482.1
OG0001069	XP_017752581.1	XP_004932579.1
OG0001070	XP_017764856.1	XP_004930760.1, XP_004930761.1
OG0001071	XP_017763246.1	XP_012544371.1, XP_012544374.1
OG0001072	XP_017766528.1	XP_037874093.1, XP_037874090.1
OG0001073	XP_017758851.1, XP_017758850.1	XP_021203320.2, XP_021203319.1
OG0001074	XP_017767098.1	XP_004930337.1
OG0001075	XP_017763954.1	XP_037872729.1
OG0001076	XP_017756524.1	XP_037874441.1, XP_004929657.1
OG0001077	XP_017752925.1	NP_001040222.1
OG0001078	XP_017766228.1	XP_012546938.2
OG0001079	XP_017752791.1, XP_017752783.1	XP_012545888.2
OG0001081	XP_017753732.1	XP_004925864.1, XP_012545586.2
OG0001083	XP_017753915.1, XP_017753923.1, XP_017753931.1, XP_017753939.1, XP_017753911.1	XP_004925857.1
OG0001084	XP_017763182.1	XP_004931981.2
OG0001085	XP_017762950.1	XP_004924088.1, XP_004924087.1
OG0001086	XP_017757152.1, XP_017757159.1	XP_004926056.1, XP_012545716.1
OG0001090	XP_017757172.1	NP_001037162.1, XP_012549564.1
OG0001091	XP_017767631.1, XP_017767632.1	XP_004929855.2
OG0001092	XP_017759231.1	XP_012548309.1, NP_001037470.1
OG0001093	XP_017756464.1, XP_017756469.1, XP_017756467.1, XP_017756468.1, XP_017756466.1, XP_017756465.1	XP_004931699.1
OG0001094	XP_017753063.1	XP_012547124.1, NP_001040452.1
OG0001095	XP_017756324.1, XP_017756323.1	NP_001040518.1
OG0001096	XP_017754620.1, XP_017754622.1, XP_017754621.1	XP_021203548.1, XP_004925978.1
OG0001097	XP_017765382.1	NP_001040313.1
OG0001098	XP_017756180.1	XP_004926527.1
OG0001099	XP_017762899.1	NP_001093089.1
OG0001100	XP_017764002.1	NP_001040216.1
OG0001101	XP_017760694.1	XP_004922168.1, XP_037873380.1
OG0001102	XP_017765865.1, XP_017765866.1, XP_017765867.1	NP_001037114.1
OG0001103	XP_017756049.1, XP_017756048.1	NP_001037108.1
OG0001104	XP_017755271.1	XP_004934317.1
OG0001105	XP_017756366.1	XP_037871716.1, XP_037871717.1
OG0001106	XP_017752757.1	XP_004927328.1, XP_004927327.1, XP_004927329.1
OG0001107	XP_017754924.1, XP_017754925.1	XP_004926469.1
OG0001108	XP_017754928.1	XP_021203928.2
OG0001109	XP_017764160.1	XP_012545410.1
OG0001110	XP_017760751.1	XP_004930468.1
OG0001111	XP_017761134.1	XP_004924201.1
OG0001112	XP_017756774.1, XP_017756775.1	NP_001266326.1, XP_012547737.1
OG0001113	XP_017753680.1	XP_004931327.2
OG0001114	XP_017760047.1, XP_017760046.1	XP_004932918.1, XP_012551624.1
OG0001115	XP_017764320.1	XP_004931997.1
OG0001116	XP_017753625.1	XP_037868483.1
OG0001117	XP_017759039.1	XP_012549213.2
OG0001118	XP_017754730.1	XP_004922745.1
OG0001119	XP_017758958.1	XP_004929815.1, XP_012549045.1
OG0001120	XP_017763329.1	XP_004922742.2
OG0001120	XP_017763342.1, XP_017763348.1	XP_004933542.1
OG0001121	XP_017766061.1	XP_021207858.2, NP_001180543.1
OG0001122	XP_017760821.1	XP_037869135.1
OG0001123	XP_017765779.1	XP_004931101.1, XP_004931100.1
OG0001124	XP_017757848.1	XP_037873124.1
OG0001125	XP_017763868.1	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1
OG0001126	XP_017761760.1	XP_037872173.1
OG0001127	XP_017761563.1	XP_012551002.1
OG0001128	XP_017764372.1	XP_012551412.2, NP_001232932.1
OG0001129	XP_017764033.1, XP_017764028.1	XP_021203161.1
OG0001130	XP_017764628.1	NP_001106222.1
OG0001131	XP_017758641.1	NP_001036904.1, XP_021205859.1
OG0001132	XP_017757246.1	XP_037870554.1
OG0001133	XP_017753112.1	XP_004930615.1
OG0001134	XP_017766771.1, XP_017766772.1, XP_017766769.1	XP_037877752.1
OG0001135	XP_017753512.1	XP_037877715.1, XP_037877714.1
OG0001137	XP_017754329.1	XP_004933072.1
OG0001138	XP_017761932.1, XP_017761930.1	XP_037877664.1, NP_001040359.1
OG0001140	XP_017755999.1, XP_017755993.1	XP_021205705.1, NP_001103403.1
OG0001141	XP_017759511.1	XP_037872989.1
OG0001142	XP_017764439.1, XP_017764436.1	XP_037868754.1
OG0001143	XP_017767420.1	XP_004931875.1
OG0001144	XP_017758162.1, XP_017758161.1	XP_012548247.2, XP_037876489.1, XP_037876488.1
OG0001145	XP_017758787.1	XP_012543901.1
OG0001146	XP_017753683.1, XP_017755612.1, XP_017755614.1	XP_004921594.1
OG0001147	XP_017763352.1	XP_012547142.2
OG0001148	XP_017754836.1	XP_004928140.1, XP_012547674.1, XP_037873134.1
OG0001149	XP_017760953.1	XP_037867251.1
OG0001150	XP_017763669.1, XP_017763671.1	XP_004925200.1, XP_021203010.1
OG0001151	XP_017754799.1, XP_017754800.1, XP_017754801.1	XP_012545538.1, NP_001103478.1
OG0001152	XP_017767458.1	XP_012547811.1, XP_012547814.1
OG0001153	XP_017754569.1, XP_017754571.1	XP_004924521.2
OG0001154	XP_017753874.1, XP_017753872.1	XP_037868706.1, XP_004924023.1
OG0001155	XP_017754754.1	XP_037871158.1
OG0001156	XP_017758483.1, XP_017758322.1	XP_004928302.1
OG0001157	XP_017753498.1	XP_004926833.1
OG0001158	XP_017753183.1	XP_012551780.2
OG0001159	XP_017762324.1	XP_037876270.1
OG0001160	XP_017759049.1	XP_004921968.1, XP_037877276.1
OG0001161	XP_017760566.1	NP_001093315.1
OG0001162	XP_017753711.1	XP_037873093.1
OG0001163	XP_017759418.1, XP_017759417.1	XP_037877307.1, NP_001243921.1
OG0001164	XP_017759102.1	XP_012544977.1
OG0001165	XP_017757860.1, XP_017757867.1	XP_037871563.1, XP_037871559.1
OG0001166	XP_017757685.1, XP_017757689.1	XP_037869122.1
OG0001167	XP_017764147.1, XP_017764146.1, XP_017764145.1	XP_004925143.1
OG0001169	XP_017767154.1	XP_004933290.1, XP_004933289.1
OG0001170	XP_017755657.1	NP_001040307.1, XP_037873399.1
OG0001171	XP_017764493.1	XP_037871074.1, XP_037871077.1
OG0001172	XP_017753684.1, XP_017753689.1	XP_037871481.1, NP_001139127.1
OG0001173	XP_017759580.1	XP_004923145.2, XP_037875779.1
OG0001174	XP_017755300.1, XP_017764214.1	XP_004931972.1
OG0001175	XP_017753158.1	XP_037875209.1
OG0001176	XP_017754757.1	XP_004931359.1
OG0001177	XP_017759032.1	XP_037875889.1, XP_037872740.1, XP_037877818.1, XP_012546920.3
OG0001178	XP_017766482.1, XP_017766483.1, XP_017766480.1, XP_017766481.1	XP_021204911.1, XP_004927733.1
OG0001179	XP_017758372.1, XP_017758373.1	XP_012550481.2
OG0001180	XP_017763909.1, XP_017763913.1	XP_037872073.1
OG0001181	XP_017764001.1	XP_004927791.1
OG0001182	XP_017764459.1	XP_037875670.1, XP_037875884.1
OG0001183	XP_017767062.1, XP_017767055.1	XP_037869217.1, XP_037869220.1
OG0001184	XP_017759450.1	XP_012549667.1, XP_012549669.1
OG0001185	XP_017758686.1	XP_037874622.1, NP_001165114.1
OG0001186	XP_017754949.1	XP_004924300.1
OG0001187	XP_017764517.1	XP_012551805.2
OG0001188	XP_017761224.1	XP_004924079.1
OG0001189	XP_017760632.1	XP_037877740.1
OG0001191	XP_017758050.1	XP_021204668.1, XP_037870110.1, XP_021204693.1
OG0001193	XP_017756327.1, XP_017756336.1	NP_001093292.1, XP_021203117.2, NP_001103402.1
OG0001195	XP_017762416.1	XP_037877359.1
OG0001198	XP_017763699.1, XP_017763700.1, XP_017763698.1	XP_004925553.1
OG0001199	XP_017755186.1	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1
OG0001202	XP_017763927.1	XP_037869396.1, XP_037869397.1
OG0001203	XP_017761213.1, XP_017754055.1	NP_001296540.1
OG0001204	XP_017765407.1	XP_037874979.1
OG0001205	XP_017763013.1, XP_017756845.1	XP_004933672.2
OG0001206	XP_017759657.1	XP_004929966.1, XP_037869097.1
OG0001208	XP_017757489.1	XP_037876320.1, XP_012553119.1, XP_021209257.1
OG0001211	XP_017763734.1	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1
OG0001214	XP_017760010.1	NP_001040279.1, XP_012551201.1
OG0001215	XP_017759881.1	XP_037872613.1, XP_037872615.1, XP_021208348.1
OG0001216	XP_017753283.1, XP_017753284.1	XP_012550836.2
OG0001217	XP_017753596.1	XP_004927890.1
OG0001218	XP_017759553.1	NP_001040120.1
OG0001219	XP_017762120.1, XP_017762121.1, XP_017762119.1, XP_017762117.1	XP_004929153.2
OG0001220	XP_017759901.1	XP_004930794.1
OG0001222	XP_017763009.1	XP_004922174.2
OG0001223	XP_017766310.1, XP_017766309.1	XP_037872237.1
OG0001224	XP_017760168.1, XP_017760187.1	XP_004926867.1
OG0001225	XP_017764531.1, XP_017764530.1	NP_001040311.1
OG0001227	XP_017757699.1	XP_021209023.1, XP_021209021.1, XP_021209019.1
OG0001228	XP_017758121.1	XP_012545774.2, XP_037876543.1
OG0001229	XP_017762846.1	NP_001037132.1, XP_012548070.1
OG0001230	XP_017763881.1, XP_017763882.1	NP_001037259.1
OG0001231	XP_017766783.1	XP_037869352.1
OG0001231	XP_017766533.1	XP_037866604.1
OG0001232	XP_017761056.1	XP_037869261.1, XP_037869262.1
OG0001233	XP_017767029.1	XP_012549545.1
OG0001234	XP_017757803.1	XP_037874331.1, XP_021203183.1, XP_004925455.2
OG0001236	XP_017755673.1	XP_004931956.1
OG0001238	XP_017763642.1	XP_021203590.2, XP_021203599.1
OG0001239	XP_017755578.1	XP_012548121.3
OG0001240	XP_017761491.1	NP_001040150.1
OG0001241	XP_017758785.1, XP_017758777.1	XP_012551265.1
OG0001242	XP_017753303.1	XP_021203674.1, XP_004926232.2
OG0001243	XP_017760879.1, XP_017760878.1	XP_004921561.1
OG0001244	XP_017760748.1	XP_004931363.1
OG0001245	XP_017767578.1	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1
OG0001246	XP_017758275.1	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1
OG0001247	XP_017767403.1	NP_001280620.1, XP_012547444.1
OG0001248	XP_017757977.1	NP_001266436.1
OG0001249	XP_017754397.1	XP_037873698.1
OG0001250	XP_017763630.1	XP_012547191.3, XP_037871060.1
OG0001251	XP_017765768.1	XP_021202275.2, XP_021202277.2
OG0001253	XP_017759024.1	XP_037868796.1
OG0001254	XP_017764954.1	XP_012548031.1
OG0001255	XP_017759092.1	XP_004932670.4
OG0001256	XP_017758934.1, XP_017758933.1	XP_037870663.1, NP_001036985.1
OG0001257	XP_017759512.1	XP_012546555.1
OG0001258	XP_017756471.1, XP_017756445.1	XP_037870191.1
OG0001259	XP_017761965.1	XP_004922532.1, XP_037874041.1
OG0001260	XP_017753894.1, XP_017753895.1, XP_017753896.1	NP_001040211.1
OG0001261	XP_017756857.1	XP_021208090.1
OG0001262	XP_017763717.1	XP_021205442.1
OG0001263	XP_017755770.1	NP_001037452.1
OG0001264	XP_017755064.1, XP_017755060.1, XP_017755061.1, XP_017755062.1, XP_017755063.1	XP_037867170.1
OG0001267	XP_017756008.1	XP_037866491.1
OG0001268	XP_017755474.1, XP_017767124.1	XP_021205844.2
OG0001269	XP_017752630.1, XP_017752629.1	XP_037869606.1
OG0001270	XP_017767444.1, XP_017767443.1	NP_001040175.1
OG0001272	XP_017762607.1	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1
OG0001273	XP_017763892.1	XP_037866725.1, NP_001116823.2
OG0001274	XP_017757450.1	XP_012544435.2
OG0001275	XP_017753888.1	XP_037875688.1
OG0001277	XP_017757329.1	XP_004931850.2, XP_021207347.2
OG0001278	XP_017752817.1, XP_017752818.1	XP_037875820.1
OG0001279	XP_017758592.1	XP_012546213.2
OG0001280	XP_017757730.1	XP_012550549.1, NP_001098067.2
OG0001281	XP_017758893.1, XP_017758894.1	XP_004932331.1
OG0001283	XP_017762698.1, XP_017762699.1	XP_012551935.1, NP_001037644.1
OG0001284	XP_017766999.1	XP_012544695.2, XP_012544697.2
OG0001286	XP_017752649.1, XP_017752648.1, XP_017752651.1, XP_017752650.1, XP_017752654.1, XP_017752646.1, XP_017752652.1, XP_017752653.1	XP_004933304.1
OG0001288	XP_017756651.1	XP_037876362.1
OG0001289	XP_017754288.1	XP_004922571.1
OG0001291	XP_017752866.1	XP_021202357.1, NP_001037055.1
OG0001292	XP_017753836.1	XP_037877060.1
OG0001293	XP_017756478.1, XP_017756477.1	XP_004923001.1, XP_004923002.1
OG0001294	XP_017761845.1	XP_021204295.1
OG0001295	XP_017753974.1	XP_004933504.2, XP_037873395.1
OG0001298	XP_017758815.1	XP_037867209.1
OG0001299	XP_017759829.1, XP_017759828.1	XP_004928614.1
OG0001300	XP_017761048.1	XP_037876736.1
OG0001301	XP_017753627.1	XP_037869383.1
OG0001302	XP_017765983.1	XP_037870217.1, XP_037870210.1
OG0001303	XP_017761306.1, XP_017761305.1	XP_037875592.1, XP_037875594.1
OG0001304	XP_017765103.1, XP_017765104.1	XP_004930048.2
OG0001305	XP_017763749.1	NP_001108348.1
OG0001305	XP_017763740.1	NP_001091843.1
OG0001306	XP_017767510.1, XP_017767507.1	XP_037872003.1, XP_037872009.1
OG0001307	XP_017765806.1, XP_017755947.1	XP_037871814.1
OG0001308	XP_017762509.1	XP_037868945.1, XP_004931237.2
OG0001310	XP_017755662.1	XP_004931319.1
OG0001312	XP_017759522.1, XP_017759523.1	NP_001040409.1
OG0001313	XP_017760231.1, XP_017760246.1	XP_004931506.1
OG0001314	XP_017759938.1, XP_017759948.1	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1
OG0001315	XP_017757079.1	XP_037871474.1, XP_012546336.2
OG0001316	XP_017761141.1	NP_001036998.2
OG0001317	XP_017753730.1	XP_004930755.1
OG0001317	XP_017763687.1	XP_004930756.1
OG0001318	XP_017755036.1	XP_037866753.1, NP_001040253.1
OG0001320	XP_017763319.1	XP_004924759.1, XP_004924776.1
OG0001322	XP_017767745.1, XP_017767744.1	XP_012545066.1, XP_012545062.1
OG0001323	XP_017756610.1, XP_017756623.1, XP_017756611.1	NP_001166748.1
OG0001328	XP_017765380.1, XP_017765379.1, XP_017765381.1	XP_004923057.1
OG0001329	XP_017765141.1	XP_004927515.1, XP_037873856.1
OG0001330	XP_017760084.1	XP_037874170.1
OG0001331	XP_017761638.1	XP_021204676.1, NP_001037564.1
OG0001332	XP_017759266.1	NP_001037586.1
OG0001333	XP_017755779.1	XP_037871533.1, NP_001037243.1
OG0001334	XP_017755525.1	XP_012545428.1, NP_001136083.1
OG0001335	XP_017758150.1	XP_004930207.1, XP_004930205.1
OG0001336	XP_017766979.1	XP_004930907.1
OG0001337	XP_017763157.1, XP_017763167.1	XP_004930268.2, XP_012544537.2
OG0001338	XP_017760926.1	XP_037868459.1
OG0001339	XP_017752428.1, XP_017752429.1, XP_017752430.1	NP_001244268.1, NP_001266404.1
OG0001340	XP_017765534.1, XP_017765533.1	NP_001037165.1, XP_012545340.1
OG0001341	XP_017758419.1	XP_004932389.1
OG0001342	XP_017756280.1, XP_017754627.1	XP_037866745.1, NP_001037011.1
OG0001343	XP_017759887.1, XP_017759393.1	XP_037875228.1
OG0001345	XP_017757449.1	XP_004930391.1
OG0001346	XP_017756311.1	XP_037867854.1, XP_037867853.1, XP_037867852.1
OG0001347	XP_017756778.1	XP_004924763.1
OG0001348	XP_017761641.1	XP_037868035.1
OG0001349	XP_017753826.1, XP_017753827.1	XP_037868296.1, XP_004932184.1
OG0001350	XP_017757672.1	XP_021206894.1, XP_037877388.1, XP_037877464.1, NP_001093288.1
OG0001351	XP_017761846.1	XP_004927142.1
OG0001352	XP_017756186.1, XP_017756187.1	XP_012550733.1
OG0001353	XP_017759250.1	XP_004922173.1
OG0001354	XP_017763889.1	XP_037873431.1, XP_037873434.1
OG0001355	XP_017757783.1	XP_012552803.2
OG0001356	XP_017762245.1, XP_017762244.1	XP_012548900.1
OG0001357	XP_017753228.1	XP_021209301.1, XP_021209300.1
OG0001359	XP_017764402.1	NP_001040366.1, XP_004930970.1
OG0001362	XP_017753681.1	XP_004922990.2
OG0001363	XP_017752314.1, XP_017763590.1	XP_004929272.1
OG0001364	XP_017757141.1, XP_017757142.1	XP_012552135.1
OG0001365	XP_017760678.1	NP_001171773.1
OG0001366	XP_017762964.1	XP_012552100.2
OG0001366	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1	XP_021208338.1
OG0001368	XP_017759611.1	XP_004930597.1
OG0001369	XP_017763758.1	XP_021209165.1, XP_004923234.1
OG0001370	XP_017763355.1	XP_004925873.1
OG0001371	XP_017766099.1, XP_017766100.1	XP_021208861.2
OG0001373	XP_017764445.1	XP_004924045.1, XP_037868833.1
OG0001375	XP_017762914.1, XP_017762913.1	NP_001243941.1
OG0001376	XP_017757954.1	XP_037872952.1
OG0001377	XP_017754364.1	XP_004928133.1
OG0001378	XP_017759669.1	XP_004933406.1
OG0001379	XP_017764081.1	XP_021204324.1, XP_004927180.1
OG0001380	XP_017762347.1	NP_001243931.1
OG0001381	XP_017763595.1	XP_012544235.1
OG0001382	XP_017753653.1, XP_017753654.1	XP_004924008.1, XP_037868775.1
OG0001383	XP_017759982.1	XP_037871400.1
OG0001384	XP_017758831.1	XP_037870879.1, XP_037870878.1, XP_037870877.1, XP_037870876.1, XP_037870875.1
OG0001385	XP_017758729.1	NP_001127743.1, XP_021205799.1, NP_001127738.1, XP_021205793.1, NP_001127718.1, XP_037873374.1
OG0001386	XP_017760536.1	XP_037877052.1
OG0001387	XP_017762035.1, XP_017762037.1	XP_012551998.1, XP_012551999.1, XP_012552000.1
OG0001388	XP_017760732.1	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1
OG0001389	XP_017761960.1	XP_037866835.1, XP_021206196.1
OG0001390	XP_017766560.1	XP_004923976.1, XP_012543955.1
OG0001391	XP_017762560.1	XP_004931964.1, XP_012550804.1
OG0001392	XP_017764296.1, XP_017764293.1	XP_004923286.3
OG0001393	XP_017762706.1	NP_001108457.1, XP_012548872.1, NP_001108458.1
OG0001394	XP_017763507.1	XP_037872972.1, XP_037872971.1, XP_012551207.1
OG0001395	XP_017766691.1, XP_017766687.1	XP_037868467.1
OG0001396	XP_017766073.1	XP_012546276.2
OG0001397	XP_017759609.1	XP_021208952.1, XP_037868947.1
OG0001398	XP_017757284.1, XP_017757283.1	XP_037871681.1
OG0001399	XP_017754171.1, XP_017754172.1	XP_021203857.1, XP_004926442.1, XP_021203856.1
OG0001400	XP_017760497.1	XP_004926572.1, XP_037870367.1
OG0001401	XP_017753798.1	XP_004923967.2
OG0001402	XP_017767447.1	XP_004931504.1
OG0001403	XP_017765652.1	XP_037873037.1
OG0001404	XP_017760903.1	XP_037873980.1
OG0001405	XP_017766949.1	NP_001243976.1
OG0001406	XP_017761098.1	XP_037867555.1, XP_012549636.1
OG0001407	XP_017760890.1	XP_004932096.2
OG0001409	XP_017766302.1, XP_017766308.1, XP_017766305.1	XP_037872234.1, XP_037872231.1
OG0001410	XP_017765486.1, XP_017755897.1	XP_021203216.2, XP_012545273.2, XP_012545274.2
OG0001413	XP_017763469.1	XP_004931236.2
OG0001414	XP_017763368.1, XP_017763367.1, XP_017763366.1	XP_004926796.1
OG0001415	XP_017753459.1	XP_037877821.1, XP_037877823.1
OG0001416	XP_017756217.1, XP_017760198.1	XP_037866526.1
OG0001417	XP_017758796.1	XP_004921935.1, XP_037872611.1, XP_037872612.1
OG0001418	XP_017764513.1	XP_012547297.1
OG0001419	XP_017763375.1	XP_012548678.1
OG0001420	XP_017762536.1	XP_012552202.1, XP_037876612.1, XP_004922782.1
OG0001421	XP_017758330.1, XP_017758328.1	XP_004929664.1
OG0001422	XP_017754408.1, XP_017754409.1	XP_004932407.1
OG0001423	XP_017766027.1	XP_004923479.2
OG0001424	XP_017761320.1	XP_012544948.2
OG0001426	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1	XP_037870983.1
OG0001427	XP_017761887.1	XP_004927183.1
OG0001428	XP_017755325.1, XP_017755328.1, XP_017755327.1	XP_037866655.1
OG0001429	XP_017755795.1	NP_001036947.1
OG0001434	XP_017754540.1	XP_037876486.1
OG0001436	XP_017759912.1	XP_004922451.1, XP_004922450.1
OG0001437	XP_017761418.1	NP_001153671.1
OG0001440	XP_017752342.1	XP_004930927.1
OG0001441	XP_017764328.1	XP_037877608.1, XP_037877601.1
OG0001442	XP_017760859.1	NP_001119723.1
OG0001443	XP_017756347.1	XP_037874392.1
OG0001444	XP_017763241.1, XP_017755299.1	XP_012544068.1, XP_037876196.1, XP_037876194.1
OG0001445	XP_017767740.1	NP_001164469.1
OG0001446	XP_017767505.1, XP_017767504.1	XP_037872969.1
OG0001453	XP_017753197.1, XP_017753196.1	NP_001037144.1, XP_012548545.1
OG0001455	XP_017763637.1	XP_004932665.1, XP_037875264.1
OG0001456	XP_017759747.1	XP_021209082.1
OG0001457	XP_017759608.1	XP_012549706.1
OG0001458	XP_017760601.1	NP_001243920.1
OG0001459	XP_017753350.1	XP_004931563.1, XP_037869664.1, XP_021209024.1
OG0001460	XP_017755991.1	XP_012544554.1
OG0001461	XP_017757457.1	XP_012544433.2
OG0001462	XP_017759124.1, XP_017759121.1	XP_004929675.1, XP_004929676.1
OG0001463	XP_017754385.1	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1
OG0001464	XP_017760160.1	XP_021207479.1
OG0001465	XP_017759749.1	XP_004927891.1, XP_004927887.1
OG0001466	XP_017756736.1, XP_017756880.1	XP_004934358.1
OG0001467	XP_017765138.1	XP_037869859.1, XP_037869858.1
OG0001468	XP_017764233.1, XP_017764238.1	NP_001036939.1
OG0001469	XP_017761902.1	XP_004923021.1, XP_004923022.1
OG0001470	XP_017759624.1	XP_021207359.1, XP_021207329.1
OG0001471	XP_017755440.1, XP_017755439.1	XP_004931777.2
OG0001472	XP_017766187.1	XP_004928523.1, NP_001266343.1
OG0001473	XP_017756349.1	XP_004921751.1
OG0001474	XP_017767410.1	XP_004928242.1
OG0001475	XP_017754101.1	XP_004930737.1
OG0001476	XP_017752906.1	XP_012545928.1, XP_004926324.2
OG0001477	XP_017766251.1, XP_017766252.1	XP_037877391.1, XP_037877482.1, XP_004929266.2
OG0001478	XP_017753140.1	NP_001170882.1, XP_012551408.1
OG0001479	XP_017762331.1	NP_001036956.1, XP_012549120.1
OG0001480	XP_017761101.1	XP_004930565.1
OG0001481	XP_017757923.1, XP_017757922.1, XP_017757921.1	XP_012547389.2, XP_004927794.2
OG0001482	XP_017764469.1	XP_021206661.1
OG0001484	XP_017760649.1	XP_012547006.1
OG0001485	XP_017752870.1	XP_004929453.1
OG0001486	XP_017754790.1	XP_012553363.1
OG0001487	XP_017766230.1	XP_012550436.1
OG0001488	XP_017758917.1, XP_017758921.1	XP_037869760.1
OG0001489	XP_017762007.1, XP_017762006.1	XP_037868752.1
OG0001490	XP_017767672.1	XP_004924569.1
OG0001491	XP_017760578.1, XP_017760579.1	XP_004925005.1
OG0001492	XP_017764410.1	XP_004927896.1, XP_004927895.1, XP_004927894.1
OG0001494	XP_017759665.1, XP_017761795.1	XP_037877591.1, XP_037867606.1
OG0001495	XP_017767625.1	XP_021207491.2
OG0001496	XP_017764506.1	XP_004927986.1
OG0001497	XP_017763430.1	XP_004928336.2
OG0001498	XP_017760266.1	XP_037869992.1, XP_037870010.1
OG0001499	XP_017753427.1, XP_017764078.1	XP_004928205.1
OG0001500	XP_017755043.1	XP_037871997.1, XP_012552773.2
OG0001501	XP_017762834.1, XP_017762836.1	XP_037866800.1
OG0001502	XP_017762806.1	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1
OG0001503	XP_017760737.1, XP_017760736.1	XP_021206043.2
OG0001504	XP_017755365.1	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1
OG0001505	XP_017755310.1	XP_037867872.1
OG0001506	XP_017759286.1	XP_021202503.2
OG0001507	XP_017758151.1	XP_004933054.1, XP_021208141.1
OG0001508	XP_017759047.1	NP_001091838.1, XP_012548520.2
OG0001509	XP_017759499.1	XP_037874937.1
OG0001510	XP_017761959.1, XP_017762325.1	XP_037868375.1
OG0001511	XP_017762814.1	XP_037870240.1, NP_001106220.1
OG0001512	XP_017755081.1	XP_012547158.3
OG0001513	XP_017755577.1	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1
OG0001514	XP_017764218.1, XP_017764217.1	NP_001243989.1, XP_012551916.2
OG0001515	XP_017753282.1	XP_037869339.1, XP_012552167.1, XP_004933624.1
OG0001516	XP_017763820.1	XP_012548192.1
OG0001517	XP_017762483.1	XP_004930586.1
OG0001518	XP_017756219.1	XP_012547971.1
OG0001519	XP_017754789.1	XP_037877043.1
OG0001520	XP_017756288.1	XP_004926900.1
OG0001521	XP_017752636.1	XP_037873615.1
OG0001522	XP_017765001.1	NP_001189459.1, XP_012547725.2
OG0001523	XP_017752703.1	XP_037867735.1
OG0001524	XP_017762681.1	XP_004928551.2
OG0001525	XP_017753796.1	XP_004928511.1
OG0001526	XP_017756923.1	XP_037869703.1
