Orthogroup	Eufriesea_mexicana	Polistes_dominula
OG0001403	XP_017765652.1	XP_015187745.1
OG0001404	XP_017760903.1	XP_015179890.1, XP_015179892.1, XP_015179891.1
OG0001405	XP_017766949.1	XP_015174612.1
OG0001406	XP_017761098.1	XP_015180352.1
OG0001407	XP_017760890.1	XP_015184078.1, XP_015184080.1
OG0001408	XP_017759170.1	XP_015187566.1
OG0001409	XP_017766302.1, XP_017766308.1, XP_017766305.1	XP_015188310.1, XP_015188313.1
OG0001410	XP_017765486.1, XP_017755897.1	XP_015185730.1
OG0001412	XP_017765833.1	XP_015191408.1
OG0001413	XP_017763469.1	XP_015178798.1
OG0001414	XP_017763368.1, XP_017763367.1, XP_017763366.1	XP_015175407.1, XP_015175408.1
OG0001415	XP_017753459.1	XP_015182075.1
OG0001416	XP_017756217.1, XP_017760198.1	XP_015181549.1
OG0001417	XP_017758796.1	XP_015188275.1
OG0001418	XP_017764513.1	XP_015177476.1, XP_015189892.1, XP_015189760.1, XP_015176373.1
OG0001419	XP_017763375.1	XP_015175340.1, XP_015175323.1
OG0001420	XP_017762536.1	XP_015183990.1
OG0001421	XP_017758330.1, XP_017758328.1	XP_015182989.1
OG0001422	XP_017754408.1, XP_017754409.1	XP_015191538.1
OG0001423	XP_017766027.1	XP_015178903.1
OG0001424	XP_017761320.1	XP_015184776.1
OG0001425	XP_017754057.1	XP_015188537.1
OG0001426	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1	XP_015179662.1
OG0001427	XP_017761887.1	XP_015175865.1
OG0001428	XP_017755325.1, XP_017755328.1, XP_017755327.1	XP_015172866.1
OG0001429	XP_017755795.1	XP_015171681.1
OG0001433	XP_017758980.1, XP_017758981.1	XP_015180891.1, XP_015180890.1, XP_015180889.1
OG0001434	XP_017754540.1	XP_015171792.1, XP_015171780.1, XP_015185559.1
OG0001436	XP_017759912.1	XP_015179615.1
OG0001437	XP_017761418.1	XP_015173073.1, XP_015173075.1, XP_015173074.1
OG0001438	XP_017759626.1	XP_015173771.1, XP_015173773.1
OG0001439	XP_017763370.1	XP_015175391.1
OG0001440	XP_017752342.1	XP_015180748.1
OG0001441	XP_017764328.1	XP_015171136.1
OG0001442	XP_017760859.1	XP_015181968.1, XP_015181969.1
OG0001443	XP_017756347.1	XP_015183382.1
OG0001444	XP_017763241.1	XP_015190919.1
OG0001444	XP_017755299.1	XP_015171715.1
OG0001445	XP_017767740.1	XP_015178126.1
OG0001446	XP_017767505.1, XP_017767504.1	XP_015178763.1, XP_015178760.1
OG0001448	XP_017754678.1, XP_017754679.1	XP_015171380.1
OG0001449	XP_017756553.1	XP_015174479.1
OG0001450	XP_017761180.1	XP_015184954.1, XP_015184952.1, XP_015184951.1, XP_015184950.1
OG0001451	XP_017754819.1, XP_017754818.1, XP_017754817.1	XP_015191159.1
OG0001453	XP_017753197.1, XP_017753196.1	XP_015178218.1
OG0001455	XP_017763637.1	XP_015188001.1, XP_015188002.1, XP_015188000.1
OG0001456	XP_017759747.1	XP_015173849.1
OG0001457	XP_017759608.1	XP_015184596.1
OG0001458	XP_017760601.1	XP_015175901.1, XP_015175900.1, XP_015175899.1
OG0001459	XP_017753350.1	XP_015171442.1
OG0001460	XP_017755991.1	XP_015190961.1, XP_015190965.1, XP_015190964.1, XP_015190963.1, XP_015190962.1, XP_015190960.1
OG0001461	XP_017757457.1	XP_015176344.1, XP_015176345.1
OG0001462	XP_017759124.1	XP_015191825.1
OG0001463	XP_017754385.1	XP_015177310.1
OG0001464	XP_017760160.1	XP_015188722.1
OG0001465	XP_017759749.1	XP_015173627.1, XP_015173626.1
OG0001466	XP_017756736.1, XP_017756880.1	XP_015191372.1, XP_015191371.1
OG0001467	XP_017765138.1	XP_015191228.1
OG0001468	XP_017764233.1, XP_017764238.1	XP_015182236.1
OG0001469	XP_017761902.1	XP_015173948.1
OG0001470	XP_017759624.1	XP_015183790.1
OG0001471	XP_017755440.1, XP_017755439.1	XP_015173745.1
OG0001473	XP_017756349.1	XP_015187320.1, XP_015187319.1
OG0001474	XP_017767410.1	XP_015177871.1, XP_015177872.1, XP_015177870.1, XP_015177869.1
OG0001475	XP_017754101.1	XP_015190515.1, XP_015190514.1, XP_015190517.1, XP_015190516.1
OG0001476	XP_017752906.1	XP_015175246.1
OG0001477	XP_017766251.1, XP_017766252.1	XP_015184346.1, XP_015184344.1, XP_015184345.1
OG0001478	XP_017753140.1	XP_015191461.1, XP_015191460.1
OG0001479	XP_017762331.1	XP_015183743.1
OG0001480	XP_017761101.1	XP_015183437.1, XP_015183438.1
OG0001481	XP_017757923.1, XP_017757922.1, XP_017757921.1	XP_015188658.1
OG0001482	XP_017764469.1	XP_015172163.1
OG0001483	XP_017764678.1	XP_015181718.1
OG0001484	XP_017760649.1	XP_015175898.1
OG0001485	XP_017752870.1	XP_015178622.1
OG0001486	XP_017754790.1	XP_015175781.1, XP_015175780.1
OG0001487	XP_017766230.1	XP_015182757.1, XP_015182738.1, XP_015182748.1
OG0001488	XP_017758921.1	XP_015181799.1
OG0001489	XP_017762007.1, XP_017762006.1	XP_015176967.1
OG0001490	XP_017767672.1	XP_015178127.1
OG0001491	XP_017760578.1, XP_017760579.1	XP_015172098.1, XP_015172099.1
OG0001492	XP_017764410.1	XP_015174948.1
OG0001493	XP_017767529.1, XP_017767531.1	XP_015191116.1, XP_015191113.1
OG0001494	XP_017759665.1, XP_017761795.1	XP_015188603.1, XP_015188604.1
OG0001495	XP_017767625.1	XP_015178123.1
OG0001496	XP_017764506.1	XP_015186531.1
OG0001497	XP_017763430.1	XP_015182259.1
OG0001498	XP_017760266.1	XP_015171068.1
OG0001499	XP_017753427.1	XP_015177596.1
OG0001499	XP_017764078.1	XP_015176679.1
OG0001500	XP_017755043.1	XP_015185116.1
OG0001501	XP_017762834.1	XP_015185127.1
OG0001501	XP_017762836.1	XP_015185121.1
OG0001502	XP_017762806.1	XP_015186599.1
OG0001503	XP_017760737.1, XP_017760736.1	XP_015183782.1, XP_015183781.1
OG0001504	XP_017755365.1	XP_015185019.1
OG0001505	XP_017755310.1	XP_015174265.1, XP_015174264.1
OG0001506	XP_017759286.1	XP_015182578.1
OG0001507	XP_017758151.1	XP_015177328.1
OG0001508	XP_017759047.1	XP_015177702.1
OG0001509	XP_017759499.1	XP_015185640.1
OG0001510	XP_017761959.1, XP_017762325.1	XP_015185130.1
OG0001511	XP_017762814.1	XP_015182878.1
OG0001512	XP_017755103.1	XP_015189317.1
OG0001512	XP_017755081.1	XP_015189383.1
OG0001513	XP_017755577.1	XP_015186717.1
OG0001514	XP_017764218.1, XP_017764217.1	XP_015176729.1, XP_015176728.1
OG0001515	XP_017753282.1	XP_015177834.1, XP_015177833.1
OG0001516	XP_017763820.1	XP_015185898.1, XP_015185899.1
OG0001517	XP_017762483.1	XP_015183612.1, XP_015183607.1
OG0001518	XP_017756219.1	XP_015189264.1
OG0001519	XP_017754789.1	XP_015175798.1
OG0001520	XP_017756288.1	XP_015187128.1
OG0001521	XP_017752636.1	XP_015180263.1
OG0001521	XP_017752647.1	XP_015180548.1
OG0001522	XP_017765001.1	XP_015175123.1
OG0001523	XP_017752703.1	XP_015180937.1
OG0001524	XP_017762681.1	XP_015186809.1
OG0001525	XP_017753796.1	XP_015184938.1
OG0001526	XP_017756923.1	XP_015178598.1, XP_015178596.1
OG0001527	XP_017756866.1, XP_017756865.1	XP_015173864.1, XP_015173865.1, XP_015173863.1
OG0001529	XP_017757336.1	XP_015174994.1
OG0001530	XP_017754040.1, XP_017754041.1, XP_017754042.1	XP_015176147.1
OG0001531	XP_017757528.1	XP_015184383.1, XP_015187852.1
OG0001532	XP_017754297.1	XP_015183811.1
OG0001533	XP_017757893.1	XP_015189494.1
OG0001534	XP_017762184.1	XP_015189643.1
OG0001535	XP_017765727.1	XP_015186975.1
OG0001536	XP_017752631.1	XP_015186566.1
OG0001537	XP_017756128.1	XP_015188456.1
OG0001538	XP_017764264.1	XP_015186818.1, XP_015189908.1
OG0001539	XP_017764641.1	XP_015189287.1
OG0001540	XP_017764661.1	XP_015191170.1
OG0001541	XP_017761035.1	XP_015178821.1, XP_015178820.1
OG0001542	XP_017755216.1	XP_015172897.1, XP_015172896.1, XP_015172895.1, XP_015172894.1
OG0001543	XP_017760035.1	XP_015176705.1, XP_015176695.1
OG0001545	XP_017752308.1	XP_015190983.1
OG0001546	XP_017767699.1	XP_015185052.1
OG0001547	XP_017756116.1	XP_015181840.1
OG0001548	XP_017765675.1	XP_015185434.1
OG0001549	XP_017762912.1, XP_017762911.1	XP_015188164.1
OG0001550	XP_017756522.1, XP_017756495.1	XP_015177632.1, XP_015177631.1
OG0001551	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1	XP_015171737.1
OG0001552	XP_017765484.1	XP_015187635.1
OG0001553	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1	XP_015182983.1, XP_015182982.1
OG0001554	XP_017761029.1	XP_015177936.1
OG0001555	XP_017755605.1	XP_015171140.1
OG0001556	XP_017766589.1	XP_015186765.1
OG0001557	XP_017754844.1	XP_015175627.1
OG0001558	XP_017759570.1	XP_015191297.1
OG0001559	XP_017755086.1	XP_015183022.1
OG0001560	XP_017761824.1	XP_015190671.1
OG0001561	XP_017762996.1	XP_015191824.1
OG0001562	XP_017759839.1	XP_015182895.1
OG0001563	XP_017753860.1, XP_017753861.1	XP_015181815.1, XP_015181822.1
OG0001565	XP_017758432.1, XP_017758431.1	XP_015174966.1
OG0001567	XP_017762421.1	XP_015184022.1, XP_015184019.1, XP_015184017.1
OG0001568	XP_017757468.1	XP_015171293.1
OG0001569	XP_017759896.1	XP_015179612.1, XP_015179613.1, XP_015179614.1
OG0001570	XP_017766275.1	XP_015189116.1
OG0001571	XP_017757811.1, XP_017757812.1, XP_017757813.1	XP_015186942.1, XP_015186945.1, XP_015186944.1
OG0001572	XP_017765781.1, XP_017765780.1	XP_015178634.1, XP_015178635.1, XP_015178633.1
OG0001573	XP_017766030.1	XP_015176456.1
OG0001574	XP_017766634.1	XP_015188741.1, XP_015188739.1
OG0001575	XP_017755712.1	XP_015187477.1, XP_015187476.1
OG0001576	XP_017755963.1	XP_015189138.1
OG0001577	XP_017753933.1	XP_015181769.1, XP_015181767.1, XP_015181768.1, XP_015181770.1
OG0001578	XP_017766319.1	XP_015172760.1, XP_015172758.1, XP_015172759.1, XP_015172755.1, XP_015172756.1, XP_015172754.1
OG0001579	XP_017766242.1	XP_015182527.1, XP_015182525.1
OG0001580	XP_017756269.1, XP_017756265.1	XP_015187407.1
OG0001581	XP_017757870.1	XP_015187930.1
OG0001582	XP_017752328.1	XP_015183090.1
OG0001583	XP_017753734.1	XP_015180361.1
OG0001584	XP_017754014.1, XP_017754016.1	XP_015176021.1
OG0001585	XP_017752444.1	XP_015191709.1
OG0001585	XP_017752441.1	XP_015191710.1
OG0001586	XP_017756326.1	XP_015185311.1
OG0001587	XP_017765123.1	XP_015190749.1
OG0001588	XP_017754884.1	XP_015179867.1, XP_015179870.1
OG0001590	XP_017760242.1	XP_015172057.1
OG0001591	XP_017754902.1, XP_017754900.1, XP_017754898.1, XP_017754899.1, XP_017754897.1	XP_015174470.1, XP_015174467.1, XP_015174468.1
OG0001592	XP_017765453.1	XP_015187036.1, XP_015187038.1, XP_015187037.1, XP_015187039.1
OG0001593	XP_017765071.1	XP_015181273.1
OG0001594	XP_017760183.1	XP_015188973.1, XP_015188971.1, XP_015188972.1, XP_015188970.1
OG0001595	XP_017759837.1, XP_017759838.1	XP_015189340.1
OG0001596	XP_017762763.1	XP_015191635.1
OG0001597	XP_017754715.1	XP_015178329.1
OG0001597	XP_017754584.1	XP_015178307.1
OG0001598	XP_017765923.1	XP_015190339.1
OG0001600	XP_017754958.1	XP_015172667.1
OG0001601	XP_017754165.1, XP_017754157.1	XP_015171493.1
OG0001602	XP_017761399.1	XP_015183839.1
OG0001602	XP_017761400.1	XP_015183800.1
OG0001603	XP_017753131.1	XP_015176177.1
OG0001604	XP_017758901.1, XP_017758903.1	XP_015188043.1, XP_015188050.1
OG0001606	XP_017763286.1	XP_015172640.1
OG0001607	XP_017760123.1	XP_015184717.1, XP_015184716.1
OG0001608	XP_017761482.1, XP_017761480.1	XP_015187299.1, XP_015187300.1, XP_015187301.1
OG0001609	XP_017753524.1	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1
OG0001610	XP_017763037.1, XP_017766879.1	XP_015183214.1
OG0001611	XP_017753554.1	XP_015189463.1
OG0001612	XP_017759262.1	XP_015190931.1, XP_015190929.1, XP_015190928.1
OG0001614	XP_017754529.1	XP_015176267.1, XP_015176276.1
OG0001615	XP_017764935.1	XP_015182550.1
OG0001616	XP_017761466.1	XP_015178045.1, XP_015178047.1
OG0001617	XP_017755975.1, XP_017755969.1	XP_015190684.1
OG0001619	XP_017753400.1	XP_015190429.1
OG0001620	XP_017764518.1, XP_017764519.1	XP_015188860.1
OG0001621	XP_017754496.1	XP_015190659.1
OG0001622	XP_017757970.1	XP_015186727.1, XP_015186728.1
OG0001623	XP_017761094.1	XP_015190034.1, XP_015190040.1
OG0001624	XP_017766541.1, XP_017766625.1	XP_015176544.1
OG0001625	XP_017758985.1	XP_015177101.1
OG0001626	XP_017764714.1	XP_015176231.1
OG0001627	XP_017759581.1	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1
OG0001628	XP_017757209.1	XP_015171937.1
OG0001629	XP_017762481.1, XP_017762480.1	XP_015172088.1
OG0001630	XP_017765400.1	XP_015178835.1
OG0001631	XP_017760386.1, XP_017760383.1	XP_015177368.1, XP_015177373.1
OG0001632	XP_017762889.1, XP_017762890.1	XP_015189426.1, XP_015189425.1
OG0001633	XP_017766798.1	XP_015182014.1
OG0001634	XP_017753601.1	XP_015180733.1
OG0001635	XP_017753595.1	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1
OG0001636	XP_017755485.1	XP_015178335.1
OG0001637	XP_017758517.1	XP_015189563.1, XP_015188558.1, XP_015188556.1
OG0001638	XP_017753540.1	XP_015179077.1
OG0001639	XP_017767221.1, XP_017767222.1, XP_017767220.1	XP_015175995.1
OG0001640	XP_017752461.1	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1
OG0001641	XP_017753665.1	XP_015171298.1
OG0001642	XP_017766423.1	XP_015178349.1
OG0001643	XP_017763229.1	XP_015187681.1
OG0001645	XP_017764307.1	XP_015180126.1
OG0001646	XP_017766339.1	XP_015172870.1
OG0001647	XP_017759307.1	XP_015183151.1
OG0001648	XP_017754092.1	XP_015188305.1
OG0001649	XP_017754651.1, XP_017754499.1, XP_017754574.1	XP_015174582.1, XP_015174583.1
OG0001650	XP_017757914.1	XP_015172351.1, XP_015172362.1
OG0001651	XP_017761487.1, XP_017761488.1, XP_017761490.1	XP_015178101.1
OG0001652	XP_017762622.1, XP_017762621.1	XP_015172002.1
OG0001653	XP_017757704.1	XP_015182639.1
OG0001655	XP_017753209.1	XP_015177740.1
OG0001656	XP_017764215.1	XP_015182234.1
OG0001657	XP_017753268.1, XP_017753267.1, XP_017753269.1	XP_015185995.1
OG0001658	XP_017767207.1	XP_015172255.1
OG0001659	XP_017765105.1	XP_015178120.1
OG0001660	XP_017758922.1	XP_015181932.1, XP_015181931.1
OG0001661	XP_017764131.1, XP_017764132.1	XP_015174019.1, XP_015174020.1
OG0001662	XP_017765231.1	XP_015187280.1
OG0001663	XP_017756451.1	XP_015188339.1
OG0001664	XP_017761351.1	XP_015171691.1, XP_015171697.1
OG0001665	XP_017761496.1	XP_015173995.1
OG0001666	XP_017753192.1	XP_015173812.1
OG0001667	XP_017755242.1	XP_015176389.1
OG0001668	XP_017762420.1	XP_015184028.1
OG0001669	XP_017765749.1	XP_015190370.1
OG0001670	XP_017760237.1, XP_017760238.1	XP_015171522.1, XP_015171521.1
OG0001671	XP_017759383.1	XP_015190867.1
OG0001672	XP_017762492.1, XP_017762490.1, XP_017762491.1	XP_015172033.1
OG0001673	XP_017764841.1	XP_015180771.1
OG0001674	XP_017754048.1	XP_015184415.1
OG0001675	XP_017759347.1	XP_015190090.1
OG0001676	XP_017753315.1	XP_015171676.1
OG0001677	XP_017767775.1	XP_015173312.1, XP_015173313.1
OG0001678	XP_017753352.1, XP_017753353.1	XP_015176003.1
OG0001679	XP_017761497.1	XP_015174082.1, XP_015174081.1, XP_015174083.1
OG0001680	XP_017761407.1	XP_015179524.1
OG0001681	XP_017766594.1, XP_017766596.1	XP_015180758.1, XP_015180757.1
OG0001682	XP_017755769.1	XP_015177297.1, XP_015177294.1, XP_015177286.1
OG0001684	XP_017752134.1	XP_015173233.1
OG0001685	XP_017752369.1	XP_015178482.1
OG0001686	XP_017761307.1	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1
OG0001687	XP_017766513.1	XP_015176262.1
OG0001688	XP_017759903.1	XP_015179659.1
OG0001689	XP_017766782.1	XP_015177074.1
OG0001690	XP_017759401.1	XP_015186314.1, XP_015186310.1
OG0001691	XP_017752762.1, XP_017752761.1	XP_015177829.1, XP_015177828.1
OG0001693	XP_017754267.1	XP_015172583.1, XP_015172582.1
OG0001694	XP_017767028.1	XP_015180898.1, XP_015180899.1
OG0001695	XP_017765096.1, XP_017765097.1, XP_017765098.1, XP_017765094.1, XP_017765095.1	XP_015178111.1
OG0001696	XP_017755693.1	XP_015182100.1, XP_015182092.1
OG0001697	XP_017753829.1	XP_015184921.1
OG0001699	XP_017752266.1	XP_015191510.1
OG0001700	XP_017761179.1	XP_015184942.1
OG0001701	XP_017763828.1, XP_017763827.1	XP_015181941.1
OG0001702	XP_017763377.1	XP_015179413.1, XP_015179414.1
OG0001703	XP_017766294.1	XP_015184472.1
OG0001704	XP_017753412.1	XP_015178919.1
OG0001706	XP_017767583.1	XP_015186456.1
OG0001707	XP_017759082.1	XP_015185946.1
OG0001708	XP_017752268.1	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1
OG0001709	XP_017757351.1	XP_015171892.1, XP_015171880.1
OG0001711	XP_017760099.1	XP_015179743.1
OG0001712	XP_017752985.1	XP_015186849.1, XP_015186847.1
OG0001713	XP_017766156.1	XP_015184183.1
OG0001714	XP_017753981.1	XP_015173977.1
OG0001715	XP_017762924.1	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1
OG0001716	XP_017761083.1, XP_017761080.1	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1
OG0001717	XP_017766336.1	XP_015172875.1
OG0001718	XP_017753458.1	XP_015186676.1, XP_015186675.1, XP_015186674.1
OG0001719	XP_017761132.1, XP_017761131.1, XP_017761133.1	XP_015189225.1, XP_015189226.1
OG0001720	XP_017761762.1	XP_015187771.1
OG0001722	XP_017763891.1	XP_015183513.1
OG0001723	XP_017761848.1	XP_015179054.1
OG0001724	XP_017757448.1, XP_017757447.1	XP_015175280.1, XP_015175279.1
OG0001725	XP_017752192.1	XP_015182838.1
OG0001726	XP_017756693.1	XP_015183554.1
OG0001727	XP_017766181.1	XP_015175104.1
OG0001728	XP_017758701.1, XP_017758700.1	XP_015190161.1
OG0001729	XP_017767515.1	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1
OG0001730	XP_017765928.1	XP_015186424.1
OG0001731	XP_017756811.1	XP_015186461.1, XP_015186460.1
OG0001732	XP_017767650.1	XP_015179252.1, XP_015179256.1
OG0001733	XP_017758262.1	XP_015181621.1
OG0001734	XP_017763592.1	XP_015174635.1, XP_015174634.1
OG0001735	XP_017758137.1	XP_015188127.1
OG0001736	XP_017756067.1	XP_015181565.1
OG0001737	XP_017753173.1	XP_015187076.1
OG0001738	XP_017762686.1, XP_017762682.1	XP_015174058.1
OG0001739	XP_017758436.1	XP_015178550.1
OG0001740	XP_017767349.1, XP_017767345.1	XP_015188917.1, XP_015188913.1
OG0001741	XP_017762688.1	XP_015172220.1
OG0001742	XP_017753956.1	XP_015178632.1, XP_015178629.1, XP_015178628.1
OG0001743	XP_017766811.1	XP_015172123.1
OG0001744	XP_017762061.1	XP_015176642.1
OG0001745	XP_017752481.1, XP_017752482.1	XP_015181631.1, XP_015181632.1
OG0001746	XP_017752754.1	XP_015177893.1
OG0001748	XP_017756396.1	XP_015187137.1
OG0001749	XP_017753068.1	XP_015176030.1
OG0001750	XP_017755834.1	XP_015171096.1, XP_015171107.1, XP_015171086.1
OG0001751	XP_017766343.1	XP_015178965.1
OG0001752	XP_017757884.1, XP_017757885.1	XP_015190353.1, XP_015190354.1
OG0001753	XP_017762936.1	XP_015172267.1
OG0001754	XP_017765981.1	XP_015179044.1
OG0001755	XP_017764627.1	XP_015181109.1
OG0001756	XP_017764896.1	XP_015178162.1
OG0001757	XP_017766520.1	XP_015180560.1, XP_015180559.1
OG0001758	XP_017767662.1	XP_015178263.1
OG0001759	XP_017754749.1	XP_015184280.1
OG0001760	XP_017758198.1	XP_015188230.1
OG0001762	XP_017766221.1	XP_015182502.1
OG0001763	XP_017760813.1	XP_015183777.1, XP_015183776.1
OG0001764	XP_017757505.1	XP_015171787.1
OG0001765	XP_017756189.1, XP_017756190.1, XP_017756188.1, XP_017756191.1	XP_015186387.1
OG0001766	XP_017765570.1	XP_015181567.1
OG0001767	XP_017755336.1, XP_017755333.1, XP_017755335.1	XP_015184699.1, XP_015184700.1
OG0001768	XP_017757774.1	XP_015179106.1
OG0001769	XP_017763115.1	XP_015183571.1
OG0001770	XP_017755164.1	XP_015190509.1
OG0001772	XP_017753487.1, XP_017753486.1	XP_015182109.1
OG0001774	XP_017756656.1	XP_015172916.1, XP_015172915.1, XP_015172655.1
OG0001775	XP_017754657.1	XP_015190417.1
OG0001776	XP_017766284.1	XP_015182852.1, XP_015182851.1, XP_015182850.1
OG0001777	XP_017767342.1	XP_015182894.1
OG0001778	XP_017755617.1, XP_017755616.1	XP_015184509.1, XP_015184510.1
OG0001779	XP_017759610.1	XP_015190052.1
OG0001780	XP_017761568.1	XP_015172198.1
OG0001781	XP_017755836.1	XP_015181541.1
OG0001782	XP_017763846.1	XP_015182964.1
OG0001783	XP_017756971.1	XP_015177531.1
OG0001784	XP_017759486.1, XP_017759575.1	XP_015191381.1, XP_015191380.1
OG0001785	XP_017758618.1	XP_015183238.1
OG0001786	XP_017765430.1	XP_015181662.1
OG0001787	XP_017767485.1	XP_015189726.1, XP_015189724.1, XP_015189725.1
OG0001788	XP_017766022.1	XP_015176807.1
OG0001789	XP_017757494.1	XP_015172016.1
OG0001790	XP_017752217.1	XP_015173377.1
OG0001791	XP_017765719.1	XP_015190967.1
OG0001792	XP_017764023.1	XP_015173089.1
OG0001793	XP_017758927.1	XP_015181906.1, XP_015181905.1
OG0001794	XP_017765692.1	XP_015172744.1, XP_015172746.1
OG0001795	XP_017761376.1	XP_015187606.1
OG0001796	XP_017762082.1	XP_015181575.1
OG0001797	XP_017755615.1	XP_015174317.1, XP_015174316.1, XP_015174318.1
OG0001799	XP_017755869.1	XP_015181058.1
OG0001800	XP_017762567.1	XP_015182626.1
OG0001801	XP_017766270.1	XP_015189112.1
OG0001802	XP_017756335.1	XP_015184099.1
OG0001803	XP_017757247.1	XP_015173684.1
OG0001804	XP_017761361.1	XP_015172505.1
OG0001805	XP_017759293.1	XP_015183215.1
OG0001806	XP_017757716.1	XP_015172073.1
OG0001807	XP_017764251.1	XP_015175022.1
OG0001808	XP_017756341.1	XP_015178818.1, XP_015178817.1
OG0001809	XP_017753142.1	XP_015191458.1
OG0001810	XP_017761764.1, XP_017761747.1	XP_015187768.1
OG0001811	XP_017764919.1	XP_015179133.1, XP_015179132.1
OG0001812	XP_017767010.1	XP_015184446.1
OG0001813	XP_017764316.1	XP_015176884.1, XP_015176882.1
OG0001814	XP_017767609.1	XP_015189098.1
OG0001815	XP_017758576.1	XP_015187920.1
OG0001816	XP_017758841.1	XP_015182630.1
OG0001817	XP_017761405.1	XP_015175196.1
OG0001818	XP_017757910.1	XP_015172030.1
OG0001819	XP_017767134.1	XP_015172254.1
OG0001820	XP_017762758.1, XP_017762759.1	XP_015191623.1, XP_015191616.1
OG0001821	XP_017755699.1	XP_015181495.1, XP_015181492.1
OG0001822	XP_017754282.1	XP_015171073.1
OG0001823	XP_017753747.1	XP_015176859.1
OG0001824	XP_017759760.1	XP_015189023.1
OG0001825	XP_017756412.1	XP_015185295.1, XP_015185294.1
OG0001826	XP_017754378.1	XP_015177308.1
OG0001827	XP_017757601.1	XP_015182624.1, XP_015182623.1, XP_015182625.1
OG0001828	XP_017763861.1	XP_015174436.1
OG0001829	XP_017755812.1	XP_015178827.1
OG0001830	XP_017767728.1	XP_015178071.1
OG0001831	XP_017756799.1	XP_015174645.1, XP_015174646.1, XP_015174647.1
OG0001832	XP_017765238.1	XP_015181212.1
OG0001833	XP_017752144.1	XP_015181683.1
OG0001834	XP_017766983.1	XP_015182779.1
OG0001835	XP_017752364.1	XP_015183122.1
OG0001836	XP_017760537.1	XP_015180630.1, XP_015180614.1
OG0001837	XP_017760780.1	XP_015189164.1
OG0001838	XP_017758454.1	XP_015180604.1, XP_015180605.1
OG0001839	XP_017765802.1	XP_015174931.1
OG0001840	XP_017767725.1	XP_015178155.1
OG0001841	XP_017755592.1	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1
OG0001843	XP_017756903.1	XP_015189252.1
OG0001844	XP_017759330.1, XP_017759332.1	XP_015186283.1, XP_015186282.1
OG0001845	XP_017764185.1	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1
OG0001846	XP_017757495.1	XP_015179950.1
OG0001847	XP_017753418.1	XP_015177683.1
OG0001848	XP_017753313.1	XP_015171583.1
OG0001849	XP_017763477.1	XP_015173371.1, XP_015173373.1, XP_015173368.1, XP_015173370.1, XP_015173369.1, XP_015173374.1
OG0001850	XP_017760575.1	XP_015191837.1
OG0001851	XP_017762135.1	XP_015184861.1
OG0001852	XP_017760950.1	XP_015177102.1
OG0001853	XP_017764241.1	XP_015179541.1
OG0001854	XP_017762216.1	XP_015186318.1
OG0001855	XP_017764305.1, XP_017764289.1	XP_015188895.1
OG0001856	XP_017758890.1	XP_015172642.1
OG0001857	XP_017754770.1, XP_017754847.1	XP_015174873.1
OG0001858	XP_017766853.1, XP_017766852.1	XP_015181165.1
OG0001859	XP_017766658.1	XP_015177708.1
OG0001860	XP_017754325.1	XP_015175115.1, XP_015175116.1, XP_015175118.1, XP_015175117.1
OG0001861	XP_017757479.1	XP_015183897.1
OG0001862	XP_017766276.1	XP_015176316.1
OG0001863	XP_017764527.1, XP_017764528.1, XP_017764526.1	XP_015189022.1
OG0001864	XP_017757737.1	XP_015191388.1
OG0001865	XP_017754393.1	XP_015177898.1, XP_015177903.1
OG0001866	XP_017759395.1, XP_017759394.1, XP_017759397.1	XP_015179699.1
OG0001867	XP_017762954.1	XP_015173866.1
OG0001868	XP_017763386.1	XP_015182245.1
OG0001869	XP_017753907.1	XP_015184920.1
OG0001870	XP_017760174.1	XP_015188975.1
OG0001871	XP_017764027.1	XP_015184971.1
OG0001872	XP_017755107.1	XP_015185508.1
OG0001873	XP_017763459.1	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1
OG0001874	XP_017763987.1	XP_015181225.1
OG0001875	XP_017752712.1	XP_015180928.1
OG0001876	XP_017762084.1	XP_015185316.1
OG0001877	XP_017753773.1	XP_015179522.1
OG0001878	XP_017759633.1	XP_015171151.1
