Orthogroup	Eufriesea_mexicana	Megachile_rotundata
OG0001751	XP_017766343.1	XP_003701501.1, XP_012136689.1
OG0001752	XP_017757884.1, XP_017757885.1	XP_012143489.1
OG0001753	XP_017762936.1	XP_003706694.1
OG0001754	XP_017765981.1	XP_012141609.1
OG0001754	XP_017752778.1	XP_012136273.1
OG0001756	XP_017764896.1	XP_003706604.1
OG0001757	XP_017766520.1	XP_012142983.1
OG0001758	XP_017767662.1	XP_003705252.1
OG0001759	XP_017754749.1	XP_003701941.1, XP_012137503.1
OG0001760	XP_017758198.1	XP_003702127.1
OG0001762	XP_017766221.1	XP_012148878.1, XP_003706789.1
OG0001763	XP_017760813.1	XP_003700566.1, XP_012154469.1
OG0001765	XP_017756189.1, XP_017756190.1, XP_017756188.1, XP_017756191.1	XP_012136106.1
OG0001766	XP_017765570.1	XP_003701794.1
OG0001766	XP_017765577.1	XP_012137180.1
OG0001767	XP_017755336.1, XP_017755333.1, XP_017755335.1	XP_003707472.1, XP_012149995.1
OG0001768	XP_017757774.1	XP_003706687.1
OG0001769	XP_017763115.1	XP_012138463.1
OG0001770	XP_017755164.1	XP_003708472.1
OG0001771	XP_017757404.1	XP_003705216.1, XP_012145090.1, XP_012145093.1, XP_012145091.1
OG0001773	XP_017763285.1	XP_012154349.1
OG0001774	XP_017756656.1	XP_012149582.1
OG0001775	XP_017754657.1	XP_012154197.1
OG0001776	XP_017766284.1	XP_012146502.1, XP_003705787.1
OG0001777	XP_017767342.1	XP_003699193.1, XP_012135904.1
OG0001778	XP_017755617.1, XP_017755616.1	XP_003700370.1
OG0001779	XP_017759610.1	XP_003706847.1
OG0001780	XP_017761568.1	XP_003702781.1
OG0001781	XP_017755836.1	XP_012140213.1
OG0001782	XP_017763846.1	XP_012138573.1, XP_003702394.1
OG0001783	XP_017756971.1	XP_012153106.1, XP_012153190.1
OG0001784	XP_017759486.1, XP_017759575.1	XP_012148009.1, XP_012148010.1, XP_012148011.1
OG0001785	XP_017758618.1	XP_003708459.1, XP_012152861.1
OG0001786	XP_017765430.1	XP_003703759.1
OG0001787	XP_017767485.1	XP_003706905.1
OG0001788	XP_017766022.1	XP_012141594.1
OG0001789	XP_017757494.1	XP_003702679.1
OG0001790	XP_017752217.1	XP_003705513.1
OG0001791	XP_017765719.1	XP_012138231.1, XP_012138230.1, XP_012138229.1, XP_012138232.1
OG0001792	XP_017764023.1	XP_003704979.1
OG0001793	XP_017758927.1	XP_003703372.1
OG0001794	XP_017765692.1	XP_012138228.1
OG0001795	XP_017761376.1	XP_003707276.1
OG0001796	XP_017762082.1	XP_003704098.1
OG0001797	XP_017755615.1	XP_003705276.1
OG0001799	XP_017755869.1	XP_012152790.1
OG0001800	XP_017762567.1	XP_003703789.1
OG0001801	XP_017766270.1	XP_003707540.1
OG0001802	XP_017756335.1	XP_003701460.1
OG0001803	XP_017757247.1	XP_003700826.1, XP_012135007.1, XP_012135006.1
OG0001804	XP_017761361.1	XP_012139092.1, XP_012139091.1, XP_012139089.1, XP_003702672.1
OG0001805	XP_017759293.1	XP_012152572.1
OG0001806	XP_017757716.1	XP_003706448.1
OG0001807	XP_017764251.1	XP_012141865.1, XP_012141866.1, XP_012141867.1
OG0001808	XP_017756341.1	XP_012136611.1
OG0001809	XP_017753142.1	XP_003703087.1
OG0001810	XP_017761764.1, XP_017761747.1	XP_012150386.1
OG0001811	XP_017764919.1	XP_003699893.1, XP_012146304.1
OG0001812	XP_017767010.1	XP_012152368.1, XP_012152367.1
OG0001813	XP_017764316.1	XP_012150502.1
OG0001814	XP_017767609.1	XP_012146115.1
OG0001815	XP_017758576.1	XP_003706805.1, XP_012148924.1
OG0001816	XP_017758841.1	XP_003707640.1, XP_012150641.1
OG0001817	XP_017761405.1	XP_012134861.1
OG0001818	XP_017757910.1	XP_012143501.1
OG0001819	XP_017767134.1	XP_003699430.1
OG0001820	XP_017762758.1, XP_017762759.1	XP_003707104.1, XP_012149520.1
OG0001821	XP_017755699.1	XP_012147907.1, XP_003706357.1
OG0001822	XP_017754282.1	XP_003703530.1
OG0001823	XP_017753747.1	XP_012136264.1
OG0001824	XP_017759760.1	XP_003700865.1, XP_012135183.1
OG0001825	XP_017756412.1	XP_003701480.1
OG0001826	XP_017754378.1	XP_012146129.1, XP_012146130.1, XP_012146131.1, XP_012146134.1, XP_012146132.1, XP_012146133.1, XP_003705635.1, XP_012146127.1, XP_012146128.1
OG0001827	XP_017757601.1	XP_012139141.1
OG0001828	XP_017763861.1	XP_003702396.1
OG0001829	XP_017755812.1	XP_012144120.1, XP_012144119.1
OG0001830	XP_017767728.1	XP_012145185.1
OG0001831	XP_017756799.1	XP_012139389.1
OG0001832	XP_017765238.1	XP_003705967.1
OG0001833	XP_017752144.1	XP_003703423.1
OG0001834	XP_017766983.1	XP_003707795.1, XP_012151120.1, XP_012151119.1
OG0001835	XP_017752364.1	XP_003706134.1
OG0001836	XP_017760537.1	XP_012145254.1, XP_012145260.1
OG0001837	XP_017760780.1	XP_012154447.1, XP_012154451.1, XP_012154450.1, XP_012154449.1, XP_012154448.1, XP_012154452.1, XP_003700606.1
OG0001838	XP_017758454.1	XP_003701089.1
OG0001839	XP_017765802.1	XP_003705315.1, XP_012145347.1
OG0001840	XP_017767725.1	XP_012145200.1
OG0001841	XP_017755592.1	XP_003700397.2
OG0001842	XP_017759743.1	XP_003702260.1
OG0001843	XP_017756903.1	XP_012150857.1, XP_012150858.1, XP_003707567.1
OG0001844	XP_017759330.1, XP_017759332.1	XP_012152496.1
OG0001845	XP_017764185.1	XP_003702489.1
OG0001846	XP_017757495.1	XP_003707292.1
OG0001847	XP_017753418.1	XP_012152980.1, XP_012153146.1
OG0001848	XP_017753313.1	XP_012140215.1, XP_003703080.1
OG0001849	XP_017763477.1	XP_003703496.2
OG0001850	XP_017760575.1	XP_012152022.1
OG0001851	XP_017762135.1	XP_003705365.1, XP_012145537.1
OG0001852	XP_017760950.1	XP_003699279.1
OG0001853	XP_017764241.1	XP_012136245.1
OG0001854	XP_017762216.1	XP_012142510.1
OG0001855	XP_017764305.1, XP_017764289.1	XP_012144474.1, XP_012144473.1
OG0001856	XP_017758890.1	XP_012152678.1
OG0001857	XP_017754770.1, XP_017754847.1	XP_012151852.1
OG0001858	XP_017766853.1, XP_017766852.1	XP_003704198.1
OG0001859	XP_017766658.1	XP_003704257.1, XP_012143013.1
OG0001860	XP_017754325.1	XP_012142237.1, XP_003703966.1
OG0001861	XP_017757479.1	XP_012139144.1
OG0001863	XP_017764527.1, XP_017764528.1, XP_017764526.1	XP_012144871.1, XP_003705098.1, XP_012144870.1
OG0001864	XP_017757737.1	XP_003703202.2
OG0001865	XP_017754393.1	XP_012146126.1, XP_003705671.1
OG0001866	XP_017759395.1, XP_017759394.1, XP_017759397.1	XP_003708355.1
OG0001867	XP_017762954.1	XP_003701904.1
OG0001868	XP_017763386.1	XP_003707740.1
OG0001869	XP_017753907.1	XP_012146861.1, XP_012146862.1
OG0001870	XP_017760174.1	XP_003703359.1
OG0001871	XP_017764027.1	XP_003701743.1
OG0001872	XP_017755107.1	XP_003703430.1
OG0001873	XP_017763459.1	XP_003703441.1, XP_012141056.1
OG0001874	XP_017763987.1	XP_012146669.1, XP_012146666.1, XP_012146668.1, XP_012146670.1, XP_003705880.1
OG0001875	XP_017752712.1	XP_012145397.1
OG0001876	XP_017762084.1	XP_012136906.1
OG0001877	XP_017753773.1	XP_012136259.1
OG0001878	XP_017759633.1	XP_012151380.1
OG0001879	XP_017764812.1	XP_012142382.1
OG0001880	XP_017760311.1	XP_012148144.1
OG0001881	XP_017761719.1	XP_012146739.1, XP_012146740.1, XP_003705828.1
OG0001882	XP_017756378.1	XP_012136562.1
OG0001883	XP_017756989.1	XP_003708496.1
OG0001884	XP_017757806.1	XP_012143033.1
OG0001885	XP_017752385.1	XP_012145796.1, XP_012145797.1
OG0001886	XP_017757213.1	XP_003706184.1
OG0001887	XP_017765937.1	XP_012136736.1
OG0001888	XP_017761511.1	XP_003702770.1
OG0001888	XP_017761513.1	XP_012139537.1
OG0001889	XP_017753220.1	XP_012140097.1
OG0001890	XP_017767277.1	XP_012139488.1, XP_003702907.1, XP_012139482.1, XP_012139483.1, XP_012139484.1, XP_012139485.1, XP_012139486.1, XP_012139487.1
OG0001891	XP_017767743.1	XP_012137349.1, XP_012137347.1, XP_012137345.1, XP_012137348.1
OG0001892	XP_017755307.1	XP_012150332.1
OG0001893	XP_017758503.1	XP_003701078.2
OG0001894	XP_017764916.1	XP_012150887.1
OG0001895	XP_017761569.1	XP_012139580.1
OG0001896	XP_017758410.1	XP_012150977.1
OG0001897	XP_017756107.1	XP_003704946.1, XP_012144428.1
OG0001898	XP_017754421.1	XP_012153488.1
OG0001899	XP_017760740.1	XP_003699368.1
OG0001900	XP_017760473.1	XP_003702606.2, XP_012138993.1
OG0001901	XP_017760816.1	XP_003707788.1, XP_012151293.1
OG0001902	XP_017764972.1	XP_012153258.1
OG0001902	XP_017764962.1	XP_012153261.1
OG0001903	XP_017767604.1	XP_012140007.1
OG0001904	XP_017763877.1	XP_012150029.1
OG0001905	XP_017757413.1	XP_003702692.1
OG0001906	XP_017758481.1, XP_017758289.1	XP_012149147.1
OG0001907	XP_017760457.1	XP_012138990.1, XP_012138989.1
OG0001908	XP_017767761.1, XP_017767762.1	XP_012140618.1, XP_012140617.1, XP_012140619.1
OG0001909	XP_017761393.1	XP_012150069.1
OG0001910	XP_017762727.1	XP_003701443.2
OG0001913	XP_017767082.1	XP_012145489.1, XP_012145498.1
OG0001914	XP_017765462.1	XP_012135228.1
OG0001915	XP_017757476.1	XP_003702632.1
OG0001916	XP_017765014.1	XP_012136862.1, XP_012136861.1
OG0001917	XP_017760991.1, XP_017760989.1	XP_003705443.1, XP_012145696.1
OG0001918	XP_017763607.1	XP_012144468.1
OG0001919	XP_017767106.1	XP_012152342.1
OG0001920	XP_017767432.1	XP_012149021.1
OG0001921	XP_017763586.1	XP_003702595.1
OG0001923	XP_017762230.1	XP_012149647.1
OG0001924	XP_017753378.1	XP_012153844.1, XP_012153840.1
OG0001925	XP_017761061.1	XP_012148613.1
OG0001926	XP_017756010.1, XP_017756011.1, XP_017756013.1, XP_017756014.1	XP_012135847.1
OG0001927	XP_017762217.1	XP_003704096.1, XP_012142442.1
OG0001928	XP_017763555.1	XP_012143821.1
OG0001929	XP_017758422.1	XP_003699719.1
OG0001930	XP_017767356.1	XP_003706866.1, XP_012149134.1, XP_012149132.1, XP_012149133.1
OG0001931	XP_017765319.1	XP_003702361.1
OG0001933	XP_017764880.1	XP_003706624.1
OG0001934	XP_017752418.1, XP_017752417.1, XP_017752416.1, XP_017752415.1, XP_017752419.1	XP_003704019.1, XP_012142173.1
OG0001935	XP_017764257.1, XP_017764256.1	XP_012141857.1, XP_003703843.1
OG0001936	XP_017756033.1	XP_012135817.1
OG0001937	XP_017755817.1	XP_012144116.1
OG0001938	XP_017755683.1	XP_003701429.1
OG0001939	XP_017757878.1	XP_003704511.1
OG0001940	XP_017757009.1	XP_012153191.1
OG0001941	XP_017762381.1	XP_012146566.1, XP_012146567.1, XP_012146574.1
OG0001942	XP_017752914.1	XP_003700745.1
OG0001943	XP_017766281.1	XP_012147474.1
OG0001944	XP_017764539.1	XP_003703726.1, XP_003703814.1
OG0001945	XP_017754047.1	XP_012154441.1
OG0001946	XP_017760758.1, XP_017760756.1, XP_017760757.1	XP_003699969.1
OG0001947	XP_017762450.1	XP_003705697.1
OG0001948	XP_017762965.1	XP_003706760.1
OG0001949	XP_017752502.1	XP_012147996.1, XP_003706445.1, XP_012147995.1
OG0001950	XP_017755402.1	XP_012144602.1
OG0001951	XP_017756638.1	XP_003702731.1
OG0001952	XP_017761211.1, XP_017761210.1	XP_012135997.1
OG0001953	XP_017765746.1	XP_012145326.1
OG0001953	XP_017755082.1	XP_012145351.1
OG0001955	XP_017757643.1	XP_012147963.1, XP_012147962.1, XP_012147964.1, XP_003706380.1, XP_012147961.1
OG0001956	XP_017753105.1	XP_003703905.1
OG0001957	XP_017766185.1	XP_012142306.1
OG0001959	XP_017757533.1, XP_017757534.1	XP_003702678.1
OG0001960	XP_017757784.1	XP_003703234.1, XP_012140366.1, XP_012140367.1
OG0001961	XP_017752378.1, XP_017752377.1, XP_017752376.1	XP_012142144.1, XP_003704004.1
OG0001962	XP_017766862.1	XP_003704351.1
OG0001963	XP_017754260.1	XP_012141356.1, XP_012141357.1, XP_012141360.1, XP_012141358.1, XP_012141359.1, XP_003703511.1
OG0001964	XP_017760597.1	XP_012148107.1, XP_012148103.1, XP_012148104.1, XP_012148102.1, XP_012148105.1
OG0001965	XP_017762781.1	XP_003702172.1, XP_012138026.1, XP_012138025.1
OG0001966	XP_017759308.1	XP_003708349.1
OG0001967	XP_017755508.1, XP_017755509.1	XP_012153499.1
OG0001969	XP_017759640.1	XP_003702437.1, XP_012138619.1, XP_012138618.1
OG0001970	XP_017759951.1	XP_003702801.1
OG0001971	XP_017766134.1	XP_003703284.1, XP_012140698.1
OG0001973	XP_017756938.1	XP_012150814.1
OG0001974	XP_017755388.1	XP_003706062.1
OG0001975	XP_017755986.1, XP_017755984.1	XP_012137208.1, XP_003701846.1
OG0001976	XP_017757123.1	XP_012137825.1, XP_012137826.1
OG0001977	XP_017763738.1	XP_003702139.1
OG0001978	XP_017756773.1	XP_012146364.1
OG0001980	XP_017761036.1	XP_012142543.1, XP_012142550.1
OG0001981	XP_017755033.1	XP_012151878.1
OG0001982	XP_017758684.1	XP_003706109.1
OG0001983	XP_017760683.1	XP_012135251.1
OG0001984	XP_017755957.1	XP_003700790.2
OG0001987	XP_017766719.1, XP_017766718.1, XP_017766720.1	XP_012142901.1
OG0001988	XP_017753324.1	XP_003703079.1
OG0001989	XP_017752320.1, XP_017752319.1	XP_012147323.1, XP_003706122.1
OG0001990	XP_017753479.1	XP_003707658.1
OG0001991	XP_017760145.1, XP_017760144.1	XP_012135527.1, XP_012135526.1
OG0001992	XP_017764860.1	XP_003699919.1
OG0001993	XP_017755146.1	XP_012145304.1
OG0001994	XP_017763139.1	XP_003703431.1
OG0001996	XP_017755075.1	XP_012148191.1
OG0001997	XP_017752289.1	XP_003699645.1
OG0001998	XP_017758605.1	XP_012142139.1, XP_012142128.1, XP_012142140.1
OG0001999	XP_017767582.1	XP_003705603.1
OG0002000	XP_017759545.1	XP_012147747.1, XP_012147746.1, XP_012147745.1, XP_012147748.1
OG0002001	XP_017755894.1	XP_003706433.1, XP_012147804.1
OG0002002	XP_017755889.1	XP_012146246.1
OG0002004	XP_017761106.1	XP_003703011.1
OG0002005	XP_017757315.1	XP_012152247.1
OG0002006	XP_017759628.1	XP_003706758.1
OG0002007	XP_017767759.1	XP_003703240.1
OG0002009	XP_017753666.1, XP_017753669.1, XP_017753668.1	XP_003707309.1
OG0002010	XP_017752695.1	XP_003703696.1
OG0002011	XP_017766231.1	XP_003701635.1
OG0002012	XP_017766388.1	XP_012138348.1
OG0002013	XP_017763091.1	XP_012141432.1
OG0002014	XP_017766694.1	XP_012140420.1
OG0002015	XP_017755655.1	XP_003700402.1
OG0002016	XP_017766359.1	XP_003701509.1
OG0002017	XP_017765206.1	XP_012153242.1, XP_012153243.1, XP_012153244.1, XP_012153238.1, XP_012153239.1, XP_003708585.2, XP_012153241.1, XP_012153237.1, XP_012153240.1
OG0002018	XP_017754613.1, XP_017754612.1	XP_003700546.1
OG0002019	XP_017760760.1	XP_003700615.1
OG0002020	XP_017767599.1	XP_012143175.1
OG0002021	XP_017762697.1	XP_003703149.1, XP_012140063.1, XP_012140062.1
OG0002022	XP_017765315.1	XP_003702362.1
OG0002023	XP_017766536.1	XP_012142679.1
OG0002024	XP_017767611.1	XP_012143161.1
OG0002025	XP_017757131.1	XP_003706213.1
OG0002026	XP_017765553.1	XP_012153897.1
OG0002027	XP_017762169.1	XP_003704130.1
OG0002028	XP_017753177.1	XP_003703134.1, XP_012140101.1
OG0002029	XP_017754661.1	XP_003700421.1
OG0002030	XP_017762052.1	XP_012146968.1
OG0002032	XP_017758759.1	XP_003707304.1
OG0002033	XP_017753889.1	XP_012153387.1
OG0002034	XP_017763079.1	XP_003703586.1
OG0002035	XP_017760243.1	XP_012148042.1
OG0002036	XP_017759696.1	XP_012135179.1
OG0002037	XP_017754054.1	XP_012151785.1
OG0002038	XP_017754470.1	XP_012144842.1
OG0002039	XP_017765511.1, XP_017765512.1	XP_003702840.1
OG0002040	XP_017760605.1	XP_012145327.1, XP_012145319.1, XP_003699812.1
OG0002041	XP_017763990.1	XP_012134945.1
OG0002042	XP_017757959.1	XP_012143342.1
OG0002043	XP_017752282.1, XP_017752256.1	XP_012141291.1, XP_012141293.1, XP_012141292.1, XP_012141290.1, XP_012141288.1
OG0002044	XP_017752860.1	XP_012136341.1, XP_012136347.1
OG0002045	XP_017757902.1	XP_012143496.1
OG0002046	XP_017757202.1	XP_003706185.1
OG0002047	XP_017755727.1	XP_003704896.1
OG0002048	XP_017757250.1	XP_012138294.1, XP_012138308.1
OG0002049	XP_017763150.1	XP_012150356.1
OG0002050	XP_017753232.1, XP_017753233.1, XP_017753231.1, XP_017753230.1	XP_003708065.1
OG0002051	XP_017754517.1, XP_017754473.1	XP_003700857.1
OG0002052	XP_017759150.1	XP_003704502.1
OG0002053	XP_017761246.1	XP_012137462.1
OG0002054	XP_017759935.1	XP_012139709.1
OG0002055	XP_017767449.1	XP_003707010.1
OG0002056	XP_017760142.1, XP_017760141.1	XP_003701093.1, XP_012135528.1
OG0002057	XP_017759866.1	XP_003702834.1
OG0002058	XP_017766985.1	XP_003707801.1
OG0002059	XP_017760572.1	XP_012139338.1, XP_012139340.1, XP_012139339.1, XP_003702874.1
OG0002060	XP_017752975.1	XP_012141197.1
OG0002061	XP_017752436.1, XP_017752438.1, XP_017752437.1, XP_017752440.1, XP_017752439.1	XP_012151955.1
OG0002062	XP_017757107.1	XP_012146355.1, XP_012146353.1
OG0002063	XP_017757613.1	XP_003706896.1
OG0002064	XP_017766552.1	XP_012142928.1
OG0002065	XP_017767275.1	XP_003702761.2
OG0002066	XP_017758096.1	XP_012143894.1, XP_012143896.1, XP_012143897.1
OG0002067	XP_017752193.1	XP_012154310.1
OG0002068	XP_017753626.1	XP_003704477.1
OG0002069	XP_017760314.1	XP_003705335.1
OG0002070	XP_017755240.1, XP_017755233.1	XP_012136442.1
OG0002071	XP_017761158.1	XP_003702033.1, XP_012137945.1
OG0002072	XP_017756922.1	XP_003707613.1
OG0002073	XP_017759529.1	XP_012147998.1
OG0002075	XP_017761371.1	XP_012149919.1, XP_012149920.1, XP_003707271.1
OG0002076	XP_017756261.1	XP_012135597.1
OG0002077	XP_017765013.1	XP_003701633.1
OG0002078	XP_017761900.1	XP_012149123.1
OG0002079	XP_017752475.1	XP_003705877.1
OG0002080	XP_017752411.1	XP_003705020.1
OG0002081	XP_017752559.1	XP_003701177.1
OG0002082	XP_017756854.1	XP_012146702.1
OG0002083	XP_017761027.1	XP_012148780.1, XP_003706931.1
OG0002084	XP_017766997.1	XP_003706522.2
OG0002085	XP_017763727.1	XP_003707196.1
OG0002086	XP_017766239.1	XP_003707054.2
OG0002087	XP_017754635.1	XP_003700492.1, XP_012154201.1, XP_012154202.1
OG0002088	XP_017758462.1	XP_003699720.2, XP_012144235.1
OG0002089	XP_017761526.1	XP_003702769.1
OG0002090	XP_017760923.1	XP_012154459.1
OG0002091	XP_017763140.1	XP_003707492.1
OG0002092	XP_017763315.1	XP_003700521.2
OG0002093	XP_017754692.1	XP_003700833.1, XP_012135088.1
OG0002094	XP_017756239.1	XP_003704619.1
OG0002095	XP_017767606.1	XP_012147718.1, XP_003706334.1
OG0002097	XP_017756237.1	XP_012136159.1
OG0002098	XP_017759237.1	XP_003700046.1
OG0002099	XP_017755026.1	XP_003702572.1
OG0002099	XP_017759176.1	XP_003704719.2
OG0002100	XP_017757543.1, XP_017758365.1	XP_003707021.1
OG0002101	XP_017766163.1	XP_012140864.1
OG0002102	XP_017760478.1	XP_012153664.1, XP_012153667.1, XP_012153662.1
OG0002103	XP_017763770.1	XP_003702025.1
OG0002104	XP_017757412.1	XP_012139164.1
OG0002105	XP_017766097.1	XP_012140790.1
OG0002106	XP_017755462.1	XP_012137541.1
OG0002107	XP_017763711.1	XP_003705786.1
OG0002108	XP_017752804.1	XP_012141408.1
OG0002109	XP_017761008.1, XP_017761009.1	XP_003700184.1
OG0002110	XP_017757815.1	XP_012137441.1
OG0002111	XP_017767451.1	XP_003699750.1
OG0002113	XP_017758370.1, XP_017757979.1	XP_003699727.1
OG0002114	XP_017753662.1	XP_003701865.1
OG0002115	XP_017760245.1	XP_003706465.2
OG0002116	XP_017764509.1	XP_012148200.1, XP_012148201.1
OG0002117	XP_017757255.1	XP_003706178.1
OG0002118	XP_017756942.1	XP_012150849.1
OG0002119	XP_017766154.1, XP_017766153.1	XP_012140732.1
OG0002121	XP_017761119.1	XP_012144919.1
OG0002122	XP_017764050.1	XP_003700153.1
OG0002123	XP_017764665.1	XP_003708022.1
OG0002124	XP_017764429.1, XP_017764430.1	XP_012154155.1
OG0002125	XP_017761662.1	XP_012144745.1
OG0002126	XP_017759074.1	XP_012147815.1
OG0002127	XP_017765725.1	XP_012138223.1
OG0002128	XP_017758879.1	XP_012138724.1
OG0002129	XP_017767584.1	XP_012140017.1, XP_012140006.1
OG0002130	XP_017759055.1, XP_017759054.1	XP_003706018.1, XP_012147030.1
OG0002132	XP_017759411.1	XP_012152509.1, XP_012152510.1
OG0002134	XP_017758644.1, XP_017761974.1	XP_012149760.1
OG0002136	XP_017763437.1	XP_003707738.1, XP_012151248.1, XP_012151247.1
OG0002137	XP_017762124.1	XP_003705359.1
OG0002138	XP_017758106.1, XP_017758107.1	XP_003705988.1
OG0002139	XP_017756475.1	XP_012149202.1, XP_003707042.1
OG0002140	XP_017766910.1	XP_012136173.1
OG0002141	XP_017754310.1	XP_003703529.2, XP_012141410.1
OG0002142	XP_017763258.1	XP_003702578.2, XP_012138955.1
OG0002143	XP_017766945.1	XP_003701374.1
OG0002144	XP_017755009.1	XP_012143665.1
OG0002145	XP_017762839.1	XP_003700252.1
OG0002146	XP_017753420.1	XP_012144454.1
OG0002147	XP_017765728.1	XP_003702343.1
OG0002148	XP_017757379.1, XP_017757378.1	XP_003708174.1
OG0002149	XP_017763227.1	XP_012139810.1
OG0002150	XP_017760754.1	XP_003699249.1
OG0002151	XP_017752881.1	XP_012134580.1
OG0002152	XP_017753679.1	XP_012148397.1
OG0002153	XP_017754308.1	XP_012154424.1
OG0002154	XP_017767439.1	XP_012149072.1
OG0002155	XP_017757228.1	XP_012138208.1
OG0002156	XP_017761426.1	XP_012139476.1
OG0002156	XP_017756721.1	XP_012139690.1
OG0002157	XP_017764898.1	XP_012148346.1, XP_012148347.1, XP_012148348.1, XP_012148349.1
OG0002158	XP_017753903.1	XP_012141723.1
OG0002159	XP_017756146.1	XP_012134594.1
OG0002160	XP_017755570.1	XP_012153808.1
OG0002161	XP_017767552.1	XP_012143162.1, XP_012143164.1, XP_012143163.1
OG0002162	XP_017757621.1	XP_012145060.1
OG0002163	XP_017767026.1	XP_012145910.1, XP_012145916.1, XP_012145902.1
OG0002164	XP_017759358.1, XP_017759356.1	XP_012152664.1
OG0002165	XP_017753265.1, XP_017753263.1	XP_003706589.1
OG0002166	XP_017755988.1	XP_012147678.1
OG0002167	XP_017765159.1	XP_003702211.2
OG0002168	XP_017756391.1, XP_017756392.1	XP_012136782.1
OG0002169	XP_017761752.1	XP_003707484.1
OG0002170	XP_017767370.1	XP_012149050.1
OG0002171	XP_017764741.1	XP_012149320.1
OG0002172	XP_017765741.1, XP_017765740.1, XP_017765739.1	XP_012139047.1
OG0002173	XP_017755901.1	XP_003705677.1
OG0002174	XP_017765293.1	XP_012146638.1, XP_012146636.1
OG0002175	XP_017753363.1	XP_003704291.1, XP_012142633.1, XP_012142630.1, XP_012142632.1, XP_012142631.1, XP_012142629.1
OG0002177	XP_017760286.1	XP_003706560.2, XP_012148154.1
OG0002178	XP_017758487.1	XP_012135420.1
OG0002179	XP_017764207.1	XP_012138827.1, XP_003702494.1
OG0002180	XP_017754059.1	XP_003707906.1, XP_012151700.1
OG0002181	XP_017760400.1, XP_017760390.1	XP_012134634.1
OG0002182	XP_017766352.1	XP_003702306.1
OG0002183	XP_017755676.1	XP_003705223.2, XP_012145126.1
OG0002184	XP_017757501.1	XP_003707287.1
OG0002185	XP_017756035.1	XP_012145824.1, XP_012145826.1
OG0002186	XP_017753402.1	XP_012143834.1
OG0002187	XP_017762849.1	XP_012136067.1
OG0002188	XP_017763578.1	XP_012140483.1
OG0002190	XP_017761664.1	XP_012135699.1
OG0002191	XP_017758923.1	XP_012140684.1
OG0002192	XP_017755628.1	XP_003700362.1
OG0002193	XP_017759337.1	XP_012152485.1, XP_003708303.1
OG0002195	XP_017767567.1	XP_012152712.1
OG0002196	XP_017760622.1	XP_012145369.1
OG0002197	XP_017755308.1	XP_012150327.1, XP_012150329.1, XP_012150331.1, XP_012150328.1, XP_003707360.1
OG0002198	XP_017754544.1	XP_012143995.1
OG0002199	XP_017761731.1	XP_012146706.1, XP_012146705.1
OG0002200	XP_017752252.1	XP_012141342.1
OG0002201	XP_017760545.1	XP_003702875.1
OG0002202	XP_017757069.1	XP_012152143.1
OG0002202	XP_017761112.1	XP_012145000.1
OG0002203	XP_017764650.1	XP_012151506.1
OG0002204	XP_017767667.1	XP_003705194.2, XP_012145183.1
OG0002205	XP_017762220.1	XP_012137475.1
OG0002205	XP_017764569.1	XP_012138792.1
OG0002206	XP_017763733.1	XP_003704631.1
OG0002208	XP_017753017.1	XP_012140447.1, XP_003703168.1
OG0002209	XP_017761412.1	XP_003703833.1, XP_003700680.2
OG0002211	XP_017760691.1	XP_012148003.1, XP_003699954.1
OG0002212	XP_017755843.1	XP_012144284.1, XP_003704871.1
OG0002213	XP_017752445.1	XP_012138601.1
OG0002214	XP_017758931.1	XP_003703367.1
OG0002215	XP_017755252.1	XP_012139111.1, XP_012139112.1
OG0002217	XP_017757269.1	XP_012152182.1, XP_012152183.1
OG0002218	XP_017756587.1	XP_012153608.1, XP_003708681.1
OG0002219	XP_017759530.1	XP_012145933.1, XP_012145930.1, XP_012145932.1, XP_012145931.1, XP_012145929.1
OG0002220	XP_017755286.1	XP_003707397.1
OG0002221	XP_017758865.1, XP_017758854.1	XP_012138709.1, XP_003702460.1
OG0002222	XP_017760510.1	XP_012143595.1, XP_012143594.1
OG0002223	XP_017762589.1	XP_012141853.1, XP_012141854.1
OG0002224	XP_017763119.1	XP_012138459.1, XP_012138457.1
OG0002225	XP_017766495.1	XP_012142666.1, XP_012142670.1, XP_012142668.1
OG0002226	XP_017752996.1	XP_003704383.1
OG0002228	XP_017762635.1, XP_017762636.1, XP_017762633.1, XP_017762634.1, XP_017762632.1, XP_017762637.1	XP_012134846.1, XP_012134852.1
OG0002229	XP_017760820.1	XP_012135706.1, XP_012135193.1, XP_012135176.1, XP_012135185.1
OG0002230	XP_017763775.1	XP_012137858.1, XP_012137860.1
OG0002231	XP_017761137.1	XP_003705037.1
OG0002236	XP_017761542.1	XP_012139516.1, XP_012139517.1, XP_003702766.1
OG0002237	XP_017767570.1	XP_003708372.1
OG0002238	XP_017760070.1	XP_003706164.1
OG0002239	XP_017755395.1	XP_003704069.1
OG0002241	XP_017765220.1	XP_003705919.1
OG0002242	XP_017759988.1	XP_003699700.2
OG0002243	XP_017763787.1	XP_003704645.1
OG0002244	XP_017754511.1, XP_017754512.1	XP_012148057.1, XP_003706469.1
OG0002245	XP_017765140.1	XP_012146265.1
OG0002246	XP_017764465.1, XP_017764466.1	XP_012154128.1
