Orthogroup	Eufriesea_mexicana	Acyrthosiphon_pisum
OG0001147	XP_017763352.1	XP_001950988.1
OG0001148	XP_017754836.1	XP_001951126.1
OG0001149	XP_017760953.1	XP_001951630.1
OG0001150	XP_017763669.1, XP_017763671.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	XP_017754799.1, XP_017754800.1, XP_017754801.1	XP_016658645.1, XP_001952434.2
OG0001152	XP_017767458.1	XP_001952516.2
OG0001153	XP_017754569.1, XP_017754571.1	XP_029345485.1, XP_001952587.2
OG0001154	XP_017753874.1, XP_017753872.1	XP_016662028.1, XP_001952667.2
OG0001155	XP_017754754.1	XP_001952747.1
OG0001156	XP_017758483.1, XP_017758322.1	XP_016664861.1, XP_003241429.1
OG0001157	XP_017753498.1	XP_003243823.1
OG0001158	XP_017753183.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	XP_017762324.1	XP_003245082.1
OG0001160	XP_017759049.1	XP_003245361.2
OG0001161	XP_017760566.1	XP_008183803.1
OG0001161	XP_017760568.1	XP_003246305.2
OG0001162	XP_017753711.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001163	XP_017759418.1, XP_017759417.1	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1
OG0001164	XP_017759102.1	XP_003247679.1
OG0001165	XP_017757860.1, XP_017757867.1	XP_008179184.1, XP_008179192.1
OG0001166	XP_017757685.1, XP_017757689.1	XP_008179444.1
OG0001167	XP_017764147.1, XP_017764146.1, XP_017764145.1	XP_008181511.1, XP_008181512.1
OG0001168	XP_017758246.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_017767154.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_017755657.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_017764493.1	XP_008183856.1
OG0001172	XP_017753684.1, XP_017753689.1	XP_008184424.1
OG0001173	XP_017759580.1	XP_008184447.1
OG0001174	XP_017755300.1, XP_017764214.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_017753158.1	XP_008185682.1
OG0001176	XP_017754757.1	XP_008188774.1
OG0001177	XP_017759032.1	XP_008189302.1
OG0001178	XP_017766482.1, XP_017766483.1, XP_017766480.1, XP_017766481.1	XP_008189853.1
OG0001179	XP_017758372.1, XP_017758373.1	XP_008190154.1
OG0001180	XP_017763909.1, XP_017763913.1	XP_016657120.1
OG0001181	XP_017764001.1	XP_016657278.1
OG0001182	XP_017764459.1	XP_016657683.1
OG0001183	XP_017767062.1, XP_017767055.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_017759450.1	XP_016659463.1
OG0001185	XP_017758686.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_017754949.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_017764517.1	XP_016661530.1, XP_029346066.1
OG0001188	XP_017761224.1	XP_016664405.1, XP_016662933.1
OG0001189	XP_017760632.1	XP_029343923.1
OG0001190	XP_017753030.1	XP_029344471.1
OG0001191	XP_017758050.1	XP_029346223.1
OG0001192	XP_017765353.1, XP_017755995.1, XP_017765491.1, XP_017765601.1, XP_017765328.1, XP_017765342.1, XP_017756047.1, XP_017764695.1	XP_029346448.1
OG0001193	XP_017756327.1, XP_017756336.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_017760010.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_017759881.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_017753283.1, XP_017753284.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_017753596.1	NP_001155454.1
OG0001218	XP_017759553.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_017762120.1, XP_017762121.1, XP_017762119.1, XP_017762117.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_017759901.1	NP_001155533.1
OG0001222	XP_017763009.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_017766310.1, XP_017766309.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_017760168.1, XP_017760187.1	NP_001156103.1
OG0001225	XP_017764531.1, XP_017764530.1	NP_001156193.1
OG0001226	XP_017759255.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001227	XP_017757699.1	XP_029345469.1, XP_001951546.1, NP_001280401.1, NP_001233110.1, XP_001948920.1
OG0001228	XP_017758121.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_017762846.1	NP_001280441.1
OG0001230	XP_017763881.1, XP_017763882.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_017766783.1	XP_001943183.2, XP_008186393.1
OG0001231	XP_017766533.1	NP_001313598.1
OG0001232	XP_017761056.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_017767029.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_017757803.1	XP_001943476.2
OG0001236	XP_017755673.1	XP_001944534.1
OG0001237	XP_017760353.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_017763642.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_017755578.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_017761491.1	XP_001945375.1
OG0001241	XP_017758785.1, XP_017758777.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_017753303.1	XP_001946147.2
OG0001243	XP_017760879.1, XP_017760878.1	XP_016661917.1, XP_008185497.1, XP_001946228.1, XP_016658048.1, XP_008180749.1, XP_008185263.1
OG0001244	XP_017760748.1	XP_001946280.2
OG0001245	XP_017767578.1	XP_001946431.1
OG0001246	XP_017758275.1	XP_001947027.2
OG0001247	XP_017767403.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_017757977.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_017754397.1	XP_008179609.1, XP_001947420.1
OG0001250	XP_017763630.1	XP_001947917.2
OG0001251	XP_017765768.1	XP_029344523.1, XP_029344522.1, XP_001948243.2
OG0001252	XP_017752846.1	XP_001948261.1
OG0001253	XP_017759024.1	XP_001948411.2, XP_008187442.1
OG0001254	XP_017764954.1	XP_001948594.2
OG0001255	XP_017759092.1	XP_001948774.2
OG0001256	XP_017758934.1, XP_017758933.1	XP_001949446.1
OG0001257	XP_017759512.1	XP_001949480.1
OG0001258	XP_017756471.1, XP_017756445.1	XP_001949498.2
OG0001259	XP_017761965.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	XP_017753894.1, XP_017753895.1, XP_017753896.1	XP_001950152.1
OG0001261	XP_017756857.1	XP_001950183.1
OG0001262	XP_017763717.1	XP_001950417.1
OG0001263	XP_017755770.1	XP_001950431.1
OG0001264	XP_017755064.1, XP_017755060.1, XP_017755061.1, XP_017755062.1, XP_017755063.1	XP_001950522.1, XP_016657964.1
OG0001266	XP_017755601.1	XP_001950947.2
OG0001267	XP_017756008.1	XP_001951732.1
OG0001268	XP_017755474.1, XP_017767124.1	XP_001952629.1, XP_008187935.1
OG0001269	XP_017752630.1, XP_017752629.1	XP_003240957.1
OG0001270	XP_017767444.1, XP_017767443.1	XP_003241121.1
OG0001271	XP_017760538.1	XP_029342269.1, XP_029342268.1
OG0001272	XP_017762607.1	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	XP_017763892.1	XP_029341105.1, XP_003243017.1
OG0001274	XP_017757450.1	XP_003243163.1, XP_029347052.1
OG0001275	XP_017753888.1	XP_003243501.1
OG0001277	XP_017757329.1	XP_003243733.1
OG0001278	XP_017752817.1, XP_017752818.1	XP_003244422.1
OG0001279	XP_017758592.1	XP_008183368.1, XP_003244722.1
OG0001280	XP_017757730.1	XP_003245599.2
OG0001281	XP_017758893.1, XP_017758894.1	XP_003246179.1
OG0001282	XP_017767547.1	XP_003248149.1
OG0001283	XP_017762698.1, XP_017762699.1	XP_003248478.1
OG0001284	XP_017766999.1	XP_008182531.1, XP_003248714.1
OG0001286	XP_017752649.1, XP_017752648.1, XP_017752651.1, XP_017752650.1, XP_017752654.1, XP_017752646.1, XP_017752652.1, XP_017752653.1	XP_008178165.1
OG0001288	XP_017756651.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	XP_017754288.1	XP_008181498.1
OG0001290	XP_017752241.1	XP_016657448.1, XP_008181527.1
OG0001291	XP_017752866.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	XP_017753836.1	XP_029343143.1, XP_008185152.1
OG0001293	XP_017756478.1, XP_017756477.1	XP_008185156.1
OG0001294	XP_017761845.1	XP_008186956.1
OG0001295	XP_017753974.1	XP_008187592.1
OG0001298	XP_017758815.1	XP_016657557.1
OG0001299	XP_017759829.1, XP_017759828.1	XP_016659670.1, XP_016659669.1
OG0001300	XP_017761048.1	XP_016660087.1
OG0001301	XP_017753627.1	XP_016660634.1, XP_016660633.1
OG0001302	XP_017765983.1	XP_029347290.1, XP_016662733.1
OG0001302	XP_017765970.1	XP_029347289.1
OG0001303	XP_017761306.1, XP_017761305.1	XP_029341792.1
OG0001304	XP_017765103.1, XP_017765104.1	XP_029342867.1
OG0001305	XP_017763749.1, XP_017763740.1	XP_029348564.1, XP_029342894.1
OG0001306	XP_017767510.1, XP_017767507.1	XP_029344330.1
OG0001307	XP_017765806.1, XP_017755947.1	XP_029345473.1
OG0001308	XP_017762509.1	XP_029346361.1, XP_029346360.1
OG0001328	XP_017765380.1, XP_017765379.1, XP_017765381.1	NP_001127773.1, XP_029341919.1
OG0001329	XP_017765141.1	NP_001155492.1, XP_029344755.1
OG0001330	XP_017760084.1	NP_001155497.1, XP_008186537.1
OG0001331	XP_017761638.1	NP_001155755.1
OG0001332	XP_017759266.1	XP_001952298.1, NP_001155769.1
OG0001333	XP_017755779.1	NP_001155777.1
OG0001334	XP_017755525.1	NP_001191927.1, NP_001156237.1
OG0001335	XP_017758150.1	XP_016663531.1, NP_001156244.1
OG0001336	XP_017766979.1	NP_001156313.1
OG0001337	XP_017763157.1, XP_017763167.1	NP_001191891.1
OG0001338	XP_017760926.1	NP_001191907.1, XP_008181953.1
OG0001339	XP_017752428.1, XP_017752429.1, XP_017752430.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	XP_017765534.1, XP_017765533.1	NP_001280445.1
OG0001341	XP_017758419.1	NP_001313591.2
OG0001342	XP_017756280.1, XP_017754627.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	XP_017759887.1, XP_017759393.1	XP_001942773.2
OG0001344	XP_017756908.1	XP_016660225.1, XP_001943014.1
OG0001345	XP_017757449.1	XP_001943716.2
OG0001346	XP_017756311.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	XP_017756778.1	XP_001944211.2, XP_016658906.1
OG0001348	XP_017761641.1	XP_001944238.2
OG0001349	XP_017753826.1, XP_017753827.1	XP_001944356.1
OG0001350	XP_017757672.1	XP_001944460.2
OG0001351	XP_017761846.1	XP_001945250.1
OG0001352	XP_017756186.1, XP_017756187.1	XP_001945276.1
OG0001353	XP_017759250.1	XP_001945743.2, XP_008186641.1
OG0001354	XP_017763889.1	XP_001945744.2
OG0001355	XP_017757783.1	XP_008189594.1, XP_001946293.2
OG0001356	XP_017762245.1, XP_017762244.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001357	XP_017753228.1	XP_001947400.1
OG0001358	XP_017763024.1	XP_003246991.1, XP_001947503.2
OG0001359	XP_017764402.1	XP_001947632.1
OG0001360	XP_017762696.1	XP_001947656.2
OG0001361	XP_017762194.1	XP_001947660.2
OG0001362	XP_017753681.1	XP_001947761.1
OG0001363	XP_017752314.1, XP_017763590.1	XP_001947957.1
OG0001364	XP_017757141.1, XP_017757142.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	XP_017760678.1	XP_001948118.2
OG0001366	XP_017762964.1	XP_001948171.2
OG0001366	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1	XP_001950714.1
OG0001367	XP_017759984.1	XP_001948202.2, XP_003247502.1, XP_001951248.1
OG0001368	XP_017759611.1	XP_001948360.1
OG0001369	XP_017763758.1	XP_001948582.1
OG0001370	XP_017763355.1	XP_001948788.2, XP_008187828.1
OG0001371	XP_017766099.1, XP_017766100.1	XP_001948959.2
OG0001372	XP_017755643.1, XP_017755581.1	XP_001949037.2
OG0001373	XP_017764445.1	XP_001949375.2, XP_029342280.1
OG0001374	XP_017760626.1	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	XP_017762914.1, XP_017762913.1	XP_001949712.2
OG0001376	XP_017757954.1	XP_001949866.1, XP_029343706.1
OG0001377	XP_017754364.1	XP_016657316.1, XP_001951160.1
OG0001378	XP_017759669.1	XP_001951169.1
OG0001379	XP_017764081.1	XP_001951442.2, XP_003248624.2
OG0001380	XP_017762347.1	XP_001951739.1
OG0001381	XP_017763595.1	XP_001952158.1, XP_003244080.1
OG0001382	XP_017753653.1, XP_017753654.1	XP_001952349.1, XP_029347207.1
OG0001383	XP_017759982.1	XP_001952705.1
OG0001384	XP_017758831.1	XP_003241026.1
OG0001385	XP_017758729.1	XP_003242732.1
OG0001386	XP_017760536.1	XP_003242991.1, XP_029342070.1
OG0001387	XP_017762035.1, XP_017762037.1	XP_003243016.1
OG0001388	XP_017760732.1	XP_003243736.1
OG0001389	XP_017761960.1	XP_003243952.1
OG0001390	XP_017766560.1	XP_003245614.1
OG0001391	XP_017762560.1	XP_003246597.1
OG0001392	XP_017764296.1, XP_017764293.1	XP_003246638.2
OG0001393	XP_017762706.1	XP_003246906.1
OG0001394	XP_017763507.1	XP_003247560.1
OG0001395	XP_017766691.1, XP_017766687.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	XP_017766073.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	XP_017759609.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	XP_017757284.1, XP_017757283.1	XP_008179523.1
OG0001399	XP_017754171.1, XP_017754172.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	XP_017760497.1	XP_008180537.1
OG0001401	XP_017753798.1	XP_008182079.1
OG0001402	XP_017767447.1	XP_008183444.1, XP_008183443.1
OG0001403	XP_017765652.1	XP_008183955.3
OG0001404	XP_017760903.1	XP_008184962.1
OG0001405	XP_017766949.1	XP_008185959.1
OG0001406	XP_017761098.1	XP_008186629.1
OG0001407	XP_017760890.1	XP_008186697.1
OG0001408	XP_017759170.1	XP_008186789.1
OG0001409	XP_017766302.1, XP_017766308.1, XP_017766305.1	XP_008187143.1
OG0001410	XP_017765486.1, XP_017755897.1	XP_008187332.1
OG0001412	XP_017765833.1	XP_016662318.1
OG0001413	XP_017763469.1	XP_016659809.1, XP_016659807.1, XP_016659808.1
OG0001414	XP_017763368.1, XP_017763367.1, XP_017763366.1	XP_016659986.1
OG0001415	XP_017753459.1	XP_029344125.1, XP_029342285.1, XP_016662874.1
OG0001416	XP_017756217.1, XP_017760198.1	XP_029341813.1
OG0001417	XP_017758796.1	XP_029342475.1
OG0001418	XP_017764513.1	XP_029342978.1
OG0001419	XP_017763375.1	XP_029343365.1
OG0001420	XP_017762536.1	XP_029343491.1
OG0001421	XP_017758330.1, XP_017758328.1	XP_029344222.1, XP_029348214.1
OG0001422	XP_017754408.1, XP_017754409.1	XP_029344365.1
OG0001423	XP_017766027.1	XP_029345673.1
OG0001424	XP_017761320.1	XP_029346038.1, XP_029346037.1
OG0001425	XP_017754057.1	XP_029346380.1
OG0001426	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1	XP_029346658.1
OG0001427	XP_017761887.1	XP_029347149.1
OG0001453	XP_017753197.1, XP_017753196.1	NP_001155561.1, XP_008185637.1
OG0001455	XP_017763637.1	NP_001155669.1
OG0001456	XP_017759747.1	XP_008180851.1, NP_001155699.1
OG0001457	XP_017759608.1	NP_001155732.1
OG0001458	XP_017760601.1	NP_001155827.1
OG0001459	XP_017753350.1	NP_001156046.1
OG0001460	XP_017755991.1	NP_001156079.1
OG0001461	XP_017757457.1	NP_001156162.1
OG0001462	XP_017759124.1, XP_017759121.1	NP_001156167.1
OG0001463	XP_017754385.1	XP_029341941.1, NP_001156195.1
OG0001464	XP_017760160.1	NP_001156433.1, XP_008186733.1
OG0001465	XP_017759749.1	NP_001156833.1
OG0001466	XP_017756736.1, XP_017756880.1	XP_008180032.1, NP_001161683.1
OG0001467	XP_017765138.1	NP_001191928.1
OG0001468	XP_017764233.1, XP_017764238.1	NP_001191993.1, XP_008189445.3
OG0001469	XP_017761902.1	XP_008181788.1, NP_001233056.1
OG0001470	XP_017759624.1	XP_008187948.1, NP_001280297.1
OG0001471	XP_017755440.1, XP_017755439.1	XP_008183781.1, NP_001280339.1, XP_008189101.1, XP_003242907.1
OG0001472	XP_017766187.1	NP_001280353.1
OG0001473	XP_017756349.1	NP_001280376.1, XP_008185857.1
OG0001474	XP_017767410.1	XP_029342002.1, NP_001280448.1
OG0001475	XP_017754101.1	XP_001942854.1
OG0001476	XP_017752906.1	XP_001942905.3
OG0001477	XP_017766251.1, XP_017766252.1	XP_001942920.4
OG0001478	XP_017753140.1	XP_001942958.2, XP_029342966.1, XP_016660334.1, XP_008180779.1
OG0001479	XP_017762331.1	XP_001942962.2
OG0001480	XP_017761101.1	XP_001943003.1
OG0001481	XP_017757923.1, XP_017757922.1, XP_017757921.1	XP_001943151.1
OG0001482	XP_017764469.1	XP_001943496.2
OG0001483	XP_017764678.1	XP_001943861.2
OG0001484	XP_017760649.1	XP_001944106.1
OG0001485	XP_017752870.1	XP_001944507.2
OG0001486	XP_017754790.1	XP_029341194.1, XP_001944825.2
OG0001487	XP_017766230.1	XP_016661816.1, XP_001945106.1
OG0001488	XP_017758917.1, XP_017758921.1	XP_001945549.2
OG0001489	XP_017762007.1, XP_017762006.1	XP_001945732.1
OG0001490	XP_017767672.1	XP_001945791.2
OG0001491	XP_017760578.1, XP_017760579.1	XP_001946011.2, XP_029342551.1
OG0001492	XP_017764410.1	XP_001948802.2, XP_008187152.1, XP_008187153.1, XP_001946302.1
OG0001493	XP_017767529.1, XP_017767531.1	XP_029343846.1, XP_001946376.2, XP_008183135.1
OG0001494	XP_017759665.1, XP_017761795.1	XP_001946881.2
OG0001495	XP_017767625.1	XP_001946939.2, XP_029344154.1
OG0001496	XP_017764506.1	XP_008185249.2, XP_001946961.1
OG0001497	XP_017763430.1	XP_001947222.2
OG0001498	XP_017760266.1	XP_008181337.1, XP_001947275.1, XP_029347822.1, XP_008180982.1, XP_008181925.2
OG0001499	XP_017753427.1, XP_017764078.1	XP_001947444.2
OG0001500	XP_017755043.1	XP_001947553.2
OG0001501	XP_017762834.1, XP_017762836.1	XP_001947628.2
OG0001502	XP_017762806.1	XP_001947678.4
OG0001503	XP_017760737.1, XP_017760736.1	XP_001947953.1
OG0001504	XP_017755365.1	XP_001948087.2, XP_016662592.1
OG0001505	XP_017755310.1	XP_001948092.2
OG0001506	XP_017759286.1	XP_001949016.2
OG0001507	XP_017758151.1	XP_001949195.2, XP_003243935.1
OG0001508	XP_017759047.1	XP_016657823.1, XP_003242760.1, XP_003242759.1, XP_008180467.1, XP_029344178.1, XP_001949221.1
OG0001509	XP_017759499.1	XP_001949731.2
OG0001510	XP_017761959.1, XP_017762325.1	XP_003246129.1, XP_001950257.2
OG0001511	XP_017762814.1	XP_001950295.2
OG0001512	XP_017755103.1, XP_017755081.1	XP_001950347.2, XP_003249003.2
OG0001513	XP_017755577.1	XP_029343494.1, XP_001950605.2
OG0001514	XP_017764218.1, XP_017764217.1	XP_001950614.2, XP_008179295.1, XP_016656840.1
OG0001515	XP_017753282.1	XP_001951016.1, XP_008188305.1, XP_008188306.1
OG0001516	XP_017763820.1	XP_001951239.1, XP_008186532.1
OG0001517	XP_017762483.1	XP_001951328.2, XP_029346096.1
OG0001518	XP_017756219.1	XP_001951365.1
OG0001519	XP_017754789.1	XP_008183986.1, XP_001951874.2
OG0001520	XP_017756288.1	XP_001951964.1
OG0001521	XP_017752636.1	XP_001952287.2, XP_029347145.1
OG0001521	XP_017752647.1	XP_008181173.1
OG0001522	XP_017765001.1	XP_001952293.1
OG0001523	XP_017752703.1	XP_001952833.2
OG0001524	XP_017762681.1	XP_003240924.1, XP_016664234.1
OG0001525	XP_017753796.1	XP_003241160.1
OG0001526	XP_017756923.1	XP_003241167.1, XP_029345134.1, XP_008190230.1
OG0001527	XP_017756866.1, XP_017756865.1	XP_003241208.1
OG0001529	XP_017757336.1	XP_003242875.1
OG0001530	XP_017754040.1, XP_017754041.1, XP_017754042.1	XP_003243307.1
OG0001531	XP_017757528.1	XP_003243327.1
OG0001532	XP_017754297.1	XP_003243596.1
OG0001533	XP_017757893.1	XP_008189436.2, XP_008185693.1, XP_008185692.1, XP_003246282.1, XP_008185694.1, XP_003244766.1
OG0001534	XP_017762184.1	XP_003244802.1
OG0001535	XP_017765727.1	XP_029343322.1, XP_029343330.1, XP_029343343.1, XP_029343335.1, XP_003244942.1, XP_003244940.1, XP_008183679.1, XP_008183680.1
OG0001536	XP_017752631.1	XP_003245170.1
OG0001537	XP_017756128.1	XP_003245502.1, XP_008181113.1, XP_016661056.2
OG0001538	XP_017764264.1	XP_003245941.1
OG0001539	XP_017764641.1	XP_029343073.1, XP_016656485.1, XP_016656486.1, XP_003246880.1, XP_008186547.1, XP_029344116.1, XP_016662798.1
OG0001540	XP_017764661.1	XP_003247868.1
OG0001541	XP_017761035.1	XP_003248759.2, XP_008188096.1
OG0001542	XP_017755216.1	XP_029345676.1, XP_029345670.1, XP_003248868.3
OG0001543	XP_017760035.1	XP_008178488.1
OG0001545	XP_017752308.1	XP_008180179.1
OG0001546	XP_017767699.1	XP_008180322.1
OG0001547	XP_017756116.1	XP_008181007.1
OG0001548	XP_017765675.1	XP_008181324.1
OG0001549	XP_017762912.1, XP_017762911.1	XP_008181350.1, XP_008181345.1
OG0001550	XP_017756522.1, XP_017756495.1	XP_008181349.1, XP_016660125.1
OG0001551	XP_017753293.1, XP_017753287.1, XP_017753289.1, XP_017753294.1, XP_017753292.1, XP_017753286.1, XP_017753290.1, XP_017753291.1	XP_029344459.1, XP_008182508.1
OG0001552	XP_017765484.1	XP_029341108.1, XP_008182735.1
OG0001553	XP_017758661.1, XP_017758660.1, XP_017758659.1, XP_017758658.1	XP_008183385.1
OG0001554	XP_017761029.1	XP_008183450.2
OG0001555	XP_017755605.1	XP_029341218.1, XP_008184180.1, XP_029341220.1
OG0001556	XP_017766589.1	XP_008184251.1
OG0001557	XP_017754844.1	XP_016661057.2
OG0001558	XP_017759570.1	XP_008184940.1
OG0001559	XP_017755086.1	XP_008185039.1
OG0001560	XP_017761824.1	XP_008186404.1, XP_016662679.1
OG0001561	XP_017762996.1	XP_029341351.1, XP_008186937.1, XP_029341646.1
OG0001562	XP_017759839.1	XP_016663542.1, XP_008187530.2, XP_016660440.1
OG0001563	XP_017753860.1, XP_017753861.1	XP_008187964.3
OG0001565	XP_017758432.1, XP_017758431.1	XP_008189936.1
OG0001567	XP_017762421.1	XP_016658137.2
OG0001568	XP_017757468.1	XP_016658644.1
OG0001569	XP_017759896.1	XP_016659072.1
OG0001570	XP_017766275.1	XP_016659399.1
OG0001571	XP_017757811.1, XP_017757812.1, XP_017757813.1	XP_016660614.1, XP_029346556.1, XP_016660615.1, XP_016660613.1
OG0001572	XP_017765781.1, XP_017765780.1	XP_016661226.1, XP_029342072.1
OG0001573	XP_017766030.1	XP_016661281.1
OG0001574	XP_017766634.1	XP_016661800.1, XP_029343877.1, XP_029343880.1, XP_029343879.1, XP_029343878.1, XP_016661798.1, XP_029343876.1
OG0001575	XP_017755712.1	XP_016665048.1
OG0001576	XP_017755963.1	XP_029341788.1, XP_029341787.1, XP_029341790.1, XP_029341789.1
OG0001577	XP_017753933.1	XP_029341940.1
OG0001578	XP_017766319.1	XP_029342030.1
OG0001579	XP_017766242.1	XP_029343105.1, XP_029343104.1
OG0001580	XP_017756269.1, XP_017756265.1	XP_029343957.1
OG0001581	XP_017757870.1	XP_029347791.1, XP_029344497.1
OG0001582	XP_017752328.1	XP_029345144.1
OG0001583	XP_017753734.1	XP_029345306.1
OG0001584	XP_017754014.1, XP_017754016.1	XP_029346124.1
OG0001585	XP_017752444.1, XP_017752441.1	XP_029346669.1, XP_029348133.1
OG0001586	XP_017756326.1	XP_029346801.1
OG0001587	XP_017765123.1	XP_029347036.1
OG0001588	XP_017754884.1	XP_029347321.1, XP_029348055.1
OG0001589	XP_017757481.1	XP_029348255.1
OG0001614	XP_017754529.1	NP_001119609.1
OG0001615	XP_017764935.1	NP_001165434.1, NP_001119664.1
OG0001616	XP_017761466.1	XP_001949992.2, XP_001947239.1, NP_001129661.1, NP_001119692.1
OG0001617	XP_017755975.1, XP_017755969.1	XP_016664309.1, XP_001949968.4, XP_001952346.3, XP_029347218.1, XP_029347450.1, XP_003240157.1, NP_001155377.1, XP_008178676.1
OG0001619	XP_017753400.1	XP_008189793.1, XP_008180212.1, NP_001155629.1
OG0001620	XP_017764518.1, XP_017764519.1	NP_001155671.1
OG0001621	XP_017754496.1	XP_029344967.1, NP_001155770.1, XP_008187262.1
OG0001622	XP_017757970.1	XP_008180830.1, NP_001155791.1
OG0001623	XP_017761094.1	NP_001155857.1
OG0001624	XP_017766541.1, XP_017766625.1	NP_001155934.1, NP_001155932.1, NP_001155933.1, XP_008184379.1, NP_001155935.1
OG0001625	XP_017758985.1	NP_001156134.1
OG0001626	XP_017764714.1	NP_001156141.1
OG0001627	XP_017759581.1	NP_001156148.1, XP_008185366.1
OG0001628	XP_017757209.1	XP_029341957.1, NP_001156245.1, XP_029344470.1, XP_029344469.1, XP_029344468.1, XP_008186771.2, NP_001233098.1, XP_016656492.1, XP_001948530.2, XP_001947430.2
OG0001629	XP_017762481.1, XP_017762480.1	NP_001156316.1, XP_008178127.1, XP_008189895.1, NP_001165437.1
OG0001630	XP_017765400.1	NP_001156347.1, XP_016659252.1
OG0001631	XP_017760386.1, XP_017760383.1	NP_001156438.1, XP_001948292.4, XP_016660627.1
OG0001632	XP_017762889.1, XP_017762890.1	XP_008183084.1, NP_001156712.1
OG0001633	XP_017766798.1	NP_001232954.1
OG0001634	XP_017753601.1	NP_001233050.1
OG0001635	XP_017753595.1	NP_001280462.1
OG0001636	XP_017755485.1	NP_001313576.1
OG0001637	XP_017758517.1	NP_001313606.1
OG0001638	XP_017753528.1, XP_017753540.1	XP_001942629.2
OG0001639	XP_017767221.1, XP_017767222.1, XP_017767220.1	XP_001942635.2
OG0001640	XP_017752461.1	XP_001944671.1, XP_001942710.1, XP_008187704.1
OG0001641	XP_017753665.1	XP_001942933.2
OG0001642	XP_017766423.1	XP_001943211.1, XP_001943270.1, XP_008181942.1
OG0001643	XP_017763229.1	XP_029343701.1, XP_029343702.1, XP_001944079.1, XP_008187007.1, XP_001943383.1, XP_016656484.1, XP_016665011.1
OG0001644	XP_017761257.1	XP_001945235.1, XP_029343508.1, XP_008186588.1, XP_008180278.2, XP_001943832.1
OG0001645	XP_017764307.1	XP_001944045.2
OG0001646	XP_017766339.1	XP_001944173.2
OG0001647	XP_017759307.1	XP_029343557.1, XP_001944181.1, XP_003248804.3, XP_029341067.1
