Orthogroup	Eufriesea_mexicana	Tribolium_castaneum
OG0001017	XP_017759056.1	XP_969629.1, XP_008194028.1
OG0001018	XP_017753525.1	NP_001107779.1
OG0001019	XP_017760379.1	XP_015839056.1, XP_974292.2, XP_008198287.1
OG0001020	XP_017757292.1	XP_970433.1
OG0001021	XP_017754781.1	XP_969653.1
OG0001022	XP_017758964.1	XP_015835414.1, XP_015835415.1
OG0001025	XP_017757868.1	XP_008193091.1
OG0001026	XP_017760653.1	XP_970449.1
OG0001027	XP_017757558.1	XP_015838508.1
OG0001028	XP_017755505.1	XP_015839464.1, XP_970163.1
OG0001029	XP_017753437.1	XP_015840479.1
OG0001030	XP_017763191.1, XP_017763188.1, XP_017763187.1, XP_017763186.1, XP_017763185.1, XP_017763190.1	XP_015838296.1, XP_976275.1
OG0001031	XP_017761147.1	XP_975003.1, XP_975012.1
OG0001032	XP_017766749.1	XP_008197238.1
OG0001033	XP_017753201.1	XP_968121.1
OG0001034	XP_017758730.1	XP_015835089.1, XP_015835090.1, XP_008192440.2, XP_015835122.1, XP_008192433.1, XP_008192434.1, XP_015840598.1, XP_008201070.1
OG0001035	XP_017756768.1, XP_017756767.1, XP_017756765.1, XP_017756766.1	XP_001816488.1
OG0001036	XP_017765137.1, XP_017758195.1	XP_015838416.1
OG0001037	XP_017753115.1	XP_008201337.1
OG0001038	XP_017755256.1, XP_017755255.1	XP_975102.1
OG0001039	XP_017753135.1, XP_017753127.1	XP_008197122.1, XP_972852.1
OG0001040	XP_017754064.1, XP_017754062.1, XP_017754063.1	XP_008200571.1
OG0001041	XP_017758940.1	XP_971368.1, XP_008199393.1, XP_008199391.1
OG0001042	XP_017766417.1, XP_017766416.1	XP_008191863.1
OG0001043	XP_017762827.1, XP_017762824.1	XP_008199231.1, XP_008199232.1
OG0001044	XP_017756235.1	XP_015839545.1
OG0001045	XP_017763075.1	XP_974068.1
OG0001046	XP_017767132.1, XP_017767127.1	XP_015835974.1
OG0001048	XP_017757794.1, XP_017757790.1, XP_017757792.1, XP_017757793.1	XP_015836699.1, XP_008195153.1
OG0001049	XP_017758906.1, XP_017758904.1	XP_008198519.1
OG0001050	XP_017754865.1, XP_017754866.1	XP_008197845.1, XP_008197843.1
OG0001052	XP_017755618.1	XP_015836414.1
OG0001053	XP_017759184.1, XP_017759183.1	XP_008201416.1
OG0001054	XP_017754649.1	XP_970597.2
OG0001055	XP_017766546.1, XP_017766548.1, XP_017766547.1, XP_017766549.1	XP_971906.1
OG0001056	XP_017754483.1	XP_008199786.1
OG0001057	XP_017757527.1	XP_015838535.1
OG0001058	XP_017760052.1, XP_017760051.1	XP_015833239.1, XP_015833240.1, XP_968118.1, XP_008190828.1
OG0001059	XP_017760755.1, XP_017756946.1	XP_001812701.1
OG0001060	XP_017760067.1	XP_975678.1
OG0001061	XP_017767375.1, XP_017767376.1, XP_017767378.1	XP_008194269.1, XP_015835880.1
OG0001063	XP_017756576.1	XP_008198790.1
OG0001064	XP_017762679.1, XP_017763583.1	XP_015839254.1, XP_973869.1
OG0001065	XP_017764749.1, XP_017764748.1	NP_001076808.1, XP_008195066.1
OG0001066	XP_017760959.1	XP_008194156.1, XP_015835951.1, XP_008194158.1, XP_971810.2
OG0001067	XP_017763431.1	XP_015835194.1, XP_015835191.1, XP_015835193.1, XP_015835189.1
OG0001068	XP_017754412.1, XP_017754418.1	XP_015833006.1, XP_015833002.1
OG0001069	XP_017752581.1	XP_008195047.1, XP_008195052.1, XP_970713.1
OG0001070	XP_017764856.1	XP_967757.1
OG0001071	XP_017763246.1	XP_015835573.1, XP_971088.1
OG0001072	XP_017766528.1	XP_968287.2
OG0001073	XP_017758851.1, XP_017758850.1	XP_015840906.1
OG0001074	XP_017767098.1	XP_968014.1
OG0001075	XP_017763954.1	XP_976192.1
OG0001076	XP_017756524.1	XP_015836852.1
OG0001077	XP_017752925.1	XP_969551.1
OG0001078	XP_017766228.1	XP_008197026.2
OG0001079	XP_017752791.1, XP_017752783.1	XP_970516.1
OG0001081	XP_017753732.1	XP_972805.1, XP_008196164.1
OG0001082	XP_017766001.1	XP_974821.1
OG0001084	XP_017763182.1	XP_008193669.1
OG0001085	XP_017762950.1	XP_015836984.1, XP_966581.1
OG0001086	XP_017757152.1, XP_017757159.1	XP_008196611.1
OG0001090	XP_017757172.1	XP_008193026.1, XP_969238.1
OG0001091	XP_017767631.1, XP_017767632.1	XP_008191347.1
OG0001092	XP_017759231.1	XP_008192984.1, NP_001107766.2
OG0001093	XP_017756464.1, XP_017756469.1, XP_017756467.1, XP_017756468.1, XP_017756466.1, XP_017756465.1	XP_967758.1
OG0001094	XP_017753063.1	XP_972722.1
OG0001095	XP_017756324.1, XP_017756323.1	XP_974524.1
OG0001096	XP_017754620.1, XP_017754622.1, XP_017754621.1	XP_971402.1
OG0001097	XP_017765382.1	XP_973281.1
OG0001098	XP_017756180.1	XP_001808476.1
OG0001099	XP_017762899.1	XP_015838137.1
OG0001100	XP_017764002.1	XP_015833017.1, XP_974324.1
OG0001101	XP_017760694.1	XP_015835316.1, XP_008192958.1
OG0001102	XP_017765865.1, XP_017765866.1, XP_017765867.1	XP_008198777.1, XP_970498.1
OG0001103	XP_017756049.1, XP_017756048.1	NP_001164136.1
OG0001104	XP_017755271.1	XP_966537.1
OG0001105	XP_017756366.1	XP_968687.1, XP_015836906.1, XP_015836904.1, XP_969139.2, XP_968617.1
OG0001106	XP_017752757.1	XP_975213.1
OG0001107	XP_017754924.1, XP_017754925.1	XP_015835955.1, XP_967711.1
OG0001108	XP_017754928.1	XP_969212.1, XP_969136.1, XP_969065.1
OG0001109	XP_017764160.1	XP_015840812.1
OG0001110	XP_017760751.1	XP_008197884.1
OG0001111	XP_017761134.1	XP_975084.1
OG0001112	XP_017756774.1, XP_017756775.1	XP_015839558.1, XP_008199112.1, XP_008199111.1, XP_008199113.1, XP_008199114.1
OG0001113	XP_017753680.1	XP_966673.1
OG0001114	XP_017760047.1, XP_017760046.1	XP_966885.1, XP_008191103.1
OG0001115	XP_017764320.1	XP_968555.2
OG0001116	XP_017753625.1	XP_008199210.1
OG0001117	XP_017759039.1	XP_008199836.1
OG0001118	XP_017754730.1	XP_972023.1
OG0001119	XP_017758958.1	XP_015833676.1
OG0001120	XP_017763329.1	XP_008195678.2
OG0001120	XP_017763342.1, XP_017763348.1	XP_975429.1
OG0001121	XP_017766061.1	NP_001107840.1, XP_008201496.1
OG0001122	XP_017760821.1	XP_968775.1
OG0001123	XP_017765779.1	XP_008198553.1
OG0001124	XP_017757848.1	XP_975636.1
OG0001125	XP_017763868.1	XP_008190532.1, XP_008190533.1, XP_008190535.1, XP_008190536.1, XP_008190537.1, XP_015833013.1
OG0001126	XP_017761760.1	XP_971282.1, XP_015836202.1
OG0001127	XP_017761583.1, XP_017761563.1	XP_008198191.1
OG0001128	XP_017764372.1	XP_008190655.1
OG0001129	XP_017764033.1, XP_017764028.1	XP_008195074.1
OG0001130	XP_017764628.1	XP_968477.1
OG0001131	XP_017758641.1	XP_015840650.1, XP_008199422.1
OG0001132	XP_017757246.1	XP_967011.1
OG0001133	XP_017753112.1	XP_967241.1, XP_015832935.1
OG0001134	XP_017766771.1, XP_017766772.1, XP_017766769.1	XP_008194083.1
OG0001135	XP_017753512.1	XP_968753.2
OG0001137	XP_017754329.1	XP_008198456.2
OG0001138	XP_017761932.1, XP_017761930.1	XP_974752.2
OG0001140	XP_017755999.1, XP_017755993.1	XP_971142.1
OG0001141	XP_017759511.1	NP_001103250.1, NP_001103249.1, NP_001103248.1
OG0001142	XP_017764439.1, XP_017764436.1	XP_008193039.1
OG0001143	XP_017767420.1	XP_969623.1
OG0001144	XP_017758162.1, XP_017758161.1	NP_001280546.1
OG0001145	XP_017758787.1	XP_973829.1
OG0001146	XP_017753683.1, XP_017755612.1, XP_017755614.1	XP_967210.1
OG0001147	XP_017763352.1	XP_008201711.1
OG0001148	XP_017754836.1	XP_008191864.1
OG0001149	XP_017760953.1	XP_008193472.1
OG0001150	XP_017763669.1, XP_017763671.1	XP_968505.1
OG0001151	XP_017754799.1, XP_017754800.1, XP_017754801.1	XP_008194307.1
OG0001152	XP_017767458.1	XP_015835806.1
OG0001153	XP_017754571.1	XP_008196650.2
OG0001154	XP_017753874.1, XP_017753872.1	XP_015840392.1, XP_008195259.1
OG0001155	XP_017754754.1	XP_008192108.1, XP_008192109.1, XP_974039.1
OG0001156	XP_017758483.1, XP_017758322.1	XP_008192296.1
OG0001157	XP_017753498.1	XP_970548.1, XP_008199067.1
OG0001158	XP_017753183.1	XP_008197031.1, NP_001164280.1
OG0001159	XP_017762324.1	XP_008199533.1
OG0001160	XP_017759049.1	XP_972545.1
OG0001161	XP_017760566.1	NP_001164093.1
OG0001161	XP_017760568.1	XP_008198406.1
OG0001163	XP_017759418.1, XP_017759417.1	XP_008196669.1, XP_972490.2
OG0001164	XP_017759102.1	XP_001815875.1
OG0001165	XP_017757860.1, XP_017757867.1	XP_015835803.1, XP_008193882.1
OG0001166	XP_017757685.1, XP_017757689.1	XP_008191785.1, XP_015833648.1, XP_015833649.1
OG0001167	XP_017764147.1, XP_017764146.1, XP_017764145.1	XP_008190526.1
OG0001168	XP_017758246.1	XP_008194043.1, NP_001129235.1
OG0001169	XP_017767154.1	XP_971976.1, XP_008195314.1
OG0001170	XP_017755657.1	XP_008195103.1
OG0001171	XP_017764493.1	XP_008201706.1, XP_008201707.1
OG0001172	XP_017753684.1, XP_017753689.1	XP_015835716.1, XP_015835718.1
OG0001173	XP_017759580.1	XP_008191324.1
OG0001174	XP_017755300.1, XP_017764214.1	XP_971424.1
OG0001175	XP_017753158.1	XP_008200383.1
OG0001176	XP_017754757.1	XP_972928.1
OG0001177	XP_017759032.1	XP_015839409.1, XP_015837748.1, XP_015837697.1
OG0001178	XP_017766482.1, XP_017766483.1, XP_017766480.1, XP_017766481.1	XP_975464.2
OG0001179	XP_017758372.1, XP_017758373.1	XP_008198975.1, XP_971602.1
OG0001180	XP_017763909.1, XP_017763913.1	XP_008198633.1
OG0001181	XP_017764001.1	XP_008191878.1
OG0001182	XP_017764459.1	XP_015840100.1, XP_015840102.1
OG0001183	XP_017767062.1, XP_017767055.1	XP_008193529.1
OG0001184	XP_017759450.1	XP_008201701.1, XP_015840686.1
OG0001186	XP_017754949.1	XP_969063.1
OG0001187	XP_017764517.1	XP_968896.1, XP_015835887.1
OG0001188	XP_017761224.1	XP_001816493.1, XP_015837546.1, XP_015837545.1
OG0001189	XP_017760632.1	XP_008194526.1
OG0001190	XP_017753030.1	XP_008199702.1, XP_008199701.1
OG0001191	XP_017758050.1	XP_008201559.2, NP_001165842.1
OG0001193	XP_017756327.1, XP_017756336.1	XP_967266.2
OG0001195	XP_017762416.1	XP_008195388.1, XP_008195387.1
OG0001197	XP_017753310.1, XP_017753333.1	XP_015840919.1, XP_008201266.1, XP_008201358.1
OG0001198	XP_017763699.1, XP_017763700.1, XP_017763698.1	XP_008192533.1
OG0001199	XP_017755186.1	XP_008190901.1
OG0001201	XP_017761015.1	XP_967431.2
OG0001202	XP_017763927.1	XP_008198196.1, XP_969574.1, XP_970203.1
OG0001203	XP_017761213.1, XP_017754055.1	XP_008198168.2, XP_015837354.1
OG0001204	XP_017765407.1	XP_015835914.1
OG0001205	XP_017763013.1, XP_017756845.1	XP_015832961.1
OG0001206	XP_017759657.1	XP_968926.1, XP_008192540.1, XP_008192547.1
OG0001207	XP_017756157.1	XP_008193742.1
OG0001208	XP_017757489.1	XP_008195493.1, XP_008195494.1, XP_008195495.1, XP_015836894.1, XP_015836892.1, XP_015836893.1
OG0001211	XP_017763734.1	XP_969398.1, XP_015836279.1, XP_015839975.1, XP_015839976.1, XP_008196675.1
OG0001214	XP_017760010.1	XP_008200001.1, XP_975934.1
OG0001215	XP_017759881.1	XP_968957.1
OG0001216	XP_017753283.1, XP_017753284.1	XP_015839295.1
OG0001217	XP_017753596.1	XP_008192863.1
OG0001218	XP_017759553.1	XP_008201334.1
OG0001219	XP_017762120.1, XP_017762121.1, XP_017762119.1, XP_017762117.1	XP_001816128.1
OG0001220	XP_017759901.1	XP_972076.1
OG0001222	XP_017763009.1	XP_968714.2
OG0001223	XP_017766310.1, XP_017766309.1	XP_967177.1
OG0001224	XP_017760168.1, XP_017760187.1	XP_008191038.1, XP_975446.1
OG0001225	XP_017764531.1, XP_017764530.1	XP_972067.1
OG0001226	XP_017759255.1	XP_974453.1
OG0001227	XP_017757699.1	XP_008199442.1
OG0001228	XP_017758121.1	XP_008197675.1
OG0001229	XP_017762846.1	XP_973115.2
OG0001230	XP_017763881.1, XP_017763882.1	XP_967571.1
OG0001231	XP_017766783.1	XP_008197759.1, XP_008197754.1
OG0001231	XP_017766533.1	XP_969776.1
OG0001232	XP_017761056.1	XP_008190354.1
OG0001233	XP_017767029.1	XP_008190817.1
OG0001234	XP_017757803.1	XP_972865.2
OG0001236	XP_017755673.1	XP_970017.1, XP_008194730.1
OG0001237	XP_017760353.1	XP_970990.1, XP_970935.1, XP_008198405.1, XP_008201442.1, XP_008201445.1
OG0001238	XP_017763642.1	XP_015840481.1, XP_008199848.1
OG0001239	XP_017755578.1	XP_969339.3
OG0001240	XP_017761491.1	XP_008196847.1
OG0001241	XP_017758785.1, XP_017758777.1	XP_008196700.1, NP_001280495.1
OG0001242	XP_017753303.1	XP_015837308.1, XP_015837309.1
OG0001243	XP_017760879.1, XP_017760878.1	XP_968084.1
OG0001244	XP_017760748.1	XP_974073.3
OG0001245	XP_017767578.1	XP_968503.1
OG0001246	XP_017758275.1	XP_008191948.1, XP_008191947.1
OG0001247	XP_017767403.1	XP_969111.2
OG0001248	XP_017757977.1	XP_975017.2
OG0001249	XP_017754397.1	XP_975542.1
OG0001250	XP_017763630.1	XP_015835066.1, XP_015835069.1, XP_015835068.1, XP_015835067.1, XP_008191723.1, XP_015835064.1, XP_015835065.1
OG0001251	XP_017765768.1	XP_008198694.1, XP_015839507.1, XP_015839508.1
OG0001252	XP_017752846.1	XP_008201627.1
OG0001253	XP_017759024.1	XP_008198623.1, XP_008198621.1
OG0001254	XP_017764954.1	XP_008200349.1, XP_015839691.1
OG0001255	XP_017759092.1	XP_015839682.1, NP_001280536.1
OG0001256	XP_017758934.1, XP_017758933.1	XP_015840550.1
OG0001257	XP_017759512.1	XP_972977.1, XP_973010.2
OG0001258	XP_017756471.1, XP_017756445.1	NP_001034507.1
OG0001259	XP_017761965.1	XP_008195303.1, XP_968406.2
OG0001260	XP_017753894.1, XP_017753895.1, XP_017753896.1	XP_974043.1, XP_015835245.1
OG0001261	XP_017756857.1	XP_969615.1
OG0001262	XP_017763717.1	XP_015836277.1
OG0001263	XP_017755770.1	XP_008194044.1, XP_966465.1
OG0001264	XP_017755064.1, XP_017755060.1, XP_017755061.1, XP_017755062.1, XP_017755063.1	XP_008199359.1
OG0001267	XP_017756008.1	XP_008193924.1, XP_015835758.1, XP_008193926.1
OG0001268	XP_017755474.1, XP_017767124.1	XP_001812645.1
OG0001269	XP_017752630.1, XP_017752629.1	XP_008199240.1
OG0001270	XP_017767444.1, XP_017767443.1	XP_008195264.1
OG0001271	XP_017760538.1	XP_015837418.1
OG0001273	XP_017763892.1	XP_008196928.2, XP_008194333.1, XP_015835670.1
OG0001274	XP_017757450.1	XP_971741.1
OG0001275	XP_017753888.1	XP_015838616.1, XP_008200892.1, XP_015838623.1, XP_008200889.1
OG0001278	XP_017752817.1, XP_017752818.1	XP_968260.1
OG0001279	XP_017758592.1	XP_015833552.1
OG0001280	XP_017757730.1	XP_968053.2, XP_008192425.1
OG0001281	XP_017758893.1, XP_017758894.1	XP_008200663.1
OG0001282	XP_017767547.1	XP_968795.1
OG0001283	XP_017762698.1, XP_017762699.1	XP_008195901.1
OG0001284	XP_017766999.1	XP_015835521.1, XP_008200427.2
OG0001286	XP_017752649.1, XP_017752648.1, XP_017752651.1, XP_017752650.1, XP_017752654.1, XP_017752646.1, XP_017752652.1, XP_017752653.1	XP_973603.2
OG0001288	XP_017756651.1	XP_008195503.1
OG0001289	XP_017754288.1	XP_972155.1
OG0001291	XP_017752866.1	XP_973702.2
OG0001293	XP_017756478.1, XP_017756477.1	XP_967850.1
OG0001294	XP_017761845.1	XP_008190438.1
OG0001295	XP_017753974.1	XP_015837736.1, XP_008199992.1, XP_015837734.1, XP_015837735.1, XP_008197104.1, XP_015838076.1, XP_966433.1
OG0001298	XP_017758815.1	XP_001814199.1
OG0001299	XP_017759829.1, XP_017759828.1	XP_008190539.1
OG0001300	XP_017761048.1	XP_971886.1
OG0001301	XP_017753627.1	XP_971367.2
OG0001302	XP_017765983.1	XP_015839006.1
OG0001303	XP_017761306.1, XP_017761305.1	XP_015833856.1
OG0001304	XP_017765103.1, XP_017765104.1	XP_008201630.1
OG0001305	XP_017763749.1, XP_017763740.1	XP_015834192.1
OG0001306	XP_017767510.1, XP_017767507.1	XP_015835234.1, XP_015835237.1
OG0001307	XP_017765806.1, XP_017755947.1	XP_015835558.1
OG0001308	XP_017762509.1	XP_008200820.1
OG0001310	XP_017755662.1	XP_975420.1
OG0001312	XP_017759522.1, XP_017759523.1	XP_974931.1
OG0001313	XP_017760231.1, XP_017760246.1	XP_974660.1
OG0001314	XP_017759938.1, XP_017759948.1	XP_015833753.1
OG0001315	XP_017757079.1	XP_015836908.1, XP_966473.2
OG0001316	XP_017761141.1	XP_008196392.1
OG0001317	XP_017763687.1	XP_967323.2
OG0001318	XP_017755036.1	XP_008199614.1
OG0001320	XP_017763319.1	XP_008199679.1
OG0001322	XP_017767745.1, XP_017767744.1	XP_008196249.1
OG0001328	XP_017765380.1, XP_017765379.1, XP_017765381.1	XP_969305.1
OG0001329	XP_017765141.1	XP_008190670.1
OG0001330	XP_017760084.1	XP_008195392.1
OG0001331	XP_017761638.1	XP_975415.1
OG0001332	XP_017759266.1	XP_008197848.1
OG0001333	XP_017755779.1	XP_008195720.1, XP_969089.1
OG0001334	XP_017755525.1	XP_015838448.1
OG0001335	XP_017758150.1	XP_008193497.1
OG0001336	XP_017766979.1	XP_001815618.1
OG0001337	XP_017763157.1, XP_017763167.1	XP_970871.1
OG0001338	XP_017760926.1	NP_001139390.1
OG0001339	XP_017752428.1, XP_017752429.1, XP_017752430.1	XP_970397.1
OG0001340	XP_017765534.1, XP_017765533.1	XP_008193660.1, XP_970247.1
OG0001341	XP_017758419.1	XP_008199365.1
OG0001342	XP_017756280.1, XP_017754627.1	XP_008199415.1
OG0001343	XP_017759887.1, XP_017759393.1	XP_015835564.1, XP_008194046.1
OG0001344	XP_017756908.1	XP_967651.3
OG0001345	XP_017757449.1	XP_974634.1
OG0001346	XP_017756311.1	XP_008200257.1
OG0001347	XP_017756778.1	XP_973080.2
OG0001348	XP_017761641.1	XP_008194100.1
OG0001349	XP_017753826.1, XP_017753827.1	XP_008197983.1
OG0001350	XP_017757672.1	XP_015837465.1, XP_015837464.1
OG0001351	XP_017761846.1	XP_015832916.1, XP_971672.1
OG0001352	XP_017756186.1, XP_017756187.1	XP_008199131.1
OG0001353	XP_017759250.1	XP_015833130.1, XP_015833131.1, XP_970090.1
OG0001355	XP_017757783.1	NP_001127921.1, XP_008197034.1
OG0001356	XP_017762245.1, XP_017762244.1	XP_968380.1, NP_001280528.1
OG0001357	XP_017753228.1	XP_008195370.1
OG0001358	XP_017763024.1	XP_008196120.1, XP_008196123.1
OG0001359	XP_017764402.1	XP_972884.1, XP_972109.3
OG0001360	XP_017762696.1	XP_968834.1
OG0001362	XP_017753681.1	XP_015835360.1, XP_008200476.1
OG0001363	XP_017752314.1, XP_017763590.1	NP_001107813.1, XP_008193052.1
OG0001364	XP_017757141.1, XP_017757142.1	XP_008201239.1, NP_001034514.1
OG0001365	XP_017760678.1	XP_971819.1
OG0001366	XP_017762964.1	XP_008195516.1
OG0001366	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1	XP_969992.1
OG0001367	XP_017759984.1	XP_974803.1, XP_008196057.2
OG0001368	XP_017759611.1	XP_968199.1
OG0001369	XP_017763758.1	XP_971568.1, XP_008190885.1, XP_008190887.1, XP_008190886.1, XP_971622.1, XP_008190884.1
OG0001370	XP_017763355.1	XP_008199205.1
OG0001371	XP_017766099.1, XP_017766100.1	XP_974014.1, XP_015835087.1, XP_015835088.1
OG0001372	XP_017755643.1, XP_017755581.1	XP_008194525.1
OG0001373	XP_017764445.1	XP_968404.1, XP_015839616.1
OG0001374	XP_017760626.1	XP_001814181.1
OG0001375	XP_017762914.1, XP_017762913.1	XP_008190523.1
OG0001376	XP_017757954.1	XP_972494.1
OG0001377	XP_017754364.1	XP_008192006.1
OG0001378	XP_017759669.1	XP_974170.1
OG0001379	XP_017764081.1	XP_008200289.1
OG0001380	XP_017762347.1	XP_008198237.1
OG0001381	XP_017763595.1	XP_970624.1, XP_015837364.1, XP_015837357.1
OG0001382	XP_017753653.1, XP_017753654.1	XP_015837790.1, XP_008196501.1, XP_975884.1, XP_008196500.1
OG0001383	XP_017759982.1	XP_008196388.1, XP_015837150.1
OG0001384	XP_017758831.1	XP_974696.2
OG0001385	XP_017758729.1	NP_001280529.1, XP_008200155.1, NP_001280662.1
OG0001386	XP_017760536.1	XP_015836790.1
OG0001387	XP_017762035.1, XP_017762037.1	XP_973997.3
OG0001388	XP_017760732.1	XP_008198472.1, XP_015839126.1
OG0001389	XP_017761960.1	XP_008191705.2, XP_015835153.1, XP_015835175.1
OG0001390	XP_017766560.1	XP_008196746.1
OG0001391	XP_017762560.1	XP_015835294.1
OG0001392	XP_017764296.1, XP_017764293.1	XP_972774.2
OG0001393	XP_017762706.1	NP_001092812.1, XP_008191439.1
OG0001394	XP_017763507.1	XP_974474.1
OG0001395	XP_017766691.1, XP_017766687.1	XP_008197875.1
OG0001396	XP_017766073.1	XP_001807060.1
OG0001397	XP_017759609.1	XP_015840901.1, XP_015840903.1
OG0001398	XP_017757284.1, XP_017757283.1	XP_008199101.1, XP_974850.1
OG0001399	XP_017754171.1, XP_017754172.1	XP_015833723.1
OG0001400	XP_017760497.1	XP_008192848.1
OG0001401	XP_017753798.1	XP_966394.2
OG0001402	XP_017767447.1	XP_973256.1
OG0001403	XP_017765652.1	XP_015834718.1
OG0001404	XP_017760903.1	XP_975540.1, XP_015837367.1
OG0001405	XP_017766949.1	XP_970709.2
OG0001406	XP_017761098.1	XP_001808764.1
OG0001408	XP_017759170.1	XP_973448.1
OG0001409	XP_017766302.1, XP_017766308.1, XP_017766305.1	XP_008201593.1
OG0001410	XP_017765486.1, XP_017755897.1	XP_015837864.1, NP_001280533.1
OG0001414	XP_017763368.1, XP_017763367.1, XP_017763366.1	XP_008192642.1, XP_008192641.1, XP_974537.1
OG0001415	XP_017753459.1	XP_015834284.1, XP_008197482.1
OG0001416	XP_017756217.1, XP_017760198.1	XP_008194088.1
OG0001417	XP_017758796.1	XP_973125.1
OG0001418	XP_017764513.1	XP_008191844.1
OG0001419	XP_017763375.1	XP_015838768.1, XP_015838769.1
OG0001420	XP_017762536.1	XP_015836480.1, XP_968142.1
OG0001421	XP_017758330.1, XP_017758328.1	XP_974319.1
OG0001422	XP_017754408.1, XP_017754409.1	XP_971902.1
OG0001423	XP_017766027.1	XP_976493.2
OG0001424	XP_017761320.1	XP_973684.1
OG0001425	XP_017754057.1	XP_015838773.1
OG0001426	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1	XP_015836693.1
OG0001427	XP_017761887.1	XP_008200281.1
OG0001428	XP_017755325.1, XP_017755328.1, XP_017755327.1	XP_972790.1
OG0001433	XP_017758980.1, XP_017758981.1	XP_001810287.1
OG0001434	XP_017754540.1	XP_015838174.1
OG0001436	XP_017759912.1	XP_967350.1, XP_967269.1, XP_008195569.1, XP_008195564.1, XP_008195566.1
OG0001437	XP_017761418.1	XP_974738.1
OG0001438	XP_017759626.1	XP_015835335.1, XP_015835336.1
OG0001439	XP_017763370.1	XP_975295.1
OG0001440	XP_017752342.1	XP_969806.1
OG0001441	XP_017764328.1	XP_015838362.1, XP_015838361.1, XP_972088.1
OG0001444	XP_017763241.1, XP_017755299.1	XP_008199773.1
OG0001451	XP_017754819.1, XP_017754818.1, XP_017754817.1	XP_008198505.1
OG0001453	XP_017753197.1, XP_017753196.1	XP_008192135.1, XP_974780.1
OG0001455	XP_017763637.1	XP_008195504.1, XP_008195463.1
OG0001456	XP_017759747.1	XP_967649.1
OG0001457	XP_017759608.1	XP_972313.1
OG0001458	XP_017760601.1	XP_969998.1
OG0001459	XP_017753350.1	XP_008197038.1, XP_971056.1
OG0001460	XP_017755991.1	XP_968481.1
OG0001461	XP_017757457.1	XP_008195927.1
OG0001462	XP_017759124.1, XP_017759121.1	XP_969537.1
OG0001463	XP_017754385.1	XP_975612.1
OG0001464	XP_017760160.1	XP_008192049.1, XP_008192050.1
OG0001465	XP_017759749.1	XP_970371.1
OG0001466	XP_017756736.1, XP_017756880.1	XP_971808.1
OG0001467	XP_017765138.1	XP_008190991.1
OG0001468	XP_017764233.1, XP_017764238.1	XP_969120.1, NP_001164201.1
OG0001469	XP_017761902.1	XP_015835402.1
OG0001470	XP_017759624.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	XP_017755440.1, XP_017755439.1	XP_966863.1
OG0001472	XP_017766187.1	XP_974027.1
OG0001473	XP_017756349.1	XP_969761.2
OG0001474	XP_017767410.1	XP_008197149.1
OG0001475	XP_017754101.1	XP_008194014.1
OG0001476	XP_017752906.1	XP_008196197.1, XP_008196196.1, XP_015837812.1
OG0001477	XP_017766251.1, XP_017766252.1	XP_008193717.1
OG0001478	XP_017753140.1	XP_971848.1
OG0001479	XP_017762331.1	XP_015835497.1
OG0001480	XP_017761101.1	XP_968112.1, XP_015840540.1
OG0001481	XP_017757923.1, XP_017757922.1, XP_017757921.1	XP_008192172.1, XP_008192171.1
OG0001482	XP_017764469.1	XP_008191953.1, XP_008191952.1
OG0001483	XP_017764678.1	XP_015832869.1
OG0001484	XP_017760649.1	XP_008197131.1
OG0001485	XP_017752870.1	XP_975329.1
OG0001486	XP_017754790.1	XP_008197650.1, NP_001280513.1
OG0001487	XP_017766230.1	XP_015833845.1
OG0001488	XP_017758921.1	XP_015834903.1
OG0001491	XP_017760578.1, XP_017760579.1	XP_970708.2
OG0001492	XP_017764410.1	XP_973907.1
OG0001493	XP_017767529.1, XP_017767531.1	XP_001812538.1, XP_008194282.1
OG0001494	XP_017759665.1, XP_017761795.1	XP_975427.2
OG0001495	XP_017767625.1	XP_972502.1, XP_975469.1
OG0001496	XP_017764506.1	XP_008191879.1, XP_008191880.1
OG0001497	XP_017763430.1	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1
OG0001498	XP_017760266.1	XP_008200217.1, XP_969950.2
OG0001499	XP_017753427.1, XP_017764078.1	XP_974456.3
OG0001500	XP_017755043.1	XP_015835209.1, NP_001280507.1
OG0001501	XP_017762834.1, XP_017762836.1	XP_015833023.1
OG0001502	XP_017762806.1	XP_015833027.1
OG0001503	XP_017760737.1, XP_017760736.1	XP_971310.1, XP_008195559.1
OG0001505	XP_017755310.1	XP_015839664.1, XP_970228.2, XP_015838048.1
OG0001506	XP_017759286.1	XP_973081.1
OG0001507	XP_017758151.1	XP_008197549.1, XP_970874.1
OG0001508	XP_017759047.1	XP_008201537.1
OG0001509	XP_017759499.1	XP_008196908.1
OG0001510	XP_017761959.1, XP_017762325.1	XP_015838190.1
OG0001511	XP_017762814.1	XP_970235.1
OG0001512	XP_017755103.1, XP_017755081.1	XP_015838487.1
OG0001513	XP_017755577.1	XP_008195017.1
OG0001514	XP_017764218.1, XP_017764217.1	XP_968217.2
OG0001515	XP_017753282.1	XP_967539.1
OG0001516	XP_017763820.1	XP_015836356.1
