Orthogroup	Bombyx_mori	Ceratina_calcarata
OG0001743	XP_012544721.1	XP_017891851.1, XP_026675172.1
OG0001744	XP_037876498.1	XP_026668408.1, XP_017878130.1
OG0001745	XP_037867651.1, XP_037867652.1	XP_017881314.1, XP_017881315.1, XP_017881316.1, XP_017881317.1
OG0001746	XP_004928647.1	XP_017884117.1
OG0001748	XP_037872366.1, XP_021205486.1	XP_017879238.1, XP_017879221.1
OG0001749	XP_037868039.1	XP_026673755.1, XP_026673765.1
OG0001750	XP_004923007.1	XP_017892823.1, XP_017892824.1
OG0001751	XP_004924269.1	XP_026674532.1, XP_026674542.1, XP_017889998.1, XP_017889988.1
OG0001752	XP_004925235.2	XP_017885918.1
OG0001753	XP_037875699.1	XP_017891501.1
OG0001754	NP_001296479.1	XP_026669134.1
OG0001755	XP_012547839.1	XP_017890270.1
OG0001756	XP_012552706.1, XP_004922860.1	XP_026673089.1
OG0001758	XP_004923350.1	XP_017876414.1, XP_026667557.1, XP_017876411.1, XP_017876412.1, XP_017876413.1, XP_017876410.1
OG0001759	XP_004922730.1	XP_017890733.1
OG0001760	XP_021203209.1, XP_037875161.1	XP_017887562.1
OG0001762	XP_004931903.1	XP_017876531.1
OG0001763	XP_037870842.1, XP_004926374.1	XP_017878480.1
OG0001764	XP_004924410.1, XP_004924409.1	XP_017883005.2
OG0001765	XP_004931914.1, XP_012550765.1	XP_017888025.1, XP_017883317.1
OG0001766	XP_021203029.1, XP_021203032.1, XP_004925229.1	XP_017887354.1, XP_017887352.1, XP_017887351.1
OG0001767	XP_004929359.3	XP_017879592.1
OG0001768	XP_012545642.3	XP_026670407.1
OG0001769	XP_004927805.1	XP_026667520.1
OG0001774	NP_001091826.1	XP_017883463.1, XP_026671015.1
OG0001775	NP_001037464.2, XP_012549720.1	XP_017885677.1
OG0001776	XP_021203566.1	XP_017887967.1
OG0001777	NP_001037524.1, XP_021204674.1	XP_017875660.1, XP_017875659.1
OG0001778	NP_001037048.1	XP_026674325.1
OG0001779	NP_001040379.1	XP_017876550.1
OG0001780	XP_004924435.2	XP_026671882.1, XP_017884824.1
OG0001781	NP_001166823.1	XP_017876214.2
OG0001782	XP_004927858.1	XP_017880456.1
OG0001783	XP_004931936.2	XP_017887554.1
OG0001784	XP_004922147.1, XP_012548350.1, XP_021204677.1	XP_017886950.1
OG0001785	XP_004925259.1	XP_017877910.1
OG0001786	NP_001037223.1, XP_037870668.1	XP_017886515.1
OG0001787	XP_004932937.1	XP_017883925.1
OG0001788	XP_004926494.1	XP_017879798.1, XP_017888608.1
OG0001789	XP_004924543.1	XP_017890156.1, XP_017890155.1
OG0001790	XP_004927254.1	XP_017891487.1
OG0001791	NP_001040447.1	XP_026675103.1, XP_017890893.1
OG0001792	XP_037867676.1	XP_017879902.1
OG0001793	NP_001040374.1	XP_017893036.1
OG0001794	XP_004927813.2	XP_026675104.1, XP_026675098.1
OG0001795	XP_012544831.3	XP_017890067.1
OG0001796	XP_004931911.2	XP_026672728.1
OG0001797	NP_001093087.1	XP_017879490.1
OG0001799	NP_001166191.1	XP_017878056.1
OG0001800	XP_037867731.1	XP_026667309.1, XP_026667307.1, XP_026667308.1
OG0001801	XP_004927251.1	XP_017875183.1
OG0001802	XP_037870920.1, XP_012547121.1, NP_001040267.1	XP_017879396.1
OG0001803	XP_004925344.1	XP_017877860.1
OG0001804	XP_012551475.1	XP_017890089.1
OG0001805	XP_021206263.1, XP_037866965.1	XP_017888091.1, XP_017888090.1
OG0001806	XP_004930470.2	XP_017883265.1
OG0001807	XP_037873557.1	XP_026669145.1, XP_026669146.1
OG0001809	XP_004929394.2	XP_017884416.1
OG0001810	XP_012550807.1	XP_017877358.1
OG0001811	XP_037871981.1	XP_017880727.1
OG0001812	NP_001037207.1	XP_017882349.1
OG0001813	XP_004929628.1	XP_017880085.1
OG0001814	NP_001040328.1	XP_026674677.1, XP_026674676.1, XP_026674678.1, XP_017890858.1
OG0001815	NP_001091823.1, XP_037876930.1	XP_017882293.1
OG0001816	XP_012545172.2	XP_026672224.1
OG0001817	XP_004931715.1, XP_021207399.2	XP_017880191.1
OG0001818	XP_004928925.2	XP_017893655.1, XP_017893654.1
OG0001819	XP_012545306.2	XP_017877887.1
OG0001820	XP_004921850.1	XP_017885739.1
OG0001821	XP_037867951.1, XP_037877404.1	XP_017875290.1
OG0001823	XP_037875756.1	XP_026668946.1, XP_026668947.1
OG0001824	XP_037868084.1, XP_037868075.1	XP_017884208.1
OG0001825	XP_037873173.1	XP_017889283.1
OG0001826	XP_012549145.2, NP_001243729.1	XP_017883619.2, XP_017885951.1
OG0001827	XP_037876392.1, XP_037876387.1	XP_017890147.1
OG0001828	XP_012547992.1	XP_017880424.1
OG0001829	NP_001040363.1	XP_017885431.1, XP_017885432.1
OG0001830	XP_012544507.1	XP_017891758.1
OG0001831	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1	XP_026670464.1
OG0001832	XP_012550340.1	XP_017889885.1, XP_017889884.1
OG0001833	XP_021202831.1	XP_026672327.1
OG0001834	XP_021205575.2	XP_017878943.1, XP_017878954.1
OG0001835	XP_004933227.2	XP_017880637.1
OG0001836	XP_037869491.1, XP_037869486.1	XP_026673377.1, XP_026673386.1
OG0001838	NP_001040461.1	XP_017875745.1
OG0001839	XP_037867245.1, XP_004930061.1	XP_017885315.1
OG0001840	XP_004924490.1	XP_017876404.1
OG0001841	XP_037875131.1	XP_017883556.1
OG0001842	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1	XP_017876780.1
OG0001843	XP_004923065.1	XP_026672571.1, XP_026672574.1, XP_017886650.1, XP_017886658.1, XP_017886643.1, XP_017886627.1
OG0001844	XP_037868430.1	XP_017884568.1, XP_017884566.1
OG0001845	NP_001165388.1, XP_037869302.1, XP_004929656.1	XP_017890828.1
OG0001846	NP_001296512.1	XP_017883163.1, XP_026670872.1
OG0001847	XP_004924718.1	XP_026669315.1
OG0001848	XP_037868356.1, XP_037868357.1	XP_017885227.1
OG0001850	XP_012546560.2, XP_004927043.1	XP_017884534.1
OG0001851	XP_021204066.2	XP_026669346.1, XP_017880254.1
OG0001852	XP_004925133.2	XP_017890540.1, XP_017890539.1
OG0001853	XP_037877103.1	XP_026674880.1
OG0001854	XP_037876316.1, XP_037876317.1, XP_004921880.1	XP_026672651.1
OG0001855	NP_001165386.1	XP_017888380.2, XP_017884097.2
OG0001856	XP_037875737.1, XP_021202011.1	XP_026672078.1
OG0001857	XP_004922477.1	XP_026670079.1, XP_026670082.1
OG0001858	XP_004928683.1	XP_017893549.1
OG0001859	XP_012552420.3	XP_017883489.1
OG0001861	NP_001036938.1	XP_017888998.1
OG0001862	XP_012546765.1	XP_017888246.1, XP_017888242.1
OG0001863	XP_004931917.1	XP_017883441.1, XP_026671018.1
OG0001864	XP_037876894.1	XP_026673299.1
OG0001865	XP_012545585.1, NP_001037554.1	XP_017885975.1, XP_017885974.1
OG0001866	XP_004923469.1	XP_017884967.1
OG0001867	XP_037876257.1	XP_017875377.1
OG0001868	XP_037873044.1	XP_017878388.1
OG0001869	NP_001040327.1	XP_017889511.1
OG0001870	XP_004929677.1	XP_017884759.1
OG0001871	XP_012547234.2, XP_037871093.1	XP_017891267.2
OG0001872	XP_004922404.2	XP_026671514.1
OG0001873	XP_004931774.2	XP_017880300.1
OG0001874	XP_037871173.1	XP_017883297.1
OG0001875	XP_012553311.1	XP_017878108.1, XP_026668425.1
OG0001876	XP_012549181.1	XP_017886614.1
OG0001878	XP_004922231.2	XP_017877349.1
OG0001879	XP_004929391.1	XP_017887133.1, XP_017887132.1
OG0001880	XP_012551963.1	XP_017885483.1
OG0001881	XP_037870422.1	XP_017876945.1
OG0001882	XP_037871054.1, XP_037871051.1	XP_026668889.1
OG0001883	XP_004931525.1	XP_017887910.1
OG0001884	XP_037877616.1, XP_037877615.1, XP_037877613.1, XP_037877625.1	XP_017877175.1, XP_017877177.1
OG0001885	XP_037876616.1, XP_037876617.1	XP_017891454.1, XP_017891508.1
OG0001886	XP_012545706.2	XP_017893606.1
OG0001887	XP_037870239.1	XP_017881736.1
OG0001888	XP_021202882.2, XP_012544871.2	XP_017884489.2, XP_026671680.1
OG0001889	XP_037869833.1	XP_017885997.1
OG0001890	XP_004932898.1, XP_004928637.1	XP_017884817.1
OG0001891	XP_004923196.2	XP_017883142.1
OG0001893	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1	XP_017876711.1
OG0001894	XP_037867673.1, XP_004926898.1	XP_017887642.1
OG0001895	XP_037873123.1	XP_017884902.1
OG0001896	XP_021203417.2	XP_026672607.1
OG0001897	XP_004930778.1, XP_004930779.1	XP_017888610.1, XP_017888842.1
OG0001898	XP_004933569.2, XP_012553329.2	XP_026673592.1, XP_017886548.2, XP_017881868.2, XP_017886017.1
OG0001899	NP_001243914.1	XP_026674552.1, XP_026674553.1, XP_026674551.1
OG0001900	XP_004922569.1	XP_026666940.1, XP_026666939.1
OG0001901	XP_037876242.1	XP_026668656.1
OG0001902	XP_012544997.2	XP_017889593.1, XP_026674165.1
OG0001903	XP_004928575.2	XP_017892748.1
OG0001904	XP_037866807.1	XP_026667559.1
OG0001905	XP_012544944.2	XP_017883039.2, XP_026670868.1
OG0001906	XP_037873835.1	XP_017881305.1
OG0001907	XP_037871977.1	XP_026668158.1, XP_017877554.1
OG0001908	NP_001166831.1	XP_017893011.1, XP_026666522.1
OG0001909	XP_021209035.1	XP_017879619.1
OG0001910	XP_004931433.1	XP_017876873.1
OG0001912	XP_037871747.1	XP_026669658.1, XP_017880960.1
OG0001913	XP_037871630.1	XP_017886285.1
OG0001914	XP_004933679.2, XP_004933676.1	XP_026671484.1
OG0001915	XP_004925729.1	XP_017890100.1
OG0001916	NP_001036911.1, XP_012550247.3	XP_017890285.1, XP_017890287.1
OG0001917	XP_004923160.1	XP_017889918.1, XP_017889927.1
OG0001918	XP_037877189.1	XP_026670606.1
OG0001919	XP_037873437.1, XP_037873436.1	XP_026672019.1, XP_017887250.1, XP_017875887.1, XP_026672915.1
OG0001920	XP_037873063.1	XP_017883798.1
OG0001921	XP_037868287.1	XP_017875101.1
OG0001922	XP_012550597.1	XP_017886128.1
OG0001923	NP_001157948.1, XP_037869037.1	XP_017884129.1
OG0001924	XP_004930019.1	XP_026673201.1, XP_017875408.1
OG0001925	NP_001243987.1, XP_004928073.3	XP_026675549.1
OG0001926	XP_004929255.1, XP_004929254.1	XP_017888873.1, XP_026673739.1
OG0001927	XP_037873449.1, XP_037873450.1	XP_017886910.1, XP_017886911.1
OG0001928	XP_021207183.2, XP_037869913.1	XP_017876315.2, XP_026668870.1
OG0001929	XP_004932386.2	XP_017886560.1
OG0001930	XP_012546096.2	XP_017876714.1, XP_026667584.1, XP_026667585.1, XP_026667586.1
OG0001931	XP_004923112.1	XP_017886624.1
OG0001933	NP_001138793.1, XP_037876452.1	XP_017887732.1, XP_017887731.1, XP_017881558.1
OG0001934	XP_012548268.1	XP_017880849.1
OG0001935	XP_012551363.1, XP_004932653.1	XP_017881018.1
OG0001936	XP_021207986.1, NP_001124345.1, NP_001091791.1	XP_026673733.1
OG0001937	NP_001136084.1, XP_037874195.1	XP_026673472.1
OG0001938	XP_004921707.1, XP_004921760.1	XP_017889913.1
OG0001939	XP_012546950.1, NP_001093283.1	XP_017876213.1
OG0001940	XP_021203465.1, XP_004925890.1, XP_004925891.1	XP_017887756.1
OG0001941	XP_012549425.2, XP_012549428.2	XP_017893435.1
OG0001942	XP_004926240.1	XP_017886825.1
OG0001943	XP_004923590.1	XP_017890974.1
OG0001944	NP_001037504.1	XP_017881024.1
OG0001945	XP_012547652.2	XP_017878979.1
OG0001946	XP_037869327.1	XP_026668534.1, XP_017878432.1
OG0001947	XP_037867944.1, XP_004924339.1	XP_026667362.1
OG0001949	XP_037870326.1, XP_004926920.1	XP_017880042.1, XP_017880041.1
OG0001951	XP_037874958.1	XP_017879426.1
OG0001952	XP_037866697.1, XP_037866709.1	XP_026673636.1
OG0001953	XP_021207789.1, XP_004932490.1	XP_017887489.1
OG0001955	XP_012550006.2	XP_017891396.1
OG0001956	XP_012547428.2, XP_037870740.1, XP_004927982.1, XP_004927809.1	XP_017881280.1, XP_017881281.1, XP_017881279.1
OG0001957	XP_037869310.1	XP_026670541.1
OG0001959	XP_004921844.1	XP_017890158.1
OG0001960	XP_037871193.1	XP_017888036.1
OG0001961	XP_004930929.1	XP_017886094.1
OG0001962	XP_004933390.1, XP_004928253.1, XP_004928254.1, XP_004933387.1	XP_017890294.1
OG0001963	XP_037871090.1, XP_037871089.1	XP_017889444.1
OG0001964	XP_004921804.1	XP_017883493.1
OG0001965	XP_004926552.1	XP_026671966.1
OG0001966	XP_012551994.1	XP_026671863.1, XP_026671862.1, XP_026671861.1, XP_017884638.1
OG0001967	XP_012544203.1	XP_017879863.1
OG0001968	XP_021203345.1, XP_021203346.1, XP_037867333.1	XP_017878165.1, XP_026668401.1, XP_026668400.1
OG0001969	NP_001243937.1, XP_021204322.1	XP_017881126.1, XP_017881124.1
OG0001970	XP_037872569.1, XP_037872567.1, XP_037872568.1, XP_037872564.1, XP_037872573.1	XP_017875520.1
OG0001973	XP_021207551.2, XP_021207548.2	XP_026666764.1, XP_026666763.1
OG0001974	XP_004928351.1	XP_017884057.1
OG0001975	XP_021202025.1	XP_017884118.1, XP_017884127.1
OG0001976	XP_004924205.1, XP_037869993.1	XP_026673045.1, XP_017887717.1
OG0001981	NP_001166741.1, NP_001166740.1, NP_001166739.1	XP_026667470.1
OG0001983	XP_021202123.2, XP_021202124.2	XP_026674561.1, XP_026674560.1, XP_026674559.1, XP_026674557.1, XP_026674558.1
OG0001987	XP_012552962.1, NP_001040339.1	XP_017890298.1
OG0001988	XP_021204462.1	XP_017885249.1
OG0001989	XP_037869257.1	XP_017886188.1
OG0001990	XP_004932474.1	XP_017875077.1
OG0001991	NP_001040421.1	XP_017878347.1
OG0001992	NP_001040467.1, XP_037876129.1, XP_037871536.1, NP_001040182.1	XP_017885977.1, XP_026672792.1
OG0001993	XP_012544193.2, XP_037873417.1	XP_026673041.1, XP_026673040.1, XP_017887438.1, XP_017887437.1
OG0001994	XP_004925779.1	XP_017886719.1
OG0001995	XP_004927930.1	XP_017877362.1
OG0001996	XP_004922475.1, XP_004922474.1	XP_017880304.1
OG0001997	NP_001170881.1	XP_017891491.2
OG0001998	NP_001274329.1	XP_017888704.1
OG0001999	NP_001040206.1, XP_037873068.1	XP_017890859.1
OG0002000	XP_037873570.1	XP_017891282.1
OG0002001	XP_004924194.1	XP_017878868.1
OG0002002	NP_001037347.1	XP_017886112.1, XP_017886104.1
OG0002003	XP_004926303.1	XP_017888039.1, XP_017888038.1
OG0002004	XP_012549677.1	XP_017877968.1
OG0002005	NP_001040410.1	XP_017887035.1, XP_017888579.1
OG0002006	XP_004926826.1, NP_001037199.1	XP_017886992.1, XP_017893561.1, XP_017893559.1
OG0002007	XP_004931316.2, XP_004931314.2, XP_004931315.2, XP_004931313.2, XP_004931312.2	XP_026674824.1, XP_017891049.1, XP_026674823.1
OG0002009	XP_004924671.1	XP_026675136.1, XP_017891803.1
OG0002010	XP_004922081.1	XP_026675364.1
OG0002011	XP_004930524.2	XP_026675218.1, XP_026675219.1, XP_017891861.1
OG0002012	XP_021204828.2, XP_037870936.1	XP_026671404.1, XP_026671401.1, XP_026671402.1
OG0002013	XP_037872480.1	XP_017893289.1
OG0002014	XP_012545551.1	XP_017891930.1, XP_017891928.1
OG0002015	XP_012548426.3	XP_017883532.1, XP_026671048.1
OG0002016	XP_037875068.1	XP_017876906.1
OG0002017	XP_004932704.2	XP_017886294.2
OG0002018	XP_004922629.1	XP_017893660.1
OG0002019	NP_001040134.1	XP_017890477.1
OG0002020	XP_021201873.2	XP_026672188.1, XP_017885718.1
OG0002022	XP_004926993.1	XP_017876270.1
OG0002023	XP_012544680.3	XP_017891834.1
OG0002024	XP_004930957.1, XP_012549934.1, XP_012549935.1	XP_017876479.1
OG0002025	XP_012549681.1, XP_004930556.1, XP_037867411.1, XP_021206534.1, XP_021206535.1	XP_017885349.1
OG0002027	XP_012551929.1, NP_001093281.1	XP_017886780.1
OG0002028	XP_037871856.1	XP_026672345.1
OG0002029	XP_037874935.1	XP_017890013.1
OG0002030	XP_012549764.1	XP_017878143.1
OG0002032	XP_037867146.1	XP_017890564.1
OG0002033	XP_012551301.1	XP_017878320.1, XP_026674180.1
OG0002034	XP_004932097.1, XP_037868059.1, XP_004931283.1, XP_021207118.1	XP_026674815.1
OG0002036	XP_004930803.2	XP_017884178.1, XP_026671415.1
OG0002037	XP_004928198.1	XP_017891013.1, XP_017875775.1
OG0002038	NP_001182383.1	XP_026669974.1
OG0002039	XP_004933181.2	XP_017884989.1, XP_026671619.1
OG0002040	XP_004924945.1	XP_026673371.1, XP_026673370.1, XP_026673373.1, XP_026673372.1, XP_017888057.1
OG0002041	XP_021205165.1	XP_017875367.1, XP_017875368.1
OG0002042	XP_004922505.2	XP_017878261.1
OG0002043	NP_001040180.1	XP_017893182.1
OG0002044	XP_021208120.1, XP_021208121.1	XP_017878169.1, XP_026668414.1
OG0002045	NP_001138801.1, XP_012548529.1	XP_017888010.1
OG0002047	XP_004931117.1, XP_021206910.1	XP_017891497.1
OG0002048	XP_037867513.1	XP_017885326.1
OG0002049	XP_004923495.1, XP_037876981.1	XP_026672593.1, XP_017875559.1
OG0002050	NP_001266391.1	XP_026673243.1, XP_026673242.1, XP_026673241.1
OG0002051	XP_037873901.1	XP_017889941.1
OG0002052	XP_012552016.2	XP_017892142.2, XP_017889243.1
OG0002053	XP_012543792.2, XP_012546073.2, XP_004922271.1	XP_017875014.1, XP_017875013.1
OG0002054	XP_012553242.2, XP_037877277.1	XP_017883371.1
OG0002055	XP_037867991.1	XP_017881945.1
OG0002056	XP_037867474.1	XP_017878350.1, XP_026668520.1, XP_026668521.1
OG0002057	XP_004923050.1	XP_017884426.1
OG0002058	XP_004930906.1	XP_017882011.1
OG0002059	XP_012550348.3	XP_017892160.1
OG0002060	NP_001296560.1, XP_037875545.1	XP_017885552.1, XP_017885551.2
OG0002061	XP_004931741.1	XP_017886520.1
OG0002062	XP_004931544.1, XP_021207193.1, XP_021207194.1	XP_017885759.1
OG0002063	XP_004924668.1	XP_017882020.1
OG0002064	XP_012551004.1, XP_004932099.1	XP_026672432.1, XP_026671917.1
OG0002065	XP_037869831.1	XP_026671607.1, XP_026671609.1, XP_026671610.1, XP_026671611.1
OG0002066	XP_004926099.1, XP_012545783.1	XP_026674203.1
OG0002067	XP_012550773.1	XP_026671161.1
OG0002068	XP_004932200.1, XP_004932199.1, XP_004932201.1, XP_021207663.1, XP_004932198.1	XP_026667546.1
OG0002069	XP_037877729.1	XP_017892203.1
OG0002070	XP_004928991.1	XP_017884253.1
OG0002071	NP_001040377.1	XP_017892416.1
OG0002072	XP_004927177.1	XP_017875624.1
OG0002073	XP_004929232.1	XP_026673734.1
OG0002074	NP_001166609.1, XP_021202338.1	XP_026673939.1, XP_017886279.1
OG0002075	NP_001037484.1, XP_021207137.1, NP_001037552.1	XP_026671085.1
OG0002076	NP_001108113.1	XP_017877638.1
OG0002077	XP_021206397.2, XP_021206396.2, XP_021206398.2, XP_021206395.2	XP_017892099.1
OG0002078	XP_004930914.1, XP_012550072.1	XP_017878624.1
OG0002079	XP_004929857.1, XP_021206087.1	XP_017893041.1
OG0002080	XP_004929715.1	XP_026669630.1
OG0002081	NP_001037658.1, XP_012548085.1	XP_017880506.1, XP_017893083.1
OG0002082	XP_004922686.2	XP_017889177.1
OG0002083	XP_037870148.1, XP_037877548.1	XP_017876539.1, XP_017876538.1
OG0002085	XP_037872129.1, NP_001040139.1	XP_017877119.1
OG0002086	XP_012549660.1	XP_017882082.1
OG0002087	XP_004931292.1, XP_004931291.1, XP_012550366.1	XP_017887109.1
OG0002088	NP_001243927.1, XP_012551057.1	XP_017886605.1
OG0002089	XP_012544857.1	XP_017884942.1
OG0002090	XP_004925377.2	XP_017878972.1
OG0002091	XP_004923972.2	XP_017883418.1, XP_026672703.1, XP_017883332.1
OG0002092	XP_004924772.1, XP_012544590.1, XP_037874717.1	XP_026671118.1, XP_017883628.1, XP_026671119.1
OG0002093	XP_004922680.1	XP_017891490.1
OG0002094	XP_037869903.1, XP_037869902.1	XP_017888630.1
OG0002095	XP_004921623.1	XP_017881949.1, XP_017881950.1, XP_026674939.1
OG0002096	XP_004933673.2	XP_017877504.1
OG0002097	XP_021205473.1	XP_017889929.1
OG0002098	XP_012548484.1, XP_012548483.1, XP_004929181.1, XP_004929182.1	XP_017885645.1, XP_017890408.1
OG0002099	XP_021203330.1	XP_026669830.1
OG0002100	NP_001040519.1	XP_017881312.1
OG0002101	XP_037871396.1, XP_021208873.1	XP_017892638.1, XP_026675506.1
OG0002102	XP_004921841.2, XP_037876170.1	XP_017878352.1
OG0002103	XP_004926638.1	XP_017885153.1
OG0002104	XP_037876302.1	XP_017877819.1
OG0002105	XP_012543810.1, NP_001189461.1	XP_017892625.1
OG0002106	XP_004930986.1, XP_021206840.1	XP_017893173.1
OG0002107	XP_037873841.1, XP_037873840.1	XP_026670813.1, XP_017891004.2, XP_017883935.1
OG0002108	XP_004932655.1, XP_037875233.1, XP_037875234.1	XP_026673953.1, XP_017889773.1
OG0002109	XP_037875089.1	XP_026674603.1, XP_017890661.1
OG0002110	XP_037869794.1	XP_017893177.1, XP_026666642.1
OG0002111	XP_012545601.1, XP_037877486.1	XP_017883807.1
OG0002113	XP_037873020.1, NP_001037186.1	XP_017881173.1
OG0002114	XP_004927474.1	XP_017879876.1
OG0002115	XP_004927963.1	XP_017886059.1
OG0002116	XP_037870955.1	XP_026672913.1
OG0002117	XP_004929507.1	XP_017893648.1, XP_017893649.1, XP_026666836.1
OG0002118	XP_004932934.1, XP_021208083.1	XP_026669671.1, XP_017880801.1
OG0002119	XP_012551451.2	XP_026675516.1
OG0002120	XP_037866469.1	XP_017886274.1
OG0002121	XP_004924530.2, XP_004924528.2	XP_017883582.1
OG0002122	XP_021202521.1	XP_026668467.1
OG0002124	XP_037874683.1, XP_021203890.2	XP_017883699.1
OG0002125	XP_004927987.4	XP_017883372.1
OG0002126	XP_004927506.1, XP_004925662.1	XP_017882977.1
OG0002127	XP_037876861.1	XP_026675056.1, XP_026675063.1, XP_026675067.1, XP_017890954.1
OG0002128	XP_021204759.1	XP_017879066.1
OG0002129	XP_037871920.1, XP_037871918.1, XP_037871919.1, XP_037871917.1, XP_037871916.1	XP_017892713.1, XP_026675591.1, XP_026675590.1
OG0002130	XP_004922992.1, XP_037871765.1	XP_026670811.1
OG0002131	XP_037875416.1, XP_037875405.1	XP_017889991.1, XP_017889986.1
OG0002132	NP_001106740.1, XP_037877278.1	XP_026671695.1
OG0002134	XP_021203407.2	XP_017890874.1
OG0002136	XP_037871770.1	XP_026668583.1, XP_017878512.1
OG0002137	XP_004925836.2	XP_017879460.1
OG0002138	NP_001040192.1	XP_017889415.1, XP_026673960.1
OG0002139	XP_021209062.1	XP_017882001.1
OG0002140	XP_037868592.1	XP_017878294.1
OG0002141	XP_021201826.1	XP_017883216.1, XP_017883220.1
OG0002142	XP_004925884.2, XP_004925883.1	XP_026673269.1, XP_017887897.1
OG0002143	NP_001091797.1, XP_012545497.2	XP_017878298.1
OG0002144	NP_001182629.1, XP_021205972.2, NP_001093294.1, NP_001182630.1, XP_037873767.1	XP_026673213.1
OG0002145	XP_012548441.2	XP_017889115.1
OG0002146	XP_037866665.1	XP_017888376.2, XP_017888444.1
OG0002147	XP_004930315.1	XP_017891522.1, XP_017891506.1, XP_017891513.1
OG0002148	XP_021204958.2	XP_017880591.1
OG0002149	XP_021206472.1	XP_026671717.1, XP_017884765.1
OG0002150	XP_021207716.2	XP_026669274.1
OG0002151	XP_037869116.1	XP_026672626.1
OG0002152	XP_004932302.1	XP_017890934.1
OG0002153	NP_001191248.1, XP_037875040.1	XP_026668823.1
OG0002154	XP_037873127.1	XP_017892011.1
OG0002155	XP_037867343.1, XP_037867335.1	XP_017885332.1
OG0002156	XP_037869025.1	XP_017886581.1, XP_017886580.1
OG0002157	XP_004929801.1	XP_017887658.2
OG0002158	XP_004932283.2	XP_026674093.1
OG0002159	XP_004931939.2	XP_017882593.1, XP_026670619.1
OG0002161	XP_037868641.1, XP_004931255.1	XP_017882029.1
OG0002162	XP_012544436.1, XP_037876284.1, XP_004924564.2, XP_012544440.1, XP_004924568.2	XP_017883546.1
OG0002163	XP_037876040.1	XP_026672389.1
OG0002164	XP_021207817.2	XP_017888104.1
OG0002165	XP_037876988.1, NP_001244265.1	XP_026672279.1
OG0002166	XP_021207080.1	XP_026667715.1
OG0002167	XP_004932543.1	XP_017892464.1, XP_017892467.1
OG0002168	XP_037870805.1	XP_017884203.1
OG0002169	XP_012550913.2	XP_017877350.1
OG0002170	XP_012547630.1, XP_004928213.1	XP_026675300.1
OG0002171	XP_037866870.1	XP_017891947.1
OG0002172	XP_037877723.1	XP_017879638.1
OG0002173	XP_037869944.1, XP_037869936.1, XP_037869943.1	XP_026672774.1
OG0002174	XP_004929718.1, XP_004929719.1	XP_017889208.1
OG0002175	XP_037874545.1, XP_037874547.1	XP_017890278.1
OG0002177	XP_037875253.1	XP_026668953.1
OG0002178	XP_037871675.1	XP_017876613.1, XP_017876610.1
OG0002179	XP_037870128.1	XP_026674673.1
OG0002180	XP_012551981.1, XP_021208412.1	XP_017889057.1
OG0002181	XP_037869458.1, XP_037869449.1	XP_017878524.1
OG0002182	XP_004934376.1	XP_026671410.1
OG0002183	XP_037868365.1	XP_017883007.2
OG0002184	XP_012553100.2, XP_037876248.1	XP_026670888.1
OG0002185	XP_037872580.1	XP_026666643.1
OG0002186	XP_037867256.1	XP_017881855.2
OG0002187	XP_004924091.2	XP_017877315.1
OG0002188	XP_004933130.1	XP_026671362.1, XP_017884094.1
OG0002189	XP_037868007.1	XP_017877270.1
OG0002190	XP_021207985.2, XP_021207984.2	XP_017886226.1
OG0002191	XP_037876997.1, NP_001296509.1	XP_026666523.1, XP_017893033.1
OG0002192	XP_004930030.2	XP_017883513.1, XP_026671069.1, XP_026671071.1, XP_026671070.1
OG0002193	XP_037872786.1	XP_017884705.1
OG0002194	XP_004932826.1, XP_004932827.1	XP_017874995.1
OG0002195	XP_012549175.1, XP_004930210.1, XP_004930209.1, XP_021206201.1	XP_017880127.1
OG0002196	XP_012545577.2	XP_017888068.1
OG0002197	XP_037868350.1	XP_017879516.1
OG0002199	XP_012545241.1	XP_017887533.1, XP_026669275.1, XP_026669277.1, XP_026669273.1
OG0002200	XP_021203983.1	XP_026674669.1, XP_017886099.1, XP_026674348.1
OG0002202	XP_012544067.2	XP_026668161.1, XP_026670573.1
OG0002203	NP_001296476.1, XP_037868626.1	XP_017889158.1, XP_017889157.1, XP_017889156.1
OG0002204	XP_037873138.1	XP_026667561.1
OG0002205	XP_004923458.1	XP_017885123.2
OG0002206	XP_004923125.1, XP_004926946.1	XP_017885261.1, XP_017885267.1
OG0002208	XP_037868420.1, XP_004932254.2	XP_017876929.2
OG0002209	XP_004924437.2	XP_026669316.1
OG0002211	XP_004931687.2	XP_017878505.1, XP_026668648.1
OG0002213	XP_012544470.1	XP_026666983.1, XP_017875164.1, XP_017875166.1, XP_017875167.1
OG0002214	XP_021205764.1	XP_017893026.1
OG0002215	NP_001153660.1, XP_012544170.1, XP_004929335.2	XP_026669069.1
OG0002217	XP_004928578.1	XP_017887184.1
OG0002219	XP_004921897.2	XP_017882274.1
OG0002220	XP_037866830.1	XP_017883091.1
OG0002221	XP_012551291.1	XP_017879041.1
