Orthogroup	Bombyx_mori	Megachile_rotundata
OG0001166	XP_037869122.1	XP_012138908.1, XP_012138909.1
OG0001167	XP_004925143.1	XP_012137041.1
OG0001169	XP_004933290.1, XP_004933289.1	XP_003702988.1
OG0001170	NP_001040307.1, XP_037873399.1	XP_012145174.1, XP_012145173.1
OG0001171	XP_037871074.1, XP_037871077.1	XP_012148237.1, XP_012148231.1, XP_012148230.1
OG0001172	XP_037871481.1, NP_001139127.1	XP_012150144.1, XP_012150146.1
OG0001173	XP_004923145.2, XP_037875779.1	XP_003706675.1
OG0001174	XP_004931972.1	XP_012134641.1
OG0001175	XP_037875209.1	XP_003708528.1
OG0001176	XP_004931359.1	XP_003700974.2
OG0001177	XP_037875889.1	XP_012143384.1, XP_012139076.1, XP_012151023.1, XP_012146603.1
OG0001178	XP_021204911.1, XP_004927733.1	XP_012138377.1, XP_012138379.1, XP_012138380.1, XP_012138381.1, XP_012138382.1, XP_003702251.1
OG0001179	XP_012550481.2	XP_012143284.1, XP_012143277.1, XP_003699782.1, XP_012143300.1
OG0001180	XP_037872073.1	XP_003705173.1, XP_012145030.1
OG0001181	XP_004927791.1	XP_012140845.1, XP_003703409.1
OG0001182	XP_037875670.1, XP_037875884.1	XP_012135309.1, XP_012135308.1
OG0001183	XP_037869217.1, XP_037869220.1	XP_012147427.1
OG0001184	XP_012549667.1, XP_012549669.1	XP_012144175.1, XP_012144178.1
OG0001185	XP_037874622.1, NP_001165114.1	XP_012134692.1
OG0001186	XP_004924300.1	XP_003701161.1
OG0001187	XP_012551805.2	XP_003701139.1
OG0001188	XP_004924079.1	XP_012139341.1
OG0001189	XP_037877740.1	XP_003702958.1
OG0001191	XP_021204668.1, XP_037870110.1, XP_021204693.1	XP_012143967.1, XP_012143969.1, XP_012143963.1, XP_012143964.1
OG0001193	NP_001093292.1, XP_021203117.2, NP_001103402.1	XP_003708447.1
OG0001195	XP_037877359.1	XP_003705691.1
OG0001198	XP_004925553.1	XP_012146495.1, XP_012146496.1, XP_012146497.1, XP_003705773.1
OG0001199	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1	XP_012153061.1, XP_012153060.1, XP_003708523.1
OG0001202	XP_037869396.1, XP_037869397.1	XP_003702439.1, XP_012138666.1
OG0001203	NP_001296540.1	XP_012151781.1
OG0001204	XP_037874979.1	XP_012149378.1, XP_012149382.1
OG0001205	XP_004933672.2	XP_012150847.1
OG0001206	XP_004929966.1, XP_037869097.1	XP_012138565.1
OG0001208	XP_037876320.1, XP_012553119.1, XP_021209257.1	XP_012139205.1, XP_012145241.1
OG0001211	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1	XP_012143732.1
OG0001214	NP_001040279.1, XP_012551201.1	XP_003708127.2, XP_012152099.1
OG0001215	XP_037872613.1, XP_037872615.1, XP_021208348.1	XP_012139788.1, XP_003702833.1, XP_012139787.1
OG0001216	XP_012550836.2	XP_012140227.1, XP_012140229.1, XP_012140230.1, XP_012140228.1, XP_003703119.1
OG0001217	XP_004927890.1	XP_012154260.1, XP_012154261.1, XP_012154262.1, XP_003700430.1
OG0001218	NP_001040120.1	XP_003703319.1, XP_012140843.1
OG0001219	XP_004929153.2	XP_003705366.1
OG0001220	XP_004930794.1	XP_003705398.1
OG0001221	XP_012545938.1, NP_001040197.1, XP_004930220.1	XP_003707478.1
OG0001222	XP_004922174.2	XP_003701434.1, XP_012136252.1, XP_012136253.1
OG0001223	XP_037872237.1	XP_003705779.1
OG0001224	XP_004926867.1	XP_012142432.1, XP_012142431.1
OG0001225	NP_001040311.1	XP_012144875.1, XP_012144877.1, XP_003705100.1
OG0001228	XP_012545774.2, XP_037876543.1	XP_003708578.1, XP_012153511.1
OG0001229	NP_001037132.1, XP_012548070.1	XP_012153775.1, XP_003700247.1
OG0001230	NP_001037259.1	XP_012150027.1
OG0001231	XP_037869352.1	XP_012143018.1
OG0001231	XP_037866604.1	XP_012143020.1
OG0001232	XP_037869261.1, XP_037869262.1	XP_012137926.1, XP_012137925.1, XP_012137924.1
OG0001233	XP_012549545.1	XP_003706513.1
OG0001234	XP_037874331.1, XP_021203183.1, XP_004925455.2	XP_012143086.1, XP_012143087.1
OG0001236	XP_004931956.1	XP_003705225.1, XP_012145120.1
OG0001238	XP_021203590.2, XP_021203599.1	XP_012144760.1
OG0001239	XP_012548121.3	XP_003700256.1
OG0001240	NP_001040150.1	XP_003699955.1, XP_012148056.1
OG0001241	XP_012551265.1	XP_003702459.1, XP_012138700.1
OG0001242	XP_021203674.1, XP_004926232.2	XP_012148292.1
OG0001243	XP_004921561.1	XP_012148753.1, XP_012148788.1
OG0001244	XP_004931363.1	XP_012154517.1, XP_003700573.1
OG0001245	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1	XP_003703064.1
OG0001246	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1	XP_003700646.1
OG0001247	NP_001280620.1, XP_012547444.1	XP_003699702.1, XP_012142848.1, XP_012142853.1, XP_012142840.1
OG0001248	NP_001266436.1	XP_003701958.1, XP_012137519.1, XP_012137518.1, XP_012137520.1
OG0001249	XP_037873698.1	XP_012146140.1, XP_003705651.2
OG0001250	XP_012547191.3, XP_037871060.1	XP_003705072.1, XP_012144751.1
OG0001251	XP_021202275.2, XP_021202277.2	XP_012144562.1, XP_012144561.1, XP_012144560.1
OG0001253	XP_037868796.1	XP_012138743.1, XP_012138735.1
OG0001254	XP_012548031.1	XP_012145987.1, XP_012145986.1, XP_012145975.1, XP_012145981.1, XP_012145970.1, XP_012145952.1, XP_012145961.1, XP_012145947.1, XP_012145943.1
OG0001255	XP_004932670.4	XP_012145344.1, XP_003705301.2, XP_012145345.1
OG0001256	XP_037870663.1, NP_001036985.1	XP_003703256.1, XP_003703255.1
OG0001258	XP_037870191.1	XP_003708412.1, XP_012152807.1
OG0001259	XP_037874041.1	XP_012149790.1
OG0001260	NP_001040211.1	XP_012153472.1, XP_012153474.1
OG0001262	XP_021205442.1	XP_003701842.1
OG0001263	NP_001037452.1	XP_003704866.2
OG0001264	XP_037867170.1	XP_012150462.1
OG0001265	NP_001266388.1	XP_003704516.1, XP_012143521.1, XP_003704528.2
OG0001267	XP_037866491.1	XP_012135819.1
OG0001268	XP_021205844.2	XP_003701962.1, XP_012149718.1
OG0001269	XP_037869606.1	XP_012153023.1, XP_012153018.1
OG0001270	NP_001040175.1	XP_012148971.1
OG0001272	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1	XP_003703618.2
OG0001273	XP_037866725.1, NP_001116823.2	XP_012150030.1, XP_012150032.1
OG0001274	XP_012544435.2	XP_003705228.1
OG0001275	XP_037875688.1	XP_012140828.1, XP_012140819.1
OG0001277	XP_004931850.2, XP_021207347.2	XP_003708158.1
OG0001278	XP_037875820.1	XP_012140940.1, XP_012140947.1, XP_012140952.1
OG0001279	XP_012546213.2	XP_012134966.1
OG0001280	XP_012550549.1, NP_001098067.2	XP_003704269.1
OG0001281	XP_004932331.1	XP_012151124.1, XP_012151118.1
OG0001283	XP_012551935.1, NP_001037644.1	XP_012140046.1, XP_003703137.1
OG0001284	XP_012544695.2, XP_012544697.2	XP_012151952.1, XP_012151947.1
OG0001286	XP_004933304.1	XP_003706114.1
OG0001287	XP_037874173.1	XP_012144664.1, XP_012144668.1, XP_012144673.1
OG0001288	XP_037876362.1	XP_003707114.2
OG0001289	XP_004922571.1	XP_003703531.1
OG0001291	XP_021202357.1, NP_001037055.1	XP_003708244.1
OG0001292	XP_037877060.1	XP_012144890.1, XP_012144883.1, XP_012144876.1, XP_003699801.1
OG0001293	XP_004923001.1, XP_004923002.1	XP_003699502.1, XP_012138557.1, XP_012138564.1, XP_012138546.1, XP_012138539.1
OG0001294	XP_021204295.1	XP_012153537.1
OG0001295	XP_004933504.2, XP_037873395.1	XP_012150602.1, XP_012150567.1
OG0001298	XP_037867209.1	XP_012150671.1, XP_003707650.1
OG0001299	XP_004928614.1	XP_012146187.1, XP_003705664.1
OG0001300	XP_037876736.1	XP_003707701.1
OG0001301	XP_037869383.1	XP_003704534.2
OG0001303	XP_037875592.1, XP_037875594.1	XP_012145689.1
OG0001304	XP_004930048.2	XP_012146843.1, XP_012146842.1
OG0001305	NP_001108405.1	XP_012144053.1
OG0001305	NP_001091843.1	XP_012144054.1
OG0001306	XP_037872003.1, XP_037872009.1	XP_012142827.1, XP_003699708.1
OG0001307	XP_037871814.1	XP_012151861.1
OG0001308	XP_037868945.1, XP_004931237.2	XP_003704961.1
OG0001310	XP_004931319.1	XP_003700371.1
OG0001312	NP_001040409.1	XP_003705529.1, XP_012145887.1
OG0001313	XP_004931506.1	XP_003707251.2, XP_003707256.2
OG0001314	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1	XP_012145545.1
OG0001315	XP_037871474.1, XP_012546336.2	XP_012152472.1, XP_012152470.1
OG0001316	NP_001036998.2	XP_003705040.1
OG0001317	XP_004930755.1	XP_012136352.1
OG0001317	XP_004930756.1	XP_003703930.1
OG0001318	XP_037866753.1, NP_001040253.1	XP_003700055.1
OG0001322	XP_012545066.1, XP_012545062.1	XP_012145599.1, XP_003705413.1
OG0001323	NP_001166748.1	XP_012139328.1, XP_003702744.1
OG0001328	XP_004923057.1	XP_012149366.1, XP_012149365.1, XP_003707083.1
OG0001329	XP_004927515.1, XP_037873856.1	XP_003702186.1
OG0001330	XP_037874170.1	XP_012152771.1, XP_012152770.1, XP_012152765.1, XP_012152768.1, XP_012152769.1, XP_012152767.1
OG0001331	XP_021204676.1, NP_001037564.1	XP_012144744.1, XP_003705065.1, XP_003707103.1
OG0001332	NP_001037586.1	XP_003700197.1, XP_012153263.1
OG0001333	XP_037871533.1, NP_001037243.1	XP_003699589.1
OG0001334	XP_012545428.1, NP_001136083.1	XP_012149722.1, XP_003707185.1
OG0001335	XP_004930207.1, XP_004930205.1	XP_003706802.1
OG0001336	XP_004930907.1	XP_012151156.1
OG0001337	XP_004930268.2, XP_012544537.2	XP_012153688.1, XP_012153689.1, XP_012153687.1
OG0001338	XP_037868459.1	XP_003700562.1
OG0001339	NP_001244268.1, NP_001266404.1	XP_003706127.1
OG0001340	NP_001037165.1, XP_012545340.1	XP_012153923.1
OG0001342	XP_037866745.1, NP_001037011.1	XP_012136521.1
OG0001343	XP_037875228.1	XP_003702950.1, XP_003708354.1
OG0001345	XP_004930391.1	XP_003707449.1, XP_012150270.1, XP_012150269.1
OG0001346	XP_037867854.1, XP_037867853.1, XP_037867852.1	XP_003701550.1
OG0001347	XP_004924763.1	XP_003704077.1, XP_012142354.1, XP_012142356.1, XP_012142355.1
OG0001348	XP_037868035.1	XP_003701179.2
OG0001349	XP_037868296.1, XP_004932184.1	XP_012136278.1, XP_003701437.1, XP_012136277.1
OG0001350	XP_021206894.1, XP_037877388.1, XP_037877464.1, NP_001093288.1	XP_003704174.1, XP_012142610.1, XP_012142609.1, XP_012142608.1
OG0001351	XP_004927142.1	XP_003708582.1
OG0001352	XP_012550733.1	XP_012136113.1
OG0001353	XP_004922173.1	XP_003699999.1
OG0001354	XP_037873431.1, XP_037873434.1	XP_003707265.1, XP_012150023.1
OG0001355	XP_012552803.2	XP_003703235.1
OG0001356	XP_012548900.1	XP_012138606.1, XP_012138608.1, XP_003702421.1
OG0001357	XP_021209301.1, XP_021209300.1	XP_003706587.1
OG0001359	NP_001040366.1, XP_004930970.1	XP_003700477.1
OG0001362	XP_004922990.2	XP_003707306.2, XP_012150152.1
OG0001363	XP_004929272.1	XP_012147226.1, XP_003706028.1
OG0001364	XP_012552135.1	XP_003708442.2, XP_012152946.1
OG0001365	NP_001171773.1	XP_003699312.1
OG0001366	XP_012552100.2	XP_012137415.1
OG0001366	XP_021208338.1	XP_012137411.1, XP_012137413.1, XP_012137412.1
OG0001368	XP_004930597.1	XP_003704855.1
OG0001369	XP_021209165.1, XP_004923234.1	XP_003704794.1
OG0001370	XP_004925873.1	XP_003705573.2
OG0001371	XP_021208861.2	XP_003703366.2
OG0001373	XP_004924045.1, XP_037868833.1	XP_003701005.1
OG0001375	NP_001243941.1	XP_012143225.1, XP_012143223.1
OG0001376	XP_037872952.1	XP_012143285.1, XP_003704560.2
OG0001377	XP_004928133.1	XP_003705306.1
OG0001378	XP_004933406.1	XP_012143857.1, XP_012143856.1, XP_012143859.1, XP_012143858.1, XP_003704700.1
OG0001379	XP_021204324.1, XP_004927180.1	XP_012151456.1
OG0001380	NP_001243931.1	XP_003704901.1
OG0001381	XP_012544235.1	XP_003706045.2
OG0001382	XP_004924008.1, XP_037868775.1	XP_003706258.1
OG0001383	XP_037871400.1	XP_003699699.1
OG0001384	XP_037870879.1, XP_037870878.1, XP_037870877.1, XP_037870876.1, XP_037870875.1	XP_003702464.1
OG0001385	NP_001127743.1, XP_021205799.1, NP_001127738.1, XP_021205793.1, NP_001127718.1, XP_037873374.1	XP_003707318.1
OG0001386	XP_037877052.1	XP_003701896.1, XP_012137393.1, XP_012137392.1, XP_012137391.1, XP_012137390.1, XP_012137389.1, XP_012137388.1, XP_012137387.1
OG0001387	XP_012551998.1, XP_012551999.1, XP_012552000.1	XP_003705144.1
OG0001388	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1	XP_012146446.1
OG0001389	XP_037866835.1, XP_021206196.1	XP_012135357.1
OG0001390	XP_004923976.1, XP_012543955.1	XP_003704219.1
OG0001391	XP_004931964.1, XP_012550804.1	XP_003706785.1
OG0001392	XP_004923286.3	XP_012148464.1
OG0001393	NP_001108457.1, XP_012548872.1, NP_001108458.1	XP_003702144.1, XP_012137893.1
OG0001394	XP_037872972.1, XP_037872971.1, XP_012551207.1	XP_012141038.1
OG0001395	XP_037868467.1	XP_012142970.1
OG0001396	XP_012546276.2	XP_012151607.1, XP_003707987.1
OG0001397	XP_021208952.1, XP_037868947.1	XP_012136000.1
OG0001398	XP_037871681.1	XP_012152189.1
OG0001399	XP_021203857.1, XP_004926442.1, XP_021203856.1	XP_003708009.2
OG0001400	XP_004926572.1, XP_037870367.1	XP_012144885.1, XP_012144882.1
OG0001401	XP_004923967.2	XP_003699636.1
OG0001402	XP_004931504.1	XP_003699201.1
OG0001403	XP_037873037.1	XP_012140018.1, XP_012140031.1, XP_012140045.1
OG0001404	XP_037873980.1	XP_003700568.1
OG0001405	NP_001243976.1	XP_003701376.1
OG0001406	XP_037867555.1, XP_012549636.1	XP_012147619.1, XP_012147618.1, XP_003706272.1
OG0001407	XP_004932096.2	XP_003702088.1
OG0001409	XP_037872234.1, XP_037872231.1	XP_012146499.1, XP_012146501.1
OG0001410	XP_021203216.2, XP_012545273.2, XP_012545274.2	XP_003701097.1, XP_012135511.1
OG0001413	XP_004931236.2	XP_012140943.1
OG0001414	XP_004926796.1	XP_003705593.1
OG0001415	XP_037877821.1, XP_037877823.1	XP_012146231.1
OG0001416	XP_037866526.1	XP_012147088.1, XP_012147084.1
OG0001417	XP_004921935.1, XP_037872611.1, XP_037872612.1	XP_012135871.1
OG0001418	XP_012547297.1	XP_012148215.1
OG0001419	XP_012548678.1	XP_012146068.1
OG0001420	XP_012552202.1, XP_037876612.1, XP_004922782.1	XP_003702222.1
OG0001421	XP_004929664.1	XP_012140766.1, XP_012140761.1
OG0001422	XP_004932407.1	XP_003705628.1, XP_012146161.1
OG0001423	XP_004923479.2	XP_012141596.1
OG0001424	XP_012544948.2	XP_003707239.2
OG0001426	XP_037870983.1	XP_003704181.1, XP_012142802.1
OG0001427	XP_004927183.1	XP_003706058.1
OG0001428	XP_037866655.1	XP_012149989.1
OG0001429	NP_001036947.1	XP_012140383.1
OG0001430	XP_037866431.1	XP_003701430.1
OG0001432	XP_012544966.1, XP_012544981.1, XP_012544970.1, XP_012544974.1	XP_012151885.1, XP_012151887.1, XP_012151886.1, XP_012151888.1
OG0001434	XP_037876486.1	XP_003700866.1
OG0001435	XP_037874654.1, XP_037866499.1, XP_037870159.1, XP_037876578.1, XP_037876576.1, XP_037876575.1, XP_037876577.1, XP_037868542.1, XP_021203409.2, XP_037873347.1	XP_012152734.1, XP_012153227.1
OG0001436	XP_004922451.1, XP_004922450.1	XP_012139669.1
OG0001437	NP_001153671.1	XP_012136059.1, XP_012136061.1, XP_012136060.1
OG0001440	XP_004930927.1	XP_012142151.1, XP_012142152.1, XP_003703973.1, XP_012142153.1
OG0001441	XP_037877608.1, XP_037877601.1	XP_012135580.1
OG0001442	NP_001119723.1	XP_003705747.2
OG0001443	XP_037874392.1	XP_003701582.1
OG0001444	XP_012544068.1, XP_037876196.1, XP_037876194.1	XP_003703425.1, XP_003707375.2
OG0001445	NP_001164469.1	XP_003705203.1
OG0001446	XP_037872969.1	XP_012149258.1
OG0001453	NP_001037144.1, XP_012548545.1	XP_003703131.2
OG0001455	XP_004932665.1, XP_037875264.1	XP_003705086.1
OG0001456	XP_021209082.1	XP_012136768.1, XP_012136763.1, XP_012136765.1, XP_012136767.1, XP_012136764.1, XP_012136769.1
OG0001457	XP_012549706.1	XP_003701275.1
OG0001458	NP_001243920.1	XP_012151974.1
OG0001459	XP_021209024.1	XP_012140200.1, XP_012140199.1
OG0001460	XP_012544554.1	XP_003701853.1
OG0001461	XP_012544433.2	XP_003707359.1, XP_012150325.1, XP_012150326.1, XP_012150324.1
OG0001462	XP_004929675.1, XP_004929676.1	XP_003705852.1, XP_012146665.1
OG0001463	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1	XP_003705629.1
OG0001464	XP_021207479.1	XP_012140660.1, XP_003703270.1
OG0001465	XP_004927891.1, XP_004927887.1	XP_012138427.1, XP_003702262.1
OG0001466	XP_004934358.1	XP_003703397.1, XP_003701756.1
OG0001467	XP_037869859.1, XP_037869858.1	XP_003702020.1
OG0001468	NP_001036939.1	XP_003699387.1, XP_003699386.1
OG0001469	XP_004923021.1, XP_004923022.1	XP_012149074.1, XP_012148936.1, XP_012148869.1, XP_012149002.1, XP_003699309.1
OG0001470	XP_021207359.1, XP_021207329.1	XP_012147279.1, XP_012147280.1
OG0001471	XP_004931777.2	XP_003707711.1, XP_003707710.1
OG0001472	XP_004928523.1, NP_001266343.1	XP_012152060.1, XP_012142269.1, XP_003704007.1
OG0001473	XP_004921751.1	XP_003701445.2
OG0001474	XP_004928242.1	XP_003706861.1
OG0001475	XP_004930737.1	XP_003707927.1
OG0001476	XP_012545928.1, XP_004926324.2	XP_012134858.1
OG0001477	XP_037877391.1, XP_037877482.1, XP_004929266.2	XP_003706943.1
OG0001478	NP_001170882.1, XP_012551408.1	XP_003703127.1
OG0001479	NP_001036956.1, XP_012549120.1	XP_003699231.1
OG0001480	XP_004930565.1	XP_012139923.1, XP_003703030.1
OG0001481	XP_012547389.2, XP_004927794.2	XP_012148072.1
OG0001482	XP_021206661.1	XP_012154088.1
OG0001484	XP_012547006.1	XP_012151969.1
OG0001485	XP_004930031.2	XP_003702383.2
OG0001485	XP_004929453.1	XP_003700738.2
OG0001486	XP_012553363.1	XP_012134505.1, XP_012134503.1
OG0001487	XP_012550436.1	XP_003706964.2
OG0001488	XP_037869760.1	XP_012140532.1, XP_012140542.1
OG0001489	XP_037868752.1	XP_012142590.1
OG0001490	XP_004924569.1	XP_012145222.1, XP_012145224.1, XP_012145225.1
OG0001491	XP_004925005.1	XP_012149603.1, XP_012149602.1, XP_012149601.1, XP_003707125.1, XP_012149605.1
OG0001492	XP_004927896.1, XP_004927895.1, XP_004927894.1	XP_012154169.1
OG0001494	XP_037877591.1, XP_037867606.1	XP_012142423.1
OG0001495	XP_021207491.2	XP_003704451.1
OG0001496	XP_004927986.1	XP_012148217.1
OG0001497	XP_004928336.2	XP_012151254.1
OG0001498	XP_037869992.1, XP_037870010.1	XP_012149890.1, XP_012149885.1, XP_012149886.1
OG0001499	XP_004928205.1	XP_003700193.2
OG0001500	XP_037871997.1, XP_012552773.2	XP_012150430.1, XP_012150423.1
OG0001501	XP_037866800.1	XP_003702049.1, XP_012138005.1
OG0001502	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1	XP_003702050.1
OG0001503	XP_021206043.2	XP_012154512.1, XP_012154508.1
OG0001504	XP_004932089.1, XP_004932087.1, XP_021207668.1, XP_012550964.1	XP_003704073.1
OG0001505	XP_037867872.1	XP_003707392.2, XP_012150017.1, XP_012150018.1
OG0001506	XP_021202503.2	XP_003701281.1
OG0001507	XP_004933054.1, XP_021208141.1	XP_003704760.1
OG0001508	NP_001091838.1, XP_012548520.2	XP_012144584.1
OG0001509	XP_037874937.1	XP_012145883.1
OG0001510	XP_037868375.1	XP_012145851.1
OG0001511	XP_037870240.1, NP_001106220.1	XP_003702175.1
OG0001512	XP_012547158.3	XP_012145320.1
OG0001513	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1	XP_012153812.1
OG0001514	NP_001243989.1, XP_012551916.2	XP_003700242.1, XP_012153732.1, XP_012153734.1, XP_012153733.1
OG0001515	XP_037869339.1, XP_012552167.1, XP_004933624.1	XP_012140232.1
OG0001516	XP_012548192.1	XP_012143741.1, XP_012143740.1, XP_012143739.1
OG0001517	XP_004930586.1	XP_003700693.1
OG0001518	XP_012547971.1	XP_012136815.1, XP_003701655.1
OG0001519	XP_037877043.1	XP_003700588.2
OG0001520	XP_004926900.1	XP_012136622.1, XP_012136623.1
OG0001521	XP_037873615.1	XP_003700357.1
OG0001522	NP_001189459.1, XP_012547725.2	XP_003699840.1
OG0001523	XP_037867735.1	XP_012145413.1, XP_012145408.1, XP_012145412.1, XP_012145411.1, XP_012145407.1, XP_012145409.1, XP_003705344.1
OG0001524	XP_004928551.2	XP_003707715.1
OG0001525	XP_004928511.1	XP_003706007.1
OG0001526	XP_037869703.1	XP_012150716.1, XP_012150720.1
OG0001527	XP_012547691.1, XP_012547692.1, XP_004928271.1	XP_012150166.1, XP_003699997.2
OG0001529	NP_001103396.1, XP_021202150.1	XP_012152267.1
OG0001530	XP_004928962.1	XP_012151687.1, XP_012151688.1
OG0001531	XP_004927972.1	XP_003705210.1
OG0001533	XP_037872089.1	XP_012143278.1, XP_003704557.1
OG0001534	XP_012548708.1	XP_012151396.1
OG0001536	XP_021207987.1	XP_012153011.1
OG0001537	XP_004930078.1	XP_012134593.1, XP_003700663.1
OG0001538	NP_001037049.1, XP_037873389.1	XP_003705599.1
OG0001539	NP_001182396.1	XP_003704195.1
OG0001540	XP_037866721.1, NP_001108344.1, XP_037866889.1	XP_012151512.1
OG0001541	XP_037869460.1	XP_003702036.1
OG0001542	XP_004925578.2	XP_003699473.1
OG0001543	XP_021208076.1	XP_012152090.1
OG0001545	XP_021205692.2	XP_012147299.1
OG0001546	XP_021202997.2	XP_003705190.1
OG0001547	XP_037875077.1	XP_012144391.1
OG0001548	XP_037871858.1	XP_012145040.1, XP_012145042.1, XP_012145041.1
OG0001549	XP_004926505.1, XP_037875796.1, XP_004926490.1, XP_004926488.1, XP_004926489.1	XP_012140344.1, XP_012140345.1
OG0001550	NP_001127721.1	XP_012134940.1
OG0001551	NP_001040440.1, XP_021205145.1	XP_003703120.2
OG0001552	XP_037875658.1, XP_037875663.1	XP_012137496.1, XP_012137493.1
OG0001553	XP_004922085.1	XP_003700859.1
OG0001554	XP_021202702.2	XP_012142523.1, XP_012142516.1
OG0001555	XP_004926499.2	XP_003700399.1
OG0001556	XP_037869191.1	XP_012142836.1
OG0001557	NP_001127732.1, XP_037868153.1	XP_012134493.1, XP_012134501.1
OG0001558	XP_004922281.1	XP_003706453.1
OG0001559	XP_012550319.2	XP_003701996.1
OG0001560	XP_012553162.1, XP_012553161.2	XP_012152574.1
OG0001561	XP_004928449.2	XP_012153363.1
OG0001562	XP_037867104.1, XP_037867118.1	XP_012146167.1
OG0001563	XP_021204882.1	XP_012142206.1, XP_012142232.1
OG0001564	XP_037867971.1, XP_037872070.1, XP_037872069.1, XP_021208340.2, XP_037872071.1, XP_012546980.2	XP_012152732.1
OG0001565	XP_037874788.1	XP_012143226.1
OG0001567	NP_001036935.1, XP_037873779.1	XP_003705693.1
OG0001568	XP_037876104.1, NP_001243990.1	XP_012150304.1
OG0001569	XP_037873304.1	XP_012139688.1, XP_003702800.1
OG0001570	XP_012551718.2	XP_003706331.1, XP_012147701.1, XP_012147700.1, XP_012147702.1
OG0001571	XP_037875923.1	XP_003704407.1
OG0001572	XP_004927967.1, XP_004927965.1	XP_003701369.1
OG0001574	XP_012553425.1, XP_021201980.1	XP_012142706.1, XP_012142709.1
OG0001575	NP_001037325.1, NP_001037333.1	XP_012144229.1
OG0001576	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1	XP_012151098.1
OG0001577	XP_037868606.1, NP_001106746.1	XP_003703471.2
OG0001578	NP_001127709.1, NP_001127751.1, XP_037874604.1	XP_012135020.1
OG0001579	XP_037874676.1	XP_012148874.1, XP_012148872.1
OG0001580	XP_004930748.1	XP_012135639.1
OG0001581	XP_012551182.2	XP_003706977.1
OG0001582	XP_012550801.1	XP_012147352.1, XP_012147353.1, XP_012147350.1, XP_012147351.1
OG0001583	XP_004928527.1	XP_012141906.1, XP_012141890.1, XP_012141882.1, XP_012141915.1, XP_012141899.1
OG0001584	XP_012546518.1, XP_012546512.1	XP_012151643.1, XP_003707893.1
OG0001586	XP_012545422.2, NP_001138795.1	XP_012136684.1, XP_012136683.1, XP_003701498.1, XP_012136685.1, XP_012136681.1, XP_012136682.1
OG0001587	XP_004931594.2	XP_012137740.1, XP_003702052.1
OG0001588	XP_037873144.1	XP_012134520.1, XP_012134519.1
OG0001589	XP_021209162.1, XP_004925726.1, XP_004925727.1	XP_012150319.1, XP_003707355.1
OG0001592	XP_004927023.1	XP_012141805.1
OG0001593	NP_001036870.1, XP_037867807.1	XP_012146918.1
OG0001594	XP_004927503.2	XP_003703415.1
OG0001595	XP_004922227.1, XP_021205276.1	XP_012146189.1, XP_003705662.1
OG0001596	XP_004926385.1	XP_003707140.1, XP_012149518.1
OG0001597	XP_004927855.1	XP_003700940.2, XP_012135101.1
OG0001598	XP_037876897.1, NP_001037309.1	XP_012139907.1, XP_012139904.1, XP_012139909.1, XP_012139901.1, XP_012139919.1, XP_012139918.1
OG0001599	XP_037872272.1	XP_003701479.1
OG0001600	XP_021208437.1	XP_012151844.1, XP_012151837.1, XP_003700157.1
OG0001601	XP_012553340.2	XP_012151797.1, XP_012151798.1
OG0001602	XP_012553401.1, XP_004931415.1, XP_021201945.1	XP_012139084.1
OG0001604	XP_012549189.1, XP_012549190.1	XP_012151094.1
OG0001605	NP_001040217.1, XP_012543931.1	XP_012152109.1, XP_012152105.1, XP_012148624.1
OG0001606	NP_001296482.1, XP_004927952.1	XP_012145577.1
OG0001608	XP_004931746.1	XP_003707683.1
OG0001612	XP_021207912.2	XP_012141726.1, XP_012141725.1
OG0001614	NP_001036780.1	XP_012144865.1, XP_012144859.1
OG0001615	NP_001037213.1, XP_037872124.1	XP_003706347.1
OG0001616	NP_001040407.1	XP_012148066.1
OG0001617	NP_001040232.1	XP_003706311.1
OG0001619	XP_021205425.1, XP_004928959.1	XP_003701825.1
OG0001620	XP_004933138.1	XP_012135834.1, XP_003701138.1
OG0001621	XP_004925826.2, XP_037877870.1	XP_003699542.1
OG0001623	XP_037867510.1	XP_012139931.1, XP_012139932.1, XP_012139934.1, XP_012139935.1, XP_003703031.1, XP_012139930.1
OG0001624	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1	XP_003707163.1
OG0001625	XP_037874467.1	XP_003701122.1
OG0001626	XP_004928349.1	XP_003707071.1, XP_012149296.1
