Orthogroup	Bombyx_mori	Dufourea_novaeangliae
OG0000762	XP_012548241.1	XP_015429614.1
OG0000766	XP_004924574.1	XP_015433383.1, XP_015433382.1
OG0000767	XP_037877077.1, XP_037877075.1, XP_037877073.1	XP_015434452.1, XP_015434451.1
OG0000768	XP_004925051.1	XP_015437773.1
OG0000769	XP_004922632.1	XP_015433465.1
OG0000770	XP_012550680.1	XP_015439048.1
OG0000771	XP_037866557.1, XP_012550069.3	XP_015435200.1
OG0000772	XP_004931548.1	XP_015430519.1
OG0000773	XP_004932442.1	XP_015435527.1
OG0000774	XP_037876249.1	XP_015432609.1, XP_015432607.1, XP_015432608.1
OG0000775	XP_004931734.1	XP_015436551.1, XP_015436549.1
OG0000776	XP_021202064.1	XP_015432975.1
OG0000777	XP_037872977.1, XP_004926416.1	XP_015439100.1
OG0000778	XP_004929803.1	XP_015437148.1
OG0000779	XP_012547038.1, XP_037876468.1	XP_015437694.1, XP_015433143.1
OG0000781	NP_001037007.1, XP_021205141.1	XP_015435781.1
OG0000782	NP_001127742.1, NP_001127707.1, XP_037869522.1, NP_001127708.1	XP_015436117.1
OG0000785	XP_004927708.1, XP_004928875.1	XP_015438966.1
OG0000786	XP_012547680.1, XP_004922232.1	XP_015430326.1
OG0000789	XP_004927596.1	XP_015429610.1
OG0000790	XP_021206530.1	XP_015430194.1
OG0000795	NP_001040432.1, XP_004925887.1	XP_015429939.1
OG0000796	NP_001037680.1	XP_015436930.1, XP_015430785.1
OG0000797	XP_037868469.1	XP_015430964.1, XP_015430962.1, XP_015430963.1
OG0000798	XP_004929300.1, XP_004932113.2	XP_015431041.1
OG0000799	XP_037870309.1, XP_037870306.1	XP_015436448.1, XP_015436446.1
OG0000800	NP_001037584.1	XP_015438988.1
OG0000801	XP_004928112.3	XP_015430589.1
OG0000802	XP_004921957.1	XP_015438421.1, XP_015438420.1
OG0000803	NP_001037362.2, NP_001037436.1, XP_037874083.1	XP_015434459.1
OG0000804	NP_001130045.1, XP_012548882.1	XP_015434734.1
OG0000806	XP_037874829.1	XP_015436300.1
OG0000807	NP_001093289.1	XP_015437566.1, XP_015437567.1
OG0000808	XP_037874837.1, XP_037874835.1, XP_037874836.1	XP_015438454.1
OG0000809	NP_001104808.1, XP_012551063.1	XP_015439656.1
OG0000810	NP_001124351.1	XP_015437543.1, XP_015437555.1
OG0000811	XP_037870082.1	XP_015429244.1
OG0000812	XP_037869034.1, NP_001124378.1	XP_015436704.1, XP_015435806.1
OG0000813	XP_012547376.2, XP_037867425.1, XP_012549697.1	XP_015430297.1
OG0000814	NP_001040319.1	XP_015433794.1
OG0000814	XP_004921629.1	XP_015433799.1
OG0000815	XP_021205706.1, NP_001121193.1	XP_015435418.1
OG0000816	XP_012545929.1	XP_015430601.1
OG0000817	NP_001127736.1	XP_015431473.1
OG0000818	XP_004926256.1	XP_015434228.1
OG0000819	XP_021202238.1	XP_015437993.1, XP_015437994.1
OG0000820	XP_012548803.1	XP_015436712.1, XP_015436713.1, XP_015436714.1
OG0000821	XP_004923956.1	XP_015437647.1
OG0000822	XP_037867860.1	XP_015430083.1, XP_015430122.1
OG0000823	XP_021203877.1, XP_004922052.1	XP_015428705.1
OG0000824	XP_037875009.1	XP_015433325.1, XP_015431310.1
OG0000825	NP_001159617.1, NP_001171331.1, NP_001037201.2, NP_001159619.1	XP_015436392.1
OG0000826	XP_004927216.1	XP_015439895.1, XP_015439897.1
OG0000827	XP_004923725.1	XP_015437657.1
OG0000828	XP_037871072.1, XP_037871073.1	XP_015438750.1
OG0000829	XP_012552175.1, XP_004922732.1	XP_015437554.1, XP_015437553.1
OG0000830	XP_004928810.3	XP_015433638.1
OG0000831	NP_001296502.1, NP_001296536.1	XP_015428606.1, XP_015440192.1
OG0000832	XP_037873226.1	XP_015429166.1
OG0000835	NP_001037426.1	XP_015431134.1
OG0000837	XP_037868528.1	XP_015436329.1
OG0000838	XP_037872648.1, XP_037872699.1, XP_037872685.1	XP_015438932.1
OG0000839	NP_001121191.1, NP_001108339.1, XP_021202428.1	XP_015429634.1, XP_015429546.1
OG0000840	XP_012549066.1	XP_015436664.1
OG0000841	XP_004927568.1, XP_037875239.1, NP_001040333.1	XP_015429529.1
OG0000842	XP_004930273.1, XP_004930272.1, XP_021206240.1, XP_004930058.1, XP_012549336.1, XP_012549335.1	XP_015440270.1
OG0000843	XP_037867708.1, XP_037867709.1, XP_037867710.1, XP_021203074.1, XP_004930787.1	XP_015432284.1
OG0000844	NP_001037544.1, XP_012549900.1	XP_015429808.1
OG0000849	NP_001037271.1	XP_015438588.1, XP_015438589.1
OG0000850	XP_012549718.1, NP_001037438.1	XP_015436742.1
OG0000851	XP_012546396.1, XP_037867570.1	XP_015429407.1, XP_015429406.1
OG0000852	XP_037869580.1, XP_012551596.1, XP_012551598.1, XP_004932899.1, XP_012551597.1, XP_037869581.1	XP_015432163.1
OG0000853	XP_004921970.1, XP_037877273.1	XP_015430348.1, XP_015430346.1, XP_015430347.1
OG0000854	XP_004927904.1	XP_015433988.1
OG0000855	XP_004929913.1	XP_015429905.1, XP_015429906.1
OG0000856	XP_037875396.1	XP_015434595.1
OG0000856	XP_012552833.1, XP_004923038.1	XP_015434638.1
OG0000857	XP_004930683.2, XP_037874887.1, XP_004924743.1	XP_015430616.1
OG0000858	XP_004924417.1, XP_004924454.1	XP_015431883.1
OG0000859	XP_037868777.1	XP_015435330.1
OG0000860	XP_004928613.1	XP_015433666.1, XP_015433664.1, XP_015433665.1
OG0000861	XP_037871434.1, XP_021208843.2	XP_015432534.1
OG0000862	XP_037874542.1, XP_037874543.1, XP_037874541.1	XP_015432062.1
OG0000863	XP_012547296.2, XP_037870680.1	XP_015430577.1
OG0000864	XP_012551032.1, XP_012551031.1, XP_012551030.1, XP_012551028.1	XP_015439795.1
OG0000865	XP_012546894.1	XP_015440202.1
OG0000867	XP_012544946.1, XP_012544941.1, XP_012544943.1, XP_012546240.3, XP_004926683.2	XP_015433845.1
OG0000868	XP_004921940.1, XP_012546467.2	XP_015430090.1, XP_015429498.1
OG0000870	XP_004930430.1	XP_015437265.1
OG0000872	NP_001243979.1, XP_037870657.1	XP_015435231.1
OG0000873	XP_037875475.1	XP_015440324.1
OG0000874	XP_021203419.1	XP_015438188.1
OG0000875	XP_037868347.1, XP_037868348.1	XP_015432366.1
OG0000876	NP_001040334.1	XP_015433442.1, XP_015433436.1
OG0000877	NP_001162052.1	XP_015428650.1
OG0000878	XP_021206190.1	XP_015435085.1
OG0000878	XP_012549125.1, NP_001037343.1	XP_015435111.1
OG0000879	XP_037866911.1	XP_015433788.1, XP_015433787.1
OG0000880	XP_021201849.1	XP_015439130.1
OG0000880	XP_021207428.1, NP_001182385.1	XP_015438999.1
OG0000881	XP_004930563.1	XP_015431399.1
OG0000883	NP_001040482.1, XP_037875584.1, NP_001040419.1	XP_015439347.1
OG0000884	XP_004930701.1	XP_015435609.1
OG0000885	XP_037875651.1	XP_015429188.1
OG0000887	XP_004924370.1	XP_015434402.1, XP_015434519.1
OG0000888	XP_037873151.1, XP_037873150.1	XP_015430402.1, XP_015437884.1
OG0000890	XP_004925284.2, XP_021203053.2	XP_015430864.1
OG0000892	XP_037872295.1	XP_015439082.1, XP_015439090.1, XP_015439098.1
OG0000893	XP_021206965.1	XP_015436613.1, XP_015435682.1
OG0000894	XP_021207181.2	XP_015432602.1
OG0000895	XP_037869197.1, XP_037869199.1, XP_037869202.1	XP_015434236.1, XP_015434237.1
OG0000896	NP_001036879.1, XP_037868882.1	XP_015435598.1
OG0000897	XP_004931523.2	XP_015434715.1
OG0000898	XP_012543985.1	XP_015440102.1, XP_015429217.1
OG0000899	XP_004930536.1	XP_015428714.1
OG0000900	XP_037874927.1, XP_004930670.2	XP_015432099.1
OG0000901	XP_012550223.1	XP_015435681.1
OG0000903	NP_001127725.1, NP_001127723.1, XP_037871108.1, XP_037871467.1	XP_015432930.1
OG0000905	XP_021208506.1	XP_015438183.1
OG0000906	XP_021206004.1	XP_015438179.1
OG0000906	XP_021203497.2	XP_015438388.1
OG0000908	XP_037867243.1, XP_004932353.1, XP_012551163.1, XP_012551165.1	XP_015438401.1
OG0000909	XP_004930983.1	XP_015428795.1
OG0000910	NP_001037448.1, XP_012552141.1, NP_001093293.1, XP_037876985.1	XP_015432353.1, XP_015432343.1
OG0000911	XP_012551019.1	XP_015439013.1
OG0000912	XP_037877785.1, XP_037877790.1	XP_015439535.1
OG0000914	XP_037867418.1, XP_037867416.1, XP_037867415.1, XP_037867414.1, XP_037867412.1, XP_037867413.1	XP_015430477.1
OG0000915	NP_001036859.1	XP_015434614.1
OG0000916	NP_001036919.1	XP_015432584.1
OG0000916	XP_004926829.1, NP_001153661.1	XP_015432596.1
OG0000917	NP_001040140.1	XP_015432611.1
OG0000918	XP_004931164.1, XP_021207019.1, XP_004931165.1	XP_015436619.1
OG0000919	XP_012550870.1	XP_015431667.1
OG0000920	NP_001091805.1	XP_015430334.1, XP_015430325.1, XP_015430342.1
OG0000921	NP_001296561.1	XP_015431388.1, XP_015431387.1, XP_015431389.1
OG0000922	XP_004933384.1, XP_004933383.1, XP_004924748.1	XP_015430415.1
OG0000923	NP_001036982.1, XP_021202800.1	XP_015438334.1
OG0000924	XP_004930377.1	XP_015435794.1
OG0000925	XP_004928502.1, XP_021202497.2	XP_015433075.1
OG0000926	XP_021208548.2, NP_001040142.1	XP_015432575.1
OG0000927	XP_004928837.2	XP_015435019.1
OG0000928	XP_004922999.1	XP_015438428.1
OG0000929	NP_001040294.1	XP_015433173.1
OG0000930	XP_037872623.1	XP_015431084.1
OG0000931	XP_004932395.2	XP_015434904.1
OG0000932	XP_037868696.1, XP_037868697.1, XP_037868695.1, XP_037868693.1	XP_015439311.1
OG0000933	NP_001036876.1	XP_015434525.1, XP_015433046.1
OG0000934	XP_004922485.2	XP_015440077.1
OG0000937	XP_004927554.3, XP_021204568.1	XP_015429305.1
OG0000938	XP_012552500.1	XP_015437503.1
OG0000941	XP_037868215.1	XP_015429495.1
OG0000942	XP_037875810.1	XP_015434790.1
OG0000943	XP_012544451.1	XP_015432439.1
OG0000944	XP_021208208.1, XP_037867074.1	XP_015434121.1
OG0000945	NP_001040531.1	XP_015438438.1, XP_015438439.1
OG0000946	XP_004929214.1	XP_015429289.1, XP_015428568.1
OG0000948	XP_004929142.1, XP_004929141.1	XP_015435728.1
OG0000949	NP_001296553.1	XP_015437163.1
OG0000950	XP_037870486.1, XP_037870487.1	XP_015435825.1, XP_015435833.1
OG0000951	XP_004928270.1	XP_015430464.1, XP_015430462.1, XP_015430463.1
OG0000952	XP_004928289.1	XP_015436332.1
OG0000953	XP_037877732.1	XP_015429439.1
OG0000954	XP_004927115.1, XP_037877524.1	XP_015431014.1, XP_015431012.1
OG0000955	XP_037876067.1, XP_021209092.1	XP_015429456.1
OG0000957	XP_037870134.1, XP_037877293.1	XP_015428740.1
OG0000958	NP_001127714.1, NP_001127740.1, XP_037873765.1	XP_015430623.1
OG0000959	XP_037874880.1, XP_012544647.1	XP_015431386.1, XP_015431296.1
OG0000960	NP_001040502.1	XP_015439752.1
OG0000960	XP_037873523.1	XP_015439746.1
OG0000961	XP_037867675.1, XP_037867674.1	XP_015431047.1
OG0000962	XP_021205129.1, NP_001299580.1	XP_015430216.1
OG0000963	NP_001091829.1	XP_015436151.1
OG0000964	XP_037870832.1, XP_037870835.1	XP_015431708.1, XP_015431717.1
OG0000965	XP_037874770.1, XP_037874755.1	XP_015436410.1
OG0000966	XP_037872227.1	XP_015431135.1
OG0000967	NP_001116812.1	XP_015430658.1
OG0000968	XP_037873409.1, XP_037873416.1	XP_015432857.1
OG0000970	XP_004924882.2	XP_015440451.1
OG0000971	XP_037870111.1, XP_012548870.1	XP_015439434.1
OG0000972	XP_037866506.1	XP_015437318.1
OG0000973	XP_004930164.1	XP_015428696.1, XP_015428711.1, XP_015428704.1
OG0000974	XP_037872739.1	XP_015434065.1, XP_015434066.1
OG0000975	XP_037873866.1, XP_037873895.1, XP_037873893.1	XP_015436879.1
OG0000976	XP_004927917.2	XP_015431992.1
OG0000977	XP_004923422.2, XP_004928914.1	XP_015440051.1
OG0000978	XP_021208192.1	XP_015440373.1, XP_015435492.1
OG0000979	XP_021206860.2	XP_015438043.1
OG0000980	XP_037868898.1, XP_037875915.1, XP_037875916.1	XP_015429212.1
OG0000983	XP_004924077.1, XP_004924076.1	XP_015440002.1
OG0000985	XP_021206754.2, XP_012549882.2, XP_004922470.2	XP_015438344.1
OG0000986	XP_037876430.1, XP_021202300.1, XP_021202305.1, XP_021202303.1, XP_021202302.1, XP_021202301.1	XP_015439743.1
OG0000987	XP_012548339.1	XP_015440366.1
OG0000988	NP_001164649.1	XP_015430580.1
OG0000989	XP_012546534.2, XP_012546538.2	XP_015433625.1
OG0000990	NP_001127719.1	XP_015438755.1
OG0000992	NP_001040289.1, XP_012548308.1	XP_015428550.1, XP_015428548.1
OG0000993	NP_001037364.1, XP_037872127.1	XP_015429057.1
OG0000994	NP_001040167.1	XP_015429081.1, XP_015429135.1
OG0000995	NP_001106230.1	XP_015431356.1
OG0000996	NP_001036909.1	XP_015435745.1, XP_015435744.1
OG0000997	XP_004933539.1	XP_015439771.1
OG0000997	XP_004930162.1	XP_015440230.1
OG0000998	NP_001108463.1, XP_021204265.2	XP_015434647.1
OG0000999	XP_037871889.1, NP_001036847.1	XP_015430447.1
OG0001000	XP_004927100.1	XP_015429845.1, XP_015429844.1
OG0001001	NP_001091815.1	XP_015438002.1, XP_015430747.1
OG0001002	NP_001091821.1	XP_015434888.1
OG0001003	XP_004930115.1, XP_004930116.1	XP_015438385.1
OG0001004	XP_021207158.1	XP_015437655.1
OG0001005	XP_004930344.1	XP_015439086.1
OG0001006	XP_037877686.1, XP_037877687.1	XP_015440539.1, XP_015440538.1
OG0001007	XP_012551579.1	XP_015438960.1
OG0001008	NP_001243922.1, XP_037869044.1, NP_001037034.1	XP_015438788.1
OG0001009	XP_037876105.1	XP_015436115.1, XP_015437413.1
OG0001011	XP_004930447.2	XP_015430912.1
OG0001012	XP_012551938.1, XP_037873592.1	XP_015433280.1
OG0001013	XP_004933411.1, XP_004933410.1	XP_015439219.1
OG0001014	XP_004926225.3	XP_015429109.1
OG0001015	XP_004931112.2, XP_037868988.1	XP_015436597.1
OG0001015	XP_004931226.2	XP_015436607.1
OG0001016	XP_004932217.1	XP_015433041.1, XP_015437715.1
OG0001017	XP_012548326.1, XP_012548337.1, XP_004922144.1, XP_021204671.1	XP_015429960.1
OG0001018	XP_037875036.1, NP_001091845.1	XP_015438190.1
OG0001019	XP_037869186.1	XP_015438862.1
OG0001020	XP_004925875.1	XP_015429328.1
OG0001021	XP_004925524.1	XP_015436528.1
OG0001022	XP_012548973.1	XP_015430502.1, XP_015430500.1, XP_015430405.1
OG0001023	XP_021202636.2	XP_015440486.1
OG0001024	XP_012546162.1	XP_015439080.1
OG0001025	XP_012544535.2	XP_015431309.1
OG0001026	XP_004922009.1	XP_015433750.1
OG0001027	XP_004925186.1	XP_015439987.1, XP_015439986.1, XP_015439985.1
OG0001028	NP_001040546.1, XP_012546310.1	XP_015439622.1
OG0001030	XP_004932570.1	XP_015439176.1
OG0001031	XP_037877146.1	XP_015430659.1
OG0001032	XP_004923640.1	XP_015437692.1
OG0001033	XP_012545394.1, NP_001161188.1	XP_015438265.1
OG0001034	XP_037875314.1, XP_037875312.1	XP_015440115.1
OG0001035	XP_037870647.1	XP_015429551.1
OG0001036	XP_004931447.2	XP_015433741.1, XP_015440403.1
OG0001037	NP_001037080.1, XP_004926655.1, XP_004926654.1, XP_037867715.1, XP_037867716.1	XP_015434444.1
OG0001038	XP_012549948.1	XP_015439893.1
OG0001039	XP_004921977.2, XP_037877272.1	XP_015438726.1
OG0001040	XP_021204516.2	XP_015435380.1, XP_015435379.1
OG0001041	XP_004932148.1	XP_015437162.1
OG0001042	XP_037876973.1, XP_037876972.1, XP_037876971.1	XP_015432407.1
OG0001044	XP_037868906.1, XP_021208939.1	XP_015436972.1
OG0001045	XP_004923807.1, XP_004923839.3, XP_037871303.1	XP_015429608.1
OG0001046	XP_004929883.1, XP_004929882.1	XP_015434583.1
OG0001048	XP_037876905.1, XP_037876906.1	XP_015437438.1, XP_015437439.1, XP_015437440.1, XP_015437441.1, XP_015437443.1, XP_015437437.1
OG0001049	XP_037866893.1, XP_037866897.1, XP_021207763.2	XP_015436429.1, XP_015436428.1
OG0001050	NP_001037042.1	XP_015435563.1, XP_015435564.1
OG0001052	XP_004926923.1	XP_015439737.1
OG0001053	NP_001036970.1, XP_021203004.2	XP_015433232.1, XP_015433233.1
OG0001054	XP_037877208.1, XP_037872743.1	XP_015430275.1
OG0001055	XP_037874322.1	XP_015428649.1, XP_015428648.1, XP_015428647.1
OG0001056	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1	XP_015429671.1, XP_015429672.1
OG0001057	XP_012546102.1	XP_015439675.1
OG0001058	XP_037869696.1	XP_015431277.1
OG0001059	NP_001165393.1, XP_037873012.1	XP_015429445.1, XP_015439523.1
OG0001060	XP_037874163.1, XP_037874164.1, XP_037874165.1	XP_015430683.1
OG0001061	XP_012544018.2	XP_015439606.1, XP_015439605.1, XP_015439604.1
OG0001063	XP_012545541.3	XP_015433110.1
OG0001064	XP_012548764.2	XP_015434494.1
OG0001065	NP_001106139.1, XP_012544167.1	XP_015438348.1
OG0001066	XP_004929225.1	XP_015437334.1
OG0001067	XP_012549214.1	XP_015440478.1, XP_015440480.1
OG0001068	XP_037876252.1, XP_021208008.2, XP_012551482.1	XP_015429851.1
OG0001069	XP_004932579.1	XP_015438935.1
OG0001070	XP_004930760.1, XP_004930761.1	XP_015435416.1
OG0001071	XP_012544371.1, XP_012544374.1	XP_015436206.1
OG0001072	XP_037874093.1, XP_037874090.1	XP_015428520.1
OG0001073	XP_021203320.2, XP_021203319.1	XP_015439548.1, XP_015439514.1
OG0001074	XP_004930337.1	XP_015435822.1, XP_015435786.1
OG0001075	XP_037872729.1	XP_015436519.1, XP_015436621.1
OG0001076	XP_037874441.1, XP_004929657.1	XP_015436502.1
OG0001077	NP_001040222.1	XP_015438675.1
OG0001078	XP_012546938.2	XP_015431398.1
OG0001079	XP_012545888.2	XP_015440017.1
OG0001081	XP_004925864.1, XP_012545586.2	XP_015438910.1
OG0001083	XP_004925857.1	XP_015439190.1
OG0001084	XP_004931981.2	XP_015439092.1
OG0001085	XP_004924088.1, XP_004924087.1	XP_015433251.1, XP_015433250.1, XP_015433249.1
OG0001086	XP_004926056.1, XP_012545716.1	XP_015430723.1, XP_015430724.1, XP_015430725.1, XP_015430726.1
OG0001090	NP_001037162.1, XP_012549564.1	XP_015430665.1, XP_015430664.1, XP_015430663.1
OG0001091	XP_004929855.2	XP_015429760.1
OG0001092	XP_012548309.1, NP_001037470.1	XP_015433886.1, XP_015433879.1
OG0001093	XP_004931699.1	XP_015431393.1, XP_015431394.1
OG0001094	XP_012547124.1, NP_001040452.1	XP_015432999.1
OG0001095	NP_001040518.1	XP_015433991.1
OG0001096	XP_021203548.1, XP_004925978.1	XP_015430260.1
OG0001097	NP_001040313.1	XP_015438468.1, XP_015438467.1
OG0001098	XP_004926527.1	XP_015432197.1
OG0001099	NP_001093089.1	XP_015435245.1
OG0001100	NP_001040216.1	XP_015432039.1
OG0001101	XP_004922168.1, XP_037873380.1	XP_015437372.1
OG0001102	NP_001037114.1	XP_015439559.1
OG0001103	NP_001037108.1	XP_015437469.1
OG0001104	XP_004934317.1	XP_015440021.1
OG0001105	XP_037871716.1, XP_037871717.1	XP_015431851.1
OG0001106	XP_004927328.1, XP_004927327.1, XP_004927329.1	XP_015436611.1
OG0001107	XP_004926469.1	XP_015430937.1, XP_015430936.1
OG0001108	XP_021203928.2	XP_015430476.1
OG0001109	XP_012545410.1	XP_015430549.1
OG0001110	XP_004930468.1	XP_015437037.1
OG0001111	XP_004924201.1	XP_015432987.1
OG0001112	NP_001266326.1, XP_012547737.1	XP_015435253.1
OG0001113	XP_004931327.2	XP_015440030.1, XP_015440029.1
OG0001114	XP_004932918.1, XP_012551624.1	XP_015431323.1
OG0001115	XP_004931997.1	XP_015430909.1
OG0001116	XP_037868483.1	XP_015435142.1
OG0001117	XP_012549213.2	XP_015438541.1
OG0001118	XP_004922745.1	XP_015429117.1
OG0001119	XP_004929815.1, XP_012549045.1	XP_015436536.1
OG0001120	XP_004922742.2	XP_015436692.1
OG0001120	XP_004933542.1	XP_015436699.1
OG0001121	XP_021207858.2, NP_001180543.1	XP_015432861.1
OG0001122	XP_037869135.1	XP_015433096.1
OG0001123	XP_004931101.1, XP_004931100.1	XP_015437977.1
OG0001124	XP_037873124.1	XP_015438358.1
OG0001125	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1	XP_015429880.1
OG0001126	XP_037872173.1	XP_015429255.1
OG0001127	XP_012551002.1	XP_015438279.1
OG0001128	XP_012551412.2, NP_001232932.1	XP_015430023.1
OG0001129	XP_021203161.1	XP_015431987.1
OG0001130	NP_001106222.1	XP_015432310.1
OG0001131	NP_001036904.1, XP_021205859.1	XP_015439208.1
OG0001132	XP_037870554.1	XP_015430844.1
OG0001133	XP_004930615.1	XP_015434384.1
OG0001134	XP_037877752.1	XP_015428627.1
OG0001135	XP_037877715.1, XP_037877714.1	XP_015436846.1
OG0001137	XP_004933072.1	XP_015434120.1
OG0001138	XP_037877664.1, NP_001040359.1	XP_015440516.1
OG0001139	XP_012544364.1, XP_012544366.1	XP_015432496.1
OG0001140	XP_021205705.1, NP_001103403.1	XP_015431625.1
OG0001141	XP_037872989.1	XP_015428712.1
OG0001142	XP_037868754.1	XP_015430391.1
OG0001143	XP_004931875.1	XP_015437639.1
OG0001144	XP_012548247.2, XP_037876489.1, XP_037876488.1	XP_015430181.1, XP_015430186.1
OG0001145	XP_012543901.1	XP_015436145.1
OG0001146	XP_004921594.1	XP_015439721.1, XP_015440143.1
OG0001147	XP_012547142.2	XP_015429658.1
OG0001148	XP_004928140.1, XP_012547674.1, XP_037873134.1	XP_015435482.1
OG0001149	XP_037867251.1	XP_015437736.1
OG0001150	XP_004925200.1, XP_021203010.1	XP_015431706.1, XP_015431705.1
OG0001151	XP_012545538.1, NP_001103478.1	XP_015435577.1
OG0001152	XP_012547811.1, XP_012547814.1	XP_015428951.1
OG0001153	XP_004924521.2	XP_015431781.1
OG0001154	XP_037868706.1, XP_004924023.1	XP_015434924.1, XP_015434922.1
OG0001155	XP_037871158.1	XP_015429037.1
OG0001156	XP_004928302.1	XP_015438608.1
OG0001157	XP_004926833.1	XP_015429042.1
OG0001158	XP_012551780.2	XP_015438264.1
OG0001159	XP_037876270.1	XP_015437279.1
OG0001160	XP_004921968.1, XP_037877276.1	XP_015439543.1
OG0001161	NP_001093315.1	XP_015434186.1
OG0001162	XP_037873093.1	XP_015440107.1
OG0001163	XP_037877307.1, NP_001243921.1	XP_015433801.1, XP_015433802.1
OG0001165	XP_037871563.1, XP_037871559.1	XP_015431293.1
OG0001166	XP_037869122.1	XP_015434509.1
OG0001167	XP_004925143.1	XP_015431079.1
OG0001169	XP_004933290.1, XP_004933289.1	XP_015434074.1
OG0001170	NP_001040307.1, XP_037873399.1	XP_015440109.1
OG0001172	XP_037871481.1, NP_001139127.1	XP_015440157.1
OG0001173	XP_004923145.2, XP_037875779.1	XP_015430095.1
OG0001174	XP_004931972.1	XP_015434999.1, XP_015432220.1, XP_015432221.1
OG0001175	XP_037875209.1	XP_015437682.1
OG0001176	XP_004931359.1	XP_015428980.1
OG0001177	XP_037875889.1	XP_015437236.1
OG0001178	XP_021204911.1, XP_004927733.1	XP_015432042.1
OG0001179	XP_012550481.2	XP_015433439.1
OG0001180	XP_037872073.1	XP_015434367.1, XP_015434364.1
OG0001181	XP_004927791.1	XP_015431189.1, XP_015431190.1
OG0001182	XP_037875670.1, XP_037875884.1	XP_015436546.1
OG0001183	XP_037869217.1, XP_037869220.1	XP_015435918.1, XP_015435916.1
OG0001184	XP_012549667.1, XP_012549669.1	XP_015431102.1
OG0001185	XP_037874622.1, NP_001165114.1	XP_015432093.1
OG0001186	XP_004924300.1	XP_015430528.1
OG0001187	XP_012551805.2	XP_015430468.1, XP_015430469.1
OG0001188	XP_004924079.1	XP_015431928.1
OG0001189	XP_037877740.1	XP_015430238.1
OG0001191	XP_021204668.1, XP_037870110.1, XP_021204693.1	XP_015434908.1, XP_015434812.1
OG0001193	NP_001093292.1, XP_021203117.2, NP_001103402.1	XP_015430850.1
OG0001195	XP_037877359.1	XP_015434567.1
OG0001198	XP_004925553.1	XP_015435697.1
OG0001199	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1	XP_015438166.1
OG0001202	XP_037869396.1, XP_037869397.1	XP_015436552.1
OG0001203	NP_001296540.1	XP_015431891.1, XP_015435254.1
OG0001204	XP_037874979.1	XP_015438592.1
OG0001205	XP_004933672.2	XP_015439419.1, XP_015436179.1
OG0001206	XP_004929966.1, XP_037869097.1	XP_015429839.1
OG0001208	XP_037876320.1, XP_012553119.1, XP_021209257.1	XP_015439996.1
OG0001211	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1	XP_015435190.1
OG0001214	NP_001040279.1, XP_012551201.1	XP_015436578.1
OG0001215	XP_037872613.1, XP_037872615.1, XP_021208348.1	XP_015439104.1
OG0001216	XP_012550836.2	XP_015436801.1
OG0001217	XP_004927890.1	XP_015428454.1
OG0001218	NP_001040120.1	XP_015432038.1
OG0001219	XP_004929153.2	XP_015432683.1, XP_015432684.1
OG0001220	XP_004930794.1	XP_015432670.1
OG0001222	XP_004922174.2	XP_015437978.1
OG0001223	XP_037872237.1	XP_015432643.1
OG0001224	XP_004926867.1	XP_015432729.1
OG0001225	NP_001040311.1	XP_015437481.1
OG0001228	XP_012545774.2, XP_037876543.1	XP_015437959.1, XP_015437956.1, XP_015437957.1, XP_015437958.1
OG0001229	NP_001037132.1, XP_012548070.1	XP_015429715.1, XP_015429716.1
OG0001230	NP_001037259.1	XP_015439809.1, XP_015439808.1
OG0001231	XP_037869352.1	XP_015428621.1
OG0001231	XP_037866604.1	XP_015428623.1
OG0001232	XP_037869261.1, XP_037869262.1	XP_015437160.1
OG0001233	XP_012549545.1	XP_015431474.1
OG0001234	XP_037874331.1, XP_021203183.1, XP_004925455.2	XP_015437820.1, XP_015437818.1
OG0001236	XP_004931956.1	XP_015433344.1, XP_015433343.1
OG0001238	XP_021203590.2, XP_021203599.1	XP_015433532.1
OG0001239	XP_012548121.3	XP_015429453.1, XP_015429452.1
OG0001240	NP_001040150.1	XP_015438883.1, XP_015438882.1
OG0001241	XP_012551265.1	XP_015436535.1
OG0001242	XP_021203674.1, XP_004926232.2	XP_015438224.1, XP_015438225.1, XP_015438222.1
OG0001244	XP_004931363.1	XP_015437313.1
OG0001245	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1	XP_015430823.1
OG0001246	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1	XP_015431442.1
OG0001247	NP_001280620.1, XP_012547444.1	XP_015438506.1
OG0001248	NP_001266436.1	XP_015431131.1
OG0001249	XP_037873698.1	XP_015429969.1
OG0001250	XP_012547191.3, XP_037871060.1	XP_015430420.1
OG0001251	XP_021202275.2, XP_021202277.2	XP_015439312.1, XP_015439687.1
OG0001253	XP_037868796.1	XP_015436543.1
OG0001254	XP_012548031.1	XP_015433626.1
OG0001255	XP_004932670.4	XP_015437600.1
OG0001256	XP_037870663.1, NP_001036985.1	XP_015437215.1, XP_015437216.1
OG0001257	XP_012546555.1	XP_015428710.1
OG0001258	XP_037870191.1	XP_015430648.1
