Orthogroup	Bombyx_mori	Bombus_terrestris
OG0001513	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1	XP_003399308.1
OG0001514	NP_001243989.1, XP_012551916.2	XP_012176755.1
OG0001515	XP_037869339.1, XP_012552167.1, XP_004933624.1	XP_012165605.1
OG0001516	XP_012548192.1	XP_003402767.2
OG0001517	XP_004930586.1	XP_003402258.1
OG0001518	XP_012547971.1	XP_003394178.3
OG0001519	XP_037877043.1	XP_012169169.1
OG0001520	XP_004926900.1	XP_012174354.2, XP_012174355.1
OG0001521	XP_037873615.1	XP_003395486.1
OG0001522	NP_001189459.1, XP_012547725.2	XP_020718251.1
OG0001523	XP_037867735.1	XP_020722376.1
OG0001524	XP_004928551.2	XP_003399206.1, XP_012169486.1, XP_012169487.1
OG0001525	XP_004928511.1	XP_012172750.1, XP_003401499.1, XP_012172749.1
OG0001526	XP_037869703.1	XP_020720026.1, XP_012166840.1, XP_020720024.1
OG0001527	XP_012547691.1, XP_012547692.1, XP_004928271.1	XP_003397768.1
OG0001529	NP_001103396.1, XP_021202150.1	XP_012174646.1
OG0001531	XP_004927972.1	XP_003395582.1
OG0001533	XP_037872089.1	XP_003402056.1
OG0001534	XP_012548708.1	XP_020721645.1
OG0001536	XP_021207987.1	XP_012165121.1
OG0001537	XP_004930078.1	XP_012169946.1, XP_012169947.1
OG0001538	NP_001037049.1, XP_037873389.1	XP_020720324.1, XP_020720323.1
OG0001539	NP_001182396.1	XP_012170914.1
OG0001541	XP_037869460.1	XP_020719680.1, XP_003396341.1
OG0001542	XP_004925578.2	XP_012163276.1, XP_012163274.1
OG0001543	XP_021208076.1	XP_012168843.1
OG0001545	XP_021205692.2	XP_003394442.1, XP_012176378.1, XP_020724290.1
OG0001546	XP_021202997.2	XP_012163794.1, XP_012163795.1, XP_003395645.1
OG0001547	XP_037875077.1	XP_020721686.1
OG0001548	XP_037871858.1	XP_003394368.2, XP_012176262.1
OG0001549	XP_004926505.1, XP_037875796.1, XP_004926490.1, XP_004926488.1, XP_004926489.1	XP_012168934.1
OG0001550	NP_001127721.1	XP_003399933.1
OG0001551	NP_001040440.1, XP_021205145.1	XP_020719562.1, XP_020719563.1
OG0001552	XP_037875658.1, XP_037875663.1	XP_003393584.1, XP_012170334.1
OG0001553	XP_004922085.1	XP_012175724.1, XP_003394028.1
OG0001554	XP_021202702.2	XP_012169996.1, XP_012169992.1
OG0001555	XP_004926499.2	XP_012164431.1
OG0001556	XP_037869191.1	XP_003400217.1, XP_012170974.1
OG0001557	NP_001127732.1, XP_037868153.1	XP_012169157.2, XP_003398998.1
OG0001558	XP_004922281.1	XP_020723020.1, XP_003401805.1
OG0001559	XP_012550319.2	XP_003399174.3
OG0001560	XP_012553162.1, XP_012553161.2	XP_012167417.2
OG0001561	XP_004928449.2	XP_012172415.1, XP_003401267.1, XP_012172414.1
OG0001562	XP_037867104.1, XP_037867118.1	XP_012165869.1
OG0001563	XP_021204882.1	XP_012172782.1, XP_012172784.1
OG0001564	XP_037867971.1, XP_037872070.1, XP_037872069.1, XP_021208340.2, XP_037872071.1, XP_012546980.2	XP_012175519.1
OG0001565	XP_037874788.1	XP_012168216.1, XP_012168217.1, XP_012168214.1, XP_012168215.1, XP_012168213.1, XP_020720602.1, XP_012168212.1
OG0001567	NP_001036935.1, XP_037873779.1	XP_012174475.1
OG0001568	XP_037876104.1, NP_001243990.1	XP_012164346.1, XP_012164344.1, XP_012164347.1
OG0001569	XP_037873304.1	XP_003400682.1
OG0001570	XP_012551718.2	XP_003402743.1, XP_003402744.1
OG0001571	XP_037875923.1	XP_012170829.1
OG0001572	XP_004927967.1, XP_004927965.1	XP_003401007.1, XP_020722481.1, XP_020722482.1
OG0001574	XP_012553425.1, XP_021201980.1	XP_012170941.1, XP_020721976.1
OG0001575	NP_001037325.1, NP_001037333.1	XP_003397584.1
OG0001576	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1	XP_020723599.1
OG0001577	XP_037868606.1, NP_001106746.1	XP_020719874.1, XP_012166616.1
OG0001578	NP_001127709.1, NP_001127751.1, XP_037874604.1	XP_012163292.1
OG0001579	XP_037874676.1	XP_003398242.2, XP_012167913.1, XP_012167914.1
OG0001580	XP_004930748.1	XP_020722899.1, XP_003401926.1
OG0001581	XP_012551182.2	XP_003398383.1
OG0001582	XP_012550801.1	XP_012176331.1
OG0001583	XP_004928527.1	XP_003401531.3
OG0001584	XP_012546518.1, XP_012546512.1	XP_003393138.1, XP_012164649.1
OG0001586	XP_012545422.2, NP_001138795.1	XP_003393715.1
OG0001587	XP_004931594.2	XP_012165753.2
OG0001588	XP_037873144.1	XP_020720969.1, XP_020720971.1, XP_020720970.1
OG0001589	XP_021209162.1, XP_004925726.1, XP_004925727.1	XP_012164356.1
OG0001591	XP_004930937.1	XP_020721213.1, XP_012168968.1
OG0001592	XP_004927023.1	XP_020723335.1, XP_003402383.1
OG0001593	NP_001036870.1, XP_037867807.1	XP_020722498.1
OG0001594	XP_004927503.2	XP_012164749.1, XP_012164750.1, XP_003396139.1
OG0001595	XP_004922227.1, XP_021205276.1	XP_012165878.1, XP_012165877.1, XP_012165876.1, XP_003396765.1
OG0001596	XP_004926385.1	XP_020721997.1
OG0001597	XP_004927855.1	XP_003393964.1
OG0001598	XP_037876897.1, NP_001037309.1	XP_012163499.1
OG0001599	XP_037872272.1	XP_003402629.1, XP_012174360.1, XP_012174361.1
OG0001600	XP_021208437.1	XP_003397870.1
OG0001601	XP_012553340.2	XP_020720744.1
OG0001602	XP_012553401.1, XP_004931415.1, XP_021201945.1	XP_012163956.1, XP_012163954.1, XP_020718802.1
OG0001604	XP_012549189.1, XP_012549190.1	XP_012167570.1, XP_012167575.1
OG0001605	NP_001040217.1, XP_012543931.1	XP_020718451.1, XP_012175532.1, XP_012163400.1
OG0001606	NP_001296482.1, XP_004927952.1	XP_012169847.2
OG0001608	XP_004931746.1	XP_012169615.1, XP_012169614.1
OG0001612	XP_021207912.2	XP_012174876.1
OG0001614	NP_001036780.1	XP_003403084.2
OG0001615	NP_001037213.1, XP_037872124.1	XP_003402444.1
OG0001616	NP_001040407.1	XP_003399340.1
OG0001617	NP_001040232.1	XP_003393623.1
OG0001619	XP_021205425.1, XP_004928959.1	XP_012168493.1
OG0001620	XP_004933138.1	XP_003401842.1
OG0001621	XP_004925826.2, XP_037877870.1	XP_020723077.1
OG0001623	XP_037867510.1	XP_003395188.1
OG0001624	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1	XP_003399667.1
OG0001625	XP_037874467.1	XP_003403106.1
OG0001626	XP_004928349.1	XP_003398572.1, XP_012168351.1
OG0001627	XP_004924826.1	XP_003394726.2
OG0001628	NP_001239350.1, XP_012553261.1	XP_020718456.1
OG0001629	XP_037873828.1, NP_001037261.1	XP_012173811.1, XP_012173812.1
OG0001630	XP_012546057.1, XP_012546059.1, XP_004926433.1	XP_003398527.1
OG0001631	XP_004924824.1	XP_020720976.1, XP_003398681.1
OG0001632	XP_037869971.1, XP_037869970.1, XP_037869973.1, XP_037869972.1	XP_003400770.1, XP_012171658.1
OG0001633	XP_004930100.1	XP_020721917.1
OG0001634	XP_021204093.1, XP_021204095.1	XP_012173728.1
OG0001635	XP_004933692.1	XP_012174882.1, XP_012174883.1, XP_012174884.1, XP_012174885.1, XP_012174886.1, XP_003403013.1, XP_012174887.1
OG0001636	NP_001037295.1	XP_012173783.1
OG0001637	XP_004932373.2	XP_012167750.1
OG0001638	XP_037877824.1	XP_020724090.1, XP_003402244.1, XP_020723236.1
OG0001639	XP_004924180.1	XP_012171149.1
OG0001640	XP_004925552.1	XP_003396116.1
OG0001641	XP_037870957.1	XP_003395440.1
OG0001642	XP_004927839.1	XP_012173919.1, XP_003393925.1
OG0001643	XP_012546247.1	XP_012171826.2
OG0001644	XP_004931403.2, XP_012550302.2, XP_004931298.1	XP_003403179.1
OG0001645	XP_012550830.1, XP_012550828.1	XP_003401724.1
OG0001646	XP_037873850.1	XP_020718530.1, XP_003394922.1
OG0001647	XP_004923960.1	XP_020722302.1
OG0001648	XP_004921645.2	XP_012169955.1, XP_012170068.1, XP_012169905.1, XP_012170016.1, XP_012169839.1
OG0001649	NP_001040322.1	XP_012167564.1, XP_003397875.2, XP_020720124.1, XP_012167563.1, XP_012167562.1
OG0001650	XP_037870812.1	XP_003401930.1
OG0001651	XP_012550939.1	XP_012169672.1, XP_020721110.1, XP_012169670.1
OG0001652	XP_037874387.1	XP_020719955.1, XP_003397370.1
OG0001653	XP_004932298.1	XP_020720421.1
OG0001654	XP_037874808.1, XP_037874810.1	XP_012169926.1
OG0001655	XP_037870353.1, XP_004929896.1	XP_003396274.1
OG0001656	XP_037874784.1	XP_020720327.1
OG0001657	XP_004923460.1	XP_012165258.1, XP_012165259.1, XP_003396300.1, XP_020719401.1, XP_012165256.1
OG0001658	XP_004929407.1	XP_003394971.1
OG0001659	XP_037867834.1, XP_037867832.1	XP_012172174.1
OG0001660	XP_012547355.1, XP_004927973.1, XP_021204730.1, XP_021204729.1, XP_021204727.1, XP_012547354.1, XP_012547353.1	XP_003402966.1
OG0001661	XP_012550425.1, XP_012550426.1	XP_003398331.1
OG0001662	XP_037875847.1, XP_037875850.1	XP_012172087.1, XP_020722522.1
OG0001663	XP_004924463.1	XP_003398069.1
OG0001664	XP_037876251.1	XP_012164167.1
OG0001665	NP_001037676.1, XP_012550254.1	XP_012169681.1
OG0001666	XP_004932903.1	XP_003402540.1
OG0001667	XP_037873549.1, XP_037873548.1, XP_004933395.1	XP_020718905.1
OG0001668	XP_021207357.2	XP_003402712.1, XP_012174476.1
OG0001669	XP_037872626.1	XP_012169423.1
OG0001670	XP_012547337.1	XP_020719043.1, XP_020719044.1, XP_020719045.1
OG0001671	XP_037869789.1	XP_012167756.2
OG0001672	XP_004927542.1	XP_003402261.2
OG0001673	XP_037875318.1	XP_003393455.1
OG0001674	XP_037868399.1	XP_012164368.2
OG0001675	XP_004932175.2	XP_003400780.2, XP_012171703.1
OG0001677	XP_004926878.2	XP_012173379.1, XP_012173378.1, XP_003402094.1, XP_012173380.1, XP_012173377.1
OG0001678	XP_004933182.1, XP_021208293.1	XP_003396253.1, XP_012165166.1
OG0001679	XP_012550552.1, NP_001040193.1	XP_020721291.1, XP_020721289.1, XP_020721290.1
OG0001680	XP_004931709.1	XP_012170489.1, XP_012170490.1
OG0001681	XP_004925168.1	XP_003400294.1
OG0001682	XP_037871731.1	XP_020724355.1
OG0001684	XP_004926136.1	XP_012172856.2, XP_012172855.1
OG0001686	XP_012545103.1	XP_012175263.1
OG0001687	XP_021205581.2, XP_021205580.2, XP_004929203.2, XP_037877755.1	XP_020721942.1, XP_020721937.1
OG0001689	XP_004931070.1	XP_003400035.1
OG0001690	XP_004933420.1, XP_004925492.1	XP_012171710.1, XP_003400696.1
OG0001693	XP_037866559.1	XP_012166479.1
OG0001694	XP_012550686.1	XP_020724349.1
OG0001695	NP_001157388.1, XP_037869526.1	XP_020722507.1, XP_003401031.1
OG0001696	XP_037867835.1	XP_020721280.1
OG0001697	XP_037870401.1	XP_012172762.1
OG0001699	XP_037868480.1	XP_012166736.1, XP_012166735.1
OG0001700	XP_012545416.1, XP_012545413.1, XP_012545415.1, XP_021203348.1, XP_037867332.1, XP_037867330.1, XP_037867329.1	XP_012172001.1
OG0001701	NP_001103813.1, XP_012545114.1	XP_012174425.1, XP_012174426.1, XP_012174424.1, XP_003402727.1
OG0001702	XP_037872870.1, XP_037872869.1	XP_012165448.1
OG0001703	XP_037872461.1	XP_020723542.1
OG0001704	XP_004922938.1	XP_012170574.1
OG0001706	XP_021203120.2	XP_003397655.3
OG0001707	XP_004929683.1, XP_004929682.1	XP_012165203.1, XP_003393254.1
OG0001708	XP_004933031.1, XP_012551704.1, XP_021208160.1	XP_012175289.2
OG0001709	XP_012546115.2	XP_020724319.1
OG0001710	XP_012551180.1	XP_003393838.1, XP_003393840.1
OG0001711	XP_004929510.2, XP_037870316.1	XP_003402420.1
OG0001712	XP_037868206.1, XP_037868211.1	XP_012170658.1
OG0001713	XP_021204783.2	XP_012164799.1
OG0001714	XP_004925113.1	XP_012166492.1, XP_012166507.1
OG0001715	XP_004925167.2	XP_003394181.1
OG0001716	NP_001119720.1, XP_021208178.2	XP_012173856.1
OG0001717	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2	XP_012163286.1
OG0001718	XP_021202370.2	XP_003396790.1
OG0001719	XP_004930706.1	XP_020719723.1, XP_012169444.1
OG0001720	XP_037874122.1	XP_020719845.1, XP_003397044.1
OG0001721	XP_037876359.1, XP_037876352.1, XP_004923372.1, XP_004923368.3	XP_003394758.1
OG0001722	NP_001124379.1	XP_003395619.1
OG0001724	XP_004930392.1	XP_003402390.3
OG0001725	XP_037874888.1	XP_020723174.1, XP_020723175.1, XP_003402214.1
OG0001726	XP_037868722.1	XP_012170079.1
OG0001728	XP_037877837.1	XP_020721610.1
OG0001729	XP_021207174.2, XP_021207178.2	XP_020720628.1
OG0001730	NP_001037025.1	XP_020718288.1
OG0001731	NP_001165929.1	XP_003396134.1
OG0001732	NP_001171333.1	XP_012163872.1
OG0001733	XP_004927018.1	XP_012163131.1
OG0001734	XP_037866680.1	XP_003393247.1
OG0001735	XP_012546484.1, NP_001091806.1	XP_012172500.1, XP_003393670.1
OG0001736	XP_021201870.2	XP_012176533.1
OG0001737	XP_037869249.1, XP_037870331.1	XP_003396256.1, XP_012165175.1
OG0001738	XP_012549316.1, XP_021206205.1	XP_012169921.1, XP_012169916.1, XP_012169906.1, XP_012169912.1, XP_003393557.1, XP_020722020.1
OG0001739	XP_037869643.1, XP_004931603.3, XP_037869644.1	XP_012168204.1
OG0001740	NP_001243985.1, XP_012549111.2	XP_020720734.1
OG0001741	XP_037867100.1, XP_004930147.2, XP_012549296.2	XP_003393556.1, XP_012169887.1, XP_020722003.1
OG0001742	NP_001155190.1, XP_037867298.1	XP_020722478.1, XP_020722479.1
OG0001743	XP_012544721.1	XP_003400184.1
OG0001744	XP_037876498.1	XP_003401419.2
OG0001745	XP_037867651.1, XP_037867652.1	XP_020723864.1, XP_003403254.1
OG0001746	XP_004928647.1	XP_003402326.1
OG0001748	XP_037872366.1, XP_021205486.1	XP_012174349.1, XP_012174343.1
OG0001749	XP_037868039.1	XP_012175903.1
OG0001750	XP_004923007.1	XP_003398027.1, XP_012167650.1
OG0001751	XP_004924269.1	XP_012174773.1
OG0001752	XP_004925235.2	XP_003402022.1
OG0001753	XP_037875699.1	XP_003398429.1, XP_003398437.1
OG0001754	NP_001296479.1	XP_012165575.1, XP_020722608.1
OG0001755	XP_012547839.1	XP_003400318.1
OG0001756	XP_012552706.1, XP_004922860.1	XP_003396398.2, XP_012165424.1, XP_012165425.1
OG0001758	XP_004923350.1	XP_012163809.1
OG0001759	XP_004922730.1	XP_003393749.1
OG0001760	XP_021203209.1, XP_037875161.1	XP_003396969.1
OG0001762	XP_004931903.1	XP_003398244.1, XP_012167918.1
OG0001763	XP_037870842.1, XP_004926374.1	XP_012169332.1
OG0001764	XP_004924410.1, XP_004924409.1	XP_003395538.1
OG0001765	XP_004931914.1, XP_012550765.1	XP_012174895.1
OG0001766	XP_021203029.1, XP_021203032.1, XP_004925229.1	XP_020723862.1, XP_012175234.1, XP_012175247.1
OG0001767	XP_004929359.3	XP_012164116.1
OG0001768	XP_012545642.3	XP_003398409.1
OG0001769	XP_004927805.1	XP_012171890.1
OG0001774	NP_001091826.1	XP_003400429.1, XP_003400430.1
OG0001775	NP_001037464.2, XP_012549720.1	XP_003402217.1
OG0001776	XP_021203566.1	XP_012174456.1
OG0001777	NP_001037524.1, XP_021204674.1	XP_003398481.1, XP_003398482.1
OG0001778	NP_001037048.1	XP_012175229.1
OG0001779	NP_001040379.1	XP_012167773.1
OG0001780	XP_004924435.2	XP_003400461.1
OG0001781	NP_001166823.1	XP_003398046.1
OG0001782	XP_004927858.1	XP_003396609.1
OG0001783	XP_004931936.2	XP_003396718.1, XP_012165809.1, XP_012165808.1, XP_012165807.1
OG0001784	XP_004922147.1, XP_012548350.1, XP_021204677.1	XP_003401806.1
OG0001785	XP_004925259.1	XP_003395116.1
OG0001786	NP_001037223.1, XP_037870668.1	XP_003392945.1
OG0001787	XP_004932937.1	XP_020720625.1, XP_020720624.1
OG0001788	XP_004926494.1	XP_003393273.1
OG0001789	XP_004924543.1	XP_003395844.1, XP_012164378.1
OG0001790	XP_004927254.1	XP_003401366.1
OG0001791	NP_001040447.1	XP_003393839.1
OG0001792	XP_037867676.1	XP_003399958.1, XP_012170604.1
OG0001793	NP_001040374.1	XP_003402969.1, XP_020723662.1
OG0001794	XP_004927813.2	XP_012175686.1
OG0001795	XP_012544831.3	XP_012163961.1
OG0001796	XP_004931911.2	XP_012170329.1, XP_003399743.1, XP_020721616.1, XP_020721618.1, XP_020721617.1
OG0001797	NP_001093087.1	XP_003395326.1
OG0001799	NP_001166191.1	XP_012174111.1
OG0001800	XP_037867731.1	XP_012166902.1, XP_012166880.1, XP_012166891.1
OG0001801	XP_004927251.1	XP_012174507.1, XP_003402738.1, XP_003402739.1, XP_012174508.1
OG0001802	XP_037870920.1, XP_012547121.1, NP_001040267.1	XP_003402666.1
OG0001803	XP_004925344.1	XP_003394992.1
OG0001804	XP_012551475.1	XP_003395499.1
OG0001805	XP_021206263.1, XP_037866965.1	XP_003400759.1, XP_012171673.1
OG0001806	XP_004930470.2	XP_003397962.1, XP_012167682.1, XP_012167681.1
OG0001807	XP_037873557.1	XP_020718627.1
OG0001809	XP_004929394.2	XP_012165059.1, XP_012165058.1, XP_012165060.1, XP_003396269.1, XP_012165062.1, XP_012165061.1
OG0001810	XP_012550807.1	XP_012166332.1, XP_020719846.1
OG0001811	XP_037871981.1	XP_003394300.1, XP_012176139.1, XP_012176141.1
OG0001812	NP_001037207.1	XP_012176057.1
OG0001813	XP_004929628.1	XP_020722967.1
OG0001814	NP_001040328.1	XP_012167262.1
OG0001815	NP_001091823.1, XP_037876930.1	XP_003398391.1
OG0001816	XP_012545172.2	XP_012167599.1
OG0001817	XP_004931715.1, XP_021207399.2	XP_003399846.1, XP_012170486.1
OG0001818	XP_004928925.2	XP_003402009.3
OG0001819	XP_012545306.2	XP_012163347.1, XP_012163346.1
OG0001820	XP_004921850.1	XP_003400487.1
OG0001821	XP_037867951.1, XP_037877404.1	XP_012168176.1
OG0001823	XP_037875756.1	XP_020723048.1, XP_020723050.1, XP_020723049.1, XP_003401969.1, XP_020723047.1
OG0001824	XP_037868084.1, XP_037868075.1	XP_012175669.1, XP_012175668.1
OG0001825	XP_037873173.1	XP_003402628.1, XP_012174364.1
OG0001826	XP_012549145.2, NP_001243729.1	XP_012165837.1
OG0001827	XP_037876392.1, XP_037876387.1	XP_020718591.1
OG0001828	XP_012547992.1	XP_003396608.1
OG0001829	NP_001040363.1	XP_012167101.1, XP_003397757.1, XP_012167103.1
OG0001830	XP_012544507.1	XP_012163799.1
OG0001831	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1	XP_003400613.1
OG0001832	XP_012550340.1	XP_012172145.1
OG0001833	XP_021202831.1	XP_020723685.1
OG0001834	XP_021205575.2	XP_003398732.1
OG0001835	XP_004933227.2	XP_020724312.1, XP_003394539.1
OG0001836	XP_037869491.1, XP_037869486.1	XP_020722197.1
OG0001838	NP_001040461.1	XP_020723901.1
OG0001839	XP_037867245.1, XP_004930061.1	XP_020722868.1, XP_003401813.1
OG0001840	XP_004924490.1	XP_020718619.1, XP_020718618.1, XP_012163818.1
OG0001841	XP_037875131.1	XP_012164434.1
OG0001842	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1	XP_012175625.1, XP_003393929.1
OG0001843	XP_004923065.1	XP_003397935.2
OG0001844	XP_037868430.1	XP_012171719.1
OG0001845	NP_001165388.1, XP_037869302.1, XP_004929656.1	XP_003403150.1
OG0001846	NP_001296512.1	XP_012164000.1, XP_003395563.1
OG0001847	XP_004924718.1	XP_012169900.1, XP_012169901.1
OG0001848	XP_037868356.1, XP_037868357.1	XP_012165602.1
OG0001850	XP_012546560.2, XP_004927043.1	XP_012171746.1, XP_012171742.1
OG0001851	XP_021204066.2	XP_020723222.1
OG0001852	XP_004925133.2	XP_003399053.1
OG0001853	XP_037877103.1	XP_012167082.1, XP_003397746.1
OG0001854	XP_037876316.1, XP_037876317.1, XP_004921880.1	XP_020721440.1
OG0001855	NP_001165386.1	XP_003399763.1
OG0001856	XP_037875737.1, XP_021202011.1	XP_020720076.1, XP_003397691.1, XP_003397692.1, XP_012167076.1
OG0001857	XP_004922477.1	XP_012167556.1
OG0001858	XP_004928683.1	XP_003400227.1
OG0001859	XP_012552420.3	XP_020721780.1, XP_003400041.1
OG0001861	NP_001036938.1	XP_003395799.1
OG0001862	XP_012546765.1	XP_003402741.1
OG0001863	XP_004931917.1	XP_003403094.1, XP_020723756.1
OG0001864	XP_037876894.1	XP_003400310.2
OG0001865	XP_012545585.1, NP_001037554.1	XP_003396733.1
OG0001866	XP_004923469.1	XP_003400738.1, XP_012171685.1
OG0001867	XP_037876257.1	XP_003395491.1, XP_012163773.1
OG0001868	XP_037873044.1	XP_003399145.1
OG0001869	NP_001040327.1	XP_020722546.1, XP_012172753.1, XP_012172752.1
OG0001870	XP_004929677.1	XP_003396159.1
OG0001871	XP_012547234.2, XP_037871093.1	XP_003395955.1
OG0001872	XP_004922404.2	XP_020718454.1, XP_020718453.1
OG0001873	XP_004931774.2	XP_003397149.1
OG0001874	XP_037871173.1	XP_003395963.1
OG0001875	XP_012553311.1	XP_012172058.1
OG0001876	XP_012549181.1	XP_012170049.1, XP_020724042.1
OG0001878	XP_004922231.2	XP_012173694.1
OG0001879	XP_004929391.1	XP_003402822.1, XP_020723582.1, XP_012174663.1
OG0001880	XP_012551963.1	XP_020719900.1
OG0001881	XP_037870422.1	XP_012164646.1, XP_012164645.1, XP_012164647.1, XP_012164648.1, XP_012164644.1
OG0001882	XP_037871054.1, XP_037871051.1	XP_020723486.1
OG0001883	XP_004931525.1	XP_012165830.2
OG0001884	XP_037877616.1, XP_037877615.1, XP_037877613.1, XP_037877625.1	XP_012170838.1, XP_012170840.1
OG0001885	XP_037876616.1, XP_037876617.1	XP_012172541.1
OG0001886	XP_012545706.2	XP_012163216.1
OG0001887	XP_037870239.1	XP_012163198.2
OG0001888	XP_021202882.2, XP_012544871.2	XP_003400444.2, XP_012171333.2
OG0001889	XP_037869833.1	XP_012165296.2
OG0001890	XP_004932898.1, XP_004928637.1	XP_012171174.1
OG0001891	XP_004923196.2	XP_003395463.2, XP_020718820.1
OG0001892	XP_004932246.1	XP_012164302.1, XP_012164303.1, XP_003395777.1, XP_020718910.1
OG0001893	XP_037867202.1, XP_037867201.1, XP_037867204.1, XP_037867203.1, XP_037867205.1	XP_020720670.1
OG0001894	XP_037867673.1, XP_004926898.1	XP_003396804.1, XP_012165942.1
OG0001895	XP_037873123.1	XP_012171279.1
OG0001896	XP_021203417.2	XP_003398079.2
OG0001897	XP_004930778.1, XP_004930779.1	XP_020721715.1
OG0001898	XP_004933569.2, XP_012553329.2	XP_003401344.1
OG0001899	NP_001243914.1	XP_012169278.1
OG0001900	XP_004922569.1	XP_020720219.1
OG0001901	XP_037876242.1	XP_003399090.1
OG0001902	XP_012544997.2	XP_003401222.1
OG0001903	XP_004928575.2	XP_012167277.1, XP_012167276.1, XP_012167275.1
OG0001904	XP_037866807.1	XP_020718828.1
OG0001905	XP_012544944.2	XP_020718687.1, XP_020718689.1
OG0001906	XP_037873835.1	XP_020720756.1
OG0001907	XP_037871977.1	XP_020720044.1, XP_012167220.1, XP_012167219.1
OG0001908	NP_001166831.1	XP_012174753.1, XP_020723678.1
OG0001909	XP_021209035.1	XP_012163976.1, XP_012163981.1
OG0001910	XP_004931433.1	XP_003393740.1
OG0001911	XP_012547131.1	XP_020723100.1
OG0001912	XP_037871747.1	XP_012176160.1, XP_003394320.1
OG0001913	XP_037871630.1	XP_012173557.1, XP_003394255.1
OG0001914	XP_004933679.2, XP_004933676.1	XP_012170785.1
OG0001915	XP_004925729.1	XP_020718690.1
OG0001916	NP_001036911.1, XP_012550247.3	XP_012175902.1
OG0001917	XP_004923160.1	XP_003393608.1, XP_012171519.1
OG0001918	XP_037877189.1	XP_012170294.1
OG0001919	XP_037873437.1, XP_037873436.1	XP_012174402.1, XP_012176234.1
OG0001920	XP_037873063.1	XP_012167972.1
OG0001921	XP_037868287.1	XP_003397990.1
OG0001922	XP_012550597.1	XP_012176104.2, XP_020718243.1
OG0001923	NP_001157948.1, XP_037869037.1	XP_012170503.1
OG0001924	XP_004930019.1	XP_003398628.2
OG0001925	NP_001243987.1, XP_004928073.3	XP_012170179.1
OG0001926	XP_004929255.1, XP_004929254.1	XP_012173271.1
OG0001927	XP_037873449.1, XP_037873450.1	XP_003399747.1
OG0001928	XP_021207183.2, XP_037869913.1	XP_003398327.1
OG0001929	XP_004932386.2	XP_003398057.1, XP_020720626.1
OG0001930	XP_012546096.2	XP_003398513.1
OG0001931	XP_004923112.1	XP_012171830.1, XP_003393631.1
OG0001933	NP_001138793.1, XP_037876452.1	XP_012165422.1, XP_012165421.1
OG0001934	XP_012548268.1	XP_003394468.2
OG0001935	XP_012551363.1, XP_004932653.1	XP_003392983.2
OG0001936	XP_021207986.1, NP_001124345.1, NP_001091791.1	XP_012173303.1, XP_012173302.1
OG0001937	NP_001136084.1, XP_037874195.1	XP_020720206.1
OG0001938	XP_004921707.1, XP_004921760.1	XP_003401291.1
OG0001939	XP_012546950.1, NP_001093283.1	XP_003402091.1
OG0001940	XP_021203465.1, XP_004925890.1, XP_004925891.1	XP_003396706.1
OG0001941	XP_012549425.2, XP_012549428.2	XP_012175979.1, XP_012175978.1
OG0001942	XP_004926240.1	XP_003399824.1
OG0001943	XP_004923590.1	XP_012174446.1
OG0001944	NP_001037504.1	XP_012175128.2
OG0001945	XP_012547652.2	XP_012169355.1
OG0001946	XP_037869327.1	XP_012169211.1, XP_003399027.1
OG0001947	XP_037867944.1, XP_004924339.1	XP_012168753.1, XP_003398752.1
OG0001948	XP_012549281.1	XP_012175779.1, XP_003394054.1, XP_020723176.1
OG0001949	XP_037870326.1, XP_004926920.1	XP_003401656.1
OG0001951	XP_037874958.1	XP_003401677.1
OG0001952	XP_037866697.1, XP_037866709.1	XP_020722982.1
OG0001953	XP_021207789.1, XP_004932490.1	XP_003398846.1
OG0001955	XP_012550006.2	XP_012175582.1, XP_012175805.1, XP_012175704.1
OG0001957	XP_037869310.1	XP_012176527.2
OG0001959	XP_004921844.1	XP_012164380.1
OG0001960	XP_037871193.1	XP_003400117.1
OG0001961	XP_004930929.1	XP_012176387.1
OG0001962	XP_004933390.1, XP_004928253.1, XP_004928254.1, XP_004933387.1	XP_003400081.1
OG0001963	XP_037871090.1, XP_037871089.1	XP_012166488.1
OG0001964	XP_004921804.1	XP_012163751.1, XP_003395679.1, XP_012163750.1
OG0001965	XP_004926552.1	XP_003396734.1
OG0001966	XP_012551994.1	XP_003400709.1, XP_012171686.1, XP_012171687.1
OG0001967	XP_012544203.1	XP_012164287.1
OG0001968	XP_021203345.1, XP_021203346.1, XP_037867333.1	XP_012172059.1
OG0001969	NP_001243937.1, XP_021204322.1	XP_003398874.1
OG0001970	XP_037872569.1, XP_037872567.1, XP_037872568.1, XP_037872564.1, XP_037872573.1	XP_003400680.1
OG0001973	XP_021207551.2, XP_021207548.2	XP_003402575.2
OG0001974	XP_004928351.1	XP_003394604.1
OG0001975	XP_021202025.1	XP_003393615.1, XP_020722754.1
OG0001976	XP_004924205.1, XP_037869993.1	XP_003396873.1
