Orthogroup	Bombyx_mori	Tribolium_castaneum
OG0001452	XP_037870536.1, XP_037872079.1, XP_037872080.1, XP_037872267.1, XP_037873388.1, XP_037875423.1, XP_037875424.1, XP_037876506.1, XP_037872268.1, XP_037870535.1, XP_037869670.1, XP_037869672.1, XP_037868661.1, XP_037868659.1, XP_037869328.1	XP_015834413.1, XP_015834401.1, XP_015834405.1, XP_008191903.1, XP_015833473.1, XP_015839946.1, XP_015834419.1, XP_015839949.1, XP_015839948.1, XP_015834414.1, XP_015837021.1, XP_008190650.1, XP_015835131.1, XP_015835130.1
OG0001453	NP_001037144.1, XP_012548545.1	XP_008192135.1, XP_974780.1
OG0001455	XP_004932665.1, XP_037875264.1	XP_008195504.1, XP_008195463.1
OG0001456	XP_021209082.1	XP_967649.1
OG0001457	XP_012549706.1	XP_972313.1
OG0001458	NP_001243920.1	XP_969998.1
OG0001459	XP_021209024.1	XP_971056.1
OG0001460	XP_012544554.1	XP_968481.1
OG0001461	XP_012544433.2	XP_008195927.1
OG0001462	XP_004929675.1, XP_004929676.1	XP_969537.1
OG0001463	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1	XP_975612.1
OG0001464	XP_021207479.1	XP_008192049.1, XP_008192050.1
OG0001465	XP_004927891.1, XP_004927887.1	XP_970371.1
OG0001466	XP_004934358.1	XP_971808.1
OG0001467	XP_037869859.1, XP_037869858.1	XP_008190991.1
OG0001468	NP_001036939.1	XP_969120.1, NP_001164201.1
OG0001469	XP_004923021.1, XP_004923022.1	XP_015835402.1
OG0001470	XP_021207359.1, XP_021207329.1	XP_972043.2, XP_015839118.1, XP_008198420.1
OG0001471	XP_004931777.2	XP_966863.1
OG0001472	NP_001266343.1	XP_974027.1
OG0001473	XP_004921751.1	XP_969761.2
OG0001474	XP_004928242.1	XP_008197149.1
OG0001475	XP_004930737.1	XP_008194014.1
OG0001476	XP_012545928.1, XP_004926324.2	XP_008196197.1, XP_008196196.1, XP_015837812.1
OG0001477	XP_037877391.1, XP_037877482.1, XP_004929266.2	XP_008193717.1
OG0001478	NP_001170882.1, XP_012551408.1	XP_971848.1
OG0001479	NP_001036956.1, XP_012549120.1	XP_015835497.1
OG0001480	XP_004930565.1	XP_968112.1, XP_015840540.1
OG0001481	XP_012547389.2, XP_004927794.2	XP_008192172.1, XP_008192171.1
OG0001482	XP_021206661.1	XP_008191953.1, XP_008191952.1
OG0001484	XP_012547006.1	XP_008197131.1
OG0001485	XP_004929453.1	XP_975329.1
OG0001486	XP_012553363.1	XP_008197650.1, NP_001280513.1
OG0001487	XP_012550436.1	XP_015833845.1
OG0001488	XP_037869760.1	XP_015834903.1
OG0001490	XP_004924569.1	XP_008196389.1, XP_974383.1, XP_008196042.1, XP_008195752.1
OG0001491	XP_004925005.1	XP_970708.2
OG0001492	XP_004927896.1, XP_004927895.1, XP_004927894.1	XP_973907.1
OG0001494	XP_037877591.1, XP_037867606.1	XP_975427.2
OG0001495	XP_021207491.2	XP_972502.1, XP_975469.1
OG0001496	XP_004927986.1	XP_008191879.1, XP_008191880.1
OG0001497	XP_004928336.2	XP_973523.2, XP_008191647.1, XP_008191650.1, XP_008191649.1
OG0001498	XP_037869992.1, XP_037870010.1	XP_008200217.1, XP_969950.2
OG0001499	XP_004928205.1	XP_974456.3
OG0001500	XP_037871997.1, XP_012552773.2	XP_015835209.1, NP_001280507.1
OG0001501	XP_037866800.1	XP_015833023.1
OG0001502	XP_037868504.1, XP_037868499.1, XP_037868500.1, XP_037868495.1	XP_015833027.1
OG0001503	XP_021206043.2	XP_971310.1, XP_008195559.1
OG0001505	XP_037867872.1	XP_015839664.1, XP_970228.2, XP_015838048.1
OG0001506	XP_021202503.2	XP_973081.1
OG0001507	XP_004933054.1, XP_021208141.1	XP_008197549.1, XP_970874.1
OG0001508	NP_001091838.1, XP_012548520.2	XP_008201537.1
OG0001509	XP_037874937.1	XP_008196908.1
OG0001510	XP_037868375.1	XP_015838190.1
OG0001511	XP_037870240.1, NP_001106220.1	XP_970235.1
OG0001512	XP_012547158.3	XP_015838487.1
OG0001513	XP_004928885.1, XP_021205524.1, XP_037872382.1, XP_004928886.1	XP_008195017.1
OG0001514	NP_001243989.1, XP_012551916.2	XP_968217.2
OG0001515	XP_037869339.1, XP_012552167.1, XP_004933624.1	XP_967539.1
OG0001516	XP_012548192.1	XP_015836356.1
OG0001517	XP_004930586.1	XP_970104.3
OG0001518	XP_012547971.1	XP_967543.1
OG0001519	XP_037877043.1	XP_967329.1, XP_001811319.1, XP_015837971.1, XP_015838004.1, XP_008196924.1, XP_967414.1
OG0001520	XP_004926900.1	XP_008194955.2
OG0001521	XP_037873615.1	XP_008196004.1
OG0001522	NP_001189459.1, XP_012547725.2	XP_008198803.1
OG0001523	XP_037867735.1	XP_008198896.1, XP_008198895.1
OG0001524	XP_004928551.2	XP_008200329.1
OG0001525	XP_004928511.1	XP_969909.1
OG0001526	XP_037869703.1	XP_008190710.1
OG0001527	XP_012547691.1, XP_012547692.1, XP_004928271.1	XP_975382.1
OG0001529	NP_001103396.1, XP_021202150.1	XP_008197492.1
OG0001530	XP_004928962.1	XP_972321.1
OG0001531	XP_004927972.1	XP_974940.1
OG0001533	XP_037872089.1	XP_015839661.1
OG0001534	XP_012548708.1	XP_969604.2
OG0001536	XP_021207987.1	XP_015833087.1
OG0001537	XP_004930078.1	XP_972795.1
OG0001538	NP_001127726.1, NP_001127745.1	NP_001280549.1, XP_015839552.1
OG0001538	NP_001037049.1, XP_037873389.1	NP_001076809.1, XP_008195552.1
OG0001539	NP_001182396.1	XP_015839205.1, XP_008198054.1, NP_001164115.1, XP_001813274.1, XP_015836535.1
OG0001540	XP_037866721.1, NP_001108344.1, XP_037866889.1	XP_973817.2, XP_008200667.1
OG0001541	XP_037869460.1	XP_968546.2
OG0001542	XP_004925578.2	XP_008192060.1
OG0001543	XP_021208076.1	XP_008199669.1
OG0001545	XP_021205692.2	XP_975212.1
OG0001546	XP_021202997.2	XP_015836962.1, XP_015836964.1, XP_015836965.1, XP_015836963.1
OG0001547	XP_037875077.1	XP_008196118.1
OG0001549	XP_004926505.1, XP_037875796.1, XP_004926490.1, XP_004926488.1, XP_004926489.1	XP_967893.2
OG0001551	NP_001040440.1, XP_021205145.1	XP_015832989.1
OG0001552	XP_037875658.1, XP_037875663.1	XP_008190770.1, XP_008190772.1
OG0001553	XP_004922085.1	XP_008200044.1
OG0001554	XP_021202702.2	XP_008193024.1
OG0001555	XP_004926499.2	XP_015835901.1
OG0001556	XP_037869191.1	XP_970686.2
OG0001557	NP_001127735.1, XP_012548880.1	XP_015836089.1
OG0001557	NP_001127732.1, XP_037868153.1	XP_008190378.1
OG0001559	XP_012550319.2	XP_015836282.1
OG0001560	XP_012553162.1, XP_012553161.2	XP_015837120.1, XP_015837119.1, XP_015837117.1
OG0001561	XP_004928449.2	XP_008201574.1
OG0001562	XP_037867104.1, XP_037867118.1	XP_015833433.1, XP_008192389.1
OG0001563	XP_021204882.1	XP_008192558.1, XP_008192559.1
OG0001565	XP_037874788.1	XP_975257.1
OG0001567	NP_001036935.1, XP_037873779.1	XP_974106.1
OG0001568	XP_037876104.1, NP_001243990.1	XP_974421.1, XP_008195811.1
OG0001569	XP_037873304.1	XP_970921.1
OG0001570	XP_012551718.2	XP_974899.2
OG0001571	XP_037875923.1	XP_973610.2
OG0001572	XP_004927967.1, XP_004927965.1	XP_971371.1
OG0001574	XP_012553425.1, XP_021201980.1	XP_008199698.1
OG0001575	XP_004925960.2	XP_970330.2, XP_968079.1, XP_001813340.1
OG0001575	NP_001037325.1, NP_001037333.1	XP_008197647.1
OG0001576	XP_037877523.1, XP_037877396.1, XP_037877394.1, XP_037877392.1, XP_037866570.1	XP_008193716.1
OG0001577	XP_037868606.1, NP_001106746.1	XP_967646.1
OG0001579	XP_037874676.1	XP_015836149.1
OG0001580	XP_004930748.1	XP_008201637.1, XP_967750.1
OG0001581	XP_012551182.2	XP_968816.1
OG0001582	XP_012550801.1	XP_015840194.1
OG0001583	XP_004928527.1	XP_008194225.1, XP_015835660.1
OG0001584	XP_012546518.1, XP_012546512.1	XP_008195851.1
OG0001586	XP_012545422.2, NP_001138795.1	XP_967561.1, XP_972037.1
OG0001587	XP_004931594.2	XP_968197.1
OG0001588	XP_037873144.1	XP_015834889.1
OG0001589	XP_021209162.1	XP_008197702.1
OG0001589	XP_004925726.1, XP_004925727.1	XP_008192720.1, XP_015836948.1
OG0001591	XP_004930937.1	XP_967809.1
OG0001592	XP_004927023.1	XP_970967.2
OG0001593	NP_001036870.1, XP_037867807.1	XP_015836546.1
OG0001594	XP_004927503.2	XP_971722.1
OG0001595	XP_004922227.1, XP_021205276.1	XP_971845.3
OG0001596	XP_004926385.1	XP_008190483.1
OG0001597	XP_004927855.1	XP_967819.1
OG0001598	XP_037876897.1, NP_001037309.1	XP_970210.1, XP_971398.1
OG0001601	XP_012553340.2	XP_008199668.1, XP_008199653.1
OG0001602	XP_012553401.1, XP_004931415.1, XP_021201945.1	XP_015838387.1, XP_015838385.1
OG0001604	XP_012549189.1, XP_012549190.1	XP_008200661.1, XP_967231.3
OG0001605	NP_001040217.1, XP_012543931.1	XP_008201547.1, XP_015840720.1
OG0001606	NP_001296482.1, XP_004927952.1	XP_973145.3, XP_015834931.1, XP_008192087.1, XP_008192090.1, XP_008192091.1, XP_008192086.1, XP_015834933.1
OG0001608	XP_004931746.1	XP_972286.1
OG0001612	XP_021207912.2	XP_008200626.1, XP_008200627.1
OG0001614	NP_001036780.1, XP_021205068.2	XP_008194443.1, NP_001139415.1
OG0001615	NP_001037213.1, XP_037872124.1	XP_967910.1
OG0001616	NP_001040407.1	XP_967918.1, XP_015837909.1
OG0001617	NP_001040232.1	XP_973076.1
OG0001619	XP_021205425.1, XP_004928959.1	XP_968073.1
OG0001620	XP_004933138.1	XP_967558.1
OG0001621	XP_004925826.2, XP_037877870.1	XP_008194243.1
OG0001623	XP_037867510.1	XP_974776.1, XP_974759.1
OG0001624	XP_004929294.1, XP_012548491.1, XP_004929295.1, XP_012548492.1	NP_001153783.1
OG0001625	XP_037874467.1	XP_973818.1
OG0001626	XP_004928349.1	XP_967659.3
OG0001627	XP_004924826.1	XP_008198503.1
OG0001628	NP_001239350.1, XP_012553261.1	XP_015840508.1
OG0001629	XP_037873828.1, NP_001037261.1	XP_968147.1, XP_008195384.1
OG0001630	XP_012546057.1, XP_012546059.1, XP_004926433.1	XP_967133.1, XP_008193096.2
OG0001631	XP_004924824.1	XP_008198296.1, XP_008198297.1
OG0001632	XP_037869971.1, XP_037869970.1, XP_037869973.1, XP_037869972.1	XP_008198970.1
OG0001633	XP_004930100.1	XP_008195201.1
OG0001634	XP_021204093.1, XP_021204095.1	XP_008190427.1
OG0001635	XP_004933692.1	XP_972058.1
OG0001636	NP_001037295.1	XP_001808212.1
OG0001637	XP_004932373.2	XP_968378.1
OG0001638	XP_037877824.1	XP_974870.1
OG0001639	XP_004924180.1	XP_008190658.1, XP_969463.1
OG0001640	XP_004925552.1	XP_968671.1, XP_968743.1
OG0001641	XP_037870957.1	NP_001161257.1
OG0001642	XP_004927839.1	XP_975475.2
OG0001643	XP_012546247.1	XP_015838711.1, XP_008197729.1, XP_015838712.1
OG0001645	XP_012550830.1, XP_012550828.1	XP_968472.1
OG0001646	XP_037873850.1	XP_015836692.1
OG0001647	XP_004923960.1	XP_008196907.1
OG0001648	XP_004921645.2	XP_970811.3
OG0001649	NP_001040322.1	XP_968588.1
OG0001650	XP_037870812.1	XP_008196718.1
OG0001651	XP_012550939.1	XP_008201666.1
OG0001652	XP_037874387.1	XP_008201098.1
OG0001653	XP_004921585.2	XP_972146.1
OG0001653	XP_004932298.1	XP_969495.1
OG0001655	XP_037870353.1, XP_004929896.1	XP_968200.2
OG0001656	XP_037874784.1	XP_966649.1
OG0001657	XP_004923460.1	XP_972931.1
OG0001658	XP_004929407.1	XP_008194959.1
OG0001659	XP_037867834.1, XP_037867832.1	XP_008200384.1
OG0001660	XP_012547355.1, XP_004927973.1, XP_021204730.1, XP_021204729.1, XP_021204727.1, XP_012547354.1, XP_012547353.1	XP_975550.1
OG0001661	XP_012550425.1, XP_012550426.1	XP_008198980.1
OG0001662	XP_037875847.1, XP_037875850.1	XP_015838476.1
OG0001663	XP_004924463.1	XP_008195710.1
OG0001664	XP_037876251.1	NP_001135406.1, XP_015836766.1
OG0001665	NP_001037676.1, XP_012550254.1	XP_008200528.1
OG0001666	XP_004932903.1	XP_966660.1
OG0001667	XP_037873549.1, XP_037873548.1, XP_004933395.1	XP_970532.1
OG0001668	XP_021207357.2	XP_015837252.1
OG0001669	XP_037872626.1	XP_969894.1, XP_008190493.1, XP_008190492.1
OG0001670	XP_012547337.1	XP_015840620.1
OG0001671	XP_037869789.1	XP_008191116.1
OG0001672	XP_004927542.1	XP_972180.1
OG0001673	XP_037875318.1	XP_015836576.1
OG0001674	XP_037868399.1	XP_008200693.1
OG0001675	XP_004932175.2	XP_973975.1
OG0001677	XP_004926878.2	XP_970641.1
OG0001678	XP_004933182.1, XP_021208293.1	XP_974956.1, XP_015833321.1
OG0001679	XP_012550552.1, NP_001040193.1	XP_975143.1
OG0001680	XP_004931709.1	XP_015838153.1
OG0001681	XP_004925168.1	XP_971049.1
OG0001682	XP_037871731.1	XP_015839568.1, XP_008199877.1
OG0001684	XP_004926136.1	XP_015838963.1, XP_015839133.1, XP_015839136.1
OG0001686	XP_012545103.1	XP_008190435.1, XP_008190436.1
OG0001687	XP_021205581.2, XP_021205580.2, XP_004929203.2	XP_008194075.1
OG0001687	XP_037877755.1	XP_015836165.1
OG0001688	XP_037873491.1, XP_037873494.1, XP_004925011.1, XP_012544838.1	NP_001280530.1
OG0001689	XP_004931070.1	XP_015836120.1
OG0001690	XP_004933420.1, XP_004925492.1	XP_008194929.1
OG0001693	XP_037866559.1	XP_008200041.1
OG0001694	XP_012550686.1	XP_008196858.1
OG0001695	NP_001157388.1, XP_037869526.1	XP_008194025.1
OG0001696	XP_037867835.1	XP_008199058.1
OG0001697	XP_037870401.1	XP_966430.2
OG0001698	XP_012552098.2	XP_008199760.1
OG0001699	XP_037868480.1	XP_966756.1
OG0001700	XP_012545416.1, XP_012545413.1, XP_012545415.1, XP_021203348.1, XP_037867332.1, XP_037867330.1, XP_037867329.1	XP_008198754.1
OG0001701	NP_001103813.1, XP_012545114.1	XP_008195151.1, XP_008195147.1
OG0001702	XP_037872870.1, XP_037872869.1	XP_971283.1
OG0001703	XP_037872461.1	XP_973910.1
OG0001704	XP_004922938.1	XP_015839476.1
OG0001707	XP_004929683.1, XP_004929682.1	XP_972022.1
OG0001708	XP_004933031.1, XP_012551704.1, XP_021208160.1	XP_971764.2, XP_015838804.1
OG0001709	XP_012546115.2	XP_015835409.1
OG0001710	XP_012551180.1	XP_015836909.1
OG0001711	XP_004929510.2, XP_037870316.1	XP_008197982.1, XP_015838980.1, XP_969573.1
OG0001712	XP_037868206.1, XP_037868211.1	XP_008191120.1, XP_015839938.1
OG0001713	XP_021204783.2	XP_008192792.1, XP_008192793.1
OG0001714	XP_004925113.1	XP_968879.1
OG0001715	XP_004925167.2	XP_972976.2
OG0001716	NP_001119720.1, XP_021208178.2	XP_008194318.1
OG0001717	XP_012550749.2, XP_012550755.2, XP_012550758.2, XP_012550752.2, XP_004922533.2	XP_970328.1
OG0001718	XP_021202370.2	XP_973987.1, XP_008190931.1
OG0001719	XP_004930706.1	XP_969295.1
OG0001720	XP_037874122.1	XP_008195419.1
OG0001721	XP_037876359.1, XP_037876352.1, XP_004923372.1, XP_004923368.3	XP_971909.2, XP_001813448.1
OG0001722	NP_001124379.1	XP_015837216.1, XP_008199610.1
OG0001724	XP_004930392.1	XP_974615.1
OG0001725	XP_037874888.1	XP_971172.2
OG0001726	XP_037868722.1	XP_972049.2, XP_015839452.1
OG0001728	XP_037877837.1	XP_015836419.1
OG0001729	XP_021207174.2, XP_021207178.2	XP_015840335.1, XP_015833348.1
OG0001730	NP_001037025.1	XP_015833482.1
OG0001731	NP_001165929.1	XP_008191795.1, XP_970721.2
OG0001732	NP_001171333.1	XP_973118.1
OG0001733	XP_004927018.1	XP_015835945.1
OG0001734	XP_037866680.1	XP_972923.1
OG0001735	XP_012546484.1, NP_001091806.1	XP_001814509.1
OG0001736	XP_012550884.1, XP_037868462.1	XP_967526.1
OG0001736	XP_021207520.2	XP_015837685.1
OG0001737	XP_037869249.1, XP_037870331.1	XP_967723.2
OG0001738	XP_012549316.1, XP_021206205.1	XP_015835145.1, XP_008200248.1, XP_001813427.1
OG0001739	XP_037869643.1, XP_004931603.3, XP_037869644.1	XP_968592.2
OG0001740	NP_001243985.1, XP_012549111.2	XP_008193605.1, XP_008199012.1
OG0001742	NP_001155190.1, XP_037867298.1	XP_015840747.1, XP_015840743.1
OG0001743	XP_012544721.1	XP_967142.1, XP_008197750.1, XP_008197749.1
OG0001744	XP_037876498.1	XP_015838667.1, XP_008197600.1
OG0001745	XP_037867651.1, XP_037867652.1	XP_008201469.1
OG0001746	XP_004928647.1	XP_968256.1, XP_008201143.1
OG0001748	XP_037872366.1, XP_021205486.1	XP_015836622.1, XP_015836619.1
OG0001749	XP_037868039.1	XP_008193533.1
OG0001750	XP_004923007.1	XP_970242.1, XP_008192912.1
OG0001751	XP_004924269.1	XP_969871.2
OG0001752	XP_004925235.2	XP_008198887.1, XP_001815490.2, XP_008192875.1, XP_008192876.1, XP_015834712.1, XP_015834710.1, XP_008192879.1
OG0001753	XP_037875699.1	XP_969955.1
OG0001756	XP_012552706.1, XP_004922860.1	XP_968859.1, XP_015840285.1
OG0001758	XP_004923350.1	XP_971002.1
OG0001759	XP_004922730.1	XP_966423.1
OG0001760	XP_021203209.1, XP_037875161.1	XP_966763.1
OG0001762	XP_004931903.1	XP_008194069.1
OG0001763	XP_037870842.1, XP_004926374.1	XP_008191831.1, XP_973224.1
OG0001764	XP_004924410.1, XP_004924409.1	XP_008199965.1, XP_968569.3, XP_968643.1, XP_015837277.1, XP_015837276.1, XP_015837278.1, XP_975752.1
OG0001766	XP_021203029.1, XP_021203032.1, XP_004925229.1	XP_008201079.1, XP_008201080.1
OG0001767	XP_004929359.3	XP_008193134.1
OG0001768	XP_012545642.3	XP_015834861.1
OG0001769	XP_004927805.1	XP_008192898.1, XP_015834493.1, XP_008192826.1, XP_015834494.1, XP_008192895.1, XP_008192836.1
OG0001774	NP_001091826.1	XP_969023.1
OG0001775	NP_001037464.2, XP_012549720.1	NP_001298082.1
OG0001776	XP_021203566.1	NP_001164088.1
OG0001777	NP_001037524.1, XP_021204674.1	XP_967221.1
OG0001778	NP_001037048.1	XP_970875.1
OG0001779	NP_001040379.1	XP_973494.1
OG0001780	XP_004924435.2	XP_968841.1
OG0001781	NP_001166823.1	XP_008192416.1
OG0001782	XP_004927858.1	XP_973321.1
OG0001783	XP_004931936.2	XP_015833325.1, XP_972914.1, XP_008190904.1
OG0001784	XP_004922147.1, XP_012548350.1, XP_021204677.1	XP_970614.1
OG0001785	XP_004925259.1	XP_969235.2
OG0001786	NP_001037223.1, XP_037870668.1	XP_974171.1
OG0001787	XP_004932937.1	XP_966837.1
OG0001788	NP_001040177.1	XP_008192566.1
OG0001789	XP_004924543.1	XP_975068.2
OG0001790	XP_004927254.1	XP_973834.1
OG0001791	NP_001040447.1	XP_008190467.1
OG0001792	XP_037867676.1	XP_967089.1
OG0001793	NP_001040374.1	XP_975535.1
OG0001794	XP_004927813.2	XP_015834535.1, NP_001280504.1
OG0001795	XP_012544831.3	XP_008195656.1, NP_001298083.1, NP_001163996.1, NP_001164001.1, NP_001164314.1, XP_971698.1
OG0001796	XP_004931911.2	XP_015834572.1, XP_015839928.1
OG0001797	NP_001093087.1	XP_973014.1
OG0001799	NP_001166191.1	NP_001157183.1
OG0001800	XP_037867731.1	XP_966972.1
OG0001801	XP_004927251.1	XP_974888.3
OG0001802	XP_037870920.1, XP_012547121.1, NP_001040267.1	XP_975650.1
OG0001803	XP_004925344.1	XP_008199564.1
OG0001804	XP_012551475.1	XP_008199910.1
OG0001805	XP_021206263.1, XP_037866965.1	XP_008199909.1
OG0001806	XP_004930470.2	XP_008197947.1
OG0001807	XP_037873557.1	XP_008195294.1
OG0001808	XP_004932582.1	XP_973830.1
OG0001809	XP_004929394.2	XP_973657.1
OG0001810	XP_012550807.1	XP_015836863.1
OG0001811	XP_037871981.1	XP_973747.1
OG0001812	NP_001037207.1	XP_967937.1
OG0001813	XP_004929628.1	XP_008199635.1
OG0001814	NP_001040328.1	XP_972868.1
OG0001815	NP_001091823.1, XP_037876930.1	XP_008199756.1, XP_971941.1
OG0001816	XP_012545172.2	XP_973162.1
OG0001817	XP_004931715.1, XP_021207399.2	XP_015837888.1, XP_974446.1
OG0001818	XP_004928925.2	XP_015836560.1, XP_015836559.1
OG0001819	XP_012545306.2	XP_008194754.1
OG0001820	XP_004921850.1	XP_966351.2
OG0001821	XP_037867951.1, XP_037877404.1	XP_008193342.1
OG0001823	XP_037875756.1	XP_974250.1
OG0001824	XP_037868084.1, XP_037868075.1	XP_015834417.1
OG0001825	XP_037873173.1	XP_015834320.1
OG0001826	XP_012549145.2, NP_001243729.1	XP_008195586.1
OG0001827	XP_037876392.1, XP_037876387.1	XP_008199970.1, XP_008199968.1
OG0001828	XP_012547992.1	XP_008191114.2
OG0001829	NP_001040363.1	XP_968607.1
OG0001830	XP_012544507.1	XP_008200479.1
OG0001831	XP_037874513.1, XP_037874512.1, XP_037874511.1, XP_037874510.1	XP_015835742.1, XP_015835744.1, XP_015835743.1
OG0001832	XP_012550340.1	XP_015839131.1
OG0001833	XP_021202831.1	XP_015834094.1
OG0001834	XP_021205575.2	NP_001164305.1
OG0001835	XP_004933227.2	XP_008190331.1, XP_015832872.1
OG0001836	XP_037869491.1, XP_037869486.1	XP_015837393.1, XP_015837408.1
OG0001838	NP_001040461.1	XP_973996.1
OG0001839	XP_037867245.1, XP_004930061.1	XP_968056.1, XP_015836876.1
OG0001840	XP_004924490.1	XP_008195127.1, XP_015836709.1
OG0001841	XP_037875131.1	XP_008199607.1
OG0001842	XP_037875599.1, XP_037875598.1, XP_021209073.2, XP_037875596.1, XP_037875597.1, XP_037875595.1	XP_968201.1
OG0001843	XP_004923065.1	XP_970048.1
OG0001844	XP_037868430.1	XP_967434.1
OG0001845	NP_001165388.1, XP_037869302.1, XP_004929656.1	XP_972280.1
OG0001846	NP_001296512.1	XP_971039.1
OG0001847	XP_004924718.1	XP_969079.1
OG0001848	XP_037868356.1, XP_037868357.1	XP_966931.1, XP_015840170.1
OG0001850	XP_012546560.2, XP_004927043.1	XP_008197509.1
OG0001851	XP_021204066.2	XP_974730.2
OG0001852	XP_004925133.2	XP_008194931.1
OG0001853	XP_037877103.1	XP_974684.1
OG0001854	XP_037876316.1, XP_037876317.1, XP_004921880.1	XP_974711.1, XP_008190957.1, XP_974693.1
OG0001855	NP_001165386.1	XP_008193347.1, XP_969166.1
OG0001856	XP_037875737.1, XP_021202011.1	XP_970966.2
OG0001858	XP_004928683.1	XP_008196162.1
OG0001859	XP_012552420.3	XP_015835825.1, XP_015835826.1
OG0001861	NP_001036938.1	XP_970093.1
OG0001862	XP_012546765.1	XP_970196.2
OG0001863	XP_004931917.1	XP_968848.1
OG0001864	XP_037876894.1	XP_008196595.1
OG0001865	XP_012545585.1, NP_001037554.1	XP_008196649.1, XP_970928.1
OG0001867	XP_037876257.1	XP_008193780.1
OG0001868	XP_037873044.1	XP_008191524.1, XP_008191525.1
OG0001869	NP_001040327.1	XP_968474.1
OG0001870	XP_004929677.1	XP_970830.2, XP_008200721.1, XP_008200720.1, XP_015836188.1, XP_966582.1, XP_008200719.1
OG0001871	XP_012547234.2, XP_037871093.1	XP_970702.1
OG0001872	XP_004922404.2	XP_975296.1
OG0001873	XP_004931774.2	XP_969187.1
OG0001874	XP_037871173.1	XP_971013.1
OG0001875	XP_012553311.1	XP_015833812.1, XP_008191230.1, XP_969031.2
OG0001876	XP_012549181.1	XP_015835298.1
OG0001879	XP_004929391.1	XP_972523.1
OG0001880	XP_012551963.1	XP_015837523.1, XP_015837518.1
OG0001881	XP_037870422.1	XP_969186.1
OG0001882	XP_037871054.1, XP_037871051.1	XP_008192360.1
OG0001883	XP_004931525.1	XP_008191423.1, XP_970042.1
OG0001884	XP_037877616.1, XP_037877615.1, XP_037877613.1, XP_037877625.1	XP_008196596.1, XP_015837973.1
OG0001885	XP_037876616.1, XP_037876617.1	XP_967536.1
OG0001886	XP_012545706.2	XP_975677.2
OG0001887	XP_037870239.1	XP_008197283.1
OG0001888	XP_021202882.2, XP_012544871.2	XP_008195157.1
OG0001889	XP_037869833.1	XP_976203.1
OG0001890	XP_004932898.1, XP_004928637.1	XP_008199667.1
OG0001891	XP_004923196.2	XP_008192976.1
OG0001894	XP_037867673.1, XP_004926898.1	XP_015834285.1
OG0001895	XP_037873123.1	XP_015837161.1, XP_015837158.1
OG0001896	XP_021203417.2	XP_008199025.2, XP_015836575.1
OG0001897	XP_004930778.1, XP_004930779.1	XP_973467.1
OG0001898	XP_004933569.2, XP_012553329.2	XP_015837675.1, XP_008194172.1
OG0001899	NP_001243914.1	XP_972476.1
OG0001900	XP_004922569.1	XP_973168.1
OG0001901	XP_037876242.1	XP_975551.3
OG0001902	XP_012544997.2	XP_008200644.1, XP_008200643.1
OG0001903	XP_004928575.2	XP_008195330.1
OG0001904	XP_037866807.1	XP_015838968.1
OG0001905	XP_012544944.2	XP_015836844.1
OG0001906	XP_037873835.1	XP_008192297.1
OG0001907	XP_037871977.1	XP_008196697.1
OG0001908	NP_001166831.1	NP_001034524.1
OG0001909	XP_021209035.1	XP_008192942.1
OG0001910	XP_004931433.1	XP_008200358.1
OG0001912	XP_037871747.1	XP_015838680.1
OG0001913	XP_037871630.1	XP_008190278.1
OG0001914	XP_004933679.2	XP_015833095.1
OG0001914	XP_004933676.1	XP_008190774.1
OG0001915	XP_004925729.1	XP_008195899.1, XP_015837384.1
OG0001916	NP_001036911.1, XP_012550247.3	XP_968009.1, XP_008199227.1
OG0001917	XP_004923160.1	XP_969465.1
OG0001918	XP_037877189.1	XP_001812133.1
OG0001919	XP_037873437.1, XP_037873436.1	XP_008201301.1, XP_008201320.1
OG0001920	XP_037873063.1	XP_015839675.1
OG0001921	XP_037868287.1	XP_015838145.1
OG0001922	XP_012550597.1	XP_015838207.1, XP_008196854.1
OG0001923	NP_001157948.1, XP_037869037.1	XP_008198220.1
OG0001924	XP_004930019.1	XP_008200040.1
OG0001925	NP_001243987.1, XP_004928073.3	XP_015833560.1
OG0001926	XP_004929255.1, XP_004929254.1	XP_974856.1
OG0001927	XP_037873449.1, XP_037873450.1	XP_970922.1
OG0001928	XP_021207183.2, XP_037869913.1	XP_015840097.1, XP_008193263.1
OG0001929	XP_004932386.2	XP_969941.1
OG0001930	XP_012546096.2	XP_973098.1
OG0001931	XP_004923112.1	XP_968315.1
OG0001932	XP_037867866.1, XP_037867763.1, XP_037875420.1, XP_037868034.1	XP_008200556.2
OG0001933	NP_001138793.1, XP_037876452.1	XP_008197905.1
OG0001934	XP_012548268.1	XP_008195057.1, XP_008195056.1
OG0001935	XP_012551363.1, XP_004932653.1	XP_972743.1
OG0001936	XP_021207986.1, NP_001124345.1, NP_001091791.1	XP_015838605.1, XP_008193365.2, XP_008190649.2, XP_015836208.1, XP_015836206.1
OG0001937	NP_001136084.1, XP_037874195.1	NP_001159380.1, XP_015837360.1, XP_015837617.1, NP_001159381.1
OG0001938	XP_004921707.1, XP_004921760.1	XP_972867.1
OG0001939	XP_012546950.1, NP_001093283.1	XP_975288.1
