Orthogroup	Bombyx_mori	Solenopsis_invicta
OG0001044	XP_037868906.1, XP_021208939.1	XP_011169612.1, XP_011169610.1
OG0001045	XP_004923807.1, XP_004923839.3, XP_037871303.1	XP_011162672.2
OG0001046	XP_004929883.1, XP_004929882.1	XP_011162026.1, XP_025987025.1, XP_011162025.1
OG0001048	XP_037876905.1, XP_037876906.1	XP_039305995.1
OG0001049	XP_037866893.1, XP_037866897.1, XP_021207763.2	XP_011166480.1, XP_011166481.1
OG0001050	NP_001037042.1	XP_011159776.1, XP_011159778.1
OG0001052	XP_004926923.1	XP_011160586.1
OG0001053	NP_001036970.1, XP_021203004.2	XP_011157154.1
OG0001054	XP_037877208.1, XP_037872743.1	XP_039313698.1, XP_039313699.1
OG0001055	XP_037874322.1	XP_011157954.1
OG0001056	XP_021208201.1, XP_012551775.1, XP_004933144.1, XP_004933143.1	XP_039301672.1, XP_011167342.1
OG0001057	XP_012546102.1	XP_025992790.1, XP_011155465.1
OG0001058	XP_037869696.1	XP_025991914.2
OG0001059	NP_001165393.1, XP_037873012.1	XP_011155850.2, XP_025992160.1
OG0001060	XP_037874163.1, XP_037874164.1, XP_037874165.1	XP_011163616.1
OG0001061	XP_012544018.2	XP_011161404.1
OG0001062	XP_004927760.2, XP_037875315.1	XP_011159512.1
OG0001063	XP_012545541.3	XP_025989549.2, XP_039313025.1
OG0001064	XP_012548764.2	XP_025994664.2
OG0001065	NP_001106139.1, XP_012544167.1	XP_025993227.1, XP_025993228.1
OG0001066	XP_004929225.1	XP_025991457.2, XP_039307737.1
OG0001067	XP_012549214.1	XP_025986088.2
OG0001068	XP_037876252.1, XP_021208008.2, XP_012551482.1	XP_011164046.1, XP_039309169.1
OG0001069	XP_004932579.1	XP_039301790.1, XP_011161238.2
OG0001070	XP_004930760.1, XP_004930761.1	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1
OG0001071	XP_012544371.1, XP_012544374.1	XP_025992820.1
OG0001072	XP_037867427.1, XP_037867426.1, XP_037874093.1, XP_037874090.1	XP_039311109.1
OG0001073	XP_021203320.2, XP_021203319.1	XP_011166357.1, XP_011166496.2
OG0001074	XP_004930337.1	XP_011159283.1, XP_011159282.2
OG0001075	XP_037872729.1	XP_025990833.2
OG0001076	XP_037874441.1, XP_004929657.1	XP_011159538.1
OG0001077	NP_001040222.1	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	XP_012546938.2	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001079	XP_012545888.2	XP_025991664.1, XP_011159694.1
OG0001083	XP_004925857.1	XP_011159372.2
OG0001084	XP_004931981.2	XP_011155352.1, XP_011155351.2
OG0001085	XP_004924088.1, XP_004924087.1	XP_025989431.1, XP_025989433.1
OG0001086	XP_004926056.1, XP_012545716.1	XP_011165624.1
OG0001090	NP_001037162.1, XP_012549564.1	XP_011165641.1
OG0001091	XP_004929855.2	XP_025990318.1
OG0001092	XP_012548309.1, NP_001037470.1	XP_011166457.1, XP_039306837.1
OG0001093	XP_004931699.1	XP_011169511.1
OG0001094	XP_012547124.1, NP_001040452.1	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	NP_001040518.1	XP_011158680.1
OG0001096	XP_021203548.1, XP_004925978.1	XP_025993866.1, XP_025993865.1, XP_025993867.1
OG0001097	NP_001040313.1	XP_011171301.1
OG0001098	XP_004926527.1	XP_039314597.1
OG0001099	NP_001093089.1	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	NP_001040216.1	XP_011166885.1
OG0001101	XP_004922168.1, XP_037873380.1	XP_011169060.1, XP_025986266.1
OG0001102	NP_001037114.1	XP_011173598.1
OG0001103	NP_001037108.1	XP_025992892.1
OG0001104	XP_004934317.1	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	XP_037871716.1, XP_037871717.1	XP_011158662.1
OG0001106	XP_004927328.1, XP_004927327.1, XP_004927329.1	XP_039306727.1, XP_011171425.1
OG0001107	XP_004926469.1	XP_011171628.1
OG0001108	XP_021203928.2	XP_011175804.1
OG0001109	XP_012545410.1	XP_025997087.1
OG0001110	XP_004930468.1	XP_039305008.1, XP_025987622.2
OG0001111	XP_004924201.1	XP_011167411.1
OG0001112	NP_001266326.1, XP_012547737.1	XP_025997156.1
OG0001113	XP_004931327.2	XP_011155666.1
OG0001114	XP_004932918.1, XP_012551624.1	XP_039308544.1
OG0001115	XP_004931997.1	XP_025987003.1
OG0001116	XP_037868483.1	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	XP_012549213.2	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	XP_004922745.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	XP_004929815.1, XP_012549045.1	XP_025989072.1
OG0001120	XP_004922742.2	XP_039302541.1
OG0001120	XP_004933542.1	XP_039302542.1
OG0001121	XP_021207858.2, NP_001180543.1	XP_025991526.1, XP_039307815.1
OG0001122	XP_037869135.1	XP_011155854.1
OG0001123	XP_004931101.1, XP_004931100.1	XP_025989167.1, XP_025989166.1
OG0001124	XP_037873124.1	XP_011163637.1, XP_011163636.1
OG0001125	XP_037867289.1, XP_012551742.1, XP_004933168.1, XP_004933169.1, XP_021208191.1	XP_039310854.1, XP_025992661.2
OG0001126	XP_037872173.1	XP_011166887.2, XP_025985954.2
OG0001127	XP_012551002.1	XP_011158552.1, XP_011158551.3
OG0001128	XP_012551412.2, NP_001232932.1	XP_011163428.1
OG0001129	XP_021203161.1	XP_011156357.1, XP_039307593.1
OG0001130	NP_001106222.1	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	NP_001036904.1, XP_021205859.1	XP_039301948.1, XP_011157851.1
OG0001132	XP_037870554.1	XP_011163174.1
OG0001134	XP_037877752.1	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	XP_037877715.1, XP_037877714.1	XP_039313398.1
OG0001137	XP_004933072.1	XP_011157895.1, XP_025995386.1
OG0001138	XP_037877664.1, NP_001040359.1	XP_011168199.1
OG0001139	XP_012544364.1, XP_012544366.1	XP_025985879.1, XP_039309052.1, XP_025985881.1, XP_025993909.2
OG0001140	XP_021205705.1, NP_001103403.1	XP_011165958.1
OG0001141	XP_037872989.1	XP_025995593.1
OG0001142	XP_037868754.1	XP_011155375.3
OG0001143	XP_004931875.1	XP_011169579.1
OG0001144	XP_012548247.2, XP_037876489.1, XP_037876488.1	XP_025992524.1, XP_011166007.2
OG0001145	XP_012543901.1	XP_011168245.2
OG0001146	XP_004921594.1	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	XP_012547142.2	XP_011166309.1
OG0001148	XP_004928140.1, XP_012547674.1, XP_037873134.1	XP_011172034.1
OG0001149	XP_037867251.1	XP_039312701.1, XP_011169138.1
OG0001150	XP_004925200.1, XP_021203010.1	XP_039310944.1
OG0001151	XP_012545538.1, NP_001103478.1	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	XP_012547811.1, XP_012547814.1	XP_011159091.2
OG0001153	XP_004924521.2	XP_025989988.2, XP_039312520.1
OG0001154	XP_037868706.1, XP_004924023.1	XP_039304154.1, XP_039304148.1
OG0001155	XP_037871158.1	XP_011172072.1, XP_039302712.1
OG0001156	XP_004928302.1	XP_011159299.2
OG0001157	XP_004926833.1	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	XP_012551780.2	XP_025991651.1
OG0001159	XP_037876270.1	XP_011167339.1
OG0001160	XP_004921968.1, XP_037877276.1	XP_039311819.1
OG0001161	NP_001093315.1	XP_011167380.1
OG0001162	XP_037873093.1	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1
OG0001163	XP_037877307.1, NP_001243921.1	XP_011161732.3
OG0001164	XP_012544977.1	XP_039312072.1, XP_025992020.1, XP_011169634.1, XP_011169630.1, XP_011169631.1, XP_011169633.1
OG0001165	XP_037871563.1, XP_037871559.1	XP_025985971.2
OG0001166	XP_037869122.1	XP_011168537.1, XP_011168538.1
OG0001167	XP_004925143.1	XP_011156104.1
OG0001169	XP_004933290.1, XP_004933289.1	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001170	NP_001040307.1, XP_037873399.1	XP_011162655.1
OG0001171	XP_037871074.1, XP_037871077.1	XP_025994529.1, XP_025994523.1
OG0001172	XP_037871481.1, NP_001139127.1	XP_025987963.1, XP_025987960.1
OG0001173	XP_004923145.2, XP_037875779.1	XP_011158513.2, XP_039310526.1
OG0001174	XP_004931972.1	XP_011161987.1
OG0001175	XP_037875209.1	XP_025993082.1
OG0001176	XP_004931359.1	XP_039302580.1, XP_039302579.1, XP_039302581.1
OG0001177	XP_037875889.1	XP_039306182.1, XP_039315302.1
OG0001179	XP_012550481.2	XP_039304562.1
OG0001180	XP_037872073.1	XP_011167997.1, XP_025990282.1
OG0001181	XP_004927791.1	XP_011156355.1, XP_039307596.1
OG0001182	XP_037875670.1, XP_037875884.1	XP_039305887.1, XP_039305890.1
OG0001183	XP_037869217.1, XP_037869220.1	XP_025990516.1
OG0001184	XP_012549667.1, XP_012549669.1	XP_011156884.2, XP_039307254.1
OG0001185	XP_037874622.1, NP_001165114.1	XP_039312820.1
OG0001186	XP_004924300.1	XP_011175807.1
OG0001187	XP_012551805.2	XP_011172004.1, XP_011172006.1
OG0001188	XP_004924079.1	XP_011163748.1
OG0001189	XP_037877740.1	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1
OG0001191	XP_021204668.1, XP_037870110.1, XP_021204693.1	XP_025993238.1, XP_039303760.1
OG0001193	NP_001093292.1, XP_021203117.2, NP_001103402.1	XP_011173460.1
OG0001195	XP_037877359.1	XP_025985837.1, XP_011166782.1, XP_011166783.1
OG0001198	XP_004925553.1	XP_039314770.1
OG0001199	XP_012551521.2, XP_021207983.2, XP_037868317.1, XP_037868319.1, XP_037868313.1	XP_011172415.1
OG0001202	XP_037869396.1, XP_037869397.1	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1
OG0001203	NP_001296540.1	XP_039310696.1, XP_011163743.2
OG0001204	XP_037874979.1	XP_025991982.1
OG0001205	XP_004933672.2	XP_039314810.1, XP_039303835.1
OG0001206	XP_004929966.1, XP_037869097.1	XP_011156167.1
OG0001208	XP_037876320.1, XP_012553119.1, XP_021209257.1	XP_011170339.1, XP_039314294.1
OG0001211	XP_021205177.2, XP_021205176.2, XP_021205173.2, XP_004928771.2, XP_021205174.2, XP_012544584.1	XP_039305023.1, XP_039305022.1
OG0001214	NP_001040279.1, XP_012551201.1	XP_011160964.2
OG0001215	XP_037872613.1, XP_037872615.1, XP_021208348.1	XP_039312900.1
OG0001216	XP_012550836.2	XP_011172216.1
OG0001217	XP_004927890.1	XP_011175935.1, XP_039308277.1, XP_011175936.1
OG0001218	NP_001040120.1	XP_011166690.1, XP_011166689.1, XP_039301873.1
OG0001219	XP_004929153.2	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1
OG0001220	XP_004930794.1	XP_011169281.1, XP_039302204.1
OG0001221	XP_012545938.1, NP_001040197.1, XP_004930220.1	XP_025992507.1
OG0001222	XP_004922174.2	XP_011164688.1, XP_011164686.1, XP_011164689.1
OG0001223	XP_037872237.1	XP_011164227.1
OG0001224	XP_004926867.1	XP_011159507.1
OG0001225	NP_001040311.1	XP_011164828.1
OG0001227	XP_021209023.1, XP_021209021.1, XP_021209019.1	XP_039315479.1, XP_039304013.1, XP_011159726.2, XP_011155341.1, XP_011155357.2, XP_011155356.1, XP_039309264.1, XP_039309025.1, XP_039309024.1, XP_025987060.2
OG0001228	XP_012545774.2, XP_037876543.1	XP_025987277.1, XP_039314353.1
OG0001229	NP_001037132.1, XP_012548070.1	XP_039305870.1
OG0001230	NP_001037259.1	XP_011169142.1
OG0001231	XP_037869352.1	XP_011158057.1
OG0001231	XP_037866604.1	XP_025986565.1
OG0001232	XP_037869261.1, XP_037869262.1	XP_011166300.1
OG0001233	XP_012549545.1	XP_011170934.1, XP_039302501.1
OG0001234	XP_037874331.1, XP_021203183.1, XP_004925455.2	XP_011161472.2
OG0001236	XP_004931956.1	XP_039312471.1, XP_011161524.1
OG0001238	XP_021203590.2, XP_021203599.1	XP_025993336.1, XP_039304779.1
OG0001239	XP_012548121.3	XP_025995034.1
OG0001240	NP_001040150.1	XP_011165534.1
OG0001241	XP_012551265.1	XP_011172347.1, XP_011172352.1
OG0001242	XP_021203674.1, XP_004926232.2	XP_011163952.2
OG0001243	XP_004921561.1	XP_039308191.1, XP_025992363.2, XP_025992362.2, XP_025992361.2
OG0001244	XP_004931363.1	XP_011168503.1
OG0001245	XP_012547946.1, XP_021205147.1, XP_037871844.1, XP_037871843.1	XP_025988274.1
OG0001246	XP_021205319.1, XP_021205320.1, XP_012547940.1, XP_021205318.1	XP_039303840.1, XP_025988269.1, XP_011168731.1
OG0001247	NP_001280620.1, XP_012547444.1	XP_011164739.2
OG0001248	NP_001266436.1	XP_039304594.1
OG0001249	XP_037873698.1	XP_039309218.1
OG0001250	XP_012547191.3, XP_037871060.1	XP_011164364.2
OG0001251	XP_021202275.2, XP_021202277.2	XP_039312198.1
OG0001253	XP_037868796.1	XP_025995063.2
OG0001254	XP_012548031.1	XP_011168604.1
OG0001255	XP_004932670.4	XP_039314922.1, XP_025987255.1
OG0001256	XP_037870663.1, NP_001036985.1	XP_025988912.1, XP_025988913.1
OG0001257	XP_012546555.1	XP_011160876.1, XP_025994228.1
OG0001258	XP_037870191.1	XP_025987582.1, XP_011173619.1, XP_039305542.1
OG0001259	XP_037874041.1	XP_011164216.2
OG0001260	NP_001040211.1	XP_039304059.1, XP_011166201.1
OG0001261	XP_021208090.1	XP_011160516.2
OG0001262	XP_021205442.1	XP_011164195.1
OG0001263	NP_001037452.1	XP_011170503.1
OG0001264	XP_037867170.1	XP_011165039.1
OG0001265	NP_001266388.1	XP_039315308.1
OG0001267	XP_037866491.1	XP_011163983.1, XP_039308646.1, XP_025994469.1, XP_039308643.1
OG0001268	XP_021205844.2	XP_025989285.1, XP_025989636.1
OG0001269	XP_037869606.1	XP_039315133.1, XP_025994739.1, XP_039315135.1
OG0001270	NP_001040175.1	XP_011157222.1
OG0001272	XP_037871475.1, NP_001093314.1, NP_001098702.1, NP_001098700.1	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1
OG0001273	XP_037866725.1, NP_001116823.2	XP_025987733.1
OG0001274	XP_012544435.2	XP_011173464.2
OG0001275	XP_037875688.1	XP_011164629.1, XP_025990967.2
OG0001277	XP_004931850.2, XP_021207347.2	XP_025989192.1
OG0001278	XP_037875820.1	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1
OG0001279	XP_012546213.2	XP_039311659.1, XP_011163520.1, XP_039311656.1
OG0001280	XP_012550549.1, NP_001098067.2	XP_011168647.1
OG0001281	XP_004932331.1	XP_011171013.1, XP_011171012.1
OG0001283	XP_012551935.1, NP_001037644.1	XP_039309473.1, XP_039309472.1
OG0001284	XP_012544695.2, XP_012544697.2	XP_011159268.2
OG0001285	XP_037872259.1	XP_011171248.3, XP_039311732.1, XP_039309729.1, XP_039312468.1
OG0001286	XP_004933304.1	XP_011175133.1
OG0001287	XP_037874173.1	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2
OG0001288	XP_037876362.1	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1
OG0001289	XP_004922571.1	XP_011162420.1
OG0001291	XP_021202357.1, NP_001037055.1	XP_025995978.1, XP_039315524.1
OG0001292	XP_037877060.1	XP_039312474.1
OG0001293	XP_004923001.1, XP_004923002.1	XP_011160608.1
OG0001294	XP_021204295.1	XP_011166902.1
OG0001295	XP_004933504.2, XP_037873395.1	XP_025988763.2, XP_011172182.2, XP_039313063.1
OG0001298	XP_037867209.1	XP_025991722.1
OG0001299	XP_004928614.1	XP_011155329.2
OG0001300	XP_037876736.1	XP_039308336.1, XP_011176356.1
OG0001301	XP_037869383.1	XP_039313098.1
OG0001302	XP_037870217.1, XP_037870210.1	XP_039305041.1
OG0001303	XP_037875592.1, XP_037875594.1	XP_011162751.2, XP_025993208.2
OG0001304	XP_004930048.2	XP_039303726.1, XP_011169416.1
OG0001305	NP_001091843.1	XP_039306299.1
OG0001306	XP_037872003.1, XP_037872009.1	XP_039311745.1, XP_025993252.1
OG0001307	XP_037871814.1	XP_025992202.1, XP_025992201.1, XP_039304075.1
OG0001308	XP_037868945.1, XP_004931237.2	XP_011164101.2
OG0001310	XP_004931319.1	XP_011175922.1
OG0001312	NP_001040409.1	XP_011169654.1
OG0001313	XP_004931506.1	XP_011168031.1
OG0001314	XP_037868789.1, XP_037868793.1, XP_037868792.1, XP_037868791.1, XP_037868790.1, XP_037868795.1, XP_037868794.1	XP_025987160.1, XP_025987159.1
OG0001315	XP_037871474.1, XP_012546336.2	XP_039307094.1, XP_039307090.1, XP_039307091.1
OG0001316	NP_001036998.2	XP_011165521.1, XP_011165520.1, XP_039307433.1
OG0001317	XP_004930756.1	XP_039305014.1, XP_011169093.1
OG0001318	XP_037866753.1, NP_001040253.1	XP_039306228.1, XP_011159820.1
OG0001320	XP_004924759.1, XP_004924776.1	XP_011175003.1
OG0001322	XP_012545066.1, XP_012545062.1	XP_025995334.2, XP_025995333.2
OG0001323	NP_001166748.1	XP_011175801.1, XP_039313975.1, XP_011175670.1
OG0001328	XP_004923057.1	XP_011171298.1, XP_011171300.1, XP_039307149.1
OG0001329	XP_004927515.1, XP_037873856.1	XP_025994744.1
OG0001330	XP_037874170.1	XP_011173423.1
OG0001331	XP_021204676.1, NP_001037564.1	XP_011159081.1, XP_011155677.1
OG0001332	NP_001037586.1	XP_011161127.1
OG0001333	XP_037871533.1, NP_001037243.1	XP_011161667.1
OG0001334	XP_012545428.1, NP_001136083.1	XP_039314193.1
OG0001335	XP_004930207.1, XP_004930205.1	XP_011176244.1, XP_025994143.1
OG0001336	XP_004930907.1	XP_039313962.1, XP_039313963.1, XP_039313961.1
OG0001337	XP_004930268.2, XP_012544537.2	XP_011172356.1
OG0001338	XP_037868459.1	XP_011156305.1
OG0001339	NP_001244268.1, NP_001266404.1	XP_011170919.1
OG0001340	NP_001037165.1, XP_012545340.1	XP_011157400.1, XP_039302773.1
OG0001341	XP_004932389.1	XP_011160584.3
OG0001342	XP_037866745.1, NP_001037011.1	NP_001291521.1, XP_011158641.1
OG0001343	XP_037875228.1	XP_039315305.1, XP_039305231.1
OG0001345	XP_004930391.1	XP_011159425.1
OG0001346	XP_037867854.1, XP_037867853.1, XP_037867852.1	XP_025986739.2
OG0001347	XP_004924763.1	XP_011162367.1
OG0001348	XP_037868035.1	XP_025994333.2
OG0001349	XP_037868296.1, XP_004932184.1	XP_011156749.1, XP_011156750.1
OG0001350	XP_021206894.1, XP_037877388.1, XP_037877464.1, NP_001093288.1	XP_011167785.1, XP_039304006.1, XP_025991063.1
OG0001351	XP_004927142.1	XP_011166906.1
OG0001352	XP_012550733.1	XP_039302099.1, XP_039302098.1, XP_011156572.1, XP_025991200.1
OG0001353	XP_004922173.1	XP_011166239.1, XP_025988594.1
OG0001354	XP_037873431.1, XP_037873434.1	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1
OG0001355	XP_012552803.2	XP_011168669.1, XP_039306977.1
OG0001356	XP_012548900.1	XP_025993681.1
OG0001357	XP_021209301.1, XP_021209300.1	XP_011156200.1
OG0001359	NP_001040366.1, XP_004930970.1	XP_011155735.1
OG0001362	XP_004922990.2	XP_011166065.1
OG0001363	XP_004929272.1	XP_011164426.1
OG0001364	XP_012552135.1	XP_025992935.1
OG0001365	NP_001171773.1	XP_011156369.2
OG0001366	XP_012552100.2	XP_011170838.2
OG0001366	XP_021208338.1	XP_011170837.1
OG0001368	XP_004930597.1	XP_039306221.1, XP_025986501.1
OG0001369	XP_021209165.1, XP_004923234.1	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1
OG0001370	XP_004925873.1	XP_025990425.1, XP_011162934.1, XP_025990426.1
OG0001371	XP_021208861.2	XP_011175761.2
OG0001373	XP_004924045.1, XP_037868833.1	XP_011168414.1
OG0001375	NP_001243941.1	XP_011167128.1, XP_011167127.1
OG0001376	XP_037872952.1	XP_039306070.1
OG0001377	XP_004928133.1	XP_011176400.1, XP_011176401.1
OG0001378	XP_004933406.1	XP_011164716.1
OG0001379	XP_021204324.1, XP_004927180.1	XP_011155491.1
OG0001380	NP_001243931.1	XP_025994567.1
OG0001382	XP_004924008.1, XP_037868775.1	XP_039313566.1, XP_039313567.1, XP_039313568.1
OG0001383	XP_037871400.1	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1
OG0001384	XP_037870879.1, XP_037870878.1, XP_037870877.1, XP_037870876.1, XP_037870875.1	XP_011163732.1, XP_025990206.1
OG0001386	XP_037877052.1	XP_025989972.1
OG0001387	XP_012551998.1, XP_012551999.1, XP_012552000.1	XP_011171595.1
OG0001388	XP_012551899.1, XP_012551818.1, XP_021207492.1, XP_012551932.1, XP_037869508.1	XP_039309574.1
OG0001389	XP_037866835.1, XP_021206196.1	XP_039305597.1
OG0001390	XP_004923976.1, XP_012543955.1	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2
OG0001391	XP_004931964.1, XP_012550804.1	XP_011161215.1, XP_039308652.1
OG0001392	XP_004923286.3	XP_025993442.2
OG0001393	NP_001108457.1, XP_012548872.1, NP_001108458.1	XP_011157653.2
OG0001394	XP_037872972.1, XP_037872971.1, XP_012551207.1	XP_011176229.1
OG0001395	XP_037868467.1	XP_011164439.1, XP_025993826.1
OG0001396	XP_012546276.2	XP_025993663.2
OG0001397	XP_021208952.1, XP_037868947.1	XP_011172906.1
OG0001398	XP_037871681.1	XP_025990535.1
OG0001399	XP_021203857.1, XP_004926442.1, XP_021203856.1	XP_025993541.2
OG0001400	XP_004926572.1, XP_037870367.1	XP_025993885.1, XP_025993881.1
OG0001401	XP_004923967.2	XP_011170086.1
OG0001402	XP_004931504.1	XP_011163539.1
OG0001403	XP_037873037.1	XP_039310380.1
OG0001404	XP_037873980.1	XP_011156235.1
OG0001405	NP_001243976.1	XP_039304316.1
OG0001406	XP_037867555.1, XP_012549636.1	XP_011159875.1, XP_011159874.1
OG0001407	XP_004932096.2	XP_025996674.2, XP_025996673.2, XP_039307890.1
OG0001409	XP_037872234.1, XP_037872231.1	XP_025988890.2
OG0001410	XP_021203216.2, XP_012545273.2, XP_012545274.2	XP_011164802.1
OG0001413	XP_004931236.2	XP_011169177.2, XP_011169180.2
OG0001414	XP_004926796.1	XP_011156102.1
OG0001415	XP_037877821.1, XP_037877823.1	XP_011168452.2
OG0001416	XP_037866526.1	XP_011156599.2, XP_039307071.1
OG0001417	XP_004921935.1, XP_037872611.1, XP_037872612.1	XP_011159626.1, XP_011159625.1, XP_039303854.1
OG0001418	XP_012547297.1	XP_025988310.1
OG0001419	XP_012548678.1	XP_025990704.1, XP_025990698.1
OG0001420	XP_012552202.1, XP_037876612.1, XP_004922782.1	XP_039305246.1, XP_039305245.1
OG0001421	XP_004929664.1	XP_011157717.1
OG0001422	XP_004932407.1	XP_011168866.3
OG0001423	XP_004923479.2	XP_039301682.1
OG0001424	XP_012544948.2	XP_025988061.1, XP_011175495.1
OG0001426	XP_037870983.1	XP_039309524.1
OG0001427	XP_004927183.1	XP_011175988.1
OG0001428	XP_037866655.1	XP_011169585.1, XP_011169577.1
OG0001429	NP_001036947.1	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1
OG0001430	XP_037866431.1	XP_011164676.1, XP_039308732.1, XP_039302689.1, XP_039302690.1, XP_039302692.1, XP_039302691.1, XP_025991973.2, XP_039307943.1, XP_039307372.1, XP_039308068.1, XP_039307944.1, XP_011164674.1, XP_011164678.1, XP_011164680.2, XP_011164681.2
OG0001434	XP_037876486.1	XP_011159065.1
OG0001435	XP_037873347.1	XP_039315309.1, XP_011176169.1, XP_039305575.1
OG0001436	XP_004922451.1, XP_004922450.1	XP_011175197.1
OG0001437	NP_001153671.1	XP_011172011.1
OG0001440	XP_004930927.1	XP_039301796.1
OG0001441	XP_037877608.1, XP_037877601.1	XP_025995051.1, XP_011164726.1
OG0001442	NP_001119723.1	XP_039304061.1
OG0001443	XP_037874392.1	XP_039302720.1, XP_039302721.1
OG0001444	XP_012544068.1, XP_037876196.1, XP_037876194.1	XP_039303669.1
OG0001445	NP_001164469.1	XP_011167441.1
OG0001446	XP_037872969.1	XP_011169573.2
OG0001452	XP_037870536.1, XP_037872079.1, XP_037872080.1, XP_037872267.1, XP_037873388.1, XP_037875423.1, XP_037875424.1, XP_037876506.1, XP_037872268.1, XP_037870535.1, XP_037869670.1, XP_037869672.1, XP_037868661.1, XP_037868659.1, XP_037869328.1	XP_011160094.1
OG0001453	NP_001037144.1, XP_012548545.1	XP_011166027.1, XP_039311081.1
OG0001455	XP_004932665.1, XP_037875264.1	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1
OG0001456	XP_021209082.1	XP_039314390.1, XP_011160138.1
OG0001457	XP_012549706.1	XP_011156838.1
OG0001458	NP_001243920.1	XP_039313170.1, XP_039313172.1, XP_039313171.1
OG0001459	XP_021209024.1	XP_039314602.1
OG0001460	XP_012544554.1	XP_011168563.1
OG0001461	XP_012544433.2	XP_011166122.1
OG0001462	XP_004929675.1, XP_004929676.1	XP_039313168.1
OG0001463	XP_037877408.1, XP_037877516.1, XP_037877454.1, XP_037877390.1, XP_037877345.1, XP_037877590.1, XP_037872607.1, XP_037872606.1	XP_039314506.1
OG0001464	XP_021207479.1	XP_011175504.1
OG0001465	XP_004927891.1, XP_004927887.1	XP_039302626.1, XP_011172138.1, XP_011172139.1
OG0001466	XP_004934358.1	XP_011164329.1, XP_025988877.1
OG0001467	XP_037869859.1, XP_037869858.1	XP_011171584.1, XP_011171583.1
OG0001468	NP_001036939.1	XP_011168738.1
OG0001469	XP_004923021.1, XP_004923022.1	XP_025992793.1
OG0001470	XP_021207359.1, XP_021207329.1	XP_025996653.1
OG0001471	XP_004931777.2	XP_011168758.1
OG0001472	XP_004928523.1, NP_001266343.1	XP_011171029.1
OG0001473	XP_004921751.1	XP_025987889.2
OG0001474	XP_004928242.1	XP_011163536.1
OG0001475	XP_004930737.1	XP_011165353.1
OG0001476	XP_012545928.1, XP_004926324.2	XP_011170458.2
OG0001477	XP_037877391.1, XP_037877482.1, XP_004929266.2	XP_025990076.1
OG0001478	NP_001170882.1, XP_012551408.1	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1
OG0001479	NP_001036956.1, XP_012549120.1	XP_011171853.1
OG0001480	XP_004930565.1	XP_025988609.1, XP_011167365.1
OG0001481	XP_012547389.2, XP_004927794.2	XP_011163818.1
OG0001482	XP_021206661.1	XP_025995318.2
OG0001484	XP_012547006.1	XP_039313164.1
OG0001485	XP_004930031.2	XP_011158628.1
OG0001486	XP_012553363.1	XP_025988210.1
OG0001487	XP_012550436.1	XP_011160910.1
OG0001488	XP_037869760.1	XP_011175651.1
OG0001489	XP_037868752.1	XP_011159173.1
OG0001490	XP_004924569.1	XP_039308811.1
OG0001491	XP_004925005.1	XP_011173446.1
OG0001492	XP_004927896.1, XP_004927895.1, XP_004927894.1	XP_011166609.1
