Orthogroup	Bombyx_mori	Acyrthosiphon_pisum
OG0000598	XP_037874977.1, NP_001036878.1	XP_001947666.2, XP_008183737.1
OG0000598	XP_037874811.1	XP_001950892.1
OG0000599	XP_037876641.1	XP_001949191.1
OG0000600	XP_004930123.1, XP_012549251.1, XP_004932391.1	XP_001949669.2
OG0000601	NP_001129360.1, XP_037876451.1, XP_004926112.1, XP_004926115.1, XP_004926116.1, XP_004926114.2	XP_001951658.1, XP_003246181.1
OG0000602	NP_001093304.1	XP_001950931.1, XP_029345659.1
OG0000604	XP_021205380.1, NP_001091766.1	XP_003240405.1, XP_016659400.1
OG0000605	XP_004923235.1, XP_021208495.1, XP_004925320.1	XP_008180944.1, XP_008185977.1, XP_029342027.1, XP_003243160.1, XP_008184245.1, XP_008184192.1, XP_016661382.1, XP_008180144.1
OG0000606	XP_012549685.2	XP_003243713.1, XP_008179811.1, XP_016657625.1, XP_016664132.1
OG0000608	XP_004921791.1	XP_008181858.1
OG0000608	XP_037869366.1, XP_037869812.1, XP_037871330.1	XP_016657068.1, XP_008180517.1, XP_016660379.1, XP_029340908.1, XP_016664918.1
OG0000609	XP_037871658.1	XP_003247040.1
OG0000611	XP_037875935.1, XP_037875867.1	XP_008182169.1
OG0000612	XP_037869346.1	XP_016663112.1
OG0000613	XP_037876749.1	XP_016665058.2, XP_029341905.1
OG0000614	XP_012545240.3	XP_029347847.1, XP_029345755.1
OG0000614	XP_037866969.1	XP_029345094.1
OG0000619	NP_001040292.1	NP_001119620.1
OG0000620	NP_001037235.1, XP_012553376.1	NP_001119693.1
OG0000622	XP_004924086.1, XP_037876184.1	NP_001155451.1
OG0000623	XP_004922821.1	XP_008181802.1, NP_001155779.1
OG0000624	NP_001091773.1, XP_012552771.1	XP_029346569.1, XP_008186582.1, NP_001155814.1
OG0000625	XP_004927886.2	NP_001156612.1
OG0000626	NP_001040113.1	NP_001157405.1, NP_001156700.1
OG0000627	XP_004932920.1	NP_001313551.1, XP_016663665.1
OG0000628	XP_012552805.2	XP_001943157.3, XP_029344381.1
OG0000629	XP_037871792.1	XP_003245664.2, XP_001943353.2
OG0000629	XP_004924467.2, XP_037871546.1, NP_001037446.1	XP_016663367.1
OG0000630	NP_001037096.1, NP_001093291.1, XP_004924240.1	XP_029341235.1, XP_003248256.2, XP_001943356.2, XP_029341593.1, XP_008183510.2, XP_003248907.2, XP_003249052.1, XP_001950210.2, XP_016665115.2
OG0000631	XP_037867286.1, XP_004930051.1, XP_004930052.1, XP_021206285.1, XP_004930050.1	XP_008188517.1, XP_029342232.1, XP_029348412.1, XP_001943770.2, XP_001944782.1, XP_003243146.1
OG0000632	XP_004923704.1	XP_001943796.1, XP_029342184.1
OG0000633	XP_004933329.1	XP_029343122.1, XP_001945563.1
OG0000634	XP_004922934.1, XP_037868782.1	XP_001946193.5, XP_001948513.1
OG0000635	XP_012546801.1	XP_001946319.1
OG0000636	XP_012545872.1	XP_029342986.1, XP_001946474.2, XP_008184598.1
OG0000637	XP_004922689.2, XP_037871170.1	XP_001946886.2
OG0000639	XP_012547437.3	XP_001947904.1
OG0000640	XP_004933428.1	XP_001948379.1
OG0000641	XP_012552077.1	XP_001948633.1
OG0000642	NP_001037634.1	XP_001949229.1, XP_008179851.1
OG0000643	XP_021202080.1	XP_003245435.1, XP_001949448.1
OG0000645	XP_037873711.1	XP_001950725.2
OG0000645	XP_012549833.2	XP_029344525.1
OG0000646	XP_012551416.1, NP_001040400.1	XP_016657958.1, XP_001951007.1, XP_029346742.1, XP_029346743.1
OG0000647	XP_004927346.1	XP_001951116.2
OG0000648	NP_001040539.1	XP_003245689.1, XP_003242161.1
OG0000649	XP_004931606.2, XP_012550437.2	XP_003242338.1, XP_016660033.2, XP_029341182.1, XP_029346979.1, XP_003244481.1, XP_029341181.1
OG0000650	XP_004921591.3	XP_003246432.1
OG0000651	XP_037866568.1, XP_037876752.1	XP_003247009.1
OG0000653	XP_012549713.1	XP_008181156.1
OG0000654	XP_037866824.1	XP_008181167.2
OG0000655	XP_021209202.2	XP_008181620.1
OG0000656	XP_037869598.1, XP_037869597.1, XP_037869603.1, XP_037869601.1, XP_037869602.1, XP_037869599.1, XP_037869600.1	XP_008183337.1, XP_008183338.1
OG0000657	XP_012552939.1	XP_008186354.1
OG0000658	XP_037877152.1, XP_012549781.2	XP_008189424.1, XP_016656894.2, XP_008188106.1, XP_008188534.1
OG0000659	XP_037868442.1	XP_016660491.1
OG0000660	XP_004924867.1, XP_004924139.1	XP_016660539.2
OG0000661	XP_021206765.2	XP_029348293.1
OG0000662	NP_001037592.1, NP_001188510.1	XP_029341705.1, XP_029346479.1
OG0000664	XP_004930171.1, XP_012545467.3, XP_012552085.2	XP_029343053.1
OG0000665	XP_012546690.1, NP_001037035.1	XP_029343937.1
OG0000666	NP_001103399.1	XP_029343991.1
OG0000667	XP_021207812.1	XP_029344002.1
OG0000668	XP_037872593.1	XP_029345637.1
OG0000669	XP_004933157.2	XP_029347009.1
OG0000680	NP_001091751.1	NP_001119660.1, XP_008189851.1
OG0000681	XP_037867017.1	XP_016659328.1, NP_001153525.1
OG0000682	NP_001073122.1, XP_037873015.1, NP_001296534.1, XP_004926382.1	NP_001155393.1, XP_008182210.1, NP_001267493.1, XP_008186960.1, XP_029343618.1, NP_001313605.1, NP_001155479.1
OG0000683	XP_037876258.1	NP_001155481.1
OG0000684	NP_001182007.1, XP_037870649.1	NP_001155644.1, XP_016662860.1
OG0000685	NP_001106738.1, XP_004929928.1	NP_001313600.1, NP_001156726.1
OG0000686	XP_004931716.1, XP_012550658.1, XP_004931717.1	XP_001942741.1
OG0000687	XP_004929003.2	XP_001942765.1
OG0000688	XP_012551595.1	XP_001942926.1
OG0000689	XP_004930967.1	XP_008186328.3
OG0000690	XP_004928958.2	XP_008184851.1, XP_001946054.2, XP_029344519.1
OG0000691	NP_001040457.1, XP_012546748.1	XP_001946073.1, XP_003241430.1, XP_008178465.1, XP_001952703.2
OG0000692	NP_001040129.2, XP_021207136.1	XP_001946699.1, XP_029347455.1
OG0000693	XP_012546443.3	XP_001947047.2, XP_016656947.1
OG0000694	XP_021206559.1, XP_021206556.1	XP_029345691.1, XP_008187750.1, XP_001950665.2, XP_001948147.2, XP_016655865.1, XP_008186608.1, XP_003241679.1, XP_003241678.1, XP_016656515.1, XP_016657356.2, XP_016662803.2
OG0000695	XP_037869370.1, XP_037869371.1	XP_001949079.2, XP_029347773.1, XP_029341226.1
OG0000696	NP_001040393.1	XP_001950288.1, XP_003247074.1
OG0000697	XP_037870933.1, XP_037870932.1, XP_037870935.1, XP_037870934.1	XP_003247861.2, XP_001951353.2
OG0000698	XP_004921603.1	XP_001951677.1
OG0000699	XP_012547468.1	XP_001952780.2, XP_003240569.1
OG0000700	XP_012549587.2	XP_008182208.1
OG0000701	XP_004930613.1	XP_003248730.1, XP_029341434.1, XP_029341372.1, XP_016664010.2, XP_029348216.1, XP_008184909.1, XP_029341470.1, XP_029341404.1, XP_008179573.1, XP_029342398.1, XP_029342386.1, XP_029342387.1, XP_029340947.1, XP_029340948.1, XP_016657105.1, XP_029341003.1, XP_008188186.2, XP_008180110.2, XP_008184910.1, XP_029341002.1, XP_003241493.3, XP_029342383.1, XP_008184911.1, XP_029341367.1, XP_029348684.1
OG0000703	XP_004923237.1	XP_003244064.1
OG0000704	XP_037876977.1	XP_003244598.1
OG0000705	XP_004929787.1, XP_021205955.1	XP_003246626.1
OG0000706	XP_012551505.1, XP_012551504.1, XP_004932797.1	XP_003246815.1, XP_008186469.1, XP_008186470.1, XP_003248641.2, XP_008182767.2
OG0000707	NP_001155191.2, XP_037873775.1, NP_001355993.1	XP_003247162.1
OG0000708	XP_021207022.1, NP_001108338.1	XP_008178377.1
OG0000709	XP_004929950.2	XP_008179400.1, XP_029347123.1
OG0000710	NP_001036980.1, XP_037868181.1	XP_008181290.1
OG0000711	XP_012543949.1, XP_004923951.1, XP_037875686.1	XP_008181778.1, XP_029347417.1, XP_016658910.1
OG0000712	XP_012545977.1, NP_001040221.1	XP_029343403.1, XP_008181834.1
OG0000713	XP_012548767.3	XP_016659225.1, XP_008182238.1, XP_029344328.1
OG0000714	XP_037876868.1, XP_037876867.1	XP_008182728.1
OG0000715	XP_012549620.1, XP_012549614.1, XP_004930551.1, XP_004930549.1	XP_008183424.1
OG0000716	XP_004929845.2	XP_008185071.1
OG0000717	XP_004929437.1	XP_029343285.1, XP_008186737.1, XP_008186736.1
OG0000718	XP_037876788.1, XP_037876789.1, XP_037876790.1	XP_016663726.1
OG0000719	XP_037866625.1, XP_037866624.1, XP_037866626.1	XP_029341070.1, XP_029341073.1
OG0000720	XP_004932841.1	XP_029344440.1
OG0000720	XP_037867094.1	XP_029343675.1
OG0000721	XP_004930414.1	XP_029344487.1, XP_029344486.1
OG0000722	XP_004929890.1	XP_029346583.1
OG0000723	NP_001177296.1, XP_021207427.1	XP_029346730.1, XP_029346734.1
OG0000736	NP_001040246.1	NP_001155375.1, XP_016658086.1
OG0000737	NP_001040368.1	XP_016663358.1, NP_001155484.1
OG0000738	XP_004924640.1, XP_037872066.1, XP_037872067.1	XP_008182822.1
OG0000738	XP_004924697.1	XP_029346551.1
OG0000738	XP_004924641.1	NP_001155539.1, XP_029346550.1
OG0000739	NP_001040352.1	NP_001155649.1
OG0000740	NP_001040365.1	XP_008183991.1, NP_001156301.1
OG0000741	XP_004930084.2, XP_021206312.2, XP_004930045.1	XP_008179667.1, NP_001156595.1, NP_001280465.1, XP_008183839.1
OG0000742	NP_001182627.1, XP_012547722.1	NP_001164573.1
OG0000743	XP_012549042.1	NP_001192101.1, XP_029344784.1
OG0000744	XP_037876561.1	XP_016663430.1, XP_001943030.2
OG0000744	XP_004931243.1	XP_029347118.1, XP_029347117.1, XP_008179977.1, XP_008179976.1, XP_008179975.1
OG0000745	XP_037868291.1, XP_037868290.1	XP_003244954.1, XP_001943033.1
OG0000746	XP_004924851.2, XP_012544735.2	XP_029344776.1, XP_029344777.1
OG0000746	XP_021204371.2, XP_004927240.2, XP_004927241.2, XP_021204370.2	XP_008186951.1, XP_001943086.2
OG0000747	XP_004923047.1	XP_001943161.2
OG0000748	XP_037876847.1	XP_029345925.1, XP_001943539.2
OG0000749	XP_012549547.1, NP_001093280.1	XP_001943996.1
OG0000749	XP_037867419.1, XP_004925678.1	XP_001944267.1
OG0000750	XP_012550509.1	XP_001944397.3
OG0000751	XP_004930153.1, XP_021206213.1	XP_001944597.2
OG0000751	XP_021206300.1	XP_008185151.1
OG0000752	XP_021202442.1	XP_001944830.2
OG0000753	XP_012551688.1	XP_001944864.1
OG0000754	XP_037868771.1, XP_037868772.1, XP_037868773.1	XP_001945603.2
OG0000755	XP_004924580.2	XP_001946913.2
OG0000756	XP_004929844.1	XP_001947745.1
OG0000756	XP_004932790.2	XP_001948209.1
OG0000757	XP_037866649.1, XP_037866653.1	XP_001948207.2
OG0000758	XP_004933034.1	XP_001949398.1
OG0000759	XP_037867745.1	XP_008180676.1, XP_008180677.1, XP_029347554.1, XP_016661927.1, XP_001952255.2, XP_008185514.1, XP_001950119.1
OG0000760	XP_004932969.2, XP_004931360.2	XP_001952274.1, XP_001950880.1
OG0000761	XP_004922823.1, XP_004922822.1	XP_001951069.1
OG0000762	XP_012548241.1	XP_003240034.2, XP_008181472.1
OG0000763	XP_004921610.1, XP_037873914.1	XP_029340915.1, XP_008178303.1
OG0000765	XP_037872221.1	XP_008179296.1, XP_003241937.1
OG0000766	XP_004924574.1	XP_003242410.1
OG0000767	XP_037877077.1, XP_037877075.1, XP_037877073.1	XP_003242497.1
OG0000768	XP_004925051.1	XP_003242754.2
OG0000769	XP_004922632.1	XP_003243699.1, XP_016658959.1, XP_016658960.1, XP_016658961.1, XP_016658962.1, XP_016658963.1
OG0000770	XP_012550680.1	XP_003243896.2
OG0000771	XP_037866557.1, XP_012550069.3	XP_003246709.1, XP_008180166.1, XP_008180167.1
OG0000772	XP_004931548.1	XP_003246953.1
OG0000773	XP_004932442.1	XP_003247559.1
OG0000774	XP_037876249.1	XP_008183902.3
OG0000775	XP_004931734.1	XP_008187985.1
OG0000776	XP_021202064.1	XP_016655940.1
OG0000777	XP_037872977.1, XP_004926416.1	XP_016657137.1
OG0000778	XP_004929803.1	XP_016662047.1
OG0000779	XP_012547038.1, XP_037876468.1	XP_029342860.1, XP_029342859.1, XP_029342861.1, XP_029342858.1
OG0000781	NP_001037007.1, XP_021205141.1	XP_029344213.1
OG0000782	NP_001127742.1, NP_001127707.1, XP_037869522.1, NP_001127708.1	XP_029344948.1
OG0000783	XP_021204084.1, XP_004926839.1, XP_012546380.1, XP_037873292.1, XP_021204085.1	XP_029346817.1
OG0000784	XP_037876530.1, XP_004933027.3, XP_004933100.2	XP_029347518.1
OG0000795	NP_001040432.1, XP_004925887.1	NP_001156238.1, XP_008186286.1, XP_001951765.1, NP_001119696.2, XP_016660020.1, XP_016660021.1, XP_001946038.2, XP_029344502.1, XP_029344503.1, NP_001119641.1
OG0000796	NP_001037680.1	XP_008186449.1, XP_016664985.1, XP_001943747.1, NP_001119670.1, NP_001119669.1
OG0000797	XP_037868469.1	NP_001155536.1, XP_008179738.1
OG0000798	XP_004929300.1, XP_004932113.2	XP_008181596.1, NP_001155751.1
OG0000799	XP_037870309.1, XP_037870306.1	NP_001191909.1
OG0000800	NP_001037584.1	XP_029344345.1, NP_001280254.1
OG0000801	XP_004928112.3	XP_029347083.1
OG0000802	XP_004921957.1	XP_001944066.2, XP_016657154.1, XP_016657155.1, XP_003242174.1, XP_008179622.1
OG0000803	NP_001037436.1	XP_008185697.1, XP_001944311.1
OG0000803	XP_037874083.1	XP_001949303.2
OG0000804	NP_001130045.1, XP_012548882.1	XP_001944120.1, XP_008187383.1
OG0000805	NP_001189460.1	XP_001944246.2
OG0000806	XP_037874829.1	XP_008179699.1, XP_001944941.1
OG0000807	NP_001093289.1	XP_003247579.1, XP_001945486.2, XP_003248704.2
OG0000808	XP_037874837.1, XP_037874835.1, XP_037874836.1	XP_029343847.1, XP_029343848.1, XP_001946418.2, XP_016659879.1
OG0000809	NP_001104808.1, XP_012551063.1	XP_008186770.1, XP_001946703.2
OG0000810	NP_001243952.1	XP_029342209.1
OG0000810	NP_001124351.1	XP_001947304.2, XP_029344161.1, XP_016657984.1, XP_016657989.1, XP_029344163.1, XP_008180697.1, XP_016663292.2
OG0000811	XP_037870082.1	XP_001947939.1
OG0000812	XP_037869034.1, NP_001124378.1	XP_001947963.1
OG0000813	XP_012547376.2	XP_001948027.2
OG0000814	NP_001040319.1, XP_004921629.1	XP_001948078.2
OG0000815	XP_021205706.1, NP_001121193.1	XP_029345346.1, XP_001949153.2
OG0000816	XP_012545929.1	XP_001949694.2
OG0000817	NP_001127736.1	XP_029342612.1, XP_029342611.1, XP_029342610.1, XP_029342609.1, XP_029342613.1, XP_029342607.1, XP_029342608.1, XP_001950448.2
OG0000818	XP_004926256.1	XP_001950955.1
OG0000819	XP_021202238.1	XP_001951678.2, XP_016659276.1
OG0000820	XP_012548803.1	XP_008185881.1, XP_008185880.1, XP_001952482.1
OG0000821	XP_004923956.1	XP_029344238.1, XP_003240215.1
OG0000822	XP_037867860.1	XP_003240675.3
OG0000823	XP_021203877.1, XP_004922052.1	XP_003240707.1, XP_003240706.1
OG0000824	XP_037875009.1	XP_029342026.1, XP_003248928.3, XP_003241462.2, XP_008182289.1
OG0000825	NP_001159617.1, NP_001171331.1, NP_001037201.2, NP_001159619.1	XP_003241553.2
OG0000826	XP_004927216.1	XP_003244511.1
OG0000827	XP_004923725.1	XP_016656812.1, XP_008179252.2
OG0000827	XP_004925292.3	XP_003244861.1
OG0000828	XP_037871072.1, XP_037871073.1	XP_003245187.1, XP_008184040.1
OG0000829	XP_012552175.1, XP_004922732.1	XP_003245191.1
OG0000830	XP_004928810.3	XP_008178146.1
OG0000831	NP_001296502.1, NP_001296536.1	XP_008189605.1, XP_008180570.1, XP_016657902.1
OG0000832	XP_037873226.1	XP_008182919.1
OG0000835	NP_001269272.1, XP_037868167.1, NP_001037426.1	XP_008189794.1
OG0000837	XP_037868528.1	XP_016663450.1
OG0000838	XP_037872648.1, XP_037872699.1, XP_037872685.1	XP_016663923.1, XP_016663922.1, XP_016663921.1
OG0000839	NP_001121191.1, NP_001108339.1, XP_021202428.1	XP_029342210.1
OG0000840	XP_012549066.1	XP_029344086.1
OG0000849	NP_001037271.1	NP_001155432.1
OG0000850	XP_012549718.1, NP_001037438.1	NP_001155554.1, XP_008179389.1
OG0000851	XP_012546396.1, XP_037867570.1	XP_003246520.1, NP_001155696.1, XP_029347342.1
OG0000852	XP_037869580.1, XP_012551596.1, XP_012551598.1, XP_004932899.1, XP_012551597.1, XP_037869581.1	XP_016661807.1, NP_001156121.1
OG0000853	XP_004921970.1, XP_037877273.1	NP_001156172.1
OG0000854	XP_004927904.1	XP_008178183.1, XP_029340894.1, XP_008183153.1, XP_008181121.1, XP_008178737.1, XP_008180857.1, XP_008180959.1, NP_001229571.1, NP_001229572.1
OG0000855	XP_004929913.1	NP_001280372.1, XP_016660360.1, XP_016660358.1, XP_016660357.1, XP_001951501.1
OG0000856	XP_037875396.1	XP_001944203.2
OG0000856	XP_012552833.1, XP_004923038.1	NP_001313579.1
OG0000857	XP_004930683.2, XP_037874887.1, XP_004924743.1	XP_001942608.1, XP_003247461.2, XP_029344421.1, XP_029344420.1
OG0000858	XP_004924417.1, XP_004924454.1	XP_001948394.1
OG0000859	XP_037868777.1	XP_001943333.1
OG0000860	XP_004928613.1	XP_029348649.1, XP_029348648.1, XP_029345221.1, XP_001943371.2
OG0000861	XP_021202653.1, XP_037871434.1, XP_021208843.2, XP_004929924.1, XP_004929922.1, XP_012549839.2	XP_001943495.2, XP_001947434.2
OG0000862	XP_037874542.1, XP_037874543.1, XP_037874541.1	XP_001943841.2
OG0000863	XP_012547296.2, XP_037870680.1	XP_001944634.1
OG0000864	XP_012551032.1, XP_012551031.1, XP_012551030.1, XP_012551028.1	XP_029345798.1, XP_029342614.1, XP_001945030.2, XP_008185465.2, XP_029346668.1
OG0000865	XP_012546894.1	XP_001951167.1, XP_029345436.1, XP_001945062.1
OG0000867	XP_012544946.1, XP_012544941.1, XP_012544943.1, XP_012546240.3, XP_004926683.2	XP_001945535.1, XP_008181986.1
OG0000868	XP_004921940.1, XP_012546467.2	XP_008183386.1, XP_001945634.2
OG0000870	XP_004930430.1	XP_001945801.1
OG0000872	NP_001243979.1, XP_037870657.1	XP_001946312.1
OG0000873	XP_037875475.1	XP_001946748.1, XP_008187164.1
OG0000874	XP_021203419.1	XP_003245660.1, XP_008184747.1, XP_003245661.1, XP_001946753.1
OG0000875	XP_037868347.1, XP_037868348.1	XP_001947094.1, XP_001950328.1
OG0000876	NP_001040334.1	XP_001947490.1
OG0000877	NP_001162052.1	XP_016659610.1, XP_001947810.2, XP_008182746.1
OG0000878	XP_021206190.1, XP_012549125.1, NP_001037343.1	XP_001948817.3
OG0000879	XP_037866911.1	XP_008186646.1, XP_001949000.1
OG0000880	XP_021201849.1, XP_021207428.1, NP_001182385.1	XP_001949920.1
OG0000881	XP_004930563.1	XP_001950664.1
OG0000883	NP_001040482.1, XP_037875584.1, NP_001040419.1	XP_001951272.1, XP_029346319.1
OG0000884	XP_004930701.1	XP_001952050.1
OG0000885	XP_037875651.1	XP_029346362.1, XP_001952390.3
OG0000887	XP_004924370.1	XP_008180113.2, XP_003241963.1
OG0000888	XP_037873151.1, XP_037873150.1	XP_003241970.1
OG0000890	XP_004925284.2, XP_021203053.2	XP_003243340.1
OG0000892	XP_037872295.1	XP_003248220.1
OG0000893	XP_021206965.1	XP_008178439.1
OG0000894	XP_021207181.2	XP_008183275.1, XP_016660008.1, XP_008183276.1
OG0000895	XP_037869197.1, XP_037869199.1, XP_037869202.1	XP_008184057.1, XP_008184060.1
OG0000896	NP_001036879.1, XP_037868882.1	XP_008185295.1
OG0000897	XP_004931523.2	XP_008187836.1, XP_029348219.1
OG0000898	XP_012543985.1	XP_008188166.1, XP_016662338.1, XP_008188167.1
OG0000899	XP_004930536.1	XP_008190224.1
OG0000900	XP_037874927.1, XP_004930670.2	XP_029348646.1, XP_029348252.1, XP_029348249.1, XP_016656087.1
OG0000901	XP_004926570.2, XP_004926559.1, XP_012550223.1, XP_004928561.1	XP_016657701.1
OG0000903	NP_001127725.1, NP_001127723.1, XP_037871108.1, XP_037871467.1	XP_029344196.1
OG0000904	XP_037874726.1	XP_029344572.1
OG0000914	XP_037867418.1, XP_037867416.1, XP_037867415.1, XP_037867414.1, XP_037867412.1, XP_037867413.1	NP_001119658.1
OG0000915	NP_001036859.1	XP_029345454.1, XP_029345457.1, XP_029345460.1, XP_016664187.1, XP_016664185.1, XP_008188393.1, XP_029345458.1, XP_029345459.1, XP_029345455.1, XP_029345456.1, XP_008186744.1, NP_001129384.1
OG0000916	NP_001036919.1, XP_037869181.1, XP_004926829.1, NP_001153661.1	NP_001139376.1, XP_008186625.1
OG0000917	NP_001040140.1	NP_001155773.1
OG0000918	XP_004931164.1, XP_021207019.1, XP_004931165.1	NP_001155912.1, NP_001155913.1, XP_029344818.1, NP_001280315.1, XP_008179505.1
OG0000919	XP_012550870.1	NP_001156227.1
OG0000920	NP_001091805.1	NP_001156240.1
OG0000921	NP_001296561.1	NP_001156300.1, XP_008187141.1
OG0000922	XP_004933384.1, XP_004933383.1, XP_004924748.1	XP_001946443.2, XP_008183734.1, XP_003248866.1, NP_001156609.1, XP_001944676.2
OG0000923	NP_001036982.1, XP_021202800.1	NP_001164574.1, XP_008187055.1
OG0000924	XP_004930377.1	NP_001229388.1
OG0000925	XP_004928502.1, XP_021202497.2	XP_008187537.1, NP_001233045.1
OG0000926	XP_021208548.2, NP_001040142.1	XP_008182054.2, NP_001280355.1, XP_029344992.1
OG0000927	XP_004928837.2	NP_001280399.1
OG0000928	XP_004922999.1	XP_029341942.1, NP_001280428.1, XP_029341681.1
OG0000929	NP_001040294.1	NP_001280437.1
OG0000930	XP_037872623.1	NP_001313604.1, XP_008189583.1
OG0000931	NP_001296549.1, XP_004932395.2	XP_029345416.1, XP_029345417.1, XP_016663327.1, XP_001952363.2, XP_016662613.2, XP_001942858.2
OG0000932	XP_037868696.1, XP_037868697.1, XP_037868695.1, XP_037868693.1	XP_001943099.2
OG0000933	NP_001036876.1	XP_001943172.1, XP_008179604.1
OG0000934	XP_004922485.2	XP_001944196.2
OG0000935	XP_004932223.1, NP_001091765.1, XP_037872945.1, XP_037872946.1, XP_004932225.1	XP_001944948.1
OG0000936	XP_012550455.1	XP_001945205.2
OG0000937	XP_004927554.3, XP_021204568.1	XP_008178642.1, XP_001945217.2
OG0000938	XP_012552500.1	XP_001945652.1
OG0000939	XP_037870029.1, XP_004922398.2	XP_001945785.1
OG0000941	XP_037868215.1	XP_001945966.2
OG0000942	XP_004927448.1, XP_037875810.1	XP_001946481.2
OG0000943	XP_012544451.1	XP_001946503.2
OG0000944	XP_021208208.1, XP_037867074.1	XP_001947363.2
OG0000945	NP_001040531.1	XP_001948033.2
OG0000946	XP_004929214.1	XP_003244186.1, XP_016659445.1, XP_003244189.1, XP_001948517.2
OG0000947	XP_037872693.1, XP_037872707.1	XP_001948722.2, XP_008187405.1
OG0000948	XP_004929142.1, XP_004929141.1	XP_001949122.1
OG0000949	NP_001296553.1	XP_001950177.2, XP_029346868.1
OG0000950	XP_037870486.1, XP_037870487.1	XP_001951330.2
OG0000951	XP_004928270.1	XP_001952160.1, XP_001952152.1
OG0000952	XP_004928289.1	XP_001952250.1
OG0000953	XP_037877732.1	XP_003240168.1
OG0000954	XP_004926380.1, XP_004926379.1, XP_004927115.1, XP_037877524.1	XP_003243748.1
OG0000955	XP_037876067.1, XP_021209092.1	XP_029348703.1, XP_029341424.1, XP_016659608.2, XP_029341791.1, XP_003244295.1
OG0000957	XP_037870134.1, XP_037877293.1	XP_003244828.1
OG0000958	NP_001127714.1, NP_001127740.1, XP_037873765.1	XP_003245221.3, XP_029345967.1
OG0000959	XP_037874880.1, XP_012544647.1	XP_003245859.1
OG0000960	NP_001040502.1	XP_008188173.1
OG0000960	XP_037873523.1	XP_003246536.1, XP_008186054.1, XP_016662375.1, XP_029344665.1
OG0000961	XP_037867675.1, XP_037867674.1	XP_029346196.1, XP_003248547.1
OG0000962	XP_021205129.1, NP_001299580.1	XP_008178430.1, XP_008178426.1
OG0000963	NP_001091829.1	XP_008179407.1, XP_008179408.1
OG0000964	XP_037870832.1, XP_037870835.1	XP_008180409.1
OG0000965	XP_037874770.1, XP_037874755.1	XP_008182226.1, XP_029344326.1
OG0000966	XP_037872227.1	XP_008182879.1
OG0000967	NP_001116812.1	XP_016660332.1, XP_016660333.1, XP_008183656.2, XP_008183647.2
OG0000968	XP_037873409.1, XP_037873416.1	XP_008184679.1, XP_008184681.1
OG0000969	NP_001182382.1	XP_008186846.1
OG0000970	XP_004924882.2	XP_016661949.1, XP_008187412.1
OG0000971	XP_037870111.1, XP_012548870.1	XP_008187914.1
OG0000972	XP_037866506.1	XP_008189931.1, XP_029343272.1, XP_016657202.1
OG0000973	XP_004930164.1	XP_016656963.1
OG0000974	XP_037872739.1	XP_016657883.1
OG0000975	XP_037873866.1, XP_037873895.1, XP_037873893.1	XP_016660728.1, XP_029346858.1
OG0000976	XP_004927917.2	XP_016661759.1, XP_016661760.1
OG0000977	XP_004923422.2, XP_004928914.1	XP_016662161.1
OG0000978	XP_021208192.1	XP_016663179.1
OG0000979	XP_021206860.2	XP_029341765.1, XP_029341057.1, XP_029341501.1
OG0000980	XP_037868898.1	XP_029342234.1
OG0000980	XP_037875915.1	XP_029345153.1
OG0000980	XP_037875916.1	XP_029346342.1
OG0000982	NP_001296483.1, XP_021208983.1	XP_029343197.1
OG0000983	XP_004924077.1, XP_004924076.1	XP_029344536.1
OG0000984	NP_001037051.1	XP_029345642.1
OG0000985	XP_021206754.2, XP_012549882.2, XP_004922470.2	XP_029345675.1
OG0000986	XP_037876430.1, XP_021202300.1, XP_021202305.1, XP_021202303.1, XP_021202302.1, XP_021202301.1	XP_029345917.1
OG0000987	XP_012548339.1	XP_029347197.1
OG0000988	NP_001164649.1	XP_029347512.1
OG0000992	NP_001040289.1, XP_012548308.1	NP_001119688.1, XP_008186477.1
OG0000993	NP_001037364.1, XP_037872127.1	XP_008180030.1, NP_001155787.1, NP_001156279.1, NP_001155400.1
OG0000994	NP_001040167.1	NP_001155677.1
OG0000995	NP_001106230.1	NP_001156043.1, NP_001155760.1
OG0000996	NP_001036909.1	XP_029347277.1, NP_001155868.1
OG0000997	XP_004933539.1	XP_001949764.1
OG0000997	XP_004930162.1	XP_008184138.1, NP_001156089.1
OG0000998	NP_001108463.1, XP_021204265.2	NP_001156289.1, XP_016656740.1
OG0000999	XP_037871889.1, NP_001036847.1	NP_001162142.1
OG0001000	NP_001040424.1, XP_004927100.1	NP_001233031.1, XP_008178887.1
OG0001001	NP_001091815.1	XP_008185400.1, NP_001233092.1
OG0001002	NP_001036874.1, XP_004933178.2, NP_001091821.1	NP_001233101.1
OG0001003	XP_004930115.1, XP_004930116.1	NP_001268887.1, XP_016656764.1
OG0001004	XP_021207158.1	XP_001946521.1
OG0001004	XP_004931500.1	XP_008186856.1
OG0001005	XP_004930344.1	XP_001942942.1
OG0001006	XP_037877686.1, XP_037877687.1	XP_001943026.2
OG0001007	XP_012551579.1	XP_029344489.1, XP_001943043.1
OG0001008	NP_001243922.1, XP_037869044.1	XP_003246086.1
OG0001008	NP_001037034.1	XP_001943103.2
OG0001009	XP_037876105.1	XP_001943449.2
OG0001011	XP_004930447.2	XP_001943714.1
OG0001012	XP_012551938.1, XP_037873592.1	XP_001944015.1
