Orthogroup	Apis_mellifera	Polistes_dominula
OG0001606	XP_006559482.2, XP_016772477.2	XP_015172640.1
OG0001607	XP_026295945.1	XP_015184717.1, XP_015184716.1
OG0001608	XP_006566547.1, XP_016770624.1, XP_016770623.2	XP_015187299.1, XP_015187300.1, XP_015187301.1
OG0001609	XP_001120089.2, XP_006571670.1	XP_015188544.1, XP_015188515.1, XP_015188525.1, XP_015188505.1, XP_015188535.1
OG0001610	XP_001122299.3, XP_006563218.1	XP_015183214.1
OG0001611	XP_006569550.1, XP_006569551.1, XP_624266.2	XP_015189463.1
OG0001612	XP_006570894.1, XP_006570895.1	XP_015190931.1, XP_015190929.1, XP_015190928.1
OG0001614	XP_006563852.2	XP_015176267.1, XP_015176276.1
OG0001615	XP_001120364.1	XP_015182550.1
OG0001616	XP_006566477.1, XP_006566478.1	XP_015178045.1, XP_015178047.1
OG0001617	XP_006559199.1	XP_015190684.1
OG0001619	XP_026302278.1, XP_026302276.1	XP_015190429.1
OG0001620	XP_006559598.1, XP_006559599.1	XP_015188860.1
OG0001621	XP_006567760.1, XP_003251079.1	XP_015190659.1
OG0001622	XP_006572004.2	XP_015186727.1, XP_015186728.1
OG0001623	XP_395696.2	XP_015190034.1, XP_015190040.1
OG0001624	XP_397056.2	XP_015176544.1
OG0001625	XP_396699.1	XP_015177101.1
OG0001626	XP_624479.1	XP_015176231.1
OG0001627	XP_006568009.1	XP_015172961.1, XP_015172959.1, XP_015172958.1, XP_015172962.1
OG0001628	XP_006567224.1	XP_015171937.1
OG0001629	XP_624943.3	XP_015172088.1
OG0001630	XP_001122389.1	XP_015178835.1
OG0001631	XP_624018.4	XP_015177368.1, XP_015177373.1
OG0001632	XP_016771561.1	XP_015189426.1, XP_015189425.1
OG0001633	XP_006558558.3	XP_015182014.1
OG0001634	XP_623646.2	XP_015180733.1
OG0001635	XP_001120583.1	XP_015179819.1, XP_015179811.1, XP_015179829.1, XP_015179838.1
OG0001636	XP_006568732.2, NP_001035346.1	XP_015178335.1
OG0001637	XP_016769931.2, XP_396322.3	XP_015189563.1, XP_015188558.1, XP_015188556.1
OG0001638	XP_026301628.1	XP_015179077.1
OG0001639	XP_006565792.1	XP_015175995.1
OG0001640	XP_026297298.1	XP_015180722.1, XP_015184760.1, XP_015184759.1, XP_015184761.1
OG0001641	XP_003250009.1, XP_016767664.1	XP_015171298.1
OG0001642	XP_394292.3	XP_015178349.1
OG0001643	XP_001123355.3	XP_015187681.1
OG0001645	XP_397283.1	XP_015180126.1
OG0001646	XP_016767126.2, XP_006567318.2	XP_015172870.1
OG0001647	XP_026300749.1	XP_015183151.1
OG0001648	XP_006571365.1	XP_015188305.1
OG0001649	XP_016769479.1	XP_015174582.1, XP_015174583.1
OG0001650	XP_026298834.1, XP_026298833.1	XP_015172351.1, XP_015172362.1
OG0001651	XP_006566520.1, XP_006566522.1	XP_015178101.1
OG0001652	XP_006560202.1, XP_016768462.1	XP_015172002.1
OG0001653	XP_006563337.2	XP_015182639.1
OG0001655	XP_006568644.1	XP_015177740.1
OG0001656	XP_001121554.3	XP_015182234.1
OG0001657	XP_006569661.1	XP_015185995.1
OG0001658	XP_016767405.1, XP_016767404.1, XP_006567305.1	XP_015172255.1
OG0001659	XP_016772008.1	XP_015178120.1
OG0001660	XP_006571017.1	XP_015181932.1, XP_015181931.1
OG0001661	XP_393502.3	XP_015174019.1, XP_015174020.1
OG0001662	XP_006563658.1, XP_016772164.2	XP_015187280.1
OG0001663	XP_006569237.2	XP_015188339.1
OG0001664	NP_001155988.1, XP_006567657.1	XP_015171691.1, XP_015171697.1
OG0001665	XP_006566494.1	XP_015173995.1
OG0001666	XP_624283.3	XP_015173812.1
OG0001667	XP_006570316.1, XP_001122704.2, XP_026296440.1	XP_015176389.1
OG0001668	XP_006562826.1	XP_015184028.1
OG0001669	XP_006572269.1	XP_015190370.1
OG0001670	XP_624386.1	XP_015171522.1, XP_015171521.1
OG0001671	XP_006562904.1	XP_015190867.1
OG0001672	XP_026301574.1	XP_015172033.1
OG0001673	XP_016772949.2, XP_026301982.1, XP_026301981.1	XP_015180771.1
OG0001674	XP_396231.4, XP_006571348.2	XP_015184415.1
OG0001675	XP_001119944.1	XP_015190090.1
OG0001676	XP_026296455.1, XP_026296459.1	XP_015171676.1
OG0001677	XP_623490.2	XP_015173312.1, XP_015173313.1
OG0001678	XP_016773295.1, XP_392138.3	XP_015176003.1
OG0001679	NP_001264229.1	XP_015174082.1, XP_015174081.1, XP_015174083.1
OG0001680	XP_623725.1	XP_015179524.1
OG0001681	XP_391963.3	XP_015180758.1, XP_015180757.1
OG0001682	XP_006558051.1	XP_015177297.1, XP_015177294.1, XP_015177286.1
OG0001684	XP_026301408.1	XP_015173233.1, XP_015173232.1
OG0001685	XP_006559783.1, XP_006559784.1, XP_397385.2	XP_015178482.1
OG0001686	XP_006562633.1	XP_015182332.1, XP_015182331.1, XP_015182334.1, XP_015182333.1
OG0001687	XP_026300480.1	XP_015176262.1
OG0001688	XP_003250542.1	XP_015179659.1
OG0001689	XP_006560383.2	XP_015177074.1
OG0001690	XP_006563110.2, XP_006563111.2	XP_015186314.1, XP_015186310.1
OG0001691	XP_006567672.1, XP_006567673.1	XP_015177829.1, XP_015177828.1
OG0001692	XP_016772581.1	XP_015190462.1
OG0001693	XP_006559220.1	XP_015172583.1, XP_015172582.1
OG0001694	XP_016766972.1, XP_016766975.1	XP_015180898.1, XP_015180899.1
OG0001695	XP_397181.1	XP_015178111.1
OG0001696	XP_026301919.1, XP_006571061.2	XP_015182100.1, XP_015182092.1
OG0001697	XP_395370.1	XP_015184921.1
OG0001699	XP_006560897.1	XP_015191510.1
OG0001700	XP_016772146.2	XP_015184942.1
OG0001701	XP_624673.3, XP_016768020.1, XP_016768015.1, XP_006563314.1	XP_015181941.1
OG0001702	XP_006557525.1, XP_006557524.1, XP_001120701.2	XP_015179413.1, XP_015179414.1
OG0001703	XP_394880.3	XP_015184472.1
OG0001704	XP_391922.2	XP_015178919.1
OG0001706	XP_393619.4, XP_016768168.2	XP_015186456.1
OG0001707	XP_026300987.1	XP_015185946.1
OG0001708	XP_006560213.1	XP_015174840.1, XP_015174838.1, XP_015174843.1, XP_015174844.1, XP_015174841.1, XP_015174842.1, XP_015174839.1, XP_015174845.1
OG0001709	XP_026295555.1, XP_026295547.1, XP_016772700.2	XP_015171892.1, XP_015171880.1
OG0001711	XP_394460.1	XP_015179743.1
OG0001712	XP_016771334.1, XP_016771331.1	XP_015186849.1, XP_015186847.1
OG0001713	XP_006562481.1	XP_015184183.1
OG0001714	NP_001207416.1	XP_015173977.1
OG0001715	XP_006569265.3	XP_015179856.1, XP_015179857.1, XP_015179855.1, XP_015179854.1
OG0001716	XP_016768172.2	XP_015181525.1, XP_015181527.1, XP_015181532.1, XP_015181530.1, XP_015181531.1, XP_015181528.1, XP_015181529.1
OG0001717	XP_006567330.1	XP_015172875.1
OG0001718	XP_393236.2	XP_015186676.1, XP_015186675.1, XP_015186674.1
OG0001720	XP_392615.1, XP_016769284.1	XP_015187771.1
OG0001722	XP_026296832.1, XP_026296833.1, XP_026296834.1	XP_015183513.1
OG0001723	NP_001035315.1, XP_016771954.1	XP_015179054.1
OG0001724	XP_394574.3	XP_015175280.1, XP_015175279.1
OG0001725	XP_396830.4	XP_015182838.1
OG0001726	XP_006563226.1	XP_015183554.1
OG0001728	XP_016770863.2	XP_015190161.1
OG0001729	XP_026299023.1	XP_015187677.1, XP_015187674.1, XP_015187673.1, XP_015187676.1, XP_015187675.1
OG0001730	XP_026295833.1, XP_026295840.1	XP_015186424.1
OG0001731	XP_026297019.1	XP_015186461.1, XP_015186460.1
OG0001732	XP_016767782.1	XP_015179252.1, XP_015179256.1
OG0001733	XP_026297267.1	XP_015181621.1
OG0001734	XP_624577.2, XP_006571701.2	XP_015174635.1, XP_015174634.1
OG0001735	XP_016773594.2, XP_016773595.2	XP_015188127.1
OG0001736	XP_016766963.1	XP_015181565.1
OG0001737	XP_026296648.1	XP_015187076.1
OG0001738	XP_003249819.2	XP_015174058.1
OG0001739	XP_006562930.1	XP_015178550.1
OG0001740	XP_026299184.1, XP_026299186.1	XP_015188917.1, XP_015188913.1
OG0001741	XP_026302182.1, XP_006561144.2, XP_006561143.2	XP_015172220.1
OG0001742	XP_026300294.1, XP_026300286.1, XP_026300287.1	XP_015178632.1, XP_015178629.1, XP_015178628.1
OG0001743	XP_001122418.1	XP_015172123.1
OG0001744	XP_026301456.1	XP_015176642.1
OG0001745	XP_392464.3	XP_015181631.1, XP_015181632.1
OG0001746	XP_006567770.1	XP_015177893.1
OG0001747	XP_026294820.1, XP_026294819.1	XP_015189491.1, XP_015189492.1
OG0001748	XP_026295003.1, XP_026294997.1	XP_015187137.1
OG0001749	XP_026302273.1, XP_026302286.1	XP_015176030.1
OG0001750	XP_001122103.1, XP_016769468.1	XP_015171096.1, XP_015171107.1, XP_015171086.1
OG0001751	XP_026294749.1, XP_026294750.1	XP_015178965.1
OG0001752	XP_026298163.1	XP_015190353.1, XP_015190354.1
OG0001753	XP_026298887.1	XP_015172267.1
OG0001754	NP_001242967.1	XP_015179044.1
OG0001755	XP_393886.3	XP_015181109.1
OG0001756	XP_001120526.3	XP_015178162.1
OG0001757	XP_026300423.1	XP_015180560.1, XP_015180559.1
OG0001758	XP_006564274.1	XP_015178263.1
OG0001759	XP_395591.4	XP_015184280.1
OG0001760	XP_016768495.1, XP_006568356.1, XP_016768496.1, XP_016768497.1	XP_015188230.1
OG0001762	XP_006557859.1, XP_026299032.1, XP_016769765.1	XP_015182502.1
OG0001763	XP_625210.1	XP_015183777.1, XP_015183776.1
OG0001764	XP_006564801.1	XP_015171787.1
OG0001765	XP_006562314.1, XP_003250045.1	XP_015186387.1
OG0001766	XP_016768680.1	XP_015181567.1
OG0001767	XP_026296535.1	XP_015184699.1, XP_015184700.1
OG0001768	XP_006562413.1	XP_015179106.1
OG0001769	XP_026294891.1	XP_015183571.1
OG0001770	NP_001014429.1, XP_006559009.2, XP_026299316.1, NP_001011599.1, XP_026299315.1, NP_001011580.1, NP_001011601.1, XP_026299317.1, NP_001011610.1, NP_001011622.1, NP_001011579.1, NP_001011564.1, NP_001019868.1	XP_015190509.1
OG0001772	XP_016773325.1	XP_015182109.1
OG0001774	XP_016767411.1	XP_015172916.1, XP_015172915.1, XP_015172655.1
OG0001775	XP_006557802.1	XP_015190417.1
OG0001776	XP_006562600.2	XP_015182852.1, XP_015182851.1, XP_015182850.1
OG0001777	XP_623303.1, XP_393059.1	XP_015182894.1
OG0001778	XP_006571958.1, XP_006571960.1	XP_015184509.1, XP_015184510.1
OG0001779	XP_006572136.1	XP_015190052.1
OG0001780	XP_394026.2	XP_015172198.1
OG0001781	XP_006561705.1	XP_015181541.1
OG0001782	XP_394140.4	XP_015182964.1
OG0001783	XP_003249423.2	XP_015177531.1
OG0001784	XP_624087.2	XP_015191381.1, XP_015191380.1
OG0001785	XP_623908.1	XP_015183238.1
OG0001786	XP_001120360.1	XP_015181662.1
OG0001787	XP_393706.3	XP_015189726.1, XP_015189724.1, XP_015189725.1
OG0001788	XP_395906.3	XP_015176807.1
OG0001789	XP_006567899.1	XP_015172016.1
OG0001790	XP_392085.2	XP_015173377.1
OG0001791	XP_001120245.2, XP_006568251.2	XP_015190967.1
OG0001792	XP_625134.3	XP_015173089.1
OG0001793	XP_016768363.1, XP_026296947.1	XP_015181906.1, XP_015181905.1
OG0001794	XP_006568264.1	XP_015172744.1
OG0001794	XP_026295048.1	XP_015172746.1
OG0001795	XP_006567715.1	XP_015187606.1
OG0001796	XP_026296488.1	XP_015181575.1
OG0001797	XP_001120264.1	XP_015174317.1, XP_015174316.1, XP_015174318.1
OG0001799	XP_001121575.2, XP_394485.2, XP_006567170.1, NP_001157184.1	XP_015181058.1
OG0001800	XP_006571623.1, XP_395349.1, XP_006571624.1, XP_026297611.1	XP_015182626.1
OG0001801	XP_006571821.1	XP_015189112.1
OG0001802	XP_396615.2	XP_015184099.1
OG0001803	XP_006569400.1	XP_015173684.1
OG0001804	XP_394859.1	XP_015172505.1
OG0001805	XP_006563149.2	XP_015183215.1
OG0001806	XP_006563359.1, XP_026302126.1	XP_015172073.1
OG0001807	XP_001121112.2	XP_015175022.1
OG0001808	XP_623170.1	XP_015178818.1, XP_015178817.1
OG0001809	XP_016768585.1, XP_006568686.1, XP_006568687.1	XP_015191458.1
OG0001810	XP_006559673.1, XP_006559672.1	XP_015187768.1
OG0001811	XP_003249302.2	XP_015179133.1, XP_015179132.1
OG0001812	XP_006560961.1	XP_015184446.1
OG0001813	XP_001122360.3	XP_015176884.1, XP_015176882.1
OG0001814	XP_397220.3	XP_015189098.1
OG0001815	XP_006562406.1	XP_015187920.1
OG0001816	XP_026298657.1	XP_015182630.1
OG0001817	XP_623822.2	XP_015175196.1
OG0001818	XP_026298053.1, XP_026298054.1	XP_015172030.1
OG0001819	XP_003250992.1	XP_015172254.1
OG0001820	XP_394676.2	XP_015191623.1, XP_015191616.1
OG0001821	XP_001120030.2, XP_006571059.1, XP_006571060.1	XP_015181495.1, XP_015181492.1
OG0001822	XP_396855.2	XP_015171073.1
OG0001823	XP_026301314.1	XP_015176859.1
OG0001824	XP_006565919.1, XP_006565917.1	XP_015189023.1
OG0001825	XP_026294960.1	XP_015185295.1, XP_015185294.1
OG0001826	XP_016773199.1	XP_015177308.1
OG0001827	XP_026296804.1	XP_015182624.1, XP_015182623.1, XP_015182625.1
OG0001828	XP_006557452.1, XP_394141.2, XP_026299679.1, XP_006557451.1	XP_015174436.1
OG0001829	XP_006561681.1, XP_006561682.1	XP_015178827.1
OG0001830	XP_006564281.1	XP_015178071.1
OG0001831	XP_026300798.1	XP_015174645.1, XP_015174646.1, XP_015174647.1
OG0001832	XP_394067.4	XP_015181212.1
OG0001833	XP_026296913.1	XP_015181683.1
OG0001834	XP_391916.3	XP_015182779.1
OG0001835	XP_006560538.1, XP_001120677.3	XP_015183122.1
OG0001836	XP_026300727.1	XP_015180630.1, XP_015180614.1
OG0001837	XP_003250899.1	XP_015189164.1
OG0001838	XP_001120649.1	XP_015180604.1, XP_015180605.1
OG0001839	XP_001120879.2, XP_016769298.2	XP_015174931.1
OG0001840	XP_026296453.1	XP_015178155.1
OG0001841	NP_001242966.1	XP_015184784.1, XP_015184800.1, XP_015184809.1, XP_015184791.1
OG0001843	XP_026298492.1, XP_396332.3	XP_015189252.1
OG0001844	XP_624012.3	XP_015186283.1, XP_015186282.1
OG0001845	XP_392773.3	XP_015171481.1, XP_015171482.1, XP_015171479.1, XP_015171480.1, XP_015171483.1
OG0001846	XP_016767933.1	XP_015179950.1
OG0001847	XP_026300234.1	XP_015177683.1
OG0001848	XP_624014.2, XP_016768675.1	XP_015171583.1
OG0001849	XP_393000.3, XP_026298149.1, XP_026298150.1	XP_015173371.1, XP_015173373.1, XP_015173368.1, XP_015173370.1, XP_015173369.1, XP_015173374.1
OG0001850	XP_393385.3	XP_015191839.1
OG0001851	XP_001120336.2	XP_015184861.1
OG0001852	XP_001121588.2	XP_015177102.1
OG0001853	XP_006561993.1	XP_015179541.1
OG0001854	XP_026299949.1	XP_015186318.1
OG0001855	XP_393876.1, XP_016770895.1	XP_015188895.1
OG0001856	XP_026298504.1	XP_015172642.1
OG0001857	XP_006567507.1	XP_015174873.1
OG0001858	XP_393894.1	XP_015181165.1
OG0001859	XP_001122536.1	XP_015177708.1
OG0001860	XP_006566847.1, XP_026295377.1, XP_026295376.1	XP_015175115.1, XP_015175116.1, XP_015175118.1, XP_015175117.1
OG0001861	XP_026296639.1	XP_015183897.1
OG0001862	XP_003251799.1	XP_015176316.1
OG0001863	XP_016769109.1	XP_015189022.1
OG0001864	XP_006565068.1	XP_015191388.1
OG0001865	XP_026298716.1	XP_015177898.1, XP_015177903.1
OG0001866	XP_395324.2	XP_015179699.1
OG0001867	XP_006561140.1	XP_015173866.1
OG0001868	XP_396874.5	XP_015182245.1
OG0001869	XP_003249459.1	XP_015184920.1
OG0001870	XP_006562529.1, XP_016768217.1	XP_015188975.1
OG0001871	XP_393301.3	XP_015184971.1
OG0001872	XP_026299612.1	XP_015185508.1
OG0001873	XP_397060.3	XP_015176909.1, XP_015176900.1, XP_015176926.1, XP_015176918.1
OG0001874	XP_003250417.1	XP_015181225.1
OG0001875	XP_006563722.1, XP_016772169.1	XP_015180928.1
OG0001876	XP_006559138.1	XP_015185316.1
OG0001877	XP_006558330.1	XP_015179522.1
OG0001877	XP_006558328.1	XP_015179520.1
OG0001878	XP_026301695.1	XP_015171151.1
OG0001879	XP_016766647.1	XP_015171396.1, XP_015171398.1, XP_015171397.1, XP_015171399.1
OG0001880	XP_026297802.1	XP_015172835.1
OG0001881	XP_003250415.1	XP_015174193.1, XP_015174194.1, XP_015174192.1
OG0001882	XP_006568897.2, XP_026294859.1	XP_015184076.1
OG0001883	XP_006568004.1	XP_015184878.1
OG0001884	XP_006565104.1	XP_015176448.1
OG0001885	XP_001121449.1	XP_015173241.1
OG0001886	XP_006567216.2	XP_015179758.1, XP_015179757.1, XP_015179756.1
OG0001887	XP_026295850.1, XP_026295851.1, XP_006558751.1, XP_026295849.1	XP_015175304.1
OG0001888	XP_394034.5, XP_016771541.2	XP_015172515.1
OG0001889	XP_006569623.1	XP_015183494.1
OG0001890	XP_016771641.1, XP_016771642.1, XP_016771643.1	XP_015173409.1
OG0001891	XP_006564255.1, XP_006564252.1, XP_006564253.1	XP_015178248.1
OG0001892	XP_006570318.1, XP_026296436.1	XP_015176599.1
OG0001893	XP_026299177.1	XP_015178509.1
OG0001894	XP_006570163.2	XP_015184100.1
OG0001895	XP_016771683.2	XP_015172410.1
OG0001896	XP_026299099.1	XP_015188572.1
OG0001897	NP_001229455.1	XP_015184071.1, XP_015184072.1
OG0001898	XP_006561037.2	XP_015190841.1
OG0001899	XP_016770620.1	XP_015186838.1, XP_015186837.1, XP_015186839.1, XP_015186840.1
OG0001900	XP_393467.3	XP_015172465.1
OG0001901	XP_016770289.2, XP_016770290.2, XP_006566772.2	XP_015183753.1
OG0001902	XP_392789.3, XP_016772305.1	XP_015191182.1
OG0001903	XP_026297341.1	XP_015181389.1
OG0001904	XP_026296404.1	XP_015184523.1
OG0001905	XP_006567964.2, XP_006567963.2, XP_003251131.2	XP_015185923.1
OG0001906	XP_006562935.2	XP_015176835.1
OG0001907	XP_026296956.1, XP_026296957.1	XP_015177182.1
OG0001909	XP_016767679.1, XP_016767685.1	XP_015177471.1
OG0001910	XP_003251266.1	XP_015171741.1
OG0001912	XP_016766822.1, XP_016766821.1	XP_015175178.1
OG0001913	XP_394416.4	XP_015175176.1, XP_015175174.1
OG0001914	XP_026294941.1	XP_015187649.1
OG0001915	XP_003251133.1	XP_015191657.1, XP_015191659.1
OG0001916	XP_006569310.1	XP_015173586.1
OG0001917	XP_006559184.1	XP_015186077.1, XP_015186078.1, XP_015186080.1
OG0001918	XP_016770883.1	XP_015175250.1
OG0001919	XP_026295420.1	XP_015181481.1
OG0001920	XP_026299260.1	XP_015186981.1
OG0001921	XP_026297912.1	XP_015184705.1
OG0001923	XP_006565281.1	XP_015173943.1
OG0001924	XP_026302298.1, XP_026302295.1	XP_015182393.1
OG0001925	XP_006571829.1	XP_015188258.1
OG0001926	XP_392721.1	XP_015177247.1, XP_015177246.1
OG0001927	XP_397416.4, XP_006571828.2	XP_015173319.1
OG0001928	XP_016769813.2	XP_015174352.1
OG0001929	XP_393673.3	XP_015188549.1
OG0001930	XP_016769991.2	XP_015186481.1
OG0001931	XP_006572346.1, XP_026302266.1	XP_015188196.1
OG0001933	XP_026301661.1, XP_016772147.2, XP_026301707.1	XP_015187502.1
OG0001934	XP_397465.5	XP_015178211.1, XP_015178161.1
OG0001935	XP_006571434.1, XP_006571436.1	XP_015176604.1
OG0001936	XP_016768876.1	XP_015177238.1
OG0001937	NP_001159377.1, XP_006561583.1	XP_015185094.1
OG0001938	XP_001121838.2	XP_015179969.1
OG0001939	XP_006572022.1	XP_015175414.1
OG0001941	XP_026295572.1, XP_026295581.1	XP_015175093.1, XP_015175086.1
OG0001942	XP_394981.4	XP_015173382.1
OG0001943	NP_001128414.1	XP_015184456.1, XP_015184455.1
OG0001944	XP_026295054.1, NP_001011594.1	XP_015184304.1
OG0001945	NP_001014992.2, XP_026299319.1, XP_026299716.1	XP_015173926.1, XP_015173928.1
OG0001946	XP_006566698.1	XP_015178438.1
OG0001947	XP_623782.1, XP_006565058.1	XP_015185978.1
OG0001948	XP_003250512.2	XP_015187833.1, XP_015187832.1
OG0001950	XP_006563986.1, XP_006563984.1, XP_623136.3, XP_026295570.1	XP_015189119.1, XP_015189118.1
OG0001951	XP_394762.4	XP_015171087.1
OG0001952	XP_006564685.2	XP_015187849.1
OG0001953	XP_026299767.1	XP_015189355.1
OG0001954	XP_006562334.1	XP_015178926.1
OG0001955	XP_006571588.1	XP_015189220.1
OG0001956	XP_006562695.1	XP_015177852.1
OG0001957	XP_026295378.1	XP_015176367.1
OG0001959	XP_001120848.2	XP_015183053.1, XP_015183227.1
OG0001960	XP_393174.1	XP_015191311.1
OG0001961	NP_001035357.1, XP_026295136.1	XP_015176951.1
OG0001963	XP_026297487.1	XP_015178671.1
OG0001964	XP_016767882.2	XP_015185506.1
OG0001965	XP_392686.2	XP_015188667.1, XP_015188707.1
OG0001966	XP_026300995.1	XP_015179595.1
OG0001967	NP_001104725.1	XP_015190634.1, XP_015190635.1, XP_015190632.1
OG0001968	XP_001122665.2	XP_015180922.1
OG0001969	XP_003250447.1, XP_016770394.1	XP_015172127.1
OG0001970	XP_016771856.2	XP_015179592.1, XP_015179590.1
OG0001971	XP_026296991.1, XP_006562488.2, XP_003250107.2	XP_015187399.1
OG0001973	XP_026298607.1, XP_006567526.1	XP_015171108.1, XP_015171109.1
OG0001974	XP_006564000.1	XP_015174716.1
OG0001975	XP_026294727.1	XP_015190920.1
OG0001976	XP_394673.4	XP_015186881.1, XP_015186879.1, XP_015186880.1
OG0001977	NP_001265262.1, XP_026297361.1	XP_015178741.1
OG0001978	XP_026295220.1, XP_026295217.1, NP_001128300.1	XP_015186454.1, XP_015186450.1
OG0001980	XP_006560860.2, XP_001120901.3	XP_015172239.1
OG0001981	XP_001122667.2	XP_015178508.1
OG0001982	XP_006569978.1	XP_015179983.1
OG0001983	XP_026299490.1	XP_015186826.1
OG0001987	XP_006557926.1	XP_015184561.1
OG0001988	XP_006568657.1	XP_015171751.1
OG0001989	XP_395877.1	XP_015191507.1
OG0001991	XP_623079.2, XP_006562631.2	XP_015182325.1
OG0001992	XP_026295286.1, XP_006558448.1	XP_015182726.1
OG0001994	XP_625034.1	XP_015174737.1
OG0001995	XP_396634.2	XP_015187522.1
OG0001996	XP_026299876.1	XP_015191471.1
OG0001997	XP_003249792.1	XP_015176362.1
OG0001998	XP_026296171.1, XP_026296174.1, XP_026296173.1, XP_026296172.1	XP_015171608.1
OG0001999	XP_624205.2	XP_015189100.1
OG0002000	XP_026301334.1, XP_026301335.1	XP_015175539.1, XP_015175540.1, XP_015175541.1
OG0002001	XP_624562.2	XP_015171295.1, XP_015171286.1
OG0002002	NP_001035345.1, XP_006571765.2	XP_015189974.1, XP_015189923.1
OG0002003	XP_026300645.1	XP_015191312.1
OG0002004	XP_026295896.1	XP_015184488.1, XP_015184485.1, XP_015184486.1, XP_015184489.1, XP_015184490.1
OG0002005	XP_026295546.1, XP_026295545.1	XP_015191528.1
OG0002006	XP_392711.4	XP_015171621.1
OG0002007	XP_624429.2	XP_015175387.1
OG0002009	XP_006562151.1, XP_625149.1, XP_006562150.1	XP_015171301.1, XP_015171300.1
OG0002010	XP_625179.1	XP_015186184.1
OG0002011	XP_006569298.1	XP_015173491.1, XP_015173490.1, XP_015173489.1
OG0002012	XP_016773481.1, NP_001107660.1	XP_015183509.1
OG0002013	XP_395056.4	XP_015185440.1, XP_015185439.1, XP_015185441.1
OG0002014	XP_006560410.1	XP_015177048.1
OG0002015	XP_623739.2	XP_015190658.1, XP_015190657.1, XP_015190655.1, XP_015190656.1
OG0002016	XP_396581.5	XP_015171523.1
OG0002017	XP_026301178.1	XP_015179342.1
OG0002018	XP_006557745.2, NP_001229397.1	XP_015175219.1
OG0002019	XP_623673.3	XP_015171673.1
OG0002020	XP_026296296.1, XP_026296289.1	XP_015182556.1
OG0002021	XP_026297392.1, XP_026297393.1	XP_015175193.1
OG0002022	XP_624811.3	XP_015188995.1
OG0002023	XP_026300485.1, XP_006557894.1, XP_006557893.1	XP_015181142.1
OG0002024	XP_026296072.1	XP_015178190.1
OG0002025	XP_016767160.1	XP_015182776.1
OG0002026	XP_006568164.1	XP_015175844.1
OG0002027	XP_006570250.1	XP_015174092.1, XP_015174085.1
OG0002028	XP_392742.4	XP_015177836.1
OG0002029	XP_393021.4	XP_015184188.1, XP_015184187.1
OG0002030	NP_001035923.1, XP_026301066.1	XP_015176640.1
OG0002032	XP_006567845.1, XP_394587.3	XP_015179900.1, XP_015179899.1
OG0002033	XP_026301076.1	XP_015175752.1
OG0002034	XP_006558694.1	XP_015187701.1, XP_015187700.1
OG0002036	XP_026294976.1	XP_015188208.1, XP_015189027.1
OG0002037	XP_397092.3	XP_015175060.1, XP_015188620.1
OG0002039	XP_016771674.1, XP_003249647.1	XP_015188408.1, XP_015187737.1
OG0002040	NP_001229385.1	XP_015183117.1
OG0002041	XP_006566987.1	XP_015189240.1, XP_015189241.1
OG0002042	XP_026298837.1	XP_015177555.1
OG0002043	XP_393404.2	XP_015171357.1
OG0002044	XP_026301448.1	XP_015176363.1
OG0002045	XP_026298052.1	XP_015181595.1
OG0002046	XP_026295870.1	XP_015179759.1
OG0002047	XP_395924.2	XP_015191191.1
OG0002048	XP_006569408.2	XP_015174213.1, XP_015174207.1
OG0002049	XP_006557379.2	XP_015176996.1
OG0002050	XP_006568607.1	XP_015176017.1
OG0002051	XP_392246.3	XP_015175468.1
OG0002052	XP_026298620.1	XP_015171588.1
OG0002053	XP_006557635.1, XP_006557637.1	XP_015175420.1, XP_015175419.1
OG0002054	XP_026301012.1, XP_016771495.1	XP_015188494.1
OG0002055	XP_003250472.2	XP_015177844.1
OG0002056	XP_623996.3	XP_015181642.1
OG0002057	XP_006564911.3	XP_015189472.1
OG0002058	XP_624823.1	XP_015173891.1
OG0002059	XP_026300939.1	XP_015185576.1
OG0002060	XP_006558279.1, XP_016768968.1	XP_015186333.1, XP_015186336.1
OG0002061	XP_006559822.1	XP_015173836.1
OG0002062	XP_026297746.1	XP_015189037.1, XP_015189036.1, XP_015189035.1
OG0002063	XP_026299136.1, XP_026299137.1, XP_026299138.1, XP_026299135.1, XP_026299139.1	XP_015174763.1
OG0002064	XP_006557901.1, XP_016771212.1	XP_015188742.1
OG0002065	XP_026300905.1	XP_015175999.1, XP_015176000.1, XP_015175998.1, XP_015175997.1
OG0002066	XP_016772001.1, XP_625215.4	XP_015179153.1
OG0002067	XP_006557829.1	XP_015182815.1
OG0002068	XP_396039.6	XP_015191343.1
OG0002069	XP_003249083.2	XP_015181184.1
OG0002070	XP_006568802.1	XP_015173165.1, XP_015173166.1, XP_015173167.1
OG0002071	XP_006570054.1	XP_015178989.1
OG0002072	XP_394778.2	XP_015180591.1
OG0002073	XP_623094.2	XP_015183910.1
OG0002074	XP_003250290.2	XP_015181258.1
OG0002075	XP_624827.3	XP_015171660.1
OG0002076	NP_001035320.1	XP_015187995.1
OG0002077	XP_001119921.1	XP_015173566.1
OG0002078	XP_016770352.2	XP_015191241.1
OG0002079	XP_392419.3	XP_015191707.1
OG0002080	XP_396298.2	XP_015183112.1
OG0002081	XP_006564656.1	XP_015173147.1
OG0002082	XP_026296977.1	XP_015178037.1
OG0002083	XP_391852.2	XP_015186438.1
