Orthogroup	Apis_mellifera	Solenopsis_invicta
OG0000579	XP_026299404.1	XP_011156052.1, XP_011156051.1
OG0000582	XP_006572085.1	XP_011160599.1
OG0000583	XP_026300849.1, XP_026300967.1	XP_011167028.2, XP_039306141.1
OG0000584	XP_392465.3	XP_039302271.1
OG0000585	XP_395145.1	XP_011170883.1
OG0000586	XP_026295167.1	XP_011165979.1, XP_011165978.1
OG0000586	XP_026295177.1	XP_039312051.1, XP_039312225.1, XP_039311914.1
OG0000587	XP_001120306.1	XP_039303764.1
OG0000588	XP_006565324.1	XP_039307024.1
OG0000589	XP_016772822.2	XP_025989087.1, XP_039309540.1, XP_039309539.1
OG0000590	XP_393594.3	XP_011164365.1, XP_025988896.1
OG0000591	XP_006561389.1	XP_011172770.1, XP_011172760.1, XP_011172764.1
OG0000591	XP_006562189.1	XP_011172322.1
OG0000592	XP_001121836.2	XP_011164060.2
OG0000592	XP_016771112.2	XP_039304350.1
OG0000593	XP_006569709.2	XP_025990297.2, XP_039306195.1
OG0000594	XP_397140.4, XP_006557693.1	XP_011169319.1, XP_039310004.1
OG0000595	XP_016772178.1	XP_011157974.1
OG0000595	XP_003249784.1	XP_011157972.1
OG0000596	XP_026294730.1	XP_011172105.3
OG0000597	XP_394670.3	XP_011165992.1, XP_039310829.1
OG0000598	XP_016768976.1	XP_039302656.1
OG0000600	XP_001121067.3, XP_016769870.2	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1
OG0000601	XP_001121625.2	XP_011163933.1
OG0000601	XP_016772175.1, XP_026301478.1	XP_039311063.1, XP_011163934.1
OG0000602	XP_006572158.1	XP_039314332.1
OG0000602	XP_006568638.1	XP_011173207.2
OG0000603	XP_006560736.1, XP_006560737.1, XP_625123.1	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1
OG0000604	XP_026300714.1	XP_011163407.2
OG0000604	XP_623342.2, XP_006563323.1	XP_011163369.1
OG0000606	XP_026295766.1	XP_011162133.1
OG0000609	XP_006562145.1	XP_039302838.1, XP_011167460.2
OG0000611	XP_026301344.1	XP_039304710.1, XP_011166113.1, XP_011166114.1
OG0000612	XP_395486.2, XP_006570028.1, XP_016768335.1, XP_016768336.1	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1
OG0000613	XP_006570778.1, XP_016770474.1	XP_011156407.1, XP_011156404.1
OG0000614	XP_016769264.1	XP_039308727.1
OG0000614	XP_026301292.1	XP_039311099.1
OG0000615	XP_003251772.2	XP_011156604.2
OG0000616	XP_026294873.1, XP_026294874.1, XP_026294864.1	XP_039305832.1, XP_039305828.1, XP_039305833.1
OG0000617	XP_016773596.1	XP_025986670.1
OG0000619	XP_016767139.1, XP_006566003.1	XP_011173657.1, XP_011173658.1, XP_025987595.1
OG0000620	XP_003251155.1, XP_003251156.1	XP_011169601.1
OG0000621	XP_395330.3	XP_039312703.1
OG0000622	XP_392055.2	XP_011169602.1
OG0000623	XP_625164.1, XP_006570258.1	XP_039313782.1, XP_011164272.1
OG0000624	XP_006571006.1, XP_006571012.1	XP_011157512.1, XP_039302508.1
OG0000625	XP_006559117.2, XP_006559116.2, XP_026297198.1	XP_011163576.1
OG0000626	XP_006565218.1	XP_011155744.2
OG0000627	XP_006564492.1, XP_006564494.1, XP_006564495.1	XP_025987673.1
OG0000628	XP_026299894.1	XP_039309559.1
OG0000628	XP_016770216.2	XP_025996176.1
OG0000629	XP_001121210.2	XP_011170977.2
OG0000630	XP_016769461.1	XP_039306780.1
OG0000631	XP_394020.3	XP_039306909.1
OG0000632	XP_624210.1, XP_006557909.1	XP_039309842.1, XP_011155541.1
OG0000633	XP_625202.2	XP_011172797.1
OG0000633	XP_624303.1	XP_011158982.1
OG0000634	XP_026298991.1	XP_011159579.2
OG0000634	XP_391818.3	XP_011159577.1
OG0000635	XP_001120792.2	XP_039301712.1
OG0000636	XP_006566169.1, XP_026299092.1	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1
OG0000637	XP_016768345.2	XP_011160711.2
OG0000638	XP_006558726.1	XP_011169107.1, XP_011169109.1
OG0000639	XP_006569136.1, XP_624507.1, XP_016766306.1	XP_039305053.1, XP_011158830.1
OG0000640	XP_006559045.1	XP_011160127.1
OG0000641	XP_393087.2	XP_011162857.1
OG0000642	NP_001229456.1	XP_011167158.1
OG0000643	XP_623075.1	XP_011160706.1
OG0000643	XP_623266.3	XP_011160705.2
OG0000644	XP_006565899.1, XP_006565900.1, XP_026294734.1, XP_026294733.1	XP_011155802.1, XP_011155801.1
OG0000645	XP_026298732.1	XP_011165880.1, XP_011165878.1, XP_011165879.1
OG0000646	XP_006557496.1	XP_011156050.1
OG0000647	XP_016769276.1, XP_026298073.1, XP_016769273.1, XP_016769275.1, XP_016769270.1, XP_016769271.1, XP_395161.2	XP_025990863.1, XP_025990862.1
OG0000648	XP_393875.1	XP_011162013.1
OG0000650	XP_026295289.1, XP_026295288.1	XP_039308781.1, XP_011168549.1, XP_011168547.1
OG0000651	XP_026297326.1	XP_039301926.1
OG0000651	XP_026295089.1	XP_039303055.1
OG0000653	XP_016767592.2, XP_016767590.2, XP_016767593.2, XP_026296397.1, XP_016767587.2, XP_016767588.2, XP_016767589.2	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1
OG0000654	XP_625250.4	XP_011157432.3
OG0000654	XP_003251400.1	XP_039306560.1
OG0000655	XP_006563887.1, XP_006563882.1, XP_006563890.1	XP_025992461.2
OG0000656	XP_006571742.2	XP_011175984.1
OG0000657	XP_006568825.1, XP_394284.2, XP_026302265.1	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1
OG0000659	XP_026298578.1	XP_011173530.2
OG0000660	XP_026295662.1	XP_025989970.1
OG0000661	XP_006563190.1	XP_025988975.1
OG0000661	XP_016772474.2	XP_039303215.1
OG0000662	XP_392401.3	XP_011175457.1
OG0000663	XP_026300363.1, XP_026300367.1, XP_026300368.1, XP_026300372.1	XP_025986599.1
OG0000664	XP_026298523.1	XP_025992680.2
OG0000665	XP_006560262.1	XP_011170315.1
OG0000666	NP_001091699.1	XP_011171071.1
OG0000666	NP_001091694.1	XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1
OG0000667	XP_006569471.2, XP_006569470.2, XP_397532.3	XP_039310656.1, XP_011164614.1
OG0000668	XP_026299577.1	XP_039306186.1
OG0000670	XP_001120220.1	XP_011159463.1
OG0000672	XP_003249537.2	XP_011160324.2
OG0000672	XP_003249522.1	XP_011160332.1
OG0000673	XP_393488.4	XP_025991633.2, XP_025991631.2, XP_025991632.2
OG0000674	XP_396778.2	XP_039310353.1, XP_011162427.1, XP_039310351.1, XP_039310352.1
OG0000676	XP_016768927.1, XP_006559657.1, XP_006559656.1, XP_016768928.1, XP_016768929.1, XP_003249519.2, XP_006559659.1	XP_011160330.1, XP_011160331.1, XP_039313501.1
OG0000677	XP_016770654.1, XP_006562449.1, XP_006562453.1	XP_011160950.1, XP_011160946.1, XP_011160951.1
OG0000678	XP_026298586.1, XP_026298750.1, XP_026298587.1	XP_039304396.1
OG0000680	XP_397314.1, XP_003251167.1	XP_011167693.1, XP_011167708.1, XP_011167701.1
OG0000681	NP_001011590.1	NP_001291522.1
OG0000681	NP_001035316.1	XP_011171271.1
OG0000682	XP_026299012.1, XP_026299011.1	XP_011163525.2
OG0000683	XP_006561871.1, XP_006561872.1, XP_392540.2, XP_026298756.1	XP_039306229.1, XP_039306230.1
OG0000684	XP_006560091.1	XP_039302424.1, XP_011157520.1, XP_011157521.1, XP_039302421.1
OG0000685	XP_006557566.1	XP_011166723.1
OG0000685	XP_001121362.1, XP_016772981.1, XP_016772982.1	XP_011165386.2
OG0000686	NP_001165875.1, XP_026295141.1	XP_011167376.2, XP_011167375.2
OG0000687	XP_624894.1, XP_006561684.1	XP_011165090.1, XP_011165092.1
OG0000688	NP_001229387.1	XP_025991175.2, XP_011167177.2
OG0000689	XP_026296649.1	XP_025987790.1
OG0000690	XP_003251410.1, XP_006569699.1, XP_006569698.1, XP_006569697.1	XP_011163918.1
OG0000691	XP_393529.3, XP_006562838.1	XP_039314432.1, XP_011164381.1
OG0000692	XP_006560047.1	XP_011161649.1
OG0000693	XP_026298830.1	XP_025993002.1
OG0000694	XP_623571.3	XP_011170811.1, XP_011170813.1
OG0000695	XP_006564038.1, XP_395577.4	XP_025987444.1, XP_025987443.1, XP_039310172.1, XP_039310173.1
OG0000696	XP_392901.2	XP_039308200.1, XP_039308201.1
OG0000698	XP_623581.2	XP_011159907.1, XP_011159915.1, XP_011159925.1
OG0000699	XP_016769668.1	XP_011161891.2
OG0000700	XP_016773331.2	XP_011157480.1
OG0000700	XP_026302087.1	XP_025987956.1
OG0000701	XP_026297653.1	XP_011161794.1
OG0000703	XP_006564053.1, XP_006564055.1, XP_016766990.1	XP_025993224.2, XP_039310299.1, XP_025993223.2
OG0000704	XP_394006.4	XP_011161187.1
OG0000705	XP_006564182.3	XP_025988088.2
OG0000706	XP_026301974.1	XP_011168454.1
OG0000707	XP_392669.1, NP_001011584.1	XP_011166276.1, XP_039305379.1
OG0000708	NP_001011567.1, XP_026301042.1	XP_039314227.1, XP_039314228.1
OG0000709	XP_026298090.1	XP_011175840.1, XP_011175841.1
OG0000710	XP_006569703.2, NP_001164522.1, XP_006562865.1	XP_025996916.1
OG0000711	XP_006569202.1, XP_016769779.1, XP_001120810.2	XP_011158311.2
OG0000712	XP_006557547.1, NP_001035348.1	XP_025991504.1, XP_025991503.1
OG0000713	XP_006565760.1	XP_011156494.2
OG0000714	XP_006566598.1, XP_006566599.1, XP_016770307.1	XP_025994772.1
OG0000715	XP_006559308.1	XP_011159153.2, XP_011159154.2
OG0000716	XP_006569700.2, XP_016767886.2	XP_011163912.2
OG0000717	XP_026297163.1	XP_011164323.1, XP_011164322.1, XP_011164321.1
OG0000718	XP_016771742.1, XP_016771745.1, XP_016771746.1	XP_025992101.1
OG0000719	XP_026299031.1, XP_016770097.2	XP_039304225.1, XP_039304226.1
OG0000720	XP_026297066.1	XP_039302434.1
OG0000720	XP_026301406.1	XP_039314720.1
OG0000721	XP_394893.3	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2
OG0000722	XP_001120611.1	XP_039314078.1, XP_011167944.1
OG0000722	NP_001035293.1, XP_006564565.1	XP_011167941.1
OG0000723	XP_026295739.1	XP_039305662.1, XP_039305658.1
OG0000724	XP_006569732.1	XP_011170525.1, XP_011170523.1
OG0000726	XP_006562812.1	XP_011167998.2
OG0000727	XP_003250785.1	XP_025986180.1
OG0000728	XP_016770286.1	XP_039312815.1, XP_039312814.1, XP_011169151.3, XP_039312816.1, XP_011168956.1, XP_011169150.1
OG0000729	XP_026298549.1	XP_011168583.1
OG0000730	XP_001120519.2	XP_039314139.1, XP_039314140.1
OG0000731	XP_016771340.2	XP_039311188.1, XP_011167996.2
OG0000732	XP_623991.1, XP_016766809.1, XP_016766808.1, XP_016766810.1, XP_016766811.1	XP_039301972.1, XP_011162337.1, XP_011162336.1, XP_011162333.1, XP_011162334.1, XP_011162335.1
OG0000733	XP_006565382.1	XP_039314752.1, XP_011169491.1
OG0000734	XP_016770931.1	XP_011166589.1, XP_011166590.1, XP_025992886.1
OG0000736	XP_003250703.1	XP_011157298.1
OG0000737	XP_001120025.2	XP_011162103.1
OG0000738	XP_001120760.2	XP_025995486.1, XP_039304747.1, XP_025995485.2, XP_025995484.2
OG0000739	XP_006569035.1	XP_025986669.1, XP_011158895.1
OG0000740	XP_016772832.1	XP_011165468.1, XP_011165469.1, XP_011165467.1, XP_011165466.1
OG0000741	XP_623497.2, XP_006563740.2, XP_006563741.2	XP_011176093.2
OG0000742	XP_006566012.1, NP_001077099.1	XP_039306568.1, XP_039306567.1
OG0000743	XP_394248.2, XP_026299887.1	XP_011176100.1, XP_011176099.1, XP_011176096.1, XP_011176097.1, XP_011176098.1
OG0000744	XP_624002.4	XP_011163408.1
OG0000745	XP_026297271.1	XP_039312216.1, XP_039312218.1, XP_039312219.1, XP_025993584.1, XP_011159126.1, XP_011159127.1, XP_039312050.1, XP_039312217.1
OG0000746	XP_006569631.1, XP_006569630.1	XP_039301874.1
OG0000747	XP_392786.2, XP_006570342.1	XP_025994764.1, XP_025994766.1, XP_025994765.1
OG0000748	XP_016767252.1	XP_025992939.2
OG0000748	XP_006558800.1	XP_039311919.1
OG0000750	XP_026299429.1	XP_039308189.1, XP_011168047.1
OG0000751	XP_394163.3	XP_011163217.2
OG0000752	XP_026300654.1	XP_011161184.1
OG0000753	XP_394109.3	XP_011164714.1, XP_011164712.1, XP_011164713.1, XP_039314207.1
OG0000754	XP_026301182.1	XP_025994006.1, XP_039314803.1
OG0000755	XP_006567337.1	XP_011160539.1
OG0000756	XP_006569520.2	XP_039310988.1
OG0000756	XP_392687.2	XP_011167689.2
OG0000757	XP_016768411.1	XP_011173082.1, XP_011173081.1
OG0000758	XP_016766912.1	XP_011163862.2
OG0000758	XP_026297479.1	XP_011164604.1
OG0000759	XP_006568316.1, XP_006568317.1	XP_025988751.1
OG0000760	XP_394925.4	XP_011162144.1, XP_011162146.1, XP_011162145.1
OG0000761	XP_006563285.1, XP_016768791.1, XP_393026.2	XP_025996446.1
OG0000762	XP_006557737.1, XP_006557738.1	XP_025987473.1
OG0000764	XP_026296424.1, XP_026296425.1, XP_026296422.1, XP_026296423.1, XP_026296428.1, XP_026296427.1, XP_026296421.1, XP_026296426.1, XP_026296420.1	XP_039304581.1, XP_011159740.1
OG0000764	XP_016767845.1	XP_011159741.1
OG0000765	XP_006558676.2, XP_016773287.2	XP_011176280.1, XP_011176281.1
OG0000766	XP_395525.3	XP_025988764.1, XP_039314286.1
OG0000767	XP_006565506.1, XP_006565505.2	XP_011171183.1, XP_011171178.1
OG0000768	XP_006566739.1	XP_011168953.1, XP_011168954.1
OG0000769	XP_026297250.1	XP_039302316.1
OG0000770	XP_016771731.1, XP_003250539.1	XP_025991245.1, XP_039314063.1
OG0000771	XP_396371.5	XP_025987164.1, XP_011158232.1, XP_025987165.1
OG0000772	XP_026297548.1	XP_039313911.1, XP_039313913.1
OG0000773	XP_006566349.2	XP_025987110.1
OG0000774	XP_001121653.2	XP_011165924.1
OG0000775	XP_016770587.1, XP_006566329.1	XP_011155960.1, XP_025987204.1
OG0000776	XP_006571320.1, XP_026302249.1	XP_011163200.1
OG0000777	XP_026300986.1	XP_025997179.1, XP_025997180.1, XP_011165269.1
OG0000778	XP_006569526.1, XP_006569527.1, XP_006569525.1	XP_011164824.1
OG0000779	NP_001071289.1, XP_026296900.1	XP_039308346.1, XP_039308351.1, XP_039308349.1, XP_039308355.1
OG0000780	XP_393148.4, XP_016770061.1	XP_011160559.1, XP_011160558.1, XP_025988495.1, XP_011160560.1, XP_025988494.1
OG0000781	NP_001314890.1	XP_011159966.1
OG0000782	XP_006561748.1	XP_025991730.1, NP_001291540.1
OG0000783	XP_006568130.1, XP_006568133.1, XP_006568132.1, XP_001121996.2, XP_006568134.1	XP_011176408.1
OG0000784	XP_006571359.2	XP_011161570.1
OG0000785	NP_001127699.1, XP_006564868.1	XP_039302168.1
OG0000786	XP_006557807.1, XP_392746.3	XP_011155618.2
OG0000787	XP_003251401.2, XP_006569556.2	XP_011168695.1, XP_011168697.1, XP_011168696.1, XP_025988184.1, XP_011168698.1, XP_025988185.1
OG0000788	XP_006569219.1	XP_039308398.1
OG0000789	XP_006559900.1	XP_011161800.1, XP_011161799.1, XP_011161803.1, XP_011161801.1
OG0000790	XP_006559325.2	XP_011159162.2
OG0000795	XP_397008.1	XP_011168338.1
OG0000796	XP_006560618.1	XP_011161408.1
OG0000796	XP_006569436.1	XP_011161421.1
OG0000797	XP_006563826.1	XP_011162370.1, XP_011162428.1
OG0000798	XP_006572024.1, XP_623109.1	XP_011165295.1
OG0000799	XP_006561770.1, XP_006561768.2	XP_025989311.1, XP_039305768.1
OG0000800	XP_624076.1	XP_011160666.1, XP_011160664.1
OG0000801	XP_026301002.1, XP_016766464.2	XP_011164184.2
OG0000802	XP_026295316.1	XP_025988488.1
OG0000803	NP_001139210.1, XP_006563265.1	XP_011155983.1
OG0000804	XP_016767919.1	XP_039306726.1, XP_039306725.1, XP_011171429.1
OG0000805	XP_016766704.2	XP_025994786.1
OG0000806	XP_006561685.1	XP_011169594.1, XP_011169595.1, XP_011169597.1
OG0000807	XP_006563206.1, XP_006563207.1	XP_011161813.1, XP_011161815.1, XP_011161814.1
OG0000808	XP_026299275.1	XP_025993559.1
OG0000808	XP_026299276.1	XP_011160772.1
OG0000809	XP_026296461.1, XP_026296460.1	XP_025990549.1, XP_039304796.1
OG0000810	XP_006566930.1, XP_391943.1	XP_039302094.1, XP_011162024.2, XP_011162023.2
OG0000811	XP_016768846.1	XP_011168281.1, XP_011168282.1
OG0000812	XP_026298977.1	XP_011172218.1
OG0000813	XP_396192.5	XP_025994548.1, XP_039313899.1
OG0000814	XP_625099.2, XP_016769224.1	XP_011170174.1, XP_039315469.1
OG0000815	XP_016773222.2, XP_026298377.1	XP_011159180.2, XP_011159181.1
OG0000816	XP_001122025.2	XP_011160544.1
OG0000817	XP_016766762.1, XP_016766761.1, XP_006560939.1	XP_025987139.1
OG0000818	XP_026295178.1, XP_016766933.1	XP_039312944.1
OG0000819	XP_006559295.1, XP_006559294.1	XP_039311826.1, XP_039311828.1
OG0000820	XP_006557589.1, XP_006557586.1, XP_006557587.1, XP_026296970.1, XP_026296969.1, XP_006557588.1	XP_039301687.1
OG0000821	XP_623983.3	XP_025995382.1
OG0000822	XP_006570923.2	XP_025991295.2
OG0000823	XP_003250310.2	XP_011160880.1
OG0000824	XP_396499.5	XP_025993701.2
OG0000824	XP_026299081.1	XP_039305933.1
OG0000825	XP_394922.3	XP_039306488.1, XP_039306489.1, XP_039307020.1, XP_011171356.2, XP_011171353.1
OG0000826	XP_003250684.1	XP_039304012.1, XP_011159412.1, XP_011159413.1, XP_011159411.1
OG0000827	XP_016770017.1, XP_001121833.2	XP_039308960.1, XP_039308963.1
OG0000828	XP_026297116.1, XP_006562485.1, XP_006562486.1	XP_039315579.1
OG0000829	XP_006566942.2	XP_011162079.1, XP_011162078.1
OG0000830	XP_001120009.1	XP_011168522.1
OG0000831	XP_026294939.1	XP_039310174.1
OG0000832	XP_026302189.1	XP_039308938.1
OG0000833	XP_016772486.2, XP_016772495.2	XP_025988976.2, XP_025988982.2, XP_025988988.2
OG0000834	XP_006571082.1, XP_006571081.1	XP_039309993.1, XP_011160982.1, XP_011160983.1
OG0000835	NP_001011635.1	XP_011164859.1
OG0000836	XP_026301323.1	XP_039308456.1
OG0000837	XP_003249915.1	XP_025991745.1, XP_025991746.1, XP_039308425.1
OG0000838	XP_026300981.1	XP_039307130.1
OG0000840	XP_006569593.1	XP_039314110.1
OG0000841	XP_623802.2	XP_025987401.1
OG0000842	XP_003251099.1	XP_039304445.1, XP_039304448.1
OG0000844	XP_006571561.1, XP_623241.1, XP_006571560.1, XP_006571562.1	XP_039310169.1
OG0000845	XP_003249920.2, XP_006561782.1	XP_011158192.2
OG0000849	XP_006572525.1	XP_011156555.1, XP_011163639.1
OG0000850	XP_006562063.1	XP_011159981.1
OG0000851	XP_392903.1, XP_016772903.1	XP_011158376.1
OG0000852	XP_001121718.2	XP_025986713.2, XP_025986712.2, XP_011158922.2, XP_039305863.1, XP_039305862.1
OG0000853	XP_016772418.2	XP_039313865.1
OG0000854	XP_026294751.1	XP_011158684.1
OG0000855	XP_396451.2	XP_011176305.1
OG0000856	XP_026300239.1	XP_025989573.1
OG0000857	XP_016767384.1, XP_003249365.1	XP_011163622.1
OG0000858	XP_006559341.1	XP_039309658.1
OG0000858	XP_624399.2	XP_025997319.1
OG0000859	XP_026300869.1, XP_016767058.2	XP_011168368.1, XP_011168610.1, XP_011168692.1, XP_011168455.1
OG0000860	XP_001119982.2	XP_039308843.1, XP_011168506.1
OG0000861	XP_006569044.1	XP_011158929.2
OG0000862	XP_026297323.1	XP_011175531.2, XP_025988112.2
OG0000863	XP_026298087.1	XP_039302141.1
OG0000864	XP_003251146.1, XP_016767771.1	XP_039314769.1, XP_025988781.2
OG0000865	XP_026296675.1	XP_011169349.1, XP_011169329.1, XP_011169345.1
OG0000867	XP_393553.4	XP_039309625.1
OG0000868	XP_026296644.1	XP_039310527.1, XP_025993438.1
OG0000869	XP_016769630.2, XP_026298510.1, XP_026298509.1	XP_039308279.1
OG0000870	XP_016768956.2, XP_396503.5	XP_039310472.1, XP_025996069.2
OG0000871	XP_392665.3, XP_006572373.1	XP_025986886.1
OG0000872	XP_026298404.1, NP_001229485.1	XP_011175455.1, XP_011175453.1, XP_011175456.1, XP_011175452.1
OG0000873	XP_026296062.1	XP_011176166.2
OG0000874	XP_623422.1, XP_016773406.1, XP_006569604.1, XP_006569605.1	XP_025994420.1, XP_025994421.1
OG0000875	XP_391965.1	XP_011164437.1, XP_039309316.1
OG0000876	XP_396698.3, XP_026298349.1	XP_011158998.1, XP_011159005.1
OG0000877	XP_026300650.1, XP_006558564.2, XP_006558563.2, XP_006558562.2, XP_016771264.2, XP_016771262.2	XP_039311088.1, XP_011161480.1
OG0000878	XP_624248.3	XP_025986289.1
OG0000879	XP_006571832.1, XP_396744.4	XP_025990421.1, XP_025990422.1
OG0000880	XP_016771877.1, XP_026300776.1, XP_026300778.1, XP_026300777.1	XP_011161203.1
OG0000881	XP_006572419.1, XP_006572418.1, XP_623842.1, XP_026301731.1	XP_011160040.2
OG0000882	XP_026298464.1	XP_011171044.1, XP_025991022.1, XP_011171038.1, XP_011171036.1, XP_039304678.1, XP_025995906.1, XP_039304676.1, XP_011171039.1, XP_025994427.1, XP_011171088.1, XP_039306778.1, XP_011171040.2, XP_011171043.2, XP_039306728.1, XP_039305689.1, XP_011156454.2, XP_011171045.1, XP_039307164.1, XP_011174745.3, XP_025991035.2, XP_011171041.1
OG0000883	XP_396960.2	XP_039303708.1, XP_039303709.1, XP_039303706.1
OG0000884	XP_016772239.1	XP_039304756.1, XP_039313970.1
OG0000885	XP_016769048.2, XP_006558259.2	XP_039315016.1
OG0000886	XP_003249660.1	XP_011170327.1
OG0000887	XP_026301763.1	XP_039308747.1
OG0000887	XP_026301762.1	XP_039308527.1
OG0000888	XP_006572035.2, XP_006572034.2, XP_026298243.1, XP_393065.4	XP_011175978.1
OG0000890	XP_016767503.1	XP_039314335.1
OG0000892	XP_001121130.1, XP_016768214.1	XP_011164335.1
OG0000893	XP_026297766.1	XP_039306561.1
OG0000894	XP_026299447.1	XP_025986498.1
OG0000895	XP_016766988.1, XP_003250368.1	XP_025990648.1
OG0000896	XP_026301410.1	XP_039311139.1
OG0000897	XP_016767761.1, XP_001120426.2	XP_011158516.1
OG0000898	XP_026296678.1	XP_025990057.1, XP_011155417.1
OG0000898	XP_001120032.3	XP_011165573.1
OG0000899	XP_026297887.1, XP_026297884.1, XP_026297885.1, XP_026297882.1, XP_026297883.1, XP_026297881.1, XP_026297888.1, XP_026297889.1, XP_026297886.1, XP_016769197.2, XP_026297890.1	XP_039313083.1
OG0000900	XP_026300048.1	XP_011171987.1
OG0000901	XP_006564329.1	XP_025986962.1
OG0000902	XP_026300487.1	XP_039304961.1, XP_039304959.1, XP_039304960.1, XP_039304968.1, XP_039303855.1, XP_011169896.1, XP_039303853.1, XP_025991659.2
OG0000903	NP_001091702.1, XP_026302166.1	XP_011158890.2
OG0000903	NP_001073563.2, XP_006568756.2	XP_025986788.1
OG0000904	XP_026299224.1	XP_039311619.1
OG0000905	XP_006569681.2	XP_011165800.2, XP_011165794.1, XP_011165795.1, XP_011165796.1, XP_011165797.1
OG0000906	XP_003251651.1	XP_039313466.1
OG0000906	XP_006562965.1, XP_001120664.2	XP_039306787.1
OG0000908	XP_026299178.1, XP_006566265.2	XP_011160553.2, XP_011160554.2
OG0000909	XP_026298311.1, XP_016769009.2, XP_026298312.1	XP_039308150.1
OG0000910	XP_026300526.1, XP_026300525.1	XP_011164763.2
OG0000911	XP_016771829.2, XP_026300700.1, XP_026300699.1	XP_025993971.2, XP_025993970.2, XP_025993966.2
OG0000912	NP_001139211.1, XP_006561626.1	XP_011169376.1
OG0000913	XP_003250465.3, XP_026299634.1	XP_011173890.1
OG0000914	NP_001229585.1, NP_001229586.1	XP_039308448.1, XP_039308446.1, XP_039308447.1
OG0000916	XP_624531.3	XP_025995363.1
OG0000917	XP_026294924.1	XP_011165923.1
OG0000918	XP_026299654.1, XP_001120855.2	XP_011157236.1
OG0000919	XP_026296261.1, XP_026296262.1, XP_026296263.1	XP_025988014.1
OG0000920	XP_006571525.1	XP_011165873.1
OG0000921	XP_001120690.1	XP_011165106.1, XP_011165105.1
OG0000922	XP_026298070.1, XP_026298072.1	XP_011171960.2
OG0000923	XP_016770595.2, XP_001121441.3	XP_039306250.1, XP_039306253.1
OG0000924	XP_016766858.1	XP_011155993.1
OG0000925	XP_001120239.3	XP_025992349.1
OG0000927	XP_006568873.1	XP_011172154.1
OG0000928	XP_006569236.1	XP_011160605.3
OG0000929	XP_624838.1	XP_011169685.1
OG0000930	XP_624652.1	XP_039305396.1
OG0000931	XP_395665.6	XP_011166210.2
OG0000932	XP_623988.1, XP_006563709.1	XP_011170039.1
OG0000933	NP_001153536.1	XP_011171324.1
OG0000934	XP_396204.4	XP_039304912.1, XP_039304911.1
OG0000935	XP_394852.2	XP_011164079.1
OG0000936	XP_026297445.1	XP_011173270.1, XP_011173276.1
OG0000937	XP_026298162.1, XP_395098.4	XP_039307703.1, XP_039307702.1
OG0000938	XP_006559641.1	XP_025989696.1
OG0000939	XP_016770287.1	XP_011160363.1
OG0000939	XP_006570179.1	XP_011160353.1
OG0000939	XP_016770281.1	XP_039308686.1
OG0000941	XP_026298048.1, XP_026298047.1, XP_026298050.1, XP_026298049.1	XP_011164512.2
OG0000942	XP_001122328.3	XP_011156703.1, XP_039314337.1, XP_039314336.1
OG0000943	XP_006563787.1	XP_011166146.1, XP_025988490.1
OG0000944	XP_006563130.1, XP_395781.2	XP_025996268.1
OG0000945	XP_006566272.1	XP_011160565.1
OG0000945	XP_623982.2	XP_011160563.1, XP_039303714.1
OG0000946	XP_026302105.1	XP_011165533.2
OG0000946	XP_624130.2	XP_011161547.1
OG0000947	XP_026300677.1, XP_026300679.1	XP_025991408.2
OG0000948	XP_026300795.1, XP_016771894.1, XP_026300793.1, XP_397065.2, XP_006558840.1	XP_011172825.1
OG0000949	XP_001122160.2, XP_006562517.1	XP_039303762.1, XP_011158334.2, XP_011173491.1, XP_039313318.1, XP_039313322.1, XP_039314435.1
OG0000950	XP_026301918.1, XP_026301917.1	XP_011166764.1
OG0000951	XP_624934.1, XP_026298165.1, XP_006559575.1	XP_039301861.1, XP_011158539.1
OG0000952	XP_394765.2	XP_039310385.1
OG0000953	XP_006558825.2	XP_025989139.1
OG0000954	XP_006560111.1	XP_011166808.2
OG0000955	XP_026302152.1	XP_011162740.2
OG0000957	XP_026298056.1	XP_011168741.1, XP_039312334.1
OG0000958	XP_026295776.1, XP_026295777.1	XP_011162112.1
OG0000959	XP_393728.4	XP_039308943.1
OG0000960	XP_026296656.1	XP_039307029.1
OG0000961	XP_026298663.1, XP_026298664.1	XP_011156839.1
OG0000962	XP_016771762.1, XP_016771769.1, XP_016771755.1	XP_025991221.1, XP_025991228.1
OG0000963	XP_623495.1, XP_016769524.1	XP_025991764.1, XP_025991763.1
OG0000964	XP_006569023.1	XP_011158913.1
OG0000965	XP_026298590.1	XP_025990144.1
