Orthogroup	Apis_mellifera	Drosophila_melanogaster
OG0001361	XP_003251907.2	NP_650778.2
OG0001362	XP_016767937.1, XP_392575.3	NP_001287357.1
OG0001363	XP_394252.2	NP_001286088.1, NP_001286786.1
OG0001364	XP_026295929.1	NP_001188754.1
OG0001365	XP_006566705.2	NP_001260427.1
OG0001368	XP_006558888.1, XP_006558887.1, XP_396702.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_016772826.1	NP_001303363.1
OG0001370	XP_006557536.1	NP_001162973.2
OG0001371	XP_397170.4	NP_610796.1
OG0001372	XP_026296526.1	NP_610444.2
OG0001373	XP_006564089.1	NP_731872.1
OG0001374	NP_001171374.1, XP_026300673.1	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_001121365.2, XP_006562011.1	NP_001261379.1
OG0001376	XP_396175.2, XP_006569779.1, XP_016769123.1	NP_001162697.1
OG0001377	XP_003249169.1	NP_572840.1
OG0001378	XP_026297486.1	NP_572402.1
OG0001379	XP_006567468.1	NP_723501.2
OG0001380	XP_394382.2	NP_001036421.1
OG0001381	XP_395682.4	NP_650889.1
OG0001382	XP_026297953.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_006572237.1	NP_001036470.1
OG0001384	XP_396789.2	NP_001285453.1
OG0001385	XP_016767540.2, NP_001276370.1	NP_001260880.1
OG0001386	XP_016767856.1, XP_016767858.1, XP_006561126.1, XP_006561128.1	NP_001286474.1
OG0001387	XP_006557949.1	NP_609412.1
OG0001388	XP_016770706.1	NP_572320.2, NP_732840.1
OG0001389	XP_026301857.1	NP_788300.3
OG0001390	XP_393336.2	NP_001286120.1
OG0001391	XP_006557325.2	NP_001163354.1
OG0001392	XP_016770421.1, XP_026301887.1, XP_006571083.1	NP_001246912.1
OG0001394	XP_026301283.1	NP_573197.2
OG0001394	XP_006563923.1	NP_729025.1
OG0001395	XP_026300619.1	NP_001137624.1
OG0001396	XP_003251700.2	NP_001245761.1, NP_523412.1
OG0001397	XP_006558421.1	NP_649764.1
OG0001398	XP_026295323.1, XP_396074.2	NP_001246972.1, NP_523949.2
OG0001399	XP_026295822.1, XP_006570847.3, XP_026295821.1	NP_569982.1
OG0001400	XP_026298271.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_395366.2	NP_524675.1
OG0001402	XP_624525.3	NP_612065.1
OG0001403	XP_026298793.1, XP_006567426.1	NP_001259193.1, NP_733426.1
OG0001404	XP_003250893.1, XP_016770402.1	NP_609110.1
OG0001405	XP_006558378.1	NP_731223.1
OG0001406	XP_003249994.1, XP_006562035.1	NP_001015132.1
OG0001407	XP_016770141.1, XP_006570083.1, XP_016770134.1	NP_001262226.1
OG0001408	NP_001229369.1	NP_001163646.1
OG0001409	XP_006563335.1	NP_001162657.1
OG0001410	XP_395760.4	NP_523844.2
OG0001412	XP_026296136.1	NP_001036250.1
OG0001413	XP_623536.3	NP_001303415.1
OG0001414	XP_006560334.1, XP_026299267.1	NP_608864.1
OG0001415	XP_016769111.2, XP_026301172.1	NP_996016.2
OG0001416	XP_026298066.1, XP_026298062.1	NP_723870.1
OG0001417	XP_006564416.1, XP_006564415.1	NP_611932.2
OG0001418	XP_026297714.1	NP_001162911.1
OG0001419	XP_026294885.1, XP_026294944.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_394326.4	NP_650569.1, NP_651139.1
OG0001421	XP_006564186.1, XP_026297333.1	NP_649899.1
OG0001422	XP_006568172.2	NP_001189074.1
OG0001423	XP_026302100.1	NP_729234.2
OG0001424	XP_006561339.1	NP_001262495.1
OG0001425	XP_006571360.1	NP_788574.3
OG0001426	XP_026300478.1	NP_001163056.1
OG0001427	XP_001121333.2	NP_648499.1
OG0001428	XP_006570272.2, XP_016767777.2, XP_026296777.1	NP_608929.1
OG0001429	XP_393105.4	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_026301363.1	NP_001287466.1
OG0001434	XP_001122051.1	NP_788618.1, NP_649928.1
OG0001436	XP_393999.3	NP_650868.1, NP_649289.2
OG0001437	XP_026299979.1	NP_001286742.1
OG0001438	XP_006566923.2	NP_727644.3
OG0001440	XP_016766945.1	NP_611647.1
OG0001441	XP_026297824.1, XP_026297830.1, XP_026297821.1	NP_001027574.2
OG0001442	XP_006566607.1, XP_006566608.1, XP_016770708.1, XP_001122238.2	NP_001287592.1
OG0001445	XP_016767809.1, XP_006564258.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_016769759.1, XP_026299020.1	NP_648358.2
OG0001453	XP_623506.1	NP_001285826.1
OG0001455	XP_395548.2	NP_610092.2
OG0001456	XP_003250782.1	NP_001286295.1
OG0001457	XP_395405.1	NP_001163688.1
OG0001458	XP_016771740.1, XP_006560290.1	NP_476858.1
OG0001459	XP_624206.2	NP_001097610.1, NP_001263148.1
OG0001460	XP_395475.2	NP_476848.1
OG0001461	XP_625038.2	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_392422.2, XP_003250633.1	NP_001262421.1
OG0001463	XP_006568200.1, XP_026299050.1	NP_649574.1
OG0001464	XP_026297059.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_001122467.1	NP_001189124.1
OG0001466	XP_623574.2, XP_003250648.1	NP_569951.1, NP_611911.1
OG0001467	XP_624385.4	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_001121269.2, XP_026301134.1	NP_001260652.1
OG0001469	XP_016770754.2, XP_006566407.2	NP_523568.2
OG0001470	XP_392667.2	NP_648768.1
OG0001471	XP_026295194.1, XP_006563973.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_026295425.1, XP_001121817.2	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_016773638.2	NP_001287361.1
OG0001474	XP_623681.1	NP_609560.2, NP_569850.1
OG0001475	XP_624415.1, XP_026295254.1, XP_006570845.1, XP_016773034.1, XP_003251612.1	NP_001368987.1
OG0001477	XP_006562867.1	NP_001014453.1
OG0001478	XP_006568688.1	NP_001285042.1
OG0001479	XP_006570473.1	NP_001036624.1
OG0001480	XP_624520.1	NP_524533.1
OG0001481	XP_006572049.1	NP_001286181.1
OG0001482	XP_006557348.1, XP_006557349.1	NP_651924.2
OG0001483	XP_006562729.1	NP_001262996.1
OG0001484	XP_393966.1	NP_001188579.1
OG0001485	XP_026300236.1	NP_523596.2
OG0001486	NP_001252514.1, XP_006564386.1	NP_476764.1
OG0001487	XP_006562891.1	NP_001188904.1
OG0001488	XP_026297193.1, XP_026297149.1	NP_001189108.1
OG0001489	XP_003249463.1	NP_648555.1
OG0001491	XP_006560273.1	NP_609228.2
OG0001492	XP_624946.1	NP_001263168.1
OG0001493	XP_001120943.2, XP_006566059.1	NP_001262195.1
OG0001494	XP_006569570.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_026296208.1	NP_612063.2
OG0001496	XP_006562571.1	NP_609203.1
OG0001497	XP_026299752.1	NP_001260853.1
OG0001498	XP_006563298.1	NP_729823.2
OG0001499	XP_623985.3, XP_623658.1	NP_572167.3
OG0001500	NP_001189389.1	NP_730859.1
OG0001501	XP_006569496.1, XP_006569498.1	NP_001303373.1
OG0001502	XP_026297625.1	NP_001261464.1
OG0001503	XP_397549.2, XP_003250890.1	NP_665880.2
OG0001504	XP_393495.3	NP_001261440.1
OG0001505	XP_016767602.2, XP_026296385.1, XP_026296386.1, XP_026296387.1, XP_026296389.1	NP_001097527.1
OG0001507	XP_006563542.1	NP_001287269.1
OG0001508	XP_016767457.1, XP_026295906.1	NP_001138130.2
OG0001509	XP_006569759.1, XP_006569756.1, XP_006569758.1	NP_001261116.1
OG0001510	NP_001264228.1, XP_016770661.2	NP_001284936.1
OG0001511	XP_623621.1	NP_649151.1
OG0001514	XP_396376.2	NP_001188550.1
OG0001515	XP_006568666.1	NP_001259809.1
OG0001516	XP_016768032.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_016772636.1	NP_731242.1
OG0001518	XP_006569908.1, XP_006569907.1	NP_001036462.1
OG0001519	XP_001121155.2	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001521	XP_026296663.1	NP_523422.4
OG0001522	XP_396892.2	NP_001096867.3
OG0001524	XP_006568047.1	NP_001261067.1
OG0001525	XP_006559250.1, XP_393635.1	NP_477026.1
OG0001526	NP_001011602.1	NP_001369078.1
OG0001527	XP_006561935.1	NP_001259089.1
OG0001529	XP_006557300.1	NP_001162930.1
OG0001530	XP_026301949.1	NP_611501.1
OG0001531	XP_006564855.1	NP_651595.1
OG0001532	XP_016768684.2, XP_016768690.1	NP_001162665.1
OG0001533	XP_026297995.1	NP_728534.2
OG0001534	XP_006570008.2	NP_731923.2
OG0001535	XP_016766188.2	NP_001261999.1
OG0001536	XP_026299834.1, XP_026299833.1	NP_648357.1
OG0001537	XP_016771061.1, XP_396670.3	NP_001245892.1, NP_001260974.1
OG0001538	NP_001035354.1	NP_995639.1
OG0001539	XP_026300395.1	NP_524017.1
OG0001540	XP_006570639.1, NP_001107211.1	NP_610693.1, NP_610694.1
OG0001541	XP_026301845.1, XP_026301842.1	NP_001261940.1
OG0001542	XP_016767210.2, XP_001121775.2	NP_609207.1
OG0001543	XP_623560.2, XP_006562474.1, XP_006562473.1, XP_026299439.1	NP_650901.2
OG0001545	XP_026295460.1	NP_523451.2
OG0001546	XP_001121602.2, XP_026296545.1	NP_001247104.1
OG0001548	XP_006568458.2, XP_026295258.1	NP_001285388.1
OG0001550	XP_396025.4	NP_647968.3
OG0001551	XP_026301914.1	NP_001246815.1
OG0001552	XP_006561183.1, XP_016766181.1	NP_477317.1
OG0001553	XP_394347.5	NP_651623.1
OG0001554	XP_016770977.1, XP_006561260.1	NP_001261344.1
OG0001555	XP_396132.4	NP_001246451.1
OG0001556	XP_006558583.1	NP_726771.1
OG0001557	XP_006564466.1	NP_001260951.1
OG0001558	XP_393403.3	NP_001245722.1
OG0001559	XP_026299665.1	NP_650472.2
OG0001560	NP_001242968.1, XP_006561571.2, NP_001242969.1	NP_001246228.1
OG0001561	XP_006563441.2	NP_001260963.1
OG0001562	XP_006558995.1	NP_001137943.2
OG0001563	XP_016772117.1, XP_016772119.1	NP_001246300.1
OG0001565	XP_026299072.1	NP_001286976.1
OG0001567	XP_006562827.2, XP_026302056.1	NP_001137746.1
OG0001568	XP_006567935.1	NP_001263152.1
OG0001569	XP_026300765.1, XP_625030.1, XP_006564990.1	NP_477320.1
OG0001570	XP_001120557.1, XP_006571825.1	NP_648176.1
OG0001571	XP_623644.3	NP_610075.2
OG0001575	XP_026298538.1	NP_524337.1
OG0001576	XP_026295510.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_394734.5	NP_001285493.1
OG0001579	XP_393727.2	NP_001097592.1
OG0001580	XP_026298115.1, XP_026298114.1, XP_026298110.1	NP_001285528.1
OG0001581	XP_001122164.3	NP_608983.2
OG0001582	XP_026295451.1, XP_016766735.2	NP_001287593.1
OG0001583	XP_006560007.3	NP_001189157.1
OG0001584	XP_006571318.1, XP_006571313.1	NP_648993.1
OG0001585	XP_006565462.1, XP_026296905.1	NP_001262143.1
OG0001586	XP_623933.1	NP_647865.2
OG0001587	XP_006568372.3	NP_648090.1
OG0001588	XP_016770533.1, XP_016770532.1	NP_001188558.1
OG0001589	XP_001120695.1	NP_726318.1
OG0001590	XP_016768773.1	NP_572910.1, NP_001285210.1
OG0001591	XP_006566433.2, XP_026299417.1	NP_001286018.1
OG0001592	XP_026301990.1	NP_647896.1
OG0001593	XP_016772021.1	NP_001287342.1
OG0001594	XP_624254.3, XP_006562530.1	NP_001259723.1
OG0001595	XP_393778.2	NP_611252.1
OG0001596	XP_003251001.1	NP_730651.1
OG0001597	XP_006568941.1	NP_572854.1
OG0001600	XP_001122104.1, XP_006567506.1	NP_001286151.1
OG0001601	XP_016766791.1	NP_001097706.1
OG0001602	XP_026296768.1	NP_001033958.1
OG0001604	XP_016769578.1, XP_016769579.1	NP_001163129.1
OG0001606	XP_006559482.2, XP_016772477.2	NP_523902.2
OG0001607	XP_026295945.1	NP_001285753.1
OG0001608	XP_006566547.1, XP_016770624.1, XP_016770623.2	NP_001260655.1
OG0001614	XP_006563852.2	NP_001259303.1, NP_569908.1
OG0001615	XP_001120364.1	NP_523764.1
OG0001616	XP_006566477.1, XP_006566478.1	NP_001259833.1
OG0001617	XP_006559199.1	NP_524011.1
OG0001619	XP_026302278.1, XP_026302276.1	NP_652526.1
OG0001620	XP_006559598.1, XP_006559599.1	NP_609496.1
OG0001621	XP_006567760.1, XP_003251079.1	NP_573362.1, NP_729837.1
OG0001622	XP_006572004.2	NP_572536.1
OG0001623	XP_395696.2	NP_524400.2
OG0001624	XP_397056.2	NP_788056.1
OG0001625	XP_396699.1	NP_001262669.1
OG0001626	XP_624479.1	NP_001259186.1
OG0001627	XP_006568009.1	NP_001303417.1
OG0001628	XP_006567224.1	NP_651052.1
OG0001629	XP_624943.3	NP_651782.1
OG0001630	XP_001122389.1	NP_729395.2
OG0001631	XP_624018.4	NP_001261267.1
OG0001632	XP_016771561.1	NP_001245408.1
OG0001633	XP_006558558.3	NP_001246351.1
OG0001634	XP_623646.2	NP_651054.1
OG0001635	XP_001120583.1	NP_001303479.1
OG0001636	XP_006568732.2, NP_001035346.1	NP_728142.1
OG0001637	XP_016769931.2, XP_396322.3	NP_612046.1
OG0001638	XP_026301628.1	NP_648826.2
OG0001639	XP_006565792.1	NP_572360.1
OG0001640	XP_026297298.1	NP_477027.1
OG0001641	XP_003250009.1, XP_016767664.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_394292.3	NP_725207.1
OG0001644	XP_623950.2	NP_001262395.1
OG0001645	XP_397283.1	NP_733058.1
OG0001646	XP_016767126.2, XP_006567318.2	NP_001285211.1
OG0001647	XP_026300749.1	NP_570025.1
OG0001648	XP_006571365.1	NP_001287187.1
OG0001649	XP_016769479.1	NP_609720.1, NP_524152.2
OG0001650	XP_026298834.1, XP_026298833.1	NP_648222.3
OG0001651	XP_006566520.1, XP_006566522.1	NP_001259585.1
OG0001652	XP_006560202.1, XP_016768462.1	NP_788858.1
OG0001653	XP_006563337.2	NP_995788.1
OG0001654	XP_006562323.1	NP_001246814.1
OG0001655	XP_006568644.1	NP_001245567.1
OG0001656	XP_001121554.3	NP_569872.1
OG0001657	XP_006569661.1	NP_001286489.1
OG0001658	XP_016767405.1, XP_016767404.1, XP_006567305.1	NP_001259992.1
OG0001659	XP_016772008.1	NP_730944.2
OG0001660	XP_006571017.1	NP_648750.1
OG0001662	XP_006563658.1, XP_016772164.2	NP_001097377.2
OG0001663	XP_006569237.2	NP_649918.1
OG0001664	NP_001155988.1, XP_006567657.1	NP_648183.3
OG0001665	XP_006566494.1	NP_001014619.2
OG0001666	XP_624283.3	NP_001163472.1, NP_649145.1
OG0001667	XP_006570316.1, XP_001122704.2, XP_026296440.1	NP_001261574.1
OG0001669	XP_006572269.1	NP_001287417.1
OG0001670	XP_624386.1	NP_001138149.1
OG0001671	XP_006562904.1	NP_732316.2
OG0001672	XP_026301574.1	NP_001246400.1
OG0001673	XP_016772949.2, XP_026301982.1, XP_026301981.1	NP_649883.1
OG0001674	XP_396231.4, XP_006571348.2	NP_001260539.1
OG0001675	XP_001119944.1	NP_001261382.1
OG0001676	XP_026296455.1, XP_026296459.1	NP_001163073.2
OG0001677	XP_623490.2	NP_001260561.1
OG0001679	NP_001264229.1	NP_611460.1
OG0001680	XP_623725.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_391963.3	NP_001163282.1
OG0001682	XP_006558051.1	NP_001285158.1
OG0001684	XP_026301408.1	NP_001368993.1
OG0001685	XP_006559783.1, XP_006559784.1, XP_397385.2	NP_001097520.2
OG0001686	XP_006562633.1	NP_731649.2
OG0001687	XP_026300480.1	NP_609069.1
OG0001688	XP_003250542.1	NP_001104382.3
OG0001690	XP_006563110.2, XP_006563111.2	NP_652015.1
OG0001693	XP_006559220.1	NP_001245400.1
OG0001694	XP_016766972.1, XP_016766975.1	NP_610256.1
OG0001695	XP_397181.1	NP_001262760.1
OG0001696	XP_026301919.1, XP_006571061.2	NP_001247156.1
OG0001697	XP_395370.1	NP_001245797.1
OG0001699	XP_006560897.1	NP_733303.2
OG0001700	XP_016772146.2	NP_001189311.1
OG0001701	XP_624673.3, XP_016768020.1, XP_016768015.1, XP_006563314.1	NP_995862.1
OG0001702	XP_006557525.1, XP_006557524.1, XP_001120701.2	NP_651170.1
OG0001703	XP_394880.3	NP_001262871.1, NP_651242.1
OG0001704	XP_391922.2	NP_001356971.1
OG0001706	XP_393619.4, XP_016768168.2	NP_001247116.1
OG0001707	XP_026300987.1	NP_001262589.2
OG0001708	XP_006560213.1	NP_001287390.1
OG0001709	XP_026295555.1, XP_026295547.1, XP_016772700.2	NP_001303494.1
OG0001711	XP_394460.1	NP_608741.1
OG0001712	XP_016771334.1, XP_016771331.1	NP_001188885.2
OG0001713	XP_006562481.1	NP_001033943.2
OG0001714	NP_001207415.1, NP_001207416.1	NP_649156.1
OG0001715	XP_006569265.3	NP_001285698.1
OG0001716	XP_016768172.2	NP_001163671.1
OG0001717	XP_006567330.1	NP_611675.2
OG0001718	XP_393236.2	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001720	XP_392615.1, XP_016769284.1	NP_610938.1
OG0001722	XP_026296832.1, XP_026296833.1, XP_026296834.1	NP_723401.1
OG0001723	NP_001035315.1, XP_016771954.1	NP_001188979.1, NP_524242.2, NP_001287190.1
OG0001724	XP_394574.3	NP_001261391.1
OG0001725	XP_396830.4	NP_524401.2
OG0001726	XP_006563226.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001728	XP_016770863.2	NP_001286002.1
OG0001729	XP_026299023.1	NP_001286919.1
OG0001730	XP_026295833.1, XP_026295840.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_026297019.1	NP_572995.1, NP_001163445.1
OG0001732	XP_016767782.1	NP_651725.1
OG0001733	XP_026297267.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_624577.2, XP_006571701.2	NP_608563.1
OG0001735	XP_016773594.2, XP_016773595.2	NP_609387.1
OG0001736	XP_016766963.1	NP_001097937.1
OG0001737	XP_026296648.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_003249819.2	NP_001014543.1
OG0001739	XP_006562930.1	NP_001246653.1
OG0001740	XP_026299184.1, XP_026299186.1	NP_001036555.1
OG0001742	XP_026300294.1, XP_026300286.1, XP_026300287.1	NP_733224.2
OG0001743	XP_001122418.1	NP_001285126.1
OG0001744	XP_026301456.1	NP_651315.2
OG0001745	XP_392464.3	NP_650743.1
OG0001746	XP_006567770.1	NP_524852.2
OG0001747	XP_026294820.1, XP_026294819.1	NP_001261633.1
OG0001748	XP_026295003.1, XP_026294997.1	NP_001189227.1
OG0001749	XP_026302273.1, XP_026302286.1	NP_001036722.1
OG0001750	XP_001122103.1, XP_016769468.1	NP_001261148.1
OG0001751	XP_026294749.1, XP_026294750.1	NP_001286159.1
OG0001752	XP_026298163.1	NP_651792.1, NP_651791.2
OG0001753	XP_026298887.1	NP_523391.3
OG0001754	NP_001242967.1, XP_026301143.1	NP_651671.1
OG0001755	XP_393886.3	NP_573318.1, NP_609759.1
OG0001756	XP_001120526.3	NP_649646.3
OG0001757	XP_026300423.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_006564274.1	NP_001163069.1
OG0001759	XP_395591.4	NP_001287202.1
OG0001760	XP_016768495.1, XP_006568356.1, XP_016768496.1, XP_016768497.1	NP_732069.3
OG0001762	XP_006557859.1, XP_026299032.1, XP_016769765.1	NP_001261764.1
OG0001763	XP_625210.1	NP_650223.1
OG0001764	XP_006564801.1	NP_001287421.2, NP_650876.1
OG0001765	XP_006562314.1, XP_003250045.1	NP_731461.1
OG0001766	XP_016768680.1, XP_016768682.1	NP_001261659.1
OG0001767	XP_026296535.1	NP_723294.1
OG0001768	XP_006562413.1	NP_572805.1
OG0001771	XP_006564844.1	NP_727732.1, NP_001097831.1
OG0001774	XP_016767411.1	NP_476778.1
OG0001775	XP_006557802.1	NP_523735.2
OG0001776	XP_006562600.2	NP_620470.1
OG0001777	XP_623303.1, XP_393059.1	NP_001245758.1
OG0001778	XP_006571958.1, XP_006571960.1	NP_001262233.1
OG0001779	XP_006572136.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_394026.2	NP_610617.1
OG0001781	XP_006561705.1	NP_650423.1
OG0001782	XP_394140.4	NP_649000.1
OG0001783	XP_003249423.2	NP_647892.1
OG0001784	XP_624087.2	NP_001163585.1
OG0001785	XP_623908.1	NP_524416.1
OG0001786	XP_001120360.1	NP_001260689.1
OG0001787	XP_393706.3	NP_648786.1
OG0001788	XP_395906.3	NP_724103.1
OG0001789	XP_006567899.1	NP_651728.1
OG0001790	XP_392085.2	NP_649460.3
OG0001791	XP_001120245.2, XP_006568251.2	NP_572504.1
OG0001792	XP_625134.3	NP_611734.1
OG0001793	XP_016768363.1, XP_026296947.1	NP_608828.2
OG0001794	XP_006568264.1, XP_026295048.1	NP_001259442.1
OG0001796	XP_026296488.1	NP_477212.1
OG0001797	XP_001120264.1	NP_523830.2
OG0001799	XP_001121575.2, XP_394485.2, XP_006567170.1, NP_001157184.1	NP_001260496.1
OG0001800	XP_006571623.1, XP_395349.1, XP_006571624.1, XP_026297611.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_006571821.1	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001802	XP_396615.2	NP_001162765.1
OG0001803	XP_006569400.1	NP_001015387.1
OG0001804	XP_394859.1	NP_728575.2, NP_612081.1
OG0001805	XP_006563149.2	NP_649038.1, NP_730334.2
OG0001806	XP_006563359.1, XP_026302126.1	NP_610087.2
OG0001807	XP_001121112.2	NP_001286460.1
OG0001808	XP_623170.1	NP_650163.2, NP_650840.1
OG0001809	XP_016768585.1, XP_006568686.1, XP_006568687.1	NP_609837.1
OG0001810	XP_006559673.1, XP_006559672.1	NP_001246271.1
OG0001811	XP_003249302.2	NP_001262677.1
OG0001812	XP_006560961.1	NP_001259970.1
OG0001813	XP_001122360.3	NP_611350.1
OG0001814	XP_397220.3	NP_524758.1
OG0001815	XP_006562406.1	NP_476667.1, NP_001246493.1
OG0001816	XP_026298657.1	NP_648106.1
OG0001818	XP_026298053.1, XP_026298054.1	NP_001285489.1
OG0001820	XP_394676.2	NP_649757.1
OG0001821	XP_001120030.2, XP_006571059.1, XP_006571060.1	NP_001287100.1
OG0001822	XP_396855.2	NP_995873.2
OG0001823	XP_026301314.1	NP_609767.2, NP_001260489.1
OG0001824	XP_006565919.1, XP_006565917.1	NP_001356918.1
OG0001825	XP_026294960.1	NP_001285277.1
OG0001826	XP_016773199.1	NP_610191.2
OG0001827	XP_026296804.1	NP_001261341.1
OG0001828	XP_006557452.1, XP_394141.2, XP_026299679.1, XP_006557451.1	NP_477184.1
OG0001829	XP_006561681.1, XP_006561682.1	NP_511153.1
OG0001830	XP_006564281.1	NP_001189170.1
OG0001831	XP_026300798.1	NP_648895.1
OG0001832	XP_394067.4	NP_611293.3
OG0001833	XP_026296913.1	NP_001262071.1
OG0001834	XP_391916.3	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_006560538.1, XP_001120677.3	NP_648567.2, NP_729801.1
OG0001836	XP_026300727.1	NP_001097041.2
OG0001838	XP_001120649.1	NP_649809.1
OG0001839	XP_001120879.2, XP_016769298.2	NP_001287516.1, NP_524496.1
OG0001840	XP_026296453.1	NP_001287291.1
OG0001841	NP_001242966.1	NP_649554.1
OG0001843	XP_026298492.1, XP_396332.3	NP_001163392.1
OG0001844	XP_624012.3	NP_733332.1
OG0001845	XP_392773.3	NP_649732.1
OG0001846	XP_016767933.1	NP_788721.1
OG0001847	XP_026300234.1	NP_001163705.1
OG0001848	XP_624014.2, XP_016768675.1	NP_610735.1
OG0001849	XP_393000.3, XP_026298149.1, XP_026298150.1	NP_001303451.1, NP_524581.1
OG0001850	XP_393385.3	NP_001097569.1
OG0001851	XP_001120336.2	NP_524795.2
OG0001852	XP_001121588.2	NP_611258.2
OG0001853	XP_006561993.1	NP_001285407.1
OG0001854	XP_026299949.1	NP_610231.2, NP_525107.1, NP_536747.2
OG0001855	XP_393876.1, XP_016770895.1	NP_001097922.1
OG0001856	XP_026298504.1	NP_650446.2
OG0001858	XP_393894.1	NP_651605.1
OG0001859	XP_001122536.1	NP_001261279.1, NP_608679.1
OG0001860	XP_006566847.1, XP_026295377.1, XP_026295376.1	NP_001286627.1
OG0001861	XP_026296639.1	NP_524274.1
OG0001862	XP_003251799.1	NP_001096954.1
OG0001863	XP_016769109.1	NP_001303452.1
OG0001864	XP_006565068.1	NP_001259978.1
OG0001865	XP_026298716.1	NP_001036440.1
OG0001866	XP_395324.2	NP_610462.3
OG0001867	XP_006561140.1	NP_651658.1
OG0001868	XP_396874.5	NP_732113.3
OG0001869	XP_003249459.1	NP_477402.1
OG0001870	XP_006562529.1, XP_016768217.1	NP_001285457.1
OG0001871	XP_393301.3	NP_572522.2
OG0001872	XP_026299612.1	NP_536773.1
OG0001873	XP_397060.3	NP_730982.1
OG0001874	XP_003250417.1	NP_477024.1
OG0001875	XP_006563722.1, XP_016772169.1	NP_511130.2
OG0001876	XP_006559138.1, XP_006559144.1	NP_001368952.1
OG0001877	XP_006558330.1, XP_006558328.1	NP_001014498.1
OG0001878	XP_026301695.1	NP_001259740.1, NP_001260348.1
OG0001879	XP_016766647.1	NP_652101.2
OG0001880	XP_026297802.1	NP_001033948.1
OG0001881	XP_003250415.1	NP_722959.1
OG0001882	XP_006568897.2, XP_026294859.1	NP_001188575.1
OG0001883	XP_006568004.1	NP_650805.1
OG0001884	XP_006565104.1	NP_001188772.1
OG0001885	XP_001121449.1	NP_001262303.1
OG0001886	XP_006567216.2	NP_001261166.1
OG0001887	XP_026295850.1, XP_026295851.1, XP_006558751.1, XP_026295849.1	NP_723772.2
OG0001888	XP_394034.5, XP_016771541.2	NP_001286416.1
OG0001889	XP_006569623.1	NP_651593.1
OG0001890	XP_016771641.1, XP_016771642.1, XP_016771643.1	NP_609530.1
OG0001891	XP_006564255.1, XP_006564252.1, XP_006564253.1	NP_476733.1
OG0001892	XP_006570318.1, XP_026296436.1	NP_001245925.1, NP_611294.1
OG0001893	XP_026299177.1	NP_477049.2
OG0001894	XP_006570163.2	NP_001137875.1
OG0001895	XP_016771683.2	NP_524651.2
OG0001896	XP_026299099.1	NP_609570.1
OG0001897	NP_001229455.1	NP_611140.3
OG0001898	XP_006561037.2	NP_001263035.1
OG0001899	XP_016770620.1	NP_724878.2
OG0001900	XP_393467.3	NP_001259735.1
OG0001901	XP_016770289.2, XP_016770290.2, XP_006566772.2	NP_651080.2
OG0001902	XP_392789.3, XP_016772305.1	NP_001286818.1
OG0001903	XP_026297341.1	NP_001285675.1
OG0001905	XP_006567964.2, XP_006567963.2, XP_003251131.2	NP_001287263.1
OG0001906	XP_006562935.2	NP_001245625.1
OG0001909	XP_016767679.1, XP_016767685.1	NP_001033913.1
OG0001910	XP_003251266.1	NP_648745.1
OG0001912	XP_016766824.1, XP_016766822.1, XP_016766821.1	NP_001286124.1
OG0001913	XP_394416.4	NP_524909.1
OG0001914	XP_026294941.1	NP_608998.2, NP_001188704.1
OG0001915	XP_003251133.1	NP_001014612.1
