Orthogroup	Apis_mellifera	Anopheles_gambiae
OG0000828	XP_026297116.1, XP_006562485.1, XP_006562486.1	XP_311410.4
OG0000829	XP_006566942.2	XP_312898.3
OG0000830	XP_001120009.1	XP_309393.2
OG0000831	XP_026294939.1	XP_310750.5, XP_319460.3
OG0000832	XP_026302189.1	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1
OG0000833	XP_016772486.2, XP_016772495.2	XP_001689140.1
OG0000835	XP_026297950.1, XP_026297948.1, XP_026297949.1	XP_319306.4
OG0000835	NP_001011635.1	XP_319473.4
OG0000838	XP_026300981.1	XP_001237627.2
OG0000840	XP_006569593.1	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4
OG0000841	XP_623802.2	XP_316016.3, XP_001688766.1, XP_319122.4, XP_319146.4, XP_311058.5
OG0000842	XP_003251099.1	XP_318601.4, XP_001689137.1, XP_001689136.1
OG0000844	XP_006571561.1, XP_623241.1, XP_006571560.1, XP_006571562.1	XP_553771.3
OG0000849	XP_006572525.1	XP_563989.1
OG0000850	XP_006562063.1	XP_317465.2
OG0000851	XP_392903.1, XP_016772903.1	XP_309827.4
OG0000852	XP_001121718.2	XP_552427.2
OG0000853	XP_016772418.2	XP_001237881.1
OG0000854	XP_026294751.1	XP_566387.4, XP_316496.3
OG0000855	XP_396451.2	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1
OG0000857	XP_016767384.1, XP_003249365.1	XP_562320.4
OG0000858	XP_006559341.1	XP_552102.3
OG0000859	XP_026300869.1, XP_016767058.2	XP_001230995.1, XP_309522.4
OG0000860	XP_001119982.2	XP_321195.5
OG0000861	XP_006569044.1	XP_315658.3
OG0000862	XP_026297323.1	XP_001238522.2, XP_001238523.2, XP_003435843.1
OG0000863	XP_026298087.1	XP_312621.4
OG0000864	XP_003251146.1, XP_016767771.1	XP_312223.5, XP_319733.4
OG0000865	XP_026296675.1	XP_315231.5
OG0000866	XP_026299926.1	XP_319528.4
OG0000867	XP_393553.4	XP_315403.4
OG0000870	XP_016768956.2, XP_396503.5	XP_320737.4
OG0000871	XP_392665.3, XP_006572373.1	XP_311516.4
OG0000872	XP_026298404.1, NP_001229485.1	XP_316840.3
OG0000873	XP_026296062.1	XP_557731.3
OG0000875	XP_391965.1	XP_308629.2
OG0000876	XP_396698.3, XP_026298349.1	XP_312228.5
OG0000877	XP_026300650.1, XP_006558564.2, XP_006558563.2, XP_006558562.2, XP_016771264.2, XP_016771262.2	XP_315841.3
OG0000878	XP_624248.3	XP_308419.4
OG0000879	XP_006571832.1, XP_396744.4	XP_001689090.1, XP_001689089.1, XP_318058.4
OG0000880	XP_016771877.1, XP_026300776.1, XP_026300778.1, XP_026300777.1	XP_315613.4, XP_314829.4, XP_001237606.1
OG0000881	XP_006572419.1, XP_006572418.1, XP_623842.1, XP_026301731.1	XP_311105.2
OG0000883	XP_396960.2	XP_313339.4, XP_003436531.1
OG0000884	XP_016772239.1	XP_307777.3
OG0000886	XP_003249660.1	XP_003436122.1, XP_312518.5
OG0000887	XP_026301763.1, XP_026301762.1, XP_026301761.1	XP_321479.1
OG0000888	XP_006572035.2, XP_006572034.2, XP_026298243.1, XP_393065.4	XP_321033.5
OG0000890	XP_016767503.1	XP_001237490.3, XP_003436386.1
OG0000892	XP_001121130.1, XP_016768214.1	XP_003436835.1, XP_313833.5
OG0000894	XP_026299447.1	XP_316113.4
OG0000895	XP_016766988.1, XP_003250368.1	XP_308934.4
OG0000896	XP_026301410.1, XP_006561103.2, XP_006561106.2	XP_320173.4, XP_318850.4
OG0000897	XP_016767761.1, XP_001120426.2	XP_001237068.2, XP_001687904.1
OG0000899	XP_026297887.1, XP_026297884.1, XP_026297885.1, XP_026297882.1, XP_026297883.1, XP_026297881.1, XP_026297888.1, XP_026297889.1, XP_026297886.1, XP_016769197.2, XP_026297890.1	XP_003436759.1, XP_313176.5
OG0000900	XP_026300048.1	XP_315331.4, XP_555956.2, XP_315333.4
OG0000901	XP_006564329.1	XP_317516.4
OG0000903	NP_001091702.1, XP_026302166.1	XP_312952.4, XP_312953.4
OG0000904	XP_026298505.1	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4
OG0000905	XP_006569681.2	XP_312929.3, XP_003436421.1
OG0000906	XP_003251651.1	XP_318613.4
OG0000906	XP_006562965.1, XP_001120664.2	XP_309041.4, XP_309040.4
OG0000908	XP_026299178.1, XP_006566265.2	XP_316672.4
OG0000909	XP_026298311.1, XP_016769009.2, XP_026298312.1	XP_318981.4
OG0000910	XP_026300526.1, XP_026300525.1	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3
OG0000911	XP_016771829.2, XP_026300700.1, XP_026300699.1	XP_001688047.1, XP_308622.4
OG0000912	NP_001139211.1, XP_006561626.1	XP_552325.3
OG0000914	NP_001229585.1, NP_001229586.1	XP_001688294.1
OG0000916	XP_624531.3	XP_319584.4
OG0000917	XP_026294924.1	XP_003436170.1
OG0000918	XP_026299654.1, XP_001120855.2	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1
OG0000919	XP_026296261.1, XP_026296262.1, XP_026296263.1	XP_308247.4
OG0000920	XP_006571525.1	XP_318629.2
OG0000921	XP_001120690.1	XP_003435754.1
OG0000922	XP_026298070.1, XP_026298072.1	XP_311884.5
OG0000923	XP_016770595.2, XP_001121441.3	XP_556301.3
OG0000924	XP_016766858.1	XP_315708.4
OG0000925	XP_001120239.3	XP_003436686.1
OG0000927	XP_006568873.1	XP_310706.3
OG0000928	XP_006569236.1	XP_563117.1, XP_003436339.1, XP_003436340.1
OG0000929	XP_624838.1	XP_565460.2
OG0000930	XP_624652.1	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1
OG0000931	XP_395665.6	XP_308215.4
OG0000931	XP_006559103.2	XP_321812.4
OG0000932	XP_623988.1, XP_006563709.1	XP_321361.5
OG0000933	NP_001153536.1, XP_006571335.2	XP_308800.3
OG0000934	XP_396204.4	XP_308788.3
OG0000935	XP_394852.2	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5
OG0000936	XP_026297445.1	XP_314147.4
OG0000937	XP_026298162.1, XP_395098.4	XP_314129.4
OG0000938	XP_006559641.1	XP_318102.2
OG0000941	XP_026298048.1, XP_026298047.1, XP_026298050.1, XP_026298049.1	XP_320660.4
OG0000942	XP_001122328.3	XP_309480.3
OG0000943	XP_006563787.1	XP_321357.4
OG0000944	XP_006563130.1, XP_395781.2	XP_313297.3
OG0000945	XP_006566272.1, XP_623982.2	XP_320578.4
OG0000946	XP_026302105.1, XP_624130.2	XP_316421.3
OG0000948	XP_026300795.1, XP_016771894.1, XP_026300793.1, XP_397065.2, XP_006558840.1	XP_309921.3
OG0000950	XP_026301918.1, XP_026301917.1	XP_319893.3
OG0000951	XP_624934.1, XP_026298165.1, XP_006559575.1	XP_310711.2
OG0000952	XP_394765.2	XP_313752.4, XP_003436823.1, XP_003436822.1
OG0000953	XP_006558825.2	XP_317950.3, XP_317944.4, XP_317948.4, XP_554872.3
OG0000955	NP_001153877.1, XP_026302152.1	XP_001238322.2, XP_561526.1, XP_320459.4
OG0000957	XP_026298056.1	XP_316912.4
OG0000958	XP_026295776.1, XP_026295777.1	XP_318029.4
OG0000959	XP_393728.4, XP_006558290.2	XP_319812.4
OG0000960	XP_026296656.1	XP_316346.4
OG0000961	XP_026298663.1, XP_026298664.1	XP_312657.5, XP_003436086.1
OG0000962	XP_016771762.1, XP_016771769.1, XP_016771755.1	XP_308166.4
OG0000963	XP_623495.1, XP_016769524.1	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1
OG0000964	XP_016773571.1, XP_006569023.1	XP_320746.4
OG0000965	XP_026298590.1, XP_026298605.1	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4
OG0000966	XP_026298567.1	XP_314043.4
OG0000967	XP_016767229.1	XP_308187.4, XP_001687862.1
OG0000968	XP_026301951.1, XP_026301953.1	XP_313931.4
OG0000970	NP_001229362.1	XP_320569.3
OG0000971	XP_396922.2	XP_001688071.1
OG0000972	XP_006566718.1, XP_006566717.1	XP_317352.3
OG0000974	XP_026301020.1	XP_001689389.2
OG0000975	XP_026296074.1, XP_026296077.1	XP_317924.4
OG0000976	XP_394641.3	XP_320253.2
OG0000977	XP_016767875.1	XP_312558.5
OG0000978	XP_026299474.1	XP_310715.5, XP_314327.3
OG0000979	XP_006557897.2, XP_026298254.1	XP_319777.4, XP_309185.5
OG0000980	XP_016768467.1	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3
OG0000981	XP_026295830.1	XP_318419.5
OG0000982	NP_001191178.1, XP_026298869.1	XP_001687830.2
OG0000983	XP_016767678.1, XP_016767677.1, XP_006567729.2	XP_311964.4
OG0000984	NP_001011581.1, XP_026300306.1	XP_552730.3
OG0000985	XP_016769986.1	XP_315127.2
OG0000986	XP_394552.4, XP_026296514.1	XP_313139.4
OG0000987	XP_026295593.1, XP_026295592.1, XP_026295594.1, XP_006561189.1	XP_320264.4
OG0000988	XP_006571686.1, NP_001032395.1	XP_024667085.1, XP_309588.5, XP_003436692.1
OG0000989	XP_006560434.2, XP_006560423.2	XP_321415.5, XP_003435899.1
OG0000990	XP_006568558.1, NP_001137393.1	XP_321555.1
OG0000992	XP_006559391.1, XP_006559390.1, XP_016771285.1	XP_309992.2
OG0000993	XP_006568212.1, NP_001011630.1	XP_003436444.1, XP_003436445.1
OG0000994	XP_026294802.1, XP_006564300.1	XP_309631.5
OG0000995	XP_397047.2	XP_308821.4, XP_001688099.1
OG0000996	XP_624111.1	XP_314487.3
OG0000997	XP_026296339.1	XP_315616.4
OG0000998	XP_624692.2	XP_311299.1, XP_316865.2, XP_003437127.1
OG0000999	XP_016769017.1, XP_016769016.1	XP_317398.3, XP_001237925.1
OG0001000	XP_001120471.1	XP_003436472.1, XP_311698.5
OG0001001	XP_026295826.1	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1
OG0001002	XP_016772103.2	XP_552293.2, XP_319645.4
OG0001003	XP_026298974.1, XP_016769951.1	XP_314318.4
OG0001004	XP_006566109.1	XP_308942.4
OG0001005	XP_395732.3	XP_321274.5
OG0001006	XP_396203.4	XP_003436707.1, XP_309629.5
OG0001007	XP_006564882.2, XP_003250536.2	XP_001688444.2
OG0001008	XP_026299500.1	XP_310585.4, XP_310530.3
OG0001009	XP_016769432.1	XP_310493.5
OG0001009	XP_026299890.1	XP_317322.4
OG0001010	XP_026301943.1	XP_310232.4
OG0001011	XP_016769245.2	XP_314123.4
OG0001013	XP_624234.2	XP_314060.4
OG0001014	XP_006565985.1, XP_006565984.1, XP_016766390.1	XP_312817.4
OG0001015	XP_006565528.1	XP_313115.4, XP_308884.2
OG0001016	XP_026301237.1, XP_624301.1	XP_563695.1
OG0001017	XP_016770770.1, XP_396993.3	XP_311055.5
OG0001018	XP_006570932.1, NP_001091704.1	XP_001688381.1
OG0001018	NP_001035352.2	XP_313804.3
OG0001019	XP_026299519.1	XP_316696.4
OG0001020	XP_026295498.1	XP_314731.4
OG0001021	XP_026299817.1, XP_026299818.1, XP_026299819.1, XP_026299820.1, XP_026299821.1	XP_309024.3
OG0001022	XP_026298033.1	XP_003436590.1, XP_310271.7
OG0001023	XP_026299760.1	XP_313173.5
OG0001025	XP_016769853.2	XP_314283.5
OG0001026	XP_026298299.1	XP_003436567.1, XP_313472.4
OG0001027	XP_006567883.1, XP_006567884.1	XP_309944.3
OG0001028	NP_001229442.1, XP_625073.3	XP_311527.2
OG0001030	XP_026300920.1	XP_309545.3
OG0001031	XP_006571173.2, XP_006571172.2	XP_315208.4
OG0001032	NP_001011654.1, XP_026300344.1, NP_001011653.2, XP_026299327.1	XP_310000.4
OG0001033	XP_006568643.1	XP_310453.2
OG0001034	XP_006562221.1, XP_026296555.1	XP_310276.4
OG0001035	XP_026297968.1	XP_321735.4
OG0001036	XP_001122961.3, XP_001121190.3	XP_319657.4
OG0001037	XP_393500.1, XP_003249222.1	XP_315158.3
OG0001038	XP_003251510.1, XP_006570286.1, XP_016767749.1	XP_319690.4
OG0001039	XP_006562044.3	XP_310813.5
OG0001040	XP_016766860.1	XP_311818.2
OG0001041	XP_394621.2	XP_310153.4
OG0001042	XP_016766332.1, XP_006569002.1, XP_006569001.1	XP_308531.3
OG0001043	XP_026297480.1, XP_026297477.1	XP_308245.4
OG0001044	XP_006563732.1	XP_315822.5
OG0001045	XP_006559862.1, XP_006559864.1, XP_016768657.1	XP_310646.5
OG0001046	XP_016770996.2, XP_016770997.2	XP_312227.5
OG0001048	XP_026300610.1, XP_026300611.1	XP_308398.3
OG0001049	XP_624798.3, XP_016769663.1, XP_026298576.1	XP_001687845.1, XP_001687846.1, XP_308153.4
OG0001050	NP_001073579.1, XP_006564382.1	XP_320316.4
OG0001052	XP_006572082.1	XP_310662.5
OG0001053	XP_026298412.1, NP_001014994.1, XP_006558427.2	XP_001687881.1, XP_308279.2
OG0001054	XP_006557792.2, XP_016772603.2, XP_026301494.1	XP_314840.4
OG0001055	XP_016771409.1, XP_006560471.1, XP_393921.4	XP_311983.4
OG0001056	XP_392256.2	XP_308553.4, XP_001687984.1, XP_001687985.1
OG0001057	XP_003251106.1	XP_309938.3
OG0001058	XP_006559288.1	XP_311505.1
OG0001059	XP_026302246.1, XP_026298512.1, XP_026298511.1	XP_003435972.1, XP_321126.5
OG0001061	XP_006566068.1	XP_315958.4, XP_001688754.1
OG0001063	XP_026301341.1, XP_026297188.1, XP_026297187.1	XP_312857.5
OG0001064	XP_006567342.1, XP_006567343.1	XP_564324.1, XP_310275.7
OG0001065	XP_016772709.1, XP_006571870.1	XP_313928.3
OG0001066	XP_006566719.1	XP_001238515.3, XP_308515.4
OG0001067	XP_006570391.1, XP_016770284.1	XP_001688943.1, XP_557321.3
OG0001068	XP_026295232.1	XP_001237855.2, XP_316699.4, XP_001688951.1
OG0001069	XP_003249139.1	XP_312834.5
OG0001070	NP_001314876.1	XP_317977.5, XP_318025.4, XP_318028.4
OG0001071	NP_001139209.1, XP_006561618.1	XP_312799.5
OG0001072	XP_006560468.1, XP_006560463.2	XP_550917.4
OG0001073	XP_001122039.4, XP_003249924.2	XP_311915.3
OG0001074	XP_026295412.1, XP_006560957.3	XP_307839.4
OG0001076	XP_026299125.1	XP_313348.4
OG0001077	XP_001123319.2, XP_006565335.1	XP_319424.2, XP_319425.2
OG0001078	XP_624526.2	XP_320176.3, XP_320177.4
OG0001079	XP_394551.1	XP_320339.4
OG0001081	XP_003249661.2	XP_308790.4
OG0001082	XP_006571217.1, XP_397334.3, XP_016773438.1	XP_315574.3, XP_001237683.2
OG0001083	XP_016773335.2, XP_016773334.2	XP_314359.3, XP_001688566.1
OG0001084	XP_026300923.1	XP_556553.2
OG0001085	XP_026296504.1	XP_317314.3
OG0001086	XP_006567234.1, XP_006567236.1	XP_001689067.1, XP_001238005.1, XP_317929.3
OG0001090	XP_396588.2	XP_315009.3
OG0001091	NP_001164445.1, XP_016767976.1	XP_003436096.1, XP_312603.5, XP_319738.2
OG0001092	XP_006561609.1, NP_001011634.1	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1
OG0001093	XP_394840.2	XP_319293.4
OG0001094	XP_006571453.2	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5
OG0001095	XP_392758.2	XP_314827.2
OG0001097	XP_393678.2, XP_006566141.1, XP_006566142.1	XP_317307.4
OG0001098	XP_026300052.1, XP_026300053.1	XP_321240.5
OG0001099	XP_006571049.1	XP_310965.5
OG0001100	XP_001122230.1	XP_314568.3
OG0001101	XP_395328.3	XP_001688400.2, XP_312658.5
OG0001102	NP_001229398.1, XP_026295758.1	XP_311181.2, XP_312618.2
OG0001103	NP_001091636.1, NP_001011626.2	XP_553744.3
OG0001104	XP_006570306.1, XP_026296437.1, XP_016767854.1	XP_308660.3
OG0001105	XP_394313.1	XP_310975.1, XP_566239.1, XP_319078.2
OG0001106	XP_003251085.1	XP_320183.2
OG0001107	XP_006564735.1	XP_314706.4
OG0001108	XP_392498.1	XP_311208.4
OG0001109	XP_006559508.1	XP_321850.3
OG0001110	XP_026299374.1	XP_560496.3, XP_320439.4
OG0001111	XP_006571180.1	XP_321349.4
OG0001112	XP_006568443.2, NP_001106142.2	XP_318149.4
OG0001113	XP_625126.3	XP_307774.3
OG0001114	XP_006559286.2	XP_318236.4
OG0001115	XP_006564576.1, XP_001122245.1	XP_320996.5
OG0001116	XP_016769189.1, XP_006569851.1, XP_006569852.1	XP_310850.4
OG0001117	XP_026298997.1	XP_312919.4
OG0001118	XP_393072.2	XP_322006.1
OG0001119	XP_396585.2	XP_003437115.1, XP_316802.5
OG0001120	XP_016770688.2	XP_318732.4
OG0001120	XP_006557512.1	XP_315358.4
OG0001121	XP_026302064.1, XP_016773223.2	XP_320248.4
OG0001122	XP_026294846.1	XP_320362.4
OG0001123	XP_026301258.1	XP_313330.5
OG0001124	XP_006562958.1	XP_312370.5
OG0001126	XP_006559675.1	XP_312385.5
OG0001127	XP_006570095.2	XP_003437008.1
OG0001128	XP_006569466.2	XP_313287.4
OG0001129	XP_396640.4	XP_308038.5, XP_003436041.1, XP_308996.3
OG0001130	XP_006557887.1	XP_318345.4
OG0001132	XP_006569397.1, XP_624593.1	XP_320484.2
OG0001133	XP_016768434.2	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4
OG0001134	XP_016771230.1, XP_026300477.1, XP_006559375.2	XP_319097.3
OG0001135	XP_006571652.2	XP_308076.3, XP_311350.2
OG0001137	XP_026295441.1	XP_024667094.1, XP_306688.4, XP_319223.4
OG0001138	XP_006566401.1	XP_320011.4
OG0001139	XP_026301211.1	XP_307945.5
OG0001140	XP_393160.1, XP_006567190.1, XP_006567191.1	XP_317273.3
OG0001141	XP_006563759.1	XP_318646.4
OG0001142	XP_016772413.1, XP_026301646.1	XP_311392.4
OG0001143	XP_395253.2	XP_557018.3
OG0001144	XP_394084.6	XP_307534.2, XP_313797.5
OG0001145	XP_396237.5	XP_308148.3
OG0001146	XP_006571967.1	XP_308872.2
OG0001147	XP_006562602.1, XP_006562601.1	XP_310582.2
OG0001148	XP_026299849.1	XP_314234.2
OG0001149	XP_006566733.2	XP_308972.4
OG0001150	XP_393050.2	XP_315411.4
OG0001151	XP_026299394.1, XP_016770657.1	XP_312460.5
OG0001152	XP_026299206.1	XP_310362.7
OG0001153	XP_026296179.1, XP_016767064.1	XP_553211.3
OG0001154	XP_006558313.1	XP_311713.5, XP_003436477.1
OG0001155	XP_394362.2, XP_026302250.1	XP_310967.5
OG0001156	XP_016770011.2	XP_003436005.1, XP_321037.5
OG0001157	XP_006571672.1, XP_006571671.1, XP_394261.3	XP_311092.3
OG0001158	XP_006568640.1	XP_315369.4
OG0001159	XP_393754.2, XP_016770687.1	XP_552266.3
OG0001160	XP_016767529.2	XP_553588.1
OG0001161	XP_006560282.1, XP_623371.1	XP_312237.4
OG0001161	XP_006560283.2	XP_321654.3
OG0001165	XP_006564520.1, XP_016769827.2	XP_321402.5, XP_003435904.1
OG0001166	NP_001171496.1	XP_003437030.1, XP_310514.3, XP_001237264.1
OG0001167	XP_006570996.1, XP_006570997.1	XP_316568.4
OG0001168	NP_001229399.1, NP_001011566.1	XP_318706.4
OG0001169	XP_394044.2, XP_006565704.1	XP_317457.4
OG0001171	XP_016769313.1, XP_016769308.1	XP_310580.4, XP_003437016.1
OG0001173	XP_393202.4	XP_003436462.1
OG0001174	XP_006566977.1	XP_313500.1
OG0001175	XP_006559056.1	XP_316052.4
OG0001176	XP_006564297.1	XP_309066.4
OG0001178	XP_006569017.1, XP_006569018.1, XP_003251296.1	XP_320745.4
OG0001179	XP_006562919.1, XP_006562920.1, XP_006562921.1, XP_393004.3	XP_318508.4
OG0001180	XP_016766672.2, XP_016766674.2	XP_312107.4, XP_003436250.1
OG0001181	XP_001121169.2	XP_310584.5
OG0001182	XP_016770554.2, XP_026299860.1, XP_016770549.2	XP_320209.4
OG0001183	XP_006560979.1, XP_016766593.1	XP_001237762.2
OG0001184	XP_016769415.2, XP_006558414.2	XP_003436481.1, XP_558879.4, XP_003436480.1
OG0001185	XP_026300118.1	XP_317794.3, XP_557418.3, XP_309856.4, XP_554727.1
OG0001186	XP_003250487.1, XP_006564675.1, XP_006564676.1	XP_001237242.1
OG0001187	XP_006559596.1, XP_006559595.1, XP_395581.4, XP_016769158.1, XP_016769162.1, XP_016769161.1, XP_016769160.1, XP_016769159.1	XP_001230352.1, XP_321322.5
OG0001189	XP_006563026.1, XP_026300936.1	XP_556172.2
OG0001190	XP_026295013.1	XP_314805.4
OG0001191	XP_006563495.1, XP_006563494.1	XP_559733.2, XP_309365.2
OG0001193	XP_394484.1	XP_320433.1
OG0001195	XP_006562818.1, XP_006562819.1, XP_623089.2	XP_319946.4
OG0001197	XP_026299557.1, NP_001265267.1	XP_311347.4
OG0001198	XP_394229.2	XP_317373.3
OG0001199	XP_026299730.1, XP_001122178.2	XP_315370.3, XP_001688648.1
OG0001202	XP_624691.1	XP_320320.4, XP_320321.3
OG0001203	XP_026296668.1, XP_026301907.1	XP_308917.3, XP_313576.4
OG0001204	XP_026298970.1, XP_026298971.1	XP_556259.3
OG0001205	XP_395193.1, XP_006567401.1	XP_310915.3
OG0001207	XP_016771021.1, XP_016771020.1	XP_320895.4, XP_320898.4
OG0001208	XP_006565631.1	XP_563571.4
OG0001214	XP_006562468.1	XP_003437198.1, XP_003437199.1, XP_003437197.1, XP_318298.5, XP_003437202.1, XP_003437203.1, XP_003437201.1, XP_003437200.1
OG0001215	XP_393437.3	XP_315584.3
OG0001216	XP_006568665.1	XP_319631.4
OG0001217	XP_016772439.2	XP_001237272.3
OG0001218	XP_006569578.2, XP_394630.3	XP_311542.4
OG0001219	XP_397127.5	XP_321594.5
OG0001220	XP_026301533.1	XP_317914.3, XP_320417.3
OG0001221	XP_624977.1	XP_313849.2
OG0001222	XP_625228.3	XP_321456.5, XP_003435893.1
OG0001223	XP_026300888.1, XP_394882.2	XP_311768.3
OG0001224	XP_392390.1	XP_315115.4
OG0001225	XP_006563839.1	XP_003437152.1, XP_309141.2, XP_001688166.1
OG0001226	XP_026298822.1, XP_001120016.1	XP_557147.3
OG0001227	XP_625137.3	XP_308208.3, XP_308302.4
OG0001228	XP_016772279.1	XP_308185.4
OG0001229	XP_006558672.1	XP_321154.5, XP_561425.4
OG0001230	XP_006570299.1, XP_006570300.1	XP_306740.3, XP_555129.1
OG0001231	XP_016771299.2	XP_316842.5
OG0001232	XP_026299027.1, XP_016772926.2	XP_317470.4
OG0001233	XP_394419.2	XP_564861.2, XP_309343.4
OG0001234	XP_016771367.2	XP_318427.5
OG0001236	XP_026296373.1	XP_308646.4
OG0001237	XP_391881.4	XP_316118.4, XP_001688780.1, XP_001688779.1
OG0001238	XP_026297900.1, XP_026297892.1	XP_311357.4
OG0001239	XP_395451.4	XP_307938.5
OG0001240	XP_006566518.1, XP_016770274.1, XP_006566519.1	XP_318582.3
OG0001241	XP_006564444.2, XP_006564443.2	XP_320914.4
OG0001242	XP_394201.3	XP_308221.4
OG0001244	XP_392845.4	XP_001689367.1
OG0001245	XP_001121323.1	XP_321648.3
OG0001246	XP_396918.4, XP_006570952.1	XP_310077.4
OG0001247	XP_016769849.1	XP_321174.5
OG0001248	XP_003249075.1	XP_310021.4
OG0001249	XP_006568191.1	XP_320124.6, XP_312729.4
OG0001250	XP_006558929.1, XP_006558930.1	XP_003436645.1, XP_308104.5
OG0001251	XP_026295937.1, XP_006562717.2	XP_310489.5, XP_001688288.2
OG0001252	XP_016772258.2	XP_310427.5
OG0001253	XP_016770711.2	XP_308343.4
OG0001254	XP_006558444.1, XP_006558445.1, XP_006558446.1, XP_006558447.1, XP_623442.2	XP_320968.4
OG0001255	XP_026297873.1	XP_564170.3
OG0001256	XP_392405.3, XP_003251576.1	XP_560153.3, XP_003437143.1
OG0001257	XP_026301321.1	XP_562833.3, XP_003436381.1, XP_562831.2, XP_003436380.1
OG0001258	XP_016768607.2, NP_001164477.1	XP_310177.3
OG0001259	XP_006561326.1	XP_311427.4
OG0001260	XP_006559095.2, XP_016772351.2	XP_308216.2
OG0001261	XP_026298661.1, XP_006567398.1	XP_320145.3
OG0001262	XP_006572321.1, XP_006572322.1	XP_312902.5, XP_001237504.2
OG0001263	XP_395392.3	XP_318757.4
OG0001264	XP_392534.3	XP_317955.4
OG0001267	XP_394714.3	XP_314507.4
OG0001268	XP_003249388.1	XP_310216.4, XP_310215.4
OG0001269	XP_006559065.1, XP_006559062.1	XP_309316.4
OG0001270	XP_001121503.2	XP_307773.4
OG0001271	XP_026300954.1	XP_312449.4
OG0001272	NP_001035321.1, XP_026297805.1	XP_316157.2
OG0001273	XP_026296398.1, XP_006570301.2	XP_310979.5
OG0001274	XP_001122827.2	XP_312084.5
OG0001277	XP_026295295.1, XP_026295296.1, XP_016773012.1	XP_552532.3
OG0001278	XP_392893.3	XP_321063.5
OG0001279	XP_026295958.1, XP_026295957.1, XP_026295951.1, XP_026295950.1, XP_026295956.1	XP_311100.5
OG0001280	XP_026300549.1	XP_319604.4
OG0001281	XP_016769581.1, XP_016769580.1, XP_016769585.1	XP_001237136.2, XP_003435739.1
OG0001282	XP_006564543.1	XP_001688070.1
OG0001283	XP_006568427.1, XP_016768751.1	XP_313998.3
OG0001284	XP_394429.4	XP_001689151.1, XP_001689162.1
OG0001286	XP_026300876.1, XP_026300874.1, XP_026300875.1, XP_026300873.1	XP_318853.2
OG0001287	XP_026302119.1	XP_551001.4
OG0001288	NP_001035353.1	XP_310977.5
OG0001289	XP_001120054.2	XP_003437137.1, XP_309110.3
OG0001290	XP_026301145.1	XP_311436.4
OG0001291	XP_006565323.1, XP_623775.3	XP_313145.5
OG0001292	XP_625028.1	XP_308278.3
OG0001293	XP_001119898.1	XP_311898.4
OG0001294	XP_394095.3	XP_321341.3
OG0001295	XP_026298643.1	XP_314005.4, XP_001688503.1, XP_001688504.1
OG0001296	XP_016772462.1	XP_564508.3, XP_001687851.1, XP_001687850.1
OG0001298	XP_392800.3	XP_308149.4
OG0001300	XP_026300271.1, XP_026300270.1	XP_314929.3
OG0001301	XP_026298240.1, XP_026298239.1	XP_310852.4
OG0001302	XP_026301923.1	XP_310129.4
OG0001303	XP_016766222.1, XP_016766225.1	XP_320455.4
OG0001304	XP_006563576.1, XP_026301131.1	XP_001237568.1
OG0001305	XP_026297620.1	XP_308312.4, XP_001687892.1, XP_308314.4
OG0001306	XP_006566054.1	XP_318367.5, XP_003436659.1, XP_003436658.1
OG0001307	XP_026296701.1	XP_001237138.3
OG0001308	XP_026301522.1	XP_565909.3
OG0001310	XP_006571955.1, XP_001122617.2	XP_310388.3
OG0001312	XP_006569762.1	XP_317732.2
OG0001314	XP_006561423.1	XP_316418.4
OG0001315	XP_006562371.1, XP_016771801.1	XP_001688741.1, XP_315896.4
OG0001316	XP_016773414.1, XP_006571183.1	XP_308707.4
OG0001317	XP_026301772.1, XP_026301780.1	XP_316638.4
OG0001318	XP_006561870.1, XP_623659.3	XP_319761.3
OG0001320	XP_001120442.2	XP_320705.4
OG0001322	XP_001120452.2	XP_313611.5, XP_003436787.1
OG0001328	XP_026298928.1, XP_006566140.1	XP_321026.4
OG0001329	XP_026297740.1, XP_392793.4, XP_006568388.1, XP_006568387.1	XP_308396.4
OG0001330	XP_006569373.1	XP_320278.2
OG0001331	XP_392843.1	XP_310307.5, XP_003436600.1
OG0001332	XP_391934.3	XP_308202.3
OG0001333	XP_006561728.1, XP_006561729.1	XP_312171.3
OG0001334	XP_026298647.1, NP_001071291.1	XP_555006.1, XP_001238801.1
