Orthogroup	Apis_mellifera	Bombus_terrestris
OG0001127	XP_006570099.2	XP_020719282.1
OG0001127	XP_006570095.2	XP_003396375.1
OG0001128	XP_006569466.2	XP_012165573.1
OG0001129	XP_396640.4	XP_003395954.1, XP_012164551.1
OG0001130	XP_006557887.1	XP_020721883.1, XP_003400316.2, XP_012170922.1, XP_012170921.1, XP_020721882.1
OG0001132	XP_006569397.1, XP_624593.1	XP_003394768.1
OG0001134	XP_006559375.2	XP_003400253.1
OG0001135	XP_006571652.2	XP_003393299.1
OG0001136	XP_006559354.2, XP_003249471.2, XP_006559350.2, XP_006559353.2, XP_006559352.2, XP_006559351.2	XP_003400547.1
OG0001137	XP_026295441.1	XP_020724122.1
OG0001138	XP_006566401.1	XP_012169017.1, XP_003398913.1
OG0001139	XP_026301211.1	XP_020722729.1
OG0001140	XP_393160.1, XP_006567190.1, XP_006567191.1	XP_003402479.1, XP_012174082.1
OG0001141	XP_006563759.1	XP_012169554.1, XP_012169555.1
OG0001142	XP_016772413.1, XP_026301646.1	XP_003400015.1
OG0001143	XP_395253.2	XP_003398491.1
OG0001144	XP_394084.6	XP_003401087.1
OG0001145	XP_396237.5	XP_003397437.1, XP_012166925.1
OG0001146	XP_006571967.1	XP_020718965.1
OG0001147	XP_006562602.1, XP_006562601.1	XP_003394869.1, XP_003394870.1
OG0001148	XP_026299849.1	XP_012169181.1, XP_020720975.1
OG0001149	XP_006566733.2	XP_012169249.1
OG0001150	XP_393050.2	XP_003395168.1
OG0001151	XP_026299394.1, XP_016770657.1	XP_003398933.2
OG0001152	XP_026299206.1	XP_020720795.1
OG0001153	XP_026296179.1	XP_020718572.1
OG0001153	XP_016767064.1	XP_020718573.1
OG0001154	XP_006558313.1	XP_020722631.1
OG0001155	XP_394362.2, XP_026302250.1	XP_003393745.1
OG0001156	XP_016770011.2	XP_003398458.1, XP_012168191.1
OG0001157	XP_006571672.1, XP_006571671.1, XP_394261.3	XP_012167432.1, XP_003393317.1
OG0001158	XP_006568640.1	XP_012165204.1
OG0001159	XP_393754.2, XP_016770687.1	XP_012168627.1
OG0001160	XP_016767529.2	XP_003394748.1
OG0001161	XP_006560282.1, XP_623371.1	XP_012171801.1
OG0001162	XP_006562183.2, XP_026296456.1	XP_020718634.1
OG0001163	XP_394764.3	XP_020723064.1
OG0001164	XP_392630.2	XP_012168461.1
OG0001165	XP_006564520.1, XP_016769827.2	XP_020720601.1
OG0001166	NP_001171496.1	XP_003397967.1
OG0001167	XP_006570996.1, XP_006570997.1	XP_003402307.1
OG0001168	NP_001229399.1, NP_001011566.1	NP_001267850.1
OG0001169	XP_394044.2, XP_006565704.1	XP_020722015.1, XP_020722014.1, XP_020722016.1, XP_020722017.1
OG0001170	XP_026296689.1	XP_003395867.1
OG0001171	XP_016769313.1	XP_020718338.1
OG0001173	XP_393202.4	XP_003393427.1
OG0001174	XP_006566977.1	XP_003399965.1
OG0001175	XP_006559056.1	XP_012165146.1, XP_012165144.1, XP_012165145.1, XP_003396469.1
OG0001176	XP_006564297.1	XP_003394064.1, XP_012175787.1, XP_012175784.1, XP_012175783.1
OG0001179	XP_006562919.1, XP_006562920.1, XP_006562921.1, XP_393004.3	XP_003398477.1
OG0001180	XP_016766672.2, XP_016766674.2	XP_003399205.2, XP_012174888.2
OG0001181	XP_001121169.2	XP_003395966.1, XP_012164569.1
OG0001182	XP_016770554.2, XP_026299860.1, XP_016770549.2	XP_020721072.1
OG0001183	XP_006560979.1, XP_016766593.1	XP_020724335.1
OG0001184	XP_006558414.2	XP_012167180.1
OG0001185	XP_026300118.1	XP_012170652.1
OG0001186	XP_003250487.1, XP_006564675.1, XP_006564676.1	XP_012173098.1
OG0001187	XP_006559596.1, XP_006559595.1, XP_395581.4, XP_016769158.1, XP_016769162.1, XP_016769161.1, XP_016769160.1, XP_016769159.1	XP_012173234.1
OG0001188	XP_006567818.1	XP_020723109.1
OG0001189	XP_006563026.1, XP_026300936.1	XP_012171412.1, XP_012171409.1, XP_012171410.1, XP_003400540.1, XP_020722154.1, XP_012171411.1
OG0001190	XP_026295013.1	XP_020723233.1
OG0001191	XP_006563495.1	XP_020722600.1
OG0001191	XP_006563494.1	XP_012172269.2
OG0001192	XP_001120449.2	XP_012173522.1
OG0001193	XP_394484.1	XP_003402502.1
OG0001195	XP_006562818.1, XP_006562819.1, XP_623089.2	XP_012174482.1, XP_012174483.1, XP_012174481.1
OG0001197	XP_026299557.1, NP_001265267.1	XP_020724376.1
OG0001198	XP_394229.2	XP_003402790.1
OG0001199	XP_026299730.1, XP_001122178.2	XP_003396494.1
OG0001201	XP_006560866.2, XP_006560865.2	XP_020721739.1, XP_020721740.1, XP_012170426.1, XP_012170425.1
OG0001202	XP_624691.1	XP_012168814.1, XP_012168813.1, XP_003398853.1
OG0001203	XP_026296668.1	XP_020723108.1
OG0001203	XP_026301907.1	XP_020719109.1
OG0001204	XP_026298970.1, XP_026298971.1	XP_003398523.1, XP_012168266.1
OG0001205	XP_395193.1	XP_003401272.1
OG0001205	XP_006567401.1	XP_003397505.1
OG0001206	XP_392452.2	XP_020719584.1, XP_020719583.1
OG0001207	XP_016771021.1, XP_016771020.1	XP_003399469.1
OG0001208	XP_006565631.1	XP_003395596.2
OG0001209	XP_006562487.1	XP_012164791.1, XP_003396167.1
OG0001210	XP_006557363.2	XP_012166672.1
OG0001211	XP_006557488.1	XP_020719375.1
OG0001212	XP_026295914.1, XP_016772842.1, XP_016772841.1, XP_016772846.1, XP_026295907.1, XP_026295911.1	XP_012169540.2
OG0001214	XP_006562468.1	XP_012168850.1
OG0001215	XP_393437.3	XP_012171568.1, XP_012171569.1, XP_012171570.1
OG0001216	XP_006568665.1	XP_003396598.1
OG0001217	XP_016772439.2	XP_003402161.1, XP_003402162.1
OG0001218	XP_006569578.2, XP_394630.3	XP_012164863.1
OG0001219	XP_397127.5	XP_003402120.1
OG0001220	XP_026301533.1	XP_003402131.1
OG0001222	XP_625228.3	XP_003401278.1, XP_003401279.1
OG0001223	XP_026300888.1, XP_394882.2	XP_012174455.1, XP_003402784.1
OG0001224	XP_392390.1	XP_020721593.1, XP_012170026.1
OG0001225	XP_006563839.1	XP_003403096.1, XP_020723797.1
OG0001226	XP_026298822.1, XP_001120016.1	XP_020720148.1
OG0001227	XP_625137.3	XP_012176665.1, XP_012176666.1
OG0001228	XP_016772279.1	XP_020722496.1, XP_020722497.1
OG0001229	XP_006558672.1	XP_012169549.1, XP_012169550.1, XP_012169548.1
OG0001230	XP_006570299.1, XP_006570300.1	XP_012164091.1, XP_012164092.1
OG0001231	XP_016771299.2	XP_012170761.1
OG0001232	XP_026299027.1, XP_016772926.2	XP_003396337.1
OG0001233	XP_394419.2	XP_003394250.1, XP_012176077.1, XP_012176078.1, XP_012176080.1, XP_020724133.1, XP_012176076.1
OG0001234	XP_016771367.2	XP_003400135.1
OG0001236	XP_026296373.1	XP_003395337.1
OG0001237	XP_391881.4	XP_003398676.1
OG0001238	XP_026297900.1	XP_012175031.1
OG0001238	XP_026297892.1	XP_012175018.1
OG0001239	XP_395451.4	XP_020721287.1, XP_012169630.1, XP_012169631.1, XP_003399301.1
OG0001240	XP_016770274.1	XP_012169673.1, XP_012169675.1, XP_012169674.1, XP_003399332.1
OG0001240	XP_006566519.1	XP_012169676.1
OG0001241	XP_006564444.2, XP_006564443.2	XP_012169133.1, XP_003398975.2
OG0001242	XP_394201.3	XP_003396294.1
OG0001243	XP_001120576.2, XP_006566695.1	XP_020721130.1, XP_012169208.1, XP_012169207.1, XP_020721129.1
OG0001244	XP_392845.4	XP_003399056.1
OG0001245	XP_001121323.1	XP_003397683.1
OG0001246	XP_396918.4, XP_006570952.1	XP_003402511.2, XP_020718493.1, XP_020718491.1, XP_020718492.1
OG0001247	XP_016769849.1	XP_003398289.1
OG0001248	XP_003249075.1	XP_020723117.1, XP_003401940.1, XP_020723118.1, XP_012173421.1, XP_020723119.1
OG0001249	XP_006568191.1	XP_003396741.1, XP_012165841.1
OG0001250	XP_006558929.1, XP_006558930.1	XP_012175005.1
OG0001251	XP_026295937.1	XP_012174298.2
OG0001251	XP_006562717.2	XP_020718432.1
OG0001252	XP_016772258.2	XP_003401321.1
OG0001253	XP_016770711.2	XP_003398957.1
OG0001254	XP_006558444.1, XP_006558445.1, XP_006558446.1, XP_006558447.1, XP_623442.2	XP_003394275.1
OG0001255	XP_026297873.1	XP_003393279.1
OG0001256	XP_392405.3	XP_003402977.1
OG0001256	XP_003251576.1	XP_003402976.1
OG0001257	XP_026301321.1	XP_003402810.1
OG0001258	NP_001164477.1	XP_012174118.1
OG0001259	XP_006561326.1	XP_012175312.1, XP_012175313.1
OG0001260	XP_006559095.2	XP_003401488.1
OG0001261	XP_026298661.1, XP_006567398.1	XP_012167039.1
OG0001262	XP_006572321.1, XP_006572322.1	XP_012173881.1, XP_020723284.1
OG0001263	XP_395392.3	XP_012167104.1
OG0001264	XP_392534.3	XP_012167378.1
OG0001266	XP_006572356.1	XP_020723869.1, XP_003403275.1, XP_012175272.1
OG0001267	XP_394714.3	XP_012173255.1
OG0001268	XP_003249388.1	XP_003400504.1
OG0001269	XP_006559065.1, XP_006559062.1	XP_020719704.1, XP_020719701.1
OG0001270	XP_001121503.2	XP_003398248.1
OG0001271	XP_026300954.1	XP_012171915.1
OG0001272	XP_026297805.1	XP_003397363.1
OG0001273	XP_026296398.1, XP_006570301.2	XP_012164085.1
OG0001274	XP_001122827.2	XP_012164035.1
OG0001277	XP_026295295.1, XP_026295296.1, XP_016773012.1	XP_003402819.1
OG0001278	XP_392893.3	XP_012172501.1
OG0001279	XP_026295958.1, XP_026295957.1, XP_026295951.1, XP_026295950.1, XP_026295956.1	XP_012163562.1
OG0001280	XP_026300549.1	XP_020721905.1, XP_020721906.1, XP_012170836.1, XP_012170837.1, XP_012170834.1, XP_020721904.1
OG0001281	XP_016769580.1	XP_012167578.1
OG0001282	XP_006564543.1	XP_020720629.1
OG0001283	XP_006568427.1, XP_016768751.1	XP_020719249.1, XP_020719246.1, XP_020719247.1, XP_020719248.1
OG0001284	XP_394429.4	XP_020724339.1, XP_020724338.1
OG0001286	XP_026300876.1, XP_026300874.1, XP_026300875.1, XP_026300873.1	XP_020722304.1, XP_003400539.1, XP_012171443.1
OG0001287	XP_026302119.1	XP_012169150.1, XP_012169188.1, XP_012169155.1
OG0001288	NP_001035353.1	XP_003400433.1
OG0001289	XP_001120054.2	XP_003397119.1
OG0001290	XP_026301145.1	XP_020722575.1, XP_020722573.1, XP_012172537.1, XP_020722574.1, XP_012172530.1, XP_012172528.1
OG0001291	XP_006565323.1, XP_623775.3	XP_003399823.1
OG0001292	XP_625028.1	XP_003400968.1
OG0001293	XP_001119898.1	XP_003398070.1, XP_020720574.1, XP_020720575.1, XP_020720573.1
OG0001294	XP_394095.3	XP_020722687.1, XP_012172280.1, XP_012172281.1, XP_003401144.1
OG0001295	XP_026298643.1	XP_012167568.1
OG0001296	XP_026301584.1	XP_020723153.1, XP_020723149.1
OG0001296	XP_016772462.1	XP_012173745.1, XP_012173736.1
OG0001298	XP_392800.3	XP_003397436.1
OG0001300	XP_026300271.1, XP_026300270.1	XP_003399532.1
OG0001301	XP_026298240.1, XP_026298239.1	XP_012167003.1, XP_012167004.1, XP_012167001.1, XP_003397488.1
OG0001302	XP_026301923.1	XP_020719262.1
OG0001302	XP_026301920.1	XP_020724310.1, XP_020719275.1, XP_020719270.1
OG0001303	XP_016766222.1, XP_016766225.1	XP_020723753.1, XP_020723764.1
OG0001304	XP_006563576.1, XP_026301131.1	XP_012172183.1, XP_012172182.1
OG0001306	XP_006566054.1	XP_012167990.1
OG0001307	XP_026296701.1	XP_020723092.1, XP_012173499.1
OG0001308	XP_026301522.1	XP_003403395.1
OG0001310	XP_006571955.1, XP_001122617.2	XP_012164424.1, XP_003395288.1, XP_003395287.1
OG0001312	XP_006569762.1	XP_012173172.1, XP_012173171.1
OG0001313	XP_393558.1	XP_003396203.1
OG0001314	XP_006561423.1	XP_012173675.1
OG0001315	XP_006562371.1, XP_016771801.1	XP_003393383.1, XP_003393384.1
OG0001316	XP_016773414.1, XP_006571183.1	XP_020719664.1, XP_003393487.1
OG0001317	XP_026301195.1	XP_012172290.2
OG0001317	XP_026301772.1, XP_026301780.1	XP_012163614.1
OG0001318	XP_006561870.1, XP_623659.3	XP_012167356.1
OG0001319	XP_026295883.1, XP_016767420.2, XP_016767421.2, XP_001120680.3, XP_006567363.2, XP_006567362.2, XP_006567361.2	XP_012176727.1
OG0001320	XP_001120442.2	XP_020721649.1, XP_003399529.1
OG0001321	XP_016768933.1, XP_006564631.1, XP_006564632.1	XP_003401699.1, XP_012173059.1, XP_012173058.1, XP_012173061.1, XP_012173060.1, XP_012173062.1, XP_020722867.1
OG0001322	XP_001120452.2	XP_020718696.1, XP_003395455.1, XP_003395454.1, XP_012163888.1
OG0001323	XP_026297999.1	XP_003401612.1
OG0001323	XP_006568328.1	XP_020722880.1
OG0001328	XP_026298928.1, XP_006566140.1	XP_003398532.1
OG0001329	XP_026297740.1, XP_392793.4, XP_006568388.1, XP_006568387.1	XP_003396674.1
OG0001330	XP_006569373.1	XP_012174141.1, XP_012174139.1, XP_003402412.1, XP_012174140.1
OG0001331	XP_392843.1	XP_003401741.1
OG0001332	XP_391934.3	XP_003399692.1
OG0001333	XP_006561728.1, XP_006561729.1	XP_012167648.1
OG0001334	XP_026298647.1, NP_001071291.1	XP_003396833.1, XP_003396832.1
OG0001335	XP_003250006.1	XP_012168103.1, XP_003398388.1
OG0001336	XP_016770213.1	XP_012168727.1
OG0001337	XP_006557510.1	XP_012165951.1
OG0001338	XP_026299446.1	XP_003399107.1, XP_012169339.1, XP_012169340.1
OG0001339	XP_006560547.1, XP_006560548.1	XP_012176348.1
OG0001340	XP_396914.2	XP_003398713.1
OG0001341	XP_026299161.1	XP_003398058.1, XP_020720549.1
OG0001342	NP_001233596.1, XP_006568757.1	XP_003393794.1
OG0001343	XP_001120622.3	XP_003400883.1, XP_012171660.1
OG0001344	XP_006567413.1, XP_026298569.1	XP_020720468.1, XP_020720469.1, XP_003397501.1
OG0001345	XP_625158.1	XP_003395860.1, XP_012164396.1
OG0001346	XP_006568830.2	XP_012173237.1
OG0001347	XP_016766564.1	XP_003402828.1
OG0001348	XP_393071.3, XP_006558911.1	XP_020723739.1, XP_003403220.1
OG0001349	XP_001122465.1	XP_003401462.1
OG0001350	XP_026301333.1, XP_026301331.1, XP_026301332.1	XP_012172004.1
OG0001351	XP_625226.1	XP_020722689.1, XP_020722688.1
OG0001352	XP_624128.3, XP_006562315.2	XP_020721736.1
OG0001353	XP_003249908.1	XP_003398012.1
OG0001354	XP_016767597.1	XP_012164101.1, XP_012164102.1, XP_012164099.1, XP_020718882.1, XP_020718883.1
OG0001355	XP_006565066.1	XP_003400362.1
OG0001356	XP_016768312.1, XP_016768311.1, XP_396491.1, XP_016768313.1, XP_016768310.1	XP_003395933.1
OG0001357	XP_624751.3	XP_012165269.1, XP_003396304.1
OG0001358	XP_026301373.1, XP_026301380.1, XP_026301399.1	XP_012172432.1, XP_020722423.1
OG0001359	XP_016772586.1	XP_012170120.1
OG0001360	XP_006568424.1, XP_016768724.1, XP_006568423.1, XP_392631.2	XP_020719245.1
OG0001361	XP_003251907.2	XP_012170400.1, XP_020721674.1
OG0001362	XP_016767937.1, XP_392575.3	XP_003395430.1
OG0001363	XP_394252.2	XP_020720328.1
OG0001364	XP_026295929.1	XP_012163097.1
OG0001365	XP_006566705.2	XP_012169223.1
OG0001366	XP_006561135.1	XP_012163770.1
OG0001368	XP_006558888.1, XP_006558887.1, XP_396702.1	XP_020720007.1, XP_003397626.1
OG0001369	XP_016772826.1	XP_020719634.1
OG0001370	XP_006557536.1	XP_003396421.1, XP_012165453.1
OG0001371	XP_397170.4	XP_003396087.1, XP_012164771.1
OG0001372	XP_026296526.1	XP_012164475.1, XP_012164477.1
OG0001373	XP_006564089.1	XP_012168781.1
OG0001374	NP_001171374.1, XP_026300673.1	XP_020722346.1
OG0001375	XP_001121365.2	XP_003399211.3
OG0001375	XP_006562011.1	XP_003398956.1
OG0001376	XP_396175.2, XP_006569779.1, XP_016769123.1	XP_012173351.1, XP_003402078.1
OG0001377	XP_003249169.1	XP_012170811.1, XP_012170812.1, XP_003400191.1, XP_003400190.1
OG0001378	XP_026297486.1	XP_012165673.1, XP_012165674.1, XP_012165675.1, XP_012165676.1
OG0001379	XP_006567468.1	XP_012167520.1
OG0001380	XP_394382.2	XP_003402866.1
OG0001381	XP_395682.4	XP_003393248.1
OG0001382	XP_026297953.1	XP_003397478.2
OG0001383	XP_006572237.1	XP_012168893.1
OG0001384	XP_396789.2	XP_012169115.1, XP_012169114.1, XP_003398965.1
OG0001385	XP_016767540.2, NP_001276370.1	XP_003395388.1
OG0001386	XP_016767856.1, XP_016767858.1, XP_006561126.1, XP_006561128.1	XP_012163760.1, XP_003395301.1
OG0001387	XP_006557949.1	XP_012173529.1
OG0001388	XP_016770706.1	XP_012169807.1, XP_012169804.1, XP_012169803.1, XP_012169802.1
OG0001389	XP_026301857.1	XP_020719175.1
OG0001390	XP_393336.2	XP_012170950.1
OG0001391	XP_006557325.2	XP_020720476.1
OG0001392	XP_016770421.1, XP_026301887.1, XP_006571083.1	XP_012168018.1
OG0001394	XP_026301283.1	XP_020722630.1
OG0001394	XP_006563923.1	XP_012166244.1
OG0001395	XP_026300619.1	XP_012171081.1
OG0001396	XP_003251700.2	XP_020719715.1, XP_003393199.1
OG0001397	XP_006558421.1	XP_003397629.1, XP_020720213.1
OG0001398	XP_026295323.1, XP_396074.2	XP_020724226.1, XP_012175862.1, XP_012175860.1
OG0001399	XP_026295822.1, XP_006570847.3, XP_026295821.1	XP_012164033.1
OG0001400	XP_026298271.1	XP_012175100.1
OG0001401	XP_395366.2	XP_003401536.1, XP_012172796.1, XP_012172797.1
OG0001402	XP_624525.3	XP_020720808.1, XP_003398486.1
OG0001403	XP_026298793.1	XP_012167434.1
OG0001404	XP_003250893.1, XP_016770402.1	XP_012169320.1
OG0001405	XP_006558378.1	XP_012172468.1
OG0001406	XP_003249994.1, XP_006562035.1	XP_003395194.1, XP_012163648.1, XP_012163647.1
OG0001407	XP_016770141.1, XP_006570083.1, XP_016770134.1	XP_003396369.1, XP_012165352.1
OG0001408	NP_001229369.1	XP_003397685.1
OG0001409	XP_006563335.1	XP_012174454.1, XP_020723544.1
OG0001410	XP_395760.4	XP_003401764.1
OG0001412	XP_026296136.1	XP_012163319.1
OG0001413	XP_623536.3	XP_003397220.1, XP_012166565.1
OG0001414	XP_006560334.1, XP_026299267.1	XP_012166970.1
OG0001415	XP_016769111.2, XP_026301172.1	XP_020719675.1
OG0001416	XP_026298066.1	XP_012165008.1
OG0001416	XP_026298062.1	XP_012164998.1
OG0001417	XP_006564416.1, XP_006564415.1	XP_012169107.1, XP_012169108.1
OG0001418	XP_026297714.1	XP_012163163.1
OG0001419	XP_026294885.1, XP_026294944.1	XP_020720226.1
OG0001420	XP_394326.4	XP_003393869.1
OG0001421	XP_006564186.1, XP_026297333.1	XP_012164592.1
OG0001422	XP_006568172.2	XP_020719307.1
OG0001423	XP_026302100.1	XP_012165500.1
OG0001424	XP_006561339.1	XP_003402316.1
OG0001425	XP_006571360.1	XP_003392892.1
OG0001426	XP_026300478.1	XP_020721936.1, XP_012171027.1, XP_003400252.1
OG0001427	XP_001121333.2	XP_003393315.1
OG0001428	XP_006570272.2, XP_016767777.2, XP_026296777.1	XP_012164126.1, XP_012164129.1, XP_012164128.1, XP_012164127.1, XP_012164125.1
OG0001429	XP_393105.4	XP_012167652.1
OG0001430	XP_026301363.1	XP_020722429.1
OG0001433	XP_003249531.1	XP_003403108.1
OG0001434	XP_001122051.1	XP_003393532.1
OG0001436	XP_393999.3	XP_012171515.1, XP_003400563.1
OG0001437	XP_026299979.1	XP_003399945.1
OG0001438	XP_006566923.2	XP_012170219.1
OG0001439	XP_003249667.1	XP_003397978.1
OG0001440	XP_016766945.1	XP_020724292.1, XP_020724291.1, XP_012176379.1, XP_020724293.1
OG0001441	XP_026297824.1, XP_026297830.1, XP_026297821.1	XP_012173022.1, XP_012173027.1
OG0001442	XP_006566607.1, XP_006566608.1, XP_016770708.1, XP_001122238.2	XP_020724207.1
OG0001445	XP_016767809.1, XP_006564258.1	XP_012163907.1
OG0001446	XP_016769759.1	XP_020720633.1
OG0001446	XP_026299020.1	XP_012168229.1
OG0001448	NP_001136033.1, XP_006557739.2	XP_012170287.1, XP_003399735.1, XP_012170292.1
OG0001449	XP_001122287.2, XP_001122272.2, XP_001122304.3	XP_003399216.1
OG0001450	XP_006563694.1	XP_020722741.1, XP_020722740.1
OG0001451	XP_016770584.1, XP_016770585.1	XP_003402568.1
OG0001453	XP_623506.1	XP_012165298.2
OG0001455	XP_395548.2	XP_003403068.1
OG0001456	XP_003250782.1	XP_012175619.1, XP_012175622.1, XP_012175621.1, XP_012175623.1, XP_020724044.1, XP_003393927.1
OG0001457	XP_395405.1	XP_003397628.1
OG0001458	XP_016771740.1, XP_006560290.1	XP_012171843.1
OG0001459	XP_624206.2	XP_012165211.1, XP_012165214.1
OG0001460	XP_395475.2	XP_003393617.1
OG0001461	XP_625038.2	XP_012164361.1
OG0001462	XP_392422.2	XP_003396187.1
OG0001462	XP_003250633.1	XP_003396186.1
OG0001463	XP_006568200.1, XP_026299050.1	XP_003402394.2, XP_012165835.1
OG0001464	XP_026297059.1	XP_012164758.1
OG0001465	XP_001122467.1	XP_012175635.1, XP_003393935.1, XP_012175636.1
OG0001466	XP_623574.2	XP_003396061.1
OG0001466	XP_003250648.1	XP_012164900.1
OG0001467	XP_624385.4	XP_003396679.1
OG0001468	XP_001121269.2	XP_003397743.1
OG0001468	XP_026301134.1	XP_003397722.1
OG0001469	XP_016770754.2, XP_006566407.2	XP_003398904.1
OG0001470	XP_392667.2	XP_003394496.1
OG0001471	XP_026295194.1, XP_006563973.1	XP_003394634.2, XP_020724160.1
OG0001472	XP_026295425.1	XP_012176274.1
OG0001472	XP_001121817.2	XP_003394685.1
OG0001473	XP_016773638.2	XP_012173301.1
OG0001474	XP_623681.1	XP_012167830.1, XP_012167829.1
OG0001475	XP_624415.1, XP_026295254.1, XP_006570845.1, XP_016773034.1, XP_003251612.1	XP_003393093.1, XP_020719848.1, XP_003393092.1
OG0001476	XP_016770904.2, XP_026299931.1, XP_026299930.1, XP_006565307.2, XP_026299929.1, XP_006565305.2, XP_006565306.2	XP_020721376.1
OG0001477	XP_006562867.1	XP_020720672.1
OG0001478	XP_006568688.1	XP_003396281.1
OG0001479	XP_006570473.1	XP_003398797.1
OG0001480	XP_624520.1	XP_003395191.1, XP_012163645.1
OG0001481	XP_006572049.1	XP_020723132.1
OG0001482	XP_006557348.1, XP_006557349.1	XP_020721633.1
OG0001483	XP_006562729.1	XP_012163379.1
OG0001484	XP_393966.1	XP_012171842.1
OG0001485	XP_026300236.1	XP_012170254.1
OG0001486	NP_001252514.1, XP_006564386.1	XP_012169168.1
OG0001487	XP_006562891.1	XP_012167898.1
OG0001488	XP_026297193.1	XP_012174744.1
OG0001488	XP_026297149.1	XP_020723656.1
OG0001489	XP_003249463.1	XP_003401445.1
OG0001490	XP_026296438.1	XP_012163914.1, XP_012163916.1
OG0001491	XP_006560273.1	XP_012171786.1, XP_012171787.1, XP_012171784.1
OG0001492	XP_624946.1	XP_003399630.1
OG0001493	XP_001120943.2, XP_006566059.1	XP_012168000.2
OG0001494	XP_006569570.1	XP_003399563.1
OG0001495	XP_026296208.1	XP_003394831.1
OG0001496	XP_006562571.1	XP_003394882.1
OG0001497	XP_026299752.1	XP_003399142.1, XP_020721145.1
OG0001498	XP_006563298.1	XP_012164993.1
OG0001499	XP_623985.3	XP_003399467.1, XP_020721731.1
OG0001499	XP_623658.1	XP_003397849.1
OG0001500	NP_001189389.1	XP_020720057.1, XP_003397807.1
OG0001501	XP_006569498.1	XP_003396885.1
OG0001502	XP_026297625.1	XP_003396866.1
OG0001503	XP_397549.2	XP_003399092.1
OG0001503	XP_003250890.1	XP_003399093.1
OG0001504	XP_393495.3	XP_012176574.1
OG0001505	XP_016767602.2, XP_026296385.1, XP_026296386.1, XP_026296387.1, XP_026296389.1	XP_020718881.1
OG0001506	XP_006569200.1	XP_012176477.1
OG0001507	XP_006563542.1	XP_003401091.1
OG0001508	XP_016767457.1	XP_012176705.1
OG0001508	XP_026295906.1	XP_012176699.1
OG0001509	XP_006569759.1, XP_006569756.1, XP_006569758.1	XP_012173176.1
OG0001510	NP_001264228.1	XP_012168991.1
OG0001510	XP_016770661.2	XP_020721172.1
OG0001511	XP_623621.1	XP_003396668.1
OG0001512	XP_026299774.1, XP_026299769.1	XP_020721039.1
OG0001513	XP_003249578.1	XP_003399308.1
OG0001514	XP_396376.2	XP_012176755.1
OG0001515	XP_006568666.1	XP_012165605.1
OG0001516	XP_016768032.1	XP_003402767.2
OG0001517	XP_016772636.1	XP_003402258.1
OG0001518	XP_006569908.1, XP_006569907.1	XP_003394178.3
OG0001519	XP_001121155.2	XP_012169169.1
OG0001520	XP_016773511.1	XP_012174354.2
OG0001521	XP_026296663.1	XP_003395486.1, XP_003395495.1
OG0001522	XP_396892.2	XP_020718251.1
OG0001523	XP_026301434.1	XP_020722376.1
OG0001524	XP_006568047.1	XP_003399206.1, XP_012169486.1, XP_012169487.1
OG0001525	XP_006559250.1, XP_393635.1	XP_012172750.1, XP_003401499.1, XP_012172749.1
OG0001526	NP_001011602.1	XP_020720026.1, XP_012166840.1, XP_020720024.1
OG0001527	XP_006561935.1	XP_003397768.1
OG0001529	XP_006557300.1	XP_012174646.1
OG0001531	XP_006564855.1	XP_003395582.1
OG0001532	XP_016768690.1	XP_012166490.1
OG0001533	XP_026297995.1	XP_003402056.1
OG0001534	XP_006570008.2	XP_020721645.1
OG0001535	XP_016766188.2	XP_012175172.1
OG0001536	XP_026299834.1, XP_026299833.1	XP_012165121.1
OG0001537	XP_016771061.1, XP_396670.3	XP_012169946.1, XP_012169947.1
OG0001538	NP_001035354.1	XP_020720324.1, XP_020720323.1
OG0001539	XP_026300395.1	XP_012170914.1
OG0001541	XP_026301845.1, XP_026301842.1	XP_020719680.1, XP_003396341.1
OG0001542	XP_016767210.2, XP_001121775.2	XP_012163276.1, XP_012163274.1
OG0001543	XP_623560.2, XP_006562474.1, XP_006562473.1, XP_026299439.1	XP_012168843.1
OG0001545	XP_026295460.1	XP_003394442.1, XP_012176378.1, XP_020724290.1
OG0001546	XP_001121602.2, XP_026296545.1	XP_012163794.1, XP_012163795.1, XP_003395645.1
OG0001547	XP_006565258.1	XP_020721686.1
OG0001548	XP_006568458.2	XP_003394368.2, XP_012176262.1
OG0001549	XP_006565363.2	XP_012168934.1
OG0001550	XP_396025.4	XP_003399933.1
OG0001551	XP_026301914.1	XP_020719562.1, XP_020719563.1
OG0001552	XP_006561183.1, XP_016766181.1	XP_003393584.1, XP_012170334.1
OG0001553	XP_394347.5	XP_012175724.1, XP_003394028.1
OG0001554	XP_016770977.1, XP_006561260.1	XP_012169996.1, XP_012169992.1
OG0001555	XP_396132.4	XP_012164431.1
OG0001556	XP_006558583.1	XP_003400217.1, XP_012170974.1
OG0001557	XP_006564466.1	XP_012169157.2, XP_003398998.1
OG0001558	XP_393403.3	XP_020723020.1, XP_003401805.1
OG0001559	XP_026299665.1	XP_003399174.3
OG0001560	XP_006561571.2, NP_001242969.1	XP_012167417.2
OG0001561	XP_006563441.2	XP_012172415.1, XP_003401267.1, XP_012172414.1
OG0001562	XP_006558995.1	XP_012165869.1
OG0001563	XP_016772117.1	XP_012172782.1
