Orthogroup	Apis_mellifera	Aedes_aegypti
OG0000832	XP_026302189.1	XP_021706142.1
OG0000833	XP_016772486.2, XP_016772495.2	XP_021701250.1
OG0000835	XP_026297950.1, XP_026297948.1, XP_026297949.1	XP_021711969.1, XP_001651385.1
OG0000835	NP_001011635.1	XP_001652709.2
OG0000836	XP_026301323.1	XP_021709808.1
OG0000837	XP_003249915.1	XP_021703515.1
OG0000838	XP_026300981.1	XP_021711771.1, XP_021711770.1, XP_021702877.1
OG0000839	XP_393293.2	XP_001659467.2
OG0000840	XP_006569593.1	XP_001659498.2, XP_021709111.1
OG0000841	XP_623802.2	XP_021698052.1, XP_021698051.1, XP_001658125.1, XP_001658124.1, XP_001658126.1, XP_001658123.1, XP_001654244.1, XP_001654245.2, XP_021713213.1
OG0000842	XP_003251099.1	XP_021700554.1, XP_021701284.1, XP_021701285.1, XP_021701286.1, XP_001654876.1, XP_021701287.1
OG0000844	XP_006571561.1, XP_623241.1, XP_006571560.1, XP_006571562.1	XP_021702806.1
OG0000849	XP_006572525.1	XP_021706608.1, XP_001654857.1, XP_001654856.1
OG0000850	XP_006562063.1	XP_021700401.1, XP_021700402.1, XP_021700403.1
OG0000851	XP_392903.1, XP_016772903.1	XP_021707129.1
OG0000852	XP_001121718.2	XP_021708781.1
OG0000853	XP_016772418.2	XP_001660390.1
OG0000854	XP_026294751.1	XP_021703073.1, XP_021705114.1, XP_021705059.1, XP_021705001.1
OG0000855	XP_396451.2	XP_021695372.1, XP_021695373.1
OG0000857	XP_016767384.1, XP_003249365.1	XP_021712663.1, XP_001659917.1
OG0000858	XP_006559341.1	XP_011493174.1, XP_021704948.1
OG0000859	XP_026300869.1, XP_016767058.2	XP_021708245.1, XP_021708244.1, XP_021708243.1, XP_021708404.1
OG0000860	XP_001119982.2	XP_001656757.2
OG0000861	XP_006569044.1	XP_021699033.1, XP_001654492.2, XP_021699032.1
OG0000863	XP_026298087.1	XP_021711806.1, XP_021711828.1, XP_021711821.1, XP_021711815.1
OG0000864	XP_003251146.1, XP_016767771.1	XP_001654191.2
OG0000865	XP_026296675.1	XP_021693445.1
OG0000866	XP_026299926.1	XP_021713171.1, XP_021713174.1, XP_021713172.1
OG0000867	XP_393553.4	XP_021696900.1
OG0000868	XP_026296644.1	XP_021708415.1
OG0000870	XP_016768956.2, XP_396503.5	XP_021709637.1
OG0000871	XP_392665.3, XP_006572373.1	XP_021705667.1
OG0000872	XP_026298404.1, NP_001229485.1	XP_021701784.1, XP_021701794.1, XP_021701771.1, XP_021701766.1, XP_021701804.1, XP_021701779.1
OG0000873	XP_026296062.1	XP_001651410.1, XP_001651411.2, XP_021703510.1
OG0000875	XP_391965.1	XP_021696370.1, XP_021696368.1
OG0000876	XP_396698.3, XP_026298349.1	XP_001661220.1, XP_021709052.1
OG0000877	XP_026300650.1, XP_006558564.2, XP_006558563.2, XP_006558562.2, XP_016771264.2, XP_016771262.2	XP_001659194.1
OG0000878	XP_624248.3	XP_001647568.1
OG0000879	XP_006571832.1, XP_396744.4	XP_021707480.1, XP_021704605.1
OG0000880	XP_016771877.1, XP_026300776.1, XP_026300778.1, XP_026300777.1	XP_001652873.1, XP_021701656.1, XP_021701658.1, XP_021701657.1, XP_021701652.1
OG0000881	XP_006572419.1, XP_006572418.1, XP_623842.1, XP_026301731.1	XP_001661364.1
OG0000883	XP_396960.2	XP_021708167.1, XP_021708166.1, XP_021708168.1, XP_021708169.1, XP_021708170.1
OG0000884	XP_016772239.1	XP_021705057.1, XP_021705058.1
OG0000885	XP_016769048.2, XP_006558259.2	XP_001655440.2
OG0000886	XP_003249660.1	XP_021709848.1
OG0000887	XP_026301763.1, XP_026301762.1, XP_026301761.1	XP_001663800.2
OG0000888	XP_006572035.2, XP_006572034.2, XP_026298243.1, XP_393065.4	XP_021704185.1, XP_001653340.1, XP_001653339.1
OG0000890	XP_016767503.1	XP_021709688.1, XP_021709735.1, XP_021709693.1, XP_021709715.1, XP_021709702.1, XP_021709672.1, XP_021709725.1, XP_021709721.1, XP_021709747.1, XP_021709681.1, XP_021709731.1, XP_021709706.1, XP_021709759.1, XP_021709740.1, XP_021709752.1
OG0000892	XP_001121130.1, XP_016768214.1	XP_021713340.1
OG0000894	XP_026299447.1	XP_021696518.1
OG0000895	XP_016766988.1, XP_003250368.1	XP_021699140.1
OG0000896	XP_026301410.1, XP_006561103.2, XP_006561106.2	XP_021710162.1, XP_021703460.1, XP_021703463.1, XP_021703461.1
OG0000897	XP_016767761.1, XP_001120426.2	XP_001662174.2
OG0000899	XP_026297887.1, XP_026297884.1, XP_026297885.1, XP_026297882.1, XP_026297883.1, XP_026297881.1, XP_026297888.1, XP_026297889.1, XP_026297886.1, XP_016769197.2, XP_026297890.1	XP_021707713.1
OG0000900	XP_026300048.1	XP_001659953.1, XP_001659954.2, XP_021697143.1, XP_021697141.1, XP_021697142.1, XP_021697140.1, XP_001660178.2, XP_001659951.1
OG0000901	XP_006564329.1	XP_021702705.1
OG0000903	NP_001091702.1, XP_026302166.1	XP_021706437.1, XP_021706438.1, XP_021706439.1
OG0000904	XP_026298505.1	XP_021697103.1
OG0000905	XP_006569681.2	XP_001648294.1, XP_021705206.1
OG0000906	XP_003251651.1	XP_001654884.2
OG0000906	XP_006562965.1, XP_001120664.2	XP_021699355.1
OG0000908	XP_026299178.1, XP_006566265.2	XP_021698245.1, XP_021698243.1, XP_021698246.1, XP_001662247.2
OG0000909	XP_026298311.1, XP_016769009.2, XP_026298312.1	XP_011493717.1
OG0000910	XP_026300526.1, XP_026300525.1	XP_021699295.1, XP_021699294.1, XP_021696190.1, XP_021696195.1, XP_021696193.1, XP_021696194.1
OG0000911	XP_016771829.2, XP_026300700.1, XP_026300699.1	XP_021696334.1, XP_021711908.1
OG0000912	NP_001139211.1, XP_006561626.1	XP_021705223.1
OG0000914	NP_001229585.1, NP_001229586.1	XP_021695121.1, XP_021695120.1
OG0000916	XP_624531.3	XP_021700530.1
OG0000917	XP_026294924.1	XP_021712600.1, XP_001651262.1
OG0000918	XP_026299654.1, XP_001120855.2	XP_021696791.1, XP_001651544.1, XP_001651406.2, XP_001652677.1
OG0000919	XP_026296261.1, XP_026296262.1, XP_026296263.1	XP_001650507.1
OG0000920	XP_006571525.1	XP_001659681.1
OG0000921	XP_001120690.1	XP_001661823.1
OG0000922	XP_026298070.1, XP_026298072.1	XP_001657891.1
OG0000923	XP_016770595.2, XP_001121441.3	XP_021697826.1
OG0000924	XP_016766858.1	XP_001660574.2, XP_021697628.1, XP_021697623.1, XP_021697622.1, XP_021697627.1, XP_021697626.1, XP_021697625.1, XP_021697624.1
OG0000925	XP_001120239.3	XP_021710049.1, XP_021710050.1
OG0000927	XP_006568873.1	XP_001657339.1, XP_021706325.1, XP_021712812.1, XP_011493775.1, XP_021706322.1, XP_021706327.1
OG0000928	XP_006569236.1	XP_021707077.1, XP_021707078.1, XP_021707081.1, XP_021707082.1, XP_021707079.1, XP_021707080.1, XP_021707089.1, XP_021707085.1, XP_021707086.1, XP_021707087.1, XP_021707088.1, XP_021707084.1, XP_021707083.1
OG0000929	XP_624838.1	XP_001663815.1
OG0000930	XP_624652.1	XP_021699375.1
OG0000931	XP_395665.6	XP_021695975.1
OG0000931	XP_006559103.2	XP_001657117.1
OG0000932	XP_623988.1, XP_006563709.1	XP_001656538.2, XP_021712586.1, XP_021711315.1, XP_021712583.1, XP_021712584.1
OG0000933	NP_001153536.1, XP_006571335.2	XP_001655641.2, XP_001649752.1
OG0000934	XP_396204.4	XP_021698591.1, XP_021698590.1, XP_001653285.1
OG0000935	XP_394852.2	XP_021694721.1, XP_021694722.1, XP_021694961.1, XP_001657072.2, XP_001656050.2, XP_021702748.1
OG0000936	XP_026297445.1	XP_021699967.1
OG0000937	XP_026298162.1, XP_395098.4	XP_001661565.1
OG0000938	XP_006559641.1	XP_021706045.1
OG0000941	XP_026298048.1, XP_026298047.1, XP_026298050.1, XP_026298049.1	XP_021710750.1
OG0000942	XP_001122328.3	XP_021705490.1, XP_021705489.1, XP_021705488.1, XP_021705491.1, XP_021705493.1, XP_021705492.1
OG0000943	XP_006563787.1	XP_001649963.1
OG0000944	XP_006563130.1, XP_395781.2	XP_021708364.1, XP_001656408.1
OG0000945	XP_006566272.1, XP_623982.2	XP_001656804.2, XP_021710330.1, XP_021710331.1, XP_021710333.1, XP_021710332.1
OG0000946	XP_026302105.1, XP_624130.2	XP_001649593.2
OG0000948	XP_026300795.1, XP_016771894.1, XP_026300793.1, XP_397065.2, XP_006558840.1	XP_001661146.1
OG0000949	XP_001122160.2, XP_006562517.1	XP_001652261.2
OG0000950	XP_026301918.1, XP_026301917.1	XP_001659287.1, XP_021702711.1
OG0000951	XP_624934.1, XP_026298165.1, XP_006559575.1	XP_011493172.2, XP_021699239.1
OG0000952	XP_394765.2	XP_001650545.1, XP_021710285.1, XP_021710288.1, XP_021710289.1, XP_021710286.1
OG0000953	XP_006558825.2	XP_001657436.1, XP_001652560.2, XP_001661851.1, XP_021705875.1, XP_021705874.1
OG0000954	XP_006560104.2, XP_006560111.1	XP_021706595.1
OG0000955	NP_001153877.1, XP_026302152.1	XP_021708583.1, XP_021705459.1, XP_021706039.1, XP_001648122.2
OG0000957	XP_026298056.1	XP_021704110.1
OG0000958	XP_026295776.1, XP_026295777.1	XP_021705705.1, XP_021705704.1
OG0000959	XP_393728.4, XP_006558290.2	XP_021701483.1
OG0000960	XP_026296656.1	XP_021697034.1
OG0000961	XP_026298663.1, XP_026298664.1	XP_021709272.1
OG0000962	XP_016771762.1, XP_016771769.1, XP_016771755.1	XP_021695937.1, XP_021695945.1
OG0000963	XP_623495.1, XP_016769524.1	XP_021709029.1
OG0000964	XP_016773571.1, XP_006569023.1	XP_021710052.1, XP_021710051.1
OG0000965	XP_026298590.1, XP_026298605.1	XP_021697790.1, XP_021697783.1
OG0000966	XP_026298567.1	XP_021697003.1, XP_021712420.1
OG0000967	XP_016767229.1	XP_001658537.1, XP_021696660.1
OG0000968	XP_026301951.1, XP_026301953.1	XP_021698741.1
OG0000969	XP_026297742.1	XP_001658856.2
OG0000970	NP_001229362.1	XP_021711849.1, XP_001651929.1
OG0000971	XP_396922.2	XP_001653661.2, XP_001653662.2, XP_001653663.2
OG0000972	XP_006566718.1, XP_006566717.1	XP_021702148.1
OG0000974	XP_026301020.1	XP_021702688.1, XP_021702695.1, XP_021702707.1
OG0000975	XP_026296074.1, XP_026296077.1	XP_021709197.1, XP_021709223.1, XP_021709213.1, XP_021709188.1
OG0000976	XP_394641.3	XP_001648945.2
OG0000977	XP_016767875.1	XP_001662477.2, XP_021694110.1
OG0000978	XP_026299474.1	XP_021694981.1, XP_021712432.1, XP_021698446.1
OG0000979	XP_006557897.2, XP_026298254.1	XP_001662352.2
OG0000980	XP_016768467.1	XP_021706413.1, XP_021701414.1, XP_021701415.1, XP_021698901.1
OG0000981	XP_026295830.1	XP_021704766.1
OG0000982	NP_001191178.1, XP_026298869.1	XP_021711586.1, XP_021711584.1, XP_021711589.1, XP_021711590.1, XP_021711587.1, XP_021711588.1, XP_021711591.1, XP_021711592.1, XP_021711595.1, XP_021711593.1, XP_021711582.1, XP_021711581.1, XP_021711585.1, XP_021711594.1
OG0000983	XP_016767678.1, XP_016767677.1, XP_006567729.2	XP_021710716.1
OG0000984	NP_001011581.1, XP_026300306.1	XP_021700790.1
OG0000985	XP_016769986.1	XP_021699811.1, XP_021699812.1, XP_021699813.1, XP_021699814.1, XP_001658285.1
OG0000987	XP_026295593.1, XP_026295592.1, XP_026295594.1, XP_006561189.1	XP_001652618.1
OG0000988	XP_006571686.1, NP_001032395.1	XP_021692998.1, XP_021692997.1
OG0000989	XP_006560434.2, XP_006560423.2	XP_021693313.1
OG0000990	XP_006568558.1, NP_001137393.1	XP_021705871.1, XP_021712621.1
OG0000992	XP_006559391.1, XP_006559390.1, XP_016771285.1	XP_001653792.1
OG0000993	XP_006568212.1, NP_001011630.1	XP_001657349.1, XP_021712573.1
OG0000994	XP_026294802.1, XP_006564300.1	XP_021712595.1, XP_001656483.2
OG0000995	XP_397047.2	XP_001662013.1
OG0000996	XP_624111.1	XP_001651556.2, XP_001651557.2, XP_021712254.1, XP_021712255.1
OG0000997	XP_026296339.1	XP_001652880.1
OG0000998	XP_624692.2	XP_001648735.1, XP_001659667.2, XP_021694971.1, XP_021694972.1
OG0000999	XP_016769017.1, XP_016769016.1	XP_001660745.2, XP_001660748.2
OG0001000	XP_001120471.1	XP_001659938.2
OG0001001	XP_026295826.1	XP_021696850.1, XP_001650605.1
OG0001002	XP_016772103.2	XP_001656815.1, XP_001648854.1
OG0001003	XP_026298974.1, XP_016769951.1	XP_021698403.1, XP_001652606.1
OG0001004	XP_006566109.1	XP_021697696.1
OG0001005	XP_395732.3	XP_001654066.1
OG0001006	XP_396203.4	XP_021713406.1
OG0001007	XP_006564882.2, XP_003250536.2	XP_021710083.1
OG0001008	XP_026299500.1	XP_011493242.2, XP_021700400.1
OG0001009	XP_016769432.1	XP_001660190.2
OG0001009	XP_026299890.1	XP_021702837.1
OG0001010	XP_026301943.1	XP_021703789.1, XP_021703788.1, XP_021703790.1, XP_021703785.1, XP_021703784.1, XP_021703787.1, XP_021703786.1
OG0001011	XP_016769245.2	XP_001661560.2
OG0001013	XP_624234.2	XP_021699192.1
OG0001014	XP_006565985.1, XP_006565984.1, XP_016766390.1	XP_021705253.1
OG0001015	XP_006565528.1	XP_021713139.1, XP_001660517.1
OG0001016	XP_026301237.1, XP_624301.1	XP_001651894.1
OG0001017	XP_016770770.1, XP_396993.3	XP_021695035.1, XP_021695037.1, XP_021695038.1
OG0001018	XP_006570932.1, NP_001091704.1	XP_021705853.1
OG0001018	NP_001035352.2	XP_001663910.1
OG0001019	XP_026299519.1	XP_021697833.1
OG0001020	XP_026295498.1	XP_021700258.1
OG0001021	XP_026299817.1, XP_026299818.1, XP_026299819.1, XP_026299820.1, XP_026299821.1	XP_001661389.1
OG0001022	XP_026298033.1	XP_021712919.1, XP_021709106.1
OG0001023	XP_026299760.1	XP_021705791.1
OG0001025	XP_016769853.2	XP_021710356.1, XP_021710355.1, XP_021710346.1, XP_021710347.1, XP_021710344.1, XP_021710345.1, XP_021710350.1, XP_021710351.1, XP_021710348.1, XP_021710354.1, XP_021710353.1, XP_021710352.1, XP_021710349.1, XP_021710343.1
OG0001026	XP_026298299.1	XP_001651472.2
OG0001027	XP_006567883.1, XP_006567884.1	XP_001659550.1
OG0001028	NP_001229442.1, XP_625073.3	XP_001648922.2
OG0001030	XP_026300920.1	XP_021705111.1
OG0001031	XP_006571173.2, XP_006571172.2	XP_001647991.1
OG0001033	XP_006568643.1	XP_021697350.1, XP_001656170.2
OG0001034	XP_006562221.1, XP_026296555.1	XP_001652910.1
OG0001035	XP_026297968.1	XP_001649392.1
OG0001036	XP_001122961.3, XP_001121190.3	XP_001658441.1
OG0001037	XP_393500.1, XP_003249222.1	XP_021709959.1, XP_021709949.1, XP_021709968.1, XP_001654907.2
OG0001038	XP_003251510.1, XP_006570286.1, XP_016767749.1	XP_001657802.1
OG0001039	XP_006562044.3	XP_021704117.1, XP_001659756.2
OG0001040	XP_016766860.1	XP_001657084.1
OG0001041	XP_394621.2	XP_021704065.1, XP_021704062.1, XP_021704064.1, XP_021704063.1, XP_001649235.1
OG0001042	XP_016766332.1, XP_006569002.1, XP_006569001.1	XP_021695487.1, XP_021712349.1
OG0001043	XP_026297480.1, XP_026297477.1	XP_021695359.1, XP_021695362.1
OG0001044	XP_006563732.1	XP_021695598.1
OG0001045	XP_006559862.1, XP_006559864.1, XP_016768657.1	XP_021700792.1
OG0001046	XP_016770996.2, XP_016770997.2	XP_021707939.1
OG0001048	XP_026300610.1, XP_026300611.1	XP_021696480.1
OG0001049	XP_624798.3, XP_016769663.1, XP_026298576.1	XP_021695688.1, XP_021695674.1, XP_021695699.1
OG0001050	NP_001073579.1, XP_006564382.1	XP_021704146.1
OG0001052	XP_006572082.1	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1
OG0001053	XP_026298412.1, NP_001014994.1, XP_006558427.2	XP_021695848.1
OG0001054	XP_006557792.2, XP_016772603.2, XP_026301494.1	XP_001653734.1
OG0001055	XP_016771409.1, XP_006560471.1, XP_393921.4	XP_021708066.1
OG0001056	XP_392256.2	XP_001648788.1
OG0001057	XP_003251106.1	XP_021712770.1, XP_021708993.1
OG0001058	XP_006559288.1	XP_001658030.3
OG0001059	XP_026302246.1, XP_026298512.1, XP_026298511.1	XP_001653804.1
OG0001060	XP_016767094.2	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1
OG0001061	XP_006566068.1	XP_021698780.1
OG0001063	XP_026301341.1, XP_026297188.1, XP_026297187.1	XP_021705756.1
OG0001064	XP_006567342.1, XP_006567343.1	XP_021707107.1, XP_021712915.1, XP_001652913.1
OG0001065	XP_016772709.1, XP_006571870.1	XP_021698754.1, XP_021698753.1
OG0001066	XP_006566719.1	XP_021703827.1
OG0001067	XP_006570391.1, XP_016770284.1	XP_001664063.1, XP_021699345.1, XP_021699344.1
OG0001068	XP_026295232.1	XP_021696931.1, XP_021696940.1
OG0001069	XP_003249139.1	XP_001654715.2
OG0001070	NP_001314876.1	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2
OG0001071	NP_001139209.1, XP_006561618.1	XP_021708458.1
OG0001072	XP_006560468.1, XP_006560463.2	XP_001659014.2
OG0001073	XP_001122039.4, XP_003249924.2	XP_001648274.2
OG0001074	XP_026295412.1, XP_006560957.3	XP_001649270.2
OG0001076	XP_026299125.1	XP_001655001.1
OG0001077	XP_001123319.2, XP_006565335.1	XP_001658071.1
OG0001078	XP_624526.2	XP_001659802.1, XP_001659805.1
OG0001079	XP_394551.1	XP_001662144.1
OG0001081	XP_003249661.2	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1
OG0001082	XP_006571217.1, XP_397334.3, XP_016773438.1	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1
OG0001083	XP_016773335.2, XP_016773334.2	XP_021698377.1
OG0001084	XP_026300923.1	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1
OG0001085	XP_026296504.1	XP_021702814.1
OG0001086	XP_006567234.1, XP_006567236.1	XP_021708980.1
OG0001090	XP_396588.2	XP_021695122.1, XP_001656254.2
OG0001091	NP_001164445.1, XP_016767976.1	XP_021713022.1, XP_001654186.1, XP_001654185.1
OG0001092	XP_006561609.1, NP_001011634.1	XP_001656078.2
OG0001093	XP_394840.2	XP_021712436.1, XP_021700841.1
OG0001094	XP_006571453.2	XP_021707147.1, XP_001657391.1
OG0001095	XP_392758.2	XP_001653701.1, XP_001653700.1
OG0001096	XP_006557822.1, XP_006557823.1, XP_016772640.1	XP_001658255.2
OG0001097	XP_393678.2, XP_006566141.1, XP_006566142.1	XP_001648346.1
OG0001098	XP_026300052.1, XP_026300053.1	XP_001663379.2
OG0001099	XP_006571049.1	XP_021706284.1, XP_021712729.1
OG0001100	XP_001122230.1	XP_001657489.1
OG0001101	XP_395328.3	XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	NP_001229398.1, XP_026295758.1	XP_001650617.1, XP_001650616.1
OG0001103	NP_001091636.1, NP_001011626.2	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	XP_006570306.1, XP_026296437.1, XP_016767854.1	XP_001659382.1
OG0001105	XP_394313.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_003251085.1	XP_001652532.1
OG0001107	XP_006564735.1	XP_001651390.1
OG0001108	XP_392498.1	XP_001655181.1
OG0001109	XP_006559508.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_026299374.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_006571180.1	XP_001649510.2
OG0001112	XP_006568443.2, NP_001106142.2	XP_001651512.1
OG0001113	XP_625126.3	XP_001651817.1
OG0001114	XP_006559286.2	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_006564576.1, XP_001122245.1	XP_021713246.1
OG0001116	XP_016769189.1, XP_006569851.1, XP_006569852.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_026298997.1	XP_021705905.1
OG0001118	XP_393072.2	XP_021707148.1
OG0001119	XP_396585.2	XP_001648381.1
OG0001120	XP_016770688.2	XP_001661053.1
OG0001120	XP_006557512.1	XP_001650112.2
OG0001121	XP_026302064.1, XP_016773223.2	XP_001652212.1, XP_021705915.1
OG0001122	XP_026294846.1	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001123	XP_026301258.1	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1
OG0001124	XP_006562958.1	XP_021710981.1
OG0001125	XP_016766166.1	XP_001648386.2
OG0001126	XP_006559675.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	XP_006570095.2	XP_021702833.1
OG0001128	XP_006569466.2	XP_001656417.2
OG0001129	XP_396640.4	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	XP_006557887.1	XP_021693810.1
OG0001132	XP_006569397.1, XP_624593.1	XP_001653441.1
OG0001133	XP_016768434.2	XP_021705031.1
OG0001134	XP_016771230.1, XP_026300477.1, XP_006559375.2	XP_021700926.1, XP_021700923.1
OG0001135	XP_006571652.2	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	XP_026295441.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1
OG0001138	XP_006566401.1	XP_001655529.2
OG0001139	XP_026301211.1	XP_021708606.1
OG0001140	XP_393160.1, XP_006567190.1, XP_006567191.1	XP_001654986.2
OG0001141	XP_006563759.1	XP_001649333.2
OG0001142	XP_016772413.1, XP_026301646.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	XP_395253.2	XP_001662313.1
OG0001144	XP_394084.6	XP_021713323.1
OG0001145	XP_396237.5	XP_001656860.2, XP_021695639.1
OG0001146	XP_006571967.1	XP_001660509.1
OG0001147	XP_006562602.1, XP_006562601.1	XP_021694950.1
OG0001148	XP_026299849.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	XP_006566733.2	XP_021696025.1
OG0001150	XP_393050.2	XP_021697593.1
OG0001151	XP_026299394.1, XP_016770657.1	XP_021701521.1
OG0001152	XP_026299206.1	XP_001650532.2
OG0001153	XP_026296179.1, XP_016767064.1	XP_021702556.1
OG0001154	XP_006558313.1	XP_021711748.1
OG0001155	XP_394362.2, XP_026302250.1	XP_021707527.1
OG0001156	XP_016770011.2	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	XP_006571672.1, XP_006571671.1, XP_394261.3	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	XP_006568640.1	XP_021699270.1
OG0001159	XP_393754.2, XP_016770687.1	XP_021710638.1
OG0001160	XP_016767529.2	XP_001654460.1
OG0001161	XP_006560282.1, XP_623371.1	XP_001652572.1
OG0001162	XP_006562183.2, XP_026296456.1	XP_021707175.1
OG0001164	XP_392630.2	XP_021707691.1, XP_021707690.1, XP_021707689.1
OG0001165	XP_006564520.1, XP_016769827.2	XP_021710995.1
OG0001166	NP_001171496.1	XP_021700484.1
OG0001167	XP_006570996.1, XP_006570997.1	XP_001661518.1
OG0001168	NP_001229399.1, NP_001011566.1	XP_001655162.2
OG0001169	XP_394044.2, XP_006565704.1	XP_021700392.1, XP_001663720.1
OG0001171	XP_016769313.1, XP_016769308.1	XP_021694953.1
OG0001173	XP_393202.4	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	XP_006566977.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	XP_006559056.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	XP_006564297.1	XP_021693845.1
OG0001178	XP_006569017.1, XP_006569018.1, XP_003251296.1	XP_001656777.2
OG0001179	XP_006562919.1, XP_006562920.1, XP_006562921.1, XP_393004.3	XP_021708724.1
OG0001180	XP_016766672.2, XP_016766674.2	XP_021706223.1, XP_001654740.2
OG0001181	XP_001121169.2	XP_001647577.1
OG0001182	XP_016770554.2, XP_026299860.1, XP_016770549.2	XP_021711115.1, XP_021711128.1
OG0001183	XP_006560979.1, XP_016766593.1	XP_021696657.1
OG0001184	XP_016769415.2, XP_006558414.2	XP_001655214.2
OG0001185	XP_026300118.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	XP_003250487.1, XP_006564675.1, XP_006564676.1	XP_001654432.1
OG0001187	XP_006559596.1, XP_006559595.1, XP_395581.4, XP_016769158.1, XP_016769162.1, XP_016769161.1, XP_016769160.1, XP_016769159.1	XP_021711494.1
OG0001188	XP_006567818.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	XP_006563026.1, XP_026300936.1	XP_021711031.1
OG0001190	XP_026295013.1	XP_001649672.1, XP_021702492.1
OG0001191	XP_006563495.1, XP_006563494.1	XP_021704021.1, XP_001657314.2
OG0001193	XP_394484.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001195	XP_006562818.1, XP_006562819.1, XP_623089.2	XP_001649330.2, XP_021701388.1
OG0001197	XP_026299557.1, NP_001265267.1	XP_001653258.1
OG0001198	XP_394229.2	XP_001654561.1
OG0001199	XP_026299730.1, XP_001122178.2	XP_001655189.2
OG0001202	XP_624691.1	XP_001660281.2
OG0001203	XP_026296668.1, XP_026301907.1	XP_021695231.1, XP_021698954.1, XP_021698952.1
OG0001204	XP_026298970.1, XP_026298971.1	XP_021698471.1
OG0001205	XP_395193.1, XP_006567401.1	XP_021703744.1
OG0001206	XP_392452.2	XP_021704907.1
OG0001207	XP_016771021.1, XP_016771020.1	XP_021705398.1, XP_021705681.1
OG0001208	XP_006565631.1	XP_021706768.1
OG0001209	XP_006562487.1	XP_021712755.1
