Orthogroup	Bombus_terrestris	Osmia_lignaria
OG0001718	XP_020721148.1, XP_012168956.1	XP_034187298.1
OG0001719	XP_003401098.2	XP_034179198.1, XP_034179199.1
OG0001720	XP_003401325.1	XP_034179451.1
OG0001721	XP_003400015.1	XP_034186751.1
OG0001722	XP_003394115.1	XP_034194379.1, XP_034194382.1, XP_034194383.1, XP_034194380.1
OG0001723	XP_003396337.1	XP_034177425.1
OG0001724	XP_020723445.1, XP_020723444.1, XP_020723443.1, XP_020720457.1, XP_003402561.2	XP_034172532.1
OG0001725	XP_020719056.1, XP_020719057.1	XP_034183730.1
OG0001726	XP_012172744.1, XP_012172738.1, XP_012172730.1	XP_034189256.1, XP_034189255.1
OG0001727	XP_012171087.1, XP_003393762.1, XP_012171074.1	XP_034189173.1
OG0001728	XP_012172103.2	XP_034188975.1
OG0001729	XP_012172440.2	XP_034189204.1, XP_034189205.1, XP_034189203.1
OG0001730	XP_003393784.1, XP_020721323.1	XP_034171512.1
OG0001731	XP_012174343.1, XP_012174349.1	XP_034171056.1
OG0001732	XP_003402812.1	XP_034194429.1, XP_034194426.1
OG0001733	XP_020724230.1, XP_020724229.1, XP_020724231.1, XP_003394109.1	XP_034194387.1
OG0001734	XP_020724222.1	XP_034182788.1, XP_034182787.1
OG0001735	XP_012169130.1	XP_034173310.1
OG0001736	XP_012175979.1, XP_012175978.1	XP_034182736.1
OG0001737	XP_012163575.1, XP_003395130.1	XP_034187343.1
OG0001738	XP_020723393.1	XP_034174020.1, XP_034174019.1, XP_034174022.1, XP_034174023.1, XP_034174024.1
OG0001739	XP_012169523.1, XP_003399319.1	XP_034196435.1
OG0001740	XP_012163658.1	XP_034174847.1, XP_034174848.1
OG0001741	XP_012174045.1	XP_034174317.1
OG0001742	XP_012171346.1, XP_012171343.1	XP_034171308.1
OG0001743	XP_012163590.1	XP_034174753.1, XP_034174750.1
OG0001745	XP_003403020.2, XP_003395421.1	XP_034177785.1
OG0001746	XP_003402391.2	XP_034177920.1, XP_034177921.1, XP_034177922.1, XP_034177919.1, XP_034177918.1, XP_034177923.1
OG0001747	XP_012170329.1, XP_020721617.1, XP_020721618.1, XP_020721616.1, XP_003399743.1	XP_034190946.1
OG0001748	XP_012164116.1	XP_034176743.1
OG0001749	XP_012164412.1	XP_034192968.1
OG0001751	XP_020718664.1, XP_020718663.1	XP_034177282.1
OG0001752	XP_012173530.1	XP_034192906.1, XP_034192903.1
OG0001753	XP_003395363.1	XP_034177517.1, XP_034177518.1, XP_034177516.1
OG0001754	XP_003396134.1	XP_034195028.1, XP_034195036.1
OG0001756	XP_012164670.1	XP_034196319.1
OG0001757	XP_003395982.1	XP_034195426.1
OG0001758	XP_003396658.1, XP_003396657.1	XP_034176402.1, XP_034176411.1
OG0001759	XP_020719541.1, XP_020719542.1	XP_034175543.1
OG0001760	XP_012173353.1	XP_034191947.1, XP_034191946.1, XP_034191944.1, XP_034191945.1
OG0001761	XP_003393279.1	XP_034194579.1
OG0001762	XP_012175018.1	XP_034184948.1
OG0001763	XP_020719847.1, XP_012166327.1, XP_012166328.1	XP_034181396.1, XP_034181395.1
OG0001764	XP_012166533.1	XP_034188059.1
OG0001765	XP_020718391.1	XP_034175981.1
OG0001766	XP_003403196.2	XP_034190377.1, XP_034190374.1, XP_034190375.1, XP_034190379.1, XP_034190378.1, XP_034190376.1
OG0001767	XP_012173415.1, XP_012173416.1	XP_034191753.1
OG0001768	XP_020720008.1	XP_034184070.1, XP_034184073.1
OG0001769	XP_020723137.1, XP_020723136.1, XP_003402045.1, XP_020723135.1, XP_020723138.1	XP_034191697.1
OG0001770	XP_003398434.1, XP_003398432.1, XP_003403021.1, XP_012174894.1, XP_003398436.1, XP_003398435.1	XP_034185955.1
OG0001771	XP_003394641.1	XP_034186802.1
OG0001772	XP_012168185.1	XP_034183808.1, XP_034183809.1
OG0001773	XP_003398079.2	XP_034185771.1, XP_034185770.1
OG0001774	XP_012173920.1	XP_034181303.1, XP_034181302.1
OG0001775	XP_020720722.1, XP_020720723.1	XP_034183692.1
OG0001776	XP_020720830.1, XP_003398587.1, XP_020720831.1	XP_034186151.1
OG0001777	XP_003396482.1	XP_034176446.1, XP_034176444.1, XP_034176445.1, XP_034176443.1
OG0001778	XP_020719122.1	XP_034172904.1, XP_034172905.1
OG0001779	XP_012171472.1, XP_012171475.1	XP_034185011.1, XP_034185010.1, XP_034185012.1
OG0001780	XP_020721180.1	XP_034193307.1
OG0001781	XP_003398859.1	XP_034175090.1
OG0001782	XP_012165121.1	XP_034170963.1, XP_034171019.1
OG0001783	XP_012169185.1	XP_034176489.1
OG0001784	XP_020721286.1	XP_034181358.1
OG0001785	XP_012169880.2	XP_034186590.1, XP_034186588.1
OG0001786	XP_020722621.1	XP_034179498.1
OG0001787	XP_020721826.1	XP_034178659.1, XP_034178657.1
OG0001788	XP_020721799.1, XP_003400090.1	XP_034178480.1, XP_034178478.1
OG0001789	XP_003400195.1, XP_012170946.1, XP_020721977.1	XP_034178310.1
OG0001790	XP_012170833.1	XP_034178168.1
OG0001791	XP_020721824.1, XP_003400080.1	XP_034178137.1, XP_034178138.1, XP_034178139.1
OG0001792	XP_012170780.1	XP_034178391.1
OG0001793	XP_012172648.2	XP_034172884.1
OG0001794	XP_003400905.1, XP_020722200.1	XP_034180723.1
OG0001795	XP_020722045.1	XP_034180413.1, XP_034180412.1, XP_034180411.1
OG0001796	XP_003400384.1, XP_020722141.1, XP_020722142.1, XP_020722144.1, XP_020722143.1	XP_034180792.1
OG0001797	XP_012171374.1, XP_012171373.1	XP_034180462.1, XP_034180460.1, XP_034180461.1
OG0001798	XP_012171864.2	XP_034191975.1
OG0001799	XP_020722155.1, XP_012171415.1, XP_012171417.1	XP_034180634.1
OG0001800	XP_020722335.1	XP_034191722.1, XP_034191723.1, XP_034191724.1
OG0001801	XP_020722248.1	XP_034180282.1
OG0001802	XP_012165203.1, XP_003393254.1	XP_034196072.1
OG0001803	XP_003401457.1	XP_034193814.1
OG0001804	XP_012172687.1, XP_012172688.1, XP_012172686.1, XP_003401461.1	XP_034193843.1
OG0001805	XP_020723047.1, XP_020723049.1, XP_020723048.1, XP_003401969.1, XP_020723050.1	XP_034193837.1
OG0001807	XP_012169581.1, XP_012169582.1	XP_034181073.1
OG0001808	XP_012172856.2	XP_034179018.1
OG0001808	XP_012172855.1	XP_034179160.1
OG0001810	XP_012169843.1, XP_012169845.1, XP_012169844.1	XP_034190899.1
OG0001811	XP_003393176.3	XP_034173446.1, XP_034173445.1
OG0001812	XP_003396846.1	XP_034175325.1
OG0001813	XP_012165648.1	XP_034189958.1
OG0001814	XP_003396211.3	XP_034183207.1
OG0001815	XP_020721678.1, XP_020721679.1	XP_034191010.1
OG0001816	XP_012167378.1	XP_034184003.1
OG0001817	XP_003402641.1	XP_034188689.1, XP_034188692.1, XP_034188691.1, XP_034188690.1
OG0001818	XP_012176399.1, XP_003394464.2	XP_034194401.1
OG0001819	XP_003401299.1	XP_034178906.1, XP_034178907.1, XP_034178908.1, XP_034178909.1
OG0001820	XP_020722783.1, XP_003401340.1	XP_034179965.1, XP_034179964.1, XP_034179963.1
OG0001821	XP_020720219.1	XP_034189018.1, XP_034189020.1, XP_034189019.1
OG0001822	XP_012168297.1, XP_012168298.1, XP_020720613.1, XP_003398546.1	XP_034185711.1
OG0001823	XP_003402866.1	XP_034182516.1
OG0001824	XP_012174097.1, XP_020723409.1, XP_003402491.1, XP_012174095.1	XP_034173675.1
OG0001825	XP_003395354.1	XP_034177514.1
OG0001826	XP_003402390.3	XP_034192743.1
OG0001827	XP_003402975.1	XP_034196125.1
OG0001828	XP_012167440.1, XP_003397848.1	XP_034184206.1, XP_034184205.1
OG0001829	XP_003394308.1, XP_012176151.1, XP_020724287.1	XP_034194298.1
OG0001830	XP_012171685.1, XP_003400738.1	XP_034191488.1, XP_034191489.1
OG0001831	XP_012172762.1	XP_034193517.1
OG0001832	XP_020719141.1, XP_020719140.1	XP_034195452.1
OG0001833	XP_003394305.1	XP_034186956.1
OG0001834	XP_003394559.1	XP_034194403.1
OG0001835	XP_003399910.1	XP_034186991.1, XP_034186990.1
OG0001836	XP_012169008.1	XP_034176287.1
OG0001837	XP_003396622.1	XP_034177297.1, XP_034177305.1, XP_034177312.1
OG0001838	XP_003398263.1, XP_012167951.1, XP_012167952.1, XP_012167953.1, XP_003398264.1	XP_034189701.1
OG0001839	XP_003398793.1	XP_034175509.1, XP_034175510.1, XP_034175511.1
OG0001840	XP_003402152.1	XP_034191214.1
OG0001841	XP_012165919.1, XP_020719210.1	XP_034192914.1
OG0001842	XP_003397482.2	XP_034196477.1, XP_034196476.1, XP_034196478.1
OG0001843	XP_003398713.1	XP_034187730.1
OG0001844	XP_003394281.1	XP_034186961.1, XP_034186957.1
OG0001845	XP_020723090.1	XP_034176740.1
OG0001846	XP_003397298.1	XP_034188024.1, XP_034188025.1
OG0001847	XP_012167262.1	XP_034196138.1
OG0001848	XP_012173705.1, XP_003402147.1	XP_034190915.1, XP_034190916.1
OG0001849	XP_020719091.1, XP_012164919.1, XP_012164920.1, XP_003396079.1, XP_020719092.1	XP_034195528.1
OG0001850	XP_003395478.1	XP_034177829.1
OG0001851	XP_020722319.1	XP_034191483.1, XP_034191487.1, XP_034191484.1, XP_034191486.1
OG0001852	XP_012170829.1	XP_034178369.1
OG0001853	XP_012175885.1	XP_034172353.1, XP_034172354.1, XP_034172355.1
OG0001854	XP_020719753.1, XP_012166333.1	XP_034181362.1, XP_034181363.1, XP_034181361.1, XP_034181360.1
OG0001855	XP_003393009.1	XP_034172572.1
OG0001856	XP_003403259.1, XP_012175262.1	XP_034184656.1
OG0001857	XP_003401806.1	XP_034190487.1
OG0001858	XP_012164416.1, XP_003393123.1, XP_012164423.1	XP_034173461.1
OG0001859	XP_003394694.1	XP_034188512.1
OG0001860	XP_003398605.1	XP_034184826.1
OG0001861	XP_003403029.1	XP_034184782.1, XP_034184783.1, XP_034184781.1
OG0001862	XP_020723706.1	XP_034193060.1, XP_034193066.1
OG0001863	XP_003393245.1	XP_034196055.1, XP_034196054.1, XP_034196056.1
OG0001864	XP_012168351.1, XP_003398572.1	XP_034186148.1
OG0001865	XP_003397420.1	XP_034189038.1, XP_034189037.1, XP_034189036.1, XP_034189039.1
OG0001866	XP_012173663.1, XP_012173662.1, XP_012173661.1, XP_020723216.1, XP_012173664.1	XP_034187032.1, XP_034187033.1
OG0001867	XP_012173812.1, XP_012173811.1	XP_034186840.1
OG0001868	XP_003399831.1	XP_034186551.1
OG0001869	XP_003398250.1, XP_012167929.1	XP_034186046.1
OG0001870	XP_003397409.1, XP_020720034.1	XP_034184381.1, XP_034184380.1
OG0001871	XP_012168767.1	XP_034185775.1
OG0001872	XP_012167516.1, XP_003393320.1	XP_034173528.1, XP_034173529.1, XP_034173527.1
OG0001873	XP_003394187.1, XP_012175967.1	XP_034181970.1, XP_034181973.1
OG0001874	XP_003396669.1	XP_034184917.1, XP_034184926.1, XP_034184906.1
OG0001875	XP_003397208.1	XP_034188154.1
OG0001876	XP_003399272.2	XP_034181756.1, XP_034181755.1, XP_034181754.1
OG0001877	XP_012171259.1, XP_012171258.1, XP_003400449.1, XP_020722213.1	XP_034180077.1, XP_034180076.1
OG0001878	XP_012166732.1	XP_034179421.1
OG0001879	XP_012167615.2	XP_034184608.1
OG0001880	XP_012167823.1, XP_012167826.1	XP_034189999.1, XP_034189997.1
OG0001881	XP_012169457.1	XP_034181839.1, XP_034181838.1, XP_034181840.1
OG0001882	XP_012172358.1, XP_012172363.1, XP_012172362.1, XP_012172361.1, XP_012172360.1	XP_034179278.1
OG0001883	XP_012174691.1	XP_034171181.1
OG0001884	XP_012175519.1	XP_034195352.1
OG0001885	XP_020723896.1	XP_034194655.1
OG0001886	XP_020719407.1	XP_034194024.1, XP_034194835.1, XP_034194683.1, XP_034190794.1
OG0001887	XP_020720763.1	XP_034180593.1
OG0001887	XP_020720749.1	XP_034180587.1
OG0001888	XP_020720810.1, XP_020720811.1	XP_034189416.1, XP_034189414.1
OG0001893	XP_003397407.1	XP_034184130.1, XP_034175542.1
OG0001894	NP_001267838.1	XP_034196109.1, XP_034196108.1
OG0001895	XP_012167932.1	XP_034180092.1, XP_034180090.1
OG0001896	XP_012169664.1	XP_034175143.1
OG0001897	XP_012170688.1	XP_034178729.1
OG0001898	XP_012164287.1	XP_034176724.1
OG0001899	XP_003394648.1	XP_034187101.1
OG0001900	XP_020722346.1	XP_034191781.1
OG0001901	XP_003393693.2, XP_020722249.1	XP_034189236.1
OG0001902	XP_012171932.1, XP_020722373.1	XP_034191584.1
OG0001903	XP_020720570.1	XP_034185005.1
OG0001904	XP_003393794.1	XP_034171540.1
OG0001905	XP_003399852.3	XP_034187040.1
OG0001906	XP_003398346.1	XP_034189984.1
OG0001907	XP_012167154.1	XP_034184436.1
OG0001908	XP_012172543.2	XP_034189218.1
OG0001909	XP_003398867.1	XP_034174942.1, XP_034174944.1
OG0001910	XP_003398275.1	XP_034189812.1, XP_034189813.1
OG0001911	XP_012168737.1	XP_034175927.1
OG0001912	XP_012166262.2	XP_034181597.1, XP_034181596.1
OG0001913	XP_012165432.1	XP_034172240.1
OG0001914	XP_012165532.1	XP_034183877.1
OG0001915	XP_012168176.1	XP_034173340.1
OG0001916	XP_003398170.1	XP_034183492.1, XP_034183490.1
OG0001917	XP_012171789.1, XP_012171791.1	XP_034191921.1
OG0001918	XP_003403197.1	XP_034190514.1, XP_034190515.1, XP_034190513.1
OG0001919	XP_003400693.1	XP_034195253.1, XP_034195252.1
OG0001920	XP_003392945.1	XP_034172309.1, XP_034172308.1
OG0001921	XP_003402444.1	XP_034181565.1, XP_034181566.1, XP_034181567.1
OG0001922	XP_003401476.1	XP_034179667.1, XP_034179666.1
OG0001923	XP_003402180.1	XP_034190949.1, XP_034190948.1
OG0001924	XP_012165424.1, XP_003396398.2, XP_012165425.1	XP_034172099.1
OG0001925	XP_003401744.1	XP_034185417.1, XP_034185418.1
OG0001926	XP_012171387.1, XP_020722172.1, XP_012171386.1	XP_034194037.1
OG0001927	XP_012175562.1	XP_034171690.1
OG0001928	XP_012164356.1	XP_034176914.1, XP_034176917.1, XP_034176915.1, XP_034176918.1
OG0001929	XP_012175733.1	XP_034189316.1, XP_034189317.1, XP_034189319.1
OG0001930	XP_020718623.1	XP_034177226.1
OG0001931	XP_012169828.1, XP_003399613.1	XP_034191111.1, XP_034191112.1
OG0001932	XP_003393113.2	XP_034173423.1
OG0001933	XP_012164380.1	XP_034192641.1
OG0001934	XP_020722868.1, XP_003401813.1	XP_034190455.1
OG0001935	XP_020719678.1	XP_034175866.1
OG0001936	XP_012168000.2	XP_034185995.1
OG0001937	XP_003402640.1	XP_034188688.1
OG0001938	XP_012169809.1	XP_034175969.1
OG0001939	XP_012173702.2	XP_034191302.1
OG0001940	XP_020718272.1, XP_003394925.1	XP_034174201.1
OG0001941	XP_020719661.1	XP_034175018.1, XP_034175024.1
OG0001942	XP_003394367.1	XP_034194326.1, XP_034194330.1
OG0001944	XP_012171968.1, XP_003400961.1	XP_034180321.1
OG0001945	XP_003398314.1	XP_034189879.1, XP_034189877.1
OG0001946	XP_003395158.1, XP_012163615.1	XP_034173983.1
OG0001948	XP_003401188.1	XP_034179915.1
OG0001949	XP_020722719.1	XP_034193769.1
OG0001950	XP_003393935.1, XP_012175635.1, XP_012175636.1	XP_034171010.1
OG0001951	XP_003400198.1	XP_034178295.1, XP_034178296.1
OG0001952	XP_003400041.1, XP_020721780.1	XP_034178519.1, XP_034178518.1
OG0001953	XP_012175654.1	XP_034171716.1, XP_034171714.1, XP_034171717.1, XP_034171715.1
OG0001954	XP_003398029.1	XP_034186283.1, XP_034186265.1, XP_034186274.1
OG0001955	XP_003400393.1	XP_034180049.1
OG0001956	XP_012165501.2	XP_034185019.1
OG0001957	XP_012166216.1, XP_020719789.1	XP_034187848.1
OG0001958	XP_003395092.1	XP_034174536.1
OG0001959	XP_020722587.1, XP_003401438.1	XP_034179081.1
OG0001960	XP_012171510.1, XP_003393607.1	XP_034171509.1, XP_034171510.1
OG0001961	XP_003400267.1, XP_003400266.1	XP_034178650.1, XP_034178649.1
OG0001962	XP_003403158.1, XP_012175165.1	XP_034190684.1
OG0001963	XP_003401320.1	XP_034193954.1, XP_034193952.1, XP_034193955.1
OG0001964	XP_003398368.1, XP_012168078.1	XP_034189429.1
OG0001965	XP_012166936.2	XP_034195781.1
OG0001966	XP_020719017.1, XP_012174384.1	XP_034196309.1
OG0001967	XP_012172107.1, XP_003401195.1	XP_034179710.1
OG0001968	XP_003398874.1	XP_034176163.1
OG0001969	XP_012173013.1, XP_012173014.1	XP_034190321.1, XP_034190324.1, XP_034190323.1, XP_034190322.1
OG0001970	XP_020724018.1, XP_003393988.2	XP_034171929.1
OG0001971	XP_020722110.1	XP_034191887.1
OG0001972	XP_003399106.1	XP_034174954.1
OG0001973	XP_020718833.1, XP_012164330.1, XP_012164328.1, XP_012164329.1	XP_034177542.1
OG0001974	XP_003396386.1	XP_034175656.1, XP_034175641.1
OG0001975	XP_020723693.1	XP_034196143.1, XP_034196144.1, XP_034196142.1, XP_034196145.1
OG0001976	XP_003393034.1	XP_034173056.1
OG0001977	XP_003394114.1, XP_012175873.1, XP_012175874.1	XP_034194397.1
OG0001978	XP_012163635.1	XP_034174078.1
OG0001979	XP_003396608.1	XP_034196465.1
OG0001980	XP_020719466.1	XP_034172340.1, XP_034172386.1
OG0001981	XP_003396954.1, XP_012166119.1	XP_034191406.1
OG0001982	XP_003400831.1	XP_034191905.1, XP_034191903.1
OG0001983	XP_012172573.1	XP_034178929.1
OG0001984	XP_020722175.1	XP_034189360.1, XP_034189359.1, XP_034189362.1
OG0001985	XP_003399975.1	XP_034186785.1
OG0001986	XP_020721539.1, XP_003399961.1	XP_034186756.1, XP_034186759.1
OG0001987	XP_012173643.1, XP_003402215.1	XP_034191167.1
OG0001988	XP_003402217.1	XP_034191177.1
OG0001989	XP_012173666.1, XP_003402219.1	XP_034191183.1
OG0001990	XP_020721887.1	XP_034178554.1, XP_034178555.1
OG0001991	XP_003400193.1	XP_034177993.1, XP_034177992.1
OG0001992	XP_012170939.1	XP_034177994.1
OG0001993	XP_020721976.1, XP_012170941.1	XP_034177989.1, XP_034177991.1
OG0001994	XP_012163641.1	XP_034174303.1, XP_034174304.1
OG0001995	XP_003396475.1	XP_034175856.1
OG0001996	XP_012166642.1	XP_034181112.1
OG0001997	XP_012166625.1	XP_034181538.1
OG0001998	XP_003403410.2	XP_034194416.1
OG0001999	XP_012170984.1	XP_034177949.1
OG0002000	XP_003400220.1	XP_034177957.1
OG0002001	XP_012165983.1	XP_034175124.1, XP_034175206.1
OG0002004	XP_012166427.1	XP_034181872.1
OG0002005	XP_020723739.1, XP_003403220.1	XP_034190247.1, XP_034190246.1
OG0002006	XP_003403052.1	XP_034184967.1
OG0002008	XP_003393619.1	XP_034196509.1
OG0002009	XP_003401504.1, XP_012172757.1	XP_034193515.1
OG0002010	XP_003401518.1	XP_034193918.1, XP_034193917.1
OG0002011	XP_003397039.1	XP_034192402.1
OG0002012	XP_003394477.1, XP_020724167.1	XP_034188268.1
OG0002013	XP_003400935.2	XP_034180615.1
OG0002014	XP_012171075.1	XP_034178085.1, XP_034178081.1
OG0002015	XP_020722146.1	XP_034180676.1
OG0002016	XP_012169525.1, XP_020721114.1	XP_034195585.1
OG0002017	XP_020722516.1	XP_034179845.1, XP_034179846.1
OG0002018	XP_012176061.1	XP_034182451.1
OG0002019	XP_003397339.1	XP_034181259.1
OG0002020	XP_012167020.1	XP_034184327.1
OG0002021	XP_012167358.1	XP_034183988.1, XP_034183989.1
OG0002022	XP_003397768.1	XP_034186469.1, XP_034186561.1
OG0002023	XP_003397446.1, XP_020720461.1	XP_034195800.1
OG0002024	XP_020718638.1	XP_034176857.1, XP_034176852.1, XP_034176851.1
OG0002025	XP_012163777.2	XP_034192925.1
OG0002026	XP_012164787.1	XP_034195470.1, XP_034195468.1
OG0002027	XP_003394882.1	XP_034192377.1
OG0002028	XP_020723517.1	XP_034183584.1, XP_034183585.1
OG0002029	XP_020718436.1	XP_034174135.1
OG0002030	XP_012174466.1, XP_020723543.1	XP_034183362.1, XP_034183358.1
OG0002031	XP_012167869.1, XP_003398214.1	XP_034189663.1
OG0002032	XP_012167873.1	XP_034190024.1
OG0002033	XP_012168192.1	XP_034183804.1
OG0002034	XP_003398455.1	XP_034183752.1, XP_034183751.1, XP_034183750.1
OG0002035	XP_020720727.1, XP_020720724.1	XP_034189539.1
OG0002036	XP_020722313.1, XP_012174880.2, XP_012174843.1	XP_034180382.1
OG0002037	XP_012170199.1	XP_034190764.1
OG0002038	XP_020721543.1, XP_003399659.1	XP_034190757.1
OG0002039	XP_020720421.1	XP_034189073.1, XP_034189072.1
OG0002040	XP_012172409.1, XP_012172411.1	XP_034193899.1, XP_034193900.1
OG0002041	XP_012172267.1, XP_012172268.1, XP_020722408.1	XP_034179532.1
OG0002042	XP_003401196.1	XP_034179719.1
OG0002043	XP_012169554.1, XP_012169555.1	XP_034173800.1
OG0002044	XP_003403084.2	XP_034185158.1, XP_034185169.1
OG0002045	XP_012175080.1	XP_034185189.1
OG0002046	XP_020719834.1, XP_020719835.1, XP_020719836.1, XP_020719837.1, XP_003397147.1	XP_034181505.1
OG0002047	XP_003394396.1	XP_034188192.1, XP_034188193.1, XP_034188194.1
OG0002048	XP_003394585.1	XP_034188652.1
OG0002049	XP_003396069.1	XP_034195413.1
OG0002050	XP_012163881.1	XP_034177022.1
OG0002051	XP_003395520.1	XP_034176894.1, XP_034176893.1
OG0002052	XP_003396909.1	XP_034183369.1, XP_034183359.1
OG0002053	XP_003398987.1	XP_034175115.1
OG0002055	XP_012173008.1	XP_034184641.1
OG0002056	XP_020722906.1	XP_034185448.1
OG0002057	XP_003401716.1	XP_034185470.1
OG0002058	XP_020722982.1	XP_034184831.1
OG0002059	XP_003403208.1	XP_034190559.1
OG0002060	XP_003395582.1	XP_034176936.1
OG0002061	XP_003400612.1	XP_034180367.1
OG0002062	XP_012171573.1, XP_003400607.1	XP_034180103.1, XP_034180102.1
OG0002063	XP_012170838.1, XP_012170840.1	XP_034178817.1
OG0002064	XP_003399884.1	XP_034186449.1, XP_034186448.1
OG0002065	XP_003396049.1	XP_034195048.1, XP_034195044.1, XP_034195053.1, XP_034195040.1
OG0002066	XP_012164871.1, XP_003396040.1	XP_034194571.1
OG0002067	XP_012164866.1	XP_034194521.1, XP_034194492.1
OG0002068	XP_003396649.1, XP_012165702.1	XP_034183281.1, XP_034183368.1
OG0002069	XP_012167966.1, XP_003398272.1	XP_034189806.1
OG0002070	XP_012171940.2	XP_034191793.1
OG0002072	XP_003398532.1	XP_034189487.1
OG0002073	XP_003403337.1	XP_034186233.1
OG0002074	XP_012169598.1	XP_034175830.1
OG0002075	XP_012169584.1	XP_034175464.1
OG0002076	XP_012169250.1	XP_034193374.1, XP_034193373.1
OG0002077	XP_003395237.1	XP_034187509.1
OG0002078	XP_003394971.1	XP_034174459.1
OG0002079	XP_020720469.1, XP_003397501.1, XP_020720468.1	XP_034184437.1
OG0002080	XP_003397410.1	XP_034184368.1
OG0002081	XP_012173471.1, XP_012173470.1, XP_012173469.1, XP_012173468.1, XP_012173472.1	XP_034174655.1
OG0002082	XP_003395711.1	XP_034177125.1
OG0002083	XP_003395844.1, XP_012164378.1	XP_034192646.1
OG0002084	XP_012164343.1, XP_012164342.1	XP_034177564.1
OG0002085	XP_003393814.1, XP_012174999.1	XP_034171202.1
OG0002086	XP_020719343.1, XP_020719345.1, XP_020719344.1, XP_012166214.1	XP_034175726.1, XP_034175715.1
OG0002087	XP_012165753.2	XP_034180070.1
OG0002088	XP_003396654.1	XP_034184491.1, XP_034184141.1
OG0002089	XP_003401792.1	XP_034185627.1, XP_034185630.1
OG0002090	XP_003396587.1, XP_012165600.1, XP_012165601.1	XP_034174785.1
OG0002091	XP_012165605.1	XP_034174960.1
OG0002092	XP_012165621.1	XP_034181268.1
OG0002093	XP_020719489.1	XP_034175192.1
OG0002094	XP_012174375.1	XP_034189406.1, XP_034189403.1
OG0002095	XP_020723573.1	XP_034170968.1
OG0002097	XP_003393800.1	XP_034189320.1
OG0002098	XP_012176477.1	XP_034186728.1
OG0002099	XP_020723378.1	XP_034187392.1
OG0002100	XP_003394772.1, XP_020718516.1	XP_034187428.1
OG0002101	XP_012174180.1, XP_003402440.1	XP_034187732.1
OG0002102	XP_012170032.1	XP_034191311.1, XP_034191310.1
OG0002103	XP_012165262.1	XP_034178896.1
OG0002104	XP_012173176.1	XP_034185686.1, XP_034185685.1
OG0002105	XP_012165326.1, XP_020719578.1, XP_003396343.1, XP_012165325.1	XP_034177656.1
OG0002106	XP_012169401.1, XP_020720964.1	XP_034193089.1
OG0002107	XP_003398659.1	XP_034176271.1
OG0002108	XP_012168631.1	XP_034176220.1, XP_034176221.1
OG0002109	XP_012163556.1	XP_034172118.1
OG0002110	XP_012164237.1	XP_034173410.1
OG0002111	XP_012167271.1	XP_034195768.1
OG0002112	XP_020723278.1, XP_020723279.1	XP_034195659.1
OG0002113	XP_003402973.1	XP_034194001.1
OG0002114	XP_020721038.1	XP_034173225.1
OG0002115	XP_020720475.1	XP_034191969.1, XP_034191960.1
OG0002116	XP_012169460.1	XP_034181337.1, XP_034181336.1
OG0002117	XP_003401949.1	XP_034185441.1
OG0002118	XP_003395910.1	XP_034176317.1
OG0002119	XP_003402300.1	XP_034175230.1, XP_034175228.1
OG0002120	XP_012173883.1, XP_012173884.1	XP_034176246.1
OG0002121	XP_020724066.1	XP_034182227.1
OG0002121	XP_020724067.1	XP_034182228.1
OG0002122	XP_020723582.1, XP_003402822.1, XP_012174663.1	XP_034188426.1
OG0002124	XP_003394203.1	XP_034182023.1, XP_034182025.1
OG0002125	XP_020724103.1, XP_020724102.1, XP_020724100.1, XP_020724101.1, XP_003394172.1	XP_034194750.1
OG0002126	XP_020724065.1, XP_003394274.1	XP_034182302.1, XP_034182301.1
OG0002127	XP_020718565.1	XP_034173934.1, XP_034173932.1
OG0002128	XP_012163251.1, XP_020718542.1	XP_034173783.1, XP_034173782.1
OG0002129	XP_012163425.1	XP_034174586.1
OG0002130	XP_012174104.1, XP_012174103.1	XP_034173718.1
OG0002131	XP_020722122.1	XP_034191563.1
OG0002132	XP_012163564.1	XP_034187335.1
OG0002133	XP_012176705.1	XP_034173898.1
OG0002133	XP_012176699.1	XP_034173896.1
OG0002134	XP_020718596.1	XP_034192660.1
OG0002135	XP_012164279.1, XP_012164278.1, XP_003395753.1	XP_034177744.1
OG0002136	XP_012163872.1	XP_034177503.1
OG0002137	XP_020719027.1	XP_034195828.1
OG0002138	XP_012164653.1, XP_020719000.1, XP_012164655.1	XP_034194751.1, XP_034194743.1
OG0002139	XP_003397335.1	XP_034181217.1
OG0002140	XP_012165512.1	XP_034176060.1, XP_034176067.1
OG0002141	XP_012166693.1	XP_034187921.1, XP_034187922.1
OG0002142	XP_012175190.1	XP_034185608.1
OG0002143	XP_020719674.1, XP_020719671.1	XP_034173569.1
OG0002144	XP_020719744.1	XP_034181515.1
OG0002145	XP_003401894.1	XP_034185225.1, XP_034185224.1
OG0002146	XP_012173978.1	XP_034181426.1, XP_034181423.1
OG0002147	XP_012167069.1, XP_012167070.1, XP_012167072.1, XP_012167071.1	XP_034196424.1
OG0002148	XP_003397918.2	XP_034171194.1
OG0002149	XP_020720435.1, XP_020720434.1	XP_034184505.1
OG0002150	XP_003398428.1	XP_034185952.1, XP_034185953.1
OG0002151	XP_003398230.1	XP_034185772.1
OG0002152	XP_020719492.1	XP_034181421.1
OG0002152	XP_003396796.1	XP_034181499.1
