Orthogroup	Bombus_terrestris	Habropoda_laboriosa
OG0001913	XP_012165432.1	XP_017788249.1
OG0001914	XP_012165532.1	XP_017792308.1
OG0001915	XP_012168176.1	XP_017794565.1
OG0001916	XP_003398170.1	XP_017791906.1
OG0001917	XP_012171789.1, XP_012171791.1	XP_017787979.1
OG0001918	XP_003403197.1	XP_017799550.1
OG0001919	XP_003400693.1	XP_017797752.1
OG0001920	XP_003392945.1	XP_017795373.1
OG0001921	XP_003402444.1	XP_017797878.1
OG0001922	XP_003401476.1	XP_017795875.1
OG0001923	XP_003402180.1	XP_017794861.1
OG0001924	XP_012165424.1, XP_003396398.2, XP_012165425.1	XP_017788252.1
OG0001925	XP_003401744.1	XP_017787430.1
OG0001926	XP_012171387.1, XP_020722172.1, XP_012171386.1	XP_017794622.1
OG0001927	XP_012175562.1	XP_017790560.1
OG0001928	XP_012164356.1	XP_017790642.1
OG0001929	XP_012175733.1	XP_017794446.1
OG0001930	XP_020718623.1	XP_017795990.1
OG0001931	XP_012169828.1, XP_003399613.1	XP_017798340.1
OG0001932	XP_003393113.2	XP_017799030.1
OG0001933	XP_012164380.1	XP_017790744.1, XP_017790743.1
OG0001934	XP_020722868.1, XP_003401813.1	XP_017798036.1
OG0001935	XP_020719678.1	XP_017791026.1
OG0001936	XP_012168000.2	XP_017789724.1, XP_017789731.1
OG0001937	XP_003402640.1	XP_017796512.1
OG0001939	XP_012173702.2	XP_017794898.1
OG0001940	XP_020718272.1, XP_003394925.1	XP_017798181.1
OG0001941	XP_020719661.1	XP_017792555.1
OG0001942	XP_003394367.1	XP_017789346.1
OG0001943	XP_003397346.1	XP_017794219.1
OG0001944	XP_012171968.1, XP_003400961.1	XP_017797701.1
OG0001945	XP_003398314.1	XP_017789819.1
OG0001946	XP_003395158.1, XP_012163615.1	XP_017795984.1
OG0001947	XP_003396494.1	XP_017794193.1
OG0001948	XP_003401188.1	XP_017796716.1
OG0001949	XP_020722719.1	XP_017796607.1
OG0001950	XP_003393935.1, XP_012175635.1, XP_012175636.1	XP_017795974.1
OG0001951	XP_003400198.1	XP_017789000.1
OG0001952	XP_003400041.1, XP_020721780.1	XP_017789873.1
OG0001953	XP_012175654.1	XP_017795946.1
OG0001954	XP_003398029.1	XP_017797373.1
OG0001955	XP_003400393.1	XP_017798538.1
OG0001956	XP_012165501.2	XP_017792038.1
OG0001957	XP_012166216.1, XP_020719789.1	XP_017790438.1
OG0001958	XP_003395092.1	XP_017797223.1
OG0001959	XP_020722587.1, XP_003401438.1	XP_017796284.1
OG0001960	XP_012171510.1, XP_003393607.1	XP_017787909.1
OG0001961	XP_003400267.1, XP_003400266.1	XP_017788778.1
OG0001962	XP_003403158.1, XP_012175165.1	XP_017799510.1, XP_017799508.1
OG0001963	XP_003401320.1	XP_017787591.1
OG0001964	XP_003398368.1, XP_012168078.1	XP_017790177.1
OG0001965	XP_012166936.2	XP_017789920.1
OG0001966	XP_012174384.1	XP_017789044.1
OG0001967	XP_012172107.1, XP_003401195.1	XP_017796638.1
OG0001968	XP_003398874.1	XP_017795023.1
OG0001969	XP_012173013.1, XP_012173014.1	XP_017794073.1
OG0001970	XP_020724018.1, XP_003393988.2	XP_017795926.1
OG0001971	XP_020722110.1	XP_017797692.1, XP_017789558.1
OG0001972	XP_003399106.1	XP_017792953.1
OG0001973	XP_020718833.1, XP_012164330.1, XP_012164328.1, XP_012164329.1	XP_017790804.1
OG0001974	XP_003396386.1	XP_017792247.1
OG0001975	XP_020723693.1	XP_017789047.1
OG0001976	XP_003393034.1	XP_017799280.1
OG0001977	XP_003394114.1, XP_012175873.1, XP_012175874.1	XP_017789308.1
OG0001978	XP_012163635.1	XP_017797187.1
OG0001979	XP_003396608.1	XP_017792068.1
OG0001980	XP_020719466.1	XP_017792032.1
OG0001981	XP_003396954.1, XP_012166119.1	XP_017787836.1
OG0001982	XP_003400831.1	XP_017797821.1
OG0001983	XP_012172573.1	XP_017795097.1
OG0001984	XP_020722175.1	XP_017792637.1
OG0001985	XP_003399975.1	XP_017798469.1
OG0001986	XP_020721539.1, XP_003399961.1	XP_017798333.1
OG0001987	XP_012173643.1, XP_003402215.1	XP_017798437.1
OG0001988	XP_003402217.1	XP_017798439.1
OG0001989	XP_012173666.1, XP_003402219.1	XP_017798403.1
OG0001990	XP_020721887.1	XP_017788763.1
OG0001991	XP_003400193.1	XP_017788816.1
OG0001992	XP_012170939.1	XP_017788754.1
OG0001993	XP_020721976.1, XP_012170941.1	XP_017788858.1
OG0001994	XP_012163641.1	XP_017795281.1
OG0001995	XP_003396475.1	XP_017792547.1
OG0001996	XP_012166642.1	XP_017794207.1
OG0001997	XP_012166625.1	XP_017793687.1
OG0001998	XP_003403410.2	XP_017789477.1, XP_017789476.1
OG0001999	XP_012170984.1	XP_017788805.1
OG0002000	XP_003400220.1	XP_017788714.1
OG0002001	XP_012165983.1	XP_017791070.1
OG0002004	XP_012166427.1	XP_017790222.1
OG0002005	XP_020723739.1, XP_003403220.1	XP_017791185.1
OG0002006	XP_003403052.1	XP_017791181.1
OG0002007	XP_012168392.1, XP_003398589.1	XP_017793860.1
OG0002008	XP_003393619.1	XP_017787915.1
OG0002009	XP_003401504.1, XP_012172757.1	XP_017793551.1
OG0002010	XP_003401518.1	XP_017793547.1
OG0002011	XP_003397039.1	XP_017790511.1
OG0002012	XP_003394477.1, XP_020724167.1	XP_017788155.1
OG0002013	XP_003400935.2	XP_017794723.1
OG0002014	XP_012171075.1	XP_017788789.1
OG0002016	XP_012169525.1, XP_020721114.1	XP_017796939.1
OG0002017	XP_020722516.1	XP_017787419.1
OG0002018	XP_012176061.1	XP_017788131.1
OG0002019	XP_003397339.1	XP_017793300.1
OG0002020	XP_012167020.1	XP_017791180.1
OG0002021	XP_012167358.1	XP_017795376.1
OG0002022	XP_003397768.1	XP_017787359.1
OG0002023	XP_003397446.1, XP_020720461.1	XP_017790152.1
OG0002024	XP_020718638.1	XP_017796009.1
OG0002025	XP_012163777.2	XP_017789787.1
OG0002026	XP_012164787.1	XP_017789096.1
OG0002027	XP_003394882.1	XP_017797902.1
OG0002028	XP_020723517.1	XP_017793225.1
OG0002029	XP_020718436.1	XP_017787954.1
OG0002030	XP_012174466.1, XP_020723543.1	XP_017793238.1
OG0002031	XP_012167869.1, XP_003398214.1	XP_017792154.1
OG0002032	XP_012167873.1	XP_017792271.1
OG0002033	XP_012168192.1	XP_017795434.1, XP_017795435.1
OG0002035	XP_020720727.1, XP_020720724.1	XP_017795438.1
OG0002036	XP_020722313.1, XP_012174880.2, XP_012174843.1	XP_017797782.1
OG0002037	XP_012170199.1	XP_017787659.1
OG0002038	XP_020721543.1, XP_003399659.1	XP_017787636.1
OG0002039	XP_020720421.1	XP_017790915.1
OG0002040	XP_012172409.1, XP_012172411.1	XP_017791859.1
OG0002041	XP_012172267.1, XP_012172268.1, XP_020722408.1	XP_017791787.1
OG0002042	XP_003401196.1	XP_017796603.1
OG0002043	XP_012169554.1, XP_012169555.1	XP_017792956.1
OG0002044	XP_003403084.2	XP_017791121.1
OG0002045	XP_012175080.1	XP_017791244.1
OG0002046	XP_020719834.1, XP_020719835.1, XP_020719836.1, XP_020719837.1, XP_003397147.1	XP_017798899.1
OG0002047	XP_003394396.1	XP_017789446.1
OG0002048	XP_003394585.1	XP_017796163.1
OG0002049	XP_003396069.1	XP_017797476.1
OG0002050	XP_012163881.1	XP_017796090.1
OG0002051	XP_003395520.1	XP_017796022.1, XP_017796021.1
OG0002052	XP_003396909.1	XP_017787806.1
OG0002053	XP_003398987.1	XP_017790267.1
OG0002055	XP_012173008.1	XP_017794071.1, XP_017794072.1
OG0002056	XP_020722906.1	XP_017793964.1
OG0002057	XP_003401716.1	XP_017787436.1, XP_017787437.1
OG0002058	XP_020722982.1	XP_017787415.1
OG0002059	XP_003403208.1	XP_017794005.1, XP_017794010.1, XP_017794008.1, XP_017794009.1, XP_017794007.1
OG0002060	XP_003395582.1	XP_017793658.1
OG0002061	XP_003400612.1	XP_017798715.1
OG0002062	XP_012171573.1, XP_003400607.1	XP_017798610.1
OG0002063	XP_012170838.1, XP_012170840.1	XP_017795759.1
OG0002064	XP_003399884.1	XP_017792470.1
OG0002065	XP_003396049.1	XP_017789009.1
OG0002066	XP_012164871.1, XP_003396040.1	XP_017789161.1
OG0002067	XP_012164866.1	XP_017797601.1
OG0002068	XP_003396649.1, XP_012165702.1	XP_017791658.1
OG0002069	XP_012167966.1, XP_003398272.1	XP_017791615.1
OG0002070	XP_012171940.2	XP_017798776.1
OG0002071	XP_012171285.1, XP_020722092.1, XP_003400470.1	XP_017798520.1
OG0002072	XP_003398532.1	XP_017789480.1
OG0002073	XP_003403337.1	XP_017792104.1
OG0002074	XP_012169598.1	XP_017793319.1
OG0002075	XP_012169584.1	XP_017793445.1
OG0002076	XP_012169250.1	XP_017793353.1
OG0002077	XP_003395237.1	XP_017798139.1, XP_017798140.1
OG0002078	XP_003394971.1	XP_017796992.1
OG0002079	XP_020720469.1, XP_003397501.1, XP_020720468.1	XP_017791191.1
OG0002080	XP_003397410.1	XP_017799519.1
OG0002081	XP_012173471.1, XP_012173470.1, XP_012173469.1, XP_012173468.1, XP_012173472.1	XP_017788522.1
OG0002082	XP_003395711.1	XP_017790783.1
OG0002083	XP_003395844.1, XP_012164378.1	XP_017790648.1
OG0002084	XP_012164343.1, XP_012164342.1	XP_017790735.1
OG0002085	XP_003393814.1, XP_012174999.1	XP_017790488.1
OG0002087	XP_012165753.2	XP_017795617.1
OG0002088	XP_003396654.1	XP_017787870.1
OG0002089	XP_003401792.1	XP_017798030.1
OG0002090	XP_003396587.1, XP_012165600.1, XP_012165601.1	XP_017794147.1
OG0002091	XP_012165605.1	XP_017794281.1
OG0002092	XP_012165621.1	XP_017794145.1
OG0002093	XP_020719489.1	XP_017794240.1
OG0002094	XP_012174375.1	XP_017796421.1
OG0002095	XP_020723573.1	XP_017788701.1
OG0002097	XP_003393800.1	XP_017788267.1
OG0002098	XP_012176477.1	XP_017790165.1
OG0002099	XP_020723378.1	XP_017798179.1
OG0002100	XP_003394772.1, XP_020718516.1	XP_017798282.1
OG0002101	XP_012174180.1, XP_003402440.1	XP_017798284.1
OG0002102	XP_012170032.1	XP_017794894.1
OG0002103	XP_012165262.1	XP_017792341.1
OG0002104	XP_012173176.1	XP_017797998.1
OG0002105	XP_012165326.1, XP_020719578.1, XP_003396343.1, XP_012165325.1	XP_017792369.1
OG0002106	XP_012169401.1, XP_020720964.1	XP_017793002.1
OG0002107	XP_003398659.1	XP_017793088.1
OG0002108	XP_012168631.1	XP_017795191.1
OG0002109	XP_012163556.1	XP_017799181.1
OG0002110	XP_012164237.1	XP_017799255.1
OG0002111	XP_012167271.1	XP_017788523.1, XP_017792107.1
OG0002112	XP_020723278.1, XP_020723279.1	XP_017797526.1
OG0002113	XP_003402973.1	XP_017789181.1
OG0002114	XP_020721038.1	XP_017787647.1, XP_017787648.1
OG0002115	XP_020720475.1	XP_017796975.1
OG0002116	XP_012169460.1	XP_017792658.1
OG0002117	XP_003401949.1	XP_017788514.1
OG0002118	XP_003395910.1	XP_017797436.1
OG0002119	XP_003402300.1	XP_017797384.1
OG0002120	XP_012173883.1, XP_012173884.1	XP_017797417.1
OG0002122	XP_020723582.1, XP_003402822.1, XP_012174663.1	XP_017796154.1
OG0002124	XP_003394203.1	XP_017788236.1
OG0002126	XP_020724065.1, XP_003394274.1	XP_017789365.1
OG0002127	XP_020718565.1	XP_017787949.1
OG0002128	XP_012163251.1, XP_020718542.1	XP_017798153.1
OG0002129	XP_012163425.1	XP_017793790.1
OG0002130	XP_012174104.1, XP_012174103.1	XP_017798147.1
OG0002131	XP_020722122.1	XP_017794646.1, XP_017794645.1
OG0002132	XP_012163564.1	XP_017797201.1
OG0002133	XP_012176699.1	XP_017796243.1
OG0002134	XP_020718596.1	XP_017788672.1
OG0002135	XP_012164279.1, XP_012164278.1, XP_003395753.1	XP_017793593.1
OG0002136	XP_012163872.1	XP_017796000.1
OG0002137	XP_020719027.1	XP_017789066.1
OG0002138	XP_012164653.1, XP_020719000.1, XP_012164655.1	XP_017797507.1
OG0002139	XP_003397335.1	XP_017793379.1
OG0002140	XP_012165512.1	XP_017792089.1
OG0002141	XP_012166693.1	XP_017790545.1
OG0002142	XP_012175190.1	XP_017797216.1, XP_017799499.1, XP_017799501.1
OG0002143	XP_020719674.1, XP_020719671.1	XP_017788202.1
OG0002145	XP_003401894.1	XP_017787483.1
OG0002146	XP_012173978.1	XP_017790448.1
OG0002147	XP_012167069.1, XP_012167070.1, XP_012167072.1, XP_012167071.1	XP_017794391.1
OG0002148	XP_003397918.2	XP_017795711.1
OG0002149	XP_020720435.1, XP_020720434.1	XP_017797365.1
OG0002150	XP_003398428.1	XP_017790012.1
OG0002151	XP_003398230.1	XP_017789834.1
OG0002152	XP_020719492.1	XP_017788195.1
OG0002152	XP_003396796.1	XP_017788194.1
OG0002153	XP_003399392.1, XP_012169771.1, XP_020720980.1	XP_017793106.1
OG0002154	XP_012169013.1, XP_012169014.1	XP_017792855.1
OG0002155	XP_012170647.2	XP_017787524.1
OG0002156	XP_012170846.1	XP_017796106.1
OG0002157	XP_012171523.1	XP_017798595.1
OG0002158	XP_003393391.1	XP_017794661.1
OG0002159	XP_020722194.1	XP_017788000.1
OG0002160	XP_003400818.1	XP_017797747.1
OG0002161	XP_003400662.1, XP_012171495.1, XP_020722002.1	XP_017787990.1, XP_017787991.1
OG0002162	XP_012167939.1	XP_017797563.1
OG0002163	XP_003401492.1	XP_017793561.1
OG0002164	XP_012172112.1	XP_017796621.1
OG0002165	XP_003401468.1	XP_017795880.1
OG0002166	XP_020723149.1	XP_017791538.1
OG0002167	XP_012170156.1	XP_017792611.1
OG0002168	XP_020720552.1, XP_003398646.1	XP_017795702.1
OG0002169	XP_003393451.2	XP_017798939.1
OG0002170	XP_003396567.1	XP_017794224.1, XP_017794223.1
OG0002171	XP_012174283.1, XP_003402591.1	XP_017794225.1
OG0002172	XP_003399295.2	XP_017797907.1
OG0002173	XP_012165223.1, XP_012165225.1, XP_012165224.1, XP_012165221.1, XP_012165222.1	XP_017794227.1
OG0002174	XP_003393665.1, XP_012172416.1, XP_012172423.1	XP_017796545.1
OG0002175	XP_003402227.1, XP_012173762.1, XP_012173764.1	XP_017792647.1
OG0002176	XP_003402671.1	XP_017796481.1
OG0002177	XP_020722193.1	XP_017792631.1
OG0002177	XP_012173487.1	XP_017792632.1
OG0002178	XP_012174364.1, XP_003402628.1	XP_017796474.1
OG0002179	XP_012175963.1	XP_017795254.1
OG0002180	XP_020723613.1	XP_017791732.1
OG0002181	XP_020724223.1	XP_017788467.1
OG0002183	XP_012174572.1	XP_017795247.1
OG0002184	XP_012174433.2	XP_017793233.1
OG0002185	XP_003402456.2	XP_017798079.1
OG0002186	XP_020718576.1	XP_017796276.1, XP_017796234.1
OG0002187	XP_003398756.3	XP_017795531.1
OG0002188	XP_012163320.1, XP_020718587.1, XP_020718586.1	XP_017791978.1
OG0002189	XP_003394834.1	XP_017796942.1
OG0002190	XP_012173204.1	XP_017797968.1
OG0002191	XP_020718893.1	XP_017795996.1
OG0002192	XP_012163818.1, XP_020718618.1, XP_020718619.1	XP_017796094.1
OG0002193	XP_012165191.1	XP_017794152.1
OG0002194	XP_012164468.1	XP_017795462.1
OG0002195	XP_003395731.1	XP_017790800.1
OG0002196	XP_012164459.1, XP_012164460.1, XP_012164461.1, XP_012164462.1	XP_017795673.1
OG0002197	XP_003395748.1	XP_017793640.1
OG0002198	XP_020718925.1, XP_003395568.1	XP_017793713.1
OG0002199	XP_003395573.1	XP_017793709.1
OG0002200	XP_012163936.1	XP_017790829.1
OG0002201	XP_012163956.1, XP_012163954.1	XP_017788654.1
OG0002202	XP_020718846.1	XP_017792123.1
OG0002204	XP_012163098.1, XP_020718356.1	XP_017791446.1
OG0002205	XP_003395990.1	XP_017789032.1
OG0002206	XP_012164782.1	XP_017789082.1
OG0002208	XP_003393014.1, XP_012176259.1	XP_017799283.1
OG0002209	XP_012165009.1	XP_017798302.1
OG0002211	XP_020719803.1	XP_017793741.1
OG0002212	XP_020719691.1	XP_017788205.1
OG0002213	XP_012166208.1	XP_017787812.1
OG0002215	XP_012166468.1, XP_003397193.1	XP_017790134.1, XP_017790133.1
OG0002216	XP_020721001.1	XP_017792048.1
OG0002217	XP_012166974.1, XP_012166975.1, XP_012166972.1, XP_012166973.1	XP_017790937.1
OG0002218	XP_012173196.2	XP_017798004.1
OG0002220	XP_012166418.1, XP_012166419.1, XP_012166420.1	XP_017798830.1
OG0002222	XP_012174515.1, XP_012174745.1	XP_017793189.1
OG0002223	XP_020723758.1, XP_012175107.1	XP_017791095.1
OG0002224	XP_003397591.1, XP_012167142.1, XP_012167140.1	XP_017795084.1
OG0002225	XP_003397568.1	XP_017794383.1
OG0002226	XP_020720417.1, XP_020720418.1, XP_020720419.1, XP_020720420.1, XP_012167580.1	XP_017794136.1
OG0002227	XP_003398006.1	XP_017797370.1
OG0002228	XP_012167204.1	XP_017795192.1
OG0002229	XP_003402101.1, XP_012173400.1, XP_003401927.1	XP_017788608.1
OG0002230	XP_003403351.1	XP_017791550.1
OG0002231	XP_012167889.1, XP_012167891.1	XP_017792399.1
OG0002232	XP_003398217.1	XP_017792441.1
OG0002233	XP_012169821.1	XP_017793479.1
OG0002234	XP_003398916.1, XP_020721317.1	XP_017797402.1
OG0002235	XP_012166184.1, XP_003396497.1	XP_017794268.1
OG0002237	XP_003396407.1, XP_020719397.1, XP_012165439.1	XP_017790340.1
OG0002238	XP_003399123.1	XP_017793028.1
OG0002239	XP_003399018.1	XP_017795556.1
OG0002240	XP_020724035.1	XP_017799114.1
OG0002241	XP_012170605.1	XP_017791393.1
OG0002242	XP_012169901.1, XP_012169900.1	XP_017791488.1
OG0002243	XP_003400177.1, XP_012170927.1	XP_017788756.1
OG0002244	XP_012171025.1	XP_017788812.1
OG0002245	XP_012170843.1	XP_017795764.1
OG0002246	XP_012170850.1	XP_017796203.1, XP_017796202.1
OG0002247	XP_020722252.1	XP_017787988.1
OG0002247	XP_012171910.2, XP_012174856.1	XP_017796762.1
OG0002248	XP_020722197.1	XP_017787972.1
OG0002249	XP_003400724.1	XP_017798511.1
OG0002250	XP_012171775.1, XP_003400898.1	XP_017788002.1
OG0002251	XP_003393271.1	XP_017798995.1
OG0002252	XP_020722199.1, XP_012171704.1	XP_017798500.1
OG0002253	XP_012172279.2	XP_017791893.1, XP_017791894.1
OG0002254	XP_003400971.1	XP_017789684.1, XP_017797108.1
OG0002255	XP_003401404.1	XP_017795107.1
OG0002256	XP_020718393.1, XP_012176761.1, XP_003394848.1	XP_017797903.1
OG0002257	XP_003401475.1, XP_012172706.1, XP_012172705.1, XP_012172704.1	XP_017795907.1
OG0002258	XP_012173232.1, XP_012173225.1	XP_017795854.1
OG0002259	XP_012172337.1, XP_003401337.1	XP_017787390.1
OG0002260	XP_020723243.1, XP_012173785.2	XP_017791210.1
OG0002261	XP_003396341.1, XP_020719680.1	XP_017792313.1
OG0002263	XP_012174002.1, XP_012166644.1	XP_017792494.1
OG0002264	XP_003396267.1	XP_017794154.1
OG0002265	XP_012174478.1	XP_017787815.1
OG0002266	XP_012168493.1	XP_017789723.1
OG0002267	XP_012170429.1	XP_017794780.1
OG0002268	XP_012170202.1	XP_017791364.1
OG0002269	XP_012171162.1	XP_017798586.1
OG0002270	XP_003401037.1, XP_020722527.1, XP_020722528.1	XP_017791619.1
OG0002271	XP_003402159.1	XP_017792782.1, XP_017792781.1
OG0002272	XP_020720694.1	XP_017799213.1
OG0002273	XP_003402903.1	XP_017795789.1
OG0002274	XP_003396016.1	XP_017789135.1
OG0002275	XP_012165037.1	XP_017797615.1
OG0002276	XP_012166543.1, XP_003397209.1	XP_017790104.1
OG0002277	XP_012175062.1	XP_017791227.1
OG0002278	XP_003394043.1, XP_012175819.1	XP_017794440.1
OG0002279	XP_003399814.1	XP_017794923.1
OG0002280	XP_012175752.1	XP_017794439.1
OG0002281	XP_012173338.1, XP_020723042.1, XP_012173345.1, XP_020723041.1, XP_012173342.1	XP_017788606.1
OG0002282	XP_003399923.1	XP_017798344.1
OG0002283	XP_003394246.1	XP_017788746.1
OG0002284	XP_012163063.1	XP_017798261.1, XP_017798262.1
OG0002285	XP_003392963.1	XP_017799222.1
OG0002286	XP_020723020.1, XP_003401805.1	XP_017798017.1
OG0002287	XP_003396235.1	XP_017798129.1
OG0002288	XP_012169403.1	XP_017793096.1
OG0002289	XP_003403100.1	XP_017794045.1
OG0002290	XP_012167998.2	XP_017792082.1
OG0002291	XP_020720624.1, XP_020720625.1	XP_017791838.1
OG0002292	XP_003398367.2	XP_017793861.1
OG0002293	XP_012171632.1	XP_017797813.1
OG0002294	XP_003401100.1, XP_020722679.1, XP_012172223.1	XP_017796634.1
OG0002295	XP_003393550.1	XP_017787903.1
OG0002296	XP_012176052.1, XP_012176053.1	XP_017788450.1
OG0002297	XP_003402502.1	XP_017798120.1, XP_017798119.1, XP_017798118.1
OG0002298	XP_003395699.1	XP_017790760.1
OG0002299	XP_020718920.1	XP_017790764.1
OG0002300	XP_020719874.1, XP_012166616.1	XP_017793981.1
OG0002301	XP_003401921.1	XP_017794076.1
OG0002302	XP_012169231.1	XP_017793399.1
OG0002303	XP_012168271.1	XP_017789605.1
OG0002305	XP_003398019.1	XP_017791772.1
OG0002306	XP_012167104.1	XP_017797309.1
OG0002307	XP_012176564.1, XP_012176565.1	XP_017796143.1
OG0002308	XP_003394903.1	XP_017797027.1
OG0002309	XP_003394884.1	XP_017797831.1, XP_017797832.1
OG0002310	XP_003401797.1	XP_017798021.1
OG0002311	XP_003393098.1	XP_017799063.1
OG0002312	XP_003395516.1	XP_017790794.1
OG0002313	XP_003395629.1	XP_017792131.1
OG0002314	XP_003393273.1	XP_017798997.1
OG0002315	XP_003395692.1	XP_017790788.1
OG0002316	XP_003400960.1	XP_017798789.1
OG0002317	XP_003402778.1, XP_020723527.1	XP_017793200.1
OG0002318	XP_003395603.1	XP_017790712.1
OG0002319	XP_003399971.1	XP_017792613.1
OG0002320	XP_012172830.1	XP_017794762.1
OG0002321	XP_012163819.1	XP_017796093.1
OG0002322	XP_003397666.1	XP_017791439.1
OG0002323	XP_003401724.1	XP_017794085.1
OG0002324	XP_012168572.1, XP_003398773.1	XP_017793467.1
OG0002325	XP_003398498.1	XP_017790351.1
OG0002326	XP_012174189.1	XP_017797911.1, XP_017797910.1
OG0002327	XP_003393705.1, XP_003393706.1	XP_017796457.1
OG0002328	XP_012167897.1	XP_017792336.1, XP_017792328.1
OG0002329	XP_012173169.1, XP_020722951.1	XP_017797977.1, XP_017797978.1
OG0002330	XP_003393428.1, XP_020718261.1	XP_017794559.1
OG0002331	XP_003395102.1	XP_017797179.1
OG0002333	XP_020719088.1, XP_003395902.1, XP_012164659.1, XP_012164658.1	XP_017797435.1
OG0002334	XP_003396668.1	XP_017792043.1
OG0002335	XP_012170490.1, XP_012170489.1	XP_017787547.1, XP_017787548.1
OG0002336	XP_003394412.1	XP_017789434.1
OG0002337	XP_012175280.1	XP_017793834.1, XP_017793830.1
OG0002338	XP_003393751.1	XP_017792583.1
OG0002339	XP_003398511.1	XP_017790091.1
OG0002340	XP_003399346.1	XP_017796890.1
OG0002341	XP_012171230.1, XP_012174891.2	XP_017794674.1
OG0002342	XP_012167818.1	XP_017794614.1
OG0002343	XP_003403227.1	XP_017789661.1
OG0002344	XP_003397822.1	XP_017799600.1
OG0002345	XP_003394421.1	XP_017793165.1
OG0002346	XP_020723440.1	XP_017791126.1, XP_017797097.1
OG0002347	XP_003396802.2	XP_017788188.1
OG0002348	XP_003394769.1	XP_017798280.1
OG0002349	XP_003393076.1	XP_017799180.1
OG0002350	XP_003395903.1	XP_017796111.1
OG0002351	XP_012171674.1	XP_017798664.1, XP_017798663.1
OG0002352	XP_003399424.1	XP_017796928.1
OG0002353	XP_012164908.1	XP_017797499.1
OG0002354	XP_003399042.1, XP_012169235.1	XP_017793431.1
OG0002355	XP_003399045.1	XP_017793444.1
OG0002356	XP_020718265.1, XP_012175898.1	XP_017796369.1, XP_017796368.1
OG0002357	XP_003394144.1, XP_003394143.1	XP_017796380.1
OG0002358	XP_003400531.1	XP_017798660.1
OG0002359	XP_003400617.1	XP_017798726.1
OG0002360	XP_020719431.1, XP_020719428.1, XP_020719441.1, XP_003392952.1, XP_020719427.1	XP_017799209.1
OG0002361	XP_003393267.1	XP_017797408.1
OG0002362	XP_003396103.1	XP_017791965.1
OG0002363	XP_012167744.1, XP_003398239.1	XP_017789804.1, XP_017789813.1
OG0002364	XP_003398334.1	XP_017793945.1
OG0002365	XP_012164565.1	XP_017793718.1
OG0002366	XP_012165970.1	XP_017791066.1
OG0002367	XP_012169135.1	XP_017790276.1
OG0002368	XP_012169719.1	XP_017789288.1
OG0002369	XP_012171115.2	XP_017788731.1
OG0002369	XP_020721959.1	XP_017788732.1
OG0002370	XP_012171418.1, XP_012171422.1	XP_017798581.1
OG0002371	XP_012172410.1, XP_012172405.1, XP_012172399.1, XP_012172396.1	XP_017796467.1
OG0002372	XP_012174957.1	XP_017793987.1, XP_017793986.1
OG0002373	XP_020718243.1	XP_017788435.1
OG0002374	XP_020723570.1	XP_017796131.1
OG0002383	XP_012176397.1	XP_017788088.1
OG0002384	XP_020722491.1, XP_020722495.1	XP_017796600.1
OG0002385	XP_003395481.3	XP_017795995.1
OG0002386	XP_003398978.1	XP_017790262.1
OG0002387	XP_003397363.1	XP_017793344.1
OG0002388	XP_003399611.1	XP_017798433.1
OG0002389	XP_003393360.1, XP_003393361.1	XP_017792484.1
OG0002390	XP_003400433.1	XP_017794630.1
OG0002391	XP_012172581.1	XP_017795096.1
OG0002392	XP_003403265.1	XP_017792967.1
OG0002393	XP_012167383.1	XP_017795283.1
OG0002394	XP_012171379.1	XP_017787878.1
OG0002395	XP_012171701.1	XP_017798550.1
OG0002396	XP_003397668.1	XP_017790227.1
OG0002397	XP_003401364.1	XP_017799566.1
OG0002398	XP_012164574.1	XP_017787726.1
OG0002399	XP_003402466.1	XP_017791973.1
OG0002400	XP_003393443.1	XP_017795508.1
OG0002401	XP_012164471.1, XP_003395340.1, XP_012164472.1	XP_017795437.1
OG0002402	XP_012175153.1	XP_017799539.1
OG0002403	XP_012175469.1, XP_012168014.1	XP_017789338.1
OG0002404	XP_020722171.1	XP_017797779.1
OG0002405	XP_020719477.1	XP_017799183.1
OG0002406	XP_003397289.2	XP_017790251.1
OG0002407	XP_012169798.1	XP_017793514.1
OG0002408	XP_012168651.1	XP_017793127.1
OG0002409	XP_003396707.1	XP_017792069.1
OG0002410	XP_012173620.1	XP_017792790.1
OG0002411	XP_012172217.1	XP_017796641.1, XP_017796640.1
OG0002412	XP_012164864.1	XP_017789173.1
OG0002413	XP_012167819.1	XP_017789540.1
OG0002414	XP_020724045.1	XP_017799190.1, XP_017799188.1
OG0002416	XP_003394758.1	XP_017797403.1
OG0002417	XP_012170854.1, XP_012170853.1	XP_017796199.1
OG0002418	XP_003400221.1	XP_017788976.1
OG0002419	XP_020721129.1, XP_012169207.1, XP_012169208.1, XP_020721130.1	XP_017793502.1
OG0002420	XP_003400751.1	XP_017798609.1
OG0002421	XP_012175299.1	XP_017797397.1
OG0002422	XP_003397578.1	XP_017794395.1, XP_017794394.1
OG0002424	XP_003394728.1	XP_017791743.1
OG0002425	XP_003398297.1	XP_017791966.1
OG0002426	XP_003399540.1	XP_017794815.1
OG0002427	XP_003398860.1	XP_017793292.1
OG0002428	XP_003397938.1	XP_017794519.1
OG0002429	XP_012167090.1	XP_017797359.1
OG0002430	XP_012175977.1	XP_017788311.1
OG0002431	XP_012165929.1	XP_017788225.1
