Orthogroup	Bombus_terrestris	Megalopta_genalis
OG0001247	XP_012176387.1	XP_033339667.1
OG0001249	XP_003400916.1	XP_033323954.1
OG0001250	XP_020720272.1, XP_020720273.1, XP_003397466.1	XP_033340725.1
OG0001251	XP_003397462.1	XP_033341090.1
OG0001252	XP_003400160.1	XP_033334212.1
OG0001252	XP_012170795.1	XP_033334226.1
OG0001253	XP_012164095.1, XP_012164094.1, XP_020718886.1, XP_020718887.1, XP_003395628.1, XP_012164096.1	XP_033328246.1
OG0001254	XP_012174118.1	XP_033327208.1
OG0001256	XP_020721313.1	XP_033327378.1
OG0001256	XP_020721315.1	XP_033327383.1
OG0001257	XP_003392920.1	XP_033341379.1
OG0001258	XP_012169677.1	XP_033342738.1, XP_033342740.1, XP_033342739.1
OG0001259	XP_012164255.1	XP_033328017.1
OG0001260	XP_003401497.1	XP_033341559.1
OG0001261	XP_003400844.1	XP_033336144.1
OG0001262	XP_003397119.1	XP_033333051.1, XP_033333052.1, XP_033333053.1, XP_033333054.1, XP_033333050.1
OG0001263	XP_012167433.1	XP_033338031.1, XP_033338510.1
OG0001264	XP_003398702.1	XP_033327410.1, XP_033327409.1
OG0001265	XP_003399010.1, XP_012169173.1, XP_012169172.1	XP_033335131.1, XP_033335132.1, XP_033335133.1, XP_033335130.1
OG0001266	XP_012163338.1, XP_012163331.1	XP_033341456.1
OG0001268	XP_003396318.1, XP_003396317.1	XP_033331858.1
OG0001269	XP_003395966.1, XP_012164569.1	XP_033322804.1
OG0001270	XP_012171143.1	XP_033335841.1, XP_033335842.1
OG0001271	XP_012163274.1, XP_012163276.1	XP_033333820.1
OG0001272	XP_012169635.1	XP_033331656.1, XP_033331655.1
OG0001273	XP_012171741.1	XP_033336652.1, XP_033336651.1, XP_033336650.1
OG0001274	XP_020718905.1	XP_033327987.1
OG0001275	XP_020719976.1, XP_003397656.1, XP_003397657.1	XP_033339756.1, XP_033339757.1, XP_033339759.1, XP_033339758.1
OG0001276	XP_012171826.2	XP_033335649.1
OG0001277	XP_003395172.1	XP_033326576.1, XP_033326578.1
OG0001278	XP_003395952.1, XP_020718997.1	XP_033330962.1
OG0001279	XP_012170273.1	XP_033338720.1, XP_033338461.1, XP_033338460.1, XP_033338462.1, XP_033338722.1, XP_033338719.1
OG0001280	XP_003400491.1	XP_033330549.1
OG0001282	XP_012169912.1, XP_012169906.1, XP_012169916.1, XP_020722020.1, XP_012169921.1, XP_003393557.1	XP_033334409.1
OG0001283	XP_003397327.1	XP_033329584.1, XP_033329585.1
OG0001284	XP_003398012.1	XP_033323348.1
OG0001285	XP_003396003.1, XP_003396005.1, XP_003396006.1	XP_033320817.1
OG0001286	XP_012167765.2	XP_033340557.1, XP_033340549.1, XP_033340554.1, XP_033340556.1, XP_033340550.1, XP_033339898.1
OG0001287	XP_003401108.1	XP_033330998.1
OG0001287	XP_003401107.1	XP_033330995.1
OG0001288	XP_003401063.1	XP_033327653.1, XP_033327654.1
OG0001289	XP_012164561.1	XP_033322810.1, XP_033322811.1
OG0001290	XP_003394054.1, XP_020723176.1, XP_012175779.1	XP_033342191.1, XP_033342190.1, XP_033342189.1, XP_033342187.1
OG0001291	XP_003399038.1	XP_033342265.1, XP_033342264.1
OG0001292	XP_003399093.1	XP_033334874.1
OG0001293	XP_020724281.1	XP_033328039.1, XP_033328067.1, XP_033328049.1, XP_033328057.1, XP_033328076.1
OG0001294	XP_003395639.1	XP_033324259.1
OG0001295	XP_012170892.1, XP_012170894.1, XP_020721929.1, XP_020721928.1, XP_003400155.1	XP_033337733.1
OG0001296	XP_012175941.1	XP_033321779.1
OG0001297	XP_003399854.1	XP_033338645.1, XP_033338644.1
OG0001298	XP_020719930.1, XP_020719929.1, XP_020719932.1, XP_020719931.1	XP_033332836.1, XP_033332838.1
OG0001299	XP_003396730.1	XP_033340188.1
OG0001300	XP_012170282.1	XP_033338906.1
OG0001301	XP_020721875.1	XP_033331402.1
OG0001302	XP_012165494.1	XP_033332078.1
OG0001303	XP_020719471.1	XP_033329928.1, XP_033329920.1
OG0001304	XP_003397240.2	XP_033333036.1, XP_033333033.1
OG0001305	XP_012166479.1	XP_033334042.1
OG0001306	XP_012172749.1, XP_012172750.1, XP_003401499.1	XP_033341568.1
OG0001307	XP_003401450.1	XP_033322280.1, XP_033322275.1, XP_033322276.1
OG0001308	XP_020723776.1, XP_012175122.1	XP_033332648.1
OG0001309	XP_020724315.1	XP_033331276.1, XP_033331278.1, XP_033331277.1, XP_033331274.1
OG0001310	XP_012166735.1, XP_012166736.1	XP_033329274.1, XP_033329275.1, XP_033329278.1, XP_033329277.1, XP_033329273.1
OG0001311	XP_003394391.1	XP_033326876.1, XP_033326885.1, XP_033326867.1
OG0001313	XP_003402316.1	XP_033342016.1
OG0001314	XP_003397750.1, XP_020720255.1	XP_033332845.1
OG0001315	XP_003395416.3	XP_033321132.1
OG0001316	XP_003396167.1, XP_012164791.1	XP_033322847.1
OG0001317	XP_012164750.1, XP_012164749.1, XP_003396139.1	XP_033322653.1, XP_033322654.1
OG0001318	XP_003395241.1	XP_033338271.1, XP_033338275.1, XP_033338272.1, XP_033338273.1, XP_033338276.1, XP_033338274.1, XP_033338270.1
OG0001319	XP_020718406.1, XP_020718412.1, XP_020718414.1, XP_020718413.1	XP_033333837.1
OG0001320	XP_012170777.1	XP_033330143.1
OG0001321	XP_012174476.1, XP_003402712.1	XP_033322995.1, XP_033322994.1, XP_033322996.1
OG0001322	XP_003400696.1, XP_012171710.1	XP_033335857.1, XP_033335859.1
OG0001323	XP_003402736.1	XP_033339795.1
OG0001324	XP_003402764.1	XP_033338969.1
OG0001325	XP_012167682.1, XP_003397962.1, XP_012167681.1	XP_033341086.1
OG0001326	XP_003401255.1	XP_033341389.1, XP_033341377.1, XP_033323972.1
OG0001327	XP_012172228.1	XP_033324712.1, XP_033324710.1
OG0001328	XP_012172058.1	XP_033324782.1, XP_033324785.1, XP_033324784.1
OG0001330	XP_012164592.1	XP_033323784.1
OG0001331	XP_012163799.1	XP_033337253.1
OG0001332	XP_012169109.1	XP_033334609.1, XP_033334608.1
OG0001333	XP_012169107.1, XP_012169108.1	XP_033334846.1, XP_033334847.1, XP_033334848.1, XP_033334849.1
OG0001334	XP_020721356.1	XP_033335036.1
OG0001335	XP_012173130.1, XP_003401755.1	XP_033337995.1
OG0001337	XP_003395040.1, XP_012163434.1	XP_033326624.1
OG0001338	XP_012174210.1	XP_033326274.1, XP_033326277.1, XP_033326276.1, XP_033326280.1, XP_033326279.1, XP_033326275.1
OG0001339	XP_003399853.1	XP_033338827.1
OG0001340	XP_012168934.1	XP_033333515.1
OG0001341	XP_020718505.1	XP_033326695.1, XP_033326696.1
OG0001342	XP_020719399.1	XP_033334975.1, XP_033334974.1
OG0001343	XP_020720490.1	XP_033325392.1
OG0001344	XP_020721304.1, XP_003399292.1, XP_020721303.1	XP_033334521.1, XP_033334520.1, XP_033334519.1
OG0001345	XP_012169223.1	XP_033342970.1
OG0001346	XP_003399071.1, XP_012169277.1, XP_012169276.1	XP_033342900.1
OG0001347	XP_003403175.1	XP_033332576.1
OG0001348	XP_003399954.1, XP_012170615.1	XP_033325116.1, XP_033325117.1
OG0001349	XP_003402575.2	XP_033331793.1, XP_033331789.1, XP_033331787.1
OG0001350	XP_012164220.1	XP_033328085.1, XP_033328092.1
OG0001351	XP_012165830.2	XP_033331958.1, XP_033331959.1
OG0001352	XP_003401656.1	XP_033330306.1, XP_033330307.1
OG0001353	XP_012175686.1	XP_033338250.1, XP_033338249.1
OG0001355	XP_003402359.1	XP_033321920.1, XP_033321921.1
OG0001356	XP_012173188.1	XP_033327638.1
OG0001357	XP_003396255.1	XP_033329828.1
OG0001358	XP_012165197.1	XP_033331117.1, XP_033331110.1
OG0001359	XP_012165190.1, XP_012165189.1	XP_033329332.1
OG0001360	XP_012174325.1, XP_012174323.1	XP_033341873.1
OG0001361	XP_012174370.1	XP_033334236.1
OG0001362	XP_012174128.1, XP_012174127.1, XP_020723362.1, XP_012174125.1	XP_033327070.1
OG0001363	XP_012174132.1, XP_020723403.1	XP_033327082.1, XP_033327075.1
OG0001364	XP_003394992.1	XP_033338050.1
OG0001365	XP_020723145.1	XP_033323941.1
OG0001366	XP_003394178.3	XP_033333446.1, XP_033333447.1
OG0001367	XP_003399549.1	XP_033338769.1
OG0001368	XP_012165341.1, XP_012165342.1, XP_020719271.1, XP_003396358.1	XP_033340810.1
OG0001369	XP_012165419.1	XP_033340778.1
OG0001370	XP_012165942.1, XP_003396804.1	XP_033328392.1
OG0001371	XP_012164085.1	XP_033334025.1, XP_033334023.1
OG0001372	XP_012176639.1	XP_033328595.1
OG0001373	XP_012174734.1	XP_033321093.1, XP_033321092.1
OG0001374	XP_012164033.1	XP_033341554.1
OG0001375	XP_003402928.1, XP_012174804.1	XP_033323554.1
OG0001376	XP_020719977.1	XP_033333377.1
OG0001377	XP_020721280.1	XP_033328992.1
OG0001378	XP_020720014.1, XP_003392930.1	XP_033325230.1, XP_033325229.1, XP_033325231.1, XP_033325228.1, XP_033325227.1, XP_033325226.1
OG0001379	XP_003393299.1	XP_033326141.1, XP_033326143.1, XP_033326142.1, XP_033326144.1
OG0001380	XP_012173360.1	XP_033337475.1
OG0001381	XP_003396926.1	XP_033340295.1, XP_033328480.1
OG0001382	XP_012168515.1, XP_012168516.1	XP_033341893.1
OG0001383	XP_012164465.1, XP_020718761.1, XP_012164464.1	XP_033333092.1, XP_033333093.1
OG0001384	XP_003402828.1	XP_033321822.1
OG0001385	XP_020718230.1	XP_033322063.1, XP_033322064.1
OG0001386	XP_003393071.1, XP_012163729.1	XP_033341328.1
OG0001387	XP_012174553.1, XP_003402850.1	XP_033323237.1, XP_033323235.1
OG0001388	XP_003394957.1, XP_020718585.1	XP_033336328.1, XP_033336337.1
OG0001389	XP_003402767.2	XP_033339005.1
OG0001390	XP_020723661.1	XP_033322772.1
OG0001391	XP_012165602.1	XP_033329418.1
OG0001392	XP_012175234.1, XP_020723862.1, XP_012175247.1	XP_033342642.1
OG0001393	XP_003401670.1, XP_012172958.1, XP_012172959.1	XP_033327373.1, XP_033327374.1
OG0001394	XP_003393414.1	XP_033328597.1
OG0001395	XP_020720452.1, XP_003397850.1	XP_033333707.1
OG0001396	XP_012167575.1	XP_033332924.1, XP_033332928.1
OG0001397	XP_012169153.1	XP_033334726.1, XP_033334728.1
OG0001398	XP_020721610.1	XP_033335330.1, XP_033335316.1
OG0001399	XP_012170294.1	XP_033331341.1, XP_033331339.1, XP_033331337.1, XP_033331336.1, XP_033331340.1
OG0001400	XP_003399469.1	XP_033335287.1
OG0001401	XP_012171333.2, XP_003400444.2	XP_033336318.1
OG0001402	XP_020722609.1	XP_033327667.1
OG0001403	XP_012165421.1, XP_012165422.1	XP_033330320.1
OG0001404	XP_003401222.1	XP_033324620.1
OG0001405	XP_012170120.1	XP_033338661.1, XP_033338658.1, XP_033338656.1, XP_033338657.1, XP_033338659.1
OG0001406	XP_020724319.1	XP_033321919.1
OG0001407	XP_012174355.1	XP_033341994.1
OG0001407	XP_012174354.2	XP_033341995.1
OG0001408	XP_012174773.1	XP_033341955.1
OG0001410	XP_012165849.1	XP_033340448.1
OG0001412	XP_020724226.1, XP_012175860.1, XP_012175862.1	XP_033339038.1
OG0001413	XP_003394137.1	XP_033337290.1, XP_033337208.1, XP_033337367.1
OG0001414	XP_003394493.2	XP_033322031.1
OG0001415	XP_012175836.1	XP_033321881.1
OG0001416	XP_020724322.1, XP_020724320.1	XP_033321879.1
OG0001417	XP_012168921.1, XP_012168807.1, XP_003392885.1	XP_033341132.1
OG0001418	XP_003394244.1	XP_033321847.1, XP_033321846.1, XP_033321849.1, XP_033321850.1, XP_033321848.1
OG0001419	XP_012174687.1, XP_020723594.1	XP_033321815.1
OG0001420	XP_012163215.1, XP_003395099.1	XP_033338089.1
OG0001421	XP_020718299.1	XP_033332133.1
OG0001421	XP_012163573.1	XP_033332131.1
OG0001422	XP_012163562.1	XP_033332154.1, XP_033332153.1, XP_033332151.1
OG0001424	NP_001273373.1	XP_033329813.1
OG0001425	XP_020718305.1, XP_020718302.1	XP_033326464.1, XP_033326486.1
OG0001426	XP_020718730.1	XP_033323347.1
OG0001427	XP_003395337.1	XP_033321426.1
OG0001428	XP_020718828.1	XP_033328278.1
OG0001428	XP_012164087.1	XP_033328203.1, XP_033328202.1
OG0001429	XP_012163774.1	XP_033332140.1, XP_033332141.1, XP_033332139.1
OG0001430	XP_020718740.1, XP_003395533.1	XP_033339698.1
OG0001431	XP_012174268.1	XP_033322578.1
OG0001432	XP_012165175.1, XP_003396256.1	XP_033330439.1
OG0001433	XP_020720044.1, XP_012167219.1, XP_012167220.1	XP_033329726.1
OG0001434	XP_012164880.1	XP_033329080.1
OG0001436	XP_003402321.1, XP_020723273.1	XP_033341897.1, XP_033341901.1, XP_033341900.1, XP_033341898.1, XP_033341899.1
OG0001437	XP_020720302.1, XP_003397645.1	XP_033338944.1, XP_033338943.1
OG0001438	XP_003403296.2	XP_033322801.1, XP_033322800.1
OG0001439	XP_020723632.1, XP_012174824.1	XP_033329132.1, XP_033329130.1, XP_033329131.1
OG0001440	XP_012166030.1	XP_033324892.1, XP_033339798.1
OG0001441	XP_003402056.1	XP_033322277.1, XP_033322269.1
OG0001442	XP_003402009.3	XP_033324036.1, XP_033324037.1
OG0001443	XP_003401923.1	XP_033337317.1, XP_033337318.1, XP_033337316.1
OG0001444	XP_003393166.1, XP_012175642.1	XP_033328620.1
OG0001445	XP_012173220.1	XP_033329964.1, XP_033329963.1
OG0001446	XP_012167599.1	XP_033339115.1, XP_033339116.1
OG0001447	XP_003396733.1	XP_033333147.1, XP_033333139.1
OG0001448	XP_012167129.2	XP_033323504.1
OG0001449	XP_012173394.1, XP_012173393.1	XP_033337308.1
OG0001450	XP_020720734.1	XP_033331453.1
OG0001451	XP_020721006.1	XP_033335118.1
OG0001452	XP_003392862.1	XP_033340039.1
OG0001453	XP_012168897.1	XP_033327405.1
OG0001454	XP_020719511.1	XP_033331953.1, XP_033331957.1
OG0001455	XP_003399511.1	XP_033330035.1
OG0001456	XP_012169972.1, XP_012169974.1, XP_012169971.1	XP_033335349.1
OG0001457	XP_003399532.1	XP_033335256.1
OG0001458	XP_020721879.1	XP_033339446.1
OG0001459	XP_020722111.1	XP_033335869.1, XP_033335868.1
OG0001460	XP_020722268.1, XP_020722269.1, XP_003400699.1	XP_033335912.1, XP_033335913.1, XP_033335914.1, XP_033335911.1
OG0001461	XP_020722729.1	XP_033320808.1
OG0001461	XP_020722728.1	XP_033342611.1
OG0001462	XP_012176762.1, XP_012176764.1, XP_012176763.1	XP_033341825.1
OG0001463	XP_020722599.1	XP_033324716.1, XP_033324720.1
OG0001464	XP_020722786.1	XP_033322301.1
OG0001465	XP_003402261.2	XP_033321312.1
OG0001466	XP_003396399.1	XP_033321443.1
OG0001467	XP_012170144.1	XP_033338629.1, XP_033338630.1
OG0001468	XP_012169150.1, XP_012169155.1, XP_012169188.1	XP_033328763.1
OG0001469	XP_012172177.1, XP_012172215.1, XP_020724038.1, XP_012172198.1, XP_012172190.1	XP_033339486.1
OG0001470	XP_012175903.1	XP_033340159.1, XP_033340152.1
OG0001471	XP_012171226.1, XP_003393592.1, XP_020723737.1, XP_012171216.1	XP_033334210.1
OG0001472	XP_020720897.1, XP_012169101.1, XP_012169102.1, XP_012169103.1, XP_003398958.1, XP_020720896.1	XP_033334575.1
OG0001473	XP_003396554.1	XP_033340360.1
OG0001474	XP_020719583.1, XP_020719584.1	XP_033328400.1
OG0001475	XP_012168461.1	XP_033330867.1
OG0001476	XP_012166489.1	XP_033329478.1
OG0001477	XP_012174519.1	XP_033333258.1, XP_033333219.1, XP_033333249.1, XP_033333239.1, XP_033333234.1, XP_033333229.1, XP_033333266.1
OG0001479	XP_012171569.1, XP_012171568.1, XP_012171570.1	XP_033336550.1, XP_033336549.1
OG0001480	XP_020724078.1, XP_012175886.1	XP_033323141.1, XP_033323140.1, XP_033323138.1
OG0001481	XP_012170298.1	XP_033331363.1
OG0001482	XP_003400227.1	XP_033330211.1
OG0001483	XP_012171515.1, XP_003400563.1	XP_033336290.1
OG0001484	XP_012172145.1	XP_033342636.1, XP_033342646.1
OG0001485	XP_003393823.1	XP_033338242.1, XP_033338240.1, XP_033338241.1
OG0001486	XP_003394255.1	XP_033326697.1, XP_033326690.1
OG0001487	XP_012176080.1, XP_012176078.1, XP_012176076.1, XP_003394250.1, XP_012176077.1, XP_020724133.1	XP_033327337.1
OG0001488	XP_012164244.1, XP_003395722.1	XP_033331134.1
OG0001489	XP_003393249.1, XP_012165153.1	XP_033328707.1
OG0001490	XP_012166785.1, XP_003397550.1	XP_033331667.1, XP_033331668.1, XP_033331669.1
OG0001491	XP_012171646.1, XP_012171645.1, XP_003400728.1	XP_033335845.1
OG0001492	XP_012175914.1	XP_033341720.1, XP_033333264.1
OG0001493	XP_003395188.1	XP_033332377.1
OG0001494	XP_012163934.1	XP_033338986.1
OG0001495	XP_020721557.1, XP_020721556.1	XP_033331305.1
OG0001496	XP_012164431.1	XP_033325609.1, XP_033325606.1, XP_033325607.1, XP_033325605.1, XP_033325608.1
OG0001497	XP_012176755.1	XP_033341747.1
OG0001498	XP_020721102.1, XP_003398974.1	XP_033335084.1, XP_033335086.1, XP_033335085.1
OG0001499	XP_003398972.1, XP_012169129.1	XP_033335081.1, XP_033335082.1
OG0001500	XP_003394216.1	XP_033321733.1
OG0001501	XP_003396087.1, XP_012164771.1	XP_033343106.1
OG0001502	XP_003394468.2	XP_033331289.1
OG0001503	XP_012164409.1	XP_033335589.1
OG0001504	XP_003399846.1, XP_012170486.1	XP_033338408.1
OG0001505	XP_003395116.1	XP_033332190.1, XP_033332191.1
OG0001506	XP_020720976.1, XP_003398681.1	XP_033342689.1
OG0001507	XP_012175372.1	XP_033331607.1, XP_033331608.1
OG0001508	XP_012166942.1, XP_003397454.1	XP_033341000.1
OG0001509	XP_012171561.1	XP_033336557.1
OG0001510	XP_012163645.1	XP_033329778.1, XP_033329779.1, XP_033329780.1
OG0001511	XP_012164361.1	XP_033328146.1
OG0001512	XP_012169332.1	XP_033342962.1, XP_033342961.1, XP_033342960.1
OG0001513	XP_003402478.1, XP_020723341.1	XP_033338045.1
OG0001514	XP_020720035.1, XP_012166833.1	XP_033339938.1, XP_033325696.1
OG0001516	XP_020719723.1, XP_012169444.1	XP_033325254.1
OG0001517	XP_012174753.1, XP_020723678.1	XP_033326920.1
OG0001525	XP_003393855.1, XP_012175335.1, XP_012175339.1	XP_033321490.1
OG0001526	XP_012166790.1	XP_033333287.1, XP_033333286.1
OG0001527	XP_003400548.1	XP_033323070.1
OG0001528	XP_003397991.1	XP_033323354.1, XP_033323362.1
OG0001529	XP_012172197.1	XP_033341648.1
OG0001530	XP_020720003.1, XP_020720004.1	XP_033338838.1, XP_033338865.1
OG0001531	XP_012170705.1, XP_020721926.1, XP_012170704.1	XP_033323405.1
OG0001532	XP_012174505.1	XP_033322601.1
OG0001532	XP_003402761.1	XP_033339394.1
OG0001533	XP_003402775.1	XP_033322729.1
OG0001534	XP_003403105.1	XP_033327629.1
OG0001535	XP_012164167.1	XP_033324394.1
OG0001537	XP_012168533.1	XP_033323928.1
OG0001539	XP_003393420.1	XP_033328645.1
OG0001540	XP_020723076.1, XP_003402026.1	XP_033323982.1
OG0001541	XP_003400669.1	XP_033330855.1, XP_033330854.1
OG0001542	XP_003398015.2	XP_033323372.1
OG0001543	XP_003393976.1, XP_003393975.1	XP_033337183.1, XP_033337197.1, XP_033337189.1
OG0001544	XP_020724197.1, XP_012175940.1	XP_033321785.1
OG0001545	XP_012171650.1	XP_033336262.1
OG0001547	XP_003393812.1, XP_012174893.1	XP_033321550.1
OG0001548	XP_003398697.1, XP_012168705.1, XP_020720894.1	XP_033331118.1
OG0001549	XP_003399529.1, XP_020721649.1	XP_033335361.1, XP_033335359.1
OG0001550	XP_003396466.1	XP_033331946.1, XP_033331936.1
OG0001551	XP_012174160.1	XP_033338066.1
OG0001551	XP_003402429.1	XP_033338069.1
OG0001552	XP_003397544.1	XP_033331647.1
OG0001553	XP_003397192.1	XP_033329336.1, XP_033329335.1
OG0001555	XP_012168826.1	XP_033334474.1
OG0001557	XP_003395707.1	XP_033326712.1
OG0001560	XP_012174992.2	XP_033337461.1
OG0001561	XP_020723894.1, XP_012175490.1, XP_003402935.1	XP_033322763.1
OG0001562	XP_003400434.1	XP_033325581.1
OG0001563	XP_020720559.1	XP_033321005.1
OG0001564	XP_003396165.1	XP_033322879.1, XP_033322609.1, XP_033322858.1, XP_033339811.1
OG0001565	XP_003398427.1	XP_033340904.1
OG0001566	XP_012165524.1, XP_020719614.1, XP_020719613.1, XP_020719612.1, XP_020719611.1, XP_012165525.1	XP_033340728.1
OG0001567	XP_012166008.1, XP_012166009.1	XP_033325278.1, XP_033325279.1
OG0001568	XP_020719373.1, XP_020719374.1, XP_012166115.1	XP_033340241.1
OG0001569	XP_012172059.1	XP_033324891.1
OG0001570	XP_012167253.1, XP_012167252.1, XP_003397659.1, XP_003397660.1, XP_003397658.1, XP_012167254.1	XP_033339762.1
OG0001571	XP_003396230.1	XP_033327768.1, XP_033327766.1
OG0001572	XP_012174974.1	XP_033327253.1
OG0001573	XP_003396457.1	XP_033329245.1
OG0001574	XP_012165807.1, XP_003396718.1, XP_012165809.1, XP_012165808.1	XP_033340312.1
OG0001575	XP_012171061.1, XP_012171050.1	XP_033334277.1
OG0001576	XP_003399490.1	XP_033325034.1
OG0001577	XP_020723780.1	XP_033337579.1
OG0001578	XP_003401693.1	XP_033337590.1, XP_033337593.1, XP_033337592.1, XP_033337591.1
OG0001579	XP_012169320.1	XP_033342346.1, XP_033342345.1
OG0001580	XP_012169270.1	XP_033335111.1
OG0001581	XP_012167536.1	XP_033332338.1, XP_033332337.1
OG0001582	XP_020718687.1	XP_033339110.1, XP_033339109.1
OG0001583	XP_003393843.1	XP_033321563.1, XP_033321564.1
OG0001584	XP_003396994.1	XP_033333338.1, XP_033333339.1
OG0001585	XP_003396301.3, XP_020719400.1	XP_033340704.1, XP_033340705.1, XP_033340706.1
OG0001586	XP_012163134.2	XP_033339853.1, XP_033333654.1
OG0001587	XP_020721738.1	XP_033325282.1
OG0001588	XP_020720476.1	XP_033340977.1, XP_033340978.1
OG0001589	XP_020721633.1	XP_033338834.1
OG0001590	XP_003396857.1	XP_033334384.1
OG0001591	XP_020719333.1	XP_033322977.1, XP_033322980.1
OG0001592	XP_012164972.1	XP_033322796.1
OG0001593	XP_012172674.1	XP_033324617.1
OG0001594	XP_020722447.1	XP_033338175.1
OG0001595	XP_003397629.1, XP_020720213.1	XP_033321033.1
OG0001596	XP_020718242.1, XP_020718241.1, XP_012176117.1	XP_033322162.1
OG0001598	XP_012169515.1, NP_001267859.1	XP_033339663.1, XP_033339664.1
OG0001599	XP_020720813.1, XP_012166532.1	XP_033339290.1, XP_033339291.1, XP_033339292.1, XP_033339289.1, XP_033339288.1
OG0001600	XP_012163305.1, XP_012163307.1	XP_033326686.1
OG0001601	XP_012165145.1, XP_012165144.1, XP_012165146.1, XP_003396469.1	XP_033328292.1, XP_033328291.1, XP_033328293.1
OG0001602	XP_012171519.1, XP_003393608.1	XP_033330626.1
OG0001603	XP_003397060.1	XP_033332823.1
OG0001604	XP_020724289.1	XP_033323240.1, XP_033331188.1
OG0001605	XP_012166522.1, XP_003397182.1	XP_033333148.1
OG0001606	XP_003397179.1	XP_033332864.1
OG0001607	XP_003395928.1, XP_012164714.1, XP_012164713.1, XP_012164712.1	XP_033322694.1
OG0001608	XP_003403284.2	XP_033329269.1
OG0001609	XP_020722257.1	XP_033324013.1
OG0001610	XP_012171806.1, XP_020722196.1, XP_012171807.1	XP_033336461.1
OG0001611	XP_012176348.1	XP_033331285.1, XP_033331286.1, XP_033331287.1
OG0001612	XP_012163339.1, XP_012163340.1, XP_012163336.1	XP_033335176.1
OG0001613	XP_012172504.1	XP_033341643.1
OG0001614	XP_003394214.1	XP_033321729.1
OG0001615	XP_012170290.1	XP_033324796.1
OG0001617	XP_012167107.1	XP_033333296.1
OG0001618	XP_003397757.1, XP_012167101.1, XP_012167103.1	XP_033333302.1
OG0001619	XP_012167581.1	XP_033332932.1
OG0001620	XP_003397560.1	XP_033333288.1
OG0001621	XP_020720078.1, XP_020720079.1, XP_012167385.1, XP_020720077.1	XP_033321217.1
OG0001622	XP_012167079.1	XP_033325686.1
OG0001624	XP_003398405.1	XP_033340621.1
OG0001625	XP_003403260.1	XP_033342534.1
OG0001627	XP_020720848.1, XP_012167894.1, XP_012167896.1	XP_033325751.1
OG0001628	XP_003398462.1	XP_033331751.1
OG0001629	XP_012164993.1	XP_033323594.1
OG0001630	XP_012172220.1	XP_033341601.1, XP_033341602.1, XP_033341603.1, XP_033341604.1, XP_033341600.1
OG0001631	XP_020722522.1, XP_012172087.1	XP_033322366.1
OG0001632	XP_012176556.1, XP_003394601.1	XP_033321861.1
OG0001633	XP_003394064.1, XP_012175783.1, XP_012175784.1, XP_012175787.1	XP_033334242.1, XP_033334241.1
OG0001634	XP_003401922.1, XP_012172996.1	XP_033337344.1
OG0001635	XP_003395581.1	XP_033334031.1, XP_033334033.1, XP_033334032.1
OG0001636	XP_003395365.2	XP_033323845.1, XP_033323846.1, XP_033323844.1
OG0001637	XP_012171976.1, XP_012171975.1	XP_033335784.1
OG0001638	XP_003398752.1, XP_012168753.1	XP_033330927.1
OG0001639	XP_012170503.1	XP_033323344.1
OG0001640	XP_003399725.1	XP_033338715.1
OG0001641	XP_003402569.2, XP_012164973.1	XP_033331068.1
OG0001642	XP_012164501.1	XP_033333922.1
OG0001644	XP_020720608.1	XP_033329281.1, XP_033329280.1, XP_033329282.1, XP_033329283.1, XP_033329284.1
OG0001645	XP_020720477.1, XP_020720480.1	XP_033340540.1
OG0001646	XP_003398904.1	XP_033342476.1
OG0001647	XP_003399203.1	XP_033342979.1
OG0001648	XP_003397943.1	XP_033333750.1
OG0001649	NP_001267840.1	XP_033333760.1
OG0001650	XP_012175821.1	XP_033337103.1
OG0001651	XP_020718870.1	XP_033328124.1, XP_033328123.1, XP_033328122.1, XP_033328125.1
OG0001652	XP_003401954.1	XP_033332737.1
OG0001655	XP_020722958.1, XP_020722959.1, XP_012172932.1, XP_012172931.1, XP_020722957.1	XP_033322082.1
OG0001656	XP_003401674.1	XP_033327563.1
OG0001657	XP_012165182.1	XP_033329477.1
OG0001658	XP_012172759.1	XP_033341886.1, XP_033341887.1, XP_033341884.1
OG0001659	XP_003393685.1, XP_020723878.1, XP_012172718.1	XP_033342075.1
OG0001660	XP_012173237.1	XP_033341908.1
OG0001661	XP_003402630.1	XP_033322497.1
OG0001662	XP_020723751.1	XP_033323637.1
OG0001664	XP_012175907.1	XP_033336666.1, XP_033336750.1
OG0001665	XP_003396560.1	XP_033340376.1
OG0001666	XP_012173351.1, XP_003402078.1	XP_033321505.1
OG0001667	XP_020721646.1, XP_012170048.2	XP_033332443.1
OG0001668	XP_012166741.1	XP_033330459.1
OG0001669	XP_012164103.2	XP_033328258.1
OG0001670	XP_003399396.1	XP_033334970.1
OG0001671	XP_012169750.1	XP_033342825.1
OG0001672	XP_012174706.1	XP_033329123.1, XP_033329124.1, XP_033341760.1, XP_033341759.1, XP_033329122.1
OG0001673	XP_003402955.1	XP_033329140.1, XP_033329135.1
OG0001674	XP_003394809.1	XP_033330516.1, XP_033330515.1
OG0001675	XP_012165920.1	XP_033341374.1, XP_033341378.1
OG0001676	XP_003393317.1, XP_012167432.1	XP_033338809.1, XP_033338798.1, XP_033338787.1
OG0001677	XP_003393247.1	XP_033328701.1
OG0001678	XP_012175868.1	XP_033338997.1, XP_033338998.1
