Orthogroup	Bombus_terrestris	Ceratina_calcarata
OG0000648	XP_012176331.1	XP_026669615.1, XP_017880629.1, XP_017880628.1
OG0000649	XP_003394320.1, XP_012176160.1	XP_017880960.1
OG0000650	XP_012176362.2	XP_017886187.1
OG0000651	XP_012164099.1, XP_012164102.1, XP_012164101.1, XP_020718883.1, XP_020718882.1	XP_026667483.1, XP_017876228.1
OG0000652	XP_012164023.1, XP_012164017.1, XP_012164025.1, XP_012164021.1, XP_012164019.1, XP_012164020.1, XP_012164016.1, XP_012164022.1, XP_012164018.1	XP_017877841.1
OG0000653	XP_012163750.1, XP_012163751.1, XP_003395679.1	XP_017883493.1
OG0000654	XP_003403094.1, XP_020723756.1	XP_017883441.1, XP_026671018.1
OG0000655	XP_003398513.1	XP_026667584.1, XP_026667585.1, XP_026667586.1, XP_017876714.1
OG0000656	XP_012168627.1	XP_017886271.2
OG0000657	XP_020721744.1	XP_017886547.1
OG0000658	XP_020723209.1, XP_020723212.1	XP_026675558.1
OG0000660	XP_003394442.1, XP_020724290.1, XP_012176378.1	XP_026672402.1, XP_026670107.1, XP_026675304.1, XP_026672688.1, XP_026674393.1, XP_017879402.2
OG0000661	NP_001291369.1, XP_012174015.1	XP_026668322.1
OG0000662	XP_003394993.1	XP_017877835.1, XP_017877847.1
OG0000663	XP_003402461.1, XP_020723376.1	XP_017891714.1, XP_017891715.1, XP_026675048.1, XP_017891716.1
OG0000664	XP_020718756.1	XP_017890039.2
OG0000665	XP_020723635.1, XP_020723636.1	XP_017877625.1
OG0000666	XP_012167972.1	XP_017883798.1
OG0000668	XP_003399945.1	XP_017889326.1, XP_017889327.1, XP_017889324.1
OG0000669	XP_020721851.1	XP_017893341.2
OG0000669	XP_020721961.1	XP_026666775.1, XP_026666759.1
OG0000670	XP_012170834.1, XP_012170837.1, XP_012170836.1, XP_020721906.1, XP_020721904.1, XP_020721905.1	XP_026667929.1, XP_017877172.1
OG0000671	XP_003400890.1, XP_020721996.1	XP_026671770.1, XP_017884832.1
OG0000672	XP_012173611.1, XP_012173613.1, XP_012173612.1, XP_003402206.1, XP_012173610.1	XP_026671160.1, XP_017883706.1
OG0000673	XP_012174422.1, XP_003402776.1, XP_012174421.1	XP_017877105.1
OG0000675	XP_020720037.1	XP_026675575.1, XP_026675576.1, XP_026674289.1
OG0000676	XP_020720489.1	XP_026674848.1
OG0000677	XP_012174330.1	XP_026668985.1, XP_017879354.1
OG0000678	XP_012165876.1, XP_012165877.1, XP_012165878.1, XP_003396765.1	XP_017881535.1, XP_017881534.1
OG0000679	XP_012171546.1	XP_017884873.1
OG0000680	XP_012172281.1, XP_012172280.1, XP_020722687.1, XP_003401144.1	XP_026674115.1, XP_017889518.1
OG0000681	XP_003396609.1	XP_017880456.1
OG0000682	XP_012175411.1, XP_012175413.1, XP_012175412.1	XP_017882231.1, XP_017882233.1
OG0000683	XP_003395878.1	XP_017879813.1
OG0000684	XP_012173148.1, XP_012173146.1, XP_012173147.1, XP_003401769.1	XP_017883214.1
OG0000685	XP_020723977.1	XP_017888942.1, XP_017890264.1
OG0000685	XP_012175529.1	XP_017888966.1
OG0000686	XP_003402540.1	XP_017883967.1
OG0000687	XP_012173409.1, XP_003401932.1	XP_017885047.1, XP_017885046.1, XP_017885051.1, XP_017885050.1, XP_017885049.1, XP_026671578.1, XP_026671577.1, XP_017885048.1
OG0000688	XP_003395860.1, XP_012164396.1	XP_026674314.1, XP_026674313.1, XP_017890181.1
OG0000689	XP_003393838.1, XP_003393840.1	XP_017890623.2
OG0000690	XP_020720215.1, XP_003397775.1	XP_017881740.1
OG0000691	XP_012171547.1, XP_012171548.1	XP_017884795.1
OG0000695	XP_003399281.1, XP_020721080.1, XP_020721079.1, XP_020721081.1, XP_012169587.1, XP_012169585.1, XP_020721078.1	XP_017876500.1
OG0000696	XP_003396910.2	XP_017890628.2
OG0000697	XP_003398020.1	XP_026672257.1
OG0000698	XP_003400896.3	XP_026673371.1, XP_026673370.1, XP_026673373.1, XP_026673372.1, XP_017888057.1
OG0000699	XP_012167131.1, XP_012167130.1, XP_003397590.1, XP_020720393.1	XP_017882041.1, XP_017882040.1, XP_026670310.1
OG0000701	XP_012174885.1, XP_012174884.1, XP_012174883.1, XP_012174882.1, XP_012174887.1, XP_012174886.1, XP_003403013.1	XP_017886906.1
OG0000702	XP_003400139.1	XP_017878749.1
OG0000703	XP_012168332.1, XP_003398563.1, XP_020720523.1, XP_020720524.1, XP_012168331.1, XP_020720526.1	XP_017882424.1
OG0000704	XP_012163795.1, XP_012163794.1, XP_003395645.1	XP_017891805.1
OG0000705	XP_003396555.2, XP_003402397.2	XP_017893188.1
OG0000706	XP_003396024.1	XP_017885282.1
OG0000707	XP_012170162.1	XP_017886857.1
OG0000707	XP_020724352.1, XP_020724353.1, XP_003394436.1	XP_026670510.1, XP_017882380.2
OG0000708	XP_012164035.1	XP_017883770.2, XP_026666535.1
OG0000709	XP_003401521.1, XP_020722622.1, XP_003403340.1, XP_003403388.2	XP_026674947.1, XP_017891477.2
OG0000710	XP_003396706.1	XP_017887756.1
OG0000711	XP_012174895.1	XP_017883317.1, XP_017888025.1
OG0000712	XP_003393467.1, XP_020721865.1	XP_026672754.1, XP_017884642.1
OG0000713	XP_012164648.1, XP_012164647.1, XP_012164644.1, XP_012164645.1, XP_012164646.1	XP_017876945.1
OG0000714	XP_012169154.2	XP_017879669.1
OG0000715	XP_003395393.1, XP_012166067.2	XP_017876925.1, XP_026674562.1, XP_017880991.1, XP_017890421.1
OG0000716	XP_020723992.1, XP_020723938.1	XP_026668777.1, XP_017878885.1, XP_017878886.1, XP_017878917.2, XP_026668779.1, XP_026668780.1, XP_017878890.2, XP_026668774.1, XP_017878891.1, XP_017878915.2, XP_026668772.1
OG0000717	XP_003399110.1	XP_017879091.1
OG0000718	XP_003402322.1, XP_012173949.1, XP_012173950.1	XP_017881847.1, XP_026670188.1
OG0000719	XP_012174646.1	XP_026672486.1, XP_026672468.1, XP_026672466.1, XP_026672478.1, XP_017885398.1, XP_026672474.1, XP_026672488.1
OG0000720	XP_012166672.1	XP_017877136.1, XP_026675350.1, XP_026666537.1
OG0000721	XP_020719780.1, XP_003397286.1, XP_012166505.1, XP_020719779.1	XP_017879533.1
OG0000722	XP_003398244.1, XP_012167918.1	XP_017876531.1
OG0000723	XP_012170922.1, XP_020721883.1, XP_020721882.1, XP_003400316.2, XP_012170921.1	XP_026674418.1
OG0000724	XP_012172347.1	XP_017878294.1
OG0000725	XP_012168403.1	XP_017881954.1
OG0000727	XP_003394840.1	XP_017875970.1
OG0000728	XP_020718352.1	XP_017878010.1
OG0000728	XP_012163559.2	XP_017878005.1
OG0000729	XP_012165154.1	XP_017887938.1
OG0000730	XP_020719701.1, XP_020719704.1	XP_026666930.1, XP_026666924.1
OG0000731	XP_020720588.1, XP_012168396.1, XP_012168395.1	XP_017881956.1
OG0000732	XP_012168391.1, XP_012168389.1, XP_012168390.1	XP_017882245.1, XP_017882247.1, XP_017882246.1
OG0000733	XP_012171049.1	XP_017893370.1, XP_017893371.1
OG0000734	XP_012175157.1, XP_003403153.1	XP_017890822.1, XP_026674664.1
OG0000735	XP_003403130.1, XP_020723830.1	XP_017893111.1
OG0000736	XP_012173234.1	XP_017888786.1
OG0000737	XP_012173289.1, XP_020722911.1, XP_003401872.1, XP_012173290.1, XP_012173277.1	XP_017888735.1
OG0000738	XP_012176403.1, XP_012176404.1, XP_012176402.1, XP_020724267.1	XP_017882422.2
OG0000739	XP_003394556.1	XP_017886520.1
OG0000740	XP_012168058.1	XP_017891985.1
OG0000741	XP_012166970.1	XP_017885076.1
OG0000742	XP_012170072.1, XP_020722944.1	XP_026672609.1
OG0000743	XP_012167648.1	XP_017892813.1
OG0000744	XP_012166825.1, XP_003397405.1, XP_020719988.1, XP_020719989.1, XP_020719990.1, XP_020719985.1, XP_020719984.1, XP_020719987.1, XP_020719986.1, XP_012166824.1	XP_017885608.1
OG0000745	XP_020722106.1	XP_017883460.1, XP_026671012.1, XP_026671013.1
OG0000746	XP_020718634.1	XP_026670832.1
OG0000747	XP_012174291.1	XP_017882930.1
OG0000747	XP_012174289.1	XP_017882934.1
OG0000748	XP_012168204.1	XP_026671212.1, XP_026667186.1, XP_017883889.1, XP_017883890.1, XP_017875591.1
OG0000749	XP_003400659.1, XP_020722317.1	XP_017884958.1, XP_017884957.1
OG0000750	XP_003401267.1, XP_012172414.1, XP_012172415.1	XP_017889717.1
OG0000751	XP_012172419.1, XP_012172418.1	XP_017889653.1, XP_017889655.1, XP_017889654.1
OG0000752	XP_003400982.1	XP_017882828.1, XP_017878105.1, XP_017878106.1, XP_026668435.1
OG0000753	XP_020718820.1, XP_003395463.2	XP_017883142.1
OG0000754	XP_003398964.1	XP_026666988.1, XP_017882357.2, XP_026675535.1, XP_017892624.1, NP_001352264.1, XP_026667550.1, XP_026667713.1
OG0000755	XP_003398975.2, XP_012169133.1	XP_026668831.1, XP_017879036.1
OG0000756	XP_012171979.1, XP_012171981.1, XP_012171980.1, XP_003400969.1	XP_017882163.1, XP_017882164.1
OG0000757	XP_012170464.1	XP_017880178.1
OG0000758	XP_012171149.1	XP_017884733.1
OG0000759	XP_012167738.1, XP_003398198.1, XP_020720671.1	XP_017886603.1, XP_017886604.1
OG0000760	XP_020721110.1, XP_012169670.1, XP_012169672.1	XP_026667616.1, XP_026667603.1
OG0000761	XP_012169796.1, XP_012169790.1	XP_026669440.1
OG0000762	XP_012169239.1	XP_017890601.1, XP_017890595.1
OG0000763	XP_012169289.1	XP_017890500.1
OG0000764	XP_003397507.1	XP_017877504.1
OG0000766	XP_012176262.1, XP_003394368.2	XP_017887079.1
OG0000767	XP_020719609.1	XP_026673243.1, XP_026673242.1, XP_026673241.1
OG0000768	XP_012165204.1	XP_017892393.1
OG0000769	XP_003396598.1	XP_017893507.1, XP_017893516.1
OG0000770	XP_020722909.1	XP_026671321.1
OG0000771	XP_020721645.1	XP_017880208.1
OG0000772	XP_003398797.1	XP_017887456.1
OG0000773	XP_003393415.1, XP_012168194.1	XP_026667910.1
OG0000774	XP_003402307.1	XP_026675585.1
OG0000775	XP_003393138.1	XP_017889139.1
OG0000776	XP_012166880.1, XP_012166902.1, XP_012166891.1	XP_026667307.1, XP_026667308.1, XP_026667309.1
OG0000777	XP_003400151.1	XP_017884291.1, XP_017884292.1
OG0000778	XP_020720506.1, XP_020720504.1, XP_020720505.1	XP_017875688.1, XP_026667241.1
OG0000779	NP_001272327.1, XP_012163186.1	XP_017883943.2, XP_026673615.1
OG0000780	XP_012168893.1	XP_017878984.1
OG0000781	XP_012173881.1, XP_020723284.1	XP_017877113.1, XP_017877111.1
OG0000782	XP_012175083.1, XP_020722033.1, XP_012175089.1, XP_003393825.1	XP_017891624.1
OG0000783	XP_020724349.1	XP_017886053.1, XP_026672388.1, XP_026672387.1
OG0000784	XP_020718573.1	XP_026668446.1, XP_026668492.1
OG0000785	XP_012164637.1, XP_012164636.1, XP_012164638.1, XP_012164639.1	XP_026670973.1
OG0000786	XP_003397655.3	XP_017884418.1
OG0000787	XP_003402969.1, XP_020723662.1	XP_017893036.1
OG0000788	XP_012167562.1, XP_012167563.1, XP_003397875.2, XP_020720124.1, XP_012167564.1	XP_017881323.1
OG0000789	XP_020721361.1	XP_026670603.1, XP_017882600.1
OG0000790	XP_020721948.1	XP_017891817.1
OG0000791	XP_012171174.1	XP_017884817.1
OG0000792	XP_003400451.2	XP_026670425.1, XP_026670239.1
OG0000793	XP_003402161.1, XP_003402162.1	XP_017886751.1, XP_017886750.1
OG0000794	XP_003393455.1	XP_017891429.1
OG0000796	XP_012170452.1, XP_012170449.1	XP_017876839.1
OG0000797	XP_020723233.1	XP_026675383.1, XP_026675382.1, XP_026675381.1, XP_017892331.1, XP_017892330.1, XP_017892333.1, XP_017892328.1
OG0000798	XP_012163605.1, XP_012163604.1, XP_012163607.1, XP_012163606.1, XP_012163608.1	XP_017881708.1
OG0000800	XP_020718311.1	XP_017883944.1, XP_017880399.2
OG0000801	XP_012164296.1	XP_017879516.1
OG0000802	XP_012164477.1	XP_017879762.1
OG0000802	XP_012164475.1	XP_017881661.1
OG0000803	XP_003395619.1	XP_017879558.1
OG0000804	XP_012167275.1, XP_012167276.1, XP_012167277.1	XP_017892748.1
OG0000805	XP_012165708.1	XP_017892410.1, XP_017892409.1
OG0000806	XP_012165692.1, XP_012165693.1, XP_003396638.1	XP_017881537.1
OG0000807	XP_003396866.1	XP_017882984.1
OG0000808	XP_020722899.1	XP_017888347.1
OG0000808	XP_003401926.1	XP_017888344.1
OG0000809	XP_020724246.1	XP_017892009.1
OG0000811	XP_020720805.1	XP_017876658.1
OG0000812	XP_012163071.1, XP_012163074.1	XP_026673840.1, XP_026673839.1, XP_026673841.1, XP_017889013.1
OG0000813	XP_020722712.1, XP_020722714.1	XP_017886294.2
OG0000814	XP_003401050.2	XP_017890394.1, XP_017889230.1, XP_017886295.1, XP_017890257.1
OG0000816	XP_003401239.1	XP_017889691.1
OG0000816	XP_020722610.1	XP_017889339.1
OG0000817	XP_020722423.1, XP_012172432.1	XP_017889636.1, XP_017889633.1
OG0000818	XP_012173790.1, XP_003402257.2	XP_017886749.1
OG0000819	XP_003402256.1	XP_017886917.1
OG0000820	XP_020719563.1, XP_020719562.1	XP_017884371.2
OG0000821	XP_003393745.1	XP_017891395.1, XP_017891387.1
OG0000822	XP_012170574.1	XP_017888495.1, XP_026673516.1, XP_026673517.1, XP_017888494.1, XP_017888497.1, XP_017888496.1
OG0000823	XP_003400299.1, XP_012171080.1	XP_017877547.1, XP_026668088.1
OG0000824	XP_003401741.1	XP_017883464.1
OG0000825	XP_003395168.1	XP_017878717.1, XP_017878720.1
OG0000826	XP_003396150.2	XP_017893062.1, XP_026666512.1
OG0000827	XP_012165703.1, XP_020719405.1, XP_003396650.1	XP_026674584.1, XP_026674583.1, XP_017890624.2
OG0000828	XP_003397895.1	XP_017891423.1, XP_017884968.1
OG0000829	XP_012165993.1	XP_017892057.1
OG0000830	XP_003393248.1	XP_017880799.1, XP_026669592.1, XP_026669587.1, XP_026669588.1, XP_017880791.1, XP_017880754.1, XP_017880808.1
OG0000831	XP_003393385.1	XP_026672906.1, XP_017887157.1
OG0000832	XP_003401764.1	XP_017883406.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883413.1, XP_017883405.1, XP_017883401.1
OG0000833	XP_020719312.1, XP_012165429.1, XP_012165430.1	XP_017887753.1, XP_026673088.1
OG0000834	XP_003394894.1, XP_003394895.1	XP_017893581.2
OG0000835	XP_020723175.1, XP_020723174.1, XP_003402214.1	XP_017883704.1
OG0000836	XP_003397120.1	XP_017890737.1
OG0000837	XP_003393715.1	XP_017879262.1, XP_017879261.1
OG0000838	XP_012164876.1	XP_026673746.1
OG0000839	XP_003396114.1	XP_017875166.1, XP_026666983.1, XP_017875164.1, XP_017875167.1
OG0000840	XP_012169053.1, XP_012169045.1, XP_003393481.1	XP_017890725.1
OG0000841	XP_012170197.2	XP_017885425.2, XP_017889332.1
OG0000841	XP_012170198.1, XP_003399677.2	XP_017889317.1, XP_017889316.1
OG0000842	XP_003399686.1, XP_020721554.1	XP_017882776.1
OG0000843	XP_020722884.1, XP_003401668.1	XP_026670741.1, XP_026669288.1
OG0000847	XP_012168272.1, XP_020720817.1, XP_003398531.1, XP_020720818.1, XP_012168275.1	XP_017882048.1
OG0000848	XP_012174674.1	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1
OG0000849	XP_020723131.1	XP_026670573.1
OG0000850	XP_003397315.1, XP_012166688.1	XP_017876369.1
OG0000851	XP_012168647.1, XP_012168648.2	XP_026669260.1, XP_017880007.1, XP_017880008.1
OG0000853	XP_003402915.1	XP_017889198.1, XP_017890720.1, XP_026674581.1
OG0000854	XP_020722101.1	XP_017883750.1, XP_017889879.1
OG0000855	XP_003393839.1	XP_017890893.1, XP_026675103.1
OG0000856	XP_012167727.1, XP_003397998.1	XP_017879638.1
OG0000857	XP_020723222.1	XP_026669346.1, XP_017880254.1
OG0000858	XP_012163888.1, XP_003395454.1, XP_020718696.1, XP_003395455.1	XP_017891378.1
OG0000859	XP_003397806.1	XP_017876237.1
OG0000860	XP_003402957.1	XP_017884453.1, XP_017884452.1
OG0000861	XP_003397743.1, XP_003397722.1	XP_017883649.1, XP_017883650.1
OG0000862	XP_003393338.1	XP_017892806.2
OG0000863	XP_020720327.1	XP_017891121.1
OG0000864	XP_003399216.1	XP_017890385.1
OG0000865	XP_003399148.1	XP_026668583.1, XP_017878512.1
OG0000866	XP_003401462.1	XP_026668505.1, XP_026668506.1, XP_017878282.1, XP_017878283.1
OG0000867	XP_012168914.1, NP_001267835.1	XP_017879050.1
OG0000868	XP_003400830.1	XP_017884474.1
OG0000869	XP_003397063.1, XP_012166344.1, XP_003397062.1	XP_017883260.1
OG0000870	XP_003395095.1	XP_017893630.1
OG0000871	XP_012171794.1	XP_026667149.1
OG0000872	XP_003397978.1	XP_017885251.1
OG0000873	XP_003396171.1	XP_017875636.1
OG0000874	XP_012176521.1	XP_017882439.1, XP_017882435.1
OG0000875	XP_003396187.1	XP_017887335.1
OG0000876	XP_012172934.1, XP_012172933.1, XP_012172936.1	XP_017878287.1
OG0000878	XP_003401825.1, XP_003401770.1, XP_003401771.1, XP_020722894.1	XP_017876926.2
OG0000879	XP_012170400.1, XP_020721674.1	XP_017886731.1, XP_017886732.1, XP_026672730.1
OG0000880	XP_020719713.1	XP_017885571.1
OG0000881	XP_020722635.1	XP_026672484.1
OG0000881	XP_020722631.1	XP_026672481.1
OG0000882	XP_003401014.1	XP_017891598.1
OG0000883	XP_003401501.1, XP_012172754.1, XP_012172755.1	XP_017889507.1
OG0000884	XP_020720606.1	XP_017882302.1, XP_026670265.1, XP_026670266.1, XP_026670267.1, XP_026670268.1
OG0000885	XP_003399306.1	XP_017884544.1
OG0000886	XP_003394551.1	XP_017886063.1, XP_026672383.1, XP_026672382.1, XP_026672381.1, XP_017886065.1
OG0000887	XP_003393556.1, XP_012169887.1, XP_020722003.1	XP_017892669.1
OG0000888	XP_003393584.1, XP_012170334.1	XP_026671455.1, XP_017884355.1
OG0000889	XP_012169992.1, XP_012169996.1	XP_017888433.1, XP_026673527.1
OG0000890	XP_012167013.1, XP_012167017.1, XP_012167016.1, XP_012167015.1, XP_003397493.1, XP_012167014.1	XP_017892129.1, XP_017892200.1, XP_026671008.1
OG0000891	XP_003400481.1	XP_017893287.1
OG0000892	XP_020721736.1	XP_017881148.1
OG0000893	XP_020718561.1	XP_017885444.1
OG0000894	XP_012169519.1	XP_017889568.1
OG0000895	XP_003397081.1, XP_012166386.1	XP_017892209.1
OG0000896	XP_003395984.1	XP_017892765.1
OG0000897	XP_012163893.1	XP_026674894.1, XP_017891328.1
OG0000898	XP_003398954.1	XP_017892936.1, XP_026675640.1, XP_026675641.1, XP_026675642.1
OG0000899	XP_020720629.1	XP_017882122.1
OG0000900	XP_020718671.1, XP_020718669.1, XP_020718668.1, XP_020718667.1, XP_020718666.1, XP_020718665.1, XP_020718670.1	XP_026670847.1
OG0000901	XP_003400682.1	XP_017875431.1
OG0000902	XP_020722016.1, XP_020722014.1, XP_020722017.1, XP_020722015.1	XP_026671781.1, XP_017884666.1
OG0000903	XP_012163414.1, XP_012163417.1, XP_012163416.1	XP_017886582.1
OG0000904	XP_012167990.1	XP_017883838.1
OG0000905	XP_020721017.1, XP_012169271.1	XP_017890610.1
OG0000906	XP_020724120.1, XP_012176485.1	XP_017881339.1, XP_017881344.1
OG0000907	XP_012163292.1	XP_017882735.2, XP_017878774.1, XP_026668735.1, XP_026668736.1, XP_026668737.1
OG0000908	XP_012163216.1	XP_017893606.1
OG0000909	XP_012163973.1, XP_003395529.1	XP_026669048.1, XP_026669047.1, XP_017879542.2
OG0000910	XP_012164243.1, XP_003395719.1	XP_017876234.1
OG0000911	XP_003396969.1	XP_017887562.1
OG0000912	XP_020719246.1, XP_020719248.1, XP_020719249.1, XP_020719247.1	XP_017892422.1
OG0000913	XP_003396274.1	XP_017892397.1
OG0000914	XP_020724114.1	XP_017882765.1
OG0000914	XP_020724113.1, XP_012176469.1, XP_012176468.1	XP_026670187.1
OG0000915	XP_003394181.1	XP_017886030.1
OG0000916	XP_012168881.1, XP_012168856.1, XP_012168871.1, XP_012168863.1, XP_012168878.1	XP_026669156.1
OG0000917	XP_003392983.2	XP_017881018.1
OG0000918	XP_012168435.1	XP_017887809.1
OG0000918	XP_020718924.1	XP_026673220.1
OG0000919	XP_012175398.1, XP_012175396.1	XP_017875736.1, XP_017875735.1
OG0000920	XP_003399205.2, XP_012174888.2	XP_026672814.1, XP_026672812.1
OG0000922	XP_012164139.1, XP_012164147.1, XP_012164160.1, XP_012164154.1	XP_017888184.1
OG0000923	XP_003394892.1	XP_026666863.1
OG0000924	XP_003395973.1, XP_020718992.1, XP_020718993.1	XP_017879700.1
OG0000925	XP_020723644.1, XP_020723645.1	XP_017884094.1, XP_026671362.1
OG0000926	XP_012175297.1	XP_017890874.1
OG0000927	XP_020722862.1, XP_012173157.1, XP_012173158.1, XP_003401783.1	XP_017888894.1
OG0000928	XP_020719845.1, XP_003397044.1	XP_017877351.1, XP_026668016.1, XP_017877352.1
OG0000930	XP_012166799.1, XP_012166800.1, XP_012166798.1	XP_026672554.1
OG0000931	XP_020720291.1	XP_017885488.1, XP_017885482.1, XP_026672348.1
OG0000932	XP_012168229.1	XP_026667209.1
OG0000932	XP_020720634.1	XP_026667210.1
OG0000933	XP_020720969.1, XP_020720970.1, XP_020720971.1	XP_017881662.1
OG0000934	XP_003402568.1	XP_026673460.1, XP_017888302.1, XP_017888301.1
OG0000935	XP_003398957.1	XP_026666474.1, XP_017892912.1, XP_026666475.1
OG0000936	XP_012165340.1, XP_003393261.1, XP_012165362.1, XP_012165355.1, XP_020720886.1	XP_017875901.1
OG0000937	XP_012165307.2	XP_017885882.1
OG0000938	XP_012172782.1	XP_026673959.1
OG0000939	XP_020722497.1, XP_020722496.1	XP_017892582.1, XP_017892587.1
OG0000940	XP_020720925.1	XP_017890732.1, XP_026674620.1
OG0000941	XP_012165837.1	XP_017885951.1
OG0000942	XP_012163127.1	XP_017890636.2
OG0000943	XP_003396253.1, XP_012165166.1	XP_017887877.1, XP_026673247.1, XP_026673248.1
OG0000944	XP_003400911.1, XP_020722087.1	XP_026670468.1
OG0000946	XP_003393760.1	XP_017878210.1, XP_026668448.1, XP_026668449.1, XP_026668450.1
OG0000947	XP_020724000.1	XP_026667803.1
OG0000948	XP_012173301.1	XP_017879270.1
OG0000949	XP_020723250.1	XP_026671415.1, XP_017884178.1
OG0000950	XP_012168354.1	XP_017875674.1
OG0000951	XP_003394829.1	XP_017882029.1
OG0000952	XP_012164488.1	XP_017879808.1
OG0000953	XP_003395493.1	XP_017883134.1, XP_026670853.1
OG0000954	XP_003395799.1	XP_017888998.1
OG0000955	XP_020723310.1	XP_017885399.2, XP_017876441.1
OG0000956	XP_003395495.1, XP_003395486.1	XP_026671068.1
OG0000957	XP_020719001.1	XP_017889208.1
OG0000958	XP_012165560.1	XP_017885202.1
OG0000958	XP_003396982.1	XP_026671998.1
OG0000959	XP_012173022.1, XP_012173027.1	XP_017877251.1, XP_017877253.1
OG0000960	XP_003401730.1	XP_017876032.1
OG0000960	XP_020722941.1	XP_017892939.1, XP_017892942.1, XP_017892941.1
OG0000961	XP_003401613.1	XP_017875753.2
OG0000961	XP_003401614.3	XP_026669715.1
OG0000962	XP_012175203.2	XP_017881155.1
OG0000963	XP_003403218.1, XP_020723818.1, XP_020723817.1, XP_020723815.1, XP_012174982.1, XP_020723816.1, XP_012174981.1	XP_017881550.1
OG0000964	XP_003397103.1, XP_012166414.1, XP_012166415.1, XP_012166416.1, XP_003397102.1	XP_017892408.1
OG0000965	XP_020719824.1	XP_017893217.1, XP_017893218.1
OG0000966	XP_012174971.1	XP_017893061.1, XP_017893051.1
OG0000967	XP_003397935.2	XP_017886627.1, XP_026672574.1, XP_017886658.1, XP_017886643.1, XP_017886650.1, XP_026672571.1
OG0000968	XP_020720390.1	XP_026672955.1
OG0000969	XP_003397687.1	XP_017892142.2, XP_017889243.1
OG0000970	XP_003403354.1, XP_020723920.1, XP_020723921.1, XP_020723918.1, XP_020723919.1, XP_020723916.1, XP_020723917.1	XP_017882001.1
OG0000971	XP_020721164.1, XP_012168644.1, XP_020721165.1	XP_026672461.1
OG0000972	XP_020720975.1, XP_012169181.1	XP_017876939.1, XP_017876938.1, XP_026667842.1
OG0000973	XP_003399480.1	XP_017881151.1
OG0000974	XP_020722479.1, XP_020722478.1, XP_012172042.1	XP_026675013.1
OG0000975	XP_012170718.1	XP_017890279.1
OG0000976	XP_012171700.1	XP_017884640.1, XP_017884639.1
OG0000977	XP_003400846.1, XP_020721992.1	XP_017882215.1
OG0000978	XP_003402809.1	XP_026670440.1, XP_026670439.1, XP_026670441.1, XP_017882221.1
OG0000980	XP_020722762.1	XP_026666956.1, XP_017889737.1, XP_017889735.1
OG0000981	XP_003392991.1	XP_026674661.1
OG0000983	XP_003398628.2	XP_017875408.1
OG0000984	XP_012168350.1	XP_026667240.1
OG0000985	XP_003398732.1	XP_017878954.1, XP_017878943.1
OG0000986	XP_003402872.1, XP_012174597.1, XP_012174596.1, XP_012174598.1	XP_017875899.1
OG0000987	XP_020721593.1, XP_012170026.1	XP_017880171.1, XP_017880169.1
OG0000989	XP_020723864.1, XP_003403254.1	XP_017881316.1, XP_017881317.1, XP_017881314.1, XP_017881315.1
OG0000990	XP_012173271.1	XP_017888873.1, XP_026673739.1
OG0000991	XP_003402944.1	XP_017890910.1
OG0000992	XP_012172501.1	XP_017886511.2
OG0000993	XP_003398481.1, XP_003398482.1	XP_017875660.1, XP_017875659.1
OG0000995	XP_003396093.1	XP_017888643.1
OG0000996	XP_003402512.1	XP_017892888.1
OG0000997	XP_003397026.1	XP_017893182.1
OG0000998	XP_012166142.1, XP_020719314.1, XP_020719313.1, XP_020719315.1, XP_003396980.1	XP_017892522.1
OG0000999	XP_003398057.1	XP_017886560.1
OG0001000	XP_012164376.1, XP_012164375.1, XP_012164374.1, XP_003395843.1	XP_017890150.1
OG0001001	XP_003396873.1	XP_017887717.1, XP_026673045.1
OG0001002	XP_020723064.1	XP_017887748.1, XP_017887747.1
OG0001003	XP_003397397.1	XP_017875624.1
OG0001004	XP_003399824.1	XP_017886825.1
OG0001005	XP_012168568.1	XP_017878403.1
OG0001006	XP_003397628.1	XP_017880034.1
OG0001007	XP_012166572.2	XP_017885489.2, XP_026672126.1, XP_017878082.2, XP_017876336.1, XP_017893147.2, XP_026672146.1, XP_026671946.1, XP_026672145.1, XP_017888250.2
OG0001008	XP_020721287.1, XP_012169631.1, XP_012169630.1, XP_003399301.1	XP_017884417.1
OG0001009	XP_003397599.1	XP_017891497.1
OG0001010	XP_003396516.2	XP_017887555.1, XP_026673052.1
OG0001011	XP_012173377.1, XP_012173380.1, XP_003402094.1, XP_012173378.1, XP_012173379.1	XP_026671202.1
OG0001012	XP_003397220.1, XP_012166565.1	XP_017891083.1
OG0001013	XP_003395283.1, XP_020718741.1	XP_017890164.1, XP_017890162.1, XP_017890163.1, XP_026674321.1
OG0001014	XP_012173728.1	XP_017890676.1
OG0001015	XP_012170496.1	XP_017876752.1, XP_026667755.1, XP_026667754.1, XP_026667753.1, XP_017876341.1
OG0001016	XP_003396679.1	XP_026675468.1, XP_026675469.1
OG0001017	XP_020719044.1, XP_020719045.1, XP_020719043.1	XP_017875801.1
OG0001018	XP_003398213.1	XP_017876594.1
