Orthogroup	Apis_mellifera	Dufourea_novaeangliae
OG0001169	XP_026298033.1	XP_015430405.1, XP_015430502.1, XP_015430500.1
OG0001170	XP_026298239.1, XP_026298240.1	XP_015437879.1
OG0001171	XP_026298259.1	XP_015438053.1
OG0001172	XP_026298341.1	XP_015433288.1
OG0001173	XP_026298549.1	XP_015433222.1
OG0001174	XP_026298605.1	XP_015436410.1
OG0001175	XP_026298726.1	XP_015436133.1
OG0001176	XP_026298736.1	XP_015431054.1
OG0001178	XP_026298830.1	XP_015429764.1
OG0001179	XP_026298834.1, XP_026298833.1	XP_015431083.1
OG0001180	XP_026298838.1	XP_015436053.1
OG0001181	XP_026299072.1	XP_015433425.1
OG0001182	XP_026299374.1	XP_015437037.1
OG0001184	XP_026299555.1, XP_026299554.1, XP_026299556.1	XP_015436194.1
OG0001185	XP_026299612.1	XP_015428698.1
OG0001186	XP_026299663.1, XP_026299660.1	XP_015437030.1
OG0001187	XP_026299752.1	XP_015440537.1
OG0001188	XP_026299799.1	XP_015437362.1
OG0001189	XP_026299887.1, XP_394248.2	XP_015429985.1
OG0001190	XP_026299903.1	XP_015437349.1
OG0001191	XP_026300579.1	XP_015432296.1, XP_015432295.1
OG0001192	XP_026300981.1	XP_015438932.1
OG0001193	XP_026300986.1	XP_015439100.1
OG0001194	XP_026300995.1	XP_015434083.1
OG0001195	XP_026301204.1	XP_015432426.1
OG0001196	XP_026301333.1, XP_026301332.1, XP_026301331.1	XP_015440292.1
OG0001197	XP_391934.3	XP_015428838.1, XP_015428839.1, XP_015428837.1
OG0001198	XP_393060.4	XP_015430886.1
OG0001199	XP_393096.3	XP_015438630.1
OG0001200	XP_393196.4	XP_015439945.1
OG0001201	XP_393293.2	XP_015429634.1
OG0001202	XP_393301.3	XP_015432021.1
OG0001203	XP_393727.2	XP_015431412.1
OG0001204	XP_393737.2	XP_015440511.1
OG0001205	XP_394040.3	XP_015434149.1
OG0001207	XP_394292.3	XP_015431984.1
OG0001208	XP_394429.4	XP_015435944.1, XP_015435945.1
OG0001209	XP_394440.3	XP_015431513.1
OG0001210	XP_394859.1	XP_015440056.1
OG0001211	XP_395404.2	XP_015435715.1
OG0001212	XP_395702.3	XP_015435255.1
OG0001213	XP_395752.2	XP_015433835.1
OG0001214	XP_396789.2	XP_015436514.1
OG0001215	XP_397127.5	XP_015432684.1, XP_015432683.1
OG0001216	XP_397181.1	XP_015432515.1
OG0001217	XP_397379.4	XP_015437014.1
OG0001218	XP_623681.1	XP_015428929.1
OG0001219	XP_624251.3	XP_015437086.1
OG0001220	XP_624457.1	XP_015435893.1
OG0001221	XP_624707.2	XP_015430267.1, XP_015430268.1
OG0001222	XP_624872.2	XP_015433495.1
OG0001223	XP_624977.1, XP_624964.1	XP_015434417.1
OG0001224	XP_625028.1	XP_015439215.1
OG0001225	XP_625037.1	XP_015438565.1
OG0001226	XP_625148.1	XP_015437768.1
OG0001227	XP_625226.1	XP_015437973.1
OG0001228	XP_625228.3	XP_015437978.1
OG0001240	NP_001229399.1, NP_001011566.1	XP_015440302.1
OG0001241	NP_001011576.1, XP_026297363.1	XP_015435134.1
OG0001242	XP_026295054.1, NP_001011594.1	XP_015435375.1
OG0001243	NP_001011602.1	XP_015436158.1
OG0001244	NP_001091636.1, NP_001011626.2	XP_015437469.1
OG0001245	XP_006557552.1, NP_001011643.1	XP_015431112.1
OG0001246	NP_001035356.1	XP_015437685.1, XP_015437687.1
OG0001247	XP_026295136.1, NP_001035357.1	XP_015434371.1
OG0001248	XP_006571287.1	XP_015435368.1
OG0001249	XP_006560237.1, NP_001071285.1	XP_015439179.1
OG0001250	NP_001139210.1, XP_006563265.1	XP_015434459.1
OG0001251	NP_001153522.1, NP_001153544.1	XP_015435615.1
OG0001252	XP_001121036.2	XP_015428527.1
OG0001253	NP_001157189.1, XP_016767530.2	XP_015439861.1
OG0001254	XP_016768607.2	XP_015430648.1
OG0001255	NP_001167612.1, XP_006557598.1	XP_015439177.1
OG0001256	NP_001257748.1	XP_015428686.1
OG0001257	XP_006571516.1, NP_001265264.1	XP_015429648.1
OG0001258	XP_026299313.1, NP_001265610.1	XP_015438829.1
OG0001259	XP_026301730.1, NP_001314886.1	XP_015438836.1
OG0001259	XP_003251102.1, NP_001314883.1	XP_015440254.1
OG0001260	XP_006559253.1, XP_006559252.1, XP_001119855.2	XP_015432510.1
OG0001261	XP_006560242.1, XP_006560241.1, XP_001119882.2, XP_006560243.1	XP_015439186.1
OG0001262	XP_001120054.2	XP_015439418.1
OG0001263	XP_001120061.2, XP_006567415.1	XP_015436335.1
OG0001264	XP_001120215.2	XP_015436322.1
OG0001265	XP_026299847.1, XP_001120472.1	XP_015435528.1
OG0001266	XP_026302033.1, XP_026302034.1, XP_001120512.5	XP_015432920.1
OG0001267	XP_006557524.1, XP_006557525.1, XP_001120701.2	XP_015437088.1
OG0001268	XP_001121102.2	XP_015438004.1
OG0001269	XP_001121169.2	XP_015431190.1, XP_015431189.1
OG0001270	XP_001121176.1	XP_015434106.1
OG0001271	XP_001121775.2, XP_016767210.2	XP_015431722.1
OG0001272	XP_001122042.3	XP_015429455.1
OG0001273	XP_001122623.2	XP_015434176.1
OG0001274	XP_001122704.2, XP_026296440.1, XP_006570316.1	XP_015440075.1
OG0001275	XP_001123019.2	XP_015440525.1
OG0001276	XP_001123355.3	XP_015439008.1
OG0001277	XP_003249096.1	XP_015431755.1
OG0001278	XP_003249130.2	XP_015436702.1
OG0001279	XP_003249154.1	XP_015430368.1
OG0001280	XP_003249385.1	XP_015430157.1
OG0001282	XP_003249819.2	XP_015431867.1
OG0001283	XP_003249882.1, XP_026298283.1, XP_026298282.1	XP_015429220.1
OG0001284	XP_003249908.1	XP_015433855.1
OG0001285	XP_006562526.1, XP_006562527.1, XP_003250091.1	XP_015437208.1
OG0001286	XP_003250169.1	XP_015438419.1
OG0001287	XP_016772345.1	XP_015430183.1
OG0001288	XP_003250277.1	XP_015433211.1
OG0001289	XP_003250418.1	XP_015431205.1
OG0001290	XP_003250512.2	XP_015429103.1
OG0001291	XP_003250884.1	XP_015437759.1
OG0001292	XP_003250890.1	XP_015437335.1
OG0001293	XP_016772918.1, XP_003251236.1, XP_016772914.1	XP_015435941.1
OG0001294	XP_006570286.1, XP_003251510.1, XP_016767749.1	XP_015439893.1
OG0001295	XP_026300498.1, XP_026300497.1, XP_003251801.1	XP_015433718.1
OG0001296	XP_396430.1, XP_006557323.1	XP_015431549.1
OG0001297	XP_026301503.1, XP_016772440.1, XP_006557346.1	XP_015430294.1
OG0001298	XP_006557379.2	XP_015434462.1
OG0001300	XP_006557820.2, XP_016772551.2	XP_015430393.1
OG0001301	XP_006557926.1	XP_015432385.1
OG0001303	XP_395880.4, XP_006558682.1, XP_006558681.1	XP_015438098.1
OG0001304	XP_006559207.1, XP_006559209.1	XP_015439454.1
OG0001305	XP_006559220.1	XP_015435976.1
OG0001306	XP_393635.1, XP_006559250.1	XP_015432476.1
OG0001307	XP_393383.3	XP_015439461.1, XP_015439460.1
OG0001308	XP_006559518.1	XP_015430558.1, XP_015430566.1
OG0001309	XP_006560560.2	XP_015435922.1, XP_015435923.1, XP_015435919.1
OG0001310	XP_006560897.1	XP_015435957.1
OG0001311	XP_006560939.1, XP_016766761.1, XP_016766762.1	XP_015431473.1
OG0001312	XP_006561226.1, XP_006561229.1	XP_015429130.1
OG0001313	XP_006561339.1	XP_015438763.1
OG0001314	XP_006561684.1, XP_624894.1	XP_015436147.1, XP_015436148.1
OG0001315	XP_006562156.1	XP_015439859.1
OG0001316	XP_006562487.1	XP_015436787.1
OG0001317	XP_624254.3, XP_006562530.1	XP_015436789.1
OG0001318	XP_006562743.1	XP_015439370.1
OG0001319	XP_006562777.1	XP_015431764.1
OG0001320	XP_006562807.1	XP_015436856.1
OG0001321	XP_006562826.1	XP_015439637.1
OG0001322	XP_006563111.2, XP_006563110.2	XP_015434158.1
OG0001323	XP_006563315.1, XP_016768023.1	XP_015433459.1
OG0001324	XP_026295755.1, XP_006563318.2, XP_026295759.1	XP_015432526.1, XP_015432594.1
OG0001325	XP_006563359.1, XP_026302126.1	XP_015434909.1
OG0001327	XP_006563542.1	XP_015432505.1
OG0001328	XP_016772169.1, XP_006563722.1	XP_015434901.1
OG0001329	XP_026295194.1	XP_015435921.1
OG0001330	XP_006564186.1, XP_026297333.1	XP_015431980.1, XP_015431978.1
OG0001331	XP_006564281.1	XP_015433385.1
OG0001332	XP_006564414.1, XP_026299658.1, XP_006564413.1	XP_015436610.1
OG0001333	XP_006564416.1, XP_006564415.1	XP_015436553.1
OG0001335	XP_006564735.1	XP_015430937.1, XP_015430936.1
OG0001336	XP_006564903.1, XP_006564906.1, XP_006564907.1	XP_015439133.1
OG0001337	XP_006565202.1	XP_015436665.1
OG0001338	XP_006565266.1	XP_015432133.1
OG0001339	XP_006565292.1, XP_016770927.1	XP_015438670.1
OG0001340	XP_006565363.2	XP_015437075.1
OG0001341	XP_006565490.3	XP_015438728.1
OG0001342	XP_006565519.1	XP_015436581.1
OG0001343	XP_006565611.2	XP_015439577.1
OG0001344	XP_006566552.1	XP_015438803.1
OG0001345	XP_006566705.2	XP_015437725.1
OG0001346	XP_006566741.2, XP_006566742.2, XP_393330.3	XP_015437409.1
OG0001347	XP_006566884.1	XP_015430488.1
OG0001348	XP_006566987.1	XP_015432217.1
OG0001349	XP_006567526.1, XP_026298607.1	XP_015436237.1, XP_015436235.1
OG0001350	XP_006567845.1, XP_394587.3	XP_015439664.1
OG0001351	XP_006568004.1	XP_015438160.1
OG0001352	XP_624939.1, XP_006568087.1, XP_006568088.1	XP_015433773.1
OG0001353	XP_006568264.1, XP_026295048.1	XP_015428968.1
OG0001354	XP_392793.4, XP_006568388.1, XP_006568387.1, XP_026297740.1	XP_015434492.1, XP_015434493.1
OG0001355	XP_623065.2, XP_006568498.2	XP_015433405.1
OG0001356	XP_624663.4, XP_006568571.2, XP_006568569.2, XP_006568570.2	XP_015428826.1
OG0001357	XP_006568618.2	XP_015429824.1
OG0001358	XP_006568633.1	XP_015436717.1
OG0001359	XP_026296471.1, XP_393600.2, XP_006568637.1, XP_006568635.1, XP_006568636.1, XP_026296470.1	XP_015437911.1
OG0001360	XP_006568888.1, XP_006568887.1	XP_015433967.1
OG0001361	XP_006569022.1	XP_015431888.1
OG0001362	XP_006569379.1	XP_015430773.1
OG0001363	XP_006569380.2, XP_016767271.2	XP_015430838.1
OG0001364	XP_006569400.1	XP_015430776.1
OG0001365	XP_006569847.1	XP_015433820.1
OG0001366	XP_006569907.1, XP_006569908.1	XP_015434223.1
OG0001367	XP_395132.2, XP_006570001.1	XP_015428446.1
OG0001368	XP_006570068.1	XP_015437442.1
OG0001369	XP_006570140.1, XP_006570134.1, XP_006570135.1, XP_026302006.1, XP_026302005.1, XP_026302008.1, XP_026302007.1, XP_026302009.1, XP_016771224.1, XP_006570139.1	XP_015438255.1
OG0001370	XP_006570163.2	XP_015430054.1, XP_015430056.1, XP_015430051.1, XP_015430053.1, XP_015430052.1, XP_015430055.1
OG0001371	XP_006570301.2, XP_026296398.1	XP_015440199.1, XP_015440200.1
OG0001372	XP_006570683.1	XP_015435449.1, XP_015435448.1, XP_015435447.1
OG0001374	XP_026295822.1, XP_026295821.1, XP_006570847.3	XP_015435265.1
OG0001375	XP_006571012.1, XP_006571006.1	XP_015432546.1
OG0001376	XP_006571055.1, XP_016768322.1	XP_015435700.1, XP_015435701.1
OG0001377	XP_026301919.1, XP_006571061.2	XP_015430092.1
OG0001378	XP_006571554.2, XP_016773175.2	XP_015430136.1
OG0001379	XP_006571652.2	XP_015436846.1
OG0001380	XP_006572008.1, XP_006572005.1, XP_006572007.1, XP_006572006.1	XP_015431248.1
OG0001381	XP_006572020.1	XP_015438784.1, XP_015438551.1
OG0001383	XP_006572172.1	XP_015433341.1
OG0001384	XP_016766564.1	XP_015439292.1
OG0001385	XP_016766731.1	XP_015434229.1
OG0001386	XP_016766860.1	XP_015435380.1, XP_015435379.1
OG0001387	XP_395083.5, XP_016766993.2	XP_015434278.1
OG0001388	XP_016767150.1	XP_015436964.1, XP_015436963.1
OG0001389	XP_016768032.1	XP_015437627.1
OG0001390	XP_016768362.2	XP_015436778.1
OG0001391	XP_016768675.1, XP_624014.2	XP_015438236.1
OG0001392	XP_016768680.1	XP_015435673.1, XP_015435671.1
OG0001393	XP_016768956.2, XP_396503.5	XP_015437265.1
OG0001394	XP_623604.1, XP_016769248.1	XP_015430114.1
OG0001395	XP_623495.1, XP_016769524.1	XP_015436151.1
OG0001396	XP_016769579.1	XP_015436125.1
OG0001397	XP_016770442.2	XP_015435557.1
OG0001398	XP_016770863.2	XP_015432270.1
OG0001400	XP_016771021.1, XP_016771020.1	XP_015434630.1
OG0001401	XP_394034.5	XP_015430204.1
OG0001402	XP_016771976.2	XP_015437929.1
OG0001402	XP_026301365.1	XP_015437928.1
OG0001403	XP_026301661.1, XP_016772147.2, XP_026301707.1	XP_015429918.1
OG0001404	XP_016772305.1	XP_015435627.1
OG0001405	XP_016772586.1	XP_015430299.1
OG0001406	XP_026295547.1, XP_026295555.1, XP_016772700.2	XP_015429365.1
OG0001407	XP_016773511.1	XP_015435016.1, XP_015434945.1
OG0001408	XP_026294749.1, XP_026294750.1	XP_015432211.1
OG0001409	XP_026294944.1, XP_026294885.1	XP_015429751.1
OG0001411	XP_026295318.1	XP_015435947.1
OG0001412	XP_026295323.1, XP_396074.2	XP_015429350.1
OG0001413	XP_026295461.1, XP_396054.1	XP_015428598.1
OG0001414	XP_026295526.1	XP_015431526.1
OG0001415	XP_026295546.1, XP_026295545.1	XP_015429376.1
OG0001416	XP_026295560.1, XP_026295561.1	XP_015429379.1
OG0001417	XP_026295584.1, XP_026295586.1	XP_015432876.1
OG0001418	XP_026295662.1	XP_015435816.1
OG0001419	XP_026295673.1, XP_026295671.1, XP_026295670.1	XP_015434084.1
OG0001421	XP_026295872.1	XP_015431690.1
OG0001423	XP_026295959.1, XP_026295960.1	XP_015431790.1
OG0001424	XP_026296172.1, XP_026296173.1, XP_026296171.1, XP_026296174.1	XP_015431729.1
OG0001425	XP_026296228.1	XP_015440416.1
OG0001426	XP_026296339.1	XP_015440230.1
OG0001427	XP_026296373.1	XP_015433343.1, XP_015433344.1
OG0001429	XP_026296504.1	XP_015433251.1, XP_015433249.1, XP_015433250.1
OG0001430	XP_026296581.1, XP_026296582.1, XP_026296580.1	XP_015439975.1
OG0001431	XP_026296618.1, XP_624243.3	XP_015434643.1
OG0001432	XP_026296648.1	XP_015429823.1
OG0001433	XP_026296957.1, XP_026296956.1	XP_015433560.1
OG0001434	XP_026296977.1	XP_015431985.1
OG0001435	XP_026297195.1	XP_015438068.1
OG0001435	XP_026297213.1	XP_015438153.1
OG0001436	XP_026297227.1	XP_015438775.1
OG0001437	XP_026297271.1	XP_015430064.1
OG0001438	XP_026297288.1	XP_015434541.1
OG0001439	XP_026297335.1	XP_015436708.1
OG0001440	XP_026297410.1	XP_015434491.1
OG0001441	XP_026297995.1	XP_015431090.1
OG0001442	XP_026298054.1, XP_026298053.1	XP_015433781.1
OG0001443	XP_026298146.1	XP_015437455.1
OG0001444	XP_026298269.1	XP_015435442.1
OG0001445	XP_026298493.1	XP_015433377.1
OG0001446	XP_026298657.1	XP_015436134.1
OG0001447	XP_026298716.1	XP_015429962.1
OG0001448	XP_026298819.1, XP_026298820.1	XP_015439502.1
OG0001449	XP_026298837.1	XP_015431128.1
OG0001450	XP_026299186.1, XP_026299184.1	XP_015428911.1
OG0001451	XP_026299562.1	XP_015428697.1
OG0001452	XP_026299699.1	XP_015430303.1
OG0001453	XP_026299769.1	XP_015428685.1
OG0001453	XP_026299774.1	XP_015428808.1
OG0001454	XP_026299801.1, XP_026299814.1	XP_015429816.1
OG0001455	XP_026299934.1, XP_026299935.1, XP_026299937.1, XP_026299936.1	XP_015432190.1, XP_015432191.1
OG0001456	XP_026299965.1	XP_015438616.1
OG0001457	XP_026300270.1, XP_026300271.1	XP_015432681.1, XP_015432680.1
OG0001458	XP_026300499.1	XP_015428547.1
OG0001459	XP_026300946.1, XP_026300943.1	XP_015439222.1
OG0001460	XP_026300984.1	XP_015439225.1
OG0001462	XP_026301282.1	XP_015428578.1
OG0001463	XP_026301412.1	XP_015437938.1
OG0001464	XP_026301459.1	XP_015434840.1
OG0001465	XP_026301574.1	XP_015433857.1, XP_015433860.1, XP_015433858.1, XP_015433859.1
OG0001466	XP_026301644.1	XP_015429945.1
OG0001467	XP_026301649.1	XP_015430320.1
OG0001468	XP_026302119.1	XP_015433021.1, XP_015433020.1
OG0001469	XP_026302245.1	XP_015429461.1
OG0001470	XP_026302286.1, XP_026302273.1	XP_015432799.1
OG0001471	XP_026302294.1	XP_015429447.1
OG0001472	XP_391898.1	XP_015436615.1
OG0001473	XP_392431.2	XP_015429883.1, XP_015429882.1, XP_015429884.1
OG0001474	XP_392452.2	XP_015429839.1
OG0001476	XP_392799.3	XP_015435985.1
OG0001477	XP_392818.2	XP_015431133.1
OG0001479	XP_393437.3	XP_015439104.1
OG0001480	XP_393566.3	XP_015430879.1
OG0001481	XP_393875.1	XP_015437572.1, XP_015437571.1
OG0001482	XP_393894.1	XP_015432338.1
OG0001483	XP_393999.3	XP_015438908.1
OG0001484	XP_394067.4	XP_015433224.1
OG0001485	XP_394342.1	XP_015429124.1
OG0001486	XP_394416.4	XP_015431486.1
OG0001487	XP_394419.2	XP_015431474.1
OG0001488	XP_394584.4	XP_015440058.1, XP_015440057.1
OG0001489	XP_395017.2	XP_015430582.1, XP_015430585.1
OG0001490	XP_395266.4	XP_015436828.1
OG0001491	XP_395389.2	XP_015439227.1
OG0001492	XP_395566.3	XP_015433404.1
OG0001493	XP_395696.2	XP_015431734.1
OG0001494	XP_395840.2	XP_015439824.1
OG0001495	XP_396066.5	XP_015432239.1
OG0001496	XP_396132.4	XP_015439813.1, XP_015439812.1
OG0001497	XP_396376.2	XP_015428567.1
OG0001498	XP_396584.2	XP_015436577.1
OG0001499	XP_396585.2	XP_015436536.1
OG0001500	XP_396758.1	XP_015435937.1
OG0001501	XP_397170.4	XP_015437147.1
OG0001502	XP_397465.5	XP_015434258.1
OG0001503	XP_623739.2	XP_015439998.1
OG0001504	XP_623822.2	XP_015438622.1
OG0001505	XP_623908.1	XP_015438089.1
OG0001506	XP_624018.4	XP_015438863.1
OG0001507	XP_624146.2	XP_015433408.1
OG0001508	XP_624230.1	XP_015430156.1
OG0001509	XP_624376.1	XP_015439041.1
OG0001510	XP_624520.1	XP_015431709.1
OG0001511	XP_625038.2	XP_015439639.1
OG0001512	XP_625210.1	XP_015437322.1, XP_015437324.1, XP_015437323.1
OG0001525	XP_006568211.1, NP_001011597.1	XP_015429084.1
OG0001526	NP_001011625.1, XP_006561565.1	XP_015439549.1
OG0001527	NP_001011627.1	XP_015437253.1, XP_015435215.1
OG0001528	XP_006561609.1, NP_001011634.1	XP_015433886.1, XP_015433879.1
OG0001529	NP_001011639.2	XP_015433151.1
OG0001530	XP_006567388.1, NP_001035355.1	XP_015436152.1
OG0001531	NP_001071281.1, XP_006560362.1	XP_015428643.1, XP_015428644.1, XP_015428645.1
OG0001532	NP_001071289.1, XP_026296900.1	XP_015433143.1, XP_015437694.1
OG0001533	NP_001128415.1, XP_006563267.1	XP_015432571.1
OG0001534	NP_001135933.1	XP_015433471.1, XP_015433464.1, XP_015433478.1
OG0001535	XP_006567657.1, NP_001155988.1	XP_015439931.1, XP_015439932.1
OG0001536	XP_016767967.1, NP_001165876.1	XP_015434568.1, XP_015434569.1
OG0001538	NP_001257761.1	XP_015439327.1
OG0001539	NP_001314878.1	XP_015430112.1
OG0001540	XP_001119993.2, NP_001314889.1	XP_015433844.1
OG0001541	XP_001119914.2	XP_015430213.1
OG0001542	XP_001120059.3	XP_015433778.1
OG0001543	XP_001120073.2	XP_015432265.1
OG0001544	XP_001120105.1, XP_006557322.1	XP_015431565.1
OG0001545	XP_001120160.2	XP_015438990.1
OG0001546	XP_001120177.2	XP_015431060.1
OG0001547	XP_001120381.1	XP_015429160.1
OG0001548	XP_001120441.2	XP_015436029.1
OG0001549	XP_001120442.2	XP_015430263.1
OG0001550	XP_001120471.1	XP_015429844.1, XP_015429845.1
OG0001551	XP_001120521.1, XP_003251367.1	XP_015437601.1
OG0001552	XP_001120612.1	XP_015437094.1
OG0001554	XP_001120846.1	XP_015438856.1
OG0001555	XP_001120973.1	XP_015436617.1
OG0001556	XP_001121051.2	XP_015438998.1
OG0001557	XP_001121088.2	XP_015440112.1
OG0001558	XP_026302235.1, XP_001121217.1, XP_006564784.1	XP_015429154.1
OG0001559	XP_026297473.1, XP_001121270.1, XP_026297466.1, XP_026297472.1	XP_015436748.1, XP_015436749.1
OG0001560	XP_001121491.2	XP_015430418.1
OG0001561	XP_016768282.1, XP_001121570.2	XP_015436769.1, XP_015436770.1
OG0001562	XP_001121698.2	XP_015436747.1, XP_015436746.1
OG0001563	XP_016770017.1, XP_001121833.2	XP_015437657.1
OG0001564	XP_001121853.2	XP_015436777.1
OG0001565	XP_006562558.1, XP_016770052.1, XP_001121936.2	XP_015438554.1
OG0001566	XP_001122142.3	XP_015436276.1
OG0001567	XP_001122476.1	XP_015434499.1
OG0001568	XP_001122611.3	XP_015435189.1
OG0001569	XP_001122665.2	XP_015434818.1
OG0001570	XP_001123015.2	XP_015428537.1
OG0001571	XP_006563272.1, XP_001123247.2	XP_015428829.1
OG0001572	XP_001123353.2	XP_015430486.1
OG0001573	XP_003249420.1	XP_015437184.1, XP_015437194.1
OG0001574	XP_003249423.2	XP_015429903.1
OG0001575	XP_003249446.3	XP_015428415.1
OG0001576	XP_003250051.2	XP_015432167.1
OG0001577	XP_003250340.3	XP_015430902.1, XP_015430901.1
OG0001578	XP_003250481.1	XP_015437514.1
OG0001579	XP_016770402.1, XP_003250893.1	XP_015437404.1
OG0001580	XP_003250928.2	XP_015437755.1
OG0001581	XP_003251033.1	XP_015436048.1
OG0001582	XP_003251131.2, XP_006567963.2, XP_006567964.2	XP_015433269.1
OG0001583	XP_006568247.2, XP_003251193.2	XP_015429077.1
OG0001584	XP_003251227.1	XP_015433871.1
OG0001585	XP_003251417.1, XP_006569652.1	XP_015438206.1
OG0001586	XP_003251662.1, XP_016768417.1	XP_015431821.1
OG0001587	XP_003251728.1	XP_015432988.1
OG0001588	XP_006557325.2	XP_015431342.1
OG0001589	XP_006557349.1, XP_006557348.1	XP_015430392.1
OG0001590	XP_006557417.1, XP_006557418.1	XP_015434409.1
OG0001591	XP_006557505.2	XP_015434534.1
OG0001592	XP_006557555.1	XP_015436703.1
OG0001593	XP_006558330.1	XP_015434850.1
OG0001594	XP_006558376.1	XP_015430164.1
OG0001595	XP_006558421.1	XP_015431048.1
OG0001596	XP_026295286.1, XP_006558448.1	XP_015429340.1
OG0001597	XP_006558581.1, XP_006558579.1, XP_006558580.1	XP_015432364.1
OG0001598	XP_006558673.1	XP_015435193.1
OG0001599	XP_006558719.1	XP_015438042.1
OG0001600	XP_006558736.1, XP_006558737.1	XP_015436913.1
OG0001601	XP_006559056.1	XP_015437682.1
OG0001602	XP_006559184.1	XP_015431859.1
OG0001603	XP_026298242.1, XP_006559649.1	XP_015434383.1
OG0001604	XP_006559764.1	XP_015434252.1
OG0001605	XP_016768657.1, XP_006559864.1, XP_006559862.1	XP_015429608.1
OG0001606	XP_016768667.1, XP_006559866.1	XP_015429606.1
OG0001607	XP_006560091.1	XP_015432541.1, XP_015432542.1
OG0001608	XP_006560218.1	XP_015439410.1
OG0001609	XP_006560257.1, XP_016771574.1, XP_006560258.1	XP_015438923.1
OG0001610	XP_006560280.1	XP_015434184.1
OG0001611	XP_006560547.1, XP_006560548.1	XP_015435924.1
OG0001612	XP_006560619.1	XP_015436926.1
OG0001613	XP_006560753.1	XP_015439341.1
OG0001614	XP_006560988.1	XP_015435854.1
OG0001615	XP_006561186.2	XP_015428684.1
OG0001616	XP_006561220.1	XP_015428995.1
OG0001617	XP_006561677.1	XP_015436102.1
OG0001618	XP_006561681.1, XP_006561682.1	XP_015436324.1
OG0001619	XP_006561752.1	XP_015436271.1
OG0001620	XP_006561808.1, XP_006561810.1, XP_006561809.1	XP_015439552.1
OG0001621	XP_006561898.2	XP_015436308.1
OG0001622	XP_006562017.1	XP_015435370.1
OG0001623	XP_006562397.1	XP_015431672.1
OG0001624	XP_006562420.1	XP_015438512.1
OG0001625	XP_623079.2, XP_006562631.2	XP_015440304.1
OG0001626	XP_006562778.1	XP_015431762.1
OG0001627	XP_006562885.1, XP_006562884.1	XP_015431395.1
OG0001628	XP_006562941.1	XP_015438365.1
OG0001629	XP_006563298.1	XP_015429415.1
OG0001630	XP_006563554.1, XP_006563555.1	XP_015437939.1
OG0001631	XP_006563658.1	XP_015439420.1
OG0001632	XP_624474.1, XP_006564004.1	XP_015431546.1
OG0001633	XP_006564297.1	XP_015428980.1
OG0001634	XP_396904.4, XP_006564567.2, XP_006564566.2	XP_015430921.1
OG0001635	XP_016767840.1, XP_006564840.1	XP_015440041.1
OG0001636	XP_026296716.1, XP_006564853.1	XP_015440134.1
OG0001637	XP_026300501.1, XP_006565013.1, XP_016773443.1	XP_015439073.1, XP_015439072.1
OG0001638	XP_623782.1, XP_006565058.1	XP_015438019.1
OG0001639	XP_006565281.1	XP_015434670.1
OG0001640	XP_006565326.1	XP_015438669.1
OG0001641	XP_006565466.2	XP_015436715.1, XP_015436716.1
OG0001642	XP_006565642.2	XP_015439645.1
OG0001643	XP_006565919.1, XP_006565917.1	XP_015437276.1
OG0001644	XP_006566165.1	XP_015428917.1, XP_015428918.1
OG0001645	XP_006566221.2, XP_006566223.2	XP_015440424.1
OG0001646	XP_006566407.2, XP_016770754.2	XP_015440543.1
OG0001647	XP_006566449.1	XP_015440464.1, XP_015440465.1
OG0001648	XP_006567446.1	XP_015436258.1
OG0001649	XP_006567467.1	XP_015436389.1
OG0001650	XP_006567668.1, XP_006567667.1, XP_395429.3	XP_015433810.1
OG0001651	XP_006567711.2, XP_006567712.2	XP_015439882.1
OG0001652	XP_006567755.2	XP_015439633.1
OG0001653	XP_006567812.1, XP_016767872.1, XP_006567813.1	XP_015431908.1
OG0001654	XP_006567818.1	XP_015431928.1
OG0001655	XP_006568074.2	XP_015428825.1
OG0001656	XP_006568121.2	XP_015437268.1
OG0001657	XP_006568626.1	XP_015438195.1
OG0001658	XP_006568799.1	XP_015434984.1
OG0001659	XP_006568802.1	XP_015435012.1
OG0001660	XP_006568830.2	XP_015433969.1
OG0001661	XP_006568863.1, XP_006568862.1	XP_015434992.1
OG0001662	XP_006569044.1	XP_015432534.1
OG0001663	XP_006569136.1, XP_624507.1, XP_016766306.1	XP_015429071.1
OG0001664	XP_006569306.1	XP_015428533.1, XP_015428586.1
OG0001665	XP_006569469.1, XP_016768683.1, XP_394666.3	XP_015429864.1
OG0001666	XP_006569779.1, XP_016769123.1, XP_396175.2	XP_015431149.1
OG0001667	XP_016767791.1, XP_006570010.1	XP_015432737.1
OG0001668	XP_006570024.1	XP_015437005.1
OG0001669	XP_006570296.1	XP_015440078.1
OG0001670	XP_006570391.1, XP_016770284.1	XP_015440480.1, XP_015440478.1
OG0001671	XP_006570433.2	XP_015437762.1
OG0001672	XP_006570736.1	XP_015437156.1, XP_015437157.1
OG0001673	XP_006570746.1, XP_006570749.1	XP_015438543.1
OG0001674	XP_016768088.1, XP_006570947.2, XP_006570946.1, XP_016768089.1, XP_016768090.1	XP_015431443.1
OG0001675	XP_006571593.2, XP_016771656.2	XP_015429490.1
OG0001676	XP_006571672.1, XP_394261.3, XP_006571671.1	XP_015429042.1
OG0001677	XP_006571701.2, XP_624577.2	XP_015430313.1
