GeneID,geneDescription,chr,strand,event,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,1stExonStart_0base,1stExonEnd,2ndExonStart_0base,2ndExonEnd,upstreamES,upstreamEE,downstreamES,downstreamEE,riExonStart_0base,riExonEnd,exonStart_0base,exonEnd
LOC114873450,RING finger protein unkempt homolog,chrOU015513.1,-,A3SS,0.160665227474,0.9397872526531116,"0.952,0.85,0.919,0.933","0.839,0.813,0.881,0.95",0.043,10262036,10262179,10262036,10262164,10262497,10262700,"23,13,13,16","1,2,1,1","30,10,17,22","5,2,2,1",114,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114883151,deubiquitinase DESI2,chrOU015504.1,+,A3SS,0.161139049662,0.9401169425876268,"1.0,0.898,0.918,0.875","1.0,1.0,0.934,0.909",-0.038,13969539,13972663,13969609,13972663,13969311,13969471,"45,30,19,12","0,2,1,1","37,17,24,17","0,0,1,1",169,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114874216,carnosine N-methyltransferase,chrOU015513.1,-,A5SS,0.179503710752,0.940157265111648,"0.74,0.843,0.684,0.673","0.75,0.788,0.851,0.871",-0.08,9407937,9408163,9407955,9408163,9407407,9407565,"37,19,23,17","11,3,9,7","39,22,27,24","11,5,4,3",117,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114877140,heparan-alpha-glucosaminide N-acetyltransferase-like,chrOU015505.1,-,A5SS,0.177488657817,0.940157265111648,"0.148,0.13,0.286,0.176","0.209,0.2,0.357,0.308",-0.084,13586660,13586998,13586841,13586998,13586278,13586510,"8,6,12,3","23,20,15,7","9,5,10,8","17,10,9,9",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114880733,reticulon-4-interacting protein 1 homolog,chrOU015510.1,+,A5SS,0.178728854637,0.940157265111648,"0.911,1.0,1.0,0.852","0.907,1.0,0.926,0.818",0.028,85027,85670,85027,85165,85746,85979,"41,23,42,23","2,0,0,2","39,21,25,27","2,0,1,3",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114875199,zinc finger Ran-binding domain-containing protein 2-like,chrOU015511.1,+,A5SS,0.17907439104,0.940157265111648,"0.674,0.529,0.333,0.4","0.404,0.333,0.385,0.375",0.11,9729056,9729499,9729056,9729309,9729585,9729679,"29,9,6,12","7,4,6,9","19,7,10,12","14,7,8,10",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879655,PTB domain-containing engulfment adapter protein 1-like,chrOU015513.1,+,A5SS,0.17923765658,0.940157265111648,"0.103,0.086,0.094,0.105","0.109,0.118,0.128,0.112",-0.02,10550046,10550388,10550046,10550373,10550467,10550682,"62,29,29,28","471,267,242,208","59,24,37,38","420,156,218,261",114,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114877621,protein bicaudal C homolog 1-B,chrOU015515.1,+,A5SS,0.178150866635,0.940157265111648,"0.562,0.644,0.754,0.569","0.474,0.617,0.671,0.431",0.084,339718,339966,339718,339942,340023,340255,"51,18,42,23","32,8,11,14","47,42,33,32","42,21,13,34",123,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114876493,sodium/potassium-transporting ATPase subunit alpha,chrOU015518.1,+,MXE,0.320874561382,0.9409172630911512,"0.084,0.085,0.071,0.045","0.038,0.062,0.054,0.06",0.018,NA,NA,NA,NA,NA,NA,"11,6,5,3","120,65,65,64","5,8,8,8","125,121,141,125",194,194,8398400,8398495,8404088,8404183,8397830,8398132,8407203,8407378,NA,NA,NA,NA
LOC114873001,bestrophin-4-like,chrOU015518.1,-,MXE,0.317363620122,0.9409172630911512,"0.371,0.377,0.474,0.478","0.364,0.551,0.493,0.485",-0.048,NA,NA,NA,NA,NA,NA,"46,26,45,43","78,43,50,47","48,54,75,64","84,44,77,68",198,198,787370,787601,787701,787859,787187,787268,788280,788447,NA,NA,NA,NA
LOC114872821,venom acid phosphatase Acph-1-like,chrOU015504.1,-,MXE,0.321483108773,0.9409172630911512,"0.945,0.943,0.905,0.849","0.87,0.905,0.903,0.922",0.011,NA,NA,NA,NA,NA,NA,"154,83,86,45","9,5,9,8","87,38,56,47","13,4,6,4",198,198,12674568,12674670,12681592,12681717,12674004,12674264,12683293,12683441,NA,NA,NA,NA
LOC114880651,glutamate-gated chloride channel,chrOU015513.1,+,MXE,0.324078594234,0.9409172630911512,"0.583,0.583,0.706,0.7","0.304,0.5,0.636,0.733",0.1,NA,NA,NA,NA,NA,NA,"21,7,12,14","15,5,5,6","7,4,14,11","16,4,8,4",167,167,9092596,9092664,9095982,9096050,9089058,9089174,9106739,9106809,NA,NA,NA,NA
LOC114874973,carnitine O-palmitoyltransferase 1,chrOU015515.1,+,MXE,0.320510292745,0.9409172630911512,"0.243,0.356,0.272,0.3","0.276,0.177,0.284,0.243",0.048,NA,NA,NA,NA,NA,NA,"32,31,19,21","98,55,50,48","31,9,17,16","80,41,42,49",165,162,1314419,1314485,1315016,1315079,1314056,1314082,1315875,1315990,NA,NA,NA,NA
LOC114873580,WD repeat-containing protein 7,chrOU015516.1,+,MXE,0.32353934462,0.9409172630911512,"0.623,0.595,0.636,0.512","0.583,0.474,0.396,0.512",0.1,NA,NA,NA,NA,NA,NA,"11,7,5,5","7,5,3,5","12,6,5,5","9,7,8,5",120,126,9101282,9101303,9102382,9102409,9100938,9101084,9103143,9103234,NA,NA,NA,NA
LOC114872389,N-acetylgalactosamine kinase,chrOU015508.1,+,A3SS,0.162603109167,0.941342421193018,"0.0,0.228,0.0,0.261","0.202,0.15,0.0,0.307",-0.043,8567931,8568107,8567944,8568107,8562302,8562374,"0,1,0,2","6,3,3,5","2,1,0,2","7,5,1,4",112,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114873759,LIM domain-binding protein 2,chrOU015511.1,-,A3SS,0.162244388798,0.941342421193018,"0.693,0.772,0.679,0.0","0.497,0.22,0.195,0.53",0.176,8302750,8302844,8302750,8302826,8329050,8331441,"8,4,5,0","3,1,2,2","7,1,2,4","6,3,7,3",117,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114881108,4-aminobutyrate aminotransferase,chrOU015504.1,-,A3SS,0.162590019486,0.941342421193018,"0.98,0.986,0.935,0.981","0.958,0.894,1.0,0.965",0.016,3982172,3982340,3982172,3982337,3982997,3983128,"151,74,74,54","3,1,5,1","140,61,48,85","6,7,0,3",102,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114876679,protein anon-73B1,chrOU015519.1,-,A5SS,0.181692983869,0.943324619738471,"0.518,0.17,0.451,0.0","0.409,0.606,0.552,0.381",-0.202,5625710,5625904,5625772,5625904,5625324,5625497,"7,1,4,0","4,3,3,3","9,5,4,1","8,2,2,1",161,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114883155,E3 ubiquitin-protein ligase RNF146-like,chrOU015507.1,-,A5SS,0.181487636382,0.943324619738471,"0.508,0.407,0.392,0.382","0.564,0.592,0.471,0.454",-0.098,2662472,2662772,2662484,2662772,2661509,2662379,"22,10,13,9","19,13,18,13","29,13,12,14","20,8,12,15",111,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114876260,acylamino-acid-releasing enzyme-like,chrOU015513.1,-,A5SS,0.181207366561,0.943324619738471,"0.636,0.556,0.6,0.667","0.6,0.6,0.667,1.0",-0.102,8946555,8947042,8946842,8947042,8946414,8946480,"7,5,3,4","2,2,1,1","6,3,4,2","2,1,1,0",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114872610,glutamate receptor ionotropic,chrOU015516.1,-,MXE,0.329265363112,0.9440762070970624,"0.188,0.0,0.2,0.222","0.179,0.091,0.1,0.25",-0.003,NA,NA,NA,NA,NA,NA,"3,0,1,2","13,12,4,7","5,1,1,4","23,10,9,12",198,198,6113440,6113578,6115180,6115318,6112264,6112463,6116072,6116211,NA,NA,NA,NA
LOC114873119,cholinephosphotransferase 1,chrOU015512.1,-,MXE,0.328538881092,0.9440762070970624,"0.106,0.093,0.125,0.091","0.146,0.043,0.191,0.121",-0.021,NA,NA,NA,NA,NA,NA,"9,4,6,3","76,39,42,30","13,1,9,7","76,22,38,51",198,198,648092,648251,649045,649177,647895,648021,651689,651793,NA,NA,NA,NA
LOC114876865,DENN domain-containing protein 5B,chrOU015511.1,+,MXE,0.328466882271,0.9440762070970624,"0.063,0.268,0.295,0.0","0.173,0.236,0.188,0.063",-0.008,NA,NA,NA,NA,NA,NA,"1,2,4,0","22,8,14,23","5,4,3,1","35,19,19,22",135,198,7303202,7303238,7303744,7303852,7302849,7303114,7304307,7304566,NA,NA,NA,NA
LOC114872846,synaptosomal-associated protein 25,chrOU015518.1,+,SE,0.094118960043,0.9442917325372504,"0.956,0.975,0.963,0.808","0.876,0.897,0.894,0.908",0.032,NA,NA,NA,NA,NA,NA,"98,58,78,44","3,1,2,7","95,52,63,74","9,4,5,5",148,99,NA,NA,NA,NA,1019832,1019874,1035414,1035532,NA,NA,1031284,1031333
LOC114872606,E3 ubiquitin-protein ligase HECTD1,chrOU015506.1,-,SE,0.0941862042897,0.9442917325372504,"0.464,0.359,0.44,0.423","0.443,0.297,0.268,0.259",0.105,NA,NA,NA,NA,NA,NA,"33,13,15,7","28,17,14,7","26,15,10,10","24,26,20,21",135,99,NA,NA,NA,NA,4754416,4754683,4755141,4755535,NA,NA,4754884,4754920
LOC114873781,U2 snRNP-associated SURP motif-containing protein,chrOU015514.1,-,SE,0.0941420316142,0.9442917325372504,"0.938,1.0,1.0,1.0","0.937,0.941,0.929,0.947",0.046,NA,NA,NA,NA,NA,NA,"61,43,32,29","2,0,0,0","59,32,26,36","2,1,1,1",198,99,NA,NA,NA,NA,7027529,7027716,7028092,7028335,NA,NA,7027799,7027986
LOC114880353,receptor-type tyrosine-protein phosphatase zeta,chrOU015517.1,+,MXE,0.330948585654,0.9449812920946858,"0.406,0.44,0.429,0.45","0.417,0.464,0.588,0.5",-0.061,NA,NA,NA,NA,NA,NA,"26,11,15,9","38,14,20,11","25,13,20,18","35,15,14,18",198,198,7650234,7653142,7657521,7657711,7618898,7618982,7662864,7662978,NA,NA,NA,NA
LOC114876087,activated RNA polymerase II transcriptional coactivator p15,chrOU015506.1,-,A3SS,0.163660925544,0.9450369341668924,"0.746,0.783,0.57,0.602","0.694,0.94,0.862,0.685",-0.12,263993,264123,263993,264063,264210,264417,"33,29,17,17","7,5,8,7","40,25,30,21","11,1,3,6",159,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114874835,homeobox protein PKNOX2-like,chrOU015505.1,-,SE,0.0946490185097,0.947494038323618,"0.012,0.03,0.097,0.032","0.01,0.057,0.0,0.016",0.022,NA,NA,NA,NA,NA,NA,"1,1,6,1","42,16,28,15","1,3,0,1","51,25,21,30",198,99,NA,NA,NA,NA,9954921,9955121,9955854,9956146,NA,NA,9955237,9955369
LOC114872320,putative ATP synthase subunit f,chrOU015508.1,-,MXE,0.333316150845,0.9478249392341356,"0.666,0.639,0.657,0.639","0.684,0.69,0.659,0.653",-0.021,NA,NA,NA,NA,NA,NA,"589,320,357,255","296,181,186,144","544,301,253,342","251,135,131,182",198,198,8822855,8822972,8823339,8823438,8822651,8822782,8823511,8823806,NA,NA,NA,NA
LOC114880241,telomere-associated protein RIF1-like,chrOU015513.1,-,A3SS,0.164820106322,0.9492963668469157,"0.804,1.0,0.913,0.867","0.913,1.0,0.778,0.895",-0,2870961,2872532,2870961,2871044,2872785,2875107,"41,14,21,13","5,0,1,1","21,15,14,17","1,0,2,1",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114878976,voltage-dependent L-type calcium channel subunit beta-2,chrOU015517.1,-,A5SS,0.183499032651,0.9499399197527132,"0.566,0.837,0.611,0.672","0.423,0.631,0.62,0.51",0.126,3523970,3524181,3524006,3524181,3523004,3523102,"16,7,15,14","9,1,7,5","21,14,20,17","21,6,9,12",135,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114880611,succinate--CoA ligase [GDP-forming] subunit beta,chrOU015513.1,+,SE,0.0950566627443,0.9501352053730562,"0.945,1.0,0.932,1.0","0.989,0.978,0.971,1.0",-0.015,NA,NA,NA,NA,NA,NA,"171,92,110,79","5,0,4,0","182,88,66,95","1,1,1,0",198,99,NA,NA,NA,NA,2398800,2398935,2399355,2400004,NA,NA,2399154,2399283
LOC114877804,protein NDUFAF4 homolog,chrOU015506.1,+,A5SS,0.184119973592,0.950399632472,"0.2,0.75,0.375,1.0","0.214,1.0,0.25,0.333",0.132,7556644,7557155,7556644,7556877,7557240,7557396,"3,6,6,5","6,1,5,0","6,1,4,6","11,0,6,6",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879855,peroxisomal biogenesis factor 19,chrOU015505.1,+,A3SS,0.166226045421,0.950857219214203,"0.938,0.981,0.943,0.947","0.932,0.948,0.909,0.947",0.018,12327006,12327170,12327012,12327170,12326769,12326952,"257,163,175,132","16,3,10,7","247,117,158,169","17,6,15,9",105,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114878361,la-related protein Larp4B,chrOU015510.1,-,A3SS,0.166357790573,0.950857219214203,"0.438,1.0,1.0,0.438","0.609,0.0,1.0,0.438",0.207,248984,249303,248984,249275,249406,249510,"2,1,1,1","2,0,0,1","2,0,1,1","1,2,0,1",127,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114871424,protein sickie,chrOU015515.1,+,A3SS,0.165720815885,0.950857219214203,"0.51,1.0,1.0,0.0","0.384,0.229,0.572,0.373",0.238,3628027,3628407,3628039,3628407,3626181,3627736,"7,2,3,0","6,0,0,5","7,3,3,6","10,9,2,9",111,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114871077,lethal(2) giant larvae protein homolog 1,chrOU015508.1,+,MXE,0.336173612739,0.9520326491911844,"0.765,0.709,0.837,0.89","0.817,0.549,0.655,0.74",0.11,NA,NA,NA,NA,NA,NA,"32,3,19,10","8,1,3,1","22,6,7,7","4,4,3,2",198,161,2053565,2053717,2054041,2054103,2052633,2052917,2054393,2054476,NA,NA,NA,NA
LOC114877931,uncharacterized LOC114877931,chrOU015508.1,-,MXE,0.34128426467,0.9526864770717068,"0.0,0.0,0.0,0.5","0.0,0.667,1.0,0.333",-0.375,NA,NA,NA,NA,NA,NA,"0,0,0,1","5,1,4,1","0,2,1,1","5,1,0,2",198,198,5582711,5584256,5586897,5587133,5576803,5582483,5597614,5597727,NA,NA,NA,NA
LOC114871155,dorsal-ventral patterning protein Sog,chrOU015508.1,-,MXE,0.342591951335,0.9526864770717068,"0.55,0.25,0.429,0.538","0.409,0.4,0.333,0.333",0.073,NA,NA,NA,NA,NA,NA,"11,2,3,7","9,6,4,6","9,6,7,3","13,9,14,6",198,198,1235446,1235576,1240521,1240625,1229233,1229299,1266204,1267641,NA,NA,NA,NA
LOC114882806,myosin heavy chain,chrOU015508.1,-,MXE,0.340344318094,0.9526864770717068,"0.491,0.469,0.412,0.538","0.41,0.304,0.492,0.5",0.051,NA,NA,NA,NA,NA,NA,"26,15,14,21","27,17,20,18","16,17,29,14","23,39,30,14",198,198,509417,509516,509986,510143,509219,509309,510454,510815,NA,NA,NA,NA
LOC114877117,serine/arginine repetitive matrix protein 2-like,chrOU015505.1,+,MXE,0.34075253715,0.9526864770717068,"0.829,0.941,0.762,0.929","0.909,0.85,0.714,0.72",0.067,NA,NA,NA,NA,NA,NA,"29,16,16,13","6,1,5,1","30,17,15,18","3,3,6,7",198,198,13562957,13563063,13563432,13563535,13562697,13562873,13563621,13564059,NA,NA,NA,NA
LOC114873900,NA,chrOU015514.1,+,MXE,0.343298021405,0.9526864770717068,"0.858,0.863,0.86,0.862","0.877,0.858,0.901,0.862",-0.014,NA,NA,NA,NA,NA,NA,"477,227,228,219","79,36,37,35","492,212,265,280","69,35,29,45",198,198,8391749,8391875,8392185,8392308,8391345,8391534,8392372,8393149,NA,NA,NA,NA
LOC114880603,probable serine/threonine-protein kinase DDB_G0267686,chrOU015509.1,-,SE,0.0959114072412,0.9529122821693358,"0.019,0.0,0.111,0.0","0.055,0.023,0.091,0.067",-0.026,NA,NA,NA,NA,NA,NA,"1,0,2,0","26,10,8,7","3,1,2,2","26,21,10,14",198,99,NA,NA,NA,NA,10380825,10380939,10384129,10384771,NA,NA,10382284,10382395
LOC114876942,sodium/potassium-transporting ATPase subunit beta-1-interacting protein,chrOU015510.1,+,SE,0.0957711345326,0.9529122821693358,"0.691,0.804,0.754,0.76","0.575,0.613,0.667,0.731",0.106,NA,NA,NA,NA,NA,NA,"67,41,43,19","15,5,7,3","46,19,32,38","17,6,8,7",198,99,NA,NA,NA,NA,5072042,5072103,5076795,5079246,NA,NA,5072834,5073491
LOC114879273,slowpoke-binding protein,chrOU015515.1,+,SE,0.095587089691,0.9529122821693358,"0.42,0.454,0.364,0.222","0.494,0.598,0.507,0.437",-0.144,NA,NA,NA,NA,NA,NA,"24,16,11,6","19,11,11,12","29,13,18,19","17,5,10,14",173,99,NA,NA,NA,NA,644066,644158,645091,645998,NA,NA,644757,644831
LOC114871306,ribosomal protein S6 kinase beta-1-like,chrOU015515.1,-,SE,0.0958673051535,0.9529122821693358,"0.81,0.905,0.821,0.689","0.864,0.953,0.826,0.884",-0.075,NA,NA,NA,NA,NA,NA,"85,38,55,31","10,2,6,7","89,41,38,61","7,1,4,4",198,99,NA,NA,NA,NA,3454975,3455016,3455765,3456038,NA,NA,3455115,3455548
LOC114876408,protein Fe65 homolog,chrOU015504.1,+,A5SS,0.185585779581,0.9552051940393832,"0.029,0.103,0.0,0.0","0.083,0.0,0.048,0.051",-0.012,12251639,12251902,12251639,12251869,12252212,12252331,"1,2,0,0","25,13,5,21","3,0,1,1","25,9,15,14",132,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114873789,nuclear factor of activated T-cells 5-like,chrOU015514.1,+,SE,0.0963218301777,0.9555530510271232,"0.333,0.467,0.3,0.538","0.224,0.176,0.5,0.083",0.164,NA,NA,NA,NA,NA,NA,"12,7,6,7","12,4,7,3","11,6,12,2","19,14,6,11",198,99,NA,NA,NA,NA,6185192,6185270,6212785,6213126,NA,NA,6202276,6202603
LOC114871381,androgen-induced gene 1 protein-like,chrOU015515.1,+,SE,0.0965408756931,0.9562902034547404,"0.19,0.215,0.187,0.236","0.155,0.151,0.204,0.159",0.04,NA,NA,NA,NA,NA,NA,"77,47,34,29","164,86,74,47","58,31,44,39","158,87,86,103",198,99,NA,NA,NA,NA,4173406,4173496,4178299,4178437,NA,NA,4176629,4176817
LOC114876551,disco-interacting protein 2-like,chrOU015508.1,-,SE,0.0966990976987,0.956423560621723,"0.6,1.0,0.25,0.0","0.0,0.077,0.143,0.25",0.345,NA,NA,NA,NA,NA,NA,"3,1,4,0","1,0,6,2","0,1,1,2","1,6,3,3",198,99,NA,NA,NA,NA,2738829,2738967,2743052,2743124,NA,NA,2741414,2741636
LOC114880854,putative inorganic phosphate cotransporter,chrOU015504.1,-,A5SS,0.18639799565,0.956628793766954,"0.979,0.975,0.919,1.0","0.979,0.972,0.886,0.916",0.03,3871369,3871569,3871433,3871569,3869335,3869442,"155,130,56,24","2,2,3,0","154,58,51,72","2,1,4,4",163,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114872174,cytospin-A-like,chrOU015519.1,+,RI,0.232276157668,0.9566628188698982,"0.798,0.826,1.0,0.853","0.787,0.9,0.84,0.888",0.016,NA,NA,NA,NA,NA,NA,"15,9,6,11","2,1,0,1","21,17,10,15","3,1,1,1",188,99,NA,NA,NA,NA,7718730,7719616,7719705,7720934,7718730,7720934,NA,NA
LOC114872168,CXXC-type zinc finger protein 1,chrOU015519.1,-,RI,0.233084587779,0.9567492369982602,"0.882,0.5,1.0,1.0","0.9,0.879,0.879,0.905",-0.045,NA,NA,NA,NA,NA,NA,"15,4,12,6","1,2,0,0","18,29,29,19","1,2,2,1",198,99,NA,NA,NA,NA,7931275,7934163,7934272,7938806,7931275,7938806,NA,NA
LOC114872836,protein rolling stone-like,chrOU015518.1,-,RI,0.233873962447,0.9567571191013636,"0.89,0.604,1.0,0.717","0.604,1.0,1.0,0.64",-0.008,NA,NA,NA,NA,NA,NA,"16,6,3,5","1,2,0,1","15,7,11,7","5,0,0,2",195,99,NA,NA,NA,NA,1224946,1225104,1225200,1225463,1224946,1225463,NA,NA
LOC114871951,RNA-binding protein Musashi homolog Rbp6,chrOU015504.1,+,SE,0.0976981481492,0.960153567542418,"0.273,0.5,0.0,0.2","0.3,0.231,0.333,0.28",-0.043,NA,NA,NA,NA,NA,NA,"3,2,0,2","4,1,5,4","6,3,9,7","7,5,9,9",198,99,NA,NA,NA,NA,11297748,11297832,11324962,11325028,NA,NA,11323954,11324059
LOC114876729,glutamate receptor ionotropic,chrOU015506.1,+,SE,0.0978028380439,0.960153567542418,"0.429,1.0,0.0,0.2","0.2,0.333,1.0,1.0",-0.226,NA,NA,NA,NA,NA,NA,"3,1,0,1","2,0,1,2","1,1,1,1","2,1,0,0",198,99,NA,NA,NA,NA,8273229,8273433,8279438,8279543,NA,NA,8275529,8275733
LOC114880527,PRKCA-binding protein,chrOU015509.1,-,SE,0.0976182342465,0.960153567542418,"0.781,1.0,0.857,0.857","0.886,0.744,0.76,0.61",0.124,NA,NA,NA,NA,NA,NA,"50,32,36,36","7,0,3,3","62,29,19,25","4,5,3,8",198,99,NA,NA,NA,NA,8906450,8906769,8907986,8908036,NA,NA,8907418,8907730
LOC114874043,heterogeneous nuclear ribonucleoprotein K,chrOU015510.1,-,SE,0.0977745952864,0.960153567542418,"0.954,0.978,0.948,0.924","0.886,0.89,0.951,0.974",0.026,NA,NA,NA,NA,NA,NA,"120,64,79,70","4,1,3,4","146,82,84,110","13,7,3,2",143,99,NA,NA,NA,NA,1281778,1281902,1289070,1289127,NA,NA,1286371,1286415
LOC114874033,uncharacterized LOC114874033,chrOU015510.1,+,SE,0.0975695917241,0.960153567542418,"0.947,0.936,0.968,0.982","0.92,0.953,0.951,0.929",0.02,NA,NA,NA,NA,NA,NA,"283,154,214,194","9,6,4,2","263,217,272,232","13,6,8,10",175,99,NA,NA,NA,NA,689157,689266,690709,690798,NA,NA,689740,689816
LOC114878359,uncharacterized LOC114878359,chrOU015506.1,+,A5SS,0.187827660841,0.961204017942768,"1.0,1.0,1.0,1.0","0.636,0.5,1.0,1.0",0.216,2638601,2640075,2638601,2639388,2640200,2641216,"7,1,1,1","0,0,0,0","7,6,2,2","2,3,0,0",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114878958,A-kinase anchor protein 17A-like,chrOU015514.1,-,RI,0.23590223024,0.9618161400724832,"1.0,0.871,0.947,0.9","1.0,0.9,1.0,0.926",-0.027,NA,NA,NA,NA,NA,NA,"44,27,36,18","0,2,1,1","35,18,18,25","0,1,0,1",198,99,NA,NA,NA,NA,4305580,4305586,4305879,4306113,4305580,4306113,NA,NA
LOC114877781,putative RNA-binding protein Luc7-like 2,chrOU015514.1,-,RI,0.236997768959,0.96305113473306,"1.0,1.0,0.898,0.801","0.919,0.959,1.0,0.948",-0.032,NA,NA,NA,NA,NA,NA,"62,39,32,22","0,0,2,3","41,42,31,33","2,1,0,1",180,99,NA,NA,NA,NA,1883359,1883453,1883534,1883676,1883359,1883676,NA,NA
LOC114877761,uncharacterized LOC114877761,chrOU015514.1,-,RI,0.23887180735,0.9645213944601329,"0.645,0.517,0.682,0.763","0.707,0.855,1.0,0.616",-0.143,NA,NA,NA,NA,NA,NA,"17,6,12,6","5,3,3,1","18,11,6,9","4,1,0,3",185,99,NA,NA,NA,NA,1832541,1833934,1834020,1835598,1832541,1835598,NA,NA
LOC114873294,D-glucuronyl C5-epimerase B,chrOU015514.1,-,RI,0.2389472755,0.9645213944601329,"0.952,1.0,0.95,0.933","1.0,0.92,0.95,1.0",-0.009,NA,NA,NA,NA,NA,NA,"150,69,71,52","4,0,2,2","130,65,71,59","0,3,2,0",186,99,NA,NA,NA,NA,7327310,7327606,7327693,7327992,7327310,7327992,NA,NA
LOC114881379,probable cytochrome P450 6a14,chrOU015517.1,+,SE,0.0985144516675,0.9657047213162796,"0.507,0.613,0.362,0.512","0.507,0.316,0.25,0.364",0.139,NA,NA,NA,NA,NA,NA,"35,19,17,21","17,6,15,10","35,12,12,16","17,13,18,14",198,99,NA,NA,NA,NA,7361910,7362044,7371037,7371419,NA,NA,7363479,7363619
LOC114880802,leucine-rich repeat-containing protein 49,chrOU015518.1,+,A3SS,0.169453862139,0.9661015127519696,"0.742,0.625,0.647,0.429","0.556,0.333,0.75,0.368",0.109,8720894,8721827,8721158,8721827,8720577,8720774,"23,10,11,3","4,3,3,2","10,3,6,7","4,3,1,6",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114879732,basic salivary proline-rich protein 2-like,chrOU015519.1,-,MXE,0.350653950612,0.9673664277567412,"0.0,0.346,0.514,0.0","1.0,0.0,1.0,0.0",-0.285,NA,NA,NA,NA,NA,NA,"0,2,1,0","5,4,1,1","2,0,1,0","0,1,0,1",187,198,2540077,2540399,2540436,2540524,2539159,2539399,2540615,2540837,NA,NA,NA,NA
LOC114877396,protein phosphatase 1 regulatory subunit 3C,chrOU015512.1,-,MXE,0.351387805162,0.9673664277567412,"0.75,0.75,0.833,0.882","0.583,0.722,0.824,0.7",0.097,NA,NA,NA,NA,NA,NA,"27,9,10,15","9,3,2,2","7,13,14,7","5,5,3,3",198,198,357808,357950,358768,358910,357176,357312,359035,359253,NA,NA,NA,NA
LOC114876121,tyrosine-protein phosphatase 10D,chrOU015505.1,+,SE,0.0988530660356,0.9675884552551248,"0.087,0.028,0.0,0.055","0.087,0.116,0.076,0.05",-0.04,NA,NA,NA,NA,NA,NA,"4,1,0,2","22,18,13,18","4,5,3,3","22,20,19,30",189,99,NA,NA,NA,NA,7531275,7531660,7534453,7535214,NA,NA,7533114,7533204
LOC114877482,kinesin-like protein KIF9,chrOU015512.1,-,A3SS,0.17046971857,0.9694389045950506,"0.057,0.054,0.055,0.04","0.053,0.025,0.0,0.044",0.021,251352,251501,251352,251498,251569,251639,"5,2,3,1","80,34,50,23","4,1,0,1","69,38,33,21",102,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114878563,transcription initiation factor TFIID subunit 3,chrOU015514.1,-,A5SS,0.19023796508,0.9707571589510856,"0.875,0.782,0.915,1.0","0.818,0.857,0.875,0.769",0.063,1256106,1256443,1256315,1256443,1253582,1253677,"84,43,43,27","6,6,2,0","54,36,42,60","6,3,3,9",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOC114881045,uncharacterized LOC114881045,chrOU015504.1,-,A5SS,0.190784452984,0.970772173873003,"0.778,1.0,1.0,1.0","1.0,0.8,0.667,1.0",0.078,4990304,4991142,4990660,4991142,4983550,4989705,"14,7,6,7","2,0,0,0","14,8,16,11","0,1,4,0",198,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
