Orthogroup	Bombus_terrestris	Vespa_mandarinia
OG0001620	XP_003401842.1	XP_035723185.1
OG0001621	XP_020723077.1	XP_035733218.1, XP_035733219.1
OG0001622	XP_003402083.1	XP_035740437.1
OG0001623	XP_003395188.1	XP_035723670.1
OG0001624	XP_003399667.1	XP_035742940.1
OG0001625	XP_003403106.1	XP_035727825.1
OG0001626	XP_003398572.1, XP_012168351.1	XP_035731937.1, XP_035731939.1, XP_035731941.1, XP_035731938.1, XP_035731940.1
OG0001627	XP_003394726.2	XP_035725155.1, XP_035725156.1, XP_035725157.1, XP_035725158.1
OG0001628	XP_020718456.1	XP_035734380.1
OG0001629	XP_012173811.1, XP_012173812.1	XP_035732347.1
OG0001630	XP_003398527.1	XP_035736770.1, XP_035736774.1
OG0001631	XP_020720976.1, XP_003398681.1	XP_035722044.1
OG0001632	XP_003400770.1, XP_012171658.1	XP_035740780.1
OG0001633	XP_020721917.1	XP_035734051.1
OG0001634	XP_012173728.1	XP_035731640.1
OG0001635	XP_012174882.1, XP_012174883.1, XP_012174884.1, XP_012174885.1, XP_012174886.1, XP_003403013.1, XP_012174887.1	XP_035731776.1
OG0001636	XP_012173783.1	XP_035733127.1
OG0001637	XP_012167750.1	XP_035719918.1
OG0001638	XP_020724090.1	XP_035731767.1
OG0001639	XP_012171149.1	XP_035721241.1
OG0001640	XP_003396116.1	XP_035718059.1, XP_035721841.1, XP_035721840.1
OG0001641	XP_003395440.1	XP_035719662.1
OG0001642	XP_012173919.1, XP_003393925.1	XP_035733123.1
OG0001643	XP_012171826.2	XP_035720944.1
OG0001645	XP_003401724.1	XP_035717414.1, XP_035717415.1, XP_035717412.1, XP_035717413.1, XP_035717411.1
OG0001646	XP_020718530.1, XP_003394922.1	XP_035725754.1
OG0001647	XP_020722302.1	XP_035727074.1
OG0001648	XP_012169955.1, XP_012170068.1, XP_012169905.1, XP_012170016.1, XP_012169839.1	XP_035726598.1
OG0001649	XP_012167564.1, XP_003397875.2, XP_020720124.1, XP_012167563.1, XP_012167562.1	XP_035718504.1
OG0001650	XP_003401930.1	XP_035741136.1
OG0001651	XP_012169672.1, XP_020721110.1, XP_012169670.1	XP_035724993.1
OG0001652	XP_020719955.1, XP_003397370.1	XP_035734304.1, XP_035734303.1
OG0001653	XP_020720421.1	XP_035724315.1
OG0001654	XP_012169926.1	XP_035725123.1
OG0001655	XP_003396274.1	XP_035734720.1
OG0001656	XP_020720327.1	XP_035726949.1, XP_035726948.1, XP_035726947.1
OG0001657	XP_012165258.1, XP_012165259.1, XP_003396300.1, XP_020719401.1, XP_012165256.1	XP_035725974.1
OG0001658	XP_003394971.1	XP_035731335.1, XP_035731338.1, XP_035731334.1, XP_035731337.1, XP_035731333.1
OG0001659	XP_012172174.1	XP_035724064.1
OG0001661	XP_003398331.1	XP_035738618.1
OG0001662	XP_012172087.1, XP_020722522.1	XP_035734917.1, XP_035734912.1
OG0001663	XP_003398069.1	XP_035719506.1
OG0001664	XP_012164167.1	XP_035720672.1, XP_035720670.1
OG0001665	XP_012169681.1	XP_035740169.1
OG0001666	XP_003402540.1	XP_035728853.1
OG0001667	XP_020718905.1	XP_035717186.1
OG0001668	XP_003402712.1, XP_012174476.1	XP_035733407.1, XP_035733405.1, XP_035733406.1, XP_035733404.1, XP_035733403.1, XP_035733402.1
OG0001669	XP_012169423.1	XP_035743908.1
OG0001670	XP_020719043.1, XP_020719044.1, XP_020719045.1	XP_035720954.1, XP_035720953.1
OG0001671	XP_012167756.2	XP_035729073.1, XP_035729072.1
OG0001672	XP_003402261.2	XP_035732415.1, XP_035732416.1, XP_035732414.1
OG0001673	XP_003393455.1	XP_035738967.1
OG0001674	XP_012164368.2	XP_035721929.1
OG0001675	XP_003400780.2, XP_012171703.1	XP_035723042.1
OG0001676	XP_012165191.1	XP_035720013.1, XP_035720011.1, XP_035720012.1, XP_035720009.1, XP_035720010.1, XP_035720016.1, XP_035720017.1
OG0001677	XP_012173379.1, XP_012173378.1, XP_003402094.1, XP_012173380.1, XP_012173377.1	XP_035728893.1
OG0001678	XP_003396253.1, XP_012165166.1	XP_035739191.1
OG0001679	XP_020721291.1, XP_020721289.1, XP_020721290.1	XP_035739958.1
OG0001680	XP_012170489.1, XP_012170490.1	XP_035731563.1, XP_035731564.1
OG0001681	XP_003400294.1	XP_035718864.1, XP_035718865.1
OG0001682	XP_020724355.1	XP_035722878.1, XP_035722875.1
OG0001683	XP_012166459.1, XP_012166462.1, XP_012166461.1, XP_012166457.1, XP_012166458.1, XP_003397203.1, XP_012166460.1	XP_035737098.1
OG0001684	XP_012172856.2, XP_012172855.1	XP_035723459.1
OG0001685	XP_012176402.1, XP_012176404.1, XP_012176403.1, XP_020724267.1	XP_035731566.1
OG0001686	XP_012175263.1	XP_035736720.1
OG0001687	XP_020721942.1, XP_020721937.1	XP_035732075.1
OG0001689	XP_003400035.1	XP_035727653.1
OG0001690	XP_012171710.1, XP_003400696.1	XP_035741845.1
OG0001691	XP_012176663.1, XP_003394697.1	XP_035734626.1
OG0001692	XP_020723212.1, XP_020723209.1	XP_035722728.1
OG0001693	XP_012166479.1	XP_035723232.1
OG0001694	XP_020724349.1	XP_035736590.1
OG0001695	XP_020722507.1, XP_003401031.1	XP_035724037.1
OG0001696	XP_020721280.1	XP_035737044.1, XP_035737037.1
OG0001697	XP_012172762.1	XP_035728174.1
OG0001699	XP_012166736.1, XP_012166735.1	XP_035743135.1
OG0001700	XP_012172001.1	XP_035727996.1
OG0001701	XP_012174425.1, XP_012174426.1, XP_012174424.1, XP_003402727.1	XP_035733887.1
OG0001702	XP_012165448.1	XP_035735037.1, XP_035735039.1, XP_035735038.1
OG0001703	XP_020723542.1	XP_035719566.1
OG0001704	XP_012170574.1	XP_035725085.1
OG0001706	XP_003397655.3	XP_035730623.1
OG0001707	XP_012165203.1, XP_003393254.1	XP_035732573.1, XP_035732574.1, XP_035732575.1, XP_035732572.1
OG0001709	XP_020724319.1	XP_035727211.1
OG0001711	XP_003402420.1	XP_035735878.1, XP_035735875.1, XP_035735876.1, XP_035735879.1, XP_035735874.1, XP_035735877.1
OG0001712	XP_012170658.1	XP_035717949.1, XP_035717946.1
OG0001713	XP_012164799.1	XP_035727580.1
OG0001714	XP_012166492.1, XP_012166507.1	XP_035733669.1
OG0001715	XP_003394181.1	XP_035730023.1
OG0001716	XP_012173856.1	XP_035739670.1, XP_035739663.1
OG0001717	XP_012163286.1	XP_035725525.1
OG0001718	XP_003396790.1	XP_035740550.1
OG0001719	XP_020719723.1, XP_012169444.1	XP_035729786.1
OG0001720	XP_020719845.1, XP_003397044.1	XP_035730232.1, XP_035730231.1
OG0001721	XP_003394758.1	XP_035722174.1
OG0001722	XP_003395619.1	XP_035717959.1
OG0001723	XP_020722798.1, XP_003401135.1	XP_035739522.1
OG0001724	XP_003402390.3	XP_035724251.1
OG0001725	XP_020723174.1, XP_020723175.1, XP_003402214.1	XP_035727405.1, XP_035727406.1, XP_035727407.1
OG0001726	XP_012170079.1	XP_035725641.1
OG0001728	XP_020721610.1	XP_035723533.1, XP_035723531.1
OG0001729	XP_020720628.1	XP_035720408.1
OG0001730	XP_020718288.1	XP_035718931.1, XP_035718936.1, XP_035718938.1
OG0001731	XP_003396134.1	XP_035730629.1, XP_035730630.1
OG0001732	XP_012163872.1	XP_035736651.1, XP_035736652.1, XP_035736653.1, XP_035736650.1, XP_035736649.1
OG0001733	XP_012163131.1	XP_035739692.1
OG0001734	XP_003393247.1	XP_035724184.1, XP_035724191.1
OG0001735	XP_012172500.1, XP_003393670.1	XP_035740869.1
OG0001736	XP_012176533.1	XP_035736510.1
OG0001737	XP_003396256.1, XP_012165175.1	XP_035723339.1, XP_035723341.1, XP_035723340.1
OG0001738	XP_012169921.1, XP_012169916.1, XP_012169906.1, XP_012169912.1, XP_003393557.1, XP_020722020.1	XP_035728779.1
OG0001739	XP_012168204.1	XP_035742975.1
OG0001740	XP_020720734.1	XP_035723606.1, XP_035723601.1
OG0001741	XP_003393556.1, XP_012169887.1, XP_020722003.1	XP_035728835.1, XP_035728834.1
OG0001742	XP_020722478.1, XP_020722479.1	XP_035727937.1, XP_035727936.1
OG0001743	XP_003400184.1	XP_035734201.1, XP_035734202.1
OG0001744	XP_003401419.2	XP_035725897.1, XP_035725889.1
OG0001745	XP_020723864.1, XP_003403254.1	XP_035736546.1
OG0001746	XP_003402326.1	XP_035737436.1
OG0001747	XP_020720553.1, XP_012168560.1	XP_035720424.1
OG0001748	XP_012174349.1, XP_012174343.1	XP_035733691.1, XP_035733815.1
OG0001749	XP_012175903.1	XP_035721521.1, XP_035721527.1
OG0001750	XP_003398027.1, XP_012167650.1	XP_035729052.1, XP_035729053.1
OG0001751	XP_012174773.1	XP_035736886.1, XP_035736887.1, XP_035736884.1, XP_035736882.1, XP_035736885.1, XP_035736888.1
OG0001752	XP_003402022.1	XP_035743789.1
OG0001753	XP_003398429.1, XP_003398437.1	XP_035729016.1, XP_035729014.1, XP_035729015.1, XP_035729017.1
OG0001754	XP_012165575.1	XP_035736905.1
OG0001755	XP_003400318.1	XP_035736336.1
OG0001756	XP_003396398.2, XP_012165424.1, XP_012165425.1	XP_035724490.1
OG0001757	XP_012175463.2, XP_020721863.1, XP_003403012.2, XP_012171067.1, XP_012171066.1	XP_035718466.1
OG0001758	XP_012163809.1	XP_035724233.1
OG0001759	XP_003393749.1	XP_035726260.1, XP_035726259.1
OG0001760	XP_003396969.1	XP_035719167.1, XP_035719165.1, XP_035719166.1, XP_035719168.1
OG0001762	XP_003398244.1, XP_012167918.1	XP_035729964.1, XP_035729965.1, XP_035729966.1
OG0001763	XP_012169332.1	XP_035730909.1, XP_035730910.1
OG0001764	XP_003395538.1	XP_035734372.1, XP_035734151.1
OG0001765	XP_012174895.1	XP_035726400.1
OG0001766	XP_020723862.1, XP_012175234.1	XP_035736684.1
OG0001767	XP_012164116.1	XP_035739192.1
OG0001768	XP_003398409.1	XP_035739764.1
OG0001769	XP_012171890.1	XP_035725245.1
OG0001772	XP_012165898.1, XP_012165897.1, XP_012165899.1, XP_012165902.1, XP_012165903.1, XP_012165900.1	XP_035728672.1
OG0001773	XP_012169845.1, XP_012169844.1, XP_012169843.1, XP_012169861.1	XP_035723714.1
OG0001774	XP_003400429.1, XP_003400430.1	XP_035734709.1
OG0001775	XP_003402217.1	XP_035722727.1
OG0001776	XP_012174456.1	XP_035727441.1
OG0001777	XP_003398481.1, XP_003398482.1	XP_035743010.1, XP_035723112.1
OG0001778	XP_012175229.1	XP_035719209.1, XP_035719207.1, XP_035719208.1
OG0001779	XP_012167773.1	XP_035723057.1, XP_035723059.1, XP_035723058.1
OG0001780	XP_003400461.1	XP_035720164.1
OG0001781	XP_003398046.1	XP_035739689.1
OG0001782	XP_003396609.1	XP_035720277.1
OG0001783	XP_003396718.1, XP_012165809.1, XP_012165808.1, XP_012165807.1	XP_035735275.1
OG0001784	XP_003401806.1	XP_035742842.1
OG0001785	XP_003395116.1	XP_035727090.1
OG0001786	XP_003392945.1	XP_035739679.1
OG0001787	XP_020720625.1, XP_020720624.1	XP_035737845.1, XP_035737844.1, XP_035737847.1, XP_035737846.1, XP_035737848.1
OG0001788	XP_003393273.1	XP_035720898.1
OG0001789	XP_003395844.1, XP_012164378.1	XP_035734071.1, XP_035734072.1
OG0001790	XP_003401366.1	XP_035729403.1, XP_035729395.1
OG0001791	XP_003393839.1	XP_035718692.1, XP_035718691.1
OG0001792	XP_003399958.1, XP_012170604.1	XP_035723572.1, XP_035723571.1
OG0001793	XP_003402969.1, XP_020723662.1	XP_035738047.1
OG0001794	XP_012175686.1	XP_035741806.1, XP_035741807.1
OG0001795	XP_012163961.1	XP_035720860.1
OG0001796	XP_012170329.1, XP_003399743.1, XP_020721616.1, XP_020721618.1, XP_020721617.1	XP_035736721.1
OG0001797	XP_003395326.1	XP_035738575.1
OG0001799	XP_012174111.1	XP_035732908.1
OG0001800	XP_012166902.1, XP_012166880.1, XP_012166891.1	XP_035724318.1
OG0001801	XP_012174507.1, XP_003402738.1, XP_003402739.1, XP_012174508.1	XP_035736900.1
OG0001802	XP_003402666.1	XP_035733457.1, XP_035733455.1, XP_035733456.1
OG0001803	XP_003394992.1	XP_035741393.1
OG0001804	XP_003395499.1	XP_035742224.1
OG0001805	XP_003400759.1, XP_012171673.1	XP_035735349.1
OG0001806	XP_003397962.1, XP_012167682.1, XP_012167681.1	XP_035735734.1
OG0001807	XP_020718627.1	XP_035734427.1, XP_035734428.1, XP_035734426.1, XP_035734429.1, XP_035734430.1, XP_035734425.1
OG0001808	XP_003402677.1	XP_035722381.1
OG0001809	XP_012165059.1, XP_012165058.1, XP_012165060.1, XP_003396269.1, XP_012165062.1, XP_012165061.1	XP_035743450.1
OG0001810	XP_012166332.1, XP_020719846.1	XP_035730273.1
OG0001811	XP_003394300.1, XP_012176139.1, XP_012176141.1	XP_035742695.1, XP_035742697.1, XP_035742699.1, XP_035742698.1
OG0001812	XP_012176057.1	XP_035730716.1, XP_035730717.1
OG0001813	XP_020722967.1	XP_035721231.1
OG0001814	XP_012167262.1	XP_035737109.1
OG0001815	XP_003398391.1	XP_035727864.1
OG0001816	XP_012167599.1	XP_035724657.1
OG0001817	XP_003399846.1, XP_012170486.1	XP_035731560.1
OG0001818	XP_003402009.3	XP_035732407.1
OG0001819	XP_012163347.1, XP_012163346.1	XP_035731373.1
OG0001820	XP_003400487.1	XP_035733253.1
OG0001821	XP_012168176.1	XP_035737059.1, XP_035737060.1
OG0001822	XP_003397120.1	XP_035718893.1
OG0001823	XP_020723048.1, XP_020723050.1, XP_020723049.1, XP_003401969.1, XP_020723047.1	XP_035727906.1
OG0001824	XP_012175669.1, XP_012175668.1	XP_035720255.1, XP_035720254.1
OG0001825	XP_003402628.1, XP_012174364.1	XP_035741953.1, XP_035741952.1, XP_035741951.1
OG0001826	XP_012165837.1	XP_035722834.1
OG0001827	XP_020718591.1	XP_035723798.1, XP_035723796.1
OG0001828	XP_003396608.1	XP_035738445.1
OG0001829	XP_012167101.1, XP_003397757.1, XP_012167103.1	XP_035731878.1, XP_035731877.1
OG0001830	XP_012163799.1	XP_035724192.1
OG0001831	XP_003400613.1	XP_035743790.1
OG0001832	XP_012172145.1	XP_035740718.1
OG0001833	XP_020723685.1	XP_035720137.1
OG0001834	XP_003398732.1	XP_035739846.1
OG0001835	XP_020724312.1, XP_003394539.1	XP_035726862.1
OG0001836	XP_020722197.1	XP_035718737.1, XP_035718713.1
OG0001837	XP_003399110.1	XP_035743754.1
OG0001838	XP_020723901.1	XP_035718209.1
OG0001839	XP_020722868.1, XP_003401813.1	XP_035739361.1
OG0001840	XP_020718619.1, XP_020718618.1, XP_012163818.1	XP_035724224.1, XP_035724225.1, XP_035724219.1, XP_035724223.1, XP_035724221.1, XP_035724220.1
OG0001841	XP_012164434.1	XP_035730129.1, XP_035730125.1, XP_035730124.1, XP_035730130.1, XP_035730126.1, XP_035730127.1
OG0001842	XP_012175625.1, XP_003393929.1	XP_035728617.1
OG0001843	XP_003397935.2	XP_035729710.1
OG0001844	XP_012171719.1	XP_035741777.1
OG0001845	XP_003403150.1	XP_035737471.1
OG0001846	XP_012164000.1, XP_003395563.1	XP_035732652.1, XP_035732653.1
OG0001847	XP_012169900.1, XP_012169901.1	XP_035735462.1
OG0001848	XP_012165602.1	XP_035743093.1, XP_035743092.1
OG0001849	XP_012166414.1, XP_012166416.1, XP_003397103.1, XP_003397102.1, XP_012166415.1	XP_035725066.1
OG0001850	XP_012171742.1	XP_035731386.1
OG0001851	XP_020723222.1	XP_035731465.1, XP_035731466.1
OG0001852	XP_003399053.1	XP_035727695.1
OG0001853	XP_012167082.1, XP_003397746.1	XP_035734442.1
OG0001854	XP_020721440.1	XP_035731814.1
OG0001855	XP_003399763.1	XP_035723472.1
OG0001856	XP_020720076.1, XP_003397691.1, XP_003397692.1, XP_012167076.1	XP_035734477.1
OG0001857	XP_012167556.1	XP_035717416.1
OG0001858	XP_003400227.1	XP_035736318.1, XP_035736320.1, XP_035736317.1
OG0001859	XP_020721780.1, XP_003400041.1	XP_035743154.1
OG0001860	XP_020724120.1, XP_012176485.1	XP_035738656.1
OG0001861	XP_003395799.1	XP_035728169.1
OG0001862	XP_003402741.1	XP_035729587.1
OG0001863	XP_003403094.1, XP_020723756.1	XP_035723484.1
OG0001864	XP_003400310.2	XP_035742416.1, XP_035742413.1, XP_035742411.1, XP_035742415.1, XP_035742392.1, XP_035742400.1, XP_035742414.1, XP_035742409.1
OG0001865	XP_003396733.1	XP_035731925.1
OG0001866	XP_003400738.1, XP_012171685.1	XP_035735805.1
OG0001867	XP_003395491.1, XP_012163773.1	XP_035741376.1, XP_035741377.1, XP_035741378.1, XP_035741374.1, XP_035741375.1
OG0001868	XP_003399145.1	XP_035729430.1
OG0001869	XP_020722546.1, XP_012172753.1, XP_012172752.1	XP_035728194.1
OG0001870	XP_003396159.1	XP_035724411.1, XP_035724410.1
OG0001871	XP_003395955.1	XP_035724909.1
OG0001872	XP_020718454.1	XP_035737536.1
OG0001873	XP_003397149.1	XP_035734797.1, XP_035734798.1
OG0001874	XP_003395963.1	XP_035742159.1
OG0001875	XP_012172058.1	XP_035728046.1
OG0001876	XP_012170049.1	XP_035726498.1
OG0001877	XP_012172673.1	XP_035735144.1, XP_035735142.1
OG0001878	XP_012173694.1	XP_035719276.1, XP_035719280.1
OG0001879	XP_003402822.1, XP_020723582.1, XP_012174663.1	XP_035719312.1, XP_035719311.1, XP_035719310.1
OG0001880	XP_020719900.1	XP_035734673.1
OG0001882	XP_020723486.1	XP_035733311.1, XP_035733305.1
OG0001883	XP_012165830.2	XP_035735348.1
OG0001884	XP_012170838.1, XP_012170840.1	XP_035744000.1
OG0001885	XP_012172541.1	XP_035729348.1
OG0001886	XP_012163216.1	XP_035735965.1
OG0001887	XP_012163198.2	XP_035724359.1
OG0001888	XP_003400444.2, XP_012171333.2	XP_035720564.1
OG0001889	XP_012165296.2	XP_035738527.1
OG0001890	XP_012171174.1	XP_035721367.1
OG0001891	XP_003395463.2, XP_020718820.1	XP_035723898.1
OG0001892	XP_012164302.1, XP_012164303.1, XP_003395777.1, XP_020718910.1	XP_035743999.1
OG0001893	XP_020720670.1	XP_035717988.1
OG0001894	XP_003396804.1, XP_012165942.1	XP_035733527.1
OG0001895	XP_012171279.1	XP_035720116.1
OG0001896	XP_003398079.2	XP_035719576.1, XP_035719577.1, XP_035719575.1
OG0001897	XP_020721715.1	XP_035738097.1, XP_035738098.1, XP_035738099.1
OG0001898	XP_003401344.1	XP_035726006.1
OG0001899	XP_012169278.1	XP_035718024.1, XP_035718023.1, XP_035718020.1, XP_035718021.1
OG0001900	XP_020720219.1	XP_035731396.1
OG0001901	XP_003399090.1	XP_035731136.1, XP_035731137.1
OG0001902	XP_003401222.1	XP_035743519.1, XP_035743521.1
OG0001903	XP_012167277.1, XP_012167276.1, XP_012167275.1	XP_035737662.1
OG0001904	XP_012164087.1, XP_020718828.1	XP_035719459.1
OG0001905	XP_020718687.1, XP_020718689.1	XP_035724466.1
OG0001906	XP_020720756.1	XP_035718233.1
OG0001907	XP_020720044.1, XP_012167220.1, XP_012167219.1	XP_035730581.1
OG0001908	XP_012174753.1, XP_020723678.1	XP_035742812.1
OG0001909	XP_012163976.1, XP_012163981.1	XP_035736047.1, XP_035736046.1
OG0001910	XP_003393740.1	XP_035743101.1, XP_035743100.1, XP_035743099.1, XP_035743098.1, XP_035743097.1
OG0001912	XP_012176160.1, XP_003394320.1	XP_035739936.1
OG0001913	XP_012173557.1, XP_003394255.1	XP_035738544.1
OG0001914	XP_012170785.1	XP_035720609.1
OG0001915	XP_020718690.1	XP_035732211.1
OG0001916	XP_012175902.1	XP_035721860.1, XP_035721857.1, XP_035721861.1, XP_035721858.1, XP_035721859.1
OG0001917	XP_003393608.1, XP_012171519.1	XP_035737814.1
OG0001918	XP_012170294.1	XP_035723938.1
OG0001919	XP_012176234.1	XP_035722709.1
OG0001920	XP_012167972.1	XP_035729863.1, XP_035729861.1
OG0001921	XP_003397990.1	XP_035739206.1
OG0001922	XP_012176104.2, XP_020718243.1	XP_035736712.1, XP_035736714.1
OG0001923	XP_012170503.1	XP_035740035.1
OG0001924	XP_003398628.2	XP_035720977.1, XP_035720981.1
OG0001925	XP_012170179.1	XP_035719164.1
OG0001926	XP_012173271.1	XP_035722640.1
OG0001927	XP_003399747.1	XP_035741116.1, XP_035741118.1, XP_035741117.1
OG0001928	XP_003398327.1	XP_035738468.1
OG0001929	XP_003398057.1, XP_020720626.1	XP_035719272.1, XP_035719271.1
OG0001930	XP_003398513.1	XP_035730074.1
OG0001931	XP_012171830.1, XP_003393631.1	XP_035717865.1
OG0001933	XP_012165422.1, XP_012165421.1	XP_035740463.1
OG0001934	XP_003394468.2	XP_035731948.1, XP_035731953.1
OG0001935	XP_003392983.2	XP_035744258.1
OG0001936	XP_012173303.1, XP_012173302.1	XP_035722630.1
OG0001937	XP_020720206.1	XP_035738250.1
OG0001938	XP_003401291.1	XP_035730147.1, XP_035736009.1
OG0001939	XP_003402091.1	XP_035726925.1
OG0001941	XP_012175979.1, XP_012175978.1	XP_035739439.1, XP_035739446.1
OG0001942	XP_003399824.1	XP_035723233.1
OG0001943	XP_012174446.1	XP_035719742.1
OG0001944	XP_012175128.2	XP_035726697.1
OG0001945	XP_012169355.1	XP_035740100.1
OG0001946	XP_012169211.1, XP_003399027.1	XP_035718360.1
OG0001947	XP_012168753.1, XP_003398752.1	XP_035724027.1, XP_035724024.1
OG0001948	XP_012175779.1, XP_003394054.1, XP_020723176.1	XP_035720239.1
OG0001950	XP_020724111.1, XP_020724112.1, XP_012176588.1, XP_012176589.1, XP_003394623.1	XP_035737014.1, XP_035737015.1
OG0001951	XP_003401677.1	XP_035719331.1
OG0001952	XP_020722982.1	XP_035723358.1
OG0001953	XP_003398846.1	XP_035743922.1
OG0001954	XP_012169938.1	XP_035736960.1
OG0001955	XP_012175582.1, XP_012175805.1, XP_012175704.1	XP_035726680.1, XP_035726679.1
OG0001957	XP_012176527.2	XP_035741892.1
OG0001959	XP_012164380.1	XP_035727175.1
OG0001960	XP_003400117.1	XP_035742253.1, XP_035742263.1, XP_035742271.1
OG0001961	XP_012176387.1	XP_035734760.1
OG0001963	XP_012166488.1	XP_035728364.1
OG0001964	XP_012163751.1, XP_003395679.1, XP_012163750.1	XP_035737585.1
OG0001965	XP_003396734.1	XP_035720178.1
OG0001966	XP_003400709.1, XP_012171686.1, XP_012171687.1	XP_035735625.1, XP_035735624.1
OG0001967	XP_012164287.1	XP_035726078.1
OG0001968	XP_012172059.1	XP_035727988.1
OG0001969	XP_003398874.1	XP_035734385.1, XP_035734383.1, XP_035734384.1
OG0001970	XP_003400680.1	XP_035735840.1, XP_035735834.1, XP_035735837.1, XP_035735838.1, XP_035735835.1, XP_035735836.1, XP_035735841.1, XP_035735843.1, XP_035735839.1
OG0001971	XP_003396171.1	XP_035722776.1, XP_035721922.1, XP_035720192.1, XP_035721060.1
OG0001973	XP_003402575.2	XP_035719261.1
OG0001974	XP_003394604.1	XP_035724213.1
OG0001975	XP_003393615.1, XP_020722754.1	XP_035725903.1, XP_035725905.1
OG0001976	XP_003396873.1	XP_035730315.1
OG0001977	XP_003396921.1	XP_035722673.1, XP_035722672.1, XP_035722674.1, XP_035722372.1, XP_035722373.1, XP_035722374.1
OG0001978	NP_001267853.1, XP_012173953.1, XP_003394693.1	XP_035730641.1, XP_035730640.1
OG0001979	XP_020720570.1	XP_035730883.1
OG0001980	XP_012170416.1, XP_012170414.1	XP_035742245.1
OG0001981	XP_020720334.1	XP_035743060.1
OG0001984	XP_020723341.1, XP_003402478.1	XP_035723702.1
OG0001987	XP_020721875.1	XP_035719828.1, XP_035719827.1
OG0001988	XP_012174278.1, XP_003402586.1	XP_035743498.1, XP_035743493.1, XP_035743497.1, XP_035743496.1, XP_035743495.1
OG0001989	XP_003394559.1	XP_035741394.1
OG0001990	XP_003396797.1	XP_035735620.1
OG0001991	XP_003403260.1	XP_035739539.1, XP_035739538.1, XP_035739540.1
OG0001992	XP_020718241.1, XP_012176117.1, XP_020718242.1	XP_035739800.1
OG0001993	XP_003399272.2	XP_035743880.1, XP_035743881.1
OG0001994	XP_012166674.1, XP_012166675.1, XP_020719819.1, XP_020719820.1, XP_012166673.1, XP_012166676.1	XP_035738629.1
OG0001995	XP_012166305.1	XP_035740451.1
OG0001997	XP_003401360.1	XP_035732100.1
OG0001999	XP_003397670.1	XP_035736872.1, XP_035736871.1
OG0002000	XP_012169582.1, XP_012169581.1	XP_035728548.1
OG0002001	XP_012166791.1, XP_003393276.1	XP_035722607.1, XP_035722608.1
OG0002002	XP_003393361.1, XP_003393360.1	XP_035722422.1
OG0002003	XP_012170850.1	XP_035742384.1
OG0002004	XP_003395189.1	XP_035723661.1
OG0002005	XP_012175836.1	XP_035738615.1, XP_035738635.1, XP_035738624.1
OG0002006	XP_020721833.1	XP_035743207.1
OG0002007	XP_020723706.1	XP_035724428.1
OG0002009	XP_003395439.1	XP_035719674.1
OG0002010	XP_012173985.1	XP_035740514.1, XP_035740516.1
OG0002011	XP_012175909.1	XP_035721307.1, XP_035721303.1, XP_035721305.1, XP_035721306.1, XP_035721304.1
OG0002012	XP_020721924.1	XP_035743310.1
OG0002013	XP_012166513.1	XP_035739957.1, XP_035739977.1, XP_035739988.1, XP_035739949.1, XP_035739940.1, XP_035739932.1, XP_035739968.1
OG0002014	XP_012170736.1	XP_035727696.1
OG0002015	XP_012164409.1	XP_035733182.1
OG0002016	XP_012163724.2, XP_012175579.1	XP_035720900.1, XP_035720899.1, XP_035720901.1
OG0002017	XP_020722714.1, XP_020722712.1	XP_035735019.1, XP_035734958.1
OG0002018	XP_003399744.1	XP_035739377.1
OG0002019	XP_020721033.1	XP_035738821.1
OG0002020	XP_012175271.1, XP_012169541.1	XP_035723851.1
OG0002021	XP_012165708.1	XP_035739280.1
OG0002022	XP_003393632.1	XP_035726378.1
OG0002023	XP_020721751.1	XP_035736419.1
OG0002024	XP_020718300.1	XP_035724575.1, XP_035724576.1, XP_035724574.1
OG0002025	XP_020718542.1, XP_012163251.1	XP_035739826.1
OG0002026	XP_012168714.1	XP_035733070.1
OG0002027	XP_003399759.1	XP_035741150.1, XP_035741151.1, XP_035741153.1, XP_035741149.1, XP_035741152.1
OG0002028	XP_003396316.1	XP_035735967.1
OG0002029	XP_003399923.1	XP_035727801.1
OG0002030	XP_012172581.1	XP_035725953.1
OG0002032	XP_012164220.1	XP_035732726.1, XP_035732732.1
OG0002033	XP_020722620.1	XP_035735178.1
OG0002036	XP_020723250.1	XP_035720251.1
OG0002037	XP_003393087.1	XP_035739511.1, XP_035720360.1
OG0002038	XP_003403079.1	XP_035722315.1
OG0002039	XP_003400817.1	XP_035730921.1
OG0002040	XP_003400896.3	XP_035727156.1
OG0002041	XP_003399954.1, XP_012170615.1	XP_035730098.1
OG0002042	XP_012173394.1, XP_012173393.1	XP_035735376.1
OG0002043	XP_003397026.1	XP_035719124.1, XP_035719123.1
OG0002044	XP_012172337.1, XP_003401337.1	XP_035732094.1
OG0002045	XP_012173327.1, XP_003401984.1	XP_035739767.1
OG0002046	XP_003395099.1, XP_012163215.1	XP_035735974.1
OG0002047	XP_003397599.1	XP_035738257.1
OG0002048	XP_012163263.1, XP_003394909.1	XP_035739918.1, XP_035739912.1
OG0002049	XP_020719930.1, XP_020719931.1, XP_020719932.1, XP_020719929.1	XP_035719010.1
OG0002050	XP_020719609.1	XP_035739158.1
OG0002052	XP_003397687.1	XP_035720452.1
OG0002053	XP_003393369.1, XP_012167672.1	XP_035735927.1
OG0002054	XP_012171523.1	XP_035735815.1, XP_035735822.1
