Orthogroup	Bombus_terrestris	Drosophila_melanogaster
OG0001103	XP_012173261.1, XP_012173260.1, XP_003401858.1	NP_001245905.1
OG0001104	XP_020718898.1	NP_610475.1
OG0001105	XP_003402656.1	NP_001285263.1, NP_524696.2, NP_788903.1
OG0001106	XP_012173949.1, XP_003402322.1, XP_012173950.1	NP_001097399.1
OG0001107	XP_012173130.1, XP_003401755.1	NP_477463.1, NP_477418.1
OG0001108	XP_003401737.1	NP_651123.1, NP_651124.1, NP_001262859.1, NP_001262858.1, NP_001287478.1, NP_650004.1
OG0001109	XP_012175154.1	NP_608327.2, NP_001287212.1, NP_001027071.1
OG0001110	XP_003399407.1	NP_001287185.1, NP_001260724.1
OG0001111	XP_012169483.1, XP_012169484.1, XP_012169476.1, XP_012169458.1, XP_012169464.1, XP_012169453.1	NP_001260255.1
OG0001112	XP_012174674.1	NP_001245731.1
OG0001113	XP_003395429.1	NP_649587.1
OG0001114	XP_020720606.1	NP_788382.1
OG0001115	XP_003401766.1	NP_651307.2
OG0001116	XP_003397472.1	NP_001284912.1
OG0001117	XP_020720702.1	NP_647890.2
OG0001118	XP_003393752.1, XP_012170929.1, XP_012170923.1	NP_730935.1
OG0001119	XP_003398972.1, XP_012169129.1	NP_573179.1
OG0001120	XP_003396813.1	NP_001303491.1
OG0001120	XP_003396815.1	NP_001286419.1
OG0001121	XP_012163127.1	NP_523778.2
OG0001124	XP_012168157.1	NP_611463.1
OG0001125	XP_003396616.1, XP_020719415.1	NP_996437.1
OG0001126	XP_003397039.1	NP_001263150.1
OG0001127	XP_003396375.1	NP_001259697.1
OG0001128	XP_012165573.1	NP_649862.1
OG0001128	XP_020719571.1	NP_476687.1
OG0001129	XP_003395954.1, XP_012164551.1	NP_001260832.1
OG0001130	XP_020721883.1, XP_003400316.2, XP_012170922.1, XP_012170921.1, XP_020721882.1	NP_001285414.1
OG0001131	XP_020720749.1, XP_020720763.1	NP_001262954.1
OG0001132	XP_003394768.1	NP_477136.1
OG0001134	XP_003400253.1	NP_650596.1
OG0001135	XP_003393299.1	NP_001261958.1
OG0001137	XP_020724122.1	NP_001162634.1, NP_569918.1
OG0001138	XP_012169017.1, XP_003398913.1	NP_609847.1
OG0001139	XP_020722728.1, XP_020722729.1	NP_650430.1
OG0001140	XP_003402479.1, XP_012174082.1	NP_610460.1
OG0001141	XP_012169554.1, XP_012169555.1	NP_001261986.1, NP_001303470.1, NP_572194.1
OG0001142	XP_020721719.1, XP_003400015.1	NP_001285029.1
OG0001143	XP_003398491.1	NP_524026.1
OG0001144	XP_003401088.1, XP_003401087.1	NP_649981.1
OG0001145	XP_003397437.1, XP_012166925.1	NP_610183.1
OG0001146	XP_020718965.1	NP_001163124.1
OG0001147	XP_003394869.1, XP_003394870.1	NP_573361.1
OG0001148	XP_012169181.1, XP_020720975.1	NP_651990.1
OG0001149	XP_012169249.1	NP_001246233.1
OG0001150	XP_003395168.1	NP_524167.1
OG0001151	XP_003398933.2	NP_001262934.1
OG0001152	XP_020720795.1	NP_608533.1
OG0001153	XP_020718572.1, XP_020718573.1	NP_609012.2
OG0001154	XP_020722635.1, XP_020722631.1	NP_650326.3
OG0001155	XP_003393745.1	NP_001245723.1
OG0001156	XP_003398458.1, XP_012168191.1	NP_727144.1
OG0001157	XP_012167432.1, XP_003393317.1	NP_524637.2
OG0001158	XP_012165204.1	NP_523922.1
OG0001159	XP_012168627.1	NP_001246974.1, NP_524850.2
OG0001160	XP_003394748.1	NP_001285873.1
OG0001161	XP_012171801.1	NP_477313.1
OG0001162	XP_020718634.1	NP_001246331.1
OG0001165	XP_020720601.1	NP_001247163.1
OG0001166	XP_003397967.1, XP_012167688.1	NP_524216.1, NP_727251.1
OG0001167	XP_003402307.1	NP_476980.1
OG0001168	NP_001267850.1	NP_477466.1
OG0001169	XP_020722015.1, XP_020722014.1, XP_020722016.1, XP_020722017.1	NP_648620.1, NP_523655.1
OG0001170	XP_003395867.1	NP_524664.1
OG0001171	XP_020718338.1	NP_001368984.1
OG0001172	XP_003395441.1, XP_012163864.1	NP_001246928.1
OG0001173	XP_003393427.1	NP_001261097.1
OG0001174	XP_012172935.1, XP_012172927.1, XP_003399965.1	NP_001104426.1
OG0001175	XP_012165146.1, XP_012165144.1, XP_012165145.1, XP_003396469.1	NP_001261470.1
OG0001176	XP_003394064.1, XP_012175787.1, XP_012175784.1, XP_012175783.1	NP_649439.1
OG0001179	XP_003398477.1	NP_001284976.1
OG0001180	XP_003399205.2, XP_012174888.2	NP_001259321.1
OG0001181	XP_003395966.1, XP_012164569.1	NP_573161.1
OG0001182	XP_020721072.1	NP_001246890.1
OG0001183	XP_020724335.1, XP_012176045.1	NP_001246707.1
OG0001184	XP_012167179.1, XP_012167180.1	NP_001287560.1
OG0001185	XP_012170652.1	NP_001137887.1
OG0001186	XP_012173098.1	NP_648908.1
OG0001187	XP_012173234.1	NP_001261023.1
OG0001188	XP_020723109.1	NP_001163482.1
OG0001189	XP_012171412.1, XP_012171409.1, XP_012171410.1, XP_003400540.1, XP_020722154.1, XP_012171411.1	NP_001097192.2
OG0001190	XP_020723233.1	NP_001097387.1
OG0001191	XP_020722600.1, XP_012172269.2	NP_996290.1, NP_001262929.1
OG0001193	XP_003402502.1	NP_001163283.1
OG0001195	XP_012174482.1, XP_012174483.1, XP_012174481.1	NP_608725.1
OG0001197	XP_020724376.1	NP_569979.1
OG0001198	XP_003402790.1	NP_476939.1
OG0001199	XP_003396494.1	NP_647878.1
OG0001201	XP_020721739.1, XP_020721740.1, XP_012170426.1, XP_012170425.1	NP_611863.1
OG0001202	XP_012168814.1, XP_012168813.1, XP_003398853.1	NP_731269.2
OG0001203	XP_020723108.1, XP_020719109.1	NP_611025.2, NP_523750.2, NP_611808.2
OG0001204	XP_003398523.1, XP_012168266.1	NP_001163181.1
OG0001205	XP_003401272.1, XP_003397505.1	NP_728441.1, NP_728444.1, NP_728438.2
OG0001206	XP_020719584.1, XP_020719583.1	NP_001245695.1
OG0001207	XP_003399469.1	NP_001262204.1
OG0001208	XP_003395596.2	NP_001262609.1
OG0001211	XP_020719375.1	NP_788360.2, NP_001097455.1, NP_648203.1
OG0001214	XP_012168850.1	NP_572278.1
OG0001215	XP_012171568.1, XP_012171569.1, XP_012171570.1	NP_001260930.1
OG0001216	XP_003396598.1	NP_609382.1
OG0001217	XP_003402161.1, XP_003402162.1	NP_523379.2
OG0001218	XP_012164863.1	NP_001285628.1
OG0001219	XP_003402120.1	NP_477043.1
OG0001220	XP_003402131.1	NP_476594.1
OG0001222	XP_003401278.1, XP_003401279.1	NP_001262515.1
OG0001223	XP_012174455.1, XP_003402784.1	NP_573055.1
OG0001224	XP_020721593.1, XP_012170026.1	NP_650632.1
OG0001225	XP_003403096.1, XP_020723797.1	NP_611211.3, NP_573315.1
OG0001226	XP_020720148.1	NP_001259731.1
OG0001228	XP_020722496.1, XP_020722497.1	NP_001260246.1
OG0001229	XP_012169549.1, XP_012169550.1, XP_012169548.1	NP_651876.1
OG0001230	XP_012164091.1, XP_012164092.1	NP_001285360.1, NP_650407.1
OG0001231	XP_012170761.1	NP_001036283.1
OG0001231	XP_012170759.2	NP_523440.1
OG0001232	XP_003396337.1	NP_001285827.1
OG0001233	XP_003394250.1, XP_012176077.1, XP_012176078.1, XP_012176080.1, XP_020724133.1, XP_012176076.1	NP_001162628.1
OG0001234	XP_003400135.1	NP_001036706.2
OG0001236	XP_003395337.1	NP_001246793.1, NP_001261942.1
OG0001237	XP_003398676.1	NP_001246667.1
OG0001238	XP_012175031.1, XP_012175018.1	NP_001014689.3
OG0001239	XP_020721287.1, XP_012169630.1, XP_012169631.1, XP_003399301.1	NP_001015221.1
OG0001240	XP_012169673.1, XP_012169675.1, XP_012169674.1, XP_003399332.1, XP_012169676.1	NP_001097042.1, NP_649903.1
OG0001241	XP_012169133.1, XP_003398975.2	NP_733336.1
OG0001242	XP_003396295.1, XP_003396294.1	NP_001260760.1, NP_724538.1
OG0001244	XP_003399056.1	NP_001189177.2
OG0001245	XP_003397683.1	NP_001245557.1
OG0001246	XP_003402511.2, XP_020718493.1, XP_020718491.1, XP_020718492.1	NP_476932.1
OG0001247	XP_003398289.1	NP_572740.1
OG0001248	XP_020723117.1, XP_003401940.1, XP_020723118.1, XP_012173421.1, XP_020723119.1	NP_001259908.1
OG0001249	XP_003396741.1, XP_012165841.1	NP_572452.1
OG0001250	XP_012175005.1	NP_001259742.1
OG0001251	XP_012174298.2, XP_020718432.1	NP_572932.2
OG0001254	XP_003394275.1	NP_001285084.1
OG0001255	XP_003393279.1	NP_001261169.1
OG0001256	XP_003402977.1, XP_003402976.1	NP_728275.1
OG0001257	XP_003402810.1	NP_649873.1, NP_001287313.1, NP_732513.1
OG0001259	XP_012175313.1	NP_724582.1
OG0001260	XP_012172727.1, XP_003401488.1	NP_525109.1
OG0001261	XP_012167039.1	NP_001097659.1
OG0001262	XP_012173881.1, XP_020723284.1	NP_001188672.1
OG0001263	XP_012167104.1	NP_523511.2
OG0001264	XP_012167378.1	NP_610425.1
OG0001267	XP_012173255.1	NP_001261146.1
OG0001267	XP_012173259.1	NP_609711.1
OG0001269	XP_020719704.1, XP_020719701.1	NP_612019.2
OG0001270	XP_003398248.1	NP_730968.1
OG0001271	XP_012171915.1	NP_651398.1
OG0001272	XP_003397363.1	NP_476658.1
OG0001273	XP_012164085.1	NP_611759.1, NP_611762.1, NP_001285109.1
OG0001274	XP_012164035.1	NP_476741.1
OG0001277	XP_003402819.1	NP_611899.1
OG0001278	XP_012172501.1	NP_524327.1
OG0001279	XP_012163562.1	NP_524633.3
OG0001280	XP_020721905.1, XP_020721906.1, XP_012170836.1, XP_012170837.1, XP_012170834.1, XP_020721904.1	NP_001036627.2
OG0001281	XP_012167578.1	NP_001246506.1
OG0001282	XP_020720629.1	NP_649261.1
OG0001283	XP_020719249.1, XP_020719246.1, XP_020719247.1, XP_020719248.1	NP_476902.1
OG0001284	XP_020724339.1, XP_020724338.1	NP_001163032.1
OG0001286	XP_020722304.1, XP_003400539.1, XP_012171443.1	NP_610431.1
OG0001287	XP_012169150.1, XP_012169188.1, XP_012169155.1	NP_732006.2
OG0001288	XP_003400433.1	NP_001285508.1
OG0001289	XP_003397119.1	NP_001261265.1
OG0001290	XP_020722575.1, XP_020722573.1, XP_012172537.1, XP_020722574.1, XP_012172530.1, XP_012172528.1	NP_649797.2, NP_650324.1, NP_651092.1
OG0001291	XP_003399823.1	NP_001163636.1
OG0001292	XP_003400968.1	NP_611945.3
OG0001293	XP_003398070.1, XP_020720574.1, XP_020720575.1, XP_020720573.1	NP_649850.1
OG0001294	XP_020722687.1, XP_012172280.1, XP_012172281.1, XP_003401144.1	NP_611855.1
OG0001295	XP_012167568.1	NP_724562.2
OG0001296	XP_012173736.1	NP_001369075.1
OG0001298	XP_020720458.1, XP_003397436.1	NP_001163084.1
OG0001299	XP_012165882.1, XP_012165885.1, XP_012165884.1, XP_012165883.1	NP_609088.1
OG0001300	XP_003399532.1	NP_001259918.1
OG0001301	XP_012167003.1, XP_012167004.1, XP_012167001.1, XP_003397488.1	NP_001188545.1
OG0001302	XP_020719270.1	NP_001188695.1
OG0001303	XP_020723753.1, XP_020723764.1	NP_001261027.1
OG0001304	XP_012172183.1, XP_012172182.1	NP_001246121.1
OG0001306	XP_012167990.1	NP_001262403.1
OG0001307	XP_020723092.1, XP_012173499.1	NP_001356969.1
OG0001308	XP_003403395.1	NP_001245739.1, NP_727344.1
OG0001310	XP_012164424.1, XP_003395288.1, XP_003395287.1	NP_650685.1
OG0001312	XP_012173172.1, XP_012173171.1	NP_001285588.1
OG0001314	XP_012173675.1	NP_001246531.1
OG0001315	XP_003393383.1, XP_003393384.1	NP_001285099.1, NP_728935.1
OG0001316	XP_020719664.1, XP_003393487.1	NP_001246495.1
OG0001317	XP_012172290.2	NP_647998.2, NP_647996.1
OG0001317	XP_012163614.1	NP_648019.2
OG0001318	XP_012167356.1	NP_001188775.1
OG0001320	XP_020721649.1, XP_003399529.1	NP_651060.1
OG0001322	XP_020718696.1, XP_003395455.1, XP_003395454.1, XP_012163888.1	NP_651570.1
OG0001328	XP_003398532.1	NP_001097695.1
OG0001329	XP_003396674.1	NP_647948.1
OG0001330	XP_012174141.1, XP_012174139.1, XP_003402412.1, XP_012174140.1	NP_001246537.1
OG0001331	XP_012174989.1, XP_003401741.1	NP_001260303.1
OG0001332	XP_003399692.1	NP_650887.1, NP_570011.1
OG0001333	XP_012167648.1	NP_649539.1
OG0001334	XP_003396830.1, XP_003396833.1, XP_003396832.1	NP_001287343.1
OG0001335	XP_012168103.1, XP_003398388.1	NP_609362.1
OG0001336	XP_012168727.1	NP_609967.1
OG0001336	XP_003398724.1, XP_012168729.1, XP_012168730.1	NP_001162901.1
OG0001337	XP_012165951.1	NP_612097.1
OG0001338	XP_003399107.1, XP_012169339.1, XP_012169340.1	NP_572855.1
OG0001339	XP_012176348.1	NP_001260727.1
OG0001340	XP_003398713.1	NP_001284961.1
OG0001341	XP_020720549.1	NP_001259867.1
OG0001342	XP_003393794.1	NP_001138093.1
OG0001343	XP_003400883.1, XP_012171660.1, XP_003400869.1	NP_477025.1
OG0001344	XP_020720468.1, XP_020720469.1, XP_003397501.1	NP_652315.2
OG0001345	XP_003395860.1, XP_012164396.1	NP_648955.1
OG0001346	XP_012173237.1	NP_001097946.1
OG0001347	XP_003402828.1	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2
OG0001348	XP_020723739.1, XP_003403220.1	NP_608350.2
OG0001349	XP_003401462.1	NP_477480.1
OG0001350	XP_012172004.1	NP_788708.2
OG0001351	XP_020722689.1, XP_020722688.1	NP_001246931.1
OG0001352	XP_003403023.2, XP_020721736.1	NP_731459.2
OG0001353	XP_003398012.1	NP_001261357.1
OG0001354	XP_012164101.1, XP_012164102.1, XP_012164099.1, XP_020718882.1, XP_020718883.1	NP_611792.1
OG0001355	XP_003400362.1	NP_572529.2
OG0001356	XP_003395933.1	NP_001014559.1
OG0001358	XP_012172432.1, XP_020722423.1	NP_001014703.1
OG0001359	XP_012170120.1	NP_001259064.1, NP_651392.2
OG0001361	XP_020718847.1, XP_012170400.1, XP_020721674.1	NP_650778.2
OG0001362	XP_003395430.1	NP_001287357.1
OG0001363	XP_020720328.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_012163097.1	NP_001188754.1
OG0001365	XP_012169223.1	NP_001260427.1
OG0001366	XP_020718835.1	NP_648508.1
OG0001367	XP_012168910.1	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2
OG0001368	XP_020720007.1, XP_003397626.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_020719634.1	NP_001303363.1
OG0001370	XP_003396421.1, XP_012165453.1	NP_001162973.2
OG0001371	XP_003396087.1, XP_012164771.1	NP_610796.1
OG0001372	XP_012164475.1, XP_012164477.1	NP_610444.2
OG0001373	XP_012168781.1	NP_731872.1
OG0001374	XP_020722346.1	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_003399211.3, XP_003398956.1	NP_001261379.1
OG0001376	XP_012173351.1, XP_003402078.1	NP_001162697.1
OG0001377	XP_012170811.1, XP_012170812.1, XP_003400191.1, XP_003400190.1	NP_572840.1
OG0001378	XP_012165673.1, XP_012165674.1, XP_012165675.1, XP_012165676.1	NP_572402.1
OG0001379	XP_012167520.1	NP_723501.2
OG0001380	XP_003402866.1	NP_001036421.1
OG0001381	XP_003393248.1	NP_650889.1
OG0001382	XP_003397478.2	NP_001260515.1, NP_001260514.1
OG0001383	XP_012168893.1	NP_001036470.1
OG0001384	XP_012169115.1, XP_012169114.1, XP_003398965.1	NP_001285453.1
OG0001385	XP_003395388.1	NP_001260880.1
OG0001386	XP_012163760.1, XP_003395301.1	NP_001286474.1
OG0001387	XP_012173529.1	NP_609412.1
OG0001388	XP_012169807.1, XP_012169804.1, XP_012169803.1, XP_012169802.1	NP_572320.2, NP_732840.1
OG0001389	XP_020719175.1	NP_788300.3
OG0001390	XP_012170950.1	NP_001286120.1
OG0001391	XP_020720476.1	NP_001163354.1
OG0001392	XP_020720085.1, XP_012168018.1	NP_001246912.1
OG0001393	XP_003396669.1	NP_001285132.1, NP_001188593.1
OG0001394	XP_020722630.1	NP_573197.2
OG0001394	XP_012166244.1	NP_729025.1
OG0001395	XP_012171081.1	NP_001137624.1
OG0001396	XP_020719715.1, XP_003393199.1	NP_001245761.1, NP_523412.1
OG0001397	XP_003397629.1, XP_020720213.1	NP_649764.1
OG0001398	XP_020724226.1, XP_012175862.1, XP_012175860.1	NP_001246972.1, NP_523949.2
OG0001399	XP_012164033.1	NP_569982.1
OG0001400	XP_012175093.1, XP_012175100.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_003401536.1, XP_012172796.1, XP_012172797.1	NP_524675.1
OG0001402	XP_020720808.1, XP_003398486.1	NP_612065.1
OG0001403	XP_012167434.1	NP_001259193.1, NP_733426.1
OG0001404	XP_012169320.1	NP_609110.1
OG0001405	XP_012172468.1	NP_731223.1
OG0001406	XP_003395194.1, XP_012163648.1, XP_012163647.1	NP_001015132.1
OG0001407	XP_003396369.1, XP_012165352.1	NP_001262226.1
OG0001408	XP_003397685.1	NP_001163646.1
OG0001409	XP_012174454.1, XP_020723544.1	NP_001162657.1
OG0001410	XP_003401764.1	NP_523844.2
OG0001412	XP_012163319.1	NP_001036250.1
OG0001412	XP_012163315.1	NP_651941.2
OG0001413	XP_003397220.1, XP_012166565.1	NP_001303415.1
OG0001414	XP_012166970.1	NP_608864.1
OG0001415	XP_020719674.1, XP_020719671.1, XP_020719675.1	NP_996016.2
OG0001416	XP_012165008.1, XP_012164998.1	NP_723870.1
OG0001417	XP_012169107.1, XP_012169108.1	NP_611932.2
OG0001418	XP_012163163.1	NP_001162911.1
OG0001419	XP_020720226.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_003393869.1	NP_650569.1, NP_651139.1
OG0001421	XP_012164728.1, XP_020718987.1, XP_012164727.1, XP_012164592.1	NP_649899.1
OG0001422	XP_020719307.1	NP_001189074.1
OG0001423	XP_012165500.1	NP_729234.2
OG0001424	XP_003402316.1	NP_001262495.1
OG0001425	XP_003392892.1	NP_788574.3
OG0001426	XP_020721936.1, XP_012171027.1, XP_003400252.1	NP_001163056.1
OG0001427	XP_003393315.1	NP_648499.1
OG0001428	XP_012164126.1, XP_012164129.1, XP_012164128.1, XP_012164127.1, XP_012164125.1	NP_608929.1
OG0001429	XP_012167652.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_020722429.1	NP_001287466.1
OG0001432	XP_003399605.3	NP_001188923.1, NP_611185.3
OG0001434	XP_003393532.1	NP_788618.1, NP_649928.1
OG0001436	XP_012171515.1, XP_003400563.1	NP_650868.1, NP_649289.2
OG0001437	XP_003399945.1	NP_001286742.1
OG0001438	XP_020721546.1, XP_012170219.1	NP_727644.3
OG0001440	XP_020724292.1, XP_020724291.1, XP_012176379.1, XP_020724293.1	NP_611647.1
OG0001441	XP_012173022.1, XP_012173027.1	NP_001027574.2
OG0001442	XP_003403381.2, XP_020724207.1, XP_020721312.1	NP_001287592.1
OG0001443	XP_003402642.1, XP_020721946.1	NP_001096850.2
OG0001444	XP_012164290.1, XP_012164162.1	NP_001034052.2
OG0001445	XP_012163907.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_020720634.1, XP_020720633.1, XP_012168229.1	NP_648358.2
OG0001453	XP_012165298.2	NP_001285826.1
OG0001455	XP_003403068.1	NP_610092.2
OG0001456	XP_012175619.1, XP_012175622.1, XP_012175621.1, XP_012175623.1, XP_020724044.1, XP_003393927.1	NP_001286295.1
OG0001457	XP_003397628.1	NP_001163688.1
OG0001458	XP_012171843.1	NP_476858.1
OG0001459	XP_012165214.1	NP_001263148.1
OG0001460	XP_003393617.1	NP_476848.1
OG0001461	XP_012164361.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_003396187.1, XP_003396186.1	NP_001262421.1
OG0001463	XP_003402394.2, XP_012165835.1	NP_649574.1
OG0001464	XP_012164758.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_012175635.1, XP_003393935.1, XP_012175636.1	NP_001189124.1
OG0001466	XP_003396061.1, XP_012164900.1	NP_569951.1, NP_611911.1
OG0001467	XP_003396679.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_003397743.1, XP_003397722.1	NP_001260652.1
OG0001469	XP_003398904.1	NP_523568.2
OG0001470	XP_003394496.1	NP_648768.1
OG0001471	XP_003394634.2, XP_020724160.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_012176274.1, XP_003394685.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_012173301.1	NP_001287361.1
OG0001474	XP_012167830.1, XP_012167829.1	NP_609560.2, NP_569850.1
OG0001475	XP_003393093.1, XP_020719848.1, XP_003393092.1	NP_001368987.1
OG0001477	XP_020720672.1	NP_001014453.1
OG0001478	XP_003396281.1	NP_001285042.1
OG0001479	XP_003398797.1	NP_001036624.1
OG0001480	XP_003395191.1, XP_012163645.1	NP_524533.1
OG0001481	XP_020723132.1	NP_001286181.1
OG0001482	XP_020721633.1	NP_651924.2
OG0001483	XP_012163379.1	NP_001262996.1
OG0001484	XP_012171842.1	NP_001188579.1
OG0001485	XP_012170254.1	NP_523596.2
OG0001486	XP_012169168.1	NP_476764.1
OG0001487	XP_012167898.1	NP_001188904.1
OG0001488	XP_012174744.1, XP_020723656.1	NP_001189108.1
OG0001489	XP_003401445.1	NP_648555.1
OG0001491	XP_012171786.1, XP_012171787.1, XP_012171784.1	NP_609228.2
OG0001492	XP_003399630.1	NP_001263168.1
OG0001493	XP_012168000.2	NP_001262195.1
OG0001494	XP_003399563.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_003394831.1	NP_612063.2
OG0001496	XP_003394882.1	NP_609203.1
OG0001497	XP_003399142.1, XP_020721145.1	NP_001260853.1
OG0001498	XP_012164993.1	NP_729823.2
OG0001499	XP_003399467.1, XP_020721731.1, XP_003397849.1	NP_572167.3
OG0001500	XP_020720057.1, XP_003397807.1	NP_730859.1
OG0001501	XP_003396885.1	NP_001303373.1
OG0001502	XP_003396866.1	NP_001261464.1
OG0001503	XP_003399092.1, XP_003399093.1	NP_665880.2
OG0001504	XP_012176574.1	NP_001261440.1
OG0001505	XP_020718881.1	NP_001097527.1
OG0001507	XP_003401091.1, XP_012172228.1	NP_001287269.1
OG0001508	XP_012176705.1, XP_012176699.1	NP_001138130.2
OG0001509	XP_012173176.1	NP_001261116.1
OG0001510	XP_012168991.1, XP_020721172.1	NP_001284936.1
OG0001511	XP_003396668.1	NP_649151.1
OG0001514	XP_012176755.1	NP_001188550.1
OG0001515	XP_012165605.1	NP_001259809.1
OG0001516	XP_003402767.2	NP_001163857.2, NP_001104417.3
OG0001517	XP_003402258.1	NP_731242.1
OG0001518	XP_003394178.3	NP_001036462.1
OG0001519	XP_012169169.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_012174355.1	NP_001368953.1
OG0001521	XP_003395486.1	NP_523422.4
OG0001522	XP_020718251.1	NP_001096867.3
OG0001524	XP_003399206.1, XP_012169486.1, XP_012169487.1	NP_001261067.1
OG0001525	XP_012172750.1, XP_003401499.1, XP_012172749.1	NP_477026.1
OG0001526	XP_020720026.1, XP_012166840.1, XP_020720024.1	NP_001369078.1
OG0001527	XP_003397768.1	NP_001259089.1
OG0001529	XP_012174646.1	NP_001162930.1
OG0001531	XP_003395582.1	NP_651595.1
OG0001532	XP_012166490.1	NP_001162665.1
OG0001533	XP_003402056.1	NP_728534.2
OG0001534	XP_020721645.1	NP_731923.2
OG0001535	XP_012175172.1	NP_001261999.1
OG0001536	XP_012165121.1	NP_648357.1
OG0001537	XP_012169946.1, XP_012169947.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_020720324.1, XP_020720323.1	NP_995639.1
OG0001539	XP_012170914.1	NP_524017.1
OG0001541	XP_020719680.1, XP_003396341.1	NP_001261940.1
OG0001542	XP_012163276.1, XP_012163274.1	NP_609207.1
OG0001543	XP_012168843.1	NP_650901.2
OG0001545	XP_003394442.1, XP_012176378.1, XP_020724290.1	NP_523451.2
OG0001546	XP_012163794.1, XP_012163795.1, XP_003395645.1	NP_001247104.1
OG0001548	XP_003394368.2, XP_012176262.1	NP_001285388.1
OG0001550	XP_003399933.1	NP_647968.3
OG0001551	XP_020719562.1, XP_020719563.1	NP_001246815.1
OG0001552	XP_003393584.1, XP_012170334.1	NP_477317.1
OG0001553	XP_012175724.1, XP_003394028.1	NP_651623.1
OG0001554	XP_012169996.1, XP_012169992.1	NP_001261344.1
OG0001555	XP_012164431.1	NP_001246451.1
OG0001556	XP_003400217.1, XP_012170974.1	NP_726771.1
OG0001557	XP_012169157.2, XP_003398998.1	NP_001260951.1
OG0001558	XP_020723020.1, XP_003401805.1	NP_001245722.1
OG0001559	XP_003399174.3	NP_650472.2
OG0001560	XP_012167417.2	NP_001246228.1
OG0001561	XP_012172415.1, XP_003401267.1, XP_012172414.1	NP_001260963.1
OG0001562	XP_012165869.1	NP_001137943.2
OG0001563	XP_012172782.1, XP_012172784.1	NP_001246300.1
OG0001564	XP_012175519.1	NP_650698.1
OG0001565	XP_012168216.1, XP_012168217.1, XP_012168214.1, XP_012168215.1, XP_012168213.1, XP_020720602.1, XP_012168212.1	NP_001286976.1
OG0001567	XP_012174475.1	NP_001137746.1
OG0001568	XP_012164346.1, XP_012164344.1, XP_012164347.1	NP_001263152.1
OG0001569	XP_003400682.1	NP_477320.1
OG0001570	XP_003402743.1, XP_003402744.1	NP_648176.1
OG0001571	XP_012170829.1	NP_610075.2
OG0001575	XP_003397584.1	NP_524337.1
OG0001576	XP_020723599.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_020719874.1, XP_012166616.1	NP_001285493.1
OG0001579	XP_003398242.2, XP_012167913.1, XP_012167914.1	NP_001097592.1
OG0001580	XP_020722899.1, XP_003401926.1	NP_001285528.1
OG0001581	XP_003398383.1	NP_608983.2
OG0001582	XP_012176331.1	NP_001287593.1
OG0001583	XP_003401531.3	NP_001189157.1
OG0001584	XP_003393138.1, XP_012164649.1	NP_648993.1
OG0001585	XP_012164963.1, XP_012164964.1	NP_001262143.1
OG0001586	XP_003393715.1	NP_647865.2
OG0001587	XP_012165753.2	NP_648090.1
OG0001588	XP_020720969.1, XP_020720971.1, XP_020720970.1	NP_001188558.1
OG0001589	XP_012164356.1	NP_726318.1
OG0001590	XP_003396208.2	NP_572910.1, NP_001285210.1
OG0001591	XP_020721213.1, XP_012168968.1	NP_001286018.1
OG0001592	XP_020723335.1, XP_003402383.1	NP_647896.1
OG0001593	XP_020722498.1	NP_001287342.1
OG0001594	XP_012164749.1, XP_012164750.1, XP_003396139.1	NP_001259723.1
OG0001595	XP_012165878.1, XP_012165877.1, XP_012165876.1, XP_003396765.1	NP_611252.1
OG0001596	XP_020721997.1	NP_730651.1
OG0001597	XP_012173777.1	NP_572854.1
OG0001600	XP_003397870.1	NP_001286151.1
OG0001601	XP_020720744.1	NP_001097706.1
OG0001602	XP_012163956.1, XP_012163954.1, XP_020718802.1	NP_001033958.1
OG0001603	XP_020719222.1, XP_012165174.1, XP_012165173.1	NP_001027070.1
OG0001604	XP_012167570.1, XP_012167575.1	NP_001163129.1
OG0001606	XP_012169847.2	NP_523902.2
OG0001607	XP_020723376.1, XP_003402461.1	NP_001285753.1
OG0001608	XP_012169615.1, XP_012169614.1	NP_001260655.1
