Orthogroup	Bombus_terrestris	Aedes_aegypti
OG0001054	XP_012170074.1, XP_012170075.1, XP_012170073.1, XP_012170071.1, XP_020721696.1	XP_001653734.1
OG0001055	XP_012170680.1	XP_021708066.1
OG0001056	XP_003402872.1, XP_012174598.1, XP_012174597.1, XP_012174596.1	XP_001648788.1
OG0001057	XP_012164261.1	XP_021712770.1, XP_021708993.1
OG0001058	XP_012168390.1, XP_012168389.1, XP_012168391.1	XP_001658030.3
OG0001059	XP_003393651.1, XP_003397773.1	XP_001653804.1
OG0001060	XP_012163202.1	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1
OG0001061	XP_012168011.1, XP_020720840.1	XP_021698780.1
OG0001063	XP_020722594.1, XP_020719112.1	XP_021705756.1
OG0001064	XP_020722284.1, XP_020722285.1	XP_021707107.1, XP_021712915.1, XP_001652913.1
OG0001065	XP_020720506.1, XP_020720504.1, XP_020720505.1	XP_021698754.1, XP_021698753.1
OG0001066	XP_012169239.1	XP_021703827.1
OG0001067	XP_003399396.1	XP_001664063.1, XP_021699345.1, XP_021699344.1
OG0001068	XP_012165849.1	XP_021696931.1, XP_021696940.1
OG0001069	XP_003400830.1	XP_001654715.2
OG0001070	XP_020720555.1	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2
OG0001071	XP_003397816.1	XP_021708458.1
OG0001072	XP_020721921.1, XP_012170687.1	XP_001659014.2
OG0001073	XP_003397563.1	XP_001648274.2
OG0001074	XP_003394236.1, XP_003394238.1	XP_001649270.2
OG0001076	XP_020723292.1	XP_001655001.1
OG0001077	XP_003399720.1, XP_003399719.1	XP_001658071.1
OG0001078	XP_003398213.1	XP_001659802.1, XP_001659805.1
OG0001079	XP_012163931.1	XP_001662144.1
OG0001081	XP_020722259.1	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1
OG0001082	XP_020718769.1	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1
OG0001083	XP_020722087.1, XP_003400911.1	XP_021698377.1
OG0001084	XP_012171819.1	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1
OG0001085	XP_012163774.1	XP_021702814.1
OG0001086	XP_020718465.1, XP_012163236.1, XP_012163235.1, XP_012163234.1, XP_012163233.1, XP_003395250.1, XP_020718463.1	XP_021708980.1
OG0001090	XP_003394894.1, XP_003394895.1	XP_021695122.1, XP_001656254.2
OG0001091	XP_003397668.1	XP_021713022.1, XP_001654186.1, XP_001654185.1
OG0001092	XP_003397991.1	XP_001656078.2
OG0001093	XP_012175412.1, XP_012175413.1, XP_012175411.1	XP_021712436.1, XP_021700841.1
OG0001094	XP_012175854.1, XP_012175843.1	XP_021707147.1, XP_001657391.1
OG0001095	XP_012174330.1	XP_001653701.1, XP_001653700.1
OG0001096	XP_020721467.1, XP_012170293.1, XP_003399736.1, XP_020721468.1	XP_001658255.2
OG0001097	XP_003398536.1	XP_001648346.1
OG0001098	XP_012170564.1, XP_012170563.1, XP_012170562.1, XP_012170561.1, XP_012170568.1, XP_012170566.1, XP_012170569.1, XP_012170565.1	XP_001663379.2
OG0001099	XP_012167228.1	XP_021694262.1, XP_021712727.1
OG0001099	XP_012167227.1	XP_021706284.1, XP_021712729.1
OG0001100	XP_003395980.1	XP_001657489.1
OG0001101	XP_003399060.1	XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	XP_003395066.1, XP_003395067.1	XP_001650617.1, XP_001650616.1
OG0001103	XP_012173261.1, XP_012173260.1, XP_003401858.1	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	XP_020718898.1	XP_001659382.1
OG0001105	XP_003402656.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_012173949.1, XP_003402322.1, XP_012173950.1	XP_001652532.1
OG0001107	XP_012173130.1, XP_003401755.1	XP_001651390.1
OG0001108	XP_003401737.1	XP_001655181.1
OG0001109	XP_012175154.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_003399407.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_012169483.1, XP_012169484.1, XP_012169476.1, XP_012169458.1, XP_012169464.1, XP_012169453.1	XP_001649510.2
OG0001112	XP_012174674.1	XP_001651512.1
OG0001113	XP_003395429.1	XP_001651817.1
OG0001114	XP_020720606.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_003401766.1	XP_021713246.1
OG0001116	XP_003397472.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_020720702.1	XP_021705905.1
OG0001118	XP_003393752.1, XP_012170929.1, XP_012170923.1	XP_021707148.1
OG0001119	XP_003398972.1, XP_012169129.1	XP_001648381.1
OG0001120	XP_003396813.1	XP_001661053.1
OG0001120	XP_003396815.1	XP_001650112.2
OG0001121	XP_012163127.1	XP_001652212.1, XP_021705915.1
OG0001122	XP_012172103.2	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001124	XP_012168157.1	XP_021710981.1
OG0001125	XP_003396616.1, XP_020719415.1	XP_001648386.2
OG0001126	XP_003397039.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	XP_003396375.1	XP_021702833.1
OG0001128	XP_012165573.1	XP_001656417.2
OG0001128	XP_020719571.1	XP_001654307.2
OG0001129	XP_003395954.1, XP_012164551.1	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	XP_020721883.1, XP_003400316.2, XP_012170922.1, XP_012170921.1, XP_020721882.1	XP_021693810.1
OG0001131	XP_020720749.1, XP_020720763.1	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1
OG0001132	XP_003394768.1	XP_001653441.1
OG0001134	XP_003400253.1	XP_021700926.1, XP_021700923.1
OG0001135	XP_003393299.1	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	XP_020724122.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1
OG0001138	XP_012169017.1, XP_003398913.1	XP_001655529.2
OG0001139	XP_020722728.1, XP_020722729.1	XP_021708606.1
OG0001140	XP_003402479.1, XP_012174082.1	XP_001654986.2
OG0001141	XP_012169554.1, XP_012169555.1	XP_001649333.2
OG0001142	XP_020721719.1, XP_003400015.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	XP_003398491.1	XP_001662313.1
OG0001144	XP_003401088.1, XP_003401087.1	XP_021713323.1
OG0001145	XP_003397437.1, XP_012166925.1	XP_001656860.2, XP_021695639.1
OG0001146	XP_020718965.1	XP_001660509.1
OG0001147	XP_003394869.1, XP_003394870.1	XP_021694950.1
OG0001148	XP_012169181.1, XP_020720975.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	XP_012169249.1	XP_021696025.1
OG0001150	XP_003395168.1	XP_021697593.1
OG0001151	XP_003398933.2	XP_021701521.1
OG0001152	XP_020720795.1	XP_001650532.2
OG0001153	XP_020718572.1, XP_020718573.1	XP_021702556.1
OG0001154	XP_020722635.1, XP_020722631.1	XP_021711748.1
OG0001155	XP_003393745.1	XP_021707527.1
OG0001156	XP_003398458.1, XP_012168191.1	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	XP_012167432.1, XP_003393317.1	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	XP_012165204.1	XP_021699270.1
OG0001159	XP_012168627.1	XP_021710638.1
OG0001160	XP_003394748.1	XP_001654460.1
OG0001161	XP_012171801.1	XP_001652572.1
OG0001162	XP_020718634.1	XP_021707175.1
OG0001164	XP_012168461.1	XP_021707691.1, XP_021707690.1, XP_021707689.1
OG0001165	XP_020720601.1	XP_021710995.1
OG0001166	XP_003397967.1, XP_012167688.1	XP_021700484.1
OG0001167	XP_003402307.1	XP_001661518.1
OG0001168	NP_001267850.1	XP_001655162.2
OG0001169	XP_020722015.1, XP_020722014.1, XP_020722016.1, XP_020722017.1	XP_021700392.1, XP_001663720.1
OG0001171	XP_020718338.1	XP_021694953.1
OG0001172	XP_003395441.1, XP_012163864.1	XP_021705744.1, XP_021705736.1
OG0001173	XP_003393427.1	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	XP_012172935.1, XP_012172927.1, XP_003399965.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	XP_012165146.1, XP_012165144.1, XP_012165145.1, XP_003396469.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	XP_003394064.1, XP_012175787.1, XP_012175784.1, XP_012175783.1	XP_021693845.1
OG0001179	XP_003398477.1	XP_021708724.1
OG0001180	XP_003399205.2, XP_012174888.2	XP_021706223.1, XP_001654740.2
OG0001181	XP_003395966.1, XP_012164569.1	XP_001647577.1
OG0001182	XP_020721072.1	XP_021711115.1, XP_021711128.1
OG0001183	XP_020724335.1, XP_012176045.1	XP_021696657.1
OG0001184	XP_012167179.1, XP_012167180.1	XP_001655214.2
OG0001185	XP_012170652.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	XP_012173098.1	XP_001654432.1
OG0001187	XP_012173234.1	XP_021711494.1
OG0001188	XP_020723109.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	XP_012171412.1, XP_012171409.1, XP_012171410.1, XP_003400540.1, XP_020722154.1, XP_012171411.1	XP_021711031.1
OG0001190	XP_020723233.1	XP_001649672.1, XP_021702492.1
OG0001191	XP_020722600.1, XP_012172269.2	XP_021704021.1, XP_001657314.2
OG0001193	XP_003402502.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001195	XP_012174482.1, XP_012174483.1, XP_012174481.1	XP_001649330.2, XP_021701388.1
OG0001197	XP_020724376.1	XP_001653258.1
OG0001198	XP_003402790.1	XP_001654561.1
OG0001199	XP_003396494.1	XP_001655189.2
OG0001202	XP_012168814.1, XP_012168813.1, XP_003398853.1	XP_001660281.2
OG0001203	XP_020723108.1, XP_020719109.1	XP_021695231.1, XP_021698954.1, XP_021698952.1
OG0001204	XP_003398523.1, XP_012168266.1	XP_021698471.1
OG0001205	XP_003401272.1, XP_003397505.1	XP_021703744.1
OG0001206	XP_020719584.1, XP_020719583.1	XP_021704907.1
OG0001207	XP_003399469.1	XP_021705398.1, XP_021705681.1
OG0001208	XP_003395596.2	XP_021706768.1
OG0001209	XP_012164791.1, XP_003396167.1, XP_003394307.2	XP_021712755.1
OG0001214	XP_012168850.1	XP_001655451.2
OG0001215	XP_012171568.1, XP_012171569.1, XP_012171570.1	XP_021697293.1, XP_021697294.1, XP_021697295.1
OG0001216	XP_003396598.1	XP_001653393.1
OG0001217	XP_003402161.1, XP_003402162.1	XP_001659205.1
OG0001218	XP_012164863.1	XP_001648941.1, XP_021705472.1
OG0001219	XP_003402120.1	XP_011493503.2
OG0001220	XP_003402131.1	XP_001663266.1
OG0001222	XP_003401278.1, XP_003401279.1	XP_021713412.1, XP_001655604.1, XP_001655603.1
OG0001223	XP_012174455.1, XP_003402784.1	XP_001648095.1
OG0001224	XP_020721593.1, XP_012170026.1	XP_001660440.2, XP_001658084.2
OG0001225	XP_003403096.1, XP_020723797.1	XP_001648371.1
OG0001226	XP_020720148.1	XP_001653501.2
OG0001227	XP_003403006.2, XP_012176665.1, XP_012176666.1	XP_021695961.1, XP_001663677.1, XP_021695960.1, XP_001663676.1
OG0001228	XP_020722496.1, XP_020722497.1	XP_021703910.1, XP_021703909.1
OG0001229	XP_012169549.1, XP_012169550.1, XP_012169548.1	XP_021704947.1
OG0001230	XP_012164091.1, XP_012164092.1	XP_001656889.1
OG0001231	XP_012170761.1	XP_021694672.1
OG0001231	XP_012170759.2	XP_001660051.2
OG0001232	XP_003396337.1	XP_021700838.1
OG0001233	XP_003394250.1, XP_012176077.1, XP_012176078.1, XP_012176080.1, XP_020724133.1, XP_012176076.1	XP_001654247.1, XP_021704697.1, XP_021704696.1
OG0001234	XP_003400135.1	XP_021706307.1
OG0001236	XP_003395337.1	XP_021698646.1, XP_021698645.1
OG0001237	XP_003398676.1	XP_021696524.1
OG0001238	XP_012175031.1, XP_012175018.1	XP_021711392.1, XP_021711407.1
OG0001239	XP_020721287.1, XP_012169630.1, XP_012169631.1, XP_003399301.1	XP_021710256.1
OG0001240	XP_012169673.1, XP_012169675.1, XP_012169674.1, XP_003399332.1, XP_012169676.1	XP_021700543.1
OG0001241	XP_012169133.1, XP_003398975.2	XP_021709960.1
OG0001242	XP_003396295.1, XP_003396294.1	XP_021695985.1
OG0001244	XP_003399056.1	XP_001653051.1
OG0001245	XP_003397683.1	XP_001649754.1, XP_021706031.1
OG0001246	XP_003402511.2, XP_020718493.1, XP_020718491.1, XP_020718492.1	XP_021703701.1
OG0001247	XP_003398289.1	XP_001658992.1
OG0001248	XP_020723117.1, XP_003401940.1, XP_020723118.1, XP_012173421.1, XP_020723119.1	XP_021703673.1
OG0001249	XP_003396741.1, XP_012165841.1	XP_001660617.1
OG0001250	XP_012175005.1	XP_001661045.2
OG0001251	XP_012174298.2, XP_020718432.1	XP_021695142.1, XP_021695149.1
OG0001252	XP_003401321.1	XP_001656430.1
OG0001253	XP_003398957.1	XP_001651542.2, XP_021696789.1, XP_021696788.1, XP_021696787.1
OG0001254	XP_003394275.1	XP_021705862.1
OG0001255	XP_003393279.1	XP_001647960.3
OG0001256	XP_003402977.1, XP_003402976.1	XP_021694943.1, XP_021694941.1
OG0001257	XP_003402810.1	XP_021693634.1, XP_011493676.1, XP_011493675.1
OG0001258	XP_012174118.1	XP_001652339.1, XP_021704024.1, XP_021704027.1
OG0001259	XP_012175313.1	XP_001653425.2
OG0001260	XP_012172727.1, XP_003401488.1	XP_001652317.1
OG0001261	XP_012167039.1	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1
OG0001262	XP_012173881.1, XP_020723284.1	XP_021711449.1
OG0001263	XP_012167104.1	XP_001658296.1
OG0001264	XP_012167378.1	XP_001657447.2
OG0001267	XP_012173255.1	XP_021705969.1, XP_021705968.1
OG0001267	XP_012173259.1	XP_001656717.2
OG0001268	XP_003400504.1, XP_020722149.1, XP_020721572.1	XP_021703813.1
OG0001269	XP_020719704.1, XP_020719701.1	XP_021710035.1
OG0001270	XP_003398248.1	XP_021705766.1, XP_021705767.1
OG0001271	XP_012171915.1	XP_021705424.1, XP_021705422.1, XP_021705423.1
OG0001272	XP_003397363.1	XP_001655854.1
OG0001273	XP_012164085.1	XP_021700130.1
OG0001274	XP_012164035.1	XP_001663402.2
OG0001277	XP_003402819.1	XP_021707020.1, XP_021707021.1
OG0001278	XP_012172501.1	XP_001651785.2
OG0001279	XP_012163562.1	XP_021694589.1
OG0001280	XP_020721905.1, XP_020721906.1, XP_012170836.1, XP_012170837.1, XP_012170834.1, XP_020721904.1	XP_001652945.1
OG0001281	XP_012167578.1	XP_021698661.1
OG0001282	XP_020720629.1	XP_021698670.1
OG0001283	XP_020719249.1, XP_020719246.1, XP_020719247.1, XP_020719248.1	XP_021697649.1
OG0001284	XP_020724339.1, XP_020724338.1	XP_021701396.1, XP_021701391.1
OG0001286	XP_020722304.1, XP_003400539.1, XP_012171443.1	XP_021703120.1
OG0001287	XP_012169150.1, XP_012169188.1, XP_012169155.1	XP_021707370.1, XP_021707349.1, XP_021707348.1
OG0001288	XP_003400433.1	XP_021706525.1, XP_001659242.1
OG0001289	XP_003397119.1	XP_021694157.1
OG0001290	XP_020722575.1, XP_020722573.1, XP_012172537.1, XP_020722574.1, XP_012172530.1, XP_012172528.1	XP_001660794.2, XP_021695080.1
OG0001291	XP_003399823.1	XP_001655206.2, XP_021712045.1
OG0001293	XP_003398070.1, XP_020720574.1, XP_020720575.1, XP_020720573.1	XP_001658202.2
OG0001294	XP_020722687.1, XP_012172280.1, XP_012172281.1, XP_003401144.1	XP_001662562.1, XP_021712306.1
OG0001295	XP_012167568.1	XP_001655925.2, XP_021699425.1
OG0001296	XP_012173736.1	XP_021696682.1, XP_021696702.1
OG0001298	XP_020720458.1, XP_003397436.1	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1
OG0001300	XP_003399532.1	XP_001650130.2
OG0001301	XP_012167003.1, XP_012167004.1, XP_012167001.1, XP_003397488.1	XP_021696109.1
OG0001302	XP_020719262.1	XP_021695397.1
OG0001302	XP_020719270.1	XP_021704073.1
OG0001303	XP_020723753.1, XP_020723764.1	XP_021709459.1, XP_021709460.1
OG0001304	XP_012172183.1, XP_012172182.1	XP_001649076.2
OG0001305	XP_020719538.1	XP_021696724.1
OG0001306	XP_012167990.1	XP_021705682.1
OG0001307	XP_020723092.1, XP_012173499.1	XP_021695213.1
OG0001308	XP_003403395.1	XP_021706251.1
OG0001310	XP_012164424.1, XP_003395288.1, XP_003395287.1	XP_001647946.2
OG0001312	XP_012173172.1, XP_012173171.1	XP_001654151.1
OG0001314	XP_012173675.1	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1
OG0001315	XP_003393383.1, XP_003393384.1	XP_001663877.1, XP_021699529.1
OG0001316	XP_020719664.1, XP_003393487.1	XP_021698705.1
OG0001317	XP_012163614.1	XP_021699168.1
OG0001318	XP_012167356.1	XP_021702414.1
OG0001319	XP_012176727.1	XP_021704855.1
OG0001320	XP_020721649.1, XP_003399529.1	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1
OG0001321	XP_003401699.1, XP_012173059.1, XP_012173058.1, XP_012173061.1, XP_012173060.1, XP_012173062.1, XP_020722867.1	XP_021710244.1
OG0001322	XP_020718696.1, XP_003395455.1, XP_003395454.1, XP_012163888.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001328	XP_003398532.1	XP_021709467.1
OG0001329	XP_003396674.1	XP_001657589.2
OG0001330	XP_012174141.1, XP_012174139.1, XP_003402412.1, XP_012174140.1	XP_001652750.1
OG0001331	XP_012174989.1, XP_003401741.1	XP_001654299.1
OG0001332	XP_003399692.1	XP_001652269.1
OG0001333	XP_012167648.1	XP_001651256.1
OG0001334	XP_003396830.1, XP_003396833.1, XP_003396832.1	XP_001650222.1, XP_001654443.1
OG0001335	XP_012168103.1, XP_003398388.1	XP_001649624.2, XP_001649625.2
OG0001336	XP_003398724.1, XP_012168729.1, XP_012168730.1	XP_021703688.1, XP_021703684.1
OG0001337	XP_012165951.1	XP_021707110.1
OG0001338	XP_003399107.1, XP_012169339.1, XP_012169340.1	XP_001660476.2
OG0001339	XP_012176348.1	XP_001654036.2
OG0001340	XP_003398713.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	XP_020720549.1	XP_021695378.1
OG0001342	XP_003393794.1	XP_021707182.1
OG0001343	XP_003400883.1, XP_012171660.1, XP_003400869.1	XP_001662179.2
OG0001344	XP_020720468.1, XP_020720469.1, XP_003397501.1	XP_021699741.1, XP_021699742.1, XP_021699744.1, XP_001658638.2, XP_021699743.1
OG0001345	XP_003395860.1, XP_012164396.1	XP_001661090.1
OG0001346	XP_012173237.1	XP_001648900.1, XP_021707707.1
OG0001347	XP_003402828.1	XP_001659204.1
OG0001348	XP_020723739.1, XP_003403220.1	XP_001661832.1
OG0001349	XP_003401462.1	XP_001654544.1
OG0001350	XP_012172004.1	XP_001655317.2
OG0001351	XP_020722689.1, XP_020722688.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_003403023.2, XP_020721736.1	XP_021705226.1
OG0001353	XP_003398012.1	XP_001656906.2
OG0001354	XP_012164101.1, XP_012164102.1, XP_012164099.1, XP_020718882.1, XP_020718883.1	XP_001663103.2
OG0001355	XP_003400362.1	XP_021710337.1
OG0001356	XP_003395933.1	XP_021696915.1
OG0001357	XP_020719402.1, XP_012165269.1, XP_003396304.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_012170120.1	XP_001655316.1
OG0001361	XP_020718847.1, XP_012170400.1, XP_020721674.1	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	XP_003395430.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	XP_020720328.1	XP_001659788.1
OG0001364	XP_012163097.1	XP_021704232.1
OG0001365	XP_012169223.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001366	XP_020718835.1	XP_001659892.2
OG0001367	XP_012168910.1	XP_001648364.2, XP_001657924.1, XP_001654932.2, XP_001654934.2, XP_001660482.1, XP_001660484.1, XP_001660483.1, XP_021701594.1, XP_001657925.2
OG0001368	XP_020720007.1, XP_003397626.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_020719634.1	XP_001661015.2
OG0001370	XP_003396421.1, XP_012165453.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_003396087.1, XP_012164771.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	XP_012164475.1, XP_012164477.1	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	XP_012168781.1	XP_021694453.1
OG0001374	XP_020722346.1	XP_001657485.1
OG0001375	XP_003399211.3, XP_003398956.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_012173351.1, XP_003402078.1	XP_021704527.1
OG0001377	XP_012170811.1, XP_012170812.1, XP_003400191.1, XP_003400190.1	XP_001664237.1
OG0001378	XP_012165673.1, XP_012165674.1, XP_012165675.1, XP_012165676.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_012167520.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_003402866.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_003393248.1	XP_001648807.1
OG0001382	XP_003397478.2	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_012168893.1	XP_001662373.2
OG0001384	XP_012169115.1, XP_012169114.1, XP_003398965.1	XP_001660023.2
OG0001385	XP_003395388.1	XP_021698595.1
OG0001386	XP_012163760.1, XP_003395301.1	XP_021698247.1
OG0001387	XP_012173529.1	XP_001656936.1
OG0001388	XP_012169807.1, XP_012169804.1, XP_012169803.1, XP_012169802.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_020719175.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_012170950.1	XP_021700843.1
OG0001391	XP_020720476.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_020720085.1, XP_012168018.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	XP_003396669.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_012166244.1	XP_001650424.1
OG0001395	XP_012171081.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_020719715.1, XP_003393199.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_003397629.1, XP_020720213.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_020724226.1, XP_012175862.1, XP_012175860.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_012164033.1	XP_001651707.1
OG0001400	XP_012175093.1, XP_012175100.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_003401536.1, XP_012172796.1, XP_012172797.1	XP_001660577.1
OG0001402	XP_020720808.1, XP_003398486.1	XP_001664062.1
OG0001403	XP_012167434.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_012169320.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_012172468.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_003395194.1, XP_012163648.1, XP_012163647.1	XP_021712670.1
OG0001407	XP_003396369.1, XP_012165352.1	XP_021704231.1, XP_021704230.1
OG0001408	XP_003397685.1	XP_021713401.1
OG0001409	XP_012174454.1, XP_020723544.1	XP_021711099.1
OG0001410	XP_003401764.1	XP_021708563.1
OG0001413	XP_003397220.1, XP_012166565.1	XP_021694446.1
OG0001414	XP_012166970.1	XP_021702146.1
OG0001415	XP_020719674.1, XP_020719671.1, XP_020719675.1	XP_021699093.1
OG0001416	XP_012165008.1, XP_012164998.1	XP_021712252.1, XP_021700673.1
OG0001417	XP_012169107.1, XP_012169108.1	XP_021695666.1
OG0001418	XP_012163163.1	XP_021702027.1
OG0001419	XP_020720226.1	XP_021703807.1
OG0001420	XP_003393869.1	XP_001655783.1, XP_001652599.2
OG0001421	XP_012164728.1, XP_020718987.1, XP_012164727.1, XP_012164592.1	XP_001657115.1
OG0001422	XP_020719307.1	XP_001650075.2
OG0001423	XP_012165500.1	XP_001659271.2
OG0001424	XP_003402316.1	XP_001648513.1
OG0001425	XP_003392892.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_020721936.1, XP_012171027.1, XP_003400252.1	XP_021701495.1
OG0001427	XP_003393315.1	XP_001660203.1
OG0001428	XP_012164126.1, XP_012164129.1, XP_012164128.1, XP_012164127.1, XP_012164125.1	XP_001647790.2
OG0001429	XP_012167652.1	XP_001650121.1
OG0001430	XP_020722429.1	XP_001654175.2, XP_021708114.1
OG0001432	XP_003399605.3	XP_021708580.1, XP_001660017.2, XP_021708611.1, XP_021708613.1, XP_021708608.1, XP_001663217.2
OG0001433	XP_003403108.1	XP_001662331.2
OG0001434	XP_003393532.1	XP_001663415.1
OG0001436	XP_012171515.1, XP_003400563.1	XP_021697897.1
OG0001437	XP_003399945.1	XP_021700178.1
