Orthogroup	Bombus_terrestris	Tribolium_castaneum
OG0002916	XP_012172268.1, XP_012172267.1, XP_020722408.1	XP_971314.1
OG0002917	XP_012164462.1, XP_012164461.1, XP_012164460.1, XP_012164459.1	XP_971109.1
OG0002918	XP_003397444.1, XP_012166929.1, XP_012166928.1	XP_008195562.1
OG0002919	XP_003398361.1	XP_968134.1
OG0002920	XP_003397407.1	XP_967339.1
OG0002921	XP_012172998.1	XP_008199633.1
OG0002922	XP_012172790.1, XP_012172791.1	XP_974971.2
OG0002923	XP_012164789.1	XP_973356.1
OG0002924	XP_012169344.1	XP_008197246.1
OG0002925	XP_003402338.1	XP_015837134.1, XP_015837124.1, XP_015837128.1
OG0002926	XP_012174462.1	XP_973848.1
OG0002927	XP_012174258.1	XP_975191.1
OG0002928	XP_003397854.1	XP_015835493.1, XP_972608.2
OG0002929	XP_003396587.1, XP_012165601.1, XP_012165600.1	XP_966451.1
OG0002930	XP_003394588.1	XP_971767.1, XP_015839117.1
OG0002931	XP_012175624.1	XP_971123.1
OG0002932	XP_012174893.1, XP_003393812.1	XP_970586.3
OG0002933	XP_020718761.1, XP_012164465.1, XP_012164464.1	XP_971686.1
OG0002934	XP_012164412.1	XP_001808932.1
OG0002935	XP_003402417.1	XP_966535.1
OG0002936	XP_003401063.1	XP_968375.1
OG0002937	XP_020721887.1	XP_015837075.1, XP_008196234.1
OG0002938	XP_012164574.1	NP_001153712.1, XP_970103.1, XP_008198733.1
OG0002939	XP_012169231.1	XP_970341.2, XP_969744.1
OG0002940	XP_003402302.2	XP_967518.1
OG0002941	XP_003396165.1	XP_008191592.1
OG0002942	XP_020723517.1	XP_008192852.1
OG0002943	XP_020720490.1	XP_967379.1
OG0002945	XP_012164184.1	XP_008193685.1
OG0002946	XP_003396063.1	XP_015839624.1, NP_001034527.2
OG0002947	XP_003396946.1	XP_968632.1
OG0002948	XP_003394562.1	XP_968514.1
OG0002949	XP_003398587.1, XP_020720830.1, XP_020720831.1	XP_015840368.1, XP_015840369.1, XP_015840367.1
OG0002950	XP_003401468.1	XP_975124.1
OG0002951	XP_003400807.1	XP_973208.1
OG0002952	XP_003401504.1, XP_012172757.1	XP_969259.1
OG0002953	XP_020721007.1	XP_973247.1
OG0002954	XP_012167363.1	XP_008193490.1, XP_008193491.1, XP_008193492.1
OG0002955	XP_012174967.1	XP_974255.1
OG0002956	XP_003396661.1	XP_001812254.1
OG0002957	XP_012171091.1	XP_008197969.1, XP_008197968.1
OG0002958	XP_012169677.1	XP_008201672.1
OG0002959	XP_003396016.1	XP_973512.1
OG0002960	XP_003393694.2	XP_008190421.1
OG0002962	XP_003394506.1	XP_971334.1
OG0002963	XP_003396049.1	XP_966987.1
OG0002964	XP_012172996.1, XP_003401922.1	XP_008194284.1, XP_001812575.1
OG0002965	XP_003395840.1, XP_012164371.1	XP_008199978.1
OG0002966	XP_012171935.1	XP_966746.1
OG0002967	XP_003401693.1	XP_968083.1
OG0002968	XP_003397961.1, XP_012167678.1	XP_975149.1
OG0002969	XP_003400197.1	XP_008200286.1
OG0002970	XP_003401395.3	XP_970608.1
OG0002971	XP_012174977.1	XP_008193235.1
OG0002972	XP_003398787.1	XP_971067.1
OG0002973	XP_003396964.1	XP_968652.1, XP_008197952.1, XP_008198697.1
OG0002974	XP_003401708.1	XP_971387.1
OG0002975	XP_003398586.1	XP_015833994.1
OG0002976	XP_012169457.1	XP_008197135.1
OG0002977	XP_020719837.1, XP_020719834.1, XP_003397147.1, XP_020719835.1, XP_020719836.1	XP_008196074.1
OG0002978	XP_003401713.1	NP_001161900.1
OG0002979	XP_003396579.1	NP_001107796.2
OG0002980	XP_020719383.1	XP_015833187.1, XP_008190779.1, XP_008190778.1, XP_008190777.1, XP_001812033.2
OG0002981	XP_020718831.1	XP_015836981.1
OG0002982	XP_003393227.2	XP_971536.1
OG0002983	XP_012176693.1	XP_008195309.1, XP_008195310.1, XP_971641.1, XP_008195311.1
OG0002984	XP_003397467.1	XP_972775.2
OG0002985	XP_020723318.1	XP_008197598.1
OG0002986	XP_003394370.1	XP_971564.1
OG0002987	XP_020723409.1, XP_003402491.1, XP_012174097.1, XP_012174095.1	XP_971325.1
OG0002988	XP_003398844.2	XP_008191412.1
OG0002989	XP_003393721.2	XP_015838646.1, XP_008197620.1
OG0002990	XP_020722122.1	XP_974791.2
OG0002991	XP_012170308.1, XP_003399755.1, XP_020721630.1	XP_974375.1
OG0002992	XP_020723005.1, XP_020723001.1	XP_008193254.1
OG0002993	XP_012166118.1, XP_012166113.1	XP_015835426.1, XP_015835427.1
OG0002994	XP_003395130.1, XP_012163575.1	XP_015833497.1
OG0002995	XP_003402520.1	XP_971006.2
OG0002996	XP_020723006.1, XP_012173239.1	XP_015835711.1
OG0002997	XP_003399460.2	XP_968685.1
OG0002998	XP_003398405.1	XP_008191099.1
OG0002999	XP_012168095.1	XP_008200251.1
OG0003000	XP_012166762.1	XP_015836343.1, XP_972541.1
OG0003001	XP_003399558.1	XP_969528.1
OG0003002	XP_003397872.1	NP_001164127.1
OG0003003	XP_003393778.1	XP_975457.2
OG0003005	XP_020718888.1	XP_971882.1, XP_970715.3
OG0003006	XP_003400388.1	XP_008191263.1
OG0003007	XP_003396554.1	XP_015833498.1
OG0003008	XP_012163822.1	XP_008195991.1, XP_975599.1
OG0003009	XP_020723780.1	XP_008192959.1
OG0003010	XP_003401698.1	XP_008197655.1
OG0003011	XP_012164281.1	XP_008192724.1
OG0003012	XP_020722313.1, XP_012174843.1	XP_008192101.1
OG0003013	XP_003396909.1	XP_966719.1
OG0003014	XP_012168851.1	XP_008197497.1
OG0003015	XP_012163887.1, XP_012163884.1, XP_012163886.1, XP_012163885.1	XP_008195520.1
OG0003016	XP_012163072.1	XP_973305.1
OG0003017	XP_012169750.1	XP_008195600.1, XP_008195599.1
OG0003018	XP_003402816.1, XP_012174653.1	XP_974982.1
OG0003019	XP_003403033.1	XP_969861.1
OG0003020	XP_003394620.1	XP_973052.1
OG0003021	XP_012164268.1	XP_975363.2
OG0003022	XP_020719753.1, XP_012166333.1	XP_973994.1
OG0003023	XP_020722032.1, XP_012171377.1, XP_012171376.1	XP_001813626.1
OG0003024	XP_003400924.1	XP_015833659.1
OG0003025	XP_003394230.2	XP_972981.1
OG0003026	XP_003398461.1	XP_972566.1
OG0003027	XP_012173107.1	XP_015838651.1
OG0003028	XP_012163944.1	XP_008194298.1, XP_001812950.1
OG0003029	XP_012176628.1	XP_008190328.1
OG0003030	XP_012172870.1	XP_975125.2
OG0003031	XP_003400893.1	XP_008196999.1
OG0003032	XP_003401298.1	XP_015839253.1
OG0003033	XP_003396389.1	XP_968535.1
OG0003034	XP_003392963.1	XP_974218.2
OG0003036	XP_003400722.1, XP_012171638.1	XP_008194592.1, XP_970862.2
OG0003037	XP_012176397.1	XP_015839026.1
OG0003038	XP_003400089.1	XP_008193747.1
OG0003039	XP_003399535.1	XP_971048.1
OG0003040	XP_012163391.2	XP_015839356.1
OG0003041	XP_012164476.1	XP_008191372.1
OG0003042	XP_003402127.1	XP_971724.1
OG0003043	XP_012175004.1	XP_967869.2
OG0003044	XP_003393287.1	XP_001807073.1
OG0003045	XP_012171052.1	XP_008200038.1, XP_008200039.1
OG0003046	XP_012165224.1, XP_012165225.1, XP_012165222.1, XP_012165223.1, XP_012165221.1	XP_015833349.1
OG0003047	XP_012165799.1	XP_015838534.1, XP_008197381.1
OG0003048	XP_003402894.2	XP_967403.1
OG0003049	XP_020719210.1, XP_012165919.1	XP_973522.1
OG0003050	XP_012166917.1	XP_008193695.1
OG0003051	XP_012163063.1	XP_015837348.1
OG0003052	XP_003401572.1	XP_008201218.1
OG0003053	XP_003402687.1	XP_967643.1
OG0003054	XP_012168855.1	XP_969567.1
OG0003055	XP_003394352.1	XP_008196693.1
OG0003056	XP_003395990.1	XP_008198127.1
OG0003057	XP_003394585.1	XP_974835.2
OG0003058	XP_003401054.1	XP_968713.1
OG0003059	XP_020724234.1, XP_003395691.1	XP_966518.1
OG0003060	XP_003400396.1	XP_008200870.2, XP_968936.1
OG0003061	XP_003394115.1	XP_973479.1
OG0003062	XP_003396791.1	XP_972999.1
OG0003063	XP_003394859.1	XP_015836272.1
OG0003064	XP_012169523.1, XP_003399319.1	XP_969590.2
OG0003065	XP_003394197.1	XP_966833.1
OG0003066	XP_012165634.1	XP_970506.1, XP_974092.1, XP_015832971.1, XP_974064.1
OG0003067	XP_012169408.1, XP_020721086.1, XP_012169404.1, XP_003399138.1	XP_008192697.1
OG0003068	XP_012172373.1	XP_008200645.1, XP_969017.1
OG0003069	XP_003398923.1	XP_015834280.1
OG0003070	XP_003395416.3	XP_008192180.1
OG0003071	XP_012167070.1, XP_012167069.1, XP_012167071.1, XP_012167072.1	XP_969975.2
OG0003072	XP_003401079.1	XP_008199895.1
OG0003073	XP_003401439.1	XP_008201513.1
OG0003074	XP_012165403.1	XP_969137.2, XP_015839029.1, XP_015839030.1
OG0003075	XP_003393104.1	XP_015833074.1
OG0003076	XP_020718402.1	XP_967512.2, XP_008193532.1
OG0003077	XP_012170159.1	XP_974817.2
OG0003078	XP_012170144.1	XP_971651.1
OG0003079	XP_003400612.1	XP_968302.2
OG0003080	XP_003402552.1	XP_001813975.1
OG0003081	XP_012176317.1	XP_974175.1
OG0003082	XP_020724191.1, XP_012176184.1	XP_015832945.1
OG0003083	XP_020719174.1	XP_008190400.1
OG0003084	XP_003402692.1, XP_020723497.1	XP_015838142.1, XP_015838143.1, XP_015838144.1
OG0003085	XP_020723393.1	XP_015834790.1
OG0003086	XP_020722251.1	XP_008194448.1
OG0003088	XP_003395481.3	XP_008195799.1
OG0003089	XP_012171591.1	XP_008196791.1, XP_008196792.1
OG0003090	XP_003400918.1	XP_008197061.1
OG0003091	XP_012174721.1	XP_008200962.1
OG0003092	XP_003397482.2	XP_968011.1
OG0003093	XP_003394493.2, XP_012176320.1	XP_008196860.1
OG0003094	XP_003397937.1	XP_008192299.1, XP_975619.1
OG0003095	XP_020718978.1	XP_008201525.1
OG0003096	XP_012175080.1	XP_008192841.1
OG0003097	XP_012174974.1	XP_971757.2
OG0003098	XP_003395699.1	XP_972614.1
OG0003099	XP_012174189.1	NP_001280512.1
OG0003100	XP_020724016.1	XP_008191588.1
OG0003101	XP_012166396.1	XP_970736.2
OG0003102	XP_012169981.1	XP_015835515.1, XP_015835514.1, XP_015835516.1
OG0003103	XP_020719339.1	XP_971115.1
OG0003105	XP_012172223.1, XP_020722679.1, XP_003401100.1	XP_008195881.1
OG0003106	XP_012166629.1	XP_015840972.1
OG0003107	XP_003399203.1	XP_008194345.1
OG0003108	XP_020722551.1	XP_966868.1
OG0003109	XP_020719157.1	XP_015840711.1
OG0003110	XP_003396358.1, XP_020719271.1, XP_012165342.1, XP_012165341.1	XP_001807591.1
OG0003111	XP_012165661.1, XP_012165660.1	XP_008190934.1
OG0003112	XP_012175062.1	XP_974678.1
OG0003113	XP_003396750.1	XP_008195004.1
OG0003114	XP_012166789.1	XP_966739.2
OG0003115	XP_012163341.1	XP_008196359.1
OG0003116	XP_003398381.1, XP_012168101.1, XP_012168100.1, XP_012168099.1	XP_973172.1
OG0003118	XP_003399123.1	XP_970590.1, XP_008192966.1
OG0003119	XP_012166972.1, XP_012166974.1, XP_012166973.1, XP_012166975.1	XP_974896.1, XP_008195850.1
OG0003120	XP_003402633.1	XP_972872.1
OG0003121	XP_012172171.1, XP_012172170.1	XP_001812334.1
OG0003122	XP_012174572.1	XP_971739.1
OG0003123	XP_003399629.1	XP_971630.1
OG0003124	XP_003394189.1, XP_012175968.1, XP_020724189.1	XP_968473.1
OG0003125	XP_012175372.1	XP_972454.1
OG0003126	XP_012166055.1	XP_008200566.1
OG0003127	XP_003395513.1	XP_015837413.1
OG0003128	XP_012168807.1, XP_012168921.1, XP_003392885.1	XP_970842.1
OG0003129	XP_020719319.1, XP_020719320.1	XP_008192563.1, XP_008192567.1
OG0003130	XP_003393558.1	XP_015833761.1
OG0003131	XP_003395711.1	XP_015840602.1
OG0003132	XP_020723785.1	XP_015836476.1
OG0003133	XP_003399751.2	XP_015833828.1
OG0003134	XP_020724054.1	XP_008190997.1
OG0003135	XP_012166489.1	XP_971031.1
OG0003136	XP_012171268.1	XP_970142.1
OG0003137	XP_003398753.1	XP_967733.1
OG0003138	XP_003402595.2, XP_012175849.2	XP_015840286.1
OG0003139	XP_012175769.1	XP_966439.1
OG0003140	XP_003393316.1	XP_972507.2
OG0003141	XP_003393931.1	XP_015840515.1
OG0003142	XP_012163945.1	XP_008195449.1, XP_008195448.1, XP_974516.2
OG0003144	XP_020723911.1	XP_015835152.1, NP_001164096.1
OG0003145	XP_003394305.1	XP_008194838.1
OG0003146	XP_003395087.1	XP_008200813.1
OG0003147	XP_003397289.2	XP_008200559.1
OG0003148	XP_012174993.1	XP_975051.1, XP_008192151.1, XP_008192150.1
OG0003149	XP_020720694.1	XP_008195930.1
OG0003150	XP_003395583.1	XP_971373.1
OG0003151	XP_020718638.1	XP_008193476.1
OG0003152	XP_012165388.1	XP_015840198.1
OG0003153	XP_003399779.1	XP_015836700.1
OG0003154	XP_012171817.1	XP_015834456.1
OG0003155	XP_003395610.1	XP_015836826.1, XP_015836827.1
OG0003156	XP_020720106.1	XP_970628.2, XP_008192816.1
OG0003157	XP_003403175.1	XP_008193555.1
OG0003158	XP_012173863.1	XP_008192943.1
OG0003159	XP_003393062.1	XP_008192439.1
OG0003160	XP_012171757.1, XP_020722280.1	XP_015838465.1
OG0003161	XP_012175868.1	XP_015832940.1
OG0003162	XP_020724227.1	XP_008199099.1
OG0003163	XP_003393197.1	XP_008199839.1
OG0003164	XP_003395098.1, XP_012163531.1	XP_015839860.1
OG0003165	XP_003394554.3	XP_972219.1
OG0003166	XP_020718393.1, XP_012176761.1, XP_003394848.1	XP_972918.1
OG0003167	XP_003394942.1	XP_969621.2
OG0003168	XP_003398261.1	XP_008194089.1
OG0003169	XP_003394029.1	XP_974447.1
OG0003170	XP_012176639.1	XP_008195512.1
OG0003171	XP_012165782.1, XP_020719235.1	XP_008196499.1
OG0003172	XP_003402703.1	XP_015837722.1
OG0003173	XP_003401927.1, XP_003402101.1, XP_012173400.1	XP_974657.1
OG0003174	XP_012171061.1, XP_012171050.1	XP_015834210.1
OG0003175	XP_003402300.1	XP_015839667.1, XP_008195361.2
OG0003176	XP_020721991.1	XP_008197063.1
OG0003177	XP_003393551.1, XP_012170409.1	XP_972573.1
OG0003178	XP_003398916.1, XP_020721317.1	XP_008191209.1
OG0003179	XP_012165532.1	XP_015833277.1, XP_974036.1
OG0003180	XP_012165456.1, XP_012165455.1	XP_971969.2
OG0003181	XP_012164782.1	XP_008195655.1
OG0003182	XP_003393150.1	XP_015833524.1
OG0003183	XP_012170448.1	XP_008195336.1
OG0003184	XP_003400667.1	XP_015840386.1
OG0003185	XP_003397346.1	XP_015840845.1
OG0003187	XP_003397890.1	XP_974457.2
OG0003188	XP_003398479.2	XP_008200077.1
OG0003189	XP_020721986.1, XP_020721987.1	XP_015835756.1, XP_015835757.1, XP_008193949.1
OG0003190	XP_020724135.1	XP_015839153.1
OG0003191	XP_012174582.1	XP_015839270.1
OG0003192	XP_012172198.1, XP_012172190.1, XP_012172177.1, XP_020724038.1, XP_012172215.1	XP_008196202.1
OG0003193	XP_012168066.1	XP_015837056.1
OG0003194	XP_012167923.1	XP_015834747.1
OG0003195	XP_003401207.1	XP_008194574.1
OG0003196	XP_012171928.1	XP_015837650.1
OG0003197	XP_012168859.1	XP_008199987.1, XP_008199986.1
OG0003198	XP_012175802.1	XP_974582.1
OG0003199	XP_012163427.1	XP_015840449.1
OG0003200	XP_020721835.1, XP_020721823.1	XP_015838961.1
OG0003201	XP_020719548.1	XP_008200292.1
OG0003202	XP_020722436.1	XP_015838571.1, XP_015838562.1, XP_015838568.1
OG0003203	XP_020718870.1	XP_967293.1
OG0003204	XP_012173555.1	XP_969356.1, XP_008197981.1
OG0003205	XP_020721967.1, XP_003400228.1	XP_971933.1, XP_008198232.1
OG0003206	XP_012172321.1	XP_008198470.1, NP_001280520.1
OG0003207	XP_020720394.1	XP_015839421.1
OG0003208	XP_003394032.1	XP_975099.1
OG0003209	XP_012173683.1	XP_015839890.1
OG0003210	XP_003393282.1, XP_012166843.1	XP_015837008.1, XP_015837009.1, XP_015837010.1, XP_015837011.1
OG0003211	XP_012167383.1	XP_001810887.1, XP_015835565.1
OG0003212	XP_012175311.1	XP_008191000.1
OG0003213	XP_012171117.1	XP_015837493.1
OG0003214	XP_012169509.1	XP_968279.3
OG0003215	XP_003399045.1	XP_008199287.1
OG0003218	XP_003401718.1	XP_008192192.1, XP_015834693.1
OG0003220	XP_003399377.1, XP_012169758.1	XP_008199225.1
OG0003221	XP_012166942.1, XP_003397454.1	XP_972306.2
OG0003222	XP_012173316.1, XP_003403389.2	XP_969428.1
OG0003225	XP_003395707.1	XP_976228.2
OG0003226	XP_020722064.1	XP_008201510.1
OG0003227	XP_020722194.1	XP_008191710.1
OG0003228	XP_012168474.1	XP_008201374.1, XP_971186.1, XP_015837578.1, XP_015840779.1
OG0003229	XP_003399948.1	XP_976341.1
OG0003230	XP_012168183.1	XP_015834670.1, XP_968051.2
OG0003231	XP_003400916.1	XP_015837752.1
OG0003232	XP_012169730.1	NP_001104011.1
OG0003234	XP_012170688.1, XP_003400076.2	XP_015836118.1
OG0003235	XP_020720842.1	XP_008193850.1, XP_969309.1
OG0003237	XP_012163641.1	XP_008201440.1
OG0003238	XP_020723630.1	XP_969297.1
OG0003239	XP_020722240.1, XP_012171331.1	XP_970663.1, XP_008193938.1
OG0003240	XP_020723041.1, XP_012173345.1, XP_012173338.1, XP_012173342.1, XP_020723042.1	XP_008198889.1
OG0003241	XP_012172510.1	XP_975837.2, XP_015833070.1
OG0003242	XP_003399683.1	XP_008199325.1, XP_970274.2, XP_008199324.1
OG0003243	XP_012167873.1	XP_008200437.1
OG0003244	XP_020720806.1	XP_008197607.2
OG0003245	XP_012169030.1	XP_008194155.1
OG0003246	XP_020721711.1	XP_015835535.1
OG0003247	XP_003400037.3	XP_975142.1
OG0003248	XP_020720004.1, XP_020720003.1	XP_015835083.1, XP_015835086.1
OG0003249	XP_012164068.1	XP_008193783.1
OG0003250	XP_003401476.1	XP_008197205.1, XP_008201356.1
OG0003252	XP_003399281.1, XP_020721078.1, XP_020721079.1, XP_020721080.1, XP_012169585.1, XP_012169587.1, XP_020721081.1	XP_008200606.1
OG0003256	XP_012172989.1, XP_003401913.1	XP_001810875.1
OG0003257	XP_012176591.1	XP_008195048.1
OG0003258	XP_003401696.1	XP_008200973.1
OG0003259	XP_003401923.1	XP_008191018.2, XP_966599.2
OG0003261	XP_003396410.1, XP_012165445.1	XP_015838182.1, XP_015838180.1, XP_015838181.1, XP_008196714.1, XP_008196715.1, XP_008196711.1, XP_008196712.1, XP_015838179.1
OG0003262	XP_003396975.1	XP_970781.1
OG0003263	XP_003394796.1	XP_973546.1
OG0003264	XP_003400614.1	NP_001164361.1
OG0003265	XP_003396232.1	XP_008201651.1
OG0003266	XP_003402411.1	XP_015837390.1
OG0003267	XP_003395308.1	NP_001128195.1, XP_008195704.1
OG0003268	XP_003395962.1	XP_974659.1
OG0003269	XP_003393065.1	XP_969612.1
OG0003270	XP_003398424.1	XP_969846.1, XP_008193934.1
OG0003271	XP_012166255.1	XP_968889.1
OG0003272	XP_003394721.1	XP_968917.1
OG0003273	XP_003399020.1	XP_973278.2
OG0003274	XP_003395627.1	XP_015836483.1, XP_015834685.1
OG0003275	XP_012163102.1	XP_975066.2
OG0003276	XP_020724051.1	XP_008192336.1
OG0003277	XP_012174522.1	XP_973249.1
OG0003279	XP_003396570.1	XP_971430.1, XP_008199556.1
OG0003280	XP_003395540.2	XP_008198200.1
OG0003281	XP_003400289.1, XP_020721778.1	XP_974741.2
OG0003282	XP_012169609.1	XP_015835098.1, XP_971662.1, XP_015835095.1
OG0003283	XP_003401934.1, XP_003401935.1, XP_012173413.1, XP_012173412.1	XP_970867.1, XP_972271.1
OG0003284	XP_012174283.1, XP_003402591.1	XP_008190551.1
OG0003285	XP_012170222.1	XP_968042.1
OG0003286	XP_003399167.1	XP_970538.1
OG0003287	XP_003394981.1	XP_008192103.1, XP_008192102.1
OG0003288	XP_003395604.1	XP_975411.1
OG0003289	XP_003403165.1	NP_001164139.1, XP_008200420.1
OG0003290	XP_012164907.1	XP_967987.1
OG0003291	XP_012171025.1	XP_008195736.1
OG0003292	XP_012165932.1	XP_967415.1
OG0003293	XP_012164077.1	XP_008196397.1
OG0003294	XP_003394464.2, XP_012176399.1	XP_975631.1
OG0003295	XP_012165323.1	XP_967504.2
OG0003296	XP_003398169.1	XP_008197505.1
OG0003297	XP_012165288.1, XP_012165287.1	XP_973895.1
OG0003298	XP_020719091.1, XP_020719092.1, XP_012164920.1, XP_012164919.1, XP_003396079.1	XP_008192926.1
OG0003299	XP_012163246.1	XP_971498.1
OG0003300	XP_003402401.1	XP_973654.2
OG0003301	XP_003403026.3	XP_008192687.1, XP_967031.1
OG0003302	XP_020722174.1, XP_003400746.1, XP_012171666.1	XP_968462.1
OG0003303	XP_012170608.1	NP_001106933.1, XP_008194040.1
OG0003304	XP_012169521.1	XP_008191927.1, XP_008191926.1
OG0003305	XP_003401716.1	XP_966576.1
OG0003306	XP_012175654.1	XP_969661.1
OG0003307	XP_003398200.1	XP_008192922.1
OG0003308	XP_003402121.1	XP_972659.1
OG0003309	XP_012167060.1	XP_008199043.1, XP_968923.1
OG0003311	XP_003402825.1	XP_973274.1
OG0003312	XP_003396836.1	XP_008197403.1
OG0003313	XP_003400267.1, XP_003400266.1	XP_974197.1
OG0003314	XP_003399004.1	XP_008195843.1
OG0003315	XP_020721944.1, XP_012171026.1, XP_003400257.1	XP_970389.1, XP_008195730.1
OG0003316	XP_003398472.3	XP_015835823.1
OG0003317	XP_003399346.1	XP_015835675.1
OG0003318	XP_012165037.1	XP_972119.1
OG0003319	XP_003402973.1	XP_970045.1
OG0003320	XP_012168219.1, XP_003398487.1	XP_969230.1
OG0003321	XP_003394413.1	XP_972780.1
OG0003322	XP_012169824.1	XP_008199414.1
OG0003323	XP_003398367.2	XP_974433.1
OG0003324	XP_003394516.1	XP_015840379.1
OG0003325	XP_003393834.1	XP_008196032.1
OG0003326	XP_003393945.1	XP_972459.1
OG0003327	XP_003394613.1	NP_001153782.1, XP_968093.1
OG0003328	XP_012170302.2	XP_973113.1
OG0003329	XP_003402522.2	XP_968639.1
OG0003330	XP_020722379.1	XP_015837793.1
OG0003331	XP_012163342.1	XP_008197836.1
OG0003332	XP_003397236.1	XP_967369.1
OG0003333	XP_012165599.1	XP_008191503.1
OG0003334	XP_012168221.1	XP_971340.1
OG0003335	XP_003399725.1	XP_008198099.1
OG0003336	XP_012173983.1	XP_969755.2
OG0003337	XP_003397616.1	XP_974141.2
OG0003339	XP_003397378.2	XP_015833860.1
OG0003340	XP_020720961.1	XP_015839037.1
OG0003341	XP_012175821.1	XP_008199407.1
OG0003342	XP_012171940.2	XP_008196629.1
OG0003343	XP_020722536.1, XP_012172667.1, XP_020722535.1	NP_001107837.1, XP_015832928.1
OG0003344	XP_003402169.1, XP_012173723.1	XP_969878.1
OG0003345	XP_003398987.1	XP_015839239.1
OG0003346	XP_020723225.1	XP_008201244.1, NP_001034519.1
OG0003347	XP_012163635.1	XP_974775.1
OG0003348	XP_012166030.1	XP_008191111.1
OG0003349	XP_012166175.1, XP_020719519.1	XP_015833913.1
OG0003350	XP_003395818.1	XP_008192723.1
OG0003351	XP_003403358.1	XP_973079.1
OG0003352	XP_012171186.1	XP_015833132.1
OG0003353	XP_012176447.1	XP_973934.2
OG0003354	XP_012168185.1	XP_969841.1
OG0003355	XP_012167676.1	XP_970925.2
OG0003356	XP_003402210.1	XP_008194232.2
OG0003357	XP_012163819.1	XP_008195128.1
OG0003358	XP_012176186.1	XP_008198689.1
OG0003359	XP_003396029.1	XP_008192494.1
OG0003360	XP_012175935.1	XP_970407.1
OG0003361	XP_003402702.1	NP_001139384.1, XP_008192465.1
OG0003362	XP_012169143.1	XP_008198521.1
OG0003363	XP_003394031.1	NP_001106938.1
OG0003364	XP_003398503.1	XP_008198964.1, XP_015833996.1
OG0003365	XP_003394552.1	XP_970914.1, XP_008194272.1
OG0003366	XP_003397827.1	XP_008199508.1, XP_008199509.1, XP_008192806.1
OG0003367	XP_003401083.1	XP_008199394.1
OG0003368	XP_020721065.1	XP_008194972.1, NP_001164129.1
OG0003369	XP_012164497.1	XP_008195982.2
OG0003370	XP_012172730.1, XP_012172744.1, XP_012172738.1	XP_008199447.2
OG0003371	XP_012170915.1, XP_003400168.1	XP_974687.2
OG0003372	XP_003394694.1	XP_969973.1
OG0003373	XP_012173294.1, XP_003401873.1	XP_015835659.1
OG0003374	XP_003395675.1	XP_001807778.1
OG0003375	XP_003403093.1	XP_008197761.1
OG0003376	XP_003393800.1	XP_008192548.1
OG0003377	XP_020724121.1	XP_008201154.1
OG0003378	XP_003402130.1	XP_008200229.1, XP_008200223.1
OG0003380	XP_012170032.1	XP_974999.1
OG0003381	XP_012175066.1	XP_008192168.1
OG0003382	XP_003401411.1	XP_008201713.1
OG0003383	XP_003400839.1	XP_974028.1
OG0003384	XP_003400187.1, XP_012170937.1	XP_008198245.1, XP_972815.1, XP_008198246.1
OG0003385	XP_003393271.1	XP_015837239.1
OG0003387	XP_012174698.1, XP_003393798.1	XP_970657.1
OG0003388	XP_012171064.1	XP_008193982.1
OG0003389	XP_012166547.1	XP_974088.2, XP_008194193.2
OG0003390	XP_012170451.1	XP_008193784.1
OG0003391	XP_012173395.2	XP_008199553.1, XP_008190888.1
OG0003392	XP_020722516.1	XP_015839127.1
OG0003393	XP_003396408.1, XP_012165441.1	XP_968690.1
OG0003395	XP_012170429.1	XP_015833637.1
OG0003396	XP_003400093.1	XP_968898.1
OG0003397	XP_012170199.1	XP_970604.1
OG0003398	XP_012167281.1	XP_969016.3
OG0003399	XP_003395681.1	XP_008193699.1
OG0003400	XP_003394203.1	XP_008198207.1
OG0003401	XP_012174733.1	XP_974608.1
OG0003402	XP_003400904.1	XP_001807559.1
OG0003403	XP_003398686.1	XP_015839241.1, XP_015839240.1
OG0003404	XP_012175889.1	XP_008196762.1
OG0003405	XP_003402674.1	XP_008192210.1
OG0003406	XP_020718332.1	XP_015840297.1
OG0003407	XP_012174891.2, XP_012171230.1	XP_971021.1
OG0003408	XP_012163653.1	XP_970226.1, XP_008198773.1
OG0003409	XP_003397420.1	XP_008198454.1
OG0003410	XP_003397456.1	XP_008193017.1
OG0003411	XP_003393003.1	XP_970605.2
OG0003412	XP_012165317.1, XP_020719328.1	XP_008200696.2
OG0003413	XP_003393951.1, XP_012175666.1	XP_968721.1
OG0003414	XP_003402116.1	XP_968431.1
OG0003415	XP_020723273.1, XP_003402321.1	XP_974414.1
OG0003416	XP_003400888.1	XP_008192111.1
OG0003417	XP_012163159.1, XP_003394872.1	XP_975392.1
OG0003418	XP_012174546.1	XP_008193262.1
OG0003419	XP_003398727.1	XP_008201106.1
OG0003420	XP_003397430.1	XP_975311.2
OG0003421	XP_003397388.1	XP_015836663.1, XP_008195097.1
OG0003422	XP_020718945.1, XP_020718838.1, XP_020718951.1	XP_969858.1
OG0003423	XP_003394231.1	XP_008191170.2
OG0003424	XP_003398125.1	XP_008193894.1
OG0003425	XP_003397438.1	XP_970165.1
OG0003426	XP_012166342.1	XP_967164.2
OG0003428	XP_012173657.1	XP_969482.1
OG0003429	XP_020723827.1	XP_008194420.1
OG0003430	XP_020719803.1	XP_015838000.1, XP_967233.2
OG0003431	XP_003398714.1	XP_973216.2
OG0003432	XP_012166277.1	XP_008198745.1
