HOG	OG	Gene Tree Parent Clade	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
N2.HOG0002812	OG0001993	n0			XP_017881121.1	XP_015438826.1			XP_003707682.1	XP_033334918.1	XP_031850010.1	XP_029035476.1	XP_034175792.1
N2.HOG0002813	OG0001994	n0			XP_026674527.1	XP_015437312.1			XP_012154518.1	XP_033342266.1	XP_031835602.1	XP_029049720.1	XP_034193112.1
N2.HOG0002814	OG0001995	n0			XP_017892868.1	XP_015429059.1			XP_003702377.2	XP_033330669.1	XP_031844985.1	XP_029052033.1	XP_034182612.1
N2.HOG0002815	OG0001996	n0			XP_017879987.1	XP_015438868.1			XP_003699353.1	XP_033342694.1	XP_031835721.1	XP_029042698.1	XP_034175672.1
N2.HOG0002816	OG0001997	n0			XP_017875204.1	XP_015435400.1			XP_012141763.1	XP_033328774.1	XP_031839228.1	XP_029051691.1	XP_034173510.1
N2.HOG0002817	OG0001998	n0			XP_017875199.1	XP_015431948.1			XP_012146749.1	XP_033339330.1	XP_031840144.1	XP_029048054.1	XP_034194959.1
N2.HOG0002818	OG0001999	n0			XP_026671175.1	XP_015433316.1			XP_012150304.1	XP_033328178.1	XP_031833729.1	XP_029036603.1	XP_034176880.1
N2.HOG0002819	OG0002000	n0			XP_026666813.1	XP_015432404.1			XP_012142822.1	XP_033330212.1	XP_031844396.1	XP_029044959.1	XP_034177949.1
N2.HOG0002820	OG0002001	n0			XP_017884628.1	XP_015431562.1			XP_003699875.1	XP_033326432.1	XP_031840936.1	XP_029032862.1	XP_034182187.1
N2.HOG0002821	OG0002002	n0			XP_026674281.1	XP_015440039.1			XP_012139084.1	XP_033328041.1	XP_031833423.1	XP_029036644.1	XP_034192717.1
N2.HOG0002822	OG0002003	n0			XP_017884373.1	XP_015439230.1			XP_012139801.1	XP_033336422.1	XP_031836227.1	XP_029052751.1	XP_034191975.1
N2.HOG0002823	OG0002004	n0			XP_017879501.1	XP_015434898.1			XP_012139160.1	XP_033333432.1	XP_031842336.1	XP_029044324.1	XP_034174741.1
N2.HOG0002824	OG0002005	n0			XP_017876745.1	XP_015439514.1			XP_012151379.1	XP_033338367.1	XP_031843997.1	XP_029037670.1	XP_034184212.1
N2.HOG0002825	OG0002006	n0			XP_017891313.1	XP_015440111.1			XP_012154012.1	XP_033324073.1	XP_031831640.1	XP_029042798.1	XP_034192967.1
N2.HOG0002826	OG0002007	n0			XP_017889986.1	XP_015430393.1			XP_012154220.1	XP_033338906.1	XP_031827245.1	XP_029049922.1	XP_034187102.1
N2.HOG0002827	OG0002008	n0			XP_017890609.1	XP_015437755.1			XP_003699282.1	XP_033335111.1	XP_031849248.1	XP_029049662.1	XP_034193351.1
N2.HOG0002828	OG0002009	n0			XP_017875078.1	XP_015438202.1			XP_012146221.1	XP_033328432.1	XP_031828120.1	XP_029035274.1	XP_034193049.1
N2.HOG0002829	OG0002010	n0			XP_017892328.1	XP_015437836.1			XP_003707230.2	XP_033338253.1	XP_031834554.1	XP_029040702.1	XP_034188563.1
N2.HOG0002830	OG0002011	n0			XP_017893583.1	XP_015430795.1			XP_003703923.1	XP_033337080.1	XP_031845093.1	XP_029047393.1	XP_034173888.1
N2.HOG0002831	OG0002012	n0			XP_026666598.1	XP_015437854.1			XP_003701930.1	XP_033335711.1	XP_031837230.1	XP_029032766.1	XP_034180401.1
N2.HOG0002832	OG0002013	n0			XP_017878972.1	XP_015437329.1			XP_012154459.1	XP_033342349.1	XP_031835371.1	XP_029037577.1	XP_034174954.1
N2.HOG0002833	OG0002014	n0			XP_017883875.1	XP_015438557.1			XP_003706906.1	XP_033330476.1	XP_031843740.1	XP_029039993.1	XP_034190135.1
N2.HOG0002834	OG0002015	n0			XP_017877369.1	XP_015429249.1			XP_012141181.1	XP_033329544.1	XP_031848482.1	XP_029038196.1	XP_034181112.1
N2.HOG0002835	OG0002016	n0			XP_026672401.1	XP_015428525.1			XP_003703177.2	XP_033333804.1	XP_031836344.1	XP_029035706.1	XP_034178472.1
N2.HOG0002836	OG0002017	n0			XP_017883067.1	XP_015439651.1			XP_003705216.1	XP_033323848.1	XP_031833495.1	XP_029055777.1	XP_034176803.1
N2.HOG0002837	OG0002018	n0			XP_017878179.1	XP_015431750.1			XP_012134954.1	XP_033332123.1	XP_031834444.1	XP_029047068.1	XP_034187343.1
N2.HOG0002838	OG0002019	n0			XP_017875252.1	XP_015431537.1			XP_003705799.1	XP_033331228.1	XP_031849677.1	XP_029037174.1	XP_034182744.1
N2.HOG0002839	OG0002020	n0			XP_017888159.1	XP_015437075.1			XP_012140344.1	XP_033333515.1	XP_031828566.1	XP_029036007.1	XP_034187373.1
N2.HOG0002840	OG0002021	n0			XP_026669225.1	XP_015436353.1			XP_003701315.1	XP_033341928.1	XP_031826333.1	XP_029034654.1	XP_034182928.1
N2.HOG0002841	OG0002022	n0			XP_017887279.1	XP_015429329.1			XP_012152210.1	XP_033331195.1	XP_031844165.1	XP_029049910.1	XP_034182663.1
N2.HOG0002842	OG0002023	n0			XP_017892471.1	XP_015433913.1			XP_012137794.1	XP_033333608.1	XP_031836966.1	XP_029032479.1	XP_034174503.1
N2.HOG0002843	OG0002024	n0			XP_017884281.1	XP_015433299.1			XP_003707344.1	XP_033324072.1	XP_031833485.1	XP_029054381.1	XP_034177582.1
N2.HOG0002844	OG0002025	n0			XP_026667496.1	XP_015429396.1			XP_003702729.1	XP_033327618.1	XP_031830385.1	XP_029033316.1	XP_034185400.1
N2.HOG0002845	OG0002026	n0			XP_017879174.1	XP_015434012.1			XP_003701569.1	XP_033341951.1	XP_031839910.1	XP_029053887.1	XP_034196506.1
N2.HOG0002846	OG0002027	n0			XP_017878130.1	XP_015434874.1			XP_012146970.1	XP_033322295.1	XP_031844786.1	XP_029034818.1	XP_034179627.1
N2.HOG0002847	OG0002028	n0			XP_017891084.1	XP_015435096.1			XP_012140941.1	XP_033332961.1	XP_031832086.1	XP_029053635.1	XP_034192477.1
N2.HOG0002848	OG0002029	n0			XP_017875530.1	XP_015439048.1			XP_003702817.1	XP_033335959.1	XP_031832793.1	XP_029039257.1	XP_034191632.1
N2.HOG0002849	OG0002030	n0			XP_017892153.1	XP_015436488.1			XP_012152681.1	XP_033336067.1	XP_031837177.1	XP_029039410.1	XP_034180164.1
N2.HOG0002850	OG0002031	n0			XP_017890226.1	XP_015439795.1			XP_012139095.1	XP_033328029.1	XP_031833406.1	XP_029036634.1	XP_034192662.1
N2.HOG0002851	OG0002032	n0			XP_017876772.1	XP_015432302.1			XP_003700847.1	XP_033334266.1	XP_031831797.1	XP_029041568.1	XP_034171968.1
N2.HOG0002852	OG0002033	n0			XP_026674420.1	XP_015432370.1			XP_003704195.1	XP_033339323.1	XP_031847605.1	XP_029052353.1	XP_034177999.1
N2.HOG0002853	OG0002034	n0			XP_017885665.1	XP_015434059.1			XP_003707182.1	XP_033332157.1	XP_031842308.1	XP_029032218.1	XP_034178562.1
N2.HOG0002854	OG0002035	n0			XP_017886242.1	XP_015428998.1			XP_003702360.2	XP_033330601.1	XP_031844927.1	XP_029032963.1	XP_034182750.1
N2.HOG0002855	OG0002036	n0			XP_017882407.1	XP_015428522.1			XP_003703222.1	XP_033334287.1	XP_031836094.1	XP_029035678.1	XP_034178463.1
N2.HOG0002856	OG0002037	n0			XP_017878830.1	XP_015431711.1			XP_003703928.1	XP_033326542.1	XP_031842239.1	XP_029047613.1	XP_034174002.1
N2.HOG0002857	OG0002038	n0			XP_017889757.1	XP_015439452.1			XP_003701430.1	XP_033341692.1	XP_031843265.1	XP_029045969.1	XP_034193880.1
N2.HOG0002858	OG0002039	n0			XP_026671171.1	XP_015433268.1			XP_003707346.1	XP_033328241.1	XP_031833614.1	XP_029036609.1	XP_034177581.1
N2.HOG0002859	OG0002040	n0			XP_017886248.1	XP_015429028.1			XP_012138482.1	XP_033330605.1	XP_031844899.1	XP_029052025.1	XP_034182578.1
N2.HOG0002860	OG0002041	n0			XP_017880590.1	XP_015434292.1			XP_003706148.1	XP_033323306.1	XP_031840737.1	XP_029047213.1	XP_034188528.1
N2.HOG0002861	OG0002042	n0			XP_017884073.1	XP_015438107.1			XP_003703076.1	XP_033329581.1	XP_031827894.1	XP_029055495.1	XP_034174869.1
N2.HOG0002862	OG0002043	n0			XP_017881654.1	XP_015431560.1			XP_003706330.1	XP_033333882.1	XP_031834307.1	XP_029032919.1	XP_034182196.1
N2.HOG0002863	OG0002044	n0			XP_017875967.1	XP_015436418.1			XP_003704858.1	XP_033321291.1	XP_031846191.1	XP_029054045.1	XP_034184297.1
N2.HOG0002864	OG0002045	n0			XP_026666613.1	XP_015429504.1			XP_012141570.1	XP_033329360.1	XP_031838369.1	XP_029046997.1	XP_034181162.1
N2.HOG0002865	OG0002046	n0			XP_017880901.1	XP_015432905.1			XP_012140464.1	XP_033333572.1	XP_031836314.1	XP_029035669.1	XP_034178445.1
N2.HOG0002866	OG0002047	n0			XP_026674240.1	XP_015429300.1			XP_012141789.1	XP_033326099.1	XP_031841983.1	XP_029053962.1	XP_034172521.1
N2.HOG0002867	OG0002048	n0			XP_017877876.1	XP_015430649.1			XP_012152824.1	XP_033327214.1	XP_031829336.1	XP_029047882.1	XP_034174264.1
N2.HOG0002868	OG0002049	n0			XP_017877873.2	XP_015438091.1			XP_012152860.1	XP_033332084.1	XP_031846144.1	XP_029045980.1	XP_034187832.1
N2.HOG0002869	OG0002050	n0			XP_017886788.1	XP_015432703.1			XP_012142489.1	XP_033326246.1	XP_031826861.1	XP_029045279.1	XP_034191033.1
N2.HOG0002870	OG0002051	n0			XP_017893306.1	XP_015429570.1			XP_003703464.1	XP_033329665.1	XP_031838377.1	XP_029047036.1	XP_034181158.1
N2.HOG0002871	OG0002052	n0			XP_017882109.1	XP_015438423.1			XP_012149368.1	XP_033325441.1	XP_031848261.1	XP_029033457.1, XP_029033613.1	XP_034189578.1
N2.HOG0002872	OG0002053	n0			XP_017886618.2	XP_015429394.1			XP_003702744.1	XP_033327621.1	XP_031830396.1	XP_029033293.1	XP_034185407.1
N2.HOG0002873	OG0002054	n0			XP_017893406.1	XP_015432293.1			XP_012142855.1	XP_033332003.1	XP_031848986.1	XP_029036121.1	XP_034178756.1
N2.HOG0002874	OG0002055	n0			XP_017887285.1	XP_015429374.1			XP_012152230.1	XP_033326225.1	XP_031848434.1	XP_029049904.1	XP_034194397.1
N2.HOG0002875	OG0002056	n0			XP_017882215.1	XP_015439176.1			XP_012145749.1	XP_033324041.1	XP_031837571.1	XP_029046873.1	XP_034180877.1
N2.HOG0002876	OG0002057	n0			XP_017883331.1	XP_015432801.1			XP_012144720.1	XP_033340017.1	XP_031827317.1	XP_029047373.1	XP_034173447.1
N2.HOG0002877	OG0002058	n0			XP_017878383.1	XP_015437291.1			XP_012154458.1	XP_033342347.1	XP_031835369.1	XP_029037573.1	XP_034176492.1
N2.HOG0002878	OG0002059	n0			XP_017887707.1				XP_012143632.1	XP_033322963.1	XP_031836984.1	XP_029047300.1	XP_034175603.1
N2.HOG0002879	OG0002060	n0			XP_026668092.1	XP_015433636.1			XP_012147264.1	XP_033326200.1	XP_031849474.1	XP_029037125.1	XP_034182345.1
N2.HOG0002880	OG0002061	n0			XP_026667678.1	XP_015431290.1			XP_012148900.1	XP_033326031.1	XP_031830714.1	XP_029034486.1	XP_034183576.1
N2.HOG0002881	OG0002062	n0			XP_017887166.1	XP_015428738.1			XP_012148255.1	XP_033329625.1	XP_031841126.1	XP_029040997.1	XP_034181738.1
N2.HOG0002882	OG0002063	n0			XP_017879708.1	XP_015434737.1			XP_003705310.1	XP_033324488.1	XP_031838573.1	XP_029035131.1	XP_034185007.1
N2.HOG0002883	OG0002064	n0			XP_017876644.1	XP_015440424.1			XP_003701084.1	XP_033340538.1	XP_031830878.1	XP_029051134.1	XP_034186228.1
N2.HOG0002884	OG0002065	n0			XP_017876234.1	XP_015440126.1			XP_003707323.1	XP_033331135.1	XP_031825328.1	XP_029036510.1	XP_034192950.1
N2.HOG0002885	OG0002066	n0			XP_017881825.1	XP_015434589.1			XP_003704694.1	XP_033322462.1	XP_031825451.1	XP_029042010.1	XP_034187073.1
N2.HOG0002886	OG0002067	n0			XP_017892841.1	XP_015434507.1			XP_003704087.2	XP_033333966.1	XP_031834042.1	XP_029053589.1	XP_034192208.1
N2.HOG0002887	OG0002068	n0			XP_017888581.1	XP_015430433.1			XP_003702484.1	XP_033332621.1	XP_031829712.1	XP_029050766.1	XP_034190370.1
N2.HOG0002888	OG0002069	n0			XP_017893081.1	XP_015433484.1			XP_003701256.1	XP_033337430.1	XP_031830015.1	XP_029052296.1	XP_034185444.1
N2.HOG0002889	OG0002070	n0			XP_017892324.1	XP_015433871.1			XP_003702206.1	XP_033333338.1	XP_031836941.1	XP_029032335.1	XP_034181228.1
N2.HOG0002890	OG0002071	n0			XP_017888853.1	XP_015428801.1			XP_003705525.1	XP_033337710.1	XP_031829860.1	XP_029035108.1	XP_034185635.1
N2.HOG0002891	OG0002072	n0			XP_017886519.2	XP_015432551.1			XP_003702715.1	XP_033323088.1	XP_031836794.1	XP_029050608.1	XP_034194052.1
N2.HOG0002892	OG0002073	n0			XP_026668815.1	XP_015437290.1			XP_012154460.1	XP_033342352.1	XP_031835373.1	XP_029037579.1	XP_034174955.1
N2.HOG0002893	OG0002074	n0			XP_026668823.1	XP_015440458.1			XP_012154424.1	XP_033334951.1	XP_031850192.1	XP_029037450.1	XP_034193458.1
N2.HOG0002894	OG0002075	n0			XP_017878729.1	XP_015431653.1			XP_012139921.1	XP_033326715.1	XP_031842302.1	XP_029047744.1	XP_034174254.1
N2.HOG0002895	OG0002076	n0			XP_017879564.1	XP_015440135.1			XP_003707322.1	XP_033324347.1	XP_031825680.1	XP_029036536.1	XP_034192965.1
N2.HOG0002896	OG0002077	n0			XP_017882163.1	XP_015439149.1			XP_003699822.1	XP_033335973.1	XP_031837082.1	XP_029032734.1	XP_034180316.1
N2.HOG0002897	OG0002078	n0			XP_017876461.1	XP_015437249.1			XP_012135408.1	XP_033340694.1	XP_031831048.1	XP_029051125.1	XP_034186213.1
N2.HOG0002898	OG0002079	n0			XP_017879669.1	XP_015435551.1			XP_003700627.2	XP_033334701.1	XP_031829079.1	XP_029035418.1	XP_034175760.1
N2.HOG0002899	OG0002080	n0			XP_017879808.1	XP_015439729.1			XP_012142561.1	XP_033338369.1	XP_031833933.1	XP_029041333.1	XP_034176909.1
N2.HOG0002900	OG0002081	n0			XP_017881212.1	XP_015430093.1			XP_003706411.1	XP_033341159.1	XP_031827371.1	XP_029035745.1	XP_034173295.1
N2.HOG0002901	OG0002082	n0			XP_017893235.1	XP_015429575.1			XP_012141441.1	XP_033332969.1	XP_031845754.1	XP_029038143.1	XP_034181029.1
N2.HOG0002902	OG0002083	n0			XP_017885646.1	XP_015431390.1			XP_003699726.1	XP_033339322.1	XP_031830629.1	XP_029040052.1	XP_034189429.1
N2.HOG0002903	OG0002084	n0			XP_017893292.1	XP_015429190.1			XP_012141493.1	XP_033329428.1	XP_031838330.1	XP_029051075.1	XP_034188113.1
N2.HOG0002904	OG0002085	n0			XP_026673622.1, XP_017886661.1	XP_015428413.1			XP_012145455.1	XP_033338896.1	XP_031826996.1	XP_029048649.1	XP_034187086.1
N2.HOG0002905	OG0002086	n0			XP_026669603.1				XP_012147439.1	XP_033321827.1	XP_031840711.1	XP_029033860.1	XP_034188537.1
N2.HOG0002906	OG0002087	n0			XP_017884638.1	XP_015434083.1			XP_003708349.1	XP_033336472.1	XP_031829636.1	XP_029043427.1	XP_034191479.1
N2.HOG0002907	OG0002088	n0			XP_017877652.1	XP_015433487.1			XP_012135938.1	XP_033337862.1	XP_031830270.1	XP_029049602.1	XP_034184859.1
N2.HOG0002908	OG0002089	n0			XP_026666602.1	XP_015429535.1			XP_003703712.1	XP_033332824.1	XP_031845701.1	XP_029044591.1	XP_034181174.1
N2.HOG0002909	OG0002090	n0			XP_017889503.1	XP_015437949.1			XP_003704735.1	XP_033324715.1	XP_031847532.1	XP_029040931.1	XP_034179213.1
N2.HOG0002910	OG0002091	n0			XP_017887991.1	XP_015429994.1			XP_012153116.1	XP_033340305.1	XP_031840556.1	XP_029046887.1	XP_034178397.1
N2.HOG0002911	OG0002092	n0			XP_017880789.1	XP_015436970.1			XP_003704433.1	XP_033339251.1	XP_031836068.1	XP_029042586.1	XP_034178289.1
N2.HOG0002912	OG0002093	n0			XP_017883519.1	XP_015440127.1			XP_012154021.1	XP_033321339.1	XP_031831646.1	XP_029042821.1	XP_034192979.1
N2.HOG0002913	OG0002094	n0			XP_017893163.1	XP_015429526.1			XP_003703686.1	XP_033332944.1	XP_031845749.1	XP_029038212.1	XP_034181131.1
N2.HOG0002914	OG0002095	n0			XP_017880727.1	XP_015433639.1			XP_003699893.1	XP_033341019.1	XP_031849509.1	XP_029046125.1	XP_034194254.1
N2.HOG0002915	OG0002096	n0			XP_026667124.1	XP_015439180.1			XP_003707158.2	XP_033336629.1	XP_031848674.1	XP_029039165.1	XP_034192095.1
N2.HOG0002916	OG0002097	n0			XP_017891491.2	XP_015433227.1			XP_003699645.1	XP_033341663.1	XP_031847520.1	XP_029049977.1	XP_034178853.1
N2.HOG0002917	OG0002098	n0			XP_017893377.1	XP_015438505.1			XP_012138499.1	XP_033325447.1	XP_031830628.1	XP_029039851.1	XP_034189817.1
N2.HOG0002918	OG0002099	n0			XP_017893152.1	XP_015429503.1			XP_003703705.1	XP_033329666.1	XP_031838328.1	XP_029051068.1	XP_034188150.1
N2.HOG0002919	OG0002100	n0			XP_017884674.1	XP_015434038.1			XP_012152025.1	XP_033335696.1	XP_031829648.1	XP_029037642.1	XP_034191546.1
N2.HOG0002920	OG0002101	n0			XP_026667666.1	XP_015430605.1			XP_012135394.1	XP_033340531.1	XP_031831104.1	XP_029051111.1	XP_034186188.1
N2.HOG0002921	OG0002102	n0			XP_017885861.1	XP_015438206.1			XP_003706617.1	XP_033340704.1	XP_031828069.1	XP_029035292.1	XP_034179111.1
N2.HOG0002922	OG0002103	n0			XP_026675575.1, XP_026674289.1				XP_012141818.1	XP_033325258.1	XP_031841988.1	XP_029044913.1	XP_034173230.1
N2.HOG0002923	OG0002104	n0			XP_017882473.1	XP_015431415.1			XP_003699762.1	XP_033320917.1	XP_031831101.1	XP_029047718.1	XP_034186164.1
N2.HOG0002924	OG0002105	n0			XP_017887835.2	XP_015436074.1			XP_012152197.1	XP_033324253.1	XP_031846650.1	XP_029039166.1	XP_034185697.1
N2.HOG0002925	OG0002106	n0			XP_017880669.1	XP_015431589.1			XP_012144625.1	XP_033323308.1	XP_031844536.1	XP_029047174.1	XP_034188161.1
N2.HOG0002926	OG0002107	n0			XP_026671525.1	XP_015430220.1			XP_003702768.1	XP_033336542.1	XP_031848245.1	XP_029032683.1	XP_034180148.1
N2.HOG0002927	OG0002108	n0			XP_017891925.1	XP_015428934.1			XP_003706831.1	XP_033331479.1	XP_031847860.1	XP_029052136.1	XP_034185873.1
N2.HOG0002928	OG0002109	n0			XP_017890867.1	XP_015429703.1			XP_012153883.1	XP_033334523.1	XP_031849930.1	XP_029050314.1	XP_034190396.1
N2.HOG0002929	OG0002110	n0			XP_017881482.1	XP_015436423.1			XP_012151020.1	XP_033333747.1	XP_031843072.1	XP_029038055.1	XP_034184235.1
N2.HOG0002930	OG0002111	n0			XP_017876582.1	XP_015431339.1			XP_012148862.1	XP_033339318.1	XP_031843789.1	XP_029040476.1	XP_034183731.1
N2.HOG0002931	OG0002112	n0			XP_026670965.1	XP_015430176.1			XP_012148509.1	XP_033322399.1	XP_031829403.1	XP_029034853.1	XP_034179079.1
N2.HOG0002932	OG0002113	n0			XP_017893243.1	XP_015435949.1			XP_003703520.1	XP_033329529.1	XP_031832028.1	XP_029041076.1	XP_034181185.1
N2.HOG0002933	OG0002114	n0			XP_017893278.1	XP_015429555.1			XP_003703684.1	XP_033333031.1	XP_031845800.1	XP_029038210.1	XP_034181130.1
N2.HOG0002934	OG0002115	n1			XP_026670525.1								
N2.HOG0002935	OG0002115	n3				XP_015432560.1			XP_012142270.1	XP_033331219.1	XP_031840679.1	XP_029038613.1	XP_034181978.1
N2.HOG0002936	OG0002116	n0			XP_026672915.1	XP_015435780.1			XP_012152340.1	XP_033327666.1	XP_031844310.1	XP_029032893.1	XP_034181912.1
N2.HOG0002937	OG0002117	n0			XP_026671901.1	XP_015430520.1			XP_012138937.1	XP_033330327.1	XP_031830123.1	XP_029044181.1	XP_034185559.1
N2.HOG0002938	OG0002118	n0			XP_017890244.1	XP_015439975.1			XP_012137323.1	XP_033339698.1	XP_031833444.1	XP_029041325.1	XP_034177731.1
N2.HOG0002939	OG0002119	n0			XP_017883033.1	XP_015433355.1			XP_003702689.1	XP_033324094.1	XP_031833666.1	XP_029052536.1	XP_034177542.1
N2.HOG0002940	OG0002120	n0			XP_017882788.1	XP_015433756.1			XP_003700014.2	XP_033323350.1	XP_031843300.1	XP_029041491.1	XP_034180489.1
N2.HOG0002941	OG0002121	n0			XP_017892329.1	XP_015431036.1			XP_012135357.1	XP_033322441.1	XP_031837756.1	XP_029037728.1	XP_034185820.1
N2.HOG0002942	OG0002122	n0			XP_017875433.1	XP_015439069.1			XP_012139687.1	XP_033336291.1	XP_031832844.1	XP_029039069.1	XP_034192023.1
N2.HOG0002943	OG0002123	n0			XP_017891691.1	XP_015437605.1			XP_012147459.1	XP_033338062.1	XP_031847541.1	XP_029045868.1	XP_034174704.1
N2.HOG0002944	OG0002124	n0			XP_017879676.2	XP_015429235.1			XP_003706565.1	XP_033334096.1	XP_031833971.1	XP_029042221.1	XP_034187880.1
N2.HOG0002945	OG0002125	n0			XP_017890142.1	XP_015440268.1			XP_003707335.1	XP_033327942.1	XP_031833892.1	XP_029036334.1	XP_034192793.1
N2.HOG0002946	OG0002126	n0			XP_017886010.1	XP_015437254.1			XP_003706588.1	XP_033340679.1	XP_031828080.1	XP_029035303.1	XP_034179274.1
N2.HOG0002947	OG0002127	n0			XP_017882504.1	XP_015429778.1			XP_003699854.1	XP_033322024.1	XP_031840866.1	XP_029037192.1	XP_034182268.1
N2.HOG0002948	OG0002128	n0			XP_017885277.2	XP_015430532.1			XP_003702501.1	XP_033330354.1	XP_031830379.1	XP_029044278.1	XP_034185555.1
N2.HOG0002949	OG0002129	n0			XP_017876713.1	XP_015437646.1			XP_012149130.1	XP_033325716.1	XP_031847907.1	XP_029039770.1	XP_034185790.1
N2.HOG0002950	OG0002130	n0			XP_017875898.1	XP_015429662.1			XP_012143370.1	XP_033324501.1	XP_031850344.1	XP_029056545.1	XP_034171185.1
N2.HOG0002951	OG0002131	n0			XP_017885643.1	XP_015435441.1			XP_012144017.1	XP_033321377.1	XP_031846228.1	XP_029035309.1	XP_034190953.1
N2.HOG0002952	OG0002132	n0			XP_017886067.1	XP_015433650.1			XP_012145819.1	XP_033321803.1	XP_031840984.1	XP_029037114.1	XP_034182238.1
N2.HOG0002953	OG0002133	n0			XP_017891069.1	XP_015435980.1			XP_003703653.1	XP_033333267.1	XP_031832269.1	XP_029041262.1	XP_034181692.1
N2.HOG0002954	OG0002134	n0			XP_017878491.1	XP_015437778.1			XP_003699311.1	XP_033342512.1	XP_031849173.1	XP_029037338.1	XP_034175326.1
N2.HOG0002955	OG0002135	n0			XP_017877200.1	XP_015430251.1			XP_012154125.1	XP_033338571.1	XP_031826876.1	XP_029050992.1	XP_034186762.1
N2.HOG0002956	OG0002136	n0			XP_017893390.1	XP_015428602.1			XP_003704329.1	XP_033332035.1	XP_031832364.1	XP_029050358.1	XP_034178257.1
N2.HOG0002957	OG0002137	n0			XP_026671507.1	XP_015430233.1			XP_003702919.1	XP_033336083.1	XP_031848201.1	XP_029052147.1	XP_034180086.1
N2.HOG0002958	OG0002138	n0			XP_026666630.1	XP_015437879.1			XP_003704534.2	XP_033328260.1	XP_031837166.1	XP_029051368.1	XP_034171853.1
N2.HOG0002959	OG0002139	n0			XP_026674629.1	XP_015432971.1			XP_012144727.1	XP_033328777.1	XP_031832428.1	XP_029048775.1	XP_034172198.1
N2.HOG0002960	OG0002140	n0			XP_026666788.1	XP_015432340.1			XP_012142639.1	XP_033339435.1	XP_031847652.1	XP_029052354.1	XP_034178527.1
N2.HOG0002961	OG0002141	n0			XP_026674751.1	XP_015430152.1			XP_003705551.2	XP_033340999.1	XP_031835218.1	XP_029053514.1	XP_034188807.1
N2.HOG0002962	OG0002142	n0			XP_017890140.1	XP_015439799.1			XP_012150244.1	XP_033327950.1	XP_031833884.1	XP_029036327.1	XP_034192789.1
N2.HOG0002963	OG0002143	n0			XP_017880060.1	XP_015430977.1			XP_012138747.1	XP_033337963.1	XP_031830066.1	XP_029051895.1	XP_034190195.1
N2.HOG0002964	OG0002144	n0			XP_026668279.1	XP_015438906.1			XP_012143664.1	XP_033340075.1	XP_031826662.1	XP_029044659.1	XP_034181689.1
N2.HOG0002965	OG0002145	n0			XP_017886954.1	XP_015432017.1			XP_012146691.1	XP_033321054.1	XP_031840212.1	XP_029048094.1	XP_034195040.1
N2.HOG0002966	OG0002146	n0			XP_017884383.2	XP_015430206.1			XP_012139538.1	XP_033336105.1	XP_031848196.1	XP_029052146.1	XP_034180085.1
N2.HOG0002967	OG0002147	n0			XP_017892732.1	XP_015439012.1			XP_003708039.1	XP_033329683.1	XP_031838618.1	XP_029038689.1	XP_034195883.1
N2.HOG0002968	OG0002148	n0			XP_017878797.1	XP_015437592.1			XP_003706205.1	XP_033326502.1	XP_031829311.1	XP_029042893.1	XP_034187397.1
N2.HOG0002969	OG0002149	n0			XP_026671239.1	XP_015431280.1			XP_012148844.1	XP_033325752.1	XP_031843812.1	XP_029040527.1	XP_034183429.1
N2.HOG0002970	OG0002150	n0			XP_017879538.1	XP_015429220.1			XP_003706537.1	XP_033329584.1	XP_031841856.1	XP_029053153.1	XP_034188067.1
N2.HOG0002971	OG0002151	n0			XP_017881549.1	XP_015436232.1			XP_003700170.2	XP_033334301.1	XP_031841728.1	XP_029044793.1	XP_034185960.1
N2.HOG0002972	OG0002152	n0			XP_017891757.1	XP_015440045.1			XP_003701888.1	XP_033321179.1	XP_031843374.1	XP_029053039.1	XP_034177258.1
N2.HOG0002973	OG0002153	n0			XP_017878190.1	XP_015434885.1			XP_003708622.2	XP_033341979.1	XP_031843083.1	XP_029047640.1	XP_034179663.1
N2.HOG0002974	OG0002154	n0			XP_017876673.1	XP_015437632.1			XP_003707014.1	XP_033325382.1	XP_031847912.1	XP_029039775.1	XP_034185791.1
N2.HOG0002975	OG0002155	n0			XP_017881177.2	XP_015436272.1			XP_012150625.1	XP_033332936.1	XP_031841270.1	XP_029041513.1	XP_034174269.1
N2.HOG0002976	OG0002156	n0			XP_017881924.1	XP_015438370.1			XP_012149454.1	XP_033331622.1	XP_031831057.1	XP_029040430.1	XP_034183520.1
N2.HOG0002977	OG0002157	n0			XP_026666477.1	XP_015437278.1			XP_012142122.1	XP_033342436.1	XP_031835416.1	XP_029044036.1	XP_034175512.1
N2.HOG0002978	OG0002158	n0			XP_017876161.1	XP_015436852.1			XP_012141852.1	XP_033326157.1	XP_031837476.1	XP_029047389.1	XP_034172092.1
N2.HOG0002979	OG0002159	n0			XP_017891166.1	XP_015430134.1			XP_003699400.1	XP_033341009.1	XP_031835097.1	XP_029056582.1	XP_034189385.1
N2.HOG0002980	OG0002160	n0			XP_017880384.1	XP_015436519.1, XP_015436621.1			XP_012138620.1	XP_033334465.1	XP_031828907.1	XP_029044094.1	XP_034176370.1
