Orthogroup	Ceratina_calcarata	Aedes_aegypti
OG0001042	XP_026671321.1	XP_021695487.1, XP_021712349.1
OG0001043	XP_017885202.1, XP_026671998.1	XP_021695359.1, XP_021695362.1
OG0001044	XP_017891564.1	XP_021695598.1
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_021700792.1
OG0001046	XP_017882600.1, XP_026670603.1	XP_021707939.1
OG0001048	XP_017876311.1, XP_026672569.1, XP_017888642.2	XP_021696480.1
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_021695688.1, XP_021695674.1, XP_021695699.1
OG0001050	XP_017883752.1, XP_017883754.1	XP_021704146.1
OG0001052	XP_017891386.1	XP_021694352.1, XP_021694362.1, XP_021694354.1, XP_021694356.1, XP_021694358.1, XP_021694360.1, XP_001654045.2, XP_021694374.1, XP_021694366.1, XP_021694350.1, XP_021694349.1, XP_021694370.1, XP_021694371.1, XP_021694380.1
OG0001053	XP_026673879.1, XP_017889260.1	XP_021695848.1
OG0001054	XP_026675559.1, XP_017875980.2	XP_001653734.1
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_021708066.1
OG0001056	XP_017875899.1	XP_001648788.1
OG0001057	XP_017890025.2	XP_021712770.1, XP_021708993.1
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_001658030.3
OG0001059	XP_017892907.1, XP_026669762.1	XP_001653804.1
OG0001060	XP_017878793.1	XP_021707337.1, XP_021707336.1, XP_021707325.1, XP_021707326.1, XP_021707327.1, XP_021707328.1, XP_021707329.1, XP_021707330.1, XP_021707331.1, XP_021707332.1, XP_021707334.1, XP_021707335.1, XP_001661251.2, XP_021707333.1
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_021698780.1
OG0001063	XP_026674066.1	XP_021705756.1
OG0001064	XP_017889753.2, XP_026674486.1	XP_021707107.1, XP_021712915.1, XP_001652913.1
OG0001065	XP_017875688.1, XP_026667241.1	XP_021698754.1, XP_021698753.1
OG0001066	XP_017890601.1, XP_017890595.1	XP_021703827.1
OG0001068	XP_026672302.1, XP_017885940.1	XP_021696931.1, XP_021696940.1
OG0001069	XP_017884474.1	XP_001654715.2
OG0001070	XP_017879692.1	XP_021694239.1, XP_021712516.1, XP_021712488.1, XP_021697806.1, XP_021710600.1, XP_021708477.1, XP_001664118.2, XP_001664116.2
OG0001071	XP_017883771.1	XP_021708458.1
OG0001072	XP_017893509.1, XP_026666801.1, XP_017893351.2	XP_001659014.2
OG0001073	XP_017875113.1, XP_026667712.1, XP_017876745.1	XP_001648274.2
OG0001074	XP_026670481.1, XP_026670484.1, XP_026670483.1, XP_026670482.1	XP_001649270.2
OG0001076	XP_026671112.1, XP_017883675.1, XP_017883674.1, XP_017883673.1, XP_017883672.1, XP_017883676.1, XP_026671113.1	XP_001655001.1
OG0001077	XP_017886713.1, XP_017886711.1, XP_017886710.1	XP_001658071.1
OG0001078	XP_017876594.1	XP_001659802.1, XP_001659805.1
OG0001079	XP_017890135.1, XP_017890133.1	XP_001662144.1
OG0001081	XP_026670255.1, XP_026670257.1	XP_021697847.1, XP_021697844.1, XP_021697843.1, XP_021697842.1, XP_021697841.1, XP_021697840.1, XP_021697839.1, XP_021697838.1, XP_021697837.1, XP_021697836.1, XP_021697846.1, XP_021697835.1
OG0001082	XP_017889163.1	XP_021698350.1, XP_021698352.1, XP_021698351.1, XP_021698353.1, XP_021698354.1, XP_021698355.1, XP_021698356.1, XP_021698357.1, XP_021712464.1
OG0001083	XP_026670468.1	XP_021698377.1
OG0001084	XP_017884959.1	XP_021699510.1, XP_021699509.1, XP_021699508.1, XP_021699507.1, XP_021699506.1, XP_021699505.1, XP_021699504.1, XP_021699503.1, XP_021699499.1, XP_021699497.1, XP_021699498.1, XP_021699501.1, XP_021699502.1, XP_021699511.1, XP_021712245.1
OG0001085	XP_017890214.1, XP_026674350.1	XP_021702814.1
OG0001086	XP_026666840.1, XP_017893628.1	XP_021708980.1
OG0001090	XP_017893581.2	XP_021695122.1, XP_001656254.2
OG0001091	XP_017890851.1	XP_021713022.1, XP_001654186.1, XP_001654185.1
OG0001092	XP_017885637.1	XP_001656078.2
OG0001093	XP_017882231.1, XP_017882233.1	XP_021712436.1, XP_021700841.1
OG0001094	XP_026670977.1, XP_017883336.1	XP_021707147.1, XP_001657391.1
OG0001095	XP_026668985.1, XP_017879354.1	XP_001653701.1, XP_001653700.1
OG0001096	XP_026674246.1	XP_001658255.2
OG0001097	XP_026670462.1, XP_017882114.1	XP_001648346.1
OG0001098	XP_026668115.1	XP_001663379.2
OG0001099	XP_017884699.1	XP_021706284.1, XP_021712729.1
OG0001101	XP_017890541.1	XP_021709309.1, XP_001653266.2, XP_021710599.1
OG0001102	XP_017881699.1, XP_017881700.1	XP_001650617.1, XP_001650616.1
OG0001103	XP_017888861.1, XP_017888862.1	XP_021700253.1, XP_021700254.1, XP_001656670.1
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	XP_001659382.1
OG0001105	XP_017879169.1	XP_021706344.1, XP_001658060.1, XP_021712605.1, XP_001660658.2
OG0001106	XP_026670188.1, XP_017881847.1	XP_001652532.1
OG0001107	XP_017880996.1	XP_001651390.1
OG0001108	XP_017876003.1	XP_001655181.1
OG0001109	XP_017890823.1	XP_001653053.1, XP_021710517.1, XP_021710518.1, XP_021710515.1, XP_021710516.1, XP_021710514.1
OG0001110	XP_017880391.1	XP_001652233.2, XP_021704703.1, XP_021704704.1, XP_021704705.1, XP_001656911.2
OG0001111	XP_017875776.1	XP_001649510.2
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_001651512.1
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_001651817.1
OG0001114	XP_017882302.1, XP_026670265.1, XP_026670268.1, XP_026670266.1, XP_026670267.1	XP_021705221.1, XP_021705222.1, XP_021705217.1, XP_021705218.1, XP_021705219.1, XP_021705220.1, XP_001650167.2
OG0001115	XP_026669291.1, XP_017880048.1	XP_021713246.1
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_021712421.1, XP_021694799.1
OG0001117	XP_017886551.1	XP_021705905.1
OG0001118	XP_026675119.1	XP_021707148.1
OG0001119	XP_017878926.1	XP_001648381.1
OG0001120	XP_026666559.1	XP_001661053.1, XP_001650112.2
OG0001121	XP_017890636.2	XP_001652212.1, XP_021705915.1
OG0001122	XP_017892931.1	XP_021709578.1, XP_021709577.1, XP_021709580.1, XP_021709579.1, XP_021709583.1, XP_021709581.1, XP_021709584.1
OG0001123	XP_026670747.1, XP_017882910.1	XP_001661722.1, XP_021693018.1, XP_021693021.1, XP_021693019.1, XP_021693020.1
OG0001124	XP_017876734.1	XP_021710981.1
OG0001125	XP_017880453.1	XP_001648386.2
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_021710924.1, XP_021710923.1, XP_021710925.1, XP_021710926.1, XP_021710927.1, XP_021710928.1, XP_021710929.1, XP_021710930.1, XP_021712472.1
OG0001127	XP_017887682.1	XP_021702833.1
OG0001128	XP_026672358.1	XP_001656417.2
OG0001129	XP_026674856.1	XP_021697564.1, XP_021697563.1, XP_021697566.1, XP_021697565.1, XP_021697562.1, XP_021697561.1
OG0001130	XP_026674418.1	XP_021693810.1
OG0001131	XP_026666894.1	XP_021709697.1, XP_021709695.1, XP_021709694.1, XP_021712509.1, XP_021709692.1, XP_021709696.1
OG0001132	XP_017888705.1	XP_001653441.1
OG0001133	XP_026670938.1	XP_021705031.1
OG0001134	XP_017887112.1	XP_021700926.1, XP_021700923.1
OG0001135	XP_017876136.1	XP_021697315.1, XP_021697331.1, XP_021697325.1
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_021704118.1, XP_021704119.1, XP_021704126.1, XP_001659752.1, XP_001659753.1
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_001655529.2
OG0001139	XP_017889561.2	XP_021708606.1
OG0001140	XP_017879114.1	XP_001654986.2
OG0001141	XP_026670436.1	XP_001649333.2
OG0001142	XP_017890662.1	XP_021708949.1, XP_021708948.1, XP_021708947.1, XP_021708946.1, XP_001650930.2
OG0001143	XP_017875724.1	XP_001662313.1
OG0001144	XP_026674201.1	XP_021713323.1
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_001656860.2, XP_021695639.1
OG0001146	XP_017891794.1, XP_017891793.1, XP_026675156.1, XP_017890052.1	XP_001660509.1
OG0001147	XP_017876980.2	XP_021694950.1
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_001654006.1, XP_001654007.1, XP_021707285.1
OG0001149	XP_017890473.1	XP_021696025.1
OG0001150	XP_017878717.1, XP_017878720.1	XP_021697593.1
OG0001151	XP_017876290.1	XP_021701521.1
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_001650532.2
OG0001153	XP_026668446.1, XP_026668492.1	XP_021702556.1
OG0001154	XP_026672481.1, XP_026672484.1	XP_021711748.1
OG0001155	XP_017891395.1, XP_017891387.1	XP_021707527.1
OG0001156	XP_017881290.1	XP_021710451.1, XP_021710447.1, XP_021710448.1, XP_021710445.1, XP_021710446.1, XP_021710449.1, XP_021712365.1, XP_021710443.1, XP_021710444.1
OG0001157	XP_017883238.2	XP_021694571.1, XP_021694572.1, XP_021694573.1
OG0001158	XP_017892393.1	XP_021699270.1
OG0001159	XP_017886271.2	XP_021710638.1
OG0001160	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1	XP_001654460.1
OG0001161	XP_017888072.1	XP_001652572.1
OG0001162	XP_026670832.1	XP_021707175.1
OG0001164	XP_017885074.1	XP_021707691.1, XP_021707690.1, XP_021707689.1
OG0001165	XP_026667629.1, XP_026667634.1, XP_026667626.1	XP_021710995.1
OG0001166	XP_017883240.1, XP_017883236.2	XP_021700484.1
OG0001167	XP_026675585.1	XP_001661518.1
OG0001168	XP_017885185.1	XP_001655162.2
OG0001169	XP_026671781.1, XP_017884666.1	XP_021700392.1, XP_001663720.1
OG0001171	XP_017875797.1	XP_021694953.1
OG0001172	XP_026674508.1, XP_017890510.1	XP_021705744.1, XP_021705736.1
OG0001173	XP_017875804.1	XP_021707670.1, XP_021707669.1, XP_021707673.1, XP_021707671.1, XP_021707672.1, XP_001650777.2
OG0001174	XP_017883929.1, XP_017875351.1	XP_001657220.1, XP_021693197.1, XP_021712297.1, XP_021712296.1
OG0001175	XP_017892341.1	XP_021696273.1, XP_021696272.1, XP_021696280.1, XP_021696281.1, XP_021696279.1, XP_021696276.1, XP_021696277.1, XP_021696274.1, XP_021696278.1, XP_021696275.1, XP_021696271.1
OG0001176	XP_017879337.1	XP_021693845.1
OG0001178	XP_026671319.1, XP_026671317.1, XP_026671318.1, XP_017883991.1	XP_001656777.2
OG0001179	XP_017882127.1	XP_021708724.1
OG0001180	XP_026672814.1, XP_026672812.1	XP_021706223.1, XP_001654740.2
OG0001181	XP_026670810.1	XP_001647577.1
OG0001182	XP_017883950.1	XP_021711115.1, XP_021711128.1
OG0001183	XP_017880599.1, XP_017880593.1	XP_021696657.1
OG0001184	XP_026670299.1, XP_026670300.1	XP_001655214.2
OG0001185	XP_026669000.1	XP_021710861.1, XP_001657234.2, XP_001659019.2, XP_021707712.1, XP_001655076.1, XP_001655077.2, XP_021705778.1, XP_021705777.1
OG0001186	XP_017876004.1	XP_001654432.1
OG0001187	XP_017888786.1	XP_021711494.1
OG0001188	XP_026674461.1, XP_026674462.1, XP_017890383.1, XP_026674465.1, XP_026674464.1, XP_026674463.1	XP_021712965.1, XP_021712966.1, XP_021712963.1, XP_021712964.1, XP_021712967.1, XP_021712968.1
OG0001189	XP_017892156.1, XP_026675309.1, XP_017892155.1	XP_021711031.1
OG0001190	XP_026675381.1, XP_017892328.1, XP_026675383.1, XP_026675382.1, XP_017892331.1, XP_017892330.1, XP_017892333.1	XP_001649672.1, XP_021702492.1
OG0001191	XP_017889344.1	XP_021704021.1, XP_001657314.2
OG0001193	XP_026668344.1, XP_017877955.1	XP_021708796.1, XP_021708797.1, XP_021708793.1, XP_021708795.1, XP_021708791.1, XP_021708792.1
OG0001195	XP_017890988.1, XP_017890987.1, XP_017890986.1	XP_001649330.2, XP_021701388.1
OG0001197	XP_026668759.1, XP_026673391.1, XP_017877666.1	XP_001653258.1
OG0001198	XP_026673471.1, XP_026673470.1, XP_017888358.1	XP_001654561.1
OG0001199	XP_017881488.1, XP_017881489.1	XP_001655189.2
OG0001202	XP_026669822.1	XP_001660281.2
OG0001203	XP_026667274.1	XP_021695231.1, XP_021698954.1, XP_021698952.1
OG0001204	XP_017882168.1	XP_021698471.1
OG0001205	XP_017889436.1, XP_017877499.1	XP_021703744.1
OG0001206	XP_017888611.2, XP_017881544.1, XP_026670043.1	XP_021704907.1
OG0001207	XP_026669781.1, XP_017880993.2	XP_021705398.1, XP_021705681.1
OG0001208	XP_017882372.2, XP_017883548.1, XP_017883550.1, XP_017883547.1	XP_021706768.1
OG0001209	XP_017875605.1, XP_017875614.1	XP_021712755.1
OG0001214	XP_017881115.1	XP_001655451.2
OG0001215	XP_017884983.1	XP_021697293.1, XP_021697294.1, XP_021697295.1
OG0001216	XP_017893516.1, XP_017893507.1	XP_001653393.1
OG0001217	XP_017886751.1, XP_017886750.1	XP_001659205.1
OG0001218	XP_017880270.1	XP_001648941.1, XP_021705472.1
OG0001219	XP_017880146.1	XP_011493503.2
OG0001220	XP_017877252.1	XP_001663266.1
OG0001221	XP_026673331.1	XP_001649949.1
OG0001222	XP_017889956.1, XP_026674122.1, XP_017889955.1	XP_021713412.1, XP_001655604.1, XP_001655603.1
OG0001223	XP_017890927.1	XP_001648095.1
OG0001224	XP_017880169.1, XP_017880171.1	XP_001660440.2, XP_001658084.2
OG0001225	XP_017883445.1	XP_001648371.1
OG0001226	XP_017882856.1, XP_017882847.1, XP_017882866.1	XP_001653501.2
OG0001227	XP_017887066.1, XP_017887067.1, XP_017887065.1	XP_021695961.1, XP_001663677.1, XP_021695960.1, XP_001663676.1
OG0001228	XP_017892582.1, XP_017892587.1	XP_021703910.1, XP_021703909.1
OG0001229	XP_017883348.1, XP_017883349.1	XP_021704947.1
OG0001230	XP_017876199.1	XP_001656889.1
OG0001231	XP_017888565.1	XP_021694672.1
OG0001232	XP_017892532.1, XP_017892536.1	XP_021700838.1
OG0001233	XP_017882351.1	XP_001654247.1, XP_021704697.1, XP_021704696.1
OG0001234	XP_026668282.1	XP_021706307.1
OG0001236	XP_026670881.1, XP_017883045.1, XP_017883046.1	XP_021698646.1, XP_021698645.1
OG0001237	XP_026669249.1	XP_021696524.1
OG0001238	XP_026673719.1, XP_026673720.1	XP_021711392.1, XP_021711407.1
OG0001239	XP_017884417.1	XP_021710256.1
OG0001240	XP_017876721.1, XP_017876729.1	XP_021700543.1
OG0001241	XP_017879036.1, XP_026668831.1	XP_021709960.1
OG0001242	XP_017885842.1, XP_017885841.1	XP_021695985.1
OG0001244	XP_017890536.1, XP_017890537.1, XP_026674530.1	XP_001653051.1
OG0001245	XP_017892758.1	XP_001649754.1, XP_021706031.1
OG0001246	XP_017887988.1	XP_021703701.1
OG0001247	XP_017883857.1, XP_017883856.1	XP_001658992.1
OG0001248	XP_017885722.1, XP_017885721.1, XP_017885720.1, XP_026672240.1	XP_021703673.1
OG0001249	XP_017887979.1	XP_001660617.1
OG0001250	XP_017883428.1	XP_001661045.2
OG0001251	XP_017882528.1	XP_021695142.1, XP_021695149.1
OG0001252	XP_017886445.1	XP_001656430.1
OG0001253	XP_026666474.1, XP_017892912.1, XP_026666475.1	XP_001651542.2, XP_021696789.1, XP_021696788.1, XP_021696787.1
OG0001254	XP_017886157.1	XP_021705862.1
OG0001255	XP_026671355.1, XP_017884086.1	XP_001647960.3
OG0001256	XP_017893021.1	XP_021694943.1, XP_021694941.1
OG0001257	XP_017882218.2	XP_021693634.1, XP_011493676.1, XP_011493675.1
OG0001258	XP_017877914.1, XP_017877911.1	XP_001652339.1, XP_021704024.1, XP_021704027.1
OG0001259	XP_017877153.1	XP_001653425.2
OG0001260	XP_017889906.1, XP_017889907.1	XP_001652317.1
OG0001261	XP_026668091.1, XP_017877511.1	XP_021710538.1, XP_021710533.1, XP_021710536.1, XP_021710535.1, XP_021710531.1, XP_021710532.1, XP_021710534.1, XP_021710537.1
OG0001262	XP_017877111.1, XP_017877113.1	XP_021711449.1
OG0001263	XP_017885436.1	XP_001658296.1
OG0001264	XP_017876225.1	XP_001657447.2
OG0001267	XP_026673666.1	XP_021705969.1, XP_021705968.1
OG0001267	XP_026673737.1	XP_001656717.2
OG0001268	XP_017888924.1	XP_021703813.1
OG0001269	XP_026666924.1, XP_026666930.1	XP_021710035.1
OG0001270	XP_017891911.1	XP_021705766.1, XP_021705767.1
OG0001271	XP_017875511.1, XP_017875509.1	XP_021705424.1, XP_021705422.1, XP_021705423.1
OG0001272	XP_017885497.1	XP_001655854.1
OG0001273	XP_026670825.1	XP_021700130.1
OG0001277	XP_017887330.1	XP_021707020.1, XP_021707021.1
OG0001278	XP_017886511.2	XP_001651785.2
OG0001279	XP_017877894.1, XP_026668364.1	XP_021694589.1
OG0001280	XP_026667929.1, XP_017877172.1	XP_001652945.1
OG0001281	XP_017881313.1	XP_021698661.1
OG0001282	XP_017882122.1	XP_021698670.1
OG0001283	XP_017892422.1	XP_021697649.1
OG0001284	XP_017886567.1, XP_017886558.1	XP_021701396.1, XP_021701391.1
OG0001285	XP_026672133.1	XP_021695377.1
OG0001286	XP_017885102.1	XP_021703120.1
OG0001287	XP_017890744.1, XP_017890741.1, XP_026674635.1	XP_021707370.1, XP_021707349.1, XP_021707348.1
OG0001288	XP_017877639.1	XP_021706525.1, XP_001659242.1
OG0001289	XP_017892764.1	XP_021694157.1
OG0001290	XP_017889603.1	XP_001660794.2, XP_021695080.1
OG0001291	XP_017886822.1	XP_001655206.2, XP_021712045.1
OG0001293	XP_017876705.1	XP_001658202.2
OG0001294	XP_017889518.1, XP_026674115.1	XP_001662562.1, XP_021712306.1
OG0001295	XP_017881319.1	XP_001655925.2, XP_021699425.1
OG0001298	XP_017881237.1	XP_021695656.1, XP_021695651.1, XP_021695650.1, XP_021695653.1, XP_021695652.1, XP_021695649.1, XP_021695655.1, XP_021695654.1, XP_001656862.1
OG0001300	XP_017888500.1, XP_017888499.1	XP_001650130.2
OG0001301	XP_026666630.1	XP_021696109.1
OG0001302	XP_026669115.1	XP_021695397.1
OG0001303	XP_017880508.1	XP_021709459.1, XP_021709460.1
OG0001304	XP_017886478.1, XP_026672517.1, XP_017886477.1	XP_001649076.2
OG0001305	XP_026666601.1	XP_021712565.1, XP_021696722.1, XP_021696724.1
OG0001306	XP_017883838.1	XP_021705682.1
OG0001307	XP_026669213.1, XP_026669216.1	XP_021695213.1
OG0001308	XP_017888463.1	XP_021706251.1
OG0001310	XP_026674326.1, XP_026674327.1, XP_017890165.1	XP_001647946.2
OG0001312	XP_017880083.1, XP_017880079.1	XP_001654151.1
OG0001314	XP_017877181.1	XP_021697255.1, XP_021697257.1, XP_001663445.2, XP_021697256.1
OG0001315	XP_026672911.1, XP_017887152.1	XP_001663877.1, XP_021699529.1
OG0001316	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1	XP_021698705.1
OG0001317	XP_017878772.1	XP_021699168.1
OG0001318	XP_026667476.1	XP_021702414.1
OG0001319	XP_026666767.1, XP_017893376.1	XP_021704855.1
OG0001320	XP_026671122.1, XP_026671123.1, XP_017883626.1	XP_021708785.1, XP_021708784.1, XP_021708783.1, XP_021708782.1
OG0001321	XP_026667384.1	XP_021710244.1
OG0001322	XP_017891378.1	XP_021713221.1, XP_021713222.1, XP_021713223.1
OG0001328	XP_017882111.1	XP_021709467.1
OG0001329	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1	XP_001657589.2
OG0001330	XP_017891678.1	XP_001652750.1
OG0001331	XP_017883464.1	XP_001654299.1
OG0001332	XP_017882789.1, XP_017882787.1	XP_001652269.1
OG0001333	XP_017892813.1	XP_001651256.1
OG0001334	XP_026669091.1, XP_026669092.1	XP_001650222.1, XP_001654443.1
OG0001335	XP_017882018.2, XP_017882019.1	XP_001649624.2, XP_001649625.2
OG0001336	XP_026670312.1	XP_021703688.1, XP_021703684.1
OG0001337	XP_017879502.1, XP_017879503.1	XP_021707110.1
OG0001338	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1	XP_001660476.2
OG0001339	XP_017886121.1	XP_001654036.2
OG0001340	XP_017890061.1, XP_017877160.1	XP_021709482.1, XP_001655390.1, XP_001655391.1
OG0001341	XP_026672596.1	XP_021695378.1
OG0001342	XP_017878213.1	XP_021707182.1
OG0001343	XP_017884609.1	XP_001662179.2
OG0001345	XP_017890181.1, XP_026674313.1, XP_026674314.1	XP_001661090.1
OG0001346	XP_017876879.1	XP_001648900.1, XP_021707707.1
OG0001347	XP_017893537.1	XP_001659204.1
OG0001348	XP_017876044.1	XP_001661832.1
OG0001349	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1	XP_001654544.1
OG0001350	XP_017882882.1	XP_001655317.2
OG0001351	XP_026674120.1, XP_017889532.1	XP_021705308.1, XP_021705307.1, XP_021705305.1, XP_021705304.1, XP_021705303.1, XP_021705302.1, XP_021705309.1
OG0001352	XP_017881148.1	XP_021705226.1
OG0001353	XP_017882726.1	XP_001656906.2
OG0001354	XP_026667483.1, XP_017876228.1	XP_001663103.2
OG0001355	XP_017888035.2	XP_021710337.1
OG0001356	XP_017888519.1	XP_021696915.1
OG0001357	XP_017885862.1	XP_021700297.1, XP_021700298.1, XP_021700299.1, XP_021700289.1, XP_021700288.1, XP_021700294.1, XP_021700295.1, XP_021700296.1, XP_021700290.1, XP_021700292.1, XP_021700293.1, XP_021700300.1
OG0001359	XP_017882565.1, XP_017882566.1	XP_001655316.1
OG0001361	XP_026672730.1, XP_017886731.1, XP_017886732.1	XP_001653274.2, XP_021709382.1, XP_021709377.1, XP_021711749.1
OG0001362	XP_017891783.1	XP_021711634.1, XP_001650538.2, XP_021711639.1, XP_021711636.1, XP_021711635.1, XP_021711638.1, XP_021711637.1
OG0001363	XP_017886031.2, XP_017885003.1	XP_001659788.1
OG0001364	XP_026666520.1	XP_021704232.1
OG0001365	XP_017890494.1	XP_021703837.1, XP_021703838.1, XP_021703833.1, XP_021703834.1, XP_021703836.1, XP_021703835.1
OG0001367	XP_017879464.1	XP_001648364.2, XP_001657924.1, XP_001654932.2, XP_001654934.2, XP_001660482.1, XP_001660484.1, XP_001660483.1, XP_021701594.1, XP_001657925.2
OG0001368	XP_017881299.1	XP_001658458.1, XP_021709263.1, XP_021709266.1
OG0001369	XP_017893611.1	XP_001661015.2
OG0001370	XP_017887687.1	XP_021711931.1, XP_001650631.2
OG0001371	XP_017878765.1	XP_001649083.3, XP_021697602.1, XP_021712118.1
OG0001372	XP_017881661.1, XP_017891436.1, XP_017879762.1	XP_021696997.1, XP_021697000.1, XP_021697001.1, XP_021696999.1, XP_021696995.1, XP_021696996.1
OG0001373	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1	XP_021694453.1
OG0001374	XP_026673332.1, XP_017888065.2	XP_001657485.1
OG0001375	XP_017884465.1, XP_017884481.1	XP_021699017.1, XP_021699013.1
OG0001376	XP_017892499.1, XP_017892497.1	XP_021704527.1
OG0001377	XP_017877173.1	XP_001664237.1
OG0001378	XP_017887871.1	XP_021712935.1, XP_021712936.1, XP_001649534.1, XP_021695113.1
OG0001379	XP_017893069.1	XP_021700986.1, XP_021700988.1, XP_021700987.1, XP_021700980.1, XP_021700981.1, XP_021700982.1, XP_021700983.1, XP_021700984.1, XP_001649718.1, XP_021700985.1
OG0001380	XP_017875912.1	XP_021703772.1, XP_021703773.1, XP_021703774.1, XP_001653369.1, XP_021703771.1
OG0001381	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1	XP_001648807.1
OG0001382	XP_026667542.1	XP_021701098.1, XP_001651389.2, XP_001648852.1
OG0001383	XP_017878984.1	XP_001662373.2
OG0001384	XP_017879068.1	XP_001660023.2
OG0001385	XP_017879493.1	XP_021698595.1
OG0001386	XP_017875382.1	XP_021698247.1
OG0001387	XP_017883516.1	XP_001656936.1
OG0001388	XP_017880362.1	XP_021711868.1, XP_021710112.1
OG0001389	XP_026674453.1, XP_026675071.1, XP_017892329.1	XP_021705377.1, XP_001661979.2, XP_021698303.1, XP_021698302.1
OG0001390	XP_017887124.1	XP_021700843.1
OG0001391	XP_017876528.1, XP_017876529.1	XP_021697039.1, XP_021697040.1, XP_021697038.1, XP_021697041.1
OG0001392	XP_026667204.1, XP_017875693.1, XP_017875702.1	XP_021709568.1, XP_021709569.1, XP_021709567.1
OG0001393	XP_017879548.1	XP_021696289.1, XP_021696288.1
OG0001394	XP_026674847.1	XP_001650424.1
OG0001395	XP_017877486.1	XP_021696363.1, XP_021696349.1
OG0001396	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1	XP_001662596.2, XP_021699720.1
OG0001397	XP_017889289.1, XP_017889291.1	XP_021712502.1, XP_021693812.1
OG0001398	XP_026672922.1, XP_017887263.1, XP_026672921.1	XP_001657045.2, XP_021694877.1
OG0001399	XP_026673393.1	XP_001651707.1
OG0001400	XP_017883457.1	XP_021703961.1, XP_021703962.1
OG0001401	XP_017889463.1, XP_017889465.1, XP_026673966.1	XP_001660577.1
OG0001402	XP_026667249.1	XP_001664062.1
OG0001403	XP_026672021.1, XP_026672022.1	XP_021710754.1, XP_001650547.1
OG0001404	XP_017878479.1	XP_001659873.1, XP_021700729.1, XP_021700728.1
OG0001405	XP_017885433.1	XP_001649519.2, XP_001649518.2, XP_001649517.2
OG0001406	XP_017878387.1	XP_021712670.1
OG0001407	XP_026673136.1, XP_017887725.1	XP_021704231.1, XP_021704230.1
OG0001409	XP_017890921.1	XP_021711099.1
OG0001410	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1	XP_021708563.1
OG0001413	XP_017891083.1	XP_021694446.1
OG0001414	XP_017885076.1	XP_021702146.1
OG0001415	XP_017887419.1, XP_017887415.1	XP_021699093.1
OG0001416	XP_026668278.1, XP_017882648.2	XP_021712252.1, XP_021700673.1
OG0001417	XP_017887492.1	XP_021695666.1
OG0001418	XP_017885400.1	XP_021702027.1
OG0001419	XP_017882635.1, XP_026670647.1	XP_021703807.1
OG0001420	XP_026671452.1	XP_001655783.1, XP_001652599.2
OG0001421	XP_017892744.1, XP_017892743.1	XP_001657115.1
OG0001422	XP_017885854.1, XP_017885853.1, XP_026672326.1	XP_001650075.2
OG0001423	XP_026669133.1, XP_026667553.1	XP_001659271.2
OG0001424	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1	XP_001648513.1
OG0001425	XP_017875961.1	XP_021693444.1, XP_021693451.1, XP_021693464.1, XP_021693471.1, XP_021693468.1, XP_021693475.1, XP_021693480.1, XP_021693491.1, XP_021693456.1
OG0001426	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1	XP_021701495.1
OG0001427	XP_017887786.1	XP_001660203.1
