Orthogroup	Ceratina_calcarata	Vespa_mandarinia
OG0000806	XP_026674155.1	XP_035717179.1
OG0000807	XP_017886888.1, XP_017886889.1	XP_035724467.1
OG0000808	XP_017876658.1	XP_035738450.1
OG0000808	XP_026667693.1	XP_035738448.1
OG0000809	XP_017883524.1, XP_026671041.1	XP_035733176.1, XP_035733168.1
OG0000810	XP_026670613.1	XP_035723927.1, XP_035723925.1, XP_035723926.1
OG0000811	XP_017879550.1	XP_035739302.1
OG0000812	XP_017887581.1	XP_035737174.1
OG0000812	XP_017886173.1	XP_035741003.1
OG0000813	XP_026671097.1, XP_026671096.1, XP_017883701.1	XP_035737583.1
OG0000814	XP_017893684.1	XP_035736228.1
OG0000815	XP_026673431.1, XP_017888284.1	XP_035726011.1, XP_035726013.1
OG0000816	XP_026667608.1, XP_026667607.1	XP_035717990.1
OG0000817	XP_017882319.1	XP_035734155.1, XP_035734157.1
OG0000818	XP_017880930.1, XP_017880932.1, XP_017880931.1, XP_017880933.1, XP_017880934.1	XP_035727225.1
OG0000819	XP_017882839.1	XP_035736129.1
OG0000819	XP_017882838.1	XP_035736127.1
OG0000820	XP_026671533.1	XP_035727120.1
OG0000821	XP_017876676.1	XP_035730075.1
OG0000822	XP_026669777.1, XP_026669775.1, XP_026667910.1	XP_035736969.1
OG0000823	XP_017881113.1, XP_017878870.2	XP_035732382.1, XP_035732383.1, XP_035732384.1
OG0000824	XP_017885674.1, XP_017885675.1	XP_035718672.1
OG0000825	XP_017885016.1	XP_035730924.1, XP_035730923.1
OG0000826	XP_017883572.1	XP_035721104.1
OG0000827	XP_017882257.1, XP_017882258.1	XP_035729075.1, XP_035729082.1
OG0000828	XP_017875153.1	XP_035733882.1, XP_035733881.1, XP_035733880.1
OG0000829	XP_017879917.1	XP_035738725.1
OG0000830	XP_026669680.1	XP_035744221.1, XP_035744218.1, XP_035744219.1, XP_035744220.1
OG0000831	XP_017876837.1, XP_017876839.1	XP_035720383.1
OG0000832	XP_017892866.1	XP_035729990.1, XP_035729985.1, XP_035729989.1, XP_035729988.1, XP_035729986.1, XP_035729987.1
OG0000833	XP_017886589.1, XP_017886597.1	XP_035739568.1, XP_035739556.1
OG0000834	XP_026667171.1	XP_035737030.1
OG0000835	XP_026666973.1, XP_017877314.1	XP_035731442.1
OG0000836	XP_026669243.1, XP_017887401.1	XP_035731936.1
OG0000836	XP_017889735.1, XP_017889737.1	XP_035735176.1
OG0000837	XP_017885647.1, XP_017885639.1	XP_035742051.1, XP_035742050.1
OG0000839	XP_017890647.1, XP_017883228.1, XP_017883229.1, XP_017883230.1, XP_026670908.1	XP_035722759.1
OG0000840	XP_026675422.1, XP_017892526.1, XP_017892525.1	XP_035732134.1, XP_035732126.1
OG0000841	XP_017893228.1	XP_035743574.1
OG0000844	XP_017890723.1, XP_017890736.1, XP_017890735.1	XP_035726706.1, XP_035726705.1, XP_035726704.1
OG0000845	XP_026675280.1	XP_035742155.1
OG0000846	XP_017880967.1	XP_035739853.1
OG0000850	XP_017883460.1, XP_026671012.1, XP_026671013.1	XP_035734698.1, XP_035734700.1, XP_035734699.1
OG0000851	XP_017893012.1, XP_017893037.1	XP_035739417.1, XP_035739418.1
OG0000852	XP_017892777.1	XP_035722545.1
OG0000853	XP_017890670.1, XP_017890668.1, XP_017890669.1	XP_035739346.1, XP_035739347.1
OG0000854	XP_026668939.1	XP_035742303.1, XP_035742304.1
OG0000856	XP_017889319.1	XP_035723721.1, XP_035723725.1
OG0000856	XP_017889323.1	XP_035723746.1
OG0000857	XP_017893630.1	XP_035717218.1, XP_035717217.1
OG0000858	XP_017886982.1	XP_035742118.1
OG0000859	XP_017888184.1	XP_035717151.1
OG0000860	XP_017880741.1, XP_017880743.1, XP_017880742.1, XP_026669662.1	XP_035742707.1, XP_035742708.1
OG0000861	XP_017884014.1	XP_035722985.1
OG0000862	XP_026675565.1	XP_035720777.1, XP_035720780.1
OG0000863	XP_017883453.1	XP_035723848.1
OG0000864	XP_017890226.1	XP_035742216.1
OG0000865	XP_017879477.1	XP_035717940.1
OG0000866	XP_017881151.1, XP_017890706.1	XP_035725128.1, XP_035725127.1, XP_035725126.1, XP_035725125.1, XP_035725132.1, XP_035725131.1, XP_035725129.1
OG0000867	XP_017892522.1	XP_035743017.1, XP_035743016.1, XP_035743015.1
OG0000868	XP_017876441.1	XP_035736876.1
OG0000869	XP_017885045.1	XP_035725570.1, XP_035725572.1, XP_035725569.1, XP_035725571.1
OG0000870	XP_017882806.1	XP_035726342.1, XP_035726343.1, XP_035726345.1, XP_035726344.1, XP_035726341.1, XP_035726339.1, XP_035726346.1
OG0000871	XP_017875546.1, XP_017875545.1, XP_017875544.1, XP_017875547.1	XP_035734847.1, XP_035734848.1, XP_035734846.1
OG0000872	XP_017890947.1, XP_017890949.1	XP_035731796.1
OG0000873	XP_017876463.1	XP_035724593.1
OG0000874	XP_017875134.1, XP_017875126.1	XP_035719736.1, XP_035719737.1, XP_035719735.1
OG0000875	XP_017877547.1, XP_026668088.1	XP_035719948.1, XP_035719950.1
OG0000876	XP_017893076.1, XP_017893077.1	XP_035727816.1, XP_035727817.1
OG0000877	XP_017893520.1	XP_035731826.1
OG0000878	XP_017891250.1	XP_035718132.1
OG0000879	XP_017884291.1, XP_017884292.1	XP_035731414.1, XP_035731397.1
OG0000880	XP_017884925.1	XP_035726998.1
OG0000881	XP_017885691.1	XP_035744143.1
OG0000882	XP_017883743.2, XP_017892810.1	XP_035728833.1
OG0000883	XP_017889898.1	XP_035736276.1, XP_035736278.1, XP_035736277.1
OG0000884	XP_017889744.1	XP_035738105.1
OG0000886	XP_017882141.1, XP_017882142.1	XP_035725399.1, XP_035725400.1
OG0000887	XP_017892830.1	XP_035732962.1
OG0000887	XP_017885763.1	XP_035732968.1
OG0000888	XP_017879321.1, XP_017883946.1, XP_017879308.1, XP_017885395.1, XP_026672076.1, XP_017885625.1	XP_035736263.1, XP_035736262.1
OG0000890	XP_017893651.1	XP_035744053.1
OG0000891	XP_026675086.1, XP_026675088.1, XP_026675087.1, XP_026675089.1, XP_026675084.1, XP_026675085.1	XP_035739937.1, XP_035739939.1, XP_035739938.1
OG0000892	XP_017884452.1, XP_017884453.1	XP_035725498.1, XP_035725490.1, XP_035725512.1
OG0000894	XP_017890425.1	XP_035735298.1
OG0000895	XP_017882439.1, XP_017882435.1	XP_035741878.1, XP_035741880.1, XP_035741883.1
OG0000896	XP_017889339.1	XP_035723356.1
OG0000897	XP_026672229.1, XP_026672228.1, XP_017885746.1, XP_026672230.1	XP_035722018.1
OG0000898	XP_017883522.1	XP_035717149.1
OG0000898	XP_017888978.1	XP_035743764.1
OG0000899	XP_017878878.1, XP_017878881.1	XP_035742086.1
OG0000901	XP_017887365.1	XP_035736679.1
OG0000902	XP_017889316.1, XP_017889317.1, XP_017885425.2, XP_017889332.1	XP_035721592.1
OG0000903	XP_017880475.1	XP_035722703.1
OG0000904	XP_026670694.1	XP_035734474.1
OG0000904	XP_017882183.1	XP_035736739.1
OG0000905	XP_017885864.1	XP_035726207.1, XP_035726206.1
OG0000906	XP_026674997.1	XP_035725564.1
OG0000908	XP_017886603.1, XP_017886604.1	XP_035719412.1
OG0000909	XP_017880094.1	XP_035718276.1, XP_035718279.1
OG0000910	XP_017893366.1	XP_035717751.1
OG0000911	XP_026671666.1, XP_026671665.1	XP_035734733.1
OG0000912	XP_026672257.1	XP_035728913.1, XP_035728912.1, XP_035728914.1, XP_035728910.1, XP_035728911.1, XP_035728908.1, XP_035728909.1
OG0000913	XP_017879669.1	XP_035737127.1, XP_035737122.1, XP_035737125.1, XP_035737124.1, XP_035737126.1
OG0000914	XP_017890825.1	XP_035744281.1, XP_035744280.1
OG0000916	XP_017886050.1	XP_035734907.1
OG0000917	XP_017885753.1, XP_026672248.1, XP_026672249.1, XP_026672246.1, XP_026672250.1	XP_035732616.1
OG0000918	XP_017892856.1, XP_017892858.1	XP_035726969.1
OG0000919	XP_026670595.1, XP_017882531.1, XP_017882532.1	XP_035731675.1, XP_035731674.1
OG0000920	XP_017882960.1, XP_017882961.1	XP_035730710.1, XP_035730709.1, XP_035730711.1
OG0000921	XP_017876672.1	XP_035728984.1, XP_035728986.1, XP_035728987.1, XP_035728988.1
OG0000922	XP_017881550.1	XP_035722257.1
OG0000923	XP_026673995.1, XP_026673992.1	XP_035731183.1, XP_035731180.1, XP_035731193.1
OG0000924	XP_017886187.1	XP_035741017.1
OG0000925	XP_026673797.1	XP_035742092.1, XP_035742093.1
OG0000927	XP_017879362.1	XP_035743166.1
OG0000928	XP_017876706.1	XP_035719794.1
OG0000929	XP_017889840.1	XP_035721437.1
OG0000930	XP_017885049.1, XP_017885048.1, XP_017885047.1, XP_017885046.1, XP_017885051.1, XP_026671578.1, XP_026671577.1, XP_017885050.1	XP_035740434.1
OG0000931	XP_017889354.1	XP_035727865.1
OG0000931	XP_017889954.1	XP_035727884.1
OG0000932	XP_026668435.1, XP_017882828.1, XP_017878105.1, XP_017878106.1	XP_035728300.1, XP_035728299.1
OG0000933	XP_017885233.1	XP_035740977.1
OG0000933	XP_017889066.1	XP_035742089.1
OG0000934	XP_026669064.1	XP_035732202.1, XP_035732199.1, XP_035732197.1, XP_035732201.1, XP_035732200.1
OG0000935	XP_017888524.1	XP_035729878.1
OG0000936	XP_026673057.1, XP_026673056.1, XP_026673055.1, XP_017887707.1	XP_035720179.1, XP_035720183.1, XP_035720185.1, XP_035720181.1, XP_035720182.1, XP_035720186.1, XP_035720187.1, XP_035720180.1
OG0000937	XP_017893219.1, XP_017893217.1, XP_017893218.1	XP_035717338.1
OG0000938	XP_017888840.1	XP_035722535.1
OG0000939	XP_017875080.1	XP_035735601.1
OG0000939	XP_026666921.1	XP_035735930.1
OG0000940	XP_026674042.1	XP_035731227.1, XP_035742933.1
OG0000941	XP_017885418.1	XP_035724313.1, XP_035724314.1
OG0000943	XP_017886498.1, XP_017886502.1, XP_017886500.1, XP_026672568.1	XP_035718109.1
OG0000944	XP_026671702.1	XP_035723267.1
OG0000945	XP_017886600.1	XP_035719915.1
OG0000946	XP_017891222.1	XP_035719465.1
OG0000946	XP_017875247.1	XP_035720946.1, XP_035720947.1
OG0000947	XP_017888055.2, XP_017887810.2	XP_035729217.1
OG0000947	XP_026674145.1	XP_035734133.1
OG0000948	XP_017893300.1, XP_026666632.1	XP_035737505.1, XP_035737506.1
OG0000949	XP_017885282.1	XP_035734313.1, XP_035734312.1
OG0000950	XP_017877105.1	XP_035730236.1, XP_035730238.1, XP_035730237.1
OG0000951	XP_017893111.1	XP_035723109.1, XP_035723110.1, XP_035723111.1, XP_035723108.1
OG0000952	XP_026672038.1	XP_035731220.1, XP_035731221.1
OG0000953	XP_026666455.1	XP_035738982.1
OG0000954	XP_017875030.1	XP_035729183.1
OG0000955	XP_026669575.1, XP_026669572.1	XP_035737790.1
OG0000957	XP_017878368.1, XP_017888803.1	XP_035723149.1
OG0000958	XP_026668322.1	XP_035732816.1, XP_035732811.1
OG0000959	XP_017876466.1	XP_035729883.1
OG0000960	XP_026674889.1	XP_035724669.1
OG0000961	XP_017881300.1, XP_026669919.1	XP_035717256.1
OG0000962	XP_026671636.1, XP_026671640.1, XP_026671643.1, XP_026671646.1	XP_035727271.1, XP_035727294.1
OG0000963	XP_017878327.1, XP_017878328.1	XP_035720893.1
OG0000964	XP_017884013.1, XP_026671311.1	XP_035722121.1
OG0000965	XP_026674413.1	XP_035718659.1
OG0000965	XP_026674410.1	XP_035718668.1
OG0000966	XP_017891560.1	XP_035734437.1, XP_035734436.1, XP_035734435.1
OG0000967	XP_026666863.1	XP_035731612.1
OG0000968	XP_017889067.1, XP_026673743.1, XP_017889070.1	XP_035742069.1, XP_035742068.1
OG0000970	XP_017880003.1	XP_035739818.1, XP_035739819.1
OG0000972	XP_017890471.1, XP_017890470.1	XP_035738757.1, XP_035738748.1, XP_035738768.1
OG0000973	XP_017884491.1, XP_026671512.1	XP_035730507.1, XP_035730504.1, XP_035730506.1, XP_035730508.1, XP_035730505.1, XP_035730510.1
OG0000974	XP_017884832.1, XP_026671770.1, XP_026671774.1	XP_035732401.1, XP_035732396.1
OG0000975	XP_017877765.2	XP_035727718.1, XP_035727749.1
OG0000976	XP_017888946.1	XP_035723671.1, XP_035723679.1, XP_035723685.1, XP_035723662.1
OG0000977	XP_017877841.1	XP_035719284.1, XP_035719283.1
OG0000978	XP_026674826.1	XP_035724394.1
OG0000978	XP_026667495.1	XP_035743561.1
OG0000979	XP_017892136.2	XP_035734273.1
OG0000979	XP_026674816.1	XP_035729461.1
OG0000980	XP_017883986.2, XP_026675352.1, XP_026675346.1, XP_026675348.1, XP_017892228.1	XP_035719471.1
OG0000981	XP_017878726.2	XP_035729647.1, XP_035729648.1
OG0000982	XP_026675040.1, XP_026675041.1, XP_026675038.1, XP_026675039.1	XP_035730163.1
OG0000983	XP_017879542.2, XP_026669047.1, XP_026669048.1	XP_035733695.1, XP_035733694.1, XP_035733693.1, XP_035733692.1, XP_035733696.1
OG0000984	XP_026674365.1	XP_035720738.1
OG0000984	XP_017891339.1	XP_035720737.1
OG0000985	XP_026667700.1	XP_035722289.1, XP_035722290.1, XP_035722291.1, XP_035722294.1, XP_035722295.1, XP_035722293.1, XP_035722292.1
OG0000987	XP_017880586.1	XP_035739476.1
OG0000987	XP_017884365.1, XP_017877335.1	XP_035741142.1
OG0000988	XP_026667444.1	XP_035733739.1, XP_035733732.1
OG0000989	XP_026675231.1, XP_026675228.1	XP_035732262.1, XP_035732263.1, XP_035732243.1
OG0000992	XP_017893370.1, XP_017893371.1	XP_035732019.1, XP_035732018.1, XP_035732016.1
OG0000993	XP_026674940.1, XP_017891258.1	XP_035737417.1
OG0000994	XP_017879341.1	XP_035720197.1
OG0000995	XP_017882601.1	XP_035738707.1
OG0000995	XP_026669276.1	XP_035722832.1
OG0000996	XP_017883214.1	XP_035732862.1
OG0000997	XP_017876432.1	XP_035724864.1
OG0000997	XP_017883103.1	XP_035724863.1
OG0000998	XP_017877162.1, XP_017877163.1, XP_017877016.1	XP_035742102.1
OG0000999	XP_026667468.1	XP_035722769.1
OG0001000	XP_017892385.1	XP_035723338.1, XP_035723337.1, XP_035723336.1, XP_035723335.1
OG0001001	XP_026666845.1	XP_035717221.1
OG0001003	XP_017891646.1	XP_035729018.1
OG0001003	XP_026675044.1, XP_017891644.1	XP_035729021.1
OG0001004	XP_026667644.1	XP_035741234.1
OG0001004	XP_017876494.1	XP_035733627.1
OG0001005	XP_017887157.1, XP_026672906.1	XP_035723658.1
OG0001006	XP_017882317.1, XP_026670369.1	XP_035740141.1, XP_035740139.1
OG0001007	XP_026671812.1	XP_035743845.1
OG0001008	XP_026668551.1	XP_035738052.1
OG0001009	XP_026674414.1	XP_035718670.1
OG0001009	XP_017879990.1	XP_035738303.1
OG0001010	XP_017885889.1	XP_035724541.1
OG0001011	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_017888895.1, XP_026673687.1	XP_035722498.1, XP_035722517.1, XP_035722507.1, XP_035722528.1, XP_035722532.1, XP_035722461.1, XP_035722472.1, XP_035722482.1, XP_035722489.1
OG0001012	XP_026670898.1	XP_035725259.1
OG0001013	XP_026672910.1	XP_035722228.1, XP_035722222.1
OG0001014	XP_017880523.1	XP_035720767.1, XP_035720768.1
OG0001015	XP_017885465.1	XP_035731994.1
OG0001016	XP_026667185.1	XP_035726600.1
OG0001016	XP_017878501.1	XP_035730531.1
OG0001017	XP_017875901.1	XP_035722072.1
OG0001018	XP_017890939.2	XP_035723331.1
OG0001018	XP_017890938.1	XP_035727220.1
OG0001019	XP_017879984.1	XP_035722052.1
OG0001020	XP_017887363.1, XP_017887362.1	XP_035719947.1
OG0001021	XP_017892630.1, XP_017892631.1, XP_017892636.1, XP_017892634.1, XP_017892635.1, XP_026675531.1, XP_026675529.1, XP_017892632.1, XP_017892633.1	XP_035735706.1
OG0001022	XP_026675580.1	XP_035729459.1
OG0001023	XP_026668790.1	XP_035718321.1
OG0001024	XP_017885034.1, XP_017885035.1, XP_017885032.1, XP_017885033.1	XP_035718102.1, XP_035718100.1, XP_035718101.1, XP_035720108.1, XP_035720106.1, XP_035720107.1, XP_035720104.1, XP_035720105.1
OG0001025	XP_017876689.1	XP_035717529.1
OG0001026	XP_017892009.1	XP_035717489.1
OG0001027	XP_017890057.1	XP_035724948.1
OG0001028	XP_026673787.1	XP_035720221.1
OG0001029	XP_026673479.1, XP_017888402.1	XP_035735438.1, XP_035735432.1
OG0001030	XP_017882215.1	XP_035725397.1
OG0001031	XP_017889036.1, XP_017889035.1, XP_017889038.1	XP_035743774.1
OG0001032	XP_017875311.1	XP_035719411.1
OG0001032	XP_017876832.2	XP_035723439.1
OG0001033	XP_017892398.1, XP_026675392.1, XP_026675393.1, XP_026675394.1	XP_035734763.1, XP_035734772.1, XP_035734782.1
OG0001034	XP_026668306.1	XP_035732600.1
OG0001035	XP_017893314.1	XP_035720110.1, XP_035720109.1
OG0001036	XP_026675481.1, XP_017892316.2	XP_035722778.1
OG0001036	XP_017887566.1	XP_035726486.1
OG0001037	XP_017883260.1	XP_035725203.1
OG0001038	XP_017879595.1	XP_035739216.1, XP_035739213.1, XP_035739214.1, XP_035739212.1, XP_035739215.1
OG0001039	XP_017893287.1	XP_035723095.1, XP_035723097.1, XP_035723098.1, XP_035723096.1
OG0001040	XP_017879986.1	XP_035721906.1
OG0001041	XP_017893031.1	XP_035742799.1
OG0001042	XP_026671321.1	XP_035722312.1
OG0001043	XP_017885202.1, XP_026671998.1	XP_035738054.1
OG0001044	XP_017891564.1	XP_035728322.1
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_035743312.1
OG0001046	XP_017882600.1, XP_026670603.1	XP_035741327.1
OG0001048	XP_026672569.1	XP_035720068.1
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_035740799.1, XP_035740795.1
OG0001050	XP_017883752.1, XP_017883754.1	XP_035737216.1, XP_035737211.1
OG0001051	XP_026673462.1, XP_026673463.1, XP_017888304.1, XP_017888306.1	XP_035743228.1
OG0001052	XP_017891386.1	XP_035731117.1
OG0001053	XP_017889260.1	XP_035734067.1
OG0001054	XP_026675559.1, XP_017875980.2	XP_035722717.1
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_035744174.1
OG0001056	XP_017875899.1	XP_035735856.1, XP_035735855.1
OG0001057	XP_017890025.2	XP_035724945.1, XP_035724943.1, XP_035724946.1, XP_035724947.1
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_035728810.1
OG0001059	XP_017892907.1	XP_035720585.1
OG0001059	XP_026669762.1	XP_035728404.1
OG0001060	XP_017878793.1	XP_035721321.1
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_035742981.1
OG0001063	XP_026674066.1	XP_035740703.1
OG0001064	XP_017889753.2, XP_026674486.1	XP_035726905.1, XP_035726902.1
OG0001065	XP_017875688.1, XP_026667241.1	XP_035734976.1, XP_035735146.1
OG0001066	XP_017890601.1, XP_017890595.1	XP_035732534.1
OG0001068	XP_026672302.1, XP_017885940.1	XP_035740926.1, XP_035740930.1
OG0001069	XP_017884474.1	XP_035727125.1
OG0001070	XP_017879692.1	XP_035718298.1
OG0001071	XP_017883771.1	XP_035729209.1, XP_035729210.1, XP_035729208.1, XP_035729211.1
OG0001072	XP_017893351.2	XP_035719453.1, XP_035719456.1, XP_035719454.1
OG0001073	XP_026667712.1	XP_035740245.1
OG0001073	XP_017876745.1	XP_035740249.1
OG0001074	XP_026670481.1	XP_035737700.1, XP_035737701.1, XP_035737699.1
OG0001074	XP_026670484.1, XP_026670483.1, XP_026670482.1	XP_035737702.1
OG0001075	XP_017880384.1, XP_026669442.1	XP_035726975.1
OG0001076	XP_026671112.1, XP_017883675.1, XP_017883674.1, XP_017883673.1, XP_017883672.1, XP_017883676.1, XP_026671113.1	XP_035732620.1, XP_035732621.1
OG0001077	XP_017886713.1, XP_017886711.1, XP_017886710.1	XP_035742941.1
OG0001078	XP_017876594.1	XP_035722866.1
OG0001079	XP_017890135.1, XP_017890133.1	XP_035730856.1
OG0001081	XP_026670255.1, XP_026670257.1	XP_035723041.1
OG0001082	XP_017889163.1	XP_035718490.1
OG0001083	XP_026670468.1	XP_035723022.1, XP_035723021.1
OG0001084	XP_017884959.1	XP_035717556.1
OG0001085	XP_017890214.1, XP_026674350.1	XP_035741383.1
OG0001086	XP_026666840.1, XP_017893628.1	XP_035725344.1
OG0001087	XP_017875528.1, XP_017875529.1	XP_035735831.1, XP_035735832.1, XP_035735830.1
OG0001090	XP_017893581.2	XP_035731633.1
OG0001091	XP_017890851.1	XP_035737105.1
OG0001092	XP_017885637.1	XP_035728916.1, XP_035728917.1
OG0001093	XP_017882231.1, XP_017882233.1	XP_035737569.1
OG0001094	XP_026670977.1, XP_017883336.1	XP_035721561.1
OG0001095	XP_026668985.1, XP_017879354.1	XP_035733586.1
OG0001096	XP_026674246.1	XP_035719539.1, XP_035719538.1
OG0001097	XP_026670462.1, XP_017882114.1	XP_035731592.1
OG0001098	XP_026668115.1	XP_035718998.1
OG0001099	XP_017884699.1	XP_035735209.1
OG0001100	XP_017876756.1, XP_017876755.1, XP_017876754.1	XP_035729877.1
OG0001101	XP_017890541.1	XP_035727559.1
OG0001102	XP_017881699.1, XP_017881700.1	XP_035744259.1, XP_035744260.1
OG0001103	XP_017888861.1, XP_017888862.1	XP_035718889.1, XP_035718879.1, XP_035718859.1, XP_035718870.1, XP_035718851.1
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	XP_035740852.1
OG0001105	XP_017879169.1	XP_035717778.1
OG0001106	XP_026670188.1, XP_017881847.1	XP_035737972.1, XP_035737963.1
OG0001107	XP_017880996.1	XP_035734651.1
OG0001108	XP_017876003.1	XP_035740396.1
OG0001109	XP_017890823.1	XP_035743539.1, XP_035743540.1, XP_035743542.1, XP_035743543.1
OG0001110	XP_017880391.1	XP_035730071.1
OG0001111	XP_017875776.1	XP_035729758.1
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_035730698.1, XP_035730700.1
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_035737179.1
OG0001114	XP_017882302.1, XP_026670265.1, XP_026670268.1, XP_026670266.1, XP_026670267.1	XP_035721968.1
OG0001115	XP_026669291.1, XP_017880048.1	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_035724249.1, XP_035724250.1
OG0001117	XP_017886551.1	XP_035719019.1
OG0001118	XP_026675119.1	XP_035726408.1, XP_035726409.1
OG0001119	XP_017878926.1	XP_035717623.1, XP_035717612.1
OG0001120	XP_026666559.1	XP_035717233.1, XP_035741137.1
OG0001121	XP_017890636.2	XP_035730111.1
OG0001122	XP_017892931.1	XP_035725779.1
OG0001123	XP_026670747.1, XP_017882910.1	XP_035736049.1
OG0001124	XP_017876734.1	XP_035718191.1
OG0001125	XP_017880453.1	XP_035719604.1, XP_035719593.1, XP_035719583.1
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_035724958.1
OG0001129	XP_026674856.1	XP_035724905.1, XP_035724906.1, XP_035724908.1
OG0001130	XP_026674418.1	XP_035736404.1
OG0001131	XP_026666894.1	XP_035729170.1
OG0001132	XP_017888705.1	XP_035728741.1, XP_035728742.1, XP_035728743.1
OG0001133	XP_026670938.1	XP_035725198.1, XP_035725197.1
OG0001135	XP_017876136.1	XP_035738680.1
OG0001136	XP_017885107.1, XP_017885097.1	XP_035738165.1, XP_035738175.1, XP_035738139.1, XP_035738129.1, XP_035738184.1, XP_035738146.1, XP_035738153.1, XP_035738200.1, XP_035738190.1
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_035721153.1
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_035718404.1, XP_035718403.1, XP_035718405.1
OG0001139	XP_017889561.2	XP_035743683.1
OG0001140	XP_017879114.1	XP_035723718.1, XP_035723719.1, XP_035723150.1
OG0001141	XP_026670436.1	XP_035721589.1
OG0001142	XP_017890662.1	XP_035739334.1, XP_035739333.1, XP_035739332.1
OG0001143	XP_017875724.1	XP_035722580.1, XP_035722579.1
OG0001144	XP_026674201.1	XP_035723368.1, XP_035728699.1, XP_035728244.1
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_035732592.1, XP_035732591.1, XP_035732594.1
OG0001146	XP_017891794.1, XP_017891793.1, XP_026675156.1	XP_035719270.1
OG0001146	XP_017890052.1	XP_035719086.1
OG0001147	XP_017876980.2	XP_035729583.1
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_035732530.1, XP_035732531.1, XP_035732529.1
OG0001149	XP_017890473.1	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1
OG0001150	XP_017878717.1, XP_017878720.1	XP_035720889.1, XP_035720888.1, XP_035720887.1
OG0001151	XP_017876290.1	XP_035739335.1
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_035738354.1
OG0001153	XP_026668446.1, XP_026668492.1	XP_035729655.1
OG0001154	XP_026672481.1, XP_026672484.1	XP_035743121.1, XP_035743113.1
OG0001155	XP_017891395.1, XP_017891387.1	XP_035726229.1
OG0001156	XP_017881290.1	XP_035718475.1
OG0001157	XP_017883238.2	XP_035717435.1
OG0001158	XP_017892393.1	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1
OG0001159	XP_017886271.2	XP_035723877.1
OG0001160	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1
OG0001161	XP_017888072.1	XP_035717196.1
OG0001161	XP_017888071.1	XP_035722667.1
OG0001162	XP_026670832.1	XP_035730787.1
OG0001163	XP_017887748.1, XP_017887747.1	XP_035717486.1, XP_035717485.1, XP_035717484.1
OG0001164	XP_017885074.1	XP_035737579.1, XP_035737578.1
OG0001165	XP_026667629.1, XP_026667634.1, XP_026667626.1	XP_035717866.1
OG0001166	XP_017883240.1, XP_017883236.2	XP_035735494.1
OG0001167	XP_026675585.1	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1
OG0001168	XP_017885185.1	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1
OG0001169	XP_026671781.1, XP_017884666.1	XP_035720934.1
OG0001170	XP_017883545.1	XP_035729413.1
OG0001171	XP_017875797.1	XP_035729572.1
OG0001172	XP_026674508.1, XP_017890510.1	XP_035719625.1, XP_035719632.1
OG0001173	XP_017875804.1	XP_035736818.1
OG0001174	XP_017875351.1	XP_035723706.1
OG0001175	XP_017892341.1	XP_035721083.1
OG0001176	XP_017879337.1	XP_035720195.1, XP_035720196.1, XP_035720191.1
OG0001179	XP_017882127.1	XP_035733749.1
OG0001180	XP_026672814.1, XP_026672812.1	XP_035733356.1, XP_035733411.1
OG0001181	XP_026670810.1	XP_035742099.1
OG0001182	XP_017883950.1	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1
OG0001183	XP_017880599.1, XP_017880593.1	XP_035734638.1, XP_035734647.1
OG0001184	XP_026670300.1	XP_035723559.1
OG0001185	XP_026669000.1	XP_035735384.1
OG0001186	XP_017876004.1	XP_035740406.1, XP_035740405.1
OG0001187	XP_017888786.1	XP_035723203.1
