Orthogroup	Ceratina_calcarata	Drosophila_melanogaster
OG0001278	XP_017886511.2	NP_524327.1
OG0001279	XP_017877894.1, XP_026668364.1	NP_524633.3
OG0001280	XP_026667929.1, XP_017877172.1	NP_001036627.2
OG0001281	XP_017881313.1	NP_001246506.1
OG0001282	XP_017882122.1	NP_649261.1
OG0001283	XP_017892422.1	NP_476902.1
OG0001284	XP_017886567.1, XP_017886558.1	NP_001163032.1
OG0001286	XP_017885102.1	NP_610431.1
OG0001287	XP_017890744.1, XP_017890741.1, XP_026674635.1	NP_732006.2
OG0001288	XP_017877639.1	NP_001285508.1
OG0001289	XP_017892764.1	NP_001261265.1
OG0001290	XP_017889603.1	NP_649797.2, NP_650324.1, NP_651092.1
OG0001291	XP_017886822.1	NP_001163636.1
OG0001292	XP_017882283.1	NP_611945.3
OG0001293	XP_017876705.1	NP_649850.1
OG0001294	XP_017889518.1, XP_026674115.1	NP_611855.1
OG0001295	XP_017881319.1	NP_724562.2
OG0001298	XP_017881237.1	NP_001163084.1
OG0001299	XP_017881510.1	NP_609088.1
OG0001300	XP_017888500.1, XP_017888499.1	NP_001259918.1
OG0001301	XP_026666630.1	NP_001188545.1
OG0001303	XP_017880508.1	NP_001261027.1
OG0001304	XP_017886478.1, XP_026672517.1, XP_017886477.1	NP_001246121.1
OG0001305	XP_026666601.1	NP_001261304.1
OG0001306	XP_017883838.1	NP_001262403.1
OG0001307	XP_026669213.1, XP_026669216.1	NP_001356969.1
OG0001308	XP_017888463.1	NP_001245739.1, NP_727344.1
OG0001310	XP_026674326.1, XP_026674327.1, XP_017890165.1	NP_650685.1
OG0001312	XP_017880083.1, XP_017880079.1	NP_001285588.1
OG0001314	XP_017877181.1	NP_001246531.1
OG0001315	XP_026672911.1, XP_017887152.1	NP_001285099.1, NP_728935.1
OG0001316	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1	NP_001246495.1
OG0001317	XP_017878090.2	NP_647998.2, NP_647996.1
OG0001317	XP_017878772.1	NP_648019.2
OG0001318	XP_026667476.1	NP_001188775.1
OG0001320	XP_026671122.1, XP_026671123.1, XP_017883626.1	NP_651060.1
OG0001322	XP_017891378.1	NP_651570.1
OG0001328	XP_017882111.1	NP_001097695.1
OG0001329	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1	NP_647948.1
OG0001330	XP_017891678.1	NP_001246537.1
OG0001331	XP_017883464.1	NP_001260303.1
OG0001332	XP_017882789.1, XP_017882787.1	NP_650887.1, NP_570011.1
OG0001333	XP_017892813.1	NP_649539.1
OG0001334	XP_026669091.1, XP_026669092.1	NP_001287343.1
OG0001335	XP_017882018.2, XP_017882019.1	NP_609362.1
OG0001336	XP_017882037.2	NP_609967.1
OG0001336	XP_026670312.1	NP_001162901.1
OG0001337	XP_017879502.1, XP_017879503.1	NP_612097.1
OG0001338	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1	NP_572855.1
OG0001339	XP_017886121.1	NP_001260727.1
OG0001340	XP_017890061.1, XP_017877160.1	NP_001284961.1
OG0001341	XP_026672596.1	NP_001259867.1
OG0001342	XP_017878213.1	NP_001138093.1
OG0001343	XP_017884609.1	NP_477025.1
OG0001345	XP_017890181.1, XP_026674313.1, XP_026674314.1	NP_648955.1
OG0001346	XP_017876879.1	NP_001097946.1
OG0001347	XP_017893537.1	NP_001285278.1, NP_001261988.1, NP_727866.2, NP_727865.2
OG0001348	XP_017876044.1	NP_608350.2
OG0001349	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1	NP_477480.1
OG0001350	XP_017882882.1	NP_788708.2
OG0001351	XP_026674120.1, XP_017889532.1	NP_001246931.1
OG0001352	XP_017881148.1	NP_731459.2
OG0001353	XP_017882726.1	NP_001261357.1
OG0001354	XP_026667483.1, XP_017876228.1	NP_611792.1
OG0001355	XP_017888035.2	NP_572529.2
OG0001356	XP_017888519.1	NP_001014559.1
OG0001358	XP_017889636.1, XP_017889633.1	NP_001014703.1
OG0001359	XP_017882565.1, XP_017882566.1	NP_001259064.1, NP_651392.2
OG0001361	XP_026672730.1, XP_017886731.1, XP_017886732.1	NP_650778.2
OG0001362	XP_017891783.1	NP_001287357.1
OG0001363	XP_017886031.2, XP_017885003.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_026666520.1	NP_001188754.1
OG0001365	XP_017890494.1	NP_001260427.1
OG0001367	XP_017879464.1	NP_001285525.1, NP_609868.1, NP_609869.1, NP_724098.2, NP_609173.2, NP_001033883.2
OG0001368	XP_017881299.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_017893611.1	NP_001303363.1
OG0001370	XP_017887687.1	NP_001162973.2
OG0001371	XP_017878765.1	NP_610796.1
OG0001372	XP_017881661.1, XP_017891436.1, XP_017879762.1	NP_610444.2
OG0001373	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1	NP_731872.1
OG0001374	XP_026673332.1, XP_017888065.2	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_017884465.1, XP_017884481.1	NP_001261379.1
OG0001376	XP_017892499.1, XP_017892497.1	NP_001162697.1
OG0001377	XP_017877173.1	NP_572840.1
OG0001378	XP_017887871.1	NP_572402.1
OG0001379	XP_017893069.1	NP_723501.2
OG0001380	XP_017875912.1	NP_001036421.1
OG0001381	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1	NP_650889.1
OG0001382	XP_026667542.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_017878984.1	NP_001036470.1
OG0001384	XP_017879068.1	NP_001285453.1
OG0001385	XP_017879493.1	NP_001260880.1
OG0001386	XP_017875382.1	NP_001286474.1
OG0001387	XP_017883516.1	NP_609412.1
OG0001388	XP_017880362.1	NP_572320.2, NP_732840.1
OG0001389	XP_026674453.1, XP_026675071.1, XP_017892329.1	NP_788300.3
OG0001390	XP_017887124.1	NP_001286120.1
OG0001391	XP_017876528.1, XP_017876529.1	NP_001163354.1
OG0001392	XP_026667204.1, XP_017875693.1, XP_017875702.1	NP_001246912.1
OG0001393	XP_017879548.1	NP_001285132.1, NP_001188593.1
OG0001394	XP_026670778.1	NP_573197.2
OG0001394	XP_026674847.1	NP_729025.1
OG0001395	XP_017877486.1	NP_001137624.1
OG0001396	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1	NP_001245761.1, NP_523412.1
OG0001397	XP_017889289.1, XP_017889291.1	NP_649764.1
OG0001398	XP_026672922.1, XP_017887263.1, XP_026672921.1	NP_001246972.1, NP_523949.2
OG0001399	XP_026673393.1	NP_569982.1
OG0001400	XP_017883457.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_017889463.1, XP_017889465.1, XP_026673966.1	NP_524675.1
OG0001402	XP_026667249.1	NP_612065.1
OG0001403	XP_026672021.1, XP_026672022.1	NP_001259193.1, NP_733426.1
OG0001404	XP_017878479.1	NP_609110.1
OG0001405	XP_017885433.1	NP_731223.1
OG0001406	XP_017878387.1	NP_001015132.1
OG0001407	XP_026673136.1, XP_017887725.1	NP_001262226.1
OG0001409	XP_017890921.1	NP_001162657.1
OG0001410	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1	NP_523844.2
OG0001412	XP_026670137.1	NP_001036250.1
OG0001412	XP_017881765.1	NP_651941.2
OG0001413	XP_017891083.1	NP_001303415.1
OG0001414	XP_017885076.1	NP_608864.1
OG0001415	XP_017887419.1, XP_017887415.1	NP_996016.2
OG0001416	XP_026668278.1, XP_017882648.2	NP_723870.1
OG0001417	XP_017887492.1	NP_611932.2
OG0001418	XP_017885400.1	NP_001162911.1
OG0001419	XP_017882635.1, XP_026670647.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_026671452.1	NP_650569.1, NP_651139.1
OG0001421	XP_017892744.1, XP_017892743.1	NP_649899.1
OG0001422	XP_017885854.1, XP_017885853.1, XP_026672326.1	NP_001189074.1
OG0001423	XP_026669133.1, XP_026667553.1	NP_729234.2
OG0001424	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1	NP_001262495.1
OG0001425	XP_017875961.1	NP_788574.3
OG0001426	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1	NP_001163056.1
OG0001427	XP_017887786.1	NP_648499.1
OG0001428	XP_017876422.1, XP_026667570.1, XP_017876425.1, XP_017876424.1, XP_017876423.1	NP_608929.1
OG0001429	XP_017887819.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_017889757.1	NP_001287466.1
OG0001432	XP_017877191.1	NP_001188923.1, NP_611185.3
OG0001434	XP_017889807.1	NP_788618.1, NP_649928.1
OG0001436	XP_017875451.1, XP_026667144.1, XP_026667143.1, XP_017875452.1	NP_650868.1, NP_649289.2
OG0001437	XP_017889324.1, XP_017889326.1, XP_017889327.1	NP_001286742.1
OG0001438	XP_017882586.1, XP_017882584.1, XP_017882585.1	NP_727644.3
OG0001440	XP_026669665.1, XP_026669663.1, XP_026669664.1, XP_017880753.1	NP_611647.1
OG0001441	XP_017877253.1, XP_017877251.1	NP_001027574.2
OG0001442	XP_026669402.1, XP_017880297.1, XP_017880369.1	NP_001287592.1
OG0001443	XP_017876790.1, XP_017893449.1, XP_017893448.1	NP_001096850.2
OG0001444	XP_026669184.1, XP_017879880.1	NP_001034052.2
OG0001445	XP_017883167.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_026667210.1, XP_026667209.1	NP_648358.2
OG0001453	XP_017885844.1	NP_001285826.1
OG0001455	XP_017881514.1	NP_610092.2
OG0001456	XP_026667780.1, XP_026667784.1	NP_001286295.1
OG0001457	XP_017880034.1	NP_001163688.1
OG0001458	XP_017884582.1	NP_476858.1
OG0001459	XP_026675395.1	NP_001097610.1, NP_001263148.1
OG0001460	XP_026671393.1, XP_017884092.1	NP_476848.1
OG0001461	XP_017890699.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_017887335.1	NP_001262421.1
OG0001463	XP_026672318.1	NP_649574.1
OG0001464	XP_017880281.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_017876776.1, XP_017876777.1	NP_001189124.1
OG0001466	XP_017888947.1, XP_017888948.1	NP_569951.1, NP_611911.1
OG0001467	XP_026675468.1, XP_026675469.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_017883650.1, XP_017883649.1	NP_001260652.1
OG0001469	XP_017882156.1	NP_523568.2
OG0001470	XP_026670189.1	NP_648768.1
OG0001471	XP_026668131.1, XP_017877509.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_017880836.2, XP_017882420.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_017879270.1	NP_001287361.1
OG0001474	XP_017882124.1	NP_609560.2, NP_569850.1
OG0001475	XP_026667272.1, XP_026667270.1, XP_017875766.1	NP_001368987.1
OG0001477	XP_017882175.1	NP_001014453.1
OG0001478	XP_017884388.1	NP_001285042.1
OG0001479	XP_017887456.1	NP_001036624.1
OG0001480	XP_017891707.1	NP_524533.1
OG0001481	XP_017879500.1	NP_001286181.1
OG0001482	XP_017883654.1, XP_026671100.1	NP_651924.2
OG0001483	XP_017885452.1	NP_001262996.1
OG0001484	XP_017884916.1	NP_001188579.1
OG0001485	XP_017890307.1	NP_569913.1
OG0001486	XP_026672451.1, XP_026672454.1	NP_476764.1
OG0001487	XP_017876635.1	NP_001188904.1
OG0001488	XP_017892990.2, XP_026666526.1, XP_026666533.1	NP_001189108.1
OG0001489	XP_017886494.1	NP_648555.1
OG0001491	XP_017875538.1	NP_609228.2
OG0001492	XP_017893678.1, XP_026666881.1	NP_001263168.1
OG0001493	XP_017883907.1	NP_001262195.1
OG0001494	XP_017880160.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_017882031.1	NP_612063.2
OG0001496	XP_017891409.1	NP_609203.1
OG0001497	XP_017877619.1	NP_001260853.1
OG0001498	XP_017881140.1	NP_729823.2
OG0001499	XP_017880154.1, XP_017878329.1	NP_572167.3
OG0001500	XP_026667478.1	NP_730859.1
OG0001501	XP_017885255.1	NP_001303373.1
OG0001502	XP_017882984.1	NP_001261464.1
OG0001503	XP_017879971.1, XP_017879970.1	NP_665880.2
OG0001504	XP_017887359.1	NP_001261440.1
OG0001505	XP_017883156.1, XP_026670874.1	NP_001097527.1
OG0001507	XP_017889498.1	NP_001287269.1
OG0001508	XP_026675341.1	NP_001138130.2
OG0001509	XP_017888843.1	NP_001261116.1
OG0001510	XP_017879018.1, XP_017892889.1	NP_001284936.1
OG0001511	XP_017885232.1	NP_649151.1
OG0001514	XP_026674694.1	NP_001188550.1
OG0001515	XP_017893465.1, XP_017893493.1, XP_017893475.1, XP_017893483.1	NP_001259809.1
OG0001516	XP_026667281.1, XP_026667280.1, XP_017875828.1, XP_026667282.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_017886742.1	NP_731242.1
OG0001518	XP_026670093.1, XP_017881638.1	NP_001036462.1
OG0001519	XP_017886273.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001522	XP_017886164.1	NP_001096867.3
OG0001524	XP_017875282.1	NP_001261067.1
OG0001525	XP_017889808.1, XP_017889806.1	NP_477026.1
OG0001526	XP_017887355.1, XP_026672942.1	NP_001369078.1
OG0001527	XP_017881373.1	NP_001259089.1
OG0001529	XP_026672466.1, XP_026672474.1, XP_026672478.1, XP_026672488.1, XP_026672486.1, XP_017885398.1, XP_026672468.1	NP_001162930.1
OG0001530	XP_017889183.1	NP_611501.1
OG0001531	XP_017879505.1	NP_651595.1
OG0001532	XP_026673838.1, XP_017884610.1	NP_001162665.1
OG0001533	XP_017892515.1, XP_017892516.1, XP_017892517.1, XP_026675396.1, XP_026675397.1	NP_728534.2
OG0001534	XP_017880208.1, XP_017885096.2	NP_731923.2
OG0001535	XP_026675097.1, XP_017891037.1	NP_001261999.1
OG0001536	XP_017875095.1, XP_017875093.1	NP_648357.1
OG0001537	XP_017882609.1, XP_017882610.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_017886236.1	NP_995639.1
OG0001539	XP_026674421.1, XP_026674420.1	NP_524017.1
OG0001540	XP_017889014.1	NP_610693.1, NP_610694.1
OG0001541	XP_026675415.1, XP_017892553.1	NP_001261940.1
OG0001542	XP_026668701.1, XP_017878786.1	NP_609207.1
OG0001543	XP_026669849.1	NP_650901.2
OG0001545	XP_026670107.1, XP_026675304.1, XP_026672402.1, XP_026674393.1, XP_017879402.2, XP_026672688.1	NP_523451.2
OG0001546	XP_017891805.1	NP_001247104.1
OG0001548	XP_017887079.1	NP_001285388.1
OG0001550	XP_017892140.2, XP_026674767.1, XP_017887182.1	NP_647968.3
OG0001551	XP_017884371.2	NP_001246815.1
OG0001552	XP_026671455.1, XP_017884355.1	NP_477317.1
OG0001553	XP_017884263.1, XP_017884262.1	NP_651623.1
OG0001554	XP_017888433.1, XP_026673527.1	NP_001261344.1
OG0001555	XP_017875845.1, XP_017875846.1	NP_001246451.1
OG0001556	XP_017893482.1	NP_726771.1
OG0001557	XP_017877629.1	NP_001260951.1
OG0001558	XP_017878085.1	NP_001245722.1
OG0001559	XP_017877587.1, XP_017877585.1, XP_017877586.1, XP_026668180.1	NP_650472.2
OG0001560	XP_026670245.1, XP_026670080.1	NP_001246228.1
OG0001561	XP_017889717.1	NP_001260963.1
OG0001562	XP_026669458.1, XP_017880457.2	NP_001137943.2
OG0001563	XP_026673959.1, XP_026673955.1	NP_001246300.1
OG0001564	XP_017882356.1, XP_017887754.1	NP_650698.1
OG0001565	XP_017882130.1	NP_001286976.1
OG0001567	XP_017882680.1, XP_017882684.1	NP_001137746.1
OG0001568	XP_026671175.1	NP_001263152.1
OG0001569	XP_017875431.1	NP_477320.1
OG0001570	XP_017875150.1, XP_017875152.1, XP_017875151.1, XP_017885804.1	NP_648176.1
OG0001571	XP_017890463.1, XP_017892717.2	NP_610075.2
OG0001575	XP_026666896.1	NP_524337.1
OG0001576	XP_026667012.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_017885615.1, XP_026672158.1, XP_017885614.1	NP_001285493.1
OG0001579	XP_017876530.2	NP_001097592.1
OG0001580	XP_017888347.1, XP_017888344.1	NP_001285528.1
OG0001581	XP_026670294.1	NP_608983.2
OG0001582	XP_026669615.1, XP_017880629.1, XP_017880628.1	NP_001287593.1
OG0001583	XP_026673971.1	NP_001189157.1
OG0001584	XP_017889139.1	NP_648993.1
OG0001585	XP_017892996.1, XP_017893043.1	NP_001262143.1
OG0001586	XP_017879262.1, XP_017879261.1	NP_647865.2
OG0001587	XP_017892386.1, XP_017892383.1	NP_648090.1
OG0001588	XP_017881662.1	NP_001188558.1
OG0001589	XP_026674955.1	NP_726318.1
OG0001590	XP_017879754.1	NP_572910.1, NP_001285210.1
OG0001591	XP_026668586.1	NP_001286018.1
OG0001592	XP_026674315.1	NP_647896.1
OG0001593	XP_017889870.1	NP_001287342.1
OG0001594	XP_026671535.1, XP_026671711.1	NP_001259723.1
OG0001595	XP_017881535.1, XP_017881534.1	NP_611252.1
OG0001596	XP_026672205.1, XP_026672211.1, XP_026672207.1, XP_026672206.1, XP_026672209.1, XP_017885740.1, XP_026672208.1, XP_026672210.1	NP_730651.1
OG0001597	XP_026667798.1	NP_572854.1
OG0001600	XP_026670083.1, XP_026670084.1, XP_017881650.1, XP_026670085.1	NP_001286151.1
OG0001602	XP_026674281.1	NP_001033958.1
OG0001603	XP_026673231.1, XP_026667519.1	NP_001027070.1
OG0001604	XP_017881294.1, XP_017881292.1	NP_001163129.1
OG0001606	XP_017888687.1	NP_523902.2
OG0001607	XP_026675048.1, XP_017891714.1, XP_017891715.1, XP_017891716.1	NP_001285753.1
OG0001608	XP_017881106.1, XP_017881107.1, XP_017881105.1	NP_001260655.1
OG0001614	XP_017883388.1	NP_001259303.1, NP_569908.1
OG0001615	XP_026674697.1, XP_017890960.1	NP_523764.1
OG0001616	XP_017876471.1, XP_017876481.1	NP_001259833.1
OG0001617	XP_017876865.1	NP_524011.1
OG0001619	XP_017874994.1, XP_017874993.1	NP_652526.1
OG0001620	XP_026673662.1	NP_609496.1
OG0001621	XP_026672226.1, XP_026672225.1, XP_017885786.1, XP_017885787.1, XP_017885788.1, XP_017885790.1	NP_573362.1, NP_729837.1
OG0001622	XP_026675335.1	NP_572536.1
OG0001623	XP_017877969.1	NP_524400.2
OG0001624	XP_017880405.1	NP_788056.1
OG0001625	XP_017893078.1	NP_001262669.1
OG0001626	XP_017875692.1	NP_001259186.1
OG0001627	XP_017880923.1	NP_001303417.1
OG0001628	XP_017889213.2, XP_026666872.1	NP_651052.1
OG0001629	XP_017888381.1, XP_017879817.1	NP_651782.1
OG0001631	XP_017879946.1	NP_001261267.1
OG0001632	XP_017884911.1	NP_001245408.1
OG0001633	XP_017893400.1	NP_001246351.1
OG0001634	XP_017890676.1	NP_651054.1
OG0001635	XP_017886906.1	NP_001303479.1
OG0001636	XP_017879192.1	NP_728142.1
OG0001637	XP_017886568.1	NP_612046.1
OG0001638	XP_017878364.2, XP_017882539.1	NP_648826.2
OG0001639	XP_017884733.1	NP_572360.1
OG0001640	XP_017875145.1	NP_477027.1
OG0001641	XP_017891802.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_017879182.1	NP_725207.1
OG0001644	XP_026667469.1	NP_001262395.1
OG0001645	XP_017880045.1, XP_026669289.1, XP_026669290.1	NP_733058.1
OG0001646	XP_026668720.1, XP_017878838.1, XP_017878836.1, XP_017878835.1	NP_001285211.1
OG0001647	XP_026674619.1	NP_570025.1
OG0001648	XP_017875340.1	NP_001287187.1
OG0001649	XP_017881323.1	NP_609720.1, NP_524152.2
OG0001650	XP_026675245.1	NP_648222.3
OG0001651	XP_026667616.1, XP_026667603.1	NP_001259585.1
OG0001652	XP_026675374.1, XP_017892220.1	NP_788858.1
OG0001653	XP_017883279.1	NP_995788.1
OG0001654	XP_017888603.1	NP_001246814.1
OG0001655	XP_017892397.1	NP_001245567.1
OG0001656	XP_017891121.1	NP_569872.1
OG0001657	XP_026672283.1, XP_017886007.1	NP_001286489.1
OG0001658	XP_017878018.1	NP_001259992.1
OG0001659	XP_017889582.1	NP_730944.2
OG0001660	XP_017893028.1	NP_648750.1
OG0001661	XP_026670616.1	NP_001261775.1
OG0001662	XP_017886371.1	NP_001097377.2
OG0001663	XP_017876718.1, XP_017876719.1	NP_649918.1
OG0001664	XP_017883594.1, XP_017883592.1	NP_648183.3
OG0001665	XP_017878558.1	NP_001014619.2
OG0001666	XP_017883967.1	NP_001163472.1, NP_649145.1
OG0001667	XP_017879513.1, XP_026669075.1	NP_001261574.1
OG0001669	XP_017878986.1, XP_017878989.1	NP_001287417.1
OG0001670	XP_017875801.1	NP_001138149.1
OG0001671	XP_017882254.1	NP_732316.2
OG0001672	XP_026673491.1, XP_017888448.1	NP_001246400.1
OG0001673	XP_017891424.1, XP_017891429.1	NP_649883.1
OG0001674	XP_017888194.1	NP_001260539.1
OG0001675	XP_017884842.1	NP_001261382.1
OG0001676	XP_017885189.1, XP_017885190.1	NP_001163073.2
OG0001677	XP_026671202.1	NP_001260561.1
OG0001679	XP_026673450.1	NP_611460.1
OG0001680	XP_017880192.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_026668087.1	NP_001163282.1
OG0001682	XP_017880907.1	NP_001285158.1
OG0001684	XP_017891459.2	NP_001368993.1
OG0001685	XP_017882422.2	NP_001097520.2
OG0001686	XP_017878346.1	NP_731649.2
OG0001687	XP_026672887.1, XP_026672817.1	NP_609069.1
OG0001688	XP_017877565.1, XP_017877567.1, XP_026668167.1, XP_026668168.1, XP_017877564.1	NP_001104382.3
OG0001690	XP_017884563.1, XP_017884565.1	NP_652015.1
OG0001693	XP_017875666.1	NP_001245400.1
OG0001694	XP_026672387.1, XP_026672388.1, XP_017886053.1	NP_610256.1
OG0001695	XP_017889583.1	NP_001262760.1
OG0001696	XP_026667052.1	NP_001247156.1
OG0001697	XP_017889914.1, XP_026674031.1, XP_026674032.1	NP_001245797.1
OG0001698	XP_026675542.1, XP_026667196.1, XP_026668063.1, XP_026673847.1	NP_611941.1
OG0001699	XP_017887230.1	NP_733303.2
OG0001700	XP_017882876.1, XP_026670779.1, XP_026670780.1	NP_001189311.1
OG0001701	XP_017877082.1	NP_995862.1
OG0001702	XP_017887580.1	NP_651170.1
OG0001703	XP_026674679.1	NP_001262871.1, NP_651242.1
OG0001704	XP_017888495.1, XP_017888494.1, XP_026673516.1, XP_026673517.1, XP_017888497.1, XP_017888496.1	NP_001356971.1
OG0001706	XP_017884418.1	NP_001247116.1
OG0001707	XP_017876145.1	NP_001262589.2
OG0001708	XP_017883231.1	NP_001287390.1
OG0001709	XP_026672855.1, XP_026672844.1	NP_001303494.1
OG0001710	XP_017890623.2	NP_573217.1, NP_730784.1
OG0001711	XP_017891682.1	NP_608741.1
OG0001712	XP_017876930.1	NP_001188885.2
OG0001713	XP_017879776.1	NP_001033943.2
OG0001714	XP_017877102.1, XP_017875604.2	NP_649156.1
OG0001715	XP_017886030.1	NP_001285698.1
OG0001717	XP_017878801.1	NP_611675.2
OG0001718	XP_017893125.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_017875778.1	NP_001245568.1
OG0001720	XP_026668016.1, XP_017877352.1, XP_017877351.1	NP_610938.1
OG0001722	XP_017879558.1	NP_723401.1
OG0001723	XP_017889630.1, XP_026674230.1	NP_001188979.1, NP_524242.2, NP_001287190.1
OG0001724	XP_017890174.1, XP_017890173.1	NP_001261391.1
OG0001725	XP_017883704.1	NP_524401.2
OG0001726	XP_017886793.1, XP_017886882.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_017881968.1	NP_001036351.2
OG0001728	XP_026672112.1, XP_017888366.1, XP_026670200.1	NP_001286002.1
OG0001729	XP_017882117.1	NP_001286919.1
OG0001730	XP_026670129.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_017886957.1, XP_026672777.1	NP_572995.1, NP_001163445.1
OG0001732	XP_017891303.1	NP_651725.1
OG0001733	XP_017876967.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_017880487.1, XP_017880438.1	NP_608563.1
OG0001735	XP_026668983.1, XP_017879315.1	NP_609387.1
OG0001736	XP_026667205.1	NP_001097937.1
OG0001737	XP_017876323.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_017892670.1	NP_001014543.1
OG0001739	XP_026671212.1, XP_026667186.1, XP_017875591.1, XP_017883889.1, XP_017883890.1	NP_001246653.1
OG0001740	XP_017891938.1	NP_001036555.1
OG0001742	XP_026675013.1	NP_733224.2
OG0001743	XP_017891851.1, XP_026675172.1	NP_001285126.1
OG0001744	XP_026668408.1, XP_017878130.1	NP_651315.2
OG0001745	XP_017881314.1, XP_017881315.1, XP_017881316.1, XP_017881317.1	NP_650743.1
OG0001746	XP_017884117.1	NP_524852.2
OG0001747	XP_017888647.2, XP_017888646.2	NP_001261633.1
OG0001748	XP_017879238.1, XP_017879221.1	NP_001189227.1
OG0001749	XP_026673755.1, XP_026673765.1	NP_001036722.1
OG0001750	XP_017892823.1, XP_017892824.1	NP_001261148.1
OG0001751	XP_026674532.1, XP_026674542.1, XP_017889998.1, XP_017889988.1	NP_001286159.1
OG0001752	XP_017885918.1	NP_651792.1, NP_651791.2
OG0001753	XP_017891501.1	NP_523391.3
OG0001754	XP_026669134.1	NP_651671.1
OG0001755	XP_017890270.1	NP_573318.1, NP_609759.1
OG0001756	XP_026673089.1	NP_649646.3
OG0001757	XP_026672195.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_017876414.1, XP_026667557.1, XP_017876411.1, XP_017876412.1, XP_017876413.1, XP_017876410.1	NP_001163069.1
OG0001759	XP_017890733.1	NP_001287202.1
OG0001760	XP_017887562.1	NP_732069.3
OG0001762	XP_017876531.1	NP_001261764.1
OG0001763	XP_017878480.1	NP_650223.1
OG0001764	XP_017883005.2	NP_001287421.2, NP_650876.1
OG0001765	XP_017888025.1, XP_017883317.1	NP_731461.1
OG0001766	XP_017887354.1, XP_017887352.1, XP_017887351.1	NP_001261659.1
OG0001767	XP_017879592.1	NP_723294.1
OG0001768	XP_026670407.1	NP_572805.1
OG0001771	XP_017883067.1	NP_727732.1, NP_001097831.1
OG0001774	XP_017883463.1, XP_026671015.1	NP_476778.1
OG0001775	XP_017885677.1	NP_523735.2
OG0001776	XP_017887967.1	NP_620470.1
OG0001777	XP_017875660.1, XP_017875659.1	NP_001245758.1
OG0001778	XP_026674325.1	NP_001262233.1
OG0001779	XP_017876550.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_026671882.1, XP_017884824.1	NP_610617.1
OG0001781	XP_017876214.2	NP_650423.1
OG0001782	XP_017880456.1	NP_649000.1
OG0001783	XP_017887554.1	NP_647892.1
OG0001784	XP_017886950.1	NP_001163585.1
OG0001785	XP_017877910.1	NP_524416.1
OG0001786	XP_017886515.1	NP_001260689.1
OG0001787	XP_017883925.1	NP_648786.1
OG0001788	XP_017879798.1, XP_017888608.1	NP_724103.1
