Orthogroup	Ceratina_calcarata	Solenopsis_invicta
OG0001018	XP_017890939.2	XP_039302706.1
OG0001018	XP_017890938.1	XP_039302708.1
OG0001019	XP_017879984.1	XP_011163380.1
OG0001020	XP_017887363.1, XP_017887362.1	XP_011159873.1
OG0001021	XP_017892630.1, XP_017892631.1, XP_017892636.1, XP_017892634.1, XP_017892635.1, XP_026675531.1, XP_026675529.1, XP_017892632.1, XP_017892633.1	XP_011163049.2
OG0001022	XP_026675580.1	XP_025991400.1, XP_039301782.1, XP_039301783.1, XP_011158425.2
OG0001023	XP_026668790.1	XP_025993731.2, XP_025993732.2
OG0001024	XP_017885034.1, XP_017885035.1, XP_017885032.1, XP_017885033.1	XP_039307132.1
OG0001025	XP_017876689.1	XP_011167003.2
OG0001026	XP_017892009.1	XP_039308723.1, XP_039308721.1, XP_039308722.1
OG0001027	XP_017890057.1	XP_039308919.1
OG0001028	XP_017879313.1	XP_011170350.2
OG0001028	XP_026673787.1	XP_011163544.1
OG0001029	XP_026673479.1, XP_017888402.1	XP_025988620.2
OG0001030	XP_017882215.1	XP_025992589.2, XP_025992588.2
OG0001031	XP_017889036.1, XP_017889035.1, XP_017889038.1	XP_039307586.1
OG0001032	XP_017875311.1, XP_017876832.2	XP_039308244.1
OG0001033	XP_017892398.1, XP_026675392.1, XP_026675393.1, XP_026675394.1	XP_011172421.1, XP_011172423.1
OG0001034	XP_026668306.1	XP_039303076.1, XP_011171224.1
OG0001035	XP_017893314.1	XP_025992621.1
OG0001036	XP_026675481.1, XP_017892316.2	XP_011165277.1
OG0001036	XP_017887566.1	XP_025993616.1
OG0001037	XP_017883260.1	XP_025993818.1
OG0001038	XP_017879595.1	XP_011160153.1
OG0001039	XP_017893287.1	XP_011161111.1
OG0001040	XP_017879986.1	XP_011165337.1, XP_011165336.1
OG0001041	XP_017893031.1	XP_025988910.1, XP_025988911.1, XP_011164254.1, XP_039301989.1
OG0001042	XP_026671321.1	XP_025996045.1, XP_025996043.1, XP_025996044.1, XP_025996042.1
OG0001043	XP_017885202.1, XP_026671998.1	XP_011166024.2, XP_025992543.2
OG0001044	XP_017891564.1	XP_011169612.1, XP_011169610.1
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_011162672.2
OG0001046	XP_017882600.1, XP_026670603.1	XP_011162026.1, XP_025987025.1, XP_011162025.1
OG0001048	XP_026672569.1	XP_039305995.1
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_011166480.1, XP_011166481.1
OG0001050	XP_017883752.1, XP_017883754.1	XP_011159776.1, XP_011159778.1
OG0001051	XP_026673462.1, XP_026673463.1, XP_017888304.1, XP_017888306.1	XP_039312332.1
OG0001052	XP_017891386.1	XP_011160586.1
OG0001054	XP_026675559.1, XP_017875980.2	XP_039313698.1, XP_039313699.1
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_011157954.1
OG0001056	XP_017875899.1	XP_039301672.1, XP_011167342.1
OG0001057	XP_017890025.2	XP_025992790.1, XP_011155465.1
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_025991914.2
OG0001059	XP_017892907.1	XP_011155850.2
OG0001059	XP_026669762.1	XP_025992160.1
OG0001060	XP_017878793.1	XP_011163616.1
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_011161404.1
OG0001063	XP_026674066.1	XP_025989549.2
OG0001064	XP_017889753.2, XP_026674486.1	XP_025994664.2
OG0001065	XP_017875688.1, XP_026667241.1	XP_025993227.1, XP_025993228.1
OG0001066	XP_017890601.1, XP_017890595.1	XP_025991457.2, XP_039307737.1
OG0001068	XP_026672302.1, XP_017885940.1	XP_011164046.1, XP_039309169.1
OG0001069	XP_017884474.1	XP_039301790.1, XP_011161238.2
OG0001070	XP_017879692.1	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1
OG0001071	XP_017883771.1	XP_025992820.1
OG0001072	XP_017893509.1, XP_026666801.1, XP_017893351.2	XP_039311109.1
OG0001073	XP_026667712.1	XP_011166357.1
OG0001073	XP_017876745.1	XP_011166496.2
OG0001074	XP_026670481.1	XP_011159283.1
OG0001074	XP_026670484.1, XP_026670483.1, XP_026670482.1	XP_011159282.2
OG0001075	XP_017880384.1, XP_026669442.1	XP_025990833.2
OG0001076	XP_026671112.1, XP_017883675.1, XP_017883674.1, XP_017883673.1, XP_017883672.1, XP_017883676.1, XP_026671113.1	XP_011159538.1
OG0001077	XP_017886713.1, XP_017886711.1, XP_017886710.1	XP_011170429.1, XP_011170430.1, XP_011170428.1
OG0001078	XP_017876594.1	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1
OG0001079	XP_017890135.1, XP_017890133.1	XP_025991664.1, XP_011159694.1
OG0001082	XP_017889163.1	XP_011172611.1, XP_025994767.1
OG0001083	XP_026670468.1	XP_011159372.2
OG0001084	XP_017884959.1	XP_011155352.1, XP_011155351.2
OG0001085	XP_017890214.1, XP_026674350.1	XP_025989431.1, XP_025989433.1
OG0001086	XP_026666840.1, XP_017893628.1	XP_011165624.1
OG0001087	XP_017875528.1, XP_017875529.1	XP_011161180.2, XP_011161179.2
OG0001090	XP_017893581.2	XP_011165641.1
OG0001091	XP_017890851.1	XP_025990318.1
OG0001092	XP_017885637.1	XP_011166457.1, XP_039306837.1
OG0001093	XP_017882231.1, XP_017882233.1	XP_011169511.1
OG0001094	XP_026670977.1, XP_017883336.1	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1
OG0001095	XP_026668985.1, XP_017879354.1	XP_011158680.1
OG0001096	XP_026674246.1	XP_025993866.1, XP_025993865.1, XP_025993867.1
OG0001097	XP_026670462.1, XP_017882114.1	XP_011171301.1
OG0001098	XP_026668115.1	XP_039314597.1
OG0001099	XP_017884699.1	XP_039311772.1, XP_039311773.1, XP_011159129.1
OG0001100	XP_017876756.1, XP_017876755.1, XP_017876754.1	XP_011166885.1
OG0001101	XP_017890541.1	XP_011169060.1, XP_025986266.1
OG0001102	XP_017881699.1, XP_017881700.1	XP_011173598.1
OG0001103	XP_017888861.1, XP_017888862.1	XP_025992892.1
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	XP_011165981.1, XP_011165982.1, XP_039310830.1
OG0001105	XP_017879169.1	XP_011158662.1
OG0001106	XP_026670188.1, XP_017881847.1	XP_039306727.1, XP_011171425.1
OG0001107	XP_017880996.1	XP_011171628.1
OG0001108	XP_017876003.1	XP_011175804.1
OG0001109	XP_017890823.1	XP_025997087.1
OG0001110	XP_017880391.1	XP_039305008.1, XP_025987622.2
OG0001111	XP_017875776.1	XP_011167411.1
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_025997156.1
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_011155666.1
OG0001114	XP_017882302.1, XP_026670265.1, XP_026670268.1, XP_026670266.1, XP_026670267.1	XP_039308544.1
OG0001115	XP_026669291.1, XP_017880048.1	XP_025987003.1
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1
OG0001117	XP_017886551.1	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1
OG0001118	XP_026675119.1	XP_011170731.1, XP_011170733.1, XP_011170732.1
OG0001119	XP_017878926.1	XP_025989072.1
OG0001120	XP_026666559.1	XP_039302541.1, XP_039302542.1
OG0001121	XP_017890636.2	XP_025991526.1, XP_039307815.1
OG0001122	XP_017892931.1	XP_011155854.1
OG0001123	XP_026670747.1, XP_017882910.1	XP_025989167.1, XP_025989166.1
OG0001124	XP_017876734.1	XP_011163637.1, XP_011163636.1
OG0001125	XP_017880453.1	XP_039310854.1, XP_025992661.2
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_011166887.2, XP_025985954.2
OG0001127	XP_017887683.1, XP_017887682.1	XP_011158552.1, XP_011158551.3
OG0001128	XP_026672358.1	XP_011156523.3
OG0001129	XP_026674856.1	XP_011156357.1, XP_039307593.1
OG0001130	XP_026674418.1	XP_025986574.2, XP_011161459.2, XP_039310703.1
OG0001131	XP_026666894.1	XP_039301948.1
OG0001132	XP_017888705.1	XP_011163174.1
OG0001134	XP_017887112.1	XP_011160255.1, XP_011160257.1, XP_025992574.1
OG0001135	XP_017876136.1	XP_039313398.1
OG0001136	XP_017885107.1, XP_017885097.1	XP_011175151.1
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_011157895.1, XP_025995386.1
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_011168199.1
OG0001139	XP_017889561.2	XP_025985879.1, XP_039309052.1, XP_025985881.1, XP_025993909.2
OG0001140	XP_017879114.1	XP_011165958.1
OG0001141	XP_026670436.1	XP_025995593.1
OG0001142	XP_017890662.1	XP_011155375.3
OG0001143	XP_017875724.1	XP_011169579.1
OG0001144	XP_026674201.1	XP_025992524.1, XP_011166007.2
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_011168245.2
OG0001146	XP_017890052.1	XP_039308020.1, XP_011157448.1, XP_039308018.1
OG0001147	XP_017876980.2	XP_011166309.1
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_011172034.1
OG0001149	XP_017890473.1	XP_039312701.1, XP_011169138.1
OG0001150	XP_017878717.1, XP_017878720.1	XP_039310944.1
OG0001151	XP_017876290.1	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_011159091.2
OG0001153	XP_026668446.1, XP_026668492.1	XP_039312520.1
OG0001154	XP_026672484.1	XP_039304154.1, XP_039304148.1
OG0001155	XP_017891395.1, XP_017891387.1	XP_011172072.1, XP_039302712.1
OG0001156	XP_017881290.1	XP_011159299.2
OG0001157	XP_017883238.2	XP_011157466.1, XP_039303668.1, XP_039303663.1
OG0001158	XP_017892393.1	XP_025991651.1
OG0001159	XP_017886271.2	XP_011167339.1
OG0001160	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1	XP_039311819.1
OG0001161	XP_017888072.1	XP_011167380.1
OG0001161	XP_017888071.1	XP_011156243.2
OG0001162	XP_026670832.1	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1
OG0001163	XP_017887748.1, XP_017887747.1	XP_011161732.3
OG0001164	XP_017885074.1	XP_039312072.1, XP_025992020.1, XP_011169634.1, XP_011169630.1, XP_011169631.1, XP_011169633.1
OG0001165	XP_026667629.1, XP_026667634.1, XP_026667626.1	XP_025985971.2
OG0001166	XP_017883240.1, XP_017883236.2	XP_011168537.1, XP_011168538.1
OG0001167	XP_026675585.1	XP_011156104.1
OG0001168	XP_017885185.1	XP_011176352.1
OG0001169	XP_026671781.1, XP_017884666.1	XP_039306262.1, XP_039306261.1, XP_011157746.1
OG0001170	XP_017883545.1	XP_011162655.1
OG0001171	XP_017875797.1	XP_025994523.1
OG0001172	XP_026674508.1, XP_017890510.1	XP_025987963.1, XP_025987960.1
OG0001173	XP_017875804.1	XP_011158513.2, XP_039310526.1
OG0001174	XP_017875351.1	XP_011161987.1
OG0001175	XP_017892341.1	XP_025993082.1
OG0001176	XP_017879337.1	XP_039302580.1, XP_039302579.1, XP_039302581.1
OG0001179	XP_017882127.1	XP_039304562.1
OG0001180	XP_026672814.1, XP_026672812.1	XP_011167997.1, XP_025990282.1
OG0001181	XP_026670810.1	XP_011156355.1, XP_039307596.1
OG0001182	XP_017883950.1	XP_039305887.1, XP_039305890.1
OG0001183	XP_017880599.1, XP_017880593.1	XP_025990516.1
OG0001184	XP_026670299.1, XP_026670300.1	XP_011156884.2, XP_039307254.1
OG0001185	XP_026669000.1	XP_039312820.1
OG0001186	XP_017876004.1	XP_011175807.1
OG0001187	XP_017888786.1	XP_011172004.1, XP_011172006.1
OG0001188	XP_026674461.1, XP_026674462.1, XP_017890383.1, XP_026674465.1, XP_026674464.1, XP_026674463.1	XP_011163748.1
OG0001189	XP_017892156.1, XP_026675309.1, XP_017892155.1	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1
OG0001190	XP_026675381.1, XP_017892328.1, XP_026675383.1, XP_026675382.1, XP_017892331.1, XP_017892330.1, XP_017892333.1	XP_025987355.2
OG0001191	XP_017889344.1	XP_039303760.1
OG0001193	XP_026668344.1, XP_017877955.1	XP_011173460.1
OG0001195	XP_017890988.1, XP_017890987.1, XP_017890986.1	XP_025985837.1, XP_011166782.1, XP_011166783.1
OG0001197	XP_026668759.1, XP_026673391.1	XP_011157457.1
OG0001197	XP_017877666.1	XP_025987979.1
OG0001198	XP_026673471.1, XP_026673470.1, XP_017888358.1	XP_039314770.1
OG0001199	XP_017881488.1, XP_017881489.1	XP_011172415.1
OG0001201	XP_017877209.1	XP_011162101.2
OG0001202	XP_026669822.1	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1
OG0001204	XP_017882168.1	XP_025991982.1
OG0001205	XP_017889436.1	XP_039314810.1
OG0001205	XP_017877499.1	XP_039303835.1
OG0001206	XP_017888611.2, XP_017881544.1, XP_026670043.1	XP_011156167.1
OG0001207	XP_026669781.1, XP_017880993.2	XP_011156545.1, XP_039302232.1
OG0001208	XP_017882372.2	XP_011170339.1
OG0001208	XP_017883548.1, XP_017883550.1, XP_017883547.1	XP_039314294.1
OG0001209	XP_017875605.1, XP_017875614.1	XP_011172048.1
OG0001210	XP_017877136.1, XP_026675350.1, XP_026666537.1	XP_039307930.1, XP_011165372.2, XP_039315002.1, XP_039315004.1, XP_039307520.1
OG0001211	XP_017880343.1, XP_026671970.1	XP_039305023.1, XP_039305022.1
OG0001212	XP_026674774.1, XP_017891265.1	XP_039309508.1
OG0001214	XP_017881115.1	XP_011160964.2
OG0001215	XP_017884983.1	XP_039312900.1
OG0001216	XP_017893516.1, XP_017893507.1	XP_011172216.1
OG0001217	XP_017886751.1, XP_017886750.1	XP_011175935.1, XP_039308277.1, XP_011175936.1
OG0001218	XP_017880270.1	XP_011166690.1, XP_011166689.1, XP_039301873.1
OG0001219	XP_017880146.1	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1
OG0001220	XP_017877252.1	XP_011169281.1, XP_039302204.1
OG0001221	XP_026673331.1	XP_025992507.1
OG0001222	XP_017889956.1, XP_026674122.1, XP_017889955.1	XP_011164688.1, XP_011164686.1, XP_011164689.1
OG0001223	XP_017890927.1	XP_011164227.1
OG0001224	XP_017880169.1, XP_017880171.1	XP_011159507.1
OG0001225	XP_017883445.1	XP_011164828.1
OG0001226	XP_017882856.1, XP_017882847.1, XP_017882866.1	XP_011166465.1
OG0001227	XP_017887066.1, XP_017887067.1, XP_017887065.1	XP_039315479.1, XP_039304013.1, XP_011159726.2, XP_011155341.1, XP_011155357.2, XP_011155356.1, XP_039309264.1, XP_039309025.1, XP_039309024.1, XP_025987060.2
OG0001228	XP_017892582.1, XP_017892587.1	XP_025987277.1, XP_039314353.1
OG0001229	XP_017883348.1, XP_017883349.1	XP_039305870.1
OG0001230	XP_017876199.1	XP_011169142.1
OG0001231	XP_017888565.1	XP_011158057.1
OG0001232	XP_017892532.1, XP_017892536.1	XP_011166300.1
OG0001233	XP_017882351.1	XP_011170934.1, XP_039302501.1
OG0001234	XP_026668282.1	XP_011161472.2
OG0001236	XP_026670881.1, XP_017883045.1, XP_017883046.1	XP_039312471.1, XP_011161524.1
OG0001237	XP_026669249.1	XP_039311173.1, XP_039310827.1
OG0001238	XP_026673719.1, XP_026673720.1	XP_025993336.1, XP_039304779.1
OG0001239	XP_017884417.1	XP_025995034.1
OG0001240	XP_017876721.1, XP_017876729.1	XP_011165534.1
OG0001241	XP_017879036.1, XP_026668831.1	XP_011172347.1, XP_011172352.1
OG0001242	XP_017885842.1, XP_017885841.1	XP_011163952.2
OG0001244	XP_017890536.1, XP_017890537.1, XP_026674530.1	XP_011168503.1
OG0001245	XP_017892758.1	XP_025988274.1
OG0001246	XP_017887988.1	XP_039303840.1, XP_025988269.1, XP_011168731.1
OG0001247	XP_017883857.1, XP_017883856.1	XP_011164739.2
OG0001248	XP_017885722.1, XP_017885721.1, XP_017885720.1, XP_026672240.1	XP_039304594.1
OG0001249	XP_017887979.1	XP_039309218.1
OG0001250	XP_017883428.1	XP_011164364.2
OG0001251	XP_017882528.1	XP_039312198.1
OG0001252	XP_017886445.1	XP_039314807.1
OG0001253	XP_026666474.1, XP_017892912.1, XP_026666475.1	XP_025995063.2
OG0001254	XP_017886157.1	XP_011168604.1
OG0001255	XP_026671355.1, XP_017884086.1	XP_039314922.1, XP_025987255.1
OG0001256	XP_017893021.1	XP_025988912.1
OG0001257	XP_017882218.2	XP_011160876.1, XP_025994228.1
OG0001258	XP_017877911.1	XP_025987582.1, XP_011173619.1
OG0001259	XP_017877157.1	XP_011164223.1
OG0001259	XP_017877153.1	XP_011164216.2
OG0001260	XP_017889906.1	XP_039304059.1
OG0001260	XP_017889907.1	XP_011166201.1
OG0001261	XP_026668091.1, XP_017877511.1	XP_011160516.2
OG0001262	XP_017877111.1, XP_017877113.1	XP_011164195.1
OG0001263	XP_017885436.1	XP_011170503.1
OG0001264	XP_017876225.1	XP_011165039.1
OG0001266	XP_017877447.1, XP_017877440.1	XP_011162657.1, XP_025987442.1
OG0001267	XP_026673666.1	XP_025994469.1, XP_039308643.1
OG0001268	XP_017888924.1	XP_025989285.1
OG0001269	XP_026666924.1, XP_026666930.1	XP_039315133.1, XP_025994739.1
OG0001270	XP_017891911.1	XP_011157222.1
OG0001271	XP_017875511.1, XP_017875509.1	XP_039313271.1
OG0001272	XP_017885497.1	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1
OG0001273	XP_026670825.1	XP_025987733.1
OG0001274	XP_017883770.2, XP_026666535.1	XP_011170905.2
OG0001275	XP_017878338.1, XP_017878340.1	XP_011164629.1, XP_025990967.2
OG0001277	XP_017887330.1	XP_025989192.1
OG0001278	XP_017886511.2	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1
OG0001279	XP_017877894.1	XP_039311659.1, XP_011163520.1, XP_039311656.1
OG0001280	XP_026667929.1, XP_017877172.1	XP_011168647.1
OG0001281	XP_017881313.1	XP_011171012.1
OG0001282	XP_017882122.1	XP_011163529.2
OG0001283	XP_017892422.1	XP_039309473.1, XP_039309472.1
OG0001284	XP_017886567.1, XP_017886558.1	XP_011159268.2
OG0001285	XP_026672133.1	XP_011171248.3, XP_039311732.1, XP_039309729.1, XP_039312468.1
OG0001286	XP_017885102.1	XP_011175133.1
OG0001287	XP_017890744.1, XP_017890741.1, XP_026674635.1	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2
OG0001288	XP_017877639.1	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1
OG0001289	XP_017892764.1	XP_011162420.1
OG0001290	XP_017889603.1	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1
OG0001291	XP_017886822.1	XP_025995978.1, XP_039315524.1
OG0001292	XP_017882283.1	XP_039312474.1
OG0001293	XP_017876705.1	XP_011160608.1
OG0001294	XP_017889518.1, XP_026674115.1	XP_011166902.1
OG0001295	XP_017881319.1	XP_025988763.2, XP_011172182.2, XP_039313063.1
OG0001297	XP_017878038.1	XP_039305621.1, XP_039308182.1, XP_039308496.1, XP_039315182.1, XP_039310105.1, XP_039306729.1, XP_039306732.1, XP_039306731.1, XP_039306730.1, XP_039306121.1, XP_039305622.1, XP_039305544.1, XP_039304393.1, XP_039303439.1
OG0001298	XP_017881237.1	XP_025991722.1
OG0001299	XP_017881510.1	XP_011155329.2
OG0001300	XP_017888500.1, XP_017888499.1	XP_039308336.1, XP_011176356.1
OG0001301	XP_026666630.1	XP_039313098.1
OG0001302	XP_026669115.1	XP_039305041.1
OG0001303	XP_017880508.1	XP_011162751.2, XP_025993208.2
OG0001304	XP_017886478.1, XP_026672517.1, XP_017886477.1	XP_039303726.1, XP_011169416.1
OG0001305	XP_026666601.1	XP_039306299.1
OG0001306	XP_017883838.1	XP_039311745.1, XP_025993252.1
OG0001307	XP_026669213.1, XP_026669216.1	XP_025992202.1, XP_025992201.1, XP_039304075.1
OG0001308	XP_017888463.1	XP_011164101.2
OG0001310	XP_026674326.1, XP_026674327.1, XP_017890165.1	XP_011175922.1
OG0001312	XP_017880083.1, XP_017880079.1	XP_011169654.1
OG0001313	XP_017881145.1	XP_011168031.1
OG0001314	XP_017877181.1	XP_025987160.1, XP_025987159.1
OG0001315	XP_026672911.1, XP_017887152.1	XP_039307094.1, XP_039307090.1, XP_039307091.1
OG0001316	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1	XP_011165521.1, XP_011165520.1, XP_039307433.1
OG0001317	XP_017878772.1	XP_039305014.1, XP_011169093.1
OG0001318	XP_026667476.1	XP_039306228.1, XP_011159820.1
OG0001320	XP_026671122.1, XP_026671123.1, XP_017883626.1	XP_011175003.1
OG0001321	XP_026667384.1	XP_039304469.1
OG0001322	XP_017891378.1	XP_025995334.2, XP_025995333.2
OG0001323	XP_017880347.2	XP_011175801.1, XP_039313975.1
OG0001323	XP_017886618.2	XP_011175670.1
OG0001328	XP_017882111.1	XP_011171298.1, XP_011171300.1, XP_039307149.1
OG0001329	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1	XP_025994744.1
OG0001330	XP_017891678.1	XP_011173423.1
OG0001331	XP_017883464.1	XP_011159081.1, XP_011155677.1
OG0001332	XP_017882789.1, XP_017882787.1	XP_011161127.1
OG0001333	XP_017892813.1	XP_011161667.1
OG0001334	XP_026669091.1, XP_026669092.1	XP_039314193.1
OG0001335	XP_017882018.2, XP_017882019.1	XP_011176244.1, XP_025994143.1
OG0001336	XP_026670312.1	XP_039313962.1, XP_039313963.1, XP_039313961.1
OG0001337	XP_017879502.1, XP_017879503.1	XP_011172356.1
OG0001338	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1	XP_011156305.1
OG0001339	XP_017886121.1	XP_011170919.1
OG0001340	XP_017890061.1, XP_017877160.1	XP_011157400.1, XP_039302773.1
OG0001341	XP_026672596.1	XP_011160585.2, XP_011160584.3
OG0001342	XP_017878213.1	NP_001291521.1, XP_011158641.1
OG0001343	XP_017884609.1	XP_039315305.1, XP_039305231.1
OG0001345	XP_017890181.1, XP_026674313.1, XP_026674314.1	XP_011159425.1
OG0001346	XP_017876879.1	XP_025986739.2
OG0001347	XP_017893537.1	XP_011162367.1
OG0001348	XP_017876044.1	XP_025994333.2
OG0001349	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1	XP_011156749.1, XP_011156750.1
OG0001350	XP_017882882.1	XP_011167785.1, XP_039304006.1, XP_025991063.1
OG0001351	XP_026674120.1, XP_017889532.1	XP_011166906.1
OG0001352	XP_017881148.1	XP_039302099.1, XP_039302098.1, XP_011156572.1, XP_025991200.1
OG0001353	XP_017882726.1	XP_011166239.1, XP_025988594.1
OG0001354	XP_026667483.1, XP_017876228.1	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1
OG0001355	XP_017888035.2	XP_011168669.1, XP_039306977.1
OG0001356	XP_017888519.1	XP_025993681.1
OG0001357	XP_017885862.1	XP_011156200.1
OG0001358	XP_017889636.1, XP_017889633.1	XP_011164657.3
OG0001359	XP_017882565.1, XP_017882566.1	XP_011155735.1
OG0001360	XP_017892403.1	XP_011156183.1
OG0001361	XP_026672730.1, XP_017886731.1, XP_017886732.1	XP_039303850.1, XP_011159643.2, XP_039303852.1
OG0001362	XP_017891783.1	XP_011166065.1
OG0001363	XP_017886031.2, XP_017885003.1	XP_011164426.1
OG0001364	XP_026666520.1	XP_025992935.1
OG0001365	XP_017890494.1	XP_011156369.2
OG0001366	XP_026667108.1	XP_011170838.2
OG0001368	XP_017881299.1	XP_039306221.1, XP_025986501.1
OG0001369	XP_017893611.1	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1
OG0001370	XP_017887687.1	XP_025990425.1, XP_011162934.1, XP_025990426.1
OG0001371	XP_017878765.1	XP_011175761.2
OG0001372	XP_017879762.1	XP_011157484.1
OG0001373	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1	XP_011168414.1
OG0001374	XP_026673332.1, XP_017888065.2	XP_011166756.2
OG0001375	XP_017884465.1	XP_011167128.1
OG0001375	XP_017884481.1	XP_011167127.1
OG0001376	XP_017892499.1, XP_017892497.1	XP_039306070.1
OG0001377	XP_017877173.1	XP_011176400.1, XP_011176401.1
OG0001378	XP_017887871.1	XP_011164716.1
OG0001379	XP_017893069.1	XP_011155491.1
OG0001380	XP_017875912.1	XP_025994567.1
OG0001382	XP_026667542.1	XP_039313566.1, XP_039313567.1, XP_039313568.1
OG0001383	XP_017878984.1	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1
OG0001384	XP_017879068.1	XP_011163732.1, XP_025990206.1
OG0001386	XP_017875382.1	XP_025989972.1
OG0001387	XP_017883516.1	XP_011171595.1
OG0001388	XP_017880362.1	XP_039309574.1
OG0001389	XP_026674453.1, XP_026675071.1, XP_017892329.1	XP_039305597.1
OG0001390	XP_017887124.1	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2
OG0001391	XP_017876528.1, XP_017876529.1	XP_011161215.1, XP_039308652.1
OG0001392	XP_017875693.1, XP_017875702.1	XP_025993442.2
OG0001393	XP_017879548.1	XP_011157653.2
OG0001394	XP_026670778.1	XP_039314983.1
OG0001394	XP_026674847.1	XP_011176229.1
OG0001395	XP_017877486.1	XP_011164439.1, XP_025993826.1
OG0001396	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1	XP_025993663.2
OG0001397	XP_017889289.1, XP_017889291.1	XP_011172906.1
OG0001398	XP_026672922.1, XP_017887263.1, XP_026672921.1	XP_025990535.1
OG0001399	XP_026673393.1	XP_025993541.2
OG0001400	XP_017883457.1	XP_025993881.1
OG0001401	XP_017889463.1, XP_017889465.1, XP_026673966.1	XP_011170086.1
OG0001402	XP_026667249.1	XP_011163539.1
OG0001403	XP_026672021.1, XP_026672022.1	XP_039310380.1
OG0001404	XP_017878479.1	XP_011156235.1
OG0001405	XP_017885433.1	XP_039304316.1
OG0001406	XP_017878387.1	XP_011159875.1, XP_011159874.1
OG0001407	XP_026673136.1, XP_017887725.1	XP_025996674.2, XP_025996673.2, XP_039307890.1
OG0001409	XP_017890921.1	XP_025988890.2
OG0001410	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1	XP_011164802.1
OG0001412	XP_026670137.1	XP_025988414.1
OG0001412	XP_017881765.1	XP_039304946.1
OG0001413	XP_017891083.1	XP_011169177.2, XP_011169180.2
OG0001414	XP_017885076.1	XP_011156102.1
OG0001415	XP_017887419.1, XP_017887415.1	XP_011168452.2
OG0001416	XP_017882648.2	XP_011156599.2, XP_039307071.1
OG0001417	XP_017887492.1	XP_011159626.1, XP_011159625.1, XP_039303854.1
OG0001418	XP_017885400.1	XP_025988310.1
