Orthogroup	Ceratina_calcarata	Acyrthosiphon_pisum
OG0001011	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_017888895.1, XP_026673687.1	XP_001943714.1
OG0001012	XP_026670898.1	XP_001944015.1
OG0001013	XP_026672910.1	XP_008180675.1, XP_003248807.2, XP_001944587.3
OG0001014	XP_017880523.1	XP_001944614.1
OG0001015	XP_017885465.1	XP_001951086.1, XP_003248708.1, XP_001944801.1
OG0001016	XP_026667185.1, XP_017878501.1	XP_001945112.2
OG0001017	XP_017875901.1	XP_001945330.2, XP_016655808.2
OG0001018	XP_017890939.2	XP_001946341.1
OG0001018	XP_017890938.1	XP_008179450.1
OG0001019	XP_017879984.1	XP_001946692.2
OG0001020	XP_017887363.1, XP_017887362.1	XP_001946841.2
OG0001021	XP_017892630.1, XP_017892631.1, XP_017892636.1, XP_017892634.1, XP_017892635.1, XP_026675531.1, XP_026675529.1, XP_017892632.1, XP_017892633.1	XP_001947318.2, XP_003242586.1, XP_003242585.1
OG0001022	XP_026675574.1, XP_026675580.1	XP_001947414.2
OG0001023	XP_026668790.1	XP_001947762.1, XP_008180348.1
OG0001024	XP_017885034.1, XP_017885035.1, XP_017885032.1, XP_017885033.1	XP_029343548.1, XP_001947776.2
OG0001025	XP_017876689.1	XP_029343659.1, XP_001948094.2
OG0001026	XP_017892009.1	XP_001948463.2, XP_001948416.2, XP_029346922.1, XP_029346921.1, XP_029346920.1
OG0001027	XP_017890057.1	XP_001948533.1
OG0001028	XP_017879313.1, XP_026673787.1	XP_001948556.2
OG0001029	XP_026673479.1, XP_017888402.1	XP_008190084.1, XP_029342788.1
OG0001030	XP_017882215.1	XP_016661322.1, XP_008184787.1, XP_003245679.1, XP_003245680.1, XP_008184785.1, XP_029342642.1, XP_001948670.2
OG0001031	XP_017889036.1, XP_017889035.1, XP_017889038.1	XP_001949042.1
OG0001032	XP_017875311.1, XP_017876832.2	XP_001949161.2
OG0001033	XP_017892398.1, XP_026675392.1, XP_026675393.1, XP_026675394.1	XP_001949643.1
OG0001034	XP_026668306.1	XP_001949856.2, XP_016659465.1
OG0001035	XP_017893314.1	XP_001949960.1
OG0001036	XP_026675481.1, XP_017892316.2, XP_017887566.1	XP_001950214.2
OG0001037	XP_017883260.1	XP_029343413.1, XP_001950704.2
OG0001038	XP_017879595.1	XP_003245753.1, XP_001951213.2
OG0001039	XP_017893287.1	XP_001952170.1
OG0001040	XP_017879986.1	XP_001952444.1
OG0001041	XP_017893031.1	XP_003240137.1
OG0001042	XP_026671321.1	XP_003242156.1, XP_016657148.2
OG0001043	XP_017885202.1, XP_026671998.1	XP_003242212.1, XP_016657192.1
OG0001044	XP_017891564.1	XP_029345616.1, XP_003246254.2
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_003246846.1, XP_029347130.1, XP_029347128.1, XP_029347129.1
OG0001046	XP_017882600.1, XP_026670603.1	XP_003247064.1, XP_008186797.1
OG0001048	XP_017876311.1, XP_026672569.1, XP_017888642.2	XP_029341307.1, XP_008178442.1
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_008180098.1
OG0001050	XP_017883752.1, XP_017883754.1	XP_016657682.1, XP_008180288.1
OG0001051	XP_026673462.1, XP_026673463.1, XP_017888304.1, XP_017888306.1	XP_008189529.1, XP_008180713.1, XP_016656400.1
OG0001052	XP_017891386.1	XP_008182858.1, XP_008182857.1
OG0001053	XP_026673879.1, XP_017889260.1	XP_008184495.1
OG0001054	XP_026675559.1, XP_017875980.2	XP_008185488.1, XP_008185487.1, XP_029347617.1
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_008187614.1
OG0001056	XP_017875899.1	XP_008187892.1
OG0001057	XP_017890025.2	XP_008187989.1
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_029345982.1, XP_029345983.1, XP_008188372.2, XP_029345984.1
OG0001059	XP_017892907.1, XP_026669762.1	XP_008188476.1
OG0001060	XP_017878793.1	XP_008188543.1
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_016655779.1
OG0001063	XP_026674066.1	XP_029341043.1, XP_016656351.2, XP_029341494.1
OG0001064	XP_017889753.2, XP_026674486.1	XP_016662408.1
OG0001065	XP_017875688.1, XP_026667241.1	XP_016662735.1
OG0001066	XP_017890601.1, XP_017890595.1	XP_029341094.1
OG0001068	XP_026672302.1, XP_017885940.1	XP_029342993.1, XP_029342992.1
OG0001069	XP_017884474.1	XP_029343159.1
OG0001070	XP_017879692.1	XP_029343506.1, XP_029343509.1
OG0001071	XP_017883771.1	XP_029344587.1, XP_029344586.1, XP_029344584.1, XP_029344588.1
OG0001072	XP_017893509.1, XP_026666801.1, XP_017893351.2	XP_029346976.1, XP_029346977.1
OG0001090	XP_017893581.2	NP_001129420.1
OG0001091	XP_017890851.1	NP_001153848.1, XP_029348531.1, XP_029341881.1, XP_001947968.1, XP_029347308.1, XP_001946133.2
OG0001092	XP_017885637.1	NP_001155140.1, XP_008187000.1
OG0001093	XP_017882231.1, XP_017882233.1	XP_008179870.1, NP_001155505.1
OG0001094	XP_026670977.1, XP_017883336.1	NP_001155508.1, XP_001949834.1
OG0001095	XP_026668985.1, XP_017879354.1	NP_001156278.1, NP_001155646.1
OG0001096	XP_026674246.1	NP_001155662.1
OG0001097	XP_026670462.1, XP_017882114.1	NP_001155680.1
OG0001098	XP_026668115.1	XP_016661622.1, NP_001155733.1
OG0001099	XP_017884699.1	XP_029348134.1, NP_001155764.1
OG0001100	XP_017876756.1, XP_017876755.1, XP_017876754.1	NP_001155768.1
OG0001101	XP_017890541.1	XP_001948284.2, XP_016657265.1, XP_029341296.1, NP_001156051.1
OG0001102	XP_017881699.1, XP_017881700.1	NP_001156053.1
OG0001103	XP_017888861.1, XP_017888862.1	XP_008182544.1, NP_001156129.1, XP_016657962.1, XP_008180461.1
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	NP_001156133.1, XP_008181357.1
OG0001105	XP_017879169.1	NP_001156173.1, NP_001233027.1
OG0001106	XP_026670188.1, XP_017881847.1	XP_029341550.1, NP_001156267.1
OG0001107	XP_017880996.1	NP_001233091.1, XP_001946336.2
OG0001108	XP_017876003.1	XP_008181413.1, XP_008181414.1, NP_001280378.1
OG0001109	XP_017890823.1	XP_008188103.1, NP_001280404.1, XP_029343710.1
OG0001110	XP_017880391.1	XP_001942870.1, XP_029341142.1
OG0001111	XP_017875776.1	XP_001943176.2
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_001943561.1
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_001943767.1
OG0001114	XP_017882302.1, XP_026670265.1, XP_026670268.1, XP_026670266.1, XP_026670267.1	XP_001943824.1
OG0001115	XP_026669291.1, XP_017880048.1	XP_001944095.2
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_001944235.1
OG0001117	XP_017886551.1	XP_001944518.2
OG0001118	XP_026675119.1	XP_001944745.2, XP_003242948.1
OG0001119	XP_017878926.1	XP_001945455.1
OG0001120	XP_026666559.1	XP_001945509.2, XP_003245192.1
OG0001121	XP_017890636.2	XP_003240109.1, XP_001945890.2
OG0001122	XP_017892931.1	XP_029345343.1, XP_001946021.2, XP_029345344.1, XP_016663184.1, XP_008187069.1, XP_008187068.1
OG0001123	XP_026670747.1, XP_017882910.1	XP_001946462.2
OG0001124	XP_017876734.1	XP_001946733.1, XP_016656939.1, XP_016656937.1, XP_016656938.1
OG0001125	XP_017880453.1	XP_003242835.1, XP_001947132.2
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_016657415.1, XP_001947403.1
OG0001127	XP_017887683.1, XP_017887682.1	XP_001947574.2
OG0001128	XP_026672358.1	XP_001947778.1
OG0001129	XP_026674856.1	XP_003243491.1, XP_001947806.2
OG0001130	XP_026674418.1	XP_016663878.1, XP_016663877.1, XP_029346824.1, XP_029346823.1, XP_001947874.1
OG0001131	XP_026666894.1	XP_008187678.1, XP_001947895.2
OG0001132	XP_017888705.1	XP_001948183.1
OG0001133	XP_026670938.1	XP_008181566.1, XP_001948369.2, XP_029348595.1, XP_001948315.1, XP_001950289.2, XP_029342588.1, XP_001951217.2, XP_008189358.2
OG0001134	XP_017887112.1	XP_001948516.2
OG0001135	XP_017876136.1	XP_029341736.1, XP_001949162.2, XP_016662877.1
OG0001136	XP_017885107.1, XP_017885097.1	XP_001949200.2
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_001949566.1
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_016659058.1, XP_001949598.1
OG0001139	XP_017889561.2	XP_001949754.1
OG0001140	XP_017879114.1	XP_001950299.1
OG0001141	XP_026670436.1	XP_016663836.1, XP_001950325.2
OG0001142	XP_017890662.1	XP_001950807.2, XP_029346999.1
OG0001143	XP_017875724.1	XP_001950810.1
OG0001144	XP_026674201.1	XP_001950825.2
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_001950913.1
OG0001146	XP_017891794.1, XP_017891793.1, XP_026675156.1, XP_017890052.1	XP_001950937.1
OG0001147	XP_017876980.2	XP_001950988.1
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_001951126.1
OG0001149	XP_017890473.1	XP_001951630.1
OG0001150	XP_017878717.1, XP_017878720.1	XP_001951748.2, XP_008183754.1, XP_029346633.1
OG0001151	XP_017876290.1	XP_016658645.1, XP_001952434.2
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_001952516.2
OG0001153	XP_026668446.1, XP_026668492.1	XP_029345485.1, XP_001952587.2
OG0001154	XP_026672481.1, XP_026672484.1	XP_016662028.1, XP_001952667.2
OG0001155	XP_017891395.1, XP_017891387.1	XP_001952747.1
OG0001156	XP_017881290.1	XP_016664861.1, XP_003241429.1
OG0001157	XP_017883238.2	XP_003243823.1
OG0001158	XP_017892393.1	XP_016659863.1, XP_003244542.1, XP_016659864.1
OG0001159	XP_017886271.2	XP_003245082.1
OG0001160	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1	XP_003245361.2
OG0001161	XP_017888072.1	XP_008183803.1
OG0001161	XP_017888071.1	XP_003246305.2
OG0001162	XP_026670832.1	XP_008179593.1, XP_003246402.2, XP_029343947.1, XP_029343948.1
OG0001163	XP_017887748.1, XP_017887747.1	XP_003247117.1, XP_016663049.1, XP_008183882.1, XP_008181341.1
OG0001164	XP_017885074.1	XP_003247679.1
OG0001165	XP_026667629.1, XP_026667634.1, XP_026667626.1	XP_008179184.1, XP_008179192.1
OG0001166	XP_017883240.1, XP_017883236.2	XP_008179444.1
OG0001167	XP_026675585.1	XP_008181511.1, XP_008181512.1
OG0001168	XP_017885185.1	XP_008183195.2, XP_029345196.1, XP_016662902.1, XP_029344862.1
OG0001169	XP_026671781.1, XP_017884666.1	XP_008183336.1, XP_029345140.1
OG0001170	XP_017883545.1	XP_008183769.1, XP_008183773.1, XP_016660433.1, XP_016660432.1, XP_016660431.1
OG0001171	XP_017875797.1	XP_008183856.1
OG0001172	XP_026674508.1, XP_017890510.1	XP_008184424.1
OG0001173	XP_017875804.1	XP_008184447.1
OG0001174	XP_017883929.1, XP_017875351.1	XP_029345281.1, XP_008185305.1
OG0001175	XP_017892341.1	XP_008185682.1
OG0001176	XP_017879337.1	XP_008188774.1
OG0001178	XP_026671319.1, XP_026671317.1, XP_026671318.1, XP_017883991.1	XP_008189853.1
OG0001179	XP_017882127.1	XP_008190154.1
OG0001180	XP_026672814.1, XP_026672812.1	XP_016657120.1
OG0001181	XP_026670810.1	XP_016657278.1
OG0001182	XP_017883950.1	XP_016657683.1
OG0001183	XP_017880599.1, XP_017880593.1	XP_029343309.1, XP_016658013.1
OG0001184	XP_026670299.1, XP_026670300.1	XP_016659463.1
OG0001185	XP_026669000.1	XP_016660106.1, XP_016660104.1, XP_016660111.1
OG0001186	XP_017876004.1	XP_016660542.1, XP_016660541.1
OG0001187	XP_017888786.1	XP_016661530.1, XP_029346066.1
OG0001188	XP_026674461.1, XP_026674462.1, XP_017890383.1, XP_026674465.1, XP_026674464.1, XP_026674463.1	XP_016664405.1, XP_016662933.1
OG0001189	XP_017892156.1, XP_026675309.1, XP_017892155.1	XP_029343923.1
OG0001190	XP_026675381.1, XP_017892328.1, XP_026675383.1, XP_026675382.1, XP_017892331.1, XP_017892330.1, XP_017892333.1	XP_029344471.1
OG0001191	XP_017889344.1	XP_029346223.1
OG0001192	XP_026671918.1, XP_026667100.1, XP_026669807.1, XP_026674362.1, XP_017879512.1, XP_026671369.1	XP_029346448.1
OG0001193	XP_026668344.1, XP_017877955.1	XP_029346928.1, XP_029346927.1, XP_029346926.1, XP_029346925.1
OG0001214	XP_017881115.1	NP_001153813.1, NP_001153811.1, NP_001153812.1
OG0001215	XP_017884983.1	NP_001153873.1, XP_029347957.1
OG0001216	XP_017893516.1, XP_017893507.1	NP_001153944.1, XP_003249047.1
OG0001217	XP_017886751.1, XP_017886750.1	NP_001155454.1
OG0001218	XP_017880270.1	NP_001155457.1, XP_008179466.1
OG0001219	XP_017880146.1	NP_001155464.1, XP_001949090.1, XP_003248969.1
OG0001220	XP_017877252.1	NP_001155533.1
OG0001221	XP_026673331.1	XP_001951050.1
OG0001222	XP_017889956.1, XP_026674122.1, XP_017889955.1	NP_001155665.2, NP_001156815.1
OG0001223	XP_017890927.1	XP_008182091.1, NP_001155667.1
OG0001224	XP_017880169.1, XP_017880171.1	NP_001156103.1
OG0001225	XP_017883445.1	NP_001156193.1
OG0001226	XP_017882856.1, XP_017882847.1, XP_017882866.1	NP_001156283.1, XP_029341458.1, XP_008184693.1, XP_008184699.1, XP_008184694.1
OG0001227	XP_017887066.1, XP_017887067.1, XP_017887065.1	XP_029345469.1, XP_001951546.1, NP_001280401.1, NP_001233110.1, XP_001948920.1
OG0001228	XP_017892582.1, XP_017892587.1	XP_001947886.1, NP_001280309.1
OG0001229	XP_017883348.1, XP_017883349.1	NP_001280441.1
OG0001230	XP_017876199.1	XP_008184848.1, NP_001280446.1
OG0001231	XP_017888565.1	XP_001943183.2, XP_008186393.1
OG0001232	XP_017892532.1, XP_017892536.1	XP_001942726.2, XP_001942882.2, XP_029342527.1, XP_016659130.1, XP_008182073.1, XP_001950130.3
OG0001233	XP_017882351.1	XP_001944566.2, XP_016662541.1, XP_016657430.1, XP_001943267.2
OG0001234	XP_026668282.1	XP_001943476.2
OG0001236	XP_026670881.1, XP_017883045.1, XP_017883046.1	XP_001944534.1
OG0001237	XP_026669249.1	XP_029343933.1, XP_001945027.2, XP_003245282.1, XP_003245283.1
OG0001238	XP_026673719.1, XP_026673720.1	XP_008188368.1, XP_001945158.2, XP_001950494.2
OG0001239	XP_017884417.1	XP_001945277.2, XP_008183013.1, XP_016656349.1
OG0001240	XP_017876721.1, XP_017876729.1	XP_001945375.1
OG0001241	XP_017879036.1, XP_026668831.1	XP_029343094.1, XP_029343095.1, XP_001946090.2
OG0001242	XP_017885842.1, XP_017885841.1	XP_001946147.2
OG0001244	XP_017890536.1, XP_017890537.1, XP_026674530.1	XP_001946280.2
OG0001245	XP_017892758.1	XP_001946431.1
OG0001246	XP_017887988.1	XP_001947027.2
OG0001247	XP_017883857.1, XP_017883856.1	XP_001951687.2, XP_003243969.1, XP_001947095.2, XP_008182260.1
OG0001248	XP_017885722.1, XP_017885721.1, XP_017885720.1, XP_026672240.1	XP_008180352.1, XP_001947336.2
OG0001249	XP_017887979.1	XP_008179609.1, XP_001947420.1
OG0001250	XP_017883428.1	XP_001947917.2
OG0001251	XP_017882528.1	XP_029344523.1, XP_029344522.1, XP_001948243.2
OG0001252	XP_017886445.1	XP_001948261.1
OG0001253	XP_026666474.1, XP_017892912.1, XP_026666475.1	XP_001948411.2, XP_008187442.1
OG0001254	XP_017886157.1	XP_001948594.2
OG0001255	XP_026671355.1, XP_017884086.1	XP_001948774.2
OG0001256	XP_017893021.1	XP_001949446.1
OG0001257	XP_017882218.2	XP_001949480.1
OG0001258	XP_017877914.1, XP_017877911.1	XP_001949498.2
OG0001259	XP_017877157.1, XP_017877153.1	XP_001949584.1, XP_008184333.1, XP_003242568.1
OG0001260	XP_017889906.1, XP_017889907.1	XP_001950152.1
OG0001261	XP_026668091.1, XP_017877511.1	XP_001950183.1
OG0001262	XP_017877111.1, XP_017877113.1	XP_001950417.1
OG0001263	XP_017885436.1	XP_001950431.1
OG0001264	XP_017876225.1	XP_001950522.1, XP_016657964.1
OG0001266	XP_017877447.1, XP_017877440.1	XP_001950947.2
OG0001267	XP_026673666.1, XP_026673737.1	XP_001951732.1
OG0001268	XP_017888924.1	XP_001952629.1, XP_008187935.1
OG0001269	XP_026666924.1, XP_026666930.1	XP_003240957.1
OG0001270	XP_017891911.1	XP_003241121.1
OG0001271	XP_017875511.1, XP_017875509.1	XP_029342269.1, XP_029342268.1
OG0001272	XP_017885497.1	XP_003242523.1, XP_016657578.1, XP_016657577.1, XP_029347236.1, XP_029345765.1
OG0001273	XP_026670825.1	XP_029341105.1, XP_003243017.1
OG0001274	XP_017883770.2, XP_026666535.1	XP_003243163.1
OG0001275	XP_017878338.1, XP_017878340.1	XP_003243501.1
OG0001277	XP_017887330.1	XP_003243733.1
OG0001278	XP_017886511.2	XP_003244422.1
OG0001279	XP_017877894.1, XP_026668364.1	XP_008183368.1, XP_003244722.1
OG0001280	XP_026667929.1, XP_017877172.1	XP_003245599.2
OG0001281	XP_017881313.1	XP_003246179.1
OG0001282	XP_017882122.1	XP_003248149.1
OG0001283	XP_017892422.1	XP_003248478.1
OG0001284	XP_017886567.1, XP_017886558.1	XP_008182531.1, XP_003248714.1
OG0001285	XP_026672133.1	XP_029343544.1, XP_029342364.1, XP_029342371.1, XP_029342373.1, XP_029342374.1, XP_029342363.1, XP_029343515.1, XP_029343532.1, XP_029343545.1, XP_016664607.1, XP_029342372.1, XP_029342370.1, XP_029343566.1, XP_003248732.1, XP_029343546.1, XP_029343554.1
OG0001286	XP_017885102.1	XP_008178165.1
OG0001287	XP_017890744.1, XP_017890741.1, XP_026674635.1	XP_008178607.1
OG0001288	XP_017877639.1	XP_008181487.1, XP_008182181.1, XP_008182182.1, XP_029347449.1
OG0001289	XP_017892764.1	XP_008181498.1
OG0001290	XP_017889603.1	XP_016657448.1, XP_008181527.1
OG0001291	XP_017886822.1	XP_029343815.1, XP_008184750.1, XP_008184749.1
OG0001292	XP_017882283.1	XP_029343143.1, XP_008185152.1
OG0001293	XP_017876705.1	XP_008185156.1
OG0001294	XP_017889518.1, XP_026674115.1	XP_008186956.1
OG0001295	XP_017881319.1	XP_008187592.1
OG0001297	XP_017878038.1	XP_029348342.1, XP_029348395.1, XP_016659774.2, XP_029344380.1, XP_029347311.1, XP_029342261.1, XP_029342885.1, XP_016656772.1, XP_029343250.1, XP_029347780.1, XP_029348289.1, XP_029347789.1, XP_016660608.1, XP_029344634.1, XP_029341127.1
OG0001298	XP_017881237.1	XP_016657557.1
OG0001299	XP_017881510.1	XP_016659670.1, XP_016659669.1
OG0001300	XP_017888500.1, XP_017888499.1	XP_016660087.1
OG0001301	XP_026666630.1	XP_016660634.1, XP_016660633.1
OG0001302	XP_026669115.1	XP_029347290.1, XP_016662733.1
OG0001303	XP_017880508.1	XP_029341792.1
OG0001304	XP_017886478.1, XP_026672517.1, XP_017886477.1	XP_029342867.1
OG0001305	XP_026666601.1	XP_029348564.1, XP_029342894.1
OG0001306	XP_017883838.1	XP_029344330.1
OG0001307	XP_026669213.1, XP_026669216.1	XP_029345473.1
OG0001308	XP_017888463.1	XP_029346361.1, XP_029346360.1
OG0001328	XP_017882111.1	NP_001127773.1, XP_029341919.1
OG0001329	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1	NP_001155492.1, XP_029344755.1
OG0001330	XP_017891678.1	NP_001155497.1, XP_008186537.1
OG0001331	XP_017883464.1	NP_001155755.1
OG0001332	XP_017882789.1, XP_017882787.1	XP_001952298.1, NP_001155769.1
OG0001333	XP_017892813.1	NP_001155777.1
OG0001334	XP_026669091.1, XP_026669092.1	NP_001191927.1, NP_001156237.1
OG0001335	XP_017882018.2, XP_017882019.1	XP_016663531.1, NP_001156244.1
OG0001336	XP_017882037.2	XP_003244203.1
OG0001336	XP_026670312.1	NP_001156313.1
OG0001337	XP_017879502.1, XP_017879503.1	NP_001191891.1
OG0001338	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1	NP_001191907.1, XP_008181953.1
OG0001339	XP_017886121.1	XP_016662840.1, XP_016660308.1, NP_001280409.1, NP_001280286.1
OG0001340	XP_017890061.1, XP_017877160.1	NP_001280445.1
OG0001341	XP_026672596.1	NP_001313591.2
OG0001342	XP_017878213.1	XP_001942660.2, XP_008185917.1, XP_029346331.1, XP_016662253.1, XP_016662252.1
OG0001343	XP_017884609.1	XP_001942773.2
OG0001345	XP_017890181.1, XP_026674313.1, XP_026674314.1	XP_001943716.2
OG0001346	XP_017876879.1	XP_001943720.2, XP_029345723.1, XP_029345724.1
OG0001347	XP_017893537.1	XP_001944211.2, XP_016658906.1
OG0001348	XP_017876044.1	XP_001944238.2
OG0001349	XP_017878282.1, XP_026668505.1, XP_026668506.1, XP_017878283.1	XP_001944356.1
OG0001350	XP_017882882.1	XP_001944460.2
OG0001351	XP_026674120.1, XP_017889532.1	XP_001945250.1
OG0001352	XP_017881148.1	XP_001945276.1
OG0001353	XP_017882726.1	XP_001945743.2, XP_008186641.1
OG0001354	XP_026667483.1, XP_017876228.1	XP_001945744.2
OG0001355	XP_017888035.2	XP_008189594.1, XP_001946293.2
OG0001356	XP_017888519.1	XP_003244441.1, XP_001946367.2, XP_016659772.1
OG0001357	XP_017885862.1	XP_001947400.1
OG0001358	XP_017889636.1, XP_017889633.1	XP_003246991.1, XP_001947503.2
OG0001359	XP_017882565.1, XP_017882566.1	XP_001947632.1
OG0001360	XP_017892403.1	XP_001947656.2
OG0001361	XP_026672730.1, XP_017886731.1, XP_017886732.1	XP_001947660.2
OG0001362	XP_017891783.1	XP_001947761.1
OG0001363	XP_017886031.2, XP_017885003.1	XP_001947957.1
OG0001364	XP_026666520.1	XP_003241886.1, XP_001948070.1, XP_016656778.1, XP_029344899.1, XP_008179197.1
OG0001365	XP_017890494.1	XP_001948118.2
OG0001366	XP_026667108.1	XP_001948171.2
OG0001367	XP_017879464.1	XP_001948202.2, XP_003247502.1, XP_001951248.1
OG0001368	XP_017881299.1	XP_001948360.1
OG0001369	XP_017893611.1	XP_001948582.1
OG0001370	XP_017887687.1	XP_001948788.2, XP_008187828.1
OG0001371	XP_017878765.1	XP_001948959.2
OG0001372	XP_017881661.1, XP_017891436.1, XP_017879762.1	XP_001949037.2
OG0001373	XP_017883954.1, XP_017883953.1, XP_017886223.1, XP_017883955.1	XP_001949375.2, XP_029342280.1
OG0001374	XP_026673332.1, XP_017888065.2	XP_003244126.1, XP_003240930.1, XP_001949438.1, XP_003247548.1
OG0001375	XP_017884465.1, XP_017884481.1	XP_001949712.2
OG0001376	XP_017892499.1, XP_017892497.1	XP_001949866.1, XP_029343706.1
OG0001377	XP_017877173.1	XP_016657316.1, XP_001951160.1
OG0001378	XP_017887871.1	XP_001951169.1
OG0001379	XP_017893069.1	XP_001951442.2, XP_003248624.2
OG0001380	XP_017875912.1	XP_001951739.1
OG0001381	XP_017880799.1, XP_017880808.1, XP_026669592.1, XP_026669587.1, XP_017880791.1, XP_017880754.1, XP_026669588.1	XP_001952158.1, XP_003244080.1
OG0001382	XP_026667542.1	XP_001952349.1, XP_029347207.1
OG0001383	XP_017878984.1	XP_001952705.1
OG0001384	XP_017879068.1	XP_003241026.1
OG0001385	XP_017879493.1	XP_003242732.1
OG0001386	XP_017875382.1	XP_003242991.1, XP_029342070.1
OG0001387	XP_017883516.1	XP_003243016.1
OG0001388	XP_017880362.1	XP_003243736.1
OG0001389	XP_026674453.1, XP_026675071.1, XP_017892329.1	XP_003243952.1
OG0001390	XP_017887124.1	XP_003245614.1
OG0001391	XP_017876528.1, XP_017876529.1	XP_003246597.1
OG0001392	XP_026667204.1, XP_017875693.1, XP_017875702.1	XP_003246638.2
OG0001393	XP_017879548.1	XP_003246906.1
OG0001394	XP_026670778.1	XP_029345028.1
OG0001394	XP_026674847.1	XP_003247560.1
OG0001395	XP_017877486.1	XP_003248979.1, XP_029343280.1, XP_029343286.1
OG0001396	XP_017887788.1, XP_026673200.1, XP_026673198.1, XP_026673199.1	XP_008178335.1, XP_029341036.1, XP_029341085.1, XP_008184856.2
OG0001397	XP_017889289.1, XP_017889291.1	XP_029346232.1, XP_008178482.1, XP_016656264.1, XP_016656263.1, XP_016656261.1
OG0001398	XP_026672922.1, XP_017887263.1, XP_026672921.1	XP_008179523.1
OG0001399	XP_026673393.1	XP_008180076.2, XP_008180968.1, XP_008181458.1
OG0001400	XP_017883457.1	XP_008180537.1
OG0001401	XP_017889463.1, XP_017889465.1, XP_026673966.1	XP_008182079.1
OG0001402	XP_026667249.1	XP_008183444.1, XP_008183443.1
OG0001403	XP_026672021.1, XP_026672022.1	XP_008183955.3
OG0001404	XP_017878479.1	XP_008184962.1
OG0001405	XP_017885433.1	XP_008185959.1
OG0001406	XP_017878387.1	XP_008186629.1
OG0001407	XP_026673136.1, XP_017887725.1	XP_008186697.1
OG0001409	XP_017890921.1	XP_008187143.1
OG0001410	XP_017883413.1, XP_017883414.1, XP_026670994.1, XP_026670995.1, XP_026670996.1, XP_017883410.1, XP_017883406.1, XP_017883405.1, XP_017883401.1	XP_008187332.1
OG0001412	XP_026670137.1	XP_016658040.1, XP_016658039.1, XP_029346343.1
OG0001412	XP_017881765.1	XP_016662318.1
OG0001413	XP_017891083.1	XP_016659809.1, XP_016659807.1, XP_016659808.1
OG0001414	XP_017885076.1	XP_016659986.1
OG0001415	XP_017887419.1, XP_017887415.1	XP_029344125.1, XP_029342285.1, XP_016662874.1
OG0001416	XP_026668278.1, XP_017882648.2	XP_029341813.1
OG0001417	XP_017887492.1	XP_029342475.1
OG0001418	XP_017885400.1	XP_029342978.1
OG0001419	XP_017881554.1, XP_017882635.1, XP_026670647.1	XP_029343365.1
OG0001420	XP_026671452.1	XP_029343491.1
OG0001421	XP_017892744.1, XP_017892743.1	XP_029344222.1, XP_029348214.1
OG0001422	XP_017885854.1, XP_017885853.1, XP_026672326.1	XP_029344365.1
OG0001423	XP_026669133.1, XP_026667553.1	XP_029345673.1
OG0001424	XP_017877030.1, XP_017877029.1, XP_017877033.1, XP_026667884.1, XP_017877034.1, XP_017877031.1	XP_029346038.1, XP_029346037.1
OG0001425	XP_017875961.1	XP_029346380.1
OG0001426	XP_017887072.1, XP_017887075.1, XP_026672822.1, XP_017887071.1, XP_017887073.1, XP_017887074.1	XP_029346658.1
OG0001427	XP_017887786.1	XP_029347149.1
OG0001453	XP_017885844.1	NP_001155561.1, XP_008185637.1
OG0001455	XP_017881514.1	NP_001155669.1
OG0001456	XP_026667780.1, XP_026667784.1	XP_008180851.1, NP_001155699.1
OG0001457	XP_017880034.1	NP_001155732.1
OG0001458	XP_017884582.1	NP_001155827.1
OG0001459	XP_026675395.1	NP_001156046.1
OG0001460	XP_026671393.1, XP_017884092.1	NP_001156079.1
OG0001461	XP_017890699.1	NP_001156162.1
OG0001462	XP_017887335.1	NP_001156167.1
OG0001463	XP_026672318.1	XP_029341941.1, NP_001156195.1
