Orthogroup	Ceratina_calcarata	Anopheles_gambiae
OG0000704	XP_026671692.1, XP_017877568.1	XP_309375.4
OG0000705	XP_017892765.1	XP_003435769.1
OG0000706	XP_026666565.1, XP_017893132.1, XP_017893129.1	XP_315558.4
OG0000707	XP_017877743.1	XP_320621.4, XP_001689277.1, XP_552329.3, XP_320615.4, XP_320620.4, XP_320619.4
OG0000708	XP_017889612.1, XP_026674159.1	XP_311193.4
OG0000709	XP_017881399.1, XP_026670020.1, XP_017881397.1	XP_314703.4
OG0000711	XP_017882576.1, XP_026670617.1, XP_017882577.1	XP_320429.3
OG0000712	XP_017891160.1, XP_026674859.1	XP_001688392.2, XP_001688393.2, XP_001688394.2, XP_001688395.1, XP_312613.5
OG0000713	XP_026671747.1	XP_321588.5
OG0000714	XP_026669440.1, XP_017885803.1	XP_311086.2
OG0000715	XP_026670958.1, XP_026670956.1	XP_003436561.1, XP_003437118.1, XP_316817.5, XP_003437119.1
OG0000716	XP_017885198.1, XP_017885199.1	XP_308561.4, XP_003435740.1
OG0000717	XP_017879794.2, XP_017879791.1	XP_317161.4
OG0000718	XP_026670239.1, XP_026670425.1	XP_566366.4
OG0000719	XP_017875741.1	XP_319824.3
OG0000720	XP_026673535.1	XP_307780.5
OG0000720	XP_026672559.1	XP_308196.4
OG0000721	XP_017882495.1	XP_310647.1
OG0000722	XP_017885397.2	XP_321617.4
OG0000723	XP_017877742.1, XP_026668236.1, XP_026668241.1	XP_311134.3
OG0000724	XP_026671105.1, XP_026671107.1	XP_564450.1, XP_312565.3
OG0000726	XP_026672252.1	XP_309067.4, XP_308848.4, XP_565288.3
OG0000727	XP_026671246.1	XP_317811.4
OG0000728	XP_026673031.1	XP_551486.2, XP_551485.2, XP_321793.2, XP_001689357.1
OG0000729	XP_017882368.1, XP_017882367.1	XP_003436318.1, XP_563178.3
OG0000730	XP_017875091.1, XP_017875092.1, XP_026666937.1, XP_026666936.1	XP_001237838.2
OG0000731	XP_017886547.1	XP_001238225.2, XP_001238226.1
OG0000732	XP_017875259.1, XP_017875258.1, XP_026667010.1, XP_026667011.1	XP_319834.4
OG0000736	XP_026671501.1, XP_017884586.1	XP_309539.2
OG0000737	XP_017882041.1, XP_017882040.1, XP_026670310.1	XP_321482.4, XP_001689335.2
OG0000738	XP_017891762.2	XP_003436514.1, XP_313282.5
OG0000739	XP_026669512.1, XP_026669514.1, XP_026669513.1, XP_017880560.1	XP_001689185.1
OG0000740	XP_017890732.1, XP_026674620.1, XP_017891203.1, XP_017891204.1	XP_308979.2
OG0000741	XP_017889568.1	XP_320004.4, XP_319076.3
OG0000742	XP_017882048.1	XP_314748.3, XP_003436764.1, XP_003436763.1, XP_313179.4
OG0000743	XP_017880443.1, XP_026669485.1, XP_026669486.1, XP_026669487.1	XP_317315.3
OG0000744	XP_017888513.1	XP_311931.4, XP_001237485.2
OG0000745	XP_017884691.1, XP_017884692.1	XP_320670.3
OG0000746	XP_026672346.1, XP_017885838.1	XP_318705.3, XP_312838.4
OG0000747	XP_017879015.1	XP_310665.3
OG0000748	XP_017878010.1, XP_017878005.1	XP_320170.4, XP_320144.4
OG0000749	XP_017883309.1	XP_003436933.1, XP_310951.5
OG0000749	XP_017878148.1	XP_003436731.1, XP_313043.5
OG0000750	XP_017878430.1, XP_017878429.1, XP_026668533.1	XP_308778.4
OG0000751	XP_026671409.1	XP_315755.4, XP_001688723.1
OG0000751	XP_017889100.1	XP_314756.4
OG0000752	XP_026668165.1, XP_026668166.1	XP_317823.4, XP_310889.5
OG0000753	XP_017889750.1	XP_312995.5
OG0000754	XP_017885545.1, XP_017889846.1	XP_312756.5
OG0000755	XP_017885731.1	XP_313657.4
OG0000757	XP_017876961.2	XP_314680.4
OG0000758	XP_026672818.1, XP_026670932.1	XP_317050.4
OG0000759	XP_017886927.1, XP_026672770.1, XP_026672771.1	XP_312018.5
OG0000760	XP_017884968.1, XP_017891423.1	XP_001688456.2
OG0000761	XP_017879769.1	XP_553256.3
OG0000762	XP_017879533.1	XP_001237444.3
OG0000765	XP_017875970.1	XP_312371.1, XP_003436159.1
OG0000766	XP_017890189.1	XP_321355.5
OG0000767	XP_017887918.1	XP_315509.3, XP_001688672.1, XP_001688673.1
OG0000768	XP_017890610.1	XP_309489.4
OG0000769	XP_026669131.1	XP_311161.4, XP_315324.4
OG0000770	XP_017875530.1, XP_017875531.1	XP_001688195.1
OG0000771	XP_017876962.1	XP_308361.4, XP_001687775.2
OG0000772	XP_017875958.1	XP_001689245.1, XP_320299.4
OG0000773	XP_017890442.1, XP_017890441.1	XP_317844.3
OG0000774	XP_017891628.1, XP_026674969.1, XP_026674968.1	XP_312552.5
OG0000776	XP_017875728.1, XP_026666993.1	XP_001688474.1, XP_313915.3
OG0000777	XP_017888127.1	XP_321280.5
OG0000778	XP_017887891.1	XP_315543.3
OG0000779	XP_017890991.1	XP_313129.1, XP_313127.2, XP_003436743.1
OG0000780	XP_017886611.1, XP_017886610.1	XP_316669.4
OG0000781	XP_017880879.1, XP_017880881.1, XP_026669691.1, XP_026669692.1	XP_321207.2
OG0000782	XP_017885608.1	XP_320180.1
OG0000783	XP_026668692.1, XP_026668693.1, XP_017878758.1, XP_017878751.1, XP_026668694.1, XP_026668691.1	XP_551936.2
OG0000785	XP_017884378.1	XP_321503.2, XP_321497.2, XP_565056.3, XP_308620.4
OG0000786	XP_017887107.1	XP_321356.5
OG0000788	XP_017882765.1	XP_311255.5, XP_308271.4
OG0000789	XP_026672148.1, XP_017885599.1	XP_307037.4
OG0000790	XP_017883311.1, XP_017883312.1	XP_316813.5
OG0000795	XP_017887597.1, XP_017887598.1	XP_316941.3
OG0000796	XP_017879124.1	XP_311696.2
OG0000797	XP_026670023.1, XP_017881478.1	XP_001688174.2
OG0000798	XP_017878265.1	XP_559058.3
OG0000799	XP_017881231.1, XP_026674566.1, XP_017881228.1, XP_017881225.1, XP_017881227.1	XP_317538.3
OG0000800	XP_017887177.1, XP_026672902.1	XP_001237468.3
OG0000801	XP_017888152.1	XP_310573.4
OG0000802	XP_017875674.1	XP_308510.4, XP_308511.4
OG0000803	XP_026667268.1	XP_308462.4, XP_310113.4
OG0000804	XP_026671373.1, XP_026671371.1, XP_026671372.1, XP_017884125.1	XP_308552.4, XP_001687983.1
OG0000805	XP_017882748.1	XP_566364.4
OG0000805	XP_017875192.1, XP_017878104.1	XP_311087.5
OG0000806	XP_026674155.1	XP_308596.4
OG0000807	XP_017886888.1, XP_017886889.1	XP_321929.3
OG0000808	XP_017876658.1, XP_026667693.1	XP_313990.4, XP_003435719.1
OG0000809	XP_017883524.1, XP_026671041.1	XP_003436050.1, XP_307995.5
OG0000810	XP_026670613.1	XP_322067.4
OG0000811	XP_017879550.1	XP_001688164.1, XP_309085.4
OG0000812	XP_017887581.1, XP_017886173.1	XP_308496.4
OG0000813	XP_026671097.1, XP_026671096.1, XP_017883701.1	XP_309726.4, XP_309724.3, XP_554155.3, XP_320312.4
OG0000814	XP_017893684.1	XP_316915.4
OG0000814	XP_017880333.1	XP_318688.2
OG0000815	XP_026673431.1, XP_017888284.1	XP_315593.4, XP_001688684.1
OG0000816	XP_026667608.1, XP_026667607.1	XP_555284.3
OG0000817	XP_017882319.1	XP_320274.2
OG0000819	XP_017882839.1, XP_017882838.1	XP_557579.3
OG0000820	XP_026671533.1	XP_003436676.1, XP_318436.5
OG0000821	XP_017876676.1	XP_001689219.1
OG0000822	XP_026669777.1, XP_026669775.1, XP_026667910.1	XP_309064.5, XP_003435721.1
OG0000824	XP_017885674.1, XP_017885675.1	XP_003435788.1, XP_003435789.1, XP_321893.4
OG0000825	XP_017885016.1	XP_314783.2, XP_557830.2
OG0000826	XP_017883572.1	XP_313758.4, XP_003436825.1
OG0000827	XP_017882257.1, XP_017882258.1	XP_001688260.1, XP_316485.4
OG0000828	XP_017875153.1	XP_311410.4
OG0000829	XP_017879917.1	XP_312898.3
OG0000830	XP_026669680.1	XP_309393.2
OG0000831	XP_017876837.1, XP_017876839.1	XP_310750.5, XP_319460.3
OG0000832	XP_017892866.1	XP_320918.5, XP_003436034.1, XP_003436035.1, XP_003436036.1
OG0000833	XP_017882943.2, XP_017886589.1, XP_017886597.1	XP_001689140.1
OG0000835	XP_026666973.1, XP_017877314.1	XP_319473.4
OG0000838	XP_026671650.1, XP_026671655.1	XP_001237627.2
OG0000840	XP_026675422.1, XP_017892526.1, XP_017892525.1	XP_310379.7, XP_003436628.1, XP_003436446.1, XP_314237.4
OG0000841	XP_017893228.1	XP_316016.3, XP_001688766.1, XP_319122.4, XP_319146.4, XP_311058.5
OG0000843	XP_017888490.1	XP_315164.4, XP_314344.5
OG0000844	XP_017890723.1, XP_017890736.1, XP_017890735.1	XP_553771.3
OG0000849	XP_017876485.1	XP_563989.1
OG0000850	XP_017883460.1, XP_026671012.1, XP_026671013.1	XP_317465.2
OG0000851	XP_017893012.1, XP_017893037.1	XP_309827.4
OG0000852	XP_017892777.1	XP_552427.2
OG0000853	XP_017890670.1, XP_017890668.1, XP_017890669.1	XP_001237881.1
OG0000854	XP_026668939.1	XP_566387.4, XP_316496.3
OG0000855	XP_026673088.1, XP_017887753.1	XP_001687874.1, XP_001687873.1, XP_001687875.1, XP_308237.4, XP_001687876.1
OG0000856	XP_017889323.1	XP_001689087.1, XP_318047.4
OG0000857	XP_017893630.1	XP_562320.4
OG0000859	XP_017888184.1	XP_001230995.1, XP_309522.4
OG0000860	XP_017880741.1, XP_017880743.1, XP_017880742.1, XP_026669662.1	XP_321195.5
OG0000861	XP_017884014.1	XP_315658.3
OG0000862	XP_026675565.1	XP_001238522.2, XP_001238523.2, XP_003435843.1
OG0000863	XP_017883453.1	XP_312621.4
OG0000864	XP_017890226.1	XP_312223.5, XP_319733.4
OG0000865	XP_017879477.1	XP_315231.5
OG0000866	XP_017881151.1, XP_017890706.1	XP_319528.4
OG0000867	XP_017892522.1	XP_315403.4
OG0000868	XP_017885399.2	XP_001688433.2
OG0000870	XP_017882806.1	XP_320737.4
OG0000871	XP_017875546.1, XP_017875545.1, XP_017875544.1, XP_017875547.1	XP_311516.4
OG0000872	XP_017890947.1, XP_017890949.1	XP_316840.3
OG0000873	XP_017876463.1	XP_557731.3
OG0000875	XP_017877547.1, XP_026668088.1	XP_308629.2
OG0000876	XP_017893076.1, XP_017893077.1	XP_312228.5
OG0000877	XP_017893520.1	XP_315841.3
OG0000878	XP_017891250.1	XP_308419.4
OG0000878	XP_017882720.1	XP_315059.4, XP_315060.4
OG0000879	XP_017884291.1, XP_017884292.1	XP_001689090.1, XP_001689089.1, XP_318058.4
OG0000880	XP_017884925.1	XP_315613.4, XP_314829.4, XP_001237606.1
OG0000881	XP_017885691.1	XP_311105.2
OG0000883	XP_017889898.1	XP_313339.4, XP_003436531.1
OG0000884	XP_017889744.1	XP_307777.3
OG0000886	XP_017882141.1, XP_017882142.1	XP_003436122.1, XP_312518.5
OG0000887	XP_017892830.1, XP_017885763.1	XP_321479.1
OG0000888	XP_017879321.1, XP_017883946.1, XP_017879308.1, XP_017885395.1, XP_026672076.1, XP_017885625.1	XP_321033.5
OG0000890	XP_017893651.1	XP_001237490.3, XP_003436386.1
OG0000892	XP_017884452.1, XP_017884453.1	XP_003436835.1, XP_313833.5
OG0000893	XP_017882388.1	XP_318332.4
OG0000894	XP_017890425.1	XP_316113.4
OG0000895	XP_017882439.1, XP_017882435.1	XP_308934.4
OG0000896	XP_017889339.1, XP_026674043.1	XP_320173.4, XP_318850.4
OG0000897	XP_026672229.1, XP_026672228.1, XP_017885746.1, XP_026672230.1	XP_001237068.2, XP_001687904.1
OG0000899	XP_017878878.1, XP_017878881.1	XP_003436759.1, XP_313176.5
OG0000900	XP_017877460.1	XP_315331.4, XP_555956.2, XP_315333.4
OG0000901	XP_017887365.1	XP_317516.4
OG0000903	XP_017880475.1	XP_312952.4, XP_312953.4
OG0000904	XP_026670694.1	XP_001688859.1, XP_001688857.1, XP_001688856.1, XP_001688858.1, XP_316396.4
OG0000905	XP_017885864.1	XP_312929.3, XP_003436421.1
OG0000906	XP_017883930.1	XP_318613.4
OG0000906	XP_026674997.1	XP_309041.4, XP_309040.4
OG0000908	XP_026670487.1, XP_017886603.1, XP_017886604.1	XP_316672.4
OG0000909	XP_017880094.1	XP_318981.4
OG0000910	XP_017893366.1	XP_001237085.1, XP_308481.1, XP_001237087.1, XP_308448.2, XP_308446.3
OG0000911	XP_026671666.1, XP_026671665.1	XP_001688047.1, XP_308622.4
OG0000912	XP_026672257.1	XP_552325.3
OG0000914	XP_017890825.1	XP_001688294.1
OG0000915	XP_017880117.1	XP_001238053.2, XP_001238056.2, XP_001238057.1, XP_318842.4, XP_318838.4
OG0000916	XP_017886050.1	XP_319584.4
OG0000916	XP_017886126.1	XP_319585.4
OG0000917	XP_017885753.1, XP_026672248.1, XP_026672249.1, XP_026672246.1, XP_026672250.1	XP_003436170.1
OG0000918	XP_017892856.1, XP_017892858.1	XP_003435743.1, XP_001687900.1, XP_001687901.1, XP_001687902.1
OG0000919	XP_026670595.1, XP_017882531.1, XP_017882532.1	XP_308247.4
OG0000920	XP_017882960.1, XP_017882961.1	XP_318629.2
OG0000921	XP_017876672.1	XP_003435754.1
OG0000922	XP_017881550.1	XP_311884.5
OG0000923	XP_026673995.1, XP_026673992.1	XP_556301.3
OG0000924	XP_017886187.1	XP_315708.4
OG0000925	XP_026673805.1, XP_026673797.1	XP_003436686.1
OG0000927	XP_017879362.1	XP_310706.3
OG0000928	XP_017876706.1	XP_563117.1, XP_003436339.1, XP_003436340.1
OG0000929	XP_017889840.1	XP_565460.2
OG0000930	XP_017885049.1, XP_017885048.1, XP_017885047.1, XP_017885046.1, XP_017885051.1, XP_026671578.1, XP_026671577.1, XP_017885050.1	XP_003437155.1, XP_003437156.1, XP_309146.4, XP_003437157.1
OG0000931	XP_017889354.1	XP_308215.4
OG0000931	XP_017889954.1	XP_321812.4
OG0000932	XP_026668435.1, XP_017882828.1, XP_017878105.1, XP_017878106.1	XP_321361.5
OG0000933	XP_017885233.1, XP_017889066.1	XP_308800.3
OG0000934	XP_026669064.1	XP_308788.3
OG0000935	XP_017888524.1	XP_310832.5, XP_310834.4, XP_310684.3, XP_310833.5
OG0000936	XP_026673057.1, XP_026673056.1, XP_026673055.1, XP_017887707.1	XP_314147.4
OG0000937	XP_017893219.1, XP_017893217.1, XP_017893218.1	XP_314129.4
OG0000938	XP_017888840.1	XP_318102.2
OG0000941	XP_017885418.1	XP_320660.4
OG0000942	XP_017878317.1	XP_309480.3
OG0000943	XP_017886498.1, XP_017886502.1, XP_017886500.1, XP_026672568.1	XP_321357.4
OG0000944	XP_026671702.1	XP_313297.3
OG0000945	XP_017886600.1, XP_017886599.1	XP_320578.4
OG0000946	XP_017891222.1, XP_017875247.1	XP_316421.3
OG0000947	XP_026674145.1	XP_313650.5
OG0000948	XP_017893300.1, XP_026666632.1	XP_309921.3
OG0000950	XP_017877105.1	XP_319893.3
OG0000951	XP_017893111.1	XP_310711.2
OG0000952	XP_026672038.1	XP_313752.4, XP_003436823.1, XP_003436822.1
OG0000953	XP_026666455.1	XP_554872.3
OG0000955	XP_026669575.1, XP_026669572.1	XP_001238322.2, XP_561526.1, XP_320459.4
OG0000957	XP_017878368.1, XP_017888803.1	XP_316912.4
OG0000958	XP_026668322.1	XP_318029.4
OG0000959	XP_017876466.1, XP_017876715.1	XP_319812.4
OG0000960	XP_026674889.1	XP_313575.5
OG0000961	XP_017881300.1, XP_026669919.1	XP_312657.5, XP_003436086.1
OG0000962	XP_026671636.1, XP_026671640.1, XP_026671643.1, XP_026671646.1	XP_308166.4
OG0000963	XP_017878327.1, XP_017878328.1	XP_312843.1, XP_003436411.1, XP_003436410.1, XP_003436409.1
OG0000964	XP_017884013.1, XP_026671311.1	XP_320746.4
OG0000965	XP_026674413.1, XP_026674410.1	XP_001688923.1, XP_001688924.1, XP_316615.4, XP_316614.4
OG0000966	XP_017891560.1	XP_314043.4
OG0000967	XP_026666863.1	XP_308187.4, XP_001687862.1
OG0000968	XP_017889067.1, XP_026673743.1, XP_017889070.1	XP_313931.4
OG0000970	XP_017880003.1	XP_320569.3
OG0000971	XP_017889754.1, XP_017891746.1, XP_017881006.1	XP_001688071.1
OG0000972	XP_017890471.1, XP_017890470.1	XP_317352.3
OG0000974	XP_017884832.1, XP_026671770.1, XP_026671774.1	XP_001689389.2
OG0000975	XP_017877765.2	XP_317924.4
OG0000976	XP_017888946.1	XP_320253.2
OG0000977	XP_017877841.1	XP_312558.5
OG0000978	XP_026667495.1	XP_310715.5, XP_314327.3
OG0000979	XP_017892136.2, XP_026674816.1	XP_319777.4, XP_309185.5
OG0000980	XP_017883986.2, XP_026675352.1, XP_026675346.1, XP_026675348.1, XP_017892228.1	XP_313773.4, XP_553643.3, XP_309023.4, XP_315517.3
OG0000981	XP_017878726.2	XP_318419.5
OG0000982	XP_026675040.1, XP_026675041.1, XP_026675038.1, XP_026675039.1	XP_001687830.2
OG0000983	XP_017879542.2, XP_026669047.1, XP_026669048.1	XP_311964.4
OG0000984	XP_026674365.1	XP_319605.4
OG0000984	XP_017891339.1	XP_552730.3
OG0000985	XP_026667700.1	XP_315127.2
OG0000986	XP_017883168.1	XP_313139.4
OG0000987	XP_017876969.1, XP_017880586.1, XP_017884365.1, XP_017877335.1	XP_320264.4
OG0000988	XP_026667444.1	XP_024667085.1, XP_309588.5, XP_003436692.1
OG0000989	XP_026675231.1, XP_026675228.1	XP_321415.5, XP_003435899.1
OG0000992	XP_017893370.1, XP_017893371.1	XP_309992.2
OG0000993	XP_026674940.1, XP_017891258.1	XP_003436444.1, XP_003436445.1
OG0000994	XP_017879341.1, XP_017879165.1, XP_017888238.2	XP_309631.5
OG0000995	XP_017882601.1, XP_026669276.1	XP_308821.4, XP_001688099.1
OG0000996	XP_017883214.1	XP_314487.3
OG0000997	XP_017876432.1	XP_315616.4
OG0000997	XP_017883103.1	XP_311426.1
OG0000998	XP_017877162.1, XP_017877163.1, XP_017877016.1	XP_311299.1, XP_316865.2, XP_003437127.1
OG0000999	XP_026667468.1	XP_317398.3, XP_001237925.1
OG0001000	XP_017892385.1	XP_003436472.1, XP_311698.5
OG0001001	XP_026666845.1	XP_001688785.1, XP_316161.4, XP_001688784.1, XP_001688783.1
OG0001002	XP_017889355.2	XP_552293.2, XP_319645.4
OG0001003	XP_017891646.1, XP_026675044.1, XP_017891644.1	XP_314318.4
OG0001004	XP_026667644.1	XP_308942.4
OG0001004	XP_017876494.1	XP_320325.1
OG0001005	XP_017887157.1, XP_026672906.1	XP_321274.5
OG0001006	XP_017882317.1, XP_026670369.1	XP_003436707.1, XP_309629.5
OG0001007	XP_026671812.1	XP_001688444.2
OG0001008	XP_026668551.1	XP_310585.4, XP_310530.3
OG0001009	XP_026674414.1	XP_310493.5
OG0001009	XP_017879990.1	XP_317322.4
OG0001010	XP_017885889.1	XP_310232.4
OG0001011	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_017888895.1, XP_026673687.1	XP_314123.4
OG0001013	XP_026672910.1	XP_314060.4
OG0001014	XP_017880523.1	XP_312817.4
OG0001015	XP_017885465.1	XP_313115.4, XP_308884.2
OG0001016	XP_026667185.1, XP_017878501.1	XP_563695.1
OG0001017	XP_017875901.1	XP_311055.5
OG0001018	XP_017890939.2	XP_001688381.1
OG0001018	XP_017890938.1	XP_313804.3
OG0001019	XP_017879984.1	XP_316696.4
OG0001020	XP_017887363.1, XP_017887362.1	XP_314731.4
OG0001021	XP_017892630.1, XP_017892631.1, XP_017892636.1, XP_017892634.1, XP_017892635.1, XP_026675531.1, XP_026675529.1, XP_017892632.1, XP_017892633.1	XP_309024.3
OG0001022	XP_026675574.1, XP_026675580.1	XP_003436590.1, XP_310271.7
OG0001023	XP_026668790.1	XP_313173.5
OG0001024	XP_017885034.1, XP_017885035.1, XP_017885032.1, XP_017885033.1	XP_319635.4
OG0001025	XP_017876689.1	XP_314283.5
OG0001026	XP_017892009.1	XP_003436567.1, XP_313472.4
OG0001027	XP_017890057.1	XP_309944.3
OG0001028	XP_017879313.1, XP_026673787.1	XP_311527.2
OG0001030	XP_017882215.1	XP_309545.3
OG0001031	XP_017889036.1, XP_017889035.1, XP_017889038.1	XP_315208.4
OG0001032	XP_017875311.1, XP_017876832.2	XP_310000.4
OG0001033	XP_017892398.1, XP_026675392.1, XP_026675393.1, XP_026675394.1	XP_310453.2
OG0001034	XP_026668306.1	XP_310276.4
OG0001035	XP_017893314.1	XP_321735.4
OG0001036	XP_026675481.1, XP_017892316.2, XP_017887566.1	XP_319657.4
OG0001037	XP_017883260.1	XP_315158.3
OG0001038	XP_017879595.1	XP_319690.4
OG0001039	XP_017893287.1	XP_310813.5
OG0001040	XP_017879986.1	XP_311818.2
OG0001041	XP_017893031.1	XP_310153.4
OG0001042	XP_026671321.1	XP_308531.3
OG0001043	XP_017885202.1, XP_026671998.1	XP_308245.4
OG0001044	XP_017891564.1	XP_315822.5
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_310646.5
OG0001046	XP_017882600.1, XP_026670603.1	XP_312227.5
OG0001048	XP_017876311.1, XP_026672569.1, XP_017888642.2	XP_308398.3
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_001687845.1, XP_001687846.1, XP_308153.4
OG0001050	XP_017883752.1, XP_017883754.1	XP_320316.4
OG0001052	XP_017891386.1	XP_310662.5
OG0001053	XP_026673879.1, XP_017889260.1	XP_001687881.1, XP_308279.2
OG0001054	XP_026675559.1, XP_017875980.2	XP_314840.4
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_311983.4
OG0001056	XP_017875899.1	XP_308553.4, XP_001687984.1, XP_001687985.1
OG0001057	XP_017890025.2	XP_309938.3
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_311505.1
OG0001059	XP_017892907.1, XP_026669762.1	XP_003435972.1, XP_321126.5
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_315958.4, XP_001688754.1
OG0001063	XP_026674066.1	XP_312857.5
OG0001064	XP_017889753.2, XP_026674486.1	XP_564324.1, XP_310275.7
OG0001065	XP_017875688.1, XP_026667241.1	XP_313928.3
OG0001066	XP_017890601.1, XP_017890595.1	XP_001238515.3, XP_308515.4
OG0001068	XP_026672302.1, XP_017885940.1	XP_001237855.2, XP_316699.4, XP_001688951.1
OG0001069	XP_017884474.1	XP_312834.5
OG0001070	XP_017879692.1	XP_317977.5, XP_318025.4, XP_318028.4
OG0001071	XP_017883771.1	XP_312799.5
OG0001072	XP_017893509.1, XP_026666801.1, XP_017893351.2	XP_550917.4
OG0001073	XP_017875113.1, XP_026667712.1, XP_017876745.1	XP_311915.3
OG0001074	XP_026670481.1, XP_026670484.1, XP_026670483.1, XP_026670482.1	XP_307839.4
OG0001076	XP_026671112.1, XP_017883675.1, XP_017883674.1, XP_017883673.1, XP_017883672.1, XP_017883676.1, XP_026671113.1	XP_313348.4
OG0001077	XP_017886713.1, XP_017886711.1, XP_017886710.1	XP_319424.2, XP_319425.2
OG0001078	XP_017876594.1	XP_320176.3, XP_320177.4
OG0001079	XP_017890135.1, XP_017890133.1	XP_320339.4
OG0001081	XP_026670255.1, XP_026670257.1	XP_308790.4
OG0001082	XP_017889163.1	XP_315574.3, XP_001237683.2
OG0001083	XP_026670468.1	XP_314359.3, XP_001688566.1
OG0001084	XP_017884959.1	XP_556553.2
OG0001085	XP_017890214.1, XP_026674350.1	XP_317314.3
OG0001086	XP_026666840.1, XP_017893628.1	XP_001689067.1, XP_001238005.1, XP_317929.3
OG0001090	XP_017893581.2	XP_315009.3
OG0001091	XP_017890851.1	XP_003436096.1, XP_312603.5, XP_319738.2
OG0001092	XP_017885637.1	XP_003436030.1, XP_320944.5, XP_003436029.1, XP_003436028.1
OG0001093	XP_017882231.1, XP_017882233.1	XP_319293.4
OG0001094	XP_026670977.1, XP_017883336.1	XP_307411.2, XP_003436009.1, XP_003436008.1, XP_321028.5
OG0001095	XP_026668985.1, XP_017879354.1	XP_314827.2
OG0001097	XP_026670462.1, XP_017882114.1	XP_317307.4
OG0001098	XP_026668115.1	XP_321240.5
OG0001099	XP_017884699.1	XP_310965.5
OG0001101	XP_017890541.1	XP_001688400.2, XP_312658.5
OG0001102	XP_017881699.1, XP_017881700.1	XP_311181.2, XP_312618.2
OG0001103	XP_017888861.1, XP_017888862.1	XP_553744.3
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	XP_308660.3
OG0001105	XP_017879169.1	XP_310975.1, XP_566239.1, XP_319078.2
OG0001106	XP_026670188.1, XP_017881847.1	XP_320183.2
OG0001107	XP_017880996.1	XP_314706.4
OG0001108	XP_017876003.1	XP_311208.4
OG0001109	XP_017890823.1	XP_321850.3
OG0001110	XP_017880391.1	XP_560496.3, XP_320439.4
OG0001111	XP_017875776.1	XP_321349.4
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_318149.4
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_307774.3
OG0001114	XP_017882302.1, XP_026670265.1, XP_026670268.1, XP_026670266.1, XP_026670267.1	XP_318236.4
OG0001115	XP_026669291.1, XP_017880048.1	XP_320996.5
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_310850.4
OG0001117	XP_017886551.1	XP_312919.4
OG0001118	XP_026675119.1	XP_322006.1
OG0001119	XP_017878926.1	XP_003437115.1, XP_316802.5
OG0001120	XP_026666559.1	XP_318732.4, XP_315358.4
OG0001121	XP_017890636.2	XP_320248.4
OG0001122	XP_017892931.1	XP_320362.4
OG0001123	XP_026670747.1, XP_017882910.1	XP_313330.5
OG0001124	XP_017876734.1	XP_312370.5
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_312385.5
OG0001127	XP_017887682.1	XP_003437008.1
OG0001128	XP_026672358.1	XP_313287.4
OG0001129	XP_026674856.1	XP_308038.5, XP_003436041.1, XP_308996.3
OG0001130	XP_026674418.1	XP_318345.4
OG0001131	XP_026666894.1	XP_003435809.1, XP_321814.4, XP_551513.3
OG0001132	XP_017888705.1	XP_320484.2
OG0001133	XP_026670938.1	XP_311448.4, XP_003436891.1, XP_554228.4, XP_311449.4
OG0001134	XP_017887112.1	XP_319097.3
OG0001135	XP_017876136.1	XP_308076.3, XP_311350.2
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_024667094.1, XP_306688.4, XP_319223.4
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_320011.4
OG0001139	XP_017889561.2	XP_307945.5
OG0001140	XP_017879114.1	XP_317273.3
OG0001141	XP_026670436.1	XP_318646.4
OG0001142	XP_017890662.1	XP_311392.4
OG0001143	XP_017875724.1	XP_557018.3
OG0001144	XP_026674201.1	XP_307534.2, XP_313797.5
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_308148.3
OG0001146	XP_017891794.1, XP_017891793.1, XP_026675156.1, XP_017890052.1	XP_308872.2
OG0001147	XP_017876980.2	XP_310582.2
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_314234.2
OG0001149	XP_017890473.1	XP_308972.4
OG0001150	XP_017878717.1, XP_017878720.1	XP_315411.4
OG0001151	XP_017876290.1	XP_312460.5
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_310362.7
OG0001153	XP_026668446.1, XP_026668492.1	XP_553211.3
