Orthogroup	Ceratina_calcarata	Nasonia_vitripennis
OG0000974	XP_017884832.1, XP_026671770.1, XP_026671774.1	XP_008203039.1, XP_003425481.1
OG0000975	XP_017877765.2	XP_031781752.1
OG0000976	XP_017888946.1	XP_001606432.1
OG0000977	XP_017877841.1	XP_031785179.1, XP_016840542.1
OG0000978	XP_026667495.1	XP_008203197.1
OG0000979	XP_017892136.2, XP_026674816.1	XP_008208358.1
OG0000980	XP_017883986.2, XP_026675352.1, XP_026675346.1, XP_026675348.1, XP_017892228.1	XP_031787265.1
OG0000981	XP_017878726.2	XP_008202998.3, XP_031783435.1
OG0000982	XP_026675040.1, XP_026675041.1, XP_026675038.1, XP_026675039.1	XP_031787327.1
OG0000983	XP_017879542.2, XP_026669047.1, XP_026669048.1	XP_003427562.2
OG0000984	XP_026674365.1	XP_003424431.1
OG0000984	XP_017891339.1	XP_001603549.2
OG0000985	XP_026667700.1	XP_032452397.1, XP_032452396.1, XP_008204163.1, XP_001601701.1
OG0000986	XP_017883168.1	XP_016840806.1
OG0000987	XP_017876969.1, XP_017880586.1, XP_017884365.1, XP_017877335.1	XP_016842371.1
OG0000988	XP_026667444.1	XP_003426713.1, XP_031787402.1
OG0000989	XP_026675231.1, XP_026675228.1	XP_032456182.1, XP_031788590.1, XP_031788601.1, XP_031788596.1
OG0000992	XP_017893370.1, XP_017893371.1	XP_032456181.1, XP_032456180.1, XP_016841525.1, XP_016841521.1
OG0000993	XP_026674940.1, XP_017891258.1	XP_001608053.1, XP_001608047.1
OG0000994	XP_017879341.1	XP_016839998.1
OG0000994	XP_017879165.1, XP_017888238.2	XP_016838922.1
OG0000995	XP_017882601.1	NP_001153450.1, XP_032455945.1
OG0000995	XP_026669276.1	NP_001127783.1
OG0000996	XP_017883214.1	XP_001607273.1
OG0000997	XP_017876432.1	XP_031785641.1
OG0000998	XP_017877162.1, XP_017877163.1, XP_017877016.1	XP_031778333.1, NP_001165927.1, NP_001165926.1, NP_001165925.1
OG0000999	XP_026667468.1	XP_001599305.1, XP_032456021.1, XP_032456020.1
OG0001000	XP_017892385.1	XP_001608110.1
OG0001001	XP_026666845.1	XP_001603900.1, XP_032454168.1
OG0001002	XP_017889355.2	XP_031786462.1, XP_031786460.1, XP_031786461.1, XP_032454813.1
OG0001003	XP_017891646.1, XP_026675044.1, XP_017891644.1	XP_031786764.1, XP_031786766.1
OG0001004	XP_026667644.1	XP_008211009.1
OG0001004	XP_017876494.1	XP_016839580.1, XP_032455704.1
OG0001005	XP_017887157.1, XP_026672906.1	XP_008205600.1, XP_008205599.1, XP_016843090.1, XP_016843918.1
OG0001006	XP_017882317.1, XP_026670369.1	XP_031784848.1, XP_008211438.1
OG0001007	XP_026671812.1	XP_016842295.1, XP_031788072.1
OG0001008	XP_026668551.1	XP_031788711.1, XP_032458023.1, NP_001177963.1
OG0001009	XP_026674414.1	XP_016843552.1
OG0001009	XP_017879990.1	XP_031783374.1
OG0001010	XP_017885889.1	XP_001607395.1, XP_031776854.1, XP_003423973.1, XP_031776855.1, XP_032451638.1
OG0001011	XP_017888896.1, XP_017888897.1, XP_017888898.1, XP_017888895.1, XP_026673687.1	XP_001604770.2
OG0001012	XP_026670898.1	XP_031784899.1
OG0001013	XP_026672910.1	XP_031788641.1, XP_031788643.1, XP_031788642.1, XP_032456511.1, XP_032456512.1, XP_032456513.1, XP_032456514.1, XP_031788639.1, XP_031788644.1
OG0001014	XP_017880523.1	XP_032454056.1, XP_003428062.1, XP_032454054.1, XP_016845141.1, XP_016845139.1
OG0001015	XP_017885465.1	XP_003425592.1, XP_001605584.2
OG0001016	XP_026667185.1	XP_001607384.2
OG0001016	XP_017878501.1	XP_001604992.1
OG0001017	XP_017875901.1	XP_001607039.2, XP_032451948.1
OG0001018	XP_017890939.2	NP_001155852.1
OG0001018	XP_017890938.1	XP_001601162.2
OG0001019	XP_017879984.1	XP_001608115.1, XP_016842095.1
OG0001020	XP_017887363.1, XP_017887362.1	XP_031779052.1
OG0001021	XP_017892630.1, XP_017892631.1, XP_017892636.1, XP_017892634.1, XP_017892635.1, XP_026675531.1, XP_026675529.1, XP_017892632.1, XP_017892633.1	XP_001602210.1
OG0001022	XP_026675580.1	XP_008215638.1
OG0001023	XP_026668790.1	XP_001599379.2
OG0001024	XP_017885034.1, XP_017885035.1, XP_017885032.1, XP_017885033.1	XP_016837715.1, XP_003427454.1, XP_003427453.1, XP_003427452.1, XP_008211089.1, XP_008211088.1
OG0001025	XP_017876689.1	XP_031785398.1, XP_001606010.2
OG0001026	XP_017892009.1	XP_031778012.1
OG0001027	XP_017890057.1	XP_008214395.1, XP_032452523.1, XP_032452522.1, XP_032452521.1, XP_031779616.1
OG0001028	XP_017879313.1	XP_001604584.2
OG0001028	XP_026673787.1	XP_001604446.1
OG0001029	XP_026673479.1, XP_017888402.1	XP_001607413.1, XP_032451642.1
OG0001030	XP_017882215.1	XP_003424575.2
OG0001031	XP_017889036.1, XP_017889035.1, XP_017889038.1	XP_016842453.1
OG0001032	XP_017875311.1	XP_001607807.1
OG0001032	XP_017876832.2	XP_001606710.1
OG0001033	XP_017892398.1, XP_026675392.1, XP_026675393.1, XP_026675394.1	XP_008210877.1, XP_001601768.1, XP_032457048.1, XP_032457046.1
OG0001034	XP_026668306.1	XP_031784406.1, XP_031784407.1
OG0001035	XP_017893314.1	XP_001606861.1, XP_008203558.1
OG0001036	XP_026675481.1, XP_017892316.2	XP_001607856.1
OG0001036	XP_017887566.1	XP_001605019.1
OG0001037	XP_017883260.1	XP_001601129.2
OG0001038	XP_017879595.1	XP_008207533.1, XP_003424853.1, XP_031778777.1
OG0001039	XP_017893287.1	XP_008206089.1, XP_032456318.1
OG0001040	XP_017879986.1	XP_032458030.1, XP_032458031.1, XP_032458027.1, XP_032458029.1, XP_032458032.1, XP_003424668.1, XP_031788693.1, XP_031788694.1, XP_032458028.1, XP_032458033.1
OG0001041	XP_017893031.1	XP_031783039.1, NP_001136323.1
OG0001042	XP_026671321.1	XP_008203825.1
OG0001043	XP_017885202.1, XP_026671998.1	XP_003424009.1, XP_016844819.1
OG0001044	XP_017891564.1	XP_003424621.1, XP_016836857.1
OG0001045	XP_026666580.1, XP_017893299.1, XP_017893298.1	XP_001606266.1
OG0001046	XP_017882600.1, XP_026670603.1	XP_031789307.1, XP_031789309.1, XP_016844569.2
OG0001048	XP_026672569.1	XP_008207429.3
OG0001049	XP_017885482.1, XP_026672348.1, XP_017885488.1	XP_031784881.1, XP_031784883.1
OG0001050	XP_017883752.1, XP_017883754.1	XP_031783816.1, XP_031783810.1
OG0001051	XP_026673462.1, XP_026673463.1, XP_017888304.1, XP_017888306.1	XP_003427534.1, XP_016840524.1
OG0001052	XP_017891386.1	XP_001604954.1
OG0001053	XP_026673879.1	XP_008202956.1
OG0001054	XP_026675559.1, XP_017875980.2	XP_016842506.1
OG0001055	XP_017893510.1, XP_026666798.1, XP_026666797.1	XP_031784964.1, XP_031784963.1
OG0001056	XP_017875899.1	XP_008207347.1
OG0001057	XP_017890025.2	XP_001602018.1
OG0001058	XP_017882247.1, XP_017882246.1, XP_017882245.1	XP_032458090.1, XP_031789093.1
OG0001059	XP_017892907.1, XP_026669762.1	XP_008208155.1
OG0001060	XP_017878793.1	XP_031781772.1
OG0001061	XP_017883836.1, XP_017883835.1, XP_026671267.1	XP_031786543.1
OG0001063	XP_026674066.1	XP_031787733.1
OG0001064	XP_017889753.2, XP_026674486.1	XP_031787506.1
OG0001065	XP_017875688.1, XP_026667241.1	XP_001604056.2, XP_003427340.1
OG0001068	XP_026672302.1, XP_017885940.1	XP_016842107.1, XP_031784716.1
OG0001069	XP_017884474.1	XP_032453326.1, XP_008216452.1, XP_008216451.1, XP_008216448.1, XP_032453327.1, XP_001603550.2
OG0001070	XP_017879692.1	XP_001607507.3
OG0001071	XP_017883771.1	XP_016842081.1
OG0001072	XP_017893509.1, XP_026666801.1, XP_017893351.2	XP_031784957.1
OG0001073	XP_026667712.1	XP_003423859.1
OG0001073	XP_017876745.1	XP_031776847.1
OG0001074	XP_026670481.1	XP_008209334.1
OG0001074	XP_026670484.1, XP_026670483.1, XP_026670482.1	XP_031779121.1
OG0001075	XP_017880384.1, XP_026669442.1	XP_031782154.1, XP_016839209.1, XP_031782151.1, XP_031782150.1, XP_031782153.1, XP_031782152.1
OG0001076	XP_026671112.1, XP_017883675.1, XP_017883674.1, XP_017883673.1, XP_017883672.1, XP_017883676.1, XP_026671113.1	XP_016837510.1, XP_016837509.1, XP_032453442.1
OG0001077	XP_017886713.1, XP_017886711.1, XP_017886710.1	XP_032453049.1
OG0001078	XP_017876594.1	XP_008210269.1, XP_008210270.1, XP_008210271.1, XP_016843990.1, XP_016843989.1
OG0001079	XP_017890135.1, XP_017890133.1	XP_008211650.1, XP_016840479.1, XP_008211646.1, XP_008211647.1, XP_016840480.1
OG0001081	XP_026670255.1, XP_026670257.1	XP_001607983.2, XP_031788174.2
OG0001082	XP_017889163.1	XP_008214725.1
OG0001083	XP_026670468.1	XP_031788178.1, XP_032457083.1, XP_031788180.1, XP_008215778.1, XP_008215779.1, XP_016842828.1, XP_031788177.1, XP_031788179.1
OG0001084	XP_017884959.1	XP_016838352.1, XP_003425934.1
OG0001085	XP_017890214.1, XP_026674350.1	XP_031784469.1, XP_008211614.1, XP_032455784.1, XP_032455786.1, XP_032455785.1, XP_031784470.1, XP_031784471.1, XP_001606977.1
OG0001086	XP_026666840.1, XP_017893628.1	XP_032453207.1, XP_001605628.1, XP_008204328.1, XP_008204329.1
OG0001087	XP_017875528.1, XP_017875529.1	XP_003426616.1, XP_003426618.1, XP_032456285.1, XP_032456284.1
OG0001090	XP_017893581.2	XP_032457605.1, XP_032457606.1, XP_001600472.1, XP_032457607.1
OG0001091	XP_017890851.1	XP_031785408.1, XP_016840416.1
OG0001092	XP_017885637.1	XP_001605819.1
OG0001093	XP_017882231.1, XP_017882233.1	XP_003427218.4, XP_031779285.1
OG0001094	XP_026670977.1, XP_017883336.1	XP_031782503.1, XP_008213609.1
OG0001095	XP_026668985.1, XP_017879354.1	XP_032457727.1
OG0001096	XP_026674246.1	XP_003425115.1, XP_031782797.1
OG0001097	XP_026670462.1, XP_017882114.1	XP_003424766.1
OG0001098	XP_026668115.1	XP_031789531.1, XP_001603423.1, XP_016842518.1, XP_016842523.1
OG0001099	XP_017884699.1	XP_031787397.1
OG0001100	XP_017876756.1, XP_017876755.1, XP_017876754.1	XP_031783420.1
OG0001101	XP_017890541.1	XP_001600262.1
OG0001102	XP_017881699.1, XP_017881700.1	XP_032457645.1, XP_001602465.1
OG0001103	XP_017888861.1, XP_017888862.1	XP_001607402.1
OG0001104	XP_026670837.1, XP_026670836.1, XP_017883017.1	XP_016840630.1
OG0001105	XP_017879169.1	NP_001165930.1
OG0001106	XP_026670188.1, XP_017881847.1	NP_001165789.1
OG0001107	XP_017880996.1	XP_016842156.1
OG0001108	XP_017876003.1	XP_032457359.1, XP_031778262.1
OG0001109	XP_017890823.1	XP_001606469.2
OG0001110	XP_017880391.1	XP_031788465.1
OG0001111	XP_017875776.1	XP_016839633.1
OG0001112	XP_017893492.1, XP_017893494.1, XP_017893496.1, XP_017893495.1	XP_031778614.1
OG0001113	XP_017891787.1, XP_017891786.1, XP_017891788.1, XP_017891789.1, XP_026675153.1	XP_031786692.1
OG0001115	XP_026669291.1, XP_017880048.1	XP_001606127.2
OG0001116	XP_017876381.1, XP_017876378.1, XP_017876379.1, XP_017876377.1, XP_026667534.1, XP_017876380.1	XP_001607643.1
OG0001117	XP_017886551.1	XP_008217800.1, XP_001605901.2
OG0001118	XP_026675119.1	XP_031782585.1, XP_032453978.1, XP_008203783.1
OG0001119	XP_017878926.1	XP_003425014.1, XP_001602619.1, XP_016843971.1
OG0001120	XP_026666559.1	XP_001604234.2
OG0001121	XP_017890636.2	XP_031782800.1, XP_031782801.1, XP_031782799.1
OG0001122	XP_017892931.1	XP_008209601.1
OG0001123	XP_026670747.1, XP_017882910.1	XP_003424977.1
OG0001124	XP_017876734.1	XP_031788510.1
OG0001125	XP_017880453.1	XP_003425026.1
OG0001126	XP_026666448.1, XP_017877272.1, XP_017877432.1	XP_003424309.3
OG0001127	XP_017887683.1, XP_017887682.1	XP_031779496.1, XP_031779495.1
OG0001128	XP_026672358.1	XP_031784571.1, XP_003426947.1, XP_008208751.1
OG0001129	XP_026674856.1	XP_008206205.1, XP_008206206.1
OG0001130	XP_026674418.1	XP_008214357.1
OG0001132	XP_017888705.1	XP_008205312.1, XP_032453720.1
OG0001133	XP_026670938.1	XP_008203489.1
OG0001134	XP_017887112.1	XP_008211472.1
OG0001135	XP_017876136.1	XP_008212599.2
OG0001137	XP_026669918.1, XP_017881346.1, XP_017881347.1	XP_008208627.1, XP_032452285.1, XP_032452284.1, XP_008208620.1
OG0001138	XP_017878408.1, XP_017878407.1, XP_017878409.1, XP_017878406.1	XP_008211425.1, XP_031784853.1
OG0001139	XP_017889561.2	XP_032455231.1, XP_016845441.1, XP_001605918.1
OG0001140	XP_017879114.1	XP_001604284.1
OG0001141	XP_026670436.1	NP_001234899.1, XP_008209307.1
OG0001142	XP_017890662.1	XP_001599805.2, XP_008213880.1, XP_008213879.1, XP_008213881.1
OG0001143	XP_017875724.1	XP_008214909.1
OG0001144	XP_026674201.1	XP_001606352.1, XP_031787271.1
OG0001145	XP_017881245.1, XP_017881239.1, XP_026669947.1, XP_026669946.1, XP_026669948.1, XP_017881240.1, XP_017881241.1, XP_017881242.1	XP_016840554.1
OG0001146	XP_017891794.1, XP_017891793.1, XP_026675156.1	XP_001603986.1
OG0001146	XP_017890052.1	XP_001604010.1
OG0001147	XP_017876980.2	XP_016839832.1
OG0001148	XP_026667842.1, XP_017876938.1, XP_017876939.1	XP_008206679.1
OG0001149	XP_017890473.1	XP_003426568.1
OG0001150	XP_017878717.1, XP_017878720.1	XP_008205817.1, XP_001600445.1
OG0001151	XP_017876290.1	XP_003427238.1, XP_001606424.1
OG0001152	XP_026675267.1, XP_026675268.1, XP_026675269.1, XP_017891919.1	XP_031784874.1
OG0001153	XP_026668446.1, XP_026668492.1	XP_031783844.1, XP_031783841.1
OG0001154	XP_026672481.1, XP_026672484.1	XP_008206054.1, XP_032456325.1
OG0001155	XP_017891395.1, XP_017891387.1	XP_008213582.1, XP_008213583.1, XP_008213584.1, XP_001606200.2
OG0001156	XP_017881290.1	XP_016841496.1
OG0001157	XP_017883238.2	XP_032453390.1, XP_032453389.1, XP_008204796.2, XP_031780242.1, XP_031780240.1
OG0001158	XP_017892393.1	XP_003423881.1
OG0001159	XP_017886271.2	XP_008204614.1, XP_008204613.1, XP_008204612.1, XP_008204616.1, XP_008204615.1
OG0001160	XP_026673888.1, XP_026673889.1, XP_026673887.1, XP_017889249.1, XP_026673890.1	XP_031783145.1
OG0001161	XP_017888072.1	XP_016842404.1
OG0001161	XP_017888071.1	XP_016842367.1
OG0001162	XP_026670832.1	XP_008211291.1, XP_008211292.1
OG0001163	XP_017887748.1, XP_017887747.1	XP_031778211.1, XP_008213835.1, XP_008213832.1
OG0001164	XP_017885074.1	XP_032456105.1, XP_003425414.1, XP_031780035.1, XP_008202354.1
OG0001165	XP_026667629.1, XP_026667634.1, XP_026667626.1	XP_031785004.1, XP_031785017.1, XP_032455050.1
OG0001166	XP_017883240.1, XP_017883236.2	XP_008202132.3, XP_016842558.1
OG0001167	XP_026675585.1	XP_001599700.1, XP_032453011.1
OG0001169	XP_026671781.1, XP_017884666.1	XP_016837166.1
OG0001170	XP_017883545.1	XP_008208390.2
OG0001171	XP_017875797.1	XP_008207791.1
OG0001172	XP_026674508.1, XP_017890510.1	XP_016837981.1, XP_016837977.1
OG0001173	XP_017875804.1	XP_008213758.1, XP_008214128.1, XP_031785628.1, XP_008208564.1, XP_031782630.1, XP_032453793.1, XP_008208561.1, XP_008208563.1, XP_008208562.1
OG0001174	XP_017883929.1, XP_017875351.1	XP_003427068.2
OG0001175	XP_017892341.1	XP_032451865.1
OG0001176	XP_017879337.1	XP_001606359.1, XP_008213597.1, XP_003424237.1, XP_008213598.1, XP_008213599.1, XP_032454441.1
OG0001178	XP_026671319.1, XP_026671317.1, XP_026671318.1, XP_017883991.1	NP_001154998.1, XP_008203713.1
OG0001179	XP_017882127.1	XP_016844755.1
OG0001180	XP_026672814.1, XP_026672812.1	XP_031780373.1, XP_031780359.1, XP_031780372.1
OG0001181	XP_026670810.1	XP_003426398.1
OG0001182	XP_017883950.1	XP_031788317.1, XP_031788315.1
OG0001183	XP_017880599.1, XP_017880593.1	XP_031781172.1, XP_031781176.1
OG0001184	XP_026670299.1, XP_026670300.1	XP_008206018.1, XP_008206017.1
OG0001186	XP_017876004.1	XP_031778274.1
OG0001187	XP_017888786.1	XP_031789618.1, NP_001177861.1, XP_032455508.1
OG0001188	XP_026674461.1, XP_026674462.1, XP_017890383.1, XP_026674465.1, XP_026674464.1, XP_026674463.1	XP_008211659.1, XP_008211660.1
OG0001189	XP_017892156.1, XP_026675309.1, XP_017892155.1	XP_031778557.1
OG0001190	XP_026675381.1, XP_017892328.1, XP_026675383.1, XP_026675382.1, XP_017892331.1, XP_017892330.1, XP_017892333.1	XP_031787754.1
OG0001192	XP_026671918.1, XP_026667100.1, XP_026669807.1, XP_026674362.1, XP_017879512.1, XP_026671369.1	XP_001601494.1, XP_001601550.5, XP_001601521.2
OG0001193	XP_026668344.1, XP_017877955.1	XP_032453254.1, XP_031780138.1
OG0001195	XP_017890988.1, XP_017890987.1, XP_017890986.1	XP_031780477.1
OG0001198	XP_026673471.1, XP_026673470.1, XP_017888358.1	XP_001603648.2
OG0001199	XP_017881488.1, XP_017881489.1	XP_016845582.1, XP_001603603.1, XP_008210843.1, XP_008210844.1, XP_031783743.1
OG0001201	XP_017877209.1	XP_031789517.1
OG0001202	XP_026669822.1	XP_001605991.1
OG0001203	XP_026667274.1	XP_031778235.1
OG0001204	XP_017882168.1	XP_016845347.1
OG0001205	XP_017889436.1	XP_016845249.1
OG0001205	XP_017877499.1	XP_001608005.2
OG0001206	XP_017888611.2, XP_017881544.1, XP_026670043.1	NP_001164440.1, XP_016840293.1, XP_016840141.1, NP_001164439.1, XP_016840415.1, XP_016840420.1, XP_001603374.2, XP_001603488.1
OG0001207	XP_026669781.1, XP_017880993.2	XP_001600298.1, XP_032451746.1, XP_016845612.1
OG0001209	XP_017875605.1, XP_017875614.1	XP_008204166.1, XP_001602028.2
OG0001210	XP_017877136.1, XP_026675350.1, XP_026666537.1	XP_032451692.1
OG0001211	XP_017880343.1, XP_026671970.1	XP_031780375.1, XP_032451743.1, XP_031787419.1, XP_001599348.1
OG0001212	XP_026674774.1, XP_017891265.1	XP_003427293.1, XP_031782068.1, XP_016840065.1
OG0001214	XP_017881115.1	XP_031788610.1, NP_001153354.1
OG0001215	XP_017884983.1	XP_001606085.1
OG0001216	XP_017893516.1, XP_017893507.1	XP_008212669.1, XP_008212668.1, XP_001607154.1, XP_003424094.1
OG0001217	XP_017886751.1, XP_017886750.1	XP_008208960.1, XP_008208961.1, XP_032457629.1, XP_008208957.1
OG0001218	XP_017880270.1	XP_031780901.1, XP_031780894.1
OG0001219	XP_017880146.1	XP_001600086.1, XP_016839466.1
OG0001220	XP_017877252.1	XP_032451978.1
OG0001221	XP_026673331.1	XP_001606905.1, XP_001602519.1
OG0001222	XP_017889956.1, XP_026674122.1, XP_017889955.1	XP_003424722.1
OG0001223	XP_017890927.1	XP_031783617.1
OG0001224	XP_017880169.1, XP_017880171.1	XP_031783437.1, XP_001606683.2
OG0001226	XP_017882856.1, XP_017882847.1, XP_017882866.1	XP_003423948.1
OG0001227	XP_017887066.1, XP_017887067.1, XP_017887065.1	XP_001601650.2
OG0001228	XP_017892582.1, XP_017892587.1	XP_008206068.1, XP_016841318.1, XP_031786999.1
OG0001229	XP_017883348.1, XP_017883349.1	NP_001153391.1, XP_031787432.1
OG0001230	XP_017876199.1	XP_031779835.1
OG0001231	XP_017888565.1	XP_003424718.1
OG0001232	XP_017892532.1, XP_017892536.1	XP_008201738.1
OG0001233	XP_017882351.1	XP_016841983.1
OG0001234	XP_026668282.1	XP_031789576.1, XP_016838011.1, XP_008215436.1, XP_008215437.1, XP_001606923.2
OG0001236	XP_026670881.1, XP_017883045.1, XP_017883046.1	XP_008214895.1, XP_032455166.1, XP_032455167.1, XP_008214894.1
OG0001237	XP_026669249.1	XP_008203577.1
OG0001238	XP_026673719.1, XP_026673720.1	XP_016839677.1, XP_031778698.1
OG0001239	XP_017884417.1	XP_031783524.1
OG0001240	XP_017876721.1, XP_017876729.1	XP_032452317.1
OG0001241	XP_017879036.1, XP_026668831.1	XP_008202652.1
OG0001242	XP_017885842.1, XP_017885841.1	XP_031782443.1
OG0001244	XP_017890536.1, XP_017890537.1, XP_026674530.1	XP_001598989.2
OG0001245	XP_017892758.1	XP_031778442.1, XP_016844253.1, XP_016844252.1
OG0001246	XP_017887988.1	XP_001603526.2
OG0001247	XP_017883857.1, XP_017883856.1	XP_031786079.1
OG0001248	XP_017885722.1, XP_017885721.1, XP_017885720.1, XP_026672240.1	XP_003426352.2
OG0001249	XP_017887979.1	XP_001606387.1
OG0001250	XP_017883428.1	XP_008203591.2
OG0001251	XP_017882528.1	XP_016839272.1
OG0001253	XP_026666474.1, XP_017892912.1, XP_026666475.1	XP_032454163.1, XP_001604499.2
OG0001254	XP_017886157.1	XP_001601661.3, XP_016837527.1
OG0001255	XP_026671355.1, XP_017884086.1	XP_031786642.1, XP_016845322.1, XP_031786647.1, XP_031786649.1, XP_031786645.1, XP_031786646.1, XP_031786644.1, XP_031786643.1
OG0001256	XP_017893021.1	XP_008216603.1
OG0001257	XP_017882218.2	XP_001605171.1
OG0001258	XP_017877914.1, XP_017877911.1	XP_031785068.1
OG0001259	XP_017877157.1	XP_001602978.1
OG0001259	XP_017877153.1	XP_008210873.2
OG0001260	XP_017889906.1, XP_017889907.1	XP_031784155.1
OG0001261	XP_026668091.1, XP_017877511.1	XP_003426500.1
OG0001262	XP_017877111.1, XP_017877113.1	XP_003427006.1
OG0001263	XP_017885436.1	XP_032455387.1, XP_031785199.1, XP_031785198.1, XP_031785197.1, XP_031785196.1
OG0001264	XP_017876225.1	XP_008210590.1, XP_032455062.1, XP_031785022.1, XP_001604690.1, XP_008210588.1, XP_008210589.1
OG0001266	XP_017877447.1, XP_017877440.1	XP_031785041.1
OG0001267	XP_026673666.1	XP_016838148.1
OG0001267	XP_026673737.1	XP_016838147.1
OG0001268	XP_017888924.1	XP_008204079.1
OG0001269	XP_026666924.1, XP_026666930.1	XP_008212176.1, XP_008212177.1
OG0001270	XP_017891911.1	XP_001607738.1, XP_003423835.1
OG0001271	XP_017875511.1, XP_017875509.1	XP_016839228.2, XP_001603100.3, XP_032453914.1
OG0001272	XP_017885497.1	NP_001128394.1
OG0001273	XP_026670825.1	XP_031779768.1
OG0001275	XP_017878338.1, XP_017878340.1	XP_016843922.1, XP_016843921.1
OG0001277	XP_017887330.1	XP_032452715.1, XP_031778793.1, XP_016838376.1
OG0001278	XP_017886511.2	XP_001607447.1
OG0001279	XP_017877894.1, XP_026668364.1	XP_031784720.1
OG0001280	XP_026667929.1, XP_017877172.1	XP_001603582.2, XP_008216915.1
OG0001281	XP_017881313.1	XP_008215096.2
OG0001282	XP_017882122.1	XP_031778437.1
OG0001283	XP_017892422.1	XP_031788385.1, XP_031788374.1
OG0001284	XP_017886567.1, XP_017886558.1	XP_031779643.1
OG0001285	XP_026672133.1	XP_031782353.1
OG0001286	XP_017885102.1	XP_001602489.1
OG0001287	XP_017890744.1, XP_017890741.1, XP_026674635.1	XP_016845176.2
OG0001288	XP_017877639.1	XP_001600075.1
OG0001289	XP_017892764.1	XP_001603940.1, XP_008202665.1, XP_008202664.1
OG0001290	XP_017889603.1	XP_001605003.2
OG0001291	XP_017886822.1	XP_016845465.1
OG0001292	XP_017882283.1	XP_016844342.1
OG0001293	XP_017876705.1	XP_001605773.2
OG0001294	XP_017889518.1, XP_026674115.1	XP_031784398.1, NP_001177860.1
OG0001295	XP_017881319.1	XP_031785480.1
OG0001296	XP_017888396.1	XP_031780598.1
OG0001297	XP_017878038.1	XP_031776794.1, XP_031778295.2
OG0001298	XP_017881237.1	XP_001603521.1
OG0001299	XP_017881510.1	XP_001603317.1
OG0001300	XP_017888500.1, XP_017888499.1	XP_001605636.1, XP_008203410.1, XP_008203409.1, XP_008203412.1, XP_032453849.1, XP_032453850.1, XP_001601102.1
OG0001301	XP_026666630.1	XP_001602613.1
OG0001302	XP_026669115.1	XP_032455800.1, XP_016840440.1
OG0001303	XP_017880508.1	XP_031782037.1, XP_031782039.1
OG0001304	XP_017886478.1, XP_026672517.1, XP_017886477.1	XP_032452034.1, XP_001602365.1
OG0001305	XP_026666601.1	XP_031789469.1
OG0001306	XP_017883838.1	XP_031786527.1, XP_031786524.1
OG0001307	XP_026669213.1, XP_026669216.1	XP_016838472.1, XP_016838468.1
OG0001308	XP_017888463.1	XP_031780394.1, XP_016837698.1, XP_008204950.1, XP_016837697.1, XP_031780395.1
OG0001310	XP_026674326.1, XP_026674327.1, XP_017890165.1	XP_016841187.1
OG0001312	XP_017880083.1, XP_017880079.1	XP_001604271.1
OG0001313	XP_017881145.1	XP_001603048.1
OG0001314	XP_017877181.1	XP_031783093.1, XP_016839081.1
OG0001315	XP_026672911.1, XP_017887152.1	XP_008216865.1, XP_032456015.1
OG0001316	XP_017889124.1, XP_026673752.1, XP_026673753.1, XP_026673754.1	XP_008206800.1
OG0001317	XP_017878772.1	XP_001604048.2
OG0001318	XP_026667476.1	XP_031784182.1
OG0001320	XP_026671122.1, XP_026671123.1, XP_017883626.1	XP_016845887.1, XP_008214189.1, XP_001599838.1
OG0001321	XP_026667384.1	XP_016843637.1
OG0001322	XP_017891378.1	XP_001606712.2, XP_031784354.1
OG0001323	XP_017880347.2	XP_003427775.1, XP_001600757.1
OG0001323	XP_017886618.2	XP_001600857.1
OG0001328	XP_017882111.1	NP_001127781.1, XP_008201861.1
OG0001329	XP_017892346.1, XP_026675471.1, XP_026675472.1, XP_017892348.1	XP_001602942.2
OG0001330	XP_017891678.1	XP_031784594.1, XP_016840913.1
OG0001331	XP_017883464.1	XP_001604681.1, XP_032453951.1
OG0001332	XP_017882789.1, XP_017882787.1	XP_003423932.1, XP_016845208.1, XP_003423931.1, XP_001606872.1, XP_001606020.2
OG0001333	XP_017892813.1	XP_031786693.1
OG0001334	XP_026669091.1, XP_026669092.1	XP_031788371.2
OG0001335	XP_017882018.2, XP_017882019.1	XP_032455686.1
OG0001336	XP_017882037.2	XP_003427230.3
OG0001336	XP_026670312.1	XP_003427227.1, XP_003427226.1, XP_032454792.1
OG0001337	XP_017879502.1, XP_017879503.1	XP_001605469.1, XP_032452044.1, XP_031777787.1, XP_031777786.1, XP_032452043.1, XP_008216360.1
OG0001338	XP_026668816.1, XP_026668818.1, XP_026668819.1, XP_026668820.1, XP_026668822.1, XP_017878975.1, XP_026668817.1, XP_026668821.1	XP_031781497.1
OG0001339	XP_017886121.1	XP_016838241.1
OG0001340	XP_017890061.1, XP_017877160.1	XP_008217856.1, XP_008217855.1
OG0001341	XP_026672596.1	NP_001153453.1, XP_031779954.1, XP_031780250.1, XP_016838627.1, XP_001607285.1, XP_003425180.1
OG0001342	XP_017878213.1	XP_003425750.1, XP_008203939.1, XP_008203938.1, XP_016838980.1
OG0001343	XP_017884609.1	XP_001601945.2
OG0001345	XP_017890181.1, XP_026674313.1, XP_026674314.1	XP_031779614.1, XP_031779613.1, XP_031779615.1
OG0001346	XP_017876879.1	XP_031784481.1, XP_008210966.1, XP_016845924.1
OG0001347	XP_017893537.1	XP_001604698.1, XP_008216502.1, XP_008216503.1
