Orthogroup	Solenopsis_invicta	Osmia_bicornis
OG0001494	XP_011159518.1, XP_039304095.1, XP_039304096.1, XP_039304094.1	XP_029042364.1
OG0001495	XP_011168272.1	XP_029035135.1, XP_029035153.1, XP_029035126.1, XP_029035143.1
OG0001496	XP_011176077.2, XP_011176075.2, XP_011176076.2, XP_011174865.2	XP_029054351.1
OG0001497	XP_011165457.1, XP_011165458.1	XP_029048447.1, XP_029048445.1, XP_029048444.1
OG0001498	XP_039305924.1	XP_029036977.1, XP_029036979.1
OG0001499	XP_039307688.1, XP_011158157.1	XP_029040363.1
OG0001500	XP_039312635.1, XP_039312637.1, XP_039312638.1, XP_039312634.1	XP_029038777.1
OG0001501	XP_025988324.1	XP_029055526.1, XP_029055527.1
OG0001502	XP_011166475.1	XP_029055525.1
OG0001503	XP_025996966.1, XP_025996963.2	XP_029049700.1, XP_029049697.1
OG0001504	XP_011167263.2	XP_029052689.1
OG0001505	XP_011172206.2	XP_029048731.1
OG0001506	XP_039304198.1, XP_039304197.1, XP_039304199.1, XP_039304201.1, XP_039304200.1, XP_039304196.1	XP_029041958.1, XP_029041960.1, XP_029041959.1
OG0001507	XP_039314299.1	XP_029040824.1
OG0001508	XP_039311816.1	XP_029033156.1, XP_029033136.1
OG0001509	XP_039311684.1	XP_029035096.1, XP_029035094.1
OG0001510	XP_025992335.2, XP_025986196.2	XP_029048819.1
OG0001511	XP_025994312.2, XP_039315233.1, XP_039315195.1, XP_039310857.1	XP_029055474.1
OG0001512	XP_025986523.1	XP_029042235.1
OG0001513	XP_011173097.1	XP_029048889.1
OG0001514	XP_011176284.1, XP_011176285.1	XP_029037337.1
OG0001515	XP_025995098.1	XP_029055431.1
OG0001517	XP_025995929.1, XP_039311148.1, XP_025995926.1, XP_039311149.1, XP_025995927.1, XP_025995928.1, XP_025995924.1, XP_025995925.1, XP_025995930.1	XP_029046635.1
OG0001518	XP_011175547.2	XP_029032938.1, XP_029032939.1
OG0001519	XP_025995933.2, XP_025995932.2	XP_029048918.1
OG0001520	XP_011172158.1	XP_029056592.1
OG0001521	XP_039314177.1	XP_029048178.1
OG0001522	XP_025988170.1, XP_025988171.1, XP_039312191.1, XP_039312156.1, XP_039312155.1, XP_039312179.1, XP_039312144.1, XP_039312149.1, XP_011168770.1, XP_011168769.1, XP_039312184.1, XP_025988169.1	XP_029046200.1
OG0001523	XP_025987250.1	XP_029036752.1
OG0001524	XP_011168675.2	XP_029033727.1
OG0001525	XP_011159211.1	XP_029045785.1
OG0001527	XP_039303803.1, XP_011158352.1	XP_029039352.1
OG0001529	XP_039311427.1	XP_029046278.1, XP_029046280.1, XP_029046281.1, XP_029046282.1
OG0001531	XP_025988753.1	XP_029045528.1, XP_029045527.1, XP_029045531.1, XP_029045530.1
OG0001532	XP_011162596.1, XP_039310282.1	XP_029047041.1, XP_029047040.1, XP_029047039.1
OG0001533	XP_025987694.2	XP_029039196.1
OG0001534	XP_011156569.2, XP_039308558.1	XP_029042396.1, XP_029042393.1, XP_029042392.1, XP_029042395.1, XP_029042394.1
OG0001535	XP_011158713.1	XP_029041515.1, XP_029041514.1
OG0001536	XP_025994747.1, XP_025994749.1, XP_039314099.1	XP_029043973.1, XP_029043998.1
OG0001537	XP_011158583.1, XP_039307705.1	XP_029041748.1
OG0001538	XP_025995016.1	XP_029043474.1, XP_029043706.1
OG0001539	XP_025989075.1	XP_029052353.1
OG0001540	XP_011156938.1	XP_029038083.1
OG0001541	XP_039305648.1, XP_039305645.1	XP_029032292.1, XP_029032291.1
OG0001542	XP_011176315.1	XP_029032403.1, XP_029032393.1
OG0001543	XP_011160969.1	XP_029054496.1
OG0001545	XP_011167357.1	XP_029037038.1, XP_029037156.1
OG0001546	XP_011173304.1	XP_029042168.1
OG0001547	XP_011157267.1, XP_011157187.1, XP_025995250.1, XP_011157118.1, XP_039313897.1, XP_039313896.1	XP_029040329.1, XP_029040326.1
OG0001548	XP_039312926.1, XP_011167899.2	XP_029047586.1, XP_029047583.1, XP_029047584.1
OG0001549	XP_039302374.1, XP_011172055.1, XP_039302373.1, XP_039302375.1, XP_011174292.2	XP_029036007.1, XP_029036008.1, XP_029036009.1
OG0001551	XP_025991441.1	XP_029055449.1
OG0001552	XP_039306173.1	XP_029032099.1, XP_029032096.1
OG0001553	XP_011171181.2	XP_029055962.1, XP_029055964.1
OG0001554	XP_025993708.2, XP_011167298.3	XP_029050063.1, XP_029050028.1
OG0001555	XP_039302216.1, XP_039302217.1, XP_039302218.1	XP_029036488.1
OG0001556	XP_011160222.1, XP_011160221.1	XP_029044980.1
OG0001557	XP_025987489.1	XP_029035431.1
OG0001558	XP_011164872.1	XP_029050297.1
OG0001559	XP_025995579.2	XP_029041271.1, XP_029041274.1, XP_029041275.1, XP_029041272.1, XP_029041273.1
OG0001561	XP_011156748.1	XP_029045928.1, XP_029045929.1
OG0001562	XP_011160241.1	XP_029035187.1
OG0001563	XP_011164698.1	XP_029036922.1
OG0001564	XP_025992928.1, XP_025990449.2, XP_011164166.3, XP_011165913.1	XP_029054776.1, XP_029054676.1
OG0001564	XP_039311355.1	XP_029053507.1
OG0001565	XP_011159749.1	XP_029052456.1
OG0001567	XP_011164347.2	XP_029036870.1, XP_029036871.1
OG0001568	XP_039315462.1, XP_011170161.1	XP_029036603.1
OG0001569	XP_039307127.1, XP_011175182.1	XP_029039068.1
OG0001570	XP_025996281.1	XP_029042704.1
OG0001571	XP_011173525.1	XP_029049963.1
OG0001572	XP_025991099.2	XP_029056363.1
OG0001573	XP_011167748.2	XP_029037844.1, XP_029037845.1, XP_029037847.1, XP_029037846.1, XP_029037848.1
OG0001574	XP_025990480.1, XP_025990476.1	XP_029052089.1, XP_029052093.1
OG0001575	XP_025989254.1	XP_029047969.1
OG0001576	XP_011162339.1, XP_011162338.1	XP_029040570.1
OG0001577	XP_039314987.1, XP_025990992.2, XP_011156779.2, XP_011156780.2	XP_029046400.1
OG0001578	XP_039311675.1, XP_025995374.2	XP_029048033.1, XP_029048044.1, XP_029048023.1
OG0001579	XP_025990916.1, XP_011161055.1	XP_029040562.1, XP_029040558.1
OG0001580	XP_025989737.2, XP_025989741.2	XP_029047159.1
OG0001581	XP_039312559.1	XP_029040501.1
OG0001582	XP_025993005.2, XP_039302703.1, XP_011170369.2	XP_029047173.1, XP_029047172.1, XP_029047171.1
OG0001583	XP_011173101.1, XP_011173102.1	XP_029036943.1
OG0001584	XP_011163216.1, XP_011163212.1	XP_029034029.1, XP_029034034.1
OG0001585	XP_011175980.2	XP_029055399.1, XP_029055037.1
OG0001586	XP_011172109.1	XP_029034228.1
OG0001587	XP_025992049.1	XP_029032253.1
OG0001588	XP_039302461.1, XP_025989691.2	XP_029048881.1
OG0001589	XP_011172968.1	XP_029036502.1, XP_029036500.1
OG0001590	XP_011157497.2	XP_029051587.1
OG0001591	XP_011168160.3	XP_029038358.1, XP_029038356.1
OG0001592	XP_011171154.1, XP_039310573.1, XP_039310572.1, XP_011171149.1, XP_011171150.1, XP_011171153.1, XP_011171152.1	XP_029037953.1
OG0001593	XP_025989465.2	XP_029052765.1
OG0001594	XP_039313370.1	XP_029055518.1, XP_029055519.1
OG0001595	XP_011155321.1, XP_011155323.1	XP_029047246.1
OG0001596	XP_011160525.1, XP_039308865.1	XP_029051870.1, XP_029051869.1
OG0001597	XP_039302815.1	XP_029041598.1
OG0001598	NP_001291513.1, XP_039304810.1, NP_001291514.1	XP_029035514.1
OG0001599	XP_011163081.1	XP_029032089.1, XP_029032088.1, XP_029032090.1
OG0001600	XP_011165848.2	XP_029041422.1
OG0001601	XP_039303295.1	XP_029051974.1, XP_029051976.1, XP_029051958.1
OG0001602	XP_025988804.2	XP_029036644.1
OG0001603	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1	XP_029047403.1, XP_029047402.1
OG0001604	XP_039306393.1, XP_039306391.1	XP_029044763.1
OG0001605	XP_025993135.2, XP_039312161.1, XP_039312160.1	XP_029039316.1
OG0001606	XP_039303892.1	XP_029048641.1
OG0001607	XP_025988460.1, XP_039305259.1	XP_029042931.1
OG0001608	XP_039312323.1	XP_029035490.1
OG0001609	XP_025987980.1, XP_011157468.1, XP_011157467.1	XP_029035777.1
OG0001611	XP_011157083.1	XP_029038852.1, XP_029038853.1, XP_029038850.1, XP_029038851.1, XP_029038855.1, XP_029038856.1, XP_029038854.1
OG0001612	XP_025991527.2	XP_029051728.1, XP_029051727.1, XP_029051726.1, XP_029051729.1
OG0001613	XP_039307245.1, XP_039307244.1, XP_039307243.1, XP_011156140.1, XP_025997359.2, XP_039303090.1, XP_025996903.2	XP_029054145.1, XP_029054941.1, XP_029054147.1, XP_029053880.1, XP_029054920.1, XP_029055090.1, XP_029054302.1, XP_029054311.1, XP_029055205.1, XP_029054196.1
OG0001614	XP_039302685.1	XP_029035009.1, XP_029034998.1
OG0001615	XP_011159603.1	XP_029041015.1, XP_029041014.1
OG0001616	XP_011165539.1	XP_029048974.1
OG0001617	XP_025996452.1	XP_029052247.1
OG0001619	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1	XP_029048423.1
OG0001620	XP_011172508.2	XP_029049615.1, XP_029049616.1
OG0001621	XP_011163719.2	XP_029053378.1
OG0001622	XP_011163366.1	XP_029041834.1
OG0001623	XP_011173601.1	XP_029045853.1
OG0001624	XP_025988947.1	XP_029033140.1
OG0001625	XP_011158987.1	XP_029046814.1
OG0001626	XP_011166369.1	XP_029039632.1, XP_029039631.1
OG0001627	XP_025992429.1	XP_029052083.1
OG0001628	XP_039313243.1, XP_011165694.2	XP_029035837.1
OG0001629	XP_011164801.1, NP_001291532.1	XP_029038883.1
OG0001630	XP_011169550.2, XP_011169546.2	XP_029045678.1
OG0001631	XP_025994075.2	XP_029042683.1, XP_029042681.1
OG0001632	XP_025996098.1, XP_039312892.1, XP_039312891.1	XP_029045335.1
OG0001633	XP_025990458.1	XP_029050350.1
OG0001635	XP_025990186.1	XP_029049661.1
OG0001636	XP_011161744.1	XP_029041561.1, XP_029041550.1, XP_029041560.1
OG0001637	XP_011160567.1, XP_039303715.1	XP_029049035.1, XP_029049034.1, XP_029049033.1, XP_029049032.1, XP_029049031.1
OG0001638	XP_011173071.2	XP_029033173.1
OG0001639	XP_011162004.1, XP_039302197.1	XP_029041904.1
OG0001640	XP_011162453.1	XP_029043527.1, XP_029044243.1
OG0001641	XP_011167461.1	XP_029043918.1
OG0001642	XP_011161737.1	XP_029041523.1, XP_029041521.1, XP_029041520.1, XP_029041522.1
OG0001643	XP_025995866.2	XP_029043348.1, XP_029043347.1, XP_029043346.1
OG0001644	XP_039302614.1, XP_011175857.1, XP_011175856.1	XP_029044240.1
OG0001645	XP_011162052.1, XP_011162053.1	XP_029044315.1, XP_029044314.1
OG0001646	XP_025991119.1	XP_029033719.1
OG0001647	XP_011167238.1	XP_029045431.1
OG0001648	XP_011161583.1, XP_039310226.1	XP_029050942.1, XP_029050943.1, XP_029050944.1
OG0001649	XP_011160573.1	XP_029041370.1, XP_029041369.1, XP_029041368.1
OG0001650	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1	XP_029037514.1, XP_029037512.1, XP_029037513.1
OG0001651	XP_039307391.1, XP_039307390.1	XP_029048948.1
OG0001652	XP_025989514.1, XP_011170123.1	XP_029041293.1
OG0001653	XP_011164509.2	XP_029044672.1, XP_029044670.1, XP_029044669.1, XP_029044671.1
OG0001654	XP_025990587.2, XP_011171393.2, XP_025990588.2	XP_029041762.1, XP_029041760.1, XP_029041761.1, XP_029041758.1, XP_029041759.1, XP_029041763.1
OG0001655	XP_011172420.1, XP_011172419.1	XP_029055475.1
OG0001656	XP_025989933.1, XP_011176122.1	XP_029031948.1, XP_029031949.1
OG0001657	XP_011156207.1	XP_029035294.1, XP_029035293.1
OG0001658	XP_025987786.1, XP_011169230.1	XP_029033443.1
OG0001659	XP_011156724.2, XP_011156725.1	XP_029036804.1
OG0001660	XP_011175649.1	XP_029050401.1
OG0001661	XP_025991899.1, XP_011161848.1	XP_029047707.1
OG0001662	XP_011166179.1, XP_011166174.1	XP_029045835.1, XP_029045838.1
OG0001663	XP_011160600.1	XP_029039881.1, XP_029039882.1, XP_029039883.1
OG0001664	XP_039315097.1, XP_039315095.1	XP_029045726.1, XP_029045718.1
OG0001665	XP_011162304.1	XP_029038507.1
OG0001666	XP_011157454.1	XP_029035783.1
OG0001668	XP_011164357.1, XP_011164356.1	XP_029036775.1
OG0001669	XP_011157251.2	XP_029035840.1
OG0001670	XP_039313082.1, XP_025995976.1	XP_029032431.1, XP_029032438.1
OG0001671	XP_039308958.1	XP_029051433.1, XP_029051434.1
OG0001672	XP_039303278.1	XP_029038878.1
OG0001673	XP_011156255.2	XP_029038017.1, XP_029038016.1, XP_029038015.1, XP_029038018.1
OG0001674	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2	XP_029050257.1
OG0001675	XP_011161210.1, XP_011161211.1	XP_029043446.1
OG0001676	XP_011173208.2	XP_029055465.1
OG0001677	XP_011166896.1	XP_029041707.1, XP_029041799.1
OG0001678	XP_011160108.1, XP_011160107.1	XP_029047469.1, XP_029047470.1
OG0001679	XP_011158431.1	XP_029048832.1, XP_029048831.1, XP_029048833.1
OG0001680	XP_011162712.1, XP_039310111.1	XP_029033268.1, XP_029033269.1
OG0001681	XP_039309619.1	XP_029036098.1
OG0001682	XP_011171824.1	XP_029052026.1
OG0001683	XP_011169305.1	XP_029041067.1, XP_029041068.1, XP_029041064.1, XP_029041066.1
OG0001685	XP_039303275.1	XP_029037041.1
OG0001686	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1	XP_029049380.1
OG0001687	XP_039309671.1, XP_025992568.1	XP_029044510.1
OG0001689	XP_025986564.1, XP_025986563.1	XP_029043772.1, XP_029043780.1
OG0001690	XP_039306829.1, XP_011157264.1	XP_029043541.1
OG0001691	XP_011171427.1	XP_029041172.1, XP_029041171.1
OG0001692	XP_011155633.1	XP_029042328.1
OG0001693	XP_025987446.1, XP_039310517.1	XP_029041290.1
OG0001694	XP_011168616.2	XP_029047193.1, XP_029047192.1
OG0001695	XP_011156723.1	XP_029036779.1
OG0001696	XP_039310023.1, XP_039310017.1	XP_029040418.1, XP_029040409.1
OG0001697	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1	XP_029045797.1
OG0001698	XP_039308538.1, XP_039308540.1, XP_039308539.1, XP_039303306.1, XP_039307233.1, XP_039310133.1, XP_039305301.1	XP_029040946.1, XP_029040943.1, XP_029040944.1, XP_029040945.1, XP_029054214.1, XP_029047084.1, XP_029054037.1, XP_029055148.1
OG0001699	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1	XP_029041247.1
OG0001700	XP_011167786.2	XP_029056367.1
OG0001701	XP_025988830.1, XP_011164170.2, XP_039302064.1	XP_029047529.1, XP_029047525.1
OG0001702	XP_011162940.1	XP_029048394.1, XP_029048396.1, XP_029048395.1, XP_029048397.1
OG0001703	XP_011164234.2	XP_029053026.1
OG0001703	XP_025988895.2, XP_025988894.1	XP_029053028.1
OG0001704	XP_011167326.1	XP_029056076.1, XP_029056079.1, XP_029056077.1
OG0001705	XP_039312388.1	XP_029054281.1, XP_029054940.1, XP_029053994.1, XP_029054842.1, XP_029054724.1, XP_029054018.1, XP_029054639.1, XP_029054579.1, XP_029053647.1, XP_029054869.1, XP_029054069.1, XP_029053907.1, XP_029053912.1, XP_029054227.1, XP_029053849.1, XP_029054072.1, XP_029054111.1, XP_029053847.1, XP_029054073.1, XP_029055201.1
OG0001706	XP_011158625.1	XP_029043578.1, XP_029043574.1, XP_029043575.1, XP_029043573.1, XP_029043577.1
OG0001707	XP_011155612.1	XP_029040459.1
OG0001708	XP_011164603.1, XP_025991942.1	XP_029041028.1
OG0001709	XP_025990188.1, XP_025990194.1	XP_029050200.1, XP_029050209.1
OG0001710	XP_039305265.1	XP_029041574.1
OG0001711	XP_011165612.1	XP_029042921.1
OG0001712	XP_011166117.1, XP_011166096.1	XP_029035719.1, XP_029035720.1
OG0001713	XP_011166931.1	XP_029048048.1, XP_029048047.1, XP_029048046.1
OG0001714	XP_011158003.1, XP_025987284.1	XP_029050791.1
OG0001715	XP_011159122.2	XP_029033877.1
OG0001716	XP_025989710.2	XP_029040492.1
OG0001717	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1	XP_029033708.1, XP_029033699.1, XP_029033691.1
OG0001718	XP_011168466.1	XP_029051687.1
OG0001719	XP_011169234.1	XP_029037938.1, XP_029037939.1
OG0001720	XP_025989851.1, XP_011175636.1, XP_025989850.1	XP_029046381.1, XP_029046380.1, XP_029046379.1
OG0001721	XP_011158131.2, XP_011158133.1, XP_039305886.1	XP_029039289.1, XP_029039323.1
OG0001722	XP_011169266.2	XP_029048706.1, XP_029048702.1, XP_029048703.1, XP_029048704.1, XP_029048705.1, XP_029048707.1
OG0001723	XP_011173007.1	XP_029039495.1
OG0001724	XP_039304618.1, XP_025992218.1	XP_029036442.1, XP_029036443.1
OG0001725	XP_011174902.2	XP_029045224.1
OG0001726	XP_025989444.1	XP_029041968.1
OG0001727	XP_011161620.1	XP_029044570.1
OG0001728	XP_039313676.1, XP_039313680.1	XP_029046665.1, XP_029046657.1
OG0001729	XP_039308930.1, XP_039308926.1	XP_029050566.1
OG0001730	XP_025987718.2, XP_025987717.2	XP_029035550.1
OG0001731	XP_011175411.2	XP_029048092.1
OG0001732	XP_039304441.1, XP_011159479.1	XP_029043901.1
OG0001734	XP_039314386.1	XP_029041078.1, XP_029041085.1, XP_029041093.1, XP_029041102.1
OG0001735	XP_011170355.1, XP_039305740.1	XP_029034196.1, XP_029034197.1
OG0001737	XP_039315088.1, XP_011160101.1	XP_029047424.1, XP_029047422.1, XP_029047423.1
OG0001738	XP_039310354.1	XP_029034270.1
OG0001739	XP_011170792.1	XP_029047535.1
OG0001740	XP_011166965.1, XP_025985931.1	XP_029045700.1, XP_029045692.1
OG0001741	XP_025987359.1	XP_029034269.1, XP_029034268.1
OG0001742	XP_039303639.1, XP_025991103.2	XP_029056342.1
OG0001743	XP_011161430.1, XP_011161433.1	XP_029049959.1, XP_029049960.1, XP_029049958.1
OG0001744	XP_039314453.1, XP_039314456.1	XP_029034818.1, XP_029034819.1
OG0001745	XP_011162193.2	XP_029049388.1, XP_029049386.1
OG0001746	XP_011164075.1	XP_029045290.1
OG0001747	XP_039309971.1	XP_029044869.1, XP_029044868.1, XP_029044870.1
OG0001748	XP_039302590.1, XP_039302582.1	XP_029032073.1, XP_029032064.1
OG0001749	XP_039307685.1, XP_039307681.1	XP_029040788.1, XP_029040793.1
OG0001750	XP_011155871.1	XP_029044823.1, XP_029044825.1
OG0001751	XP_011155816.1, XP_011155818.1	XP_029056586.1, XP_029056587.1
OG0001752	XP_039305802.1	XP_029039201.1
OG0001753	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1	XP_029050541.1
OG0001754	XP_039305540.1, XP_039305545.1	XP_029040725.1
OG0001754	XP_011167859.1	XP_029045989.1
OG0001755	XP_011158260.1	XP_029052414.1, XP_029052415.1
OG0001756	XP_039313053.1, XP_039313054.1	XP_029035240.1
OG0001757	XP_039308870.1	XP_029036070.1
OG0001758	XP_039303751.1, XP_025990540.1	XP_029042180.1, XP_029042177.1, XP_029042178.1, XP_029042179.1
OG0001759	XP_011170736.1	XP_029032105.1
OG0001760	XP_039311097.1	XP_029048484.1
OG0001762	XP_011161105.1, XP_011161112.1	XP_029040564.1
OG0001763	XP_011156236.1	XP_029053396.1
OG0001764	XP_025996897.1, XP_039312890.1	XP_029046456.1
OG0001765	XP_011156559.1	XP_029039005.1, XP_029039004.1, XP_029039003.1
OG0001767	XP_011160151.1	XP_029048720.1
OG0001768	XP_011165067.2	XP_029039800.1
OG0001769	XP_025990023.2, XP_039308397.1, XP_039308396.1, XP_039308395.1, XP_039308393.1, XP_039308394.1	XP_029034136.1
OG0001771	XP_039302499.1, XP_011173087.2	XP_029055778.1, XP_029055779.1, XP_029055777.1, XP_029055780.1
OG0001772	XP_011168440.2	XP_029052279.1
OG0001773	XP_039304162.1	XP_029048634.1
OG0001774	XP_025990865.1	XP_029045460.1
OG0001775	XP_025993879.1, XP_011176339.1, XP_011176338.1	XP_029042334.1, XP_029042333.1
OG0001776	XP_011166850.1	XP_029052622.1
OG0001777	XP_011163067.1	XP_029033694.1, XP_029033498.1
OG0001778	XP_011160655.1, XP_011160649.1	XP_029036678.1
OG0001779	XP_011160763.1	XP_029040462.1
OG0001780	XP_039306100.1, XP_011160811.1	XP_029050706.1
OG0001781	XP_011168846.1	XP_029053291.1
OG0001782	XP_011168428.1	XP_029048493.1
OG0001783	XP_025989077.1, XP_011168314.1	XP_029047303.1
OG0001784	XP_011168601.2, XP_011168600.2	XP_029050306.1
OG0001785	XP_011157927.1	XP_029045993.1, XP_029046001.1
OG0001786	XP_011164288.1, XP_025988909.1, XP_011164286.1	XP_029037857.1, XP_029037856.1
OG0001787	XP_011165044.1	XP_029050564.1, XP_029050565.1, XP_029050563.1
OG0001788	XP_025988821.1, XP_025988822.1	XP_029048755.1
OG0001789	XP_011166253.1, XP_011166254.1, XP_039304453.1	XP_029036577.1, XP_029036575.1
OG0001790	XP_011163941.1	XP_029050003.1, XP_029050002.1
OG0001791	XP_011158709.1	XP_029041575.1, XP_029041576.1
OG0001792	XP_011164881.1	XP_029033135.1, XP_029033137.1
OG0001793	XP_025989823.1	XP_029050447.1
OG0001794	XP_025994735.1	XP_029041647.1
OG0001794	XP_025994732.1	XP_029041595.1
OG0001795	XP_011169692.1	XP_029036342.1
OG0001796	XP_011156619.1	XP_029045166.1
OG0001797	XP_011167269.1	XP_029042045.1
OG0001799	XP_039311598.1, XP_011168273.2, XP_011168270.2	XP_029046350.1
OG0001800	XP_011168246.1	XP_029047399.1
OG0001801	XP_039303673.1	XP_029042699.1
OG0001802	XP_011158769.1	XP_029043170.1
OG0001803	XP_039305517.1	XP_029042974.1, XP_029042973.1, XP_029042972.1, XP_029042971.1
OG0001804	XP_011170600.1, XP_011170595.1	XP_029036643.1
OG0001805	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1	XP_029043315.1
OG0001806	XP_011175795.2	XP_029054142.1, XP_029054141.1
OG0001807	XP_011162553.2	XP_029040769.1
OG0001808	XP_011157802.1	XP_029032074.1
OG0001809	XP_011155517.1	XP_029055565.1
OG0001810	XP_039313299.1, XP_011160318.1	XP_029041184.1, XP_029041181.1
OG0001811	XP_011168515.1	XP_029046125.1
OG0001812	XP_011159277.1, XP_011159276.1, XP_039304732.1	XP_029039791.1
OG0001813	XP_039315397.1	XP_029044198.1
OG0001814	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1	XP_029042421.1, XP_029045552.1
OG0001815	XP_011163797.1, XP_039306189.1, XP_039306185.1	XP_029040479.1
OG0001816	XP_039314317.1	XP_029044832.1, XP_029044831.1, XP_029044829.1
OG0001817	XP_039310065.1, XP_011162718.2, XP_011162719.2, XP_011162717.2	XP_029033248.1, XP_029033247.1
OG0001818	XP_025989845.1, XP_025989844.1	XP_029038479.1, XP_029038480.1, XP_029038477.1
OG0001819	XP_039311733.1, XP_011165265.1	XP_029033511.1
OG0001820	XP_011160496.1	XP_029051864.1
OG0001821	XP_025991257.1, XP_025991254.1	XP_029040388.1
OG0001822	XP_011162501.1, XP_025987461.1	XP_029046426.1, XP_029046425.1
OG0001823	XP_011164610.1, XP_025991955.1	XP_029036949.1
OG0001824	XP_011155809.1	XP_029031980.1, XP_029031977.1
OG0001825	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1	XP_029032081.1
OG0001826	XP_011172390.1	XP_029053086.1
OG0001827	XP_039304416.1	XP_029036559.1
OG0001828	XP_011168343.1, XP_039309295.1	XP_029048531.1
OG0001829	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1	XP_029047842.1, XP_029047841.1
OG0001830	XP_011159754.1	XP_029042153.1
OG0001831	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1	XP_029045342.1
OG0001832	XP_039315007.1	XP_029052768.1, XP_029052767.1, XP_029052766.1, XP_029052769.1
OG0001833	XP_039313344.1	XP_029045272.1
OG0001834	XP_011163399.2	XP_029042694.1, XP_029042695.1
OG0001835	XP_011168711.1, XP_011168712.1	XP_029047233.1
OG0001836	XP_039307187.1	XP_029037552.1, XP_029037559.1
OG0001837	XP_011157877.1, XP_011157961.1, XP_011157801.1	XP_029037380.1, XP_029037381.1
OG0001838	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1	XP_029051146.1, XP_029051147.1
OG0001839	XP_039308920.1	XP_029050310.1
OG0001840	XP_011159388.1	XP_029042173.1
OG0001841	XP_039303300.1	XP_029036470.1
OG0001842	XP_039303265.1	XP_029031995.1, XP_029031994.1
OG0001843	XP_011166162.1	XP_029047793.1
OG0001844	XP_025992119.1	XP_029043545.1
OG0001845	XP_011166954.1	XP_029046828.1
OG0001846	XP_011155530.1, XP_011155531.1	XP_029055810.1
OG0001847	XP_011158153.2, XP_039311870.1, XP_011158155.1	XP_029040367.1
OG0001848	XP_011172427.1	XP_029055489.1, XP_029055490.1
OG0001849	XP_011168927.1	XP_029053171.1
OG0001850	XP_025991413.1	XP_029037643.1
OG0001851	XP_011159639.2, XP_011159640.2	XP_029045173.1, XP_029045174.1, XP_029045172.1
OG0001852	XP_011169062.2	XP_029049682.1
OG0001853	XP_011156362.2	XP_029043094.1
OG0001854	XP_039314594.1	XP_029045247.1
OG0001855	XP_011162018.1	XP_029041716.1
OG0001856	XP_011166372.1	XP_029039272.1
OG0001857	XP_039304741.1, XP_025993230.2	XP_029041402.1
OG0001858	XP_011160902.1	XP_029044979.1, XP_029044977.1
OG0001859	XP_011167983.1	XP_029043804.1, XP_029043803.1
OG0001860	XP_011157896.1	XP_029050093.1, XP_029050098.1
OG0001861	XP_011155579.1, XP_039303738.1	XP_029048687.1
OG0001862	XP_011161432.3, XP_039310938.1, XP_025985893.1	XP_029048904.1, XP_029048903.1
OG0001863	XP_039301789.1, XP_011158443.1	XP_029035027.1, XP_029035029.1, XP_029035026.1
OG0001864	XP_011168664.2	XP_029048578.1
OG0001865	XP_011157758.1	XP_029053119.1, XP_029053120.1, XP_029053121.1
OG0001867	XP_025989927.1	XP_029048154.1
OG0001868	XP_025986322.1, XP_025986321.1	XP_029048430.1
OG0001869	XP_025994490.1	XP_029045809.1
OG0001870	XP_025989757.1	XP_029055542.1
OG0001871	XP_011166857.1, XP_011166858.1, XP_011166859.1	XP_029048416.1
OG0001872	XP_011159588.1	XP_029041112.1, XP_029041932.1
OG0001873	XP_011165220.1, XP_011165221.1	XP_029038144.1
OG0001874	XP_011164300.1	XP_029050759.1, XP_029050674.1, XP_029048285.1, XP_029048199.1
OG0001875	XP_039314795.1	XP_029036827.1
OG0001876	XP_011169038.1	XP_029037790.1, XP_029037792.1, XP_029037791.1
OG0001879	XP_011163848.2	XP_029040642.1, XP_029040643.1
OG0001880	XP_039314499.1, XP_039314493.1	XP_029047497.1
OG0001881	XP_011164275.1	XP_029048014.1, XP_029048013.1, XP_029048015.1
OG0001882	XP_011158770.1	XP_029043070.1
OG0001883	XP_011169787.1	XP_029041441.1, XP_029041478.1, XP_029041459.1, XP_029041468.1, XP_029041450.1
OG0001884	XP_025988158.2	XP_029048604.1, XP_029048600.1
OG0001885	XP_025992055.1, XP_039310763.1	XP_029050007.1
