Orthogroup	Solenopsis_invicta	Habropoda_laboriosa
OG0000470	XP_011167300.1	XP_017794884.1
OG0000471	XP_011156615.1, XP_011156613.1, XP_039307156.1	XP_017797336.1
OG0000474	XP_039310604.1, XP_039310605.1, XP_039310606.1, XP_011162545.1	XP_017788334.1, XP_017788335.1, XP_017788333.1
OG0000475	XP_011160619.1	XP_017796621.1
OG0000476	XP_039307257.1, XP_039306344.1, XP_025986350.2, XP_039309974.1, XP_039309976.1, XP_011172993.2, XP_039309975.1, XP_011164250.1, XP_025988917.1, XP_025986338.2, XP_011165951.1, XP_025993811.1	XP_017791962.1
OG0000477	XP_025996089.1	XP_017793688.1
OG0000477	XP_011168899.2	XP_017799389.1
OG0000478	XP_011173143.1	XP_017789075.1
OG0000479	XP_039301991.1	XP_017793128.1
OG0000480	XP_025992857.1	XP_017793583.1
OG0000483	XP_025993672.1, XP_039307370.1	XP_017798974.1
OG0000484	XP_011163920.2, XP_025992083.2, XP_039311033.1, XP_039311035.1, XP_039311034.1	XP_017787953.1
OG0000485	XP_011174858.1	XP_017797839.1
OG0000485	XP_039309923.1, XP_039309926.1, XP_039309933.1, XP_025988305.2, XP_011174835.2, XP_011174840.2	XP_017797837.1
OG0000486	XP_039310943.1	XP_017792228.1
OG0000487	XP_011165857.1	XP_017790807.1
OG0000487	XP_039303806.1, XP_039303805.1, XP_011165860.1, XP_011165859.1	XP_017790777.1
OG0000488	XP_039314622.1	XP_017789931.1
OG0000489	XP_011157401.1, XP_011157406.1, XP_011157405.1, XP_011157404.1, XP_011157402.1	XP_017787699.1
OG0000490	XP_011164822.1	XP_017789278.1, XP_017789280.1
OG0000492	XP_011156001.1, XP_011156002.1, XP_039308490.1, XP_039308501.1	XP_017788147.1
OG0000494	XP_011159254.1, XP_025994069.1	XP_017795531.1
OG0000495	XP_039310887.1, XP_039310888.1, XP_039310889.1, XP_039310890.1, XP_039310891.1, XP_039310892.1, XP_039310893.1, XP_039310894.1, XP_039310895.1, XP_039310896.1	XP_017791652.1
OG0000496	XP_011166398.1, XP_011166382.1, XP_011166390.1, XP_025988359.1	XP_017792221.1
OG0000497	XP_039309094.1	XP_017790955.1
OG0000497	XP_025994815.1	XP_017793631.1
OG0000498	XP_039313807.1, XP_011163998.1	XP_017799571.1
OG0000500	XP_011157702.1	XP_017797598.1
OG0000500	XP_039312958.1	XP_017797575.1
OG0000501	XP_011166207.2	XP_017795060.1
OG0000501	XP_011166208.1	XP_017795042.1
OG0000502	XP_011159324.1	XP_017788450.1
OG0000502	XP_011159323.1	XP_017788154.1
OG0000503	XP_011155986.1	XP_017788135.1, XP_017788134.1
OG0000504	XP_011159264.1	XP_017789156.1, XP_017789133.1, XP_017789148.1, XP_017789141.1, XP_017789164.1
OG0000505	XP_011161151.2	XP_017798753.1
OG0000505	XP_011161158.1	XP_017798745.1
OG0000506	XP_011172101.2	XP_017794431.1
OG0000507	XP_011161050.2, XP_011161049.1, XP_011161048.1, XP_011161052.1, XP_011161051.1	XP_017787753.1
OG0000508	NP_001291529.1	XP_017795402.1
OG0000509	XP_025990433.1	XP_017788498.1
OG0000510	XP_025996242.1	XP_017792920.1
OG0000511	XP_039307912.1, XP_025987206.1, XP_039303240.1	XP_017791514.1
OG0000511	XP_039307466.1, XP_039307486.1, XP_039307477.1, XP_039307548.1, XP_039307483.1, XP_039307473.1, XP_011160654.3, XP_039303270.1, XP_011170953.1, XP_025987072.2, XP_039307491.1, XP_039307490.1, XP_011158237.1, XP_039307560.1	XP_017791512.1
OG0000512	XP_011166406.1, XP_039306944.1	XP_017793772.1
OG0000514	XP_025988628.2, XP_025997308.1, XP_039307516.1, XP_025997236.2, XP_039302135.1, XP_039313988.1, XP_039313884.1	XP_017791513.1
OG0000515	XP_011170997.1, XP_011170996.1, XP_039306226.1	XP_017789530.1, XP_017789529.1
OG0000516	XP_011172056.1	XP_017796482.1
OG0000517	XP_011163700.2	XP_017790071.1
OG0000517	XP_039309232.1	XP_017790072.1
OG0000518	XP_011175188.2, XP_011175189.2, XP_011175191.2	XP_017798671.1
OG0000519	XP_025991738.1, XP_011159219.1, XP_011159221.1, XP_039308221.1, XP_039308220.1	XP_017791021.1
OG0000520	XP_011166082.1, XP_011166083.1	XP_017791645.1
OG0000521	XP_011166943.1	XP_017789663.1
OG0000522	XP_011167766.2	XP_017789557.1
OG0000523	XP_025986325.2	XP_017799377.1, XP_017799382.1
OG0000524	XP_025986063.1	XP_017792371.1
OG0000525	XP_025993000.2	XP_017798452.1, XP_017798453.1
OG0000526	XP_011163487.3	XP_017790192.1
OG0000527	XP_025994056.1, XP_011171909.1	XP_017788912.1, XP_017788913.1
OG0000528	XP_011164853.1	XP_017787650.1
OG0000529	XP_039309772.1, XP_011161552.1	XP_017796215.1
OG0000529	XP_011165420.2	XP_017787860.1
OG0000530	XP_011157307.1	XP_017798790.1
OG0000530	XP_011157306.1	XP_017798780.1
OG0000533	XP_039310971.1, XP_039310972.1, XP_011165801.2, XP_025994422.2	XP_017792307.1
OG0000536	XP_011161602.1, XP_039310223.1, XP_039310224.1	XP_017799141.1
OG0000537	XP_039304417.1	XP_017790753.1
OG0000538	XP_011168662.1	XP_017796205.1
OG0000540	XP_039309898.1, NP_001291538.1	XP_017793564.1
OG0000541	XP_039308180.1	XP_017799087.1, XP_017799088.1
OG0000542	XP_039307562.1, XP_011162049.1	XP_017791324.1
OG0000543	XP_039314361.1	XP_017794217.1
OG0000544	XP_011159201.2, XP_039309904.1	XP_017793535.1, XP_017793536.1
OG0000545	XP_011172555.1	XP_017791585.1
OG0000546	XP_011166500.2	XP_017799411.1
OG0000546	XP_025990179.1	XP_017794398.1
OG0000547	XP_011158548.1	XP_017792331.1, XP_017792330.1
OG0000548	XP_039314101.1	XP_017796667.1
OG0000549	XP_011162919.1	XP_017795711.1
OG0000551	XP_011160212.1	XP_017787789.1, XP_017787791.1
OG0000552	XP_011169733.1	XP_017796466.1
OG0000553	XP_011162424.1	XP_017790038.1, XP_017790039.1, XP_017790040.1
OG0000554	XP_025989623.1	XP_017789918.1
OG0000554	XP_039315055.1	XP_017795903.1
OG0000555	XP_011160546.3	XP_017789808.1
OG0000555	XP_011160545.1	XP_017789811.1
OG0000556	XP_011155655.1	XP_017790775.1, XP_017790774.1
OG0000557	XP_011159193.1	XP_017794527.1, XP_017794529.1, XP_017794528.1, XP_017794530.1
OG0000558	XP_011165104.2	XP_017790823.1
OG0000558	XP_011155663.1	XP_017791113.1
OG0000559	XP_011170518.1	XP_017798356.1
OG0000560	XP_011165828.1, XP_025993242.1, XP_011165827.1, XP_039303889.1, XP_039303890.1	XP_017791847.1
OG0000561	XP_011169324.1	XP_017790460.1
OG0000561	XP_025992227.2	XP_017790394.1
OG0000562	XP_025989184.1	XP_017795295.1
OG0000562	XP_011159988.1	XP_017795319.1, XP_017795318.1
OG0000563	XP_025989096.1, XP_025989094.1, XP_025989095.1	XP_017788619.1
OG0000564	XP_025989595.2, XP_011171715.1	XP_017793513.1
OG0000565	XP_011157246.1	XP_017794595.1
OG0000565	XP_039303576.1	XP_017796419.1
OG0000567	XP_011168976.1	XP_017795556.1
OG0000567	XP_011172612.2	XP_017798953.1
OG0000568	XP_025986039.1	XP_017799520.1
OG0000569	XP_039312304.1	XP_017788296.1
OG0000569	XP_011157244.1	XP_017793315.1
OG0000570	XP_039314374.1, XP_025987778.1, XP_025987776.1, XP_025987777.1	XP_017794289.1
OG0000571	XP_039306865.1	XP_017798518.1
OG0000572	XP_039311184.1	XP_017788884.1
OG0000573	XP_011162484.1, XP_011162486.1	XP_017788476.1
OG0000574	XP_011175919.1	XP_017799602.1
OG0000574	XP_011175979.1	XP_017799579.1
OG0000575	XP_025990180.1	XP_017799412.1
OG0000575	XP_011166359.2	XP_017799413.1
OG0000576	XP_025993714.1, XP_025993716.1, XP_025993717.1	XP_017794420.1
OG0000577	XP_025992633.1, XP_039303177.1, XP_011161740.1, XP_011161743.1	XP_017788396.1, XP_017788395.1
OG0000578	XP_011166187.2	XP_017796684.1
OG0000579	XP_011156052.1, XP_011156051.1	XP_017787826.1
OG0000582	XP_011160599.1	XP_017795164.1
OG0000583	XP_011167028.2, XP_039306141.1	XP_017798775.1
OG0000584	XP_039302271.1	XP_017798769.1
OG0000585	XP_011170883.1	XP_017798269.1
OG0000585	XP_011169115.1	XP_017796240.1
OG0000586	XP_011165979.1, XP_011165978.1	XP_017788474.1
OG0000586	XP_039312051.1, XP_039312225.1, XP_039311914.1	XP_017795221.1
OG0000587	XP_039303764.1	XP_017795762.1
OG0000588	XP_039307024.1	XP_017787593.1, XP_017787594.1
OG0000589	XP_025989087.1, XP_039309540.1, XP_039309539.1	XP_017787799.1
OG0000590	XP_011164365.1, XP_025988896.1	XP_017791211.1
OG0000591	XP_011172322.1	XP_017790711.1
OG0000592	XP_011164060.2	XP_017794652.1
OG0000592	XP_039304350.1	XP_017789564.1
OG0000593	XP_025990297.2, XP_039306195.1	XP_017791548.1
OG0000594	XP_011169319.1, XP_039310004.1	XP_017790432.1
OG0000595	XP_011157974.1	XP_017792912.1
OG0000595	XP_011157972.1	XP_017792911.1
OG0000596	XP_011172107.2, XP_011172105.3	XP_017787746.1
OG0000597	XP_011165992.1, XP_039310829.1	XP_017792345.1
OG0000598	XP_039302656.1	XP_017794120.1
OG0000600	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1	XP_017790089.1
OG0000601	XP_011163933.1, XP_039311063.1, XP_011163934.1	XP_017799048.1
OG0000602	XP_039314332.1	XP_017794823.1
OG0000602	XP_011173207.2	XP_017794151.1
OG0000603	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1	XP_017799456.1
OG0000604	XP_011163407.2	XP_017793180.1
OG0000604	XP_011163369.1	XP_017793282.1
OG0000606	XP_011162133.1	XP_017797193.1
OG0000609	XP_039302838.1, XP_011167460.2	XP_017796091.1
OG0000611	XP_039304710.1, XP_011166113.1, XP_011166114.1	XP_017796647.1
OG0000612	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1	XP_017796898.1
OG0000613	XP_011156407.1, XP_011156404.1	XP_017799181.1
OG0000614	XP_039308727.1	XP_017793166.1, XP_017791996.1
OG0000614	XP_039311099.1	XP_017791808.1
OG0000615	XP_011156604.2	XP_017797934.1
OG0000616	XP_039305832.1, XP_039305828.1, XP_039305833.1	XP_017788373.1
OG0000617	XP_011158954.1	XP_017796467.1
OG0000617	XP_025986670.1	XP_017796545.1
OG0000619	XP_011173657.1, XP_011173658.1, XP_025987595.1	XP_017793803.1, XP_017793804.1
OG0000620	XP_011169601.1	XP_017791713.1, XP_017791714.1
OG0000621	XP_039312703.1	XP_017793383.1, XP_017793382.1
OG0000622	XP_011169602.1	XP_017796631.1
OG0000623	XP_039313782.1, XP_011164272.1	XP_017794955.1, XP_017794957.1
OG0000624	XP_011157512.1, XP_039302508.1	XP_017793531.1
OG0000625	XP_011163576.1	XP_017797645.1
OG0000626	XP_011155744.2	XP_017792421.1
OG0000627	XP_025987673.1	XP_017795586.1
OG0000628	XP_039309559.1	XP_017793131.1
OG0000629	XP_011170977.2	XP_017789539.1
OG0000630	XP_039306780.1	XP_017794373.1
OG0000631	XP_039306909.1	XP_017798629.1
OG0000632	XP_039309842.1, XP_011155541.1	XP_017788807.1, XP_017788806.1, XP_017788809.1, XP_017788808.1
OG0000633	XP_011172797.1	XP_017798660.1
OG0000633	XP_011158982.1	XP_017790455.1
OG0000634	XP_011159579.2	XP_017790080.1
OG0000634	XP_011159577.1	XP_017790056.1
OG0000635	XP_011161776.2, XP_025986615.1	XP_017798846.1
OG0000635	XP_039301712.1	XP_017797654.1
OG0000636	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1	XP_017789806.1
OG0000637	XP_011160711.2	XP_017789106.1
OG0000638	XP_011169107.1, XP_011169109.1	XP_017797234.1
OG0000639	XP_039305053.1, XP_011158830.1	XP_017790561.1
OG0000640	XP_011160127.1	XP_017794181.1
OG0000641	XP_011162857.1	XP_017790935.1
OG0000642	XP_011167158.1	XP_017788417.1, XP_017788420.1
OG0000643	XP_011160706.1	XP_017789188.1
OG0000643	XP_011160705.2	XP_017789189.1
OG0000644	XP_011155802.1, XP_011155801.1	XP_017794463.1
OG0000645	XP_011165880.1	XP_017788568.1
OG0000645	XP_011165878.1, XP_011165879.1	XP_017788538.1
OG0000646	XP_011156050.1	XP_017787820.1, XP_017787821.1, XP_017787822.1
OG0000647	XP_025990863.1, XP_025990862.1	XP_017798823.1
OG0000648	XP_011162013.1	XP_017791319.1
OG0000649	XP_011160804.1	XP_017792481.1
OG0000650	XP_039308781.1, XP_011168549.1, XP_011168547.1	XP_017790920.1
OG0000651	XP_039301926.1	XP_017795214.1
OG0000651	XP_039303055.1	XP_017794428.1
OG0000653	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1	XP_017792136.1
OG0000654	XP_011157432.3	XP_017798033.1
OG0000654	XP_039306560.1	XP_017791931.1
OG0000655	XP_025992461.2	XP_017791286.1, XP_017791278.1, XP_017791282.1
OG0000656	XP_011175984.1	XP_017797932.1
OG0000657	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1	XP_017796547.1
OG0000659	XP_011173530.2	XP_017790933.1
OG0000660	XP_025989970.1	XP_017788572.1
OG0000661	XP_025988975.1	XP_017787633.1
OG0000661	XP_039303215.1	XP_017787655.1
OG0000662	XP_011175457.1	XP_017795789.1
OG0000663	XP_025986599.1	XP_017788981.1, XP_017788986.1
OG0000664	XP_025992680.2	XP_017790880.1, XP_017794422.1
OG0000665	XP_011170315.1	XP_017794702.1
OG0000666	XP_011171071.1	XP_017796802.1
OG0000666	XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1	XP_017796803.1
OG0000667	XP_039310656.1, XP_011164614.1	XP_017792277.1, XP_017792275.1, XP_017792274.1
OG0000668	XP_039306186.1	XP_017792722.1
OG0000669	XP_025988961.1, XP_039302920.1, XP_011175851.1	XP_017794021.1
OG0000670	XP_011159463.1	XP_017796058.1
OG0000672	XP_011160324.2	XP_017790534.1
OG0000672	XP_011160332.1	XP_017790373.1
OG0000673	XP_025991633.2, XP_025991631.2, XP_025991632.2	XP_017796433.1
OG0000674	XP_039310353.1, XP_011162427.1, XP_039310351.1, XP_039310352.1	XP_017799288.1, XP_017790172.1
OG0000676	XP_011160330.1, XP_011160331.1, XP_039313501.1	XP_017790496.1
OG0000677	XP_011160950.1, XP_011160946.1, XP_011160951.1	XP_017789601.1
OG0000678	XP_039304396.1	XP_017799436.1
OG0000680	XP_011167693.1, XP_011167708.1, XP_011167701.1	XP_017799559.1
OG0000681	NP_001291522.1	XP_017788431.1
OG0000681	XP_011171271.1	XP_017789629.1
OG0000682	XP_011163525.2	XP_017791477.1
OG0000683	XP_039306229.1, XP_039306230.1	XP_017795374.1
OG0000684	XP_039302424.1, XP_011157520.1, XP_011157521.1, XP_039302421.1	XP_017793556.1
OG0000685	XP_011166723.1	XP_017795205.1
OG0000685	XP_011165386.2	XP_017799221.1
OG0000686	XP_011167376.2, XP_011167375.2	XP_017789351.1
OG0000687	XP_011165090.1, XP_011165092.1	XP_017797312.1
OG0000688	XP_025991175.2, XP_011167177.2	XP_017798599.1
OG0000689	XP_025987790.1	XP_017792126.1
OG0000689	XP_011169515.2	XP_017792128.1
OG0000690	XP_011163918.1	XP_017792306.1
OG0000691	XP_039314432.1, XP_011164381.1	XP_017793214.1, XP_017793215.1
OG0000692	XP_011161649.1	XP_017793949.1, XP_017793950.1
OG0000693	XP_025993002.1	XP_017797195.1
OG0000694	XP_011170811.1, XP_011170813.1	XP_017789792.1
OG0000695	XP_025987444.1, XP_025987443.1, XP_039310172.1, XP_039310173.1	XP_017788491.1
OG0000696	XP_039308201.1	XP_017790478.1
OG0000697	XP_011167159.1	XP_017788408.1
OG0000698	XP_011159907.1, XP_011159915.1, XP_011159925.1	XP_017795066.1
OG0000699	XP_011161891.2	XP_017799591.1
OG0000700	XP_011157480.1	XP_017799012.1
OG0000700	XP_025987956.1	XP_017799011.1
OG0000701	XP_011161794.1	XP_017790614.1
OG0000703	XP_025993224.2, XP_039310299.1, XP_025993223.2	XP_017788490.1
OG0000704	XP_025994168.1	XP_017797702.1, XP_017797703.1
OG0000704	XP_011161187.1	XP_017798781.1
OG0000705	XP_025988088.2	XP_017797650.1
OG0000706	XP_011168454.1	XP_017788211.1
OG0000707	XP_011166276.1, XP_039305379.1	XP_017796811.1
OG0000708	XP_039314227.1, XP_039314228.1	XP_017791790.1
OG0000709	XP_011175840.1, XP_011175841.1	XP_017794059.1
OG0000710	XP_025996916.1	XP_017789935.1, XP_017792154.1
OG0000711	XP_011158311.2	XP_017790126.1
OG0000712	XP_025991504.1, XP_025991503.1	XP_017793739.1
OG0000713	XP_011156494.2	XP_017798587.1
OG0000714	XP_025994772.1	XP_017793501.1, XP_017793494.1
OG0000715	XP_011159153.2, XP_011159154.2	XP_017796331.1, XP_017796330.1
OG0000716	XP_011163912.2	XP_017792417.1
OG0000717	XP_011164323.1, XP_011164322.1, XP_011164321.1	XP_017799187.1
OG0000718	XP_025992101.1	XP_017798779.1
OG0000719	XP_039304225.1, XP_039304226.1	XP_017790024.1
OG0000720	XP_039302434.1	XP_017793546.1
OG0000720	XP_039314720.1	XP_017799212.1
OG0000721	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2	XP_017788857.1
OG0000722	XP_039314078.1, XP_011167944.1	XP_017787430.1
OG0000722	XP_011167941.1	XP_017787432.1
OG0000723	XP_039305662.1, XP_039305658.1	XP_017797237.1
OG0000724	XP_011170525.1, XP_011170523.1	XP_017790082.1
OG0000726	XP_011167998.2	XP_017789890.1
OG0000727	XP_025986180.1	XP_017789972.1
OG0000728	XP_039312815.1, XP_039312814.1, XP_011169151.3, XP_039312816.1, XP_011168956.1, XP_011169150.1	XP_017793106.1
OG0000729	XP_011168583.1	XP_017791080.1
OG0000730	XP_039314139.1, XP_039314140.1	XP_017794253.1
OG0000731	XP_039311188.1, XP_011167996.2	XP_017789891.1, XP_017789892.1
OG0000732	XP_039301972.1, XP_011162337.1, XP_011162336.1, XP_011162333.1, XP_011162334.1, XP_011162335.1	XP_017791734.1
OG0000733	XP_039314752.1, XP_011169491.1	XP_017795181.1, XP_017795182.1
OG0000734	XP_011166589.1, XP_011166590.1, XP_025992886.1	XP_017792432.1
OG0000736	XP_011157298.1	XP_017798699.1, XP_017798704.1, XP_017798703.1, XP_017798700.1, XP_017798701.1
OG0000737	XP_011162103.1	XP_017790941.1
OG0000738	XP_025995486.1, XP_039304747.1, XP_025995485.2, XP_025995484.2	XP_017795990.1
OG0000739	XP_025986669.1, XP_011158895.1	XP_017799493.1
OG0000740	XP_011165468.1, XP_011165469.1, XP_011165467.1, XP_011165466.1	XP_017799090.1
OG0000741	XP_011176093.2	XP_017789689.1
OG0000742	XP_039306568.1, XP_039306567.1	XP_017789593.1
OG0000743	XP_011176100.1, XP_011176099.1, XP_011176096.1, XP_011176097.1, XP_011176098.1	XP_017792070.1
OG0000744	XP_011163408.1	XP_017792455.1
OG0000745	XP_039312216.1, XP_039312218.1, XP_039312219.1, XP_025993584.1, XP_011159126.1, XP_011159127.1, XP_039312050.1, XP_039312217.1	XP_017788688.1
OG0000746	XP_039301874.1	XP_017792346.1
OG0000747	XP_025994764.1, XP_025994766.1, XP_025994765.1	XP_017793056.1
OG0000748	XP_025992939.2, XP_039311919.1	XP_017796555.1
OG0000749	XP_011156808.3	XP_017789611.1
OG0000750	XP_039308189.1, XP_011168047.1	XP_017793419.1
OG0000751	XP_011163217.2	XP_017799152.1
OG0000752	XP_011161184.1	XP_017798489.1
OG0000753	XP_011164714.1, XP_011164712.1, XP_011164713.1, XP_039314207.1	XP_017787431.1
OG0000754	XP_025994006.1, XP_039314803.1	XP_017791818.1
OG0000755	XP_011160539.1	XP_017793840.1
OG0000756	XP_039310988.1	XP_017792359.1
OG0000756	XP_011167689.2	XP_017792012.1
OG0000757	XP_011173081.1	XP_017796135.1
OG0000758	XP_011163862.2	XP_017796138.1
OG0000758	XP_011164604.1	XP_017793427.1
OG0000759	XP_025988751.1	XP_017795003.1
OG0000760	XP_011162144.1, XP_011162146.1, XP_011162145.1	XP_017794333.1
OG0000761	XP_025996446.1	XP_017798069.1
OG0000762	XP_025987473.1	XP_017790187.1
OG0000764	XP_039304581.1, XP_011159740.1	XP_017791935.1
OG0000764	XP_011159741.1	XP_017791933.1
OG0000765	XP_011176280.1, XP_011176281.1	XP_017797887.1
OG0000766	XP_025988764.1, XP_039314286.1	XP_017790842.1, XP_017790844.1
OG0000767	XP_011171183.1, XP_011171178.1	XP_017795646.1
OG0000768	XP_011168953.1, XP_011168954.1	XP_017793461.1
OG0000769	XP_039302316.1	XP_017798302.1
OG0000770	XP_025991245.1, XP_039314063.1	XP_017798582.1
OG0000771	XP_025987164.1, XP_011158232.1, XP_025987165.1	XP_017790168.1
OG0000772	XP_039313911.1, XP_039313913.1	XP_017788367.1
OG0000773	XP_025987110.1	XP_017795573.1
OG0000774	XP_011165924.1	XP_017789946.1
OG0000775	XP_011155960.1, XP_025987204.1	XP_017795570.1, XP_017795569.1
OG0000776	XP_011163200.1	XP_017799373.1
OG0000777	XP_025997179.1, XP_025997180.1, XP_011165269.1	XP_017797815.1, XP_017797814.1
OG0000778	XP_011164824.1	XP_017792090.1
OG0000779	XP_039308346.1, XP_039308351.1, XP_039308349.1, XP_039308355.1	XP_017793240.1
OG0000780	XP_011160559.1, XP_011160558.1, XP_025988495.1, XP_011160560.1, XP_025988494.1	XP_017789834.1
OG0000781	XP_011159966.1	XP_017789404.1
OG0000782	XP_025991730.1, NP_001291540.1	XP_017791089.1
OG0000783	XP_011176408.1	XP_017796219.1
OG0000784	XP_011161570.1	XP_017799272.1
OG0000785	XP_039302168.1	XP_017798803.1, XP_017798801.1, XP_017798804.1
OG0000786	XP_011155618.2	XP_017798383.1, XP_017798384.1
OG0000787	XP_011168695.1, XP_011168697.1, XP_011168696.1, XP_025988184.1, XP_011168698.1, XP_025988185.1	XP_017791924.1
OG0000788	XP_039308398.1	XP_017789942.1
OG0000789	XP_011161800.1, XP_011161799.1, XP_011161803.1, XP_011161801.1	XP_017790180.1
OG0000790	XP_011159162.2	XP_017796319.1
OG0000791	XP_025994338.1, XP_025994339.1, XP_025994340.1, XP_025994341.1, XP_039313885.1, XP_011155738.1	XP_017798342.1
OG0000795	XP_011168338.1	XP_017795189.1
OG0000796	XP_011161408.1	XP_017798194.1
OG0000796	XP_011161421.1	XP_017798209.1
OG0000797	XP_011162370.1, XP_011162428.1	XP_017794086.1
OG0000798	XP_011165295.1	XP_017788566.1
OG0000799	XP_025989311.1, XP_039305768.1	XP_017794371.1
OG0000800	XP_011160666.1, XP_011160664.1	XP_017794614.1
OG0000801	XP_025992851.1	XP_017793584.1
OG0000801	XP_011164184.2	XP_017792734.1
OG0000802	XP_025988488.1	XP_017790502.1
OG0000803	XP_011155983.1	XP_017790866.1
OG0000804	XP_039306726.1, XP_039306725.1, XP_011171429.1	XP_017790128.1, XP_017790130.1, XP_017790129.1
OG0000805	XP_025994786.1	XP_017797843.1
OG0000806	XP_011169594.1, XP_011169595.1, XP_011169597.1	XP_017797313.1
OG0000807	XP_011161813.1, XP_011161815.1, XP_011161814.1	XP_017792601.1, XP_017792600.1
OG0000808	XP_025993559.1	XP_017793900.1
OG0000809	XP_025990549.1, XP_039304796.1	XP_017795579.1
OG0000810	XP_039302094.1, XP_011162024.2, XP_011162023.2	XP_017791353.1, XP_017791352.1
OG0000811	XP_011168281.1, XP_011168282.1	XP_017790591.1
OG0000812	XP_011172218.1	XP_017794184.1
OG0000813	XP_025994548.1, XP_039313899.1	XP_017798434.1
OG0000814	XP_011170174.1, XP_039315469.1	XP_017795341.1
OG0000815	XP_011159180.2, XP_011159181.1	XP_017799353.1, XP_017799352.1, XP_017799351.1, XP_017799349.1, XP_017799350.1
OG0000816	XP_011160544.1	XP_017789819.1
OG0000817	XP_025987139.1	XP_017788607.1
OG0000818	XP_039312944.1	XP_017791753.1, XP_017791754.1
OG0000819	XP_039311826.1, XP_039311828.1	XP_017796342.1, XP_017796340.1
OG0000820	XP_039301687.1	XP_017796776.1, XP_017796777.1, XP_017796779.1, XP_017796778.1, XP_017796780.1
OG0000821	XP_025995382.1	XP_017790091.1
OG0000822	XP_025991295.2	XP_017794541.1
OG0000823	XP_011160880.1	XP_017793114.1
OG0000824	XP_025993701.2	XP_017797967.1
OG0000824	XP_039305933.1	XP_017791560.1
OG0000825	XP_039306488.1, XP_039306489.1, XP_039307020.1, XP_011171356.2, XP_011171353.1	XP_017794330.1
OG0000826	XP_039304012.1, XP_011159412.1, XP_011159413.1, XP_011159411.1	XP_017790818.1
OG0000827	XP_039308960.1, XP_039308963.1	XP_017793877.1
OG0000828	XP_039315579.1	XP_017789131.1
OG0000829	XP_011162079.1, XP_011162078.1	XP_017791408.1
OG0000830	XP_011168523.1, XP_011168522.1, XP_011168521.1	XP_017789464.1
OG0000831	XP_039310174.1	XP_017794412.1
OG0000832	XP_039308938.1	XP_017792701.1
OG0000833	XP_025988976.2, XP_025988982.2, XP_025988988.2	XP_017787665.1
OG0000834	XP_039309993.1, XP_011160982.1, XP_011160983.1	XP_017794547.1, XP_017794546.1, XP_017794548.1
OG0000835	XP_011164859.1	XP_017791391.1
OG0000836	XP_039308456.1	XP_017787771.1
OG0000837	XP_025991745.1, XP_025991746.1, XP_039308425.1	XP_017791216.1
OG0000838	XP_039307130.1	XP_017798799.1
OG0000839	XP_011164602.1	XP_017793416.1
OG0000840	XP_039314110.1	XP_017792356.1
OG0000841	XP_025987401.1	XP_017789910.1
OG0000842	XP_039304445.1, XP_039304448.1	XP_017790762.1
OG0000843	XP_039313882.1, XP_039313881.1, XP_039313883.1, XP_039313878.1, XP_039313880.1, XP_039313879.1	XP_017792435.1
OG0000844	XP_039310169.1	XP_017787653.1
OG0000845	XP_011158192.2	XP_017794362.1
OG0000846	XP_025988215.1, XP_011168771.1, XP_039303959.1	XP_017789474.1
OG0000849	XP_011156555.1, XP_011163639.1	XP_017795463.1
OG0000850	XP_011159981.1	XP_017794651.1, XP_017794650.1
OG0000851	XP_011158376.1	XP_017791206.1
OG0000852	XP_025986713.2, XP_025986712.2, XP_011158922.2, XP_039305863.1, XP_039305862.1	XP_017788266.1
OG0000853	XP_039313865.1	XP_017798444.1
OG0000854	XP_011158684.1	XP_017796481.1
OG0000855	XP_011176305.1	XP_017788182.1
OG0000856	XP_025989573.1, XP_011172010.2	XP_017791336.1
OG0000857	XP_011163622.1	XP_017797062.1
OG0000858	XP_039309658.1	XP_017794690.1
OG0000858	XP_025997319.1	XP_017788849.1
OG0000859	XP_011168368.1, XP_011168610.1, XP_011168692.1, XP_011168455.1	XP_017799081.1
OG0000860	XP_039308843.1, XP_011168506.1	XP_017789453.1
OG0000861	XP_011158929.2	XP_017788276.1, XP_017788273.1, XP_017788272.1, XP_017788275.1, XP_017788274.1, XP_017788271.1
OG0000862	XP_011175531.2, XP_025988112.2	XP_017797577.1
OG0000863	XP_039302141.1	XP_017791270.1
OG0000864	XP_039314769.1, XP_025988781.2	XP_017788658.1
OG0000865	XP_011169349.1, XP_011169329.1, XP_011169345.1	XP_017792139.1
OG0000867	XP_039309625.1	XP_017795655.1
OG0000868	XP_039310527.1, XP_025993438.1	XP_017787643.1
OG0000869	XP_039308279.1	XP_017794344.1
