Orthogroup	Solenopsis_invicta	Vespa_mandarinia
OG0001092	XP_011166457.1, XP_039306837.1	XP_035728916.1, XP_035728917.1
OG0001093	XP_011169511.1	XP_035737569.1
OG0001094	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1	XP_035721561.1
OG0001095	XP_011158680.1	XP_035733586.1
OG0001096	XP_025993866.1, XP_025993865.1, XP_025993867.1	XP_035719539.1, XP_035719538.1
OG0001097	XP_011171301.1	XP_035731592.1
OG0001098	XP_039314597.1	XP_035718998.1
OG0001099	XP_039311772.1, XP_039311773.1, XP_011159129.1	XP_035735209.1
OG0001100	XP_011166885.1	XP_035729877.1, XP_035723774.1
OG0001101	XP_011169060.1, XP_025986266.1	XP_035727559.1
OG0001102	XP_011173598.1	XP_035744259.1, XP_035744260.1
OG0001103	XP_025992892.1	XP_035718889.1, XP_035718879.1, XP_035718859.1, XP_035718870.1, XP_035718851.1
OG0001104	XP_011165981.1, XP_011165982.1, XP_039310830.1	XP_035740852.1
OG0001105	XP_011158662.1	XP_035717778.1
OG0001106	XP_039306727.1, XP_011171425.1	XP_035737972.1, XP_035737963.1
OG0001107	XP_011171628.1	XP_035734651.1
OG0001108	XP_011175804.1	XP_035740396.1
OG0001109	XP_025997087.1	XP_035743539.1, XP_035743540.1, XP_035743542.1, XP_035743543.1
OG0001110	XP_039305008.1, XP_025987622.2	XP_035730071.1
OG0001111	XP_011167411.1	XP_035729758.1
OG0001112	XP_025997156.1	XP_035730698.1, XP_035730700.1
OG0001113	XP_011155666.1	XP_035737179.1
OG0001114	XP_039308544.1	XP_035721968.1
OG0001115	XP_025987003.1	XP_035717424.1, XP_035717425.1, XP_035717423.1, XP_035717422.1, XP_035717421.1
OG0001116	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1	XP_035724249.1, XP_035724250.1
OG0001117	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1	XP_035719019.1
OG0001118	XP_011170731.1, XP_011170733.1, XP_011170732.1	XP_035726408.1, XP_035726409.1
OG0001119	XP_025989072.1	XP_035717623.1, XP_035717612.1
OG0001120	XP_039302541.1	XP_035717233.1
OG0001120	XP_039302542.1	XP_035741137.1
OG0001121	XP_025991526.1, XP_039307815.1	XP_035730111.1
OG0001122	XP_011155854.1	XP_035725779.1
OG0001123	XP_025989167.1, XP_025989166.1	XP_035736049.1
OG0001124	XP_011163637.1, XP_011163636.1	XP_035718191.1
OG0001125	XP_039310854.1, XP_025992661.2	XP_035719604.1, XP_035719593.1, XP_035719583.1
OG0001126	XP_011166887.2, XP_025985954.2	XP_035724958.1
OG0001128	XP_011163428.1	XP_035738056.1
OG0001129	XP_011156357.1, XP_039307593.1	XP_035724905.1, XP_035724906.1, XP_035724908.1
OG0001130	XP_025986574.2, XP_011161459.2, XP_039310703.1	XP_035736404.1
OG0001131	XP_039301948.1	XP_035729170.1
OG0001132	XP_011163174.1	XP_035728741.1, XP_035728742.1, XP_035728743.1
OG0001134	XP_011160255.1, XP_011160257.1, XP_025992574.1	XP_035732142.1, XP_035732141.1, XP_035732137.1
OG0001135	XP_039313398.1	XP_035738680.1
OG0001136	XP_011175151.1	XP_035738165.1, XP_035738175.1, XP_035738139.1, XP_035738129.1, XP_035738184.1, XP_035738146.1, XP_035738153.1, XP_035738200.1, XP_035738190.1
OG0001137	XP_011157895.1, XP_025995386.1	XP_035721153.1
OG0001138	XP_011168199.1	XP_035718404.1, XP_035718403.1, XP_035718405.1
OG0001139	XP_025993909.2	XP_035743683.1
OG0001140	XP_011165958.1	XP_035723718.1, XP_035723719.1, XP_035723150.1
OG0001141	XP_025995593.1	XP_035721589.1
OG0001142	XP_011155375.3	XP_035739334.1, XP_035739333.1, XP_035739332.1
OG0001143	XP_011169579.1	XP_035722580.1, XP_035722579.1
OG0001144	XP_011166007.2	XP_035728244.1
OG0001145	XP_011168245.2	XP_035732592.1, XP_035732591.1, XP_035732594.1
OG0001146	XP_039308020.1, XP_011157448.1, XP_039308018.1	XP_035719086.1
OG0001147	XP_011166309.1	XP_035729583.1
OG0001148	XP_011172034.1	XP_035732530.1, XP_035732531.1, XP_035732529.1
OG0001149	XP_039312701.1, XP_011169138.1	XP_035742583.1, XP_035742582.1, XP_035742581.1, XP_035742580.1
OG0001150	XP_039310944.1	XP_035720889.1, XP_035720888.1, XP_035720887.1
OG0001151	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1	XP_035739335.1
OG0001152	XP_011159091.2	XP_035738354.1
OG0001153	XP_025989988.2	XP_035729654.1
OG0001153	XP_039312520.1	XP_035729655.1
OG0001154	XP_039304154.1, XP_039304148.1	XP_035743121.1, XP_035743113.1
OG0001155	XP_011172072.1, XP_039302712.1	XP_035726229.1
OG0001156	XP_011159299.2	XP_035718475.1
OG0001157	XP_011157466.1, XP_039303668.1, XP_039303663.1	XP_035717435.1
OG0001158	XP_025991651.1	XP_035743272.1, XP_035743271.1, XP_035743270.1, XP_035743269.1
OG0001159	XP_011167339.1	XP_035723877.1
OG0001160	XP_039311819.1	XP_035743629.1, XP_035743630.1, XP_035743627.1, XP_035743628.1
OG0001161	XP_011167380.1	XP_035717196.1
OG0001161	XP_011156243.2	XP_035722667.1
OG0001162	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1	XP_035730787.1
OG0001163	XP_011161732.3	XP_035717486.1, XP_035717485.1, XP_035717484.1
OG0001164	XP_039312072.1, XP_025992020.1, XP_011169634.1, XP_011169630.1, XP_011169631.1, XP_011169633.1	XP_035737579.1, XP_035737578.1
OG0001165	XP_025985971.2	XP_035717866.1
OG0001166	XP_011168537.1, XP_011168538.1	XP_035735494.1
OG0001167	XP_011156104.1	XP_035734228.1, XP_035734229.1, XP_035734230.1, XP_035734227.1
OG0001168	XP_011176352.1	XP_035742154.1, XP_035742153.1, XP_035742152.1, XP_035742151.1
OG0001169	XP_039306262.1, XP_039306261.1, XP_011157746.1	XP_035720934.1
OG0001170	XP_011162655.1	XP_035729413.1
OG0001171	XP_025994529.1	XP_035729576.1
OG0001171	XP_025994523.1	XP_035729572.1
OG0001172	XP_025987963.1, XP_025987960.1	XP_035719625.1, XP_035719632.1
OG0001173	XP_011158513.2, XP_039310526.1	XP_035736818.1
OG0001174	XP_011161987.1	XP_035723706.1
OG0001175	XP_025993082.1	XP_035721083.1
OG0001176	XP_039302580.1, XP_039302579.1, XP_039302581.1	XP_035720195.1, XP_035720196.1, XP_035720191.1
OG0001179	XP_039304562.1	XP_035733749.1
OG0001180	XP_011167997.1, XP_025990282.1	XP_035733356.1, XP_035733411.1
OG0001181	XP_011156355.1, XP_039307596.1	XP_035742099.1
OG0001182	XP_039305887.1, XP_039305890.1	XP_035734403.1, XP_035734404.1, XP_035734399.1, XP_035734400.1, XP_035734401.1, XP_035734402.1
OG0001183	XP_025990516.1	XP_035734638.1, XP_035734647.1
OG0001184	XP_011156884.2, XP_039307254.1	XP_035723556.1, XP_035723559.1
OG0001185	XP_039312820.1	XP_035735384.1
OG0001186	XP_011175807.1	XP_035740406.1, XP_035740405.1
OG0001187	XP_011172004.1, XP_011172006.1	XP_035723203.1
OG0001188	XP_011163748.1	XP_035724460.1
OG0001189	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1	XP_035726769.1, XP_035726770.1
OG0001190	XP_025987355.2	XP_035742460.1, XP_035742461.1, XP_035742464.1, XP_035742463.1
OG0001191	XP_025993238.1	XP_035737087.1
OG0001193	XP_011173460.1	XP_035742520.1
OG0001195	XP_025985837.1, XP_011166782.1, XP_011166783.1	XP_035742307.1
OG0001197	XP_011157457.1	XP_035729063.1
OG0001197	XP_025987979.1, XP_011157456.1	XP_035729061.1
OG0001198	XP_039314770.1	XP_035727541.1
OG0001199	XP_011172415.1	XP_035730038.1
OG0001201	XP_011162101.2	XP_035720695.1
OG0001202	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1	XP_035737501.1, XP_035737654.1
OG0001203	XP_039310696.1, XP_011163743.2	XP_035732539.1
OG0001204	XP_025991982.1	XP_035736751.1
OG0001205	XP_039314810.1	XP_035735201.1
OG0001205	XP_039303835.1	XP_035728105.1
OG0001206	XP_011156167.1	XP_035721058.1, XP_035721056.1
OG0001207	XP_011156545.1, XP_039302232.1	XP_035726296.1, XP_035726297.1, XP_035726293.1, XP_035726292.1, XP_035726291.1, XP_035726294.1, XP_035726295.1
OG0001208	XP_011170339.1	XP_035717137.1, XP_035717138.1, XP_035717139.1, XP_035717134.1, XP_035717135.1, XP_035717136.1
OG0001209	XP_011172048.1	XP_035717107.1, XP_035743441.1, XP_035718003.1, XP_035718868.1
OG0001210	XP_039314706.1, XP_039315003.1	XP_035740652.1
OG0001210	XP_039307930.1, XP_011165372.2, XP_039315002.1, XP_039315004.1, XP_039307520.1	XP_035740654.1
OG0001211	XP_039305023.1, XP_039305022.1	XP_035729324.1
OG0001212	XP_039309508.1	XP_035720173.1, XP_035720172.1, XP_035720171.1, XP_035720177.1, XP_035720176.1, XP_035720175.1
OG0001214	XP_011160964.2	XP_035734780.1
OG0001215	XP_039312900.1	XP_035724049.1, XP_035724048.1
OG0001216	XP_011172216.1	XP_035738838.1, XP_035738833.1
OG0001217	XP_011175935.1, XP_039308277.1, XP_011175936.1	XP_035721739.1
OG0001218	XP_011166690.1, XP_011166689.1, XP_039301873.1	XP_035726474.1, XP_035726511.1
OG0001219	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1	XP_035731471.1, XP_035731469.1
OG0001220	XP_011169281.1, XP_039302204.1	XP_035729813.1
OG0001221	XP_025992507.1	XP_035719054.1, XP_035719063.1, XP_035719072.1
OG0001222	XP_011164688.1, XP_011164686.1, XP_011164689.1	XP_035729641.1
OG0001223	XP_011164227.1	XP_035719573.1
OG0001224	XP_011159507.1	XP_035731261.1, XP_035731263.1
OG0001225	XP_011164828.1	XP_035723474.1
OG0001226	XP_011166465.1	XP_035733702.1
OG0001228	XP_025987277.1, XP_039314353.1	XP_035739581.1
OG0001229	XP_039305870.1	XP_035729505.1, XP_035742768.1, XP_035739248.1
OG0001230	XP_011169142.1	XP_035719854.1
OG0001231	XP_011158057.1	XP_035727566.1
OG0001232	XP_011166300.1	XP_035719153.1, XP_035719155.1, XP_035719154.1, XP_035719156.1
OG0001233	XP_011170934.1, XP_039302501.1	XP_035728274.1
OG0001234	XP_011161472.2	XP_035724023.1, XP_035724016.1, XP_035724007.1, XP_035724035.1, XP_035724032.1
OG0001236	XP_039312471.1, XP_011161524.1	XP_035724404.1
OG0001237	XP_039311173.1, XP_039310827.1	XP_035722087.1, XP_035722090.1, XP_035722088.1, XP_035722089.1, XP_035722084.1, XP_035722086.1
OG0001238	XP_025993336.1, XP_039304779.1	XP_035728512.1, XP_035728521.1
OG0001239	XP_025995034.1	XP_035740535.1, XP_035740534.1, XP_035740533.1
OG0001240	XP_011165534.1	XP_035725027.1
OG0001241	XP_011172347.1, XP_011172352.1	XP_035723547.1
OG0001242	XP_011163952.2	XP_035726177.1, XP_035726176.1, XP_035726178.1
OG0001243	XP_039308191.1, XP_025992363.2, XP_025992362.2, XP_025992361.2	XP_035718370.1, XP_035718371.1, XP_035718372.1
OG0001244	XP_011168503.1	XP_035738850.1
OG0001245	XP_025988274.1	XP_035737673.1, XP_035737672.1, XP_035737671.1, XP_035737674.1, XP_035737675.1
OG0001246	XP_039303840.1, XP_025988269.1, XP_011168731.1	XP_035737565.1, XP_035737563.1, XP_035737561.1, XP_035737564.1, XP_035737562.1
OG0001247	XP_011164739.2	XP_035725765.1
OG0001248	XP_039304594.1	XP_035735325.1
OG0001249	XP_039309218.1	XP_035735407.1, XP_035735406.1, XP_035735405.1
OG0001250	XP_011164364.2	XP_035743373.1, XP_035743374.1, XP_035743370.1, XP_035743372.1
OG0001252	XP_039314807.1	XP_035728678.1
OG0001253	XP_025995063.2	XP_035735474.1
OG0001254	XP_011168604.1	XP_035739927.1
OG0001255	XP_039314922.1, XP_025987255.1	XP_035722007.1
OG0001256	XP_025988913.1	XP_035742831.1
OG0001257	XP_011160876.1, XP_025994228.1	XP_035728567.1, XP_035728568.1, XP_035728570.1, XP_035728569.1
OG0001258	XP_025987582.1, XP_011173619.1	XP_035725333.1
OG0001259	XP_011164223.1	XP_035724075.1
OG0001259	XP_011164216.2	XP_035724070.1
OG0001260	XP_039304059.1	XP_035727987.1
OG0001260	XP_011166201.1	XP_035727983.1
OG0001261	XP_011160516.2	XP_035728087.1
OG0001262	XP_011164195.1	XP_035724983.1, XP_035724982.1
OG0001263	XP_011170503.1	XP_035731867.1, XP_035731862.1, XP_035731863.1, XP_035731864.1, XP_035731866.1
OG0001264	XP_011165039.1	XP_035729267.1, XP_035729266.1, XP_035729268.1
OG0001265	XP_039315308.1	XP_035743256.1
OG0001267	XP_011163983.1, XP_039308646.1, XP_025994469.1, XP_039308643.1	XP_035718937.1
OG0001268	XP_025989285.1	XP_035725305.1, XP_035725304.1
OG0001269	XP_039315133.1, XP_025994739.1	XP_035730718.1, XP_035730720.1
OG0001270	XP_011157222.1	XP_035732803.1, XP_035732802.1, XP_035732801.1, XP_035732800.1
OG0001271	XP_039313271.1	XP_035732504.1
OG0001272	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1	XP_035724189.1
OG0001273	XP_025987733.1	XP_035719773.1, XP_035719772.1, XP_035719770.1
OG0001274	XP_011170905.2, XP_011173464.2	XP_035720662.1, XP_035720661.1
OG0001275	XP_011164629.1, XP_025990967.2	XP_035735154.1, XP_035735153.1
OG0001277	XP_025989192.1	XP_035739371.1, XP_035739372.1, XP_035739369.1, XP_035739370.1, XP_035739367.1, XP_035739368.1, XP_035739365.1, XP_035739366.1, XP_035739364.1, XP_035739373.1
OG0001278	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1	XP_035718527.1, XP_035718526.1, XP_035718525.1, XP_035718528.1
OG0001279	XP_039311659.1, XP_011163520.1, XP_039311656.1	XP_035727026.1, XP_035727025.1, XP_035727031.1, XP_035727032.1
OG0001280	XP_011168647.1	XP_035744237.1, XP_035744236.1, XP_035744235.1
OG0001281	XP_011171013.1, XP_011171012.1	XP_035737905.1
OG0001282	XP_011163529.2	XP_035720417.1, XP_035720418.1, XP_035720420.1, XP_035720419.1, XP_035720421.1
OG0001283	XP_039309473.1, XP_039309472.1	XP_035739286.1, XP_035739285.1, XP_035739284.1
OG0001284	XP_011159268.2	XP_035734609.1, XP_035734611.1
OG0001285	XP_039312468.1	XP_035740325.1, XP_035742598.1, XP_035722529.1
OG0001286	XP_011175133.1	XP_035743126.1
OG0001287	XP_011165494.2, XP_039307430.1, XP_011165491.2, XP_025986183.2	XP_035729932.1, XP_035729930.1, XP_035729935.1, XP_035729939.1
OG0001288	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1	XP_035744139.1
OG0001289	XP_011162420.1	XP_035718903.1, XP_035718904.1, XP_035718901.1, XP_035718899.1, XP_035718900.1, XP_035718898.1
OG0001290	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1	XP_035732080.1
OG0001291	XP_025995978.1, XP_039315524.1	XP_035739775.1, XP_035739774.1, XP_035739777.1, XP_035739776.1, XP_035739773.1, XP_035739781.1, XP_035739779.1, XP_035739778.1
OG0001292	XP_039312474.1	XP_035740631.1, XP_035740630.1, XP_035740629.1, XP_035740628.1
OG0001293	XP_011160608.1	XP_035719793.1
OG0001294	XP_011166902.1	XP_035736216.1
OG0001295	XP_025988763.2, XP_011172182.2, XP_039313063.1	XP_035732764.1
OG0001298	XP_025991722.1	XP_035732584.1, XP_035732585.1, XP_035732582.1, XP_035732583.1
OG0001299	XP_011155329.2	XP_035727772.1
OG0001300	XP_039308336.1, XP_011176356.1	XP_035719088.1, XP_035719087.1
OG0001301	XP_039313098.1	XP_035721452.1, XP_035721453.1, XP_035721454.1, XP_035721456.1, XP_035721455.1, XP_035721457.1
OG0001302	XP_039305041.1	XP_035717663.1
OG0001303	XP_011162751.2, XP_025993208.2	XP_035737788.1, XP_035737782.1
OG0001304	XP_039303726.1, XP_011169416.1	XP_035731088.1, XP_035731087.1
OG0001306	XP_039311745.1, XP_025993252.1	XP_035725748.1
OG0001307	XP_025992202.1, XP_025992201.1, XP_039304075.1	XP_035739052.1, XP_035739051.1, XP_035739043.1
OG0001308	XP_011164101.2	XP_035719094.1, XP_035719093.1, XP_035719092.1, XP_035719091.1, XP_035719096.1
OG0001310	XP_011175922.1	XP_035743105.1
OG0001312	XP_011169654.1	XP_035725122.1
OG0001313	XP_011168031.1	XP_035742168.1
OG0001314	XP_025987160.1, XP_025987159.1	XP_035725375.1
OG0001315	XP_039307094.1, XP_039307090.1, XP_039307091.1	XP_035728566.1
OG0001316	XP_011165521.1, XP_011165520.1, XP_039307433.1	XP_035743974.1
OG0001317	XP_039305014.1, XP_011169093.1	XP_035735882.1
OG0001318	XP_039306228.1, XP_011159820.1	XP_035742971.1
OG0001320	XP_011175003.1	XP_035726547.1, XP_035726469.1, XP_035726632.1
OG0001321	XP_039304469.1	XP_035722318.1, XP_035722316.1
OG0001322	XP_025995334.2, XP_025995333.2	XP_035724644.1
OG0001323	XP_039313975.1	XP_035742444.1
OG0001328	XP_011171298.1, XP_011171300.1, XP_039307149.1	XP_035731698.1, XP_035731696.1, XP_035731697.1, XP_035731700.1, XP_035731701.1, XP_035731699.1
OG0001329	XP_025994744.1	XP_035721000.1, XP_035720999.1
OG0001330	XP_011173423.1	XP_035731423.1
OG0001331	XP_011159081.1, XP_011155677.1	XP_035742340.1
OG0001332	XP_011161127.1	XP_035741316.1
OG0001333	XP_011161667.1	XP_035728809.1, XP_035728808.1
OG0001334	XP_039314193.1	XP_035744111.1
OG0001335	XP_011176244.1, XP_025994143.1	XP_035728151.1, XP_035728152.1, XP_035728155.1
OG0001337	XP_011172356.1	XP_035729631.1
OG0001338	XP_011156305.1	XP_035736800.1
OG0001339	XP_011170919.1	XP_035717770.1, XP_035717329.1, XP_035717330.1, XP_035717331.1
OG0001340	XP_011157400.1, XP_039302773.1	XP_035733304.1
OG0001341	XP_011160584.3	XP_035719768.1, XP_035719767.1
OG0001342	NP_001291521.1, XP_011158641.1	XP_035730554.1
OG0001343	XP_039315305.1, XP_039305231.1	XP_035735794.1, XP_035735796.1
OG0001344	XP_025988540.1	XP_035743053.1
OG0001345	XP_011159425.1	XP_035724254.1
OG0001346	XP_025986739.2	XP_035743533.1
OG0001347	XP_011162367.1	XP_035721417.1
OG0001348	XP_025994333.2	XP_035739297.1, XP_035739295.1, XP_035739294.1, XP_035739292.1, XP_035739291.1, XP_035739293.1, XP_035739289.1, XP_035739296.1
OG0001349	XP_011156749.1, XP_011156750.1	XP_035737275.1
OG0001350	XP_011167785.1, XP_039304006.1, XP_025991063.1	XP_035728041.1
OG0001351	XP_011166906.1	XP_035736225.1
OG0001352	XP_039302099.1, XP_039302098.1, XP_011156572.1, XP_025991200.1	XP_035726719.1
OG0001353	XP_011166239.1, XP_025988594.1	XP_035733802.1, XP_035733803.1, XP_035733801.1
OG0001354	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1	XP_035719802.1
OG0001355	XP_011168669.1, XP_039306977.1	XP_035742236.1, XP_035742247.1
OG0001356	XP_025993681.1	XP_035719999.1, XP_035720001.1, XP_035720000.1, XP_035720002.1
OG0001357	XP_011156200.1	XP_035725865.1
OG0001358	XP_011164657.3	XP_035729894.1, XP_035729906.1, XP_035729897.1, XP_035729889.1
OG0001359	XP_011155735.1	XP_035724375.1
OG0001360	XP_011156183.1	XP_035739277.1, XP_035739279.1, XP_035739278.1
OG0001361	XP_039303850.1, XP_011159643.2, XP_039303852.1	XP_035731418.1
OG0001362	XP_011166065.1	XP_035719686.1
OG0001363	XP_011164426.1	XP_035734648.1
OG0001364	XP_025992935.1	XP_035732915.1, XP_035732913.1, XP_035732914.1
OG0001365	XP_011156369.2	XP_035743429.1
OG0001366	XP_011170837.1	XP_035728562.1
OG0001368	XP_039306221.1, XP_025986501.1	XP_035717255.1
OG0001369	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1	XP_035733443.1
OG0001370	XP_025990425.1, XP_011162934.1, XP_025990426.1	XP_035721187.1
OG0001371	XP_011175761.2	XP_035738382.1
OG0001373	XP_011168414.1	XP_035723967.1, XP_035723978.1
OG0001374	XP_011166756.2	XP_035723692.1, XP_035723693.1
OG0001375	XP_011167128.1	XP_035737885.1
OG0001375	XP_011167127.1	XP_035737859.1
OG0001376	XP_039306070.1	XP_035740431.1, XP_035740426.1, XP_035740429.1, XP_035740430.1, XP_035740425.1, XP_035740427.1
OG0001377	XP_011176400.1, XP_011176401.1	XP_035735132.1
OG0001378	XP_011164716.1	XP_035725634.1
OG0001379	XP_011155491.1	XP_035737881.1, XP_035737880.1
OG0001380	XP_025994567.1	XP_035740772.1, XP_035740773.1, XP_035740774.1
OG0001382	XP_039313566.1, XP_039313567.1, XP_039313568.1	XP_035730370.1
OG0001383	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1	XP_035724036.1
OG0001384	XP_011163732.1, XP_025990206.1	XP_035726968.1
OG0001386	XP_025989972.1	XP_035740449.1
OG0001387	XP_011171595.1	XP_035732545.1
OG0001388	XP_039309574.1	XP_035734878.1
OG0001389	XP_039305597.1	XP_035733912.1, XP_035733919.1
OG0001390	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2	XP_035742117.1
OG0001391	XP_011161215.1, XP_039308652.1	XP_035730076.1
OG0001392	XP_025993442.2	XP_035737019.1, XP_035737028.1
OG0001393	XP_011157653.2	XP_035740933.1, XP_035740931.1
OG0001394	XP_039314983.1	XP_035736165.1
OG0001394	XP_011176229.1	XP_035721237.1
OG0001395	XP_011164439.1, XP_025993826.1	XP_035719472.1
OG0001396	XP_025993663.2	XP_035725824.1, XP_035725825.1
OG0001397	XP_011172906.1	XP_035744070.1
OG0001398	XP_025990535.1	XP_035742426.1
OG0001399	XP_025993541.2	XP_035717850.1
OG0001400	XP_025993881.1	XP_035741628.1
OG0001401	XP_011170086.1	XP_035737949.1
OG0001402	XP_011163539.1	XP_035742995.1
OG0001403	XP_039310380.1	XP_035731217.1, XP_035731212.1
OG0001404	XP_011156235.1	XP_035730874.1, XP_035730875.1, XP_035730873.1, XP_035730876.1
OG0001405	XP_039304316.1	XP_035729574.1
OG0001406	XP_011159875.1, XP_011159874.1	XP_035731719.1
OG0001407	XP_025996674.2, XP_025996673.2, XP_039307890.1	XP_035733314.1
OG0001408	XP_011157143.1	XP_035719033.1
OG0001409	XP_025988890.2	XP_035719541.1, XP_035719544.1
OG0001410	XP_011164802.1	XP_035732860.1
OG0001412	XP_039304946.1	XP_035742548.1
OG0001413	XP_011169177.2, XP_011169180.2	XP_035740982.1
OG0001414	XP_011156102.1	XP_035724862.1, XP_035724860.1
OG0001415	XP_011168452.2	XP_035728554.1, XP_035728552.1
OG0001416	XP_011156599.2, XP_039307071.1	XP_035736479.1
OG0001417	XP_011159626.1, XP_011159625.1, XP_039303854.1	XP_035742298.1, XP_035742299.1, XP_035742301.1, XP_035742297.1
OG0001418	XP_025988310.1	XP_035733747.1
OG0001419	XP_025990704.1, XP_025990698.1	XP_035724786.1, XP_035724778.1
OG0001420	XP_039305246.1, XP_039305245.1	XP_035733386.1
OG0001421	XP_011157717.1	XP_035720527.1
OG0001422	XP_011168866.3	XP_035743214.1
OG0001423	XP_039301682.1	XP_035722660.1
OG0001424	XP_025988061.1, XP_011175495.1	XP_035729820.1, XP_035729819.1, XP_035729816.1, XP_035729818.1
OG0001425	XP_011161576.1	XP_035726568.1, XP_035726572.1
OG0001426	XP_039309524.1	XP_035732107.1
OG0001427	XP_011175988.1	XP_035725975.1
OG0001428	XP_011169585.1, XP_011169577.1	XP_035734486.1
OG0001429	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1	XP_035728983.1
OG0001430	XP_011164676.1, XP_039308732.1, XP_039302689.1, XP_039302690.1, XP_039302692.1, XP_039302691.1, XP_025991973.2, XP_039307943.1, XP_039307372.1, XP_039308068.1, XP_039307944.1, XP_011164674.1, XP_011164678.1, XP_011164680.2, XP_011164681.2	XP_035729828.1
OG0001433	XP_025994189.2	XP_035738907.1
OG0001434	XP_011159065.1	XP_035726809.1, XP_035727180.1, XP_035726835.1, XP_035726805.1, XP_035726807.1, XP_035727336.1, XP_035726800.1, XP_035726801.1, XP_035726803.1, XP_035726828.1
OG0001436	XP_011175197.1	XP_035735687.1
OG0001437	XP_011172011.1	XP_035723764.1, XP_035723763.1
OG0001438	XP_025987016.1	XP_035741297.1
OG0001439	XP_039303757.1, XP_039303753.1, XP_039303755.1, XP_039303756.1, XP_039303754.1	XP_035724865.1
OG0001440	XP_039301796.1	XP_035718674.1, XP_035718673.1
OG0001441	XP_025995051.1, XP_011164726.1	XP_035719956.1
OG0001442	XP_039304061.1	XP_035733993.1
OG0001443	XP_039302720.1, XP_039302721.1	XP_035739105.1
OG0001445	XP_011167441.1	XP_035724530.1, XP_035724531.1, XP_035724532.1
OG0001446	XP_011169573.2	XP_035722938.1
OG0001448	XP_039312922.1, XP_011173898.1	XP_035719527.1, XP_035719526.1, XP_035719525.1, XP_035719524.1
OG0001449	XP_011164180.2, XP_011164179.2, XP_011164181.2	XP_035734028.1, XP_035734027.1, XP_035734026.1
OG0001450	XP_011167782.1, XP_039304005.1	XP_035728036.1, XP_035728035.1, XP_035728034.1, XP_035728037.1
OG0001451	XP_011168974.1	XP_035743610.1
OG0001453	XP_011166027.1, XP_039311081.1	XP_035723822.1
OG0001455	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1	XP_035719144.1, XP_035719145.1, XP_035743387.1, XP_035743397.1
OG0001456	XP_039314390.1, XP_011160138.1	XP_035728539.1
OG0001457	XP_011156838.1	XP_035744061.1
OG0001458	XP_039313170.1, XP_039313172.1, XP_039313171.1	XP_035732938.1, XP_035732935.1, XP_035732936.1, XP_035732932.1, XP_035732934.1, XP_035732937.1
OG0001459	XP_039314602.1	XP_035743512.1
OG0001460	XP_011168563.1	XP_035725939.1, XP_035725937.1, XP_035725936.1, XP_035725935.1, XP_035725938.1
OG0001461	XP_011166122.1	XP_035732071.1, XP_035732072.1
OG0001462	XP_039313168.1	XP_035732320.1
OG0001463	XP_039314506.1	XP_035722487.1
OG0001464	XP_011175504.1	XP_035734328.1, XP_035734326.1
OG0001465	XP_039302626.1, XP_011172138.1, XP_011172139.1	XP_035728604.1
OG0001466	XP_011164329.1, XP_025988877.1	XP_035743143.1
OG0001467	XP_011171584.1, XP_011171583.1	XP_035743437.1
OG0001468	XP_011168738.1	XP_035725733.1, XP_035726768.1
OG0001469	XP_025992793.1	XP_035740153.1
OG0001470	XP_025996653.1	XP_035732679.1
OG0001471	XP_011168758.1	XP_035741273.1
OG0001472	XP_011171029.1	XP_035737419.1
OG0001473	XP_025987889.2	XP_035734940.1
OG0001474	XP_011163536.1	XP_035739077.1
OG0001475	XP_011165353.1	XP_035717856.1
OG0001476	XP_011170458.2	XP_035731880.1
OG0001477	XP_025990076.1	XP_035740878.1, XP_035740881.1, XP_035740880.1, XP_035740879.1
OG0001478	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1	XP_035743449.1
OG0001479	XP_011171853.1	XP_035732480.1
