Orthogroup	Solenopsis_invicta	Eufriesea_mexicana
OG0001041	XP_025988910.1, XP_025988911.1, XP_011164254.1, XP_039301989.1	XP_017758940.1
OG0001042	XP_025996045.1, XP_025996043.1, XP_025996044.1, XP_025996042.1	XP_017766417.1, XP_017766416.1
OG0001043	XP_011166024.2, XP_025992543.2	XP_017762827.1
OG0001044	XP_011169612.1, XP_011169610.1	XP_017756235.1
OG0001045	XP_011162672.2	XP_017763075.1
OG0001046	XP_011162026.1, XP_025987025.1, XP_011162025.1	XP_017767132.1, XP_017767127.1
OG0001048	XP_039305995.1	XP_017757794.1, XP_017757790.1, XP_017757792.1, XP_017757793.1
OG0001049	XP_011166480.1, XP_011166481.1	XP_017758906.1, XP_017758904.1
OG0001050	XP_011159776.1	XP_017754865.1
OG0001050	XP_011159778.1	XP_017754866.1
OG0001051	XP_039312332.1	XP_017761912.1
OG0001052	XP_011160586.1	XP_017755618.1
OG0001054	XP_039313698.1, XP_039313699.1	XP_017754649.1
OG0001055	XP_011157954.1	XP_017766546.1, XP_017766548.1, XP_017766547.1, XP_017766549.1
OG0001056	XP_039301672.1, XP_011167342.1	XP_017754483.1
OG0001057	XP_025992790.1, XP_011155465.1	XP_017757527.1
OG0001058	XP_025991914.2	XP_017760052.1, XP_017760051.1
OG0001059	XP_011155850.2	XP_017760755.1
OG0001059	XP_025992160.1	XP_017756946.1
OG0001060	XP_011163616.1	XP_017760067.1
OG0001061	XP_011161404.1	XP_017767375.1, XP_017767376.1, XP_017767378.1
OG0001062	XP_011159512.1	XP_017759675.1, XP_017761781.1
OG0001063	XP_039313025.1	XP_017756576.1
OG0001064	XP_025994664.2	XP_017762679.1, XP_017763583.1
OG0001065	XP_025993227.1, XP_025993228.1	XP_017764749.1, XP_017764748.1
OG0001066	XP_025991457.2, XP_039307737.1	XP_017760959.1
OG0001067	XP_025986088.2	XP_017763431.1
OG0001068	XP_011164046.1, XP_039309169.1	XP_017754412.1, XP_017754418.1
OG0001069	XP_039301790.1, XP_011161238.2	XP_017752581.1
OG0001070	XP_039310287.1, XP_039307351.1, XP_025993526.1, XP_039307349.1	XP_017764856.1
OG0001071	XP_025992820.1	XP_017763246.1
OG0001072	XP_039311109.1	XP_017766545.1, XP_017766528.1
OG0001073	XP_011166357.1	XP_017758851.1
OG0001073	XP_011166496.2	XP_017758850.1
OG0001074	XP_011159283.1, XP_011159282.2	XP_017767098.1
OG0001075	XP_025990833.2	XP_017763954.1
OG0001076	XP_011159538.1	XP_017756524.1
OG0001077	XP_011170429.1, XP_011170430.1, XP_011170428.1	XP_017752925.1
OG0001078	XP_025986036.1, XP_025986037.1, XP_011166956.1, XP_039308895.1	XP_017766228.1
OG0001079	XP_025991664.1, XP_011159694.1	XP_017752791.1, XP_017752783.1
OG0001082	XP_011172611.1, XP_025994767.1	XP_017766001.1
OG0001083	XP_011159372.2	XP_017753915.1, XP_017753923.1, XP_017753931.1, XP_017753939.1, XP_017753911.1
OG0001084	XP_011155352.1, XP_011155351.2	XP_017763182.1
OG0001085	XP_025989431.1, XP_025989433.1	XP_017762950.1
OG0001086	XP_011165624.1	XP_017757152.1, XP_017757159.1
OG0001087	XP_011161180.2, XP_011161179.2	XP_017759953.1, XP_017759955.1, XP_017759954.1, XP_017759956.1
OG0001090	XP_011165641.1	XP_017757172.1
OG0001091	XP_025990318.1	XP_017767631.1, XP_017767632.1
OG0001092	XP_011166457.1, XP_039306837.1	XP_017759231.1
OG0001093	XP_011169511.1	XP_017756464.1, XP_017756469.1, XP_017756467.1, XP_017756468.1, XP_017756466.1, XP_017756465.1
OG0001094	XP_039308804.1, XP_039308803.1, XP_039304718.1, XP_011162536.1, XP_039311022.1, XP_039310600.1, XP_011162537.1	XP_017753063.1
OG0001095	XP_011158680.1	XP_017756324.1, XP_017756323.1
OG0001096	XP_025993866.1, XP_025993865.1, XP_025993867.1	XP_017754620.1, XP_017754622.1, XP_017754621.1
OG0001097	XP_011171301.1	XP_017765382.1
OG0001098	XP_039314597.1	XP_017756180.1
OG0001099	XP_039311772.1, XP_039311773.1, XP_011159129.1	XP_017762899.1
OG0001100	XP_011166885.1	XP_017755978.1, XP_017764002.1
OG0001101	XP_011169060.1, XP_025986266.1	XP_017760694.1
OG0001102	XP_011173598.1	XP_017765866.1, XP_017765867.1
OG0001103	XP_025992892.1	XP_017756049.1, XP_017756048.1
OG0001104	XP_011165981.1, XP_011165982.1, XP_039310830.1	XP_017755271.1
OG0001105	XP_011158662.1	XP_017756366.1
OG0001106	XP_039306727.1, XP_011171425.1	XP_017752757.1
OG0001107	XP_011171628.1	XP_017754924.1, XP_017754925.1
OG0001108	XP_011175804.1	XP_017754928.1
OG0001109	XP_025997087.1	XP_017764160.1
OG0001110	XP_039305008.1, XP_025987622.2	XP_017760751.1
OG0001111	XP_011167411.1	XP_017761134.1
OG0001112	XP_025997156.1	XP_017756774.1, XP_017756775.1
OG0001113	XP_011155666.1	XP_017753680.1
OG0001114	XP_039308544.1	XP_017760047.1, XP_017760046.1
OG0001115	XP_025987003.1	XP_017764320.1
OG0001116	XP_025995356.1, XP_039313579.1, XP_039313578.1, XP_011164317.1	XP_017753625.1
OG0001117	XP_011160593.1, XP_039304729.1, XP_039304728.1, XP_011160592.1	XP_017759039.1
OG0001118	XP_011170731.1, XP_011170733.1, XP_011170732.1	XP_017754730.1
OG0001119	XP_025989072.1	XP_017758958.1
OG0001120	XP_039302541.1	XP_017763329.1
OG0001120	XP_039302542.1	XP_017763342.1, XP_017763348.1
OG0001121	XP_025991526.1, XP_039307815.1	XP_017766061.1
OG0001122	XP_011155854.1	XP_017760821.1
OG0001123	XP_025989167.1, XP_025989166.1	XP_017765779.1
OG0001124	XP_011163637.1, XP_011163636.1	XP_017757848.1
OG0001125	XP_039310854.1, XP_025992661.2	XP_017763868.1
OG0001126	XP_011166887.2, XP_025985954.2	XP_017761760.1
OG0001127	XP_011158552.1, XP_011158551.3	XP_017761583.1, XP_017761563.1
OG0001128	XP_011156523.3	XP_017764374.1
OG0001128	XP_011163428.1	XP_017764372.1
OG0001129	XP_011156357.1, XP_039307593.1	XP_017764033.1, XP_017764028.1
OG0001130	XP_025986574.2, XP_011161459.2, XP_039310703.1	XP_017764628.1
OG0001131	XP_011157851.1	XP_017758641.1
OG0001132	XP_011163174.1	XP_017757246.1
OG0001134	XP_011160255.1, XP_011160257.1, XP_025992574.1	XP_017766771.1, XP_017766772.1, XP_017766769.1
OG0001135	XP_039313398.1	XP_017753512.1
OG0001136	XP_011175151.1	XP_017755475.1
OG0001137	XP_011157895.1, XP_025995386.1	XP_017754329.1
OG0001138	XP_011168199.1	XP_017761932.1, XP_017761930.1
OG0001140	XP_011165958.1	XP_017755999.1, XP_017755993.1
OG0001141	XP_025995593.1	XP_017759511.1
OG0001142	XP_011155375.3	XP_017764439.1, XP_017764436.1
OG0001143	XP_011169579.1	XP_017767420.1
OG0001144	XP_011166007.2	XP_017758161.1
OG0001145	XP_011168245.2	XP_017758787.1
OG0001146	XP_039308020.1, XP_011157448.1, XP_039308018.1	XP_017755612.1, XP_017755614.1
OG0001147	XP_011166309.1	XP_017763352.1
OG0001148	XP_011172034.1	XP_017754836.1
OG0001149	XP_039312701.1, XP_011169138.1	XP_017760953.1
OG0001150	XP_039310944.1	XP_017763669.1, XP_017763671.1
OG0001151	XP_011167664.1, XP_011167665.1, XP_025993787.1, XP_011167666.1	XP_017754799.1, XP_017754800.1, XP_017754801.1
OG0001152	XP_011159091.2	XP_017767458.1
OG0001153	XP_025989988.2	XP_017754569.1
OG0001153	XP_039312520.1	XP_017754571.1
OG0001154	XP_039304154.1	XP_017753874.1
OG0001154	XP_039304148.1	XP_017753872.1
OG0001155	XP_011172072.1, XP_039302712.1	XP_017754754.1
OG0001156	XP_011159299.2	XP_017758483.1, XP_017758322.1
OG0001157	XP_011157466.1, XP_039303668.1, XP_039303663.1	XP_017753498.1
OG0001158	XP_025991651.1	XP_017753183.1
OG0001159	XP_011167339.1	XP_017762324.1
OG0001160	XP_039311819.1	XP_017759049.1
OG0001161	XP_011167380.1	XP_017760566.1
OG0001161	XP_011156243.2	XP_017760568.1
OG0001162	XP_039303089.1, XP_039303087.1, XP_039303088.1, XP_011169752.1	XP_017753711.1
OG0001163	XP_011161732.3	XP_017759418.1, XP_017759417.1
OG0001164	XP_039312072.1, XP_025992020.1, XP_011169634.1, XP_011169630.1, XP_011169631.1, XP_011169633.1	XP_017759102.1
OG0001166	XP_011168537.1, XP_011168538.1	XP_017757685.1, XP_017757689.1
OG0001167	XP_011156104.1	XP_017764147.1, XP_017764146.1, XP_017764145.1
OG0001168	XP_011176352.1	XP_017758246.1
OG0001169	XP_039306262.1, XP_039306261.1, XP_011157746.1	XP_017767154.1
OG0001170	XP_011162655.1	XP_017755657.1
OG0001171	XP_025994523.1	XP_017764493.1
OG0001172	XP_025987963.1, XP_025987960.1	XP_017753684.1, XP_017753689.1
OG0001173	XP_011158513.2, XP_039310526.1	XP_017759580.1
OG0001174	XP_011161987.1	XP_017764214.1
OG0001175	XP_025993082.1	XP_017753158.1
OG0001176	XP_039302580.1, XP_039302579.1, XP_039302581.1	XP_017754757.1
OG0001177	XP_039306182.1, XP_039315302.1, XP_039312411.1, XP_011171540.1	XP_017759032.1
OG0001179	XP_039304562.1	XP_017758372.1, XP_017758373.1
OG0001180	XP_011167997.1, XP_025990282.1	XP_017763909.1, XP_017763913.1
OG0001181	XP_011156355.1, XP_039307596.1	XP_017764001.1
OG0001182	XP_039305887.1, XP_039305890.1	XP_017764459.1
OG0001183	XP_025990516.1	XP_017767062.1, XP_017767055.1
OG0001184	XP_011156884.2, XP_039307254.1	XP_017759450.1
OG0001185	XP_039312820.1	XP_017758686.1
OG0001186	XP_011175807.1	XP_017754949.1
OG0001187	XP_011172004.1, XP_011172006.1	XP_017764517.1
OG0001188	XP_011163748.1	XP_017761224.1
OG0001189	XP_039313493.1, XP_039313495.1, XP_039313487.1, XP_025986851.1, XP_039313496.1	XP_017760632.1
OG0001190	XP_025987355.2	XP_017753030.1
OG0001191	XP_039303760.1	XP_017758050.1
OG0001193	XP_011173460.1	XP_017756327.1, XP_017756336.1
OG0001195	XP_025985837.1, XP_011166782.1, XP_011166783.1	XP_017762416.1
OG0001197	XP_011157457.1	XP_017753310.1
OG0001197	XP_025987979.1	XP_017753333.1
OG0001198	XP_039314770.1	XP_017763699.1, XP_017763700.1, XP_017763698.1
OG0001199	XP_011172415.1	XP_017755186.1
OG0001201	XP_011162101.2	XP_017761015.1
OG0001202	XP_011162095.1, XP_011162106.1, XP_039312312.1, XP_039312311.1, XP_039312473.1, XP_039312313.1, XP_039312472.1, XP_011172272.2, XP_039302872.1	XP_017763927.1
OG0001203	XP_039310696.1, XP_011163743.2	XP_017761213.1
OG0001204	XP_025991982.1	XP_017765407.1
OG0001205	XP_039314810.1	XP_017763013.1
OG0001205	XP_039303835.1	XP_017756845.1
OG0001206	XP_011156167.1	XP_017759657.1
OG0001207	XP_011156545.1, XP_039302232.1	XP_017756157.1
OG0001208	XP_011170339.1	XP_017757489.1
OG0001209	XP_011172048.1	XP_017766132.1
OG0001210	XP_039314706.1, XP_039315003.1	XP_017763138.1
OG0001210	XP_039307930.1, XP_011165372.2, XP_039315002.1, XP_039315004.1, XP_039307520.1	XP_017763142.1
OG0001211	XP_039305023.1, XP_039305022.1	XP_017763734.1
OG0001212	XP_039309508.1	XP_017766029.1
OG0001214	XP_011160964.2	XP_017760010.1
OG0001215	XP_039312900.1	XP_017759881.1
OG0001216	XP_011172216.1	XP_017753283.1, XP_017753284.1
OG0001217	XP_011175935.1, XP_039308277.1, XP_011175936.1	XP_017753596.1
OG0001218	XP_011166690.1, XP_011166689.1, XP_039301873.1	XP_017759553.1
OG0001219	XP_011159638.1, XP_039303862.1, XP_011159634.1, XP_011159636.1	XP_017762120.1, XP_017762121.1, XP_017762119.1, XP_017762117.1
OG0001220	XP_011169281.1, XP_039302204.1	XP_017759901.1
OG0001222	XP_011164688.1, XP_011164686.1, XP_011164689.1	XP_017763009.1
OG0001223	XP_011164227.1	XP_017766310.1, XP_017766309.1
OG0001224	XP_011159507.1	XP_017760168.1, XP_017760187.1
OG0001225	XP_011164828.1	XP_017764531.1, XP_017764530.1
OG0001226	XP_011166465.1	XP_017759255.1
OG0001228	XP_025987277.1, XP_039314353.1	XP_017758121.1
OG0001229	XP_039305870.1	XP_017762846.1
OG0001230	XP_011169142.1	XP_017763881.1, XP_017763882.1
OG0001231	XP_011158057.1	XP_017766783.1
OG0001231	XP_025986565.1	XP_017766533.1
OG0001232	XP_011166300.1	XP_017761056.1
OG0001233	XP_011170934.1, XP_039302501.1	XP_017767029.1
OG0001234	XP_011161472.2	XP_017757803.1
OG0001236	XP_039312471.1, XP_011161524.1	XP_017755673.1
OG0001237	XP_039311173.1, XP_039310827.1	XP_017760353.1
OG0001238	XP_025993336.1, XP_039304779.1	XP_017763642.1
OG0001239	XP_025995034.1	XP_017755578.1
OG0001240	XP_011165534.1	XP_017761491.1
OG0001241	XP_011172347.1, XP_011172352.1	XP_017758785.1, XP_017758777.1
OG0001242	XP_011163952.2	XP_017753303.1
OG0001243	XP_039308191.1, XP_025992363.2, XP_025992362.2, XP_025992361.2	XP_017760879.1, XP_017760878.1
OG0001244	XP_011168503.1	XP_017760748.1
OG0001245	XP_025988274.1	XP_017767578.1
OG0001246	XP_039303840.1, XP_025988269.1, XP_011168731.1	XP_017758275.1
OG0001247	XP_011164739.2	XP_017767403.1
OG0001248	XP_039304594.1	XP_017757977.1
OG0001249	XP_039309218.1	XP_017754397.1
OG0001250	XP_011164364.2	XP_017763630.1
OG0001251	XP_039312198.1	XP_017765768.1
OG0001252	XP_039314807.1	XP_017752846.1
OG0001253	XP_025995063.2	XP_017759024.1
OG0001254	XP_011168604.1	XP_017764954.1
OG0001255	XP_039314922.1, XP_025987255.1	XP_017759092.1
OG0001256	XP_025988912.1	XP_017758934.1, XP_017758933.1
OG0001257	XP_011160876.1, XP_025994228.1	XP_017759512.1
OG0001258	XP_025987582.1, XP_011173619.1	XP_017756445.1
OG0001259	XP_011164223.1, XP_011164216.2	XP_017761965.1
OG0001260	XP_039304059.1	XP_017753894.1, XP_017753895.1
OG0001260	XP_011166201.1	XP_017753896.1
OG0001261	XP_011160516.2	XP_017756857.1
OG0001262	XP_011164195.1	XP_017763717.1
OG0001263	XP_011170503.1	XP_017755770.1
OG0001264	XP_011165039.1	XP_017755064.1, XP_017755060.1, XP_017755061.1, XP_017755062.1, XP_017755063.1
OG0001266	XP_011162657.1, XP_025987442.1	XP_017755601.1
OG0001267	XP_011163983.1, XP_039308646.1, XP_025994469.1, XP_039308643.1	XP_017756008.1
OG0001268	XP_025989285.1	XP_017755474.1
OG0001268	XP_025989636.1	XP_017767124.1
OG0001269	XP_039315133.1, XP_025994739.1	XP_017752630.1
OG0001269	XP_039315135.1	XP_017752629.1
OG0001270	XP_011157222.1	XP_017767444.1, XP_017767443.1
OG0001271	XP_039313271.1	XP_017760538.1
OG0001272	XP_011159578.1, XP_011159747.3, XP_025997663.2, XP_039314843.1	XP_017762607.1
OG0001273	XP_025987733.1	XP_017763892.1
OG0001274	XP_011170905.2, XP_011173464.2	XP_017757450.1
OG0001275	XP_011164629.1, XP_025990967.2	XP_017753888.1
OG0001277	XP_025989192.1	XP_017757329.1
OG0001278	XP_039315140.1, XP_039315139.1, XP_011155768.1, XP_011155769.1	XP_017752817.1, XP_017752818.1
OG0001280	XP_011168647.1	XP_017757730.1
OG0001281	XP_011171012.1	XP_017758893.1
OG0001282	XP_011163529.2	XP_017767547.1
OG0001283	XP_039309473.1, XP_039309472.1	XP_017762698.1, XP_017762699.1
OG0001284	XP_011159268.2	XP_017766999.1
OG0001286	XP_011175133.1	XP_017752649.1, XP_017752648.1, XP_017752651.1, XP_017752650.1, XP_017752654.1, XP_017752646.1, XP_017752652.1, XP_017752653.1
OG0001288	XP_011165929.1, XP_025993806.1, XP_011165930.1, XP_011165928.1	XP_017756651.1
OG0001289	XP_011162420.1	XP_017754288.1
OG0001290	XP_011163991.2, XP_011166539.2, XP_039310665.1, XP_039310663.1, XP_039310664.1	XP_017752241.1
OG0001291	XP_025995978.1, XP_039315524.1	XP_017752866.1
OG0001292	XP_039312474.1	XP_017753836.1
OG0001293	XP_011160608.1	XP_017756478.1, XP_017756477.1
OG0001294	XP_011166902.1	XP_017761845.1
OG0001295	XP_025988763.2, XP_011172182.2, XP_039313063.1	XP_017753974.1
OG0001298	XP_025991722.1	XP_017758815.1
OG0001299	XP_011155329.2	XP_017759829.1, XP_017759828.1
OG0001300	XP_039308336.1, XP_011176356.1	XP_017761048.1
OG0001301	XP_039313098.1	XP_017753627.1
OG0001302	XP_039305041.1	XP_017765983.1
OG0001303	XP_011162751.2, XP_025993208.2	XP_017761306.1, XP_017761305.1
OG0001304	XP_039303726.1, XP_011169416.1	XP_017765103.1, XP_017765104.1
OG0001305	XP_039306299.1	XP_017763740.1
OG0001306	XP_039311745.1, XP_025993252.1	XP_017767510.1, XP_017767507.1
OG0001307	XP_025992202.1, XP_025992201.1, XP_039304075.1	XP_017765806.1, XP_017755947.1
OG0001308	XP_011164101.2	XP_017762509.1
OG0001310	XP_011175922.1	XP_017755662.1
OG0001312	XP_011169654.1	XP_017759522.1, XP_017759523.1
OG0001313	XP_011168031.1	XP_017760231.1, XP_017760246.1
OG0001314	XP_025987160.1, XP_025987159.1	XP_017759938.1, XP_017759948.1
OG0001315	XP_039307094.1, XP_039307090.1, XP_039307091.1	XP_017757079.1
OG0001316	XP_011165521.1, XP_011165520.1, XP_039307433.1	XP_017761141.1
OG0001317	XP_039305014.1, XP_011169093.1	XP_017763687.1
OG0001318	XP_039306228.1, XP_011159820.1	XP_017755036.1
OG0001320	XP_011175003.1	XP_017763319.1
OG0001321	XP_039304469.1	XP_017752532.1, XP_017752531.1
OG0001322	XP_025995334.2, XP_025995333.2	XP_017767745.1, XP_017767744.1
OG0001323	XP_039313975.1	XP_017756623.1
OG0001323	XP_011175670.1	XP_017756611.1
OG0001328	XP_011171298.1, XP_011171300.1, XP_039307149.1	XP_017765380.1, XP_017765379.1, XP_017765381.1
OG0001329	XP_025994744.1	XP_017765141.1
OG0001330	XP_011173423.1	XP_017760084.1
OG0001331	XP_011159081.1, XP_011155677.1	XP_017761638.1
OG0001332	XP_011161127.1	XP_017759266.1
OG0001333	XP_011161667.1	XP_017755779.1
OG0001334	XP_039314193.1	XP_017755525.1
OG0001335	XP_011176244.1, XP_025994143.1	XP_017758150.1
OG0001336	XP_039313962.1, XP_039313963.1, XP_039313961.1	XP_017766979.1
OG0001337	XP_011172356.1	XP_017763157.1, XP_017763167.1
OG0001338	XP_011156305.1	XP_017760926.1
OG0001339	XP_011170919.1	XP_017752428.1, XP_017752429.1, XP_017752430.1
OG0001340	XP_011157400.1, XP_039302773.1	XP_017765534.1, XP_017765533.1
OG0001341	XP_011160585.2, XP_011160584.3	XP_017758419.1
OG0001342	NP_001291521.1, XP_011158641.1	XP_017756280.1, XP_017754627.1
OG0001343	XP_039315305.1, XP_039305231.1	XP_017759887.1, XP_017759393.1
OG0001344	XP_025988540.1	XP_017756908.1
OG0001345	XP_011159425.1	XP_017757449.1
OG0001346	XP_025986739.2	XP_017756311.1
OG0001347	XP_011162367.1	XP_017756778.1
OG0001348	XP_025994333.2	XP_017761641.1
OG0001349	XP_011156749.1, XP_011156750.1	XP_017753826.1, XP_017753827.1
OG0001350	XP_011167785.1, XP_039304006.1, XP_025991063.1	XP_017757672.1
OG0001351	XP_011166906.1	XP_017761846.1
OG0001352	XP_039302099.1, XP_039302098.1, XP_011156572.1, XP_025991200.1	XP_017756186.1, XP_017756187.1
OG0001353	XP_011166239.1, XP_025988594.1	XP_017759250.1
OG0001354	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1	XP_017763889.1
OG0001355	XP_011168669.1, XP_039306977.1	XP_017757783.1
OG0001356	XP_025993681.1	XP_017762245.1, XP_017762244.1
OG0001357	XP_011156200.1	XP_017753228.1
OG0001358	XP_011164657.3	XP_017763024.1
OG0001359	XP_011155735.1	XP_017764402.1
OG0001360	XP_011156183.1	XP_017762696.1
OG0001361	XP_039303850.1, XP_011159643.2, XP_039303852.1	XP_017762194.1
OG0001362	XP_011166065.1	XP_017753681.1
OG0001363	XP_011164426.1	XP_017752314.1, XP_017763590.1
OG0001364	XP_025992935.1	XP_017757141.1, XP_017757142.1
OG0001365	XP_011156369.2	XP_017760678.1
OG0001366	XP_011170838.2	XP_017762964.1
OG0001366	XP_011170837.1	XP_017761375.1, XP_017764240.1, XP_017754568.1, XP_017763978.1
OG0001368	XP_039306221.1, XP_025986501.1	XP_017759611.1
OG0001369	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1	XP_017763758.1
OG0001370	XP_025990425.1, XP_011162934.1, XP_025990426.1	XP_017763355.1
OG0001371	XP_011175761.2	XP_017766099.1, XP_017766100.1
OG0001372	XP_011157484.1	XP_017755581.1
OG0001373	XP_011168414.1	XP_017764445.1
OG0001374	XP_011166756.2	XP_017760626.1
OG0001375	XP_011167128.1	XP_017762914.1
OG0001375	XP_011167127.1	XP_017762913.1
OG0001376	XP_039306070.1	XP_017757954.1
OG0001377	XP_011176400.1, XP_011176401.1	XP_017754364.1
OG0001378	XP_011164716.1	XP_017759669.1
OG0001379	XP_011155491.1	XP_017764081.1
OG0001380	XP_025994567.1	XP_017762347.1
OG0001382	XP_039313566.1, XP_039313567.1, XP_039313568.1	XP_017753653.1, XP_017753654.1
OG0001383	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1	XP_017759982.1
OG0001384	XP_011163732.1, XP_025990206.1	XP_017758831.1
OG0001386	XP_025989972.1	XP_017760536.1
OG0001387	XP_011171595.1	XP_017762035.1, XP_017762037.1
OG0001388	XP_039309574.1	XP_017760732.1
OG0001389	XP_039305597.1	XP_017761960.1
OG0001390	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2	XP_017766560.1
OG0001391	XP_011161215.1, XP_039308652.1	XP_017762560.1
OG0001392	XP_025993442.2	XP_017764296.1, XP_017764293.1
OG0001393	XP_011157653.2	XP_017762706.1
OG0001394	XP_011176229.1	XP_017763507.1
OG0001395	XP_011164439.1, XP_025993826.1	XP_017766691.1, XP_017766687.1
OG0001396	XP_025993663.2	XP_017766073.1
OG0001397	XP_011172906.1	XP_017759609.1
OG0001398	XP_025990535.1	XP_017757284.1, XP_017757283.1
OG0001399	XP_025993541.2	XP_017754171.1, XP_017754172.1
OG0001400	XP_025993881.1	XP_017760497.1
OG0001401	XP_011170086.1	XP_017753798.1
OG0001402	XP_011163539.1	XP_017767447.1
OG0001403	XP_039310380.1	XP_017765652.1
OG0001404	XP_011156235.1	XP_017760903.1
OG0001405	XP_039304316.1	XP_017766949.1
OG0001406	XP_011159875.1, XP_011159874.1	XP_017761098.1
OG0001407	XP_025996674.2, XP_025996673.2, XP_039307890.1	XP_017760890.1
OG0001408	XP_011157143.1	XP_017759170.1
OG0001409	XP_025988890.2	XP_017766302.1, XP_017766308.1, XP_017766305.1
OG0001410	XP_011164802.1	XP_017765486.1, XP_017755897.1
OG0001412	XP_039304946.1	XP_017765833.1
OG0001413	XP_011169177.2, XP_011169180.2	XP_017763469.1
OG0001414	XP_011156102.1	XP_017763368.1, XP_017763367.1, XP_017763366.1
OG0001415	XP_011168452.2	XP_017753459.1
OG0001416	XP_011156599.2, XP_039307071.1	XP_017760198.1
OG0001417	XP_011159626.1, XP_011159625.1, XP_039303854.1	XP_017758796.1
OG0001418	XP_025988310.1	XP_017764513.1
OG0001419	XP_025990704.1, XP_025990698.1	XP_017763375.1
OG0001420	XP_039305246.1, XP_039305245.1	XP_017762536.1
OG0001421	XP_011157717.1	XP_017758330.1, XP_017758328.1
OG0001422	XP_011168866.3	XP_017754408.1, XP_017754409.1
OG0001423	XP_039301682.1	XP_017766027.1
OG0001424	XP_025988061.1, XP_011175495.1	XP_017761320.1
OG0001425	XP_011161576.1	XP_017754057.1
OG0001426	XP_039309524.1	XP_017766791.1, XP_017766790.1, XP_017766789.1, XP_017766788.1, XP_017766792.1
OG0001427	XP_011175988.1	XP_017761887.1
OG0001428	XP_011169585.1, XP_011169577.1	XP_017755325.1, XP_017755328.1, XP_017755327.1
OG0001429	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1	XP_017755795.1
OG0001433	XP_025994189.2	XP_017758980.1, XP_017758981.1
OG0001434	XP_011159065.1	XP_017754540.1
OG0001436	XP_011175197.1	XP_017759912.1
OG0001437	XP_011172011.1	XP_017761418.1
OG0001438	XP_025987016.1	XP_017759626.1
OG0001439	XP_039303757.1, XP_039303753.1, XP_039303755.1, XP_039303756.1, XP_039303754.1	XP_017763370.1
OG0001440	XP_039301796.1	XP_017752342.1
OG0001441	XP_025995051.1, XP_011164726.1	XP_017764328.1
OG0001442	XP_039304061.1	XP_017760859.1
OG0001443	XP_039302720.1, XP_039302721.1	XP_017756347.1
OG0001444	XP_039303669.1	XP_017763241.1
OG0001445	XP_011167441.1	XP_017767740.1
OG0001446	XP_011169573.2	XP_017767505.1, XP_017767504.1
OG0001448	XP_039312922.1, XP_011173898.1	XP_017754678.1, XP_017754679.1
OG0001449	XP_011164180.2, XP_011164179.2, XP_011164181.2	XP_017756553.1
OG0001450	XP_011167782.1, XP_039304005.1	XP_017761180.1
OG0001451	XP_011168974.1	XP_017754819.1, XP_017754818.1, XP_017754817.1
OG0001453	XP_011166027.1, XP_039311081.1	XP_017753197.1, XP_017753196.1
OG0001455	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1	XP_017763637.1
OG0001456	XP_039314390.1, XP_011160138.1	XP_017759747.1
OG0001457	XP_011156838.1	XP_017759608.1
OG0001458	XP_039313170.1, XP_039313172.1, XP_039313171.1	XP_017760601.1
OG0001459	XP_011172333.2, XP_039314602.1	XP_017753350.1
OG0001460	XP_011168563.1	XP_017755991.1
OG0001461	XP_011166122.1	XP_017757457.1
OG0001462	XP_039313168.1	XP_017759124.1
OG0001463	XP_039314506.1	XP_017754385.1
OG0001464	XP_011175504.1	XP_017760160.1
OG0001465	XP_039302626.1, XP_011172138.1, XP_011172139.1	XP_017759749.1
OG0001466	XP_011164329.1, XP_025988877.1	XP_017756736.1, XP_017756880.1
OG0001467	XP_011171584.1, XP_011171583.1	XP_017765138.1
OG0001468	XP_011168738.1	XP_017764233.1, XP_017764238.1
OG0001469	XP_025992793.1	XP_017761902.1
OG0001470	XP_025996653.1	XP_017759624.1
OG0001471	XP_011168758.1	XP_017755440.1, XP_017755439.1
OG0001472	XP_011171029.1	XP_017766187.1
OG0001473	XP_025987889.2	XP_017756349.1
OG0001474	XP_011163536.1	XP_017767410.1
OG0001475	XP_011165353.1	XP_017754101.1
OG0001476	XP_011170458.2	XP_017752906.1
OG0001477	XP_025990076.1	XP_017766251.1, XP_017766252.1
OG0001478	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1	XP_017753140.1
OG0001479	XP_011171853.1	XP_017762331.1
OG0001480	XP_011167365.1	XP_017761101.1
OG0001481	XP_011163818.1	XP_017757923.1, XP_017757922.1, XP_017757921.1
OG0001482	XP_025995318.2	XP_017764469.1
OG0001483	XP_011158227.2	XP_017764678.1
OG0001484	XP_039313164.1	XP_017760649.1
OG0001486	XP_025988210.1	XP_017754790.1
OG0001487	XP_011160910.1	XP_017766230.1
OG0001488	XP_011175651.1	XP_017758921.1
