Orthogroup	Solenopsis_invicta	Bombus_terrestris
OG0000516	XP_011172056.1	XP_012173420.1, XP_012173414.1
OG0000517	XP_011163700.2	XP_012167351.1
OG0000517	XP_039309232.1	XP_012167264.1
OG0000518	XP_011175188.2, XP_011175189.2, XP_011175191.2	XP_012171511.1
OG0000519	XP_025991738.1, XP_011159219.1, XP_011159221.1, XP_039308221.1, XP_039308220.1	XP_012166005.2
OG0000520	XP_011166082.1, XP_011166083.1	XP_012165689.1
OG0000520	XP_025994954.1, XP_025994953.1	XP_012165686.1, XP_012165687.1, XP_012165688.1
OG0000521	XP_011166943.1	XP_003397547.1, XP_003397545.1, XP_003397546.1, XP_012166781.1, XP_012166782.1
OG0000522	XP_011167766.2	XP_003400972.1
OG0000523	XP_025986325.2	XP_020720091.1, XP_020720114.1
OG0000524	XP_025986063.1	XP_012167864.1
OG0000525	XP_025993000.2	XP_003399921.1, XP_020721587.1, XP_012170578.1
OG0000526	XP_011163487.3	XP_020719895.1
OG0000526	XP_011173281.1	XP_012166214.1, XP_020719345.1, XP_020719343.1, XP_020719344.1
OG0000527	XP_025994056.1, XP_011171909.1	XP_003400211.1, XP_012170958.1, XP_012170959.1
OG0000528	XP_011164853.1	XP_003399681.1
OG0000529	XP_039309772.1, XP_011161552.1	XP_012170810.1
OG0000530	XP_011157307.1	XP_012171945.1
OG0000530	XP_011157306.1	XP_012171955.1, XP_003400955.1
OG0000533	XP_039310971.1, XP_039310972.1, XP_011165801.2, XP_025994422.2	XP_012165417.1, XP_012165416.1, XP_003396390.1, XP_012165418.1
OG0000537	XP_039304417.1	XP_012164247.1
OG0000538	XP_011168662.1	XP_003400361.1
OG0000540	XP_039309898.1, NP_001291538.1	XP_003401502.1
OG0000541	XP_039308180.1	XP_012175620.1
OG0000542	XP_039307562.1, XP_011162049.1	XP_020721554.1, XP_003399686.1
OG0000543	XP_039314361.1	XP_012166182.1, XP_012166180.1, XP_012166181.1, XP_020719265.1
OG0000544	XP_011159201.2, XP_039309904.1	XP_003401501.1, XP_012172755.1, XP_012172754.1
OG0000545	XP_011172555.1	XP_003401049.1
OG0000546	XP_011166500.2	XP_003397567.2
OG0000546	XP_025990179.1	XP_012166797.2
OG0000547	XP_011158548.1	XP_003396374.1, XP_012165378.1, XP_012165373.1, XP_012165376.1, XP_012165379.1
OG0000548	XP_039314101.1	XP_003401182.1
OG0000549	XP_011162919.1	XP_003397918.2
OG0000551	XP_011160212.1	XP_020719542.1, XP_020719541.1
OG0000552	XP_011169733.1	XP_003393718.1
OG0000553	XP_011162424.1	XP_012166431.1, XP_003397118.1, XP_012166430.1, XP_012166429.1
OG0000554	XP_025989623.1	XP_003397208.1
OG0000554	XP_039315055.1	XP_003401464.1
OG0000555	XP_011160546.3	XP_003398076.2
OG0000555	XP_011160545.1	XP_003398135.1
OG0000556	XP_011155655.1	XP_003402529.2, XP_012164341.1, XP_020718867.1, XP_020718868.1
OG0000557	XP_011159193.1	XP_012167468.1, XP_012167466.1, XP_012167467.1, XP_012167465.1, XP_003397930.1
OG0000558	XP_011165104.2	XP_020718929.1, XP_020718926.1
OG0000558	XP_011155663.1	XP_003403188.1
OG0000559	XP_011170518.1	XP_003399614.1, XP_012169854.1, XP_020721725.1
OG0000560	XP_011165828.1, XP_025993242.1, XP_011165827.1, XP_039303889.1, XP_039303890.1	XP_003401132.1, XP_003401131.1
OG0000561	XP_011169324.1	XP_020719792.1
OG0000561	XP_025992227.2	XP_020719796.1
OG0000562	XP_025989184.1	XP_012173971.2
OG0000562	XP_011159988.1	XP_003402359.1
OG0000563	XP_025989096.1, XP_025989094.1, XP_025989095.1	XP_020718680.1
OG0000564	XP_025989595.2, XP_011171715.1	XP_012168588.1, XP_003398786.1, XP_012168589.1, XP_020721254.1
OG0000565	XP_011157246.1	XP_020722258.1
OG0000565	XP_039303576.1	XP_003402652.1
OG0000567	XP_011168976.1	XP_003399018.1
OG0000567	XP_011172612.2	XP_012166092.1
OG0000568	XP_025986039.1	XP_012175157.1, XP_003403153.1
OG0000569	XP_039312304.1	XP_020721094.1
OG0000569	XP_011157244.1	XP_012168806.1
OG0000570	XP_039314374.1, XP_025987778.1, XP_025987776.1, XP_025987777.1	XP_012165154.1, XP_012165461.2
OG0000571	XP_011157319.2, XP_039306862.1	XP_012171130.1, XP_012171135.1
OG0000571	XP_039306865.1	XP_020722019.1
OG0000572	XP_039311184.1	XP_020721824.1, XP_003400080.1
OG0000573	XP_011162484.1, XP_011162486.1	XP_012176534.1
OG0000574	XP_011175979.1	XP_020723759.1
OG0000575	XP_025990180.1	XP_020720050.1
OG0000575	XP_011166359.2	XP_020720086.1
OG0000576	XP_025993714.1, XP_025993716.1, XP_025993717.1	XP_012169985.1, XP_012169988.1, XP_012169987.1, XP_012169984.1, XP_012169983.1, XP_012169982.1, XP_020721393.1, XP_020721394.1, XP_012169986.1
OG0000577	XP_025992633.1, XP_039303177.1, XP_011161740.1, XP_011161743.1	XP_012173941.1
OG0000578	XP_011166187.2	XP_012172081.1
OG0000579	XP_011156052.1, XP_011156051.1	XP_003396944.1, XP_020719364.1, XP_020719363.1, XP_020719362.1, XP_020719368.1, XP_020719366.1, XP_020719367.1, XP_020719365.1
OG0000582	XP_011160599.1	XP_012164450.1, XP_012164446.1
OG0000583	XP_011167028.2, XP_039306141.1	XP_020722144.1, XP_020722143.1, XP_003400384.1, XP_020722142.1, XP_020722141.1
OG0000584	XP_039302271.1	XP_003403257.1
OG0000585	XP_011170883.1	XP_003394914.3
OG0000585	XP_011169115.1	XP_003395233.1
OG0000586	XP_011165979.1, XP_011165978.1	XP_003394586.1
OG0000586	XP_039312051.1, XP_039312225.1, XP_039311914.1	XP_003394183.3
OG0000587	XP_039303764.1	XP_012170823.1, XP_012170822.1
OG0000588	XP_039307024.1	XP_012170446.1, XP_012170447.1, XP_012170445.1, XP_003399827.1
OG0000589	XP_025989087.1, XP_039309540.1, XP_039309539.1	XP_012166088.1
OG0000591	XP_011172770.1, XP_011172760.1, XP_011172764.1	XP_003402263.1
OG0000591	XP_011172322.1	XP_003395522.1
OG0000592	XP_011164060.2	XP_012165858.1
OG0000592	XP_039304350.1	XP_003401003.1
OG0000593	XP_025990297.2, XP_039306195.1	XP_012175377.2
OG0000594	XP_011169319.1, XP_039310004.1	XP_012166222.1, XP_012166223.1, XP_012166219.1, XP_012166220.1, XP_012166221.1, XP_020719791.1
OG0000595	XP_011157974.1	XP_012172379.1
OG0000595	XP_011157972.1	XP_012172378.1
OG0000596	XP_011172105.3	XP_012175798.1, XP_012175799.1, XP_012175800.1
OG0000597	XP_011165992.1, XP_039310829.1	XP_020719620.1, XP_020719621.1, XP_003396841.1, XP_012165530.1
OG0000598	XP_011155600.1	XP_012173053.1
OG0000598	XP_039302656.1	XP_012173052.1
OG0000599	XP_011161560.1, XP_039309903.1	XP_020719234.1
OG0000600	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1	XP_003398374.1, XP_012168092.1
OG0000601	XP_011163933.1	XP_003401586.1
OG0000601	XP_039311063.1, XP_011163934.1	XP_012172544.1
OG0000602	XP_039314332.1	XP_003399782.1
OG0000602	XP_011173207.2	XP_020719651.1
OG0000603	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1	XP_003401312.1
OG0000604	XP_011163407.2	XP_003402748.1
OG0000604	XP_011163369.1	XP_012174449.1
OG0000606	XP_011162133.1	XP_020718282.1, XP_012163545.1
OG0000609	XP_039302838.1, XP_011167460.2	XP_003395437.1
OG0000611	XP_039304710.1, XP_011166113.1, XP_011166114.1	XP_020722663.1
OG0000612	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1	XP_012166740.1, XP_012166739.1, XP_003397412.1, XP_020719994.1
OG0000613	XP_011156407.1, XP_011156404.1	XP_012163556.1
OG0000614	XP_039308727.1	XP_020723124.1
OG0000614	XP_039311099.1	XP_003401258.2
OG0000615	XP_011156604.2	XP_003403386.2, XP_020719530.1, XP_020719535.1, XP_020719522.1, XP_020719517.1, XP_020719518.1, XP_020719520.1, XP_020719528.1, XP_020719524.1, XP_012164942.1, XP_020719516.1, XP_020719532.1
OG0000616	XP_039305832.1, XP_039305828.1, XP_039305833.1	XP_020723489.1, XP_020723488.1, XP_012174317.1
OG0000617	XP_011158954.1	XP_012172405.1, XP_012172396.1, XP_012172399.1, XP_012172410.1
OG0000617	XP_025986670.1	XP_003393665.1, XP_012172416.1, XP_012172423.1
OG0000619	XP_011173657.1, XP_011173658.1, XP_025987595.1	XP_012163419.1
OG0000620	XP_011169601.1	XP_003394706.1, XP_003394705.1
OG0000621	XP_039312703.1	XP_003399063.1, XP_012169265.1, XP_012169266.1
OG0000622	XP_011169602.1	XP_020722676.1, XP_003401208.1
OG0000623	XP_039313782.1, XP_011164272.1	XP_003399765.2
OG0000624	XP_011157512.1, XP_039302508.1	XP_003402928.1, XP_012174804.1
OG0000625	XP_011163576.1	XP_012174796.1, XP_012174795.1, XP_012174794.1, XP_003402908.1
OG0000626	XP_011155744.2	XP_012169948.1, XP_012169951.1, XP_012169950.1, XP_012169949.1, XP_003399507.1, XP_020721555.1
OG0000627	XP_025987673.1	XP_012169193.1, XP_012169194.1, XP_012169195.1
OG0000628	XP_039309559.1	XP_020721271.1
OG0000628	XP_025996176.1	XP_020721278.1
OG0000629	XP_011170977.2	XP_020720524.1, XP_020720523.1, XP_012168332.1, XP_003398563.1, XP_012168331.1, XP_020720526.1
OG0000630	XP_039306780.1	XP_020720222.1
OG0000631	XP_039306909.1	XP_012171546.1
OG0000632	XP_039309842.1, XP_011155541.1	XP_012170947.1, XP_003400196.1
OG0000633	XP_011172797.1	XP_003400531.1
OG0000633	XP_011158982.1	XP_003393832.2
OG0000634	XP_011159579.2	XP_003402330.1
OG0000634	XP_011159577.1	XP_003402329.1
OG0000635	XP_011161776.2, XP_025986615.1	XP_012166436.1
OG0000635	XP_039301712.1	XP_003402918.1
OG0000636	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1	XP_012168337.1, XP_012168338.1, XP_012168335.1, XP_012168336.1
OG0000637	XP_011160711.2	XP_020719016.1
OG0000639	XP_039305053.1, XP_011158830.1	XP_003393881.1
OG0000640	XP_011160127.1	XP_003396245.1, XP_020719607.1, XP_003396246.1, XP_003396247.1
OG0000641	XP_011162857.1	XP_012166954.1, XP_012166953.1, XP_012166951.1, XP_012166952.1, XP_012166950.1, XP_012166949.1, XP_003397465.1
OG0000642	XP_011167158.1	XP_012174219.1, XP_003394019.1, XP_020724049.1
OG0000643	XP_011160706.1	XP_003396021.1
OG0000643	XP_011160705.2	XP_003396020.1
OG0000644	XP_011155802.1, XP_011155801.1	XP_020722877.1, XP_020722876.1, XP_020722869.1, XP_003393959.1
OG0000645	XP_011165880.1	XP_012173365.1
OG0000645	XP_011165878.1, XP_011165879.1	XP_012173367.1
OG0000646	XP_011156050.1	XP_003396957.1
OG0000647	XP_025990863.1, XP_025990862.1	XP_012166548.1, XP_012166549.1
OG0000648	XP_011162013.1	XP_012170298.1
OG0000649	XP_011160804.1	XP_020720863.1
OG0000650	XP_039308781.1, XP_011168549.1, XP_011168547.1	XP_012167695.1, XP_020720049.1
OG0000651	XP_039301926.1	XP_012164915.1
OG0000651	XP_039303055.1	XP_003394047.1
OG0000653	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1	XP_020718880.1
OG0000654	XP_011157432.3	XP_012168767.1
OG0000654	XP_039306560.1	XP_012176459.1
OG0000655	XP_025992461.2	XP_020723808.1, XP_020723801.1
OG0000656	XP_011175984.1	XP_020723419.1, XP_003402508.2, XP_020719010.1, XP_020719012.1
OG0000657	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1	XP_003393704.1, XP_012173096.1
OG0000659	XP_011173530.2	XP_012167136.1
OG0000660	XP_025989970.1	XP_003394244.1
OG0000661	XP_025988975.1	XP_012170187.1
OG0000662	XP_011175457.1	XP_003402903.1
OG0000663	XP_025986599.1	XP_020721894.1, XP_020721895.1, XP_020721897.1
OG0000664	XP_025992680.2	XP_012167122.1
OG0000665	XP_011170315.1	XP_012171985.1, XP_020722362.1, XP_020722363.1, XP_020722361.1, XP_020722359.1, XP_020722358.1, XP_020722365.1, XP_020722357.1, XP_020722360.1, XP_020722364.1
OG0000666	XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1	XP_003397879.2
OG0000667	XP_039310656.1, XP_011164614.1	XP_003396571.1, XP_020719393.1, XP_012165583.1
OG0000668	XP_039306186.1	XP_020721259.1, XP_020721258.1, XP_020721257.1, XP_012169432.1, XP_012169434.1, XP_012169429.1, XP_012169431.1, XP_003399159.1, XP_020721256.1
OG0000669	XP_025988961.1, XP_039302920.1, XP_011175851.1	XP_012174960.1, XP_012174961.1, XP_012174962.1, XP_020723779.1
OG0000670	XP_011159463.1	XP_003395447.1
OG0000672	XP_011160324.2	XP_003397054.1
OG0000672	XP_011160332.1	XP_003397055.1
OG0000673	XP_025991633.2, XP_025991631.2, XP_025991632.2	XP_012172632.1
OG0000674	XP_039310353.1, XP_011162427.1, XP_039310351.1, XP_039310352.1	XP_003393159.2
OG0000676	XP_011160330.1, XP_011160331.1, XP_039313501.1	XP_012166337.1, XP_020719815.1, XP_012166336.1, XP_020719814.1, XP_003397051.1
OG0000677	XP_011160950.1, XP_011160946.1, XP_011160951.1	XP_012168866.1, XP_012168862.1
OG0000678	XP_039304396.1	XP_012167403.1, XP_020720440.1
OG0000680	XP_011167693.1, XP_011167708.1, XP_011167701.1	XP_020722815.1, XP_012172941.1
OG0000681	NP_001291522.1	XP_003393962.3
OG0000681	XP_011171271.1	XP_012168318.1, XP_003398555.1
OG0000682	XP_011163525.2	XP_003398288.1
OG0000683	XP_039306229.1, XP_039306230.1	XP_012167357.1
OG0000684	XP_039302424.1, XP_011157520.1, XP_011157521.1, XP_039302421.1	XP_003395928.1, XP_012164712.1, XP_012164713.1, XP_012164714.1
OG0000685	XP_011166723.1	XP_012164924.1
OG0000685	XP_011165386.2	XP_003393461.1
OG0000686	XP_011167376.2, XP_011167375.2	XP_012175845.1
OG0000687	XP_011165090.1, XP_011165092.1	XP_020720255.1, XP_003397750.1
OG0000688	XP_025991175.2, XP_011167177.2	XP_020722005.1, XP_003400394.1
OG0000689	XP_025987790.1	XP_020718795.1, XP_012174006.1
OG0000689	XP_011169515.2	XP_012164123.1
OG0000690	XP_011163918.1	XP_020719698.1, XP_020719697.1
OG0000691	XP_039314432.1, XP_011164381.1	XP_003402708.1
OG0000692	XP_011161649.1	XP_012168058.1
OG0000693	XP_025993002.1	XP_003393251.1
OG0000694	XP_011170811.1, XP_011170813.1	XP_003395478.1, XP_012163747.1
OG0000695	XP_025987444.1, XP_025987443.1, XP_039310172.1, XP_039310173.1	XP_020724309.1, XP_003394580.3
OG0000696	XP_039308201.1	XP_003397073.1
OG0000697	XP_011167159.1	XP_020723208.1
OG0000698	XP_011159907.1, XP_011159915.1, XP_011159925.1	XP_020718741.1, XP_003395283.1
OG0000699	XP_011161891.2	XP_012167389.1
OG0000700	XP_011157480.1	XP_003393470.1
OG0000700	XP_025987956.1	XP_020720939.1, XP_003393503.1
OG0000701	XP_011161794.1	XP_012166345.1
OG0000703	XP_025993224.2, XP_039310299.1, XP_025993223.2	XP_012176529.1, XP_012176528.1, XP_020724350.1
OG0000704	XP_025994168.1	XP_012171733.1, XP_012171732.1, XP_003400887.1
OG0000704	XP_011161187.1	XP_003400575.1
OG0000705	XP_025988088.2	XP_003395984.1
OG0000706	XP_011168454.1	XP_020719204.1, XP_012165913.1, XP_012165915.1, XP_020719206.1, XP_012165912.1, XP_020719677.1
OG0000707	XP_011166276.1, XP_039305379.1	XP_003402441.1
OG0000708	XP_039314227.1, XP_039314228.1	XP_012172272.1
OG0000709	XP_011175840.1, XP_011175841.1	XP_012174951.1, XP_003403133.1
OG0000710	XP_025996916.1	XP_003402531.3, XP_020723291.1, XP_012167869.1, XP_003398214.1
OG0000711	XP_011158311.2	XP_012176476.1, XP_012176475.1, XP_003394640.1
OG0000712	XP_025991504.1, XP_025991503.1	XP_012164541.1, XP_012164544.1
OG0000713	XP_011156494.2	XP_012171163.2
OG0000714	XP_025994772.1	XP_012169796.1, XP_012169790.1
OG0000715	XP_011159153.2, XP_011159154.2	XP_012172655.1
OG0000716	XP_011163912.2	XP_012165552.1, XP_003396953.1, XP_012165555.1, XP_012165553.1, XP_012165554.1
OG0000717	XP_011164323.1, XP_011164322.1, XP_011164321.1	XP_003393230.2
OG0000718	XP_025992101.1	XP_003400451.2
OG0000719	XP_039304225.1, XP_039304226.1	XP_012175363.1, XP_003403338.1
OG0000720	XP_039302434.1	XP_012164711.2
OG0000720	XP_039314720.1	XP_020722483.1
OG0000721	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2	XP_003394193.1, XP_012175974.1, XP_012175975.1
OG0000722	XP_039314078.1, XP_011167944.1	XP_003401744.1
OG0000722	XP_011167941.1	XP_003401743.1
OG0000723	XP_039305662.1, XP_039305658.1	XP_020718422.1
OG0000724	XP_011170525.1, XP_011170523.1	XP_012173918.1
OG0000726	XP_011167998.2	XP_012170771.1
OG0000727	XP_025986180.1	XP_003398317.1
OG0000728	XP_039312815.1, XP_039312814.1, XP_011169151.3, XP_039312816.1, XP_011168956.1, XP_011169150.1	XP_003399392.1, XP_012169771.1, XP_020720980.1
OG0000729	XP_011168583.1	XP_012173211.1, XP_012173212.1, XP_012173213.1
OG0000730	XP_039314139.1, XP_039314140.1	XP_012165134.1, XP_012165135.1, XP_020719226.1
OG0000731	XP_039311188.1, XP_011167996.2	XP_020721744.1
OG0000732	XP_039301972.1, XP_011162337.1, XP_011162336.1, XP_011162333.1, XP_011162334.1, XP_011162335.1	XP_020723611.1, XP_012174547.1, XP_020723610.1, XP_020723609.1, XP_020723608.1, XP_020723607.1
OG0000733	XP_039314752.1, XP_011169491.1	XP_012165811.1, XP_012165810.1
OG0000734	XP_011166589.1, XP_011166590.1, XP_025992886.1	XP_003399877.1
OG0000736	XP_011157298.1	XP_012171958.1, XP_012171960.1, XP_012171957.1, XP_012171959.1
OG0000737	XP_011162103.1	XP_020720393.1, XP_012167130.1, XP_012167131.1, XP_003397590.1
OG0000738	XP_025995486.1	XP_020718623.1
OG0000739	XP_025986669.1, XP_011158895.1	XP_020722159.1
OG0000740	XP_011165468.1, XP_011165469.1, XP_011165467.1, XP_011165466.1	XP_020720925.1
OG0000741	XP_011176093.2	XP_012169519.1
OG0000742	XP_039306568.1, XP_039306567.1	XP_012168275.1, XP_003398531.1, XP_020720818.1, XP_020720817.1, XP_012168272.1
OG0000743	XP_011176100.1, XP_011176099.1, XP_011176096.1, XP_011176097.1, XP_011176098.1	XP_020719414.1
OG0000744	XP_011163408.1	XP_003399518.1, XP_012169964.1
OG0000745	XP_039312216.1, XP_039312218.1, XP_039312219.1, XP_025993584.1, XP_011159126.1, XP_011159127.1, XP_039312050.1, XP_039312217.1	XP_020720302.1, XP_003397645.1
OG0000746	XP_039301874.1	XP_003396315.2, XP_012165290.1
OG0000747	XP_025994764.1, XP_025994766.1, XP_025994765.1	XP_020720902.1, XP_020720903.1, XP_012169371.1, XP_003399124.1
OG0000748	XP_025992939.2	XP_020718352.1, XP_012163559.2
OG0000750	XP_039308189.1, XP_011168047.1	XP_012169218.1
OG0000751	XP_011163217.2	XP_003393136.1
OG0000752	XP_011161184.1	XP_012171521.1
OG0000753	XP_011164714.1, XP_011164712.1, XP_011164713.1, XP_039314207.1	XP_012172333.2
OG0000754	XP_025994006.1, XP_039314803.1	XP_012172260.1
OG0000755	XP_011160539.1	XP_012171348.1
OG0000756	XP_039310988.1	XP_012166187.2
OG0000756	XP_011167689.2	XP_003396503.1
OG0000757	XP_011173081.1	XP_012163117.1, XP_012163115.1
OG0000758	XP_011163862.2	XP_020723598.1
OG0000758	XP_011164604.1	XP_020723872.1, XP_012175288.1
OG0000759	XP_025988751.1	XP_012170366.1, XP_012170365.1
OG0000760	XP_011162144.1, XP_011162146.1, XP_011162145.1	XP_003397895.1
OG0000761	XP_025996446.1	XP_003396214.1, XP_012165005.1, XP_012165007.1, XP_012165006.1
OG0000762	XP_025987473.1	XP_012166505.1, XP_020719779.1, XP_003397286.1, XP_020719780.1
OG0000764	XP_039304581.1, XP_011159740.1	XP_012164488.1
OG0000764	XP_011159741.1	XP_012164487.2
OG0000765	XP_011176280.1, XP_011176281.1	XP_003394840.1
OG0000766	XP_025988764.1, XP_039314286.1	XP_012174256.2
OG0000767	XP_011171183.1, XP_011171178.1	XP_003396887.1, XP_003396886.1
OG0000768	XP_011168953.1, XP_011168954.1	XP_020721017.1, XP_012169271.1
OG0000769	XP_039302316.1	XP_012165009.1
OG0000770	XP_025991245.1, XP_039314063.1	XP_012171528.1, XP_012171527.1, XP_012171526.1, XP_020722158.1, XP_003400581.1, XP_003400580.1
OG0000771	XP_025987164.1, XP_011158232.1, XP_025987165.1	XP_020718374.1, XP_020718373.1
OG0000772	XP_039313911.1, XP_039313913.1	XP_012166941.1
OG0000773	XP_025987110.1	XP_003398938.1, XP_003398939.1, XP_012169055.1, XP_012169054.1
OG0000774	XP_011165924.1	XP_012175365.1, XP_012175366.1, XP_012175368.1, XP_012175367.1
OG0000775	XP_011155960.1, XP_025987204.1	XP_012169075.1, XP_012169071.1
OG0000776	XP_011163200.1	XP_020720859.1, XP_012164662.1
OG0000777	XP_025997179.1, XP_025997180.1, XP_011165269.1	XP_003400768.1
OG0000778	XP_011164824.1	XP_012165516.1, XP_012165515.1, XP_003396680.1, XP_020719577.1
OG0000779	XP_039308346.1, XP_039308351.1, XP_039308349.1, XP_039308355.1	XP_003402761.1, XP_012174505.1
OG0000780	XP_011160559.1, XP_011160558.1, XP_025988495.1, XP_011160560.1, XP_025988494.1	XP_003398230.1
OG0000781	XP_011159966.1	XP_020724147.1, XP_012176228.1, XP_012176227.1, XP_012176226.1, XP_003394353.1
OG0000782	XP_025991730.1, NP_001291540.1	XP_020719984.1, XP_020719985.1, XP_020719989.1, XP_020719988.1, XP_020719990.1, XP_003397405.1, XP_012166825.1, XP_012166824.1, XP_020719987.1, XP_020719986.1
OG0000783	XP_011176408.1	XP_003400201.1
OG0000784	XP_011161570.1	XP_012170933.1
OG0000785	XP_039302168.1	XP_003400602.1, XP_012171560.1, XP_012171559.1
OG0000786	XP_011155618.2	XP_003402108.1, XP_012173665.1
OG0000787	XP_011168695.1, XP_011168697.1, XP_011168696.1, XP_025988184.1, XP_011168698.1, XP_025988185.1	XP_012176460.1, XP_003394519.1, XP_003394520.1
OG0000788	XP_039308398.1	XP_012176469.1, XP_012176468.1, XP_020724113.1
OG0000789	XP_011161800.1, XP_011161799.1, XP_011161803.1, XP_011161801.1	XP_003397238.1, XP_003397239.1
OG0000790	XP_011159162.2	XP_003401444.1
OG0000791	XP_025994338.1, XP_025994339.1, XP_025994340.1, XP_025994341.1, XP_039313885.1, XP_011155738.1	XP_003399862.1
OG0000795	XP_011168338.1	XP_003396709.1
OG0000796	XP_011161408.1	XP_012163333.1
OG0000796	XP_011161421.1	XP_012174179.1
OG0000797	XP_011162370.1, XP_011162428.1	XP_012174944.1, XP_012174943.1, XP_012174942.1, XP_012174941.1
OG0000798	XP_011165295.1	XP_020723080.1
OG0000799	XP_025989311.1, XP_039305768.1	XP_012167594.1, XP_012167591.1
OG0000800	XP_011160666.1, XP_011160664.1	XP_012167818.1
OG0000801	XP_025992851.1	XP_020723107.1
OG0000801	XP_011164184.2	XP_020720868.1
OG0000802	XP_025988488.1	XP_012168354.1
OG0000803	XP_011155983.1	XP_020720273.1, XP_020720272.1, XP_003397466.1
OG0000804	XP_039306726.1, XP_039306725.1, XP_011171429.1	XP_003394698.1
OG0000805	XP_025994786.1	XP_012174200.1
OG0000806	XP_011169594.1, XP_011169595.1, XP_011169597.1	XP_003397751.1, XP_012167092.1, XP_012167093.1
OG0000807	XP_011161813.1, XP_011161815.1, XP_011161814.1	XP_003399650.1, XP_012170173.1, XP_012170172.1
OG0000808	XP_025993559.1	XP_020720805.1
OG0000808	XP_011160772.1	XP_012167781.1
OG0000809	XP_025990549.1, XP_039304796.1	XP_020718937.1, XP_003395415.2, XP_003402523.3
OG0000810	XP_039302094.1, XP_011162024.2, XP_011162023.2	XP_020721358.1, XP_003399739.1
OG0000811	XP_011168281.1, XP_011168282.1	XP_012166695.1
OG0000812	XP_011172218.1	XP_003396592.1
OG0000813	XP_025994548.1, XP_039313899.1	XP_003399910.1
OG0000814	XP_011170174.1, XP_039315469.1	XP_003402088.1
OG0000815	XP_011159180.2, XP_011159181.1	XP_012165603.1, XP_012165623.1, XP_012165628.1
OG0000816	XP_011160544.1	XP_003398314.1
OG0000817	XP_025987139.1	XP_003394391.1
OG0000818	XP_039312944.1	XP_003394690.1
OG0000819	XP_039311826.1, XP_039311828.1	XP_020722584.1, XP_012172650.1
OG0000820	XP_039301687.1	XP_012164535.1, XP_012164536.1, XP_003395969.1, XP_012164534.1
OG0000821	XP_025995382.1	XP_003398511.1
OG0000822	XP_025991295.2	XP_003393415.1, XP_012168194.1
OG0000823	XP_011160880.1	XP_003399445.1
OG0000824	XP_025993701.2	XP_012173206.2
OG0000824	XP_039305933.1	XP_012175405.1
OG0000825	XP_039306488.1, XP_039306489.1, XP_039307020.1, XP_011171356.2, XP_011171353.1	XP_012167590.1
OG0000826	XP_039304012.1, XP_011159412.1, XP_011159413.1, XP_011159411.1	XP_020718930.1, XP_012164048.1, XP_012164050.1, XP_012164046.1, XP_003395588.1, XP_020718931.1
OG0000827	XP_039308960.1, XP_039308963.1	XP_020720559.1, XP_020720562.1
OG0000828	XP_039315579.1	XP_012164794.1, XP_003396173.1, XP_012164795.1
OG0000829	XP_011162079.1, XP_011162078.1	XP_003399769.1
OG0000830	XP_011168522.1	XP_003394299.1
OG0000831	XP_039310174.1	XP_012170449.1, XP_012170452.1
OG0000832	XP_039308938.1	XP_020724015.1, XP_020724009.1, XP_020724013.1, XP_020724012.1, XP_003393627.1, XP_020724011.1, XP_020724010.1, XP_020724014.1
OG0000833	XP_025988976.2, XP_025988982.2, XP_025988988.2	XP_020721531.1, XP_020721525.1, XP_020721530.1
OG0000834	XP_039309993.1, XP_011160982.1, XP_011160983.1	XP_012168056.1, XP_003393407.1
OG0000835	XP_011164859.1	XP_003399682.1
OG0000836	XP_039308456.1	XP_020722762.1
OG0000837	XP_025991745.1, XP_025991746.1, XP_039308425.1	XP_003397404.1, XP_012166829.1, XP_012166828.1
OG0000838	XP_039307130.1	XP_012171244.1, XP_012171252.1
OG0000839	XP_011164602.1	XP_003397300.2
OG0000840	XP_039314110.1	XP_020719311.1, XP_012165321.1, XP_012165322.1, XP_003396339.1
OG0000841	XP_025987401.1	XP_003397175.1
OG0000842	XP_039304445.1, XP_039304448.1	XP_003395726.1
OG0000843	XP_039313882.1, XP_039313881.1, XP_039313883.1, XP_039313878.1, XP_039313880.1, XP_039313879.1	XP_020721707.1, XP_020721708.1, XP_003399517.1, XP_012169962.1, XP_012169961.1
OG0000844	XP_039310169.1	XP_012176282.1, XP_003392928.1
OG0000845	XP_011158192.2	XP_012166912.1, XP_020720248.1
OG0000846	XP_025988215.1, XP_011168771.1, XP_039303959.1	XP_012175295.2, XP_020724151.1, XP_020724153.1, XP_012176310.1, XP_003394317.1, XP_020723870.1
OG0000847	XP_025997815.2	XP_012174699.1
