Orthogroup	Solenopsis_invicta	Drosophila_melanogaster
OG0001353	XP_011166239.1, XP_025988594.1	NP_001261357.1
OG0001354	XP_039314179.1, XP_039314178.1, XP_011160080.1, XP_025987762.1, XP_025987763.1	NP_611792.1
OG0001355	XP_011168669.1, XP_039306977.1	NP_572529.2
OG0001356	XP_025993681.1	NP_001014559.1
OG0001358	XP_011164657.3	NP_001014703.1
OG0001359	XP_011155735.1	NP_001259064.1, NP_651392.2
OG0001361	XP_039303850.1, XP_011159643.2, XP_039303852.1	NP_650778.2
OG0001362	XP_011166065.1	NP_001287357.1
OG0001363	XP_011164426.1	NP_001286088.1, NP_001286786.1
OG0001364	XP_025992935.1	NP_001188754.1
OG0001365	XP_011156369.2	NP_001260427.1
OG0001366	XP_011170837.1	NP_648508.1
OG0001368	XP_039306221.1, XP_025986501.1	NP_651733.1, NP_001287622.1, NP_651871.2
OG0001369	XP_011160216.1, XP_039309889.1, XP_039309890.1, XP_011160219.1	NP_001303363.1
OG0001370	XP_025990425.1, XP_011162934.1, XP_025990426.1	NP_001162973.2
OG0001371	XP_011175761.2	NP_610796.1
OG0001372	XP_011175926.1, XP_011157484.1	NP_610444.2
OG0001373	XP_011168414.1	NP_731872.1
OG0001374	XP_011166756.2	NP_996037.2, NP_648359.1, NP_648361.1, NP_648360.2
OG0001375	XP_011167128.1, XP_011167127.1	NP_001261379.1
OG0001376	XP_039306070.1	NP_001162697.1
OG0001377	XP_011176400.1, XP_011176401.1	NP_572840.1
OG0001378	XP_011164716.1	NP_572402.1
OG0001379	XP_011155491.1	NP_723501.2
OG0001380	XP_025994567.1	NP_001036421.1
OG0001382	XP_039313566.1, XP_039313567.1, XP_039313568.1	NP_001260515.1, NP_001260514.1
OG0001383	XP_011160864.2, XP_011160863.2, XP_039306105.1, XP_039306104.1	NP_001036470.1
OG0001384	XP_011163732.1, XP_025990206.1	NP_001285453.1
OG0001386	XP_025989972.1	NP_001286474.1
OG0001387	XP_011171595.1	NP_609412.1
OG0001388	XP_039309574.1	NP_572320.2, NP_732840.1
OG0001389	XP_039305597.1	NP_788300.3
OG0001390	XP_039309353.1, XP_039309352.1, XP_011160277.2, XP_011160278.2	NP_001286120.1
OG0001391	XP_011161215.1, XP_039308652.1	NP_001163354.1
OG0001392	XP_025993442.2	NP_001246912.1
OG0001393	XP_011157653.2	NP_001285132.1, NP_001188593.1
OG0001394	XP_039314983.1	NP_573197.2
OG0001394	XP_011176229.1	NP_729025.1
OG0001395	XP_011164439.1, XP_025993826.1	NP_001137624.1
OG0001396	XP_025993663.2	NP_001245761.1, NP_523412.1
OG0001397	XP_011172906.1	NP_649764.1
OG0001398	XP_025990535.1	NP_001246972.1, NP_523949.2
OG0001399	XP_025993541.2	NP_569982.1
OG0001400	XP_025993885.1, XP_025993881.1	NP_724042.1, NP_001188828.1, NP_788071.3
OG0001401	XP_011170086.1	NP_524675.1
OG0001402	XP_011163539.1	NP_612065.1
OG0001403	XP_039310380.1	NP_001259193.1, NP_733426.1
OG0001404	XP_011156235.1	NP_609110.1
OG0001405	XP_039304316.1	NP_731223.1
OG0001406	XP_011159875.1, XP_011159874.1	NP_001015132.1
OG0001407	XP_025996674.2, XP_025996673.2, XP_039307890.1	NP_001262226.1
OG0001408	XP_011157143.1	NP_001163646.1
OG0001409	XP_025988890.2	NP_001162657.1
OG0001410	XP_011164802.1	NP_523844.2
OG0001412	XP_025988414.1	NP_001036250.1
OG0001412	XP_039304946.1	NP_651941.2
OG0001413	XP_011169177.2, XP_011169180.2	NP_001303415.1
OG0001414	XP_011156102.1	NP_608864.1
OG0001415	XP_011168452.2	NP_996016.2
OG0001416	XP_011156599.2, XP_039307071.1	NP_723870.1
OG0001417	XP_011159626.1, XP_011159625.1, XP_039303854.1	NP_611932.2
OG0001418	XP_025988310.1	NP_001162911.1
OG0001419	XP_025990704.1, XP_025990698.1	NP_001036356.1, NP_001260403.1
OG0001420	XP_039305246.1, XP_039305245.1	NP_650569.1, NP_651139.1
OG0001421	XP_011157717.1	NP_649899.1
OG0001422	XP_011168866.3	NP_001189074.1
OG0001423	XP_039301682.1	NP_729234.2
OG0001424	XP_025988061.1, XP_011175495.1	NP_001262495.1
OG0001425	XP_011161576.1	NP_788574.3
OG0001426	XP_039309524.1	NP_001163056.1
OG0001427	XP_011175988.1	NP_648499.1
OG0001428	XP_011169585.1, XP_011169577.1	NP_608929.1
OG0001429	XP_011161484.1, XP_039311060.1, XP_039311061.1, XP_011161485.1, XP_025986645.1, XP_011156902.1, XP_011156899.2, XP_025986354.2, XP_039306264.1, XP_011156898.1, XP_039306265.1, XP_011171049.1, XP_011171091.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_011164676.1, XP_039308732.1, XP_039302689.1, XP_039302690.1, XP_039302692.1, XP_039302691.1, XP_025991973.2, XP_039307943.1, XP_039307372.1, XP_039308068.1, XP_039307944.1, XP_011164674.1, XP_011164678.1, XP_011164680.2, XP_011164681.2	NP_001287466.1
OG0001434	XP_011159065.1	NP_788618.1, NP_649928.1
OG0001436	XP_011175197.1	NP_650868.1, NP_649289.2
OG0001437	XP_011172011.1	NP_001286742.1
OG0001438	XP_025987016.1	NP_727644.3
OG0001440	XP_039301796.1	NP_611647.1
OG0001441	XP_025995051.1, XP_011164726.1	NP_001027574.2
OG0001442	XP_039304061.1	NP_001287592.1
OG0001443	XP_039302720.1, XP_039302721.1	NP_001096850.2
OG0001444	XP_039303669.1	NP_001034052.2
OG0001445	XP_011167441.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_011169573.2	NP_648358.2
OG0001453	XP_011166027.1, XP_039311081.1	NP_001285826.1
OG0001455	XP_011158617.2, XP_025990485.1, XP_039309522.1, XP_039309203.1	NP_610092.2
OG0001456	XP_039314390.1, XP_011160138.1	NP_001286295.1
OG0001457	XP_011156838.1	NP_001163688.1
OG0001458	XP_039313170.1, XP_039313172.1, XP_039313171.1	NP_476858.1
OG0001459	XP_039314602.1	NP_001263148.1
OG0001460	XP_011168563.1	NP_476848.1
OG0001461	XP_011166122.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_039313168.1	NP_001262421.1
OG0001463	XP_039314506.1	NP_649574.1
OG0001464	XP_011175504.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_039302626.1, XP_011172138.1, XP_011172139.1	NP_001189124.1
OG0001466	XP_011164329.1, XP_025988877.1	NP_569951.1, NP_611911.1
OG0001467	XP_011171584.1, XP_011171583.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_011168738.1	NP_001260652.1
OG0001469	XP_025992793.1	NP_523568.2
OG0001470	XP_025996653.1	NP_648768.1
OG0001471	XP_011168758.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_011171029.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_025987889.2	NP_001287361.1
OG0001474	XP_011163536.1	NP_609560.2, NP_569850.1
OG0001475	XP_011165353.1	NP_001368987.1
OG0001477	XP_025990076.1	NP_001014453.1
OG0001478	XP_039303041.1, XP_039303040.1, XP_025996444.1, XP_025996445.1, XP_025993296.1	NP_001285042.1
OG0001479	XP_011171853.1	NP_001036624.1
OG0001480	XP_025988609.1, XP_011167365.1	NP_524533.1
OG0001481	XP_011163818.1	NP_001286181.1
OG0001482	XP_025995318.2	NP_651924.2
OG0001483	XP_011158227.2	NP_001262996.1
OG0001484	XP_039313164.1	NP_001188579.1
OG0001485	XP_011158628.1	NP_569913.1
OG0001486	XP_025988210.1	NP_476764.1
OG0001487	XP_011160910.1	NP_001188904.1
OG0001488	XP_011175651.1	NP_001189108.1
OG0001489	XP_011159173.1	NP_648555.1
OG0001491	XP_011173446.1	NP_609228.2
OG0001492	XP_011166609.1	NP_001263168.1
OG0001493	XP_011168223.2, XP_039311783.1, XP_011168226.2	NP_001262195.1
OG0001494	XP_011159518.1, XP_039304095.1, XP_039304096.1, XP_039304094.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_011168272.1	NP_612063.2
OG0001496	XP_011176077.2, XP_011176075.2, XP_011176076.2, XP_011174865.2	NP_609203.1
OG0001497	XP_011165457.1, XP_011165458.1	NP_001260853.1
OG0001498	XP_039305924.1	NP_729823.2
OG0001499	XP_039307688.1, XP_011158157.1, XP_011163631.1	NP_572167.3
OG0001500	XP_039312635.1, XP_039312637.1, XP_039312638.1, XP_039312634.1	NP_730859.1
OG0001501	XP_025988324.1	NP_001303373.1
OG0001502	XP_011166475.1	NP_001261464.1
OG0001503	XP_025996966.1, XP_025996963.2	NP_665880.2
OG0001504	XP_011167263.2	NP_001261440.1
OG0001505	XP_011172206.2	NP_001097527.1
OG0001507	XP_039314299.1	NP_001287269.1
OG0001508	XP_039311816.1	NP_001138130.2
OG0001509	XP_039311684.1	NP_001261116.1
OG0001510	XP_025992335.2, XP_025986196.2	NP_001284936.1
OG0001511	XP_025994312.2, XP_039315233.1, XP_039315195.1, XP_039310857.1	NP_649151.1
OG0001514	XP_011176284.1, XP_011176285.1	NP_001188550.1
OG0001515	XP_025995098.1	NP_001259809.1
OG0001516	XP_011166939.1, XP_039315567.1, XP_039315566.1	NP_001163857.2, NP_001104417.3
OG0001517	XP_025995929.1, XP_039311148.1, XP_025995926.1, XP_039311149.1, XP_025995927.1, XP_025995928.1, XP_025995924.1, XP_025995925.1, XP_025995930.1	NP_731242.1
OG0001518	XP_011175547.2	NP_001036462.1
OG0001519	XP_025995933.2, XP_025995932.2	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001520	XP_011172159.1	NP_001368953.1
OG0001521	XP_039314177.1	NP_523422.4
OG0001522	XP_025988170.1, XP_025988171.1, XP_039312191.1, XP_039312156.1, XP_039312155.1, XP_039312179.1, XP_039312144.1, XP_039312149.1, XP_011168770.1, XP_011168769.1, XP_039312184.1, XP_025988169.1	NP_001096867.3
OG0001524	XP_011168675.2	NP_001261067.1
OG0001525	XP_011159211.1	NP_477026.1
OG0001527	XP_039303803.1, XP_011158352.1	NP_001259089.1
OG0001529	XP_039311427.1	NP_001162930.1
OG0001531	XP_025988753.1	NP_651595.1
OG0001532	XP_011162596.1, XP_039310282.1	NP_001162665.1
OG0001533	XP_025987694.2	NP_728534.2
OG0001534	XP_011156569.2, XP_039308558.1	NP_731923.2
OG0001535	XP_011158713.1	NP_001261999.1
OG0001536	XP_025994747.1, XP_025994749.1, XP_039314099.1	NP_648357.1
OG0001537	XP_011158583.1, XP_039307705.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_025995016.1	NP_995639.1
OG0001539	XP_025989075.1	NP_524017.1
OG0001540	XP_011156938.1	NP_610693.1, NP_610694.1
OG0001541	XP_039305648.1, XP_039305645.1	NP_001261940.1
OG0001542	XP_011176315.1	NP_609207.1
OG0001543	XP_011160969.1	NP_650901.2
OG0001545	XP_011167357.1	NP_523451.2
OG0001546	XP_011173304.1	NP_001247104.1
OG0001548	XP_039312926.1, XP_011167899.2	NP_001285388.1
OG0001551	XP_025991441.1	NP_001246815.1
OG0001552	XP_039306173.1	NP_477317.1
OG0001553	XP_011171181.2	NP_651623.1
OG0001554	XP_025993708.2, XP_011167298.3	NP_001261344.1
OG0001555	XP_039302216.1, XP_039302217.1, XP_039302218.1	NP_001246451.1
OG0001556	XP_011160222.1, XP_011160221.1	NP_726771.1
OG0001557	XP_025987489.1	NP_001260951.1
OG0001558	XP_011164872.1	NP_001245722.1
OG0001559	XP_025995579.2	NP_650472.2
OG0001560	XP_011171066.1, XP_011171068.2	NP_001246228.1
OG0001561	XP_011156748.1	NP_001260963.1
OG0001562	XP_011160241.1	NP_001137943.2
OG0001563	XP_011164698.1, XP_011164700.1	NP_001246300.1
OG0001564	XP_025992928.1, XP_025990449.2, XP_011164166.3, XP_011165913.1	NP_650698.1
OG0001565	XP_011159749.1	NP_001286976.1
OG0001567	XP_011164347.2	NP_001137746.1
OG0001568	XP_039315462.1, XP_011170161.1	NP_001263152.1
OG0001569	XP_039307127.1, XP_011175182.1	NP_477320.1
OG0001570	XP_025996281.1	NP_648176.1
OG0001571	XP_011173525.1	NP_610075.2
OG0001575	XP_025989254.1	NP_524337.1
OG0001576	XP_011162339.1, XP_011162338.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_039314987.1, XP_025990992.2, XP_011156779.2, XP_011156780.2	NP_001285493.1
OG0001579	XP_025990916.1, XP_011161055.1	NP_001097592.1
OG0001580	XP_025989737.2, XP_025989741.2	NP_001285528.1
OG0001581	XP_039312559.1	NP_608983.2
OG0001582	XP_025993005.2, XP_039302703.1, XP_011170369.2	NP_001287593.1
OG0001583	XP_011173101.1, XP_011173102.1	NP_001189157.1
OG0001584	XP_011163216.1, XP_011163212.1	NP_648993.1
OG0001585	XP_011175980.2	NP_001262143.1
OG0001586	XP_011172109.1	NP_647865.2
OG0001587	XP_025992049.1	NP_648090.1
OG0001588	XP_039302461.1, XP_025989691.2	NP_001188558.1
OG0001589	XP_011172968.1	NP_726318.1
OG0001590	XP_011157497.2	NP_572910.1, NP_001285210.1
OG0001591	XP_011168160.3	NP_001286018.1
OG0001592	XP_011171154.1, XP_039310573.1, XP_039310572.1, XP_011171149.1, XP_011171150.1, XP_011171153.1, XP_011171152.1	NP_647896.1
OG0001593	XP_025989465.2	NP_001287342.1
OG0001594	XP_039313370.1	NP_001259723.1
OG0001595	XP_011155321.1, XP_011155323.1	NP_611252.1
OG0001596	XP_011160525.1, XP_039308865.1	NP_730651.1
OG0001597	XP_011161753.1	NP_572854.1
OG0001600	XP_011165848.2	NP_001286151.1
OG0001601	XP_039303295.1	NP_001097706.1
OG0001602	XP_025988800.1, XP_025988804.2	NP_001033958.1
OG0001603	XP_039314417.1, XP_039314415.1, XP_011160104.1, XP_025987808.1, XP_025987807.1, XP_025987806.1, XP_025987809.1	NP_001027070.1
OG0001604	XP_039306393.1, XP_039306391.1	NP_001163129.1
OG0001606	XP_039303892.1	NP_523902.2
OG0001607	XP_025988460.1, XP_039305259.1	NP_001285753.1
OG0001608	XP_039312323.1	NP_001260655.1
OG0001614	XP_039302685.1	NP_001259303.1, NP_569908.1
OG0001615	XP_011159603.1	NP_523764.1
OG0001616	XP_011165539.1	NP_001259833.1
OG0001617	XP_025996452.1	NP_524011.1
OG0001619	XP_039310054.1, XP_039310053.1, XP_025992244.2, XP_011169725.1	NP_652526.1
OG0001620	XP_011172508.2	NP_609496.1
OG0001621	XP_011163719.2	NP_573362.1, NP_729837.1
OG0001622	XP_011163366.1	NP_572536.1
OG0001623	XP_011173601.1	NP_524400.2
OG0001624	XP_025988947.1	NP_788056.1
OG0001625	XP_011158987.1	NP_001262669.1
OG0001626	XP_011166369.1	NP_001259186.1
OG0001627	XP_025992429.1	NP_001303417.1
OG0001628	XP_039313243.1, XP_011165694.2	NP_651052.1
OG0001629	XP_011164801.1, NP_001291532.1	NP_651782.1
OG0001630	XP_011169550.2, XP_011169546.2	NP_729395.2
OG0001631	XP_025994075.2	NP_001261267.1
OG0001632	XP_025996098.1, XP_039312892.1, XP_039312891.1	NP_001245408.1
OG0001633	XP_025990458.1	NP_001246351.1
OG0001634	XP_011163706.1	NP_651054.1
OG0001635	XP_025990186.1	NP_001303479.1
OG0001636	XP_011161744.1	NP_728142.1
OG0001637	XP_011160567.1, XP_039303715.1	NP_612046.1
OG0001638	XP_011173071.2	NP_648826.2
OG0001639	XP_011162004.1, XP_039302197.1	NP_572360.1
OG0001640	XP_011162453.1	NP_477027.1
OG0001641	XP_011167461.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_011161737.1	NP_725207.1
OG0001644	XP_039302614.1, XP_011175857.1, XP_011175856.1	NP_001262395.1
OG0001645	XP_011162052.1, XP_011162053.1	NP_733058.1
OG0001646	XP_025991119.1	NP_001285211.1
OG0001647	XP_011167238.1	NP_570025.1
OG0001648	XP_011161583.1, XP_039310226.1	NP_001287187.1
OG0001649	XP_011160573.1	NP_609720.1, NP_524152.2
OG0001650	XP_039306040.1, XP_039306042.1, XP_039306041.1, XP_039306043.1	NP_648222.3
OG0001651	XP_039307391.1, XP_039307390.1	NP_001259585.1
OG0001652	XP_025989514.1, XP_011170123.1	NP_788858.1
OG0001653	XP_011164509.2	NP_995788.1
OG0001654	XP_025990587.2, XP_011171393.2, XP_025990588.2	NP_001246814.1
OG0001655	XP_011172420.1, XP_011172419.1	NP_001245567.1
OG0001656	XP_025989933.1, XP_011176122.1	NP_569872.1
OG0001657	XP_011156207.1	NP_001286489.1
OG0001658	XP_025987786.1, XP_011169230.1	NP_001259992.1
OG0001659	XP_011156724.2, XP_011156725.1	NP_730944.2
OG0001660	XP_011175649.1	NP_648750.1
OG0001662	XP_011166179.1, XP_011166174.1	NP_001097377.2
OG0001663	XP_011160600.1	NP_649918.1
OG0001664	XP_039315097.1, XP_039315095.1	NP_648183.3
OG0001665	XP_011162304.1	NP_001014619.2
OG0001666	XP_011157454.1	NP_001163472.1, NP_649145.1
OG0001667	XP_039314599.1	NP_001261574.1
OG0001669	XP_011157251.2	NP_001287417.1
OG0001670	XP_039313082.1, XP_025995976.1	NP_001138149.1
OG0001671	XP_039308958.1	NP_732316.2
OG0001672	XP_039303278.1	NP_001246400.1
OG0001673	XP_011156255.2	NP_649883.1
OG0001674	XP_025992958.2, XP_039307971.1, XP_025992957.2, XP_011163203.2	NP_001260539.1
OG0001675	XP_011161210.1, XP_011161211.1	NP_001261382.1
OG0001676	XP_011173208.2	NP_001163073.2
OG0001677	XP_011166896.1	NP_001260561.1
OG0001679	XP_011158431.1	NP_611460.1
OG0001680	XP_011162712.1, XP_039310111.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_039309619.1	NP_001163282.1
OG0001682	XP_011171824.1	NP_001285158.1
OG0001684	XP_011163930.3, XP_039310942.1	NP_001368993.1
OG0001685	XP_039303275.1	NP_001097520.2
OG0001686	XP_011162209.1, XP_039301716.1, XP_039301714.1, XP_039301715.1	NP_731649.2
OG0001687	XP_039309671.1, XP_025992568.1	NP_609069.1
OG0001690	XP_039306829.1, XP_011157264.1	NP_652015.1
OG0001693	XP_025987446.1, XP_039310517.1	NP_001245400.1
OG0001694	XP_011168616.2	NP_610256.1
OG0001695	XP_011156723.1	NP_001262760.1
OG0001696	XP_039310023.1, XP_039310017.1	NP_001247156.1
OG0001697	XP_039304291.1, XP_039304292.1, XP_025993247.1, XP_025993246.1, XP_025993245.1	NP_001245797.1
OG0001698	XP_025995559.2, XP_039312007.1, XP_039308538.1, XP_039308540.1, XP_039308539.1, XP_039303306.1, XP_039307233.1, XP_039310133.1, XP_039305301.1	NP_611941.1
OG0001699	XP_025986701.1, XP_011158791.1, XP_011158789.1, XP_011158790.1	NP_733303.2
OG0001700	XP_011167786.2	NP_001189311.1
OG0001701	XP_025988830.1, XP_011164170.2, XP_039302064.1	NP_995862.1
OG0001702	XP_011162940.1	NP_651170.1
OG0001703	XP_011164234.2, XP_025988895.2, XP_025988894.1	NP_001262871.1, NP_651242.1
OG0001704	XP_011167326.1	NP_001356971.1
OG0001706	XP_011158625.1	NP_001247116.1
OG0001707	XP_011155612.1	NP_001262589.2
OG0001708	XP_011164603.1, XP_025991942.1	NP_001287390.1
OG0001709	XP_025990188.1, XP_025990194.1	NP_001303494.1
OG0001710	XP_039305265.1	NP_573217.1, NP_730784.1
OG0001711	XP_011165612.1	NP_608741.1
OG0001712	XP_011166117.1, XP_011166096.1	NP_001188885.2
OG0001713	XP_011166931.1	NP_001033943.2
OG0001714	XP_011158003.1, XP_025987284.1	NP_649156.1
OG0001715	XP_011159122.2	NP_001285698.1
OG0001716	XP_025989710.2	NP_001163671.1
OG0001717	XP_011155359.1, XP_039311597.1, XP_025991129.1, XP_011155367.1	NP_611675.2
OG0001718	XP_011168466.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_011169234.1	NP_001245568.1
OG0001720	XP_025989851.1, XP_011175636.1, XP_025989850.1	NP_610938.1
OG0001722	XP_011169266.2	NP_723401.1
OG0001723	XP_011173007.1	NP_001188979.1, NP_524242.2, NP_001287190.1
OG0001724	XP_039304618.1, XP_025992218.1	NP_001261391.1
OG0001725	XP_011174902.2	NP_524401.2
OG0001726	XP_025989444.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_011161620.1	NP_001036351.2
OG0001728	XP_039313676.1, XP_039313680.1	NP_001286002.1
OG0001729	XP_039308930.1, XP_039308926.1	NP_001286919.1
OG0001730	XP_025987718.2, XP_025987717.2	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_011175411.2	NP_572995.1, NP_001163445.1
OG0001732	XP_039304441.1, XP_011159479.1	NP_651725.1
OG0001734	XP_039314386.1	NP_608563.1
OG0001735	XP_011170355.1, XP_039305740.1	NP_609387.1
OG0001737	XP_039315088.1, XP_011160101.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_039310354.1	NP_001014543.1
OG0001739	XP_011170792.1	NP_001246653.1
OG0001740	XP_011166965.1, XP_025985931.1	NP_001036555.1
OG0001742	XP_039303639.1, XP_025991103.2	NP_733224.2
OG0001743	XP_011161430.1, XP_011161433.1	NP_001285126.1
OG0001744	XP_039314453.1, XP_039314456.1	NP_651315.2
OG0001745	XP_011162193.2	NP_650743.1
OG0001746	XP_011164075.1	NP_524852.2
OG0001747	XP_039309971.1	NP_001261633.1
OG0001748	XP_039302590.1, XP_039302582.1	NP_001189227.1
OG0001749	XP_039307685.1, XP_039307681.1	NP_001036722.1
OG0001750	XP_011155871.1	NP_001261148.1
OG0001751	XP_011155816.1, XP_011155818.1	NP_001286159.1
OG0001752	XP_039305802.1	NP_651792.1, NP_651791.2
OG0001753	XP_011165025.1, XP_039312598.1, XP_039312597.1, XP_039312596.1	NP_523391.3
OG0001754	XP_039305540.1, XP_039305545.1, XP_011167859.1	NP_651671.1
OG0001755	XP_011158260.1	NP_573318.1, NP_609759.1
OG0001756	XP_039313053.1, XP_039313054.1	NP_649646.3
OG0001757	XP_039308870.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_039303751.1, XP_025990540.1	NP_001163069.1
OG0001759	XP_011170736.1	NP_001287202.1
OG0001760	XP_039311097.1	NP_732069.3
OG0001761	XP_039304606.1	NP_001188832.1
OG0001762	XP_011161105.1, XP_011161112.1	NP_001261764.1
OG0001763	XP_011156236.1	NP_650223.1
OG0001764	XP_025996897.1, XP_039312890.1	NP_001287421.2, NP_650876.1
OG0001765	XP_011156559.1	NP_731461.1
OG0001766	XP_011162202.2, XP_025986966.2	NP_001261659.1
OG0001767	XP_011160151.1	NP_723294.1
OG0001768	XP_011165067.2	NP_572805.1
OG0001771	XP_039302499.1, XP_011173087.2	NP_727732.1, NP_001097831.1
OG0001774	XP_025990865.1	NP_476778.1
OG0001775	XP_025993879.1, XP_011176339.1, XP_011176338.1	NP_523735.2
OG0001776	XP_011166850.1	NP_620470.1
OG0001777	XP_011163067.1	NP_001245758.1
OG0001778	XP_011160655.1, XP_011160649.1	NP_001262233.1
OG0001779	XP_011160763.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_039306100.1, XP_011160811.1	NP_610617.1
OG0001781	XP_011168846.1	NP_650423.1
OG0001782	XP_011168428.1	NP_649000.1
OG0001783	XP_025989077.1, XP_011168314.1	NP_647892.1
OG0001784	XP_011168601.2, XP_011168600.2	NP_001163585.1
OG0001785	XP_011157927.1	NP_524416.1
OG0001786	XP_011164288.1, XP_025988909.1, XP_011164286.1	NP_001260689.1
OG0001787	XP_011165044.1	NP_648786.1
OG0001788	XP_025988821.1, XP_025988822.1	NP_724103.1
OG0001789	XP_011166253.1, XP_011166254.1, XP_039304453.1	NP_651728.1
OG0001790	XP_011163941.1	NP_649460.3
OG0001791	XP_011158709.1	NP_572504.1
OG0001792	XP_011164881.1	NP_611734.1
OG0001793	XP_025989823.1	NP_608828.2
OG0001794	XP_025994735.1, XP_025994732.1	NP_001259442.1
OG0001796	XP_011156619.1	NP_477212.1
OG0001797	XP_011167269.1	NP_523830.2
OG0001798	XP_025995533.2	NP_001260982.1
OG0001799	XP_039311598.1, XP_011168273.2, XP_011168270.2	NP_001260496.1
OG0001800	XP_011168246.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_039303673.1	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001802	XP_011158769.1	NP_001162765.1
OG0001803	XP_039305517.1	NP_001015387.1
OG0001804	XP_011170600.1, XP_011170595.1	NP_728575.2, NP_612081.1
OG0001805	XP_011161311.1, XP_011161313.1, XP_011161312.1, XP_011161314.1	NP_649038.1, NP_730334.2
OG0001806	XP_011175795.2	NP_610087.2
OG0001807	XP_011162553.2	NP_001286460.1
OG0001808	XP_011157802.1	NP_650163.2, NP_650840.1
OG0001809	XP_011155517.1	NP_609837.1
OG0001810	XP_039313299.1, XP_011160318.1	NP_001246271.1
OG0001811	XP_011168515.1	NP_001262677.1
OG0001812	XP_011159277.1, XP_011159276.1, XP_039304732.1	NP_001259970.1
OG0001813	XP_039315397.1	NP_611350.1
OG0001814	XP_025990231.1, XP_039306034.1, XP_039305487.1, XP_039305488.1, XP_039305486.1, XP_039312318.1	NP_524758.1
OG0001815	XP_011163797.1, XP_039306189.1, XP_039306185.1	NP_476667.1, NP_001246493.1
OG0001816	XP_039314317.1	NP_648106.1
OG0001818	XP_025989845.1, XP_025989844.1	NP_001285489.1
OG0001820	XP_011160496.1	NP_649757.1
OG0001821	XP_025991257.1, XP_025991254.1	NP_001287100.1
OG0001822	XP_011162501.1, XP_025987461.1	NP_995873.2
OG0001823	XP_011164610.1, XP_025991955.1	NP_609767.2, NP_001260489.1
OG0001824	XP_011155809.1	NP_001356918.1
OG0001825	XP_025987936.1, XP_025987937.1, XP_025987935.1, XP_025987934.1, XP_025987938.1	NP_001285277.1
OG0001826	XP_011172390.1	NP_610191.2
OG0001827	XP_039304416.1	NP_001261341.1
OG0001828	XP_011168343.1, XP_039309295.1	NP_477184.1
OG0001829	XP_025992741.1, XP_025992742.1, XP_025992743.1, XP_025992744.1, XP_025992745.1	NP_511153.1
OG0001830	XP_011159754.1	NP_001189170.1
OG0001831	XP_025995670.1, XP_025995668.1, XP_025995669.1, XP_039312889.1	NP_648895.1
OG0001832	XP_039315007.1	NP_611293.3
OG0001833	XP_039313344.1	NP_001262071.1
OG0001834	XP_011163399.2	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_011168711.1, XP_011168712.1	NP_648567.2, NP_729801.1
OG0001836	XP_039307187.1	NP_001097041.2
OG0001838	XP_025994570.1, XP_039304235.1, XP_039304229.1, XP_039304230.1, XP_039304231.1, XP_039304232.1, XP_039304234.1, XP_039304228.1	NP_649809.1
OG0001839	XP_039308920.1	NP_001287516.1, NP_524496.1
OG0001840	XP_011159388.1	NP_001287291.1
OG0001841	XP_039303300.1	NP_649554.1
OG0001843	XP_011166162.1	NP_001163392.1
OG0001844	XP_025992119.1	NP_733332.1
OG0001845	XP_011166954.1	NP_649732.1
OG0001846	XP_011155530.1, XP_011155531.1	NP_788721.1
OG0001847	XP_011158153.2, XP_039311870.1, XP_011158155.1	NP_001163705.1
OG0001848	XP_011172427.1	NP_610735.1
OG0001849	XP_011168927.1	NP_001303451.1, NP_524581.1
OG0001850	XP_025991413.1	NP_001097569.1
OG0001851	XP_011159639.2, XP_011159640.2	NP_524795.2
OG0001852	XP_011169062.2	NP_611258.2
