Orthogroup	Solenopsis_invicta	Aedes_aegypti
OG0000365	XP_039306342.1	XP_021696655.1, XP_021696656.1, XP_001652059.2
OG0000367	XP_039311291.1, XP_039308453.1, XP_039308452.1	XP_001650261.2
OG0000368	XP_025990031.1, XP_025993896.1, XP_025993895.1, XP_039303919.1	XP_001649238.1, XP_001649236.1, XP_021705594.1
OG0000369	XP_039304506.1, XP_039304503.1, XP_025996134.1, XP_011160293.2	XP_021706588.1, XP_021708003.1
OG0000370	XP_039306345.1	XP_021712555.1
OG0000372	XP_039313284.1, XP_011166761.1, XP_039309517.1	XP_001653705.2
OG0000374	XP_039313852.1, XP_039310110.1	XP_021710176.1
OG0000375	XP_025996689.1, XP_039307908.1, XP_039307909.1	XP_001652513.1
OG0000376	XP_011174039.1, XP_011174046.1, XP_011174051.1, XP_011174059.1, XP_025996341.1	XP_021711017.1
OG0000377	XP_011162555.1	XP_001660801.2
OG0000377	XP_039310371.1	XP_001652672.1, XP_001652671.1, XP_001652673.1
OG0000378	XP_011175590.1, XP_039313390.1	XP_021709491.1
OG0000379	XP_039308901.1, XP_039308903.1, XP_025991307.1, XP_025991305.1, XP_025991306.1, XP_025991304.1	XP_021704205.1, XP_021704206.1
OG0000380	XP_039310569.1, XP_039310570.1, XP_039310568.1, XP_011171156.1, XP_025992903.1	XP_001658589.2, XP_021700482.1
OG0000381	XP_039307216.1	XP_021709141.1
OG0000381	XP_039302634.1	XP_021708636.1, XP_001653770.1
OG0000382	XP_011170984.1, XP_011162104.2	XP_021712504.1, XP_021705463.1
OG0000384	XP_039303070.1	XP_001660403.1
OG0000384	XP_011157435.1	XP_021708638.1
OG0000385	XP_011166700.1, XP_011166702.1, XP_039310212.1	XP_021712982.1, XP_001649476.1
OG0000386	XP_011167781.2, XP_011167819.2	XP_011493284.1, XP_001651049.1, XP_021694539.1
OG0000387	XP_011161176.1, XP_039304263.1, XP_039301947.1	XP_001651743.2, XP_001651741.2, XP_021706845.1, XP_021706846.1, XP_021707468.1, XP_021707467.1
OG0000388	XP_039308296.1, XP_039308297.1	XP_021694733.1
OG0000388	XP_011173346.1	XP_001659821.1
OG0000389	XP_011165727.1, XP_011172675.1	XP_001653489.2, XP_001653487.1
OG0000390	XP_011173212.1, XP_039309504.1	XP_001652622.1
OG0000391	XP_011158667.1	XP_021708186.1, XP_021708180.1
OG0000392	XP_039313497.1, XP_039315349.1, XP_039313513.1, XP_011169724.1	XP_021694279.1
OG0000393	XP_039305139.1, XP_039303207.1, XP_039313308.1, XP_039309455.1, XP_039309453.1, XP_039309454.1, XP_039301777.1, XP_039312673.1, XP_039312672.1, XP_039301780.1, XP_039301779.1, XP_039312448.1, XP_039309456.1, XP_025997504.1, XP_011172197.3, XP_039302932.1, XP_039305142.1, XP_039315490.1, XP_039315489.1, XP_039305176.1, XP_039303192.1, XP_039315277.1, XP_039304237.1, XP_039315279.1, XP_039303436.1, XP_039304362.1, XP_039310405.1, XP_039302646.1, XP_039302647.1, XP_011156664.1	XP_021708462.1
OG0000394	XP_039313718.1, XP_011165214.1	XP_021705811.1, XP_021705815.1, XP_021705814.1, XP_021705816.1, XP_021705810.1, XP_021705812.1, XP_021705813.1
OG0000395	XP_011163413.1, XP_025991776.2	XP_021711480.1
OG0000396	XP_011157223.1	XP_001649428.2, XP_001651977.1, XP_001651979.1, XP_021694881.1
OG0000397	XP_025988315.1, XP_025988314.1, XP_039309909.1, XP_025988313.1	XP_021705047.1, XP_021705046.1, XP_021712900.1
OG0000398	XP_011173312.2, XP_039306122.1	XP_001654423.1
OG0000399	XP_025986228.2, XP_039308214.1, XP_025986237.2, XP_025986223.2	XP_021701463.1, XP_021701471.1, XP_021701437.1
OG0000400	XP_039301700.1, XP_039315603.1, XP_039315590.1, XP_039315597.1, XP_039315595.1, XP_039315596.1, XP_039315601.1, XP_039315599.1	XP_021708893.1, XP_001657539.2, XP_001657536.2
OG0000402	XP_011160235.1	XP_011492940.1, XP_001658086.2
OG0000403	XP_039308132.1, XP_039308125.1, XP_039308124.1, XP_039308135.1	XP_021702997.1, XP_021702978.1, XP_021702985.1, XP_021702994.1
OG0000405	XP_011176033.1, XP_011176032.1	XP_001663334.1
OG0000406	XP_025988073.2	XP_001656191.2
OG0000406	XP_011175524.1	XP_001657673.2, XP_001657671.1, XP_001657674.2
OG0000407	XP_011168687.1, XP_039306565.1	XP_001650092.2
OG0000408	XP_011173210.1	XP_001656144.1
OG0000408	XP_011163908.1, XP_011163907.1	XP_001649800.1
OG0000409	XP_011155587.1	XP_021710172.1, XP_021710173.1, XP_021710174.1, XP_021710175.1, XP_001652242.1, XP_021710171.1, XP_001652240.1
OG0000410	XP_011176175.2	XP_021706294.1, XP_021706293.1
OG0000410	XP_025986889.1	XP_021700545.1, XP_021700546.1, XP_021711935.1
OG0000411	XP_011160223.1	XP_021698601.1
OG0000411	XP_025995923.1	XP_001664033.2
OG0000412	XP_039306107.1, XP_011172820.1	XP_021698414.1
OG0000413	XP_039307750.1	XP_021704464.1, XP_021704463.1, XP_021704462.1, XP_021704461.1, XP_021704460.1, XP_021704471.1, XP_021704472.1, XP_021704469.1, XP_021704470.1, XP_021704467.1, XP_021704468.1, XP_021704465.1, XP_021704466.1
OG0000415	XP_011168828.1	XP_021707878.1
OG0000416	XP_025994445.1, XP_039306718.1, XP_039312858.1	XP_001648022.2
OG0000417	XP_039311146.1	XP_001656516.2
OG0000417	XP_011159178.1	XP_001660338.2
OG0000418	XP_039314069.1, XP_039314068.1, XP_025995255.2, XP_039314062.1	XP_001658954.1
OG0000418	XP_011175472.1	XP_021700067.1
OG0000419	XP_011170168.1, XP_039315218.1, XP_039315217.1, XP_011170167.1, XP_039315473.1, XP_011170169.1, XP_011170165.1, XP_011170166.1, XP_039315470.1, XP_039315471.1, XP_039315474.1, XP_039315475.1, XP_039315472.1	XP_001650207.1
OG0000420	XP_011167142.1	XP_001654248.2, XP_001663090.2, XP_001663089.2
OG0000421	XP_025995747.1, XP_025995746.1, XP_025995745.1, XP_025995744.1	XP_021710730.1
OG0000422	XP_039308629.1	XP_021695345.1
OG0000423	XP_039305511.1, XP_039305512.1, XP_039305509.1, XP_039305510.1, XP_039305508.1, XP_039305513.1, XP_039305514.1, XP_039305516.1, XP_039305515.1, XP_011173532.1	XP_021700803.1, XP_021700802.1, XP_001654139.1, XP_001654140.1
OG0000424	XP_025987000.1	XP_001660884.1, XP_001660885.1
OG0000425	XP_011168938.1, XP_025993412.1	XP_001661159.1
OG0000426	XP_011162778.1	XP_001648511.1, XP_021706083.1
OG0000427	XP_025988512.1	XP_021693479.1
OG0000428	XP_025989494.1	XP_001652376.3
OG0000428	XP_025986434.1	XP_021713276.1
OG0000429	XP_039308806.1, XP_011155459.1, XP_011155455.1, XP_011155458.1, XP_011155456.1, XP_039308807.1, XP_039308805.1	XP_021708592.1
OG0000430	XP_011169019.1	XP_001651734.2
OG0000431	XP_025993326.1, XP_039304285.1, XP_039304250.1	XP_001654510.2, XP_021699064.1, XP_001654511.2, XP_021699065.1, XP_011493547.2, XP_021694254.1, XP_021699035.1, XP_021695235.1
OG0000432	XP_039302936.1, XP_011165414.1, XP_011165415.1, XP_011165413.1	XP_021693214.1, XP_001660788.2
OG0000433	XP_011171476.1	XP_021706095.1
OG0000433	XP_011160901.2	XP_021707462.1
OG0000436	XP_039308293.1, XP_039308289.1	XP_021707245.1, XP_021707240.1
OG0000436	XP_025997109.2	XP_001648952.2
OG0000437	XP_039313661.1, XP_039313660.1, XP_011163984.1, XP_011163985.1	XP_001652247.1
OG0000438	XP_011169727.2	XP_021707499.1
OG0000439	XP_011159444.1	XP_021708260.1
OG0000440	XP_011157156.1	XP_021693136.1
OG0000441	XP_025994829.1, XP_039313740.1, XP_011163376.1, XP_025994830.1	XP_021703713.1, XP_021703712.1, XP_021703709.1, XP_021703711.1
OG0000442	XP_011175728.1, XP_039312916.1, XP_039312917.1	XP_021698175.1, XP_021698170.1
OG0000443	XP_011166034.1, XP_011166447.2	XP_021696026.1
OG0000444	XP_011168529.1	XP_001659746.2
OG0000445	XP_011161822.1	XP_021701995.1, XP_021701992.1, XP_021701996.1, XP_021701994.1
OG0000445	XP_011161821.1	XP_021701997.1
OG0000446	XP_011170954.2, XP_011161784.2	XP_021703072.1, XP_021703048.1, XP_021703054.1, XP_001658093.2, XP_021703060.1
OG0000447	XP_025994302.2, XP_011169173.2	XP_001660470.2, XP_001660472.2
OG0000448	XP_025990261.1, XP_011163721.1, XP_011163722.1, XP_039310744.1	XP_001649735.1
OG0000449	XP_011156237.1, XP_011156238.1, XP_011156239.1	XP_001652874.1
OG0000451	XP_011172774.1, XP_039307289.1	XP_001655826.2
OG0000452	XP_039308636.1	XP_001648925.2
OG0000452	XP_025987628.1	XP_001648027.2
OG0000453	XP_011160816.1	XP_021697495.1
OG0000454	XP_011168930.2, XP_039312833.1	XP_021706461.1
OG0000455	XP_025989327.1, XP_025989325.1, XP_011158642.1, XP_011158643.1	XP_001652284.1, XP_021706466.1, XP_021706467.1
OG0000456	XP_011160275.1	XP_001654206.1, XP_001654207.2, XP_001650194.1
OG0000457	XP_025994414.1	XP_021706429.1, XP_021711607.1, XP_021711608.1
OG0000458	XP_011168081.1, XP_011168083.1, XP_011168082.1	XP_001660837.1
OG0000459	XP_025986179.1, XP_011159840.1, XP_011159841.1, XP_011159839.1, XP_011159843.1	XP_021706301.1, XP_021706296.1, XP_021706297.1, XP_021706298.1, XP_021706299.1, XP_021706300.1, XP_021706302.1
OG0000460	XP_039307556.1	XP_001649855.2
OG0000461	XP_039310715.1	XP_021695522.1
OG0000462	XP_039315142.1, XP_039315141.1, XP_011155777.1	XP_001661490.1
OG0000463	XP_011156288.1	XP_021701569.1, XP_021701573.1, XP_001658986.1, XP_021702949.1
OG0000464	XP_039302380.1, XP_039307505.1	XP_021692926.1, XP_021692928.1
OG0000466	XP_039311751.1, XP_039311750.1, XP_039311752.1, XP_011164748.3	XP_021701291.1, XP_021701290.1, XP_021701289.1, XP_021701288.1, XP_021701299.1, XP_021701298.1, XP_021701297.1, XP_001648093.1, XP_001648092.1, XP_001648088.2, XP_021701300.1
OG0000467	XP_011171825.1, XP_011171844.1, XP_039302512.1, XP_039302510.1, XP_025989598.1, XP_039302509.1	XP_021704958.1
OG0000468	XP_039304139.1	XP_021701552.1
OG0000469	XP_039305286.1, XP_039305285.1	XP_001657083.2
OG0000470	XP_011167300.1	XP_021703041.1, XP_021703042.1, XP_001658302.1
OG0000471	XP_011156615.1, XP_011156613.1, XP_039307156.1	XP_021702045.1, XP_011493210.1
OG0000472	XP_039308997.1	XP_021694230.1, XP_021694226.1, XP_021694200.1, XP_021694194.1, XP_021694186.1, XP_021694182.1, XP_021694212.1, XP_021694219.1, XP_021694207.1, XP_021694174.1
OG0000475	XP_011160619.1	XP_001658443.1
OG0000476	XP_039307257.1, XP_039306344.1, XP_025986350.2, XP_039309974.1, XP_039309976.1, XP_011172993.2, XP_039309975.1, XP_011164250.1, XP_025988917.1, XP_025986338.2, XP_011165951.1, XP_025993811.1	XP_001651876.1
OG0000477	XP_025996089.1	XP_001653252.2, XP_021698468.1
OG0000477	XP_011168899.2	XP_021705457.1
OG0000478	XP_011173143.1	XP_021710495.1
OG0000479	XP_039301991.1	XP_021699545.1, XP_021699548.1, XP_021699547.1, XP_021699553.1, XP_021699551.1, XP_021699552.1, XP_021699549.1, XP_021699550.1, XP_021704290.1
OG0000480	XP_025992857.1	XP_001647877.2, XP_021707116.1, XP_021709330.1, XP_001647875.1, XP_001647874.3
OG0000482	XP_011156601.1	XP_021709780.1, XP_021709778.1, XP_021709784.1, XP_021709783.1, XP_021709782.1, XP_021709781.1, XP_021709786.1, XP_021709785.1, XP_021709779.1
OG0000483	XP_025993672.1, XP_039307370.1	XP_021710437.1, XP_001651282.2, XP_001651280.2, XP_001651281.2, XP_001651279.2
OG0000484	XP_011163920.2, XP_025992083.2, XP_039311033.1, XP_039311035.1, XP_039311034.1	XP_001655592.2
OG0000485	XP_011174858.1, XP_039309923.1, XP_039309926.1, XP_039309933.1, XP_025988305.2, XP_011174835.2, XP_011174840.2	XP_021702534.1, XP_001649650.1
OG0000486	XP_039310943.1	XP_021695997.1
OG0000487	XP_011165857.1, XP_039303806.1, XP_039303805.1, XP_011165860.1, XP_011165859.1	XP_021695383.1, XP_001648267.1, XP_021695379.1
OG0000488	XP_039314622.1	XP_021704843.1, XP_021704842.1, XP_021704841.1
OG0000489	XP_011157401.1, XP_011157406.1, XP_011157405.1, XP_011157404.1, XP_011157402.1	XP_021710339.1, XP_021710340.1, XP_001651533.1
OG0000490	XP_011164822.1	XP_021705413.1
OG0000492	XP_011156001.1, XP_011156002.1, XP_039308490.1, XP_039308501.1	XP_021700463.1, XP_021700462.1, XP_001658450.1
OG0000493	XP_011171302.2, XP_011171304.2, XP_011171303.2	XP_021706430.1
OG0000495	XP_039310887.1, XP_039310888.1, XP_039310889.1, XP_039310890.1, XP_039310891.1, XP_039310892.1, XP_039310893.1, XP_039310894.1, XP_039310895.1, XP_039310896.1	XP_001648105.2
OG0000496	XP_011166398.1, XP_011166382.1, XP_011166390.1, XP_025988359.1	XP_001663387.2
OG0000497	XP_039309094.1	XP_021695023.1
OG0000497	XP_025994815.1	XP_021702634.1
OG0000498	XP_039313807.1, XP_011163998.1	XP_001661660.2
OG0000500	XP_011157702.1	XP_021694568.1, XP_021694566.1, XP_021694563.1
OG0000501	XP_011166207.2	XP_001653016.2, XP_021703695.1
OG0000501	XP_011166208.1	XP_021694596.1, XP_021694597.1
OG0000502	XP_011159324.1	XP_001656851.2
OG0000503	XP_011155986.1	XP_001654241.1, XP_001654242.1, XP_001654243.1
OG0000504	XP_011159264.1	XP_021703514.1, XP_021703513.1, XP_021701404.1
OG0000505	XP_011161158.1	XP_021702952.1
OG0000506	XP_011172101.2	XP_021701340.1
OG0000507	XP_011161050.2, XP_011161049.1, XP_011161048.1, XP_011161052.1, XP_011161051.1	XP_001650838.1
OG0000508	NP_001291529.1	XP_001651210.2
OG0000509	XP_011162988.1	XP_001652172.1
OG0000509	XP_025990433.1	XP_001653284.2, XP_001653283.2, XP_001653282.2, XP_001663616.1, XP_021711678.1, XP_001658576.2
OG0000510	XP_025996242.1	XP_001653296.1
OG0000511	XP_039307912.1, XP_025987206.1, XP_039303240.1, XP_039307466.1, XP_039307486.1, XP_039307477.1, XP_039307548.1, XP_039307483.1, XP_039307473.1, XP_011160654.3, XP_039303270.1, XP_011170953.1, XP_025987072.2, XP_039307491.1, XP_039307490.1, XP_011158237.1, XP_039307560.1	XP_001658148.2
OG0000512	XP_039306949.1, XP_039306946.1, XP_011166406.1, XP_039306944.1	XP_021702145.1, XP_021702094.1
OG0000513	XP_011172177.1	XP_021710290.1, XP_021712771.1, XP_021712773.1
OG0000516	XP_011172056.1	XP_021708197.1, XP_021708196.1, XP_021708199.1, XP_021708200.1, XP_021708198.1, XP_021708201.1, XP_001662234.1
OG0000517	XP_011163700.2, XP_039309232.1	XP_001657864.1
OG0000518	XP_011175188.2, XP_011175189.2, XP_011175191.2	XP_021696668.1
OG0000519	XP_025991738.1, XP_011159219.1, XP_011159221.1, XP_039308221.1, XP_039308220.1	XP_021697084.1, XP_021697086.1
OG0000520	XP_011166082.1, XP_011166083.1	XP_001649250.2
OG0000520	XP_025994954.1, XP_025994953.1	XP_001648026.2
OG0000521	XP_011166943.1	XP_001661210.1
OG0000522	XP_011167766.2	XP_021693794.1
OG0000523	XP_025986325.2	XP_021702865.1, XP_021702855.1, XP_021702857.1, XP_021702876.1, XP_021702866.1, XP_021702873.1
OG0000524	XP_025986063.1	XP_001659801.1
OG0000525	XP_025993000.2	XP_001661531.2, XP_021713368.1, XP_021713369.1, XP_021713370.1
OG0000526	XP_011163487.3	XP_021702254.1, XP_001656626.1, XP_001662460.1
OG0000528	XP_011164853.1	XP_021705369.1, XP_001649403.2
OG0000529	XP_039309772.1, XP_011161552.1, XP_011165420.2	XP_021701188.1
OG0000530	XP_011157307.1	XP_001657237.1
OG0000530	XP_011157306.1	XP_001652432.2
OG0000531	XP_039314365.1	XP_021699072.1, XP_021699071.1, XP_021699070.1, XP_021699069.1, XP_021699073.1, XP_021699075.1
OG0000533	XP_039310971.1, XP_039310972.1, XP_011165801.2, XP_025994422.2	XP_021708731.1, XP_021708732.1, XP_021708733.1, XP_021708734.1
OG0000536	XP_011161602.1, XP_039310223.1, XP_039310224.1	XP_021703420.1
OG0000536	XP_025987440.1, XP_025987439.1	XP_021708175.1
OG0000538	XP_011168662.1	XP_021703150.1, XP_021703149.1, XP_021703148.1, XP_021703147.1
OG0000540	XP_039309898.1, NP_001291538.1	XP_021697332.1
OG0000541	XP_039308180.1	XP_021702486.1, XP_021702483.1, XP_021702508.1, XP_021702503.1, XP_021702455.1, XP_021702447.1, XP_021702451.1, XP_021702493.1, XP_021702498.1, XP_021702466.1, XP_021702462.1, XP_021702474.1
OG0000543	XP_039314361.1	XP_021707722.1, XP_021707736.1, XP_021707758.1, XP_021707756.1, XP_021707752.1, XP_021707749.1, XP_021707746.1, XP_021707727.1
OG0000544	XP_011159201.2, XP_039309904.1	XP_021696024.1, XP_021698174.1
OG0000545	XP_011172555.1	XP_021703894.1, XP_001652105.2, XP_001652108.2, XP_001652111.2, XP_021703903.1
OG0000546	XP_011166500.2, XP_025990179.1	XP_021706384.1, XP_001659429.1, XP_001659428.2, XP_001653819.1
OG0000547	XP_011158548.1	XP_001656924.2, XP_021705374.1, XP_001660875.1
OG0000548	XP_039314101.1	XP_001661339.1
OG0000551	XP_011160212.1	XP_021699087.1, XP_021699092.1, XP_021699084.1, XP_021699097.1
OG0000552	XP_011169733.1	XP_001662524.1
OG0000553	XP_011162424.1	XP_021708280.1
OG0000554	XP_025989623.1, XP_039315055.1	XP_001651589.1
OG0000555	XP_011160545.1	XP_011493026.1
OG0000556	XP_011155655.1	XP_001664323.1
OG0000557	XP_011159193.1	XP_021708578.1, XP_021708577.1, XP_001658942.1, XP_021708576.1
OG0000558	XP_011165104.2	XP_021705955.1
OG0000558	XP_011155663.1	XP_001661161.2
OG0000559	XP_011170518.1	XP_021694758.1
OG0000560	XP_011165828.1, XP_025993242.1, XP_011165827.1, XP_039303889.1, XP_039303890.1	XP_011493224.1
OG0000561	XP_011169324.1	XP_021693095.1, XP_021693096.1, XP_001650865.2
OG0000561	XP_025992227.2	XP_021710635.1
OG0000562	XP_011159988.1	XP_021710179.1, XP_021710180.1
OG0000563	XP_025989096.1, XP_025989094.1, XP_025989095.1	XP_021712485.1, XP_001661978.1
OG0000564	XP_025989595.2, XP_011171715.1	XP_021695105.1
OG0000565	XP_011157246.1, XP_039303576.1, XP_039312791.1	XP_021698255.1, XP_021695627.1
OG0000566	XP_011156845.2	XP_001651912.2, XP_001651911.2, XP_001648468.1, XP_001648469.1
OG0000567	XP_011168976.1, XP_011172612.2	XP_021695415.1
OG0000568	XP_025986039.1	XP_001659918.1, XP_021712686.1
OG0000569	XP_039312304.1	XP_001651163.1
OG0000569	XP_011157244.1	XP_021704891.1
OG0000570	XP_039314374.1, XP_025987778.1, XP_025987776.1, XP_025987777.1	XP_021694023.1
OG0000571	XP_011157319.2, XP_039306862.1, XP_039306865.1	XP_021694767.1
OG0000572	XP_039311184.1	XP_021711921.1, XP_001658266.2, XP_021699807.1, XP_021699806.1, XP_021699805.1
OG0000573	XP_011162484.1, XP_011162486.1	XP_001652109.1
OG0000574	XP_011175919.1	XP_001659464.1, XP_021706993.1, XP_021706994.1, XP_021706997.1, XP_021706996.1
OG0000575	XP_025990180.1, XP_011166359.2	XP_001661761.2, XP_021709804.1, XP_021707415.1
OG0000576	XP_025993714.1, XP_025993716.1, XP_025993717.1	XP_021703039.1, XP_021703040.1, XP_021703038.1, XP_021703037.1
OG0000577	XP_025992633.1, XP_039303177.1, XP_011161740.1, XP_011161743.1	XP_021708433.1, XP_021708434.1, XP_021708431.1, XP_021708432.1, XP_021708430.1, XP_021708429.1, XP_021708423.1, XP_021708422.1, XP_021708421.1, XP_021708428.1, XP_021708427.1, XP_021708426.1, XP_021708425.1
OG0000582	XP_011160599.1	XP_021697532.1
OG0000584	XP_039302271.1	XP_001650293.2, XP_021694535.1
OG0000585	XP_011170883.1, XP_011169115.1	XP_001656098.1
OG0000586	XP_011165979.1, XP_011165978.1	XP_001660815.1
OG0000587	XP_039303764.1	XP_021711831.1, XP_001660614.1
OG0000588	XP_039307024.1	XP_001649479.2
OG0000589	XP_025989087.1, XP_039309540.1, XP_039309539.1	XP_021695447.1, XP_021695446.1, XP_021695448.1, XP_021695445.1, XP_001653412.2
OG0000591	XP_011172770.1, XP_011172760.1, XP_011172764.1	XP_001650539.1
OG0000591	XP_011172322.1	XP_001649286.1
OG0000592	XP_011164060.2	XP_021699972.1, XP_001663028.2
OG0000593	XP_025990297.2, XP_039306195.1	XP_001660679.1, XP_001660678.1
OG0000594	XP_011169319.1, XP_039310004.1	XP_001654700.2
OG0000595	XP_011157974.1	XP_001649136.1
OG0000595	XP_011157972.1	XP_001661858.2
OG0000596	XP_011172107.2, XP_011172105.3	XP_021693452.1, XP_021693453.1
OG0000597	XP_011165992.1, XP_039310829.1	XP_021698278.1, XP_021698279.1
OG0000598	XP_011155600.1	XP_001659256.2, XP_021695781.1, XP_001659257.1
OG0000598	XP_039302656.1	XP_001654817.2
OG0000599	XP_039309902.1, XP_011161560.1, XP_039309903.1	XP_021696323.1, XP_021696329.1
OG0000600	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1	XP_021700570.1
OG0000601	XP_011163933.1	XP_001648827.1
OG0000601	XP_039311063.1, XP_011163934.1	XP_021693386.1
OG0000602	XP_011173207.2	XP_001650696.2
OG0000603	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1	XP_001649002.2
OG0000604	XP_011163407.2, XP_011163369.1	XP_001651423.1
OG0000605	XP_039303191.1	XP_001655241.2
OG0000606	XP_011162133.1	XP_001650867.1
OG0000609	XP_039302838.1, XP_011167460.2	XP_021705402.1
OG0000611	XP_039304710.1, XP_011166113.1, XP_011166114.1	XP_021705600.1
OG0000612	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1	XP_001653457.2
OG0000613	XP_011156407.1, XP_011156404.1	XP_021694777.1
OG0000614	XP_039308727.1	XP_021693554.1
OG0000614	XP_039311099.1	XP_021711539.1
OG0000615	XP_011156604.2	XP_021711725.1, XP_001658157.2
OG0000616	XP_039305832.1, XP_039305828.1, XP_039305833.1	XP_021704758.1
OG0000619	XP_011173657.1, XP_011173658.1, XP_025987595.1	XP_021704628.1
OG0000620	XP_011169601.1	XP_001661768.1
OG0000621	XP_039312703.1	XP_001648135.2, XP_021705075.1, XP_021705072.1, XP_021705073.1, XP_021705074.1, XP_001648134.2
OG0000622	XP_011169602.1	XP_001662433.1, XP_021712719.1, XP_021712718.1
OG0000623	XP_039313782.1, XP_011164272.1	XP_001653066.1
OG0000624	XP_011157512.1, XP_039302508.1	XP_001659273.2, XP_001659274.2
OG0000625	XP_011163576.1	XP_001660334.1
OG0000626	XP_011155744.2	XP_001648394.2
OG0000627	XP_025987673.1	XP_021697640.1, XP_021697637.1, XP_021697638.1, XP_021697642.1, XP_021697641.1, XP_021697639.1, XP_001659842.2, XP_021695196.1
OG0000628	XP_025996176.1	XP_021705468.1, XP_021705465.1, XP_021705466.1, XP_021705467.1
OG0000629	XP_011170977.2	XP_001654368.2
OG0000630	XP_025991600.2, XP_039306780.1	XP_001650049.1
OG0000631	XP_039306909.1	XP_001653408.1
OG0000632	XP_039309842.1, XP_011155541.1	XP_001653010.1
OG0000633	XP_011172797.1	XP_001661589.1
OG0000634	XP_011159579.2	XP_021700196.1, XP_021700197.1, XP_001661395.3
OG0000634	XP_011159577.1	XP_021700198.1
OG0000635	XP_011161776.2, XP_025986615.1, XP_039301712.1	XP_021702709.1
OG0000636	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1	XP_021700536.1
OG0000637	XP_011160711.2	XP_021694209.1
OG0000638	XP_011169107.1, XP_011169109.1	XP_021713263.1, XP_021713264.1, XP_021713265.1, XP_021712262.1
OG0000639	XP_039305053.1, XP_011158830.1	XP_021711783.1, XP_021705055.1, XP_021705053.1, XP_021705056.1, XP_001650414.1, XP_021705054.1
OG0000640	XP_011160127.1	XP_001660194.1
OG0000641	XP_011162857.1	XP_001663795.2
OG0000642	XP_011167158.1	XP_021697085.1, XP_021697092.1, XP_021697066.1, XP_021697074.1, XP_021697077.1, XP_021697071.1
OG0000643	XP_011160706.1	XP_001653106.2
OG0000643	XP_011160705.2	XP_001653107.2
OG0000644	XP_011155802.1, XP_011155801.1	XP_001651886.1
OG0000645	XP_011165880.1	XP_021695400.1, XP_001650493.2, XP_021695398.1, XP_021695399.1
OG0000645	XP_011165878.1, XP_011165879.1	XP_021713279.1
OG0000646	XP_011156050.1	XP_021704083.1, XP_001647614.2, XP_021699401.1
OG0000647	XP_025990863.1, XP_025990862.1	XP_001651790.1, XP_021707665.1
OG0000649	XP_011160804.1	XP_021698167.1, XP_021698166.1, XP_021698165.1, XP_021698164.1, XP_021698169.1, XP_021698168.1, XP_021698161.1, XP_021698162.1, XP_021698163.1
OG0000650	XP_039308781.1, XP_011168549.1, XP_011168547.1	XP_021706698.1, XP_021706697.1, XP_021706699.1, XP_021706700.1
OG0000651	XP_039301926.1	XP_021700660.1
OG0000651	XP_039303055.1	XP_021703567.1
OG0000653	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1	XP_001652724.2, XP_021700158.1
OG0000655	XP_025992461.2	XP_021708307.1
OG0000656	XP_011175984.1	XP_021696153.1, XP_021696156.1, XP_021696154.1
OG0000657	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1	XP_001653865.1
OG0000659	XP_011173530.2	XP_021712818.1, XP_001661899.2, XP_021712276.1, XP_021710211.1, XP_021712391.1
OG0000660	XP_025989970.1	XP_001649277.2, XP_001649281.2, XP_001649276.1, XP_001649279.2
OG0000661	XP_025988975.1	XP_021703014.1, XP_021703018.1
OG0000661	XP_039303215.1	XP_021695341.1
OG0000662	XP_011175457.1	XP_001655105.1, XP_021706637.1, XP_021706638.1, XP_021712090.1, XP_021712088.1, XP_021712089.1, XP_021712086.1, XP_021712087.1, XP_021712085.1, XP_021706635.1, XP_011493585.1, XP_021706636.1
OG0000663	XP_025986599.1	XP_021703319.1, XP_021703302.1, XP_021703320.1
OG0000664	XP_025992680.2	XP_021700002.1, XP_021699998.1
OG0000665	XP_011170315.1	XP_001657401.2, XP_001652590.1
OG0000666	XP_011171071.1, XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1	XP_001650051.2, XP_001650053.1
OG0000667	XP_039310656.1, XP_011164614.1	XP_021701622.1
OG0000668	XP_039306186.1	XP_021698067.1
OG0000669	XP_025988961.1, XP_039302920.1, XP_011175851.1	XP_021693010.1
OG0000670	XP_011159463.1	XP_001660217.1, XP_001660218.1, XP_001660220.1, XP_001647804.2, XP_001660331.1, XP_001647805.2, XP_001647808.2, XP_021694062.1
OG0000672	XP_011160324.2, XP_011160332.1	XP_021700738.1
OG0000673	XP_025991633.2, XP_025991631.2, XP_025991632.2	XP_021705518.1
OG0000674	XP_039310353.1, XP_011162427.1, XP_039310351.1, XP_039310352.1	XP_021709463.1, XP_021709464.1
OG0000680	XP_011167693.1, XP_011167708.1, XP_011167701.1	XP_001657955.1
OG0000681	NP_001291522.1	XP_001651827.2
