Orthogroup	Osmia_lignaria	Dufourea_novaeangliae
OG0001637	XP_034186303.1	XP_015438471.1
OG0001638	XP_034183007.1	XP_015436694.1
OG0001639	XP_034180776.1, XP_034180777.1	XP_015439029.1
OG0001640	XP_034194872.1	XP_015431082.1
OG0001641	XP_034176839.1	XP_015439784.1
OG0001642	XP_034171631.1, XP_034171630.1	XP_015431984.1
OG0001643	XP_034191872.1	XP_015439008.1
OG0001644	XP_034185545.1	XP_015430397.1
OG0001645	XP_034185350.1	XP_015430949.1
OG0001646	XP_034174614.1	XP_015431656.1
OG0001647	XP_034180184.1	XP_015430219.1
OG0001648	XP_034172958.1, XP_034172955.1, XP_034172957.1, XP_034172959.1, XP_034172960.1	XP_015432949.1
OG0001649	XP_034173439.1	XP_015436244.1, XP_015436245.1
OG0001650	XP_034191719.1, XP_034191717.1, XP_034191718.1	XP_015431083.1
OG0001651	XP_034175140.1	XP_015438881.1
OG0001652	XP_034181197.1	XP_015429221.1
OG0001653	XP_034189073.1, XP_034189072.1	XP_015435705.1
OG0001654	XP_034183183.1, XP_034183184.1, XP_034183185.1	XP_015434641.1
OG0001655	XP_034172908.1	XP_015437882.1
OG0001656	XP_034189347.1, XP_034189348.1, XP_034189346.1, XP_034189345.1, XP_034189351.1, XP_034189344.1, XP_034189350.1	XP_015435340.1
OG0001657	XP_034179129.1, XP_034179135.1	XP_015437247.1
OG0001658	XP_034174459.1	XP_015430715.1, XP_015430714.1, XP_015430716.1
OG0001659	XP_034193729.1	XP_015432457.1
OG0001660	XP_034195959.1	XP_015438405.1
OG0001661	XP_034186022.1	XP_015431340.1
OG0001662	XP_034193742.1	XP_015439420.1
OG0001663	XP_034189821.1	XP_015438569.1
OG0001664	XP_034177352.1	XP_015439931.1, XP_015439932.1
OG0001665	XP_034176588.1	XP_015438873.1
OG0001666	XP_034172970.1, XP_034172968.1	XP_015431000.1, XP_015430992.1, XP_015430984.1
OG0001667	XP_034177698.1, XP_034177697.1	XP_015440075.1
OG0001668	XP_034189905.1	XP_015439637.1
OG0001669	XP_034187750.1	XP_015428749.1
OG0001670	XP_034171597.1	XP_015432625.1
OG0001671	XP_034183740.1	XP_015437645.1
OG0001672	XP_034186835.1	XP_015433859.1, XP_015433860.1, XP_015433858.1, XP_015433857.1
OG0001673	XP_034172570.1, XP_034172571.1, XP_034172569.1, XP_034172568.1	XP_015435389.1
OG0001674	XP_034173371.1	XP_015435396.1
OG0001675	XP_034191504.1	XP_015434148.1
OG0001676	XP_034172715.1	XP_015436065.1
OG0001677	XP_034195937.1	XP_015437146.1
OG0001678	XP_034187292.1, XP_034187302.1, XP_034187313.1	XP_015429968.1
OG0001679	XP_034176407.1, XP_034176406.1	XP_015428407.1
OG0001680	XP_034190890.1, XP_034190891.1	XP_015438640.1
OG0001681	XP_034178076.1	XP_015432354.1, XP_015432355.1
OG0001682	XP_034182602.1	XP_015433709.1, XP_015433707.1
OG0001683	XP_034181453.1	XP_015436001.1
OG0001684	XP_034179018.1	XP_015433128.1
OG0001684	XP_034179160.1	XP_015433129.1
OG0001685	XP_034182718.1	XP_015434220.1
OG0001686	XP_034195085.1	XP_015434580.1
OG0001687	XP_034178035.1	XP_015428605.1, XP_015428513.1
OG0001688	XP_034192136.1	XP_015438970.1
OG0001689	XP_034178702.1	XP_015428620.1
OG0001690	XP_034180734.1, XP_034180732.1	XP_015434158.1
OG0001691	XP_034180959.1	XP_015434721.1, XP_015434720.1
OG0001692	XP_034191178.1, XP_034191179.1, XP_034191180.1	XP_015430360.1
OG0001693	XP_034181482.1, XP_034181481.1, XP_034181483.1, XP_034181484.1, XP_034181480.1	XP_015435976.1
OG0001694	XP_034188178.1, XP_034188179.1, XP_034188177.1	XP_015429361.1
OG0001695	XP_034193696.1	XP_015432515.1
OG0001696	XP_034173332.1, XP_034173325.1	XP_015430092.1
OG0001697	XP_034193517.1	XP_015432434.1
OG0001699	XP_034181669.1	XP_015435957.1
OG0001700	XP_034178857.1	XP_015434826.1
OG0001701	XP_034183579.1	XP_015433455.1
OG0001702	XP_034193402.1, XP_034193401.1, XP_034193400.1	XP_015437088.1
OG0001703	XP_034183441.1	XP_015432536.1
OG0001704	XP_034191350.1, XP_034191349.1	XP_015438712.1
OG0001705	XP_034192182.1	XP_015433443.1, XP_015429654.1
OG0001706	XP_034171613.1, XP_034171612.1, XP_034171609.1, XP_034171611.1, XP_034171608.1	XP_015440142.1
OG0001707	XP_034196072.1	XP_015429567.1
OG0001708	XP_034181218.1	XP_015429635.1
OG0001709	XP_034194496.1, XP_034194475.1	XP_015429365.1
OG0001710	XP_034171825.1	XP_015429177.1
OG0001711	XP_034187450.1	XP_015436935.1
OG0001712	XP_034178716.1, XP_034178717.1	XP_015437609.1
OG0001713	XP_034194977.1	XP_015439138.1
OG0001714	XP_034195145.1	XP_015435172.1
OG0001715	XP_034194755.1, XP_034194753.1, XP_034194754.1, XP_034194752.1	XP_015432563.1
OG0001716	XP_034196015.1	XP_015432047.1
OG0001717	XP_034174613.1	XP_015431723.1
OG0001718	XP_034172325.1	XP_015436538.1
OG0001719	XP_034172915.1	XP_015432932.1
OG0001720	XP_034181181.1, XP_034181183.1	XP_015429615.1
OG0001721	XP_034174310.1, XP_034174311.1	XP_015437587.1
OG0001722	XP_034176979.1, XP_034176976.1, XP_034176978.1	XP_015440203.1
OG0001724	XP_034192743.1	XP_015440037.1
OG0001725	XP_034191069.1	XP_015430311.1
OG0001726	XP_034186345.1	XP_015433761.1
OG0001727	XP_034186260.1	XP_015431273.1
OG0001728	XP_034186922.1, XP_034186915.1	XP_015432270.1, XP_015432269.1
OG0001729	XP_034185902.1	XP_015428887.1
OG0001730	XP_034173907.1	XP_015439766.1, XP_015439728.1
OG0001731	XP_034195036.1, XP_034195028.1	XP_015431999.1
OG0001732	XP_034177503.1	XP_015439971.1, XP_015439970.1
OG0001733	XP_034179672.1	XP_015430373.1
OG0001734	XP_034196057.1	XP_015430313.1
OG0001735	XP_034189228.1, XP_034189227.1, XP_034189230.1	XP_015434941.1
OG0001736	XP_034182031.1	XP_015431447.1
OG0001737	XP_034187380.1, XP_034187370.1, XP_034187361.1, XP_034187354.1	XP_015429823.1
OG0001738	XP_034188674.1	XP_015431867.1
OG0001739	XP_034183371.1, XP_034183372.1	XP_015438547.1
OG0001740	XP_034189931.1, XP_034189923.1	XP_015428911.1
OG0001741	XP_034188670.1, XP_034188672.1, XP_034188673.1	XP_015431831.1
OG0001742	XP_034179259.1, XP_034179257.1	XP_015430129.1
OG0001743	XP_034178394.1	XP_015432401.1
OG0001744	XP_034179627.1	XP_015434874.1
OG0001745	XP_034184891.1, XP_034184892.1	XP_015440300.1
OG0001746	XP_034181137.1	XP_015434739.1
OG0001748	XP_034171056.1	XP_015434989.1
OG0001749	XP_034172616.1, XP_034172617.1	XP_015432799.1
OG0001750	XP_034186456.1, XP_034186465.1, XP_034186447.1	XP_015436339.1
OG0001751	XP_034196480.1	XP_015432211.1
OG0001752	XP_034191949.1	XP_015435309.1
OG0001753	XP_034185958.1	XP_015438523.1
OG0001754	XP_034172657.1	XP_015435270.1
OG0001755	XP_034178613.1, XP_034178612.1	XP_015432309.1
OG0001756	XP_034172099.1	XP_015429979.1
OG0001758	XP_034177218.1, XP_034177215.1, XP_034177214.1, XP_034177216.1	XP_015433380.1
OG0001759	XP_034189140.1	XP_015429172.1
OG0001760	XP_034191066.1	XP_015440407.1
OG0001762	XP_034183765.1	XP_015431370.1
OG0001763	XP_034175094.1	XP_015437324.1, XP_015437323.1, XP_015437322.1
OG0001764	XP_034176901.1	XP_015439710.1
OG0001765	XP_034183232.1	XP_015434686.1, XP_015434687.1
OG0001767	XP_034176743.1	XP_015439782.1
OG0001768	XP_034190151.1	XP_015438481.1
OG0001769	XP_034189371.1, XP_034189369.1	XP_015429680.1
OG0001771	XP_034176804.1, XP_034176803.1, XP_034176805.1	XP_015439651.1
OG0001772	XP_034173756.1	XP_015438163.1
OG0001773	XP_034190899.1	XP_015428430.1
OG0001774	XP_034180440.1	XP_015436743.1, XP_015436744.1
OG0001775	XP_034191177.1	XP_015430270.1, XP_015430269.1
OG0001776	XP_034183713.1	XP_015434581.1
OG0001777	XP_034186094.1, XP_034186092.1	XP_015437651.1
OG0001778	XP_034192863.1	XP_015439889.1
OG0001779	XP_034183479.1	XP_015438578.1, XP_015438577.1
OG0001780	XP_034191842.1	XP_015439263.1
OG0001781	XP_034186239.1	XP_015436361.1
OG0001782	XP_034191190.1, XP_034191149.1, XP_034191173.1, XP_034191163.1, XP_034191181.1	XP_015429980.1
OG0001783	XP_034175670.1	XP_015429903.1
OG0001784	XP_034190487.1	XP_015428693.1
OG0001785	XP_034187836.1, XP_034187835.1	XP_015438089.1
OG0001786	XP_034172308.1, XP_034172309.1	XP_015430050.1, XP_015430059.1
OG0001787	XP_034185835.1	XP_015439588.1
OG0001788	XP_034172646.1	XP_015432875.1
OG0001789	XP_034192646.1	XP_015439821.1
OG0001790	XP_034179004.1, XP_034179003.1	XP_015433136.1
OG0001791	XP_034171826.1	XP_015429175.1, XP_015429176.1
OG0001792	XP_034190862.1, XP_034190861.1, XP_034190863.1	XP_015434645.1
OG0001793	XP_034193953.1	XP_015436780.1
OG0001794	XP_034170961.1, XP_034170945.1	XP_015428968.1
OG0001795	XP_034192670.1	XP_015439788.1
OG0001796	XP_034190946.1	XP_015432675.1
OG0001797	XP_034177778.1	XP_015433387.1
OG0001799	XP_034173692.1	XP_015430852.1
OG0001800	XP_034172861.1	XP_015430278.1
OG0001801	XP_034175943.1	XP_015437812.1
OG0001802	XP_034188800.1	XP_015433996.1
OG0001803	XP_034187449.1, XP_034187448.1	XP_015430776.1
OG0001804	XP_034192705.1, XP_034192704.1	XP_015440056.1
OG0001805	XP_034191497.1	XP_015434025.1
OG0001806	XP_034188789.1, XP_034188788.1	XP_015434909.1
OG0001807	XP_034172674.1	XP_015429156.1
OG0001808	XP_034171070.1	XP_015435021.1
OG0001810	XP_034181334.1, XP_034181332.1	XP_015429544.1
OG0001811	XP_034194254.1	XP_015433639.1
OG0001812	XP_034194638.1	XP_015435802.1, XP_015435803.1, XP_015435804.1
OG0001813	XP_034185351.1	XP_015430989.1
OG0001814	XP_034196138.1	XP_015429721.1
OG0001815	XP_034183852.1	XP_015438604.1
OG0001816	XP_034187487.1, XP_034187481.1, XP_034187472.1	XP_015436134.1
OG0001817	XP_034190888.1, XP_034190889.1	XP_015438622.1
OG0001818	XP_034180925.1, XP_034180924.1	XP_015433781.1
OG0001819	XP_034174458.1	XP_015430621.1
OG0001820	XP_034194101.1	XP_015431087.1
OG0001821	XP_034173340.1	XP_015430084.1
OG0001822	XP_034181892.1, XP_034181891.1, XP_034181893.1	XP_015439384.1
OG0001823	XP_034193837.1	XP_015434884.1
OG0001824	XP_034171259.1, XP_034171255.1	XP_015437276.1
OG0001825	XP_034189329.1	XP_015434949.1
OG0001826	XP_034191099.1	XP_015429915.1
OG0001827	XP_034192621.1	XP_015439870.1
OG0001828	XP_034196465.1	XP_015429898.1
OG0001829	XP_034184453.1	XP_015436324.1
OG0001830	XP_034177195.1	XP_015433385.1
OG0001831	XP_034180374.1	XP_015439064.1
OG0001832	XP_034179293.1, XP_034179292.1	XP_015433224.1
OG0001833	XP_034192738.1	XP_015440389.1
OG0001834	XP_034175941.1, XP_034175942.1	XP_015440453.1
OG0001835	XP_034188262.1	XP_015435898.1
OG0001836	XP_034191684.1	XP_015434061.1
OG0001837	XP_034175311.1, XP_034175309.1, XP_034175310.1	XP_015437382.1
OG0001838	XP_034186238.1, XP_034186237.1	XP_015432627.1
OG0001839	XP_034190455.1	XP_015428796.1
OG0001840	XP_034177210.1, XP_034177209.1	XP_015433376.1
OG0001841	XP_034193034.1	XP_015440226.1
OG0001842	XP_034170992.1	XP_015431899.1
OG0001843	XP_034184382.1	XP_015436196.1
OG0001844	XP_034180735.1	XP_015434159.1
OG0001845	XP_034190508.1	XP_015430548.1, XP_015430547.1
OG0001846	XP_034176784.1	XP_015439994.1
OG0001847	XP_034186614.1	XP_015438674.1, XP_015438673.1
OG0001848	XP_034174674.1, XP_034174694.1, XP_034174684.1	XP_015438236.1
OG0001849	XP_034192475.1, XP_034192476.1	XP_015435117.1, XP_015435116.1
OG0001851	XP_034190988.1, XP_034190990.1, XP_034190987.1	XP_015432666.1
OG0001852	XP_034193110.1	XP_015437348.1
OG0001853	XP_034189289.1	XP_015434447.1
OG0001854	XP_034190895.1	XP_015432691.1
OG0001855	XP_034183246.1	XP_015437570.1
OG0001856	XP_034184606.1	XP_015439519.1
OG0001857	XP_034180416.1	XP_015436238.1
OG0001858	XP_034177948.1, XP_034177947.1	XP_015432338.1
OG0001859	XP_034178518.1, XP_034178519.1	XP_015433623.1
OG0001860	XP_034188634.1, XP_034188624.1, XP_034188629.1	XP_015435415.1
OG0001861	XP_034177573.1, XP_034177570.1, XP_034177571.1	XP_015433347.1
OG0001862	XP_034175283.1	XP_015437814.1
OG0001863	XP_034185188.1	XP_015437511.1
OG0001864	XP_034178605.1	XP_015434760.1
OG0001865	XP_034190717.1, XP_034190708.1	XP_015429962.1
OG0001866	XP_034191488.1, XP_034191489.1	XP_015434128.1
OG0001867	XP_034176872.1, XP_034176873.1	XP_015433252.1
OG0001868	XP_034193215.1	XP_015440460.1, XP_015440462.1
OG0001869	XP_034193525.1	XP_015432523.1
OG0001870	XP_034195841.1	XP_015436774.1
OG0001871	XP_034194271.1	XP_015432021.1
OG0001872	XP_034181347.1, XP_034180850.1	XP_015428698.1
OG0001873	XP_034180951.1, XP_034180950.1, XP_034180949.1	XP_015429243.1
OG0001874	XP_034193526.1, XP_034193528.1, XP_034193536.1	XP_015431168.1
OG0001875	XP_034194013.1, XP_034194014.1	XP_015434901.1
OG0001876	XP_034171766.1	XP_015431834.1
OG0001877	XP_034193835.1, XP_034193827.1	XP_015434850.1
OG0001878	XP_034191295.1	XP_015432672.1
OG0001879	XP_034188426.1	XP_015432569.1
OG0001880	XP_034188045.1	XP_015429293.1
OG0001881	XP_034196406.1, XP_034196407.1	XP_015432054.1
OG0001882	XP_034188976.1	XP_015434015.1
OG0001883	XP_034179531.1	XP_015438160.1
OG0001884	XP_034178817.1	XP_015435161.1
OG0001885	XP_034179149.1	XP_015433202.1
OG0001886	XP_034187696.1, XP_034187695.1, XP_034187689.1, XP_034187690.1, XP_034187691.1, XP_034187692.1, XP_034187693.1, XP_034187694.1	XP_015430845.1
OG0001887	XP_034174728.1	XP_015430843.1
OG0001889	XP_034188491.1	XP_015438148.1, XP_015438141.1
OG0001890	XP_034180799.1	XP_015434060.1
OG0001891	XP_034176734.1, XP_034176732.1	XP_015440036.1
OG0001892	XP_034176891.1	XP_015440072.1, XP_015440073.1
OG0001893	XP_034186209.1	XP_015430593.1
OG0001894	XP_034171935.1	XP_015430055.1, XP_015430053.1, XP_015430052.1, XP_015430054.1, XP_015430056.1, XP_015430051.1
OG0001895	XP_034191649.1, XP_034191641.1	XP_015439234.1
OG0001896	XP_034185771.1, XP_034185770.1	XP_015438399.1
OG0001897	XP_034187155.1	XP_015432138.1
OG0001898	XP_034179945.1	XP_015434801.1
OG0001899	XP_034193332.1	XP_015437370.1
OG0001900	XP_034189020.1, XP_034189018.1, XP_034189019.1	XP_015435107.1
OG0001901	XP_034193341.1	XP_015437320.1
OG0001903	XP_034195868.1, XP_034195867.1, XP_034195866.1, XP_034195871.1	XP_015429925.1
OG0001904	XP_034176980.1	XP_015439701.1
OG0001906	XP_034183794.1	XP_015438434.1
OG0001907	XP_034171117.1	XP_015433560.1
OG0001908	XP_034196129.1	XP_015437153.1
OG0001910	XP_034188901.1	XP_015433997.1
OG0001913	XP_034182160.1	XP_015431486.1
OG0001914	XP_034170974.1	XP_015431801.1
OG0001915	XP_034177662.1	XP_015433363.1
OG0001916	XP_034182096.1	XP_015428552.1
OG0001917	XP_034171522.1, XP_034171523.1	XP_015431859.1
OG0001919	XP_034181912.1	XP_015435780.1
OG0001920	XP_034189800.1, XP_034189801.1, XP_034189804.1, XP_034189803.1	XP_015438499.1
OG0001921	XP_034188948.1	XP_015433952.1
OG0001922	XP_034188182.1, XP_034188180.1	XP_015433698.1, XP_015433700.1
OG0001923	XP_034191216.1	XP_015434670.1
OG0001924	XP_034176447.1, XP_034176449.1	XP_015431830.1
OG0001925	XP_034171777.1	XP_015440515.1
OG0001926	XP_034190380.1	XP_015437501.1
OG0001927	XP_034191031.1	XP_015432693.1
OG0001928	XP_034186010.1	XP_015431266.1
OG0001929	XP_034185813.1, XP_034185819.1, XP_034185814.1, XP_034185817.1, XP_034185818.1, XP_034185816.1	XP_015438534.1
OG0001930	XP_034185795.1, XP_034185794.1, XP_034185793.1	XP_015437649.1
OG0001931	XP_034182731.1, XP_034182732.1	XP_015429157.1
OG0001933	XP_034176992.1	XP_015429918.1
OG0001934	XP_034182709.1	XP_015434258.1
OG0001935	XP_034172680.1, XP_034172681.1	XP_015429168.1
OG0001936	XP_034184747.1	XP_015437464.1
OG0001937	XP_034184263.1	XP_015436344.1
OG0001938	XP_034195237.1	XP_015433114.1
OG0001939	XP_034180916.1, XP_034180917.1	XP_015431077.1, XP_015431078.1
OG0001940	XP_034188925.1, XP_034188946.1, XP_034188936.1	XP_015429924.1
OG0001941	XP_034182736.1	XP_015435926.1
OG0001942	XP_034186530.1, XP_034186529.1	XP_015438645.1
OG0001943	XP_034183899.1	XP_015436752.1, XP_015436751.1, XP_015436753.1
OG0001944	XP_034173498.1	XP_015435375.1
OG0001945	XP_034175305.1	XP_015428388.1
OG0001946	XP_034175722.1	XP_015437315.1
OG0001947	XP_034185786.1, XP_034185784.1	XP_015438019.1
OG0001948	XP_034196542.1	XP_015429103.1
OG0001949	XP_034185494.1	XP_015433773.1
OG0001950	XP_034188615.1	XP_015435899.1
OG0001951	XP_034184905.1	XP_015429402.1, XP_015429403.1
OG0001952	XP_034184831.1	XP_015430425.1
OG0001953	XP_034188115.1	XP_015428678.1
OG0001954	XP_034182952.1, XP_034182950.1, XP_034182951.1	XP_015434626.1
OG0001955	XP_034173221.1, XP_034173222.1	XP_015429480.1
OG0001956	XP_034187799.1, XP_034187800.1, XP_034187798.1	XP_015438312.1
OG0001957	XP_034182465.1	XP_015434239.1
OG0001959	XP_034192641.1	XP_015440131.1
OG0001960	XP_034177955.1	XP_015434783.1
OG0001961	XP_034188597.1	XP_015434371.1
OG0001962	XP_034178192.1	XP_015432289.1
OG0001963	XP_034192453.1	XP_015435997.1
OG0001964	XP_034177828.1, XP_034177827.1	XP_015440087.1
OG0001965	XP_034172956.1	XP_015436287.1
OG0001966	XP_034191479.1	XP_015434083.1
OG0001967	XP_034176724.1	XP_015440162.1
OG0001968	XP_034193885.1	XP_015434817.1
OG0001968	XP_034179875.1	XP_015434818.1
OG0001969	XP_034176163.1	XP_015436563.1
OG0001970	XP_034192003.1	XP_015439033.1
OG0001971	XP_034195494.1, XP_034195493.1	XP_015436775.1
OG0001973	XP_034184109.1	XP_015436237.1, XP_015436235.1
OG0001975	XP_034170876.1, XP_034170878.1, XP_034170877.1	XP_015431855.1
OG0001976	XP_034190572.1, XP_034190569.1	XP_015434488.1
OG0001977	XP_034183294.1	XP_015434406.1
OG0001978	XP_034182151.1	XP_015440193.1
OG0001979	XP_034185005.1	XP_015434711.1, XP_015434712.1
OG0001980	XP_034186686.1, XP_034186674.1	XP_015432255.1
OG0001981	XP_034184016.1	XP_015436123.1
OG0001982	XP_034186970.1, XP_034186971.1, XP_034186972.1	XP_015434584.1
OG0001984	XP_034187608.1	XP_015431637.1
OG0001987	XP_034178663.1, XP_034178662.1	XP_015432385.1
OG0001988	XP_034175307.1, XP_034175298.1	XP_015436771.1
OG0001989	XP_034194403.1	XP_015435807.1
OG0001991	XP_034184662.1	XP_015440304.1
OG0001992	XP_034182314.1	XP_015429340.1
OG0001993	XP_034181754.1, XP_034181755.1, XP_034181756.1	XP_015428785.1
OG0001994	XP_034188040.1	XP_015429597.1
OG0001996	XP_034187884.1	XP_015428730.1
OG0001997	XP_034178853.1	XP_015433227.1
OG0001998	XP_034174559.1	XP_015431729.1
OG0001999	XP_034196146.1	XP_015429728.1
OG0002000	XP_034181073.1	XP_015428703.1
OG0002001	XP_034194025.1	XP_015438325.1
OG0002002	XP_034179420.1	XP_015438333.1
OG0002003	XP_034177939.1	XP_015434769.1, XP_015434768.1
OG0002004	XP_034174718.1	XP_015431663.1
OG0002005	XP_034194518.1	XP_015429376.1
OG0002006	XP_034192546.1	XP_015435248.1
OG0002007	XP_034193060.1, XP_034193066.1	XP_015440384.1
OG0002008	XP_034194886.1	XP_015435184.1, XP_015436819.1, XP_015437904.1, XP_015434973.1, XP_015437067.1
OG0002009	XP_034176840.1	XP_015439786.1
OG0002010	XP_034188088.1	XP_015429577.1, XP_015429576.1
OG0002011	XP_034182458.1	XP_015428658.1
OG0002012	XP_034171229.1	XP_015432233.1
OG0002013	XP_034181797.1	XP_015429604.1
OG0002014	XP_034178196.1	XP_015428636.1
OG0002015	XP_034193061.1	XP_015439998.1
OG0002016	XP_034196569.1	XP_015431553.1
OG0002018	XP_034186701.1	XP_015430276.1
OG0002019	XP_034193139.1	XP_015437340.1
OG0002020	XP_034174541.1, XP_034174540.1, XP_034174543.1	XP_015440318.1
OG0002021	XP_034181434.1, XP_034181608.1, XP_034181520.1	XP_015429432.1
OG0002022	XP_034182728.1	XP_015429006.1
OG0002023	XP_034178378.1, XP_034178376.1, XP_034178377.1, XP_034178375.1, XP_034178379.1	XP_015432377.1
OG0002024	XP_034187544.1	XP_015440343.1
OG0002025	XP_034173783.1, XP_034173782.1	XP_015430739.1
OG0002026	XP_034187788.1	XP_015429711.1
OG0002027	XP_034191051.1	XP_015432685.1
OG0002028	XP_034172267.1	XP_015437763.1
OG0002029	XP_034186724.1	XP_015430331.1
OG0002030	XP_034178932.1	XP_015434920.1
OG0002032	XP_034177673.1, XP_034177667.1	XP_015439664.1
OG0002035	XP_034171380.1, XP_034171362.1, XP_034171370.1	XP_015433446.1
OG0002036	XP_034171251.1	XP_015438130.1, XP_015437272.1, XP_015438033.1
OG0002037	XP_034172797.1	XP_015435366.1
OG0002038	XP_034185152.1	XP_015433516.1
OG0002039	XP_034191968.1	XP_015439062.1
OG0002040	XP_034191711.1, XP_034191712.1, XP_034191710.1	XP_015434183.1
OG0002041	XP_034183352.1, XP_034183351.1	XP_015432217.1
OG0002042	XP_034191698.1, XP_034191699.1	XP_015431128.1
OG0002043	XP_034181189.1	XP_015435121.1, XP_015435122.1, XP_015435123.1
OG0002044	XP_034178997.1	XP_015435587.1
OG0002045	XP_034180923.1	XP_015440409.1
OG0002047	XP_034184377.1, XP_034184376.1, XP_034184378.1, XP_034184379.1	XP_015431129.1
OG0002048	XP_034174285.1	XP_015430813.1
OG0002049	XP_034187952.1, XP_034187953.1	XP_015434462.1
OG0002050	XP_034187277.1	XP_015438174.1
OG0002051	XP_034196626.1	XP_015429040.1
OG0002052	XP_034191948.1	XP_015431130.1
OG0002053	XP_034180392.1	XP_015437425.1
OG0002054	XP_034192107.1	XP_015439123.1
OG0002055	XP_034183648.1, XP_034183650.1	XP_015428884.1
OG0002056	XP_034184656.1	XP_015440299.1
OG0002057	XP_034180103.1, XP_034180102.1	XP_015439036.1
OG0002058	XP_034176063.1	XP_015437039.1
OG0002059	XP_034180634.1	XP_015430239.1
OG0002060	XP_034181538.1	XP_015434441.1
OG0002061	XP_034188292.1	XP_015434244.1, XP_015434246.1, XP_015434247.1, XP_015434245.1, XP_015434243.1, XP_015434242.1
OG0002062	XP_034189171.1	XP_015435747.1
OG0002063	XP_034183692.1	XP_015438450.1
OG0002064	XP_034177993.1, XP_034177992.1	XP_015432344.1
OG0002065	XP_034180760.1	XP_015439259.1
OG0002066	XP_034179199.1, XP_034179198.1	XP_015437972.1
OG0002067	XP_034191082.1	XP_015430264.1
OG0002068	XP_034171162.1	XP_015435020.1
OG0002069	XP_034188020.1	XP_015429548.1
OG0002070	XP_034189258.1, XP_034189257.1	XP_015435012.1
OG0002071	XP_034177656.1	XP_015436909.1
OG0002072	XP_034184119.1	XP_015439529.1
OG0002073	XP_034190458.1	XP_015428800.1
OG0002074	XP_034179710.1	XP_015439348.1
OG0002075	XP_034177695.1	XP_015440046.1
OG0002076	XP_034190687.1	XP_015430892.1
OG0002077	XP_034182463.1	XP_015428603.1
OG0002078	XP_034175427.1	XP_015435581.1
OG0002079	XP_034195983.1, XP_034195984.1, XP_034195986.1, XP_034195981.1, XP_034195982.1	XP_015436724.1
OG0002080	XP_034188196.1	XP_015431532.1
OG0002081	XP_034185447.1	XP_015433498.1
OG0002082	XP_034194952.1, XP_034194946.1	XP_015431985.1
OG0002083	XP_034190133.1	XP_015431353.1, XP_015431352.1
OG0002084	XP_034181906.1	XP_015431455.1
OG0002085	XP_034176246.1	XP_015438753.1, XP_015438752.1
OG0002086	XP_034190037.1, XP_034190038.1	XP_015431400.1
OG0002087	XP_034191183.1	XP_015430259.1
OG0002088	XP_034183400.1	XP_015438486.1
OG0002089	XP_034180161.1	XP_015430227.1
OG0002090	XP_034174954.1	XP_015437329.1
OG0002091	XP_034187956.1, XP_034187954.1	XP_015434463.1
OG0002092	XP_034191111.1, XP_034191112.1	XP_015430289.1
OG0002095	XP_034196446.1	XP_015435701.1, XP_015435700.1
OG0002096	XP_034184444.1, XP_034184442.1, XP_034184443.1	XP_015436285.1
OG0002097	XP_034193635.1	XP_015430144.1, XP_015430143.1
OG0002098	XP_034184181.1	XP_015433809.1, XP_015433808.1, XP_015433806.1, XP_015433807.1
OG0002100	XP_034183783.1	XP_015438357.1
OG0002101	XP_034195812.1, XP_034195807.1	XP_015440368.1
OG0002102	XP_034192570.1	XP_015440104.1
OG0002103	XP_034178262.1	XP_015434508.1
OG0002104	XP_034177614.1, XP_034177616.1, XP_034177615.1	XP_015433272.1
OG0002105	XP_034195746.1, XP_034195748.1	XP_015437195.1
OG0002106	XP_034180461.1, XP_034180462.1, XP_034180460.1	XP_015429311.1
OG0002107	XP_034183362.1, XP_034183358.1	XP_015435920.1
OG0002108	XP_034178907.1, XP_034178908.1, XP_034178909.1, XP_034178906.1	XP_015434928.1
OG0002109	XP_034186933.1, XP_034186934.1	XP_015432154.1
OG0002110	XP_034180412.1, XP_034180411.1, XP_034180413.1	XP_015435235.1
OG0002111	XP_034186002.1	XP_015428944.1
OG0002113	XP_034183804.1	XP_015438364.1
OG0002114	XP_034177518.1, XP_034177516.1, XP_034177517.1	XP_015439958.1
OG0002115	XP_034171412.1	XP_015438017.1
OG0002116	XP_034181652.1	XP_015433092.1
OG0002117	XP_034187509.1	XP_015430662.1
OG0002118	XP_034184441.1, XP_034184439.1	XP_015436352.1
OG0002119	XP_034195806.1, XP_034195805.1	XP_015440386.1
OG0002120	XP_034176688.1	XP_015435528.1
OG0002121	XP_034192903.1, XP_034192906.1	XP_015439802.1
OG0002122	XP_034194940.1	XP_015436052.1
OG0002123	XP_034172769.1	XP_015432957.1
OG0002124	XP_034186744.1	XP_015430383.1
OG0002125	XP_034184746.1, XP_034184745.1, XP_034184744.1	XP_015430544.1
OG0002126	XP_034172346.1	XP_015430531.1
OG0002127	XP_034170926.1	XP_015429162.1
OG0002128	XP_034176003.1, XP_034176002.1, XP_034176001.1, XP_034176000.1	XP_015436515.1
OG0002129	XP_034195872.1	XP_015431368.1
OG0002130	XP_034196352.1, XP_034196350.1, XP_034196351.1	XP_015430496.1
OG0002131	XP_034187102.1	XP_015430393.1
OG0002132	XP_034180723.1	XP_015434077.1
OG0002134	XP_034175257.1	XP_015432070.1
OG0002136	XP_034193209.1	XP_015440494.1
OG0002137	XP_034191253.1	XP_015428478.1
