Orthogroup	Osmia_lignaria	Nasonia_vitripennis
OG0001450	XP_034178867.1, XP_034178866.1, XP_034178865.1	XP_031777589.1, XP_031777590.1
OG0001451	XP_034175962.1	XP_032456588.1, XP_032456585.1, XP_032456584.1, XP_008217178.1, XP_031787841.1, XP_032456586.1, XP_032456589.1, XP_032456587.1, XP_032456583.1, XP_008217175.1, XP_008217176.1
OG0001453	XP_034180206.1	XP_031776832.1, XP_031776833.1, XP_032451695.1, XP_032451698.1, XP_032451697.1, XP_032451696.1
OG0001455	XP_034185177.1	XP_001603088.1
OG0001456	XP_034172056.1	XP_001605559.2
OG0001457	XP_034184077.1, XP_034184078.1, XP_034184079.1	XP_001608297.1
OG0001458	XP_034191558.1	XP_008202697.1
OG0001459	XP_034175342.1	XP_001605881.1
OG0001460	XP_034170884.1	XP_031782639.1, XP_031782638.1
OG0001461	XP_034192616.1, XP_034192617.1	XP_001602569.1, XP_031780556.1, XP_008204854.1
OG0001462	XP_034196153.1	NP_001164526.1
OG0001463	XP_034190681.1	XP_001602379.1
OG0001464	XP_034196022.1	NP_001153364.1
OG0001465	XP_034171010.1	XP_032453603.1, NP_001161454.1
OG0001466	XP_034191925.1, XP_034196338.1	NP_001161682.1
OG0001467	XP_034175936.1, XP_034179294.1, XP_034176791.1, XP_034177633.1, XP_034178483.1	XP_031782500.1
OG0001468	XP_034189050.1, XP_034188926.1	NP_001164370.1, XP_031789284.1
OG0001469	XP_034176302.1	XP_001602514.1
OG0001470	XP_034183067.1	XP_032453882.1, XP_008203498.1
OG0001471	XP_034182426.1	XP_008208004.1, XP_001601824.1
OG0001473	XP_034189107.1, XP_034189106.1, XP_034189108.1, XP_034189110.1, XP_034189109.1	XP_031782512.1, XP_016839548.1, XP_016839547.1
OG0001474	XP_034189816.1	XP_001600273.1
OG0001475	XP_034173362.1, XP_034173363.1	XP_001602567.1
OG0001476	XP_034183134.1	XP_031778521.1
OG0001477	XP_034189643.1	XP_008209844.2, XP_031778493.1, XP_032452915.1
OG0001478	XP_034175202.1, XP_034175211.1	XP_001599569.1
OG0001479	XP_034175520.1	NP_001153430.1, NP_001153431.1, XP_031788484.1
OG0001480	XP_034173889.1	XP_001600183.2, XP_008203356.1, XP_016838825.1
OG0001481	XP_034185440.1	XP_016839111.1
OG0001482	XP_034186998.1	XP_008202441.1
OG0001483	XP_034187252.1	XP_016837959.1, XP_031780377.1
OG0001484	XP_034191551.1, XP_034191550.1	XP_031778072.1
OG0001485	XP_034186519.1	XP_016841727.1, XP_032455540.1, XP_008215611.1
OG0001486	XP_034176682.1, XP_034176680.1	XP_016839609.1
OG0001487	XP_034183431.1	XP_032452572.1, XP_031779199.1
OG0001488	XP_034195946.1	XP_008217170.1
OG0001489	XP_034179074.1	XP_001605381.1
OG0001490	XP_034176960.1	XP_031785541.1
OG0001491	XP_034191694.1	XP_032456877.1
OG0001492	XP_034186910.1	XP_008208908.1, XP_001599155.1, XP_031784250.1, XP_032457879.1
OG0001493	XP_034185995.1	XP_008216211.1
OG0001494	XP_034191318.1	XP_001602075.1
OG0001495	XP_034174793.1	XP_032454129.1, XP_032454128.1, XP_008206224.1, XP_032454131.1, XP_032454130.1
OG0001496	XP_034192377.1	XP_001603226.2
OG0001497	XP_034193387.1, XP_034193385.1, XP_034193386.1	XP_031784591.1, XP_031784593.1
OG0001499	XP_034177671.1	XP_001604715.2
OG0001501	XP_034195944.1, XP_034195954.1	XP_031776687.1, XP_016844938.1
OG0001502	XP_034195654.1, XP_034195723.1, XP_034195661.1, XP_034195645.1, XP_034195670.1, XP_034195691.1, XP_034195702.1, XP_034195681.1, XP_034195713.1, XP_034195636.1	XP_001600729.2
OG0001503	XP_034193077.1	XP_016841337.1, XP_001605673.1
OG0001504	XP_034188489.1	XP_032452412.1, XP_032452413.1, XP_032452414.1, XP_001602850.2
OG0001505	XP_034177466.1	XP_031785573.1, XP_031785570.1
OG0001506	XP_034186728.1	XP_008202078.1, NP_001154952.1
OG0001507	XP_034178888.1, XP_034178887.1	XP_008207502.1, XP_001607887.1
OG0001508	XP_034173898.1, XP_034173896.1	XP_016840258.1, XP_016840259.1
OG0001509	XP_034185686.1, XP_034185685.1	XP_008209597.1
OG0001510	XP_034175743.1, XP_034176259.1	XP_003424351.1, XP_031783578.1
OG0001512	XP_034187926.1	XP_031787727.1
OG0001513	XP_034176400.1	XP_003426035.2
OG0001514	XP_034175632.1, XP_034175631.1	XP_001602311.1
OG0001515	XP_034174960.1	XP_008212670.2
OG0001517	XP_034186559.1	XP_008202933.1
OG0001518	XP_034182092.1, XP_034182091.1	XP_032458104.1, XP_008202852.1, XP_008202856.1, XP_032458103.1, XP_032458102.1, XP_008202855.1
OG0001519	XP_034176663.1	XP_001602334.1
OG0001520	XP_034170975.1	XP_008213297.1, NP_001123264.1
OG0001522	XP_034194411.1	XP_001605107.1
OG0001523	XP_034193531.1, XP_034193530.1, XP_034193529.1, XP_034193527.1	XP_031788417.1
OG0001524	XP_034188338.1	XP_031780585.1, XP_031780587.1
OG0001525	XP_034193512.1, XP_034193514.1, XP_034193513.1	XP_016843586.1, XP_001601499.1
OG0001526	XP_034185127.1	XP_031787170.1
OG0001527	XP_034186561.1, XP_034186469.1	XP_031781489.1
OG0001529	XP_034194471.1	XP_016837523.1
OG0001531	XP_034176936.1	XP_032455471.1, XP_032455472.1, XP_008213949.1, XP_032455473.1
OG0001532	XP_034181167.1, XP_034181163.1, XP_034181168.1	XP_008213314.1, XP_003424261.1
OG0001533	XP_034191939.1	XP_016843265.1, XP_003426298.1
OG0001534	XP_034191289.1, XP_034191290.1, XP_034191288.1, XP_034191292.1, XP_034191291.1	XP_003424346.1
OG0001535	XP_034170946.1	XP_031783319.1
OG0001536	XP_034171019.1, XP_034170963.1	XP_032454772.1, XP_008212180.1
OG0001537	XP_034183326.1	XP_032454472.1, XP_001605883.1
OG0001538	XP_034196385.1	XP_031784266.1, NP_001161243.1
OG0001539	XP_034177999.1	XP_032454016.1
OG0001540	XP_034173018.1	XP_001600172.1
OG0001541	XP_034177469.1	XP_016842669.1, XP_001603217.2
OG0001543	XP_034192289.1	XP_031781815.1, NP_001177856.1
OG0001545	XP_034181991.1, XP_034182093.1, XP_034188450.1	XP_003425709.1, XP_031783661.1
OG0001546	XP_034177866.1	XP_003426901.1
OG0001547	XP_034186431.1, XP_034186436.1	XP_031776662.1, XP_031776668.1
OG0001548	XP_034181939.1, XP_034181934.1, XP_034181938.1	XP_031780231.1
OG0001549	XP_034187374.1, XP_034187373.1, XP_034187375.1	XP_001602105.1
OG0001551	XP_034175250.1	XP_016842120.1, XP_008217464.1
OG0001552	XP_034171982.1, XP_034171977.1	XP_031788326.1
OG0001553	XP_034171753.1	XP_003424529.1
OG0001554	XP_034183078.1, XP_034183070.1	XP_001599461.2
OG0001555	XP_034192618.1	XP_008215528.1
OG0001556	XP_034177956.1	XP_008217201.2, XP_001606971.2
OG0001557	XP_034175797.1	XP_031783542.1
OG0001558	XP_034190422.1	XP_008206364.1
OG0001559	XP_034181077.1, XP_034181078.1, XP_034181076.1, XP_034181080.1, XP_034181079.1	XP_001605046.2
OG0001560	XP_034173220.1	XP_016838086.1
OG0001561	XP_034193887.1, XP_034193886.1, XP_034193888.1, XP_034193890.1, XP_034193889.1	XP_008207143.1
OG0001562	XP_034185884.1, XP_034185806.1	XP_008216662.1, XP_003425088.2, XP_008216635.1
OG0001563	XP_034193791.1	XP_016843697.1, XP_016843694.1
OG0001564	XP_034195352.1	XP_031788964.1
OG0001565	XP_034183551.1	XP_001600537.2
OG0001567	XP_034189867.1, XP_034189876.1	XP_008209610.1, XP_008209603.1
OG0001568	XP_034176881.1, XP_034176880.1	XP_008208431.1
OG0001569	XP_034192018.1, XP_034192019.1	XP_001600474.2, XP_031778476.1
OG0001570	XP_034175949.1, XP_034175951.1, XP_034175950.1	XP_001606837.1
OG0001571	XP_034178369.1	XP_003427777.1
OG0001572	XP_034179270.1	XP_031777942.1
OG0001573	XP_034173262.1, XP_034173261.1, XP_034173260.1, XP_034173259.1, XP_034173255.1, XP_034173257.1, XP_034173264.1, XP_034173265.1, XP_034173263.1, XP_034173258.1	XP_003424638.1
OG0001574	XP_034177989.1, XP_034177991.1	XP_016840016.1, XP_016840018.1
OG0001575	XP_034184289.1	XP_008211589.1, XP_032455767.1, XP_032455766.1
OG0001576	XP_034182764.1	XP_031779387.1
OG0001577	XP_034181816.1	XP_001605704.1
OG0001578	XP_034174199.1, XP_034174198.1, XP_034174200.1	XP_016838610.1
OG0001579	XP_034183763.1, XP_034183762.1	NP_001166052.1
OG0001580	XP_034190635.1	XP_031777421.1
OG0001581	XP_034183698.1	XP_016845304.1, XP_016845302.1, XP_016845303.1
OG0001582	XP_034188520.1, XP_034188519.1	XP_031777144.1
OG0001583	XP_034193810.1	XP_001604253.3
OG0001584	XP_034173083.1, XP_034173087.1	NP_001153330.1, XP_031781907.1
OG0001586	XP_034189101.1	XP_001606047.3
OG0001587	XP_034180070.1	XP_008213632.1, XP_016839020.1, XP_016839021.1, XP_031782836.1, XP_016839019.1
OG0001588	XP_034176393.1	XP_031785514.1, XP_031785507.1
OG0001589	XP_034176915.1, XP_034176917.1, XP_034176914.1, XP_034176918.1	XP_016840703.1, XP_032455619.1, XP_008205515.1
OG0001590	XP_034183406.1	XP_001604808.2
OG0001591	XP_034176545.1	XP_001599648.1
OG0001592	XP_034173137.1	XP_032456153.1
OG0001593	XP_034179291.1	XP_031787902.1
OG0001594	XP_034195834.1	XP_031785379.1, XP_031785380.1
OG0001595	XP_034195489.1	NP_001135866.1, XP_031777958.1
OG0001596	XP_034194107.1, XP_034194106.1, XP_034194108.1	XP_008216151.1
OG0001598	XP_034173905.1	XP_001607388.1, XP_001607396.1
OG0001599	XP_034189331.1	XP_016839418.1, XP_003424277.1, XP_008213366.1, XP_008213368.1, XP_008213367.1
OG0001601	XP_034172790.1, XP_034172794.1, XP_034172775.1, XP_034172791.1, XP_034172796.1	XP_031777698.1, XP_016836693.1
OG0001603	XP_034187265.1	XP_001608057.1
OG0001604	XP_034186738.1, XP_034186783.1	XP_016836809.1, XP_016836813.1
OG0001605	XP_034187808.1	XP_031783683.1
OG0001606	XP_034186979.1	XP_031783806.1, XP_031783807.1
OG0001607	XP_034187462.1	XP_001603195.1
OG0001608	XP_034175828.1	XP_031788132.1
OG0001609	XP_034172296.1, XP_034172297.1	XP_001601232.1
OG0001610	XP_034194147.1	XP_001607714.2, XP_031776592.2, XP_016842221.1, XP_032458065.1, XP_016843931.1, XP_008217192.1, XP_031787698.1, XP_001607711.1, XP_001605515.2, XP_031783291.1, XP_032453717.1, XP_032453712.1
OG0001612	XP_034173487.1, XP_034173486.1, XP_034173488.1	XP_008206969.1
OG0001613	XP_034195022.1, XP_034195206.1, XP_034174773.1, XP_034195353.1, XP_034194830.1, XP_034195332.1, XP_034195042.1, XP_034194673.1, XP_034194845.1	XP_031789088.1, XP_031782863.1
OG0001614	XP_034185169.1, XP_034185158.1	XP_003423886.1
OG0001615	XP_034181565.1, XP_034181567.1, XP_034181566.1	XP_001601398.1, XP_032456260.1, XP_032456259.1
OG0001616	XP_034175169.1	XP_001606115.2
OG0001617	XP_034196519.1	NP_001161324.1
OG0001619	XP_034176362.1	XP_001608124.2
OG0001620	XP_034184874.1, XP_034184873.1	XP_001600828.1
OG0001621	XP_034174653.1, XP_034174654.1	XP_032457372.1
OG0001622	XP_034180463.1	XP_001601070.1
OG0001623	XP_034174719.1	XP_031780319.1, XP_031780320.1, XP_032453209.1, XP_008204330.1
OG0001624	XP_034190781.1	XP_032452179.1, NP_001123226.1
OG0001625	XP_034190242.1	XP_032451891.1, XP_032451892.1, XP_008215286.2, XP_032451890.1, XP_008215289.2, XP_008215290.2, XP_032451893.1, XP_008215297.2, XP_008215295.2, XP_008215296.2
OG0001626	XP_034186148.1	XP_001608243.1, XP_003426730.1
OG0001627	XP_034188236.1	XP_008209881.1
OG0001629	XP_034186840.1	XP_032451650.1
OG0001630	XP_034189488.1	XP_032454709.1
OG0001631	XP_034175668.1, XP_034175667.1	XP_031788348.2
OG0001632	XP_034180485.1	XP_008215717.1, XP_031788442.1
OG0001633	XP_034178275.1	XP_001605824.2
OG0001634	XP_034183094.1, XP_034183093.1, XP_034183096.1	XP_001603395.1
OG0001635	XP_034183092.1	XP_001603971.1
OG0001636	XP_034171648.1, XP_034171647.1, XP_034171634.1	XP_008213391.1
OG0001637	XP_034186303.1	XP_031787579.1, XP_008217813.1
OG0001638	XP_034183007.1	XP_008212555.1
OG0001639	XP_034180776.1, XP_034180777.1	XP_001599645.2
OG0001640	XP_034194872.1	XP_008218010.1, XP_031776898.1
OG0001641	XP_034176839.1	NP_001161259.1
OG0001642	XP_034171631.1, XP_034171630.1	XP_001606946.2
OG0001643	XP_034191872.1	XP_031781597.1
OG0001644	XP_034185545.1	XP_001602709.1, XP_016844459.1, XP_016844443.1, XP_031787758.1, XP_001601078.1
OG0001645	XP_034185350.1	XP_001606113.1, XP_031789467.1
OG0001646	XP_034174614.1	XP_016837914.1, XP_008204868.2
OG0001647	XP_034180184.1	XP_031788888.1, XP_031788885.1, XP_031788890.1, XP_031788887.1, XP_031788886.1, XP_031788884.1, XP_032458040.1
OG0001648	XP_034172958.1, XP_034172955.1, XP_034172957.1, XP_034172959.1, XP_034172960.1	XP_016842668.1
OG0001649	XP_034173439.1	XP_016839355.1
OG0001650	XP_034191719.1, XP_034191717.1, XP_034191718.1	XP_008215816.1
OG0001651	XP_034175140.1	XP_008216328.1, XP_008216334.1
OG0001652	XP_034181197.1	XP_031776836.1
OG0001653	XP_034189073.1, XP_034189072.1	XP_031779587.1, XP_008212815.1
OG0001654	XP_034183183.1, XP_034183184.1, XP_034183185.1	XP_001607435.2, XP_031779458.1
OG0001655	XP_034172908.1	XP_001603980.2
OG0001656	XP_034189347.1, XP_034189348.1, XP_034189346.1, XP_034189345.1, XP_034189351.1, XP_034189344.1, XP_034189350.1	XP_001606701.1
OG0001657	XP_034179129.1, XP_034179135.1	XP_001606493.1
OG0001658	XP_034174459.1	XP_031787185.1
OG0001659	XP_034193729.1	XP_031788066.1, XP_031788064.1, XP_031788065.1, XP_032456070.1, XP_032456068.1, XP_032456069.1, XP_031788063.1
OG0001660	XP_034195959.1	XP_008217155.1
OG0001661	XP_034186022.1	XP_016841698.1, XP_016841700.1
OG0001662	XP_034193742.1	XP_032453548.1, XP_032453537.1
OG0001663	XP_034189821.1	XP_032452823.1, XP_031779996.1, XP_008217774.1, XP_001605727.2, XP_032452824.1
OG0001664	XP_034177352.1	XP_032455099.1
OG0001665	XP_034176588.1	XP_031786788.1
OG0001666	XP_034172970.1, XP_034172968.1	XP_001606145.2
OG0001668	XP_034189905.1	NP_001154951.1, XP_031784260.1
OG0001669	XP_034187750.1	XP_031788032.1, XP_032456034.1
OG0001670	XP_034171597.1	XP_031781642.1
OG0001671	XP_034183740.1	XP_008202575.1, XP_032451770.1
OG0001672	XP_034186835.1	XP_001606256.1
OG0001674	XP_034173371.1	XP_008213000.1
OG0001675	XP_034191504.1	XP_003423909.1, XP_032455380.1, XP_032455379.1, XP_008215219.1
OG0001676	XP_034172715.1	XP_001604719.1, XP_008210900.1, XP_008210901.1
OG0001677	XP_034195937.1	XP_031780122.1, XP_008217767.1, XP_008217768.1
OG0001678	XP_034187292.1, XP_034187302.1, XP_034187313.1	XP_001608054.1
OG0001679	XP_034176407.1, XP_034176406.1	XP_001606876.1
OG0001680	XP_034190890.1, XP_034190891.1	XP_031779461.1, XP_003424107.1, XP_003424106.1, XP_032452614.1
OG0001681	XP_034178076.1	XP_001601191.1, XP_032454395.1, XP_032454394.1, XP_032454396.1, XP_032454397.1
OG0001682	XP_034182602.1	XP_031778882.1, XP_031778892.1
OG0001683	XP_034181453.1	XP_031782629.1, XP_031782628.1, XP_001603826.1
OG0001684	XP_034179018.1, XP_034179160.1	XP_008214622.1
OG0001685	XP_034182718.1	XP_001601619.1, XP_008209389.1
OG0001686	XP_034195085.1	XP_031786365.1
OG0001687	XP_034178035.1	XP_008205605.1
OG0001688	XP_034192136.1	XP_016838655.1, XP_016838654.1
OG0001689	XP_034178702.1	XP_001601304.1
OG0001690	XP_034180734.1, XP_034180732.1	XP_016838526.1, XP_031780708.1
OG0001692	XP_034191178.1, XP_034191179.1, XP_034191180.1	XP_031776647.1
OG0001693	XP_034181482.1, XP_034181481.1, XP_034181483.1, XP_034181484.1, XP_034181480.1	XP_016844904.1, XP_016844903.1
OG0001694	XP_034188178.1, XP_034188179.1, XP_034188177.1	XP_001601595.2, XP_008214379.1
OG0001695	XP_034193696.1	XP_001605495.2
OG0001696	XP_034173332.1, XP_034173325.1	XP_016839940.1, XP_016839935.1
OG0001697	XP_034193517.1	XP_008214784.1, XP_031786212.1
OG0001699	XP_034181669.1	XP_001605545.2
OG0001700	XP_034178857.1	XP_003425515.2
OG0001701	XP_034183579.1	XP_001603038.2
OG0001702	XP_034193402.1, XP_034193401.1, XP_034193400.1	XP_001602772.2
OG0001703	XP_034183441.1	XP_031783612.1
OG0001704	XP_034191350.1, XP_034191349.1	XP_031784623.1
OG0001706	XP_034171613.1, XP_034171612.1, XP_034171609.1, XP_034171611.1, XP_034171608.1	XP_001607299.1
OG0001707	XP_034196072.1	XP_031784085.1, XP_031784087.1
OG0001708	XP_034181218.1	XP_032456367.1
OG0001709	XP_034194496.1, XP_034194475.1	XP_031778401.1, XP_016838351.2
OG0001710	XP_034171825.1	XP_001607529.1
OG0001711	XP_034187450.1	XP_001604450.1
OG0001712	XP_034178716.1, XP_034178717.1	XP_016840038.1, XP_003426087.1
OG0001713	XP_034194977.1	XP_031781853.1, XP_008205133.1
OG0001714	XP_034195145.1	XP_031784875.1
OG0001715	XP_034194755.1, XP_034194753.1, XP_034194754.1, XP_034194752.1	XP_001602678.2
OG0001716	XP_034196015.1	XP_031788831.1
OG0001717	XP_034174613.1	XP_031780580.1, XP_031780579.1, XP_031780581.1
OG0001718	XP_034172325.1	NP_001123321.1
OG0001719	XP_034172915.1	XP_016839634.1, XP_031782819.1
OG0001720	XP_034181181.1, XP_034181183.1	XP_001603454.1
OG0001721	XP_034174310.1, XP_034174311.1	XP_031784920.1, XP_008211464.1, XP_001604766.2, XP_016841820.1
OG0001722	XP_034176979.1, XP_034176976.1, XP_034176978.1	XP_001599948.2
OG0001724	XP_034192743.1	XP_008214393.1, XP_008214394.1, XP_031779599.1, XP_032452512.1, XP_001601900.1
OG0001725	XP_034191069.1	XP_008206905.1
OG0001726	XP_034186345.1	XP_016839031.1
OG0001727	XP_034186260.1	XP_031779917.1
OG0001728	XP_034186922.1, XP_034186915.1	XP_031778302.1, XP_031778296.1
OG0001730	XP_034173907.1	XP_016845767.1
OG0001731	XP_034195036.1, XP_034195028.1	XP_001602845.2
OG0001732	XP_034177503.1	XP_032454981.1, XP_001600976.1
OG0001733	XP_034179672.1	XP_031779561.1
OG0001734	XP_034196057.1	XP_031784313.1, NP_001123274.2
OG0001735	XP_034189228.1, XP_034189227.1, XP_034189230.1	XP_031777893.1
OG0001736	XP_034182031.1	XP_008208106.2, XP_016837375.1
OG0001737	XP_034187380.1, XP_034187370.1, XP_034187361.1, XP_034187354.1	XP_001608059.1
OG0001738	XP_034188674.1	XP_031778432.1
OG0001740	XP_034189931.1, XP_034189923.1	XP_031785471.1
OG0001741	XP_034188670.1, XP_034188672.1, XP_034188673.1	XP_001604752.1, XP_016842588.1
OG0001742	XP_034179259.1, XP_034179257.1	XP_031777878.1
OG0001743	XP_034178394.1	XP_003424504.1
OG0001744	XP_034179627.1, XP_034179630.1	XP_032456693.1, XP_008207057.1
OG0001745	XP_034184891.1, XP_034184892.1	NP_001123290.1, XP_016843823.1
OG0001746	XP_034181137.1	XP_008215090.1, XP_001601463.1, XP_008215089.1
OG0001748	XP_034171056.1	XP_031782214.1, XP_031782223.1
OG0001749	XP_034172616.1, XP_034172617.1	XP_031782462.1, XP_031782476.1
OG0001750	XP_034186456.1, XP_034186465.1, XP_034186447.1	XP_008214524.1, NP_001177690.1
OG0001751	XP_034196480.1	XP_031788400.1
OG0001753	XP_034185958.1	XP_003426479.1, XP_003426480.1, XP_008207484.1, XP_032456923.1, XP_008207476.1, XP_001608253.1
OG0001754	XP_034172657.1	XP_001605050.1
OG0001755	XP_034178613.1, XP_034178612.1	XP_031781685.1, XP_031781691.1, XP_031781688.1, XP_031781690.1, XP_031781689.1, XP_008214355.2, XP_031781687.1, XP_031781684.1, XP_031781686.1, XP_031781683.1
OG0001756	XP_034172099.1	XP_001604909.2, XP_008210907.1, XP_008210911.1, XP_008210912.1, XP_008210910.1, XP_008210906.1
OG0001758	XP_034177218.1, XP_034177215.1, XP_034177214.1, XP_034177216.1	XP_001606851.1
OG0001759	XP_034189140.1	XP_001603531.2
OG0001760	XP_034191066.1	XP_008215927.1
OG0001762	XP_034183765.1	XP_016837803.1
OG0001763	XP_034175094.1	XP_001606327.2, NP_001153433.1
OG0001764	XP_034176901.1	XP_001602093.2, XP_001602067.1, XP_008211706.2, XP_008211584.1
OG0001765	XP_034183232.1	XP_003427929.1, XP_008213853.1, XP_008213854.1, XP_031786389.1
OG0001767	XP_034176743.1	XP_008207626.1
OG0001768	XP_034190151.1	XP_001607572.2
OG0001769	XP_034189371.1, XP_034189369.1	XP_016836818.1
OG0001771	XP_034176804.1, XP_034176803.1, XP_034176805.1	XP_003427532.1
OG0001772	XP_034173756.1	XP_031789545.1
OG0001773	XP_034190899.1	XP_031783227.1
OG0001774	XP_034180440.1	XP_032453470.1, XP_032453469.1, XP_016837512.1
OG0001775	XP_034191177.1	XP_031785563.1
OG0001776	XP_034183713.1	XP_001605879.1, XP_032452527.1, XP_032452526.1, XP_032452525.1, XP_031779330.1
OG0001777	XP_034186094.1, XP_034186092.1	XP_001599602.1
OG0001778	XP_034192863.1	XP_001606733.1
OG0001779	XP_034183479.1	XP_031779220.1
OG0001780	XP_034191842.1	XP_001600215.1, XP_001601642.1
OG0001781	XP_034186239.1	XP_008207023.1
OG0001782	XP_034191190.1, XP_034191149.1, XP_034191173.1, XP_034191163.1, XP_034191181.1	XP_001599355.1
OG0001783	XP_034175670.1	XP_016843291.1
OG0001784	XP_034190487.1	XP_031783677.1, XP_031783676.1
OG0001785	XP_034187836.1, XP_034187835.1	XP_001604175.2
OG0001786	XP_034172308.1, XP_034172309.1	XP_001608245.1, XP_032457057.1
OG0001787	XP_034185835.1	XP_008215237.1
OG0001788	XP_034172646.1	XP_031780973.1, XP_031780965.1
OG0001789	XP_034192646.1	XP_001604882.1, XP_031785410.1, XP_032455592.1
OG0001790	XP_034179004.1, XP_034179003.1	XP_031786238.1, XP_008214619.1, XP_008214618.1, XP_008214617.1, XP_032454726.1
OG0001791	XP_034171826.1	XP_001608149.1
OG0001792	XP_034190862.1, XP_034190861.1, XP_034190863.1	XP_001600760.1
OG0001793	XP_034193953.1	XP_008214898.1
OG0001794	XP_034170961.1, XP_034170945.1	XP_001605396.1
OG0001795	XP_034192670.1	XP_001607324.1
OG0001796	XP_034190946.1	XP_008206390.1, XP_032454210.1, XP_016839005.1, XP_001605732.2
OG0001797	XP_034177778.1	XP_031778511.1, XP_008207962.1
OG0001799	XP_034173692.1	XP_001603027.1, XP_031784347.2, XP_001603141.1
OG0001800	XP_034172861.1	XP_001603293.1
OG0001801	XP_034175943.1	XP_031786470.1
OG0001802	XP_034188800.1	XP_032454417.1, XP_032454418.1, XP_032454419.1, XP_031781983.1, XP_031781985.1, XP_031781984.1, XP_031781986.1
OG0001803	XP_034187449.1, XP_034187448.1	XP_008216245.1
OG0001804	XP_034192705.1, XP_034192704.1	XP_008216463.1
OG0001805	XP_034191497.1	XP_016841795.1, NP_001155144.1, XP_008201766.1
OG0001806	XP_034188789.1, XP_034188788.1	XP_031778822.1, XP_031778823.1
OG0001807	XP_034172674.1	XP_008210360.2
OG0001808	XP_034171070.1	NP_001136342.1
OG0001809	XP_034175227.1, XP_034175221.1	XP_001599542.2
OG0001810	XP_034181334.1, XP_034181332.1	XP_031778732.1
OG0001811	XP_034194254.1	XP_001604243.1
OG0001812	XP_034194638.1	XP_016838603.1
OG0001813	XP_034185351.1	XP_032456222.1, XP_032456225.1, XP_031789645.1, XP_031789646.1, XP_031789644.1, XP_031789643.1
OG0001814	XP_034196138.1	XP_001606172.1
OG0001815	XP_034183852.1	XP_016843551.1
OG0001816	XP_034187487.1, XP_034187481.1, XP_034187472.1	XP_001600797.1, XP_001602430.1
OG0001817	XP_034190888.1, XP_034190889.1	XP_031778530.1
OG0001818	XP_034180925.1, XP_034180924.1	XP_032452105.1, XP_001606225.1
OG0001819	XP_034174458.1	XP_031782397.1
OG0001820	XP_034194101.1	XP_001601107.1
OG0001821	XP_034173340.1	XP_001606303.4, XP_008203951.2
OG0001822	XP_034181892.1, XP_034181891.1, XP_034181893.1	XP_001603912.2, XP_008202668.1
OG0001823	XP_034193837.1	NP_001135434.1
OG0001824	XP_034171259.1, XP_034171255.1	XP_031782171.1
OG0001826	XP_034191099.1	XP_001606320.1
OG0001827	XP_034192621.1	XP_031784416.1
OG0001828	XP_034196465.1	XP_031782069.1, XP_001600397.1
OG0001829	XP_034184453.1	XP_001607001.1
OG0001830	XP_034177195.1	XP_008210294.1
OG0001831	XP_034180374.1	XP_031788055.1
OG0001832	XP_034179293.1, XP_034179292.1	XP_031787912.1, XP_031787911.1
OG0001833	XP_034192738.1	XP_008208243.1, XP_031776628.1, XP_031776626.1, XP_032451829.1, XP_032451828.1, XP_032451825.1, XP_032451824.1, XP_032451827.1, XP_032451826.1, XP_016836714.1
OG0001834	XP_034175941.1, XP_034175942.1	NP_001165788.1
OG0001835	XP_034188262.1	XP_031784847.1
OG0001836	XP_034191678.1, XP_034191684.1	XP_032452667.1
OG0001837	XP_034175311.1, XP_034175309.1, XP_034175310.1	XP_031785035.1, XP_001602132.1
OG0001838	XP_034186238.1, XP_034186237.1	XP_003425218.1
OG0001839	XP_034190455.1	XP_031778745.1
OG0001840	XP_034177210.1, XP_034177209.1	XP_003427589.1
OG0001841	XP_034193034.1	XP_001600825.2
OG0001842	XP_034170992.1	XP_001602441.1
OG0001843	XP_034184382.1	XP_032452489.1
OG0001844	XP_034180735.1	XP_001600994.2
OG0001845	XP_034190508.1	XP_001599772.1, XP_001599672.1, XP_031785182.1
OG0001846	XP_034176788.1, XP_034176784.1	XP_001602119.1
OG0001847	XP_034186614.1	XP_031784075.1, NP_001135845.1
OG0001848	XP_034174674.1, XP_034174694.1, XP_034174684.1	XP_016837498.2
OG0001850	XP_034191415.1	XP_001603955.2
OG0001851	XP_034190988.1, XP_034190990.1, XP_034190987.1	XP_031781505.1
OG0001852	XP_034193110.1	XP_031783963.1
OG0001853	XP_034189289.1	XP_031779560.1, XP_031779559.1
OG0001854	XP_034190895.1	XP_003424613.1
OG0001855	XP_034183246.1	XP_031780439.1, XP_008208172.1, XP_008208173.1, XP_001600501.1
OG0001856	XP_034184606.1	XP_001606708.1, XP_032458145.1, XP_032458144.1, XP_032458146.1, XP_016839189.1
OG0001857	XP_034180416.1, XP_034180432.1	XP_031785095.1, XP_031785100.1, XP_031785098.1, XP_031785099.1, XP_031785096.1, XP_031785097.1
OG0001858	XP_034177948.1, XP_034177947.1	XP_031783316.1, XP_031783317.1, XP_031783315.1, XP_031783314.1
OG0001859	XP_034178518.1, XP_034178519.1	XP_031788809.1
OG0001860	XP_034188634.1, XP_034188624.1, XP_034188629.1	XP_008208667.1, XP_016838277.1
OG0001861	XP_034177573.1, XP_034177570.1, XP_034177571.1	XP_031779274.1, XP_001604531.1
OG0001862	XP_034175283.1	XP_032455409.1, XP_032455410.1, XP_016840903.1
