Orthogroup	Osmia_lignaria	Solenopsis_invicta
OG0000409	XP_034187439.1	XP_011155587.1
OG0000410	XP_034187535.1	XP_011176175.2
OG0000410	XP_034183020.1, XP_034183019.1	XP_025986889.1
OG0000411	XP_034181278.1	XP_011160223.1
OG0000411	XP_034185032.1	XP_025995923.1
OG0000412	XP_034180047.1, XP_034180046.1	XP_039306107.1, XP_011172820.1
OG0000413	XP_034173017.1, XP_034173016.1	XP_039307750.1
OG0000414	XP_034192469.1	XP_011169182.2
OG0000415	XP_034174807.1, XP_034174805.1, XP_034174804.1, XP_034174809.1, XP_034174808.1, XP_034174806.1	XP_011168828.1
OG0000416	XP_034173390.1, XP_034173389.1	XP_025994445.1
OG0000416	XP_034181739.1	XP_039306718.1
OG0000417	XP_034173968.1	XP_039311146.1
OG0000417	XP_034179610.1	XP_011159178.1
OG0000418	XP_034187154.1	XP_039314069.1, XP_039314068.1, XP_025995255.2, XP_039314062.1
OG0000418	XP_034192859.1	XP_011175472.1
OG0000419	XP_034180586.1	XP_011170168.1, XP_039315218.1, XP_039315217.1, XP_011170167.1, XP_039315473.1, XP_011170169.1, XP_011170165.1, XP_011170166.1, XP_039315470.1, XP_039315471.1, XP_039315474.1, XP_039315475.1, XP_039315472.1
OG0000420	XP_034171358.1, XP_034171359.1	XP_011167142.1
OG0000421	XP_034190976.1, XP_034190977.1, XP_034190972.1, XP_034190973.1, XP_034190974.1, XP_034190975.1, XP_034190980.1, XP_034190981.1, XP_034190982.1, XP_034190983.1, XP_034190966.1, XP_034190969.1, XP_034190968.1, XP_034190967.1, XP_034190965.1, XP_034190964.1, XP_034190971.1, XP_034190970.1, XP_034190978.1	XP_025995747.1, XP_025995746.1, XP_025995745.1, XP_025995744.1
OG0000422	XP_034192994.1, XP_034192996.1, XP_034192997.1, XP_034193000.1, XP_034192992.1, XP_034192993.1, XP_034192985.1, XP_034192986.1, XP_034192984.1, XP_034192989.1, XP_034192990.1, XP_034192987.1, XP_034192995.1, XP_034192988.1, XP_034192998.1, XP_034192999.1	XP_039308629.1
OG0000423	XP_034187444.1, XP_034187441.1, XP_034187442.1, XP_034187443.1, XP_034187440.1	XP_039305511.1, XP_039305512.1, XP_039305509.1, XP_039305510.1, XP_039305508.1, XP_039305513.1, XP_039305514.1, XP_039305516.1, XP_039305515.1, XP_011173532.1
OG0000424	XP_034190673.1, XP_034190671.1	XP_039302020.1
OG0000425	XP_034185807.1, XP_034185808.1, XP_034185805.1	XP_011168938.1, XP_025993412.1
OG0000426	XP_034192474.1	XP_011162778.1
OG0000427	XP_034187714.1	XP_011172179.1
OG0000427	XP_034177017.1	XP_025988512.1
OG0000428	XP_034179556.1	XP_025989494.1
OG0000428	XP_034185049.1	XP_025986434.1
OG0000429	XP_034192589.1	XP_039308806.1, XP_011155459.1, XP_011155455.1, XP_011155458.1, XP_011155456.1, XP_039308807.1, XP_039308805.1
OG0000430	XP_034172332.1, XP_034172303.1	XP_011169019.1
OG0000431	XP_034185073.1	XP_025993326.1, XP_039304285.1, XP_039304250.1
OG0000432	XP_034185323.1, XP_034185324.1, XP_034185325.1	XP_039302936.1, XP_011165414.1, XP_011165415.1, XP_011165413.1
OG0000433	XP_034189624.1	XP_011171476.1
OG0000436	XP_034190341.1	XP_039308293.1, XP_039308289.1
OG0000437	XP_034182896.1, XP_034182895.1	XP_039313661.1, XP_039313660.1, XP_011163984.1, XP_011163985.1
OG0000438	XP_034177563.1	XP_011169727.2
OG0000439	XP_034176782.1	XP_011159444.1
OG0000440	XP_034175070.1	XP_011157156.1
OG0000441	XP_034185619.1, XP_034185617.1, XP_034185618.1	XP_025994829.1, XP_039313740.1, XP_011163376.1, XP_025994830.1
OG0000442	XP_034181908.1	XP_011175728.1, XP_039312916.1, XP_039312917.1
OG0000443	XP_034180034.1, XP_034180057.1	XP_011166034.1, XP_011166447.2
OG0000444	XP_034193114.1, XP_034193115.1, XP_034193113.1	XP_011168529.1
OG0000445	XP_034190773.1	XP_011161822.1
OG0000445	XP_034190775.1	XP_011161821.1
OG0000446	XP_034181155.1, XP_034181151.1, XP_034181153.1, XP_034181154.1	XP_011170954.2, XP_011161784.2
OG0000447	XP_034185552.1, XP_034185553.1	XP_025994302.2, XP_011169173.2
OG0000448	XP_034192918.1	XP_025990261.1, XP_011163721.1, XP_011163722.1, XP_039310744.1
OG0000449	XP_034175098.1, XP_034175099.1, XP_034175100.1, XP_034175095.1, XP_034175101.1, XP_034175102.1, XP_034175097.1	XP_011156237.1, XP_011156238.1, XP_011156239.1
OG0000450	XP_034188421.1	XP_025992990.1
OG0000451	XP_034181554.1	XP_011172774.1, XP_039307289.1
OG0000452	XP_034193074.1	XP_039308636.1
OG0000452	XP_034190816.1	XP_025987628.1
OG0000453	XP_034191667.1	XP_011160816.1
OG0000454	XP_034191353.1, XP_034191354.1, XP_034191351.1, XP_034191352.1, XP_034191356.1, XP_034191359.1, XP_034191357.1, XP_034191358.1, XP_034191361.1, XP_034191360.1	XP_011168930.2, XP_039312833.1
OG0000455	XP_034171567.1, XP_034171566.1	XP_025989327.1, XP_025989325.1, XP_011158642.1, XP_011158643.1
OG0000456	XP_034196409.1, XP_034196401.1	XP_011160275.1
OG0000457	XP_034191079.1	XP_025994414.1
OG0000458	XP_034173465.1, XP_034173463.1, XP_034173464.1	XP_011168081.1, XP_011168083.1, XP_011168082.1
OG0000459	XP_034186067.1, XP_034186069.1, XP_034186068.1	XP_025986179.1, XP_011159840.1, XP_011159841.1, XP_011159839.1, XP_011159843.1
OG0000460	XP_034172553.1	XP_039307556.1
OG0000461	XP_034178750.1, XP_034178751.1, XP_034178749.1	XP_039310715.1
OG0000462	XP_034193967.1	XP_039315142.1, XP_039315141.1, XP_011155777.1
OG0000463	XP_034172138.1	XP_011156288.1
OG0000463	XP_034172130.1	XP_011156276.1
OG0000464	XP_034172746.1	XP_039302380.1, XP_039307505.1
OG0000465	XP_034182650.1, XP_034182651.1, XP_034182653.1, XP_034182646.1, XP_034182647.1, XP_034182648.1, XP_034182649.1, XP_034182654.1, XP_034182634.1, XP_034182635.1, XP_034182629.1, XP_034182632.1, XP_034182633.1, XP_034182630.1, XP_034182631.1, XP_034182628.1, XP_034182645.1, XP_034182644.1, XP_034182641.1, XP_034182640.1, XP_034182642.1, XP_034182637.1, XP_034182639.1, XP_034182638.1, XP_034182643.1	XP_039303431.1, XP_039303437.1, XP_039306332.1, XP_039310329.1, XP_039311954.1
OG0000466	XP_034188067.1	XP_039311751.1, XP_039311750.1, XP_039311752.1, XP_011164748.3
OG0000467	XP_034175898.1	XP_011171825.1, XP_011171844.1, XP_039302512.1, XP_039302510.1, XP_025989598.1, XP_039302509.1
OG0000468	XP_034179339.1	XP_039304139.1
OG0000469	XP_034174271.1, XP_034174272.1, XP_034174273.1, XP_034174270.1	XP_039305286.1, XP_039305285.1
OG0000470	XP_034182970.1, XP_034182969.1	XP_011167300.1
OG0000471	XP_034184461.1, XP_034184462.1, XP_034184460.1	XP_011156615.1, XP_011156613.1, XP_039307156.1
OG0000472	XP_034195907.1, XP_034195787.1	XP_039308997.1
OG0000473	XP_034173942.1	XP_039311518.1
OG0000474	XP_034172357.1, XP_034172359.1, XP_034172360.1, XP_034172361.1	XP_039310604.1, XP_039310605.1, XP_039310606.1, XP_011162545.1
OG0000475	XP_034179714.1	XP_011160619.1
OG0000476	XP_034173702.1	XP_039307257.1, XP_039306344.1, XP_025986350.2, XP_039309974.1, XP_039309976.1, XP_011172993.2, XP_039309975.1, XP_011164250.1, XP_025988917.1, XP_025986338.2, XP_011165951.1, XP_025993811.1
OG0000477	XP_034177335.1	XP_025996089.1
OG0000477	XP_034173419.1	XP_011168899.2
OG0000478	XP_034195846.1	XP_011173143.1
OG0000479	XP_034175212.1	XP_039301991.1
OG0000480	XP_034176735.1	XP_025992857.1
OG0000483	XP_034172717.1, XP_034172718.1, XP_034172720.1, XP_034172719.1	XP_025993672.1, XP_039307370.1
OG0000484	XP_034179767.1	XP_011163920.2, XP_025992083.2, XP_039311033.1, XP_039311035.1, XP_039311034.1
OG0000485	XP_034181035.1	XP_011174858.1
OG0000485	XP_034181032.1	XP_039309923.1, XP_039309926.1, XP_039309933.1, XP_025988305.2, XP_011174835.2, XP_011174840.2
OG0000486	XP_034178154.1	XP_039310943.1
OG0000487	XP_034193011.1	XP_011165857.1
OG0000487	XP_034193013.1, XP_034193014.1, XP_034193012.1	XP_039303806.1, XP_039303805.1, XP_011165860.1, XP_011165859.1
OG0000488	XP_034181104.1, XP_034181105.1, XP_034181101.1, XP_034181102.1, XP_034181103.1	XP_039314622.1
OG0000489	XP_034187716.1, XP_034187717.1, XP_034187718.1	XP_011157401.1, XP_011157406.1, XP_011157405.1, XP_011157404.1, XP_011157402.1
OG0000490	XP_034176689.1	XP_011164822.1
OG0000492	XP_034182815.1, XP_034182814.1	XP_011156001.1, XP_011156002.1, XP_039308490.1, XP_039308501.1
OG0000493	XP_034189580.1, XP_034189578.1, XP_034189579.1, XP_034189581.1	XP_011171302.2, XP_011171304.2, XP_011171303.2
OG0000494	XP_034174964.1	XP_011159254.1, XP_025994069.1
OG0000495	XP_034177187.1, XP_034177193.1	XP_039310887.1, XP_039310888.1, XP_039310889.1, XP_039310890.1, XP_039310891.1, XP_039310892.1, XP_039310893.1, XP_039310894.1, XP_039310895.1, XP_039310896.1
OG0000496	XP_034183865.1, XP_034183826.1, XP_034183833.1, XP_034183856.1, XP_034183850.1, XP_034183840.1, XP_034183817.1	XP_011166398.1, XP_011166382.1, XP_011166390.1, XP_025988359.1
OG0000497	XP_034189658.1	XP_039309094.1
OG0000497	XP_034176952.1, XP_034176951.1	XP_025994815.1
OG0000498	XP_034184754.1, XP_034184753.1, XP_034184755.1, XP_034184752.1	XP_039313807.1, XP_011163998.1
OG0000500	XP_034195891.1	XP_011157702.1
OG0000500	XP_034195905.1	XP_039312958.1
OG0000501	XP_034195124.1, XP_034191370.1, XP_034186987.1, XP_034191003.1	XP_011166207.2
OG0000501	XP_034186343.1	XP_011166208.1
OG0000502	XP_034182531.1	XP_011159324.1
OG0000502	XP_034182530.1, XP_034182529.1	XP_011159323.1
OG0000503	XP_034194404.1, XP_034194406.1, XP_034194405.1	XP_011155986.1
OG0000505	XP_034191600.1	XP_011161151.2
OG0000505	XP_034191635.1	XP_011161158.1
OG0000507	XP_034171017.1	XP_011161050.2, XP_011161049.1, XP_011161048.1, XP_011161052.1, XP_011161051.1
OG0000508	XP_034183968.1, XP_034183965.1, XP_034183964.1, XP_034183967.1, XP_034183962.1, XP_034183963.1	NP_001291529.1
OG0000509	XP_034178282.1	XP_025990433.1
OG0000510	XP_034179478.1, XP_034179477.1, XP_034179479.1, XP_034179481.1, XP_034179480.1	XP_025996242.1
OG0000511	XP_034186986.1	XP_039307912.1, XP_025987206.1, XP_039303240.1
OG0000511	XP_034186601.1	XP_039307466.1, XP_039307486.1, XP_039307477.1, XP_039307548.1, XP_039307483.1, XP_039307473.1, XP_011160654.3, XP_039303270.1, XP_011170953.1, XP_025987072.2, XP_039307491.1, XP_039307490.1, XP_011158237.1, XP_039307560.1
OG0000512	XP_034184149.1	XP_039306949.1, XP_039306946.1
OG0000512	XP_034184144.1	XP_011166406.1, XP_039306944.1
OG0000513	XP_034187715.1	XP_011172177.1
OG0000514	XP_034188457.1, XP_034186606.1, XP_034186605.1, XP_034186603.1, XP_034188116.1	XP_025988628.2, XP_025997308.1, XP_039307516.1, XP_025997236.2, XP_039302135.1, XP_039313988.1, XP_039313884.1
OG0000515	XP_034182280.1, XP_034182279.1, XP_034182278.1, XP_034182276.1, XP_034182277.1	XP_011170997.1, XP_011170996.1, XP_039306226.1
OG0000516	XP_034189410.1, XP_034189409.1	XP_011172056.1
OG0000517	XP_034196123.1	XP_011163700.2
OG0000517	XP_034196122.1	XP_039309232.1
OG0000518	XP_034192052.1, XP_034192050.1, XP_034192051.1	XP_011175188.2, XP_011175189.2, XP_011175191.2
OG0000519	XP_034189833.1, XP_034189815.1, XP_034189824.1	XP_025991738.1, XP_011159219.1, XP_011159221.1, XP_039308221.1, XP_039308220.1
OG0000520	XP_034177207.1	XP_011166082.1, XP_011166083.1
OG0000521	XP_034195651.1, XP_034195652.1	XP_011166943.1
OG0000522	XP_034179558.1	XP_011167766.2
OG0000523	XP_034172487.1, XP_034172483.1	XP_025986325.2
OG0000524	XP_034183787.1	XP_025986063.1
OG0000525	XP_034186722.1, XP_034186723.1	XP_025993000.2
OG0000526	XP_034181293.1	XP_011163487.3
OG0000526	XP_034175726.1, XP_034175715.1	XP_011173281.1
OG0000527	XP_034177981.1, XP_034177979.1	XP_025994056.1, XP_011171909.1
OG0000528	XP_034183159.1	XP_011164853.1
OG0000529	XP_034192373.1	XP_039309772.1, XP_011161552.1
OG0000529	XP_034194295.1	XP_011165420.2
OG0000530	XP_034191810.1	XP_011157307.1
OG0000530	XP_034191807.1	XP_011157306.1
OG0000533	XP_034177024.1, XP_034177015.1, XP_034177030.1	XP_039310971.1, XP_039310972.1, XP_011165801.2, XP_025994422.2
OG0000536	XP_034171782.1	XP_025987440.1, XP_025987439.1
OG0000538	XP_034178598.1	XP_011168662.1
OG0000539	XP_034194668.1	XP_039309656.1
OG0000539	XP_034172331.1	XP_039313015.1
OG0000540	XP_034193506.1	XP_039309898.1, NP_001291538.1
OG0000541	XP_034173505.1	XP_039308180.1
OG0000542	XP_034190760.1	XP_039307562.1, XP_011162049.1
OG0000543	XP_034173912.1, XP_034173836.1, XP_034173989.1	XP_039314361.1
OG0000544	XP_034193521.1, XP_034193522.1, XP_034193523.1	XP_011159201.2, XP_039309904.1
OG0000545	XP_034194016.1	XP_011172555.1
OG0000546	XP_034184573.1	XP_011166500.2
OG0000546	XP_034184571.1	XP_025990179.1
OG0000547	XP_034182344.1	XP_011158548.1
OG0000548	XP_034179924.1	XP_039314101.1
OG0000549	XP_034171194.1	XP_011162919.1
OG0000551	XP_034175543.1	XP_011160212.1
OG0000552	XP_034189111.1	XP_011169733.1
OG0000553	XP_034181902.1	XP_011162424.1
OG0000554	XP_034188154.1	XP_025989623.1
OG0000554	XP_034193845.1	XP_039315055.1
OG0000555	XP_034189901.1	XP_011160546.3
OG0000555	XP_034189902.1	XP_011160545.1
OG0000556	XP_034177584.1, XP_034177583.1, XP_034177586.1	XP_011155655.1
OG0000557	XP_034184508.1	XP_011159193.1
OG0000558	XP_034176933.1	XP_011165104.2
OG0000558	XP_034184764.1	XP_011155663.1
OG0000559	XP_034186341.1	XP_011170518.1
OG0000560	XP_034179618.1, XP_034179617.1, XP_034179616.1	XP_011165828.1, XP_025993242.1, XP_011165827.1, XP_039303889.1, XP_039303890.1
OG0000561	XP_034187982.1	XP_011169324.1
OG0000561	XP_034187985.1	XP_025992227.2
OG0000562	XP_034182130.1	XP_025989184.1
OG0000562	XP_034182129.1, XP_034182128.1	XP_011159988.1
OG0000563	XP_034177453.1, XP_034177454.1	XP_025989096.1, XP_025989094.1, XP_025989095.1
OG0000564	XP_034175704.1, XP_034175703.1, XP_034175700.1, XP_034175699.1, XP_034175702.1, XP_034175701.1	XP_025989595.2, XP_011171715.1
OG0000565	XP_034180490.1	XP_011157246.1
OG0000565	XP_034189412.1	XP_039303576.1
OG0000567	XP_034175961.1, XP_034175960.1	XP_011168976.1
OG0000567	XP_034172630.1	XP_011172612.2
OG0000568	XP_034190517.1, XP_034190516.1	XP_025986039.1
OG0000569	XP_034173589.1	XP_039312304.1
OG0000569	XP_034174891.1	XP_011157244.1
OG0000570	XP_034187227.1	XP_039314374.1, XP_025987778.1, XP_025987776.1, XP_025987777.1
OG0000571	XP_034180134.1, XP_034180123.1	XP_011157319.2, XP_039306862.1
OG0000571	XP_034180114.1	XP_039306865.1
OG0000572	XP_034178138.1, XP_034178139.1, XP_034178137.1	XP_039311184.1
OG0000573	XP_034182027.1	XP_011162484.1, XP_011162486.1
OG0000574	XP_034185326.1	XP_011175919.1
OG0000574	XP_034185559.1	XP_011175979.1
OG0000575	XP_034184569.1	XP_025990180.1
OG0000575	XP_034184174.1	XP_011166359.2
OG0000576	XP_034183051.1	XP_025993714.1, XP_025993716.1, XP_025993717.1
OG0000577	XP_034171655.1	XP_025992633.1, XP_039303177.1, XP_011161740.1, XP_011161743.1
OG0000578	XP_034193755.1	XP_011166187.2
OG0000579	XP_034189531.1, XP_034189541.1	XP_011156052.1, XP_011156051.1
OG0000582	XP_034193004.1	XP_011160599.1
OG0000583	XP_034180792.1	XP_011167028.2, XP_039306141.1
OG0000584	XP_034184664.1	XP_039302271.1
OG0000585	XP_034174820.1	XP_011170883.1
OG0000585	XP_034187486.1	XP_011169115.1
OG0000586	XP_034194761.1	XP_039312051.1, XP_039312225.1, XP_039311914.1
OG0000587	XP_034178674.1, XP_034178675.1	XP_039303764.1
OG0000588	XP_034186533.1, XP_034186534.1	XP_039307024.1
OG0000589	XP_034183394.1	XP_025989087.1, XP_039309540.1, XP_039309539.1
OG0000590	XP_034185684.1, XP_034185683.1, XP_034185681.1, XP_034185682.1, XP_034185675.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185679.1, XP_034185680.1, XP_034185677.1, XP_034185678.1	XP_011164365.1, XP_025988896.1
OG0000591	XP_034186569.1	XP_011172770.1, XP_011172760.1, XP_011172764.1
OG0000591	XP_034177462.1	XP_011172322.1
OG0000592	XP_034178871.1	XP_039304350.1
OG0000593	XP_034190181.1	XP_025990297.2, XP_039306195.1
OG0000594	XP_034187972.1	XP_011169319.1, XP_039310004.1
OG0000595	XP_034179380.1	XP_011157974.1
OG0000595	XP_034179381.1	XP_011157972.1
OG0000596	XP_034174072.1	XP_011172105.3
OG0000597	XP_034183966.1, XP_034183976.1, XP_034183921.1, XP_034183956.1, XP_034183929.1, XP_034183947.1, XP_034183937.1	XP_011165992.1, XP_039310829.1
OG0000598	XP_034185284.1	XP_039302656.1
OG0000599	XP_034172236.1	XP_039309902.1
OG0000600	XP_034183594.1, XP_034183596.1	XP_011169639.2, XP_039311581.1, XP_025992014.2, XP_025992015.2, XP_011169635.2, XP_039311584.1, XP_039311583.1
OG0000601	XP_034179494.1	XP_011163933.1, XP_039311063.1, XP_011163934.1
OG0000602	XP_034191234.1	XP_039314332.1
OG0000602	XP_034172744.1, XP_034172765.1	XP_011173207.2
OG0000603	XP_034179685.1	XP_011167316.1, XP_025991186.1, XP_025991185.1, XP_025991188.1, XP_025991187.1
OG0000604	XP_034183905.1	XP_011163407.2
OG0000606	XP_034187245.1, XP_034187246.1	XP_011162133.1
OG0000608	XP_034194978.1	XP_039314639.1
OG0000609	XP_034176820.1, XP_034176821.1, XP_034176818.1, XP_034176819.1, XP_034176817.1	XP_039302838.1, XP_011167460.2
OG0000610	XP_034195045.1	XP_039312421.1, XP_011163133.1, XP_011167083.1
OG0000611	XP_034179729.1, XP_034179728.1, XP_034179727.1	XP_039304710.1, XP_011166113.1, XP_011166114.1
OG0000612	XP_034189021.1, XP_034189022.1, XP_034189023.1	XP_011165847.1, XP_039308027.1, XP_039308039.1, XP_039308037.1, XP_039308038.1
OG0000613	XP_034172118.1	XP_011156407.1, XP_011156404.1
OG0000614	XP_034171292.1	XP_039308727.1
OG0000614	XP_034179601.1	XP_039311099.1
OG0000615	XP_034196191.1	XP_011156604.2
OG0000616	XP_034196701.1, XP_034196698.1, XP_034196693.1, XP_034196699.1	XP_039305832.1, XP_039305828.1, XP_039305833.1
OG0000617	XP_034189207.1, XP_034189206.1	XP_011158954.1
OG0000617	XP_034189189.1	XP_025986670.1
OG0000619	XP_034174044.1, XP_034174045.1, XP_034174043.1	XP_011173657.1, XP_011173658.1, XP_025987595.1
OG0000620	XP_034182244.1, XP_034182243.1, XP_034182241.1, XP_034182242.1	XP_011169601.1
OG0000621	XP_034193375.1	XP_039312703.1
OG0000622	XP_034179314.1, XP_034179315.1	XP_011169602.1
OG0000623	XP_034190998.1, XP_034190999.1	XP_039313782.1, XP_011164272.1
OG0000624	XP_034196415.1, XP_034196419.1	XP_011157512.1, XP_039302508.1
OG0000625	XP_034193692.1, XP_034193765.1	XP_011163576.1
OG0000626	XP_034183276.1, XP_034183277.1	XP_011155744.2
OG0000627	XP_034176579.1, XP_034176577.1, XP_034176578.1	XP_025987673.1
OG0000628	XP_034175867.1	XP_039309559.1
OG0000628	XP_034175870.1	XP_025996176.1
OG0000629	XP_034186138.1, XP_034186139.1, XP_034186140.1	XP_011170977.2
OG0000630	XP_034196439.1	XP_039306780.1
OG0000631	XP_034180553.1, XP_034180557.1, XP_034180555.1, XP_034180556.1	XP_039306909.1
OG0000632	XP_034178299.1, XP_034178301.1, XP_034178300.1, XP_034178303.1	XP_039309842.1, XP_011155541.1
OG0000633	XP_034192083.1, XP_034192084.1	XP_011172797.1
OG0000633	XP_034170947.1	XP_011158982.1
OG0000634	XP_034182976.1	XP_011159579.2
OG0000634	XP_034182995.1	XP_011159577.1
OG0000635	XP_034187927.1	XP_011161776.2, XP_025986615.1
OG0000635	XP_034195520.1	XP_039301712.1
OG0000636	XP_034186132.1, XP_034186134.1, XP_034186133.1	XP_011164458.1, XP_011164454.1, XP_011164455.1, XP_011164460.1, XP_039307112.1, XP_025996460.1, XP_011164457.1
OG0000637	XP_034195726.1, XP_034195728.1, XP_034195727.1	XP_011160711.2
OG0000638	XP_034174717.1	XP_011169107.1, XP_011169109.1
OG0000639	XP_034171694.1	XP_039305053.1, XP_011158830.1
OG0000640	XP_034187341.1, XP_034187332.1, XP_034187323.1	XP_011160127.1
OG0000641	XP_034189041.1, XP_034189040.1	XP_011162857.1
OG0000642	XP_034171237.1, XP_034171238.1, XP_034171236.1	XP_011167158.1
OG0000643	XP_034195752.1	XP_011160706.1
OG0000643	XP_034195753.1	XP_011160705.2
OG0000644	XP_034170835.1, XP_034170836.1	XP_011155802.1, XP_011155801.1
OG0000645	XP_034180486.1	XP_011165878.1, XP_011165879.1
OG0000646	XP_034181008.1	XP_011156050.1
OG0000647	XP_034188148.1	XP_025990863.1, XP_025990862.1
OG0000648	XP_034183259.1	XP_011162013.1
OG0000649	XP_034183429.1, XP_034183430.1	XP_011160804.1
OG0000650	XP_034188775.1, XP_034188776.1, XP_034188777.1, XP_034188778.1	XP_039308781.1, XP_011168549.1, XP_011168547.1
OG0000651	XP_034195589.1	XP_039301926.1
OG0000651	XP_034196591.1	XP_039303055.1
OG0000653	XP_034176981.1	XP_039314842.1, XP_011169116.1, XP_011169108.1, XP_011169123.1, XP_025987803.1, XP_011169129.1, XP_025987800.1
OG0000654	XP_034185775.1	XP_011157432.3
OG0000654	XP_034182877.1	XP_039306560.1
OG0000655	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1	XP_025992461.2
OG0000656	XP_034196188.1, XP_034196187.1	XP_011175984.1
OG0000657	XP_034188916.1	XP_011170703.1, XP_011170702.1, XP_039303243.1, XP_011170698.1
OG0000659	XP_034187721.1	XP_011173530.2
OG0000660	XP_034194764.1	XP_025989970.1
OG0000661	XP_034190810.1	XP_039303215.1
OG0000662	XP_034192251.1	XP_011175457.1
OG0000663	XP_034178209.1	XP_025986599.1
OG0000664	XP_034184472.1	XP_025992680.2
OG0000665	XP_034180817.1	XP_011170315.1
OG0000666	XP_034173453.1	XP_011171071.1
OG0000666	XP_034173466.1	XP_039312157.1, XP_025991650.2, XP_039306785.1, XP_011171072.1
OG0000667	XP_034176332.1, XP_034176342.1, XP_034176323.1, XP_034176352.1	XP_039310656.1, XP_011164614.1
OG0000668	XP_034187782.1, XP_034187783.1, XP_034187781.1	XP_039306186.1
OG0000669	XP_034195082.1	XP_025988961.1, XP_039302920.1, XP_011175851.1
OG0000670	XP_034177506.1	XP_011159463.1
OG0000672	XP_034181794.1, XP_034181793.1	XP_011160324.2
OG0000672	XP_034181792.1	XP_011160332.1
OG0000673	XP_034189277.1	XP_025991633.2, XP_025991631.2, XP_025991632.2
OG0000674	XP_034173457.1, XP_034173454.1, XP_034173455.1, XP_034173456.1, XP_034181537.1	XP_039310353.1, XP_011162427.1, XP_039310351.1, XP_039310352.1
OG0000676	XP_034181040.1, XP_034181041.1, XP_034181037.1, XP_034181038.1, XP_034181039.1	XP_011160330.1, XP_011160331.1, XP_039313501.1
OG0000677	XP_034192273.1	XP_011160950.1, XP_011160946.1, XP_011160951.1
OG0000678	XP_034195733.1, XP_034195514.1, XP_034195595.1, XP_034195387.1, XP_034194733.1, XP_034179661.1, XP_034179594.1, XP_034179602.1, XP_034179648.1, XP_034196316.1, XP_034196184.1	XP_039304396.1
OG0000680	XP_034184644.1, XP_034184643.1	XP_011167693.1, XP_011167708.1, XP_011167701.1
OG0000681	XP_034171583.1	NP_001291522.1
OG0000681	XP_034185749.1	XP_011171271.1
OG0000682	XP_034189757.1	XP_011163525.2
OG0000683	XP_034184027.1, XP_034184025.1, XP_034184026.1	XP_039306229.1, XP_039306230.1
OG0000684	XP_034191620.1	XP_039302424.1, XP_011157520.1, XP_011157521.1, XP_039302421.1
OG0000685	XP_034195418.1	XP_011166723.1
OG0000685	XP_034173050.1	XP_011165386.2
OG0000686	XP_034182666.1, XP_034182664.1	XP_011167376.2, XP_011167375.2
OG0000687	XP_034184405.1	XP_011165090.1, XP_011165092.1
OG0000688	XP_034179998.1, XP_034179999.1	XP_025991175.2, XP_011167177.2
OG0000689	XP_034177004.1	XP_025987790.1
OG0000689	XP_034177154.1	XP_011169515.2
OG0000690	XP_034195617.1, XP_034195626.1	XP_011163918.1
OG0000691	XP_034183384.1	XP_039314432.1, XP_011164381.1
OG0000692	XP_034186253.1	XP_011161649.1
OG0000693	XP_034196044.1, XP_034196043.1	XP_025993002.1
OG0000694	XP_034177829.1	XP_011170811.1, XP_011170813.1
OG0000695	XP_034194706.1	XP_025987444.1, XP_025987443.1, XP_039310172.1, XP_039310173.1
OG0000698	XP_034192654.1	XP_011159907.1, XP_011159915.1, XP_011159925.1
OG0000699	XP_034171908.1	XP_011161891.2
OG0000700	XP_034172520.1	XP_011157480.1
OG0000700	XP_034172631.1	XP_025987956.1
OG0000701	XP_034181233.1	XP_011161794.1
OG0000703	XP_034182469.1, XP_034182467.1, XP_034182466.1, XP_034182468.1	XP_025993224.2, XP_039310299.1, XP_025993223.2
OG0000704	XP_034180708.1, XP_034180704.1, XP_034180705.1, XP_034180707.1	XP_025994168.1
OG0000704	XP_034192112.1	XP_011161187.1
OG0000705	XP_034195449.1, XP_034195450.1	XP_025988088.2
OG0000706	XP_034173606.1, XP_034173652.1	XP_011168454.1
OG0000707	XP_034174365.1	XP_011166276.1, XP_039305379.1
OG0000708	XP_034179612.1, XP_034179613.1	XP_039314227.1, XP_039314228.1
OG0000709	XP_034190264.1, XP_034190266.1, XP_034190270.1, XP_034190269.1, XP_034190267.1	XP_011175840.1, XP_011175841.1
OG0000710	XP_034181294.1, XP_034189663.1	XP_025996916.1
OG0000711	XP_034186726.1, XP_034186725.1	XP_011158311.2
OG0000712	XP_034195385.1	XP_025991504.1, XP_025991503.1
OG0000713	XP_034180827.1	XP_011156494.2
OG0000714	XP_034176115.1, XP_034176110.1	XP_025994772.1
OG0000715	XP_034179040.1	XP_011159153.2, XP_011159154.2
OG0000716	XP_034195596.1, XP_034195587.1, XP_034195604.1	XP_011163912.2
OG0000717	XP_034173546.1	XP_011164323.1, XP_011164322.1, XP_011164321.1
OG0000718	XP_034180234.1, XP_034180236.1	XP_025992101.1
OG0000719	XP_034189545.1	XP_039304225.1, XP_039304226.1
OG0000720	XP_034191713.1	XP_039302434.1
OG0000720	XP_034179159.1	XP_039314720.1
OG0000721	XP_034182717.1	XP_025988246.1, XP_039305016.1, XP_039305030.1, XP_011167439.2, XP_011167438.2
OG0000722	XP_034185418.1, XP_034185417.1	XP_039314078.1, XP_011167944.1
