Orthogroup	Osmia_lignaria	Drosophila_melanogaster
OG0001424	XP_034176626.1	NP_001262495.1
OG0001425	XP_034172250.1	NP_788574.3
OG0001426	XP_034178010.1	NP_001163056.1
OG0001427	XP_034194215.1	NP_648499.1
OG0001428	XP_034177324.1	NP_608929.1
OG0001429	XP_034186333.1	NP_609625.2, NP_001260439.1, NP_609627.1
OG0001430	XP_034193880.1	NP_001287466.1
OG0001432	XP_034187182.1	NP_001188923.1, NP_611185.3
OG0001434	XP_034196636.1	NP_788618.1, NP_649928.1
OG0001436	XP_034192020.1, XP_034192021.1, XP_034192022.1	NP_650868.1, NP_649289.2
OG0001437	XP_034183216.1, XP_034183215.1, XP_034183214.1, XP_034183219.1, XP_034183218.1	NP_001286742.1
OG0001438	XP_034190820.1, XP_034190825.1	NP_727644.3
OG0001440	XP_034188593.1, XP_034188594.1, XP_034188591.1	NP_611647.1
OG0001441	XP_034190303.1, XP_034190307.1	NP_001027574.2
OG0001442	XP_034176116.1	NP_001287592.1
OG0001443	XP_034188686.1, XP_034188687.1	NP_001096850.2
OG0001444	XP_034177854.1	NP_001034052.2
OG0001445	XP_034177897.1	NP_788715.2, NP_788714.1, NP_651058.1
OG0001446	XP_034186058.1	NP_648358.2
OG0001453	XP_034180206.1	NP_001285826.1
OG0001455	XP_034185177.1	NP_610092.2
OG0001456	XP_034172056.1	NP_001286295.1
OG0001457	XP_034184077.1, XP_034184078.1, XP_034184079.1	NP_001163688.1
OG0001458	XP_034191558.1	NP_476858.1
OG0001459	XP_034175342.1	NP_001263148.1
OG0001460	XP_034170884.1	NP_476848.1
OG0001461	XP_034192616.1, XP_034192617.1	NP_001287491.1, NP_001036749.2, NP_001262890.1
OG0001462	XP_034196153.1, XP_034196154.1	NP_001262421.1
OG0001463	XP_034190681.1	NP_649574.1
OG0001464	XP_034196022.1	NP_651592.2, NP_569871.2, NP_001246485.1
OG0001465	XP_034171010.1	NP_001189124.1
OG0001466	XP_034191925.1, XP_034196338.1	NP_569951.1, NP_611911.1
OG0001467	XP_034175936.1, XP_034179294.1, XP_034176791.1, XP_034177633.1, XP_034178483.1	NP_001260304.1, NP_001260305.1, NP_001260306.1
OG0001468	XP_034189050.1, XP_034188926.1	NP_001260652.1
OG0001469	XP_034176302.1	NP_523568.2
OG0001470	XP_034183067.1	NP_648768.1
OG0001471	XP_034182426.1	NP_648463.2, NP_001285545.1, NP_608514.1
OG0001472	XP_034181981.1	NP_725504.1, NP_001246828.1, NP_001286770.1
OG0001473	XP_034189107.1, XP_034189106.1, XP_034189108.1, XP_034189110.1, XP_034189109.1	NP_001287361.1
OG0001474	XP_034189816.1	NP_609560.2, NP_569850.1
OG0001475	XP_034173362.1, XP_034173363.1	NP_001368987.1
OG0001477	XP_034189643.1	NP_001014453.1
OG0001478	XP_034175202.1, XP_034175211.1	NP_001285042.1
OG0001479	XP_034175520.1	NP_001036624.1
OG0001480	XP_034173889.1	NP_524533.1
OG0001481	XP_034185440.1	NP_001286181.1
OG0001482	XP_034186998.1	NP_651924.2
OG0001483	XP_034187252.1	NP_001262996.1
OG0001484	XP_034191551.1, XP_034191550.1	NP_001188579.1
OG0001485	XP_034186519.1	NP_523596.2
OG0001486	XP_034176682.1, XP_034176680.1	NP_476764.1
OG0001487	XP_034183431.1	NP_001188904.1
OG0001488	XP_034195946.1	NP_001189108.1
OG0001489	XP_034179074.1	NP_648555.1
OG0001491	XP_034191694.1	NP_609228.2
OG0001492	XP_034186910.1	NP_001263168.1
OG0001493	XP_034185995.1	NP_001262195.1
OG0001494	XP_034191318.1	NP_001287233.1, NP_731250.1, NP_001262370.1
OG0001495	XP_034174793.1	NP_612063.2
OG0001496	XP_034192377.1	NP_609203.1
OG0001497	XP_034193387.1, XP_034193385.1, XP_034193386.1	NP_001260853.1
OG0001498	XP_034190065.1, XP_034190067.1	NP_729823.2
OG0001499	XP_034177671.1	NP_572167.3
OG0001500	XP_034183987.1	NP_730859.1
OG0001501	XP_034195944.1, XP_034195954.1	NP_001303373.1
OG0001502	XP_034195654.1, XP_034195723.1, XP_034195661.1, XP_034195645.1, XP_034195670.1, XP_034195691.1, XP_034195702.1, XP_034195681.1, XP_034195713.1, XP_034195636.1	NP_001261464.1
OG0001503	XP_034193077.1	NP_665880.2
OG0001504	XP_034188489.1	NP_001261440.1
OG0001505	XP_034177466.1	NP_001097527.1
OG0001507	XP_034178888.1, XP_034178887.1	NP_001287269.1
OG0001508	XP_034173898.1, XP_034173896.1	NP_001138130.2
OG0001509	XP_034185686.1, XP_034185685.1	NP_001261116.1
OG0001510	XP_034175743.1, XP_034176259.1	NP_001284936.1
OG0001511	XP_034172851.1	NP_649151.1
OG0001514	XP_034175632.1, XP_034175631.1	NP_001188550.1
OG0001515	XP_034174960.1	NP_001259809.1
OG0001517	XP_034186559.1	NP_731242.1
OG0001518	XP_034182092.1, XP_034182091.1	NP_001036462.1
OG0001519	XP_034176663.1	NP_650997.1, NP_732891.1, NP_650998.1, NP_001286383.1
OG0001522	XP_034194411.1	NP_001096867.3
OG0001524	XP_034188338.1	NP_001261067.1
OG0001525	XP_034193512.1, XP_034193514.1, XP_034193513.1	NP_477026.1
OG0001526	XP_034185127.1	NP_001369078.1
OG0001527	XP_034186561.1, XP_034186469.1	NP_001259089.1
OG0001529	XP_034194471.1	NP_001162930.1
OG0001530	XP_034172078.1, XP_034172077.1, XP_034172074.1, XP_034172076.1	NP_611501.1
OG0001531	XP_034176936.1	NP_651595.1
OG0001532	XP_034181167.1, XP_034181163.1, XP_034181168.1	NP_001162665.1
OG0001533	XP_034191939.1	NP_728534.2
OG0001534	XP_034191289.1, XP_034191290.1, XP_034191288.1, XP_034191292.1, XP_034191291.1	NP_731923.2
OG0001535	XP_034170946.1	NP_001261999.1
OG0001536	XP_034171019.1, XP_034170963.1	NP_648357.1
OG0001537	XP_034183326.1	NP_001245892.1, NP_001260974.1
OG0001538	XP_034196385.1	NP_995639.1
OG0001539	XP_034177999.1	NP_524017.1
OG0001540	XP_034173018.1	NP_610693.1, NP_610694.1
OG0001541	XP_034177469.1	NP_001261940.1
OG0001542	XP_034173767.1, XP_034173765.1	NP_609207.1
OG0001543	XP_034192289.1	NP_650901.2
OG0001545	XP_034181991.1, XP_034182093.1, XP_034188450.1	NP_523451.2
OG0001546	XP_034177866.1	NP_001247104.1
OG0001548	XP_034181939.1, XP_034181934.1, XP_034181938.1	NP_001285388.1
OG0001551	XP_034175250.1	NP_001246815.1
OG0001552	XP_034171982.1, XP_034171977.1	NP_477317.1
OG0001553	XP_034171753.1	NP_651623.1
OG0001554	XP_034183078.1, XP_034183070.1	NP_001261344.1
OG0001555	XP_034192618.1	NP_001246451.1
OG0001556	XP_034177956.1	NP_726771.1
OG0001557	XP_034175797.1	NP_001260951.1
OG0001558	XP_034190422.1	NP_001245722.1
OG0001559	XP_034181077.1, XP_034181078.1, XP_034181076.1, XP_034181080.1, XP_034181079.1	NP_650472.2
OG0001560	XP_034173220.1	NP_001246228.1
OG0001561	XP_034193887.1, XP_034193886.1, XP_034193888.1, XP_034193890.1, XP_034193889.1	NP_001260963.1
OG0001562	XP_034185884.1, XP_034185806.1	NP_001137943.2
OG0001563	XP_034193791.1, XP_034193793.1	NP_001246300.1
OG0001564	XP_034195352.1	NP_650698.1
OG0001565	XP_034183551.1	NP_001286976.1
OG0001567	XP_034189867.1, XP_034189876.1	NP_001137746.1
OG0001568	XP_034176881.1, XP_034176880.1	NP_001263152.1
OG0001569	XP_034192018.1, XP_034192019.1	NP_477320.1
OG0001570	XP_034175949.1, XP_034175951.1, XP_034175950.1	NP_648176.1
OG0001571	XP_034178369.1	NP_610075.2
OG0001575	XP_034184289.1	NP_524337.1
OG0001576	XP_034182764.1	NP_001286660.1, NP_788526.1, NP_649081.1, NP_650171.2, NP_608804.1
OG0001577	XP_034181816.1	NP_001285493.1
OG0001579	XP_034183763.1, XP_034183762.1	NP_001097592.1
OG0001580	XP_034190635.1	NP_001285528.1
OG0001581	XP_034183698.1	NP_608983.2
OG0001582	XP_034188520.1, XP_034188519.1	NP_001287593.1
OG0001583	XP_034193810.1	NP_001189157.1
OG0001584	XP_034173083.1, XP_034173087.1	NP_648993.1
OG0001585	XP_034195987.1	NP_001262143.1
OG0001586	XP_034189101.1	NP_647865.2
OG0001587	XP_034180070.1	NP_648090.1
OG0001588	XP_034176393.1	NP_001188558.1
OG0001589	XP_034176915.1, XP_034176917.1, XP_034176914.1, XP_034176918.1	NP_726318.1
OG0001590	XP_034183406.1	NP_572910.1, NP_001285210.1
OG0001591	XP_034176545.1	NP_001286018.1
OG0001592	XP_034173137.1	NP_647896.1
OG0001593	XP_034179291.1	NP_001287342.1
OG0001594	XP_034195834.1	NP_001259723.1
OG0001595	XP_034195489.1	NP_611252.1
OG0001596	XP_034194107.1, XP_034194106.1, XP_034194108.1	NP_730651.1
OG0001597	XP_034171975.1	NP_572854.1
OG0001600	XP_034180779.1, XP_034180759.1, XP_034180770.1, XP_034180788.1	NP_001286151.1
OG0001601	XP_034172790.1, XP_034172794.1, XP_034172775.1, XP_034172791.1, XP_034172796.1	NP_001097706.1
OG0001602	XP_034192717.1	NP_001033958.1
OG0001603	XP_034187265.1	NP_001027070.1
OG0001604	XP_034186738.1, XP_034186783.1	NP_001163129.1
OG0001606	XP_034186979.1	NP_523902.2
OG0001607	XP_034187462.1	NP_001285753.1
OG0001608	XP_034175828.1	NP_001260655.1
OG0001614	XP_034185169.1, XP_034185158.1	NP_001259303.1, NP_569908.1
OG0001615	XP_034181565.1, XP_034181567.1, XP_034181566.1	NP_523764.1
OG0001616	XP_034175169.1	NP_001259833.1
OG0001617	XP_034196519.1	NP_524011.1
OG0001619	XP_034176362.1	NP_652526.1
OG0001620	XP_034184874.1, XP_034184873.1	NP_609496.1
OG0001621	XP_034174653.1, XP_034174654.1	NP_573362.1, NP_729837.1
OG0001622	XP_034180463.1	NP_572536.1
OG0001623	XP_034174719.1	NP_524400.2
OG0001624	XP_034190781.1	NP_788056.1
OG0001625	XP_034190242.1	NP_001262669.1
OG0001626	XP_034186148.1	NP_001259186.1
OG0001627	XP_034188236.1	NP_001303417.1
OG0001629	XP_034186840.1	NP_651782.1
OG0001630	XP_034189488.1	NP_729395.2
OG0001631	XP_034175668.1, XP_034175667.1	NP_001261267.1
OG0001632	XP_034180485.1	NP_001245408.1
OG0001633	XP_034178275.1	NP_001246351.1
OG0001634	XP_034183094.1, XP_034183093.1, XP_034183096.1	NP_651054.1
OG0001635	XP_034183092.1	NP_001303479.1
OG0001636	XP_034171648.1, XP_034171647.1, XP_034171634.1	NP_728142.1
OG0001637	XP_034186303.1	NP_612046.1
OG0001638	XP_034183007.1	NP_648826.2
OG0001639	XP_034180776.1, XP_034180777.1	NP_572360.1
OG0001640	XP_034194872.1	NP_477027.1
OG0001641	XP_034176839.1	NP_722909.2, NP_996098.1, NP_648799.1, NP_648800.1, NP_001137779.1, NP_001261342.1
OG0001642	XP_034171631.1, XP_034171630.1	NP_725207.1
OG0001644	XP_034185545.1	NP_001262395.1
OG0001645	XP_034185350.1	NP_733058.1
OG0001646	XP_034174614.1	NP_001285211.1
OG0001647	XP_034180184.1	NP_570025.1
OG0001648	XP_034172958.1, XP_034172955.1, XP_034172957.1, XP_034172959.1, XP_034172960.1	NP_001287187.1
OG0001649	XP_034173439.1	NP_609720.1, NP_524152.2
OG0001650	XP_034191719.1, XP_034191717.1, XP_034191718.1	NP_648222.3
OG0001651	XP_034175140.1	NP_001259585.1
OG0001652	XP_034181197.1	NP_788858.1
OG0001653	XP_034189073.1, XP_034189072.1	NP_995788.1
OG0001654	XP_034183183.1, XP_034183184.1, XP_034183185.1	NP_001246814.1
OG0001655	XP_034172908.1	NP_001245567.1
OG0001656	XP_034189347.1, XP_034189348.1, XP_034189346.1, XP_034189345.1, XP_034189351.1, XP_034189344.1, XP_034189350.1	NP_569872.1
OG0001657	XP_034179129.1, XP_034179135.1	NP_001286489.1
OG0001658	XP_034174459.1	NP_001259992.1
OG0001659	XP_034193729.1	NP_730944.2
OG0001660	XP_034195959.1	NP_648750.1
OG0001662	XP_034193742.1	NP_001097377.2
OG0001663	XP_034189821.1	NP_649918.1
OG0001664	XP_034177352.1	NP_648183.3
OG0001665	XP_034176588.1	NP_001014619.2
OG0001666	XP_034172970.1, XP_034172968.1	NP_001163472.1, NP_649145.1
OG0001667	XP_034177698.1, XP_034177697.1	NP_001261574.1
OG0001669	XP_034187750.1	NP_001287417.1
OG0001670	XP_034171597.1	NP_001138149.1
OG0001671	XP_034183740.1	NP_732316.2
OG0001672	XP_034186835.1	NP_001246400.1
OG0001673	XP_034172570.1, XP_034172571.1, XP_034172569.1, XP_034172568.1	NP_649883.1
OG0001674	XP_034173371.1	NP_001260539.1
OG0001675	XP_034191504.1	NP_001261382.1
OG0001676	XP_034172715.1	NP_001163073.2
OG0001677	XP_034195937.1	NP_001260561.1
OG0001679	XP_034176407.1, XP_034176406.1	NP_611460.1
OG0001680	XP_034190890.1, XP_034190891.1	NP_001260364.1, NP_001033899.1
OG0001681	XP_034178076.1	NP_001163282.1
OG0001682	XP_034182602.1	NP_001285158.1
OG0001684	XP_034179018.1, XP_034179160.1	NP_001368993.1
OG0001685	XP_034182718.1	NP_001097520.2
OG0001686	XP_034195085.1	NP_731649.2
OG0001687	XP_034178035.1	NP_609069.1
OG0001688	XP_034192136.1	NP_001104382.3
OG0001690	XP_034180734.1, XP_034180732.1	NP_652015.1
OG0001693	XP_034181482.1, XP_034181481.1, XP_034181483.1, XP_034181484.1, XP_034181480.1	NP_001245400.1
OG0001694	XP_034188178.1, XP_034188179.1, XP_034188177.1	NP_610256.1
OG0001695	XP_034193696.1	NP_001262760.1
OG0001696	XP_034173332.1, XP_034173325.1	NP_001247156.1
OG0001697	XP_034193517.1	NP_001245797.1
OG0001698	XP_034192530.1	NP_611941.1
OG0001699	XP_034181669.1	NP_733303.2
OG0001700	XP_034178857.1	NP_001189311.1
OG0001701	XP_034183579.1	NP_995862.1
OG0001702	XP_034193402.1, XP_034193401.1, XP_034193400.1	NP_651170.1
OG0001703	XP_034183441.1, XP_034183444.1	NP_001262871.1, NP_651242.1
OG0001704	XP_034191350.1, XP_034191349.1	NP_001356971.1
OG0001706	XP_034171613.1, XP_034171612.1, XP_034171609.1, XP_034171611.1, XP_034171608.1	NP_001247116.1
OG0001707	XP_034196072.1	NP_001262589.2
OG0001708	XP_034181218.1	NP_001287390.1
OG0001709	XP_034194496.1, XP_034194475.1	NP_001303494.1
OG0001710	XP_034171825.1, XP_034171830.1, XP_034171831.1	NP_573217.1, NP_730784.1
OG0001711	XP_034187450.1	NP_608741.1
OG0001712	XP_034178716.1, XP_034178717.1	NP_001188885.2
OG0001713	XP_034194977.1	NP_001033943.2
OG0001714	XP_034195145.1	NP_649156.1
OG0001715	XP_034194755.1, XP_034194753.1, XP_034194754.1, XP_034194752.1	NP_001285698.1
OG0001716	XP_034196015.1	NP_001163671.1
OG0001717	XP_034174613.1	NP_611675.2
OG0001718	XP_034172325.1	NP_001287021.1, NP_001261456.1, NP_001261457.1
OG0001719	XP_034172915.1	NP_001245568.1
OG0001720	XP_034181181.1, XP_034181183.1	NP_610938.1
OG0001722	XP_034176979.1, XP_034176976.1, XP_034176978.1	NP_723401.1
OG0001724	XP_034192743.1	NP_001261391.1
OG0001725	XP_034191069.1	NP_524401.2
OG0001726	XP_034186345.1	NP_477075.2, NP_001303577.1, NP_001303576.1, NP_001285482.2, NP_001285481.1, NP_524670.2, NP_001303578.1, NP_001368966.1
OG0001727	XP_034186260.1	NP_001036351.2
OG0001728	XP_034186922.1, XP_034186915.1	NP_001286002.1
OG0001729	XP_034185902.1	NP_001286919.1
OG0001730	XP_034173907.1	NP_001247378.2, NP_001245717.1, NP_001245715.1
OG0001731	XP_034195036.1, XP_034195028.1	NP_572995.1, NP_001163445.1
OG0001732	XP_034177503.1	NP_651725.1
OG0001733	XP_034179672.1	NP_001260590.1, NP_523506.1, NP_523578.1, NP_523507.2
OG0001734	XP_034196057.1	NP_608563.1
OG0001735	XP_034189228.1, XP_034189227.1, XP_034189230.1	NP_609387.1
OG0001736	XP_034182031.1	NP_001097937.1
OG0001737	XP_034187380.1, XP_034187370.1, XP_034187361.1, XP_034187354.1	NP_001259675.1, NP_001033853.1
OG0001738	XP_034188674.1	NP_001014543.1
OG0001739	XP_034183371.1, XP_034183372.1	NP_001246653.1
OG0001740	XP_034189931.1, XP_034189923.1	NP_001036555.1
OG0001742	XP_034179259.1, XP_034179257.1	NP_733224.2
OG0001743	XP_034178394.1	NP_001285126.1
OG0001744	XP_034179627.1, XP_034179630.1	NP_651315.2
OG0001745	XP_034184891.1, XP_034184892.1	NP_650743.1
OG0001746	XP_034181137.1	NP_524852.2
OG0001747	XP_034175986.1, XP_034175985.1, XP_034175984.1	NP_001261633.1
OG0001748	XP_034171056.1	NP_001189227.1
OG0001749	XP_034172616.1, XP_034172617.1	NP_001036722.1
OG0001750	XP_034186456.1, XP_034186465.1, XP_034186447.1	NP_001261148.1
OG0001751	XP_034196480.1	NP_001286159.1
OG0001752	XP_034191949.1	NP_651792.1, NP_651791.2
OG0001753	XP_034185958.1	NP_523391.3
OG0001754	XP_034172657.1, XP_034193948.1	NP_651671.1
OG0001755	XP_034178613.1, XP_034178612.1	NP_573318.1, NP_609759.1
OG0001756	XP_034172099.1	NP_649646.3
OG0001757	XP_034178572.1	NP_733185.2, NP_648528.1, NP_001261732.1, NP_001287549.1
OG0001758	XP_034177218.1, XP_034177215.1, XP_034177214.1, XP_034177216.1	NP_001163069.1
OG0001759	XP_034189140.1	NP_001287202.1
OG0001760	XP_034191066.1	NP_732069.3
OG0001762	XP_034183765.1	NP_001261764.1
OG0001763	XP_034175094.1	NP_650223.1
OG0001764	XP_034176901.1	NP_001287421.2, NP_650876.1
OG0001765	XP_034183232.1	NP_731461.1
OG0001767	XP_034176743.1	NP_723294.1
OG0001768	XP_034190151.1	NP_572805.1
OG0001771	XP_034176804.1, XP_034176803.1, XP_034176805.1	NP_727732.1, NP_001097831.1
OG0001774	XP_034180440.1	NP_476778.1
OG0001775	XP_034191177.1	NP_523735.2
OG0001776	XP_034183713.1	NP_620470.1
OG0001777	XP_034186094.1, XP_034186092.1	NP_001245758.1
OG0001778	XP_034192863.1	NP_001262233.1
OG0001779	XP_034183479.1	NP_648194.1, NP_726718.1, NP_001261626.1, NP_648160.2, NP_648052.1
OG0001780	XP_034191842.1	NP_610617.1
OG0001781	XP_034186239.1	NP_650423.1
OG0001782	XP_034191190.1, XP_034191149.1, XP_034191173.1, XP_034191163.1, XP_034191181.1	NP_649000.1
OG0001783	XP_034175670.1	NP_647892.1
OG0001784	XP_034190487.1	NP_001163585.1
OG0001785	XP_034187836.1, XP_034187835.1	NP_524416.1
OG0001786	XP_034172308.1, XP_034172309.1	NP_001260689.1
OG0001787	XP_034185835.1	NP_648786.1
OG0001788	XP_034172646.1	NP_724103.1
OG0001789	XP_034192646.1	NP_651728.1
OG0001790	XP_034179004.1, XP_034179003.1	NP_649460.3
OG0001791	XP_034171826.1	NP_572504.1
OG0001792	XP_034190862.1, XP_034190861.1, XP_034190863.1	NP_611734.1
OG0001793	XP_034193953.1	NP_608828.2
OG0001794	XP_034170961.1, XP_034170945.1	NP_001259442.1
OG0001796	XP_034190946.1	NP_477212.1
OG0001797	XP_034177778.1	NP_523830.2
OG0001799	XP_034173692.1	NP_001260496.1
OG0001800	XP_034172861.1	NP_001262652.1, NP_001262651.1
OG0001801	XP_034175943.1	NP_572456.1, NP_001259211.1, NP_651547.1, NP_001262253.1
OG0001802	XP_034188800.1	NP_001162765.1
OG0001803	XP_034187449.1, XP_034187448.1	NP_001015387.1
OG0001804	XP_034192705.1, XP_034192704.1	NP_728575.2, NP_612081.1
OG0001805	XP_034191497.1	NP_649038.1, NP_730334.2
OG0001806	XP_034188789.1, XP_034188788.1	NP_610087.2
OG0001807	XP_034172674.1	NP_001286460.1
OG0001808	XP_034171070.1	NP_650163.2, NP_650840.1
OG0001809	XP_034175227.1, XP_034175221.1	NP_609837.1
OG0001810	XP_034181334.1, XP_034181332.1	NP_001246271.1
OG0001811	XP_034194254.1	NP_001262677.1
OG0001812	XP_034194638.1	NP_001259970.1
OG0001813	XP_034185351.1	NP_611350.1
OG0001814	XP_034196138.1	NP_524758.1
OG0001815	XP_034183852.1	NP_476667.1, NP_001246493.1
OG0001816	XP_034187487.1, XP_034187481.1, XP_034187472.1	NP_648106.1
OG0001818	XP_034180925.1, XP_034180924.1	NP_001285489.1
OG0001820	XP_034194101.1	NP_649757.1
OG0001821	XP_034173340.1	NP_001287100.1
OG0001822	XP_034181892.1, XP_034181891.1, XP_034181893.1	NP_995873.2
OG0001823	XP_034193837.1	NP_609767.2, NP_001260489.1
OG0001824	XP_034171259.1, XP_034171255.1	NP_001356918.1
OG0001825	XP_034189329.1	NP_001285277.1
OG0001826	XP_034191099.1	NP_610191.2
OG0001827	XP_034192621.1	NP_001261341.1
OG0001828	XP_034196465.1	NP_477184.1
OG0001829	XP_034184453.1	NP_511153.1
OG0001830	XP_034177195.1	NP_001189170.1
OG0001831	XP_034180374.1	NP_648895.1
OG0001832	XP_034179293.1, XP_034179292.1	NP_611293.3
OG0001833	XP_034192738.1	NP_001262071.1
OG0001834	XP_034175941.1, XP_034175942.1	NP_725449.1, NP_611238.2, NP_001285657.1
OG0001835	XP_034188262.1	NP_648567.2, NP_729801.1
OG0001836	XP_034191678.1, XP_034191684.1	NP_001097041.2
OG0001838	XP_034186238.1, XP_034186237.1	NP_649809.1
OG0001839	XP_034190455.1	NP_001287516.1, NP_524496.1
OG0001840	XP_034177210.1, XP_034177209.1	NP_001287291.1
OG0001841	XP_034193034.1	NP_649554.1
OG0001843	XP_034184382.1	NP_001163392.1
OG0001844	XP_034180735.1	NP_733332.1
OG0001845	XP_034190508.1	NP_649732.1
OG0001846	XP_034176788.1, XP_034176784.1	NP_788721.1
OG0001847	XP_034186614.1	NP_001163705.1
OG0001848	XP_034174674.1, XP_034174694.1, XP_034174684.1	NP_610735.1
OG0001849	XP_034192475.1, XP_034192476.1	NP_001303451.1, NP_524581.1
OG0001850	XP_034191415.1	NP_001097569.1
OG0001851	XP_034190988.1, XP_034190990.1, XP_034190987.1	NP_524795.2
OG0001852	XP_034193110.1	NP_611258.2
OG0001853	XP_034189289.1	NP_001285407.1
OG0001854	XP_034190895.1	NP_610231.2, NP_525107.1, NP_536747.2
OG0001855	XP_034183246.1	NP_001097922.1
OG0001856	XP_034184606.1	NP_650446.2
OG0001858	XP_034177948.1, XP_034177947.1	NP_651605.1
OG0001859	XP_034178518.1, XP_034178519.1	NP_001261279.1, NP_608679.1
OG0001860	XP_034188634.1, XP_034188624.1, XP_034188629.1	NP_001286627.1
OG0001861	XP_034177573.1, XP_034177570.1, XP_034177571.1	NP_524274.1
OG0001862	XP_034175283.1	NP_001096954.1
OG0001863	XP_034185188.1	NP_001303452.1
OG0001864	XP_034178605.1	NP_001259978.1
OG0001865	XP_034190717.1, XP_034190708.1	NP_001036440.1
OG0001866	XP_034191488.1, XP_034191489.1	NP_610462.3
OG0001867	XP_034176872.1, XP_034176873.1	NP_651658.1
OG0001868	XP_034193215.1	NP_732113.3
OG0001869	XP_034193525.1	NP_477402.1
OG0001870	XP_034195841.1	NP_001285457.1
OG0001871	XP_034194271.1	NP_572522.2
OG0001872	XP_034181347.1, XP_034180850.1	NP_536773.1
OG0001873	XP_034180951.1, XP_034180950.1, XP_034180949.1	NP_730982.1
OG0001874	XP_034193526.1, XP_034193528.1, XP_034193536.1	NP_477024.1
OG0001875	XP_034194013.1, XP_034194014.1	NP_511130.2
OG0001876	XP_034171766.1, XP_034171771.1	NP_001368952.1
OG0001877	XP_034193830.1, XP_034193835.1, XP_034193827.1	NP_001014498.1
OG0001878	XP_034191295.1	NP_001259740.1, NP_001260348.1
OG0001879	XP_034188426.1	NP_652101.2
OG0001880	XP_034188045.1	NP_001033948.1
OG0001881	XP_034196406.1, XP_034196407.1	NP_722959.1
OG0001882	XP_034188976.1	NP_001188575.1
OG0001883	XP_034179531.1	NP_650805.1
OG0001884	XP_034178817.1	NP_001188772.1
OG0001885	XP_034179149.1	NP_001262303.1
OG0001886	XP_034187696.1, XP_034187695.1, XP_034187689.1, XP_034187690.1, XP_034187691.1, XP_034187692.1, XP_034187693.1, XP_034187694.1	NP_001261166.1
OG0001887	XP_034174728.1	NP_723772.2
OG0001888	XP_034180491.1	NP_001286416.1
OG0001889	XP_034188491.1	NP_651593.1
OG0001890	XP_034180799.1	NP_609530.1
OG0001891	XP_034176734.1, XP_034176732.1	NP_476733.1
OG0001892	XP_034176891.1	NP_001245925.1, NP_611294.1
OG0001893	XP_034186209.1	NP_477049.2
OG0001894	XP_034171935.1	NP_001137875.1
OG0001895	XP_034191649.1, XP_034191641.1	NP_524651.2
OG0001896	XP_034185771.1, XP_034185770.1	NP_609570.1
OG0001897	XP_034187155.1	NP_611140.3
OG0001898	XP_034179945.1	NP_001263035.1
OG0001899	XP_034193332.1	NP_724878.2
OG0001900	XP_034189020.1, XP_034189018.1, XP_034189019.1	NP_001259735.1
OG0001901	XP_034193341.1	NP_651080.2
OG0001902	XP_034179269.1	NP_001286818.1
OG0001903	XP_034195868.1, XP_034195867.1, XP_034195866.1, XP_034195871.1	NP_001285675.1
OG0001906	XP_034183794.1	NP_001245625.1
OG0001908	XP_034196129.1	NP_650314.1
OG0001909	XP_034192696.1	NP_001033913.1
OG0001910	XP_034188901.1	NP_648745.1
OG0001911	XP_034194910.1	NP_726108.3
OG0001912	XP_034194260.1, XP_034194259.1	NP_001286124.1
OG0001913	XP_034182160.1	NP_524909.1
OG0001914	XP_034170974.1	NP_608998.2, NP_001188704.1
OG0001915	XP_034177662.1	NP_001014612.1
OG0001916	XP_034182096.1	NP_648272.1
OG0001917	XP_034171522.1, XP_034171523.1	NP_611237.2
OG0001919	XP_034181912.1	NP_610950.2
OG0001920	XP_034189800.1, XP_034189801.1, XP_034189804.1, XP_034189803.1	NP_608361.3
OG0001921	XP_034188948.1	NP_001036438.1
OG0001922	XP_034188182.1, XP_034188180.1	NP_001246140.1
OG0001923	XP_034191216.1	NP_726381.1
OG0001924	XP_034176447.1, XP_034176449.1	NP_609384.1
OG0001925	XP_034171777.1	NP_476618.1
OG0001926	XP_034190380.1	NP_609736.1
OG0001927	XP_034191031.1	NP_524688.1
OG0001928	XP_034186010.1	NP_001261246.1
OG0001929	XP_034185813.1, XP_034185819.1, XP_034185814.1, XP_034185817.1, XP_034185818.1, XP_034185816.1	NP_001260566.1, NP_001260567.1
OG0001930	XP_034185795.1, XP_034185794.1, XP_034185793.1	NP_650547.1
OG0001931	XP_034182731.1, XP_034182732.1	NP_001097135.1
OG0001932	XP_034192152.1, XP_034172623.1, XP_034192258.1, XP_034194185.1, XP_034194813.1, XP_034172601.1	NP_608570.1
OG0001933	XP_034176992.1	NP_524431.2
OG0001935	XP_034172680.1, XP_034172681.1	NP_001015254.1
OG0001936	XP_034184747.1	NP_001286158.1
OG0001937	XP_034184263.1	NP_001259619.1
OG0001938	XP_034195237.1	NP_001286427.1
OG0001939	XP_034180916.1, XP_034180917.1	NP_649157.1
OG0001940	XP_034188925.1, XP_034188946.1, XP_034188936.1	NP_001287364.1
OG0001941	XP_034182736.1	NP_001368962.1
OG0001942	XP_034186530.1, XP_034186529.1	NP_001260565.1, NP_476804.1
OG0001943	XP_034183899.1	NP_001188918.1, NP_651214.2
OG0001944	XP_034173498.1	NP_001163494.1
OG0001945	XP_034175305.1	NP_572873.2
OG0001946	XP_034175727.1, XP_034175722.1	NP_001303420.1
OG0001947	XP_034185786.1, XP_034185784.1	NP_649796.1
