Orthogroup	Ceratina_calcarata	Eufriesea_mexicana
OG0001945	XP_026667607.1, XP_026667608.1	XP_017758400.1, XP_017758401.1
OG0001946	XP_026668741.1	XP_017763680.1, XP_017763683.1
OG0001947	XP_017881488.1, XP_017881489.1	XP_017755186.1
OG0001948	XP_017886384.1	XP_017765272.1
OG0001949	XP_017886429.1	XP_017765209.1
OG0001950	XP_017876776.1, XP_017876777.1	XP_017759749.1
OG0001951	XP_017886177.1, XP_017886179.1	XP_017766785.1
OG0001952	XP_017883489.1	XP_017766658.1
OG0001953	XP_017878223.1	XP_017759753.1
OG0001954	XP_017892818.1	XP_017755826.1
OG0001955	XP_017884794.1	XP_017767242.1
OG0001956	XP_026669476.1	XP_017762811.1
OG0001957	XP_017876933.1	XP_017763344.1
OG0001957	XP_017888657.2	XP_017761334.1
OG0001958	XP_017877801.1	XP_017758600.1
OG0001959	XP_017883300.1, XP_017876253.1, XP_017882827.1	XP_017762003.1
OG0001960	XP_017889905.1	XP_017760987.1
OG0001961	XP_017887371.1	XP_017766599.1
OG0001962	XP_026674673.1	XP_017764207.1
OG0001963	XP_017886508.1	XP_017752847.1
OG0001964	XP_017885646.1	XP_017760515.1
OG0001965	XP_017884825.1	XP_017765338.1, XP_017758776.1
OG0001967	XP_026673939.1, XP_017886279.1	XP_017765211.1
OG0001968	XP_017881126.1, XP_017881124.1	XP_017759640.1
OG0001969	XP_017877232.1	XP_017764322.1
OG0001971	XP_026670578.1	XP_017763173.1
OG0001972	XP_017878972.1	XP_017760923.1
OG0001973	XP_017883033.1	XP_017757432.1
OG0001974	XP_017888012.1, XP_026673274.1	XP_017764875.1
OG0001975	XP_017893032.1	XP_017758928.1
OG0001976	XP_026673845.1	XP_017764673.1
OG0001977	XP_017887285.1	XP_017757330.1
OG0001978	XP_017881863.1	XP_017763689.1
OG0001979	XP_017880424.1	XP_017763861.1
OG0001980	XP_017880447.1	XP_017763874.1, XP_017763873.1
OG0001981	XP_017885267.1, XP_017885261.1	XP_017763733.1
OG0001982	XP_017884721.1	XP_017752590.1, XP_017752591.1
OG0001983	XP_017878129.1	XP_017762044.1
OG0001984	XP_017879515.2	XP_017763111.1
OG0001985	XP_017877203.1, XP_017877204.1	XP_017764466.1
OG0001986	XP_017877219.1	XP_017764448.1, XP_017764453.1
OG0001987	XP_017892958.1, XP_017885679.1	XP_017754662.1
OG0001988	XP_017885677.1	XP_017754657.1
OG0001989	XP_017887109.1	XP_017754635.1
OG0001990	XP_026674442.1, XP_026674443.1, XP_017890346.1	XP_017764634.1
OG0001991	XP_026671917.1, XP_026672432.1	XP_017766552.1
OG0001992	XP_026672434.1, XP_017886055.1, XP_017888641.2	XP_017766679.1
OG0001993	XP_017886184.1	XP_017766634.1
OG0001994	XP_017875602.1	XP_017761110.1
OG0001995	XP_017889711.1	XP_017762399.1, XP_017762398.1
OG0001996	XP_026668012.1, XP_026668010.1, XP_017877369.1, XP_026668011.1, XP_026668013.1	XP_017762610.1
OG0001997	XP_017885551.2, XP_017885552.1	XP_017752975.1
OG0001998	XP_017886165.1	XP_017765034.1
OG0001999	XP_026666813.1	XP_017766851.1
OG0002000	XP_017879470.1	XP_017766502.1
OG0002001	XP_026672198.1, XP_017885748.1	XP_017761877.1
OG0002002	XP_026673788.1	XP_017762841.1
OG0002003	XP_017881750.1, XP_017881751.1	XP_017765895.1, XP_017765889.1
OG0002004	XP_026672002.1, XP_017883661.1	XP_017754264.1
OG0002005	XP_017876044.1	XP_017761641.1
OG0002006	XP_017888757.1	XP_017763622.1
OG0002007	XP_026670270.1	XP_017758014.1
OG0002008	XP_026667715.1	XP_017755988.1
OG0002009	XP_017889365.1	XP_017753808.1, XP_017753809.1
OG0002010	XP_017889791.1	XP_017753815.1
OG0002011	XP_026666448.1, XP_017877432.1, XP_017877272.1	XP_017761760.1
OG0002012	XP_017882500.1	XP_017752360.1
OG0002013	XP_026671934.1, XP_017885128.1	XP_017757832.1
OG0002014	XP_017877544.1	XP_017766601.1
OG0002016	XP_017876596.1, XP_017876598.1	XP_017767614.1
OG0002017	XP_017889694.1, XP_017889695.1, XP_017889696.1, XP_017889697.1	XP_017752800.1
OG0002018	XP_017884063.1	XP_017767041.1
OG0002019	XP_017885588.1, XP_017885587.1, XP_017885589.1	XP_017753916.1
OG0002020	XP_017886619.1	XP_017756898.1
OG0002021	XP_017876218.1	XP_017755039.1, XP_017755040.1
OG0002022	XP_017881373.1	XP_017756865.1, XP_017756866.1
OG0002023	XP_026667275.1	XP_017765341.1, XP_017765844.1
OG0002024	XP_017883124.1	XP_017753710.1
OG0002025	XP_017890058.1	XP_017762957.1, XP_017762946.1
OG0002026	XP_026673461.1, XP_026668160.1, XP_026668159.1	XP_017766094.1
OG0002027	XP_017891409.1	XP_017764506.1
OG0002028	XP_017888361.1	XP_017763701.1
OG0002029	XP_017878522.1, XP_017878531.1	XP_017754559.1
OG0002030	XP_017883935.1	XP_017763711.1
OG0002031	XP_017882042.1, XP_026670263.1	XP_017766223.1
OG0002032	XP_026670367.1, XP_017882079.1	XP_017766219.1
OG0002033	XP_017881173.1	XP_017757979.1, XP_017758370.1
OG0002034	XP_017876574.1	XP_017758440.1
OG0002035	XP_017876624.1	XP_017758404.1, XP_017758429.1
OG0002036	XP_017888150.1	XP_017759340.1
OG0002037	XP_017893339.1, XP_026666674.1	XP_017767126.1
OG0002039	XP_017883279.1	XP_017757704.1
OG0002040	XP_026674169.1	XP_017762991.1
OG0002041	XP_017889402.1	XP_017758144.1
OG0002042	XP_017889765.1	XP_017765252.1, XP_017765250.1, XP_017765251.1
OG0002043	XP_026670436.1	XP_017759511.1
OG0002044	XP_017883388.1	XP_017754529.1
OG0002045	XP_026671029.1	XP_017754534.1
OG0002046	XP_026674837.1	XP_017763501.1
OG0002047	XP_026672389.1	XP_017767026.1
OG0002048	XP_017880843.1	XP_017756064.1
OG0002049	XP_017880611.1	XP_017761701.1
OG0002050	XP_017891325.1	XP_017767711.1
OG0002051	XP_017890053.1	XP_017767731.1
OG0002052	XP_017890627.1, XP_026674580.1, XP_026674582.1	XP_017755000.1
OG0002053	XP_017890560.1	XP_017758741.1
OG0002054	XP_017882252.1, XP_017882253.1, XP_026670348.1	XP_017767428.1
OG0002055	XP_017880056.1	XP_017764315.1
OG0002056	XP_026666545.1, XP_026666543.1	XP_017752517.1
OG0002057	XP_017893108.2, XP_017893109.1	XP_017752539.1
OG0002059	XP_017877295.1	XP_017761634.1
OG0002060	XP_017879505.1	XP_017757528.1
OG0002061	XP_026671778.1, XP_026671780.1, XP_017884716.1	XP_017756798.1
OG0002062	XP_017884426.1	XP_017759866.1
OG0002063	XP_017877175.1, XP_017877177.1	XP_017757806.1
OG0002064	XP_017888926.1	XP_017756203.1
OG0002065	XP_017886954.1	XP_017757046.1
OG0002066	XP_017875213.1, XP_017875212.1	XP_017757243.1
OG0002067	XP_017875226.1	XP_017757161.1
OG0002068	XP_026670684.1	XP_017759668.1
OG0002069	XP_026675300.1	XP_017767370.1
OG0002070	XP_017884608.1, XP_017884607.1	XP_017767226.1
OG0002071	XP_017884943.1	XP_017761604.1
OG0002072	XP_017882111.1	XP_017765381.1, XP_017765379.1, XP_017765380.1
OG0002073	XP_017875744.1	XP_017758447.1
OG0002074	XP_017878419.1, XP_026668613.1, XP_026668610.1, XP_026668611.1, XP_026668612.1, XP_017878420.1	XP_017760860.1
OG0002075	XP_017876845.1, XP_026667761.1	XP_017760799.1
OG0002076	XP_026674535.1, XP_026674537.1, XP_017890420.1	XP_017760955.1
OG0002077	XP_026666836.1, XP_017893648.1, XP_017893649.1	XP_017757255.1
OG0002078	XP_017878018.1	XP_017767207.1
OG0002080	XP_017886367.1	XP_017756924.1
OG0002081	XP_026675253.1	XP_017754519.1
OG0002082	XP_026672072.1	XP_017758726.1, XP_017758725.1, XP_017758727.1
OG0002083	XP_017890156.1, XP_017890155.1	XP_017757494.1
OG0002084	XP_017883760.1	XP_017757454.1
OG0002085	XP_026675115.1	XP_017757049.1
OG0002086	XP_026673060.1, XP_017887709.1	XP_017758194.1
OG0002087	XP_017892386.1, XP_017892383.1	XP_017765123.1
OG0002088	XP_017892358.1, XP_017892357.1	XP_017762718.1
OG0002089	XP_017888852.1	XP_017759534.1
OG0002090	XP_017885248.1	XP_017753322.1
OG0002091	XP_017893465.1, XP_017893483.1, XP_017893493.1, XP_017893475.1	XP_017753282.1
OG0002092	XP_026671589.1, XP_026671582.1	XP_017753125.1
OG0002093	XP_026666910.1, XP_017893238.1, XP_017893248.1	XP_017753187.1, XP_017753186.1
OG0002094	XP_017876789.1, XP_026667744.1	XP_017756296.1
OG0002095	XP_026671410.1	XP_017766352.1
OG0002096	XP_026671405.1	XP_017766351.1
OG0002097	XP_017892795.1	XP_017766389.1
OG0002098	XP_017882579.1	XP_017759286.1
OG0002099	XP_017891671.1, XP_026675062.1	XP_017760100.1
OG0002100	XP_017877734.1	XP_017757188.1
OG0002101	XP_026668854.1	XP_017760120.1, XP_017760119.1
OG0002102	XP_017880158.1	XP_017761783.1, XP_017759822.1
OG0002103	XP_026672279.1	XP_017753265.1, XP_017753263.1
OG0002104	XP_017888843.1	XP_017759499.1
OG0002105	XP_017892416.1	XP_017761158.1
OG0002106	XP_026668184.1, XP_017877578.1	XP_017763391.1
OG0002108	XP_017886270.1	XP_017762321.1
OG0002109	XP_017888214.1, XP_017888216.1	XP_017754050.1
OG0002110	XP_017888227.1	XP_017754079.1
OG0002111	XP_026667919.1	XP_017767602.1
OG0002112	XP_026674738.1, XP_017890936.1	XP_017753703.1, XP_017753692.1
OG0002113	XP_017892995.1, XP_017892993.1, XP_017892994.1	XP_017758932.1
OG0002114	XP_026674929.1	XP_017757639.1
OG0002115	XP_017890262.1	XP_017759051.1
OG0002116	XP_017879054.1	XP_017755105.1
OG0002117	XP_017885630.1	XP_017757913.1
OG0002118	XP_026673781.1	XP_017763719.1
OG0002119	XP_017889826.1, XP_017884554.1, XP_017877311.2	XP_017763713.1
OG0002120	XP_017877119.1	XP_017763727.1
OG0002121	XP_026672399.1	XP_017765637.1
OG0002122	XP_017887132.1, XP_017887133.1	XP_017764812.1
OG0002123	XP_017875192.1, XP_017882748.1	XP_017763349.1
OG0002123	XP_017878104.1	XP_017764933.1
OG0002124	XP_017880641.1	XP_017756794.1
OG0002125	XP_017886029.1	XP_017766152.1
OG0002126	XP_017877530.1	XP_017764803.1
OG0002127	XP_017877889.1, XP_017877882.1	XP_017754557.1, XP_017754558.1
OG0002128	XP_017885349.1	XP_017757131.1
OG0002129	XP_026666765.1	XP_017756745.1
OG0002131	XP_017877265.1	XP_017756684.1
OG0002132	XP_017878086.1	XP_017758566.1, XP_017758567.1, XP_017758570.1, XP_017758569.1, XP_017758568.1
OG0002133	XP_026675341.1	XP_017759047.1
OG0002134	XP_026669046.1, XP_017879539.1	XP_017761384.1
OG0002135	XP_026674921.1	XP_017758221.1
OG0002136	XP_017891303.1	XP_017767650.1
OG0002137	XP_017875918.2, XP_026672010.1, XP_017883748.1	XP_017760165.1, XP_017760163.1
OG0002138	XP_017890020.2	XP_017761728.1
OG0002139	XP_026675352.1, XP_017883986.2, XP_026675346.1, XP_026675348.1, XP_017892228.1	XP_017752299.1
OG0002140	XP_026673254.1, XP_026673252.1	XP_017762832.1
OG0002141	XP_026668953.1	XP_017760286.1
OG0002142	XP_026667468.1	XP_017755884.1
OG0002143	XP_017887419.1, XP_017887415.1	XP_017753459.1
OG0002144	XP_017885597.1	XP_017762351.1, XP_017752972.1, XP_017752973.1
OG0002146	XP_017883206.1	XP_017752673.1, XP_017752671.1
OG0002147	XP_017887843.1	XP_017758827.1
OG0002148	XP_017880710.1	XP_017764048.1, XP_017764049.1
OG0002149	XP_017880420.1	XP_017755819.1
OG0002150	XP_017891644.1, XP_026675044.1	XP_017762940.1
OG0002151	XP_017886610.1, XP_017886611.1	XP_017758371.1
OG0002152	XP_026666921.1	XP_017753452.1
OG0002153	XP_026673031.1	XP_017763406.1
OG0002154	XP_017888295.1	XP_017761911.1
OG0002155	XP_017877059.1	XP_017752875.1
OG0002156	XP_017876437.1	XP_017757735.1
OG0002156	XP_017891006.2	XP_017757809.1
OG0002157	XP_017875536.1, XP_017875535.2	XP_017759935.1, XP_017759936.1
OG0002158	XP_017875005.1	XP_017757073.1
OG0002159	XP_017888103.1	XP_017760563.1
OG0002160	XP_017884745.1, XP_026671669.1, XP_026671670.1	XP_017763176.1
OG0002162	XP_017882946.1	XP_017759077.1
OG0002164	XP_017889767.1	XP_017765216.1
OG0002165	XP_017878351.1	XP_017753777.1
OG0002166	XP_017888396.1	XP_017765283.1
OG0002167	XP_017886928.1	XP_017756690.1, XP_017756689.1
OG0002169	XP_017881358.2, XP_017876995.1	XP_017764850.1
OG0002170	XP_017881515.1, XP_017881516.1	XP_017755193.1
OG0002171	XP_017881392.1	XP_017755185.1
OG0002172	XP_017888936.1	XP_017762838.1
OG0002173	XP_017888654.2	XP_017753214.1
OG0002174	XP_026668971.1	XP_017758055.1, XP_017758053.1
OG0002175	XP_026675389.1, XP_026675387.1, XP_026675388.1	XP_017757998.1
OG0002176	XP_026668939.1	XP_017756320.1
OG0002177	XP_026671439.1	XP_017758942.1, XP_017758943.1
OG0002178	XP_017889283.1	XP_017756412.1
OG0002179	XP_026672395.1, XP_026672394.1, XP_026672393.1	XP_017762928.1
OG0002180	XP_026667032.1, XP_017875246.2	XP_017755954.1
OG0002183	XP_017880963.1, XP_017880962.1	XP_017762338.1
OG0002184	XP_026667296.1	XP_017763822.1
OG0002185	XP_017877876.1	XP_017756484.1, XP_017756489.1
OG0002186	XP_017887823.1	XP_017764108.1
OG0002187	XP_017884146.1, XP_026670695.1	XP_017756086.1
OG0002188	XP_026670144.1, XP_017881718.1, XP_026670145.1	XP_017767645.1
OG0002189	XP_017881972.1	XP_017767622.1
OG0002190	XP_026669016.1	XP_017765803.1
OG0002191	XP_017883021.1	XP_017767658.1
OG0002192	XP_017876404.1	XP_017767725.1
OG0002193	XP_017885189.1, XP_017885190.1	XP_017753315.1
OG0002194	XP_017883047.1	XP_017755649.1, XP_017755648.1
OG0002195	XP_017890255.1, XP_017890254.1	XP_017757504.1
OG0002196	XP_017891376.1, XP_017891377.1	XP_017755623.1
OG0002197	XP_017878230.1	XP_017762030.1
OG0002198	XP_017883019.1	XP_017757517.1
OG0002199	XP_017883064.1	XP_017757515.1
OG0002200	XP_026674368.1	XP_017752848.1
OG0002200	XP_026674316.1	XP_017752857.1
OG0002201	XP_026674281.1	XP_017761400.1
OG0002202	XP_026667562.1, XP_017876418.1, XP_017876417.1	XP_017755234.1
OG0002203	XP_026674267.1, XP_026674269.1	XP_017755272.1, XP_017755276.1
OG0002204	XP_026672761.1	XP_017758228.1
OG0002205	XP_017875233.1	XP_017756577.1
OG0002206	XP_017891281.2	XP_017766092.1
OG0002207	XP_017886958.1	XP_017761966.1
OG0002208	XP_017888937.1	XP_017763574.1
OG0002209	XP_026669131.1	XP_017760263.1
OG0002210	XP_017892638.1, XP_026675506.1	XP_017766163.1
OG0002211	XP_017885196.1	XP_017762616.1
OG0002212	XP_026667349.1	XP_017759799.1
OG0002213	XP_017882979.2, XP_017890626.2	XP_017755001.1
OG0002214	XP_017876908.1, XP_026669986.1, XP_017876823.1	XP_017754305.1, XP_017754306.1
OG0002215	XP_017893488.1	XP_017754279.1
OG0002216	XP_026673314.1, XP_026673313.1, XP_026673312.1, XP_017888098.1	XP_017759615.1
OG0002217	XP_017886479.1	XP_017753615.1
OG0002218	XP_017880088.1	XP_017759570.1
OG0002219	XP_026667494.1	XP_017756629.1
OG0002220	XP_017892538.1	XP_017763450.1
OG0002222	XP_026669934.1, XP_026669935.1, XP_026669932.1, XP_026669933.1	XP_017763710.1
OG0002223	XP_017881893.1	XP_017758967.1
OG0002224	XP_026670364.1	XP_017755734.1
OG0002225	XP_026670693.1, XP_026668285.1	XP_017758891.1
OG0002226	XP_017881177.2	XP_017758895.1
OG0002227	XP_017875750.2, XP_026675636.1	XP_017755821.1
OG0002228	XP_017881184.1	XP_017759215.1, XP_017759214.1, XP_017759216.1
OG0002229	XP_026668512.1, XP_017878270.1	XP_017757911.1
OG0002230	XP_017882153.1	XP_017756481.1
OG0002231	XP_026667675.1, XP_017876684.1	XP_017766240.1
OG0002232	XP_026670355.1, XP_017882196.1	XP_017766222.1
OG0002233	XP_017885357.1, XP_026669438.1	XP_017760668.1
OG0002234	XP_026668631.1, XP_026668630.1	XP_017761951.1
OG0002235	XP_026669990.1	XP_017755188.1
OG0002237	XP_017887897.1, XP_026673269.1	XP_017763258.1
OG0002238	XP_026668805.1, XP_017879006.1	XP_017754383.1
OG0002239	XP_026673440.1, XP_026673439.1, XP_017888293.1, XP_017888294.1	XP_017754797.1
OG0002240	XP_017889156.1, XP_017889158.1, XP_017889157.1	XP_017764650.1
OG0002241	XP_026669224.1	XP_017763735.1
OG0002242	XP_026669315.1	XP_017753418.1
OG0002243	XP_017891859.1, XP_026675227.1	XP_017766495.1
OG0002244	XP_017893453.1, XP_017893454.1	XP_017766837.1, XP_017766838.1
OG0002245	XP_017877171.1	XP_017757773.1
OG0002247	XP_017887810.2, XP_017888055.2	XP_017759301.1
OG0002248	XP_026673377.1	XP_017760537.1
OG0002249	XP_017888130.1	XP_017759345.1
OG0002250	XP_017875443.1	XP_017760594.1
OG0002251	XP_017891427.1, XP_017891426.1	XP_017766020.1
OG0002252	XP_026671844.1	XP_017759336.1
OG0002253	XP_026673945.1	XP_017761854.1
OG0002254	XP_017882911.1	XP_017764719.1
OG0002255	XP_017886335.1	XP_017762041.1
OG0002256	XP_026674687.1, XP_026674686.1	XP_017764234.1
OG0002257	XP_017878089.2	XP_017753844.1
OG0002258	XP_026666643.1	XP_017756035.1
OG0002259	XP_017878169.1, XP_026668414.1	XP_017752860.1
OG0002260	XP_026673521.1	XP_017762485.1
OG0002261	XP_017892553.1, XP_026675415.1	XP_017761035.1
OG0002262	XP_026669283.1	XP_017761889.1
OG0002263	XP_026668524.1	XP_017755892.1
OG0002263	XP_026668525.1	XP_017759823.1, XP_017762593.1
OG0002264	XP_026670717.1	XP_017753362.1
OG0002265	XP_026669506.1, XP_026669511.1	XP_017766374.1
OG0002266	XP_017874994.1, XP_017874993.1	XP_017753400.1
OG0002267	XP_017876746.1	XP_017765480.1
OG0002268	XP_017877315.1	XP_017762849.1
OG0002269	XP_017884812.1, XP_017884811.1	XP_017767285.1, XP_017767284.1
OG0002270	XP_026668402.1	XP_017752711.1
OG0002271	XP_017883709.1	XP_017752185.1
OG0002272	XP_017888217.1	XP_017754068.1
OG0002273	XP_017891255.1, XP_026674742.1, XP_026674743.1	XP_017767764.1, XP_017767763.1
OG0002274	XP_017892560.1, XP_017892563.1, XP_017892551.1, XP_017892524.1	XP_017766079.1
OG0002275	XP_026673084.1	XP_017761187.1, XP_017761188.1
OG0002276	XP_017887467.1	XP_017763466.1
OG0002277	XP_017881463.1	XP_017754516.1
OG0002278	XP_017880492.1	XP_017758657.1
OG0002279	XP_017890661.1, XP_026674603.1	XP_017761009.1, XP_017761008.1
OG0002280	XP_017880522.1	XP_017762986.1
OG0002281	XP_017892518.1	XP_017757955.1
OG0002282	XP_017890013.1	XP_017754661.1
OG0002283	XP_017892334.1	XP_017767034.1
OG0002284	XP_017891704.1	XP_017760107.1
OG0002285	XP_017881049.1	XP_017764542.1
OG0002287	XP_026672586.1	XP_017754449.1
OG0002288	XP_026668185.1, XP_026668186.1, XP_017877583.1	XP_017763397.1
OG0002289	XP_017881445.1	XP_017764558.1
OG0002290	XP_017883897.1	XP_017767396.1
OG0002291	XP_017883925.1	XP_017767485.1
OG0002292	XP_017890715.1, XP_017881934.1	XP_017761477.1
OG0002293	XP_017888126.1	XP_017762891.1
OG0002294	XP_017889843.1	XP_017758086.1
OG0002295	XP_017893572.1	XP_017763958.1
OG0002296	XP_017882326.1, XP_017882325.1	XP_017767048.1
OG0002297	XP_017877955.1, XP_026668344.1	XP_017756336.1, XP_017756327.1
OG0002298	XP_017877852.1	XP_017758717.1, XP_017758718.1
OG0002299	XP_026670505.1, XP_017882373.1	XP_017757485.1
OG0002300	XP_017885614.1, XP_017885615.1, XP_026672158.1	XP_017753933.1
OG0002301	XP_017892980.1, XP_026666499.1, XP_017892981.1	XP_017756279.1
OG0002302	XP_017890475.1	XP_017760786.1
OG0002303	XP_017882044.1	XP_017765394.1
OG0002304	XP_017883802.1, XP_017877310.2	XP_017758390.1, XP_017758391.1
OG0002305	XP_017890408.1, XP_017885645.1	XP_017759237.1
OG0002306	XP_017885436.1	XP_017755770.1
OG0002307	XP_026672933.1, XP_017887299.1	XP_017755387.1
OG0002308	XP_017878727.1	XP_017765935.1, XP_017765934.1, XP_017765825.1
OG0002309	XP_017875460.1	XP_017764501.1
OG0002310	XP_026674241.1, XP_026674242.1, XP_017889963.1	XP_017759517.1
OG0002311	XP_017888172.1	XP_017754175.1
OG0002312	XP_017883580.1	XP_017752811.1, XP_017752803.1
OG0002313	XP_017883090.1	XP_017755238.1
OG0002314	XP_017879798.1, XP_017888608.1	XP_017766022.1
OG0002315	XP_026669064.1	XP_017758734.1
OG0002316	XP_017884581.1, XP_026671500.1, XP_026671499.1	XP_017767279.1
OG0002318	XP_026674274.1, XP_026674275.1, XP_026674273.1	XP_017757446.1
OG0002319	XP_026672758.1, XP_026672759.1, XP_017886881.1	XP_017756688.1
OG0002320	XP_017889898.1	XP_017753769.1, XP_017753768.1
OG0002321	XP_017876403.1	XP_017767724.1
OG0002323	XP_026669289.1, XP_026669290.1, XP_017880045.1	XP_017764307.1
OG0002324	XP_026668648.1, XP_017878505.1	XP_017760691.1
OG0002325	XP_017875652.1	XP_017767371.1
OG0002326	XP_017890959.1	XP_017764937.1
OG0002327	XP_017879290.1	XP_017762721.1, XP_017762720.1
OG0002328	XP_017883915.1	XP_017766220.1
OG0002329	XP_017880076.1	XP_017759579.1
OG0002330	XP_017881330.1	XP_017753346.1
OG0002331	XP_017885502.1, XP_017885501.1	XP_017758558.1
OG0002332	XP_017888393.1	XP_017762495.1
OG0002333	XP_017889403.1	XP_017763728.1
OG0002334	XP_017885232.1	XP_017762814.1
OG0002335	XP_017880192.1	XP_017761407.1
OG0002336	XP_017886980.1	XP_017757318.1
OG0002337	XP_026670926.1, XP_017883264.1	XP_017752257.1
OG0002338	XP_017891122.1, XP_017891113.1	XP_017754734.1
OG0002339	XP_017876676.1	XP_017767313.1
OG0002340	XP_017876599.1	XP_017767615.1
OG0002341	XP_017877284.1	XP_017756676.1
OG0002342	XP_026672902.1, XP_017887177.1	XP_017757842.1
OG0002343	XP_026672242.1, XP_026672245.1, XP_026672244.1, XP_026672243.1, XP_017885751.1	XP_017763526.1
OG0002344	XP_017879804.1	XP_017763247.1
OG0002345	XP_017887750.1	XP_017760658.1
OG0002346	XP_017883459.1	XP_017761629.1
OG0002347	XP_017875085.1	XP_017764894.1
OG0002348	XP_017878252.1	XP_017757241.1, XP_017757245.1, XP_017757244.1, XP_017757242.1
OG0002349	XP_017879915.1, XP_017879906.1	XP_017754028.1, XP_017754029.1
OG0002350	XP_017891185.2	XP_017764025.1, XP_017764024.1
OG0002351	XP_017888086.1	XP_017759333.1
OG0002352	XP_026671380.1, XP_017884115.1	XP_017767569.1
OG0002353	XP_017880634.1	XP_017761726.1
OG0002354	XP_017890474.1	XP_017760846.1
OG0002355	XP_017890485.1, XP_017890487.1, XP_017890486.1	XP_017760838.1
OG0002356	XP_017890345.1	XP_017764341.1
OG0002357	XP_017890302.1	XP_017765005.1
OG0002358	XP_017884464.1	XP_017761544.1
OG0002359	XP_017884477.1	XP_017756795.1
OG0002361	XP_026670811.1	XP_017759054.1, XP_017759055.1
OG0002362	XP_017879113.1	XP_017755945.1
OG0002363	XP_026672597.1, XP_017886608.1	XP_017758375.1, XP_017758376.1
OG0002364	XP_026668887.1	XP_017764117.1
OG0002365	XP_017883289.1, XP_026670941.1, XP_026670940.1	XP_017763980.1
OG0002367	XP_026674526.1, XP_017890431.1	XP_017758722.1, XP_017758731.1, XP_017758713.1
OG0002368	XP_017878381.1	XP_017761474.1
OG0002369	XP_017875239.2	XP_017766516.1
OG0002370	XP_026671727.1	XP_017761606.1
OG0002372	XP_017881502.1, XP_017881501.1	XP_017760334.1, XP_017760333.1
OG0002374	XP_026672256.1	XP_017759148.1
OG0002383	XP_017884036.1	XP_017752386.1
OG0002384	XP_017892581.1	XP_017758120.1
OG0002385	XP_017883166.1	XP_017767659.1
OG0002386	XP_017890459.1	XP_017758703.1
OG0002388	XP_017888706.1	XP_017763305.1
OG0002389	XP_017886104.1, XP_017886112.1	XP_017755889.1
OG0002390	XP_017877639.1	XP_017756651.1
OG0002392	XP_017886015.1	XP_017761310.1
OG0002393	XP_017888598.2, XP_026667486.1	XP_017755031.1
OG0002394	XP_026669572.1, XP_026669575.1	XP_017761292.1, XP_017761294.1
OG0002395	XP_017884838.1, XP_017885012.1	XP_017759304.1
OG0002396	XP_017890851.1	XP_017767631.1, XP_017767632.1
OG0002397	XP_017891608.1, XP_026674990.1, XP_017891607.1	XP_017752229.1
OG0002398	XP_026669125.1, XP_017879786.1	XP_017758285.1
OG0002399	XP_017877807.1	XP_017756025.1, XP_017756034.1
OG0002400	XP_017875871.1, XP_017877830.1	XP_017759099.1
OG0002401	XP_017883514.1	XP_017755653.1
OG0002402	XP_017890825.1	XP_017764176.1, XP_017764177.1
OG0002403	XP_017883791.1	XP_017767319.1
OG0002404	XP_017884397.1	XP_017763206.1
OG0002405	XP_017889136.1	XP_017754045.1
OG0002406	XP_017893232.1	XP_017763093.1
OG0002407	XP_017880379.1	XP_017760942.1
OG0002409	XP_017885231.2	XP_017762815.1
OG0002411	XP_017892599.1	XP_017758171.1
OG0002412	XP_017880288.1, XP_026669391.1	XP_017759493.1
OG0002413	XP_026667223.1, XP_026667222.1, XP_017875740.1	XP_017767435.1
OG0002414	XP_026673805.1, XP_026673797.1	XP_017754069.1
OG0002415	XP_017892790.1, XP_017892791.1	XP_017754718.1
OG0002416	XP_017893357.1	XP_017752665.1
OG0002417	XP_017888040.1	XP_017757785.1
OG0002418	XP_017893481.1	XP_017766503.1
OG0002420	XP_017884645.1	XP_017759310.1
OG0002421	XP_017890868.1	XP_017761968.1, XP_017758620.1
OG0002422	XP_017881342.1, XP_017881333.1, XP_017881350.1	XP_017761807.1
OG0002423	XP_017876308.1	XP_017755053.1
OG0002424	XP_017880869.1	XP_017754344.1
OG0002425	XP_017883807.1	XP_017767451.1
OG0002426	XP_017877183.1	XP_017765638.1, XP_017761025.1
OG0002427	XP_017880396.1	XP_017763939.1
OG0002428	XP_017883015.1, XP_017883008.1	XP_017765613.1, XP_017765606.1
OG0002430	XP_017879799.1	XP_017753071.1
OG0002431	XP_017875102.1	XP_017753467.1, XP_017753469.1
OG0002432	XP_026669145.1, XP_026669146.1	XP_017764251.1
OG0002433	XP_017891355.1	XP_017755596.1
OG0002434	XP_026666757.1, XP_026666756.1, XP_026666758.1	XP_017766760.1
OG0002435	XP_017892758.1	XP_017767578.1
OG0002436	XP_017877825.1, XP_017877827.1	XP_017757618.1
OG0002437	XP_017891508.1	XP_017752385.1
OG0002439	XP_017875075.1	XP_017752613.1
OG0002440	XP_026672143.1	XP_017755926.1
OG0002441	XP_017890839.1	XP_017754716.1, XP_017754713.1, XP_017754714.1, XP_017754717.1
OG0002442	XP_017891296.1	XP_017754694.1
OG0002444	XP_017889071.1	XP_017754081.1
OG0002445	XP_017889913.1	XP_017755683.1
OG0002446	XP_017881066.1	XP_017762897.1
OG0002447	XP_017889529.1	XP_017761836.1
OG0002448	XP_017882419.1	XP_017766201.1, XP_017766200.1, XP_017766202.1
