Orthogroup	Osmia_lignaria	Nomia_melanderi
OG0000873	XP_034195494.1, XP_034195493.1	XP_031848156.1, XP_031848166.1
OG0000874	XP_034182492.1, XP_034182496.1, XP_034182503.1	XP_031840793.1, XP_031840800.1
OG0000875	XP_034196154.1	XP_031836617.1
OG0000875	XP_034196153.1	XP_031836615.1
OG0000876	XP_034185619.1, XP_034185618.1, XP_034185617.1	XP_031827435.1, XP_031829199.1, XP_031828298.1
OG0000877	XP_034196139.1	XP_031847031.1
OG0000877	XP_034196141.1	XP_031847017.1
OG0000878	XP_034184776.1, XP_034184777.1, XP_034184775.1, XP_034184778.1, XP_034184779.1	XP_031841067.1
OG0000880	XP_034181518.1	XP_031847990.1
OG0000881	XP_034193938.1	XP_031842837.1, XP_031842832.1
OG0000882	XP_034178873.1	XP_031838280.1, XP_031838278.1, XP_031838279.1
OG0000884	XP_034185828.1	XP_031831044.1, XP_031831045.1, XP_031831046.1
OG0000885	XP_034174918.1, XP_034174917.1	XP_031847064.1
OG0000886	XP_034182814.1, XP_034182815.1	XP_031844658.1
OG0000887	XP_034188670.1, XP_034188672.1, XP_034188673.1	XP_031832270.1
OG0000888	XP_034171982.1, XP_034171977.1	XP_031847704.1, XP_031847706.1
OG0000889	XP_034183078.1, XP_034183070.1	XP_031841360.1
OG0000890	XP_034189352.1	XP_031843504.1
OG0000891	XP_034191955.1	XP_031835057.1
OG0000892	XP_034183228.1, XP_034183229.1	XP_031841391.1, XP_031841390.1
OG0000893	XP_034187249.1, XP_034187250.1	XP_031848594.1
OG0000894	XP_034193488.1	XP_031842109.1
OG0000895	XP_034180983.1	XP_031849002.1, XP_031849004.1, XP_031849005.1, XP_031849003.1
OG0000896	XP_034195449.1, XP_034195450.1	XP_031836724.1, XP_031836720.1, XP_031836722.1, XP_031836721.1, XP_031836723.1
OG0000897	XP_034177189.1	XP_031825298.1
OG0000898	XP_034176422.1	XP_031849925.1, XP_031849924.1, XP_031849922.1
OG0000899	XP_034185914.1, XP_034185915.1, XP_034185916.1, XP_034185917.1	XP_031843834.1
OG0000900	XP_034177286.1, XP_034177285.1	XP_031833680.1
OG0000901	XP_034192018.1, XP_034192019.1	XP_031832840.1
OG0000902	XP_034180023.1	XP_031833075.1, XP_031833076.1, XP_031833074.1
OG0000903	XP_034173958.1, XP_034173957.1, XP_034173960.1, XP_034173959.1	XP_031834474.1, XP_031834475.1
OG0000904	XP_034189740.1	XP_031835905.1
OG0000904	XP_034189742.1	XP_031835907.1
OG0000905	XP_034193378.1, XP_034193377.1	XP_031849250.1, XP_031849249.1
OG0000907	XP_034174198.1, XP_034174199.1, XP_034174200.1	XP_031842276.1
OG0000908	XP_034187690.1, XP_034187692.1, XP_034187691.1, XP_034187695.1, XP_034187694.1, XP_034187693.1, XP_034187696.1, XP_034187689.1	XP_031845352.1
OG0000909	XP_034192716.1	XP_031848747.1
OG0000910	XP_034192951.1, XP_034192952.1, XP_034192950.1	XP_031825331.1, XP_031825328.1, XP_031825330.1
OG0000911	XP_034191066.1	XP_031826578.1, XP_031826577.1, XP_031826573.1, XP_031826572.1, XP_031826576.1, XP_031826574.1
OG0000912	XP_034181837.1, XP_034181744.1	XP_031826039.1, XP_031826033.1
OG0000913	XP_034172908.1	XP_031840403.1, XP_031840402.1, XP_031840399.1, XP_031840398.1, XP_031840401.1, XP_031840400.1, XP_031840396.1, XP_031840397.1, XP_031840395.1
OG0000914	XP_034187202.1	XP_031828541.1
OG0000915	XP_034194753.1, XP_034194754.1, XP_034194755.1, XP_034194752.1	XP_031834274.1, XP_031834272.1, XP_031834271.1, XP_031834275.1, XP_031834276.1, XP_031834273.1
OG0000916	XP_034173012.1	XP_031839471.1
OG0000917	XP_034172680.1, XP_034172681.1	XP_031846809.1, XP_031846808.1, XP_031846806.1
OG0000918	XP_034172964.1	XP_031827306.1
OG0000919	XP_034189974.1	XP_031831021.1, XP_031831018.1, XP_031831020.1, XP_031831019.1, XP_031831017.1
OG0000920	XP_034181925.1, XP_034181930.1	XP_031836832.1
OG0000921	XP_034172791.1, XP_034172775.1, XP_034172796.1, XP_034172794.1, XP_034172790.1	XP_031839452.1
OG0000922	XP_034173381.1	XP_031839183.1
OG0000923	XP_034187640.1, XP_034187639.1, XP_034187638.1	XP_031845248.1, XP_031845246.1, XP_031845247.1
OG0000924	XP_034196106.1, XP_034196107.1, XP_034196105.1, XP_034196104.1	XP_031836568.1
OG0000925	XP_034195935.1	XP_031840154.1
OG0000926	XP_034175257.1	XP_031849077.1, XP_031849076.1, XP_031849079.1, XP_031849078.1, XP_031849081.1, XP_031849080.1, XP_031849082.1, XP_031849075.1
OG0000927	XP_034190475.1, XP_034190474.1	XP_031829797.1
OG0000928	XP_034181183.1, XP_034181181.1	XP_031841824.1, XP_031841825.1
OG0000929	XP_034181621.1	XP_031828829.1
OG0000929	XP_034181619.1	XP_031828826.1
OG0000930	XP_034184088.1	XP_031835256.1
OG0000931	XP_034184517.1	XP_031842223.1, XP_031842231.1
OG0000933	XP_034176393.1	XP_031829015.1, XP_031829012.1, XP_031829014.1
OG0000934	XP_034175962.1	XP_031838528.1, XP_031838529.1
OG0000935	XP_034175880.1	XP_031849889.1, XP_031849887.1, XP_031849891.1, XP_031849890.1, XP_031849893.1, XP_031849888.1
OG0000936	XP_034194613.1, XP_034194629.1, XP_034194620.1	XP_031843977.1
OG0000937	XP_034180057.1, XP_034180034.1	XP_031826528.1, XP_031826527.1, XP_031826526.1
OG0000938	XP_034193793.1, XP_034193791.1	XP_031825799.1, XP_031825794.1
OG0000939	XP_034179195.1	XP_031842589.1, XP_031842580.1
OG0000940	XP_034172337.1	XP_031839278.1, XP_031839281.1, XP_031839279.1, XP_031839280.1, XP_031839277.1
OG0000941	XP_034191099.1	XP_031828237.1
OG0000942	XP_034173241.1	XP_031839433.1
OG0000943	XP_034187292.1, XP_034187302.1, XP_034187313.1	XP_031840452.1
OG0000944	XP_034180327.1	XP_031837199.1, XP_031837198.1, XP_031837197.1
OG0000945	XP_034172642.1, XP_034172641.1, XP_034172643.1, XP_034172644.1	XP_031846910.1
OG0000946	XP_034189164.1	XP_031839837.1
OG0000948	XP_034189109.1, XP_034189108.1, XP_034189107.1, XP_034189106.1, XP_034189110.1	XP_031839580.1
OG0000950	XP_034189562.1, XP_034189563.1, XP_034189564.1, XP_034189560.1, XP_034189561.1	XP_031843741.1
OG0000951	XP_034187559.1, XP_034187562.1, XP_034187560.1	XP_031833247.1
OG0000952	XP_034176909.1	XP_031833933.1
OG0000953	XP_034177883.1, XP_034177882.1	XP_031833612.1, XP_031833613.1
OG0000954	XP_034177573.1, XP_034177571.1, XP_034177570.1	XP_031833478.1, XP_031833476.1, XP_031833473.1, XP_031833471.1, XP_031833472.1, XP_031833475.1, XP_031833477.1
OG0000955	XP_034172436.1, XP_034172433.1	XP_031847685.1, XP_031842054.1
OG0000956	XP_034177464.1	XP_031831321.1
OG0000957	XP_034196182.1, XP_034196181.1, XP_034196180.1	XP_031838760.1
OG0000958	XP_034195755.1	XP_031826540.1
OG0000958	XP_034195738.1	XP_031826539.1
OG0000959	XP_034190303.1, XP_034190307.1	XP_031829922.1
OG0000960	XP_034185221.1	XP_031830193.1
OG0000961	XP_034185212.1	XP_031830390.1, XP_031830394.1
OG0000962	XP_034190596.1	XP_031830325.1
OG0000963	XP_034190592.1	XP_031830327.1
OG0000964	XP_034192476.1, XP_034192475.1	XP_031831929.1
OG0000965	XP_034188007.1, XP_034188006.1	XP_031834127.1
OG0000966	XP_034190651.1	XP_031830344.1
OG0000967	XP_034184382.1	XP_031838053.1
OG0000969	XP_034191948.1	XP_031837635.1, XP_031837634.1, XP_031837633.1, XP_031837632.1, XP_031837640.1, XP_031837637.1, XP_031837636.1, XP_031837641.1, XP_031837639.1
OG0000970	XP_034189737.1	XP_031830789.1, XP_031830790.1
OG0000971	XP_034175213.1	XP_031835539.1, XP_031835538.1
OG0000972	XP_034176415.1	XP_031848863.1, XP_031849784.1, XP_031849785.1, XP_031849782.1, XP_031849787.1, XP_031849786.1, XP_031849783.1
OG0000973	XP_034183190.1, XP_034183192.1, XP_034183191.1	XP_031841319.1
OG0000974	XP_034179257.1, XP_034179259.1	XP_031838273.1
OG0000977	XP_034180877.1, XP_034180878.1, XP_034180881.1	XP_031837571.1
OG0000979	XP_034179357.1, XP_034179358.1	XP_031844750.1
OG0000980	XP_034179823.1	XP_031847536.1, XP_031847534.1, XP_031847537.1, XP_031847538.1, XP_031842187.1
OG0000981	XP_034173634.1, XP_034173633.1, XP_034173632.1, XP_034173630.1, XP_034173631.1	XP_031832556.1
OG0000982	XP_034182733.1	XP_031848968.1, XP_031844990.1
OG0000983	XP_034176447.1, XP_034176449.1	XP_031834840.1, XP_031834843.1
OG0000984	XP_034186145.1, XP_034186143.1, XP_034186146.1, XP_034186142.1	XP_031843772.1, XP_031843771.1, XP_031843770.1
OG0000985	XP_034175942.1, XP_034175941.1	XP_031849797.1, XP_031849798.1
OG0000986	XP_034171186.1, XP_034171187.1	XP_031850485.1, XP_031850484.1
OG0000987	XP_034191326.1, XP_034191325.1	XP_031827291.1
OG0000988	XP_034195984.1, XP_034195981.1, XP_034195982.1, XP_034195986.1, XP_034195983.1	XP_031839017.1
OG0000989	XP_034184892.1, XP_034184891.1	XP_031845736.1, XP_031845646.1
OG0000990	XP_034190380.1	XP_031830021.1
OG0000991	XP_034192064.1, XP_034192047.1, XP_034192054.1	XP_031840243.1
OG0000992	XP_034193961.1, XP_034193960.1	XP_031842630.1, XP_031842631.1
OG0000993	XP_034186094.1, XP_034186092.1	XP_031835952.1
OG0000994	XP_034188924.1	XP_031834628.1
OG0000995	XP_034195401.1	XP_031838671.1
OG0000996	XP_034189355.1	XP_031836354.1, XP_031836352.1, XP_031836355.1
OG0000997	XP_034181189.1	XP_031832296.1
OG0000998	XP_034174336.1, XP_034174325.1, XP_034174316.1	XP_031846275.1
OG0000999	XP_034185813.1, XP_034185819.1, XP_034185816.1, XP_034185814.1, XP_034185818.1, XP_034185817.1	XP_031830745.1
OG0001000	XP_034192631.1, XP_034192632.1	XP_031843333.1
OG0001001	XP_034190572.1, XP_034190569.1	XP_031826248.1, XP_031826251.1, XP_031826249.1
OG0001002	XP_034171296.1	XP_031848227.1, XP_031848226.1
OG0001003	XP_034184119.1	XP_031838069.1, XP_031838064.1, XP_031838063.1, XP_031838062.1, XP_031838067.1, XP_031838066.1, XP_031838065.1, XP_031838061.1
OG0001004	XP_034186529.1, XP_034186530.1	XP_031826078.1, XP_031826114.1, XP_031826063.1, XP_031826104.1, XP_031826096.1, XP_031826087.1, XP_031826069.1
OG0001005	XP_034193193.1	XP_031849435.1, XP_031849437.1, XP_031849433.1, XP_031849436.1, XP_031849438.1
OG0001006	XP_034184078.1, XP_034184079.1, XP_034184077.1	XP_031837818.1
OG0001007	XP_034192524.1	XP_031831897.1
OG0001008	XP_034176392.1, XP_034176391.1	XP_031847044.1, XP_031847043.1, XP_031847045.1
OG0001009	XP_034184376.1, XP_034184377.1, XP_034184378.1, XP_034184379.1	XP_031839930.1
OG0001010	XP_034188799.1, XP_034188792.1	XP_031827924.1
OG0001011	XP_034195937.1	XP_031840261.1
OG0001012	XP_034192455.1	XP_031832072.1, XP_031832077.1, XP_031832076.1, XP_031832079.1, XP_031832073.1, XP_031832078.1, XP_031832074.1, XP_031832075.1
OG0001013	XP_034192654.1	XP_031831265.1, XP_031831266.1, XP_031831264.1
OG0001014	XP_034183094.1, XP_034183093.1, XP_034183096.1	XP_031826905.1, XP_031826906.1, XP_031826907.1, XP_031826908.1, XP_031826904.1
OG0001015	XP_034170842.1, XP_034170843.1, XP_034170841.1	XP_031835375.1, XP_031835385.1
OG0001016	XP_034177633.1, XP_034175936.1, XP_034178483.1, XP_034179294.1, XP_034176791.1	XP_031826432.1
OG0001017	XP_034171597.1	XP_031839004.1
OG0001018	XP_034189832.1, XP_034189836.1, XP_034189837.1, XP_034189835.1, XP_034189834.1, XP_034189838.1	XP_031841266.1, XP_031841265.1
OG0001019	XP_034188040.1	XP_031834154.1, XP_031834152.1, XP_031834151.1, XP_031834153.1
OG0001020	XP_034190862.1, XP_034190861.1, XP_034190863.1	XP_031827614.1, XP_031827616.1, XP_031827617.1, XP_031827615.1
OG0001021	XP_034170905.1	XP_031840004.1, XP_031840003.1, XP_031840001.1, XP_031840002.1
OG0001022	XP_034194820.1, XP_034194675.1, XP_034195368.1, XP_034195066.1, XP_034182099.1, XP_034192284.1, XP_034195014.1, XP_034195013.1, XP_034174052.1, XP_034194635.1	XP_031848468.1
OG0001023	XP_034178590.1	XP_031848860.1
OG0001026	XP_034182275.1	XP_031840564.1, XP_031840566.1, XP_031840570.1, XP_031840569.1, XP_031840565.1
OG0001027	XP_034195362.1, XP_034195360.1, XP_034195359.1, XP_034194637.1, XP_034194534.1, XP_034194869.1	XP_031836771.1
OG0001029	XP_034171206.1	XP_031839721.1
OG0001029	XP_034171207.1	XP_031839722.1
OG0001030	XP_034191728.1	XP_031837678.1
OG0001032	XP_034173988.1, XP_034173987.1	XP_031842330.1
OG0001033	XP_034178508.1, XP_034178507.1	XP_031835972.1
OG0001034	XP_034187652.1	XP_031835036.1
OG0001035	XP_034188785.1, XP_034188784.1	XP_031843554.1
OG0001036	XP_034193255.1, XP_034193256.1, XP_034193259.1, XP_034193260.1, XP_034193238.1	XP_031845843.1
OG0001037	XP_034179998.1, XP_034179999.1	XP_031833070.1
OG0001039	XP_034181751.1, XP_034181753.1, XP_034181750.1	XP_031835220.1
OG0001040	XP_034176680.1, XP_034176682.1	XP_031829031.1
OG0001041	XP_034188704.1	XP_031839527.1
OG0001042	XP_034176407.1, XP_034176406.1	XP_031849451.1
OG0001043	XP_034185427.1, XP_034185429.1, XP_034185430.1, XP_034185428.1	XP_031838052.1
OG0001044	XP_034176002.1, XP_034176001.1, XP_034176000.1, XP_034176003.1	XP_031838451.1
OG0001045	XP_034181845.1	XP_031829672.1
OG0001046	XP_034182558.1	XP_031850366.1
OG0001047	XP_034175539.1	XP_031838491.1
OG0001048	XP_034183588.1	XP_031837450.1, XP_031826064.1
OG0001049	XP_034174979.1	XP_031835667.1, XP_031835668.1
OG0001050	XP_034189953.1	XP_031847871.1, XP_031847870.1, XP_031847869.1
OG0001051	XP_034190711.1, XP_034181180.1	XP_031837028.1
OG0001052	XP_034186465.1, XP_034186447.1, XP_034186456.1	XP_031838674.1
OG0001053	XP_034178394.1	XP_031835989.1, XP_031835988.1, XP_031835987.1
OG0001054	XP_034189602.1	XP_031826495.1, XP_031826493.1, XP_031826494.1
OG0001056	XP_034181793.1, XP_034181794.1	XP_031834187.1, XP_031834186.1
OG0001057	XP_034191689.1	XP_031838987.1
OG0001058	XP_034180685.1, XP_034180684.1	XP_031837659.1, XP_031837652.1
OG0001059	XP_034195396.1, XP_034195397.1	XP_031838706.1, XP_031838707.1
OG0001060	XP_034186398.1	XP_031837823.1
OG0001061	XP_034174654.1, XP_034174653.1	XP_031834010.1
OG0001062	XP_034192662.1	XP_031833408.1, XP_031833406.1
OG0001063	XP_034173025.1	XP_031839323.1
OG0001064	XP_034172208.1	XP_031844700.1, XP_031844701.1
OG0001065	XP_034172692.1, XP_034172693.1	XP_031844734.1
OG0001066	XP_034175606.1, XP_034175608.1, XP_034175607.1, XP_034175610.1, XP_034175609.1	XP_031831567.1
OG0001067	XP_034186781.1	XP_031826763.1, XP_031826766.1, XP_031826765.1, XP_031826762.1, XP_031826767.1, XP_031826764.1
OG0001068	XP_034191082.1	XP_031827272.1, XP_031827271.1, XP_031827270.1, XP_031827276.1, XP_031827275.1, XP_031827274.1, XP_031827277.1, XP_031827278.1
OG0001069	XP_034178379.1, XP_034178376.1, XP_034178378.1, XP_034178377.1, XP_034178375.1	XP_031835977.1
OG0001070	XP_034196103.1	XP_031836523.1
OG0001071	XP_034188920.1	XP_031839525.1, XP_031839524.1
OG0001072	XP_034192556.1	XP_031838836.1
OG0001073	XP_034173171.1	XP_031846227.1
OG0001074	XP_034175638.1	XP_031828489.1, XP_031828490.1
OG0001075	XP_034173869.1, XP_034173870.1	XP_031845275.1
OG0001076	XP_034189305.1, XP_034189304.1, XP_034189302.1	XP_031839534.1
OG0001077	XP_034184060.1, XP_034184059.1, XP_034184061.1	XP_031837902.1
OG0001078	XP_034171771.1, XP_034171766.1	XP_031836304.1, XP_031836303.1
OG0001079	XP_034186980.1	XP_031826989.1, XP_031826944.1
OG0001080	XP_034181332.1	XP_031841874.1
OG0001081	XP_034188588.1, XP_034188589.1, XP_034188590.1	XP_031848448.1, XP_031848447.1
OG0001082	XP_034177563.1	XP_031833663.1
OG0001083	XP_034181197.1	XP_031845777.1, XP_031845776.1
OG0001084	XP_034191779.1	XP_031832966.1, XP_031832965.1, XP_031832964.1
OG0001085	XP_034178206.1	XP_031827829.1
OG0001086	XP_034174532.1	XP_031845107.1
OG0001087	XP_034181704.1, XP_034181703.1	XP_031832317.1, XP_031832316.1
OG0001088	XP_034176624.1, XP_034176621.1	XP_031838244.1
OG0001089	XP_034181416.1	XP_031834188.1
OG0001090	XP_034184356.1	XP_031837731.1
OG0001091	XP_034176840.1	XP_031825621.1
OG0001092	XP_034180231.1	XP_031837183.1
OG0001093	XP_034179981.1	XP_031837279.1, XP_031837280.1
OG0001094	XP_034186474.1, XP_034186475.1, XP_034186473.1, XP_034186472.1	XP_031828535.1
OG0001095	XP_034192289.1	XP_031846984.1, XP_031846981.1, XP_031846982.1, XP_031846983.1
OG0001096	XP_034187272.1	XP_031834352.1, XP_031834355.1, XP_031834354.1, XP_031834356.1, XP_031834353.1
OG0001097	XP_034183384.1	XP_031846169.1
OG0001098	XP_034183579.1	XP_031843576.1
OG0001099	XP_034188615.1	XP_031844308.1
OG0001100	XP_034182686.1, XP_034182681.1	XP_031840738.1
OG0001101	XP_034176481.1, XP_034176482.1, XP_034176480.1, XP_034176479.1	XP_031829064.1
OG0001102	XP_034194247.1	XP_031838695.1
OG0001103	XP_034183564.1, XP_034183563.1	XP_031831004.1
OG0001104	XP_034190553.1	XP_031829957.1, XP_031829959.1, XP_031829958.1, XP_031829960.1
OG0001105	XP_034177380.1	XP_031833532.1, XP_031833534.1, XP_031833531.1, XP_031833535.1, XP_031833533.1
OG0001106	XP_034187945.1	XP_031846672.1
OG0001107	XP_034185650.1, XP_034185648.1, XP_034185647.1	XP_031848718.1, XP_031848716.1, XP_031848717.1
OG0001108	XP_034180827.1	XP_031833123.1, XP_031833115.1, XP_031833116.1, XP_031833120.1, XP_031833121.1, XP_031833122.1, XP_031833119.1, XP_031833118.1
OG0001109	XP_034174988.1	XP_031838555.1
OG0001110	XP_034175828.1	XP_031849876.1, XP_031849877.1
OG0001111	XP_034175722.1	XP_031835563.1
OG0001112	XP_034193341.1	XP_031849270.1
OG0001113	XP_034183310.1, XP_034183309.1	XP_031841727.1, XP_031841726.1
OG0001114	XP_034184351.1	XP_031835190.1, XP_031835191.1
OG0001115	XP_034176880.1, XP_034176881.1	XP_031833732.1, XP_031833729.1, XP_031833733.1, XP_031833730.1
OG0001116	XP_034188338.1	XP_031836830.1, XP_031836828.1, XP_031836831.1, XP_031836829.1
OG0001117	XP_034179871.1	XP_031828275.1, XP_031828274.1, XP_031828271.1, XP_031828272.1, XP_031828276.1
OG0001118	XP_034189209.1	XP_031839733.1
OG0001119	XP_034171095.1, XP_034171092.1, XP_034171093.1, XP_034171094.1	XP_031839836.1
OG0001120	XP_034196535.1	XP_031839918.1
OG0001121	XP_034189821.1	XP_031830949.1
OG0001122	XP_034187328.1, XP_034187330.1	XP_031829308.1
OG0001124	XP_034195620.1, XP_034195619.1	XP_031849119.1, XP_031849122.1, XP_031849121.1, XP_031849120.1
OG0001125	XP_034177643.1	XP_031826043.1
OG0001126	XP_034176792.1, XP_034176719.1	XP_031826254.1, XP_031826252.1
OG0001128	XP_034190993.1	XP_031826716.1, XP_031826715.1, XP_031826719.1, XP_031826718.1, XP_031826720.1, XP_031826717.1
OG0001129	XP_034175212.1	XP_031835435.1, XP_031835434.1
OG0001130	XP_034172986.1, XP_034172987.1	XP_031846912.1, XP_031846913.1
OG0001131	XP_034196203.1	XP_031841940.1, XP_031841939.1
OG0001132	XP_034196187.1, XP_034196188.1	XP_031842022.1
OG0001134	XP_034192977.1	XP_031831643.1
OG0001136	XP_034182732.1, XP_034182731.1	XP_031844874.1, XP_031844875.1, XP_031844872.1, XP_031844873.1
OG0001137	XP_034174701.1	XP_031847543.1, XP_031847546.1
OG0001138	XP_034177466.1	XP_031825302.1
OG0001139	XP_034192696.1	XP_031845653.1
OG0001140	XP_034196303.1, XP_034196305.1	XP_031847779.1, XP_031847807.1
OG0001141	XP_034191655.1	XP_031838885.1
OG0001142	XP_034174455.1	XP_031836962.1
OG0001143	XP_034190315.1, XP_034190314.1	XP_031846370.1
OG0001144	XP_034186841.1	XP_031841217.1
OG0001144	XP_034186832.1	XP_031841211.1
OG0001145	XP_034189745.1, XP_034189744.1	XP_031835908.1
OG0001146	XP_034186303.1	XP_031830621.1
OG0001147	XP_034175216.1	XP_031849992.1, XP_031849993.1, XP_031849994.1, XP_031849989.1, XP_031849990.1
OG0001148	XP_034191690.1, XP_034191691.1, XP_034191692.1	XP_031832957.1
OG0001149	XP_034193605.1	XP_031842722.1
OG0001150	XP_034186798.1, XP_034186796.1, XP_034186795.1, XP_034186797.1	XP_031827045.1
OG0001151	XP_034172736.1	XP_031847163.1
OG0001152	XP_034173732.1, XP_034173704.1, XP_034173742.1, XP_034173695.1, XP_034173714.1, XP_034173723.1	XP_031828132.1
OG0001153	XP_034189230.1, XP_034189228.1, XP_034189227.1	XP_031839632.1
OG0001154	XP_034170878.1, XP_034170876.1, XP_034170877.1	XP_031836183.1
OG0001155	XP_034189367.1, XP_034189365.1, XP_034189366.1	XP_031848663.1
OG0001156	XP_034187396.1	XP_031845137.1, XP_031845136.1, XP_031845132.1, XP_031845133.1, XP_031845134.1, XP_031845135.1
OG0001158	XP_034174541.1, XP_034174543.1, XP_034174540.1	XP_031833173.1
OG0001159	XP_034174695.1, XP_034174692.1, XP_034174696.1, XP_034174693.1	XP_031838416.1
OG0001160	XP_034192982.1, XP_034192979.1	XP_031831646.1, XP_031831648.1
OG0001161	XP_034192954.1	XP_031848979.1
OG0001162	XP_034189286.1	XP_031828771.1
OG0001163	XP_034190495.1	XP_031828233.1, XP_031828235.1, XP_031828234.1, XP_031828236.1
OG0001164	XP_034175603.1	XP_031836984.1
OG0001165	XP_034177076.1	XP_031826385.1
OG0001166	XP_034192453.1	XP_031832213.1
OG0001167	XP_034171515.1	XP_031846762.1, XP_031846763.1
OG0001168	XP_034183109.1, XP_034183161.1, XP_034183169.1, XP_034183144.1, XP_034183178.1, XP_034183126.1, XP_034183154.1, XP_034183194.1, XP_034183135.1	XP_031826011.1
OG0001169	XP_034185216.1	XP_031841172.1
OG0001170	XP_034171853.1	XP_031837166.1
OG0001171	XP_034188145.1	XP_031832233.1
OG0001172	XP_034190611.1, XP_034190610.1, XP_034190609.1, XP_034190608.1	XP_031830055.1, XP_031830054.1, XP_031830052.1
OG0001173	XP_034190466.1	XP_031841058.1
OG0001174	XP_034184086.1	XP_031838041.1
OG0001175	XP_034184392.1	XP_031835177.1, XP_031835178.1, XP_031835179.1
OG0001176	XP_034171787.1	XP_031838952.1, XP_031841621.1
OG0001177	XP_034184559.1	XP_031842946.1, XP_031842962.1, XP_031842952.1, XP_031843041.1, XP_031842978.1, XP_031842971.1, XP_031843033.1, XP_031843023.1, XP_031843012.1, XP_031842988.1, XP_031843007.1, XP_031842998.1
OG0001178	XP_034196043.1, XP_034196044.1	XP_031844031.1
OG0001179	XP_034191718.1, XP_034191719.1, XP_034191717.1	XP_031838027.1, XP_031838028.1, XP_031838026.1
OG0001180	XP_034194866.1	XP_031841342.1, XP_031841354.1
OG0001181	XP_034183551.1	XP_031830523.1
OG0001182	XP_034176105.1, XP_034176107.1, XP_034176104.1, XP_034176106.1	XP_031849760.1
OG0001183	XP_034193123.1	XP_031849335.1
OG0001184	XP_034177871.1, XP_034177863.1	XP_031827989.1
OG0001185	XP_034180850.1, XP_034181347.1	XP_031829790.1, XP_031829791.1, XP_031829792.1, XP_031829788.1, XP_031829786.1, XP_031829789.1
OG0001186	XP_034175186.1, XP_034175181.1	XP_031850239.1, XP_031850242.1
OG0001187	XP_034193387.1, XP_034193385.1, XP_034193386.1	XP_031850167.1, XP_031850166.1
OG0001188	XP_034193408.1	XP_031835788.1, XP_031835787.1
OG0001189	XP_034190118.1, XP_034190109.1	XP_031846668.1
OG0001190	XP_034176127.1	XP_031835509.1, XP_031835510.1, XP_031835508.1
OG0001191	XP_034178580.1	XP_031845835.1, XP_031845830.1
OG0001192	XP_034180067.1, XP_034180061.1	XP_031848070.1
OG0001193	XP_034180626.1	XP_031832905.1, XP_031832906.1
OG0001194	XP_034191479.1	XP_031829636.1, XP_031829638.1, XP_031829637.1
OG0001195	XP_034193492.1, XP_034193493.1, XP_034193494.1	XP_031842784.1
OG0001196	XP_034178870.1	XP_031829514.1, XP_031829516.1, XP_031829515.1
OG0001197	XP_034190845.1	XP_031827123.1
OG0001199	XP_034192397.1	XP_031840115.1
OG0001200	XP_034177307.1, XP_034177306.1, XP_034177308.1	XP_031833687.1, XP_031833686.1, XP_031833685.1, XP_031833684.1
OG0001201	XP_034181508.1	XP_031832206.1, XP_031832208.1
OG0001202	XP_034194271.1	XP_031838909.1, XP_031838913.1, XP_031838912.1, XP_031838910.1, XP_031838915.1, XP_031838914.1, XP_031838916.1
OG0001203	XP_034183762.1, XP_034183763.1	XP_031843800.1, XP_031843797.1
OG0001204	XP_034175272.1, XP_034175271.1, XP_034175273.1	XP_031850172.1
OG0001205	XP_034180859.1	XP_031833126.1, XP_031833125.1, XP_031833128.1, XP_031833130.1, XP_031833129.1
OG0001206	XP_034178846.1	XP_031828137.1
OG0001207	XP_034171631.1, XP_034171630.1	XP_031834580.1, XP_031834582.1, XP_031834583.1, XP_031834581.1
OG0001208	XP_034182364.1, XP_034182370.1	XP_031840888.1, XP_031840892.1
OG0001209	XP_034181976.1	XP_031849737.1, XP_031849736.1
OG0001210	XP_034192705.1, XP_034192704.1	XP_031833404.1, XP_031833405.1
OG0001211	XP_034184584.1	XP_031828693.1, XP_031828691.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0001212	XP_034172186.1, XP_034172185.1	XP_031847129.1, XP_031847128.1, XP_031847130.1, XP_031847132.1, XP_031847131.1, XP_031847127.1
OG0001213	XP_034186953.1, XP_034186951.1, XP_034186952.1, XP_034186954.1, XP_034186955.1	XP_031833288.1
OG0001214	XP_034175534.1, XP_034175535.1, XP_034175533.1	XP_031838470.1, XP_031838471.1
OG0001215	XP_034191000.1	XP_031827401.1
OG0001216	XP_034193696.1	XP_031842741.1
OG0001217	XP_034175686.1	XP_031850238.1
OG0001218	XP_034189816.1	XP_031843808.1, XP_031843810.1, XP_031843805.1, XP_031843807.1, XP_031843811.1, XP_031843806.1
OG0001220	XP_034182829.1, XP_034182826.1, XP_034182827.1	XP_031844663.1, XP_031844664.1
OG0001221	XP_034187112.1, XP_034187111.1	XP_031827248.1
OG0001222	XP_034185126.1, XP_034185125.1	XP_031846385.1
OG0001223	XP_034187966.1	XP_031834094.1
OG0001223	XP_034187994.1	XP_031834048.1
OG0001224	XP_034180332.1	XP_031837385.1, XP_031837384.1, XP_031837383.1, XP_031837382.1
OG0001225	XP_034189449.1	XP_031841216.1, XP_031841219.1, XP_031841218.1
OG0001226	XP_034176494.1	XP_031849171.1, XP_031849172.1
OG0001227	XP_034179763.1, XP_034179762.1	XP_031843190.1, XP_031843189.1
OG0001228	XP_034193972.1, XP_034193974.1	XP_031842497.1
