Orthogroup	Osmia_lignaria	Megalopta_genalis
OG0000583	XP_034192576.1	XP_033339734.1
OG0000583	XP_034196124.1	XP_033330269.1
OG0000584	XP_034186973.1	XP_033322533.1, XP_033322534.1
OG0000586	XP_034195385.1	XP_033327740.1, XP_033327739.1
OG0000588	XP_034181033.1	XP_033340389.1, XP_033340386.1
OG0000589	XP_034182664.1, XP_034182666.1	XP_033331196.1
OG0000590	XP_034171237.1, XP_034171238.1, XP_034171236.1	XP_033337888.1, XP_033337880.1
OG0000591	XP_034194264.1	XP_033339010.1, XP_033339012.1, XP_033339011.1
OG0000592	XP_034191716.1, XP_034191715.1	XP_033336441.1
OG0000594	XP_034173505.1	XP_033328580.1
OG0000595	XP_034193110.1	XP_033343065.1, XP_033343062.1, XP_033343066.1, XP_033343063.1, XP_033343064.1
OG0000596	XP_034182944.1	XP_033339242.1
OG0000596	XP_034182705.1	XP_033339241.1
OG0000597	XP_034178485.1, XP_034178486.1	XP_033332020.1, XP_033332021.1
OG0000598	XP_034192396.1, XP_034192395.1, XP_034192394.1, XP_034192393.1	XP_033325219.1
OG0000599	XP_034190195.1	XP_033337964.1, XP_033337963.1
OG0000600	XP_034193536.1, XP_034193528.1, XP_034193526.1	XP_033327725.1
OG0000601	XP_034176934.1, XP_034176935.1	XP_033333926.1
OG0000603	XP_034194596.1	XP_033326430.1
OG0000604	XP_034173362.1, XP_034173363.1	XP_033341141.1
OG0000605	XP_034191176.1, XP_034191175.1	XP_033338611.1, XP_033338612.1
OG0000606	XP_034179115.1, XP_034179121.1, XP_034179123.1, XP_034179120.1, XP_034179119.1, XP_034179114.1, XP_034179122.1, XP_034179124.1, XP_034179125.1, XP_034179117.1, XP_034179116.1	XP_033338114.1
OG0000607	XP_034177956.1	XP_033330110.1
OG0000608	XP_034179072.1	XP_033322430.1
OG0000609	XP_034178019.1	XP_033323394.1
OG0000610	XP_034193810.1	XP_033324982.1, XP_033324985.1, XP_033324983.1, XP_033324986.1
OG0000611	XP_034178405.1, XP_034178407.1	XP_033334115.1, XP_033334068.1
OG0000612	XP_034188546.1	XP_033321801.1
OG0000612	XP_034188540.1	XP_033321792.1
OG0000613	XP_034183081.1	XP_033332491.1
OG0000614	XP_034184023.1, XP_034184024.1	XP_033321114.1
OG0000615	XP_034183185.1, XP_034183184.1, XP_034183183.1	XP_033335314.1
OG0000616	XP_034190791.1, XP_034190790.1	XP_033330060.1, XP_033330062.1, XP_033330061.1
OG0000617	XP_034183712.1, XP_034183709.1, XP_034183705.1	XP_033322880.1
OG0000618	XP_034193632.1, XP_034193633.1	XP_033324766.1, XP_033324765.1
OG0000619	XP_034178974.1, XP_034178975.1	XP_033340709.1, XP_033340717.1
OG0000621	XP_034191544.1	XP_033336011.1
OG0000623	XP_034176297.1	XP_033335003.1
OG0000625	XP_034193136.1	XP_033342734.1
OG0000626	XP_034193363.1, XP_034193355.1, XP_034193359.1, XP_034193360.1, XP_034193357.1, XP_034193358.1, XP_034193361.1, XP_034193362.1, XP_034193364.1	XP_033334903.1
OG0000628	XP_034173677.1, XP_034173679.1	XP_033336948.1, XP_033336947.1, XP_033336946.1, XP_033336949.1
OG0000629	XP_034174614.1	XP_033333828.1
OG0000631	XP_034180959.1	XP_033324459.1
OG0000632	XP_034187718.1, XP_034187716.1, XP_034187717.1	XP_033339644.1, XP_033339642.1, XP_033339646.1, XP_033339645.1, XP_033339641.1
OG0000633	XP_034184246.1	XP_033328316.1
OG0000634	XP_034187213.1, XP_034187216.1, XP_034187215.1, XP_034187212.1	XP_033326258.1
OG0000635	XP_034175221.1, XP_034175227.1	XP_033331835.1, XP_033331845.1, XP_033331854.1
OG0000636	XP_034171358.1, XP_034171359.1	XP_033337078.1
OG0000637	XP_034179135.1, XP_034179129.1	XP_033340677.1, XP_033340678.1
OG0000638	XP_034171440.1	XP_033337807.1
OG0000640	XP_034182134.1, XP_034182095.1	XP_033340428.1, XP_033340427.1
OG0000641	XP_034176994.1	XP_033328207.1, XP_033328205.1, XP_033328206.1, XP_033328204.1
OG0000642	XP_034176891.1	XP_033328081.1, XP_033328080.1, XP_033328082.1
OG0000643	XP_034172487.1	XP_033328675.1
OG0000644	XP_034172957.1, XP_034172955.1, XP_034172959.1, XP_034172958.1, XP_034172960.1	XP_033341546.1
OG0000645	XP_034173222.1, XP_034173221.1	XP_033340238.1, XP_033340239.1, XP_033340240.1
OG0000646	XP_034172087.1, XP_034172085.1, XP_034172086.1, XP_034172084.1	XP_033326203.1
OG0000647	XP_034180463.1	XP_033337476.1
OG0000648	XP_034188519.1, XP_034188520.1	XP_033323093.1
OG0000649	XP_034194259.1, XP_034194260.1	XP_033322186.1
OG0000650	XP_034194386.1	XP_033331249.1, XP_033331248.1, XP_033331246.1, XP_033331247.1
OG0000651	XP_034177471.1, XP_034177470.1, XP_034177468.1, XP_034177472.1, XP_034177467.1	XP_033328214.1
OG0000652	XP_034176763.1	XP_033323828.1
OG0000653	XP_034177828.1, XP_034177827.1	XP_033332092.1, XP_033332091.1, XP_033332090.1
OG0000654	XP_034185188.1	XP_033327490.1, XP_033327491.1
OG0000655	XP_034185794.1, XP_034185795.1, XP_034185793.1	XP_033325385.1
OG0000656	XP_034176207.1, XP_034176206.1	XP_033337175.1, XP_033322891.1, XP_033322893.1, XP_033322890.1, XP_033322889.1, XP_033322892.1
OG0000657	XP_034178797.1, XP_034178798.1	XP_033330257.1, XP_033330258.1
OG0000658	XP_034191178.1, XP_034191180.1, XP_034191179.1	XP_033338547.1, XP_033339979.1
OG0000659	XP_034177301.1	XP_033332768.1, XP_033333935.1, XP_033328277.1, XP_033333395.1
OG0000660	XP_034181991.1, XP_034182093.1, XP_034188450.1	XP_033331183.1
OG0000661	XP_034173685.1, XP_034173680.1	XP_033336951.1, XP_033336953.1
OG0000662	XP_034187442.1, XP_034187440.1, XP_034187441.1, XP_034187443.1, XP_034187444.1	XP_033338096.1, XP_033338056.1
OG0000663	XP_034187462.1	XP_033336917.1
OG0000664	XP_034192603.1	XP_033328279.1
OG0000665	XP_034192076.1	XP_033329156.1, XP_033329157.1
OG0000666	XP_034189804.1, XP_034189800.1, XP_034189801.1, XP_034189803.1	XP_033325395.1
OG0000668	XP_034183218.1, XP_034183215.1, XP_034183216.1, XP_034183214.1, XP_034183219.1	XP_033335425.1
OG0000669	XP_034178586.1	XP_033330233.1
OG0000669	XP_034178264.1	XP_033330234.1
OG0000670	XP_034178827.1	XP_033328474.1, XP_033328482.1
OG0000671	XP_034191527.1	XP_033330882.1, XP_033330881.1, XP_033330888.1
OG0000672	XP_034191073.1, XP_034191074.1, XP_034191076.1	XP_033335476.1, XP_033335477.1
OG0000673	XP_034190142.1, XP_034190143.1	XP_033323558.1, XP_033323560.1, XP_033323559.1
OG0000674	XP_034173572.1, XP_034173571.1	XP_033328909.1, XP_033328905.1, XP_033328904.1
OG0000675	XP_034173230.1	XP_033325266.1, XP_033325265.1, XP_033325263.1, XP_033325259.1, XP_033325258.1, XP_033325264.1, XP_033325260.1, XP_033325261.1
OG0000676	XP_034172746.1	XP_033328780.1
OG0000677	XP_034171736.1	XP_033341802.1, XP_033341800.1, XP_033341801.1
OG0000678	XP_034195489.1	XP_033340635.1, XP_033340636.1
OG0000679	XP_034180556.1, XP_034180557.1, XP_034180553.1, XP_034180555.1	XP_033336680.1
OG0000680	XP_034179750.1, XP_034179749.1, XP_034179747.1	XP_033340870.1, XP_033340852.1, XP_033340841.1, XP_033340830.1, XP_033340861.1
OG0000681	XP_034191163.1, XP_034191173.1, XP_034191149.1, XP_034191190.1, XP_034191181.1	XP_033340425.1, XP_033340424.1, XP_033340426.1, XP_033340421.1, XP_033340423.1, XP_033340422.1
OG0000682	XP_034183453.1	XP_033340575.1, XP_033340576.1
OG0000684	XP_034195101.1, XP_034195102.1	XP_033326795.1
OG0000685	XP_034193510.1	XP_033326905.1
OG0000686	XP_034172970.1, XP_034172968.1	XP_033332593.1, XP_033332595.1, XP_033332594.1
OG0000687	XP_034191756.1	XP_033333010.1, XP_033333008.1, XP_033333009.1
OG0000688	XP_034192767.1	XP_033328117.1
OG0000689	XP_034171825.1	XP_033321579.1
OG0000690	XP_034183646.1, XP_034183636.1, XP_034183695.1, XP_034183664.1, XP_034183684.1, XP_034183674.1, XP_034183656.1	XP_033334350.1, XP_033334349.1, XP_033334348.1
OG0000691	XP_034194059.1, XP_034192279.1, XP_034194085.1	XP_033336685.1
OG0000695	XP_034175458.1, XP_034175459.1	XP_033342543.1
OG0000696	XP_034183260.1	XP_033332837.1
OG0000697	XP_034184142.1, XP_034184131.1	XP_033333372.1, XP_033333373.1, XP_033333371.1, XP_033333370.1, XP_033333369.1
OG0000698	XP_034191711.1, XP_034191710.1, XP_034191712.1	XP_033336253.1
OG0000699	XP_034187754.1, XP_034187747.1	XP_033323507.1
OG0000700	XP_034174208.1, XP_034174209.1	XP_033343077.1
OG0000701	XP_034183092.1	XP_033332549.1, XP_033332548.1
OG0000702	XP_034178161.1	XP_033331300.1, XP_033331326.1
OG0000703	XP_034186138.1, XP_034186140.1, XP_034186139.1	XP_033330421.1, XP_033330423.1
OG0000704	XP_034177866.1	XP_033337143.1, XP_033337144.1
OG0000705	XP_034180954.1, XP_034175682.1, XP_034180941.1	XP_033332976.1, XP_033328502.1, XP_033328457.1
OG0000706	XP_034195825.1	XP_033343080.1, XP_033343079.1, XP_033343082.1, XP_033343081.1, XP_033320769.1, XP_033333797.1
OG0000708	XP_034176745.1, XP_034176747.1, XP_034176746.1	XP_033332718.1
OG0000710	XP_034188946.1, XP_034188936.1, XP_034188925.1	XP_033340348.1, XP_033340347.1
OG0000711	XP_034183232.1	XP_033335227.1
OG0000712	XP_034178048.1, XP_034178506.1, XP_034178245.1	XP_033331531.1, XP_033331534.1, XP_033331551.1, XP_033331553.1, XP_033331552.1
OG0000713	XP_034196407.1, XP_034196406.1	XP_033333843.1
OG0000714	XP_034175765.1, XP_034175764.1, XP_034175762.1, XP_034175761.1, XP_034175760.1, XP_034175763.1	XP_033334701.1
OG0000715	XP_034177248.1	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000717	XP_034175309.1, XP_034175310.1, XP_034175311.1	XP_033342830.1
OG0000719	XP_034194471.1	XP_033321653.1
OG0000720	XP_034188037.1, XP_034187881.1	XP_033332942.1
OG0000721	XP_034181156.1	XP_033329526.1
OG0000722	XP_034183765.1	XP_033340721.1, XP_033340723.1, XP_033340720.1, XP_033340719.1, XP_033340722.1
OG0000723	XP_034178602.1, XP_034178601.1, XP_034178604.1, XP_034178603.1	XP_033339147.1
OG0000724	XP_034179888.1, XP_034179887.1	XP_033326796.1
OG0000725	XP_034183408.1, XP_034183409.1, XP_034183410.1, XP_034183407.1	XP_033321000.1, XP_033320999.1
OG0000726	XP_034174741.1	XP_033333433.1, XP_033333432.1
OG0000727	XP_034175619.1, XP_034175618.1	XP_033341746.1
OG0000728	XP_034187817.1	XP_033332206.1
OG0000728	XP_034187812.1	XP_033332201.1
OG0000729	XP_034187227.1	XP_033330604.1, XP_033330611.1
OG0000730	XP_034170890.1, XP_034170855.1	XP_033331143.1, XP_033331168.1
OG0000731	XP_034185802.1	XP_033320986.1, XP_033320987.1, XP_033320989.1, XP_033320988.1
OG0000732	XP_034186170.1, XP_034186171.1, XP_034186172.1	XP_033320886.1
OG0000733	XP_034178166.1, XP_034178167.1	XP_033330170.1, XP_033330171.1
OG0000734	XP_034190517.1, XP_034190516.1	XP_033332637.1
OG0000735	XP_034184794.1	XP_033332638.1
OG0000736	XP_034184862.1	XP_033327329.1
OG0000737	XP_034190695.1	XP_033327585.1
OG0000738	XP_034182718.1	XP_033338267.1
OG0000739	XP_034188292.1	XP_033323132.1
OG0000740	XP_034186253.1	XP_033320919.1
OG0000741	XP_034193156.1, XP_034193150.1, XP_034193143.1, XP_034193134.1, XP_034193124.1	XP_033323485.1, XP_033323486.1, XP_033323484.1
OG0000742	XP_034196662.1, XP_034196661.1, XP_034196667.1, XP_034196670.1	XP_033332268.1, XP_033332265.1
OG0000743	XP_034172655.1, XP_034172647.1	XP_033333462.1, XP_033333461.1, XP_033333460.1
OG0000744	XP_034184114.1	XP_033331589.1
OG0000745	XP_034180436.1, XP_034180437.1, XP_034180435.1	XP_033331572.1, XP_033331573.1
OG0000746	XP_034176850.1, XP_034176842.1	XP_033338984.1, XP_033338982.1
OG0000747	XP_034190671.1, XP_034190673.1	XP_033335547.1, XP_033335545.1
OG0000748	XP_034183371.1, XP_034183372.1	XP_033331565.1, XP_033339903.1, XP_033331725.1
OG0000749	XP_034180300.1	XP_033336594.1
OG0000750	XP_034193886.1, XP_034193889.1, XP_034193888.1, XP_034193887.1, XP_034193890.1	XP_033339970.1, XP_033339972.1, XP_033339969.1
OG0000751	XP_034193905.1	XP_033339830.1, XP_033327677.1, XP_033327676.1
OG0000752	XP_034179540.1	XP_033342708.1
OG0000753	XP_034176732.1	XP_033327843.1
OG0000754	XP_034175885.1	XP_033334699.1, XP_033334698.1
OG0000755	XP_034176194.1	XP_033334769.1
OG0000755	XP_034176190.1	XP_033334766.1
OG0000756	XP_034180316.1, XP_034180317.1	XP_033335974.1, XP_033335975.1, XP_033335973.1, XP_033335976.1
OG0000757	XP_034183208.1, XP_034183202.1	XP_033338406.1
OG0000758	XP_034180776.1, XP_034180777.1	XP_033335751.1
OG0000759	XP_034185707.1, XP_034185708.1	XP_033340608.1, XP_033340606.1, XP_033340607.1
OG0000760	XP_034175140.1	XP_033342552.1
OG0000761	XP_034176110.1	XP_033334633.1, XP_033334627.1, XP_033334626.1
OG0000762	XP_034193133.1, XP_034193129.1	XP_033342242.1, XP_033342249.1, XP_033342247.1
OG0000763	XP_034193288.1	XP_033342275.1, XP_033342278.1
OG0000764	XP_034184442.1, XP_034184443.1, XP_034184444.1	XP_033325800.1, XP_033325799.1
OG0000765	XP_034184198.1, XP_034184197.1	XP_033327875.1, XP_033327869.1
OG0000766	XP_034181939.1, XP_034181934.1, XP_034181938.1	XP_033323260.1, XP_033323265.1
OG0000767	XP_034187277.1	XP_033330871.1
OG0000768	XP_034195518.1, XP_034195533.1, XP_034195526.1	XP_033328897.1
OG0000769	XP_034175165.1	XP_033331986.1, XP_033331993.1
OG0000770	XP_034171367.1	XP_033337445.1, XP_033337416.1, XP_033337435.1, XP_033337454.1, XP_033337426.1, XP_033337407.1
OG0000771	XP_034191289.1, XP_034191290.1, XP_034191291.1, XP_034191292.1, XP_034191288.1	XP_033332433.1
OG0000772	XP_034175520.1	XP_033342437.1
OG0000773	XP_034172458.1, XP_034172455.1	XP_033328508.1
OG0000774	XP_034195581.1	XP_033329072.1, XP_033329071.1, XP_033329069.1, XP_033329070.1, XP_033329073.1
OG0000775	XP_034173083.1	XP_033328517.1, XP_033328521.1
OG0000776	XP_034172861.1	XP_033341184.1, XP_033341183.1, XP_033341185.1
OG0000777	XP_034189598.1	XP_033337729.1, XP_033337731.1
OG0000778	XP_034189611.1, XP_034189614.1	XP_033330489.1
OG0000779	XP_034173998.1	XP_033329806.1, XP_033329807.1
OG0000780	XP_034192239.1, XP_034192238.1	XP_033327238.1, XP_033327239.1, XP_033327240.1, XP_033327241.1, XP_033327237.1
OG0000781	XP_034176208.1	XP_033333808.1, XP_033333809.1
OG0000782	XP_034170930.1, XP_034170931.1, XP_034170927.1, XP_034170929.1	XP_033338220.1, XP_033338219.1, XP_033338222.1
OG0000783	XP_034188178.1, XP_034188179.1, XP_034188177.1	XP_033322137.1
OG0000784	XP_034174560.1	XP_033323509.1
OG0000784	XP_034174564.1	XP_033323512.1
OG0000785	XP_034196013.1	XP_033333871.1, XP_033333872.1, XP_033333874.1, XP_033333875.1
OG0000786	XP_034171613.1, XP_034171612.1, XP_034171611.1, XP_034171609.1, XP_034171608.1	XP_033339728.1
OG0000787	XP_034193953.1	XP_033322776.1, XP_033322775.1, XP_033322778.1, XP_033322779.1, XP_033322777.1
OG0000788	XP_034173439.1	XP_033321164.1
OG0000789	XP_034183001.1	XP_033338360.1, XP_033338364.1, XP_033338363.1, XP_033338362.1, XP_033338361.1
OG0000790	XP_034178431.1, XP_034178176.1, XP_034178177.1, XP_034178427.1, XP_034178570.1	XP_033333782.1
OG0000791	XP_034180799.1	XP_033336322.1
OG0000792	XP_034180234.1, XP_034180236.1	XP_033335848.1
OG0000793	XP_034191212.1	XP_033338710.1, XP_033338712.1
OG0000794	XP_034172570.1, XP_034172571.1, XP_034172568.1, XP_034172569.1	XP_033323992.1, XP_033327288.1
OG0000796	XP_034189121.1, XP_034189122.1	XP_033342109.1
OG0000797	XP_034188563.1, XP_034188565.1	XP_033338253.1
OG0000798	XP_034174008.1, XP_034174007.1	XP_033336365.1, XP_033336374.1
OG0000800	XP_034173975.1	XP_033341698.1, XP_033329805.1, XP_033329804.1, XP_033329803.1, XP_033329802.1, XP_033329801.1
OG0000801	XP_034176890.1	XP_033328060.1, XP_033328061.1, XP_033328063.1, XP_033328064.1, XP_033328065.1, XP_033328062.1
OG0000802	XP_034192835.1, XP_034192857.1	XP_033333084.1
OG0000803	XP_034176976.1, XP_034176979.1, XP_034176978.1	XP_033334018.1
OG0000804	XP_034195871.1, XP_034195866.1, XP_034195868.1, XP_034195867.1	XP_033330443.1, XP_033330441.1
OG0000805	XP_034181520.1, XP_034181608.1, XP_034181434.1	XP_033341026.1
OG0000806	XP_034177264.1, XP_034177257.1, XP_034177271.1	XP_033331905.1
OG0000807	XP_034195636.1, XP_034195681.1, XP_034195661.1, XP_034195645.1, XP_034195654.1, XP_034195723.1, XP_034195691.1, XP_034195702.1, XP_034195713.1, XP_034195670.1	XP_033328439.1
OG0000808	XP_034190635.1	XP_033337605.1, XP_033337604.1
OG0000809	XP_034171441.1, XP_034171442.1, XP_034171443.1, XP_034171444.1, XP_034171445.1, XP_034171446.1	XP_033337831.1
OG0000810	XP_034185651.1	XP_033334733.1, XP_033334735.1
OG0000810	XP_034175070.1	XP_033324009.1
OG0000811	XP_034183463.1	XP_033331686.1
OG0000812	XP_034173017.1, XP_034173016.1	XP_033341233.1
OG0000814	XP_034193628.1	XP_033324764.1
OG0000814	XP_034193627.1	XP_033324767.1
OG0000815	XP_034179080.1	XP_033322308.1, XP_033322307.1, XP_033322311.1, XP_033322312.1, XP_033322309.1, XP_033322310.1
OG0000817	XP_034193857.1, XP_034193859.1	XP_033341571.1, XP_033341573.1
OG0000818	XP_034186565.1, XP_034186567.1	XP_033324424.1
OG0000819	XP_034186553.1	XP_033338314.1
OG0000820	XP_034175250.1	XP_033332177.1
OG0000821	XP_034188751.1, XP_034188750.1, XP_034188749.1	XP_033327789.1
OG0000822	XP_034191349.1, XP_034191350.1	XP_033340004.1
OG0000823	XP_034178077.1	XP_033332241.1, XP_033332240.1, XP_033332239.1, XP_033332238.1
OG0000824	XP_034194104.1, XP_034194105.1, XP_034184785.1	XP_033337458.1
OG0000825	XP_034174258.1, XP_034174259.1, XP_034174256.1	XP_033326716.1
OG0000826	XP_034193102.1	XP_033331059.1
OG0000827	XP_034182770.1, XP_034182761.1	XP_033328423.1, XP_033328424.1, XP_033328425.1
OG0000828	XP_034187508.1, XP_034187499.1, XP_034187517.1	XP_033339157.1, XP_033339234.1, XP_033339235.1
OG0000829	XP_034175912.1, XP_034175902.1, XP_034175922.1, XP_034175892.1, XP_034175930.1	XP_033334343.1
OG0000830	XP_034196051.1, XP_034196052.1	XP_033328704.1, XP_033328703.1
OG0000831	XP_034179986.1, XP_034179987.1, XP_034179988.1, XP_034179989.1	XP_033330827.1
OG0000832	XP_034195090.1	XP_033326787.1
OG0000833	XP_034172075.1	XP_033328341.1
OG0000834	XP_034187646.1, XP_034187647.1	XP_033327130.1, XP_033327128.1
OG0000835	XP_034191069.1	XP_033335517.1
OG0000836	XP_034181891.1, XP_034181893.1, XP_034181892.1	XP_033333048.1, XP_033333042.1, XP_033333041.1, XP_033333043.1, XP_033333045.1, XP_033333047.1, XP_033333046.1
OG0000837	XP_034189101.1	XP_033341972.1
OG0000838	XP_034195081.1	XP_033322449.1
OG0000839	XP_034194904.1, XP_034194894.1, XP_034194885.1	XP_033331056.1
OG0000840	XP_034172491.1	XP_033328812.1, XP_033328681.1, XP_033328680.1, XP_033328682.1
OG0000841	XP_034190777.1	XP_033325185.1
OG0000842	XP_034190760.1	XP_033325168.1, XP_033325169.1
OG0000843	XP_034185036.1, XP_034185037.1, XP_034185034.1, XP_034185035.1	XP_033327524.1, XP_033327522.1, XP_033327525.1, XP_033327526.1
OG0000845	XP_034184254.1	XP_033327926.1, XP_033327925.1, XP_033327927.1, XP_033327928.1
OG0000847	XP_034189472.1	XP_033325936.1, XP_033325938.1, XP_033325939.1, XP_033325937.1
OG0000848	XP_034182139.1	XP_033321712.1
OG0000849	XP_034193019.1	XP_033324591.1, XP_033339653.1
OG0000850	XP_034192535.1, XP_034192533.1, XP_034192532.1	XP_033329580.1
OG0000851	XP_034176239.1, XP_034176243.1	XP_033342852.1, XP_033342851.1
OG0000852	XP_034172297.1, XP_034172296.1	XP_033338735.1
OG0000853	XP_034195539.1	XP_033333560.1
OG0000854	XP_034170830.1	XP_033339724.1
OG0000855	XP_034171826.1	XP_033321506.1
OG0000856	XP_034188952.1, XP_034188951.1	XP_033325565.1
OG0000857	XP_034190990.1, XP_034190987.1, XP_034190988.1	XP_033338486.1, XP_033338487.1, XP_033338488.1
OG0000858	XP_034177182.1, XP_034177181.1	XP_033337157.1
OG0000859	XP_034184014.1, XP_034184015.1	XP_033321210.1
OG0000860	XP_034192271.1, XP_034192267.1	XP_033329141.1, XP_033329142.1
OG0000861	XP_034189050.1, XP_034188926.1	XP_033331781.1
OG0000862	XP_034172973.1, XP_034172972.1	XP_033338268.1
OG0000863	XP_034189345.1, XP_034189348.1, XP_034189347.1, XP_034189344.1, XP_034189350.1, XP_034189351.1, XP_034189346.1	XP_033325688.1
OG0000864	XP_034187309.1	XP_033332321.1, XP_033332320.1, XP_033332324.1, XP_033332323.1, XP_033332322.1
OG0000865	XP_034193209.1	XP_033335149.1
OG0000866	XP_034193848.1	XP_033324607.1, XP_033341785.1
OG0000867	XP_034192428.1	XP_033337519.1
OG0000868	XP_034191932.1	XP_033336171.1, XP_033336175.1, XP_033336176.1, XP_033336173.1, XP_033336174.1, XP_033336172.1, XP_033336177.1
OG0000869	XP_034181053.1, XP_034181054.1	XP_033333213.1
OG0000870	XP_034174524.1, XP_034174523.1, XP_034174525.1, XP_034174528.1, XP_034174529.1, XP_034174526.1, XP_034174522.1, XP_034174527.1	XP_033336856.1
OG0000871	XP_034191726.1	XP_033336445.1
OG0000873	XP_034195494.1, XP_034195493.1	XP_033322852.1, XP_033322851.1, XP_033322853.1
OG0000874	XP_034182492.1, XP_034182496.1, XP_034182503.1	XP_033327361.1, XP_033327441.1
OG0000875	XP_034196154.1	XP_033331099.1
OG0000875	XP_034196153.1	XP_033331097.1
OG0000876	XP_034185619.1, XP_034185618.1, XP_034185617.1	XP_033322096.1, XP_033322105.1
OG0000877	XP_034196139.1	XP_033326933.1
OG0000878	XP_034184776.1, XP_034184777.1, XP_034184775.1, XP_034184778.1, XP_034184779.1	XP_033329978.1, XP_033329977.1
OG0000880	XP_034181518.1	XP_033329658.1, XP_033329659.1
OG0000881	XP_034193938.1	XP_033324878.1
OG0000882	XP_034178873.1	XP_033339427.1, XP_033339424.1, XP_033339425.1, XP_033339430.1, XP_033339428.1, XP_033339429.1, XP_033339426.1
OG0000883	XP_034193522.1, XP_034193521.1, XP_034193523.1	XP_033321116.1
OG0000884	XP_034185828.1	XP_033320960.1
OG0000885	XP_034174918.1, XP_034174917.1	XP_033331677.1, XP_033331674.1, XP_033331675.1, XP_033331673.1, XP_033331678.1
OG0000886	XP_034182814.1, XP_034182815.1	XP_033331284.1
OG0000887	XP_034188670.1, XP_034188672.1, XP_034188673.1	XP_033334407.1, XP_033334406.1
OG0000888	XP_034171982.1, XP_034171977.1	XP_033331975.1
OG0000889	XP_034183078.1, XP_034183070.1	XP_033335482.1, XP_033335487.1
OG0000890	XP_034189352.1	XP_033325593.1
OG0000891	XP_034191955.1	XP_033330410.1
OG0000892	XP_034183228.1, XP_034183229.1	XP_033335225.1, XP_033335226.1, XP_033335224.1
OG0000893	XP_034187249.1, XP_034187250.1	XP_033325300.1, XP_033325301.1
OG0000894	XP_034193488.1	XP_033323187.1, XP_033323195.1
OG0000895	XP_034180983.1	XP_033329555.1
OG0000896	XP_034195449.1, XP_034195450.1	XP_033323774.1, XP_033323773.1
OG0000897	XP_034177189.1	XP_033327829.1
OG0000898	XP_034176422.1	XP_033334835.1
OG0000899	XP_034185914.1, XP_034185915.1, XP_034185916.1, XP_034185917.1	XP_033325483.1
OG0000900	XP_034177286.1, XP_034177285.1	XP_033327991.1
OG0000901	XP_034192018.1, XP_034192019.1	XP_033336285.1, XP_033336289.1, XP_033336288.1, XP_033336287.1, XP_033336286.1
OG0000902	XP_034180023.1	XP_033336118.1, XP_033336119.1
OG0000903	XP_034173958.1, XP_034173957.1, XP_034173960.1, XP_034173959.1	XP_033326490.1, XP_033326488.1
OG0000904	XP_034189740.1	XP_033325494.1
OG0000904	XP_034189742.1	XP_033325497.1
OG0000905	XP_034193378.1, XP_034193377.1	XP_033335113.1
OG0000906	XP_034188634.1, XP_034188624.1, XP_034188629.1	XP_033329838.1
OG0000907	XP_034174198.1, XP_034174199.1, XP_034174200.1	XP_033329773.1
OG0000908	XP_034187690.1, XP_034187692.1, XP_034187691.1, XP_034187695.1, XP_034187694.1, XP_034187693.1, XP_034187696.1, XP_034187689.1	XP_033338085.1
OG0000909	XP_034192716.1	XP_033321225.1, XP_033321223.1, XP_033321222.1, XP_033321226.1
OG0000910	XP_034192951.1, XP_034192952.1, XP_034192950.1	XP_033331135.1
OG0000911	XP_034191066.1	XP_033337146.1
OG0000912	XP_034181837.1, XP_034181744.1	XP_033340604.1
OG0000913	XP_034172908.1	XP_033328947.1
OG0000914	XP_034187202.1	XP_033324547.1, XP_033324546.1, XP_033338277.1
OG0000915	XP_034194753.1, XP_034194754.1, XP_034194755.1, XP_034194752.1	XP_033333962.1
OG0000916	XP_034173012.1	XP_033328825.1, XP_033328824.1
OG0000917	XP_034172680.1, XP_034172681.1	XP_033340054.1, XP_033340055.1
OG0000918	XP_034172967.1	XP_033332587.1
OG0000919	XP_034189974.1	XP_033340702.1
OG0000920	XP_034181925.1, XP_034181930.1	XP_033323213.1
OG0000921	XP_034172791.1, XP_034172775.1, XP_034172796.1, XP_034172794.1, XP_034172790.1	XP_033341205.1, XP_033341217.1, XP_033341216.1
OG0000922	XP_034173381.1	XP_033341427.1
OG0000923	XP_034187640.1, XP_034187639.1, XP_034187638.1	XP_033327106.1
OG0000924	XP_034196106.1, XP_034196107.1, XP_034196105.1, XP_034196104.1	XP_033322688.1
OG0000925	XP_034195935.1	XP_033329155.1
OG0000926	XP_034175257.1	XP_033343130.1
OG0000927	XP_034190475.1, XP_034190474.1	XP_033329930.1, XP_033329929.1
OG0000928	XP_034181183.1, XP_034181181.1	XP_033332755.1
OG0000929	XP_034181621.1	XP_033323480.1
OG0000929	XP_034181619.1	XP_033323479.1, XP_033338191.1
OG0000930	XP_034184088.1	XP_033331759.1
OG0000931	XP_034184517.1	XP_033334373.1
OG0000932	XP_034186058.1	XP_033325927.1
OG0000933	XP_034176393.1	XP_033335121.1, XP_033335117.1
OG0000934	XP_034175962.1	XP_033335046.1, XP_033335047.1
OG0000935	XP_034175880.1	XP_033334669.1, XP_033334666.1
OG0000936	XP_034194613.1, XP_034194629.1, XP_034194620.1	XP_033340793.1
OG0000937	XP_034180057.1, XP_034180034.1	XP_033331889.1, XP_033331891.1, XP_033331890.1
OG0000938	XP_034193793.1	XP_033341462.1
