Orthogroup	Osmia_lignaria	Megachile_rotundata
OG0001037	XP_034179998.1, XP_034179999.1	XP_012139430.1, XP_012139431.1, XP_012139432.1, XP_003702747.1
OG0001039	XP_034181751.1, XP_034181753.1, XP_034181750.1	XP_012148261.1, XP_012148260.1, XP_003706559.1
OG0001040	XP_034176680.1	XP_012134503.1
OG0001040	XP_034176682.1	XP_012134505.1
OG0001041	XP_034188704.1	XP_012137294.1, XP_012137291.1, XP_012137292.1, XP_012137293.1, XP_003701848.1
OG0001042	XP_034176407.1, XP_034176406.1	XP_003700555.1
OG0001043	XP_034185427.1, XP_034185429.1, XP_034185430.1, XP_034185428.1	XP_003706474.1, XP_012148062.1
OG0001044	XP_034176002.1, XP_034176001.1, XP_034176000.1, XP_034176003.1	XP_012138724.1
OG0001045	XP_034181845.1	XP_012145939.1, XP_012145938.1, XP_012145937.1, XP_003705560.1, XP_012145940.1
OG0001046	XP_034182558.1	XP_003701680.2, XP_012136890.1, XP_012136891.1
OG0001047	XP_034175539.1	XP_003699509.1
OG0001048	XP_034183588.1	XP_012137827.1
OG0001049	XP_034174979.1	XP_003699327.1
OG0001050	XP_034189953.1	XP_012148971.1
OG0001051	XP_034190711.1, XP_034181180.1	XP_012148220.1, XP_003706552.1
OG0001052	XP_034186465.1, XP_034186447.1, XP_034186456.1	XP_003699586.1
OG0001053	XP_034178394.1	XP_012142698.1, XP_012142697.1, XP_003704286.2
OG0001054	XP_034189602.1	XP_003704645.1
OG0001055	XP_034179958.1, XP_034179948.1	XP_003705653.1
OG0001056	XP_034181793.1, XP_034181794.1	XP_003703560.1, XP_012141549.1, XP_012141550.1
OG0001057	XP_034191689.1	XP_003702432.1
OG0001058	XP_034180685.1, XP_034180684.1	XP_012145756.1, XP_012145755.1, XP_012145753.1, XP_012145752.1
OG0001059	XP_034195396.1, XP_034195397.1	XP_003705840.1
OG0001060	XP_034186398.1	XP_012144355.1
OG0001061	XP_034174654.1, XP_034174653.1	XP_003699542.1
OG0001062	XP_034192662.1	XP_012139095.1, XP_012139096.1
OG0001063	XP_034173025.1	XP_003707855.1
OG0001064	XP_034172208.1	XP_003707983.2
OG0001065	XP_034172692.1, XP_034172693.1	XP_003707987.1, XP_012151607.1
OG0001066	XP_034175606.1, XP_034175608.1, XP_034175607.1, XP_034175610.1, XP_034175609.1	XP_012153687.1, XP_012153688.1, XP_012153689.1
OG0001067	XP_034186781.1	XP_012154119.1
OG0001068	XP_034191082.1	XP_012154310.1
OG0001069	XP_034178379.1, XP_034178376.1, XP_034178378.1, XP_034178377.1, XP_034178375.1	XP_012142679.1
OG0001070	XP_034196103.1	XP_003702709.1
OG0001071	XP_034188920.1	XP_012137285.1, XP_012137282.1, XP_012137281.1, XP_012137283.1, XP_003701844.2
OG0001072	XP_034192556.1	XP_012144175.1
OG0001073	XP_034173171.1	XP_012144001.1, XP_012144002.1, XP_003704805.2
OG0001074	XP_034175638.1	XP_012153775.1, XP_003700247.1
OG0001075	XP_034173869.1, XP_034173870.1	XP_003703938.1, XP_012142021.1, XP_012142022.1
OG0001076	XP_034189305.1, XP_034189304.1, XP_034189302.1	XP_012137266.1
OG0001077	XP_034184060.1, XP_034184059.1, XP_034184061.1	XP_003704855.1
OG0001078	XP_034171771.1	XP_012136908.1
OG0001078	XP_034171766.1	XP_012136906.1
OG0001079	XP_034186980.1	XP_012145579.1
OG0001080	XP_034181334.1	XP_012150387.1
OG0001080	XP_034181332.1	XP_012150386.1
OG0001081	XP_034188588.1, XP_034188589.1, XP_034188590.1	XP_003703986.1
OG0001082	XP_034177563.1	XP_003702655.2
OG0001083	XP_034181197.1	XP_012141240.1
OG0001084	XP_034191779.1	XP_012149589.1
OG0001085	XP_034178206.1	XP_012140431.1
OG0001085	XP_034178196.1	XP_012140420.1
OG0001086	XP_034174532.1	XP_012139938.1, XP_003703036.2
OG0001087	XP_034181704.1, XP_034181703.1	XP_003703461.1
OG0001088	XP_034176624.1, XP_034176621.1	XP_012149815.1
OG0001089	XP_034181416.1	XP_012137698.1
OG0001090	XP_034184356.1	XP_012144304.1, XP_012144303.1, XP_012144299.1, XP_012144300.1, XP_012144301.1, XP_012144302.1, XP_003704835.2
OG0001091	XP_034176840.1	XP_003707309.1
OG0001092	XP_034180232.1	XP_012145774.1
OG0001092	XP_034180230.1	XP_012145771.1
OG0001092	XP_034180231.1	XP_012145773.1
OG0001093	XP_034179981.1	XP_012152472.1, XP_012152470.1
OG0001094	XP_034186474.1, XP_034186475.1, XP_034186473.1, XP_034186472.1	XP_012134772.1
OG0001095	XP_034192289.1	XP_012152090.1
OG0001096	XP_034187272.1	XP_012141994.1
OG0001097	XP_034183384.1	XP_003705766.1
OG0001098	XP_034183579.1	XP_012143744.1
OG0001099	XP_034188615.1	XP_012144602.1
OG0001100	XP_034182686.1, XP_034182681.1	XP_012142277.1
OG0001101	XP_034176481.1, XP_034176482.1, XP_034176480.1, XP_034176479.1	XP_003701005.1
OG0001102	XP_034194247.1	XP_012146706.1, XP_012146705.1
OG0001103	XP_034183564.1, XP_034183563.1	XP_012148730.1
OG0001104	XP_034190553.1	XP_003701202.2
OG0001105	XP_034177380.1	XP_012150123.1
OG0001106	XP_034187945.1	XP_003702016.1, XP_012137841.1
OG0001107	XP_034185650.1, XP_034185648.1, XP_034185647.1	XP_003706475.2
OG0001108	XP_034180827.1	XP_012139469.1
OG0001109	XP_034174988.1	XP_012148664.1, XP_003699964.1
OG0001110	XP_034175828.1	XP_003707683.1
OG0001111	XP_034175722.1	XP_003699969.1
OG0001112	XP_034193341.1	XP_003707788.1, XP_012151293.1
OG0001113	XP_034183310.1, XP_034183309.1	XP_012144469.1, XP_003704957.1
OG0001115	XP_034176880.1, XP_034176881.1	XP_012150304.1
OG0001116	XP_034188338.1	XP_003707715.1
OG0001117	XP_034179871.1	XP_003705651.2, XP_012146140.1
OG0001118	XP_034189209.1	XP_012136387.1
OG0001119	XP_034171095.1, XP_034171092.1, XP_034171093.1, XP_034171094.1	XP_003701474.1, XP_012136614.1, XP_012136613.1
OG0001120	XP_034196535.1	XP_003702256.1
OG0001121	XP_034189821.1	XP_003699500.1
OG0001122	XP_034187328.1, XP_034187330.1	XP_003706203.1, XP_012147468.1
OG0001123	XP_034195954.1	XP_012138005.1
OG0001123	XP_034195944.1	XP_003702049.1
OG0001124	XP_034195620.1, XP_034195619.1	XP_003703319.1, XP_012140843.1
OG0001126	XP_034176792.1, XP_034176719.1	XP_003703135.2, XP_012140106.1
OG0001127	XP_034177546.1, XP_034177547.1	XP_003702644.2
OG0001128	XP_034190993.1	XP_003704099.2
OG0001129	XP_034175212.1	XP_012151218.1
OG0001130	XP_034172986.1, XP_034172987.1	XP_012151415.1
OG0001131	XP_034196203.1	XP_012147112.1, XP_012147113.1
OG0001132	XP_034196187.1, XP_034196188.1	XP_012147136.1, XP_012147137.1, XP_012147135.1
OG0001133	XP_034181348.1, XP_034181349.1	XP_003706260.1
OG0001134	XP_034192977.1	XP_003700362.1
OG0001135	XP_034175210.1	XP_012149880.1
OG0001136	XP_034182732.1, XP_034182731.1	XP_003702361.1
OG0001137	XP_034174701.1	XP_012147462.1
OG0001138	XP_034177466.1	XP_012150017.1, XP_003707392.2, XP_012150018.1
OG0001140	XP_034196303.1, XP_034196305.1	XP_012140652.1, XP_012140648.1
OG0001141	XP_034191655.1	XP_012138608.1, XP_012138606.1, XP_003702421.1
OG0001142	XP_034174415.1	XP_012137795.1
OG0001142	XP_034174455.1	XP_003702211.2
OG0001143	XP_034190315.1, XP_034190314.1	XP_003701148.1
OG0001144	XP_034186841.1	XP_012151124.1
OG0001144	XP_034186832.1	XP_012151118.1
OG0001145	XP_034189745.1, XP_034189744.1	XP_012142853.1, XP_012142840.1, XP_003699702.1, XP_012142848.1
OG0001146	XP_034186303.1	XP_012137022.1, XP_012137021.1, XP_003701735.1
OG0001147	XP_034175216.1	XP_003707769.1
OG0001148	XP_034191690.1, XP_034191691.1, XP_034191692.1	XP_012145369.1
OG0001149	XP_034193605.1	XP_012146820.1, XP_012146826.1
OG0001150	XP_034186798.1, XP_034186796.1, XP_034186795.1, XP_034186797.1	XP_012154140.1
OG0001151	XP_034172736.1	XP_003707881.1
OG0001152	XP_034173732.1, XP_034173704.1, XP_034173742.1, XP_034173695.1, XP_034173714.1, XP_034173723.1	XP_003705673.2
OG0001153	XP_034189230.1, XP_034189228.1, XP_034189227.1	XP_003701533.1
OG0001154	XP_034170878.1, XP_034170876.1, XP_034170877.1	XP_003701846.1, XP_012137208.1
OG0001155	XP_034189367.1, XP_034189365.1, XP_034189366.1	XP_012138457.1, XP_012138459.1
OG0001156	XP_034187396.1	XP_012135000.1, XP_012135001.1
OG0001158	XP_034174541.1, XP_034174543.1, XP_034174540.1	XP_012143175.1
OG0001159	XP_034174695.1, XP_034174692.1, XP_034174696.1, XP_034174693.1	XP_003699538.1, XP_012139459.1
OG0001160	XP_034192982.1, XP_034192979.1	XP_012154021.1, XP_012154024.1
OG0001161	XP_034192954.1	XP_003703424.1
OG0001163	XP_034190495.1	XP_003705625.2
OG0001164	XP_034175603.1	XP_012143632.1, XP_012143633.1
OG0001165	XP_034177076.1	XP_012143859.1, XP_012143857.1, XP_012143858.1, XP_012143856.1, XP_003704700.1
OG0001166	XP_034192453.1	XP_012141360.1, XP_012141358.1, XP_003703511.1, XP_012141357.1, XP_012141359.1, XP_012141356.1
OG0001167	XP_034171515.1	XP_012137858.1, XP_012137860.1
OG0001169	XP_034185216.1	XP_012135767.1
OG0001170	XP_034171853.1	XP_003704534.2
OG0001171	XP_034188145.1	XP_012140962.1, XP_012140961.1, XP_012140960.1
OG0001172	XP_034190611.1, XP_034190610.1, XP_034190609.1, XP_034190608.1	XP_012135720.1
OG0001173	XP_034190466.1	XP_012150457.1, XP_012150459.1, XP_003707520.1, XP_012150458.1
OG0001174	XP_034184086.1	XP_012150816.1, XP_012150818.1
OG0001175	XP_034184392.1	XP_012153593.1
OG0001176	XP_034171787.1	XP_012144316.1
OG0001178	XP_034196043.1, XP_034196044.1	XP_012147057.1, XP_003706026.1, XP_012147058.1, XP_012147056.1
OG0001179	XP_034191718.1, XP_034191719.1, XP_034191717.1	XP_003704519.2
OG0001180	XP_034194866.1	XP_003700152.2
OG0001181	XP_034183551.1	XP_012143226.1
OG0001182	XP_034176105.1, XP_034176107.1, XP_034176104.1, XP_034176106.1	XP_012146443.1, XP_012146445.1, XP_003705729.1
OG0001183	XP_034193123.1	XP_012135023.1
OG0001184	XP_034177871.1, XP_034177863.1	XP_012153072.1
OG0001185	XP_034180850.1, XP_034181347.1	XP_003703430.1
OG0001186	XP_034175186.1, XP_034175181.1	XP_012146463.1, XP_012146468.1
OG0001187	XP_034193387.1, XP_034193385.1, XP_034193386.1	XP_012151254.1
OG0001188	XP_034193408.1	XP_012154565.1, XP_012154564.1, XP_003700626.1
OG0001189	XP_034190118.1, XP_034190109.1	XP_003704699.1, XP_012143830.1, XP_012143829.1
OG0001190	XP_034176127.1	XP_012153772.1
OG0001191	XP_034178580.1	XP_012142842.1, XP_012142844.1, XP_012142841.1
OG0001192	XP_034180067.1, XP_034180061.1	XP_012139566.1, XP_012139561.1
OG0001193	XP_034180626.1	XP_012152621.1, XP_012152622.1, XP_012152619.1, XP_012152620.1, XP_003708279.1, XP_012152623.1
OG0001194	XP_034191479.1	XP_003708349.1
OG0001195	XP_034193492.1, XP_034193493.1, XP_034193494.1	XP_012146860.1
OG0001196	XP_034178870.1	XP_003704174.1, XP_012142609.1, XP_012142610.1, XP_012142608.1
OG0001197	XP_034190845.1	XP_003700197.1, XP_012153263.1
OG0001199	XP_034192397.1	XP_003706643.1
OG0001201	XP_034181508.1	XP_003703664.2
OG0001202	XP_034194271.1	XP_003701743.1
OG0001203	XP_034183762.1	XP_012148872.1
OG0001203	XP_034183763.1	XP_012148874.1
OG0001204	XP_034175272.1, XP_034175271.1, XP_034175273.1	XP_012146389.1, XP_003705736.2, XP_012146390.1
OG0001205	XP_034180859.1	XP_003702754.1, XP_012139479.1
OG0001206	XP_034178872.1	XP_012148292.1
OG0001207	XP_034171631.1, XP_034171630.1	XP_003700849.1
OG0001208	XP_034182364.1, XP_034182370.1	XP_012151947.1, XP_012151952.1
OG0001209	XP_034181976.1	XP_003705016.1, XP_012144609.1, XP_012144611.1
OG0001210	XP_034192705.1, XP_034192704.1	XP_012139089.1, XP_003702672.1, XP_012139092.1, XP_012139091.1
OG0001211	XP_034184584.1	XP_012136967.1
OG0001212	XP_034172186.1, XP_034172185.1	XP_003703742.2
OG0001213	XP_034186953.1, XP_034186951.1, XP_034186952.1, XP_034186954.1, XP_034186955.1	XP_003700686.1, XP_012134904.1
OG0001214	XP_034175534.1, XP_034175535.1, XP_034175533.1	XP_003702464.1
OG0001215	XP_034191000.1	XP_003705366.1
OG0001216	XP_034193696.1	XP_003705899.1
OG0001217	XP_034175686.1	XP_003705734.1
OG0001218	XP_034189816.1	XP_003706861.1
OG0001220	XP_034182829.1, XP_034182826.1, XP_034182827.1	XP_003706128.1
OG0001221	XP_034187112.1, XP_034187111.1	XP_012154233.1, XP_003700416.1
OG0001222	XP_034185126.1, XP_034185125.1	XP_003705089.1, XP_012144822.1, XP_012144821.1
OG0001223	XP_034187966.1	XP_003707478.1
OG0001223	XP_034187994.1	XP_003706539.1
OG0001224	XP_034180332.1	XP_012144876.1, XP_012144883.1, XP_003699801.1, XP_012144890.1
OG0001225	XP_034189449.1	XP_012149409.1, XP_003706936.1
OG0001226	XP_034176494.1	XP_012148713.1, XP_012148708.1, XP_012148700.1
OG0001227	XP_034179763.1	XP_003708582.1
OG0001228	XP_034193972.1, XP_034193974.1	XP_012136253.1, XP_012136252.1, XP_003701434.1
OG0001229	XP_034173456.1, XP_034173457.1, XP_034173455.1, XP_034173454.1	XP_012151678.1, XP_012151680.1, XP_003707905.2
OG0001230	XP_034170853.1	XP_012139840.1, XP_003699567.1
OG0001230	XP_034171050.1	XP_012135224.1
OG0001231	XP_034176822.1, XP_034176827.1	XP_012150146.1, XP_012150144.1
OG0001232	XP_034194212.1	XP_012135376.1
OG0001235	XP_034184936.1	XP_003702734.1
OG0001236	XP_034187265.1	XP_003706605.2, XP_003706606.1
OG0001238	XP_034194705.1	XP_012151359.1
OG0001238	XP_034192564.1	XP_012152408.1
OG0001239	XP_034186982.1, XP_034186983.1, XP_034186893.1	XP_003704952.1
OG0001240	XP_034184018.1, XP_034184017.1	XP_003704983.1
OG0001241	XP_034192478.1, XP_034192479.1	XP_012141294.1
OG0001242	XP_034173498.1	XP_003703726.1, XP_003703814.1
OG0001243	XP_034185127.1	XP_012150716.1, XP_012150720.1
OG0001244	XP_034184813.1	XP_012135822.1, XP_003701133.1
OG0001245	XP_034194879.1	XP_012138596.1
OG0001246	XP_034178335.1	XP_012142934.1, XP_012142944.1
OG0001247	XP_034188597.1	XP_003704004.1, XP_012142144.1
OG0001248	XP_034171782.1	XP_012151826.1, XP_012150447.1
OG0001249	XP_034180812.1	XP_012145780.1, XP_012145782.1
OG0001249	XP_034180815.1	XP_012145781.1
OG0001250	XP_034188816.1, XP_034188817.1	XP_003705540.1, XP_012145915.1
OG0001251	XP_034188783.1	XP_003705538.1
OG0001252	XP_034178569.1	XP_003703219.2
OG0001253	XP_034177328.1	XP_003707397.1
OG0001254	XP_034174253.1	XP_003708412.1
OG0001254	XP_034174249.1	XP_012152807.1
OG0001255	XP_034180059.1	XP_012139865.1, XP_012139866.1, XP_012139868.1
OG0001256	XP_034181507.1	XP_003704721.1
OG0001257	XP_034173212.1, XP_034173213.1	XP_003706382.1, XP_012147976.1
OG0001258	XP_034175144.1	XP_012148125.1
OG0001259	XP_034193443.1	XP_012134731.1
OG0001260	XP_034193987.1	XP_003705943.2
OG0001261	XP_034180208.1, XP_034180207.1	XP_003705479.1
OG0001262	XP_034181900.1	XP_003703531.1
OG0001263	XP_034184185.1, XP_034184186.1	XP_003700119.1
OG0001264	XP_034179126.1	XP_012145932.1, XP_012145929.1, XP_012145930.1, XP_012145933.1, XP_012145931.1
OG0001266	XP_034173156.1	XP_012151472.1
OG0001267	XP_034193402.1, XP_034193401.1, XP_034193400.1	XP_003702570.1
OG0001268	XP_034172314.1	XP_003703099.1
OG0001269	XP_034196230.1, XP_034196231.1	XP_012140845.1, XP_003703409.1
OG0001270	XP_034180162.1, XP_034180163.1	XP_003702766.1, XP_012139517.1, XP_012139516.1
OG0001271	XP_034173765.1, XP_034173767.1	XP_003699473.1
OG0001272	XP_034176394.1	XP_012153814.1, XP_003700308.1
OG0001273	XP_034180714.1, XP_034180713.1	XP_003708303.1, XP_012152485.1
OG0001274	XP_034177697.1, XP_034177698.1	XP_003702647.1
OG0001275	XP_034171626.1	XP_003702389.1
OG0001276	XP_034191872.1	XP_012139802.1
OG0001277	XP_034173739.1, XP_034173738.1	XP_003706281.1
OG0001278	XP_034195603.1	XP_003701748.2
OG0001279	XP_034187045.1	XP_003700414.1
OG0001280	XP_034180468.1	XP_012137538.1, XP_012137537.1, XP_012137536.1, XP_003701953.1
OG0001281	XP_034186714.1	XP_012154366.1
OG0001282	XP_034188674.1	XP_003701699.1
OG0001283	XP_034188067.1	XP_012148167.1, XP_003706537.1
OG0001284	XP_034187833.1	XP_003699999.1
OG0001285	XP_034195846.1	XP_012140641.1
OG0001286	XP_034190124.1	XP_003706949.2
OG0001287	XP_034179572.1	XP_012143939.1
OG0001288	XP_034193719.1	XP_003705937.1
OG0001289	XP_034196237.1, XP_034196233.1	XP_012140849.1, XP_003703321.1
OG0001290	XP_034196542.1	XP_003706760.1
OG0001291	XP_034193278.1, XP_034193276.1, XP_034193279.1, XP_034193277.1, XP_034193275.1	XP_003699247.1
OG0001292	XP_034193077.1	XP_012154508.1
OG0001293	XP_034181986.1	XP_003708216.2
OG0001294	XP_034176774.1, XP_034176773.1	XP_012149996.1
OG0001295	XP_034189627.1	XP_003701048.2
OG0001296	XP_034194325.1, XP_034194324.1	XP_012152297.1, XP_012152296.1, XP_003708169.1, XP_012152295.1
OG0001297	XP_034187048.1	XP_003700454.1
OG0001298	XP_034187952.1, XP_034187953.1	XP_012150356.1
OG0001299	XP_034185047.1	XP_012138152.1
OG0001300	XP_034187102.1, XP_034187107.1	XP_012154220.1
OG0001301	XP_034178663.1, XP_034178662.1	XP_012142901.1
OG0001302	XP_034176454.1	XP_003705579.2
OG0001303	XP_034177885.1	XP_003708529.1
OG0001304	XP_034181860.1	XP_003703529.2
OG0001304	XP_034181859.1	XP_012141410.1
OG0001305	XP_034181484.1, XP_034181480.1, XP_034181482.1, XP_034181481.1, XP_034181483.1	XP_003703517.1, XP_012141375.1, XP_012141374.1
OG0001306	XP_034193513.1, XP_034193514.1, XP_034193512.1	XP_003706007.1
OG0001307	XP_034179783.1	XP_012142579.1
OG0001308	XP_034190667.1, XP_034190660.1, XP_034190665.1	XP_012135790.1
OG0001309	XP_034182780.1	XP_012147328.1
OG0001310	XP_034181669.1	XP_003703501.1
OG0001311	XP_034195003.1	XP_003706519.1
OG0001312	XP_034171705.1, XP_034171701.1	XP_012138174.1
OG0001313	XP_034176626.1	XP_003707239.2
OG0001314	XP_034184405.1	XP_012144281.1
OG0001315	XP_034177233.1, XP_034177234.1, XP_034177231.1, XP_034177232.1	XP_003701890.1
OG0001316	XP_034195487.1, XP_034195486.1	XP_003703377.1
OG0001317	XP_034195834.1	XP_003703415.1
OG0001318	XP_034187671.1	XP_003707819.2
OG0001319	XP_034174764.1	XP_012142005.1
OG0001320	XP_034178386.1, XP_034178385.1, XP_034178382.1, XP_034178384.1	XP_003704383.1
OG0001321	XP_034189905.1	XP_012146313.1, XP_003705703.1, XP_012146311.1
OG0001322	XP_034180732.1, XP_034180734.1	XP_012152504.1
OG0001323	XP_034183621.1	XP_012143743.1
OG0001323	XP_034183620.1	XP_003704657.1
OG0001324	XP_034183839.1	XP_012143735.1, XP_012143736.1, XP_012143737.1
OG0001325	XP_034188789.1, XP_034188788.1	XP_003706448.1
OG0001327	XP_034178888.1	XP_003704760.1
OG0001328	XP_034194014.1, XP_034194013.1	XP_012145397.1
OG0001329	XP_034182426.1	XP_003707710.1, XP_003707711.1
OG0001330	XP_034195446.1, XP_034195447.1	XP_012140761.1
OG0001331	XP_034177195.1	XP_012145185.1
OG0001332	XP_034175527.1, XP_034175528.1	XP_003702466.1
OG0001333	XP_034176053.1, XP_034176054.1	XP_012135871.1
OG0001334	XP_034176575.1, XP_034176574.1, XP_034176576.1	XP_012152776.1
OG0001335	XP_034185419.1	XP_012135902.1, XP_012135901.1, XP_003701151.1
OG0001336	XP_034180106.1, XP_034180104.1	XP_012139885.1
OG0001337	XP_034174071.1, XP_034174069.1, XP_034174070.1	XP_003706630.1
OG0001338	XP_034191134.1	XP_003708682.2
OG0001339	XP_034190880.1, XP_034190881.1	XP_012144417.1, XP_012144416.1, XP_012144418.1
OG0001340	XP_034187375.1, XP_034187374.1, XP_034187373.1	XP_012140344.1, XP_012140345.1
OG0001342	XP_034185210.1	XP_003701811.1
OG0001343	XP_034189933.1, XP_034189936.1, XP_034189934.1	XP_012149073.1, XP_003706849.1
OG0001344	XP_034175829.1	XP_012150954.1
OG0001345	XP_034175953.1, XP_034175952.1	XP_003699312.1
OG0001346	XP_034193306.1	XP_003699285.1
OG0001347	XP_034184819.1, XP_034184818.1	XP_012138858.1, XP_012138859.1
OG0001348	XP_034183352.1, XP_034183351.1	XP_012134945.1
OG0001349	XP_034184109.1	XP_012150814.1
OG0001350	XP_034177673.1, XP_034177667.1	XP_003707304.1
OG0001351	XP_034179531.1	XP_003708496.1
OG0001352	XP_034185494.1	XP_012147995.1, XP_003706445.1, XP_012147996.1
OG0001353	XP_034170945.1, XP_034170961.1	XP_012138228.1
OG0001354	XP_034181173.1	XP_003702186.1
OG0001355	XP_034182128.1, XP_034182129.1	XP_012145014.1
OG0001356	XP_034185637.1, XP_034185636.1	XP_012145876.1, XP_012145875.1, XP_003705527.1
OG0001357	XP_034187205.1, XP_034187214.1	XP_012151905.1, XP_012151904.1
OG0001358	XP_034173045.1, XP_034173053.1, XP_034173035.1	XP_012140181.1
OG0001359	XP_034172798.1	XP_003703109.1
OG0001360	XP_034196706.1, XP_034196702.1	XP_012136582.1, XP_003701567.1
OG0001361	XP_034171357.1, XP_034171356.1	XP_003702313.1
OG0001362	XP_034174260.1	XP_012152832.1
OG0001363	XP_034174220.1, XP_034174223.1	XP_012152829.1, XP_012152828.1
OG0001364	XP_034187449.1, XP_034187448.1	XP_012135007.1, XP_003700826.1, XP_012135006.1
OG0001365	XP_034180586.1	XP_003704488.1, XP_012143509.1
OG0001366	XP_034182092.1, XP_034182091.1	XP_012136815.1, XP_003701655.1
OG0001367	XP_034191256.1, XP_034191255.1	XP_003707837.1
OG0001368	XP_034182232.1, XP_034182249.1, XP_034182239.1	XP_003702091.1, XP_012138129.1
OG0001370	XP_034171935.1	XP_012150887.1
OG0001371	XP_034176964.1, XP_034176963.1	XP_012150032.1, XP_012150030.1
OG0001372	XP_034173049.1	XP_012151546.1, XP_012151547.1
OG0001373	XP_034195965.1, XP_034195962.1, XP_034195964.1, XP_034195966.1	XP_012140549.1, XP_012140548.1
OG0001374	XP_034173359.1, XP_034173358.1	XP_003708009.2
OG0001375	XP_034196419.1	XP_003702431.1
OG0001376	XP_034196446.1	XP_003706334.1, XP_012147718.1
OG0001377	XP_034173332.1, XP_034173325.1	XP_012147901.1, XP_012147905.1
OG0001379	XP_034172088.1	XP_012141843.1
OG0001380	XP_034180449.1	XP_012143326.1, XP_003704518.2
OG0001381	XP_034171620.1, XP_034171627.1, XP_034171610.1	XP_012137864.1
OG0001382	XP_034176380.1, XP_034176381.1	XP_012153832.1
OG0001383	XP_034177779.1	XP_003705277.1, XP_012145131.1
OG0001384	XP_034188459.1, XP_034188460.1, XP_034188458.1	XP_012142354.1, XP_012142355.1, XP_012142356.1, XP_003704077.1
OG0001385	XP_034188233.1, XP_034188232.1, XP_034188231.1	XP_003703999.1
OG0001386	XP_034172327.1	XP_012151831.1
OG0001387	XP_034194744.1	XP_012151089.1
OG0001388	XP_034173822.1	XP_012152907.1
OG0001390	XP_034193929.1, XP_034193920.1, XP_034193922.1, XP_034193939.1	XP_003703277.1
OG0001391	XP_034174694.1, XP_034174684.1, XP_034174674.1	XP_012140215.1, XP_003703080.1
OG0001393	XP_034184904.1	XP_003702735.2
OG0001394	XP_034173342.1	XP_012147899.1, XP_012147898.1, XP_012147900.1, XP_012147896.1, XP_003706359.1
OG0001395	XP_034177225.1	XP_012151581.1, XP_003700039.1
OG0001396	XP_034186738.1	XP_012151094.1
OG0001397	XP_034175786.1, XP_034175787.1, XP_034175788.1	XP_012154576.1
OG0001398	XP_034186922.1, XP_034186915.1	XP_012134675.1
OG0001399	XP_034183317.1	XP_003704958.2
OG0001399	XP_034183318.1	XP_012144468.1
OG0001400	XP_034183241.1, XP_034183242.1	XP_003701320.2, XP_012136118.1, XP_012136117.1
OG0001401	XP_034180491.1	XP_012139537.1
OG0001402	XP_034193897.1	XP_012136249.1, XP_012136243.1, XP_012136244.1
OG0001403	XP_034176992.1	XP_003706624.1
OG0001404	XP_034179269.1	XP_012153258.1
OG0001405	XP_034186799.1	XP_003700477.1
OG0001406	XP_034194475.1, XP_034194496.1	XP_012152385.1
OG0001407	XP_034170975.1	XP_012136785.1, XP_012136623.1, XP_012136622.1
OG0001408	XP_034196480.1	XP_003701501.1, XP_012136689.1
OG0001409	XP_034195631.1, XP_034195621.1	XP_012146068.1
OG0001410	XP_034190441.1	XP_012146153.1, XP_012146145.1
OG0001411	XP_034182282.1	XP_003708224.1
OG0001412	XP_034194363.1	XP_012152189.1
OG0001413	XP_034182058.1	XP_012136857.1, XP_012136858.1, XP_012136860.1, XP_012136859.1
OG0001414	XP_034188290.1	XP_012147615.1
OG0001415	XP_034194518.1	XP_012152247.1
OG0001416	XP_034194505.1	XP_012152228.1, XP_012152227.1, XP_003708194.2
OG0001417	XP_034173306.1	XP_012141645.1, XP_012141648.1, XP_012141647.1, XP_012141646.1
OG0001418	XP_034194764.1	XP_003708232.1
OG0001419	XP_034182135.1	XP_012142359.1, XP_012142360.1, XP_012142357.1, XP_012142358.1
OG0001420	XP_034187702.1, XP_034187701.1	XP_003706185.1
OG0001421	XP_034187334.1	XP_012134961.1
OG0001422	XP_034187821.1	XP_012134966.1
OG0001423	XP_034173990.1	XP_003703953.1, XP_012142104.1, XP_012142105.1
OG0001424	XP_034174559.1	XP_012142139.1, XP_012142128.1, XP_012142140.1
OG0001425	XP_034173951.1	XP_012141998.1
OG0001426	XP_034177088.1	XP_003707296.1
OG0001427	XP_034177781.1, XP_034177780.1	XP_003705225.1, XP_012145120.1
OG0001428	XP_034176980.1	XP_012150029.1, XP_012150341.1, XP_012150340.1
OG0001429	XP_034192926.1	XP_003700405.2, XP_012154064.1
OG0001430	XP_034177732.1, XP_034177731.1	XP_012137323.1
OG0001431	XP_034182957.1, XP_034182956.1, XP_034182958.1, XP_034182954.1, XP_034182955.1	XP_012143544.1, XP_003704582.1
OG0001432	XP_034187361.1, XP_034187370.1, XP_034187354.1, XP_034187380.1	XP_003706607.1
OG0001433	XP_034171117.1	XP_012138989.1, XP_012138990.1
OG0001434	XP_034194952.1, XP_034194946.1	XP_012146702.1
OG0001435	XP_034192320.1	XP_012148404.1
OG0001436	XP_034176616.1	XP_003707217.2
OG0001437	XP_034189287.1, XP_034189288.1	XP_012138984.1
OG0001438	XP_034175245.1, XP_034175244.1, XP_034175246.1	XP_012149746.1, XP_012149747.1
OG0001439	XP_034192088.1, XP_034192106.1	XP_012140521.1
OG0001440	XP_034196215.1	XP_012137832.1, XP_012137835.1
OG0001441	XP_034191939.1	XP_012143278.1, XP_003704557.1
