Orthogroup	Osmia_lignaria	Apis_mellifera
OG0001147	XP_034175216.1	XP_016770657.1, XP_026299394.1
OG0001148	XP_034191690.1, XP_034191691.1, XP_034191692.1	XP_026300741.1, XP_026300745.1, XP_026300743.1, XP_016771852.2, XP_026300744.1
OG0001149	XP_034193605.1	XP_016772196.2
OG0001150	XP_034186798.1, XP_034186796.1, XP_034186795.1, XP_034186797.1	XP_016772418.2
OG0001151	XP_034172736.1	XP_016772668.1
OG0001152	XP_034173732.1, XP_034173704.1, XP_034173742.1, XP_034173695.1, XP_034173714.1, XP_034173723.1	XP_016773366.1
OG0001153	XP_034189230.1, XP_034189228.1, XP_034189227.1	XP_016773594.2, XP_016773595.2
OG0001154	XP_034170878.1, XP_034170876.1, XP_034170877.1	XP_026294727.1
OG0001155	XP_034189367.1, XP_034189365.1, XP_034189366.1	XP_026294816.1
OG0001156	XP_034187396.1	XP_026295824.1
OG0001158	XP_034174541.1, XP_034174543.1, XP_034174540.1	XP_026296296.1, XP_026296289.1
OG0001159	XP_034174695.1, XP_034174692.1, XP_034174696.1, XP_034174693.1	XP_026296361.1
OG0001160	XP_034192982.1, XP_034192979.1	XP_026296677.1
OG0001161	XP_034192954.1	XP_026296914.1
OG0001162	XP_034189286.1	XP_026297068.1
OG0001163	XP_034190495.1	XP_026297130.1
OG0001164	XP_034175603.1	XP_026297445.1
OG0001165	XP_034177076.1	XP_026297486.1
OG0001166	XP_034192453.1	XP_026297487.1
OG0001167	XP_034171515.1	XP_026297541.1, XP_026297545.1
OG0001168	XP_034183109.1, XP_034183161.1, XP_034183169.1, XP_034183144.1, XP_034183178.1, XP_034183126.1, XP_034183154.1, XP_034183194.1, XP_034183135.1	XP_026297768.1
OG0001169	XP_034185216.1	XP_026298033.1
OG0001170	XP_034171853.1	XP_026298239.1, XP_026298240.1
OG0001171	XP_034188145.1	XP_026298259.1
OG0001172	XP_034190611.1, XP_034190610.1, XP_034190609.1, XP_034190608.1	XP_026298341.1
OG0001173	XP_034190466.1	XP_026298549.1
OG0001174	XP_034184086.1	XP_026298590.1
OG0001175	XP_034184392.1	XP_026298726.1
OG0001176	XP_034171787.1	XP_026298736.1
OG0001177	XP_034184559.1	XP_026298743.1
OG0001178	XP_034196043.1, XP_034196044.1	XP_026298830.1
OG0001179	XP_034191718.1, XP_034191719.1, XP_034191717.1	XP_026298834.1, XP_026298833.1
OG0001180	XP_034194866.1	XP_026298838.1
OG0001181	XP_034183551.1	XP_026299072.1
OG0001182	XP_034176105.1, XP_034176107.1, XP_034176104.1, XP_034176106.1	XP_026299374.1
OG0001183	XP_034193123.1	XP_026299509.1, XP_026299510.1
OG0001184	XP_034177871.1, XP_034177863.1	XP_026299555.1, XP_026299554.1, XP_026299556.1
OG0001185	XP_034180850.1, XP_034181347.1	XP_026299612.1
OG0001186	XP_034175186.1, XP_034175181.1	XP_026299663.1, XP_026299660.1
OG0001187	XP_034193387.1, XP_034193385.1, XP_034193386.1	XP_026299752.1
OG0001188	XP_034193408.1	XP_026299799.1
OG0001189	XP_034190118.1, XP_034190109.1	XP_026299887.1, XP_394248.2
OG0001190	XP_034176127.1	XP_026299903.1
OG0001191	XP_034178580.1	XP_026300579.1
OG0001192	XP_034180067.1, XP_034180061.1	XP_026300981.1
OG0001193	XP_034180626.1	XP_026300986.1
OG0001194	XP_034191479.1	XP_026300995.1
OG0001195	XP_034193492.1, XP_034193493.1, XP_034193494.1	XP_026301204.1
OG0001196	XP_034178870.1	XP_026301333.1, XP_026301332.1, XP_026301331.1
OG0001197	XP_034190845.1	XP_391934.3
OG0001199	XP_034192397.1	XP_393096.3
OG0001200	XP_034177307.1, XP_034177306.1, XP_034177308.1	XP_393196.4
OG0001201	XP_034181508.1	XP_393293.2
OG0001202	XP_034194271.1	XP_393301.3
OG0001203	XP_034183762.1, XP_034183763.1	XP_393727.2
OG0001204	XP_034175272.1, XP_034175271.1, XP_034175273.1	XP_393737.2
OG0001205	XP_034180859.1	XP_394040.3
OG0001206	XP_034178846.1	XP_394201.3
OG0001207	XP_034171631.1, XP_034171630.1	XP_394292.3
OG0001208	XP_034182364.1, XP_034182370.1	XP_394429.4
OG0001209	XP_034181976.1	XP_394440.3
OG0001210	XP_034192705.1, XP_034192704.1	XP_394859.1
OG0001211	XP_034184584.1	XP_395404.2
OG0001212	XP_034172186.1, XP_034172185.1	XP_395702.3
OG0001213	XP_034186953.1, XP_034186951.1, XP_034186952.1, XP_034186954.1, XP_034186955.1	XP_395752.2
OG0001214	XP_034175534.1, XP_034175535.1, XP_034175533.1	XP_396789.2
OG0001215	XP_034191000.1	XP_397127.5
OG0001216	XP_034193696.1	XP_397181.1
OG0001217	XP_034175686.1	XP_397379.4
OG0001218	XP_034189816.1	XP_623681.1
OG0001219	XP_034194880.1, XP_034186731.1	XP_624251.3
OG0001220	XP_034182829.1, XP_034182826.1, XP_034182827.1	XP_624457.1
OG0001221	XP_034187112.1, XP_034187111.1	XP_624707.2
OG0001222	XP_034185126.1, XP_034185125.1	XP_624872.2
OG0001223	XP_034187966.1	XP_624977.1
OG0001223	XP_034187994.1	XP_624964.1
OG0001224	XP_034180332.1	XP_625028.1
OG0001225	XP_034189449.1	XP_625037.1
OG0001226	XP_034176494.1	XP_625148.1
OG0001227	XP_034179763.1, XP_034179762.1	XP_625226.1
OG0001228	XP_034193972.1, XP_034193974.1	XP_625228.3
OG0001240	XP_034184018.1, XP_034184017.1	NP_001229399.1, NP_001011566.1
OG0001241	XP_034192478.1, XP_034192479.1	NP_001011576.1, XP_026297363.1
OG0001242	XP_034173498.1	XP_026295054.1, NP_001011594.1
OG0001243	XP_034185127.1	NP_001011602.1
OG0001244	XP_034184813.1	NP_001091636.1, NP_001011626.2
OG0001245	XP_034194879.1	XP_006557552.1, NP_001011643.1
OG0001246	XP_034178339.1	NP_001035356.1
OG0001246	XP_034178335.1	XP_006558516.1
OG0001247	XP_034188597.1	XP_026295136.1, NP_001035357.1
OG0001248	XP_034171782.1	XP_006561141.1, NP_001071279.1, XP_006571287.1
OG0001249	XP_034180812.1, XP_034180815.1	XP_006560237.1, NP_001071285.1
OG0001250	XP_034188816.1, XP_034188817.1	NP_001139210.1, XP_006563265.1
OG0001251	XP_034188783.1	NP_001153522.1
OG0001252	XP_034178569.1	XP_001121036.2
OG0001253	XP_034177328.1	NP_001157189.1, XP_016767530.2
OG0001254	XP_034174253.1	XP_016768607.2
OG0001254	XP_034174249.1	NP_001164477.1
OG0001255	XP_034180059.1	NP_001167612.1, XP_006557598.1
OG0001256	XP_034181507.1	NP_001257748.1, NP_001257749.1
OG0001257	XP_034173212.1, XP_034173213.1	XP_006571516.1, NP_001265264.1
OG0001258	XP_034175144.1	XP_026299313.1, NP_001265610.1
OG0001259	XP_034193443.1	XP_026301730.1, NP_001314886.1
OG0001260	XP_034193987.1	XP_006559253.1, XP_006559252.1, XP_001119855.2
OG0001261	XP_034180208.1, XP_034180207.1	XP_006560242.1, XP_006560241.1, XP_001119882.2, XP_006560243.1
OG0001262	XP_034181900.1	XP_001120054.2
OG0001263	XP_034184185.1, XP_034184186.1	XP_001120061.2, XP_006567415.1
OG0001264	XP_034179126.1	XP_001120215.2
OG0001265	XP_034176688.1	XP_026299847.1, XP_001120472.1
OG0001266	XP_034173156.1	XP_026302033.1, XP_026302034.1, XP_001120512.5
OG0001267	XP_034193402.1, XP_034193401.1, XP_034193400.1	XP_006557524.1, XP_006557525.1, XP_001120701.2
OG0001268	XP_034172314.1	XP_001121102.2
OG0001269	XP_034196230.1, XP_034196231.1	XP_001121169.2
OG0001270	XP_034180162.1, XP_034180163.1	XP_001121176.1
OG0001271	XP_034173765.1, XP_034173767.1	XP_001121775.2, XP_016767210.2
OG0001272	XP_034176394.1	XP_001122042.3
OG0001273	XP_034180714.1, XP_034180713.1	XP_001122623.2
OG0001274	XP_034177697.1, XP_034177698.1	XP_001122704.2, XP_026296440.1, XP_006570316.1
OG0001275	XP_034171626.1	XP_001123019.2
OG0001276	XP_034191872.1	XP_001123355.3
OG0001277	XP_034173739.1, XP_034173738.1	XP_003249096.1
OG0001278	XP_034195603.1	XP_003249130.2
OG0001279	XP_034187045.1	XP_003249154.1
OG0001280	XP_034180468.1	XP_003249385.1
OG0001282	XP_034188674.1	XP_003249819.2
OG0001283	XP_034188067.1	XP_003249882.1, XP_026298283.1, XP_026298282.1
OG0001284	XP_034187833.1	XP_003249908.1
OG0001285	XP_034195846.1	XP_006562526.1, XP_006562527.1, XP_003250091.1
OG0001286	XP_034190124.1	XP_003250169.1
OG0001287	XP_034179572.1	XP_003250260.1
OG0001287	XP_034179571.1	XP_016772345.1
OG0001288	XP_034193719.1	XP_003250277.1
OG0001289	XP_034196237.1, XP_034196233.1	XP_003250418.1
OG0001290	XP_034196542.1	XP_003250512.2
OG0001291	XP_034193278.1, XP_034193276.1, XP_034193279.1, XP_034193277.1, XP_034193275.1	XP_003250884.1
OG0001292	XP_034193077.1	XP_003250890.1
OG0001293	XP_034181986.1	XP_016772918.1, XP_003251236.1, XP_016772914.1
OG0001294	XP_034176774.1, XP_034176773.1	XP_006570286.1, XP_003251510.1, XP_016767749.1
OG0001295	XP_034189627.1	XP_026300498.1, XP_026300497.1, XP_003251801.1
OG0001296	XP_034194325.1, XP_034194324.1	XP_396430.1, XP_006557323.1
OG0001297	XP_034187048.1	XP_026301503.1, XP_016772440.1, XP_006557346.1
OG0001298	XP_034187952.1, XP_034187953.1	XP_006557379.2
OG0001299	XP_034185047.1	XP_006557478.1, XP_006557479.1
OG0001300	XP_034187102.1, XP_034187107.1	XP_006557820.2
OG0001301	XP_034178663.1, XP_034178662.1	XP_006557926.1
OG0001302	XP_034176454.1	XP_006558107.2, XP_395356.4
OG0001303	XP_034177885.1	XP_395880.4, XP_006558682.1, XP_006558681.1
OG0001304	XP_034181860.1, XP_034181859.1	XP_006559207.1, XP_006559209.1
OG0001305	XP_034181484.1, XP_034181480.1, XP_034181482.1, XP_034181481.1, XP_034181483.1	XP_006559220.1
OG0001306	XP_034193513.1, XP_034193514.1, XP_034193512.1	XP_393635.1, XP_006559250.1
OG0001307	XP_034179783.1	XP_393383.3
OG0001308	XP_034190667.1, XP_034190660.1, XP_034190665.1	XP_006559518.1
OG0001309	XP_034182780.1	XP_006560560.2
OG0001310	XP_034181669.1	XP_006560897.1
OG0001311	XP_034195003.1	XP_006560939.1, XP_016766761.1, XP_016766762.1
OG0001312	XP_034171705.1, XP_034171701.1	XP_006561226.1, XP_006561229.1
OG0001313	XP_034176626.1	XP_006561339.1
OG0001314	XP_034184405.1	XP_006561684.1, XP_624894.1
OG0001315	XP_034177233.1, XP_034177234.1, XP_034177231.1, XP_034177232.1	XP_006562156.1
OG0001316	XP_034195487.1, XP_034195486.1	XP_006562487.1
OG0001317	XP_034195834.1	XP_624254.3, XP_006562530.1
OG0001318	XP_034187671.1	XP_006562743.1
OG0001319	XP_034174764.1	XP_006562777.1, XP_026295829.1
OG0001320	XP_034178386.1, XP_034178385.1, XP_034178382.1, XP_034178384.1	XP_006562807.1
OG0001321	XP_034189905.1	XP_006562826.1
OG0001322	XP_034180732.1, XP_034180734.1	XP_006563111.2, XP_006563110.2
OG0001323	XP_034183621.1, XP_034183620.1	XP_006563315.1, XP_016768023.1
OG0001324	XP_034183839.1	XP_026295755.1, XP_006563318.2, XP_026295759.1
OG0001325	XP_034188789.1, XP_034188788.1	XP_006563359.1, XP_026302126.1
OG0001327	XP_034178888.1	XP_006563542.1
OG0001328	XP_034194014.1, XP_034194013.1	XP_016772169.1, XP_006563722.1
OG0001329	XP_034182426.1	XP_006563973.1, XP_026295194.1
OG0001330	XP_034195446.1, XP_034195447.1	XP_006564186.1, XP_026297333.1
OG0001331	XP_034177195.1	XP_006564281.1
OG0001332	XP_034175527.1, XP_034175528.1	XP_006564414.1, XP_026299658.1, XP_006564413.1
OG0001333	XP_034176053.1, XP_034176054.1	XP_006564416.1, XP_006564415.1
OG0001334	XP_034176575.1, XP_034176574.1, XP_034176576.1	XP_006564486.1
OG0001335	XP_034185419.1	XP_006564735.1
OG0001336	XP_034180106.1, XP_034180104.1	XP_006564903.1, XP_006564906.1, XP_006564907.1
OG0001337	XP_034174071.1, XP_034174069.1, XP_034174070.1	XP_006565202.1
OG0001338	XP_034191134.1	XP_006565266.1
OG0001339	XP_034190880.1, XP_034190881.1	XP_006565292.1, XP_016770927.1
OG0001340	XP_034187375.1, XP_034187374.1, XP_034187373.1	XP_006565363.2
OG0001342	XP_034185210.1	XP_006565519.1
OG0001343	XP_034189933.1, XP_034189936.1, XP_034189934.1	XP_006565611.2
OG0001344	XP_034175829.1	XP_006566552.1
OG0001345	XP_034175953.1, XP_034175952.1	XP_006566705.2
OG0001346	XP_034193306.1	XP_006566741.2, XP_006566742.2, XP_393330.3
OG0001347	XP_034184819.1, XP_034184818.1	XP_006566884.1
OG0001348	XP_034183352.1, XP_034183351.1	XP_006566987.1
OG0001349	XP_034184109.1	XP_026298607.1
OG0001350	XP_034177673.1, XP_034177667.1	XP_006567845.1, XP_394587.3
OG0001351	XP_034179531.1	XP_006568004.1
OG0001352	XP_034185494.1	XP_624939.1, XP_006568087.1, XP_006568088.1
OG0001353	XP_034170961.1	XP_026295048.1
OG0001354	XP_034181173.1	XP_392793.4, XP_006568388.1, XP_006568387.1, XP_026297740.1
OG0001355	XP_034182128.1, XP_034182129.1	XP_623065.2, XP_006568498.2
OG0001356	XP_034185637.1, XP_034185636.1	XP_624663.4, XP_006568571.2, XP_006568569.2, XP_006568570.2
OG0001357	XP_034187205.1, XP_034187214.1	XP_006568618.2
OG0001358	XP_034173045.1, XP_034173053.1, XP_034173035.1	XP_006568633.1
OG0001359	XP_034172798.1	XP_026296471.1, XP_393600.2, XP_006568637.1, XP_006568635.1, XP_006568636.1, XP_026296470.1
OG0001360	XP_034196706.1, XP_034196702.1	XP_006568888.1, XP_006568887.1
OG0001361	XP_034171357.1, XP_034171356.1	XP_006569022.1
OG0001362	XP_034174260.1	XP_006569379.1
OG0001363	XP_034174220.1, XP_034174223.1	XP_006569380.2, XP_016767271.2
OG0001364	XP_034187449.1, XP_034187448.1	XP_006569400.1
OG0001365	XP_034180586.1	XP_006569847.1
OG0001366	XP_034182092.1, XP_034182091.1	XP_006569907.1, XP_006569908.1
OG0001367	XP_034191256.1, XP_034191255.1	XP_395132.2, XP_006570001.1
OG0001368	XP_034182232.1, XP_034182249.1, XP_034182239.1	XP_006570068.1
OG0001370	XP_034171935.1	XP_006570163.2
OG0001371	XP_034176964.1, XP_034176963.1	XP_006570301.2, XP_026296398.1
OG0001372	XP_034173049.1	XP_006570683.1
OG0001373	XP_034195965.1, XP_034195962.1, XP_034195964.1, XP_034195966.1	XP_006570731.1
OG0001374	XP_034173359.1, XP_034173358.1	XP_026295822.1, XP_026295821.1, XP_006570847.3
OG0001375	XP_034196415.1, XP_034196419.1	XP_006571012.1, XP_006571006.1
OG0001376	XP_034196446.1	XP_006571055.1, XP_016768322.1
OG0001377	XP_034173332.1, XP_034173325.1	XP_026301919.1, XP_006571061.2
OG0001378	XP_034173229.1	XP_006571554.2, XP_016773175.2
OG0001379	XP_034172088.1	XP_006571652.2
OG0001380	XP_034180449.1	XP_006572008.1, XP_006572005.1, XP_006572007.1, XP_006572006.1
OG0001381	XP_034171620.1, XP_034171627.1, XP_034171610.1	XP_006572020.1
OG0001382	XP_034176380.1, XP_034176381.1	XP_006572095.1, XP_006572096.1
OG0001383	XP_034177779.1	XP_006572172.1
OG0001384	XP_034188459.1, XP_034188460.1, XP_034188458.1	XP_016766564.1
OG0001385	XP_034188233.1, XP_034188232.1, XP_034188231.1	XP_016766731.1
OG0001386	XP_034172327.1	XP_016766860.1
OG0001387	XP_034194744.1	XP_395083.5, XP_016766993.2
OG0001388	XP_034173822.1	XP_016767150.1
OG0001390	XP_034193929.1, XP_034193920.1, XP_034193922.1, XP_034193939.1	XP_016768362.2
OG0001391	XP_034174694.1, XP_034174684.1, XP_034174674.1	XP_016768675.1, XP_624014.2
OG0001393	XP_034184904.1	XP_016768956.2, XP_396503.5
OG0001394	XP_034173342.1	XP_623604.1, XP_016769248.1
OG0001395	XP_034177225.1	XP_623495.1, XP_016769524.1
OG0001396	XP_034186738.1	XP_016769578.1
OG0001396	XP_034186783.1	XP_016769579.1
OG0001397	XP_034175786.1, XP_034175787.1, XP_034175788.1	XP_016770442.2
OG0001398	XP_034186922.1, XP_034186915.1	XP_016770863.2
OG0001399	XP_034183317.1, XP_034183318.1	XP_016770883.1
OG0001400	XP_034183241.1, XP_034183242.1	XP_016771021.1, XP_016771020.1
OG0001401	XP_034180491.1	XP_016771541.2
OG0001402	XP_034193897.1	XP_016771976.2, XP_026301365.1
OG0001403	XP_034176992.1	XP_026301661.1, XP_016772147.2, XP_026301707.1
OG0001404	XP_034179269.1	XP_392789.3
OG0001405	XP_034186799.1	XP_016772586.1
OG0001406	XP_034194475.1, XP_034194496.1	XP_026295547.1, XP_026295555.1, XP_016772700.2
OG0001407	XP_034170975.1	XP_016773511.1
OG0001408	XP_034196480.1	XP_026294749.1, XP_026294750.1
OG0001409	XP_034195631.1, XP_034195621.1	XP_026294944.1, XP_026294885.1
OG0001410	XP_034190468.1	XP_026295232.1
OG0001411	XP_034182282.1	XP_026295318.1
OG0001412	XP_034194363.1	XP_026295323.1, XP_396074.2
OG0001413	XP_034182058.1	XP_026295461.1, XP_396054.1
OG0001414	XP_034188290.1	XP_026295527.1
OG0001414	XP_034188288.1	XP_026295526.1
OG0001415	XP_034194518.1	XP_026295546.1, XP_026295545.1
OG0001416	XP_034194505.1	XP_026295560.1, XP_026295561.1
OG0001417	XP_034173306.1	XP_026295584.1, XP_026295586.1
OG0001418	XP_034194764.1	XP_026295662.1
OG0001419	XP_034182135.1	XP_026295673.1, XP_026295671.1, XP_026295670.1
OG0001420	XP_034187702.1, XP_034187701.1	XP_026295870.1
OG0001421	XP_034187334.1	XP_026295872.1
OG0001422	XP_034187821.1	XP_026295956.1, XP_026295951.1, XP_026295950.1, XP_026295957.1
OG0001423	XP_034173990.1	XP_026295959.1, XP_026295960.1
OG0001424	XP_034174559.1	XP_026296172.1, XP_026296173.1, XP_026296171.1, XP_026296174.1
OG0001425	XP_034173951.1	XP_026296234.1
OG0001426	XP_034177088.1	XP_026296339.1
OG0001427	XP_034177781.1, XP_034177780.1	XP_026296373.1
OG0001428	XP_034176980.1	XP_026296404.1
OG0001429	XP_034192926.1	XP_026296504.1
OG0001430	XP_034177732.1, XP_034177731.1	XP_026296581.1, XP_026296582.1, XP_026296580.1
OG0001431	XP_034182957.1, XP_034182956.1, XP_034182958.1, XP_034182954.1, XP_034182955.1	XP_026296618.1, XP_624243.3
OG0001432	XP_034187361.1, XP_034187370.1, XP_034187354.1, XP_034187380.1	XP_026296648.1
OG0001433	XP_034171117.1	XP_026296957.1, XP_026296956.1
OG0001434	XP_034194952.1, XP_034194946.1	XP_026296977.1
OG0001435	XP_034192320.1	XP_026297195.1, XP_026297213.1
OG0001436	XP_034176616.1	XP_026297227.1
OG0001437	XP_034189287.1, XP_034189288.1	XP_026297271.1
OG0001438	XP_034175245.1, XP_034175244.1, XP_034175246.1	XP_026297288.1
OG0001439	XP_034192088.1, XP_034192106.1	XP_026297335.1
OG0001440	XP_034196215.1	XP_026297410.1
OG0001441	XP_034191939.1	XP_026297995.1
OG0001442	XP_034180925.1, XP_034180924.1	XP_026298054.1, XP_026298053.1
OG0001443	XP_034190339.1	XP_026298146.1
OG0001444	XP_034173502.1, XP_034173501.1, XP_034173500.1, XP_034173499.1	XP_026298269.1
OG0001445	XP_034184713.1, XP_034184712.1	XP_026298493.1
OG0001446	XP_034187487.1, XP_034187472.1, XP_034187481.1	XP_026298657.1
OG0001447	XP_034190708.1, XP_034190717.1	XP_026298716.1
OG0001448	XP_034187734.1	XP_026298819.1, XP_026298820.1
OG0001449	XP_034191699.1, XP_034191698.1	XP_026298837.1
OG0001450	XP_034189931.1, XP_034189923.1	XP_026299186.1, XP_026299184.1
OG0001451	XP_034181740.1	XP_026299562.1
OG0001452	XP_034173584.1	XP_026299699.1
OG0001453	XP_034187926.1	XP_026299769.1
OG0001454	XP_034178333.1, XP_034178315.1	XP_026299801.1, XP_026299814.1
OG0001455	XP_034187234.1	XP_026299934.1, XP_026299935.1, XP_026299937.1, XP_026299936.1
OG0001456	XP_034186570.1	XP_026299965.1
OG0001457	XP_034183262.1	XP_026300270.1, XP_026300271.1
OG0001458	XP_034178551.1, XP_034178553.1	XP_026300499.1
OG0001459	XP_034191849.1, XP_034191855.1	XP_026300946.1, XP_026300943.1
OG0001460	XP_034180530.1	XP_026300984.1
OG0001461	XP_034179896.1	XP_026301211.1
OG0001462	XP_034175975.1	XP_026301282.1
OG0001463	XP_034179174.1	XP_026301412.1
OG0001464	XP_034179642.1, XP_034179641.1, XP_034179643.1	XP_026301459.1
OG0001465	XP_034186835.1	XP_026301574.1
OG0001466	XP_034172181.1, XP_034172190.1	XP_026301644.1
OG0001467	XP_034186760.1, XP_034186761.1	XP_026301649.1
OG0001468	XP_034172493.1	XP_026302119.1
OG0001469	XP_034188770.1	XP_026302245.1
OG0001470	XP_034172617.1, XP_034172616.1	XP_026302286.1, XP_026302273.1
OG0001471	XP_034188738.1, XP_034188737.1	XP_026302294.1
OG0001472	XP_034175886.1	XP_391898.1
OG0001473	XP_034176191.1	XP_392431.2
OG0001474	XP_034190762.1, XP_034190768.1	XP_392452.2
OG0001475	XP_034194903.1, XP_034194888.1	XP_392630.2
OG0001476	XP_034192501.1, XP_034181169.1	XP_392799.3
OG0001477	XP_034194099.1	XP_392818.2
OG0001479	XP_034180167.1	XP_393437.3
OG0001480	XP_034182090.1, XP_034182088.1	XP_393566.3
OG0001481	XP_034183259.1	XP_393875.1
OG0001482	XP_034177948.1, XP_034177947.1	XP_393894.1
OG0001483	XP_034192022.1, XP_034192020.1, XP_034192021.1	XP_393999.3
OG0001484	XP_034179292.1, XP_034179293.1	XP_394067.4
OG0001485	XP_034170956.1, XP_034170955.1, XP_034170957.1	XP_394342.1
OG0001486	XP_034182160.1	XP_394416.4
OG0001487	XP_034195005.1	XP_394419.2
OG0001488	XP_034193013.1, XP_034193012.1, XP_034193014.1	XP_394584.4
OG0001489	XP_034196067.1, XP_034196066.1	XP_395017.2
OG0001490	XP_034196380.1	XP_395266.4
OG0001491	XP_034180479.1	XP_395389.2
OG0001492	XP_034182561.1	XP_395566.3
OG0001493	XP_034174719.1	XP_395696.2
OG0001494	XP_034177437.1	XP_395840.2
OG0001495	XP_034183271.1	XP_396066.5
OG0001496	XP_034192618.1	XP_396132.4
OG0001497	XP_034175631.1, XP_034175632.1	XP_396376.2
OG0001498	XP_034176015.1	XP_396584.2
OG0001499	XP_034176008.1, XP_034176007.1, XP_034176009.1, XP_034176006.1	XP_396585.2
OG0001500	XP_034182378.1, XP_034182376.1	XP_396758.1
OG0001501	XP_034196311.1	XP_397170.4
OG0001502	XP_034182709.1	XP_397465.5
OG0001503	XP_034193061.1	XP_623739.2
OG0001504	XP_034190888.1, XP_034190889.1	XP_623822.2
OG0001505	XP_034187836.1, XP_034187835.1	XP_623908.1
OG0001506	XP_034175668.1, XP_034175667.1	XP_624018.4
OG0001507	XP_034183780.1	XP_624146.2
OG0001508	XP_034189324.1, XP_034189323.1, XP_034189322.1	XP_624230.1
OG0001509	XP_034180169.1	XP_624376.1
OG0001511	XP_034192617.1, XP_034192616.1	XP_625038.2
OG0001512	XP_034175094.1	XP_625210.1
OG0001525	XP_034170849.1	XP_006568211.1, NP_001011597.1
OG0001526	XP_034184540.1	NP_001011625.1, XP_006561565.1
OG0001527	XP_034194081.1	NP_001011627.1
OG0001528	XP_034180589.1	XP_006561609.1, NP_001011634.1
OG0001529	XP_034193619.1, XP_034193622.1, XP_034193621.1, XP_034193620.1	NP_001011639.2
OG0001530	XP_034184187.1	XP_006567388.1, NP_001035355.1
OG0001531	XP_034178122.1	NP_001071281.1, XP_006560362.1
OG0001532	XP_034185836.1	NP_001071289.1, XP_026296900.1
OG0001533	XP_034183623.1, XP_034183624.1	NP_001128415.1, XP_006563267.1
OG0001534	XP_034190244.1	NP_001135933.1
OG0001535	XP_034177352.1	XP_006567657.1, NP_001155988.1
OG0001536	XP_034189909.1, XP_034189908.1, XP_034189910.1	XP_016767967.1, NP_001165876.1
OG0001537	XP_034196451.1	XP_026298361.1, NP_001229363.1
OG0001538	XP_034179922.1, XP_034179921.1	NP_001257761.1
OG0001539	XP_034172460.1	NP_001314878.1
OG0001540	XP_034171300.1, XP_034171299.1	XP_001119993.2, NP_001314889.1
OG0001541	XP_034180175.1, XP_034180173.1	XP_001119914.2
OG0001542	XP_034180706.1	XP_001120059.3
OG0001543	XP_034171243.1, XP_034171241.1	XP_001120073.2
OG0001544	XP_034194341.1, XP_034194340.1	XP_001120105.1, XP_006557322.1
OG0001545	XP_034195262.1	XP_001120160.2
OG0001546	XP_034183922.1	XP_001120177.2
OG0001547	XP_034171201.1, XP_034171200.1	XP_001120381.1
OG0001548	XP_034179268.1, XP_034179266.1, XP_034179267.1	XP_001120441.2
OG0001549	XP_034191089.1	XP_001120442.2
OG0001550	XP_034190868.1	XP_001120471.1
OG0001551	XP_034187621.1	XP_001120521.1, XP_003251367.1
OG0001552	XP_034195653.1	XP_001120612.1
OG0001553	XP_034187900.1, XP_034187897.1	XP_001120831.2, XP_016769228.1
OG0001554	XP_034175679.1, XP_034175677.1, XP_034175678.1	XP_001120846.1
OG0001555	XP_034176388.1	XP_001120973.1
OG0001556	XP_034195665.1, XP_034195664.1	XP_001121051.2
OG0001557	XP_034177135.1	XP_001121088.2
OG0001558	XP_034196624.1, XP_034196623.1	XP_026302235.1, XP_001121217.1, XP_006564784.1
OG0001559	XP_034183903.1	XP_026297473.1, XP_001121270.1, XP_026297466.1, XP_026297472.1
OG0001560	XP_034184787.1	XP_001121491.2
OG0001561	XP_034194806.1	XP_016768282.1, XP_001121570.2
OG0001562	XP_034180439.1, XP_034180438.1	XP_001121698.2
OG0001563	XP_034183745.1, XP_034183742.1	XP_016770017.1, XP_001121833.2
OG0001564	XP_034195485.1	XP_001121853.2
OG0001565	XP_034185939.1, XP_034185938.1, XP_034185936.1	XP_006562558.1, XP_016770052.1, XP_001121936.2
OG0001566	XP_034173066.1	XP_001122142.3
OG0001567	XP_034189712.1	XP_001122476.1
OG0001568	XP_034189318.1	XP_001122611.3
OG0001569	XP_034179875.1	XP_001122665.2
OG0001570	XP_034171629.1	XP_001123015.2
OG0001571	XP_034190127.1, XP_034190128.1	XP_006563272.1, XP_001123247.2
OG0001572	XP_034190566.1	XP_001123353.2
OG0001573	XP_034171037.1	XP_003249420.1
OG0001574	XP_034175670.1	XP_003249423.2
OG0001575	XP_034188732.1	XP_003249446.3
OG0001576	XP_034182937.1, XP_034182938.1, XP_034182940.1	XP_003250051.2
OG0001577	XP_034190263.1, XP_034190262.1	XP_003250340.3
OG0001578	XP_034190554.1	XP_003250481.1
OG0001579	XP_034174940.1	XP_016770402.1, XP_003250893.1
OG0001580	XP_034193353.1, XP_034193354.1, XP_034193351.1, XP_034193352.1	XP_003250928.2
OG0001581	XP_034180721.1	XP_003251033.1
OG0001583	XP_034171818.1	XP_006568247.2, XP_003251193.2
OG0001584	XP_034181228.1, XP_034181245.1, XP_034181235.1	XP_003251227.1
OG0001585	XP_034179111.1, XP_034179118.1	XP_003251417.1, XP_006569652.1
OG0001586	XP_034179743.1	XP_003251662.1, XP_016768417.1
OG0001587	XP_034172474.1, XP_034172473.1, XP_034172472.1	XP_003251728.1
OG0001588	XP_034183735.1, XP_034183733.1, XP_034183734.1	XP_006557325.2
OG0001589	XP_034186998.1	XP_006557349.1, XP_006557348.1
