Orthogroup	Osmia_lignaria	Ceratina_calcarata
OG0001854	XP_034181362.1, XP_034181363.1, XP_034181361.1, XP_034181360.1	XP_017877372.1
OG0001855	XP_034172572.1	XP_017888165.1
OG0001856	XP_034184656.1	XP_017878350.1, XP_026668520.1, XP_026668521.1
OG0001857	XP_034190487.1	XP_017886950.1
OG0001858	XP_034173461.1	XP_017889064.1, XP_026673802.1
OG0001859	XP_034188512.1	XP_026669693.1, XP_017880884.1
OG0001860	XP_034184826.1	XP_026674058.1, XP_017889569.1
OG0001861	XP_034184782.1, XP_034184783.1, XP_034184781.1	XP_017883420.1
OG0001862	XP_034193060.1, XP_034193066.1	XP_026674823.1, XP_017891049.1, XP_026674824.1
OG0001863	XP_034196055.1, XP_034196054.1, XP_034196056.1	XP_017880415.1
OG0001864	XP_034186148.1	XP_017875692.1
OG0001865	XP_034189038.1, XP_034189037.1, XP_034189036.1, XP_034189039.1	XP_026670627.1
OG0001866	XP_034187032.1, XP_034187033.1	XP_026672827.1
OG0001867	XP_034186840.1	XP_017888381.1, XP_017879817.1
OG0001868	XP_034186551.1	XP_017883732.1, XP_017883731.1, XP_026671156.1
OG0001869	XP_034186046.1	XP_017891993.1
OG0001870	XP_034184381.1, XP_034184380.1	XP_017880795.1
OG0001871	XP_034185775.1	XP_017875962.1
OG0001872	XP_034173528.1, XP_034173529.1, XP_034173527.1	XP_017883266.1
OG0001873	XP_034181970.1, XP_034181973.1	XP_017882514.1, XP_017882515.1, XP_026670583.1
OG0001874	XP_034184917.1, XP_034184926.1, XP_034184906.1	XP_017879548.1
OG0001875	XP_034188154.1	XP_017879302.1
OG0001876	XP_034181756.1, XP_034181755.1, XP_034181754.1	XP_026673040.1, XP_017887438.1, XP_017887437.1, XP_026673041.1
OG0001877	XP_034180077.1, XP_034180076.1	XP_017885032.1, XP_017885033.1, XP_017885034.1, XP_017885035.1
OG0001878	XP_034179421.1	XP_026668763.1, XP_026674451.1, XP_026668762.1, XP_026668764.1, XP_017878856.1
OG0001880	XP_034189999.1, XP_034189997.1	XP_026670347.1, XP_017881947.1
OG0001881	XP_034181839.1, XP_034181838.1, XP_034181840.1	XP_026668839.1
OG0001882	XP_034179278.1	XP_017889543.1, XP_026674171.1
OG0001883	XP_034171181.1	XP_017875888.1
OG0001884	XP_034195352.1	XP_017887754.1, XP_017882356.1, XP_017885054.1
OG0001885	XP_034194655.1	XP_026667537.1, XP_026673182.1
OG0001887	XP_034180587.1	XP_026666894.1
OG0001888	XP_034189416.1, XP_034189414.1	XP_026672212.1, XP_026672217.1
OG0001889	XP_034193403.1, XP_034188042.1, XP_034188041.1	XP_026667995.1
OG0001893	XP_034184130.1, XP_034175542.1	XP_017886512.1
OG0001894	XP_034196109.1, XP_034196108.1	XP_017888632.1
OG0001895	XP_034180092.1, XP_034180090.1	XP_017876935.1
OG0001896	XP_034175143.1	XP_026667637.1
OG0001897	XP_034178729.1	XP_017890327.1
OG0001899	XP_034187101.1	XP_026674258.1, XP_026674259.1, XP_017890006.1
OG0001900	XP_034191781.1	XP_026673332.1, XP_017888065.2
OG0001901	XP_034189236.1	XP_017883761.1, XP_026671296.1
OG0001902	XP_034191584.1	XP_017888059.1, XP_026673329.1
OG0001903	XP_034185005.1	XP_017892697.1, XP_017879852.1
OG0001904	XP_034171540.1	XP_017878213.1
OG0001905	XP_034187040.1	XP_017883728.1
OG0001906	XP_034189984.1	XP_017876630.1
OG0001907	XP_034184436.1	XP_026675045.1, XP_017891562.1
OG0001908	XP_034189218.1	XP_017879349.1
OG0001909	XP_034174942.1, XP_034174944.1	XP_026674548.1, XP_017890590.1
OG0001910	XP_034189812.1, XP_034189813.1	XP_017883803.1
OG0001911	XP_034175927.1	XP_017879040.1
OG0001912	XP_034181597.1, XP_034181596.1	XP_017880925.1
OG0001913	XP_034172240.1	XP_017887755.1
OG0001914	XP_034183877.1	XP_026666822.1
OG0001915	XP_034173340.1	XP_017875290.1
OG0001916	XP_034183492.1, XP_034183490.1	XP_017883926.1
OG0001917	XP_034191921.1	XP_017875487.1, XP_017875482.1
OG0001918	XP_034190514.1, XP_034190515.1, XP_034190513.1	XP_017890817.1
OG0001919	XP_034195253.1, XP_034195252.1	XP_017881625.1
OG0001920	XP_034172309.1, XP_034172308.1	XP_017886515.1
OG0001921	XP_034181565.1, XP_034181566.1, XP_034181567.1	XP_017890960.1, XP_026674697.1
OG0001922	XP_034179667.1, XP_034179666.1	XP_017878194.1, XP_017878192.1
OG0001923	XP_034190949.1, XP_034190948.1	XP_017880211.1
OG0001924	XP_034172099.1	XP_026673089.1
OG0001925	XP_034185417.1, XP_034185418.1	XP_017885397.2
OG0001926	XP_034194037.1	XP_017884542.1, XP_026673475.1, XP_017876050.1
OG0001927	XP_034171690.1	XP_026669519.1
OG0001928	XP_034176914.1, XP_034176917.1, XP_034176915.1, XP_034176918.1	XP_026674955.1
OG0001929	XP_034189316.1, XP_034189317.1, XP_034189319.1	XP_017879366.1
OG0001930	XP_034177226.1	XP_017891762.2
OG0001931	XP_034191111.1, XP_034191112.1	XP_017883628.1, XP_026671119.1, XP_026671118.1
OG0001932	XP_034173423.1	XP_017888229.1
OG0001933	XP_034192641.1	XP_017890158.1
OG0001934	XP_034190455.1	XP_017885315.1
OG0001936	XP_034185995.1	XP_017883907.1
OG0001937	XP_034188688.1	XP_026667831.1, XP_017876791.1
OG0001938	XP_034175969.1	XP_026667310.1, XP_017875816.1
OG0001939	XP_034191302.1	XP_017886896.1
OG0001940	XP_034174201.1	XP_017878803.1
OG0001941	XP_034175018.1	XP_026673995.1, XP_026673992.1
OG0001942	XP_034194326.1, XP_034194330.1	XP_017887301.1, XP_017887300.1
OG0001944	XP_034180321.1	XP_017882268.1
OG0001945	XP_034189879.1, XP_034189877.1	XP_026667607.1, XP_026667608.1
OG0001946	XP_034173983.1	XP_026668741.1
OG0001948	XP_034179915.1	XP_017886384.1
OG0001949	XP_034193769.1	XP_017886429.1
OG0001950	XP_034171010.1	XP_017876776.1, XP_017876777.1
OG0001951	XP_034178295.1, XP_034178296.1	XP_017886177.1, XP_017886179.1
OG0001952	XP_034178519.1, XP_034178518.1	XP_017883489.1
OG0001953	XP_034171716.1, XP_034171714.1, XP_034171717.1, XP_034171715.1	XP_017878223.1
OG0001954	XP_034186283.1, XP_034186265.1, XP_034186274.1	XP_017892818.1
OG0001955	XP_034180049.1	XP_017884794.1
OG0001956	XP_034185019.1	XP_026669476.1
OG0001957	XP_034187848.1	XP_017876933.1, XP_017888657.2
OG0001958	XP_034174536.1	XP_017877801.1
OG0001959	XP_034179081.1	XP_017883300.1, XP_017876253.1, XP_017882827.1
OG0001960	XP_034171509.1, XP_034171510.1	XP_017889905.1
OG0001961	XP_034178650.1, XP_034178649.1	XP_017887371.1
OG0001962	XP_034190684.1	XP_026674673.1
OG0001963	XP_034193954.1, XP_034193952.1, XP_034193955.1	XP_017886508.1
OG0001964	XP_034189429.1	XP_017885646.1
OG0001965	XP_034195781.1	XP_017884825.1
OG0001966	XP_034196309.1	XP_017893059.1
OG0001967	XP_034179710.1	XP_026673939.1, XP_017886279.1
OG0001968	XP_034176163.1	XP_017881126.1, XP_017881124.1
OG0001969	XP_034190321.1, XP_034190324.1, XP_034190323.1, XP_034190322.1	XP_017877232.1
OG0001971	XP_034191887.1	XP_026670578.1
OG0001972	XP_034174954.1	XP_017878972.1
OG0001973	XP_034177542.1	XP_017883033.1
OG0001974	XP_034175656.1, XP_034175641.1	XP_017888012.1, XP_026673274.1
OG0001975	XP_034196143.1, XP_034196144.1, XP_034196142.1, XP_034196145.1	XP_017893032.1
OG0001976	XP_034173056.1	XP_026673845.1
OG0001977	XP_034194397.1	XP_017887285.1
OG0001978	XP_034174078.1	XP_017881863.1
OG0001979	XP_034196465.1	XP_017880424.1
OG0001980	XP_034172340.1, XP_034172386.1	XP_017880447.1
OG0001981	XP_034191406.1	XP_017885267.1, XP_017885261.1
OG0001982	XP_034191905.1, XP_034191903.1	XP_017884721.1
OG0001983	XP_034178929.1	XP_017878129.1
OG0001984	XP_034189360.1, XP_034189359.1, XP_034189362.1	XP_017879515.2
OG0001986	XP_034186756.1, XP_034186759.1	XP_017877219.1
OG0001987	XP_034191167.1	XP_017892958.1, XP_017885679.1
OG0001988	XP_034191177.1	XP_017885677.1
OG0001989	XP_034191183.1	XP_017887109.1
OG0001990	XP_034178554.1, XP_034178555.1	XP_026674442.1, XP_026674443.1
OG0001991	XP_034177993.1, XP_034177992.1	XP_026671917.1, XP_026672432.1
OG0001992	XP_034177994.1	XP_026672434.1, XP_017886055.1, XP_017888641.2
OG0001993	XP_034177989.1, XP_034177991.1	XP_017886184.1
OG0001994	XP_034174303.1, XP_034174304.1	XP_017875602.1
OG0001995	XP_034175856.1	XP_017889711.1
OG0001996	XP_034181112.1	XP_026668012.1, XP_026668010.1, XP_017877369.1, XP_026668011.1, XP_026668013.1
OG0001997	XP_034181538.1	XP_017885552.1
OG0001998	XP_034194414.1, XP_034194416.1	XP_017886165.1
OG0001999	XP_034177949.1	XP_026666813.1
OG0002000	XP_034177957.1	XP_017879470.1
OG0002001	XP_034175124.1, XP_034175206.1	XP_026672198.1, XP_017885748.1
OG0002002	XP_034176571.1	XP_026673788.1
OG0002003	XP_034174717.1	XP_017881750.1, XP_017881751.1
OG0002005	XP_034190247.1, XP_034190246.1	XP_017876044.1
OG0002006	XP_034184967.1	XP_017888757.1
OG0002008	XP_034196509.1	XP_026667715.1
OG0002009	XP_034193515.1	XP_017889365.1
OG0002010	XP_034193918.1, XP_034193917.1	XP_017889791.1
OG0002011	XP_034192402.1	XP_026666448.1, XP_017877432.1, XP_017877272.1
OG0002012	XP_034188268.1	XP_017882500.1
OG0002013	XP_034180615.1	XP_026671934.1, XP_017885128.1
OG0002014	XP_034178085.1, XP_034178081.1	XP_017877544.1
OG0002015	XP_034180676.1	XP_026670316.1, XP_026670314.1
OG0002016	XP_034195585.1	XP_017876596.1, XP_017876598.1
OG0002017	XP_034179845.1, XP_034179846.1	XP_017889694.1, XP_017889695.1, XP_017889696.1, XP_017889697.1
OG0002018	XP_034182451.1	XP_017884063.1
OG0002019	XP_034181259.1	XP_017885588.1, XP_017885587.1, XP_017885589.1
OG0002020	XP_034184327.1	XP_017886619.1
OG0002021	XP_034183988.1, XP_034183989.1	XP_017876218.1
OG0002022	XP_034186469.1, XP_034186561.1	XP_017881373.1
OG0002023	XP_034195800.1	XP_026667275.1
OG0002024	XP_034176857.1, XP_034176852.1, XP_034176851.1	XP_017883124.1
OG0002025	XP_034192925.1	XP_017890058.1
OG0002026	XP_034195470.1, XP_034195468.1	XP_026673461.1, XP_026668160.1, XP_026668159.1
OG0002027	XP_034192377.1	XP_017891409.1
OG0002028	XP_034183584.1, XP_034183585.1	XP_017888361.1
OG0002029	XP_034174135.1	XP_017878522.1, XP_017878531.1
OG0002030	XP_034183362.1, XP_034183358.1	XP_017883935.1
OG0002031	XP_034189663.1	XP_017882042.1, XP_026670263.1
OG0002032	XP_034190024.1	XP_026670367.1
OG0002033	XP_034183804.1	XP_017881173.1
OG0002034	XP_034183752.1, XP_034183751.1, XP_034183750.1	XP_017876574.1
OG0002036	XP_034180382.1	XP_017888150.1
OG0002037	XP_034190764.1	XP_017893339.1, XP_026666674.1
OG0002039	XP_034189073.1, XP_034189072.1	XP_017883279.1
OG0002040	XP_034193899.1, XP_034193900.1	XP_026674169.1
OG0002041	XP_034179532.1	XP_017889402.1
OG0002042	XP_034179719.1	XP_017889765.1
OG0002043	XP_034173800.1	XP_026670436.1
OG0002044	XP_034185158.1, XP_034185169.1	XP_017883388.1
OG0002045	XP_034185189.1	XP_026671029.1
OG0002046	XP_034181505.1	XP_026674837.1
OG0002047	XP_034188192.1, XP_034188193.1, XP_034188194.1	XP_026672389.1
OG0002048	XP_034188652.1	XP_017880843.1
OG0002049	XP_034195413.1	XP_017880611.1
OG0002050	XP_034177022.1	XP_017891325.1
OG0002051	XP_034176894.1, XP_034176893.1	XP_017890053.1
OG0002052	XP_034183369.1, XP_034183359.1	XP_017890627.1, XP_026674580.1, XP_026674582.1
OG0002053	XP_034175115.1	XP_017890560.1
OG0002054	XP_034190000.1	XP_017882252.1, XP_017882253.1, XP_026670348.1
OG0002055	XP_034184641.1	XP_017880056.1
OG0002057	XP_034185470.1	XP_017893108.2, XP_017893109.1
OG0002058	XP_034184831.1	XP_026673636.1
OG0002059	XP_034190559.1	XP_017877295.1
OG0002060	XP_034176936.1	XP_017879505.1
OG0002061	XP_034180367.1	XP_026671778.1, XP_026671780.1, XP_017884716.1
OG0002062	XP_034180103.1, XP_034180102.1	XP_017884426.1
OG0002063	XP_034178817.1	XP_017877175.1, XP_017877177.1
OG0002064	XP_034186449.1, XP_034186448.1	XP_017888926.1
OG0002065	XP_034195048.1, XP_034195044.1, XP_034195053.1, XP_034195040.1	XP_017886954.1
OG0002066	XP_034194571.1	XP_017875213.1, XP_017875212.1
OG0002067	XP_034194492.1	XP_017875226.1
OG0002068	XP_034183281.1, XP_034183368.1	XP_026670684.1
OG0002069	XP_034189806.1	XP_026675300.1
OG0002070	XP_034191793.1	XP_017884608.1, XP_017884607.1
OG0002072	XP_034189487.1	XP_017882111.1
OG0002073	XP_034186233.1	XP_017875744.1
OG0002074	XP_034175830.1	XP_017878419.1, XP_026668613.1, XP_026668610.1, XP_026668611.1, XP_026668612.1, XP_017878420.1
OG0002075	XP_034175464.1	XP_017876845.1, XP_026667761.1
OG0002076	XP_034193374.1, XP_034193373.1	XP_026674535.1, XP_026674537.1, XP_017890420.1
OG0002077	XP_034187509.1	XP_026666836.1, XP_017893648.1, XP_017893649.1
OG0002078	XP_034174459.1	XP_017878018.1
OG0002080	XP_034184368.1	XP_017886367.1
OG0002081	XP_034174655.1	XP_026675253.1
OG0002082	XP_034177125.1	XP_026672072.1
OG0002083	XP_034192646.1	XP_017890156.1, XP_017890155.1
OG0002084	XP_034177564.1	XP_017883760.1
OG0002085	XP_034171202.1	XP_026675115.1
OG0002086	XP_034175726.1, XP_034175715.1	XP_026673060.1, XP_017887709.1
OG0002087	XP_034180070.1	XP_017892386.1, XP_017892383.1
OG0002088	XP_034184491.1, XP_034184141.1	XP_017892358.1, XP_017892357.1
OG0002089	XP_034185627.1, XP_034185630.1	XP_017888852.1
OG0002090	XP_034174785.1	XP_017885248.1
OG0002091	XP_034174960.1	XP_017893465.1, XP_017893483.1, XP_017893493.1, XP_017893475.1
OG0002092	XP_034181268.1	XP_026671589.1, XP_026671582.1
OG0002093	XP_034175192.1	XP_026666910.1, XP_017893238.1, XP_017893248.1
OG0002094	XP_034189406.1, XP_034189403.1	XP_017876789.1, XP_026667744.1
OG0002095	XP_034170968.1	XP_026671410.1
OG0002096	XP_034171360.1	XP_026671405.1
OG0002097	XP_034189320.1	XP_017892795.1
OG0002098	XP_034186728.1	XP_017882579.1
OG0002099	XP_034187392.1	XP_017891671.1, XP_026675062.1
OG0002100	XP_034187428.1	XP_017877734.1
OG0002101	XP_034187732.1	XP_026668854.1
OG0002102	XP_034191311.1, XP_034191310.1	XP_017880158.1
OG0002103	XP_034178896.1	XP_026672279.1
OG0002104	XP_034185686.1, XP_034185685.1	XP_017888843.1
OG0002105	XP_034177656.1	XP_017892416.1
OG0002106	XP_034193089.1	XP_026668184.1, XP_017877578.1
OG0002107	XP_034176271.1	XP_017892850.1, XP_026666481.1
OG0002108	XP_034176220.1, XP_034176221.1	XP_017886270.1
OG0002109	XP_034172118.1	XP_017888214.1, XP_017888216.1
OG0002110	XP_034173410.1	XP_017888227.1
OG0002111	XP_034195768.1	XP_026667919.1
OG0002112	XP_034195659.1	XP_026674738.1, XP_017890936.1
OG0002113	XP_034194001.1	XP_017892995.1, XP_017892993.1, XP_017892994.1
OG0002114	XP_034173225.1	XP_026674929.1
OG0002115	XP_034191969.1, XP_034191960.1	XP_017890262.1
OG0002116	XP_034181337.1, XP_034181336.1	XP_017879054.1
OG0002117	XP_034185441.1	XP_017885630.1
OG0002118	XP_034176317.1	XP_026673781.1
OG0002119	XP_034175230.1, XP_034175228.1	XP_017889826.1, XP_017884554.1, XP_017877311.2
OG0002120	XP_034176246.1	XP_017877119.1
OG0002121	XP_034182227.1	XP_026672399.1
OG0002121	XP_034182228.1	XP_026672400.1
OG0002122	XP_034188426.1	XP_017887132.1, XP_017887133.1
OG0002123	XP_034181599.1	XP_017878104.1
OG0002124	XP_034182023.1, XP_034182025.1	XP_017880641.1
OG0002125	XP_034194750.1	XP_017886029.1
OG0002126	XP_034182302.1, XP_034182301.1	XP_017877530.1
OG0002127	XP_034173934.1, XP_034173932.1	XP_017877889.1, XP_017877882.1
OG0002128	XP_034173783.1, XP_034173782.1	XP_017885349.1
OG0002130	XP_034173718.1	XP_017877875.1
OG0002131	XP_034191563.1	XP_017877265.1
OG0002132	XP_034187335.1	XP_017878086.1
OG0002133	XP_034173896.1	XP_026675341.1
OG0002134	XP_034192660.1	XP_026669046.1, XP_017879539.1
OG0002135	XP_034177744.1	XP_026674921.1
OG0002136	XP_034177503.1	XP_017891303.1
OG0002138	XP_034194751.1, XP_034194743.1	XP_017890020.2
OG0002139	XP_034181217.1	XP_026675352.1, XP_017883986.2, XP_026675346.1, XP_026675348.1, XP_017892228.1
OG0002140	XP_034176060.1, XP_034176067.1	XP_026673254.1, XP_026673252.1
OG0002141	XP_034187921.1, XP_034187922.1	XP_026668953.1
OG0002142	XP_034185608.1	XP_026667468.1
OG0002143	XP_034173569.1	XP_017887419.1, XP_017887415.1
OG0002144	XP_034181515.1	XP_017885597.1
OG0002146	XP_034181426.1, XP_034181423.1	XP_017883206.1
OG0002147	XP_034196424.1	XP_017887843.1
OG0002148	XP_034171194.1	XP_017880710.1
OG0002149	XP_034184505.1	XP_017880420.1
OG0002150	XP_034185952.1, XP_034185953.1	XP_017891644.1, XP_026675044.1
OG0002151	XP_034185772.1	XP_017886610.1, XP_017886611.1
OG0002152	XP_034181421.1	XP_026666921.1
OG0002153	XP_034175496.1	XP_026673031.1
OG0002154	XP_034174912.1	XP_017888295.1
OG0002155	XP_034186537.1, XP_034186538.1, XP_034186536.1, XP_034186535.1	XP_017877059.1
OG0002156	XP_034178120.1	XP_017876437.1, XP_017891006.2
OG0002157	XP_034192107.1	XP_017875536.1, XP_017875535.2
OG0002158	XP_034179978.1, XP_034179977.1	XP_017875005.1
OG0002159	XP_034191714.1	XP_017888103.1
OG0002160	XP_034180902.1	XP_017884745.1, XP_026671669.1, XP_026671670.1
OG0002162	XP_034172177.1, XP_034172176.1, XP_034172174.1, XP_034172173.1, XP_034172175.1	XP_017882946.1
OG0002163	XP_034179570.1	XP_017889355.2
OG0002164	XP_034179714.1	XP_017889767.1
OG0002165	XP_034193839.1	XP_017878351.1
OG0002166	XP_034187062.1	XP_017888396.1
OG0002167	XP_034194172.1	XP_017886928.1
OG0002169	XP_034172551.1, XP_034172552.1	XP_017881358.2, XP_017876995.1
OG0002170	XP_034177825.1	XP_017881515.1, XP_017881516.1
OG0002171	XP_034174511.1	XP_017881392.1
OG0002172	XP_034175242.1, XP_034175241.1, XP_034175240.1, XP_034175239.1	XP_017888936.1
OG0002173	XP_034174993.1	XP_017888654.2
OG0002174	XP_034189189.1	XP_026668971.1
OG0002175	XP_034188250.1	XP_026675389.1, XP_026675387.1, XP_026675388.1
OG0002176	XP_034196499.1	XP_026668939.1
OG0002177	XP_034188695.1	XP_026671439.1
OG0002178	XP_034189329.1	XP_017889283.1
OG0002179	XP_034194760.1, XP_034194759.1	XP_026672395.1, XP_026672394.1, XP_026672393.1
OG0002180	XP_034182762.1, XP_034182763.1, XP_034182760.1	XP_026667032.1, XP_017875246.2
OG0002181	XP_034194707.1	XP_026669740.1, XP_026669722.1, XP_017877470.2
OG0002182	XP_034182657.1	XP_017886087.1
OG0002183	XP_034182675.1	XP_017880963.1, XP_017880962.1
OG0002184	XP_034183756.1	XP_026667296.1
OG0002185	XP_034174264.1	XP_017877876.1
OG0002187	XP_034174964.1	XP_017884146.1, XP_026670695.1
OG0002188	XP_034173821.1	XP_026670144.1, XP_017881718.1, XP_026670145.1
OG0002189	XP_034174791.1, XP_034174790.1	XP_017881972.1
OG0002190	XP_034184684.1	XP_026669016.1
OG0002191	XP_034177886.1, XP_034177887.1, XP_034177888.1	XP_017883021.1
OG0002192	XP_034177210.1, XP_034177209.1	XP_017876404.1
OG0002193	XP_034172715.1	XP_017885189.1, XP_017885190.1
OG0002194	XP_034177782.1	XP_017883047.1
OG0002195	XP_034192794.1	XP_017890255.1, XP_017890254.1
OG0002196	XP_034177774.1	XP_017891376.1, XP_017891377.1
OG0002197	XP_034177074.1	XP_017878230.1
OG0002198	XP_034177389.1	XP_017883019.1
OG0002199	XP_034176779.1	XP_017883064.1
OG0002200	XP_034177413.1	XP_026674368.1, XP_026674316.1
OG0002201	XP_034192717.1	XP_026674281.1
OG0002202	XP_034177484.1	XP_026667562.1, XP_017876418.1, XP_017876417.1
OG0002203	XP_034192879.1	XP_026674267.1, XP_026674269.1
OG0002204	XP_034184184.1, XP_034184180.1	XP_026672761.1
OG0002205	XP_034196204.1	XP_017875233.1
OG0002206	XP_034192915.1	XP_017891281.2
OG0002207	XP_034175548.1	XP_017886958.1
OG0002208	XP_034173207.1, XP_034173206.1	XP_017888937.1
OG0002209	XP_034171474.1	XP_026669131.1
OG0002210	XP_034195807.1	XP_017892638.1, XP_026675506.1
OG0002211	XP_034181589.1, XP_034181590.1, XP_034181591.1	XP_017885196.1
OG0002212	XP_034176694.1, XP_034176660.1	XP_026667349.1
OG0002213	XP_034183050.1	XP_026670518.1
OG0002214	XP_034181495.1	XP_017876908.1, XP_026669986.1, XP_017876823.1
OG0002215	XP_034181449.1, XP_034181450.1	XP_017893488.1
OG0002216	XP_034187532.1	XP_026673314.1, XP_026673313.1, XP_026673312.1, XP_017888098.1
OG0002218	XP_034190387.1, XP_034190388.1	XP_017880088.1
OG0002219	XP_034185200.1	XP_026667494.1
OG0002220	XP_034192497.1	XP_017892538.1
OG0002221	XP_034171305.1	XP_017887751.1
OG0002222	XP_034183420.1	XP_026669934.1, XP_026669935.1, XP_026669932.1, XP_026669933.1
OG0002223	XP_034190607.1	XP_017881893.1
OG0002224	XP_034184394.1, XP_034184393.1	XP_026670364.1
OG0002225	XP_034184560.1	XP_026670693.1, XP_026668285.1
OG0002226	XP_034174269.1	XP_017881177.2
OG0002227	XP_034185997.1, XP_034186007.1	XP_017875750.2, XP_026675636.1
OG0002228	XP_034175198.1	XP_017881184.1
OG0002229	XP_034191778.1	XP_026668512.1, XP_017878270.1
OG0002230	XP_034190190.1, XP_034190187.1, XP_034190188.1	XP_017882153.1
OG0002231	XP_034190011.1	XP_026667675.1, XP_017876684.1
OG0002232	XP_034190005.1	XP_026670355.1, XP_017882196.1
OG0002233	XP_034176128.1	XP_017885357.1, XP_026669438.1
OG0002234	XP_034175438.1, XP_034175435.1	XP_026668631.1, XP_026668630.1
OG0002235	XP_034181909.1	XP_026669990.1
OG0002237	XP_034193428.1	XP_017887897.1, XP_026673269.1
OG0002238	XP_034193399.1, XP_034193397.1	XP_026668805.1, XP_017879006.1
OG0002239	XP_034175960.1, XP_034175961.1	XP_026673440.1, XP_026673439.1, XP_017888293.1, XP_017888294.1
OG0002240	XP_034173001.1	XP_017889156.1, XP_017889158.1, XP_017889157.1
OG0002241	XP_034182919.1	XP_026669224.1
OG0002242	XP_034186614.1	XP_026669315.1
OG0002243	XP_034178356.1	XP_017891859.1, XP_026675227.1
OG0002244	XP_034178233.1	XP_017893453.1, XP_017893454.1
OG0002245	XP_034178170.1, XP_034178169.1, XP_034178171.1	XP_017877171.1
OG0002246	XP_034177939.1	XP_017888039.1, XP_017888038.1
OG0002247	XP_034180336.1	XP_017887810.2, XP_017888055.2
OG0002248	XP_034191684.1	XP_026673386.1
OG0002248	XP_034191678.1	XP_026673377.1
OG0002249	XP_034191470.1, XP_034195284.1, XP_034195275.1	XP_017888130.1
OG0002250	XP_034192089.1	XP_017875443.1
OG0002251	XP_034172581.1, XP_034172582.1	XP_017891427.1, XP_017891426.1
OG0002252	XP_034191427.1	XP_026671844.1
OG0002253	XP_034179738.1, XP_034179744.1	XP_026673945.1
OG0002254	XP_034179014.1	XP_017882911.1
OG0002255	XP_034179348.1, XP_034179347.1, XP_034179346.1, XP_034179344.1, XP_034179343.1	XP_017886335.1
OG0002256	XP_034175977.1	XP_026674687.1, XP_026674686.1
OG0002257	XP_034179668.1	XP_017878089.2
OG0002258	XP_034185331.1, XP_034185338.1	XP_026666643.1
OG0002259	XP_034178997.1	XP_017878169.1, XP_026668414.1
OG0002260	XP_034186833.1	XP_026673521.1
OG0002261	XP_034177469.1	XP_017892553.1, XP_026675415.1
OG0002263	XP_034179688.1	XP_026668524.1, XP_026668525.1
OG0002264	XP_034179413.1	XP_026670717.1
OG0002265	XP_034170812.1	XP_026669506.1, XP_026669511.1
OG0002266	XP_034176362.1	XP_017874994.1, XP_017874993.1
OG0002267	XP_034189133.1, XP_034189134.1, XP_034189131.1, XP_034189130.1, XP_034189132.1	XP_017876746.1
OG0002268	XP_034190730.1, XP_034190729.1	XP_017877315.1
OG0002269	XP_034180835.1, XP_034180836.1	XP_017884812.1, XP_017884811.1
OG0002270	XP_034194012.1	XP_026668402.1
OG0002272	XP_034173415.1	XP_017888217.1
OG0002273	XP_034192251.1	XP_017891255.1, XP_026674742.1, XP_026674743.1
OG0002274	XP_034195819.1	XP_017892560.1, XP_017892563.1, XP_017892551.1, XP_017892524.1
OG0002275	XP_034195855.1	XP_026673084.1
OG0002276	XP_034187930.1, XP_034187932.1, XP_034187931.1	XP_017887467.1
OG0002277	XP_034185187.1	XP_017881463.1
OG0002278	XP_034171667.1, XP_034171666.1, XP_034171668.1	XP_017880492.1
OG0002279	XP_034186933.1, XP_034186934.1	XP_017890661.1, XP_026674603.1
OG0002280	XP_034196592.1, XP_034196598.1	XP_017880522.1
OG0002281	XP_034191961.1	XP_017892518.1
OG0002282	XP_034186724.1	XP_017890013.1
OG0002283	XP_034194717.1	XP_017892334.1
OG0002284	XP_034187464.1, XP_034187463.1, XP_034187465.1	XP_017891704.1
OG0002285	XP_034173490.1, XP_034173491.1	XP_017881049.1
OG0002286	XP_034190422.1	XP_017878085.1
OG0002287	XP_034185946.1	XP_026672586.1
OG0002288	XP_034193098.1, XP_034193099.1	XP_026668185.1, XP_026668186.1, XP_017877583.1
OG0002289	XP_034190208.1	XP_017881445.1
OG0002290	XP_034186005.1, XP_034186006.1, XP_034186003.1, XP_034186004.1	XP_017883897.1
OG0002291	XP_034185835.1	XP_017883925.1
OG0002292	XP_034183749.1	XP_017890715.1, XP_017881934.1
OG0002293	XP_034180618.1	XP_017888126.1
OG0002294	XP_034179218.1, XP_034179215.1	XP_017889843.1
OG0002295	XP_034171463.1	XP_017893572.1
OG0002296	XP_034182531.1	XP_017882326.1, XP_017882325.1
OG0002297	XP_034173693.1	XP_017877955.1, XP_026668344.1
OG0002298	XP_034177132.1, XP_034177131.1	XP_017877852.1
OG0002299	XP_034176863.1	XP_026670505.1, XP_017882373.1
OG0002300	XP_034181816.1	XP_017885614.1, XP_017885615.1, XP_026672158.1
OG0002301	XP_034190356.1	XP_017892980.1, XP_026666499.1, XP_017892981.1
OG0002302	XP_034193286.1, XP_034193284.1, XP_034193287.1	XP_017890475.1
OG0002303	XP_034189444.1, XP_034189445.1	XP_017882044.1
OG0002304	XP_034183370.1	XP_017883802.1, XP_017877310.2
OG0002305	XP_034184181.1	XP_017890408.1, XP_017885645.1
OG0002306	XP_034184311.1	XP_017885436.1
OG0002307	XP_034188480.1, XP_034188479.1	XP_026672933.1, XP_017887299.1
OG0002308	XP_034174734.1, XP_034174733.1	XP_017878727.1
